[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[02:27:08.459 --> 02:27:32.532]  Well, that's right, and look, I've done like Piers Morgan interviews and BBC interviews and a lot of others where I genuinely get mad and yell at them and just kind of break the silence, don't play along, and at first everybody says, oh, you're in a lot of trouble, you're discredited, but then six months later they love you, two years later it's just the best thing they ever saw in their life and Alex Jones destroyed Piers Morgan, it was the end of his career, you know, are the headlines.
[02:27:32.532 --> 02:27:34.673]  So it's the fact that you got that response
[02:27:35.333 --> 02:27:41.057]  Shows that you're waking people out of their trance and that's why they're upset is because deep down they know you're right.
[02:27:41.057 --> 02:27:42.538]  So great job!
[02:27:42.538 --> 02:27:44.039]  Well thank you and I hope so.
[02:27:44.039 --> 02:27:45.760]  I hope so.
[02:27:45.760 --> 02:27:46.961]  Any other points you'd like to add?
[02:27:48.348 --> 02:27:49.649]  Um, absolutely.
[02:27:49.649 --> 02:27:52.752]  I mean, you know, just a side note, I'm actually in Panama right now.
[02:27:52.752 --> 02:27:59.097]  I know I stated I was out of the country, but right now I'm working on a project about the illegal invasion of Panama and everything that went with it.
[02:27:59.097 --> 02:28:07.744]  And I've been getting interviews from all different types of people down here, and it's a very exciting story, and I'm excited to make it into a film.
[02:28:07.744 --> 02:28:09.606]  Well, I'm sure you've seen the Panama deception, then?
[02:28:10.217 --> 02:28:11.078]  Oh, I absolutely have.
[02:28:11.078 --> 02:28:16.241]  I actually had to buy the DVD directly from Barbara Trent because it's not for sale in stores.
[02:28:16.241 --> 02:28:19.664]  It was kind of shelved after she won the Academy Award.
[02:28:19.664 --> 02:28:20.264]  That's right.
[02:28:20.264 --> 02:28:20.785]  Wow!
[02:28:20.785 --> 02:28:24.167]  I'd love to get her on with you when your film comes out.
[02:28:24.167 --> 02:28:27.330]  Because for folks that don't know, that was a total false flag.
[02:28:27.330 --> 02:28:28.771]  There were no kidnapped students.
[02:28:28.771 --> 02:28:30.452]  It was all made up.
[02:28:30.452 --> 02:28:32.333]  And they just mass murdered a bunch of people.
[02:28:32.333 --> 02:28:33.354]  I mean, I'm sorry.
[02:28:33.354 --> 02:28:34.495]  That was a criminal attack.
[02:28:35.231 --> 02:28:35.692]  Absolutely.
[02:28:35.692 --> 02:28:38.514]  I mean, they lied about the number of dead.
[02:28:38.514 --> 02:28:44.600]  Even the UN voted, I believe it was 72 to 20, that it was a flagrant violation of international law.
[02:28:44.600 --> 02:28:47.803]  But of course, the US can just come in and veto it.
[02:28:47.803 --> 02:28:49.785]  And again, it's not that Manuel Noriega is a saint.
[02:28:49.785 --> 02:28:51.306]  It's kind of like Ricky Ross, though.
[02:28:51.306 --> 02:28:54.329]  He was their drug dealer in the whole Iran-Contra deal.
[02:28:54.329 --> 02:28:55.930]  He threatened to go public.
[02:28:55.930 --> 02:28:57.111]  And they said, no, you won't.
[02:28:57.111 --> 02:29:00.535]  And instead of the mafia doing a hit, the US Army was the hit.
[02:29:01.224 --> 02:29:01.804]  Exactly.
[02:29:01.804 --> 02:29:10.967]  I think that, you know, once he was tired of being, you know, used and this and that, you know, he really wanted to do what was best for his country.
[02:29:10.967 --> 02:29:13.827]  And as soon as he had it conscious, we saw what happened.
[02:29:13.827 --> 02:29:15.228]  So.
[02:29:15.228 --> 02:29:16.148]  Wow.
[02:29:16.148 --> 02:29:18.349]  Do we know the name of the new film yet?
[02:29:18.349 --> 02:29:19.489]  There is no name yet.
[02:29:19.489 --> 02:29:23.370]  It's still in development, but it's developing rapidly.
[02:29:23.370 --> 02:29:26.231]  Well, you're an interesting fellow and congratulations on all your work.
[02:29:26.231 --> 02:29:29.812]  We'd love to get you back on next week or something for an update.
[02:29:29.812 --> 02:29:30.212]  Absolutely.
[02:29:30.891 --> 02:29:32.112]  Wow, well, you're my hero.
[02:29:32.112 --> 02:29:33.453]  Everybody likes you, Jeffrey.
[02:29:33.453 --> 02:29:35.434]  JeffreyMOsborne.com.
[02:29:35.434 --> 02:29:36.654]  Alright, take care, buddy.
[02:29:36.654 --> 02:29:37.615]  Great job.
[02:29:37.615 --> 02:29:38.415]  Thank you so much.
[02:29:38.415 --> 02:29:40.497]  I really appreciate you taking the time to put me on.
[02:29:40.497 --> 02:29:41.097]  Thank you.
[02:29:41.097 --> 02:29:45.520]  The latest on being listed as terrorist, Cliven Bundy joins us.
[02:29:45.520 --> 02:29:46.260]  Coming up next.
[02:29:46.260 --> 02:29:49.262]  Stay with us.
[02:29:49.262 --> 02:29:50.643]  We're on the march.
[02:29:50.643 --> 02:29:53.184]  The Empire's on the run.
[02:29:53.184 --> 02:29:55.866]  Alex Jones and the GCN Radio Network.
[02:30:00.169 --> 02:30:09.834]  Using unparalleled research in the development of a synergistic formulation based around the key concepts of super-oxygenation, the next level in cleansing is here.
[02:30:09.834 --> 02:30:19.759]  With key ingredients backed by real clinical studies, the new oxy powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[02:30:19.759 --> 02:30:22.681]  Many herbal colon cleansers are harsh on the body,
[02:30:22.881 --> 02:30:23.161]  I think?
[02:30:37.878 --> 02:30:39.479]  Aging starts at the cellular level.
[02:30:39.479 --> 02:30:42.880]  When cells become toxic, they die early and aging sets in.
[02:31:06.509 --> 02:31:10.974]  In the past decade, we have witnessed unparalleled scientific discoveries.
[02:31:10.974 --> 02:31:18.280]  During that period, key patented compounds have focused on mitochondrial growth, nerve growth, and rejuvenation.
[02:31:18.280 --> 02:31:27.369]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[02:31:27.569 --> 02:31:33.132]  We now have the synergistic solution, DNA Force, just one of the key compounds.
[02:31:33.132 --> 02:31:40.697]  BioPQQ is backed by major clinical studies and over 175 PubMed-listed published studies.
[02:31:40.697 --> 02:31:43.278]  You want the best that's out there at the lowest price anywhere?
[02:31:43.278 --> 02:31:48.441]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the InfoWood.
[02:31:48.761 --> 02:31:56.648]  Secure your DNA Force today at Infowarslife.com or call toll-free 888-253-3139.
[02:31:56.648 --> 02:32:00.291]  DNA Force from Infowarslife.
[02:32:00.291 --> 02:32:06.937]  When you're out on the road, the last place you want to be is on the road.
[02:32:06.937 --> 02:32:12.081]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[02:32:12.081 --> 02:32:13.863]  There's a place down in Tennessee
[02:32:16.147 --> 02:32:26.983]  Well they make blue diamond gusset jeans They sew pride in every stitch Guarantee you love the way they fit
[02:32:38.955 --> 02:32:41.096]  We turn jeans inside out.
[02:32:41.096 --> 02:32:42.876]  Diamond Gusset Jeans.
[02:32:42.876 --> 02:32:45.757]  Made in the USA with unparalleled quality.
[02:32:45.757 --> 02:32:49.818]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[02:32:49.818 --> 02:32:52.378]  So you can ride all day with confidence.
[02:32:52.378 --> 02:32:55.079]  Order yours at gusset.com.
[02:32:55.079 --> 02:32:56.660]  Diamond Gusset Jeans.
[02:32:56.660 --> 02:32:57.460]  Got it.
[02:32:57.460 --> 02:32:57.940]  Others don't.
[02:33:10.297 --> 02:33:19.821]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[02:33:19.821 --> 02:33:35.547]  Thomas Jefferson Well, you remember
[02:33:38.200 --> 02:33:47.905]  A few months ago, back during the whole Clive and Bundy situation in Nevada, Harry Reid came out and said that these people aren't patriots, they're domestic terrorists.
[02:33:47.905 --> 02:33:54.868]  You got the feds aiming guns at people, saying nowhere in the county, basically, without permission, could they hold a sign up.
[02:33:54.868 --> 02:33:59.270]  They said you have a free speech done out in the middle of a desert, one little pin, but there's no media.
[02:33:59.270 --> 02:34:02.072]  And then they beat up folks and had attack dogs go after them.
[02:34:04.013 --> 02:34:10.478]  And so thousands showed up, and a few people aimed guns at the cops, because they were aiming guns at them, the feds.
[02:34:10.478 --> 02:34:13.561]  And I wouldn't have aimed guns at the cops, at the feds.
[02:34:13.561 --> 02:34:15.662]  I think that escalates things.
[02:34:15.662 --> 02:34:19.745]  But only a few people out of 2,000 did that, and they may have been plants, probably were.
[02:34:19.745 --> 02:34:21.267]  The feds were aiming guns the whole time.
[02:34:21.267 --> 02:34:24.749]  First, though, saying, if you cross that line, we will shoot you.
[02:34:24.749 --> 02:34:29.113]  And David Knight and Josh Owens deserve medals.
[02:34:29.113 --> 02:34:32.615]  They marched to get the historic video, Feds Back Down,
[02:34:33.587 --> 02:34:34.408]  At Bundy Ranch.
[02:34:34.408 --> 02:34:35.689]  That video's got about a million views.
[02:34:35.689 --> 02:34:36.389]  You can go watch it.
[02:34:36.389 --> 02:34:38.571]  It should have 50 million views.
[02:34:38.571 --> 02:34:41.373]  And they said, we will shoot you.
[02:34:41.373 --> 02:34:46.016]  Men in military uniforms aiming M16s or M4 variants at them.
[02:34:46.016 --> 02:34:48.538]  And our guys walked across and they had to back down.
[02:34:48.538 --> 02:34:53.662]  And of course they were holding the Bundy's cattle at their barn and basically killing them.
[02:34:55.310 --> 02:34:56.871]  So, that's what happened.
[02:34:56.871 --> 02:35:06.700]  Look, smart folks are walking towards the armored paramilitary feds, I don't want to call them cops, with their hands up, because, very dangerous situation.
[02:35:06.700 --> 02:35:11.684]  And I don't want anybody to get hurt on either side, but is there no federal order that can't be followed?
[02:35:11.684 --> 02:35:22.874]  Because Obama is saying he's going to open the borders, he's going to take the guns under a UN treaty, he's going to shut down the power plants, he's going to bring in the carbon taxes with the Chinese government, whether you like it or not, whether Congress likes it or not.
[02:35:24.465 --> 02:35:26.747]  Remember Nixon said it's not illegal when the President does it.
[02:35:26.747 --> 02:35:28.528]  Well, we proved that wrong.
[02:35:28.528 --> 02:35:29.548]  I mean, was Hitler God?
[02:35:29.548 --> 02:35:33.451]  Because they misinterpret Romans 13 to say do whatever government says.
[02:35:33.451 --> 02:35:36.613]  If it's godly government.
[02:35:36.613 --> 02:35:38.014]  If it's in the right.
[02:35:38.014 --> 02:35:39.075]  If it's the people's government.
[02:35:39.075 --> 02:35:42.397]  Not if it's Mao Zedong or Stalin or Fidel Castro.
[02:35:42.397 --> 02:35:44.518]  And I mean, we know what this looks like.
[02:35:44.518 --> 02:35:51.303]  I'm sure those federal paramilitary BLM SWAT guys are probably, you know, not bad guys.
[02:35:51.303 --> 02:35:53.144]  But why does the BLM have big SWAT teams?
[02:35:55.922 --> 02:35:57.164]  I think they put military guys in.
[02:35:57.164 --> 02:35:58.786]  They didn't look like regular folks.
[02:35:58.786 --> 02:36:01.148]  They looked like real military.
[02:36:01.148 --> 02:36:04.332]  And not just your standard army people, but vets.
[02:36:04.332 --> 02:36:09.638]  So they probably sheep dipped in FBI hostage rescue team people or who knows what.
[02:36:10.376 --> 02:36:12.478]  But it's a serious situation now.
[02:36:12.478 --> 02:36:18.304]  One of Cliven's family tried to fly and was pulled out and then pulled out again and said, oh, you're on the terrorist list, basically.
[02:36:18.304 --> 02:36:21.207]  This is what this computerized system is all about.
[02:36:21.207 --> 02:36:22.909]  This is why they want to control our lives.
[02:36:22.909 --> 02:36:29.415]  It's not that we have something to hide, it's that the globalists want to control us and cannot be given these unconstitutional powers.
[02:36:29.415 --> 02:36:32.518]  We're going to talk to Cliven Bundy for an update here in just a moment.
[02:36:32.518 --> 02:36:33.579]  First off, Secret 12.
[02:36:35.174 --> 02:36:36.435]  It's two years in the making.
[02:36:36.435 --> 02:36:41.917]  It is the most powerful form of fused vitamin B12 out there.
[02:36:41.917 --> 02:36:55.124]  Half of the component is the exact pharmacological type that you inject, and the other type is another bioavailable form that the group thinks synergistically works with it.
[02:36:55.124 --> 02:36:56.704]  All I know is, I said half, it's 80%.
[02:36:59.349 --> 02:37:02.732]  Of the type that you inject, and it's 20% of the other type.
[02:37:02.732 --> 02:37:05.454]  I guess an earlier version had half and half.
[02:37:05.454 --> 02:37:09.638]  The point is, the point is, is that it is amazing.
[02:37:09.638 --> 02:37:11.700]  And I put it in water, personally, and then drank it.
[02:37:11.700 --> 02:37:12.700]  You can just put it in your mouth.
[02:37:12.700 --> 02:37:13.761]  Tastes great.
[02:37:13.761 --> 02:37:15.803]  And there's nothing in there but vitamin B12.
[02:37:15.803 --> 02:37:18.165]  And nobody else has put something else out like this.
[02:37:18.165 --> 02:37:21.528]  The pills don't absorb and are synthetic most of the time.
[02:37:21.528 --> 02:37:22.048]  Okay?
[02:37:22.048 --> 02:37:27.413]  This is the best lingual or sublingual out there, Secret 12, available at InfoWarsLife.com.
[02:37:27.893 --> 02:37:28.093]  Yeah.
[02:37:44.355 --> 02:37:53.144]  And you can get 10% off on Survival Shield X2 right now as part of the bio-defense pack at InfoWarsLife.com or again, 888-253-3139.
[02:37:53.144 --> 02:38:05.678]  And when you buy the Come and Take It t-shirts, the Molon Labe t-shirts, or long sleeves when you purchase the books and videos, you get tools to spread the word and you support this radio show.
[02:38:07.096 --> 02:38:12.221]  You heard that award-winning cinematographer, filmmaker, saying he's super influenced by this show.
[02:38:12.221 --> 02:38:23.093]  He's down there basically making a Panama Deception Part 2, I would guess, from what he said, like reaching out to the original maker, who won the Academy Award, and then it was never sold in stores.
[02:38:23.093 --> 02:38:27.097]  Because, I mean, that film was incredible.
[02:38:27.097 --> 02:38:29.680]  He's down there making basically an updated one.
[02:38:30.814 --> 02:38:33.615]  And that's how this show and others have influenced the culture.
[02:38:33.615 --> 02:38:35.256]  We're all in this together.
[02:38:35.256 --> 02:38:36.717]  Some folks may not like my delivery.
[02:38:36.717 --> 02:38:37.958]  I don't like it a lot of the time.
[02:38:37.958 --> 02:38:39.639]  But I got all these great reporters and researchers.
[02:38:39.639 --> 02:38:41.760]  Maybe you like their delivery.
[02:38:41.760 --> 02:38:43.701]  Or maybe you like that director's delivery.
[02:38:43.701 --> 02:38:44.961]  Maybe you like his style.
[02:38:44.961 --> 02:38:46.042]  We want freedom.
[02:38:46.042 --> 02:38:47.483]  We want to share it with each other.
[02:38:47.483 --> 02:38:48.203]  We love each other.
[02:38:48.203 --> 02:38:49.864]  We have goodwill towards humanity.
[02:38:49.864 --> 02:38:51.445]  That's what it's all about.
[02:38:51.445 --> 02:38:53.806]  And now there's been big developments on the Bundy Ranch, too.
[02:38:53.806 --> 02:38:57.668]  They're now saying that it's not just an environmental area, but it's this
[02:38:58.954 --> 02:38:59.654]  It's the same deal.
[02:38:59.654 --> 02:39:02.055]  But they prey on your acreage that you don't know development rules.
[02:39:28.496 --> 02:39:30.499]  So there's been new developments on that front.
[02:39:30.499 --> 02:39:32.281]  And we're joined by Cliven Bundy.
[02:39:32.281 --> 02:39:35.967]  Seven generations there, with open surface rights.
[02:39:35.967 --> 02:39:36.888]  Folks don't know what that means.
[02:39:36.888 --> 02:39:39.291]  They go, make that guy get off government land!
[02:39:39.291 --> 02:39:42.917]  The government came later, after he had surface rights, and told him he didn't.
[02:39:44.192 --> 02:39:47.254]  Yeah, they had a federal court say that, yeah, you have to basically get off.
[02:39:47.254 --> 02:39:51.576]  Well, you know, they got federal courts saying Obama can take your guns without a law in Congress.
[02:39:51.576 --> 02:39:54.999]  You got federal courts saying he can open the borders up without Congress.
[02:39:54.999 --> 02:39:57.520]  You got them saying he can raise taxes without Congress.
[02:39:57.520 --> 02:39:59.481]  That's a load of bull, folks!
[02:39:59.481 --> 02:40:01.102]  It's called tyranny!
[02:40:01.102 --> 02:40:03.083]  You gotta decide what side you're on.
[02:40:03.083 --> 02:40:04.204]  Cliven, thanks for coming on.
[02:40:04.204 --> 02:40:07.066]  That's quite an introduction, I know, but you can jump in wherever you like.
[02:40:08.081 --> 02:40:08.762]  Well, thank you.
[02:40:08.762 --> 02:40:09.504]  Appreciate it.
[02:40:09.504 --> 02:40:11.747]  And I want to say hello to America.
[02:40:11.747 --> 02:40:14.392]  It's nice to be able to visit with you one more time.
[02:40:14.392 --> 02:40:20.682]  Here on Bundy Ranch, you know, we have been enjoying some freedom since that standoff with the feds.
[02:40:21.417 --> 02:40:40.835]  And, you know, we the people did drive those feds out of this part of the county and off Bundy Ranch, and we have really enjoyed some freedom and liberties, and we've been able to ranch and, you know, picnic, have off-road enjoyment, and enjoy this land.
[02:40:40.835 --> 02:40:44.058]  And so, in that sense, we have accomplished a lot.
[02:40:45.214 --> 02:40:46.855]  And we're feeling good about it.
[02:40:46.855 --> 02:40:53.680]  We need to get our state to stand up for statehood, and our county sheriff to stand up to protect their lives, liberty, and property.
[02:40:53.680 --> 02:40:55.001]  But hey, we're progressing.
[02:40:55.001 --> 02:40:57.542]  We're doing good in America.
[02:40:57.542 --> 02:41:04.567]  Well, you're right, and the feds were tasering people in the middle of nowhere that held up signs.
[02:41:04.567 --> 02:41:07.248]  Attack dogs, they were creeping around everywhere.
[02:41:07.248 --> 02:41:09.350]  Harry Reid's gonna come out and say you're basically a terrorist.
[02:41:10.984 --> 02:41:11.684]  That's backfired.
[02:41:11.684 --> 02:41:13.805]  There's been a major political realignment.
[02:41:13.805 --> 02:41:17.806]  I want to talk about the political realignment and what happened to your son.
[02:41:17.806 --> 02:41:25.148]  But first off, Cliven, let's talk about the current state out there.
[02:41:25.148 --> 02:41:27.789]  Are they shooting kids bicycling in the back?
[02:41:27.789 --> 02:41:30.589]  Are they still pointing guns at ranchers?
[02:41:30.589 --> 02:41:32.590]  Are they still harassing everybody or what's going on?
[02:41:33.328 --> 02:41:40.834]  Well, they're not doing that on Bundy Ranch, and they're not doing that in this part of Clark County, but they are doing it all over the western United States.
[02:41:40.834 --> 02:41:49.261]  They've increased their power off this area, and they are abusing the citizens' property rights.
[02:41:49.261 --> 02:41:57.468]  And, you know, you wouldn't want to think that they're going to shoot some kid in the back, but hey, they've been doing that, and we haven't got that far stopped.
[02:41:58.078 --> 02:42:02.799]  You know, the people at Bundy's standoff made a mandate of the sheriff.
[02:42:02.799 --> 02:42:08.341]  He said, take those arms away from those federal agencies, those federal bureaucracies.
[02:42:08.341 --> 02:42:11.462]  If he took those arms away, they wouldn't be shooting people in the back.
[02:42:11.462 --> 02:42:14.903]  They don't have no jurisdiction or authority to do it now, but they are doing it.
[02:42:15.589 --> 02:42:29.703]  And we gotta have sheriffs across the United States that are constitutional, the sheriffs with the proper jurisdiction and authority, and anyone that's supposed to shoot somebody in the back if he's that bad a criminal, not these federal officers.
[02:42:31.499 --> 02:42:36.682]  Well, since when does a free country have hundreds of agencies running around dressed up in Army outfits?
[02:42:36.682 --> 02:42:38.684]  They should go join the Marine Corps!
[02:42:38.684 --> 02:42:40.625]  Well, sure, if they want to play Army.
[02:42:40.625 --> 02:42:43.127]  But you know, this is where Harry Reid comes in.
[02:42:43.127 --> 02:42:47.650]  Harry Reid has developed armies, and not only Harry Reid, it's our federal government.
[02:42:48.190 --> 02:42:50.471]  But let's blame it on Harry for a minute.
[02:42:50.471 --> 02:43:02.757]  Harry Reid has backed up all these different bureaucracies, agencies, and it's not only BLM and Forest Service and Park Service, but, you know, it's the school and Homeland Security and on and on.
[02:43:02.757 --> 02:43:04.518]  He's armed these people.
[02:43:04.518 --> 02:43:09.540]  You know, our federal government has armed these people with military weapons.
[02:43:09.540 --> 02:43:15.683]  Now, those people are not armed to protect us against foreign nations and foreign people, invasion, invasion.
[02:43:17.899 --> 02:43:20.600]  ...armed to kill American people.
[02:43:20.600 --> 02:43:24.021]  And that's what the proof of Bundy's standoff was proof.
[02:43:24.021 --> 02:43:26.261]  That's what they come for.
[02:43:26.261 --> 02:43:29.862]  I can't believe they'd threaten to shoot people if you crossed the line.
[02:43:29.862 --> 02:43:31.742]  But America stood up to that intimidation.
[02:43:31.742 --> 02:43:34.483]  But Reid is just looking for a way to come after you.
[02:43:34.483 --> 02:43:38.924]  Let's play that terrorist clip to remind folks what he's been saying.
[02:43:38.924 --> 02:43:40.464]  And then we'll get your take on it.
[02:43:40.464 --> 02:43:47.126]  You know, Reid also said he'd prove himself out.
[02:43:48.058 --> 02:43:49.359]  To be patriots.
[02:43:49.359 --> 02:43:50.159]  Or not.
[02:43:50.159 --> 02:43:53.081]  They're nothing more than domestic terrorists.
[02:43:53.081 --> 02:43:56.923]  And I think that we are a country that people should follow the law.
[02:43:56.923 --> 02:43:59.805]  And what went up in Mesquite is not very good.
[02:43:59.805 --> 02:44:02.747]  I repeat, what went up there is domestic terrorism.
[02:44:02.747 --> 02:44:03.608]  Okay?
[02:44:03.608 --> 02:44:05.208]  Domestic terrorism.
[02:44:05.208 --> 02:44:05.809]  Not tourism.
[02:44:07.401 --> 02:44:12.704]  That's right, that clip took a minute to play, but you've got the floor, Cliven, talk about it.
[02:44:12.704 --> 02:44:29.754]  Well, you know, what happens here is when they earmark you as a domestic terrorist, and he actually said later that was a violent domestic terrorist, he puts that earmark upon me and my family and all those that stood with us.
[02:44:30.394 --> 02:44:37.044]  Now, what the current event was, is you don't have a son that was going to try to fly from Phoenix, Arizona to Salt Lake City.
[02:44:37.044 --> 02:44:40.669]  Well, when he goes to get a clearance there, what is he?
[02:44:40.669 --> 02:44:43.634]  He's earmarked domestic terrorist.
[02:44:44.634 --> 02:44:45.054]  I don't think so.
[02:45:01.506 --> 02:45:07.371]  Uh, the local gun store and see if I can buy a gun, see if I'm listed there.
[02:45:07.371 --> 02:45:10.173]  And sure enough, they would not sell him a gun.
[02:45:10.173 --> 02:45:15.757]  He was in the, he was, he's been earmarked in that list, on that blacklist.
[02:45:15.757 --> 02:45:22.982]  And so if they did that to one of my sons, evidently they could be doing that to all of us.
[02:45:22.982 --> 02:45:25.184]  And all of us have stood against them for sure.
[02:45:27.952 --> 02:45:29.733]  Continue going down the line then.
[02:45:29.733 --> 02:45:32.034]  What do you think of this major political realignment?
[02:45:32.034 --> 02:45:35.216]  Do you think that's a repudiation of these type of activities by Harry Reid?
[02:45:35.216 --> 02:45:37.878]  He's one of the most unpopular people out there.
[02:45:37.878 --> 02:45:41.920]  Well, political realignment don't mean anything to me.
[02:45:41.920 --> 02:45:46.683]  You know what means something to me is when our United States Congressman
[02:45:47.697 --> 02:45:56.581]  And our President of the United States and our Supreme Court realized that they only have limited power over certain things here in America.
[02:45:56.581 --> 02:46:00.583]  Now when they get back there and take care of their business back in Washington, D.C.
[02:46:00.583 --> 02:46:05.986]  and they make legislation over those things that they're in charge of, that's just fine.
[02:46:05.986 --> 02:46:15.491]  But when they come out here in these sovereign states in America and start telling us what we're going to do and how we're going to do it, and if we don't do it they're going to bring an army against us,
[02:46:15.871 --> 02:46:17.152]  We're not going to put up with that.
[02:46:17.152 --> 02:46:18.833]  Not us people here in America.
[02:46:18.833 --> 02:46:20.674]  And those people have a place.
[02:46:20.674 --> 02:46:22.595]  But it's not here in these sovereign states.
[02:46:22.595 --> 02:46:25.737]  They have very little to do with these sovereign states.
[02:46:25.737 --> 02:46:27.738]  I'm not saying they don't have nothing.
[02:46:27.738 --> 02:46:36.923]  But their courts and their bureaucracies have very little to do in these sovereign states of America.
[02:46:36.923 --> 02:46:38.704]  Elaborate on that.
[02:46:38.704 --> 02:46:41.486]  Well, for example, this is a current event.
[02:46:42.128 --> 02:46:48.771]  They're coming back with retaliation against Bundy Rights right now.
[02:46:48.771 --> 02:46:50.832]  And the people of Southern Nevada.
[02:46:50.832 --> 02:46:51.633]  What are they doing?
[02:46:51.633 --> 02:46:55.955]  They're putting more environmental restrictions on the land.
[02:46:55.955 --> 02:47:00.197]  It's called Areas of Critical Environmental Concern.
[02:47:00.197 --> 02:47:01.157]  ACEC.
[02:47:01.157 --> 02:47:06.340]  They're basically making all of Southern Nevada an ACEC.
[02:47:06.340 --> 02:47:08.941]  And basically what's happened in the past
[02:47:10.012 --> 02:47:25.222]  On these environmental issues and this so-called public land, they've said, we're going to give you land, and what we're going to do is we're going to give you, you can go down the sidewalk, but you can't get off on the grass.
[02:47:25.222 --> 02:47:28.665]  And if you get off on the grass, you'll get a fine of $400 or $500.
[02:47:28.665 --> 02:47:31.547]  You know, that ruins the picnic.
[02:47:31.547 --> 02:47:39.092]  But this new regulation they're putting up over the land is taking away the sidewalks.
[02:47:39.784 --> 02:47:42.306]  So no, in other words, don't go down the sidewalk.
[02:47:42.306 --> 02:47:44.947]  You can't go down the sidewalk without getting a $500 fine.
[02:47:44.947 --> 02:47:58.536]  So that's a new restriction they're putting over Bundy's Ranch and also all over the southern, in Clark County, Knight County, and Lincoln County, portions of them, in Southern Nevada.
[02:47:58.536 --> 02:47:59.797]  Well sure, for those that don't know.
[02:47:59.797 --> 02:48:04.780]  It's a new restriction, retaliation against we the people for standing up against the feds.
[02:48:05.984 --> 02:48:15.069]  Well, for those that don't know, Cliven, Congress had maps put together off the UN coordinates of areas that would be completely off human use.
[02:48:15.069 --> 02:48:16.189]  And guess what?
[02:48:16.189 --> 02:48:24.834]  You live in an area that they basically have completely out of human use, but then only the globalists are allowed to operate in those areas.
[02:48:24.834 --> 02:48:26.915]  This is how they make their land more valuable.
[02:48:26.915 --> 02:48:31.377]  They make all the other land unusable, except the land they own.
[02:48:31.377 --> 02:48:34.258]  That's how they create artificial scarcity, and this is an Agenda 21
[02:48:35.829 --> 02:48:36.070]  U.N.
[02:48:53.653 --> 02:48:56.295]  So they are coming out on every front.
[02:48:56.295 --> 02:48:58.517]  Obama says that China doesn't have to cut their carbon.
[02:48:58.517 --> 02:49:00.619]  We're going to cut ours and double the price.
[02:49:00.619 --> 02:49:02.781]  That means double the price of our energy.
[02:49:02.781 --> 02:49:05.443]  I mean, this is a strategy to shut us down.
[02:49:05.443 --> 02:49:10.427]  You said there were 30 plus families that came in on those wagon trains in the 1870s into your county.
[02:49:10.427 --> 02:49:14.410]  You know, when your great great great great granddaddy was there.
[02:49:14.410 --> 02:49:15.511]  You're one of the last families.
[02:49:15.511 --> 02:49:16.312]  Aren't you the last?
[02:49:17.893 --> 02:49:25.121]  I am the last cattle rancher that actually uses this land.
[02:49:25.121 --> 02:49:26.102]  No, you're a bad person!
[02:49:26.102 --> 02:49:26.502]  Listen, listen!
[02:49:28.117 --> 02:49:42.191]  Listen, if you weighed 600 pounds and wore 6X underwear, you could get on a bus, come to the U.S., they'll load you on a bus, take you and put you on welfare, you can sit there and watch daytime soap operas and get up to a thousand pounds.
[02:49:42.191 --> 02:49:49.338]  But the fact that you, the fact that you produce food and are hard-working, aren't a criminal, that's why you gotta be hunted down, Cliven!
[02:49:49.338 --> 02:49:50.158]  Yep, I guess.
[02:49:50.158 --> 02:49:50.819]  But you know what?
[02:49:50.819 --> 02:49:52.821]  I want to talk to you about something that's happening.
[02:49:53.972 --> 02:49:56.975]  You know, there's a line, Drew.
[02:49:56.975 --> 02:49:59.638]  Let's look at it as like a white line down the highway.
[02:49:59.638 --> 02:50:06.144]  I want your audience to shut their eyes and say, okay, I see a black road here with a white line.
[02:50:06.144 --> 02:50:09.728]  You know, we in America now have drawn a line.
[02:50:09.728 --> 02:50:18.136]  And you're either going to be on the Constitutional, where we believe in the Constitution of the United States, the supreme law of the land, or
[02:50:18.920 --> 02:50:20.561]  And I'll add more to that.
[02:50:20.561 --> 02:50:24.604]  The Inspired Constitution is supreme law of the land.
[02:50:24.604 --> 02:50:35.891]  And we're going to believe in sovereign states and state law and county governments and county sheriff having the jurisdiction and authority of policing power and arresting power.
[02:50:35.891 --> 02:50:41.094]  And his job, we pay him to do that job, and his job is to protect our lives, liberty, and property.
[02:50:41.734 --> 02:50:43.156]  And also it goes a little further.
[02:50:43.156 --> 02:50:46.139]  You know, we elect our judges at the county level.
[02:50:46.139 --> 02:50:46.579]  I hear you.
[02:50:46.579 --> 02:50:47.100]  Stay there.
[02:50:47.100 --> 02:50:53.165]  We need to make them stand up and do their job, not become federal minions and the feds themselves have been captured by the globalists.
[02:50:53.165 --> 02:50:54.547]  That's how you conquer America.
[02:50:54.547 --> 02:50:57.029]  I want to talk about your son getting put on the no-fly list.
[02:50:57.029 --> 02:50:57.530]  We come back.
