[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[02:10:52.300 --> 02:10:54.300]  We have the story. They did a story about that.
[02:10:54.300 --> 02:11:00.300]  So that confirms it, but because he is a lawyer and because he's suing the government,
[02:11:00.300 --> 02:11:06.300]  Jesse Trinadu was able to get in and interview for a day and a half Terry Nichols.
[02:11:06.300 --> 02:11:12.300]  Now, again, the exhibits have been sealed, but not before the Salt Lake City Tribune
[02:11:12.300 --> 02:11:18.300]  and of course the Desert News were able to see it and they named Larry Potts, Deputy FBI Director,
[02:11:18.300 --> 02:11:22.300]  as being behind and masterminding the bombing.
[02:11:22.300 --> 02:11:26.300]  But the counselor we have on can now not get into anything else and it wasn't in the paper
[02:11:26.300 --> 02:11:29.300]  because it's now been sealed and they can try to throw the whole thing out,
[02:11:29.300 --> 02:11:32.300]  but we do have a lot of other developments that he can discuss.
[02:11:32.300 --> 02:11:34.300]  Mr. Trinadu, thank you for coming on today.
[02:11:34.300 --> 02:11:36.300]  Thank you for having me.
[02:11:36.300 --> 02:11:39.300]  And thanks for sitting there while I reintroduce things.
[02:11:39.300 --> 02:11:43.300]  But for those that don't know your story, just do a thumbnail sketch about your brother, what happened.
[02:11:43.300 --> 02:11:45.300]  Bring us up to speed with the filing.
[02:11:45.300 --> 02:11:49.300]  You're trying to get a videotaped deposition for your lawsuit dealing with your brother,
[02:11:49.300 --> 02:11:51.300]  wrongful death and federal custody.
[02:11:51.300 --> 02:11:55.300]  Walk us through it and then we'll get into this new BBC report and what you've heard
[02:11:55.300 --> 02:11:59.300]  because that's some bombshell revelations if that is indeed the case.
[02:11:59.300 --> 02:12:04.300]  My brother was murdered while in federal custody in Oklahoma City shortly after the bombing.
[02:12:04.300 --> 02:12:09.300]  Turns out now that he was murdered because the FBI thought he was Richard Lee Guthrie
[02:12:09.300 --> 02:12:13.300]  who I now suspect was John Doe too in a bombing.
[02:12:13.300 --> 02:12:19.300]  And I didn't set out to solve the bombing or get involved with the bombing, the Murrow Building in any fashion.
[02:12:19.300 --> 02:12:22.300]  It's just trying to find out what happened to my brother and who killed him
[02:12:22.300 --> 02:12:25.300]  and it's all taking me back to the bombing.
[02:12:25.300 --> 02:12:30.300]  Now your brother had his throat slit, his head basked in three places,
[02:12:30.300 --> 02:12:34.300]  burn marks, electrical burns all over his bodies, black and blue, they tried to cremate,
[02:12:34.300 --> 02:12:37.300]  but you're a lawyer, you're able to block that, get the body.
[02:12:37.300 --> 02:12:41.300]  And then when they actually got Richard Lee Guthrie, they tortured him to death the same way.
[02:12:41.300 --> 02:12:43.300]  Can you talk about that?
[02:12:43.300 --> 02:12:47.300]  All I know is Richard Lee Guthrie, the day before he was supposed to give an interview
[02:12:47.300 --> 02:12:52.300]  and tell everything he knew about the Oklahoma City bombing was supposedly committed suicide.
[02:12:52.300 --> 02:12:55.300]  And that's who they thought your brother was?
[02:12:55.300 --> 02:13:00.300]  Yes, they looked like my brother, same bill, driving the same kind of vehicle,
[02:13:00.300 --> 02:13:05.300]  and both had a dragon tattoo on their left forearm and that was the description of,
[02:13:05.300 --> 02:13:11.300]  they both matched the description of John Doe too that the FBI was circulating when my brother was arrested.
[02:13:11.300 --> 02:13:16.300]  Ken, I know it's hard for you to talk about, but for those, we have some of the autopsy photos,
[02:13:16.300 --> 02:13:20.300]  pre-op, post-autopsy photos up on the side, can you describe what they did to your brother?
[02:13:20.300 --> 02:13:26.300]  Oh, he was beaten head to toe, front to back, his head was smashed in three places, his throat was cut,
[02:13:26.300 --> 02:13:32.300]  even the soles of his feet had been beaten, and he stun gun marks all over his, burn marks all over his body.
[02:13:32.300 --> 02:13:36.300]  He was eventually strangled with a pair of plastic handcuffs.
[02:13:36.300 --> 02:13:38.300]  And that slash his throat?
[02:13:38.300 --> 02:13:45.300]  Yes. No, no, his throat was cut. I think his throat was slash cutting the handcuffs off.
[02:13:45.300 --> 02:13:52.300]  Now, describe how you got in contact with Jerry Nichols.
[02:13:52.300 --> 02:13:59.300]  Well, in the beginning, I had no inkling that my brother's murder was related to the Oklahoma City bombing.
[02:13:59.300 --> 02:14:06.300]  I received an anonymous phone call and must have been early January of 1996 or late December of 1995.
[02:14:06.300 --> 02:14:09.300]  The caller said my brother had been murdered by the FBI.
[02:14:09.300 --> 02:14:16.300]  He died in an interrogation that got out of hand, that he fit the profile of a group who were robbing banks
[02:14:16.300 --> 02:14:21.300]  to fund the tax upon the federal government, and he wasn't a member of that group.
[02:14:21.300 --> 02:14:25.300]  It was a case of mistaken identity, but things just went bad.
[02:14:25.300 --> 02:14:30.300]  And I didn't, I just blew it off as just a nut calling me.
[02:14:30.300 --> 02:14:35.300]  And then about six months later, I read a story in the Los Angeles Times about a man named Richard Lee Guthrie
[02:14:35.300 --> 02:14:41.300]  who was found hanging in his cell the day before he was going to supposedly talk about the Oklahoma City bombing.
[02:14:41.300 --> 02:14:50.300]  And he was a member of a group called the Midwest Bank robbery gang that was robbing banks to get money to fund bombing attacks on the federal government.
[02:14:50.300 --> 02:14:53.300]  And they didn't have a photograph of Guthrie with the story, though.
[02:14:53.300 --> 02:15:00.300]  And then where it all came together was shortly before his execution, I received a message from Tim McVeigh
[02:15:00.300 --> 02:15:06.300]  who told me that when he saw my brother's photograph and read about what happened to him that he knew the FBI had killed my brother
[02:15:06.300 --> 02:15:08.300]  because they thought he was Richard Lee Guthrie.
[02:15:08.300 --> 02:15:12.300]  Now, if we can, and again, we're very appreciative of your time.
[02:15:12.300 --> 02:15:19.300]  We know you're very busy, sir, walk through without getting into the sealed exhibits, what you filed, why you filed it,
[02:15:19.300 --> 02:15:24.300]  and the things that are in the record about what Terry Nichols told you.
[02:15:24.300 --> 02:15:27.300]  And then I want to get into the new BBC developments you've learned of.
[02:15:27.300 --> 02:15:33.300]  Well, I was eventually contacted by Terry Nichols who said he had a story he wanted told and he couldn't get it out.
[02:15:33.300 --> 02:15:38.300]  And I was able, excuse me, I was able to get in to see him and spend a day and a half with him.
[02:15:38.300 --> 02:15:43.300]  He wants to tell the story about the bombing. He wants to tell the story about the others involved.
[02:15:43.300 --> 02:15:51.300]  He gave me a sworn statement to which we're attached a number of documents, including FBI documents.
[02:15:51.300 --> 02:16:01.300]  I filed that statement in support of a motion I had brought in federal court for an order allowing me to take Terry Nichols sworn deposition
[02:16:01.300 --> 02:16:03.300]  and to videotape that deposition.
[02:16:03.300 --> 02:16:09.300]  Upon the filing of the declaration, the documents were ordered sealed.
[02:16:09.300 --> 02:16:16.300]  Now, you talked about this being record fast to get something sealed.
[02:16:16.300 --> 02:16:24.300]  It happened very quickly. I filed it and then before it enters the docket, there's an order sealing it.
[02:16:24.300 --> 02:16:35.300]  But not before two newspapers were able to see it enlist the fact that Terry Nichols reported that McVeigh had told him that Larry Potts was commanding the bombing operation.
[02:16:35.300 --> 02:16:39.300]  I don't know if they were able to see it in time or not. I assume they probably did.
[02:16:39.300 --> 02:16:46.300]  They reported they saw it and reported that. That's correct.
[02:16:46.300 --> 02:16:49.300]  But obviously you can't even confirm that now because it's been sealed.
[02:16:49.300 --> 02:16:58.300]  No. The danger for me is if I get into it, I will get orders or motions from the FBI for contempt and to have the case thrown out.
[02:16:58.300 --> 02:17:02.300]  And as far as I know, this is the only case in existence that's going after this.
[02:17:02.300 --> 02:17:04.300]  We don't want to go anywhere near that then and you haven't.
[02:17:04.300 --> 02:17:14.300]  Let's now get into the BBC. You say that you've talked to those in and around the report and you're hearing there's going to be some amazing revelations in it.
[02:17:14.300 --> 02:17:15.300]  Can you go through that?
[02:17:15.300 --> 02:17:18.300]  I can tell you, but it's probably best to start in the beginning.
[02:17:18.300 --> 02:17:34.300]  As in June of this year, June of 2006, the federal judge here in Salt Lake City ordered the FBI to turn over documents to me linking it to a failed sting operation at Elohim City that led to the bombing and the Murrow Building.
[02:17:34.300 --> 02:17:43.300]  The FBI came back and told the judge that they had promised for informants anonymity and not to turn over anything.
[02:17:43.300 --> 02:17:47.300]  They never denied the accusations about being involved in the bombing.
[02:17:47.300 --> 02:17:56.300]  The judge said that while he could not, as a matter of law, disclose the names, he ordered them to black the names out and to turn over the documents to me.
[02:17:56.300 --> 02:18:05.300]  When that happened, I was contacted by the United States television media out of New York and the major networks and network headquarters.
[02:18:05.300 --> 02:18:20.300]  They asked for those copies of those documents. I said, yes, you can have them. And I'm asked more or less, are you going to tell this story? And what I got back from CBS and NBC and MSNBC and CNN was the story was so ugly that they wanted to be second.
[02:18:20.300 --> 02:18:22.300]  They didn't want to go first with this story.
[02:18:22.300 --> 02:18:38.300]  And then I received a call from a BBC producer who asked me about the documents and could he come over and look at them and I said, sure. So he and a reporter came in June of 2006, spent three days in Salt Lake City going over the court records and the documents.
[02:18:38.300 --> 02:18:45.300]  They came back in September with a film crew and spent a month filming in Oklahoma City, Texas, and I don't know where.
[02:18:45.300 --> 02:18:55.300]  And later, to be clear, it was learned that separate documents had been released that hadn't been blacked out so you could compare the two. These have been confirmed to be authentic and it points the finger directly at the government.
[02:18:55.300 --> 02:19:12.300]  It does. They had informants in with McVeigh at Elting City and had advanced knowledge of the bombing but didn't stop it. So the BBC film crew comes back and spends a month here putting together an hour-long understanding story about the FBI and ATS involvement in the bombing.
[02:19:12.300 --> 02:19:18.300]  And it airs primetime this Sunday, March 4th, 2007 in Europe.
[02:19:18.300 --> 02:19:27.300]  Now, one of the other producers who made the 9-11 segment for this four-part series was laughing at me at dinner saying he didn't believe a word of 9-11 being an inside job.
[02:19:27.300 --> 02:19:34.300]  But I brought a book of Oklahoma City and he said, oh yes, we're doing one on that and that's entirely different. Oh, that's very serious.
[02:19:34.300 --> 02:19:43.300]  So that lends credence to what you're saying that this may be a fair piece on Sunday. But none of it has anything to do with Guy Smith. I'll tell you right now.
[02:19:43.300 --> 02:19:56.300]  I said I have not seen the piece. All I know is they came on their last day in the United States, which was October 1st, I think, and spent the day with me and shot some footage, but they had spent the entire month.
[02:19:56.300 --> 02:20:06.300]  That's my understanding in filming other people. And did they tell you they were convinced of inside job or prior knowledge and involvement when they left you, or what did they say?
[02:20:06.300 --> 02:20:15.300]  All I know is that apparently they have people who are going on film to talk about the FBI's involvement.
[02:20:15.300 --> 02:20:30.300]  Let's talk about that on the other side. This is a huge revelation. Wait till you hear the details of it in the final segment with our guest, Jesse Trinidad.
[02:20:30.300 --> 02:20:38.300]  Good morning, honey. Wow, the weather is beautiful, the cabin is terrific, and it's the first day of our vacation.
[02:20:38.300 --> 02:20:39.300]  Yeah.
[02:20:39.300 --> 02:20:41.300]  Honey, is there something wrong?
[02:20:41.300 --> 02:20:51.300]  Yeah, I just realized we forgot to pack the travel burky system. I can't drink this cabin water, and what am I going to do when I'm out on the lake? Now the whole vacation is ruined.
[02:20:51.300 --> 02:20:55.300]  Honey, cheer up. I brought our sport burky purifiers.
[02:20:55.300 --> 02:20:56.300]  What?
[02:20:56.300 --> 02:21:06.300]  Yeah, I know you're picky about not having pathogenic bacteria, organic chemicals, heavy metals or foul tastes, and odors in the water, so I packed our sport burky purifiers.
[02:21:06.300 --> 02:21:11.300]  You know, this is a terrific cabin, and wow, have you noticed the beautiful weather?
[02:21:11.300 --> 02:21:21.300]  Don't ruin your vacation. Get a travel burky today for only $209 or get a sport burky for only $39. Call 888-803-4438.
[02:21:21.300 --> 02:21:29.300]  That's 888-803-4438 or order on the web at burkywater.com. Travel burky not available in Iowa.
[02:21:29.300 --> 02:21:36.300]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[02:21:36.300 --> 02:21:46.300]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year. This is a glaring testimony of how quickly the U.S. dollar can be devalued.
[02:21:46.300 --> 02:21:52.300]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[02:21:52.300 --> 02:22:00.300]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[02:22:00.300 --> 02:22:10.300]  Midas Resources is offering the Red Book and Silver Dollar for only $27.95. The Red Book is the number one best-selling guide to gold and silver coins.
[02:22:10.300 --> 02:22:21.300]  Call for your copy today. It's 800-686-2237. If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[02:22:21.300 --> 02:22:28.300]  Call 800-686-2237. That's 1-800-686-2237.
[02:22:52.300 --> 02:22:59.300]  To be used to destroy America so that we could be merged into an all-powerful one-world government.
[02:22:59.300 --> 02:23:08.300]  We would like to help you understand how these things are coming to pass by offering you an absolutely free one-year subscription to NewsWatch Magazine.
[02:23:08.300 --> 02:23:23.300]  Just call our toll-free number 1-800-516-8736. That's 1-800-516-8736 to request your subscription.
[02:23:23.300 --> 02:23:49.300]  Call now. Operators are standing by to receive your call.
[02:23:49.300 --> 02:23:56.300]  However, the insider secrets revealed allow you to get out of debt so fast and so completely that it makes some people feel like they're cheating, but they're not.
[02:23:56.300 --> 02:24:05.300]  The secrets taught in the manual are 100% legal and 100% ethical. It's just that bankers, debt collectors, and credit card companies don't want you to know about these loopholes.
[02:24:05.300 --> 02:24:12.300]  Learn how to finally teach those financial vultures some humility by beating them at their own game and above all, learn how to bail out for a soft landing.
[02:24:12.300 --> 02:24:38.300]  Get control. Get relief. Get some sleep. Go to www.outin90.com. That's www.outin90.com or call 877-327-0365. That's 877-327-0365.
[02:24:38.300 --> 02:24:49.300]  In 1814, we took a little trip along with Colonel Jackson down the mighty Mississippi. We took a little bacon and we took a little beans and we caught the bloody British in a town in New Orleans.
[02:24:49.300 --> 02:25:02.300]  We fired our guns and the British kept becoming. There wasn't as many as there was a while ago. We fired once more and they'd begin to run in on down to Mississippi to the Gulf of Mexico.
[02:25:02.300 --> 02:25:11.300]  We looked down a river and we see the British come and they must have been a hundred of them beating on the drums. They stepped so high and they made their bugles ring.
[02:25:11.300 --> 02:25:17.300]  We stood beside our cotton veils and didn't say a thing. We fired our guns and the British kept becoming. There wasn't as many as there was a while ago.
[02:25:17.300 --> 02:25:21.300]  Welcome back. What you're trying to do is our guest to be with us a little bit in the next segment.
[02:25:21.300 --> 02:25:27.300]  Okay, incredible revelations. We're going to report out on this tonight. This is what you were told. We'll see if this happens.
[02:25:27.300 --> 02:25:32.300]  Because this is some of the same intel I've been getting, but we'll see what develops. This is what you were told.
[02:25:32.300 --> 02:25:48.300]  You're now saying that there's a report that Danny Coulson, the big founder of the FBI Anti-Terror Wing, the top, I'd say six or seven in the FBI at the time, in the top echelon is now saying that there was a government operative involved.
[02:25:48.300 --> 02:25:54.300]  He's naming Andre Strasmeyer, who we know is German intelligence that's now been admitted. Please tell us about this.
[02:25:54.300 --> 02:26:06.300]  Well, I don't know if to be so all I know is what I've been told that he is apparently was interviewed and spoke candidly and at length about the Oklahoma City bombing and the investigation.
[02:26:06.300 --> 02:26:18.300]  And the three things I have been told was that he or were rather is that he was ordered out of the Justice Department not to pursue the Elohim city involvement in the bombing.
[02:26:18.300 --> 02:26:20.300]  Not to go there.
[02:26:20.300 --> 02:26:31.300]  Tell me during a break, though, that the BBC was telling you that he's sit down on camera and fingers Andre Strasmeyer. Can you repeat that?
[02:26:31.300 --> 02:26:40.300]  It's my understanding that he says that it's his belief that Strasmeyer was an agent working for foreign government.
[02:26:40.300 --> 02:26:46.300]  Man, this runs so deep. You've then got Iraqis running around in the middle of it. We know brought in by the US government.
[02:26:46.300 --> 02:26:52.300]  You've got white supremacists. You've got McVeigh going around trying to create a history of gun shows and with militias to then blame them.
[02:26:52.300 --> 02:26:59.300]  This is a classic black op. What other individuals did you hear sit down and bring forward these revelations?
[02:26:59.300 --> 02:27:01.300]  I have not heard who else they have on camera.
[02:27:01.300 --> 02:27:03.300]  Did you hear what they supposedly say?
[02:27:03.300 --> 02:27:18.300]  No. It's very close to the vest, but apparently it's being promoted very heavily in Europe on television and in the print media about the show and its significance.
[02:27:18.300 --> 02:27:28.300]  It's just amazing. I know there's a lot of other facets and points we could go over. Right now, let me just ask you the question.
[02:27:28.300 --> 02:27:40.300]  What is the process now on your filing with your lawsuit to try to get the videotaped deposition with Terry Nichols and how could the government even try to block that?
[02:27:40.300 --> 02:27:49.300]  Oh, I expect a vicious fight over that. They have probably another two weeks in which to respond to that motion.
[02:27:49.300 --> 02:28:02.300]  I expect a full out war and court over it. If it's granted, I fully expect them to appeal and not submit to the judge's order.
[02:28:02.300 --> 02:28:07.300]  I will be very surprised if they roll over on this one.
[02:28:07.300 --> 02:28:22.300]  Because they don't want that video getting out to the American people. The media predominantly has ignored this breaking news the last week and a half of the affidavit of Terry Nichols and the other affidavit, but I don't know how they ignored the videotaped.
[02:28:22.300 --> 02:28:33.300]  No, it would be very difficult. Of course, my plan is if I'm successful in getting that deposition is to release the tape immediately.
[02:28:33.300 --> 02:28:41.300]  Well, I pray you release it to us. I'll jump on an airplane to go pick it up. Well, that's a dangerous job.
[02:28:41.300 --> 02:28:59.300]  But I tell you, they killed your brother and you're not going to stop. This is like a fairy tale or something. This is the classic thing where they kill some innocent person and the brother starts out to find out why and finds out there's a much bigger world out there.
[02:28:59.300 --> 02:29:05.300]  It's an ugly, ugly story. They killed a whole bunch of people.
[02:29:05.300 --> 02:29:07.300]  It's a tragedy.
[02:29:07.300 --> 02:29:17.300]  People say, how can you say they killed them? My belief is that if your informants help build a bomb, you kill the people.
[02:29:17.300 --> 02:29:31.300]  Have you researched the World Trade Center where the New York Times and CBS News both confirm, and it's admitted on record they haven't debated it, that the FBI cooked the bomb, trained the drivers and funded the whole thing, and then told the guy that built it was a sting, and then he thought they were setting him up.
[02:29:31.300 --> 02:29:37.300]  So he recorded them telling them, the FBI, go ahead and let it be bombed. The first World Trade Center, did you know that?
[02:29:37.300 --> 02:29:40.300]  I did not, but it's not. It wouldn't surprise me.
[02:29:40.300 --> 02:29:47.300]  Jesse, why do you think elements of the government like to kill people and then blame it to get more funding or why?
[02:29:47.300 --> 02:29:59.300]  I don't know why. All I know is with the sting operation in Ellium City, I think it was to restore their image and prestige after Waco and Ruby Ridge.
[02:29:59.300 --> 02:30:05.300]  They had suffered terribly as a result of Waco and Ruby Ridge.
[02:30:05.300 --> 02:30:11.300]  Let's talk about that when we get back in the final segment and then we'll go to your calls. Final segment with our guests and we'll get your calls, I promise.
[02:30:11.300 --> 02:30:19.300]  Yeah, but just stopping a bombing isn't as good as letting one go forward. No, that's even better.
[02:30:19.300 --> 02:30:29.300]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[02:30:29.300 --> 02:30:35.300]  It's a fact. You can legally eliminate credit card debt which has been fraudulently created by the banks.
[02:30:35.300 --> 02:30:40.300]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[02:30:40.300 --> 02:30:44.300]  So why should you, the hardworking American, be harassed for yours?
[02:30:44.300 --> 02:30:51.300]  There's a double standard when it comes to being responsible for debt and unlike the Federal Reserve, the people of this country can't print more money when needed.
[02:30:51.300 --> 02:30:59.300]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[02:30:59.300 --> 02:31:01.300]  This is not a debt consolidation company.
[02:31:01.300 --> 02:31:10.300]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt instead of living each day in fear.
[02:31:10.300 --> 02:31:21.300]  It's time to turn your life around. Call Day of Jubilee. Open 9 a.m. to 5 p.m. Central Standard Time at 920 293 8024.
[02:31:21.300 --> 02:31:29.300]  That's 920 293 8024 and ask for Robert. Don't wait any longer to get your life back in order.
[02:31:29.300 --> 02:31:36.300]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[02:31:36.300 --> 02:31:42.300]  Globalists are concerned with what's good for big business in the American Empire instead of what's fair for the American people.
[02:31:42.300 --> 02:31:46.300]  The only antidote to the poison of globalism is nationalism.
[02:31:46.300 --> 02:31:48.300]  Start reading The Nationalist Times each month.
[02:31:48.300 --> 02:31:54.300]  The Nationalist Times promotes a common sense, intelligent and passionate alternative to the reigning party line.
[02:31:54.300 --> 02:32:03.300]  Published monthly since 1985, The Nationalist Times has a 20-page newspaper featuring outstanding writers and columnists who don't believe in taboos or sacred cows.
[02:32:03.300 --> 02:32:10.300]  Be one of the many thousands of loyal readers of The Nationalist Times. Subscribe now to The Nationalist Times just $19 for one year.
[02:32:10.300 --> 02:32:12.300]  That's 50% off the regular price.
[02:32:12.300 --> 02:32:19.300]  Send your $19 subscription to The Nationalist Times PO Box 426 Allison Park PA 15101.
[02:32:19.300 --> 02:32:34.300]  That's The Nationalist Times PO Box 426 Allison Park PA 15101 or subscribe online at our website www.anu.org.
[02:32:50.300 --> 02:32:56.300]  But now it's cancer's turn to die with lace med inks, patented methodology.
[02:32:56.300 --> 02:33:07.300]  Without cutting, bleeding, drugs or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[02:33:07.300 --> 02:33:10.300]  Laser technology at its best.
[02:33:10.300 --> 02:33:24.300]  For more information call 702-953-0267 or visit www.lansemedinc.com.
[02:33:24.300 --> 02:33:40.300]  Call 702-953-0267.
[02:33:40.300 --> 02:33:47.300]  By bombing the Oklahoma City Federal Murrow Building you get to have the feds circle the wagons against the American people.
[02:33:47.300 --> 02:33:55.300]  This new attitude of there's lurking criminals everywhere. We've got to have secret police and spy networks policing the nation.
[02:33:55.300 --> 02:34:11.300]  And then it's really the secret police spy networks that are perfect for carrying out future terror and provocateur operations and getting more than double the funding for the anti-terror arms of the FBI and, of course, the BATF and their actions.
[02:34:11.300 --> 02:34:14.300]  And that's what happened and saved Bill Clinton's presidency.
[02:34:14.300 --> 02:34:20.300]  Now here we are today. Jesse trying to do, in closing, and we're going to go to the calls.
[02:34:20.300 --> 02:34:31.300]  How long until ballpark till we find out what the feds are going to do on your filing for a videotape deposition and you think they'll appeal? How do you see this playing out?
[02:34:31.300 --> 02:34:50.300]  They'll have, I said, at least two weeks, an additional weeks to respond. I'll have a short time thereafter in which to do a final reply in support of my motion. The judge will set a hearing date according to his calendar and then he'll decide to matter.
[02:34:50.300 --> 02:34:55.300]  And if he decides in my favor, I fully expect an appeal from the FBI.
[02:34:55.300 --> 02:34:57.300]  Is this a good judge?
[02:34:57.300 --> 02:34:59.300]  He is an excellent judge.
[02:34:59.300 --> 02:35:04.300]  So you've been getting favorable constitutional responses from him.
[02:35:04.300 --> 02:35:10.300]  He upholds the law in the Constitution and he ordered the FBI to turn over those documents.
[02:35:10.300 --> 02:35:14.300]  And I don't have the court in front of me. Which court is this particularly?
[02:35:14.300 --> 02:35:16.300]  The United States District Court for the District of Utah.
[02:35:16.300 --> 02:35:17.300]  And Central Division?
[02:35:17.300 --> 02:35:18.300]  Yes.
[02:35:18.300 --> 02:35:24.300]  That's right. I just saw the document here in front of me. And do you ever think we'll see exhibits A through G unsealed?
[02:35:24.300 --> 02:35:33.300]  I want to try to have them unsealed. That's my next move in conjunction with trying to get the depositionist to file a motion asking it.
[02:35:33.300 --> 02:35:40.300]  The names will be blacked out. Well, not names blacked out, but any personal information blacked out and that the exhibits be released.
[02:35:40.300 --> 02:35:47.300]  Did you ever see the news reports about Danny Coulson checking in the night before the bombing in Oklahoma City?
[02:35:47.300 --> 02:35:48.300]  I did not.
[02:35:48.300 --> 02:35:52.300]  I actually have that report here in my stack. I'm trying to dig it out.
[02:35:52.300 --> 02:35:57.300]  Here it was. Let me just read this to you. WorldNet Daily picked it up. It was also in some mainstream papers in Oklahoma.
[02:35:57.300 --> 02:36:03.300]  Was FBI early arrival in Oklahoma City? Hotel receipt show Top Terror Man showed up nine hours before blast.
[02:36:03.300 --> 02:36:07.300]  Danny Coulson had claimed that he had driven from Dallas.
[02:36:07.300 --> 02:36:11.300]  Didn't get a flight, but people said he was there like an hour after, which is impossible.
[02:36:11.300 --> 02:36:13.300]  It's about a two and a half to three hour drive.
[02:36:13.300 --> 02:36:18.300]  If you speed, it's two hours. And then this receipt came up.
[02:36:18.300 --> 02:36:27.300]  But Danny was supposedly suddenly now in this report fingering some other intelligence operative.
[02:36:27.300 --> 02:36:30.300]  I'm just very interesting, Mr. Trinidad.
[02:36:30.300 --> 02:36:37.300]  Well, like I said, all I know is that's what I've been told is part of, it consists of part of the story.
[02:36:37.300 --> 02:36:41.300]  Whether that story will ever be shown in the United States, I doubt.
[02:36:41.300 --> 02:36:49.300]  And just to be clear, because this is very newsworthy, just picking your brain here, was there anything else the BBC said,
[02:36:49.300 --> 02:36:56.300]  or any other indicators you've got that make you come to the conclusion that this is a favorable report that's coming out Sunday?
[02:36:56.300 --> 02:37:02.300]  Apparently, I was told that Mr. Coulson goes on camera and says that he believes the grand jury should be reconvened
[02:37:02.300 --> 02:37:09.300]  to investigate the Elohim scene, the city connection to the Oklahoma City bombing.
[02:37:09.300 --> 02:37:15.300]  If it comes out that the government was orchestrating the attack in 95, which clearly it was,
[02:37:15.300 --> 02:37:20.300]  the only evidence shows that the preponderance of it, the entire body of it, nothing points the other direction.
[02:37:20.300 --> 02:37:25.300]  You rarely see things so clear in a case, but it's very clear, especially once we had a real investigation.
[02:37:25.300 --> 02:37:27.300]  Boy, that'd be really scary.
[02:37:27.300 --> 02:37:32.300]  Can the government afford to let this go forward? I mean, seems like a collision course here.
[02:37:32.300 --> 02:37:44.300]  It would mean, it would destroy Hillary Clinton's campaign. It would result in the loss of careers of some high-level people
[02:37:44.300 --> 02:37:48.300]  within the agents, the various law enforcement agencies of federal government,
[02:37:48.300 --> 02:37:53.300]  and it would probably result in a good number of them being prosecuted and sent to jail.
[02:37:53.300 --> 02:37:57.300]  You know, a lot of people get arkinsided that mess with the Clintons.
[02:37:57.300 --> 02:38:01.300]  They're the most dangerous group I've seen to mess with.
[02:38:01.300 --> 02:38:07.300]  Well, for the order to come to not go to Elohim City, it would have to come out of the Clinton Reno Justice Department.
[02:38:07.300 --> 02:38:10.300]  Oh, we know about Reno. You ran the whole thing.
[02:38:10.300 --> 02:38:14.300]  We know they order when police grab some of the Arabs that they be released.
[02:38:14.300 --> 02:38:18.300]  From all your research, how do you think these Iraqis tie in?
[02:38:18.300 --> 02:38:25.300]  I've seen nothing to indicate there is a connection. Everything I've seen is Elohim City.
[02:38:25.300 --> 02:38:30.300]  The only foreign connection I've seen is the reference to Andrea Stratzmeier.
[02:38:30.300 --> 02:38:35.300]  Well, I see a connection, but only at a Patsy level, to have Arabs floating around.
[02:38:35.300 --> 02:38:40.300]  We know they were under CIA and Defense Department payroll. That's been confirmed.
[02:38:40.300 --> 02:38:46.300]  Just to have them there is some type of fallback or a muddying of the waters.
[02:38:46.300 --> 02:38:51.300]  All I know is that the FBI documents speak in terms of Stratzmeier and Elohim City.
[02:38:51.300 --> 02:38:58.300]  Which, again, the whole thing was being commanded by Stratzmeier there at the Elohim City compound.
[02:38:58.300 --> 02:39:06.300]  From the research you've done, what percentage of the people at the Nazi compound were feds or operatives or informants?
[02:39:06.300 --> 02:39:13.300]  The FBI has admitted they had at least four, and I'm sure there were more.
[02:39:13.300 --> 02:39:16.300]  And there were only, what, 20 people out there?
[02:39:16.300 --> 02:39:23.300]  I don't know, but to keep these documents, the judge ordered release to me secret.
[02:39:23.300 --> 02:39:28.300]  They submitted an affidavit saying that they had promised four people anonymity.
[02:39:28.300 --> 02:39:31.300]  Guaranteed them confidentiality, and therefore the names couldn't be released.
[02:39:31.300 --> 02:39:33.300]  Disgusting.
[02:39:33.300 --> 02:39:38.300]  Alright, well, Jesse's trying to do. I hope to get you back up next week or sooner as things develop.
[02:39:38.300 --> 02:39:43.300]  We know you have a very busy practice, and we appreciate all the work you're doing on this case.
[02:39:43.300 --> 02:39:48.300]  But we know you're doing it for your brother, and now you're doing it for the United States and the American people.
[02:39:48.300 --> 02:39:55.300]  And when it comes out, and it's come out, but when we nail it down for everybody that, okay, sees an inside job,
[02:39:55.300 --> 02:39:59.300]  I think it's going to derail the entire war on terror.
