[00:00:09.864 --> 00:00:11.726]  Riding on the highway!
[01:17:29.169 --> 01:17:34.031]  Ideal for concealed carry with .080 Thick Kydex to ensure durability.
[01:17:34.031 --> 01:17:36.532]  Most competitors' material use .060.
[01:17:36.532 --> 01:17:39.933]  Configure yours today at HGFirearms.com.
[01:17:39.933 --> 01:17:41.974]  And my favorite, Single Stage Trigger.
[01:17:41.974 --> 01:17:45.375]  A home run upgrade for your AR-15 and AR-10 platforms.
[01:17:45.615 --> 01:17:49.160]  Find out more at HDFirearms.com today or call 770-485-7015.
[01:17:49.160 --> 01:17:50.242]  That's HDFirearms.com or call 770-485-7015.
[01:17:58.883 --> 01:18:04.806]  Supermail Vitality is InfoWarsLife.com's number one selling product for a good reason.
[01:18:04.806 --> 01:18:05.546]  It works.
[01:18:05.546 --> 01:18:09.848]  Go to InfoWarsLife.com today and read the testimonials for yourself.
[01:18:09.848 --> 01:18:15.290]  There are thousands of them with an average voting score at an unprecedented 4.8.
[01:18:17.091 --> 01:18:29.060]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes that are blocked by estrogen mimickers and other toxic elements in the food chain.
[01:18:29.060 --> 01:18:34.104]  Super Mel Vitality from InfoWarsLife.com has sold out multiple times in the last three months.
[01:18:34.244 --> 01:18:41.831]  To fix that problem, we have now produced the biggest and most concentrated high-quality batch of Super Mel Vitality in the product's history.
[01:18:41.831 --> 01:18:44.594]  Our new Ultra Strength Formula is even stronger.
[01:18:44.594 --> 01:18:49.118]  Check out the third-party reviews and informational videos at InfoWarsLife.com.
[01:18:49.118 --> 01:18:52.081]  Now it's time to get your body in balance and fight back.
[01:18:52.081 --> 01:18:58.107]  I'm Alex Jones for Super Mel Vitality and InfoWarsLife.com, and I salute you, our supporters!
[01:18:58.547 --> 01:19:02.050]  When cells become toxic, they die early and aging sets in.
[01:19:02.050 --> 01:19:10.296]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:19:10.296 --> 01:19:15.720]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[01:19:15.720 --> 01:19:18.242]  You want the best that's out there at the lowest price anywhere?
[01:19:18.242 --> 01:19:20.363]  We now have the synergistic solution.
[01:19:20.363 --> 01:19:24.546]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:19:28.511 --> 01:19:32.895]  Use since before the days of the Roman Empire to support the body's natural systems.
[01:19:32.895 --> 01:19:37.038]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[01:19:37.038 --> 01:19:42.002]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:19:42.002 --> 01:19:46.645]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:19:46.645 --> 01:19:50.128]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:19:50.128 --> 01:19:53.591]  Now available in our limited first run at Infowarslife.com.
[01:19:53.591 --> 01:19:55.432]  That's Infowarslife.com or call 888-253-3139.
[01:20:02.669 --> 01:20:15.618]  You're listening to the Alex Jones Show.
[01:20:15.618 --> 01:20:20.922]  Live!
[01:20:20.922 --> 01:20:28.287]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:20:28.287 --> 01:20:30.789]  Not only evil has a will, but good has a will.
[01:20:32.116 --> 01:20:38.402]  And I feel very humbled to be in the position of good, but I can state unequivocally we have good will towards humanity.
[01:20:38.402 --> 01:20:39.863]  We want prosperity.
[01:20:39.863 --> 01:20:40.644]  We want honor.
[01:20:40.644 --> 01:20:41.445]  We want justice.
[01:20:41.445 --> 01:20:44.207]  We want security.
[01:20:44.207 --> 01:20:49.212]  We got 45 plus minutes left, 47 minutes left worldwide in broadcast.
[01:20:49.212 --> 01:20:53.636]  I want to go to your phone calls from Sweden to Fox Lake.
[01:20:55.114 --> 01:20:56.214]  Hey Alex, can you hear me?
[01:20:56.214 --> 01:20:59.115]  You know, Alex, I mean, I feel so sorry for people when I realize what's happening.
[01:21:24.787 --> 01:21:27.008]  And I have something to say, you know.
[01:21:27.008 --> 01:21:30.810]  I've been aware of this since I was a child.
[01:21:30.810 --> 01:21:37.874]  My father's a high-ranking government official, and he let me know what was going on from an early age.
[01:21:37.874 --> 01:21:42.857]  And, you know, I've been listening to you for about 10 years, Alex, but I gotta say something.
[01:21:42.857 --> 01:21:52.943]  Is that when these bastards threatened my father because he didn't want to cut 40,000 people's Social Security benefits for mental health,
[01:21:53.621 --> 01:21:57.983]  And create panic in the island of Maui?
[01:21:57.983 --> 01:22:08.968]  You know, these bastards, the FBI, who's right above him on his building, started sending him rocks in the mail, coming by his office saying, oh, did you receive anything weird?
[01:22:08.968 --> 01:22:12.069]  You know, generally just threatening him.
[01:22:12.069 --> 01:22:15.071]  You know, I knew the jig was up.
[01:22:15.071 --> 01:22:22.254]  I knew they wanted to just kill and maim and threaten everybody who wasn't going to go along with this plan.
[01:22:24.189 --> 01:22:42.776]  And... I mean, I think about how many of my friends have literally gone crazy from trying to understand the truth.
[01:22:42.776 --> 01:22:44.277]  It's gang government.
[01:22:44.277 --> 01:22:46.298]  It's global government.
[01:22:46.298 --> 01:22:47.478]  And it's coming to a head.
[01:22:47.478 --> 01:22:49.839]  It's designed to enslave.
[01:22:49.839 --> 01:22:50.940]  It's designed to rob.
[01:22:53.022 --> 01:22:54.123]  How do you stop it?
[01:22:54.123 --> 01:22:58.387]  It's the death of honor, is what it is.
[01:22:58.387 --> 01:23:03.611]  Well, I mean, long live the Draco Slayer.
[01:23:03.611 --> 01:23:07.554]  Long live those that would fight lies.
[01:23:07.554 --> 01:23:10.957]  Alex, these people hate us.
[01:23:10.957 --> 01:23:13.359]  They have no regard for human safety.
[01:23:13.359 --> 01:23:14.920]  They have no regard for dignity.
[01:23:14.920 --> 01:23:18.303]  And I have something to say to everybody who's living in Hawaii.
[01:23:19.071 --> 01:23:33.321]  These bastards with Monsanto are turning it into a global... They're turning it into a fucking disease ridden... Alright, I gotta let you go, because when people start cussing, we gotta cut you off.
[01:23:33.321 --> 01:23:36.944]  If you want to be cut off the air, use profanity, you'll be cut off immediately.
[01:23:36.944 --> 01:23:40.447]  That's kind of like, instead of just hang up, because that's what you're doing.
[01:23:40.447 --> 01:23:42.288]  I appreciate your call.
[01:23:42.288 --> 01:23:43.889]  Let's go to Nick in California.
[01:23:43.889 --> 01:23:45.030]  Nick, you're on the air, go ahead.
[01:23:48.615 --> 01:23:50.339]  Go ahead.
[01:23:50.339 --> 01:23:51.060]  Hi, Alex.
[01:23:51.060 --> 01:23:52.663]  I'm calling because I...
[01:23:56.761 --> 01:23:57.602]  Okay, go ahead.
[01:23:57.602 --> 01:24:06.349]  And a couple days ago, all our communications were shut down in the entire county and it was like 9-1-1 services for the entire county were down.
[01:24:06.349 --> 01:24:10.553]  You had to go walk to the police station if you needed police.
[01:24:10.553 --> 01:24:16.378]  Well, that's a whole other story, how we're depending on satellites, cell phones, just-in-time delivery.
[01:24:16.378 --> 01:24:20.741]  This civilization is very precarious.
[01:24:20.741 --> 01:24:21.062]  Yeah.
[01:24:21.963 --> 01:24:28.065]  They blamed it on vandalism of a fiber optic line and cell phone towers were completely turned, they were down.
[01:24:28.065 --> 01:24:36.528]  Satellite television signals were turned, were disabled.
[01:24:36.528 --> 01:24:39.129]  So what do you think happened?
[01:24:39.129 --> 01:24:43.191]  So I'm just thinking this is a part of the whole Jade Helm thing, is my point.
[01:24:43.191 --> 01:24:49.113]  Well they did have drills in California, this is in mainstream news, the military taking over your town, so I don't know.
[01:24:49.847 --> 01:24:57.273]  I mean, there's normal outages of things, there's all sorts of technological problems, but that's certainly a part of it.
[01:24:57.273 --> 01:25:03.338]  There was a satellite that was launched, a military satellite, too, that was launched out of Florida the day before this happened.
[01:25:04.338 --> 01:25:06.099]  Well, who knows what's really going on.
[01:25:06.099 --> 01:25:08.942]  I know we're totally dependent on the so-called smart grid.
[01:25:08.942 --> 01:25:11.003]  It's really a giant surveillance grid.
[01:25:11.003 --> 01:25:11.584]  God bless you.
[01:25:11.584 --> 01:25:12.385]  Good to hear from you, Nick.
[01:25:12.385 --> 01:25:13.706]  We'll look into it.
[01:25:13.706 --> 01:25:16.628]  Alamo Joe in FEMA Region 9.
[01:25:16.628 --> 01:25:20.491]  I guess that's in the Pacific Northwest, a former state now under FEMA control.
[01:25:20.491 --> 01:25:22.032]  Alamo Joe, go ahead.
[01:25:22.032 --> 01:25:24.935]  Yeah, thank you, Alex.
[01:25:24.935 --> 01:25:31.280]  A couple weeks ago, you asked a question about why globalists laugh when carrying out their evil deeds.
[01:25:31.280 --> 01:25:32.140]  Do you remember that?
[01:25:32.140 --> 01:25:32.541]  Yes, I do.
[01:25:34.142 --> 01:25:38.744]  Yeah, I just wanted to share it from a Christian's point of view.
[01:25:38.744 --> 01:25:42.605]  That's because we were created, Alex, to glorify God alone.
[01:25:42.605 --> 01:25:43.265]  Yes.
[01:25:43.265 --> 01:25:47.547]  And these globalists are demon-infested.
[01:25:47.547 --> 01:25:52.268]  They are low-life, and they glorify Satan instead of our Lord.
[01:25:52.268 --> 01:25:57.250]  And everyone, whether they know it or not, has to serve a God.
[01:25:57.250 --> 01:26:00.611]  You and me serve the Lord Jesus.
[01:26:00.611 --> 01:26:03.572]  Some that do serve Him, serve Him with all that's in them.
[01:26:04.423 --> 01:26:07.584]  Those Christians are usually called on fire.
[01:26:07.584 --> 01:26:12.626]  Those on fire Christians have a counterpart.
[01:26:12.626 --> 01:26:19.108]  Satan has his own on fire church known as the Spirit of Antichrist, or better known as the New World Order.
[01:26:19.108 --> 01:26:22.029]  Those people, those same people, don't believe in God.
[01:26:22.029 --> 01:26:25.130]  They don't believe in his commandments.
[01:26:25.130 --> 01:26:32.692]  They will worship, in other words, their own man, the man-god, the man of their intellect, of humanism.
[01:26:33.786 --> 01:26:37.708]  The man of narcissism with a power trip.
[01:26:37.708 --> 01:26:39.028]  Correct.
[01:26:39.028 --> 01:26:45.471]  Once they do that, they throw all of man's moral laws that God gave us, they just throw them out the door.
[01:26:45.471 --> 01:26:54.135]  And once that's done... But notice while they say there's no law, they said don't use boy or girl, father or mother, give us all your money.
[01:26:54.135 --> 01:26:57.836]  It's like, there's no rules but we got all these rules for you.
[01:26:57.836 --> 01:26:59.617]  They're flaming totalitarians.
[01:26:59.617 --> 01:27:01.958]  They don't bring liberty, they bring enslavement.
[01:27:03.078 --> 01:27:04.219]  God is liberal.
[01:27:04.219 --> 01:27:05.380]  God gives you freedom.
[01:27:05.380 --> 01:27:06.902]  God gives you free will.
[01:27:06.902 --> 01:27:08.303]  These people are enslavers.
[01:27:08.303 --> 01:27:11.226]  They're just pathetic scum.
[01:27:11.226 --> 01:27:12.547]  They want to conquer us.
[01:27:12.547 --> 01:27:15.770]  That's what makes me sick.
[01:27:15.770 --> 01:27:17.292]  Me too, Alex.
[01:27:17.292 --> 01:27:20.615]  I can't stand that term about purple penguins.
[01:27:20.615 --> 01:27:23.918]  You can't say father, mother, you're a purple penguin, boy or girl.
[01:27:23.918 --> 01:27:24.919]  It's happening all over the country.
[01:27:25.916 --> 01:27:28.037]  When you sit there and go, I won't say I'm a boy or girl.
[01:27:28.037 --> 01:27:29.978]  You're right, you're the government.
[01:27:29.978 --> 01:27:32.580]  You're just some sack of crap telling me this.
[01:27:32.580 --> 01:27:34.301]  I mean, it's just, it's a cult.
[01:27:34.301 --> 01:27:37.723]  Will we drink the Kool-Aid because we're ordered to?
[01:27:37.723 --> 01:27:39.063]  God bless you, I appreciate your call.
[01:27:39.063 --> 01:27:39.984]  Good points.
[01:27:39.984 --> 01:27:41.645]  John in Tennessee, you're on the air.
[01:27:41.645 --> 01:27:42.085]  Go ahead.
[01:27:42.085 --> 01:27:45.947]  Hey Alex, how are you?
[01:27:45.947 --> 01:27:50.009]  I just did some living in the twilight zone, brother.
[01:27:50.009 --> 01:27:52.191]  You know what?
[01:27:52.191 --> 01:27:54.652]  Let me hear your barbaric yelk.
[01:27:55.695 --> 01:27:58.076]  Woo!
[01:27:58.076 --> 01:28:00.937]  You've had some moonshine tonight, brother.
[01:28:00.937 --> 01:28:05.878]  Listen, I need to call in every day because you have got me.
[01:28:05.878 --> 01:28:10.440]  I've been listening to you for three or four years and I give you mega dittos.
[01:28:10.440 --> 01:28:15.261]  I'm not going to thank you because you're not doing anything that I'm not doing.
[01:28:15.261 --> 01:28:16.442]  Exactly.
[01:28:16.442 --> 01:28:17.642]  It's that power.
[01:28:20.362 --> 01:28:24.463]  Well, it's a refusal to lay down and die to tyranny.
[01:28:24.463 --> 01:28:27.084]  They tell us don't have kids, no mother or father.
[01:28:27.084 --> 01:28:27.824]  It's just die.
[01:28:27.824 --> 01:28:29.124]  It's like aliens invaded.
[01:28:29.124 --> 01:28:29.564]  Die!
[01:28:29.564 --> 01:28:31.105]  Mama and daddy don't exist!
[01:28:31.105 --> 01:28:31.965]  We're liberal!
[01:28:31.965 --> 01:28:32.445]  Yeah!
[01:28:32.445 --> 01:28:33.145]  Liberal!
[01:28:33.145 --> 01:28:34.225]  Don't have babies!
[01:28:34.225 --> 01:28:35.026]  Take the shot!
[01:28:35.026 --> 01:28:35.806]  We love you!
[01:28:35.806 --> 01:28:38.867]  It's like, no, you want to kill me, you flaming bastard?
[01:28:38.867 --> 01:28:41.167]  I mean, you know, it just comes down to that.
[01:28:41.167 --> 01:28:42.387]  It's like an alien invasion.
[01:28:42.387 --> 01:28:44.828]  I don't know what it is, but it might as well be.
[01:28:44.828 --> 01:28:46.168]  We'll be back.
[01:28:46.168 --> 01:28:46.528]  Thank you.
[01:28:46.528 --> 01:28:47.109]  God bless you.
[01:28:50.069 --> 01:28:53.632]  And Dominique, and Amy, and Sam, and Mike, and many others.
[01:28:53.632 --> 01:28:54.833]  We'll be back after the news.
[01:28:54.833 --> 01:28:56.574]  Straight ahead, InfoWars.com.
[01:28:58.334 --> 01:29:08.061]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[01:29:08.061 --> 01:29:14.586]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[01:29:14.586 --> 01:29:16.908]  They call it their low-profile platform.
[01:29:16.908 --> 01:29:20.150]  PVX muzzle brakes, proven to help control muzzle rise.
[01:29:21.491 --> 01:29:24.273]  6061 billet material with type 3 hard coating.
[01:29:24.273 --> 01:29:27.895]  Bolt carrier group for .308 and .556 ARs.
[01:29:27.895 --> 01:29:29.456]  Custom Kydex holsters.
[01:29:29.456 --> 01:29:34.320]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[01:29:34.320 --> 01:29:36.822]  Most competitors material use .060.
[01:29:36.822 --> 01:29:40.224]  Configure yours today at HDfirearms.com.
[01:29:40.224 --> 01:29:42.265]  And my favorite, single stage trigger.
[01:29:42.265 --> 01:29:45.668]  A home run upgrade for your AR-15 and AR-10 platforms.
[01:29:45.888 --> 01:29:49.451]  Find out more at HDFirearms.com today or call 770-485-7015.
[01:29:49.451 --> 01:29:50.532]  That's HDFirearms.com or call 770-485-7015.
[01:29:59.196 --> 01:30:04.337]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:30:04.337 --> 01:30:10.439]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[01:30:10.439 --> 01:30:15.240]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:30:15.240 --> 01:30:18.801]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:30:18.801 --> 01:30:20.761]  No needles, no injections.
[01:30:20.761 --> 01:30:25.382]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[01:30:29.123 --> 01:30:33.505]  Use since before the days of the Roman Empire to support the body's natural systems.
[01:30:33.505 --> 01:30:37.667]  Introducing the new Infowarslife.com oil of oregano formulation.
[01:30:37.667 --> 01:30:42.609]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:30:42.609 --> 01:30:47.252]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:30:47.252 --> 01:30:50.733]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:30:50.733 --> 01:30:54.195]  Now available in our limited first run at Infowarslife.com.
[01:30:54.195 --> 01:30:56.016]  That's Infowarslife.com or call 888-253-3139.
[01:30:58.817 --> 01:31:02.078]  A clean, toxic-free body is the foundation of true health.
[01:31:02.078 --> 01:31:12.022]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:31:12.022 --> 01:31:17.344]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:31:17.344 --> 01:31:26.208]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[01:31:26.508 --> 01:31:35.392]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:31:35.392 --> 01:31:42.475]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[01:31:42.475 --> 01:31:47.858]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you for the best price.
[01:31:47.978 --> 01:31:48.719]  Another major health threat.
[01:31:48.719 --> 01:31:53.805]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[01:31:53.805 --> 01:31:56.067]  Ohio's governor declaring a state of emergency.
[01:32:07.560 --> 01:32:14.602]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[01:32:14.602 --> 01:32:17.603]  If there's a water emergency, will you be prepared?
[01:32:17.603 --> 01:32:20.544]  Panicked residents forming long lines throughout the day.
[01:32:20.544 --> 01:32:22.565]  We're here at a supermarket in Toledo.
[01:32:22.565 --> 01:32:25.366]  You can see the shelves empty where water once was.
[01:32:25.486 --> 01:32:31.228]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[01:32:31.228 --> 01:32:34.709]  Water which will not be available at your local grocery store.
[01:32:34.709 --> 01:32:37.810]  There's a mad dash on right now to stock up on supplies.
[01:32:37.810 --> 01:32:45.132]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[01:32:45.132 --> 01:32:48.353]  Protect your family's safety during an emergency.
[01:32:48.353 --> 01:32:54.615]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[01:32:54.795 --> 01:33:02.220]  Or call 1-888-253-3139.
[01:33:02.220 --> 01:33:12.788]  You're listening to the Alex Jones Show.
[01:33:12.788 --> 01:33:15.810]  There are, of course, those who do not want us to speak.
[01:33:15.810 --> 01:33:16.191]  We think.
[01:33:16.191 --> 01:33:16.731]  Just let me think.
[01:33:16.731 --> 01:33:22.355]  I suspect even now orders are being shouts into telephones and men with guns will soon be on their way.
[01:33:22.355 --> 01:33:23.056]  It's Chancellor Suttler.
[01:33:25.433 --> 01:33:32.027]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[01:33:32.027 --> 01:33:34.753]  Words offer the means to meaning and for those who will
[01:33:37.751 --> 01:33:42.795]  The truth is, there is something terribly wrong with this country, isn't there?
[01:33:42.795 --> 01:33:43.836]  You designed it, sir.
[01:33:43.836 --> 01:33:44.776]  You wanted it foolproof.
[01:33:44.776 --> 01:33:46.438]  You told me every television in London!
[01:33:46.438 --> 01:33:48.539]  Cruelty and injustice.
[01:33:48.539 --> 01:33:50.341]  Intolerance and oppression.
[01:33:50.341 --> 01:33:59.988]  And where once you had the freedom to object, to think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and subverting your submission.
[01:33:59.988 --> 01:34:00.228]  Cameras.
[01:34:00.228 --> 01:34:01.189]  We need cameras.
[01:34:01.189 --> 01:34:02.610]  How did this happen?
[01:34:02.610 --> 01:34:03.391]  Who's to blame?
[01:34:04.366 --> 01:34:07.030]  Well, certainly there are those who are more responsible than others.
[01:34:07.030 --> 01:34:08.953]  They will be held accountable.
[01:34:08.953 --> 01:34:14.823]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[01:34:16.027 --> 01:34:17.508]  I know why you did it.
[01:34:17.508 --> 01:34:19.509]  I know you were afraid.
[01:34:19.509 --> 01:34:21.250]  Who would it be?
[01:34:21.250 --> 01:34:21.510]  War?
[01:34:21.510 --> 01:34:22.131]  Terror?
[01:34:22.131 --> 01:34:23.431]  Disease?
[01:34:23.431 --> 01:34:29.855]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:34:29.855 --> 01:34:36.259]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[01:34:36.259 --> 01:34:42.402]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[01:34:49.380 --> 01:34:50.841]  There is a war.
[01:34:50.841 --> 01:34:52.722]  It's happening now.
[01:34:52.722 --> 01:34:55.083]  It will decide the fate of humanity.
[01:34:55.083 --> 01:34:57.665]  The time to choose sides has come.
[01:34:57.665 --> 01:34:59.566]  We are the resistance.
[01:34:59.566 --> 01:35:01.187]  We are the Infowar.
[01:35:04.502 --> 01:35:09.185]  We're going right back to your phone calls, but here is the final bottom line.
[01:35:09.185 --> 01:35:11.566]  The globalists are social engineers.
[01:35:11.566 --> 01:35:13.127]  They've written white papers, books.
[01:35:13.127 --> 01:35:14.288]  We've made films about it.
[01:35:14.288 --> 01:35:15.628]  We've covered it.
[01:35:15.628 --> 01:35:17.269]  They have a disdain for humanity.
[01:35:17.269 --> 01:35:19.070]  They don't believe in us.
[01:35:19.070 --> 01:35:22.932]  They think they're gods, even though they live off of us.
[01:35:22.932 --> 01:35:26.014]  And I'm here to tell you, they think their greatest reign is here.
[01:35:26.014 --> 01:35:27.115]  Their fall is here.
[01:35:28.558 --> 01:35:37.106]  Let's go to Sam in Alberta, Canada, then Amy, Mike, Corey, Doug, Avalitz, if I pronounced that right, Dominique, and others.
[01:35:37.106 --> 01:35:41.009]  Go ahead, Sam, you're on the air from Canada.
[01:35:41.009 --> 01:35:42.090]  Yes, Alex.
[01:35:42.090 --> 01:35:43.131]  Welcome.
[01:35:43.131 --> 01:35:45.273]  It's a pleasure to talk to you.
[01:35:45.273 --> 01:35:52.579]  I've been listening for you for like six years, and this is my first time calling, and I'm really, really, really happy.
[01:35:52.579 --> 01:35:53.140]  Well, welcome.
[01:35:53.140 --> 01:35:54.080]  I'm flattered to have you here.
[01:35:54.080 --> 01:35:54.401]  Go ahead.
[01:35:55.683 --> 01:35:56.483]  Thank you.
[01:35:56.483 --> 01:35:58.624]  I just want to say something about your product.
[01:35:58.624 --> 01:36:00.224]  They helped me a lot.
[01:36:00.224 --> 01:36:02.885]  They were great.
[01:36:02.885 --> 01:36:04.725]  And I've been telling everyone about them.
[01:36:04.725 --> 01:36:08.286]  It's just amazing how they work.
[01:36:08.286 --> 01:36:16.028]  You know, the first year I was listening to you, I was surprised with all the information that you had.
[01:36:16.028 --> 01:36:21.230]  I continued listening to you and then I started noticing a pattern that the globals follow.
[01:36:21.230 --> 01:36:22.610]  It's almost like a script.
[01:36:23.594 --> 01:36:28.655]  And I needed you in the beginning to help me decode the script.
[01:36:28.655 --> 01:36:29.056]  That's right.
[01:36:29.056 --> 01:36:32.476]  But once you see it, you know, it's clear as day.
[01:36:32.476 --> 01:36:33.537]  Exactly.
[01:36:33.537 --> 01:36:38.618]  And when I tell people about it, they don't they don't believe anything that is going on.
[01:36:38.618 --> 01:36:41.859]  And in reality, it's happening everywhere.
[01:36:41.859 --> 01:36:48.380]  If it was GMOs, fluoride, you know, all these things, you can't avoid them.
[01:36:48.380 --> 01:36:50.301]  But the holy grail for the globalists
[01:36:51.349 --> 01:36:53.231]  It's geoengineering.
[01:36:53.231 --> 01:36:55.754]  You cannot run away from the air.
[01:36:55.754 --> 01:36:56.194]  It is.
[01:36:56.194 --> 01:37:06.605]  It's changing the Earth's atmosphere, it's changing the environment, changing the plants, changing the seeds, genetically changing things, where they control the keys to creation, then you're dominated by them.
[01:37:06.605 --> 01:37:08.787]  This is the ultimate revolution against humanity.
[01:37:10.459 --> 01:37:11.279]  Exactly.
[01:37:11.279 --> 01:37:14.461]  And they're almost like not human.
[01:37:14.461 --> 01:37:17.102]  They are like some kind of alien from another world.
[01:37:17.102 --> 01:37:18.142]  Well, they've decided.
[01:37:18.142 --> 01:37:21.364]  If you read, you can just type in, Elite believe they're a new species.
[01:37:21.364 --> 01:37:24.365]  You'll get one in Telegraph, Associated Press.
[01:37:24.365 --> 01:37:26.326]  They believe they're a breakaway species.
[01:37:26.326 --> 01:37:31.208]  They believe they're aliens here creating a merger with machines, with AI,
[01:37:32.188 --> 01:37:33.349]  So we're yesterday.
[01:37:33.349 --> 01:37:34.370]  We're the buggy whip.
[01:37:34.370 --> 01:37:36.232]  We're the horse-drawn carriage.
[01:37:36.232 --> 01:37:39.376]  And all I'm saying is, hey, I might want to merge with machines.
[01:37:39.376 --> 01:37:42.219]  I might want to... I'm not against progress.
[01:37:42.219 --> 01:37:48.165]  Just you're not going to govern it while keeping us in the dark, distracting us with Dancing with the Stars and American Idol.
[01:37:48.906 --> 01:37:53.448]  And I just want the public to realize, the world's moving on, the real world's happening.
[01:37:53.448 --> 01:37:55.849]  You're in a science fiction movie.
[01:37:55.849 --> 01:38:00.611]  These people admit it, and they've got us debating over mother and father needs to be banned.
[01:38:00.611 --> 01:38:04.733]  I mean, these are flaming crook, anti-human scum.
[01:38:04.733 --> 01:38:10.096]  They shouldn't be wiping our butts, much less governing the planet.
[01:38:10.096 --> 01:38:16.659]  Yes, and they think that people lining up to get their new iPhone, that's technology.
[01:38:17.475 --> 01:38:19.857]  No, that's 50-year-old crap.
[01:38:19.857 --> 01:38:20.897]  Exactly.
[01:38:20.897 --> 01:38:23.159]  The true technologies, they have it.
[01:38:23.159 --> 01:38:30.803]  The true technologies, our mind and our genetics that every scientist that's in genetic engineering understands isn't even of this world.
[01:38:30.803 --> 01:38:34.205]  We're made in the image of the creator that made this planet.
[01:38:34.205 --> 01:38:35.726]  We predate this planet.
[01:38:35.726 --> 01:38:37.788]  The elite all know that.
[01:38:37.788 --> 01:38:41.390]  They're just, they're dumbing the public down to not get it.
[01:38:41.390 --> 01:38:42.931]  We're not, we're not, we're not...
[01:38:43.933 --> 01:38:46.235]  We're not like seeking after the elves.
[01:38:46.235 --> 01:38:47.856]  We are the elves.
[01:38:47.856 --> 01:38:49.857]  And they know that and they can't stand it.
[01:38:49.857 --> 01:38:52.038]  They want to keep you from that knowledge.
[01:38:52.038 --> 01:38:53.700]  They're aware of what we are.
[01:38:53.700 --> 01:38:56.842]  They want to play God while we run around watching NFL.
[01:38:56.842 --> 01:38:58.983]  That's what the joke is.
[01:38:58.983 --> 01:38:59.664]  Yes.
[01:38:59.664 --> 01:39:02.706]  I don't have any favorite idol.
[01:39:02.706 --> 01:39:05.227]  My idol is myself, to tell you the truth.
[01:39:05.227 --> 01:39:05.968]  I am the captain of the NFL.
[01:39:05.968 --> 01:39:10.511]  Well, my idol is human ingenuity and going to the stars and fulfilling God's destiny.
[01:39:11.307 --> 01:39:18.112]  And that's what we need to show our children and try and reach as many people as we can.
[01:39:18.112 --> 01:39:19.633]  I agree with you.
[01:39:19.633 --> 01:39:20.073]  God bless you.
[01:39:20.073 --> 01:39:26.938]  I got to jump, but this is not an elite that would put stuff in vaccines to lower our IQ and put fluoride in the water to lower our IQ.
[01:39:26.938 --> 01:39:29.780]  An elite doesn't seek to dumb people down.
[01:39:29.780 --> 01:39:31.421]  Let's say the elite are some alien species.
[01:39:31.421 --> 01:39:32.782]  I'm not saying that, but let's just hypothetically.
[01:39:33.442 --> 01:39:39.550]  What type of elite alien species wants to dumb down a planet and make people a bunch of retarded idiots?
