[00:00:00.209 --> 00:00:01.169]  ...and so on.
[02:52:43.894 --> 02:52:48.098]  Order your two-month supply today by calling 866-295-5305.
[02:52:48.098 --> 02:52:52.001]  That's 866-295-5305.
[02:52:52.001 --> 02:52:55.024]  Or order online, HBextract.com.
[02:52:55.024 --> 02:52:59.188]  Heart and Body Extract, 866-295-5305.
[02:52:59.188 --> 02:53:01.870]  Or HBextract.com.
[02:53:01.870 --> 02:53:07.115]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:53:07.674 --> 02:53:15.240]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[02:53:15.240 --> 02:53:21.846]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:53:21.846 --> 02:53:23.807]  Well, Obama's already fudging.
[02:53:23.807 --> 02:53:26.329]  He's fudged since day one in this election.
[02:53:26.329 --> 02:53:37.278]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:53:37.896 --> 02:53:39.557]  It's not about left or right.
[02:53:39.557 --> 02:53:41.418]  It's about a one world government.
[02:53:41.418 --> 02:53:48.321]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:53:48.321 --> 02:53:56.585]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:53:56.585 --> 02:53:58.166]  The Obama Deception.
[02:53:58.166 --> 02:54:01.568]  The people strike back.
[02:54:01.568 --> 02:54:02.068]  You worry.
[02:54:02.455 --> 02:54:04.517]  You see the signs and worry about the future.
[02:54:04.517 --> 02:54:07.179]  You worry about economic turmoil and food shortages.
[02:54:07.179 --> 02:54:09.300]  How to be prepared while preserving your sanity?
[02:54:09.300 --> 02:54:10.901]  Your answer may be at hand.
[02:54:10.901 --> 02:54:14.504]  Author Linda Runyon lived off the land, isolated from civilization.
[02:54:14.504 --> 02:54:19.748]  She knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[02:54:19.748 --> 02:54:23.711]  Perhaps the only sane insurance is knowledge of wild edible plants.
[02:54:23.711 --> 02:54:25.412]  The cost of learning is minimal.
[02:54:25.412 --> 02:54:28.315]  Wild food grows everywhere and you will see it everywhere.
[02:54:28.315 --> 02:54:31.257]  It's every bit organic and more nutritious than our modern diets.
[02:54:31.738 --> 02:54:40.383]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[02:54:40.383 --> 02:54:45.206]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[02:54:45.206 --> 02:54:49.228]  Go to Linda's website, ofthefield.com, and take advantage of special offers.
[02:54:49.228 --> 02:54:53.251]  Or if you're not online, call her 24-hour, toll-free order line at 888-51-EAT-FREE.
[02:54:53.251 --> 02:54:54.632]  That number again, 888-51-EAT-FREE.
[02:54:54.632 --> 02:54:56.353]  A little knowledge makes starvation impossible.
[02:55:05.819 --> 02:55:09.202]  Coming up a little bit later in the next hour, we'll open the phones up for all of you that are holding.
[02:55:09.202 --> 02:55:13.005]  Don't forget, I'm Alex Jones.
[02:55:13.005 --> 02:55:16.168]  My websites are InfoWars.com and PrisonPlanet.com.
[02:55:16.168 --> 02:55:22.733]  We're simulcasting for all our great PrisonPlanet.tv members on the TV end with the radio show at PrisonPlanet.tv.
[02:55:22.733 --> 02:55:25.195]  George Humphrey with us until the end of the transmission today.
[02:55:25.195 --> 02:55:27.237]  And I've got a million questions for you, George.
[02:55:27.237 --> 02:55:29.358]  So, we were getting up to the point of explaining.
[02:55:30.299 --> 02:55:38.602]  And I know most of the audience knows this, but your neighbors, your friends, your family, they just think the bankers screwed up, and, boy, we've got to give them all this money, and it's financial terrorism.
[02:55:38.602 --> 02:55:43.223]  They say, give us all this power, or everything's going to end, everything's going to fall apart.
[02:55:43.223 --> 02:55:50.506]  When they're all rubbing their hands together, laughing, giggling, writing white papers how they engineered it, laughing at how they're going to destroy the middle class.
[02:55:50.506 --> 02:55:54.387]  I mean, this is how we knew all this was going to happen, because these guys all bragged about it.
[02:55:54.387 --> 02:55:55.588]  We'd say, look at this book!
[02:55:55.588 --> 02:55:56.388]  Look at this document!
[02:55:56.388 --> 02:55:57.568]  They wrote it!
[02:55:57.568 --> 02:55:58.329]  They're going to do this!
[02:55:59.329 --> 02:56:02.672]  You know, wrote books about this 12 years ago.
[02:56:02.672 --> 02:56:03.753]  And now it's all here.
[02:56:03.753 --> 02:56:05.294]  And he said, the derivatives, the derivatives.
[02:56:05.294 --> 02:56:16.284]  I mean, I remember listening to books on tape you made, you know, in 1998, driving around in my car, and hearing you talk about derivatives, derivatives, and you're an economist.
[02:56:16.284 --> 02:56:18.446]  So they knew they were setting this up.
[02:56:18.446 --> 02:56:19.486]  So let's go back to George.
[02:56:19.486 --> 02:56:24.090]  Break down how this fiat system works and how it's going to end.
[02:56:24.090 --> 02:56:26.733]  What they want to set up through making us dependent.
[02:56:27.472 --> 02:56:31.815]  Well, the fiat system is a system of theft.
[02:56:31.815 --> 02:56:33.736]  And it's been around for a long, long time.
[02:56:33.736 --> 02:56:40.580]  And that's why in the Bible is that there are 17 references not against usury.
[02:56:40.580 --> 02:56:53.448]  But the reality is, is that the central bankers realize that by using fiat currency is that they can create so-called money out of nothing.
[02:56:54.465 --> 02:56:57.188]  They can create so-called money out of nothing.
[02:56:57.188 --> 02:57:08.642]  And if they can convince the people that they have something of value, which they have done, and a fiat is simply means the declaration of the king or the president.
[02:57:08.642 --> 02:57:11.405]  And so that's why we call it fiat currency.
[02:57:12.006 --> 02:57:20.110]  And so, what was done is that in 1913, with the creation of the Federal Reserve Banking Act, is the Federal Reserve was created.
[02:57:20.110 --> 02:57:29.594]  And of course, all of you, I'm sure, are aware, the Federal Reserve is not federal, there's no reserves, and it is owned by European bankers for the most part.
[02:57:30.094 --> 02:57:31.215]  It's never been accounted.
[02:57:31.215 --> 02:57:35.660]  The GAO has never been able to come in and take a look at it.
[02:57:35.660 --> 02:57:46.852]  And what they do is that they, and according to Greenspan, they are a completely independent agency that is above the law of the United States.
[02:57:46.852 --> 02:57:49.515]  And Greenspan just said this last week on television.
[02:57:49.515 --> 02:57:50.636]  It's just truly amazing.
[02:57:51.337 --> 02:57:56.380]  And so what they do is that they order the Treasury to print up money.
[02:57:56.380 --> 02:58:00.503]  Now money for them is just basically paper and ink.
[02:58:00.503 --> 02:58:09.889]  Then they take this so-called money and lend it to the Federal Reserve regional banks in Dallas and New York and San Francisco and Denver.
[02:58:10.469 --> 02:58:10.629]  I think?
[02:58:29.125 --> 02:58:39.410]  Is that they get a certain interest back, but then the private banks can put that on their books and let's say that they borrow a billion dollars.
[02:58:39.410 --> 02:58:42.752]  They can lend out ten billion dollars.
[02:58:44.727 --> 02:58:56.556]  And then as the people start paying that money back, and let's say they pay that money back, then they can lend that out again at another percentage.
[02:58:56.556 --> 02:59:07.464]  And so after a period of time, the bank that has borrowed one billion dollars, which is out of thin air in the first place, which is basically paper and ink,
[02:59:08.365 --> 02:59:13.067]  has assets on their books of seventy two times.
[02:59:13.067 --> 02:59:23.772]  So a bank that has borrowed one million dollars after let's say a year and a half or two years has up to seventy billion dollars on their books.
[02:59:23.772 --> 02:59:37.498]  Now clearly there's nothing there as far as real value however for all the many many thousands of people that they have lent the money to they have to pay back the principal
[02:59:38.258 --> 02:59:39.598]  Alright, stay there.
[02:59:39.598 --> 02:59:42.119]  Back in 70 seconds.
[02:59:42.119 --> 02:59:45.019]  Thank you for listening to GCN.
[02:59:45.019 --> 02:59:49.220]  Visit GCNlive.com today.
[03:00:12.498 --> 03:00:13.979]  All right, George Humphrey is our guest.
[03:00:13.979 --> 03:00:15.960]  Your calls are coming up at about the 20 after.
[03:00:15.960 --> 03:00:20.103]  I have a lot of questions I want to go over with George.
[03:00:20.103 --> 03:00:21.804]  So it's all fiat currency.
[03:00:21.804 --> 03:00:29.270]  About 1.5% of all the fiat money they've got out there in zeros and ones and computers is physical paper money.
[03:00:29.270 --> 03:00:34.813]  You've got people then who lose their houses, their cars, their lives for just made-up fiat.
[03:00:34.813 --> 03:00:37.736]  But it's a contract they've signed, so it's through contract fraud.
[03:00:38.576 --> 03:00:40.798]  So this is a institutional fraud.
[03:00:40.798 --> 03:00:47.885]  This is an institutional fraud that makes Madoff, who was one of the top guys in this, look like a choir boy.
[03:00:47.885 --> 03:00:53.130]  George, I want to go through a whole section of important questions here, but we've just witnessed...
[03:00:54.011 --> 03:00:59.195]  What I would call one of the most important dates in the march of world government, this world tyranny.
[03:00:59.195 --> 03:01:12.725]  They're openly agreed today, 1.5 trillion for this new international body to issue their own monetized IMF World Bank super currency that the United States will now fully go under the control of this system as every other nation will.
[03:01:12.725 --> 03:01:14.366]  They're calling it a world government.
[03:01:14.366 --> 03:01:15.627]  They're saying and suddenly
[03:01:16.548 --> 03:01:25.595]  Getty and Davignon and the EU Observer gave an interview, this is up on InfoWars.com, and he bragged, it says, suddenly they're admitting world government Bilderberg.
[03:01:25.595 --> 03:01:37.524]  They say, oh, at a meeting in June in Europe, the Bilderberg Group, an informal club of leading politicians, businessmen, and thinkers, chaired by Mr. Davignon, could also improve understanding on future action the same way it helped create the Euro in the 1990s, he said.
[03:01:39.005 --> 03:01:56.768]  And it says, he goes on to say, when we were having debates on the Euro, people at Bilderberg events could explain why it was worth taking risk and others, for whom the formal policy was not believed in it yet, we were not obliged not to listen and had to stand up and come up with real arguments.
[03:01:57.449 --> 03:02:01.953]  We've gotten some Bilderberg documents before where they admit they set up the Euro, but here they are admitting it.
[03:02:01.953 --> 03:02:07.759]  This is the group behind the European Union, the American Union, North American Union, you know, all of these things that are happening.
[03:02:07.759 --> 03:02:11.803]  So that's my question for you now, and then what will this system look like if they're successful?
[03:02:11.803 --> 03:02:15.446]  Why now is Fox News and CNN coming out and saying it is
[03:02:15.486 --> 03:02:18.027]  Well quite clearly, the G20 meeting that is taking place right now
[03:02:33.971 --> 03:02:42.020]  is the vortex of energy for the movement toward a total world bank and thus and very shortly a world government.
[03:02:42.020 --> 03:02:50.730]  They realize, the Illuminati realize, that with the impetus, with the momentum of the election of Barack Obama,
[03:02:52.051 --> 03:02:58.475]  And he is just one of the most amazing actors in the history of Western politics.
[03:02:58.475 --> 03:03:13.305]  He's much ahead of Ronald Reagan, is that they have to act very, very quickly, because very, very quickly also, the people of this world are waking up to the reality of the facade and the deception of Obama and his administration.
[03:03:14.085 --> 03:03:30.776]  And you and I have been aware of this for a long, long, long time, is that their tentacles are going out further and further and further, and that this G20 meeting is nothing more than creating a world bank right now.
[03:03:30.776 --> 03:03:31.877]  Now if that happens,
[03:03:32.717 --> 03:03:38.987]  And the United States dollar no longer is the reserve currency of this world.
[03:03:38.987 --> 03:03:47.200]  Katie, bar the door for all the families, for all the businesses, for all the people of the United States.
[03:03:48.692 --> 03:03:53.778]  We have prospered for the last 50 years because the U.S.
[03:03:53.778 --> 03:03:57.182]  dollar was the reserve currency.
[03:03:57.182 --> 03:04:05.351]  And because of massive, massive greed, because of massive incompetence, because of theft,
[03:04:06.192 --> 03:04:25.100]  And because of every sort of shenanigans you can think of, the US Treasury and the Fed have completely and 100% debased not only the economy of this nation, but the retirements and the future, economic future for the people of this country.
[03:04:25.100 --> 03:04:27.561]  This is really, really big stuff, friends.
[03:04:27.561 --> 03:04:31.743]  And this situation is so, so much bigger.
[03:04:32.623 --> 03:04:35.625]  than 99% of the people in this country understand.
[03:04:35.625 --> 03:04:39.347]  Well, the elite admit this is a world revolution, a scientific dictatorship.
[03:04:39.347 --> 03:04:45.831]  Let's come back, run through a laundry list of important questions I've got for you, then take calls for the balance of this transmission.
[03:04:45.831 --> 03:04:48.752]  Right here on the one and the only GCN Radio Network, George Humphrey in studio.
[03:04:48.752 --> 03:04:52.394]  I'm Alex Jones.
[03:04:52.394 --> 03:04:55.756]  Hello, this is Tom with hempusa.org.
[03:04:55.756 --> 03:04:58.358]  Most of you have been hearing my ads for the past few months.
[03:04:58.991 --> 03:05:03.473]  And it's no secret that the economy is failing and prices are rising in all sectors.
[03:05:03.473 --> 03:05:11.318]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[03:05:11.318 --> 03:05:18.241]  At HempUSA.org, we still believe that food will be your greatest asset in these trying times ahead.
[03:05:18.241 --> 03:05:25.005]  Please call 1-908-691-2608 and see what our powder seeds and oil can do for you.
[03:05:25.005 --> 03:05:27.286]  Beware, be smart and be ready!
[03:05:27.790 --> 03:05:34.154]  Call 908-691-2608 or visit us at hempusa.org.
[03:05:34.154 --> 03:05:40.498]  Families need this high quality natural food source for its low price and long storage shelf life.
[03:05:40.498 --> 03:05:44.460]  This incredible food source should be a staple part of your diet every day.
[03:05:44.460 --> 03:05:50.844]  Call 908-691-2608 or visit us at hempusa.org today!
[03:05:50.844 --> 03:05:57.448]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[03:05:58.015 --> 03:06:05.580]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[03:06:05.580 --> 03:06:12.164]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[03:06:12.164 --> 03:06:14.145]  Well, Obama's already fudging.
[03:06:14.145 --> 03:06:16.646]  He's fudged since day one in this election.
[03:06:16.646 --> 03:06:27.593]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[03:06:28.217 --> 03:06:29.878]  It's not about left or right.
[03:06:29.878 --> 03:06:31.739]  It's about a one world government.
[03:06:31.739 --> 03:06:38.663]  This film documents who Obama works for, the lies he is told, and his real agenda.
[03:06:38.663 --> 03:06:46.907]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[03:06:46.907 --> 03:06:48.488]  The Obama Deception.
[03:06:48.488 --> 03:06:49.689]  The people strike back.
[03:06:51.457 --> 03:06:55.441]  I'm Todd Davis, CEO of LifeLock, and what I'm about to tell you is true.
[03:06:55.441 --> 03:07:00.287]  My real social security number is 457-55-5462.
[03:07:00.287 --> 03:07:03.210]  You may think I'm crazy, but I know my identity is safe.
[03:07:03.210 --> 03:07:07.514]  At LifeLock, every member is covered by our $1 million total service guarantee.
[03:07:08.916 --> 03:07:09.496]  I don't know.
[03:07:31.561 --> 03:07:31.941]  Big Brother.
[03:07:31.941 --> 03:07:32.301]  Mainstream media.
[03:07:59.828 --> 03:08:01.590]  Government cover-ups.
[03:08:01.590 --> 03:08:03.172]  You want answers?
[03:08:03.172 --> 03:08:04.073]  Well, so does he.
[03:08:04.073 --> 03:08:08.918]  He's Alex Jones on the GCN Radio Network.
[03:08:08.918 --> 03:08:12.982]  And now, live from Austin, Texas, Alex Jones.
[03:08:23.969 --> 03:08:27.953]  George, you've studied the New World Order, their own writings, their own statements.
[03:08:27.953 --> 03:08:35.900]  What will life be like under the New World Order if they're able to get the full system in place, this global regulatory micromanaging system?
[03:08:36.943 --> 03:08:38.965]  Wow, that's a big question, Alex.
[03:08:38.965 --> 03:08:49.396]  And it's one that is, we really don't know, but we do know this, that power tends to corrupt and absolute power corrupts absolutely.
[03:08:49.396 --> 03:08:50.638]  This we know.
[03:08:50.638 --> 03:08:55.163]  Now the question is, is whether our slave masters would be
[03:08:57.143 --> 03:09:11.241]  Liberals, in which they would just allow us to be, and they would have full control of us, but they would cut off all of our freedoms and give us things like sports and entertainment to keep us occupied.
[03:09:11.241 --> 03:09:15.927]  By the way, as you know, they have open discussions about that in major globalist publications.
[03:09:16.187 --> 03:09:18.069]  Absolutely.
[03:09:18.069 --> 03:09:27.537]  Or whether they're going to be more tyrannical, in which they have repeatedly said that they need to cull the population down to less than a billion.
[03:09:27.537 --> 03:09:32.882]  That means that five out of every six people of this planet would be eliminated.
[03:09:32.882 --> 03:09:35.004]  Now when you think about these concepts,
[03:09:36.155 --> 03:09:37.716]  They seem so far out.
[03:09:37.716 --> 03:09:45.100]  How could somebody like Barack Obama, who seems to have such kind eyes, be part of this?
[03:09:45.100 --> 03:09:50.823]  But all we have to do is go back in history, not 5,000 years or 2,000 years or even 500 years, but just in the last century.
[03:09:55.285 --> 03:10:03.693]  When Stalin came in, he eliminated over 25 million people of his own nation.
[03:10:03.693 --> 03:10:15.724]  He completely closed off the Ukraine and starved to death 14 million Russians because they weren't going along with his policies.
[03:10:16.485 --> 03:10:25.651]  Mao Zedong, another very, very charismatic guy, comes in and promises a new way, a better life.
[03:10:25.651 --> 03:10:38.120]  Five years later, 55 to 60 million educated and working Chinese people had been exterminated.
[03:10:38.120 --> 03:10:42.964]  So to believe that this cannot happen is just denial.
[03:10:43.991 --> 03:10:48.894]  Now that's why Alex is here, that's why I'm here, that's why you're listening.
[03:10:48.894 --> 03:10:54.777]  My intention and my focus is not to let us go down that path.
[03:10:54.777 --> 03:11:05.564]  An ounce of prevention, it's going to take a lot more of an ounce of prevention right now, is worth a pound of cure, but it's going to take the combined efforts of everyone
[03:11:06.485 --> 03:11:25.084]  Not just Alex and myself or David Icke or whoever, but you, the people listening out there, to first get yourself informed and to realize the real severity, the real seriousness, the reality of this point of time in our world.
[03:11:26.005 --> 03:11:32.067]  And all the prophecies for the last 4,000 years have pointed to this period of time.
[03:11:32.067 --> 03:11:38.529]  Christian, Hindu, Buddhist, Hopi Indians, Nostradamus, the whole group of people.
[03:11:38.529 --> 03:11:49.833]  But it doesn't take a prophecy to understand of the incredible first economic, then political, then cultural danger or changes that are taking place.
[03:11:50.782 --> 03:11:56.944]  Now if we react in fear, then we're going to go right down their path.
[03:11:56.944 --> 03:12:02.907]  Because quite clearly, they have more money, they have more guns, they have more organization.
[03:12:02.907 --> 03:12:05.588]  But we have the secret weapon up our sleeves.
[03:12:06.368 --> 03:12:08.531]  And that is the universal truth.
[03:12:08.531 --> 03:12:13.436]  That is what many of us call God.
[03:12:13.436 --> 03:12:15.659]  Because God doesn't create junk.
[03:12:15.659 --> 03:12:21.626]  And the universal creator of this planet doesn't want us to wipe ourselves out.
[03:12:23.066 --> 03:12:25.249]  We don't need to go down this road.
[03:12:25.249 --> 03:12:27.272]  And we have plenty of brain power.
[03:12:27.272 --> 03:12:28.974]  We have plenty of courage.
[03:12:28.974 --> 03:12:33.400]  We have plenty of ability to turn this thing around.
[03:12:33.400 --> 03:12:36.204]  But we have to do it right now.
[03:12:36.204 --> 03:12:38.427]  And it starts with correct information.
[03:12:39.474 --> 03:12:51.378]  Then it takes a determination that you are going to stand up for what is right and just, and to connect with your friends, your family, your co-workers, to educate them.
[03:12:51.378 --> 03:12:53.539]  And then it is to organize people.
[03:12:53.539 --> 03:12:58.381]  And we have the Constitution, the Republic, history on our side.
[03:12:59.301 --> 03:13:01.523]  We are not the bad guys in this situation.
[03:13:18.726 --> 03:13:42.890]  Specifically to the issue that so many people before us, and then today, and what we've been doing for the last 15 years or so, you longer, the fact that we did read the Globalist documents, we did warn people, the power of the fact that we planted those seeds, they're now sprouting, there's never been such an awakening, and planting seeds now, people, some of them won't listen, but as the next phase of what we say comes true, because we have our own blueprint,
[03:13:43.550 --> 03:13:48.451]  Then our credibility gets even greater and that in that is going to be our victory.
[03:13:48.451 --> 03:13:51.152]  It doesn't mean we're not going to go deep into the battle in the arena.
[03:13:51.152 --> 03:13:53.773]  It doesn't mean a lot of us aren't going to make it through this.
[03:13:53.773 --> 03:14:01.595]  It means that you have to understand this is part of destiny, humanity, a human choice bigger than even the individual in the whole development of the human species.
[03:14:01.595 --> 03:14:03.096]  This is what makes us strong.
[03:14:03.096 --> 03:14:07.257]  The wheat from the chaff, the gold from the lesser metals.
[03:14:07.617 --> 03:14:09.178]  This is the purification.
[03:14:09.178 --> 03:14:10.278]  This is the great test.
[03:14:10.278 --> 03:14:17.682]  This is the great culmination, the great battle, as humans prepare to become a Type 1 civilization, meaning survival of the species off-planet.
[03:14:17.682 --> 03:14:24.806]  As we prepare, you know, literally like a caterpillar about to turn into a butterfly, the globalists don't want that going to the next level.
[03:14:24.806 --> 03:14:28.708]  Well, absolutely, Alex, and you say it so well, and quite clearly, this is a
[03:14:31.164 --> 03:14:35.406]  A situation that has been going on for a long, long time.
[03:14:35.406 --> 03:14:54.094]  People such as George Washington, Andrew Jackson, Abraham Lincoln, Mr. Ford from the Ford Motor Company, Charles Lindbergh, John Kennedy, Barry Goldwater, all were very clear about the dangers of globalism and the New World Order.
[03:14:55.174 --> 03:15:08.011]  And that's why our founding fathers, to a person, wrote about the decentralization of power, the keeping power in the states, and returning power to the individuals.
[03:15:08.011 --> 03:15:10.394]  That's why we have the Bill of Rights.
[03:15:10.394 --> 03:15:12.056]  And is our Constitution perfect?
[03:15:12.697 --> 03:15:19.580]  No, but it's probably the best constitution in the best republic that has ever been created on this planet.
[03:15:19.580 --> 03:15:28.424]  And I for one am 100% behind the concepts and the higher ideals of our republic.
[03:15:28.424 --> 03:15:32.065]  Now the question is, is what are we going to do about this?
[03:15:32.065 --> 03:15:33.846]  And the first thing is that we have to wake up.
[03:15:34.366 --> 03:15:42.513]  There are clearly people out there, there are clearly these souls out there that have what I consider to be a vampire consciousness.
[03:15:42.513 --> 03:15:51.761]  They believe that the only way that they are going to survive is by sucking the blood or the nutrition or the life force from others.
[03:15:51.761 --> 03:15:55.945]  And it is actually that bizarre at one different level.
[03:15:56.857 --> 03:16:05.148]  Now clearly, then there are the other people such as Alex and myself who realize that this universe is infinite.
[03:16:05.148 --> 03:16:06.610]  There is infinite love.
[03:16:06.610 --> 03:16:08.632]  There is infinite abundance.
[03:16:08.632 --> 03:16:13.959]  There is infinite ability for all of us on this planet to live a healthy,
[03:16:14.460 --> 03:16:22.826]  A positive, meaningful life, if we work together with cooperation and under the rule of law.
[03:16:22.826 --> 03:16:28.389]  Laws that are equal and just for all people, just like in the Republic.
[03:16:28.389 --> 03:16:33.753]  And that is what we, we are on the side of real law.
[03:16:33.753 --> 03:16:41.298]  The people who are in Washington, who have all the guns, all the money, are breaking the laws right in front of us.
[03:16:42.423 --> 03:16:50.727]  Now, in the vampire consciousness, they also have a rule that they have to tell us what they're going to do before they do it.
[03:16:50.727 --> 03:17:03.473]  And there was a movie about ten years ago called Wag the Dog, in which it showed about how President Clinton had to create a war to get out of a situation with his intern.
[03:17:04.153 --> 03:17:11.456]  This movie was in the can six months before Bosnia or any of the other escapades took place.
[03:17:11.456 --> 03:17:20.620]  They always, these people in the Illuminati, are under a very deep secret societies that have their own laws.
[03:17:20.620 --> 03:17:23.682]  And they do tell us what they're going to do.
[03:17:23.682 --> 03:17:28.724]  And Alex and others have read these things and we know what they want to do.
[03:17:30.259 --> 03:17:32.680]  It is not just about money.
[03:17:32.680 --> 03:17:34.481]  It's about power.
[03:17:34.481 --> 03:17:36.162]  Let me repeat that again.
[03:17:36.162 --> 03:17:37.343]  It's not just about money.
[03:17:37.343 --> 03:17:39.644]  They're taking our money and they've got our money now.
[03:17:39.644 --> 03:17:41.745]  Now it's about power.
[03:17:41.745 --> 03:17:47.408]  Now the question is, is that they can only take our power is if we give it to them.
[03:17:48.638 --> 03:17:59.885]  And clearly I and many, many other hundreds of thousands of people and maybe millions of people are becoming aware and saying, no, you're not going to do that.
[03:17:59.885 --> 03:18:01.266]  This is my life.
[03:18:01.266 --> 03:18:02.607]  This is my state.
[03:18:02.607 --> 03:18:03.548]  This is my country.
[03:18:03.548 --> 03:18:04.849]  This is my world.
[03:18:04.849 --> 03:18:07.610]  And we're not going to play your games.
[03:18:07.610 --> 03:18:12.914]  And friends, when I first became aware of this, it scared the heck out of me.
[03:18:14.215 --> 03:18:20.820]  But then, as time went on, I found all these wonderful and vibrant new people.
[03:18:20.820 --> 03:18:36.532]  People who were alive in their spirit, who had beautiful hearts, who were so much... Instead of just talking about, how about those Longhorns, or how about those Rangers, or how about, you know, whatever it was, all the draft... You know, and I'm a sports fan.
[03:18:36.532 --> 03:18:38.834]  I'm a total sports junkie.
[03:18:38.834 --> 03:18:41.877]  But there's bigger and more exciting things to talk about also.
[03:18:42.677 --> 03:18:47.461]  And there is no better game in the world right now.
[03:18:47.461 --> 03:18:50.584]  And I say game in a very fanciful way.
[03:18:50.584 --> 03:18:51.364]  It's life and death.
[03:18:51.364 --> 03:18:52.866]  It's life and death.
[03:18:52.866 --> 03:18:55.608]  This is a very serious situation.
[03:18:55.608 --> 03:19:01.933]  Well, that's what the British overlords in open books, they write, call how they play countries off against each other, how they control both parties, the manipulation.
[03:19:01.933 --> 03:19:03.895]  They call it the great game.
[03:19:03.895 --> 03:19:04.516]  Absolutely.
[03:19:04.516 --> 03:19:05.516]  And it is a great game.
[03:19:05.516 --> 03:19:07.738]  It's like a chessboard game to them.
[03:19:07.738 --> 03:19:10.741]  Because for them, human life has no value.
[03:19:12.020 --> 03:19:19.786]  Again, for them, most of the people who are in the epicenter of the Illuminati, the power elite, are basically atheists.
[03:19:20.933 --> 03:19:24.415]  They're materialistic, secular atheists.
[03:19:24.415 --> 03:19:26.456]  And I have a different point of view about life.
[03:19:26.456 --> 03:19:30.139]  I believe that life is divine.
[03:19:30.139 --> 03:19:32.560]  I believe it is spiritual.
[03:19:32.560 --> 03:19:33.721]  I believe it is loving.
[03:19:33.721 --> 03:19:35.162]  And I believe that there is purpose.
[03:19:35.162 --> 03:19:40.985]  And every single person on this planet has a purpose and a reason for being here.
[03:19:40.985 --> 03:19:44.047]  I need you to take up that destiny to truly go to the next level.
[03:19:44.047 --> 03:19:45.288]  You're not truly living until you do that.
[03:19:45.288 --> 03:19:46.349]  We've got a break.
[03:19:46.349 --> 03:19:46.869]  Come back.
[03:19:46.869 --> 03:19:48.050]  Your phone call is straight ahead.
[03:19:48.050 --> 03:19:49.611]  George Humphrey in studio with us.
[03:19:51.983 --> 03:19:53.665]  Alex Jones here with a question.
[03:19:53.665 --> 03:19:55.408]  What does humidity mean to you?
[03:19:55.408 --> 03:19:57.991]  Most people think of hot and sticky summer days.
[03:19:57.991 --> 03:20:03.138]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[03:20:03.138 --> 03:20:06.322]  That's why I'd like you to visit acolablue.com.
[03:20:06.322 --> 03:20:09.787]  Acolablue is a state-of-the-art atmospheric water generator.
[03:20:10.225 --> 03:20:22.774]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[03:20:22.774 --> 03:20:24.776]  Finally, drinking water that you control.
[03:20:24.776 --> 03:20:26.497]  I use one every day.
[03:20:26.497 --> 03:20:28.959]  Say goodbye to expensive water delivery services.
[03:20:29.319 --> 03:20:29.759]  I don't know.
[03:20:51.957 --> 03:20:52.997]  Hello, Ted Anderson.
[03:20:52.997 --> 03:20:57.960]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[03:20:57.960 --> 03:21:06.023]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[03:21:06.023 --> 03:21:11.606]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[03:21:11.606 --> 03:21:18.569]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[03:21:18.869 --> 03:21:24.452]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[03:21:24.452 --> 03:21:29.534]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[03:21:29.534 --> 03:21:37.477]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[03:21:37.477 --> 03:21:44.040]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[03:21:44.040 --> 03:21:45.161]  For more information, call 1-800-686-2237.
[03:21:48.402 --> 03:21:51.906]  That's 1-800-686-2237.
