[00:00.000 --> 00:13.160]  You're listening to the Alex Jones show
[01:20:36.120 --> 01:20:42.240]  intel source again documented known by this operation who he is he's just a smart patriot
[01:20:42.240 --> 01:20:46.720]  a veteran a guy hooked into things that knows what's going on by the white hats in the government
[01:20:46.720 --> 01:20:52.120]  versus the black hats and the white hats worldwide are making a move for free market prosperity
[01:20:52.120 --> 01:20:58.520]  true open societies and sorrows in the globalist I have been told for close to a month by the
[01:20:58.520 --> 01:21:03.600]  same individuals that told me that Kim Jong had already agreed to denuclearization and
[01:21:03.600 --> 01:21:07.560]  all the rest up before anybody else admitted it and I was and again I asked him I said
[01:21:07.560 --> 01:21:11.080]  why am I being given this info they said so we give you more info you know it's real
[01:21:11.080 --> 01:21:16.120]  but I didn't go with this but then I saw the latest developments I saw Zach contacting
[01:21:16.120 --> 01:21:20.440]  our producers saying listen they're going to target leftist sites and now it's all coming
[01:21:20.440 --> 01:21:24.680]  out that ISIS is going to do it to make the globalist victims it's here so the eight minutes
[01:21:24.680 --> 01:21:30.280]  we have left Zach lay out where we are right now what citizens should be watching the different
[01:21:30.280 --> 01:21:35.640]  players that are involved what's happening in the world absolutely so where we're at
[01:21:35.640 --> 01:21:41.160]  right now is we're going to have the mainstream media and the military industrial complex
[01:21:41.160 --> 01:21:45.880]  backed government have you believe that ISIS is being educated by info wars with common
[01:21:45.880 --> 01:21:52.280]  enemies we have the iconic images of Trump and the king of Saudi Arabia grasping that
[01:21:52.280 --> 01:21:57.320]  illuminated globe that illuminated globe and their inaugural trip coming to fruition Trump
[01:21:57.320 --> 01:22:01.320]  had to make a plan here we really have to get through to him because appeasing this complex
[01:22:01.320 --> 01:22:04.840]  appeasing these whorehawks is not where you want to be you want to be tough you have to
[01:22:04.840 --> 01:22:09.720]  do what you got to do but what about compromised gestation what about Rosenstein what about
[01:22:09.720 --> 01:22:14.120]  Houma what about Hussein what about the real crimes so we have to get through to Trump
[01:22:14.120 --> 01:22:18.680]  for all the good he's done as the most effective president in US history this is the fight this
[01:22:18.680 --> 01:22:24.360]  is the death hurdle that image of him waving the swords that image of grasping the illuminated
[01:22:24.360 --> 01:22:29.480]  globe in Saudi Arabia will be a problem because like we have all over the planet our our grass
[01:22:29.480 --> 01:22:34.200]  is an empire that's what it is our military presence all over the planet is being mimicked
[01:22:34.200 --> 01:22:38.360]  and followed up by Saudi Arabia doing the same thing in the Middle East and North Africa they
[01:22:38.360 --> 01:22:42.920]  will pull off the sections of the world that we did not culturally have the ability to do but
[01:22:42.920 --> 01:22:47.400]  obviously they are in cahoots looking to the information into 9 11 and those images if not
[01:22:47.400 --> 01:22:52.360]  corrected and played at the 5d chess level will be very problematic for the Trump presidency
[01:22:52.360 --> 01:22:56.760]  as as history is written very dangerous times and getting back to Rosenstein
[01:22:58.760 --> 01:23:04.760]  the secretary of i mean all these people the attorney general all of them worship him like
[01:23:04.760 --> 01:23:09.240]  he's god he's the one that worked for clinton he's the one that did it all Trump's not even talking
[01:23:09.240 --> 01:23:13.800]  about getting rid of rosenstein and they say you do it it's over this is the rogue government
[01:23:13.800 --> 01:23:18.600]  so the old idea was don't get rid of them it looks like you're guilty no they're criminals get rid of
[01:23:18.600 --> 01:23:26.520]  all of them exactly yes jeff you have jeff sessions um you know being a champion of mandatory minimums
[01:23:26.520 --> 01:23:31.720]  and and you know threatening the white house and you know putting out the media that he will step
[01:23:31.720 --> 01:23:37.000]  down if rosenstein is fired and notice as soon as trump said i don't want to put marijuana smokers
[01:23:37.000 --> 01:23:42.360]  in prison which is super popular and reasonable suddenly sessions goes crazy who really controls
[01:23:42.360 --> 01:23:48.360]  sessions zack and what do they have on him if you know sessions is down the line deep state just
[01:23:48.920 --> 01:23:52.920]  he's been a problem from the get go and he has some good qualities he's a little bit later in his
[01:23:52.920 --> 01:23:57.720]  life but like we said six months ago tillerson is compromised haley is compromised sessions is
[01:23:57.720 --> 01:24:01.880]  compromised and that's our big wedge in between us and the q and i community it's trust sessions
[01:24:01.880 --> 01:24:05.480]  trust sessions trust sessions well i don't trust sessions because huma abedine and the
[01:24:05.480 --> 01:24:09.560]  awan brothers committed treason in this country hillary clinton committed treason this country
[01:24:09.560 --> 01:24:15.480]  barack who's saying who's saying who's saying obama committed treason in this country so don't
[01:24:15.480 --> 01:24:20.040]  be okay and raise with your deputy attorney general into trump's party exactly if i was selling out
[01:24:20.040 --> 01:24:24.440]  the pakistan dollar cigarettes i need a bullet in my head what the hell is what they they say
[01:24:24.440 --> 01:24:29.160]  we're traitors all day they're the ones that are traitors the question is what do the awan
[01:24:29.160 --> 01:24:35.880]  brothers and huma get on jeff that's right because they had control of his servers they well so what
[01:24:35.880 --> 01:24:40.040]  is the word let's just get it out there i know the fbi's grab you a few times over this but what
[01:24:40.040 --> 01:24:44.840]  is the word on jeff what do they have on him i don't know i'll just say this it's compromised
[01:24:44.840 --> 01:24:49.240]  jeff that's needs i can't get into specific details because that would be very problematic
[01:24:49.240 --> 01:24:53.400]  and you're dealing with an individual like him and the entities that he's in control of obviously
[01:24:53.400 --> 01:24:57.240]  it becomes a problem in the in the next few weeks i know but the fact that you know that makes it a
[01:24:57.240 --> 01:25:02.280]  problem i just want to get this going i'm not scared of these people i'm sick of it man the intel's
[01:25:02.280 --> 01:25:06.520]  out there he was he was even a part of a group so you're saying if he makes a move against you or
[01:25:06.520 --> 01:25:13.320]  others the intel goes out oh it's going out it's well i was told let's just say he was in the kkk
[01:25:14.360 --> 01:25:20.440]  i'm told it's kkk like i'm just saying he's a man later in his life history seemed to the world
[01:25:20.440 --> 01:25:25.480]  move in a different different way when he was a younger man um he lived in a certain geographical
[01:25:25.480 --> 01:25:29.400]  region of the planet where certain things were accepted and that if they were out so you know
[01:25:29.400 --> 01:25:35.240]  you just said at the intel you're getting is the same thing i got on on on bird is that it's kkk crap
[01:25:36.280 --> 01:25:41.240]  i mean you're pushing the the prison industrial complex you're not the name whom are who's saying
[01:25:41.240 --> 01:25:46.840]  doesn't come up with verifiable things you're okay and you're okay and raise a goddamn kkk people
[01:25:46.840 --> 01:25:52.840]  i'm so sick of them i mean and you know he was brought in uh just like killer saying just like
[01:25:52.840 --> 01:25:57.160]  hailey to see where see where they could be led and then be crossed and you know double cross in
[01:25:57.160 --> 01:26:02.120]  the next year or two he will be relieved and this is a lot of good intel out of q and on but this is
[01:26:02.120 --> 01:26:05.560]  our wedge right here where it's trust sessions trust sessions trust sessions i've known some
[01:26:05.560 --> 01:26:10.280]  things for a long time and just his lines i'm not no we got two minutes left what's the rest of
[01:26:10.280 --> 01:26:14.840]  data done the left is getting ready to have global estate's terror attacks to make them the victim
[01:26:14.840 --> 01:26:22.200]  that's the clear next play we have that what else the big question is when will huma and hussain be
[01:26:22.200 --> 01:26:27.160]  pushed i want donald trump and he will start doing it this week i think maybe into the next week
[01:26:27.160 --> 01:26:30.840]  how can they're not possibly you know have hillary clinton whom avidine and brock who's
[01:26:30.840 --> 01:26:35.080]  saying looked into because what's going to happen is trump trump via twitter will start
[01:26:35.080 --> 01:26:39.640]  pressuring jeff sessions compromise jeff sessions well isn't it good news that congress is calling
[01:26:39.640 --> 01:26:45.720]  for criminal investigations that seemed to make the democrats fall suit and go crazy or seen as
[01:26:45.720 --> 01:26:51.160]  potential potential momentum that's actually not momentum don't look into that there's already
[01:26:51.160 --> 01:26:55.960]  stuff there's there's members of congress specifically no there's enough to indict all
[01:26:55.960 --> 01:27:03.000]  the top democrats and send the president for 10 000 years if you're if you pull out the true plan
[01:27:03.000 --> 01:27:09.880]  here if we really get into what went on with hrc washman solz who's saying and and and all the
[01:27:09.880 --> 01:27:14.680]  likes there with the fast and furious being being the pretext of you know getting all of this it's
[01:27:14.680 --> 01:27:22.360]  so unprecedented that the changes in history will be you just cannot get to around this it's either
[01:27:22.360 --> 01:27:27.240]  all or nothing and that's why the democrats are so desperate they've committed such galactic crimes
[01:27:27.240 --> 01:27:32.920]  that they've just they did their corners you just hit it right this is the galactic gold mine
[01:27:32.920 --> 01:27:37.800]  and that is it because everything that's occurring is stopping us like you spoke about the front
[01:27:37.800 --> 01:27:42.600]  some of the stuff i'm involved with and think tank engineering um the move here we they have to do
[01:27:42.600 --> 01:27:47.240]  everything they can to stop us from going multi-planetary once we go multi-planetary there's a real
[01:27:47.240 --> 01:27:52.040]  issue in the culture narrative real issue and we you know what we look to as cultural references
[01:27:52.040 --> 01:27:56.920]  real issues in the economy when it comes to mining certain precious metals and minerals
[01:27:56.920 --> 01:28:01.480]  everything changes and big disclosures are about to come out and they want to be in charge
[01:28:01.480 --> 01:28:06.040]  when the disclosures happen hundred percent so they're pulling out they've pulled it out they
[01:28:06.040 --> 01:28:09.320]  played the jack of spades that's what i've been told that's what i've been told since i was a kid
[01:28:09.320 --> 01:28:13.800]  and we are here right now artzak i'm back live tomorrow i know you're very busy there at paulo
[01:28:13.800 --> 01:28:18.040]  alto and the worker do it but you gotta come back on for a full hour to talk about what you just said
[01:28:18.040 --> 01:28:22.520]  the full import the full game the full what's known because you're on target and we love you we
[01:28:22.520 --> 01:28:28.280]  appreciate you likewise any time to be an honor set it up tomorrow all right i'm gonna come back
[01:28:28.280 --> 01:28:32.920]  get into the culture war straight ahead they're trying to ban cheerleaders the nfl just in the
[01:28:32.920 --> 01:28:37.720]  image of beautiful women the image of culture the image of art the image of free will and then
[01:28:37.720 --> 01:28:41.720]  kanya west i'm gonna apologize to kanya west it's never really paying attention to who he was i just
[01:28:41.720 --> 01:28:45.880]  attacked anything hollywood i've now been following kanya west he's really done some important things
[01:28:45.880 --> 01:28:50.120]  you got video of him coming up with paul watson this is powerful please stay with us this is the
[01:28:50.120 --> 01:29:00.280]  revolution against satan they use their media to assassinate real news they use their schools to
[01:29:00.280 --> 01:29:05.640]  teach children that their president is another hitler they use their movie stars and singers and
[01:29:05.640 --> 01:29:11.320]  comedy shows and award shows to repeat their narrative over and over again and then they use
[01:29:11.320 --> 01:29:17.800]  their ex-president to endorse the resistance all to make them march make them protest make them
[01:29:17.800 --> 01:29:24.600]  scream racism and sexism and xenophobia and homophobia to smash windows burn cars shut down
[01:29:24.600 --> 01:29:30.840]  interstates and airports bully and terrorize the law abiding until the only option left is for the
[01:29:30.840 --> 01:29:37.320]  police to do their jobs and stop the madness and when that happens they'll use it as an excuse for
[01:29:37.320 --> 01:29:45.400]  their outrage the only way we stop this the only way we save our country and our freedom is to fight
[01:29:45.400 --> 01:29:52.760]  this violence of lies with the clenched fist of truth i'm the national rifle association of america
[01:29:52.760 --> 01:30:00.760]  and i'm freedom's safest place info wars life and info wars life dot com is extremely excited to
[01:30:00.760 --> 01:30:08.280]  announce our latest release winner sun a revolutionary type of vitamin d3 winner sun is a premium
[01:30:08.280 --> 01:30:13.960]  quality vitamin d3 nutritional supplement it is produced by extracting oil from healthy nutrient
[01:30:13.960 --> 01:30:19.560]  dense plants known as lichens every batch is analyzed for purity and d3 content it's completely
[01:30:19.560 --> 01:30:24.920]  free of toxins and allergens simply put if you want the best at an extremely low price this is it
[01:30:24.920 --> 01:30:30.520]  winner sun is the result of our pursuit of the best source of vitamin d3 the research and development
[01:30:30.520 --> 01:30:36.040]  took over two years but the result as verified by independent laboratories is the best vegan vitamin
[01:30:36.040 --> 01:30:43.160]  d3 product in the world read the facts at info wars life dot com about winner sun vitamin d3 not
[01:30:43.160 --> 01:30:48.840]  only does vitamin d3 promote a healthy mood but vitamin d supports our memory and brain function
[01:30:48.840 --> 01:30:56.440]  something the globalists are targeting visit info wars dot com today or call 888-253-3139
[01:30:56.440 --> 01:31:01.560]  mike in arizona you're on the air worldwide go ahead oh alex you can rent any day of the week
[01:31:01.560 --> 01:31:06.280]  thank you sir for doing what you do and being a patriot and doing your best to save america
[01:31:06.280 --> 01:31:12.760]  and encouraging us as fellow patriots to do that in our local areas as well um and as a
[01:31:12.760 --> 01:31:19.000]  longtime info wars listener i want to say thanks for the awesome brain force anthroplex my girlfriend
[01:31:19.000 --> 01:31:23.800]  would like to say thanks for the anthroplex thank you um i use the bio true selenium the super blue
[01:31:23.800 --> 01:31:28.840]  toothpaste for you folks who aren't big normal toothpaste fans the super blue is awesome and
[01:31:28.840 --> 01:31:33.800]  thank you so much alex for the info wars life products they are quality i can't wait to get
[01:31:33.800 --> 01:31:38.920]  some more and thank you so much for doing that for us to keep us healthy absolutely we because
[01:31:38.920 --> 01:31:45.000]  then we could all as educated patriots help our other countrymen and women understand that there's
[01:31:45.000 --> 01:31:49.880]  a bigger problems going on and if we can get our houses in order and be good to each other and
[01:31:49.880 --> 01:31:59.640]  ourselves we can take our country back hey did you know that you can now preserve your own food
[01:31:59.640 --> 01:32:06.840]  for up to 25 years and still maintain its nutrition and flavor that's right now's the time to build
[01:32:06.840 --> 01:32:12.600]  your own food storage with harvest rights freeze dryers go to info wars store dot com to learn
[01:32:12.600 --> 01:32:17.800]  more and check out this innovative and smart technology that's easy to use and let me tell
[01:32:17.800 --> 01:32:23.080]  you something it is perfect for freeze drying fruits vegetables meats dairy products desserts
[01:32:23.080 --> 01:32:28.360]  and entire meals who that's what i'm talking about and when compared to traditional methods
[01:32:28.360 --> 01:32:33.400]  of preservation like canning or dehydrating you know like what you get at the grocery store there
[01:32:33.400 --> 01:32:40.520]  is no comparison harvest right freeze dryers retain 97% of the food's taste color and nutritional
[01:32:40.520 --> 01:32:47.240]  value and have a shelf life of up to 25 years now that's what i call the miracle of food
[01:32:47.240 --> 01:32:52.520]  preservation harvest right is truly the world's best most affordable freeze dryer so what are you
[01:32:52.520 --> 01:33:02.520]  waiting for check it out right now at info wars store dot com you're listening to the alex jones show
[01:33:02.520 --> 01:33:26.200]  big brother mainstream media government cover-ups you want to stop tyranny well so does he live
[01:33:26.200 --> 01:33:33.720]  from the info wars dot com studios it's alex jones all right my friends we've got two segments
[01:33:33.720 --> 01:33:39.080]  left tonight and i have saved some of the most important information to last coming up in the
[01:33:39.080 --> 01:33:46.200]  final segment here about 15 minutes i'm going to apologize to khanye west it's been a long time
[01:33:46.200 --> 01:33:51.800]  coming but i didn't really know his politics i just knew he was connected to hollywood the big
[01:33:51.800 --> 01:33:59.880]  media combine so i called him kyan west and stuff like i attack all mainstream entertainers just
[01:33:59.880 --> 01:34:04.920]  because i just ignore the whole thing but it turns out for years he's been a entrepreneur
[01:34:05.720 --> 01:34:10.440]  independent more libertarian i know he's a trump fan he was thrown a mental institution
[01:34:10.440 --> 01:34:15.880]  because he was uh and now he's come out and said that he likes kandace owens who's been a guest on
[01:34:15.880 --> 01:34:23.320]  the show many times and who is a great uh liberator of the human mind so one thing he's got amongst
[01:34:23.320 --> 01:34:27.720]  the talent and hundreds of millions of dollars is that he's a maverick and got a lot of courage
[01:34:27.720 --> 01:34:31.400]  because they've already locked him up for two weeks in a mental institution when he started
[01:34:31.400 --> 01:34:35.480]  publicly saying get off trumps back whether you love trump or hate him you've all got a right to
[01:34:35.480 --> 01:34:41.400]  be at my concerts they grabbed him that night put him in a mental institution last year so that is
[01:34:41.400 --> 01:34:47.160]  coming up in the next segment i'll get into my apology and then play paul watson's powerful
[01:34:47.160 --> 01:34:53.640]  video but speaking of that have another powerful paul watson editor of info wars.com video that's
[01:34:53.640 --> 01:35:01.080]  up on info wars.com and news wars.com right now nfl to band cheerleaders and i watched the video
[01:35:01.080 --> 01:35:05.240]  this morning and then i actually did some of the research on it and lo and behold it's right there
[01:35:05.240 --> 01:35:14.200]  in usa today usa today columnist time for the nfl to fire chandelier clad female cheerleaders and
[01:35:14.200 --> 01:35:19.560]  hire male cheerleaders because it's not fair that they're only female we can't have gender roles
[01:35:19.560 --> 01:35:27.000]  here now folks let's just back up for a minute i call myself a libertarian because i think some of
[01:35:27.000 --> 01:35:33.240]  the more extreme conservatives out there who basically want us all to live like amish violate
[01:35:33.240 --> 01:35:39.080]  people's rights in a world where they had control but they're not the people taken over there's not
[01:35:39.080 --> 01:35:46.040]  a billion three hundred million super orthodox christians that are following the same christianity
[01:35:46.040 --> 01:35:52.520]  of a thousand years ago that doesn't exist but under islam there is a billion three hundred million
[01:35:53.720 --> 01:36:00.120]  the left the liberal groups these other organizations they are accepting it they are
[01:36:00.120 --> 01:36:05.480]  adopting it they're saying in europe and here in the u.s that linda susur should lead the different
[01:36:05.480 --> 01:36:11.320]  feminist organizations uh and different groups that are out there it's just simply insane
[01:36:12.920 --> 01:36:18.920]  but now you've got us today columnist coming out and saying it hurts women it's objectifying on and
[01:36:18.920 --> 01:36:27.080]  on and on well that's like saying big muscular six foot five guys wrestling in a professional
[01:36:27.080 --> 01:36:32.760]  wrestling ring is objectifying they're making millions of dollars they're having fun people
[01:36:32.760 --> 01:36:38.520]  want to see big tough guys even simulated fighting it's what happens nfl football players bash each
[01:36:38.520 --> 01:36:44.600]  other's brains out as gladiators it's their right to do it the nanny state is what has gotten rid of
[01:36:44.600 --> 01:36:53.320]  diving boards it's what's gotten rid of uh most of the freedoms we have in this country with the
[01:36:53.320 --> 01:36:58.600]  entire nanny state suing everything out of existence where regular gas tanks that always work that you
[01:36:58.600 --> 01:37:03.560]  could fill up with gas and use easily we're all sued out of existence so the new safety gas cans
[01:37:03.560 --> 01:37:09.640]  that are plastic and have the weird nozzles that spill everywhere are all we have it's example after
[01:37:09.640 --> 01:37:15.480]  example after example but now ben Shapiro has written an article for us today countering it
[01:37:15.480 --> 01:37:20.920]  dealing with all of this insanity but the left has gone full circle into the orthodox
[01:37:20.920 --> 01:37:27.240]  oppressive control freaks that they claim the conservatives were hundreds and hundreds of
[01:37:27.240 --> 01:37:32.280]  years ago and they as a cult particularly feminist women want control of the powerful
[01:37:32.280 --> 01:37:38.360]  culture of women and they're turning women into victims just like the democratic party has turned
[01:37:38.360 --> 01:37:54.280]  black people into victims from one plantation to a new one here's paul's watson's report cheerleaders
[01:37:55.080 --> 01:38:01.640]  who doesn't like cheerleaders that ugly bitter feminists obviously and usa today columnist nancy
[01:38:01.640 --> 01:38:07.240]  or more no place in the nfl for cheerleaders in 2018 so after calling for classic songs to be banned
[01:38:07.240 --> 01:38:13.720]  for their offensive lyrics usa today now wants cheerleaders gone to is anything sacred the houston
[01:38:13.720 --> 01:38:17.480]  texas aren't even bothering with the pretense on their website as a photo gallery of the finalist
[01:38:17.480 --> 01:38:20.840]  from last weekend's cheerleader tryouts and visitors are encouraged to vote for their favorites
[01:38:20.840 --> 01:38:24.600]  are these action shots of the women that highlight their athletic ability or downskills do they
[01:38:24.600 --> 01:38:29.160]  include a list of their qualifications of course not their headshots sorry head and chest shots
[01:38:29.160 --> 01:38:34.360]  close-up ones at that the better to ogle you know wait you mean to tell me that they judge women
[01:38:34.360 --> 01:38:40.520]  for a role that specifically requires hotness on the level of their hotness is not their academic
[01:38:40.520 --> 01:38:45.400]  qualifications because the first thought that pops into my head when i watch this is gee i wonder
[01:38:45.400 --> 01:38:51.560]  what grade point average this chick got newsflash dummy men like to look at hot women that's never
[01:38:51.560 --> 01:38:57.080]  going to change and no matter how much you try to browbeat shame and reeducators that's always
[01:38:57.080 --> 01:39:01.880]  going to be a thing you can't reverse basic biology through social engineering the underlying
[01:39:01.880 --> 01:39:05.880]  premise of nfl cheerleaders is degrading presenting women as nothing more than objects to be
[01:39:05.880 --> 01:39:10.120]  layered up with skimpy suggestive outfits as their uniform their only purpose is to titillate and you
[01:39:10.120 --> 01:39:16.280]  know what she's got a point this is just morally wrong congress really should pass a law to prevent
[01:39:16.280 --> 01:39:21.320]  women from being forced into cheerleading oh wait that wouldn't be necessary because it's completely
[01:39:21.320 --> 01:39:27.720]  optional i mean cheerleaders just hate cheerleading so much some of them pay just to audition women
[01:39:27.720 --> 01:39:33.400]  making their own choices on what to do with their bodies wasn't that what women's lib was all about
[01:39:33.400 --> 01:39:38.600]  freedom of choice you know before all your resentful harpies hijacked feminism and turned it into a
[01:39:38.600 --> 01:39:43.000]  global laughing stock with your hair brained intersectional nonsense it's always been an
[01:39:43.000 --> 01:39:48.680]  appalling message to send in in this hashtag need to era there's no longer any place for it nfl cheerleaders
[01:39:48.680 --> 01:39:54.360]  need to go nba dan squads and nhl ice girls while we're at it too right so in the name of feminism
[01:39:54.360 --> 01:39:59.720]  and supporting women you want to deprive tens of thousands of current and future women of work
[01:39:59.720 --> 01:40:06.200]  you purport to be a champion of women yet you refer to these women as blow up dolls come to life
[01:40:06.200 --> 01:40:11.880]  simply because they've chosen to do something that your joyless puritanical ass doesn't approve of
[01:40:11.880 --> 01:40:29.080]  now let's pause there and have another look at some cheerleaders as i was saying men like
[01:40:29.080 --> 01:40:33.880]  to look at hot women control freak middle-aged pearl clutching left-wing journalists who write
[01:40:33.880 --> 01:40:39.800]  for usa today don't like to look at hot women did you fail the high school cheer team is that what
[01:40:39.800 --> 01:40:44.840]  it is on by the way this isn't just about shaking around pompoms on game day many of these cheerleaders
[01:40:44.840 --> 01:40:49.640]  do important charity work and community outreach so one of the biggest entertainment groups to
[01:40:49.640 --> 01:40:55.320]  regularly perform for the united states armed forces overseas these girls literally go into
[01:40:55.320 --> 01:41:00.680]  war zones to lift the spirits of the troops and she admits this in her own article but then says
[01:41:00.680 --> 01:41:05.560]  man just ban him anyway i mean the nfl is already hemorrhaging viewers because of its tolerance of
[01:41:05.560 --> 01:41:10.760]  social justice stupidity now you want to take away the cheerleaders i mean what can we ban next
[01:41:10.760 --> 01:41:16.840]  las vegas showgirls burlesque dancers instagram hotties why don't we just ban models all together
[01:41:16.840 --> 01:41:21.000]  i mean what other potential career paths for young women can we terminate because we're such
[01:41:21.000 --> 01:41:26.280]  good feminists but paul this is just one newspaper columnist no no no no no this is part of a wider
[01:41:26.280 --> 01:41:32.760]  purge f1 grid girls band the tennis girl poster band beach body ads band page three girls band
[01:41:32.760 --> 01:41:37.960]  booth babes band we just made hundreds of thousands of women unemployed go feminism
[01:41:41.560 --> 01:41:46.760]  oh will bitch and moan all day about the horror of displaying women who choose to wear what they
[01:41:46.760 --> 01:41:51.880]  want well simultaneously celebrating a modesty culture that forces women to wear bags on their
[01:41:51.880 --> 01:41:57.160]  heads as a symbol of women's empowerment maybe if we just compelled women to wear certain items of
[01:41:57.160 --> 01:42:02.360]  clothing you'd be all for it because that's what seems to pass as feminism these days no
[01:42:02.360 --> 01:42:09.240]  the whole point should be to let women be rocket scientists or Babylon jigglers give them equal
[01:42:09.240 --> 01:42:15.400]  opportunity and mind your own frigging business feminists are going on and on and on about how
[01:42:15.400 --> 01:42:19.640]  it's degrading to women the women that are actually doing it don't feel degraded and
[01:42:19.640 --> 01:42:23.720]  we're not being given the choice to decide now whether we want to do it or not and when this
[01:42:23.720 --> 01:42:29.960]  isn't a feminist crusade this is a class crusade this is about a bunch of condescending sanctimonious
[01:42:29.960 --> 01:42:35.960]  elitist snobs like Nancy or more looking down their noses at hardworking girls just trying to
[01:42:35.960 --> 01:42:41.480]  make their way in life look not all girls can aspire to be like you to write laborious torment
[01:42:41.480 --> 01:42:46.760]  to diatribes about how everything that offends your prudish sensibilities should be banned so
[01:42:46.760 --> 01:42:52.360]  embrace real feminism embrace real equality and leave these girls the hell alone
[01:42:52.360 --> 01:43:00.600]  fuel your body with carnivore the new digestive enzyme product by info war's life digestive
[01:43:00.600 --> 01:43:05.240]  enzymes assist in the digestive process and increase the bioavailability of nutrients by
[01:43:05.240 --> 01:43:09.560]  breaking down foods into easily absorbable components they also help prevent discomfort
[01:43:09.560 --> 01:43:13.960]  from a digestion caused by fermentation of undigested food particles in the gut digestive
[01:43:13.960 --> 01:43:18.760]  enzyme production declines as we age carnivore is filled with digestive enzymes like those naturally
[01:43:18.760 --> 01:43:24.200]  present in the body enjoy the full potential of protein rich foods again you can eat protein
[01:43:24.200 --> 01:43:29.160]  heavy foods now while minimizing the later indigestion and discomfort commonly associated
[01:43:29.160 --> 01:43:34.360]  with high meat diets just one pill with every high protein meal helps increase the bioavailability
[01:43:34.360 --> 01:43:39.800]  and absorption of amino acids the building blocks to your muscles carnivore also contains
[01:43:39.800 --> 01:43:44.760]  digestive enzymes to help digest fats and carbohydrates so you can fully digest all
[01:43:44.760 --> 01:43:50.600]  types of meals don't let them you'll go to waste use carnivore by info war's life head to info
[01:43:50.600 --> 01:43:56.760]  war's life dot com and secure your bottle now that's info war's life dot com you know if i tried
[01:43:56.760 --> 01:44:03.000]  to sit here and tell you about the 60 plus products we have an info war's life it take hours michael zx
[01:44:03.000 --> 01:44:08.440]  plus now is a lower price it's stronger it's the other equation in probiotics it knocks out the yeast
[01:44:08.440 --> 01:44:15.000]  the mold uh the candida it's back in stock the real red pill it's been sold out for months
[01:44:15.000 --> 01:44:18.760]  it's got the preglonone that's the precursor to all the natural hormones in your body
[01:44:18.760 --> 01:44:23.400]  that it's got all the minerals and the vitamins the amino acids so you can upload it and our latest
[01:44:23.400 --> 01:44:29.000]  product that goes great with the super blue colloidal silver and iodine fortified toothpaste
[01:44:29.000 --> 01:44:35.000]  is super blue silver immune gargle that's a spray you do you can also swallow it it's a supplement
[01:44:35.000 --> 01:44:41.560]  with iodine super high quality silver and a lot more without you we couldn't do it so thank you
[01:44:41.560 --> 01:44:47.080]  all for remembering info war store dot com and remembering that it's not just you that's already
[01:44:47.080 --> 01:44:51.400]  awake but it's other people that aren't awake it's so essential to spread the word again thank you
[01:44:51.400 --> 01:44:58.120]  so much for being part of the second american revolution alex jones here to tell you about
[01:44:58.120 --> 01:45:02.360]  how you can help spread liberty worldwide while also enjoying what i have found to be the best
[01:45:02.360 --> 01:45:08.680]  tasting 100 organic coffee on the planet for more than a decade my favorite coffee has come from the
[01:45:08.680 --> 01:45:13.560]  high mountains of southern mexico where the ciapas farmers grow their unique shade grown arabica
[01:45:13.560 --> 01:45:19.800]  beans we have now managed to secure the sought after beans in a highly customized blend discover and
[01:45:19.800 --> 01:45:26.920]  try a bag of the patriot blend 100 organic coffee at info wars life dot com this coffee gives you a
[01:45:26.920 --> 01:45:31.640]  long smooth pick me up for hours without the headaches and heartburn that so many other
[01:45:31.640 --> 01:45:36.760]  coffees give me personally hands down this is my favorite coffee and it's taken us years to secure
[01:45:36.760 --> 01:45:42.600]  connections directly to the ciapas mexican farmers dropped by the site today order a bag or two and
[01:45:42.600 --> 01:45:46.840]  i don't think you're going to be disappointed available in original or with our immune support
[01:45:46.840 --> 01:45:52.680]  infusion blend you will be supporting a free press all the while enjoying a truly great tasting cup
[01:45:52.680 --> 01:45:58.760]  of my favorite coffee available at info wars life dot com choose to take control of your chemistry
[01:45:58.760 --> 01:46:05.880]  with survival shield x2 and bio true selenium this powerful combo is perfect for supporting your
[01:46:05.880 --> 01:46:12.600]  thyroid and health bio true selenium formula is far from synthetic and is made from a source of 100
[01:46:12.600 --> 01:46:18.280]  percent organic mustard seed our super high quality nascent iodine is an essential mineral
[01:46:18.280 --> 01:46:25.320]  sourced of 99.99 percent ultra pure deep earth iodine crystals this essential mineral is necessary
[01:46:25.320 --> 01:46:31.000]  in order to produce thyroid hormones which influence every cell tissue and organ in the body
[01:46:31.000 --> 01:46:37.240]  with inadequate thyroid hormones you may experience slow metabolism lethargy weight gain and overall
[01:46:37.240 --> 01:46:44.520]  brain fog survival shield x2 and bio true selenium work together to support the systems in your body
[01:46:44.520 --> 01:46:50.840]  take control of your chemistry today with this super combo discover the power of survival shield
[01:46:50.840 --> 01:46:55.480]  x2 and bio true selenium at info wars life dot com
[01:46:59.320 --> 01:47:02.040]  you're listening to the alex jones show
[01:47:02.040 --> 01:47:13.240]  so
[01:47:13.240 --> 01:47:16.760]  there's a lot of controversy around this network about alex jones for example
[01:47:16.760 --> 01:47:27.960]  so
[01:47:32.280 --> 01:47:37.960]  alex jones
[01:47:37.960 --> 01:47:43.160]  stop
[01:47:47.240 --> 01:47:57.160]  reputation is amazing i will not let you down you will be very very impressed i hope
[01:47:57.160 --> 01:48:03.240]  you
