[00:00.000 --> 00:01.500]  We've got a gun.
[01:49:41.500 --> 01:49:45.500]  Turkey has elections but the military runs that country.
[01:49:45.500 --> 01:49:47.500]  And that's what America's turning into.
[01:49:47.500 --> 01:49:48.500]  Most countries are like that.
[01:49:48.500 --> 01:49:53.500]  And I don't mean your son who's in the Marines or your daughter who's in the Navy.
[01:49:53.500 --> 01:49:59.500]  I mean the fat cats that run it, the El Jefes, the big chief baby.
[01:49:59.500 --> 01:50:02.500]  I don't want to live under the chief.
[01:50:02.500 --> 01:50:07.500]  The president's only the commander in chief when Congress declares war and tells him what to go do.
[01:50:07.500 --> 01:50:11.500]  Then he's the chief of the military, not the big chief.
[01:50:11.500 --> 01:50:13.500]  Let's go to some phone calls here.
[01:50:13.500 --> 01:50:16.500]  Just briefly, infowarsstore.com.
[01:50:16.500 --> 01:50:19.500]  You can get 10% off on all the water filter products.
[01:50:19.500 --> 01:50:23.500]  10% off with the promo code water on the gravity-fed stainless steel.
[01:50:23.500 --> 01:50:26.500]  Best out there and lowest price side-by-side comparisons.
[01:50:26.500 --> 01:50:28.500]  Blows the competition away.
[01:50:28.500 --> 01:50:31.500]  Propure at infowarsstore.com.
[01:50:31.500 --> 01:50:34.500]  And be sure to remember promo code water to get 10% off.
[01:50:34.500 --> 01:50:37.500]  And your purchase also supports our transmission.
[01:50:37.500 --> 01:50:42.500]  Get the June issue of the magazine or give gift subscriptions while supplies are still left.
[01:50:42.500 --> 01:50:45.500]  Infowarsstore.com.
[01:50:45.500 --> 01:50:49.500]  And you can find all the great books and films and information we cover.
[01:50:49.500 --> 01:50:57.500]  It's a giant online shopping cart at infowarsstore.com with the lowest prices on hundreds and hundreds of products.
[01:50:57.500 --> 01:50:58.500]  And you can start pre-ordering.
[01:50:58.500 --> 01:50:59.500]  It comes out next month.
[01:50:59.500 --> 01:51:07.500]  The film that I'm in that I'm distributing as the exclusive distributor, the film State of Mind, which blew me away.
[01:51:07.500 --> 01:51:12.500]  When I saw it, I said, okay, I want to â€“ I consulted on it and I'm in it.
[01:51:12.500 --> 01:51:15.500]  But when I saw it, I said, whoa, I want to really get behind this.
[01:51:15.500 --> 01:51:21.500]  So pre-order State of Mind and get a free film for the first 5,000 orders.
[01:51:21.500 --> 01:51:28.500]  We'll get a free copy of American Dream, the animated documentary film exposing the history of the Federal Reserve.
[01:51:28.500 --> 01:51:30.500]  It's very entertaining.
[01:51:30.500 --> 01:51:33.500]  It's like South Park meets a history lesson.
[01:51:33.500 --> 01:51:37.500]  So infowarsstore.com, State of Mind, order it now.
[01:51:37.500 --> 01:51:42.500]  And while supplies last, I have 5,000 of the American Dream film.
[01:51:42.500 --> 01:51:46.500]  So when it's gone, I'll no longer be able to give it free with the film.
[01:51:46.500 --> 01:51:49.500]  Infowarsstore.com.
[01:51:49.500 --> 01:51:53.500]  And State of Mind gets into the whole history of mind control and then the present and the future.
[01:51:53.500 --> 01:51:55.500]  Let's go to Bill in Wisconsin.
[01:51:55.500 --> 01:51:56.500]  Bill, you're on the air.
[01:51:56.500 --> 01:51:59.500]  Welcome, sir.
[01:51:59.500 --> 01:52:00.500]  Hello, Bill.
[01:52:00.500 --> 01:52:02.500]  Well, I'm doing good, Bill.
[01:52:02.500 --> 01:52:04.500]  You're doing good?
[01:52:04.500 --> 01:52:05.500]  I'm glad you're doing good, Bill.
[01:52:05.500 --> 01:52:08.500]  Let's go to JT Coyote in Colorado.
[01:52:08.500 --> 01:52:10.500]  He's an occasional writer from infowars.com.
[01:52:10.500 --> 01:52:11.500]  I'll know if it's him.
[01:52:11.500 --> 01:52:13.500]  JT, is that you?
[01:52:13.500 --> 01:52:14.500]  It's me.
[01:52:14.500 --> 01:52:15.500]  OK, buddy.
[01:52:15.500 --> 01:52:17.500]  What you calling about?
[01:52:17.500 --> 01:52:18.500]  Well, I got a couple of points, Alex.
[01:52:18.500 --> 01:52:21.500]  First, I want to greet you the proper way.
[01:52:21.500 --> 01:52:28.500]  I will say happy Paternal Progenitors Day in order to be politically correct.
[01:52:28.500 --> 01:52:31.500]  No, I showed AP and Reuters the word father is hate.
[01:52:31.500 --> 01:52:33.500]  That's it.
[01:52:33.500 --> 01:52:42.500]  Secondly, demonizing the pipe or pot use is like demonizing the gun for crime.
[01:52:42.500 --> 01:52:45.500]  They're going after the tools.
[01:52:45.500 --> 01:52:46.500]  Well, George Washington.
[01:52:46.500 --> 01:52:47.500]  Exactly.
[01:52:47.500 --> 01:52:48.500]  There's no lobby for the pipe.
[01:52:48.500 --> 01:52:53.500]  So they'll ban even the wooden pipe in Florida and felony charges.
[01:52:53.500 --> 01:52:55.500]  Yeah, that's insane, man.
[01:52:55.500 --> 01:52:57.500]  Well, they should arrest George Washington.
[01:52:57.500 --> 01:52:58.500]  He actually smoked.
[01:52:58.500 --> 01:53:02.500]  He actually didn't just grow hemp for sales and rope.
[01:53:02.500 --> 01:53:06.500]  He actually grew what they called toothache or stomachache hemp.
[01:53:06.500 --> 01:53:08.500]  George Washington actually smoked pot.
[01:53:08.500 --> 01:53:12.500]  So I'm unlike George Washington in that I'm not I'm not a marijuana type guy.
[01:53:12.500 --> 01:53:15.500]  I know I'm not trendy, folks.
[01:53:15.500 --> 01:53:17.500]  We have that Asner on the line.
[01:53:17.500 --> 01:53:19.500]  Hey, JT, I'm going to come back to you.
[01:53:19.500 --> 01:53:22.500]  And Asner needs no introduction.
[01:53:22.500 --> 01:53:25.500]  And I know that our crews out there interviewing him and others in Hollywood right now.
[01:53:25.500 --> 01:53:27.500]  Ed, is this you?
[01:53:27.500 --> 01:53:28.500]  It's me, baby.
[01:53:28.500 --> 01:53:29.500]  It's you, Ed.
[01:53:29.500 --> 01:53:30.500]  Wow.
[01:53:30.500 --> 01:53:33.500]  Why do I get a call from you, my friend?
[01:53:33.500 --> 01:53:35.500]  Well, it's been a long time.
[01:53:35.500 --> 01:53:36.500]  It has.
[01:53:36.500 --> 01:53:37.500]  How are you doing, sir?
[01:53:37.500 --> 01:53:39.500]  I'm still an admirer of all you do.
[01:53:39.500 --> 01:53:46.500]  And I guess you're one of the last voices left standing in this so-called democracy.
[01:53:46.500 --> 01:53:47.500]  Absolutely, sir.
[01:53:47.500 --> 01:53:48.500]  I guess.
[01:53:48.500 --> 01:53:52.500]  Are you out there with Rob Jacobson doing a video interview, sir?
[01:53:52.500 --> 01:53:53.500]  Rob?
[01:53:53.500 --> 01:53:54.500]  Is it Rob?
[01:53:54.500 --> 01:53:55.500]  There he is.
[01:53:55.500 --> 01:53:56.500]  Absolutely.
[01:53:56.500 --> 01:53:58.500]  No, I figured that's who you're with.
[01:53:58.500 --> 01:54:03.500]  Well, what do you make of the NSA spying coming out and funding Al Qaeda to attack Syria,
[01:54:03.500 --> 01:54:04.500]  sir?
[01:54:04.500 --> 01:54:13.500]  I think they're looking to stir up things and perhaps create the genesis for World War
[01:54:13.500 --> 01:54:14.500]  III.
[01:54:14.500 --> 01:54:15.500]  I agree.
[01:54:15.500 --> 01:54:19.500]  And why do you think they want to start a war as a political distraction?
[01:54:19.500 --> 01:54:21.500]  Well, because that's all they know.
[01:54:21.500 --> 01:54:23.500]  That's all they know.
[01:54:23.500 --> 01:54:25.500]  Business does well with wars.
[01:54:25.500 --> 01:54:29.500]  Of course, the military industrial complex does very well.
[01:54:29.500 --> 01:54:38.500]  So rather than and it furthers the control of the corporates over the people of our
[01:54:38.500 --> 01:54:39.500]  country.
[01:54:39.500 --> 01:54:42.500]  It further makes us all sheep.
[01:54:42.500 --> 01:54:44.500]  Well, I agree.
[01:54:44.500 --> 01:54:46.500]  Listen, you're very gracious to call in on the show.
[01:54:46.500 --> 01:54:48.500]  I would love to formally get you on.
[01:54:48.500 --> 01:54:51.500]  You've been on, I don't know, probably 10 times over the last decade.
[01:54:51.500 --> 01:54:54.500]  I would love to get you on sometime, sir, whenever you'd like to just maybe spend 30
[01:54:54.500 --> 01:54:56.500]  minutes to talk about the waterfront.
[01:54:56.500 --> 01:54:58.500]  Well, anytime you want.
[01:54:58.500 --> 01:55:03.500]  I didn't get a chance to come to your play that was on tour when you came through Texas,
[01:55:03.500 --> 01:55:05.500]  but I heard it was pretty successful.
[01:55:05.500 --> 01:55:07.500]  Yeah, it was.
[01:55:07.500 --> 01:55:13.500]  And I'll be going back on tour with that in October.
[01:55:13.500 --> 01:55:14.500]  October.
[01:55:14.500 --> 01:55:20.500]  By the way, I did discover and confirm, I'm sure you know him, that Captain Kirk is a
[01:55:20.500 --> 01:55:27.500]  listener of the show and Captain Kirk, also known as the price price line negotiator,
[01:55:27.500 --> 01:55:30.500]  said to say hi to you.
[01:55:30.500 --> 01:55:35.500]  Well, give Captain Burke a couple of wings for me.
[01:55:35.500 --> 01:55:39.500]  He's a very interesting sucker, I'll tell you.
[01:55:39.500 --> 01:55:44.500]  Well, I tell you, the former head of the Screen Actors Guild and won every award out there.
[01:55:44.500 --> 01:55:45.500]  How many awards have you won, Ed?
[01:55:45.500 --> 01:55:49.500]  I'm sure you don't want to talk about it, but you've won everything, haven't you?
[01:55:49.500 --> 01:55:54.500]  I haven't won a Tony and I haven't won an Oscar, so we've got a way to go.
[01:55:54.500 --> 01:55:59.500]  Well, you certainly, you know, what's your favorite performance you've been in, Ed Asner?
[01:55:59.500 --> 01:56:12.500]  Well, I can't deny the extent I identified with the character in Rich Grand Poor Man.
[01:56:12.500 --> 01:56:13.500]  I loved it.
[01:56:13.500 --> 01:56:14.500]  Oh, yeah.
[01:56:14.500 --> 01:56:15.500]  But I mean, you're good in everything.
[01:56:15.500 --> 01:56:19.500]  I mean, I love that small role, it's not small, medium size you played in JFK.
[01:56:19.500 --> 01:56:21.500]  You were so good in that.
[01:56:21.500 --> 01:56:22.500]  Yeah.
[01:56:22.500 --> 01:56:24.500]  And I had very little to work with there.
[01:56:24.500 --> 01:56:26.500]  Nobody knew anything about it.
[01:56:26.500 --> 01:56:30.500]  So we had a manufacture of whatever we did.
[01:56:30.500 --> 01:56:39.500]  And I had a great time with Elf, you know, and the total effect of Elf has been enormous.
[01:56:39.500 --> 01:56:42.500]  In closing, and then I want to talk to you off air because the show's ending and thanks
[01:56:42.500 --> 01:56:43.500]  for calling in.
[01:56:43.500 --> 01:56:45.500]  What is your day?
[01:56:45.500 --> 01:56:46.500]  Isn't it good news?
[01:56:46.500 --> 01:56:49.500]  The NSA stuff's coming out or is it too little, too late at Asner?
[01:56:49.500 --> 01:56:56.500]  Well, I think I think what we'll have to find out is what are they going to do about it?
[01:56:56.500 --> 01:57:03.500]  If they leave them alone, then there is still there are still democratic principles at work
[01:57:03.500 --> 01:57:04.500]  in this country.
[01:57:04.500 --> 01:57:10.500]  If they could try to crucify him like they did Manning are still attempting to crucify
[01:57:10.500 --> 01:57:11.500]  Manning.
[01:57:11.500 --> 01:57:13.500]  Then I think that's right.
[01:57:13.500 --> 01:57:15.500]  I think Snowden is a hero.
[01:57:15.500 --> 01:57:16.500]  What do you say?
[01:57:16.500 --> 01:57:17.500]  Oh, I do, too.
[01:57:17.500 --> 01:57:18.500]  Unbelievable.
[01:57:18.500 --> 01:57:29.500]  And everybody, press media doesn't rise up and try to defend him as openly as possible.
[01:57:29.500 --> 01:57:36.500]  Then the government truly will be labeled factions.
[01:57:36.500 --> 01:57:38.500]  Well, that's it for this live transmission.
[01:57:38.500 --> 01:57:41.500]  Ed, I'm going to say bye to you here at the end of the show and try to set you up proper
[01:57:41.500 --> 01:57:42.500]  for the show.
[01:57:42.500 --> 01:57:44.500]  Free transmission starts now at Infowars.com.
[01:57:44.500 --> 01:57:47.500]  I'll be back tomorrow 11 a.m. Central with the weekday show.
[01:57:47.500 --> 01:57:48.500]  God bless you all.
[01:57:48.500 --> 01:58:15.500]  Get out there and take on tyranny.
