[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[03:15:26.103 --> 03:15:26.644]  Romantic.
[03:15:26.644 --> 03:15:28.125]  You know what I'm saying?
[03:15:28.125 --> 03:15:29.246]  Yeah.
[03:15:29.246 --> 03:15:34.190]  That's actually probably the best description of Stuart Rhodes that I've ever heard anyone say, Alex.
[03:15:34.190 --> 03:15:34.911]  He's a romantic.
[03:15:34.911 --> 03:15:35.792]  That's absolutely right.
[03:15:36.462 --> 03:15:36.922]  Thank you for watching.
[03:15:56.784 --> 03:16:04.234]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[03:16:04.234 --> 03:16:11.323]  But if you look at all the different studies and reports done by NASA and other governments and other agencies, they all disagree on what's really happening with the climate.
[03:16:12.131 --> 03:16:17.676]  The only constant, the only great truth is change is the only constant.
[03:16:17.676 --> 03:16:20.439]  So yes, climate change is totally real.
[03:16:20.439 --> 03:16:27.325]  But notice first they called it global freezing back in the 70s and 80s and then it's gonna be global warming and that didn't really happen the way they wanted it to.
[03:16:27.325 --> 03:16:29.367]  Okay, now it's just climate change.
[03:16:29.367 --> 03:16:31.369]  But did you know that man-made climate change
[03:16:32.169 --> 03:16:38.755]  ...is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN.
[03:16:38.755 --> 03:16:45.200]  They have weather control treaties from 1979 and Bill Gates has been manipulating the weather for a very long time.
[03:16:45.200 --> 03:16:52.486]  In fact, back in 1994, two scientists won a Nobel Prize for an idea of spraying different particles out of jet engines to control the weather.
[03:16:52.486 --> 03:16:54.248]  So yes, man-made climate change is real.
[03:16:55.615 --> 03:16:59.738]  Three very important life-saving words.
[03:16:59.738 --> 03:17:03.521]  Vitamins, minerals, amino acids.
[03:17:03.521 --> 03:17:07.764]  And you find them all in Vitamin Mineral Fusion.
[03:17:07.764 --> 03:17:16.269]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources and a bunch of key
[03:17:17.230 --> 03:17:23.392]  Compounds, amino acids known to help get the nutrients into your tissues, into your cells.
[03:17:23.392 --> 03:17:32.394]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[03:17:32.394 --> 03:17:36.175]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[03:17:36.175 --> 03:17:39.536]  We're going to run this for a week and then
[03:17:40.316 --> 03:17:41.997]  We are going to be selling out of this product.
[03:17:41.997 --> 03:17:48.459]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[03:17:48.459 --> 03:17:52.341]  Get your Vitamin Mineral Fusion now and support the InfoWar 360 win at InfoWarStore.com
[03:17:55.453 --> 03:17:59.015]  UN-run contact tracers aren't coming, they're here.
[03:17:59.015 --> 03:18:13.725]  All over the world, from Australia to the United States, from Canada to Germany, these tyrants are tracking everything you do, everywhere you go, and then coming to your house and threatening, in some cases actually, taking people away into the night to their facilities.
[03:18:13.725 --> 03:18:21.950]  And they're planning in the next year to expand their shield process, where they come and take, quote, healthy people away and put them in facilities for their safety.
[03:18:22.290 --> 03:18:24.112]  This is nothing less than martial law.
[03:18:24.112 --> 03:18:31.918]  And one big thing you can do to fight back is to get high-quality Faraday cages, many of which are made here in America and are very compliant, meaning U.S.
[03:18:31.918 --> 03:18:35.281]  government military grade, at InfoWarsTore.com.
[03:18:35.281 --> 03:18:41.065]  We have the entire line of Silent Pocket ready to ship to you when you visit InfoWarsTore.com.
[03:18:41.065 --> 03:18:48.191]  Again, we have big backpacks, we have special dry bags, we've got them for cell phones, we've got them for laptops, we've got them for iPads.
[03:18:48.191 --> 03:18:48.912]  It's all there.
[03:18:49.212 --> 03:18:50.755]  At InfoWarStore.com.
[03:18:50.755 --> 03:18:55.262]  So protect your privacy today and support the InfoWar at InfoWarStore.com.
[03:18:58.584 --> 03:19:03.986]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[03:19:03.986 --> 03:19:05.066]  The communists!
[03:19:05.066 --> 03:19:17.711]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee, and yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune, and whatever.
[03:19:17.711 --> 03:19:26.755]  The point is, is that it's good coffee, and we've got it, and the farmers don't let the Mexican government take over, so I actually buy this from the Mexican rebels, and I've been buying it for, what, 14 years, and the price has never gone up.
[03:19:27.995 --> 03:19:28.455]  We're good to go.
[03:19:56.997 --> 03:20:02.922]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:23.063 --> 03:20:36.131]  Let me explain this.
[03:20:36.131 --> 03:20:42.435]  The left, the big money, the globalists are engaged in a high-tech psychological war that's going physical.
[03:20:42.435 --> 03:20:44.836]  They want to make it physical because they're losing.
[03:20:44.836 --> 03:20:49.859]  And because their old lies didn't work, they didn't give up, they tripled and quadrupled down.
[03:20:51.380 --> 03:21:05.908]  And so when you see federal filings against Owens saying he doesn't work for Infowars, we want sanctions, we want perjury charges, he doesn't work with Alex Jones, he didn't have security on January 6th, he didn't try to stop the invasion of the Capitol, it's all on video he did!
[03:21:07.978 --> 03:21:12.602]  But they're betting that the juries are so dumb and the judges are so corrupt they can do it.
[03:21:12.602 --> 03:21:13.983]  It's the same thing with the Sandy Hook stuff.
[03:21:13.983 --> 03:21:15.364]  Barely ever talked about it.
[03:21:15.364 --> 03:21:16.905]  Not even who I am.
[03:21:16.905 --> 03:21:21.989]  And then the stuff they put in the news is like totally twisted lies.
[03:21:21.989 --> 03:21:25.152]  None of it's even real.
[03:21:25.152 --> 03:21:28.515]  But that's not the sign of a winning group.
[03:21:28.515 --> 03:21:30.876]  That's the sign of losers.
[03:21:30.876 --> 03:21:33.439]  And so it's up to us that know the truth and love justice
[03:21:34.286 --> 03:21:34.606]  I think
[03:21:55.424 --> 03:21:57.266]  He probably had some type of psychosis.
[03:21:57.266 --> 03:22:03.872]  If you ask me personally, I don't know this, but where he changed, I believe it was this messianic figure that would trigger the second American Civil War.
[03:22:03.872 --> 03:22:13.762]  And he got walked by feds as one of the groups, along with Q followers and Antifa dressed up like Trump supporters to break into the Capitol.
[03:22:15.066 --> 03:22:21.997]  They arrested Enrique Tarrio, the head of Proud Boys, because he wasn't going to support an attack.
[03:22:21.997 --> 03:22:25.102]  They slipped their federal agent in there, we know that.
[03:22:25.102 --> 03:22:27.966]  And so this was very well played, using psychology.
[03:22:30.410 --> 03:22:31.410]  That's where we are now.
[03:22:31.410 --> 03:22:34.331]  The question is, was Rhodes working for them?
[03:22:34.331 --> 03:22:35.251]  I don't think so.
[03:22:35.251 --> 03:22:36.172]  I think he was set up.
[03:22:36.172 --> 03:22:43.614]  But the bottom line is, everything is January 6th now, as the New York Times said in that headline.
[03:22:43.614 --> 03:22:45.054]  Every day is January 6th.
[03:22:45.054 --> 03:22:51.856]  They're betting everything they're doing, their censorship, their lockdowns, their tyranny, their control on
[03:22:52.807 --> 03:22:53.608]  Well, I think
[03:23:17.580 --> 03:23:28.349]  If you listen to my story about the Antifa event in Atlanta, I told you that I thought that Antifa Atlanta, or the people they had there for that rally, was like a LARP.
[03:23:28.349 --> 03:23:42.020]  And maybe the right way to look at it is what's being overlaid with Oath Keepers on January 6th, what's being overlaid with the name and brand Oath Keepers on January 6th, is actually also a LARP.
[03:23:42.020 --> 03:23:46.324]  Whatever happened, whatever the organization was prior to January 6th,
[03:23:47.774 --> 03:23:50.495]  It was turned into something else on January 6th.
[03:23:50.495 --> 03:24:00.057]  If, indeed, anything what they said in the farcical, in my opinion, indictment, if any of that's actually true.
[03:24:00.057 --> 03:24:02.057]  Well, I totally agree with you.
[03:24:02.057 --> 03:24:06.638]  And, you know, it's insane that I didn't even ask who that guy was.
[03:24:06.638 --> 03:24:10.619]  I met him and he was here with a woman and then that guy.
[03:24:10.619 --> 03:24:12.820]  And I just, my alarms went completely off of that fella.
[03:24:13.607 --> 03:24:14.767]  Well, here's the real question.
[03:24:14.767 --> 03:24:16.248]  Where do we go from here, Alex?
[03:24:16.248 --> 03:24:16.628]  Okay?
[03:24:16.628 --> 03:24:24.410]  Because I actually believe that the reason the Oath Keepers was set up is still just as relevant today, actually more so, than it was in 2009.
[03:24:24.410 --> 03:24:30.552]  Now, I'm not advocating that someone else needs to step up and take the reins of Oath Keepers and charge forward.
[03:24:30.552 --> 03:24:30.973]  No, I agree.
[03:24:30.973 --> 03:24:33.793]  We shouldn't demonize the main mission of Oath Keepers.
[03:24:33.793 --> 03:24:35.534]  It was a great idea.
[03:24:35.534 --> 03:24:36.054]  Exactly.
[03:24:36.054 --> 03:24:41.316]  And peace officers, more than even in 2009, need to pull out their constitutions and re-hit
[03:24:42.139 --> 03:24:46.361]  And take the scales off their eyes and make sure they're doing the will of the people.
[03:24:46.361 --> 03:24:49.943]  Well, Hitler knew his main enemy was the military and police.
[03:24:49.943 --> 03:24:51.143]  That's Operation Valkyrie.
[03:24:51.143 --> 03:24:52.364]  So, exactly.
[03:24:52.364 --> 03:24:57.346]  They know the real Achilles heel they have is the military and police following their oath.
[03:24:57.346 --> 03:25:02.428]  And so that's why it was so key for them to infiltrate or whatever they did with Oath Keepers.
[03:25:02.428 --> 03:25:03.188]  Exactly.
[03:25:03.188 --> 03:25:10.812]  And one of the reasons why Stuart knew the government was so distrusting of Oath Keepers is because
[03:25:11.567 --> 03:25:27.317]  We always projected, and we said, and we always believed, that for every one dues-paying Oath Keeper, there's probably 10 or 20 peace officers and soldiers that know about us, and know that what we say is true, and that are actually really members.
[03:25:27.317 --> 03:25:30.219]  So, you know, the important thing is the message.
[03:25:30.219 --> 03:25:35.042]  The message gets out, and it's very widespread, and that's what the government fears, because they can't control it.
[03:25:36.881 --> 03:25:52.813]  My gut is, Stuart got desperate, his wife divorced him, he fell apart, he almost lost everything, and then he just suddenly, oh here's this money, here's these guys that are going to help you, and they knew how to psychologically manipulate him, and the rest is history.
[03:25:52.813 --> 03:25:58.998]  Well, when he and I were talking in 2019 and 2020, he was just this side of homeless.
[03:25:58.998 --> 03:26:02.881]  And I'm not saying that to be mean, I'm saying it because it helps explain maybe the situation.
[03:26:07.168 --> 03:26:12.151]  Yes, Stuart is a good man and a romantic.
[03:26:12.151 --> 03:26:15.433]  And you can see his perspective, a globalist takeover, a stolen election.
[03:26:15.433 --> 03:26:17.434]  Hey, let's be George Washington.
[03:26:17.434 --> 03:26:18.314]  But we're not in 1776.
[03:26:18.314 --> 03:26:20.576]  That doesn't work now.
[03:26:20.576 --> 03:26:21.816]  And he got set up by these people.
[03:26:21.816 --> 03:26:23.797]  I think that's really the best analysis we've got.
[03:26:23.797 --> 03:26:25.158]  That's why I told my crew off record.
[03:26:25.158 --> 03:26:27.600]  I said, no, Stuart's not a Fed.
[03:26:27.600 --> 03:26:30.181]  Stuart's a romantic being set up by Feds.
[03:26:30.181 --> 03:26:32.282]  And we now know what happened.
[03:26:32.282 --> 03:26:33.263]  And I want to be really clear.
[03:26:35.905 --> 03:26:51.921]  Resigned the organization on November 24, 2020 at no time on or before that date had anybody in the organization that I was aware of or involved with the organization in any way had said anything about taking on the government on January 6th.
[03:26:51.921 --> 03:26:54.463]  There was no talk.
[03:26:54.463 --> 03:26:55.524]  Nothing I heard.
[03:26:55.524 --> 03:26:59.428]  So if it was happening, it was happening behind the scenes of behind the scenes.
[03:27:00.220 --> 03:27:03.562]  Or it was happening among the Fed handlers and just waiting to roll it out.
[03:27:03.562 --> 03:27:04.342]  I don't know.
[03:27:04.342 --> 03:27:05.583]  But there was no talk of it.
[03:27:05.583 --> 03:27:10.486]  That would have been a ridiculous notion had someone brought that up in my presence.
[03:27:10.486 --> 03:27:16.209]  Well, yeah, attacking the Capitol is the last thing you do in an insurrection.
[03:27:16.209 --> 03:27:19.410]  I mean, it was a PR victory for the enemy.
[03:27:19.410 --> 03:27:27.915]  If what they laid out in this indictment, Alex, is true, well then honestly, Stuart Rhodes deserves to be found not guilty by reason of insanity.
[03:27:28.482 --> 03:27:32.784]  Because if that was his plan, if that was his plan, that's insanity.
[03:27:32.784 --> 03:27:34.164]  It's prima facie insanity.
[03:27:34.164 --> 03:27:40.287]  You can read their indictment and say, if they're being honest and true in this, Stuart's nuts.
[03:27:40.287 --> 03:27:42.067]  Nuts to the point where he's not responsible for it.
[03:27:42.067 --> 03:27:42.688]  Absolutely.
[03:27:42.688 --> 03:27:44.288]  I mean, you talk about exactly.
[03:27:44.288 --> 03:27:45.309]  This is crazy.
[03:27:45.309 --> 03:27:46.649]  All right.
[03:27:46.649 --> 03:27:47.089]  All right.
[03:27:47.089 --> 03:27:51.431]  Well, John D. Shirley, please come on our other shows, give us updates, reach out to us.
[03:27:51.431 --> 03:27:53.312]  And thank you so much for coming on and God bless you.
[03:27:53.991 --> 03:27:54.891]  Thank you for having me, Alex.
[03:27:54.891 --> 03:27:56.552]  People need to check out the Blue Shark Show.
[03:27:56.552 --> 03:27:59.974]  That's doing a local version of Alex Jones, taking the task.
[03:27:59.974 --> 03:28:00.814]  Your local crooks.
[03:28:00.814 --> 03:28:02.575]  The Blue Shark Show on YouTube.
[03:28:02.575 --> 03:28:05.116]  And yeah, well, I mean, I've seen your show before.
[03:28:05.116 --> 03:28:07.037]  You cover national stuff too, right?
[03:28:07.037 --> 03:28:12.839]  Well, I'm actually, they cover what some of the goings-on of the office on that show.
[03:28:12.839 --> 03:28:15.861]  Those are some good patriot friends of mine who take the task.
[03:28:15.861 --> 03:28:18.322]  The local swamp in Hood County.
[03:28:18.717 --> 03:28:23.318]  So if people want to know how you drive the swamp out of your county, go look at the Blue Shark Show.
[03:28:23.318 --> 03:28:31.521]  They'll show you how you drive the swamp out of your county, because we're driving that swamp out of our county, and I'm going to do the swamp creatures of my county a favor and not even name them on your show.
[03:28:31.521 --> 03:28:34.542]  But they know who they are, so everybody needs to check out Blue Shark Show.
[03:28:34.542 --> 03:28:35.202]  That's how you take a look.
[03:28:35.202 --> 03:28:36.043]  That's beautiful, yeah.
[03:28:36.043 --> 03:28:38.363]  We do it with information, not with violence.
[03:28:38.363 --> 03:28:40.044]  Alright, thank you John D. Shirley.
[03:28:40.044 --> 03:28:40.404]  Thank you.
[03:28:40.404 --> 03:28:46.306]  Alright, I've got some final news to hit before Owen Schroeder takes over, and he's got
[03:28:47.458 --> 03:28:51.427]  Dr. Darren Beattie on his show today.
[03:28:55.794 --> 03:29:10.604]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[03:29:10.604 --> 03:29:14.466]  It has all the vitamins, all the minerals, incredible amino acids.
[03:29:14.466 --> 03:29:20.250]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[03:29:20.250 --> 03:29:21.451]  That's why, despite the fact
[03:29:22.031 --> 03:29:24.572]  That it's selling out at current sales rates.
[03:29:24.572 --> 03:29:29.193]  We're going to keep it on sale for another seven days.
[03:29:29.193 --> 03:29:32.434]  So we're running this until next Thursday.
[03:29:32.434 --> 03:29:34.435]  And your purchase supports the broadcast.
[03:29:34.435 --> 03:29:37.395]  I want to thank you all for shopping with InfoWars.
[03:29:37.395 --> 03:29:42.937]  Without you, we would not have been on air and the world would be a much worse position right now that it's in.
[03:29:42.937 --> 03:29:49.859]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth, exposing the Great Reset and the New World War.
[03:29:50.319 --> 03:29:55.261]  So support your immune system and support free speech and the fight for liberty at the same time at mfoolwarrestore.com.
[03:30:05.865 --> 03:30:12.886]  Until now, and we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[03:30:12.886 --> 03:30:16.667]  So out of all the bone broths out there, I'm telling you, this is next level.
[03:30:16.667 --> 03:30:17.887]  Listen to what it's got in it.
[03:30:17.887 --> 03:30:23.089]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[03:30:23.089 --> 03:30:32.591]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[03:30:32.591 --> 03:30:34.791]  And then it's got a bunch of other incredible things like magnesium,
[03:30:35.031 --> 03:30:36.732]  Potassium and sodium added.
[03:30:36.732 --> 03:30:39.194]  I mean this sucker has got everything for your electrolytes.
[03:30:39.194 --> 03:30:45.940]  It's got real organic cocoa butter powder with natural chocolate flavor and a touch of sea salt and it just goes on and on.
[03:30:45.940 --> 03:30:47.201]  It is now back in stock.
[03:30:47.201 --> 03:30:49.223]  Ultimate Bone Broth Plus.
[03:30:49.223 --> 03:30:53.866]  Available at 20% off and free shipping out of the gates at InfoWarsStore.com
[03:30:55.362 --> 03:31:00.206]  I've been fighting as hard as I can for almost 28 years against the globalists.
[03:31:00.206 --> 03:31:02.267]  I wanted to stop their agenda.
[03:31:02.267 --> 03:31:07.732]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[03:31:07.732 --> 03:31:08.852]  But we failed.
[03:31:08.852 --> 03:31:10.514]  Yes, a lot of people are awake.
[03:31:10.514 --> 03:31:12.015]  Yes, we're not getting caught flat-footed.
[03:31:12.355 --> 03:31:18.378]  But they are going ahead with their full operational deindustrialization Great Reset.
[03:31:18.378 --> 03:31:27.304]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[03:31:27.304 --> 03:31:32.747]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[03:31:32.747 --> 03:31:35.388]  And one of the number one things to do is high quality storable food.
[03:31:35.388 --> 03:31:38.230]  We've got the best food ready to ship at very affordable prices.
[03:31:38.570 --> 03:31:40.791]  Everything we've witnessed in the last few decades has only been the build-up
[03:32:00.260 --> 03:32:02.522]  For what the globalists are doing right now.
[03:32:02.522 --> 03:32:04.244]  This is their big offensive.
[03:32:04.244 --> 03:32:05.706]  This is their takeover.
[03:32:05.706 --> 03:32:09.710]  And this is the point that they're at their very weakest because now they've revealed themselves.
[03:32:09.710 --> 03:32:14.675]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[03:32:14.675 --> 03:32:17.237]  Their depopulation agenda has been exposed.
[03:32:17.237 --> 03:32:17.398]  But...
[03:32:17.918 --> 03:32:23.524]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[03:32:23.524 --> 03:32:28.950]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[03:32:28.950 --> 03:32:32.634]  And when you buy products at InfoWarsTore.com, you keep us on air.
[03:32:32.634 --> 03:32:36.839]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[03:32:39.682 --> 03:32:41.764]  Both of these are in our top five best sellers.
[03:32:41.764 --> 03:32:42.945]  They are so good for your body.
[03:32:42.945 --> 03:32:46.508]  And if there's two things you do for your body, it's these two products.
[03:32:46.508 --> 03:32:49.610]  They're all back in stock at m4wrestore.com.
[03:32:49.610 --> 03:32:51.112]  50% off and it keeps us on the air.
[03:32:51.112 --> 03:32:57.137]  Only way we fail is if you don't take action.
[03:32:57.137 --> 03:33:03.062]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:08.357 --> 03:33:10.978]  Waging war on corruption.
[03:33:10.978 --> 03:33:24.161]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[03:33:24.161 --> 03:33:28.323]  Well, I don't say this to get you to marvel at me.
[03:33:28.323 --> 03:33:31.483]  In fact, I tell you, we're in a lot of trouble, because I'm about the best we've got.
[03:33:31.483 --> 03:33:32.904]  It's really true.
[03:33:34.640 --> 03:33:37.020]  And I've learned about the dark side of the New World Order.
[03:33:37.020 --> 03:33:38.161]  I've learned about their dirty tricks.
[03:33:38.161 --> 03:33:45.262]  I've learned about that gun kicks as hard as it shoots, as they say in Texas.
[03:33:45.262 --> 03:33:50.983]  That old Wisconsin saying, they shot at me and missed.
[03:33:50.983 --> 03:33:58.805]  They SH-T'd me and hit.
[03:33:58.805 --> 03:34:00.725]  You know, I've got some really big news to cover.
[03:34:03.345 --> 03:34:07.168]  That I meant to cover yesterday, but it's so important.
[03:34:07.168 --> 03:34:09.730]  I just, man, I should make a big deal about this.
[03:34:09.730 --> 03:34:11.572]  I shouldn't just put this out.
[03:34:11.572 --> 03:34:12.092]  You know what I mean?
[03:34:12.092 --> 03:34:14.814]  Because if we just put this out, it has no effect.
[03:34:14.814 --> 03:34:19.538]  I'm going to play this next clip to start the next segment.
[03:34:19.538 --> 03:34:28.786]  The Dutch Prime Minister confronted by one of the members of Parliament about, hey, you heard of Klaus Schwab?
[03:34:29.981 --> 03:34:31.362]  Oh, no, I don't know who he is.
[03:34:31.362 --> 03:34:32.683]  Heard of his book, Great Reset?
[03:34:32.683 --> 03:34:34.563]  No, what's that?
[03:34:34.563 --> 03:34:37.845]  Oh, well, you wrote the foreword to it.
[03:34:37.845 --> 03:34:39.346]  Oh!
[03:34:39.346 --> 03:34:41.127]  You think 9-11 didn't happen?
[03:34:41.127 --> 03:34:54.714]  I mean, this is actual video of one of Klaus Schwab's agents who went to his Bilderberg graduation school telling someone, gaslighting him, I don't respect you.
[03:34:54.714 --> 03:34:56.515]  It doesn't exist.
[03:34:56.515 --> 03:34:58.136]  He's like, you wrote the foreword to his book.
[03:35:00.109 --> 03:35:09.775]  Everybody starts laughing in the room because they are all in on it, folks.
[03:35:09.775 --> 03:35:10.576]  Total dishonor.
[03:35:11.980 --> 03:35:17.161]  So listen, I've already, you know, the bigger the show, the shows have been giant.
[03:35:17.161 --> 03:35:21.642]  We have an extra couple million viewers a day, thanks to all you spreading the links and the interest in the show.
[03:35:21.642 --> 03:35:25.462]  I said like 3 million, because everybody exaggerates numbers, but we don't exaggerate.
[03:35:25.462 --> 03:35:32.904]  We got 3 million people on terrestrial radio a day tuning in on average, and we got over 2 million tuning in on our streams and things that banned our video.
[03:35:32.904 --> 03:35:36.204]  But it's been double that the last few weeks.
[03:35:36.204 --> 03:35:39.465]  I really respect the 7, 8, 9, 10 million people tuned in.
[03:35:39.465 --> 03:35:40.505]  I love every damn one of you.
[03:35:41.237 --> 03:35:43.939]  I mean, I mean that.
[03:35:43.939 --> 03:35:47.921]  I just want you to have a great life and a great future, and I'm fighting hard for you.
[03:35:47.921 --> 03:35:49.002]  But I'm going to be honest with you.
[03:35:49.002 --> 03:35:50.543]  I'm not doing it for you, man.
[03:35:50.543 --> 03:35:52.184]  I'm doing it because I hate these people.
[03:35:52.184 --> 03:35:56.446]  I mean, I just, I'm like a dog wants to, you wonder why a dog wants to chase a squirrel?
[03:35:56.446 --> 03:35:57.187]  He don't know why.
[03:35:57.187 --> 03:35:58.267]  I just want to do it.
[03:35:58.267 --> 03:36:00.809]  So don't, don't think I'm doing this because I'm some hero.
[03:36:00.809 --> 03:36:02.650]  These people are garbage.
[03:36:05.060 --> 03:36:10.563]  And all I got is, I want to stop them so damn bad, I'll do anything to do it.
[03:36:10.563 --> 03:36:13.825]  Anything that doesn't hurt innocent people.
[03:36:13.825 --> 03:36:16.926]  If it hurts me, I'll do it.
[03:36:16.926 --> 03:36:20.228]  And man, I've already seen our effect.
[03:36:20.228 --> 03:36:24.390]  It has been, together what we've done has changed the world.
[03:36:24.390 --> 03:36:25.571]  And it's been so incredible.
[03:36:28.274 --> 03:36:35.055]  I don't sit there and feel good when I watch the Justice Department file a case against Owen and lie about him.
[03:36:35.055 --> 03:36:41.397]  I don't feel good like, oh, I get to be the high and mighty person.
[03:36:41.397 --> 03:36:44.957]  I'm going to go on air and say how the FBI and the Justice Department are bad.
[03:36:44.957 --> 03:36:48.358]  That makes me feel better than them, that I'm bigger than them.
[03:36:48.358 --> 03:36:53.759]  No, it makes me go, how the hell do they find this many evil people?
[03:36:56.266 --> 03:37:03.673]  I mean, maybe we are an evil species.
[03:37:03.673 --> 03:37:07.136]  So I'll hit this big news, fight back against the Great Reset.
[03:37:07.136 --> 03:37:12.261]  Now our politicians are owned and bought by this criminal syndicate next segment.
[03:37:12.261 --> 03:37:13.582]  But look at this article.
[03:37:13.582 --> 03:37:16.385]  You just heard last week that I got $156 million in the bank.
[03:37:20.714 --> 03:37:21.876]  Wish I did.
[03:37:21.876 --> 03:37:23.398]  Ain't that much now.
[03:37:23.398 --> 03:37:27.585]  156 million dollars 20 years ago is about 5 million dollars.
[03:37:27.585 --> 03:37:29.388]  That's how devalued stuff is.
[03:37:29.388 --> 03:37:32.934]  But I don't have a million dollars, personally, in my bank account.
[03:37:38.308 --> 03:37:45.794]  We tried to file sanctions, because we have a protective order, to protect our banking info and all our information.
[03:37:45.794 --> 03:37:48.916]  And it's signed, it's in the court, and they don't care.
[03:37:48.916 --> 03:37:51.778]  They just leaked it all to the news.
[03:37:51.778 --> 03:37:52.899]  Twisted, by the way.
[03:37:52.899 --> 03:37:57.022]  So we go, we try to have a hearing, and the judge goes, I'm not going to hear that.
[03:37:57.022 --> 03:37:58.924]  I'm going to sanction you again.
[03:37:58.924 --> 03:38:07.290]  I'm a Democrat Party Yale person, and you're a bad American, so I'm going to do this to you.
[03:38:07.290 --> 03:38:07.731]  We're like, OK.
[03:38:11.078 --> 03:38:18.626]  And now it's not $156 million I'm worth.
[03:38:18.626 --> 03:38:23.011]  It's $6.2 million I'm worth.
[03:38:23.011 --> 03:38:26.494]  And they even count debt I owe to a bank as money.
[03:38:26.494 --> 03:38:32.661]  And then they say, it gets better, oh, oh, you have inventory.
[03:38:34.807 --> 03:38:35.767]  And that's what they've told us.
[03:38:35.767 --> 03:38:43.049]  They said, hey, you could pay $10 million to the Sandy Hook people for questioning media lies or media reports.
[03:38:43.049 --> 03:38:44.069]  And we're like, we don't have $10 million.
[03:38:44.069 --> 03:38:47.470]  They go, well, you got product?
[03:38:47.470 --> 03:38:48.510]  And see, that's how it works.
[03:38:48.510 --> 03:38:51.331]  I've got to buy product six months a year out now.
[03:38:51.331 --> 03:38:54.292]  Used to, it was three months out, to have product to sell.
[03:38:54.292 --> 03:38:59.053]  So I'm always at the point of like, we're always on the edge of being shut down.
[03:38:59.053 --> 03:39:02.854]  So I'm like, do I spend the money we've got to buy product and hope we'll be here?
[03:39:03.897 --> 03:39:04.637]  Or do I not?
[03:39:04.637 --> 03:39:10.680]  They're like, well, you've got millions of dollars of product there.
[03:39:10.680 --> 03:39:20.785]  You've got a warehouse with water filters, and storable food, and supplements, and t-shirts, and they're like, why don't you just give that to us?
[03:39:20.785 --> 03:39:26.468]  And we literally approach them and go, do you have any basic, like, five-year-old math skills?
[03:39:26.468 --> 03:39:27.708]  If we're making 30-40% on a product sale,
[03:39:30.370 --> 03:39:33.412]  And we've got these bills to pay, even if we wanted to pay you people.
[03:39:33.412 --> 03:39:36.655]  But notice, notice, you're not stupid, right, audience?
[03:39:36.655 --> 03:39:37.335]  You know this.
[03:39:37.335 --> 03:39:40.398]  You heard everywhere, we didn't give them anything.
[03:39:40.398 --> 03:39:42.319]  We never gave them a document.
[03:39:42.319 --> 03:39:45.221]  But they've got every banking document.
[03:39:45.221 --> 03:39:48.784]  They've got everything about us, because I knew they were doing this.
[03:39:48.784 --> 03:39:49.465]  I'm like, here it is.
[03:39:49.465 --> 03:39:51.166]  And then they go, you didn't give us anything.
[03:39:51.166 --> 03:39:52.467]  We got all your banking records.
[03:39:52.467 --> 03:39:53.808]  We got everything on you right now.
[03:39:53.808 --> 03:39:57.831]  We're going to destroy you.
[03:39:57.831 --> 03:40:00.053]  None of it even matches up with reality.
[03:40:02.355 --> 03:40:08.360]  And so, I bring in lawyers and I say, I want... People blame my lawyers.
[03:40:08.360 --> 03:40:09.661]  Most of the time it's not their fault.
