[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[03:10:35.013 --> 03:10:36.515]  And the sooner, the better.
[03:10:36.515 --> 03:10:36.876]  No, I agree.
[03:10:36.876 --> 03:10:44.507]  So in closing, what about the institutional attacks, though, on vitamin C, on D3, on zinc from the beginning?
[03:10:45.248 --> 03:10:47.569]  I mean, that just seems like they wanted to exacerbate this.
[03:10:47.569 --> 03:10:52.312]  But certainly in this country we've had no attack on vitamin C. No, no, not there.
[03:10:52.312 --> 03:10:56.655]  I'm saying here, they're SWAT teaming medical doctors that are giving it.
[03:10:56.655 --> 03:11:04.619]  I'm not a big, I'm not a big... Well, they shouldn't do that, because although... I'm kind of a doctor-phobe, but I read the statistics.
[03:11:04.619 --> 03:11:07.741]  It's true to say... I started getting vitamin C things every few months.
[03:11:07.741 --> 03:11:08.842]  I don't like them.
[03:11:08.842 --> 03:11:09.402]  They're amazing.
[03:11:10.322 --> 03:11:12.385]  Let's get this clear.
[03:11:12.385 --> 03:11:18.755]  We cannot say that if you take lots of vitamin C or vitamin D, this will cure you or prevent you ever getting sick.
[03:11:18.755 --> 03:11:20.839]  There is evidence that it helps.
[03:11:20.839 --> 03:11:25.346]  And if you're deficient in vitamin D3, then taking D3 helps a lot.
[03:11:26.226 --> 03:11:28.388]  Listen to me, I agree with you.
[03:11:28.388 --> 03:11:30.829]  What I'm saying is, all over Europe, the U.S.
[03:11:30.829 --> 03:11:34.551]  the last 10 years, there are two within a mile from my house.
[03:11:34.551 --> 03:11:41.795]  Medical doctors there, I go in, they put a needle in my arm, I get vitamin C, I get B12, and I get other things.
[03:11:41.795 --> 03:11:45.317]  It's the way I quit drinking, is they have this amino acid that makes you not want alcohol.
[03:11:45.317 --> 03:11:48.178]  They jammed that in my arm two years ago, I didn't want alcohol for six months.
[03:11:48.178 --> 03:11:49.119]  It made me stop drinking.
[03:11:49.639 --> 03:11:51.280]  This is a medical doctor doing it.
[03:11:51.280 --> 03:11:58.483]  They're now SWAT teaming these very facilities that have approved stuff that like changed my life.
[03:11:58.483 --> 03:12:00.864]  All I'm saying is I'm a free person.
[03:12:00.864 --> 03:12:02.304]  I'm not using heroin.
[03:12:02.304 --> 03:12:03.765]  I'm not out using marijuana.
[03:12:03.765 --> 03:12:06.946]  Shouldn't I go to a medical doctor and be able to get what I want?
[03:12:09.491 --> 03:12:26.563]  ...that these health authorities are becoming too bossy and they're taking and trying to take away from doctors the ancient right which has existed since Hippocrates and it's called the officinal formula by which any doctor can prescribe absolutely anything.
[03:12:27.003 --> 03:12:31.486]  They're taking the power of the priesthood directly from the doctors in the practice to these computerized systems.
[03:12:49.139 --> 03:12:53.082]  They're trying to, but they can't overcome the officinal formula.
[03:12:53.082 --> 03:13:04.012]  When I was doing research into virology at one point, a global warming campaigner tried to make a complaint that I was conducting unauthorized clinical trials.
[03:13:04.491 --> 03:13:09.832]  And I had to speak to the Medicines Control Agency, one of these great bureaucracies in Britain.
[03:13:09.832 --> 03:13:12.293]  And in the end, I had to order them to stand away.
[03:13:12.293 --> 03:13:27.436]  I said, look, we have to try out medications on small numbers of patients to find out whether we've got enough of an indication... Well, you know, Trump passed a law... ...to put in an application, let me finish the sentence, to put in an application for a clinical trial.
[03:13:28.016 --> 03:13:32.681]  And so I told them, get off my back or I'll go straight to the High Court and have you shut down.
[03:13:32.681 --> 03:13:35.544]  And they retreated in very, very rapid order.
[03:13:35.544 --> 03:13:36.465]  No, but I agree.
[03:13:36.465 --> 03:13:38.708]  Trump talks about right to try.
[03:13:39.838 --> 03:13:57.294]  If you're a doctor watching this and you're being bullied by the health authorities because you think you want to prescribe something for a patient which you, in your professional judgment, think is good for that patient, under the officinal formula which is worldwide, nobody has been able to legislate against it.
[03:13:57.294 --> 03:14:03.219]  You are entitled to prescribe that medication and they are not allowed to tell you.
[03:14:03.219 --> 03:14:04.220]  Let me stop you in closing.
[03:14:04.500 --> 03:14:07.543]  Because you get mad at me when I interrupt, but you're so smart and I totally agree with you.
[03:14:07.543 --> 03:14:14.309]  The basic ancient right of medicine, thousands of years old, says that you have these degrees, you've done it, you should be able to test it.
[03:14:14.309 --> 03:14:17.411]  If your peers find you wrong, you can get in trouble.
[03:14:17.411 --> 03:14:24.558]  So these bureaucracies coming in, the UN coming in, and saying what doctors can do is a giant rape of those rights.
[03:14:26.084 --> 03:14:28.166]  That's exactly it, but they're not succeeding.
[03:14:28.166 --> 03:14:39.716]  The officinal formula, this right of doctors to prescribe what they think will do their patient more good than harm, that right is an unchallengeable, inalienable, necessary right of the medical profession.
[03:14:39.716 --> 03:14:44.240]  I'm not a doctor, so I don't have that right, but every doctor does have that right.
[03:14:44.700 --> 03:14:48.942]  And he should not be bullied into failing to exercise that right.
[03:14:48.942 --> 03:14:55.684]  And if he remembers those magic words, officinal formula, he will find that the bureaucrats who've been trying to stop him will run a mile.
[03:14:55.684 --> 03:14:56.624]  So there's a tip.
[03:14:56.624 --> 03:15:00.566]  But just to wind up now on this wretched virus.
[03:15:00.566 --> 03:15:08.508]  Yes, the lockdowns can now be brought carefully and responsibly, but immediately to an end, particularly for those under 60.
[03:15:08.508 --> 03:15:09.869]  They can go straight back to work.
[03:15:10.269 --> 03:15:12.350]  And just take sensible precautions.
[03:15:12.350 --> 03:15:17.752]  People can be trusted to do sensible things if you don't treat them like children.
[03:15:17.752 --> 03:15:21.993]  Try to treat them like children and they will rebel and behave badly.
[03:15:21.993 --> 03:15:29.096]  So I say to the international authorities, start treating your populations like adults.
[03:15:29.096 --> 03:15:33.317]  We all understand that this virus is a lot more dangerous than flu.
[03:15:33.317 --> 03:15:34.998]  We didn't to start with, we do now.
[03:15:35.758 --> 03:15:43.925]  Knowing this, you can trust us to be sensible about what we do, and who we meet, and how we meet them, and how close we get to them.
[03:15:43.925 --> 03:15:45.526]  Leave it to- Mort Monson, we're out of time.
[03:15:45.526 --> 03:15:46.307]  Talk to you soon.
[03:15:46.307 --> 03:15:47.188]  We love you.
[03:15:47.188 --> 03:15:47.968]  Thank you so much.
[03:15:47.968 --> 03:15:48.369]  Stay with us.
[03:15:51.018 --> 03:15:52.239]  Hi, I'm Dan Pilla.
[03:15:52.239 --> 03:15:56.162]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:15:56.162 --> 03:15:57.703]  I sued the IRS and won.
[03:15:57.703 --> 03:16:00.666]  I beat the IRS then, and I've been beating them ever since.
[03:16:00.666 --> 03:16:06.230]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:16:06.230 --> 03:16:07.431]  I can help you, too.
[03:16:07.431 --> 03:16:10.374]  If you owe taxes you can't pay, don't wait another day.
[03:16:10.374 --> 03:16:12.596]  There's no such thing as a hopeless tax case.
[03:16:12.596 --> 03:16:17.019]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:16:17.019 --> 03:16:19.381]  That's danpilla.com, danpilla.com.
[03:16:21.479 --> 03:16:24.062]  This is a Corona crisis self-reliance alert.
[03:16:24.062 --> 03:16:32.592]  If you're worried about the power grid in the current crisis and want to generate your own supply of off-the-grid electrical power, just in case, pay close attention.
[03:16:32.592 --> 03:16:33.593]  Here's why.
[03:16:33.593 --> 03:16:38.099]  A limited supply of solar backup generators will be available again in the next two weeks.
[03:16:38.579 --> 03:16:44.487]  These emergency backup systems provide life-saving electrical backup power when you get off the grid.
[03:16:44.487 --> 03:16:53.759]  And unlike gas generators, these solar generators run quietly, emit no fumes, and produce an endless supply of free electricity from the sun.
[03:16:53.759 --> 03:16:55.562]  Dangerous weather, social unrest,
[03:16:55.882 --> 03:17:03.707]  Or overloaded grids this summer will not be a problem if you go to my solar backup dot com and get your solar backup generator.
[03:17:03.707 --> 03:17:08.971]  We regret that supplies are limited and only available on a first come first serve basis.
[03:17:08.971 --> 03:17:11.873]  Check availability at my solar backup dot com.
[03:17:11.873 --> 03:17:14.515]  Never suffer painful power outages again.
[03:17:14.515 --> 03:17:16.776]  Go to my solar backup dot com.
[03:17:16.776 --> 03:17:18.838]  That's my solar backup dot com.
[03:17:21.303 --> 03:17:25.964]  House flies defecate every four to five minutes, spreading diseases and germs.
[03:17:25.964 --> 03:17:29.744]  Protect your food and your health with Bug Assault.
[03:17:29.744 --> 03:17:35.125]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[03:17:35.125 --> 03:17:36.046]  Non-toxic.
[03:17:36.046 --> 03:17:37.666]  No batteries required.
[03:17:37.666 --> 03:17:38.026]  Only $39.95.
[03:17:38.026 --> 03:17:45.307]  Use discount code GCN and get an extra 10% off your purchase at BugAssault.com.
[03:17:45.307 --> 03:17:48.048]  Fire your fly swatter.
[03:17:48.048 --> 03:17:49.688]  Get your Bug Assault today.
[03:17:51.761 --> 03:17:57.207]  Ladies and gentlemen, Info Wars can now offer high-quality, storable food again.
[03:17:57.207 --> 03:18:02.752]  Other manufacturers were sold out eight weeks ago, and they told people they had food.
[03:18:02.752 --> 03:18:04.554]  Most folks never would deliver their food.
[03:18:04.554 --> 03:18:13.824]  Well, when our sponsors' food began to run short, they just suspended sales until they opened more factories and secured more food.
[03:18:14.224 --> 03:18:19.266]  So if you get your orders in right now, they can take new orders and get it to you quickly.
[03:18:19.266 --> 03:18:32.591]  They'll probably have to suspend orders very, very soon again because the lockdown on the economy is killing food distribution, farming, you name it, and now it's mainstream news that food shortages and delivery are already starting to happen.
[03:18:33.371 --> 03:18:40.079]  If Trump can turn the economy back on and wrest control of our system away from the globalists, things may be okay.
[03:18:40.079 --> 03:18:42.302]  But it looks like it's going to get very, very rough.
[03:18:42.302 --> 03:18:49.150]  So again, ladies and gentlemen, now is the time to secure the number one thing you need, high-quality, storable food, ready to get to you and your family now.
[03:18:49.150 --> 03:18:50.832]  If you get your orders in at 4store.com.
[03:18:52.731 --> 03:18:57.054]  Getting your protein has never been easier with InfoWars Life Protein Bars.
[03:18:57.054 --> 03:19:04.280]  Available in delicious chocolate peanut butter and vanilla coconut flavors, these protein bars are the perfect answer for a snack on the go.
[03:19:04.280 --> 03:19:10.845]  InfoWars Life Protein Bars are nutrient-packed, portable protein bars for an easy-to-eat and great-tasting meal.
[03:19:10.845 --> 03:19:13.247]  Pre- or post-workout fuel alternative.
[03:19:13.647 --> 03:19:24.013]  At just 240 calories per bar and 15 grams of protein each, these bars will be your favorite at-hand snack for at home, in the car, at work, or on the go.
[03:19:24.013 --> 03:19:25.594]  For getting nutrients easily.
[03:19:25.594 --> 03:19:33.599]  High in fiber and nutrients with wholesome ingredients for high-level performance with great taste, such as whey protein and chocolate compounds.
[03:19:33.599 --> 03:19:37.621]  These protein bars can help you with the boost you need to reach your goals.
[03:19:37.961 --> 03:19:46.666]  Protein-packed and full of fiber and healthy ingredients, InfoWars Life Protein Bars are a can't-miss snack for any InfoWarrior serious about their energy.
[03:19:46.666 --> 03:19:54.310]  Try both flavors today at InfoWarsStore.com.
[03:19:54.310 --> 03:19:56.972]  You're listening to The Alex Jones Show.
[03:20:07.136 --> 03:20:11.961]  Gerald Salente is about to take over.
[03:20:11.961 --> 03:20:13.742]  I'm Alex Jones, your host.
[03:20:13.742 --> 03:20:15.564]  Owen Schroer is coming up, 3 p.m.
[03:20:15.564 --> 03:20:16.805]  Central.
[03:20:16.805 --> 03:20:20.889]  And I'm not a dramatic person, but if you could see the attack this place is under.
[03:20:20.889 --> 03:20:23.072]  Well, you see the attack the President's under.
[03:20:23.072 --> 03:20:25.113]  You see the attack we're under.
[03:20:25.113 --> 03:20:29.017]  I just want to tell you, we're faithful and we'll hold the line until the end.
[03:20:29.017 --> 03:20:30.158]  Until we win or until we break.
[03:20:31.972 --> 03:20:33.353]  I'm not back down yet, folks.
[03:20:33.353 --> 03:20:34.474]  I can't.
[03:20:34.474 --> 03:20:35.996]  I've never felt stronger in this fight.
[03:20:35.996 --> 03:20:40.400]  But I realized, I just did an hour and a half of radio and never plugged one thing.
[03:20:40.400 --> 03:20:41.842]  I'm my biggest enemy.
[03:20:41.842 --> 03:20:45.025]  If I plug every segment, we have plenty of money to fund this whole place.
[03:20:45.025 --> 03:20:47.107]  I end up going hours not plugging.
[03:20:47.107 --> 03:20:48.889]  So, we've got products you need.
[03:20:49.938 --> 03:20:51.760]  Infowarsstore.com.
[03:20:51.760 --> 03:20:54.984]  X2 Deep Earth High Quality Ionine Crystals.
[03:20:54.984 --> 03:20:56.465]  Essential building block of the body.
[03:20:56.465 --> 03:20:59.789]  Nobody else that I know of has true Deep Earth Crystals of this purity.
[03:20:59.789 --> 03:21:02.812]  You have to get a DEA license for us to even be able to get this.
[03:21:02.812 --> 03:21:06.376]  This is 50% off, back in, sold out for almost two months.
[03:21:07.566 --> 03:21:11.148]  We've also got the new essential oils in three different flavors.
[03:21:11.148 --> 03:21:14.751]  Peppermint, eucalyptus, and of course, lavender.
[03:21:14.751 --> 03:21:16.172]  That's back.
[03:21:16.172 --> 03:21:18.113]  It's a hand sanitizer with the essential oil.
[03:21:18.113 --> 03:21:19.674]  That funds our operation.
[03:21:19.674 --> 03:21:22.075]  And the storable food, just something good to have 25 years.
[03:21:22.075 --> 03:21:22.576]  It's in there.
[03:21:22.576 --> 03:21:23.996]  You mix it with what you got.
[03:21:23.996 --> 03:21:26.258]  It's a good default to make.
[03:21:26.258 --> 03:21:28.339]  You know, you see the stuff going on with General Flynn.
[03:21:28.339 --> 03:21:30.220]  He was an advisor to the president.
[03:21:30.220 --> 03:21:33.522]  So the FBI came and lied on 302s about what he said.
[03:21:33.522 --> 03:21:34.143]  It's all come out.
[03:21:35.922 --> 03:21:40.048]  I can tell you that soon you'll learn about it.
[03:21:40.048 --> 03:21:42.412]  They're like, hey, you turn against Trump, we're not going to arrest you.
[03:21:42.412 --> 03:21:43.514]  Well, go to hell, man.
[03:21:43.514 --> 03:21:44.455]  I'm not doing this.
[03:21:44.455 --> 03:21:45.957]  I'm a good person.
[03:21:45.957 --> 03:21:48.902]  I'm proud of actually who I've been in my life.
[03:21:48.902 --> 03:21:50.244]  So whatever you're going to do, go ahead and do it.
[03:21:51.440 --> 03:21:56.465]  It actually doesn't make me feel good that I can call him, talk to the President or talk to his advisors, and then he responds.
[03:21:56.465 --> 03:21:57.046]  It scares me.
[03:21:57.046 --> 03:21:59.428]  He's totally surrounded, folks.
[03:21:59.428 --> 03:22:02.631]  And this country's totally surrounded.
[03:22:02.631 --> 03:22:05.674]  And I just believe in your strength.
[03:22:05.674 --> 03:22:10.499]  I believe in your strength to say no to this, your strength to say no to the globalists and the shycoms.
[03:22:11.585 --> 03:22:16.568]  And your strength to spread the word about Gerald Celente about to come up and tell everybody you know on Facebook and Twitter and Google.
[03:22:16.568 --> 03:22:23.071]  But everybody, from General Flynn to Roger Stone, that has advised the President, is indicted.
[03:22:23.071 --> 03:22:24.551]  It's not like I'm even that smart.
[03:22:24.551 --> 03:22:25.732]  I'm like, oh, Mr. President.
[03:22:26.872 --> 03:22:34.578]  Here's the video from Senior Sinai you mentioned, where he's putting light in the lungs, kills COVID-19.
[03:22:34.578 --> 03:22:37.761]  And man, the phone rings, like, we're gonna indict you.
[03:22:37.761 --> 03:22:39.142]  Here's the subpoenas.
[03:22:39.142 --> 03:22:41.083]  We're gonna indict you.
[03:22:41.083 --> 03:22:42.264]  Stop, what do you want?
[03:22:42.264 --> 03:22:43.746]  Stop talking to the president.
[03:22:43.746 --> 03:22:46.788]  I'm like, wait a minute, me talking to, no one else will do it?
[03:22:46.788 --> 03:22:48.469]  This doesn't seem like a power trip.
[03:22:48.469 --> 03:22:52.633]  Like, we're this weak that no one will even talk to the president?
[03:22:52.633 --> 03:22:55.015]  He's so, how do we get him into office?
[03:22:56.854 --> 03:23:00.196]  We the people elected him, and they're trying to repudiate all of us.
[03:23:00.196 --> 03:23:09.243]  So if you're all salient, they should take over right now, but I was talking to one of the top White House advisors this morning, and they said, send me a link.
[03:23:09.243 --> 03:23:13.226]  You're really saying the Nobel Prize winner for HIV says it was man-made?
[03:23:13.226 --> 03:23:15.468]  And I said it to them, they go, oh, we'll get that right to the President.
[03:23:16.900 --> 03:23:21.661]  That's how paralyzed Trump is, and that's why he needs we, the people, to get the word out to him.
[03:23:21.661 --> 03:23:23.502]  So, history's happening right now.
[03:23:23.502 --> 03:23:25.082]  It's Harold Cilente.
[03:23:25.082 --> 03:23:25.642]  Thanks, Albert.
[03:23:25.642 --> 03:23:26.523]  Thank you so much, Gerald.
[03:23:26.523 --> 03:23:27.703]  We love you.
[03:23:27.703 --> 03:23:31.304]  No, thanks for having me on, Alex, and thanks for all that you do.
[03:23:31.304 --> 03:23:36.265]  And, you know, here's my take on the whole COVID thing with China.
[03:23:36.265 --> 03:23:38.586]  Look at one of our top trends for 2020.
[03:23:38.586 --> 03:23:40.847]  Remember, these came out in December.
[03:23:40.847 --> 03:23:43.587]  That's when we put out our top trends for the new year.
[03:23:43.587 --> 03:23:45.688]  And one of them was the New World Disorder.
[03:23:46.786 --> 03:23:50.027]  There were protests going on around the world.
[03:23:50.027 --> 03:24:00.591]  Hong Kong, France, Lebanon, Algeria, Chile, Bolivia, Peru, India, all over the world.
[03:24:00.591 --> 03:24:02.272]  They couldn't stop it.
[03:24:02.272 --> 03:24:05.213]  The big one was China.
[03:24:05.213 --> 03:24:09.975]  With their inability to stop the protests going on in Hong Kong.
[03:24:09.975 --> 03:24:12.616]  These things have been going on for months.
[03:24:12.616 --> 03:24:13.776]  They couldn't put them down.
[03:24:14.727 --> 03:24:20.750]  And I was on a number of Hong Kong TV shows throughout the period.
[03:24:20.750 --> 03:24:25.812]  And I'm talking to these producers and other people off the air.
[03:24:25.812 --> 03:24:29.093]  They couldn't stop it from happening.
[03:24:29.093 --> 03:24:34.935]  And everything they did to try to stop it wasn't working.
[03:24:34.935 --> 03:24:37.476]  All of a sudden, COVID-19.
[03:24:37.476 --> 03:24:37.737]  COVID-19.
[03:24:42.062 --> 03:25:03.228]  And then you go back to January 28th, our Trends Journal, which of course now is a weekly, and the headline read, Coronavirus, 106 dead in China, 1.4 billion still alive.
[03:25:03.228 --> 03:25:04.908]  So this is coming out and I'm saying,
[03:25:05.629 --> 03:25:17.674]  Why are they telling me 106 people died in China of a virus, when you've got about 1.5 million a year that are dying of air pollution?
[03:25:17.674 --> 03:25:20.095]  They're walking around with their masks all the time.
[03:25:20.095 --> 03:25:23.896]  This place is filthy.
[03:25:23.896 --> 03:25:29.858]  And then, all of a sudden, the lockdowns happen.
[03:25:29.858 --> 03:25:31.819]  Again, let's pretend
[03:25:33.186 --> 03:25:42.131]  That China, or believe, whatever you want to do, because the motto of the Trends Journal, think for yourself, that they're cooking the books.
[03:25:42.131 --> 03:25:43.751]  And a lot more people died.
[03:25:43.751 --> 03:25:49.954]  Let's say a million people died of COVID in China.
[03:25:49.954 --> 03:26:01.940]  Man-made, made by bats, whatever happened, never let a critical issue go to waste.
[03:26:01.940 --> 03:26:02.781]  All of a sudden,
[03:26:04.940 --> 03:26:09.421]  The Chinese shut down the Hong Kong protests.
[03:26:09.421 --> 03:26:15.962]  Remember, Hong Kong is the banking capital of Asia.
[03:26:15.962 --> 03:26:19.763]  This thing was going down along with the Chinese equity markets.
[03:26:19.763 --> 03:26:22.344]  They couldn't stop it.
[03:26:22.344 --> 03:26:26.504]  But they stopped it with the COVID hysteria.
[03:26:26.504 --> 03:26:31.205]  And then the Western media picked up on it.
[03:26:31.205 --> 03:26:33.486]  As we're on the air right now,
[03:26:34.813 --> 03:26:42.576]  What is it, over 200,000 people have died around the world since this pandemonium panic broke out?
[03:26:42.576 --> 03:26:48.378]  Out of a global population of 7.7 billion?
[03:26:48.378 --> 03:26:53.520]  And again, 1.5 million died in China last year?
[03:26:53.520 --> 03:26:53.620]  Yes!
[03:26:53.620 --> 03:26:56.241]  That's not one drop of blood out of a human body.
[03:26:56.241 --> 03:26:57.061]  Sorry to interrupt.
[03:26:57.061 --> 03:26:59.862]  It's a total hysteria.
[03:26:59.862 --> 03:27:00.982]  Exactly.
[03:27:00.982 --> 03:27:02.663]  So here's what I'm saying, Alex.
[03:27:03.456 --> 03:27:09.901]  The Chinese invented it to do it, to stop the Hong Kong riots.
[03:27:09.901 --> 03:27:12.203]  They could not put them down.
[03:27:12.203 --> 03:27:15.526]  And every government now is latched onto it.
[03:27:15.526 --> 03:27:17.027]  Hey, look at India.
[03:27:17.027 --> 03:27:20.269]  What do they have, 1.3 billion people?
[03:27:20.269 --> 03:27:22.471]  How many deaths are there?
[03:27:22.471 --> 03:27:24.113]  Under a thousand?
[03:27:24.113 --> 03:27:26.735]  And look how filthy that joint is to live in.
[03:27:26.735 --> 03:27:30.758]  From your mouth to God's ears, so it's a giant hysterical hoax confirmed.
[03:27:31.758 --> 03:27:39.823]  Yup, and the Chinese did it to stop the protests that were going on in China that they were unable to do.
[03:27:39.823 --> 03:27:42.905]  No matter what they did, they couldn't put them down.
[03:27:42.905 --> 03:27:44.125]  This stopped them.
[03:27:44.125 --> 03:27:47.488]  And the dictators all around the world did the same thing.
[03:27:47.488 --> 03:27:51.230]  Chile, Bolivia, India, France.
[03:27:51.230 --> 03:27:58.014]  They all shut down the protests and the Chinese did it because that was the only way to stop it.
[03:27:58.573 --> 03:28:09.206]  And the prostitute media picked up on it, and the rest of the low-life politicians, politics, many tics, in this country and others took advantage of it.
[03:28:11.820 --> 03:28:14.081]  Daryl Cilente, you're on fire, and that's it.
[03:28:14.081 --> 03:28:15.461]  The statistics show it.
[03:28:15.461 --> 03:28:22.983]  But despite the fact that hoax has now been proven to be a fraud, we're being told to back it or we don't care, because every death is our fault.
[03:28:22.983 --> 03:28:25.984]  That's how they pose as the saviors of this whole thing.
[03:28:25.984 --> 03:28:26.724]  Daryl Cilente, thanks.
[03:28:26.724 --> 03:28:27.484]  Every death.
[03:28:27.484 --> 03:28:30.045]  The people that are dying, again, the facts are all there.
[03:28:30.405 --> 03:28:39.778]  They're elderly, they're chronically ill, they're obese, they're suffering from diabetes, lung disease, respiratory... No, no, you're totally right.
[03:28:39.778 --> 03:28:41.760]  So counter it when we come back.
[03:28:41.760 --> 03:28:45.004]  Gerald Cilente, the top trends forecaster, straight ahead.
[03:28:45.004 --> 03:28:47.267]  Knocked back and down in the face of globalist garbage.
[03:28:50.834 --> 03:28:52.675]  Hand sanitizer is not an option.
[03:28:52.675 --> 03:28:53.896]  It's now a must have.
[03:28:53.896 --> 03:28:55.157]  But where can you find it?
[03:28:55.157 --> 03:28:57.178]  Online at 2020 safe dot net.
[03:28:57.178 --> 03:29:02.081]  The highest quality hand sanitizer that destroys microorganisms and prevents transmission of pathogens.
[03:29:02.081 --> 03:29:06.144]  Now available in a one liter bottle with a bonus at 2020 safe dot net.
[03:29:06.144 --> 03:29:11.407]  When you order a one liter bottle of our high quality hand sanitizer, you'll receive a 30 cup bottle of immune booster.
[03:29:11.407 --> 03:29:15.210]  A 1495 value free by using code GCN at checkout.
[03:29:15.990 --> 03:29:20.952]  20 20 safe dot net offers many natural products to help support health and help you live a more fulfilled life.
[03:29:20.952 --> 03:29:27.514]  From germ zapping hand sanitizer to immune building nutraceuticals to natural stress, anxiety and sleep aids.
[03:29:27.514 --> 03:29:30.535]  20 20 safe dot net has what you need in stock today.
[03:29:30.535 --> 03:29:32.875]  Just click 20 20 safe dot net.
[03:29:32.875 --> 03:29:39.897]  That's 2 0 2 0 s a f e dot net to get our one liter bottle of high quality hand sanitizer with your bonus free 30
[03:29:41.758 --> 03:29:45.512]  Remember to enter GCN at checkout and the bonus is yours free.
[03:29:45.512 --> 03:29:46.636]  Go now to 2020 safe dot net
[03:29:51.741 --> 03:29:53.923]  The official numbers are now in.
[03:29:53.923 --> 03:29:58.666]  The United States is in the biggest financial collapse in our history.
[03:29:58.666 --> 03:30:00.868]  This is the worst employment collapse in U.S.
[03:30:00.868 --> 03:30:05.811]  history by a very wide margin, writes Michael Snyder of the Economic Collapse Blog.
[03:30:05.811 --> 03:30:11.595]  At this point, we should no longer speak of economic collapse as something that will happen in the future.
[03:30:11.595 --> 03:30:12.996]  It is now here.
[03:30:12.996 --> 03:30:17.820]  And he does an excellent job in the article on Infowars.com of laying it out.
[03:30:18.140 --> 03:30:19.822]  This was done by design.
[03:30:19.822 --> 03:30:32.615]  Trump fought to open the economy, but the hijacked blue cities and states with the Chi-Coms and with Hollywood and the media held America underwater until we sucked it into our lungs.
[03:30:32.615 --> 03:30:36.138]  And now we're lying there like a fish dying.
[03:30:36.138 --> 03:30:38.000]  There's not much time to get the water out of our lungs.
[03:30:38.320 --> 03:30:46.403]  So remember, for decades to come, when millions starve to death worldwide and you live in slums with no medicine, The Globalist did this!
[03:30:46.403 --> 03:30:48.084]  The Globalist did this!
[03:30:48.084 --> 03:30:49.604]  The Globalist did this!
[03:30:49.604 --> 03:30:51.805]  The Globalist did this!
[03:30:51.805 --> 03:30:59.308]  One of our best-selling products is Living Defense, and it's been sold out for over four months because it's hard to source the ingredients that are organic.
[03:30:59.308 --> 03:31:05.490]  We've got a limited supply right now, but it's selling out fast, and I want those of you that haven't experienced Living Defense to get it for yourself.
[03:31:05.490 --> 03:31:06.931]  Here's just part of one testimonial.
[03:31:07.171 --> 03:31:09.815]  Look, in January 2016, I went in a hospital.
[03:31:09.815 --> 03:31:13.339]  I went in a VA hospital out here in Boise, and I was in there until June.
[03:31:13.339 --> 03:31:22.611]  And one of the only things that got me through that ordeal was listening to Infowars three hours a day, and I kept hearing Dr. Group and all you guys talking about living defense.
[03:31:22.611 --> 03:31:23.612]  Let me tell you something, man.
[03:31:23.712 --> 03:31:28.555]  I had an internal digestive problem and I suffered with it for about five or six years.
[03:31:28.555 --> 03:31:30.456]  And the doctors, they tried every test.
[03:31:30.456 --> 03:31:31.937]  Nobody could figure out what it is.
[03:31:31.937 --> 03:31:35.939]  And then every day when I kept hearing you and Dr. Group and those commercials, I said, you know what?
[03:31:35.939 --> 03:31:38.120]  I'm going to get me some of that freaking Living Defense.
[03:31:38.120 --> 03:31:41.142]  Now, I wasn't supposed to have any nutritionals because they don't want you to have it.
[03:31:41.142 --> 03:31:43.003]  But I ordered it, had it shipped to me.
[03:31:43.003 --> 03:31:43.543]  I got it.
[03:31:43.543 --> 03:31:44.784]  I hid it from the nurses.
[03:31:44.784 --> 03:31:45.825]  I started taking it.
[03:31:45.825 --> 03:31:47.866]  Man, that stuff changed my life.
[03:31:47.866 --> 03:31:48.806]  It saved my life.
[03:31:48.806 --> 03:31:51.528]  Alex Jones and InfoWars saved my life.
[03:31:52.281 --> 03:31:55.304]  It doesn't matter how hard I want to fight.
[03:31:55.304 --> 03:32:03.190]  If other human beings don't resonate with what I'm saying, if you don't spread the word, if you don't buy the products to fund our operation, the dog doesn't hunt.
[03:32:03.190 --> 03:32:04.111]  But you get that.
[03:32:04.111 --> 03:32:05.152]  You are patriots.
[03:32:05.152 --> 03:32:10.436]  You are people that live and work in the real world of a race, color, and creed that understand what's happening.
[03:32:10.436 --> 03:32:14.059]  And that's why when you call in and thank me for what I've done, it's really a sick joke.
[03:32:14.059 --> 03:32:14.560]  Thank you.
[03:32:15.220 --> 03:32:15.920]  For what you've done.
[03:32:15.920 --> 03:32:16.961]  We're all of this together.
[03:32:16.961 --> 03:32:18.722]  We believe in the rights of the unborn.
[03:32:18.722 --> 03:32:19.762]  We believe in families.
[03:32:19.762 --> 03:32:21.203]  We believe in the right to self-defense.
[03:32:21.203 --> 03:32:25.125]  We believe in capitalism in America and Jesus Christ, number one.
[03:32:25.125 --> 03:32:26.966]  And we believe in free speech.
[03:32:26.966 --> 03:32:33.269]  And so the fact that you shop with us, and the fact that you spread the word about what we're doing, does everything in the world.
[03:32:33.929 --> 03:32:40.372]  That's why I salute you and I thank you continually because the globalists thought they'd have this whole planet sewed up by now.
