[00:00:00.250 --> 00:00:00.350]  What?
[01:22:27.535 --> 01:22:27.796]  I think?
[01:22:44.599 --> 01:22:44.759]  Yeah.
[01:23:00.964 --> 01:23:02.326]  They want accountability.
[01:23:02.326 --> 01:23:04.808]  They want to run away from accountability.
[01:23:04.808 --> 01:23:10.956]  That's why every time you come to a crunch where you're going to have to decide whether you're really going to cut government back, what does Congress do?
[01:23:10.956 --> 01:23:12.497]  Kick the ball down the road.
[01:23:12.497 --> 01:23:16.042]  Two months, six months, seven months, but never actually doing anything.
[01:23:16.682 --> 01:23:17.884]  Other than postponing today.
[01:23:17.884 --> 01:23:20.226]  It's like a little kid procrastinating.
[01:23:20.226 --> 01:23:23.610]  And that's the one element I believe the founding fathers were just stunned.
[01:23:23.610 --> 01:23:26.172]  They didn't think a branch would surrender power.
[01:23:26.172 --> 01:23:30.297]  But I think the reason why they misconceived how this has evolved here in 2011.
[01:23:31.738 --> 01:23:38.903]  Is that the political parties have replaced the Constitution as the source of the allegiance of these members of Congress.
[01:23:38.903 --> 01:23:44.767]  They believe they're Democrats and Republicans, Dallas Cowboys, Washington Redskins, or New Orleans Saints.
[01:23:44.767 --> 01:23:45.888]  But they're not American.
[01:23:45.888 --> 01:23:47.449]  No, it's just their side.
[01:23:47.449 --> 01:23:49.790]  And they play like this is really just a game.
[01:23:49.790 --> 01:23:52.792]  It's not for the people of the United States.
[01:23:52.792 --> 01:23:57.556]  And that's why, hey, as long as their guy's in power, hey, give them all the power that you want.
[01:23:57.556 --> 01:24:00.938]  Because that'll help you in the next election cycle.
[01:24:01.038 --> 01:24:02.900]  And it happens on both sides.
[01:24:02.900 --> 01:24:05.221]  And we've got to get rid of that idea.
[01:24:05.221 --> 01:24:07.724]  There's only one oath that members of Congress take.
[01:24:07.724 --> 01:24:10.125]  That's to the Constitution of the United States.
[01:24:10.125 --> 01:24:13.628]  They do not take an oath to the Republicans or Democrats or the President.
[01:24:13.628 --> 01:24:14.969]  The Constitution alone.
[01:24:14.969 --> 01:24:15.950]  Let me go back to this question.
[01:24:15.950 --> 01:24:17.732]  I want to get into Ron Paul briefly before you've got to go.
[01:24:17.732 --> 01:24:18.813]  I know you're very busy, sir.
[01:24:18.813 --> 01:24:24.617]  You're heading up a lot of the campaign policies and things and supporting Congressman Paul.
[01:24:24.617 --> 01:24:28.360]  But Bruce, looking at this, and I mean really,
[01:24:29.621 --> 01:24:32.922]  Working in government, being around these people for decades, studying it.
[01:24:32.922 --> 01:24:35.123]  Why are they moving so quickly?
[01:24:35.123 --> 01:24:36.963]  I mean, even I am shocked by the speed of it.
[01:24:36.963 --> 01:24:38.564]  And I've been seeing this develop for a while.
[01:24:38.564 --> 01:24:40.224]  People said, oh, you're being extreme.
[01:24:40.224 --> 01:24:42.785]  But now it's moving faster than I even thought.
[01:24:42.785 --> 01:24:46.586]  And instead of getting chills once a week of concern, I'm getting them every 30 seconds.
[01:24:46.586 --> 01:24:50.287]  I mean, I can feel the tyranny rising, not just see it.
[01:24:50.287 --> 01:24:52.868]  Intellectually, it's right there, but also in my gut.
[01:24:52.868 --> 01:24:56.409]  Why is the system moving at light speed towards
[01:24:57.589 --> 01:25:09.418]  Total despotism, classical, naked, on fire, North Korean style, you know, Kim Jong-il is God, Obama is God, anybody who doesn't like it's an enemy.
[01:25:09.418 --> 01:25:11.459]  What is driving this?
[01:25:11.459 --> 01:25:20.786]  Well, it's a unique and curious feature of empire that as actual danger diminishes, the sense of crisis climbs.
[01:25:20.786 --> 01:25:26.910]  And there becomes this idea that, oh, we're super powerful, we're big government, there should be no risk at all.
[01:25:27.170 --> 01:25:33.876]  We need to control everything that moves, even though the genuine danger is close to zero.
[01:25:33.876 --> 01:25:36.058]  And that's just in the human species.
[01:25:36.058 --> 01:25:44.705]  When you give someone uncontrolled, unlimited power, they want to destroy any element of risk or contingency whatsoever.
[01:25:44.705 --> 01:25:47.067]  And they do that by exerting authority.
[01:25:47.067 --> 01:25:49.970]  Police, military, courts, money.
[01:25:50.350 --> 01:25:51.090]  Or otherwise.
[01:25:51.090 --> 01:25:53.771]  Taxation, regulation, or something like that.
[01:25:53.771 --> 01:25:57.413]  And that is what you would call the pathology of empire.
[01:25:57.413 --> 01:25:58.353]  This is crazy.
[01:25:58.353 --> 01:26:00.514]  Take a look, Alex, at this NDAA.
[01:26:00.514 --> 01:26:01.754]  When does it pass?
[01:26:01.754 --> 01:26:03.955]  Ten years after 9-11.
[01:26:03.955 --> 01:26:05.356]  9-11, we had some fog.
[01:26:05.356 --> 01:26:07.657]  We didn't know whether Al Qaeda penetrated the country.
[01:26:07.657 --> 01:26:09.817]  Now, we know how insignificant they are.
[01:26:09.817 --> 01:26:11.418]  They're international criminal thugs.
[01:26:11.598 --> 01:26:15.759]  But there are 50 of them in Afghanistan, and there are no cells in the United States.
[01:26:15.759 --> 01:26:20.541]  So why are we creating this draconian authority 10 years after we know it's irrelevant?
[01:26:20.541 --> 01:26:22.622]  And also think of this, Alex.
[01:26:22.622 --> 01:26:26.683]  There were no congressional hearings on the NDA, not one.
[01:26:26.683 --> 01:26:31.845]  It emerged out of the Senate Armed Services Committee, Lindsey Graham, John McCain.
[01:26:31.845 --> 01:26:34.206]  It didn't go to judiciary, it didn't go to intelligence.
[01:26:34.206 --> 01:26:39.868]  There was not a single congressional finding that any of these authorities were necessary to make us safe.
[01:26:39.868 --> 01:26:40.728]  It just appeared.
[01:26:41.388 --> 01:26:56.492]  So you'd have to ask, this is really... Well, that's like the Super Congress, where this committee of 12, when the president is the 13th, you know, I guess Merovingian leader or whatever, they just come up with a policy that you can up or down vote it, and then it kicks back if you don't.
[01:26:56.492 --> 01:27:01.814]  But what do you make then of all these moves towards Iran?
[01:27:01.814 --> 01:27:10.376]  I mean, is that just another desperate way to try to make themselves be the heroes of the people, claiming they're knocking out some new threat?
[01:27:11.010 --> 01:27:12.451]  Well, absolutely.
[01:27:12.451 --> 01:27:13.832]  The drumbeats are already there.
[01:27:13.832 --> 01:27:24.798]  The Secretary of Defense Panetta had said just a couple days ago on CBS News, oh, less than a year, Iran will certainly have a nuclear weapon, and that is simply not acceptable.
[01:27:24.798 --> 01:27:29.260]  So he's trying to already create the justification for going to war.
[01:27:30.501 --> 01:27:33.762]  Well, you know, Mr. Panetta, I was alive at the Cuban Missile Crisis.
[01:27:33.762 --> 01:27:38.724]  We have a retaliatory capacity that could incinerate Iran and then the Soviet Union.
[01:27:38.724 --> 01:27:40.044]  Doesn't deterrence work?
[01:27:40.044 --> 01:27:41.324]  It worked against the Soviets.
[01:27:41.324 --> 01:27:43.465]  It had a huge number of missiles.
[01:27:43.465 --> 01:27:48.107]  And when you talk about, well, Iran is the only people in the history of the world, deterrence doesn't work.
[01:27:48.107 --> 01:27:50.447]  They all crave self-destruction.
[01:27:50.447 --> 01:27:51.788]  I said, well, is that true?
[01:27:51.788 --> 01:27:55.889]  This Islamic regime is zany and Iraq as it is.
[01:27:56.109 --> 01:28:00.072]  They didn't release our hostages after a long, prolonged negotiations.
[01:28:00.072 --> 01:28:01.152]  They didn't go to war.
[01:28:01.152 --> 01:28:03.754]  The end of the war was Saddam Hussein over Iraq.
[01:28:03.754 --> 01:28:07.457]  They negotiated reparations when we shot down a plane by USS Vincennes.
[01:28:07.457 --> 01:28:17.263]  And they've now accepted Israel, the U.S., and England launching covert strikes, including, now it's coming out, aircraft covert bombings, missile bases, you name it.
[01:28:17.263 --> 01:28:18.284]  They've even put up with that.
[01:28:18.284 --> 01:28:22.547]  And it's clear the West's strategy is to poke them until they do something.
[01:28:22.927 --> 01:28:25.748]  Yeah, including assassinating their scientists.
[01:28:25.748 --> 01:28:34.389]  So they're like, listen, North Korea engages in rational behavior as well, even though it's got crazy leaders there.
[01:28:34.389 --> 01:28:35.550]  So deterrence works.
[01:28:35.550 --> 01:28:37.170]  So why are we going in there?
[01:28:37.170 --> 01:28:39.370]  And it's not to encourage proliferation.
[01:28:39.370 --> 01:28:41.931]  No, I'm not happy Pakistan has a nuclear weapon.
[01:28:41.931 --> 01:28:44.792]  I'm not happy North Korea has a nuclear weapon.
[01:28:44.792 --> 01:28:46.652]  I'm not happy they're nuclear weapons at all.
[01:28:46.992 --> 01:28:53.544]  But we have to deal with reality out there, and deterrence is the way you prevent this from being used in a reckless way.
[01:28:53.544 --> 01:28:56.789]  There's only one country in the world that's ever actually used nuclear weapons.
[01:28:56.789 --> 01:28:58.612]  It's called the United States of America.
[01:29:01.886 --> 01:29:05.910]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:29:05.910 --> 01:29:09.153]  This is our last chance to not relive history.
[01:29:09.153 --> 01:29:13.937]  As we're finishing off this agenda, that we're pulling the rug from underneath Americans at home.
[01:29:13.937 --> 01:29:20.343]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:29:20.343 --> 01:29:22.586]  I think it's incumbent upon all of us
[01:29:23.106 --> 01:29:23.426]  Tim Geithner?
[01:29:23.426 --> 01:29:23.927]  Bernanke?
[01:29:23.927 --> 01:29:24.607]  They're arsonists!
[01:29:24.607 --> 01:29:25.888]  They're asking for more matches!
[01:29:25.888 --> 01:29:28.129]  And the Congress is saying, who do we make the check out to?
[01:29:42.017 --> 01:29:49.304]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the republic.
[01:29:49.304 --> 01:29:58.412]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[01:30:00.529 --> 01:30:02.130]  Hi, this is Alex Jones.
[01:30:02.130 --> 01:30:08.436]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:30:08.436 --> 01:30:12.459]  So now is the time to express the holiday spirit more than ever.
[01:30:12.459 --> 01:30:15.622]  Consider helping those you love with the most important gift.
[01:30:16.042 --> 01:30:22.048]  A supply of delicious, easy-to-fix, and very storable foods from eFoodsDirect.com.
[01:30:22.048 --> 01:30:31.578]  Their holiday gift and family pack start at $99 for a 16-day supply, while their five-week supply of quick and easy-to-fix meals includes a personal
[01:30:31.598 --> 01:30:33.419]  You can bet your life on eFoods Direct.
[01:31:01.451 --> 01:31:03.153]  Hi folks, this is Alex Jones.
[01:31:03.153 --> 01:31:08.458]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:31:08.458 --> 01:31:10.000]  Saving means to make money.
[01:31:10.000 --> 01:31:18.788]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:31:19.509 --> 01:31:27.054]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:31:27.054 --> 01:31:35.059]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:31:35.059 --> 01:31:40.282]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[01:31:40.282 --> 01:31:42.463]  Getting a free catalog is easy by calling 800-340-7091.
[01:31:45.225 --> 01:31:48.450]  Or see Calvin on the web at FiveStarSoap.com.
[01:31:48.450 --> 01:31:50.713]  Take charge of your health now by calling 800-340-7091.
[01:31:50.713 --> 01:31:52.936]  Or see Calvin on the web at FiveStarSoap.com.
[01:32:00.199 --> 01:32:01.500]  Hi, this is Alex Jones.
[01:32:01.500 --> 01:32:07.083]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:32:07.083 --> 01:32:12.105]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[01:32:12.105 --> 01:32:17.148]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:32:17.668 --> 01:32:22.914]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:32:22.914 --> 01:32:30.022]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:32:30.022 --> 01:32:31.144]  And here's the best part.
[01:32:31.144 --> 01:32:37.511]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[01:32:37.811 --> 01:32:41.012]  So visit them today at survivalseedbank.com.
[01:32:41.012 --> 01:32:43.213]  That's survivalseedbank.com.
[01:32:43.213 --> 01:32:44.114]  Or give them a call at 877-327-0365.
[01:32:44.114 --> 01:32:44.354]  That's 877-327-0365.
[01:32:44.354 --> 01:32:47.815]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:32:47.815 --> 01:32:49.536]  This is Alex Jones for survivalseedbank.com.
[01:33:01.451 --> 01:33:05.053]  Coast to coast, direct from Austin.
[01:33:05.053 --> 01:33:08.255]  You're listening to the Alex Jones Broadcasting Network.
[01:33:20.646 --> 01:33:30.709]  And we are joined by Republican frontrunner, presidential candidate Ron Paul.
[01:33:30.709 --> 01:33:34.890]  Even mainstream media admits he's in second, third, and in some cases, first place.
[01:33:34.890 --> 01:33:39.271]  And of course, in national polls, he's the only person who can beat President Obama.
[01:33:39.271 --> 01:33:41.312]  And he joins us today.
[01:33:41.312 --> 01:33:42.592]  Congressman, thank you for coming on.
[01:33:43.120 --> 01:33:43.701]  Thank you, Alex.
[01:33:43.701 --> 01:33:44.802]  Good to be with you again.
[01:33:44.802 --> 01:33:45.703]  It's good to have you with us.
[01:33:45.703 --> 01:33:47.486]  There is so much happening.
[01:33:47.486 --> 01:33:52.552]  I've got a lot of questions, but what is most important, Congressman, right now on your radar?
[01:33:54.116 --> 01:33:56.877]  Well, it's continuing to do what I've been doing.
[01:33:56.877 --> 01:33:58.578]  You know, a lot of people say, well, what's your strategy?
[01:33:58.578 --> 01:34:00.198]  What are you going to do differently?
[01:34:00.198 --> 01:34:07.180]  And you know me well enough that probably the last 30 years, especially the last 10 years since we've known each other, I do the same thing over and over again.
[01:34:07.180 --> 01:34:11.462]  But I try to improve not only the delivery, but the message always stays the same.
[01:34:11.462 --> 01:34:13.623]  But we get better organized.
[01:34:13.623 --> 01:34:15.503]  So we'll continue to do that.
[01:34:15.503 --> 01:34:17.724]  I mean, the big thing now is these next three weeks.
[01:34:19.417 --> 01:34:23.999]  We put into Iowa and New Hampshire because, you know, it offers an opportunity.
[01:34:23.999 --> 01:34:28.080]  It's a small state and you can meet a lot of people and you can do direct mail.
[01:34:28.080 --> 01:34:30.161]  So we've done our very, very best.
[01:34:30.161 --> 01:34:38.044]  We think we're in a good position, but we're going to work right up until, you know, the caucuses occur on the 3rd and then, of course, the primary in New Hampshire on the 10th.
[01:34:38.044 --> 01:34:45.607]  But it's unbelievable how much volunteer work we're getting and there's so much work going on outside of the campaign.
[01:34:46.127 --> 01:34:54.691]  Fantastic, so I believe that could be our secret weapon that nobody measures the amount of activity going on outside the campaign.
[01:34:54.691 --> 01:34:58.372]  But we're going to continue to do exactly what we're doing with a lot more energy.
[01:34:58.372 --> 01:35:08.456]  They continue to try to sell this mind game or this self-fulfilling prophecy that even though he wins all these strong polls and even though he's always a top tier candidate, you still can't have him.
[01:35:08.456 --> 01:35:12.518]  But I think that hoax is really beginning to backfire on them.
[01:35:13.218 --> 01:35:17.145]  Yeah, I don't know how long they can get away with it.
[01:35:17.145 --> 01:35:20.972]  If Luke wins Iowa, he's the shoe-in for the whole nomination.
[01:35:20.972 --> 01:35:25.540]  If I win, it's a total fluke, and I'm just a troublemaker and a spoiler.
[01:35:31.874 --> 01:35:46.877]  I think we're doing a very good job on this and no matter how they spin it, there's a limit to how much they can spin it.
[01:35:46.877 --> 01:35:58.660]  Even when they give me 90 seconds, actually we've been able to turn that around and turn it into a positive when you see guys like Jon Stewart and others just mocking the unfairness of the system.
[01:36:00.000 --> 01:36:01.882]  We have to keep plugging along, that's all.
[01:36:01.882 --> 01:36:03.743]  They've tried to ignore you, now that's failing.
[01:36:03.743 --> 01:36:05.224]  The attacks are beginning.
[01:36:05.224 --> 01:36:12.510]  Do you think that it's going to do the same thing again and boomerang back on them because the mainstream media and political system is so discredited?
[01:36:12.510 --> 01:36:13.631]  Yeah, I think so.
[01:36:13.631 --> 01:36:26.681]  In a way, even though the kingmakers and the mainstream media and the establishment people are gunning, the other candidates, have you noticed that they're a little less aggressive?
[01:36:26.721 --> 01:36:34.787]  So they're more aggressive against each other than they are against me because I think they know the significance of the number of people and they're not going out of their way to offend.
[01:36:34.787 --> 01:36:37.449]  They say, oh, there's just a couple percent.
[01:36:37.449 --> 01:36:38.950]  There's 7 or 8 percent.
[01:36:38.950 --> 01:36:42.373]  But they're being a lot more cautious because they know our percentages are much higher.
[01:36:47.577 --> 01:37:09.296]  If you were to go after Obama more, pretty much run against Obama, transcend the other Republican minions and point out, as you have, that they're basically just rhino Republican versions of that, and point out that you've pointed out the real problems and are the only candidate that has any shot at trying to turn the ship around.
[01:37:09.876 --> 01:37:26.012]  Well actually I think that is good strategy because I wish we had more polling, honest polling with my name against Obama because you know we appealed to a lot of independents and even some of the more sensible and honest liberals, you know the progressives that are anti-war.
[01:37:26.012 --> 01:37:32.819]  So I think what you're suggesting is very good and I would have to admit I don't do enough of that and it's a mixed bag.
[01:37:32.819 --> 01:37:34.220]  Politically I think that is very very
[01:37:34.360 --> 01:37:38.042]  Very good, and he deserves it, and that's who ultimately you have to run against.
[01:37:38.042 --> 01:37:39.963]  But in the primary, I'm not running against him.
[01:37:39.963 --> 01:37:49.289]  And I also like to be as upfront as possible, you know, when it comes to analyzing our tragedies and the foreign policy and monetary policy and the economic foolhardiness of it.
[01:37:49.289 --> 01:37:55.732]  And you know, they've been going on for a long time, and it's both parties, but I should at least be more bipartisan and condemn...
[01:37:56.833 --> 01:38:02.435]  Obama, just as much as I criticize some of the things Republicans have done over the years as well.
[01:38:02.435 --> 01:38:05.976]  Look at Mitt Romney, his voting record, Obamacare.
[01:38:05.976 --> 01:38:07.996]  He is a Republican Obama.
[01:38:07.996 --> 01:38:09.657]  Vote in another Obama.
[01:38:09.657 --> 01:38:10.717]  Or look at Newt Gingrich.
[01:38:10.717 --> 01:38:13.978]  He's for carbon taxes, Obamacare-style stuff.
[01:38:13.978 --> 01:38:15.719]  He is another Obama.
[01:38:15.719 --> 01:38:20.660]  And so basically, A, it's a vote for Obama because either one of those guys is going to beat Obama.
[01:38:20.660 --> 01:38:25.542]  But B, it's a vote for Obama because they're just clones of him, just with a little bit different rhetoric.
[01:38:26.502 --> 01:38:28.686]  That that is the secret weapon, Congressman.
[01:38:40.536 --> 01:38:49.521]  I mean, how can they lead our party if they're defending themselves for not being, you know, for having been like Obama all along?
[01:38:49.521 --> 01:39:00.546]  So that is the big issue, and I think probably, you know, Gingrich has been pretty aggressive in that light, so maybe that's one of the reasons he got bumped up a bit.
[01:39:00.546 --> 01:39:02.227]  So that's not bad advice at all.
[01:39:02.647 --> 01:39:04.629]  RonPaul2012.com.
[01:39:04.629 --> 01:39:06.230]  It is absolutely essential.
[01:39:06.230 --> 01:39:09.452]  Obviously, everybody go out and get ready to try to be delegates.
[01:39:09.452 --> 01:39:10.753]  Everybody hit the ground in Iowa.
[01:39:10.753 --> 01:39:14.535]  I know I have family who's actually gone to Iowa.
[01:39:14.535 --> 01:39:17.257]  So there is a massive grassroots operation.
[01:39:17.257 --> 01:39:20.599]  All the different ways people can get involved are at RonPaul2012.com.
[01:39:20.599 --> 01:39:28.765]  I want to go back to the campaign here in a moment, sir, but they've obviously tried to keep you with 89 Seconds and the CBS debate and other places from actually
[01:39:29.065 --> 01:39:32.687]  Talking about the real issues and instead they'll ask you, what do you think of Newt?
[01:39:32.687 --> 01:39:34.147]  What do you think of Mitt?
[01:39:34.147 --> 01:39:41.290]  So they can basically still give you time and not get caught censoring you, but they still censor you in another way.
[01:39:41.290 --> 01:39:42.291]  What do you have to say about that?
[01:39:43.559 --> 01:39:46.642]  Well I mean that's been ongoing and I've lived with that for a long time.
[01:39:46.642 --> 01:39:50.705]  I have to be on guard for it and try to distract them from it.
[01:39:50.705 --> 01:39:59.493]  But that's ultimately their goal is to make a subtle if not blunt assumption that well you can't win and therefore
[01:39:59.973 --> 01:40:07.184]  Uh, we shouldn't pay a whole lot of attention to you, but, uh, the only way we can ultimately overcome that is success in Iowa.
[01:40:07.184 --> 01:40:14.755]  You know, as a beginning point, you know, if we, if we do really well there, uh, they're gonna have a lot harder time doing that to us.
[01:40:15.035 --> 01:40:21.540]  I saw the Republicans here in Austin are going to protest Eric Holder, the Attorney General, today because he wants the UN to oversee our elections.
[01:40:21.540 --> 01:40:24.723]  And I agree, that's certainly out of control and treasonous.
[01:40:24.723 --> 01:40:34.410]  But this is the guy caught perjuring himself in the memos CBS released last week show that they said they were going to blame the guns in Mexico on the Second Amendment.
[01:40:34.410 --> 01:40:38.853]  Is that not a form of false flag against our most basic of rights, sir?
[01:40:38.853 --> 01:40:43.457]  And what would you do, President, to people like Eric Holder?
[01:40:43.837 --> 01:40:49.698]  Well, he should be immediately fired, and then there should be an investigation and find out if charges should be made.
[01:40:49.698 --> 01:40:52.359]  And that's obviously over the top.
[01:40:52.359 --> 01:40:58.200]  And all these kind of sting operations and false flag, this is criminal.
[01:40:58.200 --> 01:40:59.641]  And I think they do it constantly.
[01:40:59.641 --> 01:41:07.923]  I think they were doing that when there was this so-called attempt to kill the Iranian ambassador.
[01:41:07.923 --> 01:41:09.423]  You know, that kind of stuff.
[01:41:10.063 --> 01:41:14.188]  I don't know where the charges will be made, but he deserves to have charges up against him.
[01:41:27.498 --> 01:41:27.938]  Well said.
[01:41:27.938 --> 01:41:29.099]  You got it right the first time.
[01:41:29.099 --> 01:41:37.305]  The claim of the used car salesman wanting to kill the Saudi ambassador and even mainstream media had to admit that was totally phony and a pretext to attack Iran.
[01:41:58.659 --> 01:41:59.700]  As far as I'm concerned.
[01:42:09.999 --> 01:42:16.245]  Unfortunately, that's been happening for a long time and Congress is just totally negligent on this.
[01:42:16.245 --> 01:42:26.554]  You know, the other night when they were talking about this in the debates, you know, on what the President's responsibility is when they, you know, shoot down or are able to get one of our drones.
[01:42:26.554 --> 01:42:31.879]  And the argument was, should we go in and get it or should we just go in and destroy it?
[01:42:32.459 --> 01:42:34.160]  And I tried to get attention on that.
[01:42:34.160 --> 01:42:43.784]  My suggestion would be, why don't we avoid it by not sending drones over a sovereign nation just looking for a problem to start another war?
[01:42:43.784 --> 01:42:53.448]  I mean, they never talked about, you know, the lack of wisdom of having been over there and losing a drone over a foreign nation, which we consider an enemy.
[01:42:53.448 --> 01:42:57.530]  I just think that it's a reflection of a policy that has to be changed.
[01:43:01.616 --> 01:43:17.082]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[01:43:17.082 --> 01:43:20.763]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[01:43:21.795 --> 01:43:34.547]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[01:43:34.547 --> 01:43:41.814]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[01:43:42.495 --> 01:43:52.887]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[01:43:52.887 --> 01:43:56.811]  As well, we are always ready to answer any questions you may have.
[01:43:56.811 --> 01:43:59.934]  That's www.SilverLungs.com
[01:44:00.555 --> 01:44:02.157]  Hi, this is Alex Jones.
[01:44:02.157 --> 01:44:08.463]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:44:08.463 --> 01:44:12.488]  So now is the time to express the holiday spirit more than ever.
[01:44:12.488 --> 01:44:17.773]  Consider helping those you love with the most important gift, a supply of delicious, easy
[01:44:17.853 --> 01:44:18.514]  I think so.
[01:44:32.810 --> 01:44:40.634]  In case of a grab-and-go emergency, order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[01:44:40.634 --> 01:44:50.498]  Call eFoods today at 800-409-5633 or visit them online at efoodsdirect.com forward slash Alex to find the special.
[01:44:50.498 --> 01:44:56.821]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:44:56.821 --> 01:44:59.182]  You can bet your life on eFoods Direct.
[01:45:00.854 --> 01:45:07.499]  When you're out on the road, the last place you want to be is on the road.
[01:45:07.499 --> 01:45:12.643]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:45:12.643 --> 01:45:21.369]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[01:45:21.369 --> 01:45:25.432]  They sew pride in every stitch.
[01:45:25.432 --> 01:45:27.394]  Guarantee you love the way they fit.
[01:45:29.744 --> 01:45:34.468]  They put a Diamond Gusset in the crotch, where you need it most.
[01:45:34.468 --> 01:45:39.512]  Blue Diamond Gussets got it, others don't.
[01:45:39.512 --> 01:45:41.674]  We turn jeans inside out.
[01:45:41.674 --> 01:45:43.455]  Diamond Gusset Jeans.
[01:45:43.455 --> 01:45:46.337]  Made in the USA with unparalleled quality.
[01:45:46.337 --> 01:45:52.963]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[01:45:52.963 --> 01:45:55.685]  Order yours at gusset.com.
[01:45:55.685 --> 01:45:58.907]  Diamond Gusset Jeans got it, others don't.
[01:46:00.433 --> 01:46:04.314]  You may be arrested and or subject to other police action.
[01:46:04.314 --> 01:46:05.574]  Tyranny is here.
[01:46:05.574 --> 01:46:09.095]  The grim future foretold in 1984 has become reality.
[01:46:09.095 --> 01:46:11.736]  It really says that the state is God.
[01:46:11.736 --> 01:46:17.597]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:46:17.597 --> 01:46:23.819]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[01:46:24.259 --> 01:46:30.244]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:46:30.244 --> 01:46:34.427]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:46:34.427 --> 01:46:38.711]  Prepare to enter the secretive world of emergency dictatorship.
[01:46:38.711 --> 01:46:44.656]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[01:46:44.656 --> 01:46:48.219]  It's only the beginning of the New World Order's hellish plan.
[01:46:48.219 --> 01:46:50.200]  The police state isn't coming.
[01:46:50.200 --> 01:46:50.641]  It's here.
[01:46:51.281 --> 01:46:57.789]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:47:13.348 --> 01:47:16.211]  We are under chemical and biological attack.
[01:47:16.211 --> 01:47:25.520]  A scientific dictatorship sought to not only overthrow nation-states, but to destroy the family and the human species itself.
[01:47:25.520 --> 01:47:27.902]  All of us are under attack.
[01:47:27.902 --> 01:47:33.027]  The global technocrats launch their assaults through covert means.
[01:47:33.027 --> 01:47:37.131]  Through our water and food supplies, as well as household items.
[01:47:37.791 --> 01:47:41.872]  Food packaging, prescription and over-the-counter drugs.
[01:47:41.872 --> 01:47:48.933]  All of these systems used to deliver their covert Trojan horse payloads of control.
[01:47:48.933 --> 01:47:56.515]  If we are unsuccessful in stopping these technocratic madmen, humanity as we know it is a thing of the past.
[01:47:56.515 --> 01:48:01.456]  The report that you are about to see documents this horrific fact in detail.
[01:48:01.456 --> 01:48:04.817]  What you do with the information is up to you.
[01:48:04.817 --> 01:48:05.817]  You have been warned.
[01:48:07.270 --> 01:48:18.627]  The information that you are about to see and hear is some of the most important info that you will ever witness in your life.
[01:48:18.627 --> 01:48:20.810]  I can say that unequivocally.
[01:48:22.085 --> 01:48:40.248]  And I am begging you, for the sake of you and your family, and for our human family, to please take notes, to check the different documents and news articles that we're gonna show you here today, and prove to yourself that we're telling you the truth.
[01:48:40.248 --> 01:48:44.149]  In fact, we're only scratching the surface.
