[00:00.000 --> 00:29.000]  It's Super Bowl 51, we're going to be telling you who the winner is before we get to it.
[1:28:12.240 --> 1:28:19.200]  Joe rogan podcast has been delisted from youtube even though it has millions of views and itunes was trying to delisted as well
[1:28:19.200 --> 1:28:24.240]  Because we talked about podesta and we talked about wiener and the child porn charges
[1:28:26.800 --> 1:28:28.800]  What do you make of this censorship
[1:28:29.280 --> 1:28:33.520]  It is unbelievable. I'm just reading this here. It's extraordinary
[1:28:34.080 --> 1:28:39.760]  Uh, that the ongoing effort to silence us just doesn't stop and when I read that david brough
[1:28:40.640 --> 1:28:47.840]  Is in conversations with the government as to which websites to block as fake news
[1:28:47.840 --> 1:28:52.720]  Uh, I I shake my head. I'm asking how is david brough when trump's in now?
[1:28:53.360 --> 1:28:57.200]  Still deciding that you can't see info wars or you can't see your book
[1:28:57.280 --> 1:29:00.320]  I mean again because trump's surrounded by a bunch of scum
[1:29:00.880 --> 1:29:06.480]  Let's just say it washington's a swamp. He can't even get personnel that aren't backstabbing pieces of crap
[1:29:07.920 --> 1:29:11.920]  vitamin mineral fusion visit info wars life.com to secure your chemister
[1:29:11.920 --> 1:29:19.360]  We have worked for years with our chemists and scientists to create the most powerful and affordable great tasting multivitamin formula available
[1:29:19.520 --> 1:29:28.720]  vitamin mineral fusion drink mix at info wars life.com is loaded with a full month supply of essential vitamins minerals and amino acids that your body
[1:29:28.880 --> 1:29:35.520]  Absolutely needs in the history of info wars life. We've brought out a lot of amazing products like survival shield x2
[1:29:35.520 --> 1:29:43.520]  Super mail vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects
[1:29:43.760 --> 1:29:50.080]  This formula is the platinum standard of multivitamin mineral products and this part is most important
[1:29:50.240 --> 1:29:56.800]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard
[1:29:57.040 --> 1:30:00.400]  That means it's clean. That means it's pure and rest secured
[1:30:00.400 --> 1:30:07.120]  You're finding the tip of the spear in the info war. That's info wars life.com and vitamin mineral fusion take action now before we sell out
[1:30:09.040 --> 1:30:12.720]  Electrify your day with secret 12. It's like lightning in a bottle
[1:30:12.880 --> 1:30:15.840]  We all have days in which we just can't seem to perform at the level
[1:30:15.840 --> 1:30:23.680]  We'd like to info wars life secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of
[1:30:23.680 --> 1:30:29.600]  vitamin b12 proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels
[1:30:29.600 --> 1:30:33.040]  The reality is it's hard to take in the proper amount of vitamins
[1:30:33.040 --> 1:30:38.160]  We need each day with our modern diets secret 12 by info wars life is an easy way
[1:30:38.320 --> 1:30:43.120]  To naturally upgrade your vitamin b12 intake and support your body's natural systems
[1:30:43.280 --> 1:30:47.760]  It pairs two forms of vitamin b12 into one explosive formula
[1:30:48.000 --> 1:30:53.760]  vitamin b12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes
[1:30:53.760 --> 1:31:00.400]  But it also assists with many other functions of the body electrify your mind and body and take your help to the next level
[1:31:00.640 --> 1:31:06.480]  Experience the power of secret 12 at info wars life.com. That's info wars life.com
[1:31:08.560 --> 1:31:14.080]  National defense labs and citizen armor has given info wars the exclusive
[1:31:14.320 --> 1:31:22.000]  On distributing to the american people the true next generation in body armor basically what we're bringing to the info wars team
[1:31:22.000 --> 1:31:26.880]  Is a new line of dynamic lightweight body armor?
[1:31:27.040 --> 1:31:33.040]  It is lighter more flexible easier to wear more comfortable and stronger than anything else on the market
[1:31:33.040 --> 1:31:38.000]  You said when you talk to people that have been using this actually testing for years and people that currently are testing for us
[1:31:38.080 --> 1:31:40.240]  They didn't just say outstanding what they really say about them
[1:31:40.240 --> 1:31:46.640]  They want to know how do they get it? Where do they find it? A lot of my law enforcement official buddies want to know the same thing
[1:31:46.800 --> 1:31:50.560]  The backpack body armor is only 200 dollars
[1:31:50.560 --> 1:31:54.480]  I mean, it's unbelievable. It's a quarter inch thick. It's got a 20 year warranty is waterproof
[1:31:54.480 --> 1:32:00.560]  You can wear it. It's comfortable and we shot everything you can imagine of it again funding info war get the game changing
[1:32:00.800 --> 1:32:08.080]  Nanotech tubes. It's a win-win 200 dollars. Go check out all their different products at info wars.com. It's amazing
[1:32:08.560 --> 1:32:12.400]  It's not just our water. We need to filter. It's not just our food that needs to be cleaned
[1:32:12.480 --> 1:32:19.280]  It's the air we're breathing especially for our children the artificial particulates the chemicals is absolutely
[1:32:19.280 --> 1:32:25.600]  Weighing down our immune systems the same team based right here in America that brought you the alexa pure
[1:32:26.160 --> 1:32:32.000]  groundbreaking water filtration systems have now developed alexa pure breeze whether it's your home or office
[1:32:32.000 --> 1:32:37.920]  Yo, it's yourself your co-workers your family your children to the best job you can to purify your air
[1:32:38.160 --> 1:32:43.920]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid
[1:32:44.160 --> 1:32:47.280]  Most toxic effects for themselves the general public doesn't
[1:32:47.280 --> 1:32:54.880]  The alexa pure breeze will be a steel at 300 400 500 dollars. One of these systems can keep 800 square feet
[1:32:55.200 --> 1:33:02.320]  Incredibly clean. This is a system. I'm personally putting in throughout my house replacing older more expensive filters that didn't do as good a job
[1:33:02.640 --> 1:33:06.880]  Find out why this system is so revolutionary today and in full war store.com
[1:33:06.880 --> 1:33:14.960]  You're listening to the alex jones show
[1:33:23.200 --> 1:33:26.480]  Big brother mainstream media big brother
[1:33:27.840 --> 1:33:31.840]  Mainstream media want answers government cover-ups
[1:33:33.200 --> 1:33:35.200]  You want answers?
[1:33:35.200 --> 1:33:41.040]  Well, so does he yeah live from austin, texas broadcasting worldwide
[1:33:41.840 --> 1:33:43.840]  It's alex jones
[1:33:44.400 --> 1:33:46.400]  I know i'm not manly
[1:33:46.560 --> 1:33:48.560]  I got a bunch of cattle, but no hat
[1:33:50.320 --> 1:33:54.400]  And i'm not watching the super bowl right now kickoff happening with george
[1:33:55.360 --> 1:33:59.360]  Hw bushy with a coin toss that happening right now. We probably should put that on screen actually
[1:33:59.360 --> 1:34:06.800]  Because it's just a bunch of globalists that are hated trying to go to a popular event and force themselves on us. I'm boycotting it
[1:34:08.480 --> 1:34:12.960]  You see my country and my world's under attack by globalist. Oh, yeah, it's happening right now
[1:34:12.960 --> 1:34:17.280]  I've got to fight the new world order here. Let's hear this right now. Let's cover this propaganda. Here we go
[1:34:18.160 --> 1:34:20.160]  No audio here. We go
[1:34:20.560 --> 1:34:26.080]  Oh, he was able to flip it. Let's see who gets it. It's the coin toss right now roger stones with us
[1:34:26.080 --> 1:34:29.760]  The coverage of the live super bowl that I forgot to tell you guys. I wanted to call the live feed today
[1:34:30.160 --> 1:34:32.160]  coverage of super bowl 51
[1:34:32.160 --> 1:34:33.840]  Because we're doing it
[1:34:33.840 --> 1:34:35.840]  Here you go ladies and gentlemen
[1:34:36.400 --> 1:34:38.400]  We have audio. Let's turn it up
[1:34:38.640 --> 1:34:42.160]  So who got it good luck gentlemen, even pay attention to this stupid crap
[1:34:43.920 --> 1:34:47.280]  Oh, thank you serve your world government these these people that everybody hates
[1:34:49.200 --> 1:34:54.400]  The 41st president of the United States battling trump hw bush battling america selling us out in china
[1:34:54.400 --> 1:34:58.720]  The navy pilot shot the super satanic egomaniacs killing bones satanic rituals
[1:35:00.400 --> 1:35:06.160]  Recovering super bowl propaganda not wanting to even take the transmission. Do we even pay attention to who got the coin toss right there?
[1:35:08.000 --> 1:35:09.840]  I'm glad we don't even know
[1:35:09.840 --> 1:35:15.840]  It's the possums versus the dirtbags. Seriously though. We're not just saying we got censored. It was in the news
[1:35:15.840 --> 1:35:23.600]  That cnn msnbc were banned by david brock at media matters the main soros operative
[1:35:24.640 --> 1:35:26.640]  Two weeks before trump got into office
[1:35:26.880 --> 1:35:33.120]  His president-elect obama passes a law signs it to put the cia over media to quote ban fake news
[1:35:33.440 --> 1:35:35.600]  Drugs report and info wars and breitbart
[1:35:36.720 --> 1:35:37.600]  now
[1:35:37.600 --> 1:35:43.520]  Trump's so busy trying to turn the economy on he doesn't even know that they've got advising congress right now brock
[1:35:43.520 --> 1:35:50.000]  On what websites to ban and shut down when he wants his chief presidential advisors site shut down
[1:35:50.320 --> 1:35:52.320]  Even if it was fake news, which it's not
[1:35:53.680 --> 1:35:55.120]  You have a right to shut it down
[1:35:55.120 --> 1:35:58.960]  We're not north korea and now this book which we're selling
[1:35:59.280 --> 1:36:03.360]  Everybody should get it. We need funds to fund ourselves. It could be a piece of toilet paper
[1:36:03.360 --> 1:36:08.720]  You should buy it for 1995 hell for 30 bucks. It's a big old thick juicy color photos
[1:36:08.720 --> 1:36:14.240]  Uh making of a president 2016 how all the stones got trumps here. It's all in here
[1:36:14.960 --> 1:36:19.280]  And they're trying to censor it because it went to number one on amazon political
[1:36:19.440 --> 1:36:24.080]  And it usually goes to number one after that. They don't want this to be made into a movie. They want to block us
[1:36:24.160 --> 1:36:26.160]  They want to ignore the fact
[1:36:27.440 --> 1:36:34.080]  And again, we the joe rogan podcast hitting that was should by trends hit number one on the front page of youtube
[1:36:34.080 --> 1:36:40.480]  In the trending section everybody goes to they just blocked it and then for a day they blocked it on ito
[1:36:40.480 --> 1:36:45.120]  I talked to joe yesterday. He says it's already the biggest thing they ever had. He sees the internal numbers
[1:36:45.440 --> 1:36:47.440]  They're even blocking that from the public
[1:36:48.320 --> 1:36:49.920]  so again
[1:36:49.920 --> 1:36:54.800]  Everything we do is number one number one number one number one number one
[1:36:55.200 --> 1:37:01.120]  You're told what america wants is what's a number one. No, they give you the false number one
[1:37:01.600 --> 1:37:03.040]  everyone
[1:37:03.040 --> 1:37:05.760]  Has got to go and get the making of the president 2016
[1:37:06.240 --> 1:37:09.920]  You know, it's nutraceuticals and t-shirts and stuff that fund us and other sponsors
[1:37:10.240 --> 1:37:14.880]  I mean if I sell 50 000 copies of this book the percentage I make it's not going to fund a lot
[1:37:14.960 --> 1:37:18.400]  It'll help the operation. That's not what matters. This is a great historical book
[1:37:18.880 --> 1:37:22.080]  And they're trying to censor it info war store.com
[1:37:22.720 --> 1:37:28.320]  You get the book and then buy 10 of them give them to friends and family get aggressive in the info war
[1:37:28.800 --> 1:37:30.320]  Going back to my friend roger stone
[1:37:30.320 --> 1:37:33.920]  I wasn't going to go off on a jag about this, but we're truly being censored
[1:37:34.320 --> 1:37:38.880]  Used to if something got censored it made it cause celeb and I guess we kind of are but man
[1:37:39.280 --> 1:37:41.600]  We're really getting censored and you hit my hot button
[1:37:42.560 --> 1:37:46.000]  Because we were in in the segment when you pointed out. Yeah, brock is still in there
[1:37:47.760 --> 1:37:51.520]  I guess going to decide, you know, who trump has in the press core go ahead
[1:37:52.800 --> 1:37:58.160]  Well, Alex, um, it is absolutely true that both the new york times and the washington post
[1:37:58.160 --> 1:38:02.240]  And of course requested copies of my new book in advance
[1:38:02.720 --> 1:38:06.000]  And of course we supplied them as is the normal case
[1:38:06.720 --> 1:38:09.280]  They have today written nothing
[1:38:10.000 --> 1:38:12.560]  They intend to write nothing
[1:38:13.200 --> 1:38:17.040]  Uh, I'm happy to say the book has gotten very widespread publicity on
[1:38:17.440 --> 1:38:21.760]  bright part news and in other leading alternative outlets, which I think
[1:38:22.640 --> 1:38:26.960]  That plus info wars has helped, uh, you know, uh
[1:38:26.960 --> 1:38:31.920]  Uh, generate the rise of the book in terms of the international rating
[1:38:32.400 --> 1:38:36.720]  We are this close to making the new york times bestseller list
[1:38:37.440 --> 1:38:42.080]  Uh, it is entirely conceivable. We'll know within about the next couple days. So
[1:38:42.880 --> 1:38:46.720]  Buy your book at info wars or any place else where the book is sold
[1:38:47.280 --> 1:38:50.080]  To help us as a political statement as a political statement
[1:38:50.080 --> 1:38:55.040]  But regardless doesn't the new york times make itself obsolete because they've been caught saying before
[1:38:55.040 --> 1:38:58.480]  We're not going to report on conservative books that make the best list
[1:38:59.600 --> 1:39:05.520]  Yeah, I mean their bias is uh, is uh, manifest, uh, and I think it is obvious, but
[1:39:06.160 --> 1:39:09.360]  This book I think has a broader appeal than just
[1:39:10.000 --> 1:39:14.560]  liberty-minded conservatives and trump supporters because I explain from a
[1:39:15.680 --> 1:39:20.560]  Mechanical and analytical point of view how trump managed to pull this off
[1:39:20.560 --> 1:39:25.520]  And how in all honesty hillary and bill clinton were asleep at the switch
[1:39:25.600 --> 1:39:31.360]  That's right. This book this book shows how the establishment was delusional is delusional and isn't about the past
[1:39:31.840 --> 1:39:36.960]  It's about the future. I I finally read the whole I read a third of when I first got it for our left town last week
[1:39:36.960 --> 1:39:42.560]  I went to LA to be on Joe Rubin show read part of it on the plane there and then back amazing job and again
[1:39:43.600 --> 1:39:48.960]  Will your book save the world? No, but all of our actions together will and the system is truly
[1:39:48.960 --> 1:39:51.680]  Panicked right now and I want our listeners understand something
[1:39:52.160 --> 1:39:56.800]  Today I went out and shot videos down at the UT sports stadium about the Super Bowl with that as a backdrop
[1:39:57.040 --> 1:40:00.800]  I could hardly shoot the live feed because half the cars
[1:40:01.440 --> 1:40:03.040]  You can hear it on tape
[1:40:03.040 --> 1:40:08.480]  That drove by we're saying yay, Alex. We love you Alex Alex black people white people hispanics
[1:40:08.960 --> 1:40:12.880]  Hispanic guy with a white girl, uh, you know a black guy with a little boy
[1:40:13.440 --> 1:40:16.800]  Chinese lady or whatever humans of all types we're all the same people
[1:40:16.800 --> 1:40:18.800]  And it's getting to where
[1:40:20.320 --> 1:40:24.960]  That's actually yesterday, but it's getting to where I can't even do these reports because
[1:40:25.600 --> 1:40:27.360]  somebody folks come over
[1:40:27.360 --> 1:40:28.880]  if the listeners
[1:40:28.880 --> 1:40:36.000]  Simply reach out next level and keep telling neighbors friends family folks about info wars.com and the forbidden information
[1:40:36.640 --> 1:40:38.640]  And your book and what we're doing
[1:40:38.640 --> 1:40:47.120]  It's going to explode packs. I mean, I what I'm saying is I think Trump is a manifestation of the huge awakening
[1:40:47.200 --> 1:40:51.120]  What do you think roger? I think you're absolutely, uh, you're right, Alex
[1:40:51.120 --> 1:40:56.720]  I think that that our opponents are enemies as it were on the wrong side of history
[1:40:57.360 --> 1:41:02.160]  Down trump has come along at exactly the right time to break the yoke of globalism
[1:41:02.640 --> 1:41:05.760]  And to expose the entire mainstream media
[1:41:06.560 --> 1:41:07.920]  phony
[1:41:07.920 --> 1:41:09.520]  screen
[1:41:09.520 --> 1:41:15.040]  All right, listen in closing. I'm going to let you go. We got two minutes left other big things to watch for what's happening
[1:41:15.760 --> 1:41:24.080]  Well, uh, you identified a very important one tomorrow is the faux inauguration of a man named jovenel
[1:41:24.720 --> 1:41:32.560]  Uh, moise who claims to be the legally elected president of haiti. He is part of the clinton, uh,
[1:41:33.200 --> 1:41:34.080]  gang
[1:41:34.080 --> 1:41:41.600]  That have subjugated that party stole 80 of the earthquake aid and now seek to install
[1:41:42.160 --> 1:41:48.400]  This gentleman who's been in two disputed elections. The first one was so flawed so dirty so stolen
[1:41:48.800 --> 1:41:50.320]  They threw it out
[1:41:50.320 --> 1:41:52.960]  Now, uh, to our shock and surprise
[1:41:53.600 --> 1:41:57.280]  Amarosa mogul. Amarosa of the apprentice
[1:41:58.000 --> 1:42:00.800]  Now working as a trump white house aide
[1:42:01.440 --> 1:42:03.440]  recommended that the president
[1:42:03.440 --> 1:42:08.000]  Send a delegation from the white house. This would not be an official
[1:42:09.040 --> 1:42:10.320]  government
[1:42:10.320 --> 1:42:14.320]  Or state department delegation, of course, it wouldn't connote
[1:42:15.840 --> 1:42:17.840]  Uh, uh recognition
[1:42:18.400 --> 1:42:24.240]  Legally, but it sends all of the wrong signals. These are the people who rape the country
[1:42:24.720 --> 1:42:27.760]  They are trying to install a puppet government
[1:42:27.760 --> 1:42:34.000]  Now get it. They want his unofficial certification and this is him only helping the clintons as their foundation dies
[1:42:34.080 --> 1:42:38.320]  Trump doesn't know about this. How do we make a big noise in 20 seconds to make sure trump doesn't do it?
[1:42:38.720 --> 1:42:45.760]  The answer I think is rex tillerson, uh, who is the secretary state and whose wheelhouse this issue is in
[1:42:46.240 --> 1:42:50.880]  Uh, if we're going to be reaching out to the new secretary very soon, alex stay tuned
[1:42:51.600 --> 1:42:56.000]  All right. Thank you, roger. We'll talk to you more stone cold truth dot com get the book to make you a president
[1:42:56.000 --> 1:42:59.200]  2016 it's all part of the victory. Give the gift
[1:43:00.080 --> 1:43:05.760]  Of information by the book. Give it as a gift. We'll be back from the super bowl live coverage straight ahead
[1:43:07.760 --> 1:43:13.840]  Need more proof the political left has completely lost its mind new video surfaces of a new york university professor
[1:43:14.000 --> 1:43:19.520]  On the streets at a trump protest shouting and cursing like a lunatic at police at neo nazis
[1:43:19.520 --> 1:43:27.680]  Proudly announcing she is a professor as she loosely drops f bombs 15 times in her 82nd rant with plenty of other obscene language
[1:43:27.680 --> 1:43:32.000]  Peppered in she tells the nypd to f off. Good luck next time you need them
[1:43:32.160 --> 1:43:37.440]  Then declares trump and all his supporters are neo nazis who are not for lgbtq rights
[1:43:37.600 --> 1:43:41.200]  Even though trump did just stand for lgbtq rights in the workplace
[1:43:41.360 --> 1:43:48.560]  You can see this wicked creature spitting and fuming like a wild banshee as she insists the police start beating up the trump supporters
[1:43:48.560 --> 1:43:53.440]  So that her students don't have to we've seen white people shout down white people for being white
[1:43:53.520 --> 1:43:58.240]  We've seen protesters strap baby dolls to themselves then dance in the streets while playing the flute
[1:43:58.320 --> 1:44:03.600]  We've seen them assault people burn and destroy communities. What will the never trump movement do next?
[1:44:03.680 --> 1:44:07.040]  This is oan shroyer. Stay tuned for more at info wars dot com
[1:44:07.520 --> 1:44:12.960]  A clean toxic free body is the foundation of true health deep cleansed by info wars life dot com
[1:44:12.960 --> 1:44:19.920]  A scientifically formulated blend of nano colloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals
[1:44:20.080 --> 1:44:27.520]  Using on proprietary multi-step extraction technology deep cleanse our most affordable all-in-one cleanser with concentrated organic compounds
[1:44:27.680 --> 1:44:34.560]  Like cilantro milk thistle fulvic acid orange peel zeolites and others deep cleanse doesn't hold back
[1:44:34.880 --> 1:44:38.320]  Instead of buying five six or even seven different cleansing products
[1:44:38.320 --> 1:44:43.600]  We use decades old scientific research to put together the Rolls Royce of all-in-one cleansing
[1:44:43.840 --> 1:44:50.720]  Look, there's a reason deep cleanse is the only product on the market that uses our proprietary spike girex herbal processing technique
[1:44:50.880 --> 1:44:57.120]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there
[1:44:57.200 --> 1:45:02.000]  If you wish to find deep cleanse and experience the all-in-one cleansing visit info wars life dot com
[1:45:02.000 --> 1:45:08.400]  That's info wars life dot com or call 888-253-3139
[1:45:08.480 --> 1:45:13.360]  Over the years there have been a lot of powerful advancements in the field of science and nutraceuticals
[1:45:13.600 --> 1:45:22.240]  Young Jevity integrates years of scientific research into creating fantastic products like beyond tangy tangerine plant derived minerals and much more
[1:45:22.400 --> 1:45:27.040]  Young Jevity also offers you an ingenious way to augment your income and the best part
[1:45:27.040 --> 1:45:32.400]  You'll be helping your friends and family along the way visit info wars team dot com today
[1:45:32.640 --> 1:45:37.520]  Become a member it discounts on the amazing products and free shipping when you sign up for auto ship
[1:45:37.600 --> 1:45:44.160]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time
[1:45:44.400 --> 1:45:50.160]  Another win-win that's why i'm a member of the young Jevity team at info wars team dot com and you can be too
[1:45:50.320 --> 1:45:55.760]  It's simple just go to info wars team dot com today complete a short sign up and you're part of the team
[1:45:55.760 --> 1:45:59.120]  That's info wars team dot com or info wars health dot com
[1:45:59.200 --> 1:46:05.440]  So many people call into my radio show and tell me how young Jevity and the products at info wars team dot com have changed their lives
[1:46:05.520 --> 1:46:07.520]  Check it out for yourself today
[1:46:08.240 --> 1:46:12.480]  Not a group you develop living defense for us. It took you over a year to do it. Why is this so good?
[1:46:12.800 --> 1:46:18.000]  Because people are actually waking up to the problem that pretty much scares me the most
[1:46:18.080 --> 1:46:23.280]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system
[1:46:23.280 --> 1:46:26.160]  But right now we're dealing with massive
[1:46:26.880 --> 1:46:33.040]  Parasites, which is anything that's harmful to your body that lives off a host mechanism right now with all the refugees
[1:46:33.680 --> 1:46:39.200]  Uh spreading disease around we have biological warfare going on everywhere. These are all parasites
[1:46:39.280 --> 1:46:42.880]  Tell us about all this episode. There's so many things that are in it. You have the neem in there
[1:46:42.960 --> 1:46:45.920]  You have the organic clove bud the organic wormwood
[1:46:46.160 --> 1:46:49.680]  I recommend doing a parasite cleanse at least twice a year. All right
[1:46:49.680 --> 1:46:55.040]  Well, I'm glad we've got some back in because I'm going back on it today. It just came back in yesterday living defense info wars life
[1:46:55.120 --> 1:46:58.640]  dot com and folks you can't lose full of stuff that's great for your body period
[1:46:59.120 --> 1:47:04.480]  And uh, you support the broadcast info wars life dot com. Thank you doctor group from the global healing center
[1:47:04.720 --> 1:47:06.800]  Thank you so much for all your work sir on this great product
[1:47:06.800 --> 1:47:15.120]  You're listening to the alex jones show
[1:47:24.640 --> 1:47:26.640]  These are our people
[1:47:29.840 --> 1:47:31.840]  This is our land
[1:47:31.840 --> 1:47:35.840]  These are our people
[1:47:37.680 --> 1:47:39.680]  The workers
[1:47:39.680 --> 1:47:41.520]  The striders
[1:47:41.520 --> 1:47:42.960]  The builders
[1:47:42.960 --> 1:47:44.320]  Who are they?
[1:47:44.320 --> 1:47:46.320]  These are our people
[1:47:47.760 --> 1:47:49.760]  Who are they?
[1:47:51.120 --> 1:47:53.120]  They are the dark armies
[1:47:53.920 --> 1:47:56.800]  The dark murdering armies was only honor
[1:47:56.800 --> 1:47:58.800]  Is atrocity
[1:48:00.000 --> 1:48:02.320]  The answer to 1984
[1:48:04.560 --> 1:48:06.560]  Is 1776
[1:48:09.120 --> 1:48:12.160]  What's crazy is that is an intro alex jones show
[1:48:12.960 --> 1:48:14.960]  from like a 1950s
[1:48:16.160 --> 1:48:18.160]  bbc production of
[1:48:18.240 --> 1:48:19.440]  1984
[1:48:19.440 --> 1:48:22.800]  Our our our enemies are not dark armies of third world people
[1:48:22.800 --> 1:48:26.320]  It's globalist manipulating different human human groups against each other
[1:48:27.040 --> 1:48:31.600]  But that doesn't mean we can just then open the border up and bring in giant masses of people
[1:48:32.080 --> 1:48:35.120]  Into a globalist program. They mean to destroy all of us with
[1:48:36.880 --> 1:48:39.440]  My low unopolis is on the show tomorrow
[1:48:40.240 --> 1:48:42.080]  um
[1:48:42.080 --> 1:48:47.600]  On the phone i'm trying to get him on via skype and he's invited me out to a live broadcast with him in miami next week
[1:48:47.600 --> 1:48:52.080]  Uh, i'd love to do it. We'll see if i have time. I can't just jet set out to be on joe rogan over here
[1:48:52.080 --> 1:48:55.280]  But we are reaching a lot of people this way. So why not?
[1:48:55.920 --> 1:49:02.000]  Uh, but uh, i'm really sick of being called a homophobe constantly. Maybe that'll help but actually he's always being demonized
[1:49:02.160 --> 1:49:06.080]  Even though he's gay if we're not wanting to ban free speech. So it's a very scary time
[1:49:07.200 --> 1:49:13.120]  Now owens shroyer is a great reporter for info wars and you notice usually he's very pro police officer
[1:49:14.160 --> 1:49:15.600]  very
[1:49:15.600 --> 1:49:17.600]  You know pro law and order, but
[1:49:18.000 --> 1:49:23.440]  I sent him to houston with three of our reporters and they've all split up and he is really upset
[1:49:23.840 --> 1:49:25.840]  He's not inside the super bowl
[1:49:25.840 --> 1:49:32.160]  Uh, he was telling our crew that you can be like a half mile away. They're not letting you walk down the street as a reporter in texas
[1:49:32.960 --> 1:49:36.960]  And i got they got a and and and i know i by the way, i know the police chief down there
[1:49:36.960 --> 1:49:39.600]  i'm friends with him our day saveta, but he just got down there
[1:49:39.760 --> 1:49:43.520]  I could probably call a cell phone i could right now that could call the police chief right now
[1:49:43.520 --> 1:49:49.840]  I might actually do that and say what are you doing? They're not letting you talk to people on the streets of houston
[1:49:51.200 --> 1:49:54.160]  so alex there's a weird dynamic happening now and
[1:49:54.800 --> 1:49:57.920]  law enforcement knows who we are they know who i am
[1:49:58.640 --> 1:50:00.800]  And we saw a little bit of in washington
[1:50:00.800 --> 1:50:04.560]  We're gonna try to boost your mic because you don't have external mic you've got internal mic on
[1:50:04.800 --> 1:50:08.400]  I love you guys. I sent like four people there. How are you by yourself, bro?
[1:50:08.400 --> 1:50:13.040]  We just get separated and you can't get along all the streets are blocked
[1:50:13.360 --> 1:50:16.720]  I have to walk five miles to get to the other side of the stadium
[1:50:17.280 --> 1:50:22.640]  Uh, now there's a helicopter in texas dps is actually hovering right above us here. I'll try to get a show
[1:50:22.640 --> 1:50:24.160]  Let's show us so this is really bad audio
[1:50:24.160 --> 1:50:28.160]  Can you guys boost this folks can hear it or do I have to get out of this interview because I could barely hear
[1:50:28.160 --> 1:50:30.160]  Does that mean the crowd can hear?
[1:50:34.000 --> 1:50:36.720]  All right, I can barely hear him you're saying it's fine on air, so I believe it
[1:50:36.720 --> 1:50:43.040]  Uh, that he is definitely above you. Oh, and so the police know you are and you're an evil reporter
[1:50:43.440 --> 1:50:48.560]  They've always been ordered to like stop reporters talking to people because what they don't want is they want anybody getting publicity
[1:50:48.560 --> 1:50:51.840]  but the big corporations obviously lady gaga and uh
[1:50:53.520 --> 1:50:56.640]  You know george herbert walker bush and the other newer people so so so
[1:50:57.120 --> 1:50:59.600]  You know, I don't even care if you're on screen. Just get up next to the mic
[1:50:59.920 --> 1:51:04.480]  That's uh are like are like aim the camera at the helicopter and get up against the mic on the phone
[1:51:04.480 --> 1:51:08.880]  Since you're hooked up wrong and tell me what they're doing to you. Oh, and is that better? Can you hear me now?
[1:51:09.040 --> 1:51:10.640]  That's better. Go ahead
[1:51:10.640 --> 1:51:12.080]  Okay, so yeah
[1:51:12.080 --> 1:51:17.440]  I don't know what's going on this this helicopter just started hovering right above literally just started
[1:51:17.680 --> 1:51:20.640]  No, I see it. So tell us what the police are doing to you. This is very shameful
[1:51:21.200 --> 1:51:24.160]  So so here's the story so in washington dc
[1:51:24.640 --> 1:51:28.320]  Some of the police knew who we were and they said, you know, hey, we got your back
[1:51:28.400 --> 1:51:34.160]  You know, let's not see any violence and then in austin some of the police knew who I were and they said hey shroyer
[1:51:34.160 --> 1:51:38.400]  You know try not to antagonize too much, but they never stopped me from actually speaking to people
[1:51:38.880 --> 1:51:45.040]  Alex I caught it on video. I'm over here talking to the protesters and the cops made me leave
[1:51:45.840 --> 1:51:47.840]  They made me leave alex
[1:51:48.160 --> 1:51:50.160]  I couldn't believe it and and here's the thing
[1:51:50.880 --> 1:51:53.600]  And the helicopter's going away now. Can you hear me better alex? Yes, I can
[1:51:54.960 --> 1:51:58.240]  This is this is an interesting dynamic that I think we need to talk about so
[1:51:58.240 --> 1:52:05.920]  You know, we don't we've I've had I've had run-ins with police that make you dislike police, right?
[1:52:06.000 --> 1:52:08.000]  We've always been against the police state
[1:52:08.080 --> 1:52:08.880]  but
[1:52:08.880 --> 1:52:12.240]  We see how the globalists are trying to use sure they're trying to make them the enemy
[1:52:12.240 --> 1:52:18.160]  They're trying to cause a class of civilizations of civil war and so the average cop is not at fault for what's happening in the country
[1:52:18.960 --> 1:52:24.400]  And and we recognize that but what's happening now is and I blame this on the protests that have gotten violent
[1:52:24.400 --> 1:52:27.840]  So the protests have gotten so violent don't happen to me in DC
[1:52:27.840 --> 1:52:32.880]  They'd be beating me up and I would fight back and the cops would come threaten me. You know, I experience it
[1:52:33.680 --> 1:52:36.480]  So so now they're just shutting down free speech alex
[1:52:36.720 --> 1:52:41.840]  I'm I'm well. That's what is bring the muslims in they bring the muslims in they shoot and bomb and stab
[1:52:42.000 --> 1:52:47.120]  So all of us lose free speech not to make them mad the black lives matter people come out and say kill cops everything
