[00:00:04.497 --> 00:00:06.372]  Mechanism, not globalism!
[03:30:39.490 --> 03:30:41.450]  The Dow rose 125 points.
[03:30:41.450 --> 03:30:49.814]  Goldman Sachs came out and said Trump's promise to revive American infrastructure means commodities used to build everything from airports to bridges will benefit under his presidency.
[03:30:50.134 --> 03:30:50.754]  That's right.
[03:30:50.754 --> 03:30:55.015]  At this point, if Trump does what he says, we can look to a new era of economic prosperity.
[03:30:55.015 --> 03:30:57.976]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[03:31:14.620 --> 03:31:22.543]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[03:31:22.543 --> 03:31:27.225]  Number three, we're giving you free shipping on all orders above $50.
[03:31:27.225 --> 03:31:33.728]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[03:31:33.728 --> 03:31:37.229]  Just go to InfoWareStore.com, select your favorite product or products,
[03:31:37.369 --> 03:31:41.511]  Click on AutoShip and choose how often you want us to send you another order.
[03:31:41.511 --> 03:31:43.893]  As you know, I coined the term 360Win.
[03:31:43.893 --> 03:31:48.015]  And with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[03:31:48.015 --> 03:31:49.696]  10% off on AutoShip.
[03:31:49.696 --> 03:31:52.117]  Win, win, win at InfoWarsLife.com.
[03:31:52.117 --> 03:31:54.118]  Free shipping on orders above 50 bucks.
[03:31:54.118 --> 03:32:02.262]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[03:32:02.262 --> 03:32:05.244]  Charlie Daniels, he's always loved America.
[03:32:05.244 --> 03:32:06.925]  He's always defended the Second Amendment.
[03:32:07.165 --> 03:32:09.866]  Let me just read a little thing here from Agenda 21.
[03:32:09.866 --> 03:32:14.028]  The American system of justice must be changed to conform to the rest of the world.
[03:32:14.028 --> 03:32:17.989]  Individual rights will have to take a back seat to the collected.
[03:32:17.989 --> 03:32:19.830]  Well, you know what the next move's gonna be, don't you?
[03:32:19.830 --> 03:32:21.571]  It's gonna be coming after your guns.
[03:32:21.571 --> 03:32:22.351]  Oh, yeah.
[03:32:22.351 --> 03:32:23.892]  I tell you, it ain't gonna sit well down my way.
[03:32:24.472 --> 03:32:25.433]  At all.
[03:32:25.433 --> 03:32:26.494]  It ain't gonna sit well.
[03:32:26.494 --> 03:32:28.696]  Do you ever wonder what happened to America?
[03:32:28.696 --> 03:32:29.878]  It's time to ride, boys.
[03:32:29.878 --> 03:32:31.579]  We need a thousand Paul Revere's.
[03:32:31.579 --> 03:32:37.906]  When I was a boy, it was okay to be proud of the flag, heritage, mom, and apple pie.
[03:32:37.906 --> 03:32:39.788]  And beef was for supper.
[03:32:40.488 --> 03:32:43.111]  Revelation, dawn of global government.
[03:32:43.111 --> 03:32:44.832]  Theatrical screenings on demand.
[03:32:44.832 --> 03:32:46.474]  DVDs now available.
[03:32:46.474 --> 03:32:50.858]  Starring Alex Jones, Charlie Daniels, Special Ops General Jerry Boykin.
[03:32:50.858 --> 03:32:54.561]  Wanna shed some tears over the red, white, and blue?
[03:32:54.561 --> 03:32:56.903]  Revelation, themovie.info.
[03:32:56.903 --> 03:32:57.684]  Let's fix it.
[03:33:07.720 --> 03:33:12.567]  If you are receiving this transmission, you are the resistance.
[03:33:12.567 --> 03:33:18.276]  From the front lines of the Information War, it's Alex Jones.
[03:33:18.276 --> 03:33:21.040]  Careful what you wish, you might just get it.
[03:33:22.837 --> 03:33:34.906]  And that's what was at a big state party in Russia yesterday after Trump, one of your TV viewers, it's two tough guy images in a Russian painting of Vladimir Putin and Donald Trump.
[03:33:34.906 --> 03:33:37.088]  Just the humor level of this is really good.
[03:33:37.088 --> 03:33:41.471]  And I think somebody put up a screen of a fake Red Square during the Soviet era.
[03:33:41.471 --> 03:33:44.513]  We've now been captured by Russia, folks.
[03:33:44.513 --> 03:33:48.997]  Now get ready for Donald Trump to try to cut your taxes by... What's that, Putin?
[03:33:50.860 --> 03:33:53.283]  100% of you make $140,000 a year is what it comes out to.
[03:33:53.283 --> 03:33:57.306]  And everybody else, huge tax cuts, which will cause more tax receipts to come in.
[03:33:57.306 --> 03:34:00.710]  So if we just keep spending the same, it'll pay off.
[03:34:00.710 --> 03:34:03.092]  Problem was, Reagan let them double and triple spending.
[03:34:03.092 --> 03:34:04.573]  It doubled tax increases again, or...
[03:34:06.495 --> 03:34:07.296]  We're good to go.
[03:34:24.557 --> 03:34:27.480]  For humanity, so far, but the enemy is striking back.
[03:34:27.480 --> 03:34:34.267]  Imagine there's going to be riots and attacks and more racial garbage all night long, but most Americans, whatever race, color, and creed see right through it.
[03:34:34.267 --> 03:34:35.709]  Who has been holding the longest?
[03:34:35.709 --> 03:34:36.810]  Let me see here.
[03:34:36.810 --> 03:34:37.371]  V.C.
[03:34:37.371 --> 03:34:38.392]  in Texas, you're on the air.
[03:34:40.773 --> 03:34:42.494]  Alex, it's great to talk to you, man.
[03:34:42.494 --> 03:34:44.975]  Listen, you're doing a fantastic job.
[03:34:44.975 --> 03:34:47.196]  Your crew, it's unbelievable.
[03:34:47.196 --> 03:34:53.159]  I mean, I've been a political junkie since 79 when C-SPAN started up.
[03:34:53.159 --> 03:34:56.801]  I grew up in the Vietnam era and Watergate.
[03:34:56.801 --> 03:35:02.424]  So it's only natural for people to get caught up in their own political climates.
[03:35:02.424 --> 03:35:06.006]  And so I really never caught on to the Republican Party very much.
[03:35:07.225 --> 03:35:11.392]  But I very much supported Ross Perot.
[03:35:11.392 --> 03:35:12.814]  I thought he was great.
[03:35:12.814 --> 03:35:15.138]  That was a great ho.
[03:35:15.138 --> 03:35:16.420]  Boy, I wish we had listened to him.
[03:35:16.420 --> 03:35:19.285]  Didn't Al Gore turn out to be a complete liar?
[03:35:21.409 --> 03:35:27.131]  You know, and see, I supported Gore when he came up in his thing, because I didn't like Bush.
[03:35:27.131 --> 03:35:30.653]  I thought there's too much military-industrial conflict.
[03:35:30.653 --> 03:35:38.375]  You know, I wish I could be a citizen caller that could call in and talk to you for hours airtime, because there's so much buildup inside me.
[03:35:38.375 --> 03:35:42.557]  Man, you've got me amped up on this political process here.
[03:35:42.557 --> 03:35:45.338]  And, you know, I could go over it all.
[03:35:45.338 --> 03:35:50.380]  I mean, I supported Obama in 2008, and what a disastrous mistake that was.
[03:35:50.816 --> 03:35:52.858]  But I grew up here in Austin.
[03:35:52.858 --> 03:35:55.201]  I went to Anderson, the same high school you did.
[03:35:55.201 --> 03:35:57.423]  I grew up in that area.
[03:35:57.423 --> 03:36:01.847]  Wait a minute, I went to school in Russia!
[03:36:01.847 --> 03:36:04.270]  You were classmates with Putin, weren't you?
[03:36:04.270 --> 03:36:05.751]  Actually, I'm Vladimir Putin's son.
[03:36:13.034 --> 03:36:20.204]  I was in there probably well before you were, but you probably had Buford as your principal.
[03:36:20.204 --> 03:36:22.146]  But anyway, let me go on.
[03:36:22.146 --> 03:36:25.691]  The thing is, Trump, I'm just very, very concerned.
[03:36:26.218 --> 03:36:27.639]  That he's going to be co-opted.
[03:36:27.639 --> 03:36:28.980]  I mean, he's an instigator.
[03:36:28.980 --> 03:36:32.802]  You know, he is the rebel within the Republican Party.
[03:36:32.802 --> 03:36:36.165]  I loved a lot of Ron Paul's ideas and things like that.
[03:36:36.165 --> 03:36:38.066]  They're going to try to co-opt him.
[03:36:38.066 --> 03:36:43.530]  And I think it's great that he supposedly has been listening to you for all these years.
[03:36:43.530 --> 03:36:47.472]  But you look at already some of his advisors and stuff who surround him.
[03:36:47.472 --> 03:36:48.173]  No, no, I hear you.
[03:36:48.173 --> 03:36:50.774]  There are some issues with people like Newt Gingrich.
[03:36:50.774 --> 03:36:54.637]  But let's go to that with John Rappaport.
[03:36:54.637 --> 03:36:55.718]  Let me explain something.
[03:36:56.858 --> 03:36:58.059]  Some of Trump's kids have listened.
[03:36:58.059 --> 03:37:00.480]  Trump knows I've talked to Trump some.
[03:37:00.480 --> 03:37:09.464]  Our movement, when he goes to events and a third of the people are wearing Hillary for Prison shirts and our listeners are there, he's picking up on all that and it's meshing with his populism.
[03:37:09.464 --> 03:37:10.744]  So let's get it clear.
[03:37:10.744 --> 03:37:13.545]  Donald Trump is not some Alex Jones bot.
[03:37:13.545 --> 03:37:16.127]  The American people are rediscovering Americana.
[03:37:16.127 --> 03:37:18.528]  I didn't write up this whole cosmology.
[03:37:18.528 --> 03:37:20.368]  We're covering things that are factual and already there.
[03:37:20.368 --> 03:37:21.509]  But that's a good point.
[03:37:21.509 --> 03:37:23.850]  How do we keep Trump honest, John Rappaport?
[03:37:25.208 --> 03:37:32.130]  First time we see it out of the box that somebody really bad gets appointed.
[03:37:32.130 --> 03:37:32.990]  Outrage.
[03:37:32.990 --> 03:37:34.130]  Uproar.
[03:37:34.130 --> 03:37:35.790]  Wrong move.
[03:37:35.790 --> 03:37:37.411]  This is an insider.
[03:37:37.411 --> 03:37:40.631]  This is somebody who's just a holdover from Bush.
[03:37:40.631 --> 03:37:42.552]  This is a neocon.
[03:37:42.552 --> 03:37:43.712]  You don't need this guy.
[03:37:43.712 --> 03:37:44.892]  You don't want this guy.
[03:37:44.892 --> 03:37:47.153]  Who told you to appoint this guy?
[03:37:47.153 --> 03:37:48.133]  Let's run it down.
[03:37:48.937 --> 03:37:53.258]  I make the distinction between two things with presidential appointees.
[03:37:53.258 --> 03:38:01.981]  Yeah, you need people who know how the game is played in Washington, the details and the ins and the outs of the official game and the unofficial game.
[03:38:01.981 --> 03:38:06.483]  Sure, it's a big city with a mega complex bureaucracy.
[03:38:07.203 --> 03:38:14.991]  But those people should just be there to give you technical data and advice on procedures.
[03:38:14.991 --> 03:38:15.571]  Great point!
[03:38:15.571 --> 03:38:17.233]  This is excellent!
[03:38:17.233 --> 03:38:20.056]  They shouldn't be running anything, they just have the blueprint.
[03:38:20.811 --> 03:38:23.012]  You never put him in charge of anything.
[03:38:23.012 --> 03:38:26.173]  They're just there in a kind of a robotic way.
[03:38:26.173 --> 03:38:28.554]  Okay, Joe, so what's happening right here now?
[03:38:28.554 --> 03:38:31.195]  Okay, well, this is what's happening, and he's here, and that's here.
[03:38:31.195 --> 03:38:32.035]  Okay, thank you, Joe.
[03:38:32.035 --> 03:38:33.676]  Go back to your cubbyhole now.
[03:38:33.676 --> 03:38:35.976]  Now, we decide what we're going to do.
[03:38:35.976 --> 03:38:39.498]  Joe never becomes the department chairman.
[03:38:41.203 --> 03:38:42.164]  Exactly.
[03:38:42.164 --> 03:38:44.406]  So that's what we have to watch out for.
[03:38:44.406 --> 03:38:46.728]  And to me, this is one of the callers.
[03:38:46.728 --> 03:38:47.708]  Absolutely right.
[03:38:47.708 --> 03:38:49.930]  This is the key.
[03:38:49.930 --> 03:38:54.254]  If he's going to surround himself with the same old tired people.
[03:38:55.723 --> 03:38:57.824]  There's going to be major trouble.
[03:38:57.824 --> 03:38:58.864]  Major trouble.
[03:38:58.864 --> 03:39:01.345]  This cannot happen and we have to watch it.
[03:39:01.345 --> 03:39:02.066]  I agree.
[03:39:02.066 --> 03:39:08.588]  The good news is the few people he has gotten from the establishment he's used as like a tour guide until he figures this out.
[03:39:08.588 --> 03:39:11.749]  I mean, that was my old joke about he's got to go into a goblin's nest.
[03:39:11.749 --> 03:39:15.191]  He needs a guide to take him into the goblin's nest.
[03:39:15.191 --> 03:39:17.532]  And if he uses people just as guides, that's fine.
[03:39:17.532 --> 03:39:24.775]  But if we, you know, catch him kissing goblins, if we catch him in bed with a goblin,
[03:39:25.555 --> 03:39:26.796]  You know, that is not going to be a good thing.
[03:39:26.796 --> 03:39:32.179]  But to be serious, they turned that into this huge, you know, Vine, huge viral deal with 20 million views or something.
[03:39:32.179 --> 03:39:35.781]  That particular joke, editing it together.
[03:39:35.781 --> 03:39:39.422]  But he really got there by being outside the box.
[03:39:39.422 --> 03:39:40.843]  He changed the whole system.
[03:39:40.843 --> 03:39:42.984]  He recognized that time of change had come.
[03:39:42.984 --> 03:39:44.805]  He recognized a rotting empty media.
[03:39:44.805 --> 03:39:53.230]  I mean, he really did show incredible instincts in what he's done and being able to gauge and tune in to the ether, John.
[03:39:54.039 --> 03:39:55.460]  Yeah, no question about it.
[03:39:55.460 --> 03:40:00.023]  And as I keep saying, he ran his campaign against the media.
[03:40:00.023 --> 03:40:07.889]  That was the smartest thing he did right from the get-go because he never could have gotten his message across if he had played ball with the media.
[03:40:07.889 --> 03:40:10.971]  Exactly, and he won't get the agenda through now playing ball.
[03:40:10.971 --> 03:40:16.335]  And the one thing I don't like, I bitched about it as he said it live, he's like, oh thank you Hillary, we really all owe you a great debt.
[03:40:16.795 --> 03:40:18.676]  That's the first time I've heard him lie in the campaign.
[03:40:18.676 --> 03:40:22.697]  I get being gracious, wanting to not have a stock market crash, wanting to be like the big guy.
[03:40:22.697 --> 03:40:25.558]  They still kept attacking within minutes like piranha.
[03:40:25.558 --> 03:40:28.518]  I would have just said, well, we're the winner.
[03:40:28.518 --> 03:40:30.419]  Too bad we haven't seen a public concession.
[03:40:30.419 --> 03:40:31.319]  Justice will be done.
[03:40:31.319 --> 03:40:32.179]  We're going to move forward.
[03:40:32.179 --> 03:40:33.400]  I'm a president for all Americans.
[03:40:33.400 --> 03:40:35.380]  You've heard a bunch of lies from the media.
[03:40:35.380 --> 03:40:40.302]  Now you're going to be able to hear me with daily briefings to you about what's really happening.
[03:40:40.302 --> 03:40:44.603]  And we're going to restore this country, but we've been infiltrated by a lot of foreign multinational interests.
[03:40:45.043 --> 03:40:47.784]  So I have to let you know that our work has just begun.
[03:40:47.784 --> 03:40:50.805]  We've only gotten a beachhead now in the retaking of America.
[03:40:50.805 --> 03:40:53.186]  I want to thank you all for everything you've done in your support.
[03:40:53.186 --> 03:40:54.807]  This is the return of 1776.
[03:40:54.807 --> 03:40:56.207]  God bless you all.
[03:40:56.207 --> 03:40:57.068]  Exactly.
[03:40:57.068 --> 03:41:00.849]  And when you talk about daily briefings, that's it.
[03:41:00.849 --> 03:41:01.909]  That's it right there.
[03:41:01.909 --> 03:41:06.911]  Because he's up against a tsunami.
[03:41:06.911 --> 03:41:14.094]  So daily briefings mean to me, and this should be a clue to him, okay folks, this is what happened today.
[03:41:15.026 --> 03:41:17.088]  I want to tell you straight out.
[03:41:17.088 --> 03:41:18.249]  These are the people I met with.
[03:41:18.249 --> 03:41:19.490]  This is where we met.
[03:41:19.490 --> 03:41:21.192]  This was on the agenda.
[03:41:21.192 --> 03:41:23.094]  This is what I told them that I want.
[03:41:23.094 --> 03:41:25.876]  And this is what they came back at me with.
[03:41:25.876 --> 03:41:29.400]  These are the people that are blocking why you put me here.
[03:41:29.400 --> 03:41:34.785]  I think he just ought to have all the summits live and all his major meetings just be revolutionary on C-SPAN.
[03:41:35.245 --> 03:41:40.068]  I think that's actually a great idea, and that would get more people to be tuned in to what the government's doing.
[03:41:40.068 --> 03:41:45.332]  And to the caller's point, I don't know if you saw this story, Trump makes first White House visit as President-elect.
[03:41:45.332 --> 03:41:46.733]  Trump actually visited the White House.
[03:41:46.733 --> 03:41:47.894]  Yeah, let's show some of that video.
[03:41:47.894 --> 03:41:48.895]  It's him pulling up earlier today.
[03:41:48.895 --> 03:41:49.455]  We can Google that.
[03:41:49.455 --> 03:41:51.036]  And this is what Obama said.
[03:41:51.036 --> 03:41:57.300]  I believe that this is important for all of us, regardless of party, political preferences, to come together, work together, and deal with many challenges we face.
[03:41:57.300 --> 03:41:59.262]  I want to emphasize to you, Mr. President-elect,
[03:41:59.722 --> 03:42:04.906]  That we now are going to want to do everything we can to help you succeed, because if you succeed, the country succeeds.
[03:42:04.906 --> 03:42:06.488]  But I'm just curious, where are the protesters?
[03:42:06.488 --> 03:42:08.910]  Why aren't they listening to Obama on that?
[03:42:08.910 --> 03:42:13.273]  They're following the 500 bucks a day they get from George Soros.
[03:42:13.273 --> 03:42:15.075]  Look, they had hundreds of buses, hundreds.
[03:42:15.655 --> 03:42:17.537]  Buses were blocking roads, bringing them in to riot.
[03:42:36.698 --> 03:42:40.361]  We discussed a lot of different situations, some wonderful and some difficulties.
[03:42:40.361 --> 03:42:44.164]  I'm very much looking forward to dealing with the President in the future, including Council.
[03:42:44.164 --> 03:42:48.648]  Mr. President, it was a great honor meeting with you, and I look forward to meeting with you many, many more times in the future.
[03:42:48.648 --> 03:42:52.711]  So perhaps this is the first time maybe we look at Trump and say, hey, why are you cozying up to Obama?
[03:42:52.711 --> 03:42:57.935]  But again, you know, with this, with the things that Trump is saying... I'm just saying something right now.
[03:42:57.935 --> 03:43:01.839]  I don't like Obama, but his body language is better with Trump than it is around Hillary.
[03:43:01.839 --> 03:43:03.160]  He does not like Hillary.
[03:43:03.160 --> 03:43:04.281]  Well, Hillary is just, I mean...
[03:43:05.140 --> 03:43:08.422]  I couldn't even imagine what my body language would be like around Hillary, honestly.
[03:43:08.422 --> 03:43:09.102]  I don't know.
[03:43:09.102 --> 03:43:10.002]  I don't want to know.
[03:43:10.002 --> 03:43:19.386]  But remember, it was Obama and it was Hillary who were sitting here reminding Trump, pointing the finger at Trump, you need to make sure the transition of power is peaceful.
[03:43:19.386 --> 03:43:22.168]  This is a tradition in this country, transition of power peaceful.
[03:43:22.168 --> 03:43:25.289]  But then what do we see from the Obama and Hillary supporters?
[03:43:25.289 --> 03:43:29.331]  Violent protests in the street, burning flags, and nothing from Obama.
[03:43:29.671 --> 03:43:30.492]  Nothing from Hillary.
[03:43:30.492 --> 03:43:34.234]  I guess this is the first time Obama's basically said, hey, let's work together, let's come together.
[03:43:34.234 --> 03:43:35.114]  No, no, I agree.
[03:43:35.114 --> 03:43:39.257]  That would signal that they were backing off, but the fact we don't hear any repudiation of this.
[03:43:39.257 --> 03:43:40.217]  I mean, give me a break, man.
[03:43:40.217 --> 03:43:45.881]  If you're going to wave flags, wave something like the Swiss flag that's successful, or something else, or a Christian flag.
[03:43:45.881 --> 03:43:47.322]  They're like commie flags.
[03:43:47.322 --> 03:43:49.163]  Commies can't even produce automobiles.
[03:43:49.163 --> 03:43:52.985]  They're waving Mexican flags saying Donald Trump is not my president.
[03:43:52.985 --> 03:43:53.846]  Well, duh!
[03:43:53.846 --> 03:43:56.127]  He's the President of the United States, not Mexico!
[03:43:56.127 --> 03:43:58.268]  These people have no logic!
[03:43:58.268 --> 03:43:59.309]  There's no train of thought.
[03:43:59.349 --> 03:44:02.030]  Well, it's all the liberation theology crap they've been taught.
[03:44:02.030 --> 03:44:03.551]  I mean, this is absolutely the U.S.
[03:44:03.551 --> 03:44:05.212]  pissed on Mexico and back and forth.
[03:44:05.212 --> 03:44:10.115]  There were frickin' six flags over Texas, like eight flags over California.
[03:44:10.115 --> 03:44:12.216]  The Russians used to have California.
[03:44:12.216 --> 03:44:14.197]  I mean, it's a damn war over here.
[03:44:14.197 --> 03:44:16.038]  Nobody could take this from the Comanches.
[03:44:16.638 --> 03:44:18.859]  That's why it was the Texans finally did.
[03:44:18.859 --> 03:44:20.919]  And then they say, oh, we killed all the Comanches.
[03:44:20.919 --> 03:44:22.820]  No, everybody just got basically intermarried.
[03:44:22.820 --> 03:44:25.301]  I mean, it's just, the realities have all been totally distorted.
[03:44:25.301 --> 03:44:28.162]  I want to hit a few calls here, doing a great job today, everybody.
[03:44:28.162 --> 03:44:30.042]  John Redford, other future threats you see.
[03:44:30.042 --> 03:44:30.742]  We've covered them here.
[03:44:30.742 --> 03:44:32.063]  I mean, we're hitting a lot of them here.
[03:44:32.063 --> 03:44:33.883]  I'm worried about assassination of Trump.
[03:44:33.883 --> 03:44:34.944]  I know he's for real.
[03:44:34.944 --> 03:44:35.664]  I mean, he's perfect.
[03:44:36.417 --> 03:44:37.197]  Sure, it's possible.
[03:44:37.197 --> 03:44:38.638]  No question about it.
[03:44:38.638 --> 03:44:40.599]  I mean, it's a time-honored tradition.
[03:45:03.087 --> 03:45:06.329]  Somebody goes up against the established power, you get rid of them.
[03:45:06.329 --> 03:45:08.850]  So, that's always a concern.
[03:45:08.850 --> 03:45:09.350]  Absolutely.
[03:45:09.350 --> 03:45:15.393]  But can't the established power look at the tea leaves and say, we don't want to be dumb like Hitler in the bunker, we want to give up long before that.
[03:45:15.393 --> 03:45:16.593]  Everything we do, we're losing.
[03:45:16.593 --> 03:45:21.436]  Brexit, Russia here, Catalonia, on and on and on, Iceland.
[03:45:22.316 --> 03:45:27.119]  We've got to start pulling back, because even the globalists in some of their publications admit that aren't even public.
[03:45:27.119 --> 03:45:29.520]  I mean, you can get them, but they're not distributed widely.
[03:45:29.520 --> 03:45:31.061]  We really did screw everybody.
[03:45:31.061 --> 03:45:33.303]  Globalism really did make everybody poor, but us.
[03:45:33.303 --> 03:45:35.164]  Our money won't be worth anything in most places.
[03:45:35.164 --> 03:45:39.706]  If society collapses, we might want to actually back off this.
[03:45:39.706 --> 03:45:45.550]  So there's even discussions of, like Stiglitz, the former head of the World Bank, for 15 years he's been saying, we've got to stop this.
[03:45:46.983 --> 03:45:56.546]  Yeah, there is some discussion of it, but they're not going to back off at the highest levels of globalism because they built a structure to rule the world.
[03:45:56.546 --> 03:45:58.307]  The structure's already there.
[03:45:58.307 --> 03:46:04.189]  They're not going to just say, okay guys, let's tear it down because, you know, we're causing too much trouble.
[03:46:04.189 --> 03:46:10.231]  They are causing too much trouble, and one of the things that's going to be happening quite soon, if not already,
[03:46:11.161 --> 03:46:18.404]  Is that CEOs of major corporations are going to be going to the big Rockefeller globalists and saying, hey, guess what?
[03:46:18.404 --> 03:46:21.145]  Our consumer base is shrinking around the world.
[03:46:21.145 --> 03:46:27.728]  You said that if we played your game, that we could be selling more products to everybody and it's not working out.
[03:46:27.728 --> 03:46:29.829]  So what's going on here?
[03:46:29.829 --> 03:46:33.211]  There are divisions within globalism, no question about it.
[03:46:33.211 --> 03:46:40.394]  My main concern is with the intricacies of the Washington power structure and what happens when Trump gets into that.
[03:46:41.054 --> 03:46:58.028]  He's going to have to be nice to the ones that are nice, mean to the ones that are incalcitrant, follow the Constitution, go to the public with a bully pulpit, and he has to run over everyone that threatens him or tries to play kingpin.
[03:46:58.028 --> 03:47:02.752]  He has to run these bastards over, and then when one of them plays a game or does a dirty trick,
[03:47:03.474 --> 03:47:04.315]  Oh, guess what?
[03:47:04.315 --> 03:47:06.497]  You committed all these crimes previously.
[03:47:06.497 --> 03:47:07.438]  You've been indicted.
[03:47:07.438 --> 03:47:09.800]  And this isn't my call for authoritarianism.
[03:47:09.800 --> 03:47:12.322]  This is a foreign authoritarian group, okay?
[03:47:12.322 --> 03:47:17.887]  So, they're lucky we're not like the French with De Gaulle kicking, you know, NATO out and trying to control France.
[03:47:17.887 --> 03:47:21.591]  They're lucky we don't have paratroopers running up, arresting all the CEOs right now, okay?
[03:47:21.591 --> 03:47:24.433]  And I'm not calling for that, but they're the ones that occupied us.
[03:47:24.433 --> 03:47:26.435]  So if they don't back off, the gloves come off.
[03:47:26.435 --> 03:47:26.756]  Right, John?
[03:47:28.171 --> 03:47:28.772]  Yeah, sure.
[03:47:28.772 --> 03:47:31.094]  Let's go.
[03:47:31.094 --> 03:47:33.175]  I'm ready for that anytime.
[03:47:33.175 --> 03:47:41.483]  The thing is, what Trump is saying, and what the people behind him want him to do, are very simple things.
[03:47:41.483 --> 03:47:44.926]  These are not, you know, rocket science type things.
[03:47:44.926 --> 03:47:45.326]  No, I know.
[03:47:45.326 --> 03:47:47.088]  And here's the deal.
[03:47:47.088 --> 03:47:48.929]  We're done calling bluffs.
[03:47:48.929 --> 03:47:54.354]  And everybody's going to say in Washington, you know, Mr. President, you don't really understand how things run here.
[03:47:54.674 --> 03:48:05.302]  I mean, what you're trying to do is to light a fire in a structure that's, you know, five million stories high, and you've got to go up to this floor and that floor and do this and do that and whatever, whatever.
[03:48:05.302 --> 03:48:07.684]  And he's got to keep his head straight.
[03:48:07.684 --> 03:48:15.249]  And the lie is, it isn't really a structure, it's a big fraud built out of endless money and our blood, sweat and tears.
[03:48:15.249 --> 03:48:17.351]  We need to demolition a lot of this stuff anyways.
[03:48:17.351 --> 03:48:18.291]  Exactly.
[03:48:18.291 --> 03:48:18.772]  Exactly.
[03:48:19.292 --> 03:48:22.975]  I mean, I'd love to see him eliminate two or three cabinet posts and just throw everything out.
[03:48:22.975 --> 03:48:23.255]  I agree.
[03:48:23.255 --> 03:48:30.761]  The first thing he should do is go in and reorganize all those things, put agencies together, lay them off, man.
[03:48:30.761 --> 03:48:31.962]  America's been, D.C.'
[03:48:31.922 --> 03:48:33.463]  's the richest city in the world.
[03:48:33.463 --> 03:48:34.764]  They get fatter all the time.
[03:48:34.764 --> 03:48:35.705]  We're hurting.
[03:48:35.705 --> 03:48:45.993]  So until we start getting some wealth, and until our companies get built, and our industry, and our kids, and until we don't have the highest infant mortality in the frickin' industrialized world, you're out on your asses.
[03:48:45.993 --> 03:48:47.054]  Well, and let's be clear, too.
[03:48:47.914 --> 03:48:49.276]  Because I can already see this happening.
[03:48:49.276 --> 03:48:58.390]  If Donald Trump gets in and starts to drain the swamp like he talks about, this is not authoritarianism, this is not a dictator, this is a guy who's getting rid of the corrupt establishment.
[03:48:58.390 --> 03:49:03.697]  He's got a mandate from the people who are in tens of thousands of emails, hundreds of thousands.
[03:49:04.378 --> 03:49:09.281]  Bragging about how we're dumbasses and how they're robbing us and giggling and laughing, okay?
[03:49:09.281 --> 03:49:11.362]  So I want to see indictments.
[03:49:11.362 --> 03:49:13.503]  I want to see these people in prison.
[03:49:13.503 --> 03:49:19.447]  And it will be shocking for the people who have been above the law in this country for decades to finally face justice.
[03:49:19.447 --> 03:49:20.747]  Of course it'll be shocking.
[03:49:20.747 --> 03:49:22.909]  And I can already see what the mainstream media will say.
[03:49:22.909 --> 03:49:23.949]  He's a dictator!
[03:49:23.949 --> 03:49:25.210]  He's an authoritarian!
[03:49:25.210 --> 03:49:26.771]  He's going power crazy!
[03:49:27.071 --> 03:49:29.653]  So we need to be ahead of the curve on that.
[03:49:29.653 --> 03:49:30.534]  Here's the problem.
[03:49:30.534 --> 03:49:37.820]  If he does just go in and try to play patty cake and try to get a few things done and let them all act like they're his friends now, he'll just drift off.
[03:49:37.820 --> 03:49:40.922]  We won't get half of what we need and then we're done.
[03:49:40.922 --> 03:49:43.444]  He really wants to be on this crusade.
[03:49:43.444 --> 03:49:46.046]  These are globalist foreign operatives.
[03:49:46.046 --> 03:49:52.331]  We can absolutely, they've all committed major crimes, and it's time to prosecute them.
[03:49:52.331 --> 03:49:52.951]  And I'm serious.
[03:49:52.951 --> 03:49:55.714]  They either get out of the way and let us fix this country,
[03:49:56.514 --> 03:49:58.535]  Or it's prison.
[03:49:58.535 --> 03:50:01.376]  George Soros has been inciting violence around the world for years.
[03:50:01.376 --> 03:50:03.237]  This man should be in jail.
[03:50:03.237 --> 03:50:07.299]  That's why at the top, Alex, when you and I started talking, that's what we're talking about.
[03:50:07.299 --> 03:50:09.020]  Prosecutions have to go forward.
[03:50:09.020 --> 03:50:10.641]  They can't stop now.
[03:50:10.641 --> 03:50:14.802]  This has to be part of the whole pattern here.
[03:50:14.802 --> 03:50:20.965]  You can't just say, well, and now we're going to have peace with everybody and everybody's... Because they said next year they were going to shut down our free speech.
[03:50:20.965 --> 03:50:22.546]  They've been calling for my arrest.
[03:50:22.546 --> 03:50:23.847]  You can't slow down now.
[03:50:23.847 --> 03:50:24.187]  Sorry, John.
[03:50:24.966 --> 03:50:26.488]  You have to prosecute these people.
[03:50:26.488 --> 03:50:27.349]  You have to arrest them.
[03:50:27.349 --> 03:50:28.770]  You have to put them in jail.
[03:50:28.770 --> 03:50:29.791]  You have to take them to court.
[03:50:29.791 --> 03:50:36.658]  You have to show the evidence and say, OK, massive numbers we're talking about here.
[03:50:36.658 --> 03:50:37.519]  You're out.
