[00:00:00.000 --> 00:00:21.640]  A
[02:48:17.950 --> 02:48:21.950]  You can't say that these people are allowed to rape and pillage and loot with impunity.
[02:48:21.950 --> 02:48:23.950]  You know what the sick part about this is?
[02:48:23.950 --> 02:48:26.950]  It's middle-aged liberal white women that are like, well, you know what?
[02:48:26.950 --> 02:48:32.950]  At least now we don't have to – and even conservative ones – at least now we don't have to put up with police brutality.
[02:48:32.950 --> 02:48:33.950]  Let them have their –
[02:48:33.950 --> 02:48:39.950]  I was about to say, and no defense of any group, but the average black folks are upset about the crime exploding
[02:48:39.950 --> 02:48:41.950]  and how they're allowing these people to do this.
[02:48:41.950 --> 02:48:43.950]  This is a larger plan.
[02:48:43.950 --> 02:48:46.950]  I think it's time for another government shutdown.
[02:48:46.950 --> 02:48:48.950]  I think that it's time for the people –
[02:48:48.950 --> 02:48:49.950]  That was my next question.
[02:48:49.950 --> 02:48:50.950]  Stu Peters, you're a smart guy.
[02:48:50.950 --> 02:48:51.950]  I respect you.
[02:48:51.950 --> 02:48:52.950]  How do we fight this?
[02:48:52.950 --> 02:48:56.950]  Not just know the lockdown's coming, know the rollout's here incrementally.
[02:48:56.950 --> 02:49:00.950]  How do we stop it dead in its tracks?
[02:49:00.950 --> 02:49:07.950]  You know, it's going to take not another presidential candidate.
[02:49:07.950 --> 02:49:09.950]  It's not going to take a Vivek Ramaswamy.
[02:49:09.950 --> 02:49:12.950]  It's not going to take an RFK who's a liberal.
[02:49:12.950 --> 02:49:13.950]  It's not going to take Donald Trump.
[02:49:13.950 --> 02:49:14.950]  No.
[02:49:14.950 --> 02:49:19.950]  This country does not need another presidential candidate or another actor.
[02:49:19.950 --> 02:49:23.950]  What this country needs is like a William Wallace.
[02:49:24.950 --> 02:49:35.950]  I mean, this is the leader of a real opposition that is going to sacrifice and take major risks.
[02:49:35.950 --> 02:49:36.950]  They're going to risk their own life.
[02:49:36.950 --> 02:49:39.950]  They're going to risk the safety of their children.
[02:49:39.950 --> 02:49:43.950]  They're going to risk imprisonment for wrong think or saying the wrong thing.
[02:49:43.950 --> 02:49:50.950]  They're going to act in accordance with the Constitution that was built on blood and death
[02:49:50.950 --> 02:49:53.950]  and imprisonment and torture and misery.
[02:49:53.950 --> 02:50:00.950]  It's going to take somebody to actually lead millions of people to tear down and abolish
[02:50:00.950 --> 02:50:05.950]  a government that has become murderously oppressive to God-given inherent inalienable rights.
[02:50:05.950 --> 02:50:07.950]  Aren't the globals their own enemy?
[02:50:07.950 --> 02:50:09.950]  They're destroying the dollar.
[02:50:09.950 --> 02:50:10.950]  They're losing the Ukraine war.
[02:50:10.950 --> 02:50:12.950]  China's turned against them.
[02:50:12.950 --> 02:50:13.950]  I mean, they are screwed.
[02:50:13.950 --> 02:50:16.950]  The globalists are bad managers.
[02:50:16.950 --> 02:50:17.950]  I don't know.
[02:50:17.950 --> 02:50:18.950]  I don't know if they're bad managers or not.
[02:50:18.950 --> 02:50:23.950]  I mean, the first fake pandemic closed down, what, 33 percent of small businesses.
[02:50:23.950 --> 02:50:28.950]  It killed seven plus million worldwide, as so they say.
[02:50:28.950 --> 02:50:29.950]  Twenty million.
[02:50:29.950 --> 02:50:30.950]  These people, by the way, were murdered in the hospital.
[02:50:30.950 --> 02:50:31.950]  We know that.
[02:50:31.950 --> 02:50:32.950]  They were brought in.
[02:50:32.950 --> 02:50:33.950]  They were sedated.
[02:50:33.950 --> 02:50:34.950]  They were separated from their families.
[02:50:34.950 --> 02:50:35.950]  They were put on toxic remdesivir.
[02:50:35.950 --> 02:50:36.950]  They had a ventilator shoved down their throat.
[02:50:36.950 --> 02:50:40.950]  And then hospitals got paid $350,000 for everybody that got the remdesivir.
[02:50:41.950 --> 02:50:44.950]  What do the psychotic globalists think they're going to do, killing all these people?
[02:50:44.950 --> 02:50:45.950]  I don't know.
[02:50:45.950 --> 02:50:48.950]  But how many more millions are they going to kill if somebody doesn't step up?
[02:50:48.950 --> 02:50:51.950]  I mean, the reality is that the target are the elderly.
[02:50:51.950 --> 02:50:52.950]  The targets are the weak.
[02:50:52.950 --> 02:50:54.950]  The targets are the infirm.
[02:50:54.950 --> 02:50:58.950]  That's who these monsters are out to kill, and children.
[02:50:58.950 --> 02:51:04.950]  And they use this great threat against the elderly and the weak to manipulate the rest of us,
[02:51:04.950 --> 02:51:08.950]  to scare weak-minded people who do what their television tells them to do.
[02:51:09.950 --> 02:51:12.950]  We absolutely cannot allow ourselves to be manipulated.
[02:51:12.950 --> 02:51:13.950]  I agree.
[02:51:13.950 --> 02:51:15.950]  Stu Peters, how do you see this unfolding?
[02:51:15.950 --> 02:51:16.950]  StuPeters.com.
[02:51:16.950 --> 02:51:18.950]  How do you see this unfolding?
[02:51:18.950 --> 02:51:19.950]  I see a lot of death.
[02:51:19.950 --> 02:51:27.950]  I see imminent times of great deception and trials and tribulation as biblically promised.
[02:51:27.950 --> 02:51:30.950]  This is the only source of real truth, God's word, the gospel.
[02:51:30.950 --> 02:51:32.950]  And this is coming.
[02:51:32.950 --> 02:51:36.950]  When people say, well, nothing can stop what is coming, yeah, you're damn right.
[02:51:36.950 --> 02:51:38.950]  But we're commanded to pick up the sword and fight.
[02:51:38.950 --> 02:51:42.950]  And I'm getting really irritated with the people who want to bitch and complain about it on Twitter.
[02:51:42.950 --> 02:51:48.950]  I'm getting really tired about bitching and complaining about it on this show and your show and my show and every other show.
[02:51:48.950 --> 02:51:50.950]  I'm getting really tired of it.
[02:51:50.950 --> 02:51:57.950]  I mean, we have seen people executed for less when they are found guilty of crimes, much far less.
[02:51:57.950 --> 02:52:03.950]  So why don't we have one fake politician, because they're all fake, I just answered my own question,
[02:52:03.950 --> 02:52:06.950]  saying this needs to happen right now.
[02:52:06.950 --> 02:52:09.950]  No, the marshals need to go and they need to arrest these people immediately.
[02:52:09.950 --> 02:52:15.950]  We need to seize and incinerate every single Big Pharma shot out here from Pfizer and Big Pharma, gone.
[02:52:15.950 --> 02:52:23.950]  And then we need to Nuremberg to the people that are responsible for deploying weapons of bio-warfare against unsuspecting innocent Americans, including children.
[02:52:23.950 --> 02:52:27.950]  These are the most heinous crimes in the history of planet Earth.
[02:52:27.950 --> 02:52:28.950]  We're facing them.
[02:52:28.950 --> 02:52:29.950]  We're living it right now.
[02:52:29.950 --> 02:52:31.950]  And all I see coming is more death.
[02:52:32.950 --> 02:52:34.950]  And maybe it'll be too late by then.
[02:52:34.950 --> 02:52:42.950]  But until people rise up, stand up, and fight back and go on the offense against murderers who are targeting your children,
[02:52:42.950 --> 02:52:46.950]  I mean, I don't understand why they wouldn't just continue to do it.
[02:52:46.950 --> 02:52:51.950]  No, I agree, but they can't be happy that we got the intel last week right before they launched it.
[02:52:51.950 --> 02:52:58.950]  What shows the power of the Internet, if people get upset and share something, whether it's your show or my show or Tucker's show or any of these,
[02:52:58.950 --> 02:53:01.950]  that's really where the power is, is people.
[02:53:01.950 --> 02:53:03.950]  That's right.
[02:53:03.950 --> 02:53:06.950]  And so how many do we have and how many do we need?
[02:53:06.950 --> 02:53:17.950]  I don't believe that we're the minority like MSNBC and these purple-haired freak shows on mainstream media want to tell you that we're like some alt-right fringe lunatics.
[02:53:17.950 --> 02:53:18.950]  I don't believe that.
[02:53:18.950 --> 02:53:21.950]  I don't believe that at all because I'm out in public actually talking to people.
[02:53:21.950 --> 02:53:23.950]  I'm in real spaces.
[02:53:23.950 --> 02:53:24.950]  I'm a normal guy.
[02:53:24.950 --> 02:53:26.950]  I go out and I actually talk to people.
[02:53:26.950 --> 02:53:36.950]  And everyone that I see, no matter where I'm at, whether it's dining or wherever, baseball fields, hockey arenas because I'm always with my kids, I talk to other parents.
[02:53:36.950 --> 02:53:37.950]  I listen to them.
[02:53:37.950 --> 02:53:39.950]  Everybody is so fed up.
[02:53:39.950 --> 02:53:41.950]  I believe that we're at a breaking point.
[02:53:41.950 --> 02:53:43.950]  And what that's going to look like, I don't know.
[02:53:43.950 --> 02:53:47.950]  But what I can see and what I can imagine is not pretty.
[02:53:47.950 --> 02:53:52.950]  And if we cannot politically defeat them, which I believe there is no more political solutions.
[02:53:52.950 --> 02:53:53.950]  We've tried everything.
[02:53:53.950 --> 02:53:59.950]  I mean every single branch of our bureaucracy is completely infiltrated, has been overtaken, and has been hijacked.
[02:53:59.950 --> 02:54:01.950]  We are an occupied nation.
[02:54:01.950 --> 02:54:06.950]  We are being occupied by an illegitimate regime that took power via Marxist coup d'etat.
[02:54:06.950 --> 02:54:09.950]  So we're not in the middle of like some takeover.
[02:54:09.950 --> 02:54:11.950]  We're not in the middle of some coup.
[02:54:11.950 --> 02:54:12.950]  The coup isn't about to happen.
[02:54:12.950 --> 02:54:13.950]  No, it already happened.
[02:54:13.950 --> 02:54:16.950]  And so how are we going to respond to that?
[02:54:17.950 --> 02:54:21.950]  How can we respond when there's no political solution, when the judiciary has been hijacked,
[02:54:21.950 --> 02:54:25.950]  when cops who defend themselves or protect the public are innocents,
[02:54:25.950 --> 02:54:28.950]  women and children from being raped or kidnapped or trafficked or molested.
[02:54:28.950 --> 02:54:34.950]  The cop is now being arrested and faces quadruple jeopardy between civil rights violations.
[02:54:34.950 --> 02:54:35.950]  Where do you go?
[02:54:35.950 --> 02:54:42.950]  I'm now seeing confirmed reports out of Georgia where people take somebody's house over with guns
[02:54:42.950 --> 02:54:44.950]  and the police say it belongs to them.
[02:54:46.950 --> 02:54:53.950]  And so I ask you, when the country has fallen into the complete absence of the rule of law,
[02:54:53.950 --> 02:54:56.950]  whose shoulders does that fall on?
[02:54:56.950 --> 02:55:03.950]  Who is responsible then for protecting the rights, the liberty, the prosperity, the life,
[02:55:03.950 --> 02:55:06.950]  and the property that belongs to them?
[02:55:06.950 --> 02:55:08.950]  And will it be a one-off?
[02:55:08.950 --> 02:55:11.950]  And then does somebody just go to jail?
[02:55:11.950 --> 02:55:18.950]  Or collectively as a country who loves this country and just desperately aspires to leave a better country
[02:55:18.950 --> 02:55:20.950]  for our children and grandchildren.
[02:55:20.950 --> 02:55:22.950]  That's our number one job, our only job here.
[02:55:22.950 --> 02:55:23.950]  Well, that's the thing.
[02:55:23.950 --> 02:55:25.950]  The globalists control the country.
[02:55:25.950 --> 02:55:28.950]  Why are they starting a fight that will destroy them too?
[02:55:28.950 --> 02:55:32.950]  Because they have such fundamental hatred that we were founded on Christian values.
[02:55:32.950 --> 02:55:34.950]  It is a satanic agenda.
[02:55:34.950 --> 02:55:36.950]  It's 100 percent a satanic agenda.
[02:55:36.950 --> 02:55:37.950]  We've been saying for how long?
[02:55:37.950 --> 02:55:39.950]  This is a war of good versus evil.
[02:55:39.950 --> 02:55:40.950]  This is coming.
[02:55:40.950 --> 02:55:41.950]  This is here.
[02:55:41.950 --> 02:55:50.950]  There is nobody that is protected from Satan so long as you allow him to continue to use outside influences and platforms.
[02:55:50.950 --> 02:55:55.950]  Because the greatest lie ever that Satan can tell is that he's not real, that he doesn't exist, that hell is fake.
[02:55:55.950 --> 02:56:01.950]  You see this all over the demonic X platform, which of course we use because we want to get our voice out everywhere.
[02:56:01.950 --> 02:56:04.950]  I've always said air the Stu Peter show at HillaryClinton.com.
[02:56:04.950 --> 02:56:05.950]  I don't care.
[02:56:05.950 --> 02:56:06.950]  I'll speak anywhere.
[02:56:06.950 --> 02:56:07.950]  The message is the same.
[02:56:07.950 --> 02:56:10.950]  And the message is if not us, then whom?
[02:56:10.950 --> 02:56:12.950]  Who else is going to protect your kids?
[02:56:12.950 --> 02:56:14.950]  So what do you really think of Elon Musk?
[02:56:16.950 --> 02:56:22.950]  I don't think that anybody who wants to put a chip in your brain and control your thoughts, memories, and future actions is really about the freedom of speech.
[02:56:22.950 --> 02:56:29.950]  I don't think somebody who hires a World Economic Forum slave called Linda Iaccarino, an NBC executive, who's calling for more censorship to be really all about free speech.
[02:56:29.950 --> 02:56:30.950]  I think you have to call it what it is.
[02:56:30.950 --> 02:56:33.950]  Until he proves otherwise, I don't believe him to be on our team.
[02:56:33.950 --> 02:56:45.950]  I mean he's offering to pay top influencers who attract a lot of attention while in the meantime saying advertisers who are more advertiser friendly or influencers who are more advertiser friendly will get paid, which means that, of course, the same playbook is the same.
[02:56:45.950 --> 02:56:46.950]  Liberals will get paid.
[02:56:46.950 --> 02:56:48.950]  Conservatives will be out of business.
[02:56:48.950 --> 02:56:49.950]  I agree.
[02:56:49.950 --> 02:56:50.950]  Shifting gears.
[02:56:50.950 --> 02:56:51.950]  We're almost out of time.
[02:56:51.950 --> 02:56:52.950]  I appreciate your time.
[02:56:52.950 --> 02:56:53.950]  Wow.
[02:56:53.950 --> 02:56:54.950]  Didn't Maui blow up in their face?
[02:56:54.950 --> 02:56:55.950]  Biden tried to ignore it.
[02:56:55.950 --> 02:56:56.950]  Now he's racing there.
[02:56:56.950 --> 02:56:58.950]  It seemed to really wake people up.
[02:56:59.950 --> 02:57:00.950]  Maui was murder.
[02:57:00.950 --> 02:57:07.950]  You know, I mean, these kids that were at home with no warning sirens when those sirens are tested regularly.
[02:57:07.950 --> 02:57:08.950]  Some of the most advanced.
[02:57:08.950 --> 02:57:09.950]  I mean, they're on an island.
[02:57:09.950 --> 02:57:13.950]  These are some of the most advanced warning sirens in the entire republic.
[02:57:13.950 --> 02:57:15.950]  And they never went on.
[02:57:15.950 --> 02:57:16.950]  They knew this was coming.
[02:57:16.950 --> 02:57:17.950]  It was dry.
[02:57:17.950 --> 02:57:18.950]  They killed these kids.
[02:57:18.950 --> 02:57:19.950]  It was our government that killed them.
[02:57:19.950 --> 02:57:20.950]  Prove me wrong.
[02:57:21.950 --> 02:57:23.950]  Stu Peters at StuPeters.com.
[02:57:23.950 --> 02:57:26.950]  Thank you so much for the time.
[02:57:26.950 --> 02:57:28.950]  I want to get you back up.
[02:57:28.950 --> 02:57:29.950]  You know what?
[02:57:29.950 --> 02:57:30.950]  Do five more minutes.
[02:57:30.950 --> 02:57:31.950]  Now you got to go.
[02:57:31.950 --> 02:57:32.950]  We got to go over for two minutes.
[02:57:32.950 --> 02:57:36.950]  I want to come back and get your take on the Trump indictments and where you see the election going.
[02:57:36.950 --> 02:57:40.950]  We'll get Stu Peters take in 120 seconds.
[02:57:40.950 --> 02:57:42.950]  Or 100, whatever.
[02:57:42.950 --> 02:57:43.950]  What's 60 plus 60?
[02:57:43.950 --> 02:57:44.950]  Yeah.
[02:57:44.950 --> 02:57:45.950]  We'll be right back.
[02:57:46.950 --> 02:57:51.950]  Coffee has not been available at InfoWarsTore.com for two years because the price went up too
[02:57:51.950 --> 02:57:53.950]  high and the quality was starting to go down.
[02:57:53.950 --> 02:57:57.950]  I turned out so many other producers that wanted to partner with us.
[02:57:57.950 --> 02:58:00.950]  But when the folks at Minuteman came to me a year ago and I began to try their coffees,
[02:58:00.950 --> 02:58:01.950]  I was blown away.
[02:58:01.950 --> 02:58:06.950]  We finally have three great coffees that are the best they have to offer available to you
[02:58:06.950 --> 02:58:07.950]  right now.
[02:58:07.950 --> 02:58:09.950]  This is the best coffee I've ever tasted.
[02:58:09.950 --> 02:58:10.950]  It smells amazing.
[02:58:10.950 --> 02:58:13.950]  And it's some of the strongest coffee I've ever drank.
[02:58:13.950 --> 02:58:19.950]  Ladies and gentlemen, these three single source Colombian coffees are now available at InfoWarsTore.com
[02:58:19.950 --> 02:58:20.950]  exclusively.
[02:58:20.950 --> 02:58:23.950]  Escape the Prison Planet Light Roast.
[02:58:23.950 --> 02:58:24.950]  Tastes great.
[02:58:24.950 --> 02:58:25.950]  It's the strong one.
[02:58:25.950 --> 02:58:26.950]  Really strong.
[02:58:26.950 --> 02:58:27.950]  But these are all close second and thirds.
[02:58:27.950 --> 02:58:28.950]  Medium Roast.
[02:58:28.950 --> 02:58:29.950]  Wake of America.
[02:58:29.950 --> 02:58:30.950]  Woo!
[02:58:30.950 --> 02:58:31.950]  That's my go-to.
[02:58:31.950 --> 02:58:32.950]  Dark Roast.
[02:58:32.950 --> 02:58:33.950]  Tip of the Spear.
[02:58:33.950 --> 02:58:36.950]  Tastes the best and is amazing and is still very, very strong.
[02:58:36.950 --> 02:58:37.950]  Gives you that pep.
[02:58:37.950 --> 02:58:41.950]  They're all three available at InfoWarsTore.com and they fund our operation.
[02:58:41.950 --> 02:58:44.950]  And each order gets a Pocket Constitution Citizen Rulebook.
[02:58:45.950 --> 02:58:49.950]  Alex Jones here in the next 60 seconds with some very exciting announcements.
[02:58:49.950 --> 02:58:51.950]  Phyton Mineral Fusion is a bestseller.
[02:58:51.950 --> 02:58:52.950]  It's an amazing product.
[02:58:53.950 --> 02:58:54.950]  All the key amino acids.
[02:58:54.950 --> 02:58:55.950]  All the essential vitamins.
[02:58:55.950 --> 02:58:56.950]  All the essential minerals.
[02:58:56.950 --> 02:59:00.950]  That means everything you need to live and be healthy in one tasty, delicious powder
[02:59:00.950 --> 02:59:05.950]  that you put in a pitcher, mix up, drink in the morning, lunch, nighttime, middle of the night.
[02:59:05.950 --> 02:59:07.950]  It is simply amazing.
[02:59:07.950 --> 02:59:09.950]  And it empowers your immune system and your whole body.
[02:59:09.950 --> 02:59:11.950]  It's back in stock.
[02:59:11.950 --> 02:59:13.950]  Discounted at InfoWarsTore.com.
[02:59:13.950 --> 02:59:15.950]  You can get 10% off for signing up for AutoShip.
[02:59:15.950 --> 02:59:17.950]  We got double Patriot points.
[02:59:17.950 --> 02:59:19.950]  That's 10% off on your next order right now.
[02:59:19.950 --> 02:59:21.950]  All of that is available at InfoWarsTore.com.
[02:59:21.950 --> 02:59:27.950]  Things like 3,000 mg CBD oil that just does over-the-top things for your neurological system,
[02:59:27.950 --> 02:59:29.950]  your joints, your bones, and so much more.
[02:59:29.950 --> 02:59:30.950]  Try it.
[02:59:30.950 --> 02:59:31.950]  I know you're going to love it.
[02:59:31.950 --> 02:59:32.950]  And it funds the InfoWar.
[02:59:32.950 --> 02:59:35.950]  Also try the 1,000 mg salve for your joints and bones.
[02:59:35.950 --> 02:59:40.950]  It's under the private label RebelsIn at InfoWarsTore.com.
[02:59:40.950 --> 02:59:41.950]  Check it out.
[02:59:41.950 --> 02:59:42.950]  So many other great products.
[02:59:42.950 --> 02:59:44.950]  Go to InfoWarsTore.com right now.
[02:59:47.300 --> 02:59:54.300]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:00:01.300 --> 03:00:07.300]  Talk show host, documentary filmmaker Stu Peters is our guest on this live Tuesday broadcast.
[03:00:10.300 --> 03:00:14.300]  Big Brother, mainstream media, government cover-ups.
[03:00:15.300 --> 03:00:18.300]  You want to stop tyranny? Well, so does he.
[03:00:19.300 --> 03:00:23.300]  Live from the InfoWars.com studios, it's Alex Jones.
[03:00:24.300 --> 03:00:26.300]  Alright, Stu. Thank you so much.
[03:00:27.300 --> 03:00:28.300]  StuPeters.com
[03:00:29.300 --> 03:00:32.300]  What is your take on the election, on the election meddling, the indictments of Trump?
[03:00:33.300 --> 03:00:34.300]  How do you see the election playing out?
[03:00:35.300 --> 03:00:38.300]  Well, I think the elections are fake and gay and rigged and stolen, number one.
[03:00:39.300 --> 03:00:41.300]  I don't think we have a democratic process. I don't think that's how things are done.
[03:00:42.300 --> 03:00:43.300]  I think that people are selected.
[03:00:44.300 --> 03:00:46.300]  You want to talk about the Trump indictments? Here's what's happening there.
[03:00:47.300 --> 03:00:48.300]  This is symbolic.
[03:00:49.300 --> 03:00:58.300]  The Trump indictment is symbolic of what's going to happen to anybody who shares a message of a 2015 platform into a 2016 President Trump presidency,
[03:00:59.300 --> 03:01:04.300]  which was a dissident to the American government, an advocate for freedom and individual liberty,
[03:01:05.300 --> 03:01:08.300]  somebody who was going to go in and crush the deep state, protect the borders of this nation,
[03:01:09.300 --> 03:01:11.300]  activate the military, make it as strong as it could ever be,
[03:01:11.300 --> 03:01:16.300]  end or cease to have any foreign wars to enrich the military-industrial complex,
[03:01:17.300 --> 03:01:22.300]  lock up criminals, starting with Hillary Clinton, build a big, beautiful wall with some nice door in it so people could pay to get in or whatever.
[03:01:23.300 --> 03:01:29.300]  These were the messages, the economy, I mean, all these, these were the messages that spoke to the hearts of real, true Americans.
[03:01:30.300 --> 03:01:32.300]  And so what these are is these are a symbolic message.
[03:01:33.300 --> 03:01:34.300]  Make no mistake, this is a message to you.
[03:01:35.300 --> 03:01:41.300]  If you want to be a dissident to this authoritarian overtaking of your country,
[03:01:42.300 --> 03:01:50.300]  if you want to speak out against these draconian lockdowns and this satanic agenda that will mutilate the genitals of your children without your express written consent, without even your knowledge,
[03:01:51.300 --> 03:01:54.300]  if you don't want to give us your kids to have sexual access to them unfettered,
[03:01:55.300 --> 03:02:01.300]  if you don't want to put that mask on, live in your pod, in your 15-minute city, eat bugs, be happy, never own anything,
[03:02:01.300 --> 03:02:04.300]  then you will be imprisoned or killed.
[03:02:05.300 --> 03:02:12.300]  And I don't know if they make Trump go away by just having this kangaroo court, you know, Banana Republic show trial and then some fake conviction
[03:02:13.300 --> 03:02:18.300]  and send him to some gulag for the rest of his life like the POWs who sacrificed for him to go out and show their support.
[03:02:19.300 --> 03:02:22.300]  I don't know if they'll do that or if that's enough or if they'll just permanently get rid of him.
[03:02:23.300 --> 03:02:25.300]  We have to table the possibility that they're going to kill President Trump.
[03:02:25.300 --> 03:02:31.300]  And I don't put it past them. If they're willing to murder millions of people, including innocent children by the thousands or tens of thousands,
[03:02:32.300 --> 03:02:39.300]  you don't think that they'll go after the blood of the one man that they believe is leading the charge of any dissonance to this authoritarian overtaking?
[03:02:40.300 --> 03:02:51.300]  And if you want to know the real reason, in my opinion, this big, huge push behind this transgender freak show, indoctrination, overtaking, protected class, minor attracted persons,
[03:02:52.300 --> 03:02:55.300]  they're not pedophiles anymore. These are actually a protected class of people.
[03:02:56.300 --> 03:03:02.300]  If you want to know my opinion on why this is happening all of a sudden, it's because the guy pretending to be Michelle Obama
[03:03:03.300 --> 03:03:09.300]  is who they're going to position to fill Joe Biden's diaper, to install him as this woman, her first black tranny president.
[03:03:10.300 --> 03:03:13.300]  I don't know what they're going to call him, it, whatever. I don't care what their pronouns are.
[03:03:13.300 --> 03:03:28.300]  That's what the agenda is here. A Michelle Obama presidency, a complete finish to the unfettered access to children, the mass injections and death by the millions.
[03:03:29.300 --> 03:03:31.300]  This is what they have been dreaming. And they have to shoot their shot right now.
[03:03:32.300 --> 03:03:35.300]  They have to shoot their shot because like you said, you came out with that exclusive.
[03:03:36.300 --> 03:03:42.300]  The cards are all on the table and we can see their hand and they're still expecting us to play that game by their rules.
[03:03:43.300 --> 03:03:49.300]  And so now it's time for them to either try to run the table or to get up with their sunglasses left behind and run.
[03:03:50.300 --> 03:03:56.300]  They're going to either run like cowards from people who are really willing to stand up and say, we know what you're doing and we'll tolerate it no more.
[03:03:57.300 --> 03:04:04.300]  And if you come here, we will protect ourselves with legal and extra legal authority, or we're going to be completely overtaken.
[03:04:05.300 --> 03:04:07.300]  The choice is in the hands of millions of Americans.
[03:04:08.300 --> 03:04:12.300]  Stu Peters, amazing job. StuPeters.com. Tell folks when your show airs daily.
[03:04:13.300 --> 03:04:17.300]  Daily, 6 p.m. Eastern, StuPeters.com, or of course we're streaming on Rumble as well.
[03:04:18.300 --> 03:04:21.300]  And I do go live on Rumble too, spur of the moment occasionally to get interaction from people I like.
[03:04:22.300 --> 03:04:25.300]  All right, amazing job. I think you're 100% dead on. Thank you so much for the time, Stu Peters.
[03:04:26.300 --> 03:04:28.300]  Thank you so much, Alex Jones. Much respect.
[03:04:29.300 --> 03:04:31.300]  Much respect to you. All right, we're going to hand the baton. The next guest does for us the hour.
[03:04:32.300 --> 03:04:35.300]  We come back, a few other items, and then Owen Schroer in about 55 minutes takes over.
[03:04:36.300 --> 03:04:40.300]  3 p.m. Central, The Owen Schroer Show, The War Room. So powerful.
[03:04:41.300 --> 03:04:42.300]  Please share the links. Please share the articles.
[03:04:43.300 --> 03:04:46.300]  Owen Schroer, one hour from now, or a little bit less, 55 minutes from now.
[03:04:47.300 --> 03:04:51.300]  Infowars.com. We'll be right back to introduce the next guest host. Please stay with us.
[03:04:51.300 --> 03:05:04.300]  When I tell you we have the ultimate bone broth, hands down, this is the most concentrated, high-quality bone broth there is.
[03:05:05.300 --> 03:05:11.300]  Concentrated chicken broth, patented amazing. Then a huge dose of chaga mushroom, a massive dose of beet pollen,
[03:05:12.300 --> 03:05:17.300]  a gigantic dose of highest quality turmeric, and then it just gets crazier from there.
[03:05:17.300 --> 03:05:21.300]  It's about to sell out. We haven't had it in stock for years. This first new run is about to sell out.
[03:05:22.300 --> 03:05:27.300]  Get it discounted right now, 40% off at Infowars.com, and it funds our operation.
[03:05:28.300 --> 03:05:33.300]  And once you get addicted to it, once you get blown away by it, once you feel your joints, your energy, your stamina accelerate,
[03:05:34.300 --> 03:05:37.300]  then become a regular customer for Bone Broth, Infowars.com.
[03:05:38.300 --> 03:05:42.300]  Whatever you do, spread the word about Infowars, about the live show, and about all the other great products,
[03:05:42.300 --> 03:05:46.300]  because these are great products that empower your life, plus they fund our operation.
[03:05:47.300 --> 03:05:56.300]  Go to Infowars.com right now. We're selling out ultimate bone broth at Infowars.com, 40% off, about to sell out.
[03:05:56.300 --> 03:06:12.300]  We are now into hour number four, and Dr. Leigh Merritt of The Rebel Doctor, TheMedicalRebel.com, TheMedicalRebel.com, takes over.
[03:06:13.300 --> 03:06:18.300]  She is a firebrand, super smart, has been dead on for three and a half years about what's happening.
[03:06:19.300 --> 03:06:24.300]  She takes over now, and then in one hour, Owen Schroer, I want to thank you all for your support.
[03:06:24.300 --> 03:06:30.300]  We're living in very historic times that you've seen with us dominating the news and getting ahead of their attempts at new lockdowns,
[03:06:31.300 --> 03:06:33.300]  that you have power when you get excited and you spread the word.
[03:06:34.300 --> 03:06:40.300]  So I want to tell you all, great job, and I thank you so much for your efforts, and to keep promoting Infowars.com for its live show.
[03:06:41.300 --> 03:06:46.300]  Keep taking clips out of the show, keep sharing it everywhere, and keep supporting us at Infowars.com.
[03:06:47.300 --> 03:06:51.300]  Dr. Leigh Merritt, TheMedicalRebel.com, takes over now. Dr. Merritt.
[03:06:52.300 --> 03:06:56.300]  Thank you very much. Thanks for inviting me.
[03:06:57.300 --> 03:07:03.300]  Well, I know you guys have done a whole bunch on the Maui thing, but I want to come at it from just a little bit different angle,
[03:07:04.300 --> 03:07:10.300]  and I'm sorry because of technical errors, I couldn't show the slides I had ready, but I have a guest on a little bit to talk about this.
[03:07:11.300 --> 03:07:16.300]  So I just spoke at Red Pill, and my Red Pill talk was, It's Time to Name the Enemy.
[03:07:16.300 --> 03:07:26.300]  You know, what's shocking to me is that on December 7, 1941, we were bombed by the Japanese, and we understood right away we were at war.
[03:07:27.300 --> 03:07:31.300]  But we keep trying to talk this one away as if it's some kind of natural thing,
[03:07:32.300 --> 03:07:37.300]  and I'm very glad Alex and you guys have brought out that this is an attack on our country, and it's not the first one.
[03:07:38.300 --> 03:07:43.300]  Unfortunately, we weren't paying attention with the people complaining about this in California,
[03:07:43.300 --> 03:07:50.300]  and there was a forensic arborist at Red Pill who showed all the pictures from California, from Canada, and now from Maui,
[03:07:51.300 --> 03:07:58.300]  that this cannot be natural occurring fires. The fires don't, you know, melt metal and leave trees standing right next to it,
[03:07:59.300 --> 03:08:05.300]  or as you probably saw the blue, that when I saw the blue umbrellas left behind,
[03:08:06.300 --> 03:08:11.300]  I was reminded of my $360,000 laser I used to use to take off tattoos,
[03:08:11.300 --> 03:08:14.300]  in my little office in Omaha.
[03:08:15.300 --> 03:08:20.300]  And, you know, the reason it works that way is because you can dial lasers into different wavelengths
[03:08:21.300 --> 03:08:25.300]  that have different impacts on different colors. Colors are just a different wavelength.
[03:08:26.300 --> 03:08:34.300]  So when you see that sort of thing happening, and then all the other completely irregular activities of the government trying to make it worse,
