[00:00:00.209 --> 00:00:01.770]  What you're witnessing?
[01:05:59.203 --> 01:06:03.767]  The founder and head of Jewish Preservation of Firearms ownership.
[01:06:03.767 --> 01:06:12.394]  Larry Pratt, the man who leads Gunners of America, one of the few real Second Amendment organizations in the country, is our guest.
[01:06:13.678 --> 01:06:28.869]  Larry Pratt, we've seen a great tragedy and out of the gates we know that Virginia Tech had a zero gun policy and had invoked and brought in federal and state laws even though Virginia had a concealed carry where you live and the blood is on their hands.
[01:06:28.869 --> 01:06:31.011]  That is my take on it.
[01:06:31.011 --> 01:06:36.175]  If this happened anywhere where people were able to have guns, this guy would have been blown away in short order.
[01:06:36.175 --> 01:06:38.837]  Instead, this may be one of the biggest mass killings in U.S.
[01:06:38.837 --> 01:06:39.938]  history.
[01:06:39.938 --> 01:06:42.860]  Alex, you're right on the money and one of the
[01:06:43.633 --> 01:07:02.723]  uh... sickening ironies of this tragedy is the uh... virginia tech president who oppose the legislation uh... in the legislature this year that would have opened an exception uh... for concealed carry permit holders to have guns on
[01:07:04.183 --> 01:07:06.384]  And let's explain something to that scumbag.
[01:07:06.384 --> 01:07:10.965]  Criminals and psychopaths are not going to follow the law.
[01:07:10.965 --> 01:07:15.506]  All you do is endanger us, and I'm sick of it!
[01:07:15.506 --> 01:07:25.948]  It's an amazing mindset that assumes that, well, we've said that it's going to be illegal to have a gun on the campus, and so therefore, what's your problem?
[01:07:25.948 --> 01:07:29.228]  It's also illegal to kill 35 people!
[01:07:29.228 --> 01:07:30.289]  Duh!
[01:07:30.289 --> 01:07:32.069]  That one doesn't seem to connect
[01:07:32.529 --> 01:07:49.362]  to these guys and yet the president and I hope these words ring in his ears until the day he dies and preferably it'll be a long time that he spends not being the president of the university well the university is going to be much safer because today that bill died in committee
[01:07:50.407 --> 01:07:52.329]  He said that.
[01:07:52.329 --> 01:07:54.650]  This very piece of trash said that.
[01:07:54.650 --> 01:07:55.831]  Those are his very words.
[01:07:55.831 --> 01:07:59.974]  He was convinced that he was making the university safe.
[01:07:59.974 --> 01:08:03.917]  He hasn't learned anything from any of our history.
[01:08:03.917 --> 01:08:05.458]  This is amazing!
[01:08:05.458 --> 01:08:15.385]  We've got anti-gun activist university that's had two shooting sprees in less than a year on it, with cops and citizens getting blown away.
[01:08:15.385 --> 01:08:17.587]  Listen, Larry, and I know, we've got to seize this.
[01:08:17.807 --> 01:08:21.349]  One of the things to point out, and you're absolutely right, we must be on the offensive.
[01:08:21.349 --> 01:08:25.911]  We're preparing a media statement that says that the problem at Virginia Tech was that there weren't enough guns.
[01:08:25.911 --> 01:08:27.712]  The thing that we can remind these Jaspers of is that
[01:08:46.639 --> 01:08:58.730]  Approximately two hours down the road, still in Virginia, in Grundy, Virginia, there's the Appalachian School of Law, which about four years ago was the scene of something rather similar.
[01:08:58.730 --> 01:09:05.156]  A student, apparently, both students, we think that the shooter today is a student,
[01:09:06.597 --> 01:09:14.182]  Go onto the campus, first victim is a professor and obviously intentions of killing lots more.
[01:09:14.182 --> 01:09:26.230]  At the first sounds of the gunshots, two of the law students went to their cars, which of course were off the campus as the law would require because they had firearms in them.
[01:09:26.230 --> 01:09:31.153]  They got their firearms, they went to the scene of the crime and subdued the killer.
[01:09:31.833 --> 01:09:37.177]  Saving, perhaps, another mass murder of the proportions that we witnessed today.
[01:09:37.177 --> 01:09:43.082]  But there were none of those students today that were able to do that.
[01:09:43.082 --> 01:09:54.570]  Another school shooting that ended rather prematurely from the shooter's point of view was in Pearl, Mississippi, where the assistant principal was able to go, similar scenario, get his gun, stop the shooter.
[01:09:56.835 --> 01:10:05.223]  No, we've gotta wait like Columbine, four hours and fifteen minutes, while the SWAT teams dress up in Darth Vader outfits and do absolutely nothing.
[01:10:05.223 --> 01:10:06.625]  Well, let me just tell everybody something.
[01:10:06.625 --> 01:10:12.470]  Anybody comes in my business, threatening people with a gun, I'm not, we don't call the police, you're gonna die.
[01:10:12.470 --> 01:10:12.991]  We'll be right back.
[01:10:16.616 --> 01:10:20.162]  It's here, after a year in production and traveling to distant lands.
[01:10:20.162 --> 01:10:22.466]  My new film Terror Storm is complete.
[01:10:22.466 --> 01:10:30.119]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:10:30.808 --> 01:10:38.252]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:10:38.252 --> 01:10:49.977]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:10:49.977 --> 01:10:53.959]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:10:53.959 --> 01:10:56.200]  It's an anthology of government crimes.
[01:10:56.200 --> 01:11:00.062]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:11:00.643 --> 01:11:08.097]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:11:13.194 --> 01:11:18.358]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[01:11:18.358 --> 01:11:25.824]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[01:11:25.824 --> 01:11:36.653]  They can purify raw, untreated water by removing pathogenic bacteria, cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[01:11:36.653 --> 01:11:41.497]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[01:11:41.497 --> 01:11:42.218]  Unbelievably
[01:11:42.398 --> 01:11:46.681]  They even remove small micro-particulate from water like food coloring particles.
[01:11:46.681 --> 01:11:49.843]  Yeah, they leave in the nutritional minerals that your body needs.
[01:11:49.843 --> 01:11:59.730]  Moreover, because they are recleanable, black Berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than 2 cents per gallon.
[01:11:59.730 --> 01:12:04.673]  Get a 2-pack for only $99 or a 4-pack for only $188 by calling New Millennium at 888-803-4438.
[01:12:04.673 --> 01:12:06.714]  That's 888-803-4438 or order on the web at berkeywater.com.
[01:12:14.679 --> 01:12:20.541]  This is Jack Blood with the Genesis Radio Network, and I have an urgent message for our listeners.
[01:12:20.541 --> 01:12:25.663]  The mass media keeps telling us that we are the richest, most powerful economy in the world.
[01:12:25.663 --> 01:12:28.784]  If this is true, why can't we pay our bills?
[01:12:28.784 --> 01:12:32.966]  Why is the United States the world's largest debtor nation?
[01:12:32.966 --> 01:12:37.748]  The truth is, is that we are in the worst debt bubble in our nation's history.
[01:12:37.748 --> 01:12:40.869]  When the bubble bursts, will you be able to feed your family?
[01:12:41.508 --> 01:12:45.151]  When the inevitable crash occurs, will you be ready?
[01:12:45.151 --> 01:12:47.332]  Call Whitehurst International at 1-888-892-6238.
[01:12:47.332 --> 01:12:49.433]  That's 1-888-892-6238 for the following two free reports.
[01:12:49.433 --> 01:12:49.774]  U.S.
[01:12:49.774 --> 01:12:51.535]  Debt Bubble Red Alert and Real Estate Crash.
[01:12:51.535 --> 01:12:52.255]  Call 1-888-8XANADU.
[01:12:52.255 --> 01:12:52.736]  That's 1-888-8XANADU.
[01:12:52.736 --> 01:12:53.396]  Ask for George.
[01:13:14.335 --> 01:13:17.099]  He's the T-Rex of political talk.
[01:13:17.099 --> 01:13:19.922]  Alex Jones on the GCN Radio Network.
[01:13:43.115 --> 01:13:44.575]  Welcome back, ladies and gentlemen.
[01:13:44.575 --> 01:13:47.656]  Larry Pratt, the head of Gunners of America, joins us.
[01:13:47.656 --> 01:13:49.676]  And it was hard for him to get a word in edgewise.
[01:13:49.676 --> 01:13:52.317]  I'm so angry about all of this.
[01:13:52.317 --> 01:13:54.197]  I'm tired of these people that come in here.
[01:13:54.197 --> 01:13:56.778]  They've been running our country for the last 40 years.
[01:13:56.778 --> 01:13:59.859]  The control freaks.
[01:13:59.859 --> 01:14:01.619]  And your children could play out on the street.
[01:14:01.619 --> 01:14:05.320]  They could go out and play on the sidewalk or at the park without fear.
[01:14:06.352 --> 01:14:12.275]  And because we have degenerated with the culture, and there are a few more sickos out there, their answer is, come take our guns.
[01:14:12.275 --> 01:14:15.276]  And I've been around mainline liberals, folks.
[01:14:15.276 --> 01:14:27.161]  And I remember one time I was over at my dad's house when I was in college, and one of his friends, the editor of a major magazine, I mean, editor of a national magazine, I'm not going to say which one, he's still there.
[01:14:28.948 --> 01:14:40.455]  You know, friends since I was a little kid was there, and my, for some reason, I was, oh yeah, I was storing my guns there because I was in, you know, college, and I just didn't have a whole bunch of them when I was still in an apartment, but I didn't have all my guns in one spot.
[01:14:40.455 --> 01:14:54.723]  Point is, I came home, was getting a rifle and a handgun, I was going out to the ranch to go do some shooting with friends, and I'm walking out of my parents' bedroom, and then out down the stairs to the living room,
[01:14:55.829 --> 01:15:02.392]  And I've got one in a gun case, and the other is in a little .357 Magnum pistol, you know, a little soft case.
[01:15:02.392 --> 01:15:03.973]  And he goes, what is that?
[01:15:03.973 --> 01:15:04.754]  And I said, it's a gun.
[01:15:04.754 --> 01:15:05.854]  He went, oh!
[01:15:05.854 --> 01:15:09.056]  And he was, like, leaning back on the couch, going, my God, my God!
[01:15:09.056 --> 01:15:11.857]  But he'll see cops all day with machine guns, and he feels safe.
[01:15:11.857 --> 01:15:13.578]  And I went, no, it's no big deal.
[01:15:13.578 --> 01:15:14.198]  They're not loaded.
[01:15:14.198 --> 01:15:15.019]  Oh, they always say that.
[01:15:15.019 --> 01:15:15.679]  And I went, no, no, no, no.
[01:15:16.696 --> 01:15:17.376]  They're not loaded.
[01:15:17.376 --> 01:15:18.817]  The ammo's out in my car.
[01:15:18.817 --> 01:15:19.917]  But it's no big deal if they were.
[01:15:19.917 --> 01:15:21.818]  I've been talking gun safety since I was a child.
[01:15:21.818 --> 01:15:22.838]  My dad's like, it's alright.
[01:15:22.838 --> 01:15:23.178]  Here, look.
[01:15:23.178 --> 01:15:24.539]  And he got it and unzipped it.
[01:15:24.539 --> 01:15:25.579]  And he goes, see, it's unloaded.
[01:15:25.579 --> 01:15:25.699]  Look.
[01:15:25.699 --> 01:15:28.120]  And he was going, oh!
[01:15:28.120 --> 01:15:30.541]  I mean, literally just, oh, oh!
[01:15:30.541 --> 01:15:37.223]  Like it was a King Cobra had come in and it opened up its fan and was about to strike, dripping venom.
[01:15:37.223 --> 01:15:43.725]  Larry Pratt, how do we... Now, of course, the government wants to disarm us, to enslave us and control us, but there really is a mass of people out there that just don't get it, Larry.
[01:15:44.634 --> 01:15:53.696]  ...to a mindset that is very much a problem and is contributing to a worsening in our country of the perception of guns.
[01:15:53.696 --> 01:16:00.857]  It's the zero tolerance, which it sounds like your editor friend may have been one of the originators of.
[01:16:00.857 --> 01:16:11.939]  If you see a gun, wet your pants, suck your thumb, and just basically be immobile until the big brave man with his bulletproof vest gets there to save you.
[01:16:13.100 --> 01:16:19.444]  It's the most incredible, I'm helpless, save-me-from-myself kind of way of thinking.
[01:16:19.444 --> 01:16:26.549]  And it's a very dangerous way of thinking, as we've just seen so sickeningly today at Virginia Tech.
[01:16:26.549 --> 01:16:31.692]  One of the early accounts depicted something that was right out of Columbine.
[01:16:31.692 --> 01:16:42.039]  Students were reported to have been cowering in their classrooms, under their desks, trying to do whatever they could to remain safe.
[01:16:42.780 --> 01:16:48.185]  Well, the best thing they could have done to remain safe would have been to pull out a piece and go get the bum.
[01:16:48.185 --> 01:16:57.895]  And because they were victim disarmed, they should have gone rampage to kick out the wire mesh, you know, like animals in a sinking ship clawing to get out.
[01:16:57.895 --> 01:17:00.077]  They should have been up against the edge of the door.
[01:17:00.077 --> 01:17:02.920]  The minute that person comes in, you just savagely attack them.
[01:17:03.800 --> 01:17:06.062]  I mean, if you can't escape, you might as well fight!
[01:17:06.062 --> 01:17:11.705]  If you're going to take a bullet, you might as well charge the piece of dirt, because, well, you might take a bullet.
[01:17:11.705 --> 01:17:12.205]  Ha!
[01:17:12.205 --> 01:17:13.506]  Duh!
[01:17:13.506 --> 01:17:16.288]  But you're not going to kneel down while they splatter your brains everywhere.
[01:17:16.288 --> 01:17:24.553]  You're going to probably take one in the gut of the shoulder and live, and then others are going to pile on and help you, and that son of a bitch, excuse my French, isn't going to be able to kill you.
[01:17:25.073 --> 01:17:28.075]  Well, that would be what should happen.
[01:17:28.075 --> 01:17:44.486]  It clearly didn't, and the sickening thing, the most sickening thing that I've heard so far, and I'm sure it'll be topped, but was a room full of people that this piece of dirt had gone into, lined them up and they just stood there waiting to be shot from this early account.
[01:17:44.486 --> 01:17:45.687]  I hope that's not true.
[01:17:46.648 --> 01:17:48.510]  Absolute limbing behavior.
[01:17:48.510 --> 01:17:50.432]  What has happened to Americans?
[01:17:50.432 --> 01:17:57.621]  Once the most feared, upright, individualistic, aggressive people, and they've turned us into literal jellyfish.
[01:17:58.334 --> 01:18:01.856]  Well, I think the battle really lies there.
[01:18:01.856 --> 01:18:11.683]  That friend that you so vividly described having his paroxysms of fear on the sofa in your parents' house.
[01:18:11.683 --> 01:18:13.264]  By the way, I wasn't joking.
[01:18:13.264 --> 01:18:16.946]  No, I'm quite sure that was quite accurate.
[01:18:16.946 --> 01:18:20.189]  He probably decided that it was the last time he was going to go to Texas.
[01:18:20.189 --> 01:18:21.329]  They're all nuts down there.
[01:18:25.993 --> 01:18:31.278]  That's the worldview that really plays into the hands of the disarmament crowd.
[01:18:31.278 --> 01:18:41.989]  Well, I mean, back when I lived in an apartment, I'd go deer hunting a couple times a year, and I'd, you know, and I learned to always even cover the case in a blanket, because somebody will see a gun case and go, I mean, literally,
[01:18:43.850 --> 01:18:47.734]  Now I know why hunters so typically go early in the morning.
[01:18:47.734 --> 01:18:57.362]  Before the sun comes up here, I thought it was because that's the best time to surprise Bambi, but actually it's because you have to sneak out to the car so none of the neighbors will see you.
[01:18:58.922 --> 01:18:59.703]  I'm not kidding.
[01:18:59.703 --> 01:19:17.250]  I mean, in a free country, even at my house, when I get a rifle out of the gun safe to go to the target range, and a lot of times, you know, they're in there, not in cases, I'll grab, you know, my Remington 700, and I go out the back door, I look, I hit the open on the back of my trunk, I lay it in, I'm looking both ways, because, I mean, there's just cowardly jellyfish everywhere.
[01:19:17.250 --> 01:19:26.034]  You know, I had a carpet cleaner at my house about eight, nine years ago, and I had a shotgun, before I had children, on an open rack up on the wall in my broadcast studio out of my house.
[01:19:26.734 --> 01:19:31.738]  And, uh, it was just a cheap defender, pump action, you know, just for defense.
[01:19:31.738 --> 01:19:34.279]  And, uh, the carpet cleaner guy goes, is that legal?
[01:19:34.279 --> 01:19:36.961]  And I said, don't call the police on me.
[01:19:36.961 --> 01:19:43.686]  And then later, I had a bad feeling, and I called the carpet cleaning place, and the owner got on and said, no, I know who you are, Alex, don't worry.
[01:19:43.686 --> 01:19:45.307]  Yeah, he did come back.
[01:19:45.307 --> 01:19:46.928]  He did want to call the police on you.
[01:19:46.928 --> 01:19:48.809]  We explained that it was legal.
[01:19:48.809 --> 01:19:53.392]  Well, then they watch cop shows that are set in New York, where they always go, we found a gun in his house.
[01:19:53.392 --> 01:19:55.674]  See, these people, they believe TV is the real world.
[01:19:56.034 --> 01:20:02.196]  We found an arsenal, and they'll show you a picture of two or three guns.
[01:20:02.196 --> 01:20:08.498]  That hardly cuts it for an arsenal in my book, but then one gun is an arsenal for these people.
[01:20:08.498 --> 01:20:11.798]  As we're talking about this, the thought has crossed my mind.
[01:20:11.798 --> 01:20:23.962]  I am so blessed to have the luxury of an attached garage, so that I can sneak my guns out into the garage, into the car, without having to draw attention to myself.
[01:20:25.603 --> 01:20:40.520]  Pity the poor guy like you when you were that student in the apartment that had to leave an apartment and walk down who knows how many flights of stairs and how many hallways so that who knows how many people might see you and absolutely ruin their day.
[01:20:40.840 --> 01:20:52.052]  And again, they think all guns are illegal, and then Handgun Control Incorporated, sworn to disarm the American people, in the words of Sarah Brady, so we can have, quote, socialism, that is, enforce it.
[01:20:52.052 --> 01:21:02.843]  They have these billboards from Galveston, Texas to Kansas City, Missouri, that show a revolver, and it says, Report Illegal Guns, but then when you read in real small print,
[01:21:03.663 --> 01:21:06.624]  It says, you know, those violating gun laws.
[01:21:06.624 --> 01:21:12.627]  There's no law against having the revolver, but that's to brainwash the public for the perception it's illegal.
[01:21:12.627 --> 01:21:21.230]  That is the part of the battle that we're fighting, and it's probably a more serious problem that we're fighting than the laws themselves.
[01:21:22.050 --> 01:21:38.535]  If anything, we've seen modest progress at the state level, where concealed carry laws have been passed and then expanded, where stand your ground legislation where you don't have to retreat, not only in your house, but now increasingly out on the street.
[01:21:38.535 --> 01:21:40.476]  Those kinds of laws are very positive.
[01:21:40.476 --> 01:21:43.397]  Also, you might consider that Utah and Oregon
[01:21:43.997 --> 01:21:51.705]  Are the only two states that presently have used a little bit of freedom that was allowed by the federal ban on guns at school.
[01:21:51.705 --> 01:22:06.279]  How do we get back to the point where my dad could, because you know, his mother would, when she was a school teacher, sometimes she was teaching at different schools, and when he was at, you know, they would drive him to one spot where the bus would come pick him up in the country, but they'd go into a pretty big, you know, country school, and they would just
[01:22:07.302 --> 01:22:22.530]  I walk right in, Larry, with their shotguns and their rounds, their shotgun shells, and they'd put them right in their school locker, and a lot of times they'd go with the coaches or the principal dove hunting, but they just all walked in during bird season with their guns into the public school.
[01:22:22.530 --> 01:22:27.312]  I mean, now you're in the country walking down the side of the road with a shotgun, a cop will pull over and ask what you're doing.
[01:22:27.312 --> 01:22:28.133]  What happened to us?
[01:22:28.593 --> 01:22:30.634]  Yours was a kind of an upscale school.
[01:22:30.634 --> 01:22:33.916]  I've talked to a number of people that didn't have the lockers.
[01:22:33.916 --> 01:22:38.119]  They just put them in the cloakroom alongside of or behind the classroom.
[01:22:38.119 --> 01:22:39.900]  So it was quite open.
[01:22:39.900 --> 01:22:42.342]  It wasn't anybody's personal locker at all.
[01:22:42.342 --> 01:22:44.303]  Anybody could have walked in there and gotten a gun.
[01:22:44.303 --> 01:22:50.967]  And somehow, not only did the gun not go off by itself, but none of the kids went in there and did anything stupid with it.
[01:22:51.207 --> 01:22:57.651]  Now, the difference was, though, when you were being taught gun safety, if you did anything that wasn't the total gun safety, you'd get the hell beat out of you.
[01:22:57.651 --> 01:22:59.892]  They'd holler your head off, for starters.
[01:22:59.892 --> 01:23:05.095]  You knew that you were in big trouble if you did anything stupid with a gun.
[01:23:05.095 --> 01:23:15.280]  You feared what the range master or your dad or whoever was going to do to you a lot more than whatever might possibly be done with that gun.
[01:23:15.280 --> 01:23:19.683]  Because you knew that something was going to happen right away if you were careless.
[01:23:20.123 --> 01:23:23.044]  And so people obviously learned.
[01:23:23.044 --> 01:23:25.065]  It's a pretty good way to learn.
[01:23:25.065 --> 01:23:37.849]  And we've had members tell us about their trips to the shooting range at school in New York City, taking their cased rifles onto the subway in New York City.
[01:23:37.849 --> 01:23:45.391]  Now, if you think that the guy in the country is going to have trouble walking with his gun today, imagine trying to go to school.
[01:23:45.391 --> 01:23:48.432]  Well, first of all, they don't have those shooting ranges in operation anymore.
[01:23:49.212 --> 01:23:50.853]  But imagine what would happen.
[01:23:50.853 --> 01:23:57.837]  They'd probably close off every exit of one of those subways if somebody were reported to be doing that.
[01:23:57.837 --> 01:24:02.079]  Now notice how they take the gun ranges away and the schools and suddenly all the shootings start.
[01:24:02.079 --> 01:24:03.420]  Larry, let's get down to brass tacks.
[01:24:03.420 --> 01:24:10.944]  I don't know about this case, but there's definitely been some fishy stuff at Columbine and other places where it looks like government's provocateuring are involved.
[01:24:11.880 --> 01:24:22.867]  Well, there was a massive cover-up of the incompetence of the Sheriff's Department in Jefferson County, which is Columbine, out in Colorado, in the Denver suburbs.
[01:24:22.867 --> 01:24:26.750]  So, in fact, it got to be so bad that the Sheriff was not re-elected.
[01:24:27.730 --> 01:24:34.074]  And we keep finding out things that he was trying to cover up just to make his incompetence look like it wasn't so bad.
[01:24:34.074 --> 01:24:39.276]  There were plenty of warnings ahead of time that were neglected.
[01:24:39.276 --> 01:24:42.398]  And then when the officers got there, there was confusion.
[01:24:42.398 --> 01:24:45.499]  It was kind of risk aversion.
[01:24:45.499 --> 01:24:49.521]  You know, don't have a cop put himself in any risk at all.
[01:24:49.521 --> 01:24:52.303]  So they just waited until everybody was dead and then they went in.
[01:24:54.024 --> 01:24:59.288]  30, 40 years ago, because I've studied the cases, you couldn't stop police from charging in after a gunman.
[01:24:59.288 --> 01:25:05.353]  And that was the impulse, I think, of a lot of the officers there, but they were told, stand down.
[01:25:05.353 --> 01:25:09.416]  That's what was so terrible about it, and I think that was part of the odor that got rid of them.
[01:25:09.416 --> 01:25:11.657]  Yeah, they're trying to break the manhood out of us.
[01:25:11.657 --> 01:25:12.718]  We'll be right back with Larry Pratt.
[01:25:13.562 --> 01:25:16.883]  More than 700 chemicals have been found in our drinking water.
[01:25:16.883 --> 01:25:22.065]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[01:25:22.065 --> 01:25:26.707]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[01:25:26.707 --> 01:25:35.830]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[01:25:35.830 --> 01:25:39.431]  The media is non-toxic, environmentally sound, and is recyclable.
[01:25:39.731 --> 01:25:45.059]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[01:25:45.059 --> 01:25:51.749]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:25:52.273 --> 01:25:53.574]  What about you?
[01:25:53.574 --> 01:25:58.999]  Order your KDF shower filter, normally $49, for our special price of only $35, a $14 savings.
[01:25:58.999 --> 01:26:00.160]  Call now to order at 1-888-803-4438.
[01:26:00.160 --> 01:26:02.061]  Order today and save $14 by calling 1-888-803-4438.
[01:26:14.875 --> 01:26:18.938]  Have you ever felt like the United States government knows way too much about your financial affairs?
[01:26:18.938 --> 01:26:24.842]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[01:26:24.842 --> 01:26:25.943]  It makes me wonder if the U.S.
[01:26:25.943 --> 01:26:30.646]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[01:26:30.646 --> 01:26:43.895]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act and Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[01:26:44.455 --> 01:26:50.059]  For this reason Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[01:26:50.059 --> 01:26:56.704]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[01:26:56.704 --> 01:26:58.185]  Call for your free copy at 1-800-686-2237.
[01:26:58.185 --> 01:27:03.168]  When investing, always proceed with caution.
[01:27:03.168 --> 01:27:03.829]  Again, call 1-800-686-2237.
[01:27:03.829 --> 01:27:05.990]  Exercise your legal right to trade metals privately.
[01:27:05.990 --> 01:27:06.050]  1-800-686-2237.
[01:27:14.742 --> 01:27:21.466]  I love the new sandal styles, but before I discovered Non-X Nail Gel, I was too embarrassed about my toenails to wear them.
[01:27:21.466 --> 01:27:25.749]  If your nails look dark or discolored, now there's a solution besides hiding them.
[01:27:25.749 --> 01:27:28.250]  It's a patented nail gel called Non-X.
[01:27:28.250 --> 01:27:35.615]  All natural Non-X clears out the source of the problem, the dark or yellow material that builds up under nails called keratin debris.
[01:27:35.615 --> 01:27:38.477]  Non-X Nail Gel is absolutely amazing.
[01:27:38.477 --> 01:27:41.959]  My toenails now look clear and I'm not embarrassed to wear sandals anymore.
[01:27:42.239 --> 01:27:50.522]  Nonex Nail Gel removes yellowing keratin debris, is podiatrist recommended, and has been clinically shown to improve nail clarity.
[01:27:50.522 --> 01:27:52.283]  It's also money-back guaranteed.
[01:27:52.283 --> 01:28:04.188]  You'll find Nonex Gel, spelled N-O-N-Y-X, in the foot care section at Rite Aid, Walgreens, Long's, Brooks, Duane Reade, and independent pharmacies nationwide.
[01:28:04.689 --> 01:28:07.395]  Or online at drugstore.com.
[01:28:07.395 --> 01:28:12.767]  Non-X nail gel for clearer nails and feet that look great in sandals.
[01:28:14.867 --> 01:28:15.388]  Attention!
[01:28:15.388 --> 01:28:18.490]  This is an extremely urgent GCN Health News Bulletin.
[01:28:18.490 --> 01:28:23.113]  If you're interested in suppressed natural cures, this will be the most important message you will ever hear.
[01:28:23.113 --> 01:28:24.454]  Listen closely.
[01:28:24.454 --> 01:28:32.220]  77 GCN listeners are needed immediately to test an amazing blacklisted herbal product, considered to be the single most powerful traditional remedy on Earth.
[01:28:32.220 --> 01:28:41.307]  In fact, medical studies in other countries have been conducted on the astonishing effects this rare mineral-like compound has had on arthritis, obesity, energy, memory, and even reproductive health.
[01:28:41.307 --> 01:28:44.249]  Yet, because of the rules governing nutritional supplements in this country,
[01:28:44.469 --> 01:28:47.070]  No health or healing claims can be made at this time.
[01:28:47.070 --> 01:28:56.735]  However, it is still legal to own this compound, and right now a very small amount is being made available to GCN listeners in what's being called the most amazing and unusual offer ever made on radio.
[01:28:56.735 --> 01:29:02.557]  To claim your supply, set aside for GCN listeners, simply go to www.blacklistedherb.com.
[01:29:02.557 --> 01:29:06.359]  Shipments will be filled on a first-come, first-served basis, so it's important that you move quickly.
[01:29:06.359 --> 01:29:09.701]  That's www.blacklistedherb.com or call 877-327-0365.
[01:29:27.340 --> 01:29:30.631]  We've got Matt Kazeeves with 9-11 Truth there.
[01:29:32.040 --> 01:29:33.181]  In Blacksburg, Virginia.
[01:29:33.181 --> 01:29:34.382]  He lives on the campus.
[01:29:34.382 --> 01:29:39.066]  He's already been down there for us with a live report with the SWAT teams and people telling him to get back.
[01:29:39.066 --> 01:29:40.066]  He went further than the media.
[01:29:40.066 --> 01:29:40.967]  He's back there now.
[01:29:40.967 --> 01:29:42.729]  We're about to go to him on cell phone.
[01:29:42.729 --> 01:29:45.531]  Larry Pratt at GunOwners.org.
[01:29:45.531 --> 01:29:58.341]  Larry, how do we, in a nutshell, get on the offensive and get the truth out that it again is victim disarmament, inaction, and that the school needs to be held accountable instead of turning every university in the country into little prison camps?
[01:29:58.976 --> 01:30:05.404]  Well the one thing that Gun Owners of America is set up to do is of course provide a voice for grassroots activism.
[01:30:05.404 --> 01:30:13.253]  We have on our website gunowners.org an email alert system and I can assure you that shortly we're going to be renewing
[01:30:13.886 --> 01:30:24.436]  Our campaign to end this senseless, dangerous, reckless kind of legislation that's on the books right now that prohibits people from defending themselves.
[01:30:24.436 --> 01:30:32.463]  It's okay to defend yourself in most states if you have a concealed carry permit and you're in a 7-11, but God help you if you're on a school grounds.
[01:30:32.463 --> 01:30:34.245]  That's nuts to assume that somehow
[01:30:34.585 --> 01:30:35.765]  Those are the targets!
[01:30:35.765 --> 01:30:43.287]  Now Larry, I've read the different policies and basically if a shooter is even in the school, they lock down.
[01:30:43.287 --> 01:30:48.509]  That's going to result sometime in 100 plus dead, not just 32 as they're now reporting.
[01:30:48.509 --> 01:30:53.210]  How do we reverse that insane stance of we lock the children in like it's fish in a barrel?
[01:30:55.057 --> 01:31:00.981]  The whole concept, as we were talking about earlier, is rooted in, if you do nothing, you'll be okay.
[01:31:00.981 --> 01:31:04.143]  If you have no defense, that's a good defense.
[01:31:04.143 --> 01:31:05.144]  They're brainwashing us!
[01:31:05.144 --> 01:31:08.906]  You just lay there and take it to go to the FEMA camps, basically.
[01:31:08.906 --> 01:31:17.832]  Just to lie there and take it, no matter what is happening, whether it's government abuse or whether it's a thug like the one at the Virginia Tech campus.
[01:31:17.832 --> 01:31:23.056]  Thank God at Appalachian School of Law that there were a couple of students who were willing and able
[01:31:23.516 --> 01:31:24.537]  To do something.
