[00:00:04.500 --> 00:00:09.762]  They're live!
[02:26:16.319 --> 02:26:19.443]  This presentation is only a small part of the evidence.
[02:26:19.443 --> 02:26:22.386]  Unfortunately, the facts are incontrovertible.
[02:26:23.479 --> 02:26:33.827]  We have a group of mad scientists who believe that they are supermen in a race separate from general humanity playing God.
[02:26:33.827 --> 02:26:38.250]  One reason the globalists are so arrogant is that they've got advanced technology.
[02:26:38.250 --> 02:26:40.792]  They've been suppressing what's been doled out to the public.
[02:26:40.792 --> 02:26:43.534]  So they think they can control all of these systems.
[02:26:45.327 --> 02:26:47.169]  None of this is new.
[02:26:47.169 --> 02:26:54.255]  If you go back to every ancient civilization, the elites believed that they were God and the general population was scum.
[02:26:55.458 --> 02:27:01.063]  And the longer a dynasty went, the more decadent and crazy it got.
[02:27:01.063 --> 02:27:05.566]  The more the elites began to believe that they were infallible in God.
[02:27:05.566 --> 02:27:13.033]  And it's this same incredible hubris that is endangering our civilization today.
[02:27:13.033 --> 02:27:15.655]  You have all these elite families interbreeding.
[02:27:16.394 --> 02:27:22.176]  With their aggressive genes, their psychopathic genes, their sociopathic genes.
[02:27:22.176 --> 02:27:35.760]  And then philosophers and scientists come along, like Thomas Malthus 200 and something years ago in England, and says, oh, let's bring back the plague, let's give people diseases, let's reduce population.
[02:27:35.760 --> 02:27:45.843]  And then you see every other major British scientist, and then German, Russian, US scientist, since then, who's into eugenics saying Malthus was right.
[02:27:46.423 --> 02:27:48.169]  Let's promote the plague.
[02:27:48.169 --> 02:27:49.914]  Let's kill the general public.
[02:27:49.914 --> 02:27:52.080]  And then you've got these inbred elites!
[02:27:53.237 --> 02:27:56.538]  Who are into all this stuff going, absolutely, let's do it!
[02:27:56.538 --> 02:28:02.000]  And then you find out they're putting stuff in our vaccines, our food, our water.
[02:28:02.000 --> 02:28:09.563]  They're engineering Trojan horse genetic traits into food that are causing organ failure and sterility.
[02:28:09.563 --> 02:28:14.384]  And you realize that a bunch of crazy psychos are in control.
[02:28:14.384 --> 02:28:16.605]  But I'll tell you what's even crazier.
[02:28:16.605 --> 02:28:18.686]  These psychopaths aren't even in control.
[02:28:20.222 --> 02:28:30.185]  They are so arrogant and think they're so invincible that they've got thousands of laboratories splicing every plant and animal you can imagine.
[02:28:30.185 --> 02:28:33.246]  Monkeys that have got five or six other species.
[02:28:33.246 --> 02:28:35.146]  Fish that have got insects in them.
[02:28:35.146 --> 02:28:40.988]  You name it, it's just pell-mell, helter-skelter, petal-to-the-metal wild.
[02:28:42.765 --> 02:28:46.649]  If we don't turn this around, we face a nightmare scenario.
[02:28:46.649 --> 02:28:49.672]  The globalists are already trying to start World War III right now.
[02:28:49.672 --> 02:28:55.438]  They're funding tens of billions of dollars for 30,000 drones in the skies over America.
[02:28:55.438 --> 02:29:00.143]  They've got neighborhood watch groups now spying on their neighbors for their political speech.
[02:29:01.963 --> 02:29:05.647]  It's getting more and more Twilight Zone by the minute.
[02:29:05.647 --> 02:29:08.430]  Let's rediscover the Bill of Rights and Constitution.
[02:29:08.430 --> 02:29:11.513]  Let's rediscover common sense, basic liberty.
[02:29:11.513 --> 02:29:14.636]  Let's protect individual rights.
[02:29:14.636 --> 02:29:17.319]  Let's get the globalist controllers under control.
[02:29:18.439 --> 02:29:21.782]  Let's point out that they're a bunch of lunatics.
[02:29:21.782 --> 02:29:27.407]  Let's stop buying into their whole Madison Avenue, Wall Street, Hollywood false reality.
[02:29:27.407 --> 02:29:33.974]  Let's rise above their control paradigm and really see it for what it is and call it out.
[02:29:33.974 --> 02:29:38.098]  You can't fight this system from within anymore.
[02:29:38.778 --> 02:29:50.844]  You've got to realize this house of cards is already coming down and the only way to save our civilization, our species, our society, is to face just how dire our straits are.
[02:29:50.844 --> 02:29:55.667]  All I want is for our species to continue.
[02:29:55.667 --> 02:30:02.491]  All I want is prosperity for our progeny, our great-great-grandchildren, to be able to live in peace
[02:30:03.451 --> 02:30:15.336]  And explore space, and be successful, and look back on the trials and tribulations we went through as an example for the trials and tribulations they're gonna face.
[02:30:15.336 --> 02:30:24.159]  I mean, the level of corruption and flat-out demonic evil that we're putting up with is just ridiculous.
[02:30:24.159 --> 02:30:26.780]  We're at the crossroads, my friends.
[02:30:26.780 --> 02:30:32.162]  Our future, our destiny, our very existence is up to you.
[02:30:45.464 --> 02:30:50.508]  It is surreal to actually be living inside the New World Order.
[02:30:50.508 --> 02:30:59.095]  It is bizarre to read all their white papers and battle plans from 50, 60, 70 years ago and now to see it all being implemented.
[02:30:59.095 --> 02:31:07.161]  What's truly horrifying is we know what their battle plans call for in the next phase, a 90% forced depopulation of the planet.
[02:31:07.161 --> 02:31:09.883]  They have recruited an army of control freaks and pedophiles
[02:31:10.933 --> 02:31:11.033]  Yes.
[02:31:27.526 --> 02:31:34.473]  If we simply realize that God is the answer and reach out to God to give us discernment, to lead God and direct us, we are unstoppable together.
[02:31:34.473 --> 02:31:37.336]  Now, InfoWars is under unprecedented globalist attack.
[02:31:37.336 --> 02:31:40.560]  I'm quite frankly proud of it, even though it's very daunting.
[02:31:40.560 --> 02:31:43.663]  But I know I have the living God inside my soul.
[02:31:43.663 --> 02:31:46.906]  I have the power of the overcomer inside of me and so do you.
[02:31:46.906 --> 02:31:47.667]  We're going to win this.
[02:31:48.786 --> 02:31:59.396]  If we just continue to resist the tyrants, not because we hate these evil people, but because we love our children and we love the innocents that are counting on us to stand up and speak out and fight back.
[02:31:59.396 --> 02:32:00.958]  Now, the cavalry's here.
[02:32:00.958 --> 02:32:03.220]  So many of our best-selling products have been sold out.
[02:32:03.220 --> 02:32:08.625]  They've all come back in the last few weeks and it's bringing in funding that was absolutely essential at this point.
[02:32:08.625 --> 02:32:09.546]  So it's a 360 win.
[02:32:09.546 --> 02:32:11.908]  Get great products, do amazing things for your immune system.
[02:32:12.270 --> 02:32:12.510]  I think?
[02:32:34.679 --> 02:32:35.379]  It is a big idea.
[02:32:35.379 --> 02:32:35.980]  A new world order.
[02:32:35.980 --> 02:32:39.421]  The planet is only six months away from total civilizational collapse.
[02:33:05.020 --> 02:33:10.404]  Already in most areas of the world, what civilization was built is collapsing.
[02:33:10.404 --> 02:33:11.966]  It's being done by design.
[02:33:11.966 --> 02:33:17.790]  The potential for the disastrous rise of misplaced power exists and will persist.
[02:33:17.790 --> 02:33:23.114]  The very word secrecy is repugnant in a free and open society.
[02:33:23.114 --> 02:33:32.382]  And we are as a people, inherently and historically, opposed to secret societies, to secret oaths, and to secret proceedings.
[02:33:33.277 --> 02:33:38.121]  President Bush signed a formal agreement that will end the United States as we know it.
[02:33:38.121 --> 02:33:40.864]  And he took the step without approval from either the U.S.
[02:33:40.864 --> 02:33:43.606]  Congress or the people of the United States.
[02:33:43.606 --> 02:33:46.668]  If we act quickly, it can be averted, it can be changed.
[02:33:46.668 --> 02:33:48.970]  But you notice the talking point on the EU?
[02:33:48.970 --> 02:34:01.181]  The European Union and its member states were the driving force behind a number of landmark agreements reached in Sendai, in Addis Ababa, in New York, and in Paris.
[02:34:02.571 --> 02:34:08.177]  With the 2030 Agenda and its Sustainable Development Goals.
[02:34:08.177 --> 02:34:23.795]  The Commission today called for accelerated implementation, so essential for achieving the Sustainable Development Goals of that 2030 Agenda, as well as other achievements called for by internationally agreed
[02:34:25.326 --> 02:34:32.938]  The world is going to end in 12 years if we don't address climate change.
[02:34:32.938 --> 02:34:35.522]  And your biggest issue is...
[02:34:37.882 --> 02:34:42.025]  Your biggest issue is how are we going to pay for it?
[02:34:42.025 --> 02:34:44.107]  The talking point out of Beto O'Rourke.
[02:34:44.107 --> 02:34:46.468]  This is our final chance.
[02:34:46.468 --> 02:34:49.731]  The scientists are absolutely unanimous on this.
[02:34:49.731 --> 02:34:56.195]  That we have no more than 12 years to take incredibly bold action on this crisis.
[02:34:56.195 --> 02:35:03.901]  Is that the earth will completely be uninhabitable and that we will all be dead within
[02:35:05.950 --> 02:35:07.391]  Twelve years.
[02:35:07.391 --> 02:35:10.872]  Now, you understand, they didn't just cook that up.
[02:35:10.872 --> 02:35:16.574]  They are purposely engineering this situation.
[02:35:16.574 --> 02:35:26.459]  As it begins to unfold, we have a chance to, A, blame who's behind it, and B, stop it.
[02:35:26.459 --> 02:35:31.821]  So we sit here and we laugh at AOC, and we laugh at Vito,
[02:35:33.612 --> 02:35:48.019]  But you understand, ladies and gentlemen, that if you go watch my film, Endgame Blueprint for Global Enslavement, 2007, I have the quotes and the video clips of the Bilderberg Group, the UN, all of them saying that.
[02:35:48.019 --> 02:35:56.003]  The Bilderberg-dominated Club of Rome advocated environmentalism as the best front to implement population reduction.
[02:35:56.003 --> 02:35:58.264]  Western populations would accept serfdom.
[02:35:58.704 --> 02:36:00.045]  There's a need for a new world order.
[02:36:27.662 --> 02:36:34.248]  But it has different characteristics in different parts of the world.
[02:36:34.248 --> 02:36:37.912]  Now, none of this may succeed this time.
[02:36:37.912 --> 02:36:47.982]  But this, to me, is sort of the outline by which someday, in the next few years, a solution will emerge.
[02:36:49.560 --> 02:36:56.726]  I have seen that in many countries, in fact, this process is already on the move.
[02:36:56.726 --> 02:37:01.910]  Almost everybody is mobilized on this process.
[02:37:01.910 --> 02:37:13.699]  And what is important to highlight is also the fact that there is a larger set of organizations, groups, professionals that are all interconnected.
[02:37:15.000 --> 02:37:17.542]  Positively interacting with the UN.
[02:37:17.542 --> 02:37:26.370]  They're creating a planetary crisis that by 2030... Remember there's Agenda 21?
[02:37:26.370 --> 02:37:29.292]  That's from 1992 in the Rio de Janeiro.
[02:37:29.292 --> 02:37:31.975]  Then they now codified the UN a couple years ago.
[02:37:31.975 --> 02:37:34.697]  Agenda 2030.
[02:37:34.697 --> 02:37:38.500]  So this is a real globalist plan.
[02:37:38.500 --> 02:37:40.922]  And they are carrying the plan out.
[02:37:40.922 --> 02:37:42.424]  Now humanity is fighting back.
[02:37:43.686 --> 02:37:57.452]  And many intelligence agencies and militaries around the world have gone and looked at these plans, they've decompartmentalized, and they realize that they are taking part in the post-human system that's being built.
[02:37:57.452 --> 02:38:02.134]  What does it do when you get 120 of the most powerful people in the world getting together to have meetings with government officials?
[02:38:02.134 --> 02:38:04.394]  I mean, that's amazing.
[02:38:04.394 --> 02:38:12.818]  What it is, is what I mean, is that they're planning the corporate agenda, they're not planning the democratic human journey agenda, in my opinion.
[02:38:13.318 --> 02:38:20.284]  Mussolini had a definition is when the interests of the corporation take completely over from all other interests, and that's fascism.
[02:38:20.284 --> 02:38:22.145]  He said it should probably be called corporatism.
[02:38:22.145 --> 02:38:32.694]  Well, call it corporatism, call it fascism, call it neoliberal, neocon... There's a whole variety of political words, depending on which side of the stripe you come from, to start with, which describes the thing.
[02:38:32.694 --> 02:38:40.360]  But what they are describing is the complete end of democracy, the end of what matters to people, the end of what happens to the human journey.
[02:38:40.360 --> 02:38:42.162]  And for that reason, I think this is revolting.
[02:38:42.822 --> 02:38:48.264]  And they said the way to have a final monopoly of control is to end the family.
[02:38:48.264 --> 02:39:00.489]  And so once they'd done that, this is a fact, they could really start dumbing people down and really start destroying people's roots and really start then preparing to decrease the world's population.
[02:39:00.489 --> 02:39:06.711]  But first you want to flood the first world with a giant bloom of the third world to bring the first world down.
[02:39:06.711 --> 02:39:09.452]  Then you release a bio-weapon
[02:39:11.144 --> 02:39:39.839]  That culls large amounts of the population and you tell them that it's a naturally occurring weapon or that terrorists released it and then everybody's got to go into these highly controlled compact police state grid cities for their quote safety and then that allows over time the social engineering to get even more draconian and then basically they'll release bioweapons so deadly that only becoming basically artificial humans will allow you to live in the new environment that they are creating.
[02:39:48.167 --> 02:39:55.352]  Since you are able to edit out all the stuff you don't like, I can speak honestly.
[02:39:55.352 --> 02:40:03.717]  I don't expect that we're going to avoid collapse.
[02:40:03.717 --> 02:40:08.881]  The planet can support something like
[02:40:09.853 --> 02:40:10.774]  A billion people.
[02:40:10.774 --> 02:40:18.100]  We could even have eight or nine billion, probably, if we have a very strong dictatorship.
[02:40:18.100 --> 02:40:20.983]  And we're now at seven, so we have to get back down.
[02:40:20.983 --> 02:40:25.647]  That's what lies ahead.
[02:40:25.647 --> 02:40:29.990]  Earth's ruling elite believe they have discovered the fountain of youth.
[02:40:29.990 --> 02:40:32.412]  But before they can attain it, 80% of us must die.
[02:40:35.737 --> 02:40:47.161]  A psychopathic technocracy is establishing world government so there can be no escape from their plan.
[02:40:47.161 --> 02:40:49.441]  The new world order is the old world order.
[02:40:49.441 --> 02:40:52.422]  I mean, it's just the names have changed, the appearances have changed.
[02:40:52.422 --> 02:40:53.563]  Most people have no idea.
[02:40:53.563 --> 02:40:54.363]  They're not after money.
[02:40:54.363 --> 02:40:55.703]  They have all the money they need.
[02:40:55.703 --> 02:40:57.404]  They're after power.
[02:40:57.404 --> 02:40:59.545]  That's their aphrodisiac.
[02:40:59.545 --> 02:41:03.326]  And one is that Hillary apparently won
[02:41:04.758 --> 02:41:07.679]  The vote among the public.
[02:41:07.679 --> 02:41:10.320]  She had slightly more votes than Trump.
[02:41:10.320 --> 02:41:13.382]  Yet, he got more electoral votes.
[02:41:13.382 --> 02:41:24.106]  So one obvious change that should be considered is to abolish or to change the system of the electoral college.
[02:41:24.106 --> 02:41:25.847]  It seems to be totally outdated.
[02:41:28.106 --> 02:41:30.867]  I've really got to hand it to the globalists.
[02:41:30.867 --> 02:41:33.008]  They have stuck to their plan.
[02:41:33.008 --> 02:41:52.775]  If you go back to the mid-1850s, British scientists, in fact leading scientists of the day, like Galton, and of course Wedgwood, Huxley, Darwin, envisioned a planned world controlled by a scientific elite.
[02:41:52.775 --> 02:41:56.016]  Malthus, more than a hundred years before them, had also developed a similar plan.
[02:41:57.091 --> 02:42:00.634]  And they have been developing it and refining it ever since.
[02:42:00.634 --> 02:42:04.697]  And you can read the books that they wrote about their plan.
[02:42:04.697 --> 02:42:20.030]  Galton envisioned computers and the double helix of DNA and the science of biometrics and developed the system of eugenics based off Plato's writings from thousands of years before to set up a planned technocracy
[02:42:20.510 --> 02:42:28.158]  to control every facet of human life carried out by a very tiny scientific elite on top.
[02:42:28.158 --> 02:42:42.932]  And the British Empire by the 1850s was the dominant force in the world and they needed systems or sciences of population control so they put the equivalent of trillions of dollars today into funding these sciences.
[02:42:43.653 --> 02:42:54.959]  And though these sciences were anti-human in many ways, you have to give them credit that many of the modern sciences we enjoy today were developed through their labors.
[02:42:54.959 --> 02:42:57.440]  A lot of people ask me, Alex, how did you know all of this?
[02:42:57.440 --> 02:42:58.781]  Are you psychic?
[02:42:58.781 --> 02:43:02.023]  And I explain to them again, have you watched the film?
[02:43:02.023 --> 02:43:05.585]  It's video clips, it's film clips, it's newsreels.
[02:43:05.585 --> 02:43:06.885]  Going back to the 20s and 30s,
[02:43:08.541 --> 02:43:26.453]  Where they were admitting all of this pre-Hitler eugenics and this new science-based control of human procreation, compact cities, you name it, was accepted by the public because they believed anything scientific must be good.
[02:43:26.453 --> 02:43:37.961]  Hitler's plan for living space and the final solution admittedly came out of the Cold Springs Harbor Rockefeller Foundation program in New York and was transferred in the 30s
[02:43:38.701 --> 02:43:44.245]  to the Kaiser Wilhelm Institute and was the map for the Nazis.
[02:43:44.245 --> 02:43:52.710]  IBM's Thomas Watson and thousands of IBM engineers ran the Nazi war machine and the Holocaust.
[02:43:52.710 --> 02:44:04.778]  And to understand the system we're going into it's important to listen to Aldous Huxley whose brother ran the United Nations and the UNESCO program for three decades and is the father
[02:44:05.689 --> 02:44:13.034]  of the transhumanist program and the former head of the World Eugenics Society, Julian Huxley.
[02:44:13.034 --> 02:44:15.115]  Both men wrote books.
[02:44:15.115 --> 02:44:22.901]  Julian Huxley wrote nonfiction and Aldous Huxley, author of Brave New World, wrote predominantly fiction.
[02:44:23.945 --> 02:44:35.428]  And Huxley gave speeches before his death in the early 1960s at Berkeley and other colleges, which you can find online, where he admits all of this in hour-long and hour-and-a-half long speeches.
[02:44:35.428 --> 02:44:45.951]  Compare the parable of Brave New World with another parable which was put forth more recently in George Orwell's book 1984.
[02:44:45.951 --> 02:44:46.631]  I'm inclined to think that
[02:44:52.461 --> 02:45:08.309]  The scientific dictatorships of the future, and I think there are going to be scientific dictatorships in many parts of the world, will be probably a good deal nearer to the Brave New World pattern than to the 1984 pattern.
[02:45:08.309 --> 02:45:20.556]  They will be a good deal nearer, not because of any humanitarian qualms in the scientific dictators, but simply because the Brave New World pattern is probably a good deal more efficient than the other.
[02:45:21.172 --> 02:45:48.622]  But if you can get people to consent to the state of affairs in which they are living, the state of servitude, the state of being, well, it seems to me that the nature of the ultimate revolution with which we are now faced is precisely this, that we are in process of developing a whole series of techniques which will enable the controlling oligarchy,
[02:45:49.716 --> 02:46:00.386]  have always existed, and presumably always will exist, to get people actually to love their servitude.
[02:46:00.386 --> 02:46:09.314]  People can be made to enjoy a state of affairs which, by any decent standard, they ought not to enjoy.
[02:46:11.185 --> 02:46:25.091]  These methods, I think, are a real refinement on the older methods of terror, because they combine methods of terror with methods of acceptance.
[02:46:25.091 --> 02:46:34.795]  Then he said, by the year 2000, it will be evident that this was not fiction, and actually a fictionalized account of what we're actually intending to build.
[02:46:35.775 --> 02:46:50.072]  Shortly after my film came out in 2007, Barack Obama got into office and all of a sudden the eugenics program and the technocracy program, not just here in the US but globally, went from being secret
[02:46:51.030 --> 02:46:57.432]  Or restricted, and not for public promotion, to suddenly being pushed everywhere.
[02:46:57.432 --> 02:47:18.137]  There were shows about the world after humans, how great it'll be, and how horrible humans are, and New York Times bestsellers about how a wonderful plague would come and kill everybody, and how humans are parasites, and professors were lauded and praised who gave speeches about airborne Ebola killing 90% of the population, and how 12 monkeys needs to become a reality.
[02:47:19.395 --> 02:47:28.657]  Suddenly, Ray Kurzweil said, we'll soon merge the machines, everyone else will be like cockroaches, you'll assimilate by the Borg, or you will be basically destroyed.
[02:47:28.657 --> 02:47:44.580]  And now, they have MIT Magazine, they have the Davos Group, they have, almost on a daily basis, Wired Magazine, all the modern intelligentsia groups, who went from saying, I was insane, and none of this existed, and it was fake news, and it was made up, and it was conspiracy theory,
[02:47:45.578 --> 02:47:50.141]  to rolling it out because they're so close to their program being completed.
[02:47:50.141 --> 02:47:53.003]  They're pushing this officially.
[02:47:53.003 --> 02:48:00.188]  Taxes by the mile, not being able to have a car, only getting meat once a year, the government telling you by high school what you're going to be when you grow up.
[02:48:00.188 --> 02:48:01.469]  Total centralization.
[02:48:01.909 --> 02:48:05.814]  I'm V. I'm looking forward to showing you around Plandopolis today.
[02:48:05.814 --> 02:48:06.855]  Are you ready to go?
[02:48:06.855 --> 02:48:10.299]  Have you got your calorie card open on your smartphone?
[02:48:10.299 --> 02:48:12.862]  I registered your visit with Slick Travel Corp.
[02:48:12.862 --> 02:48:16.165]  the other day, so they've allotted you a journey time to match mine.
[02:48:16.826 --> 02:48:18.988]  It makes so much sense, doesn't it?
[02:48:18.988 --> 02:48:20.429]  We're so lucky.
[02:48:20.429 --> 02:48:24.031]  Our kids were allocated a school quite near my practice so I can drop them off on the way.
[02:48:24.031 --> 02:48:26.193]  It saves on our calorie ration.
[02:48:26.193 --> 02:48:29.475]  Well, it won't be long until the little darlings get their career announcements.
[02:48:29.475 --> 02:48:33.478]  They've been working so hard, so I'm sure they'll get something good.
[02:48:33.478 --> 02:48:37.601]  Not that there's anything wrong with fixing carbon scrubbers for a living or anything.
[02:48:37.601 --> 02:48:40.803]  Right, what's on the menu this month?
[02:48:40.803 --> 02:48:42.184]  No, not meat.
[02:48:42.184 --> 02:48:43.265]  It's not your birthday.
[02:48:44.437 --> 02:48:49.718]  The Global Food Council are doing a really good job of keeping food production going.
[02:48:49.718 --> 02:48:53.479]  I mean, you don't get the choice you used to, but we're better off than most.
[02:48:53.479 --> 02:48:57.140]  I think it's probably easiest to walk from here.
[02:48:57.140 --> 02:49:02.462]  You barely see a car in the city centre nowadays, unless you're rich.
[02:49:02.462 --> 02:49:04.742]  The state knows they just aren't practical anymore.
[02:49:04.742 --> 02:49:06.743]  We're all trying to meet our global carbon deal.
[02:49:07.743 --> 02:49:11.186]  Electric bikes are so much better for getting around our neighborhood.
[02:49:11.186 --> 02:49:16.329]  And why waste valuable space on car parks when you can use them to grow food?
[02:49:16.329 --> 02:49:21.513]  That's why Huxley's book, Brave New World, and his non-fiction book, Brave New World and the Visitor, are so important.
[02:49:22.250 --> 02:49:25.172]  Because he tells you this is the real world.
[02:49:25.172 --> 02:49:34.038]  The cloning, the compact cities, the coffin apartments, the government drugging everybody, starting at age three, which they're now doing with Prozac-type drugs.
[02:49:34.038 --> 02:49:42.404]  The total control, the breaking up of men and women, making everyone look the same, as professors are now saying, oh, it'll be great when we all look the same.
[02:49:42.404 --> 02:49:49.989]  This is the killing of the individual, forcing us into Plato's cave again, forcing us into a controlled reality.
[02:49:50.569 --> 02:50:10.555]  And the allegory in the George Lucas film with Robert Duvall that came out in the early 1970s of Duvall escaping the robot sentries, which they admit they're setting up for real to oversee us now, and coming out onto the surface and seeing the sun and the larger world is a rebirth of Plato's allegory.
[02:50:10.555 --> 02:50:18.538]  This is so incredible, folks, and it's what my film Endgame barely in three hours scratches the surface of, but still is the most cutting-edge film out there.
[02:50:19.477 --> 02:50:31.770]  I want to challenge all of you to realize that when they tell you this is by 2030, and they're saying no one has a car, no one has any type of freedom, you're totally controlled, but it's great to be poor, classism has ended.
[02:50:31.770 --> 02:50:32.671]  Here's the problem.
[02:50:32.671 --> 02:50:35.634]  They're not going to ever get rid of the ultra-rich.
[02:50:36.374 --> 02:50:39.837]  That's why Obama says you can't have a car, you can't have air conditioning to Africans.
[02:50:39.837 --> 02:50:44.040]  He's teaching them to be austere and to be poor so the globalists can have all the resources.
[02:50:44.040 --> 02:50:54.948]  If everybody's raising living standards to the point where everybody's got a car and everybody's got air conditioning and everybody's got a big house, well, the planet will boil over.
[02:50:54.948 --> 02:50:59.812]  They don't say we're going to innovate better science and cleaner burning systems into the future.
[02:50:59.812 --> 02:51:02.934]  They don't say we're going to go to space-based colonies or undersea colonies.
[02:51:02.934 --> 02:51:03.755]  No, no, no.
[02:51:03.755 --> 02:51:05.717]  They just simply say you can't have wealth
[02:51:06.707 --> 02:51:08.469]  You've got to take the job, we say.
[02:51:08.469 --> 02:51:11.151]  You've got to go into a cash system.
[02:51:11.151 --> 02:51:12.692]  All for the greater good.
[02:51:12.692 --> 02:51:19.198]  They write white papers admitting in the 60s and 70s that they would sell this as being cool, as being trendy.
[02:51:20.080 --> 02:51:23.001]  They make chains fun.
[02:51:23.001 --> 02:51:25.181]  So now robots will decide what you eat.
[02:51:25.181 --> 02:51:26.462]  They'll go to the store.
[02:51:26.462 --> 02:51:32.603]  There won't be any job for you because the world's being designed where humans aren't involved in any of the industry.
[02:51:32.603 --> 02:51:39.185]  This is a total checkmate so the globalists can dictate the terms of our surrender.
[02:51:39.185 --> 02:51:44.907]  Ladies and gentlemen, you think about how everything I talked about 20 years ago has pretty much come true or they're now announcing it now.
[02:51:46.368 --> 02:51:52.854]  And I was wondering how they would respond to us is they launched their final program and then everything we've said has been proven correct.
[02:51:52.854 --> 02:51:55.076]  Their answer is censor us.
[02:51:55.076 --> 02:52:00.421]  And now the EU says shut off InfoWars access on Facebook, Twitter, Google and in Europe.
[02:52:00.421 --> 02:52:07.828]  Now they're saying in the US, now NPR, CBS, CNBC, they're all saying shut me down because they're scared folks.
[02:52:08.612 --> 02:52:11.756]  The right-wing smear machine has gotten Alex Jones a five.
[02:52:11.756 --> 02:52:15.922]  1776 will commence again if you try to take off firearms!
[02:52:15.922 --> 02:52:17.203]  That man is Alex Jones.
[02:52:17.203 --> 02:52:20.367]  He's one of those guys who believes that Bigfoot was responsible for 9-11.
[02:52:20.367 --> 02:52:23.492]  I heard it on Alex Jones, so I know it's true!
[02:52:23.492 --> 02:52:24.092]  Alex Jones.
[02:52:24.092 --> 02:52:25.034]  Alex Jones.
[02:52:25.034 --> 02:52:25.875]  Alex Jones.
[02:52:25.875 --> 02:52:26.135]  Alex Jones.
[02:52:26.755 --> 02:52:27.516]  Alex Jones.
[02:52:27.516 --> 02:52:28.016]  Alex Jones.
[02:52:28.016 --> 02:52:28.876]  Alex Jones.
[02:52:28.876 --> 02:52:29.757]  Alex Jones.
[02:52:29.757 --> 02:52:30.597]  Alex Jones.
[02:52:30.597 --> 02:52:31.618]  From InfoWars.
[02:52:31.618 --> 02:52:32.298]  InfoWars.
[02:52:32.298 --> 02:52:33.458]  You watch InfoWars?
[02:52:33.458 --> 02:52:35.379]  InfoWars.com.
[02:52:35.379 --> 02:52:36.540]  InfoWars.com.
[02:52:36.540 --> 02:52:37.460]  InfoWars.
[02:52:37.460 --> 02:52:38.361]  InfoWars.
[02:52:38.361 --> 02:52:39.701]  Bill Clinton is a rapist.
[02:52:39.701 --> 02:52:40.402]  InfoWars.com.
[02:52:40.402 --> 02:52:41.702]  Bill Clinton is a rapist.
[02:52:41.702 --> 02:52:44.563]  InfoWars.com.
[02:52:44.563 --> 02:52:48.585]  That's according to website InfoWars.
[02:52:48.585 --> 02:52:49.646]  InfoWars.
[02:52:49.646 --> 02:52:51.967]  It's a radio show hosted by Alex Jones.
[02:52:51.967 --> 02:52:52.647]  Alex Jones.
[02:52:52.647 --> 02:52:53.287]  Nice guy.
[02:52:53.287 --> 02:52:54.268]  InfoWars.com.
[02:52:54.828 --> 02:52:55.849]  Info Wars.
[02:52:55.849 --> 02:52:56.670]  Info Wars.
[02:52:56.670 --> 02:52:57.351]  Info Wars.
[02:52:57.351 --> 02:52:58.052]  Info Wars.
[02:52:58.052 --> 02:52:59.814]  What's happened with Info Wars?
[02:52:59.814 --> 02:53:03.377]  I would love it if you would follow up also about Alex Jones and Info Wars.
[02:53:03.377 --> 02:53:07.502]  Alex Jones obviously is a well-known conspiracy theorist whose brand is bullying.
[02:53:07.502 --> 02:53:09.123]  You didn't call me to testify in America.
[02:53:09.123 --> 02:53:10.545]  I have a right to fix my accusers.
[02:53:10.985 --> 02:53:13.447]  And you, Congressman Deutch, are a liar and a fraud.
[02:53:13.447 --> 02:53:18.411]  I know we had Alex Jones in the room earlier, promoting conspiracy theories.
[02:53:18.411 --> 02:53:28.900]  We're talking about Alex Jones, and the fact of the matter is, is that the companies that allow people like him, conspiracy theorists, to be able to purvey lies have a responsibility.
[02:53:28.900 --> 02:53:34.024]  InfoWars founder Alex Jones is calling out alleged collusion between Google and Democrats.
[02:53:34.144 --> 02:53:37.868]  Shame on the mainstream corporate media for not defending the First Amendment.
[02:53:37.868 --> 02:53:40.971]  InfoWars just lost their war on info.
[02:53:40.971 --> 02:53:48.420]  Yesterday, Apple, iTunes, Vimeo, and Spotify, YouTube, Twitter, and Facebook have all blocked Alex Jones and InfoWars.
[02:53:48.420 --> 02:53:49.341]  Who is the most
[02:53:50.001 --> 02:53:55.883]  I've asked globalists in off-the-record conversations, and some on air, why they're doing this, and they say because the public's too dumb.
[02:53:55.883 --> 02:54:04.345]  We told them what we're doing in our own publications, then we tell them in the public publications it's not true.
[02:54:20.305 --> 02:54:28.390]  Gradually, by selective breeding, the congenital differences between rulers and ruled will increase until they become almost different species.
[02:54:28.390 --> 02:54:35.054]  A revolt of the plebs would become as unthinkable as an organized insurrection of sheep against the practice of eating mutton.
[02:54:35.054 --> 02:54:37.816]  Bertrand Russell H.G.
[02:54:37.816 --> 02:54:49.203]  Wells, Aldous Huxley, Bertrand Russell, and hundreds of other eugenicists constantly bragged about how the establishment believed themselves to be a separate, more advanced species than the common man.
[02:54:51.041 --> 02:55:01.672]  Top Eugenicists were bold enough to admit that their real goal was not improving the heredity of the commoner, but to further dumb them down so that they could be more manageable.
[02:55:01.672 --> 02:55:13.765]  Nobel Prize winner Russell wrote at length about how vaccinations filled with mercury and other brain damaging compounds would induce partial chemical lobotomies and develop a servile zombie population.
