[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[02:47:12.760 --> 02:47:17.760]  And society is degenerating. Okay. Everybody knows that.
[02:47:17.760 --> 02:47:25.760]  That's why people are buying guns and thank God they are because it's actually driving down the violent crime rate, even as the society degenerates.
[02:47:25.760 --> 02:47:33.760]  Okay. But I mean, I am on edge. Here, let me try to be nicer then.
[02:47:33.760 --> 02:47:37.760]  Let me, because one thing about not creating calls is it's also all over the map.
[02:47:37.760 --> 02:47:39.760]  Let me see who's been holding the longest.
[02:47:39.760 --> 02:47:44.760]  Ken in Michigan, oath of office they want to talk about. Go ahead. You're on the air.
[02:47:44.760 --> 02:47:48.760]  Thank you for taking my call, Alex. It's an honor and a privilege to speak with you.
[02:47:48.760 --> 02:47:50.760]  Thank you. Thank you for calling. It's good to talk to you as well.
[02:47:50.760 --> 02:47:59.760]  Thank you. You know, what I'm probably going to say is very simplistic, but simplicity gets caught in the heavy weight of complexity.
[02:47:59.760 --> 02:48:07.760]  And what I'm going to say is that our representatives take an oath of office and there's a president that's going to be taking it for the second time.
[02:48:07.760 --> 02:48:14.760]  And in that, he says they are going to preserve, protect, and defend the Constitution of the United States.
[02:48:14.760 --> 02:48:18.760]  My question, Alex, is where are the constitutional lawyers in this?
[02:48:18.760 --> 02:48:26.760]  Where are the people that why is there not such a great outcry that these people, our representatives and our president is not preserving, protecting and defending the Constitution.
[02:48:26.760 --> 02:48:29.760]  Sir, I'll tell you, I'll tell you where they are.
[02:48:29.760 --> 02:48:36.760]  I have been offered three or four times over the years big money to go do mainline talk radio with the establishment.
[02:48:36.760 --> 02:48:46.760]  And I told people, no, most people get an offer to join the dark side and a big red carpet goes shooting out to you and you do it.
[02:48:46.760 --> 02:48:50.760]  And most of the Republicans are bought and paid for by the same interest.
[02:48:50.760 --> 02:48:55.760]  And the globalist, if you don't go along with them and you're in Congress, they, you know, they run you out.
[02:48:55.760 --> 02:48:57.760]  And so that's why we're in so much trouble.
[02:48:57.760 --> 02:49:01.760]  You know, mainline Republicans are lining up to support this gunband right now.
[02:49:01.760 --> 02:49:06.760]  So, so look, this is the takedown, sir. That's why they're so confident.
[02:49:06.760 --> 02:49:09.760]  That's why I'm so upset. Yes, good, good point.
[02:49:09.760 --> 02:49:12.760]  That's it, Alex. Thank you very much for talking with me.
[02:49:12.760 --> 02:49:14.760]  Anything else you'd like to add, sir?
[02:49:14.760 --> 02:49:17.760]  That's it, sir. Thank you for talking with me. Have a great new year. Thank you.
[02:49:17.760 --> 02:49:24.760]  I appreciate you. And listen, I'm going to be honest, folks, you know, 10 years ago, if somebody on the hiking bike trail, you know,
[02:49:24.760 --> 02:49:27.760]  let their dogs run up and act like they're going to bite you.
[02:49:27.760 --> 02:49:30.760]  I'd just be like, hey, get your dog, buddy. Hi. Oh, you're a nice doggy.
[02:49:30.760 --> 02:49:34.760]  You know, I got in the point where, you know, I'm tired of getting pushed around here.
[02:49:34.760 --> 02:49:39.760]  So it's not personal to you guys, folks. I mean, I'm, this isn't a game up here on air.
[02:49:39.760 --> 02:49:43.760]  I'm 100% real. Believe me, you asked the folks behind the scenes here.
[02:49:43.760 --> 02:49:46.760]  I mean, this, this is who I am.
[02:49:46.760 --> 02:49:53.760]  You know, I mean, I've probably been in 200 fistfights. You know, I'm not, you know, I mean, that's just who I am.
[02:49:53.760 --> 02:50:00.760]  And there's something in me where grown, you know, my whole life, especially like three or four guys in an alley,
[02:50:00.760 --> 02:50:04.760]  try to act tough and like, hey, buddy, like they're going to scare me.
[02:50:04.760 --> 02:50:08.760]  I'm the type of guy that wants to go and jump in the middle of them and beat their brains out.
[02:50:08.760 --> 02:50:16.760]  You know what I'm talking about? See, one guy, the only few times I've had my butt kicked is when I was in 100% on the right
[02:50:16.760 --> 02:50:25.760]  and some little guy, the only people ever kicked my butt are little guys and I'm not up here bragging, oh, I'm physically tough.
[02:50:25.760 --> 02:50:29.760]  Look, it's ridiculous. I'm not even into that. But look what I do with information.
[02:50:29.760 --> 02:50:34.760]  Okay. My point is, is that I'm the type of guy that doesn't like bullies. I don't like oppression.
[02:50:34.760 --> 02:50:44.760]  I don't like being dominated. I recognize it for what it is and I get extremely angry by gangs and bullies and scum.
[02:50:44.760 --> 02:50:51.760]  I have an instinct for liberty. Okay. I mean, I can't control myself is what I'm saying.
[02:50:51.760 --> 02:50:58.760]  And so I am extremely angry. Okay. I'll admit it. Okay. I'm trying to not literally just smash this desk up right now.
[02:50:58.760 --> 02:51:25.760]  Do you understand?
[02:51:28.760 --> 02:51:43.760]  Okay.
[02:51:43.760 --> 02:52:04.760]  So it's off to grandma's house for the holidays.
[02:52:04.760 --> 02:52:13.760]  That's great. But while you're going over the river and through the woods, professional burglars are choosing easy targets to break into.
[02:52:13.760 --> 02:52:21.760]  Don't be an easy target. Plug in fake TV, full criminals into believing someone's home at your house watching TV.
[02:52:21.760 --> 02:52:26.760]  Fake TV works a bit like a light on a timer, but fake TV is far more convincing.
[02:52:26.760 --> 02:52:36.760]  Fake TV plugs into any outlet and simulates the light and colors of a real TV burglars will likely move on to easier targets and leave your house alone.
[02:52:36.760 --> 02:52:45.760]  Fake TV costs less than a month of most alarm monitoring plans and makes a great Christmas gift or it's perfect if you're traveling over the holidays or anytime.
[02:52:45.760 --> 02:52:57.760]  Order your fake TV by calling 877-5-FAKE-TV or go to faketv.com. That's 877-532-5388 or faketv.com.
[02:52:57.760 --> 02:53:23.760]  Fake TV, the burglar deterrent.
[02:53:23.760 --> 02:53:34.760]  But it's not Africa, it's Argentina. One-on-one guided hunts for water buffalo, huger, big horn rams, wild boar and the biggest stag deer in South America.
[02:53:34.760 --> 02:53:50.760]  All gold metal quality, all the action you can handle. Land rovers, top rental guns with scopes, all food, beverages, hunting guides, ground transportation included and more, all more affordable than you can imagine.
[02:53:50.760 --> 02:54:02.760]  The adventure of a lifetime starts at GoldenStagsSafaris.com, the big game hunting ranch at GoldenStagsSafaris.com.
[02:54:02.760 --> 02:54:22.760]  I'm going to go into overdrive to cover the rest of the news and the audio and video clips I've got and the reason this radio show is popular is it's real but at the same time it's going to have some weird moments in it.
[02:54:22.760 --> 02:54:40.760]  We need to all be careful not to get mad at each other and just pray to God and I literally prayed to God last night hard, hard with my wife and children, all of us holding hands that all of us not, you know, well there's not a lot of anger with my wife or kids but you know just that we all be loving and good and strong.
[02:54:40.760 --> 02:54:56.760]  Real men know how to control their anger and I'm a weak person folks. I have a real problem with people. Somebody tries to get in my face and tries to dominate me for no reason. I mean you just hit my buttons. I mean it's on.
[02:54:56.760 --> 02:55:11.760]  And the problem is that I need to control and so it's hard doing a three or four hour radio show and thinking and also putting yourself on the spot and so I apologize to people that I'm rude.
[02:55:11.760 --> 02:55:20.760]  I apologize. I even apologize to the people with the German shepherds even though they were in the wrong up front and we're like hey buddy whatever.
[02:55:20.760 --> 02:55:31.760]  I mean think how crazy that is letting your dogs run around and bark and snap at people. I mean I got four dogs. I love dogs. They were like what are you a cop? And I'm like no listen your dogs are menacing people.
[02:55:31.760 --> 02:55:40.760]  And then the guy was like hey buddy and I was like that's it. I mean my problem is I can turn the other cheek once or twice.
[02:55:40.760 --> 02:55:51.760]  But the problem is I can do it and go okay. Yes all right. And you know there's only so much I can turn the other cheek to the globalist as well.
[02:55:51.760 --> 02:56:00.760]  And that's the thing is that they're pushing the American people. I'm not the only person like this. I know a lot of our audiences like this. You're just nice loving people.
[02:56:00.760 --> 02:56:13.760]  But for everybody that has a strong loving side you've also got an aggressive side. And I know how real this is. I know how bad this is.
[02:56:13.760 --> 02:56:26.760]  And it really upsets me. It really upsets me to watch footage of the TSA with guns strapped to their thighs bugging their eyes out at families groping little kids going into the football game last night.
[02:56:26.760 --> 02:56:36.760]  The articles and videos are up at infowars.com and drones flying around over the football game. I mean it really upsets me to know it's social engineering.
[02:56:36.760 --> 02:56:52.760]  It really upsets me to know Hollywood's putting out all these race war films in hopes of causing them. It really upsets me to know that the UN is running giant white slavery rings all over the world.
[02:56:52.760 --> 02:57:01.760]  But listen, they've sold 10 million guns in the month of December. That number is out. You've got to show that article on screen.
[02:57:01.760 --> 02:57:09.760]  And there are lines around the block at gun shows all over the country. You've seen it on the news. 10 million they estimate sold. In fact that particular article had it in there.
[02:57:09.760 --> 02:57:16.760]  And it shows these big giant lines when they've got code pink and people out there protesting against it.
[02:57:16.760 --> 02:57:25.760]  And you know, it's okay to want to go out and protest drones killing innocent people, but they just don't differentiate citizens being armed.
[02:57:25.760 --> 02:57:35.760]  They don't understand how it's part of that balance of power. And look, these people standing around the block to buy guns, they know something's wrong.
[02:57:35.760 --> 02:57:48.760]  They know society is in trouble. They know. And listen, my message to you is, let's all come together and defeat the globalist.
[02:57:48.760 --> 02:57:55.760]  Let's all come together and pray for God to use us as vessels of goodness against this evil.
[02:57:55.760 --> 02:58:05.760]  But let's also expose the globalists and just how evil they are. We're going to come back and go to your phone calls.
[02:58:05.760 --> 02:58:15.760]  Hospital spying on vets. Comments on law and the police. General comments up there got a bunch of callers. Mark, Mike, Bill, Jay, Phil.
[02:58:15.760 --> 02:58:19.760]  We're going into overdrive. Some stations carry the fourth hour. Some stations don't.
[02:58:19.760 --> 02:58:25.760]  But everybody, this has been the main transmission for 2012. I'll be back tonight doing the news.
[02:58:25.760 --> 02:58:28.760]  Maybe I shouldn't host the news tonight. Maybe I should have Jacarie Jackson do it.
[02:58:28.760 --> 02:58:32.760]  And that's part of the irritability is that I'm just, I live in this information.
[02:58:32.760 --> 02:58:37.760]  But I appreciate all of you and I thank all of you and pray for me, folks, and I'll pray for you.
[02:58:37.760 --> 02:58:52.760]  Pray for America.
[02:59:08.760 --> 02:59:14.760]  It's a new do-it-yourself home security system that is completely wireless. Go to GetSimplySafe.com.
[02:59:14.760 --> 02:59:22.760]  SimplySafe is independent and off the grid. It runs on battery power. So even if the grid goes down, you're protected.
[02:59:22.760 --> 02:59:29.760]  It's completely customizable so you can use it in your home, business, boat, trailer, storage unit, or shed.
[02:59:29.760 --> 02:59:37.760]  SimplySafe is also ridiculously easy to install yourself in under 20 minutes. So there's no need to let a stranger into your home.
[02:59:37.760 --> 02:59:41.760]  If you move or need to relocate, you can take the system with you wherever you go.
[02:59:41.760 --> 02:59:47.760]  SimplySafe will stand guard protecting your property 24 hours a day, 7 days a week.
[02:59:47.760 --> 03:00:00.760]  Go to GetSimplySafe.com. That's GetSimplySafe.com.
[03:00:17.760 --> 03:00:23.760]  Thank you for joining us again. It is the 31st day of December 2012.
[03:00:23.760 --> 03:00:29.760]  I'm your host Alex Jones. We're taking your phone calls right now.
[03:00:29.760 --> 03:00:37.760]  We had a caller last hour brought up the whole Israel thing and I think condensing it down, the reason I'm so irritated by it, is
[03:00:37.760 --> 03:00:48.760]  I don't hate people because of a religion or an ethnicity and I am sick of all the use of racial stuff to control people.
[03:00:48.760 --> 03:00:55.760]  By all parties, Israel uses it to control their population and it's just human nature.
[03:00:55.760 --> 03:01:05.760]  And I don't like the fact that the whole anti-Israel crew does it like me because they know I don't inherently hate Jews.
[03:01:05.760 --> 03:01:13.760]  So I was just psychoanalyzing myself during the break. The reason I got mad at that caller was implying we were screening their calls again.
[03:01:13.760 --> 03:01:22.760]  It just isn't true. We do ask how people are listening and sometimes to make sure your phone's good.
[03:01:22.760 --> 03:01:27.760]  If the phone sounds bad, they'll ask what are you calling about because it's good to put a little comment up there.
[03:01:27.760 --> 03:01:32.760]  But call screening is not putting you on the air if you don't agree with what we want put out.
[03:01:32.760 --> 03:01:48.760]  We do not screen your calls, buddy. And that's because I chose to do that 17 years ago on air because I like taking the calls raw.
[03:01:48.760 --> 03:01:53.760]  So it's not like, ooh, you got me. I'm screening calls. I mean, I could screen calls if I wanted to.
[03:01:53.760 --> 03:01:58.760]  It's just irritating to be accused of something you're not doing. I mean, I think that's what it comes down to.
[03:01:58.760 --> 03:02:05.760]  And the anti-Israel crowd is always accusing me stuff that isn't true or is twisted or is lies.
[03:02:05.760 --> 03:02:16.760]  And it's very, very irritating because it's people that just one up and say they're better than you because they make stuff up about you.
[03:02:16.760 --> 03:02:21.760]  And it's pathetic for them. Now, that caller really wasn't doing that in the final equation.
[03:02:21.760 --> 03:02:29.760]  Again, I mean, I tend to overreact to stuff just because number one, I don't like it being about me.
[03:02:29.760 --> 03:02:34.760]  I'll talk about myself a lot as an analogy of what is going on in the world.
[03:02:34.760 --> 03:02:40.760]  But I'm not into myself just because of my ego.
[03:02:40.760 --> 03:02:46.760]  And the whole world's coming down right now and they're coming for our guns.
[03:02:46.760 --> 03:02:57.760]  And I think the caller had a valid point, if you would have just stuck with it, that why is the anti-gun lobby filled with pro-Israel lobby?
[03:02:57.760 --> 03:03:03.760]  And I think that's something that will really defend the Second Amendment is to raise that point and I've been raising it.
[03:03:03.760 --> 03:03:09.760]  But I've been raising it from a position of truth and pointing out that foreign interests want to run this country.
[03:03:09.760 --> 03:03:15.760]  So, of course, they want us disarmed, but it's not just Israel. That doesn't give Israel cover.
[03:03:15.760 --> 03:03:24.760]  It just doesn't make it the sycophantic mentally ill system of saying only Jews can do bad things.
[03:03:24.760 --> 03:03:27.760]  That's a cop out.
[03:03:27.760 --> 03:03:34.760]  That's my point is a bunch of foreign governments want our guns.
[03:03:34.760 --> 03:03:43.760]  And with Israel, you've got a bunch of people in this country who are dual citizens like Rahm Emanuel who served in the Israeli Air Force,
[03:03:43.760 --> 03:03:47.760]  who goes around saying the American people should have to turn in all our guns.
[03:03:47.760 --> 03:03:49.760]  That is really offensive.
[03:03:49.760 --> 03:03:55.760]  But I'm saying it's offensive from the position of you're a foreigner, Rahm Emanuel.
[03:03:55.760 --> 03:04:01.760]  You shouldn't even be the mayor of Chicago and it's wrong for you to just like with Piers Morgan.
[03:04:01.760 --> 03:04:05.760]  I saw emails and comments saying Alex doesn't like people from England.
[03:04:05.760 --> 03:04:07.760]  It has nothing to do with that.
[03:04:07.760 --> 03:04:11.760]  Piers Morgan is an authoritarian pig.
[03:04:11.760 --> 03:04:14.760]  Piers Morgan is here trying to take my second amendment.
[03:04:14.760 --> 03:04:22.760]  And I'm not saying go back to England because I'm against people who are Britannic, who are English.
[03:04:22.760 --> 03:04:32.760]  I mean, of my Heinz 57 background of French and German and Irish and Scottish and Alsatian and Native American,
[03:04:32.760 --> 03:04:35.760]  one of the biggest slices on multiple sides.
[03:04:35.760 --> 03:04:37.760]  I'm more English than anything else in Welsh.
[03:04:37.760 --> 03:04:41.760]  It's just ridiculous, but see, they want to reduce it down to a racial issue.
[03:04:41.760 --> 03:04:44.760]  So you can't say, look at the corrupt government of England.
[03:04:44.760 --> 03:04:46.760]  Look at the corrupt government of Israel.
[03:04:46.760 --> 03:04:47.760]  Look at the corrupt government of Iran.
[03:04:47.760 --> 03:04:52.760]  It all just becomes, oh yeah, the Persians are all evil or the Jews are all evil.
[03:04:52.760 --> 03:04:53.760]  I'm not going to do that.
[03:04:53.760 --> 03:04:58.760]  People are people and I will not sit here and say a group is inherently evil.
[03:04:58.760 --> 03:05:08.760]  I'm not doing it.
[03:05:28.760 --> 03:05:57.760]  I'm not going to do that.
[03:05:57.760 --> 03:06:06.760]  Hey there, Frank Bates here.
[03:06:06.760 --> 03:06:11.760]  Have you heard about the weird device that could wipe out 280 million Americans?
[03:06:11.760 --> 03:06:13.760]  This is really scary stuff.
[03:06:13.760 --> 03:06:18.760]  Defense experts warn that this odd device poses the greatest threat we've ever known.
[03:06:18.760 --> 03:06:21.760]  In fact, just a few weeks ago, former Speaker of the House,
[03:06:21.760 --> 03:06:26.760]  Newt Gingrich wrote an op-ed piece for the Washington Post warning about this deadly threat.
[03:06:26.760 --> 03:06:29.760]  I can't believe that more people aren't talking about this.
[03:06:29.760 --> 03:06:33.760]  It may be because the liberals and the government are trying to cover it up.
[03:06:33.760 --> 03:06:39.760]  That's why my friend just created a free video at weirddevice.com that exposes this threat
[03:06:39.760 --> 03:06:41.760]  and blows the doors off the conspiracy.
[03:06:41.760 --> 03:06:47.760]  Go watch the shocking video at weirddevice.com right now to discover exactly what it is,
[03:06:47.760 --> 03:06:52.760]  plus discover the number one way you and your family can survive this deadly attack.
[03:06:52.760 --> 03:06:57.760]  I'm not sure how long this video will be online, so go to weirddevice.com before it's gone forever.
[03:06:57.760 --> 03:07:01.760]  Again, that's weirddevice.com.
[03:07:01.760 --> 03:07:06.760]  Hi, my name is Annette and due to menopause symptoms for nearly two years,
[03:07:06.760 --> 03:07:10.760]  I suffered severe hot flashes which prevented me from sleeping all night.
[03:07:10.760 --> 03:07:14.760]  It was so hard to work because I continued all day to have the hot flashes from hell.
[03:07:14.760 --> 03:07:17.760]  I was exhausted and depleted.
[03:07:17.760 --> 03:07:22.760]  After only three weeks on one world weight, I have no hot flashes and I'm sleeping normally again.
[03:07:22.760 --> 03:07:26.760]  I feel energized and strong. This is an amazing product.
[03:07:26.760 --> 03:07:32.760]  It is a little known fact that every single cell of your body is supposed to produce 10% of its protein content as glutathione.
[03:07:32.760 --> 03:07:35.760]  But due to toxicity and aging, it does not.
[03:07:35.760 --> 03:07:39.760]  Could glutathione be a missing factor in optimal cell function for your entire body?
[03:07:39.760 --> 03:07:44.760]  If you restore the optimal glutathione levels in your cells, especially your glands and organs,
[03:07:44.760 --> 03:07:47.760]  then as a result, your glands and organs work better.
[03:07:47.760 --> 03:07:50.760]  Imagine the quality of life improvement you might have.
[03:07:50.760 --> 03:07:54.760]  To order One World Way, call 888-988-3325.
[03:07:54.760 --> 03:07:57.760]  That's 888-988-3325.
[03:07:57.760 --> 03:08:23.760]  Visit oneworldway.com. That's oneworldwey.com.
[03:08:23.760 --> 03:08:29.760]  Well, if you just joined us, ladies and gentlemen, it is the 31st day of December 2012.
[03:08:29.760 --> 03:08:33.760]  Can you believe it's about to be 2013?
[03:08:33.760 --> 03:08:39.760]  I've got news reports here about that breakaway Mormon sect shang tomorrows, the end of the world.
[03:08:39.760 --> 03:08:41.760]  I hope nothing crazy happens with that.
[03:08:41.760 --> 03:08:43.760]  You've got other groups saying it's the end of the world.
[03:08:43.760 --> 03:08:46.760]  So the 2012 hysteria may not be over yet.
[03:08:46.760 --> 03:08:47.760]  I pray it is.
[03:08:47.760 --> 03:08:53.760]  Because we've got a lot of real threats and problems in our world that have to be dealt with.
[03:08:53.760 --> 03:08:56.760]  But we are into overdrive here today to take your phone calls.
[03:08:56.760 --> 03:08:58.760]  And I'll be on the nightly news tonight.
[03:08:58.760 --> 03:09:03.760]  I'm hosting a nightly news 7 o'clock central at prisonplanet.tv.
[03:09:03.760 --> 03:09:07.760]  By the way, if you're a new listener, we do the nightly news show at Subscriber.
[03:09:07.760 --> 03:09:11.760]  But then we post a lot of it the next day at infowars.com for everybody.
[03:09:11.760 --> 03:09:16.760]  This is going to be a very important broadcast tonight on Diane Feinstein and her saying that
[03:09:16.760 --> 03:09:19.760]  she wants Mr. and Mrs. America to turn their guns in.
[03:09:19.760 --> 03:09:20.760]  That's a quote.
[03:09:20.760 --> 03:09:22.760]  It's up at infowars.com.
[03:09:22.760 --> 03:09:26.760]  It's also at drudgerport.com and a bunch of other big sites are now picking it up.
[03:09:26.760 --> 03:09:31.760]  But speaking of prisonplanet.tv, we've launched Operation Wake the Sleeping Giant.
[03:09:31.760 --> 03:09:35.760]  One user name and passcode can be shared with 10 additional people.
[03:09:35.760 --> 03:09:38.760]  So that's really 11 memberships for the price of one.
[03:09:38.760 --> 03:09:39.760]  And we've redesigned the site.
[03:09:39.760 --> 03:09:41.760]  It works even better now.
[03:09:41.760 --> 03:09:43.760]  It's really first rate.
[03:09:43.760 --> 03:09:45.760]  The website is prisonplanet.tv.
[03:09:45.760 --> 03:09:50.760]  That's prisonplanet.tv or infowarsnews.com.
[03:09:50.760 --> 03:09:52.760]  And you can see all my films.
[03:09:52.760 --> 03:09:56.760]  We're now putting stuff up there in True HD and so much more.
[03:09:56.760 --> 03:09:59.760]  So seven o'clock central and just go get a membership.
[03:09:59.760 --> 03:10:02.760]  It's $5.95 a month and give it to 10 people.
[03:10:02.760 --> 03:10:05.760]  Email it to 10 friends and family and say, hey, here's your New Year's gift.
[03:10:05.760 --> 03:10:10.760]  New Year's resolution to see these documentaries and to see this original underground news show.
[03:10:10.760 --> 03:10:12.760]  This is really powerful stuff.
[03:10:12.760 --> 03:10:14.760]  Here's your username and passcode.
[03:10:14.760 --> 03:10:17.760]  And 11 people simultaneously.
[03:10:17.760 --> 03:10:20.760]  That's less than 59 cents a month per person.
[03:10:20.760 --> 03:10:23.760]  There's ebooks on there, a bunch of other films.
[03:10:23.760 --> 03:10:27.760]  Prisonplanet.tv and it's our platform they can't censor.
[03:10:27.760 --> 03:10:29.760]  At least they have to try really hard.
[03:10:29.760 --> 03:10:34.760]  So prisonplanet.tv, the best deal out there and the small amount of money we make on it.
[03:10:34.760 --> 03:10:38.760]  Basically, with that many people logged on to it, it just pays for the bandwidth.
[03:10:38.760 --> 03:10:39.760]  And that's our goal.
[03:10:39.760 --> 03:10:44.760]  So thank you all for your support, prisonplanet.tv.
[03:10:44.760 --> 03:10:45.760]  Go get a membership.
[03:10:45.760 --> 03:10:48.760]  Go give it to people so they can learn what's really happening.
[03:10:48.760 --> 03:10:51.760]  Vote with your dollars for liberty.
[03:10:51.760 --> 03:10:56.760]  Mike in Tennessee was listening on WMQM 1600.
[03:10:56.760 --> 03:10:58.760]  That's in what, Nashville?
[03:10:58.760 --> 03:11:00.760]  And he wants to talk about contract law and police.
[03:11:00.760 --> 03:11:02.760]  Go ahead, sir.
[03:11:02.760 --> 03:11:10.760]  I just wanted to let you know that recently I spoke with a person who's just recently completed the police academy in Memphis.
[03:11:10.760 --> 03:11:21.760]  And that person informed me that in the segment where the attorney explains to them how, what the law is and how they achieve their authority to do what they do.
[03:11:21.760 --> 03:11:30.760]  The police training person, the attorney admitted that everything they do to interface and entrap people is called contract law.
[03:11:30.760 --> 03:11:32.760]  It's not what people think.
[03:11:32.760 --> 03:11:37.760]  So in other words, they make an offer and the people unwittingly accept the contract.
[03:11:37.760 --> 03:11:47.760]  But they do it through intimidation because there's been, look, look, there, yes, they're having to teach police this now because the patriots all learned about it, educated everybody.
[03:11:47.760 --> 03:11:49.760]  And so now they're having to teach the police.
[03:11:49.760 --> 03:11:51.760]  This is what it's always been.
[03:11:51.760 --> 03:11:59.760]  Listen, they started out about 85 years ago telling people in New York and New Jersey, hey, the trucks are riding on the roads you pay for.
[03:11:59.760 --> 03:12:02.760]  And they weigh more and they're tearing the roads up.
[03:12:02.760 --> 03:12:04.760]  You're having to pay for that.
[03:12:04.760 --> 03:12:08.760]  Let's make them get a commercial license and pay to use the road.
[03:12:08.760 --> 03:12:10.760]  And the public's like, yeah, make them pay for it.
[03:12:10.760 --> 03:12:13.760]  Well, they just pass it on to you and the cost of the goods now.
[03:12:13.760 --> 03:12:18.760]  Then by the fifties, they go, here's just a paper card to prove who you say you are.
[03:12:18.760 --> 03:12:19.760]  Then it's a photo ID.
[03:12:19.760 --> 03:12:24.760]  Now they teach police if it's a privilege to use a vehicle to travel.
[03:12:24.760 --> 03:12:25.760]  No, it's not.
[03:12:25.760 --> 03:12:29.760]  It's a privilege to engage in commerce, they say under the commerce clause.
[03:12:29.760 --> 03:12:33.760]  Now police are being taught the second amendments of privilege.
[03:12:33.760 --> 03:12:34.760]  It isn't.
[03:12:34.760 --> 03:12:37.760]  It's a right, but we have to educate them.
[03:12:37.760 --> 03:12:46.760]  So yes, that's good news, though, because I have read about that and other police academies now that they're having to tell them the truth that they're con men.
[03:12:46.760 --> 03:12:57.760]  The only way the police can arrest you under true constitutional state law, which is under federal law, off the federal constitution has to match that, is if you are recklessly driving.
[03:12:57.760 --> 03:12:58.760]  You're drunk driving.
[03:12:58.760 --> 03:13:00.760]  It's a reckless driving charge.
[03:13:00.760 --> 03:13:04.760]  You're driving 150 miles an hour in traffic, endangering people.
[03:13:04.760 --> 03:13:05.760]  It's a reckless driving charge.
[03:13:05.760 --> 03:13:09.760]  It's a felony, willful, knowing, premeditated reckless.
[03:13:09.760 --> 03:13:23.760]  See, one thing, reckless driving, reckless endangerment, again, but they take that and change it into all this other stuff to make us all suspects with thousands of fake laws.
[03:13:23.760 --> 03:13:25.760]  So yes, sir, go ahead.
[03:13:25.760 --> 03:13:28.760]  And the power that they have is the power that the citizen has.
[03:13:28.760 --> 03:13:30.760]  And that's the big sham that they're pushing.
[03:13:30.760 --> 03:13:32.760]  They keep referring to us as civilians.
[03:13:32.760 --> 03:13:34.760]  Well, the cops are civilians, too.
[03:13:34.760 --> 03:13:42.760]  That's why they say that when I had the people with the three German shepherds running up, barking and snarling at me on the jog by and jogging back.
[03:13:42.760 --> 03:13:48.760]  I saw them growling at people and then they growled at me, ran up and I said, Hey, this is yesterday.
[03:13:48.760 --> 03:13:49.760]  I said, Hey, put your dog on a leash.
[03:13:49.760 --> 03:13:53.760]  I didn't say it mean and the guy bowed up and his wife said, Are you a cop?
[03:13:53.760 --> 03:13:55.760]  And I said, You bet I am.
[03:13:55.760 --> 03:13:57.760]  I could citizen arrest you right now.
[03:13:57.760 --> 03:13:58.760]  They laughed at me.
[03:13:58.760 --> 03:14:01.760]  But my point is that that's how ignorant they are.
[03:14:01.760 --> 03:14:02.760]  Exactly.
[03:14:02.760 --> 03:14:03.760]  Exactly.
[03:14:03.760 --> 03:14:13.760]  The police are operating as citizens on patrol designated by the constabulary and the citizenship to do the job professionally full time.
[03:14:13.760 --> 03:14:16.760]  That's why they're called servants.
[03:14:16.760 --> 03:14:18.760]  There are sir vents.
[03:14:18.760 --> 03:14:21.760]  It's why we pay them so we don't have to do it full time.
[03:14:21.760 --> 03:14:22.760]  Go ahead.
[03:14:22.760 --> 03:14:28.760]  Well, we can only delegate that which we have the power to delegate and therefore we have that power.
[03:14:28.760 --> 03:14:33.760]  The power to also say, I do not consent when an officer approaches you.
[03:14:33.760 --> 03:14:38.760]  I do not accept your offer and am I being detained or am I free to go and leave it at that just those two.
[03:14:38.760 --> 03:14:41.760]  And if they arrest you, they arrest you.
[03:14:41.760 --> 03:14:42.760]  That hangs them up.
[03:14:42.760 --> 03:14:44.760]  They can't entrap you any further.
[03:14:44.760 --> 03:14:48.760]  But the fact is that most times if you've not done anything, they're going to have to let you go.
[03:14:48.760 --> 03:14:50.760]  But they're trying to finish.
[03:14:50.760 --> 03:14:53.760]  They're trying to end putting yourself in jail.
[03:14:53.760 --> 03:15:03.760]  And listen, this is a police guy pulled me over two weeks ago and he obviously was fish-eyed saucers when he walks up.
[03:15:03.760 --> 03:15:05.760]  I'm going like eight miles up the speed limit.
[03:15:05.760 --> 03:15:07.760]  He claimed I haven't gotten around to fighting it yet.
[03:15:07.760 --> 03:15:09.760]  I've probably got a warrant out for me, whatever.
[03:15:09.760 --> 03:15:14.760]  And I've just been too busy fighting the new world order, you know, caught up in their red tape.
[03:15:14.760 --> 03:15:17.760]  And he starts asking, so, you know, where are you going?
[03:15:17.760 --> 03:15:18.760]  What you doing?
[03:15:18.760 --> 03:15:20.760]  I'm just like, come on, man, knock it off.
[03:15:20.760 --> 03:15:23.760]  And he got the speech, you know, I didn't blow up the towers like the federal government did.
[03:15:23.760 --> 03:15:26.760]  I didn't, I don't ship the drugs in here like the government does.
[03:15:26.760 --> 03:15:27.760]  And he's like smiling.
[03:15:27.760 --> 03:15:28.760]  I go, look at it and funny.
[03:15:28.760 --> 03:15:30.760]  And I go, I know you're told what illegal aliens go.
[03:15:30.760 --> 03:15:31.760]  He goes, yeah, that's true.
[03:15:31.760 --> 03:15:32.760]  I don't like it.
[03:15:32.760 --> 03:15:33.760]  I'm like, that's right.
[03:15:33.760 --> 03:15:34.760]  But you're going to give me a ticket.
[03:15:34.760 --> 03:15:35.760]  Now give it to me.
