[00:00.000 --> 00:00.580]  Action.
[2:22:56.980 --> 2:23:00.980]  So you guys get all the credit for perpetuating the ideas that are popular.
[2:23:00.980 --> 2:23:06.980]  You the audience of supporters. And what I love is audiences, people like you taking action.
[2:23:06.980 --> 2:23:09.980]  I bet you get into Congress. But regardless, you're kicking ass.
[2:23:09.980 --> 2:23:15.980]  You're now on the national news with the leading story just by taking action. You are the resistance.
[2:23:15.980 --> 2:23:19.980]  You're the badass. You're the badass, Pete.
[2:23:19.980 --> 2:23:23.980]  Well, look, I'm doing my best to fight for ordinary people and I will continue to do so.
[2:23:23.980 --> 2:23:32.980]  Now, you're exactly right, Alice, when you say that this idea is a no brainer, which is why our DC elites don't get it because they have no brains.
[2:23:32.980 --> 2:23:40.980]  But the point I really want to make here is that this idea is not going away. America first is rising.
[2:23:40.980 --> 2:23:48.980]  So when you see the political left and when you see this sort of bought and paid for conservatives trying to trample over us,
[2:23:48.980 --> 2:23:52.980]  trying to act like our ideas are not mainstream, that's because they're afraid of us.
[2:23:52.980 --> 2:23:57.980]  That's why Georgia is running around policing us, saying ban this person, ban that person.
[2:23:57.980 --> 2:23:59.980]  What an un-American sack of filth.
[2:23:59.980 --> 2:24:05.980]  That's right. And for some reason, these people seem to think that once President Trump is gone, whether they impeach him,
[2:24:05.980 --> 2:24:13.980]  whether he doesn't get reelected in 2020 or after 2024, they seem to think that we're going back to the old globalist, you know, fake two-party...
[2:24:13.980 --> 2:24:18.980]  Yeah, no, you destroy Trump. It makes us even more strong. And I don't want that to happen.
[2:24:18.980 --> 2:24:24.980]  But they don't know history. Why do you think leftists think one-dimensionally? What's their problem?
[2:24:24.980 --> 2:24:29.980]  You know, I'm not exactly sure. They are good long-term strategists.
[2:24:29.980 --> 2:24:33.980]  If you look over the past 50 years, they've accomplished pretty much every goal that they set out.
[2:24:33.980 --> 2:24:37.980]  I get it. You said they don't make sense it looked one-dimensional because they're actually long-term players
[2:24:37.980 --> 2:24:41.980]  and the people we see are just minions carrying out orders. That's why they look so stupid.
[2:24:41.980 --> 2:24:43.980]  But the brains behind it is actually very calculated.
[2:24:43.980 --> 2:24:49.980]  That's right. And the Republicans have the exact opposite sort of problems, right?
[2:24:49.980 --> 2:24:55.980]  But, you know, regardless of what happens to the president, the idea of America first has been ceded.
[2:24:55.980 --> 2:25:01.980]  And it's not going away. So if the people in Washington, D.C., think that once Trump is gone,
[2:25:01.980 --> 2:25:06.980]  that we're going to go back to this sort of globalist two-party system, they're wrong.
[2:25:06.980 --> 2:25:14.980]  People understand that America must finally be put first after years and years of corporate pillaging and plundering
[2:25:14.980 --> 2:25:22.980]  and putting our citizens last behind the interests of literally the entire rest of the world.
[2:25:22.980 --> 2:25:27.980]  It's just not going to happen anymore. There are people like me who are ordinary, average Americans.
[2:25:27.980 --> 2:25:31.980]  We are everywhere. We are walking among everybody.
[2:25:31.980 --> 2:25:36.980]  We're not going to let the United States go by the wayside without a fight.
[2:25:36.980 --> 2:25:41.980]  Regardless of what the people in D.C. want to do, regardless of how much they try and sell us out to foreign powers,
[2:25:41.980 --> 2:25:43.980]  it's simply not going to happen.
[2:25:43.980 --> 2:25:47.980]  That's right. Once you're awake, there's no turning that off again, is there?
[2:25:47.980 --> 2:25:53.980]  No, you can't do it. I mean, you know, five years ago, six years ago, I wasn't even involved in politics.
[2:25:53.980 --> 2:25:55.980]  I never had even had—
[2:25:55.980 --> 2:25:57.980]  What woke you up?
[2:25:57.980 --> 2:26:01.980]  Well, I decided I wanted to be informed going into the 2016 election.
[2:26:01.980 --> 2:26:03.980]  I mean, now you've got radio shows. Now you've written books that are selling well.
[2:26:03.980 --> 2:26:06.980]  Now you're running for Congress. Now you're on Tucker Carlson. Now you've got one of the—
[2:26:06.980 --> 2:26:08.980]  I mean, yeah, what triggered you?
[2:26:08.980 --> 2:26:13.980]  All that happened was I decided to turn on the news going—
[2:26:13.980 --> 2:26:17.980]  I mean, in early 2015, I said, I'm going to be informed going into the 2016 election.
[2:26:17.980 --> 2:26:22.980]  I feel like it's my duty as a citizen, and I realized it was all nonsense from the beginning.
[2:26:22.980 --> 2:26:26.980]  So what do you do when you realize the mainstream press is all nonsense when you start turning to the alternative press?
[2:26:26.980 --> 2:26:30.980]  So I started watching your show. I started reading news sites like Breitbart.
[2:26:30.980 --> 2:26:37.980]  That's critical. You had an impetus. You had a hunger separate from Alex Jones triggering you.
[2:26:37.980 --> 2:26:44.980]  Everybody else is the same. People are seeking. And once you're seeking, there's no hiding anything.
[2:26:44.980 --> 2:26:49.980]  That's right. And you can't put the toothpaste back in tubes. Our friend, Roger Stone, likes to say.
[2:26:49.980 --> 2:26:54.980]  So, you know, once you realize that the corporate press is totally phony, you start wondering,
[2:26:54.980 --> 2:26:57.980]  well, why am I being lied to on a daily basis consistently?
[2:26:57.980 --> 2:27:00.980]  What is it that they're trying to hide from me that I should actually know?
[2:27:00.980 --> 2:27:06.980]  And once you start seeking out the answers to those questions, you start, you know, becoming a voracious reader.
[2:27:06.980 --> 2:27:09.980]  There's more answers, and more answers, and then it's not work to be informed.
[2:27:09.980 --> 2:27:11.980]  Once it's real info, it's exciting.
[2:27:11.980 --> 2:27:14.980]  That's right. Absolutely. And you want to keep going. And you want to keep learning.
[2:27:14.980 --> 2:27:18.980]  And you want to tell everybody else around you what it is that you've learned.
[2:27:18.980 --> 2:27:22.980]  And I've become, I know, a pain to my friends and family by doing that.
[2:27:22.980 --> 2:27:26.980]  But again, you know, this is our duty as Americans is our duty to be informed.
[2:27:26.980 --> 2:27:30.980]  Well, that's like physical therapy. People that don't want to hear their family tell them what's really going on.
[2:27:30.980 --> 2:27:33.980]  That's because they're living in a shell because they're basically paralyzed.
[2:27:33.980 --> 2:27:37.980]  And if somebody's been paralyzed for a year and they finally get their spine fixed,
[2:27:37.980 --> 2:27:40.980]  and some of you're trying to get them to walk again, they're going to be yelling at you and telling you,
[2:27:40.980 --> 2:27:44.980]  hey, don't make me get out of this wheelchair. No, you're getting out of the wheelchair. Damn it.
[2:27:44.980 --> 2:27:45.980]  Yes.
[2:27:45.980 --> 2:27:50.980]  Well, look, I have great family and friends personally who, you know, listen in support
[2:27:50.980 --> 2:27:54.980]  and have been, oh, no, I know, but you're just saying there's still some that you pay. Yeah.
[2:27:54.980 --> 2:27:57.980]  But, you know, obviously it gets tiresome, right?
[2:27:57.980 --> 2:28:02.980]  I mean, we're engulfed in this, in this sort of daily political battle.
[2:28:02.980 --> 2:28:05.980]  And some people just don't want to do it. I understand that impulse, but also, you know,
[2:28:05.980 --> 2:28:09.980]  on the other side of the token, understand how important it is to do this.
[2:28:09.980 --> 2:28:12.980]  We must do this. We do not have a choice.
[2:28:12.980 --> 2:28:17.980]  Otherwise, our way of life will be ended forever. It is that dire of that's right.
[2:28:17.980 --> 2:28:21.980]  We're being conquered. We're being overwritten. This is a global takeover in their own admissions.
[2:28:21.980 --> 2:28:26.980]  UN replacement migration. The ADL says if you say that, that you're a liar.
[2:28:26.980 --> 2:28:28.980]  That's in the UN documents. It's public.
[2:28:28.980 --> 2:28:35.980]  All right. Pete4NC.com. Peter, thank you so much. We look forward to speaking to you again. Please join us again.
[2:28:35.980 --> 2:28:37.980]  Thank you, Alistair. I mean, I appreciate it.
[2:28:37.980 --> 2:28:41.980]  That guy gets me going. Everything he says is like, yeah, let's back that up.
[2:28:41.980 --> 2:28:44.980]  Okay, I'm going to shut up now. I want to hear from the callers. We already took some.
[2:28:44.980 --> 2:28:49.980]  We're having a lot right now. Get ready for Nick in New Jersey, Ryan in Florida,
[2:28:49.980 --> 2:28:52.980]  Tyler in California, Joseph in Ireland.
[2:28:52.980 --> 2:28:57.980]  If you're trying to quit drinking or doing too many drugs, listen to me.
[2:28:57.980 --> 2:29:01.980]  You don't know me and we'll never meet. I had a problem like you once.
[2:29:01.980 --> 2:29:07.980]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[2:29:07.980 --> 2:29:12.980]  I realized I needed help to fix my problem before it totally destroyed me.
[2:29:12.980 --> 2:29:17.980]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[2:29:17.980 --> 2:29:20.980]  you need to call the national treatment advisors.
[2:29:20.980 --> 2:29:27.980]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[2:29:27.980 --> 2:29:33.980]  And if you have PPO, private health insurance, the entire program may be covered.
[2:29:33.980 --> 2:29:39.980]  Fix your problem right now before it gets any worse. Get clean. Call now and learn more.
[2:29:39.980 --> 2:29:43.980]  800-506-6740.
[2:29:43.980 --> 2:29:47.980]  800-506-6740.
[2:29:47.980 --> 2:29:53.980]  That's 800-506-6740.
[2:29:53.980 --> 2:29:57.980]  You want to break some globalist ribs. You want to crush some skulls politically.
[2:29:57.980 --> 2:30:01.980]  You want to drive ice picks through their eyeballs spiritually.
[2:30:01.980 --> 2:30:05.980]  There's nowhere you can spend money. There's nowhere you can place your bet.
[2:30:05.980 --> 2:30:09.980]  In a fight where it's going to have more power per dollar.
[2:30:09.980 --> 2:30:17.980]  Your bang for your buck, fear, gets you great products at great prices that literally fund the system
[2:30:17.980 --> 2:30:21.980]  where the spirit of resistance lives to drive it home to the enemy.
[2:30:21.980 --> 2:30:26.980]  And so it's very simple. If you don't want to be slaves and you want to see the fight taken to the enemy,
[2:30:26.980 --> 2:30:29.980]  which God wants to see, you see, we have to make the effort.
[2:30:29.980 --> 2:30:32.980]  110% God will finish the move.
[2:30:32.980 --> 2:30:36.980]  And I know I need to stay in the fight in the attack, attack, attack.
[2:30:36.980 --> 2:30:38.980]  I want to attack. I want to go after the globalist.
[2:30:38.980 --> 2:30:42.980]  And just believe me, ladies and gentlemen, that if you want somebody to commit to you and your family to fight
[2:30:42.980 --> 2:30:45.980]  for all of our futures together, you've got to guarantee you keep me in the game.
[2:30:45.980 --> 2:30:50.980]  I'm going to bust my ass with everything I got for us, for myself and my family, for your family.
[2:30:50.980 --> 2:30:52.980]  Because we're in this together.
[2:30:52.980 --> 2:31:02.980]  MoreStore.com.
[2:31:23.980 --> 2:31:27.980]  Until we cannot even procreate anymore and are no longer human
[2:31:27.980 --> 2:31:32.980]  than the corporate masters who wish more than anything to play God,
[2:31:32.980 --> 2:31:40.980]  believe they can come rescue humanity with their new systems that we will willingly beg for them to implement against us.
[2:31:40.980 --> 2:31:45.980]  This is the forced seduction of the Luciferian world government model.
[2:31:45.980 --> 2:31:47.980]  This is the post-human error.
[2:31:47.980 --> 2:31:50.980]  This is the ultimate tyranny visited upon the planet.
[2:31:50.980 --> 2:31:53.980]  This is the crossroads. Resist or be destroyed for eternity.
[2:31:56.980 --> 2:32:00.980]  Real Red Pill. Real Red Pill Plus.
[2:32:00.980 --> 2:32:08.980]  Please go to infowarshore.com and research the preglonone alone that is in each of these products.
[2:32:08.980 --> 2:32:13.980]  And then research all the other things that are in Real Red Pill and Real Red Pill Plus
[2:32:13.980 --> 2:32:16.980]  and what they will do for you and your family.
[2:32:16.980 --> 2:32:20.980]  This Christmas, for those of you on the fence who've never tried these products,
[2:32:20.980 --> 2:32:26.980]  I am selling both of the formulas at 65% off, the lowest price ever,
[2:32:26.980 --> 2:32:31.980]  with a free bottle of Biotru Selenium with it from the mustard seed.
[2:32:31.980 --> 2:32:37.980]  Ladies and gentlemen, research what this does in your body, then experience it for yourself.
[2:32:37.980 --> 2:32:41.980]  If you want to go to the next level, I'd say it funds the Info War before losing money on this.
[2:32:41.980 --> 2:32:47.980]  It's my gift to you this Christmas, so you experience it for yourself like the other products.
[2:32:47.980 --> 2:33:12.980]  You're listening to the Alex Jones show.
[2:33:18.980 --> 2:33:24.980]  If you are receiving this transmission, you are the Resistance.
[2:33:24.980 --> 2:33:30.980]  Live from the Infowars.com studios, it's Alex Jones.
[2:33:32.980 --> 2:33:37.980]  There's reporting going on right now from Fox News and others in New Jersey
[2:33:37.980 --> 2:33:40.980]  of men in black trench coats with long guns.
[2:33:40.980 --> 2:33:44.980]  Let's pray it's not a false flag.
[2:33:44.980 --> 2:33:47.980]  Let's pray that whoever's doing it gets taken out quickly,
[2:33:47.980 --> 2:33:50.980]  but they're talking about organizing a police response as we speak.
[2:33:50.980 --> 2:33:53.980]  This is happening live right now.
[2:33:53.980 --> 2:33:57.980]  Brand new information now on the active shooter situation in Jersey City, New Jersey.
[2:33:57.980 --> 2:34:02.980]  Let's go back to Brian Yenis. He is on the scene. Brian?
[2:34:02.980 --> 2:34:06.980]  Dana, we've just been told by federal law enforcement source that that's school,
[2:34:06.980 --> 2:34:10.980]  the Sacred Heart School, across from this kosher supermarket where this happened.
[2:34:10.980 --> 2:34:16.980]  We're calling it a bodega. It's a small kosher supermarket has been cleared.
[2:34:16.980 --> 2:34:20.980]  That school, Sacred Heart, has been cleared. No children are in danger,
[2:34:20.980 --> 2:34:22.980]  but they are now looking for a third suspect.
[2:34:22.980 --> 2:34:27.980]  There was a male and a female suspect that had been taken down by police,
[2:34:27.980 --> 2:34:34.980]  dressed in all black, and now they're looking for a black male dressed in all black.
[2:34:34.980 --> 2:34:36.980]  That is a third suspect they are now looking for.
[2:34:36.980 --> 2:34:40.980]  Obviously the scene is still very much active,
[2:34:40.980 --> 2:34:44.980]  but the good news here is that that school has been cleared,
[2:34:44.980 --> 2:34:47.980]  and from what we understand, the children are safe.
[2:34:47.980 --> 2:34:49.980]  Dana?
[2:34:49.980 --> 2:34:51.980]  Police officer has been shot in the head.
[2:34:51.980 --> 2:34:53.980]  Children on their way home.
[2:34:53.980 --> 2:34:56.980]  We'll continue monitoring that situation and update you as news breaks,
[2:34:56.980 --> 2:34:59.980]  but right now House Democrats announcing two articles of impeachment.
[2:34:59.980 --> 2:35:01.980]  Let's cut away from that live feed.
[2:35:01.980 --> 2:35:05.980]  We are getting the latest for you right now, ladies and gentlemen.
[2:35:05.980 --> 2:35:08.980]  We have a police officer who has been shot in the head,
[2:35:08.980 --> 2:35:13.980]  and we don't know exactly what's going on right now,
[2:35:13.980 --> 2:35:17.980]  but we are going to get you the latest up on infowars.com.
[2:35:17.980 --> 2:35:22.980]  I'm sure drudgereport.com is always really good about having what's happening as it breaks.
[2:35:22.980 --> 2:35:24.980]  This does not look good.
[2:35:24.980 --> 2:35:28.980]  A bunch of police and SWAT gear running around, and police officers shot in the head,
[2:35:28.980 --> 2:35:37.980]  and they were saying it's, again, a church and then something to do with other businesses,
[2:35:37.980 --> 2:35:42.980]  so we're going to continue to follow that as it unfolds,
[2:35:42.980 --> 2:35:45.980]  and obviously hoping that nobody else has been hurt,
[2:35:45.980 --> 2:35:49.980]  and it could be drug-related, or it could be a staged event,
[2:35:49.980 --> 2:35:51.980]  or it could be an actual real event.
[2:35:51.980 --> 2:35:55.980]  It's totally normal to question any event to try to get the latest on what happens,
[2:35:55.980 --> 2:35:58.980]  because there have been so many events that have been staged,
[2:35:58.980 --> 2:36:01.980]  like babies and incubators having their brains bashed out and thrown on the ground
[2:36:01.980 --> 2:36:03.980]  to start the First Iraq War,
[2:36:03.980 --> 2:36:06.980]  or the fake WMDs to have the second one, or the Gulf of Tonkin,
[2:36:06.980 --> 2:36:08.980]  to start the Vietnam War officially in 1964,
[2:36:08.980 --> 2:36:11.980]  or Operation Northwood is the plan to do mass shootings inside the U.S.
[2:36:11.980 --> 2:36:14.980]  to blame it on the Soviet Union to start a war,
[2:36:14.980 --> 2:36:19.980]  or does he small at staging events, or all the other hundreds and hundreds of events,
[2:36:19.980 --> 2:36:22.980]  but most of these shootings are real and do indeed happen,
[2:36:22.980 --> 2:36:25.980]  in the case of Texas and Ohio,
[2:36:25.980 --> 2:36:30.980]  it was a false media report that they were Trump supporters,
[2:36:30.980 --> 2:36:32.980]  they were actually Democrat supporters,
[2:36:32.980 --> 2:36:37.980]  so this footage is, I guess, a group of police have gotten together
[2:36:37.980 --> 2:36:43.980]  to try to stop what's happening.
[2:36:43.980 --> 2:36:47.980]  This is Jersey's city footage right here,
[2:36:47.980 --> 2:36:52.980]  I'm supposedly the police looking for who's doing this.
[2:36:52.980 --> 2:36:55.980]  Again, I may just go to rebroadcast while I get some articles
[2:36:55.980 --> 2:36:57.980]  and figure out exactly what's going on real quick,
[2:36:57.980 --> 2:37:03.980]  because too much is unfolding and happening here, I've got to find out.
[2:37:03.980 --> 2:37:09.980]  Nick in New Jersey, go ahead and finish up your point.
[2:37:09.980 --> 2:37:11.980]  Well, just real quick,
[2:37:11.980 --> 2:37:13.980]  my prayers go out for that police officer,
[2:37:13.980 --> 2:37:15.980]  but I'm not surprised stuff like this happens in New Jersey
[2:37:15.980 --> 2:37:17.980]  with our governor and our attorney general,
[2:37:17.980 --> 2:37:22.980]  so when sheriff's departments who aren't in compliance with
[2:37:22.980 --> 2:37:25.980]  or who want to comply with federal law and the department,
[2:37:25.980 --> 2:37:29.980]  I mean with ICE, so New Jersey's got its own problems,
[2:37:29.980 --> 2:37:33.980]  but as far as what I wanted to say earlier was with the impeachment,
[2:37:33.980 --> 2:37:39.980]  with Turley giving his testimony in front of the House Judiciary Committee,
[2:37:39.980 --> 2:37:43.980]  he's a commentator for CNN and MSNBC,
[2:37:43.980 --> 2:37:47.980]  and after his testimony, it's not surprising that he's not on there to explain
[2:37:47.980 --> 2:37:51.980]  why he sees what the Democrats is doing as actually hurting
[2:37:51.980 --> 2:37:54.980]  our republic hurting or going against our constitution.
[2:37:54.980 --> 2:37:58.980]  And I mean, it just goes to show that the level of brainwashing
[2:37:58.980 --> 2:38:03.980]  that these network television shows, due to the American people,
[2:38:03.980 --> 2:38:04.980]  because there's people who hear this stuff,
[2:38:04.980 --> 2:38:06.980]  they don't look into things themselves,
[2:38:06.980 --> 2:38:08.980]  they don't read for themselves,
[2:38:08.980 --> 2:38:10.980]  they just take what they hear verbatim.
[2:38:10.980 --> 2:38:13.980]  And that's the scary thing is you've got informed people
[2:38:13.980 --> 2:38:14.980]  that ask questions or involved,
[2:38:14.980 --> 2:38:16.980]  and the system is trying to make that illegal,
[2:38:16.980 --> 2:38:19.980]  and then you've got those that literally believe I'm a Russian agent
[2:38:19.980 --> 2:38:21.980]  and believe that Devin Nunes is a Russian agent.
[2:38:21.980 --> 2:38:24.980]  He has people come and get in his face in New York
[2:38:24.980 --> 2:38:26.980]  with a grandfather with little kids and say,
[2:38:26.980 --> 2:38:28.980]  we're going to get you, you're a Russian agent.
[2:38:28.980 --> 2:38:30.980]  God bless you, I appreciate your call.
[2:38:30.980 --> 2:38:31.980]  By the way, here's the latest.
[2:38:31.980 --> 2:38:35.980]  We've got multiple agencies respond to active shooting situations in New Jersey,
[2:38:35.980 --> 2:38:42.980]  heavy gunfire reported, that's from CNN, KTLA, Channel 5 News.
[2:38:42.980 --> 2:38:45.980]  Law enforcement responds to shooting in New Jersey,
[2:38:45.980 --> 2:38:48.980]  at least one officer shot, so it could just be drug related,
[2:38:48.980 --> 2:38:50.980]  regardless it's still terrible.
[2:38:50.980 --> 2:38:53.980]  An active shooting situation is underway in New Jersey,
[2:38:53.980 --> 2:38:55.980]  New Jersey Sheriff's Office says,
[2:38:55.980 --> 2:38:59.980]  police officer shot and had an active shooting situation in New Jersey,
[2:38:59.980 --> 2:39:01.980]  nothing else is really known.
[2:39:01.980 --> 2:39:04.980]  At this time, we will track that as it unfolds,
[2:39:04.980 --> 2:39:08.980]  but this is certainly an important story.
[2:39:08.980 --> 2:39:12.980]  But you know, millions of people are dying from opium-related deaths a year,
[2:39:12.980 --> 2:39:14.980]  hundreds of thousands from fentanyl alone, it's getting worse.
[2:39:14.980 --> 2:39:18.980]  Everyone I know has family that's died from fentanyl alone,
[2:39:18.980 --> 2:39:20.980]  the China shipping in.
[2:39:20.980 --> 2:39:24.980]  Somebody dies from fentanyl, doesn't even make the news.
[2:39:24.980 --> 2:39:27.980]  And you know, your teenage child thinks they're getting a vape pen,
[2:39:27.980 --> 2:39:29.980]  it's got an off-market cartridge in it.
[2:39:29.980 --> 2:39:32.980]  Some of those have got fentanyl on them,
[2:39:32.980 --> 2:39:36.980]  and people are taking one puff and dropping dead.
[2:39:36.980 --> 2:39:38.980]  But you don't see a big buildup for that,
[2:39:38.980 --> 2:39:43.980]  because that's just chemical warfare.
[2:39:43.980 --> 2:39:45.980]  But when one person gets shot,
[2:39:45.980 --> 2:39:47.980]  and I'm glad there's a big response, there's a big response,
[2:39:47.980 --> 2:39:50.980]  lead a big response to the scourge of GMO,
[2:39:50.980 --> 2:39:53.980]  or the millions of kids that have gotten brain damage,
[2:39:53.980 --> 2:39:55.980]  the thousands that have died from vaccines, they admit,
[2:39:55.980 --> 2:39:57.980]  but you're not supposed to talk about.
[2:39:57.980 --> 2:40:00.980]  All right, let's go to Ireland, and then we'll go to Tyler and Ryan.
[2:40:00.980 --> 2:40:02.980]  Joseph in Ireland, thanks for calling, thanks for holding.
[2:40:02.980 --> 2:40:05.980]  Welcome, give us your take on the historic events taking place.
[2:40:05.980 --> 2:40:07.980]  Alex, how are you?
[2:40:07.980 --> 2:40:10.980]  I'll try and make my point as quick as I can.
[2:40:10.980 --> 2:40:14.980]  To me, you have to prioritize the problems.
[2:40:14.980 --> 2:40:17.980]  The one you've been banging on about is the tech censorship.
[2:40:17.980 --> 2:40:20.980]  But to me, it has to be number one,
[2:40:20.980 --> 2:40:22.980]  Trump has to come out and say,
[2:40:22.980 --> 2:40:27.980]  I will not accept results when any machine is owned, controlled,
[2:40:27.980 --> 2:40:31.980]  or run by a foreign company, or any company is connected
[2:40:31.980 --> 2:40:34.980]  to a Democrat donor, Democrat party person.
[2:40:34.980 --> 2:40:37.980]  He must come out and say it, and he's got to say,
[2:40:37.980 --> 2:40:39.980]  I will not accept the results.
[2:40:39.980 --> 2:40:41.980]  And turn it back on the Democrats and say,
[2:40:41.980 --> 2:40:43.980]  this is foreign election meddling.
[2:40:43.980 --> 2:40:45.980]  I think this is priority one,
[2:40:45.980 --> 2:40:48.980]  because I watched the Millie Weaver's report
[2:40:48.980 --> 2:40:52.980]  on the election fraud there in the United States.
[2:40:52.980 --> 2:40:54.980]  To me, it's number one.
[2:40:54.980 --> 2:40:56.980]  Number two is what the last guy was talking about,
[2:40:56.980 --> 2:40:59.980]  and number three is the tech censorship.
[2:40:59.980 --> 2:41:02.980]  Number two, but number two and three are quite...
[2:41:02.980 --> 2:41:05.980]  Let me stop you, and I'm one trillion percent agree with you.
[2:41:05.980 --> 2:41:07.980]  I was thinking that last night that I've got to talk about,
[2:41:07.980 --> 2:41:09.980]  Trump needs to challenge any election
[2:41:09.980 --> 2:41:11.980]  that has foreign owned or mysterious machines.
[2:41:11.980 --> 2:41:13.980]  The Democrats, Nadler said,
[2:41:13.980 --> 2:41:16.980]  Trump's getting ready to steal the election again.
[2:41:16.980 --> 2:41:18.980]  Well, he didn't steal the first one,
[2:41:18.980 --> 2:41:20.980]  so they're going to challenge it
[2:41:20.980 --> 2:41:22.980]  when they're the ones of the fraudsters.
[2:41:22.980 --> 2:41:24.980]  So you're absolutely right.
[2:41:24.980 --> 2:41:27.980]  And you've seen the last three special elections,
[2:41:27.980 --> 2:41:29.980]  though the Republicans were supposed to win,
[2:41:29.980 --> 2:41:31.980]  the Democrats have won,
[2:41:31.980 --> 2:41:34.980]  and then you find the fixes in Virginia,
[2:41:34.980 --> 2:41:36.980]  in Kentucky, in Louisiana.
[2:41:36.980 --> 2:41:38.980]  You're absolutely right. Please continue.
[2:41:38.980 --> 2:41:40.980]  There is no way Trump will win.
[2:41:40.980 --> 2:41:43.980]  It doesn't matter if 90 percent of the people vote for him.
[2:41:43.980 --> 2:41:45.980]  If you control the machines,
[2:41:45.980 --> 2:41:48.980]  and the machines, you can't get the information
[2:41:48.980 --> 2:41:51.980]  as many showed that it's foreign control.
[2:41:51.980 --> 2:41:53.980]  This is foreign election meddling.
[2:41:53.980 --> 2:41:55.980]  He has got to come out.
[2:41:55.980 --> 2:41:57.980]  Be damned what the media say.
[2:41:57.980 --> 2:41:59.980]  Oh, he's a tyrant or whatever.
[2:41:59.980 --> 2:42:01.980]  No, turn it back on them and say,
[2:42:01.980 --> 2:42:03.980]  no, this is foreign election meddling,
[2:42:03.980 --> 2:42:05.980]  and show the proof.
[2:42:05.980 --> 2:42:07.980]  This has to be number one.
[2:42:07.980 --> 2:42:09.980]  Everything else falls.
[2:42:09.980 --> 2:42:11.980]  It doesn't matter if you sort out the immigration thing.
[2:42:11.980 --> 2:42:14.980]  It doesn't matter if you stop the text meddling,
[2:42:14.980 --> 2:42:16.980]  which is total racketeering.
[2:42:16.980 --> 2:42:19.980]  You're right. It's fraud from top to bottom.
[2:42:19.980 --> 2:42:21.980]  I mean, that's my point.
[2:42:21.980 --> 2:42:23.980]  Can I make one other point?
[2:42:23.980 --> 2:42:25.980]  Yes, sir, please.
[2:42:25.980 --> 2:42:27.980]  The other point I want to make is,
[2:42:27.980 --> 2:42:29.980]  this is a spiritual battle.
[2:42:29.980 --> 2:42:31.980]  You're dealing with pure evil people.
[2:42:31.980 --> 2:42:33.980]  God is going to enter the ring here, Alex.
[2:42:33.980 --> 2:42:35.980]  Don't hang up, Joseph.
[2:42:35.980 --> 2:42:37.980]  You've been holding from Ireland.
[2:42:37.980 --> 2:42:39.980]  Plus, I love your voice and everything you're saying.
[2:42:39.980 --> 2:42:41.980]  So true. Stay there and finish up.
[2:42:41.980 --> 2:42:43.980]  You're right. God's about to enter the ring.
[2:42:43.980 --> 2:42:45.980]  And that's the thing.
[2:42:45.980 --> 2:42:47.980]  Aren't you scared of the globalist?
[2:42:47.980 --> 2:42:49.980]  Folks, I can feel fear,
[2:42:49.980 --> 2:42:51.980]  like, shit, like, that chill you get?
[2:42:51.980 --> 2:42:53.980]  That's God. It's like, whoa.
[2:42:53.980 --> 2:42:55.980]  Sometimes the right thing to do
[2:42:55.980 --> 2:42:57.980]  is the easy thing to do.
[2:42:57.980 --> 2:42:59.980]  It's the healthy thing to do.
[2:42:59.980 --> 2:43:01.980]  It's the thing that makes all of our lives better.
[2:43:01.980 --> 2:43:03.980]  And that's taking care of our individual health.
[2:43:03.980 --> 2:43:05.980]  And it's ever been easier
[2:43:05.980 --> 2:43:07.980]  to do the right thing this Christmas season
[2:43:07.980 --> 2:43:09.980]  than to go to M4warstore.com
[2:43:09.980 --> 2:43:11.980]  and get the highest quality
[2:43:11.980 --> 2:43:13.980]  supplements that are life changing
[2:43:13.980 --> 2:43:15.980]  in what they will do for you
[2:43:15.980 --> 2:43:17.980]  and your family's body,
[2:43:17.980 --> 2:43:19.980]  your outlook on life,
[2:43:19.980 --> 2:43:21.980]  your focus, your health,
[2:43:21.980 --> 2:43:23.980]  your stamina, your libido.
[2:43:23.980 --> 2:43:25.980]  But then, of course, it also funds the M4war
[2:43:25.980 --> 2:43:27.980]  that is so incredibly critical.
[2:43:27.980 --> 2:43:29.980]  Where else can you spend your hard-earned money
[2:43:29.980 --> 2:43:31.980]  knowing that's a true 360 win?
[2:43:31.980 --> 2:43:33.980]  Ladies and gentlemen,
[2:43:33.980 --> 2:43:35.980]  don't spend your money with the big box stores
[2:43:35.980 --> 2:43:37.980]  and the big globalist online merchants
[2:43:37.980 --> 2:43:39.980]  who literally are working against you
[2:43:39.980 --> 2:43:41.980]  in your family's future.
[2:43:41.980 --> 2:43:43.980]  Spend your money on high quality products
[2:43:43.980 --> 2:43:45.980]  and have huge savings and don't fight the big crowds
[2:43:45.980 --> 2:43:47.980]  in traffic at M4warstore.com.
[2:43:47.980 --> 2:43:49.980]  That's M4warstore.com.
[2:43:49.980 --> 2:44:18.980]  Please make the right decision.
[2:44:19.980 --> 2:44:21.980]  We're also coming out of the gates
[2:44:21.980 --> 2:44:23.980]  with specials we've never had before.
[2:44:23.980 --> 2:44:25.980]  The Christmas Mega Pack is at cost
[2:44:25.980 --> 2:44:27.980]  at $99.95.
