[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[3:20:25.000 --> 3:20:33.000]  Exactly. The flip side to that, though, is the revolutions over May 23rd of these temporary employees aren't made permanent.
[3:20:33.000 --> 3:20:39.000]  And Johnny DeStefano actually sent an article to the, you know, Nico, who's just amazing, you know, the whole team is amazing.
[3:20:39.000 --> 3:20:45.000]  He even wrote an article in USA Today saying, well, we're taking our time because we want the best people.
[3:20:45.000 --> 3:20:46.000]  No, he's stalling it out.
[3:20:46.000 --> 3:20:49.000]  Because he knows they've got Obama people already in.
[3:20:49.000 --> 3:20:50.000]  Exactly. Right.
[3:20:50.000 --> 3:20:56.000]  And McMaster, I'd actually, another article, make Democrat or make the NSC Democrat again.
[3:20:56.000 --> 3:21:01.000]  McMaster has been remaking the National Security Council into a democratic stronghold.
[3:21:01.000 --> 3:21:03.000]  Hey, man, this is all happening.
[3:21:03.000 --> 3:21:07.000]  All right, I'm not going to get any more intel on McMaster because ours was it was in a say leak.
[3:21:07.000 --> 3:21:11.000]  We think McMaster is the guy. Who is the leaker? Was it him or a staffer?
[3:21:11.000 --> 3:21:15.000]  It was McMaster because he's the only person who had all of the details that was needed.
[3:21:15.000 --> 3:21:22.000]  So that story is a huge one because what was leaked, because, you know, you called me, we talked right when that story broke.
[3:21:22.000 --> 3:21:24.000]  And you were like, what's your take on it?
[3:21:24.000 --> 3:21:28.000]  And I told you, well, I called around to all my sources and everybody was freaking out.
[3:21:28.000 --> 3:21:30.000]  And I'll tell you why they were freaking out.
[3:21:30.000 --> 3:21:34.000]  Trump didn't talk about what was leaked to the Washington Post.
[3:21:34.000 --> 3:21:40.000]  So what was leaked to the Washington Post was actually a major national security breach.
[3:21:40.000 --> 3:21:42.000]  There's a big investigation going on right now.
[3:21:42.000 --> 3:21:46.000]  It's a huge one because that was actually national security risk.
[3:21:46.000 --> 3:21:48.000]  The only person who had all the information.
[3:21:48.000 --> 3:21:52.000]  That's right. What they leaked Trump supposedly did was real intel, but Trump didn't leak it.
[3:21:52.000 --> 3:21:58.000]  No, Trump said, Trump in the meeting goes, hey, did you guys know that there's a plot to put on bombs on your laptops?
[3:21:58.000 --> 3:22:01.000]  That's been in a thousand newspapers for two months.
[3:22:01.000 --> 3:22:05.000]  Right. He didn't leak where he got it because he didn't know.
[3:22:05.000 --> 3:22:11.000]  But instead they leaked where we got it to further burn him to make it look like he gave out that intel.
[3:22:11.000 --> 3:22:13.000]  And again, that's why he's pissed at Comey.
[3:22:13.000 --> 3:22:17.000]  Comey would never go after them because he's a Democratic Party butt boy.
[3:22:17.000 --> 3:22:18.000]  Exactly right.
[3:22:18.000 --> 3:22:24.000]  So what was leaked to the Washington Post had everybody I talked to, they were rattled because they said,
[3:22:24.000 --> 3:22:29.000]  Sernovich, this is going to damage our relationship with our partners, but Trump didn't leak it.
[3:22:29.000 --> 3:22:31.000]  Trump didn't have those details.
[3:22:31.000 --> 3:22:35.000]  No president is given that granular detail about every raid you couldn't get it.
[3:22:35.000 --> 3:22:36.000]  You just like you.
[3:22:36.000 --> 3:22:38.000]  I mean, you have 65 employees.
[3:22:38.000 --> 3:22:42.000]  There could be people in some group closet right now doing God knows what, right?
[3:22:42.000 --> 3:22:45.000]  You can't keep track of every detail of everything that happens in every day.
[3:22:45.000 --> 3:22:46.000]  Same thing with the president.
[3:22:46.000 --> 3:22:49.000]  So he's not briefed on those details.
[3:22:49.000 --> 3:22:52.000]  The only 500 times worse for the president.
[3:22:52.000 --> 3:22:54.000]  It's 500 times worse for the president.
[3:22:54.000 --> 3:22:55.000]  What's your gut tell you?
[3:22:55.000 --> 3:22:57.000]  Well, the president survived this because here's the deal.
[3:22:57.000 --> 3:22:58.000]  They bring him down.
[3:22:58.000 --> 3:23:00.000]  He's like a storm wall, a firewall.
[3:23:00.000 --> 3:23:02.000]  They bring him down.
[3:23:02.000 --> 3:23:04.000]  I get we go forward with our movement.
[3:23:04.000 --> 3:23:06.000]  They are not going to just let us sit here.
[3:23:06.000 --> 3:23:07.000]  They want to destroy us.
[3:23:07.000 --> 3:23:09.000]  So in a way, he's like a shield.
[3:23:09.000 --> 3:23:10.000]  I'm not throwing the shield down.
[3:23:10.000 --> 3:23:12.000]  I mean, it's actually self serving.
[3:23:12.000 --> 3:23:13.000]  I'll be honest.
[3:23:13.000 --> 3:23:15.000]  My defense, the president is from my own family.
[3:23:15.000 --> 3:23:17.000]  Do people not get he's like the storm wall?
[3:23:17.000 --> 3:23:19.000]  I mean, you know, we need him.
[3:23:19.000 --> 3:23:21.000]  Well, I was going to leave the country.
[3:23:21.000 --> 3:23:26.000]  Actually, if Hillary Clinton had lunch, I would not be living in America because I didn't want to.
[3:23:26.000 --> 3:23:29.000]  But I was advised by high level sources that that was whether they were going to green light stuff against me.
[3:23:29.000 --> 3:23:32.000]  I know multiple veterans that were going to do the same.
[3:23:32.000 --> 3:23:34.000]  Don't defend Trump disease.
[3:23:34.000 --> 3:23:35.000]  The storm wall.
[3:23:35.000 --> 3:23:38.000]  Oh, I'm again, I'm not anti Trump.
[3:23:38.000 --> 3:23:44.000]  But the flip side to that is it is our job to in leadership, right?
[3:23:44.000 --> 3:23:46.000]  Our job is to also hold our leaders accountable.
[3:23:46.000 --> 3:23:47.000]  Let him know.
[3:23:47.000 --> 3:23:48.000]  Hey, I'm not some stooge.
[3:23:48.000 --> 3:23:50.000]  Alex Jones is at your stooge.
[3:23:50.000 --> 3:23:55.000]  We're not rubber stamps like the Democrats that don't care if Hillary's a warmonger or, you know, ripping people off in Haiti.
[3:23:55.000 --> 3:23:56.000]  I mean, I get it.
[3:23:56.000 --> 3:24:01.000]  I'm just saying Trump's done so much good that, I mean, I can't even run my own life at the time.
[3:24:01.000 --> 3:24:03.000]  And I'm pretty well confident and focused.
[3:24:03.000 --> 3:24:04.000]  I can't imagine how he's doing it.
[3:24:04.000 --> 3:24:07.000]  Oh, look, as he has a bunch of dishonorable trash.
[3:24:07.000 --> 3:24:13.000]  Look at the difference between the Democrats and Trump said this constantly during his campaign saying, I'm so much smarter than these people.
[3:24:13.000 --> 3:24:14.000]  I'm not even bragging.
[3:24:14.000 --> 3:24:15.000]  These people are just dumb.
[3:24:15.000 --> 3:24:16.000]  They're not very smart.
[3:24:16.000 --> 3:24:17.000]  Look at it.
[3:24:17.000 --> 3:24:18.000]  It's so clear to me.
[3:24:18.000 --> 3:24:19.000]  Look at the Democrats.
[3:24:19.000 --> 3:24:20.000]  Okay.
[3:24:20.000 --> 3:24:21.000]  Trump has a meeting and he's talking.
[3:24:21.000 --> 3:24:25.000]  He says, Hey guys, have you heard they're putting bombs and laptops now.
[3:24:25.000 --> 3:24:26.000]  They're making battery bombs.
[3:24:26.000 --> 3:24:27.000]  They're putting in laptops.
[3:24:27.000 --> 3:24:28.000]  This is crazy.
[3:24:28.000 --> 3:24:29.000]  What's going on?
[3:24:29.000 --> 3:24:30.000]  He just kind of brings it up in jests.
[3:24:30.000 --> 3:24:31.000]  Democrats freak out.
[3:24:31.000 --> 3:24:32.000]  They raise their throats of their hands.
[3:24:32.000 --> 3:24:33.000]  Oh my God.
[3:24:33.000 --> 3:24:35.000]  They didn't even know a bit of the news for two months.
[3:24:35.000 --> 3:24:38.000]  Meanwhile, this is how smart Trump is.
[3:24:38.000 --> 3:24:47.000]  Trump puts out a message saying, boy, I hope that James Comey doesn't put out his notes because I've got tapes.
[3:24:47.000 --> 3:24:48.000]  Boom.
[3:24:48.000 --> 3:24:50.000]  He just checkmated three days before.
[3:24:50.000 --> 3:24:51.000]  Checkmate.
[3:24:51.000 --> 3:24:53.000]  James Comey just got checkmated.
[3:24:53.000 --> 3:24:57.000]  And then, and then I think I'm telling you, Trump is putting out fake leaks to find holes in his ship.
[3:24:57.000 --> 3:25:01.000]  Trump, again, whether you like him or not, he is so much smarter than his opposite.
[3:25:01.000 --> 3:25:02.000]  I love him.
[3:25:02.000 --> 3:25:05.000]  And he is just crushing them on the ground level.
[3:25:05.000 --> 3:25:06.000]  Yeah.
[3:25:06.000 --> 3:25:07.000]  So, Senator, what about that?
[3:25:07.000 --> 3:25:09.000]  What about how he's showing the leaks?
[3:25:09.000 --> 3:25:12.000]  Sheriff Clark, actually, I just got a text message.
[3:25:12.000 --> 3:25:14.000]  Sheriff Clark might be joining the administration.
[3:25:14.000 --> 3:25:15.000]  Is that breaking news?
[3:25:15.000 --> 3:25:16.000]  That's good news.
[3:25:16.000 --> 3:25:17.000]  Let's look it up.
[3:25:17.000 --> 3:25:18.000]  That's Google Sheriff Clark.
[3:25:18.000 --> 3:25:20.000]  I'm getting information from sources that Sheriff Clark.
[3:25:20.000 --> 3:25:22.000]  Well, all I know is you heard this, too.
[3:25:22.000 --> 3:25:24.000]  Trump's planning this giant purge.
[3:25:24.000 --> 3:25:27.000]  You say, though, the purge is already happening by the enemy below.
[3:25:27.000 --> 3:25:29.000]  How will those two purges interact?
[3:25:29.000 --> 3:25:33.000]  Well, I don't know if it's true about Sheriff Clark joining the administration,
[3:25:33.000 --> 3:25:37.000]  then that would be Trump doing what I and Roger Stone had talked about,
[3:25:37.000 --> 3:25:40.000]  which is Sheriff Clark will go in and just start chopping heads off.
[3:25:40.000 --> 3:25:43.000]  He's very smart, very articulate, very charismatic.
[3:25:43.000 --> 3:25:45.000]  You know what he calls the left now?
[3:25:45.000 --> 3:25:47.000]  Did you see his most recent speech?
[3:25:47.000 --> 3:25:48.000]  Can I say it on there?
[3:25:48.000 --> 3:25:49.000]  Sure.
[3:25:49.000 --> 3:25:50.000]  The rat bastards.
[3:25:50.000 --> 3:25:51.000]  That's what he calls him.
[3:25:51.000 --> 3:25:52.000]  Rat bastards.
[3:25:52.000 --> 3:25:54.000]  And he didn't just say it like in passing.
[3:25:54.000 --> 3:25:58.000]  He went on for five minutes talking about how these people are rat bastards.
[3:25:58.000 --> 3:25:59.000]  You don't think he's going to get in and kill them?
[3:25:59.000 --> 3:26:00.000]  No.
[3:26:00.000 --> 3:26:01.000]  They want to destroy prosperity.
[3:26:01.000 --> 3:26:02.000]  They hate truthfulness.
[3:26:02.000 --> 3:26:03.000]  Like, I love Trump outgoing.
[3:26:03.000 --> 3:26:05.000]  Of course, I fired one of this made up Russian crap.
[3:26:05.000 --> 3:26:08.000]  They're like, oh, my God, you should have been the obstruction of justice.
[3:26:08.000 --> 3:26:09.000]  No, it's made up crap.
[3:26:09.000 --> 3:26:11.000]  But again, that's how smart he is.
[3:26:11.000 --> 3:26:15.000]  He fires Comey, who the Democrats said was incompetent and untrustworthy.
[3:26:15.000 --> 3:26:18.000]  That would, you would say, OK, well, then having that FBI director
[3:26:18.000 --> 3:26:19.000]  would be an obstruction of justice.
[3:26:19.000 --> 3:26:20.000]  He's incompetent.
[3:26:20.000 --> 3:26:21.000]  He's untrustworthy.
[3:26:21.000 --> 3:26:22.000]  I'm going to fire him.
[3:26:22.000 --> 3:26:23.000]  You're obstructing justice.
[3:26:23.000 --> 3:26:24.000]  Let me ask her.
[3:26:24.000 --> 3:26:27.000]  You fired the untrustworthy, incompetent FBI director we wanted fired.
[3:26:27.000 --> 3:26:28.000]  What the hell?
[3:26:28.000 --> 3:26:30.000]  In the next month or so, so I was on three hour shows.
[3:26:30.000 --> 3:26:32.000]  You won't be speaking interrupted by us here for an hour,
[3:26:32.000 --> 3:26:33.000]  but it's interesting talk.
[3:26:33.000 --> 3:26:34.000]  What do you make of Rupert Murdoch?
[3:26:34.000 --> 3:26:36.000]  We have this directly from the White House.
[3:26:36.000 --> 3:26:38.000]  Colin Trump was saying, look, I've decided to join with you.
[3:26:38.000 --> 3:26:41.000]  I've been flip-flopping, but they are planning to destroy you.
[3:26:41.000 --> 3:26:43.000]  And I guess he's been told he'll be destroyed now.
[3:26:43.000 --> 3:26:44.000]  I can just let him kind of halfway sell out.
[3:26:44.000 --> 3:26:46.000]  Because you know, they got dirt on Murdoch.
[3:26:46.000 --> 3:26:48.000]  You need to fire your whole upper echelon.
[3:26:48.000 --> 3:26:50.000]  And like you said, bring in good people.
[3:26:50.000 --> 3:26:52.000]  What does that intel mean to you?
[3:26:52.000 --> 3:26:54.000]  Did you have any information on that?
[3:26:54.000 --> 3:26:59.000]  Well, so what had happened with Fox is the Rupert Murdoch's sons are just betas
[3:26:59.000 --> 3:27:02.000]  and they're completely owned by their wives who are more liberal.
[3:27:02.000 --> 3:27:05.000]  And so Fox is going to be a liberal network.
[3:27:05.000 --> 3:27:06.000]  And we all know that.
[3:27:06.000 --> 3:27:07.000]  So Fox has done.
[3:27:07.000 --> 3:27:11.000]  My perspective on that is that Trump needs to be watching
[3:27:11.000 --> 3:27:14.000]  Info Wars live streams of the White House.
[3:27:14.000 --> 3:27:18.000]  Trump needs to be live streaming this stuff on YouTube, our Periscopes.
[3:27:18.000 --> 3:27:20.000]  He just doesn't need to be watching Fox News anymore.
[3:27:20.000 --> 3:27:22.000]  Those people are a lot of touch.
[3:27:22.000 --> 3:27:23.000]  They don't get votes.
[3:27:23.000 --> 3:27:24.000]  They don't bring people.
[3:27:24.000 --> 3:27:25.000]  Well, exactly.
[3:27:25.000 --> 3:27:28.000]  You know, Fox viewers were down 30 something percent of the election.
[3:27:28.000 --> 3:27:30.000]  They're another down of the 30 now.
[3:27:30.000 --> 3:27:35.000]  In fact, MSNBC and CNN are now beating Fox for the first time in 20 years.
[3:27:35.000 --> 3:27:36.000]  What?
[3:27:36.000 --> 3:27:37.000]  I mean, look at that.
[3:27:37.000 --> 3:27:38.000]  It's crazy.
[3:27:38.000 --> 3:27:40.000]  Well, they're out of touch.
[3:27:40.000 --> 3:27:41.000]  They're not.
[3:27:41.000 --> 3:27:45.000]  They're not patriots and people realize that they're just going to become a liberal night,
[3:27:45.000 --> 3:27:47.000]  a liberal light network.
[3:27:47.000 --> 3:27:49.000]  And that's just the way it's going to be whatever.
[3:27:49.000 --> 3:27:55.000]  The point is, though, this is a good opportunity for Info Wars and for Cernovich and Roger Stone
[3:27:55.000 --> 3:27:59.000]  and everybody else, the independent people to keep rising up.
[3:27:59.000 --> 3:28:03.000]  Because people tell me now, they go, I used to watch Fox News, but now I just watch you
[3:28:03.000 --> 3:28:07.000]  on the Alex Jones show because that's so much more informative than what I'm getting.
[3:28:07.000 --> 3:28:10.000]  I don't want to brag, but I mean, I walk around the street now and people are listening all around.
[3:28:10.000 --> 3:28:11.000]  I mean, it's gotten crazy.
[3:28:11.000 --> 3:28:13.000]  I don't know how we have this in the audience.
[3:28:13.000 --> 3:28:15.000]  All right, Cernovich, I'm going to turn this over to you.
[3:28:15.000 --> 3:28:16.000]  Thank you so much, my friend.
[3:28:16.000 --> 3:28:24.000]  Briefly, we've launched EmRick's Essentials that they demonize as selling high quality supplements.
[3:28:24.000 --> 3:28:30.000]  Maybe they'll call shampoo and concentrated 10 to 1 mouthwash and one of the top national organic brands,
[3:28:30.000 --> 3:28:33.000]  SnakePoo, SnakeChamPoo, because we're not allowed to sell anything.
[3:28:33.000 --> 3:28:34.000]  We're not allowed to sell gold coins.
[3:28:34.000 --> 3:28:35.000]  It's evil.
[3:28:35.000 --> 3:28:36.000]  We're not allowed to sell books.
[3:28:36.000 --> 3:28:37.000]  It's evil.
[3:28:37.000 --> 3:28:38.000]  Stop selling it so cheap.
[3:28:38.000 --> 3:28:40.000]  I was about to say, this is a big national brand.
[3:28:40.000 --> 3:28:42.000]  It's 20% off what it is in Whole Foods.
[3:28:42.000 --> 3:28:46.000]  25% off on top of that when it's time for auto-ship is an introductory offer.
[3:28:46.000 --> 3:28:48.000]  Our regular auto-ship is 10% off.
[3:28:48.000 --> 3:28:50.000]  It's all available at infowarstore.com.
[3:28:50.000 --> 3:28:52.000]  We have a bunch of group packs.
[3:28:52.000 --> 3:28:57.000]  It is the super natural sunscreen that is the regular size or organic based.
[3:28:57.000 --> 3:28:58.000]  It's not organic.
[3:28:58.000 --> 3:28:59.000]  It's not a life form.
[3:28:59.000 --> 3:29:05.000]  It's natural base of zinc, not the nano zinc for the sunscreen, the 10 to 1 mouthwash,
[3:29:05.000 --> 3:29:08.000]  the natural body wash, the shampoo, the natural bug spray.
[3:29:08.000 --> 3:29:15.000]  It works a BOA, infowarstore.com, AAA-253-3139, and the medial demon lives.
[3:29:15.000 --> 3:29:19.000]  He sells shampoo and mouthwash, and he sells toothbrushes.
[3:29:19.000 --> 3:29:20.000]  Sorry, Mike.
[3:29:20.000 --> 3:29:25.000]  No, no, I was going to say, children should be given these products because it's been
[3:29:25.000 --> 3:29:29.000]  proven that girls now are reaching puberty much younger than before.
[3:29:29.000 --> 3:29:31.000]  And young boys are actually having gyno.
[3:29:31.000 --> 3:29:36.000]  They're having, I'm not going to say what it's called, but it's BITCH test now because
[3:29:36.000 --> 3:29:37.000]  of the hormone disruption.
[3:29:37.000 --> 3:29:38.000]  That is causing that.
[3:29:38.000 --> 3:29:39.000]  That's right.
[3:29:39.000 --> 3:29:41.000]  That's why we've got organic systems with a plastic that doesn't have it all over.
[3:29:41.000 --> 3:29:42.000]  Oh, bug spray?
[3:29:42.000 --> 3:29:44.000]  Man, that bug spray they put out is so toxic, Alex.
[3:29:44.000 --> 3:29:45.000]  That's huge.
[3:29:45.000 --> 3:29:48.000]  It's EmRick's Essentials, my mental name, and it helps find the infowarst.
[3:29:48.000 --> 3:29:49.000]  Thank you all for your support.
[3:29:49.000 --> 3:30:18.000]  Mike's heard of what's coming up.
[3:30:19.000 --> 3:30:22.000]  This is a parallel investigation into Seth's mysterious death.
[3:30:22.000 --> 3:30:26.000]  Wheeler told Fox 5 DC, I have a source inside the police department that has looked me straight
[3:30:26.000 --> 3:30:30.000]  in the eye and said, Rod, we were told to stand down on this case, and I can't share
[3:30:30.000 --> 3:30:31.000]  any information with you.
[3:30:31.000 --> 3:30:35.000]  Now, that is highly unusual for a murder investigation, especially from a police department.
[3:30:35.000 --> 3:30:39.000]  When asked if there's information that links Seth Rich to WikiLeaks, Wheeler replied,
[3:30:39.000 --> 3:30:41.000]  absolutely, yeah, that's confirmed.
[3:30:41.000 --> 3:30:44.000]  Now, of course, the DC police are saying, oh no, there's no cover up.
[3:30:44.000 --> 3:30:48.000]  Neither they nor the FBI have been helping Wheeler out in this case.
[3:30:48.000 --> 3:30:52.000]  Chris Jones broke all this down in a video back in August of 2016 titled, Does a Sange
[3:30:52.000 --> 3:30:54.000]  Have Proof of Clinton Murder?
[3:30:54.000 --> 3:30:56.000]  Hashtag, Seth Rich is trending on Twitter.
[3:30:56.000 --> 3:30:58.000]  Let's see how long it takes him to bury it.
[3:30:58.000 --> 3:31:27.000]  Rob, you're reporting for Infowars.com and Infowars Nightly News.
[3:31:29.000 --> 3:31:54.000]  On the web at InfowarsTeam.com, that's Infowars.com.
[3:31:54.000 --> 3:32:01.000]  On the web at InfowarsTeam.com, that's InfowarsTeam.com.
[3:32:25.000 --> 3:32:29.000]  That's why the Last Surgeon General's report on oral health warns that your oral health
[3:32:29.000 --> 3:32:32.000]  can have a serious impact on your entire body.
[3:32:32.000 --> 3:32:35.000]  Super Blue fluoride-free toothpaste is a groundbreaking new formula.
[3:32:35.000 --> 3:32:38.000]  It's loaded with good halogen iodine, some of the bad halogen fluoride.
[3:32:38.000 --> 3:32:43.000]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out
[3:32:43.000 --> 3:32:45.000]  bad bacteria and eliminate bad breath.
[3:32:45.000 --> 3:32:50.000]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol,
[3:32:50.000 --> 3:32:53.000]  peppermint oil, iodine, nano silver and more.
[3:32:53.000 --> 3:32:58.000]  Learn more about Infowars Life Super Blue toothpaste at InfowarsLife.com
[3:32:58.000 --> 3:33:01.000]  and support the Infowars while you support healthy gums and teeth.
[3:33:09.000 --> 3:33:16.000]  Coming to you live from Southern California, one of the top investigative journalists in the world, Mike Cernovich.
[3:33:16.000 --> 3:33:24.000]  The amazing Patriots worldwide in defense of human liberty. You're listening to the Alex Jones show.
[3:33:24.000 --> 3:33:27.000]  Yeah, Mike Cernovich has taken over, but I just can't ever get away from a live microphone.
[3:33:27.000 --> 3:33:29.000]  I had them pull this clip an hour ago, we never played it.
[3:33:29.000 --> 3:33:34.000]  Here is Putin making jokes about all this crazyness earlier today in a press conference,
[3:33:34.000 --> 3:33:36.000]  and then Mike Cernovich will comment on that.
[3:33:36.000 --> 3:33:40.000]  We're going to skip the break coming up later, so Mike has more time.
[3:33:40.000 --> 3:33:43.000]  But here is this clip so Mike can respond.
[3:33:43.000 --> 3:34:01.000]  He says neither me nor the representatives of Russian intelligence services.
[3:34:01.000 --> 3:34:04.000]  It was very bad of him because he didn't give us any info.
[3:34:04.000 --> 3:34:12.000]  Moreover, the United States administration finds it's possible we are ready to provide a record of the Trump-Lavirov talks.
[3:34:12.000 --> 3:34:20.000]  So the U.S. Congress and Senate, of course, is the U.S. administration wants it.
[3:34:20.000 --> 3:34:25.000]  But at the same time, we see the political schizophrenia is developing in the United States.
[3:34:25.000 --> 3:34:28.000]  It has been a illness.
[3:34:28.000 --> 3:34:34.000]  And I cannot find any other explanation for accusations that Donald Trump had revealed some secret to Lavirov,
[3:34:34.000 --> 3:34:41.000]  unlike some random meeting.
[3:34:41.000 --> 3:34:46.000]  At first, we looked at how the Internet political process internal system in the U.S. is developing.
[3:34:46.000 --> 3:34:50.000]  We found it funny, but today it's not just sad. It worries us.
[3:34:50.000 --> 3:34:57.000]  Yeah. All of that has been done on the basis of incitement of anti-Russian sentiment.
[3:34:57.000 --> 3:35:06.000]  What surprises me is they are shaking up the domestic political situation in the United States using anti-Russian slogans.
[3:35:06.000 --> 3:35:11.000]  Either they don't understand the damage they're doing to their country, in which case they are simply stupid,
[3:35:11.000 --> 3:35:18.000]  or understanding everything. In this case, they are dangerous and corrupt people.
[3:35:18.000 --> 3:35:21.000]  Wow. That's all true, ladies and gentlemen.
[3:35:21.000 --> 3:35:25.000]  And they just intend to move forward, have an authoritarian takeover,
[3:35:25.000 --> 3:35:29.000]  in the claim that we're all Russian agents when the globalists are the ones destroying America.
[3:35:29.000 --> 3:35:34.000]  They have inverted reality. I don't see it working. Sorry. Let's go ahead and take over. I'm sorry. I'm still here.
[3:35:34.000 --> 3:35:38.000]  No, I mean, I'm glad to riff off each other because Putin nailed it.
[3:35:38.000 --> 3:35:44.000]  Trump didn't give the details to Putin. That's how we know it was McMaster. She's basic deductive reasoning.
[3:35:44.000 --> 3:35:47.000]  Who was in the room? Trump was. The Russians were.
[3:35:47.000 --> 3:35:52.000]  Dino Powell, Rex Tillerson, and McMaster. Tillerson didn't know any of the stuff.
[3:35:52.000 --> 3:35:55.000]  Dino Powell didn't have enough details to do it.
[3:35:55.000 --> 3:36:00.000]  It couldn't have been anybody who transcribed the meeting because Trump didn't have the details.
[3:36:00.000 --> 3:36:06.000]  McMaster is the leak. He leaked it, the Washington Post, as Putin confirming it essentially,
[3:36:06.000 --> 3:36:10.000]  confirming that, hey, it wasn't us. It was probably McMaster.
[3:36:10.000 --> 3:36:14.000]  But Putin says it's gone from funny to really be concerning. It is concerning.
[3:36:14.000 --> 3:36:19.000]  Yeah, there's a big investigation now, which hasn't really been made public yet.
[3:36:19.000 --> 3:36:25.000]  There's a massive investigation. It is being treated as a major, major security threat.
[3:36:25.000 --> 3:36:31.000]  The Washington Post people are likely going to be subpoenaed. There's going to be a whole big court case of this.
[3:36:31.000 --> 3:36:37.000]  Because, again, Trump didn't have the details. That means whoever leaked it to the Washington Post.
[3:36:37.000 --> 3:36:41.000]  Exactly. And I was about to ask, how does Trump counter-strike?
[3:36:41.000 --> 3:36:44.000]  Because they've committed so many crimes. They're ignoring all these leaks.
[3:36:44.000 --> 3:36:47.000]  How does he get on the offense? How does he change the subject?
[3:36:47.000 --> 3:36:51.000]  The way he changes the subject is GoPro president.
[3:36:51.000 --> 3:36:55.000]  I want to see live streams of him going to Israel and him going to Saudi Arabia.
[3:36:55.000 --> 3:37:02.000]  Sure, he's our real president. What about the idea that Drudge has of having a big military parade for veterans or something?
[3:37:02.000 --> 3:37:05.000]  Yeah, you could do that. You just have to change the news cycle.
[3:37:05.000 --> 3:37:10.000]  But what they do is they respond to the news that is made by the fake news media.
[3:37:10.000 --> 3:37:13.000]  They don't create news. They don't drive the news.
[3:37:13.000 --> 3:37:16.000]  Sure, let me ask you this then. Because I've studied a lot of political offices.
[3:37:16.000 --> 3:37:20.000]  And the Republicans used to do bad stuff too. Democrats have always been worse on average.
[3:37:20.000 --> 3:37:24.000]  But Trump is so pure and so not manipulative.
[3:37:24.000 --> 3:37:27.000]  He even admits, yeah, I got rid of the FBI because it's made up Russia thing.
[3:37:27.000 --> 3:37:32.000]  He didn't even lie about that. So comparing what he's trying to do to the establishment,
[3:37:32.000 --> 3:37:38.000]  they call that naive and stupid. They think straight shooting is dirty and bad.
[3:37:38.000 --> 3:37:42.000]  Yeah, but again, it all comes down to this Alex.
[3:37:42.000 --> 3:37:46.000]  The world is nothing but a recurring news cycle.
[3:37:46.000 --> 3:37:51.000]  You're either making news, you're either breaking news or you're caught in somebody else's news cycle.
[3:37:51.000 --> 3:37:54.000]  You and I, right now we can have a conversation.
[3:37:54.000 --> 3:38:00.000]  For example, when we kind of made a joke about Obama, you know, an absentee father, that became news.
[3:38:00.000 --> 3:38:05.000]  That was covered in every national paper in the world, essentially. We can drive news cycles.
[3:38:05.000 --> 3:38:15.000]  Oh, I'm glad you raised this. I said on tape, live at like 12 noon, that first of all sorts segment with Roger Stone, right here yesterday,
[3:38:15.000 --> 3:38:20.000]  I said, oh, yeah, look at those lips on McMaster as he was smiling whenever clearly he was the leaker.
[3:38:20.000 --> 3:38:25.000]  I said, he looks like he can suck a golf ball through a garden hose because he was asking Stone was,
[3:38:25.000 --> 3:38:28.000]  why did all these national intelligence guys have bald heads?
[3:38:28.000 --> 3:38:31.000]  And I said, nothing against bald heads, nothing against gay people.
[3:38:31.000 --> 3:38:37.000]  Maybe he's a leather daddy. I saw some South Park episode about bald headed guys and leather outfits.
[3:38:37.000 --> 3:38:41.000]  Something like the YMCA song or something.
[3:38:41.000 --> 3:38:46.000]  The point is, I made a joke knowing they'd pick it up everywhere so I could respond today.
[3:38:46.000 --> 3:38:48.000]  I kind of forgotten about what I did.
[3:38:48.000 --> 3:38:56.000]  Say, wait a minute, Keith Oberman can claim that his, his holster, that Trump is the holster for his, his, his genitalia.
[3:38:56.000 --> 3:38:58.000]  That's okay for Keith Oberman.
[3:38:58.000 --> 3:39:01.000]  But when I do it, I'm this horrible anti gay person.
[3:39:01.000 --> 3:39:05.000]  No, it was a joke. I don't believe McMaster is gay.
[3:39:05.000 --> 3:39:08.000]  So what if he is, we were saying, why does he have a bald head?
[3:39:08.000 --> 3:39:12.000]  Look at those big lips. It was a joke. Everybody else can make jokes.
[3:39:12.000 --> 3:39:16.000]  Why can't I, again, they don't get the game they're playing.
[3:39:16.000 --> 3:39:20.000]  And now that's all over the news that I think McMaster is gay and I hate gay people.
[3:39:20.000 --> 3:39:27.000]  I never said any of that. I knew I would troll them because Stephen Colbert said something even more about Trump.
[3:39:27.000 --> 3:39:32.000]  Saturday Night Live, every episode says that Trump wants to have sex with Spicer.
[3:39:32.000 --> 3:39:35.000]  He's crawling on top of him. It's not true.
[3:39:35.000 --> 3:39:38.000]  Why is it okay for them, but not for me?
[3:39:38.000 --> 3:39:42.000]  So those are just the rules of engagement. We're not allowed to do satire.
[3:39:42.000 --> 3:39:53.000]  But the bigger point you touched on, which is so important, is that if you and I want to, we can say, hey, Alex, we want to get the media talking and we can create a news cycle.
[3:39:53.000 --> 3:39:56.000]  That means the media has to respond to what we say.
[3:39:56.000 --> 3:40:04.000]  Well, Trump's current communications department policy is, oh, the media's asking us questions. We better answer their questions.
