[00:00.000 --> 00:02.000]  Wait and feel great!
[2:02:49.700 --> 2:02:52.700]  There's no sign that Obama ever attended Columbia
[2:02:52.700 --> 2:02:53.700]  during those years.
[2:02:53.700 --> 2:02:55.700]  This is the big mystery.
[2:02:55.700 --> 2:02:58.700]  I think that's when he was recruited by Brzezinski.
[2:02:58.700 --> 2:03:01.700]  If you're in a state where it's clear
[2:03:01.700 --> 2:03:03.700]  that it's going to go one way or another,
[2:03:03.700 --> 2:03:06.700]  if you're in a state like Texas
[2:03:06.700 --> 2:03:09.700]  is pretty much a lost cause for Obama,
[2:03:09.700 --> 2:03:13.700]  then you can think about trying to make a statement
[2:03:13.700 --> 2:03:15.700]  with these third-party votes.
[2:03:15.700 --> 2:03:17.700]  You've got to do what's congenial for you
[2:03:17.700 --> 2:03:20.700]  and some people obviously are going to want to support them
[2:03:20.700 --> 2:03:23.700]  and maybe out of that some of these third parties
[2:03:23.700 --> 2:03:25.700]  can come out with a permanent infrastructure
[2:03:25.700 --> 2:03:26.700]  and some government funding.
[2:03:26.700 --> 2:03:28.700]  That would be a good thing.
[2:03:28.700 --> 2:03:29.700]  Yeah, I mean, obviously,
[2:03:29.700 --> 2:03:31.700]  the way I look at it in New York,
[2:03:31.700 --> 2:03:33.700]  they're going to vote Obama no matter what.
[2:03:33.700 --> 2:03:37.700]  I don't see McCain getting the New York vote.
[2:03:37.700 --> 2:03:38.700]  I'm voting third-party,
[2:03:38.700 --> 2:03:41.700]  and I hope other people in New York vote third-party as well.
[2:03:41.700 --> 2:03:43.700]  New York can show there's a lot of change.
[2:03:43.700 --> 2:03:45.700]  I think California is the same way.
[2:03:45.700 --> 2:03:46.700]  I mean, that's going Obama.
[2:03:46.700 --> 2:03:47.700]  I mean, you don't think that John McCain
[2:03:47.700 --> 2:03:49.700]  has a shot in either of those two states.
[2:03:49.700 --> 2:03:51.700]  No, but this is a very, very close election,
[2:03:51.700 --> 2:03:53.700]  and I do believe that any place
[2:03:53.700 --> 2:03:55.700]  where you have blue-collar workers,
[2:03:55.700 --> 2:03:57.700]  the thing, the group that's undercounted
[2:03:57.700 --> 2:03:59.700]  are the Puma Democrats,
[2:03:59.700 --> 2:04:02.700]  the Reagan Democrats, the Hillary Clinton Democrats.
[2:04:02.700 --> 2:04:06.700]  It's about 25% of the Democratic Party
[2:04:06.700 --> 2:04:09.700]  who just, they will not vote for Obama,
[2:04:09.700 --> 2:04:11.700]  and I think there's going to be a surprise.
[2:04:11.700 --> 2:04:14.700]  The whole Appalachian area in particular
[2:04:14.700 --> 2:04:16.700]  is fundamentally hostile to Obama
[2:04:16.700 --> 2:04:18.700]  because they have a class instinct.
[2:04:18.700 --> 2:04:21.700]  They can see that Obama is a class enemy.
[2:04:21.700 --> 2:04:23.700]  He's somebody who's coming to impose
[2:04:23.700 --> 2:04:26.700]  crushing austerity in the name of the Wall Street banks.
[2:04:26.700 --> 2:04:29.700]  He's an elitist. He's an oligarch.
[2:04:29.700 --> 2:04:32.700]  He's a puppet. He has no life of his own.
[2:04:32.700 --> 2:04:34.700]  Everything that he's got has been given to him
[2:04:34.700 --> 2:04:36.700]  by these bankers.
[2:04:36.700 --> 2:04:38.700]  All right, Web, so we're going to take some other calls
[2:04:38.700 --> 2:04:40.700]  on the next segment,
[2:04:40.700 --> 2:04:43.700]  and in about, I think, 20 minutes,
[2:04:43.700 --> 2:04:46.700]  it's going to be Willie Nelson on the tour bus,
[2:04:46.700 --> 2:04:48.700]  the legendary country music icon
[2:04:48.700 --> 2:04:50.700]  here at infowars.com, prisonplan.com.
[2:04:50.700 --> 2:04:52.700]  I am Jason Burma, subbing in for Alex Jones.
[2:04:52.700 --> 2:04:55.700]  Remember Ray McGovern at 2 p.m.
[2:04:55.700 --> 2:05:24.700]  We'll be back after this.
[2:05:25.700 --> 2:05:27.700]  We'll see you next time.
[2:05:55.700 --> 2:05:57.700]  FreedomOnMyTV.com
[2:05:57.700 --> 2:06:26.700]  Today.
[2:06:27.700 --> 2:06:29.700]  That is the ultimate 9-11 expose.
[2:06:29.700 --> 2:06:32.700]  From hijackers being trained at U.S. military bases
[2:06:32.700 --> 2:06:34.700]  to bombs in the buildings,
[2:06:34.700 --> 2:06:36.700]  Loose Change Final Cut is the one 9-11 film
[2:06:36.700 --> 2:06:37.700]  everyone must see.
[2:06:37.700 --> 2:06:40.700]  Secure your copy of Loose Change Final Cut today
[2:06:40.700 --> 2:06:42.700]  at infowars.com or prisonplan.com.
[2:06:42.700 --> 2:06:44.700]  While you're visiting the online video store,
[2:06:44.700 --> 2:06:46.700]  be sure to check out the huge discounts
[2:06:46.700 --> 2:06:48.700]  on films like Endgame,
[2:06:48.700 --> 2:06:49.700]  Blueprint for Global Enslavement,
[2:06:49.700 --> 2:06:51.700]  America, Freedom to Fascism,
[2:06:51.700 --> 2:06:53.700]  and hundreds of other titles.
[2:06:53.700 --> 2:06:55.700]  We're in a no-holds-far information war.
[2:06:55.700 --> 2:06:57.700]  Truth is our weapon,
[2:06:57.700 --> 2:06:59.700]  and prisonplan.com has the tools you need
[2:06:59.700 --> 2:07:01.700]  to take the fight back to Big Brother.
[2:07:01.700 --> 2:07:03.700]  Alex Jones here with a question.
[2:07:03.700 --> 2:07:05.700]  What does humidity mean to you?
[2:07:05.700 --> 2:07:07.700]  Most people think of hot and sticky summer days,
[2:07:07.700 --> 2:07:09.700]  but many people are beginning to realize
[2:07:09.700 --> 2:07:11.700]  that humidity can be a valuable source
[2:07:11.700 --> 2:07:13.700]  of pure drinking water.
[2:07:13.700 --> 2:07:15.700]  That's why I'd like you to visit
[2:07:15.700 --> 2:07:17.700]  AkolaBlue.com.
[2:07:17.700 --> 2:07:19.700]  AkolaBlue is a state-of-the-art
[2:07:19.700 --> 2:07:21.700]  atmospheric water generator
[2:07:21.700 --> 2:07:23.700]  producing purified drinking water
[2:07:23.700 --> 2:07:25.700]  using reverse osmosis
[2:07:25.700 --> 2:07:27.700]  and a five-stage carbon and UV
[2:07:27.700 --> 2:07:29.700]  light filtration system
[2:07:29.700 --> 2:07:31.700]  which produces great-tasting water
[2:07:31.700 --> 2:07:33.700]  at an unbeatable price.
[2:07:33.700 --> 2:07:35.700]  Finally, drinking water that you control,
[2:07:35.700 --> 2:07:37.700]  I use one every day.
[2:07:37.700 --> 2:07:39.700]  Say goodbye to expensive water delivery services
[2:07:39.700 --> 2:07:41.700]  and storing five-gallon bottles of water
[2:07:41.700 --> 2:07:43.700]  in your home.
[2:07:43.700 --> 2:07:45.700]  The AkolaBlue 28 is shipped right to your home,
[2:07:45.700 --> 2:07:47.700]  ready to make close to seven gallons a day
[2:07:47.700 --> 2:07:49.700]  right out of the box.
[2:07:49.700 --> 2:07:51.700]  They have a 30-day money-back guarantee.
[2:07:51.700 --> 2:07:53.700]  You can buy the AkolaBlue right now
[2:07:53.700 --> 2:07:55.700]  at 866-585-4044.
[2:07:55.700 --> 2:07:57.700]  That's 866-585-4044.
[2:07:57.700 --> 2:07:59.700]  Or visit AkolaBlue at
[2:07:59.700 --> 2:08:01.700]  E-C-O-L-O-B-L-U-E.com today.
[2:08:01.700 --> 2:08:03.700]  The Genesis Communications Radio Network
[2:08:03.700 --> 2:08:05.700]  proudly presents
[2:08:05.700 --> 2:08:07.700]  The Alex Jones Show
[2:08:07.700 --> 2:08:09.700]  because there's a war on for your mind.
[2:08:15.700 --> 2:08:17.700]  All right, folks, we are back.
[2:08:17.700 --> 2:08:19.700]  It's The Alex Jones Show.
[2:08:19.700 --> 2:08:21.700]  And with Webster Tarpley,
[2:08:21.700 --> 2:08:23.700]  our guests, and we've got callers on the line,
[2:08:23.700 --> 2:08:25.700]  we're discussing the bailout, the elections,
[2:08:25.700 --> 2:08:27.700]  you know, Webster's books,
[2:08:27.700 --> 2:08:29.700]  Obama the Post, Modern Coon.
[2:08:29.700 --> 2:08:31.700]  What is Obama the Presidency H2O?
[2:08:31.700 --> 2:08:33.700]  What was it? I'm sorry, man.
[2:08:33.700 --> 2:08:35.700]  What is it?
[2:08:35.700 --> 2:08:37.700]  Obama, the unauthorized biography.
[2:08:37.700 --> 2:08:39.700]  The unauthorized biography,
[2:08:39.700 --> 2:08:41.700]  kind of like your George Bush
[2:08:41.700 --> 2:08:43.700]  unauthorized biography, which is really a tradition.
[2:08:43.700 --> 2:08:45.700]  Let me just add one quick thing.
[2:08:45.700 --> 2:08:47.700]  You know, one person from the 9-11 Truth Movement
[2:08:47.700 --> 2:08:49.700]  who I think completely understood
[2:08:49.700 --> 2:08:51.700]  the profound change,
[2:08:51.700 --> 2:08:53.700]  the phase change that we've gone through
[2:08:53.700 --> 2:08:55.700]  is Phil Berg.
[2:08:55.700 --> 2:08:57.700]  And Phil Berg, I believe,
[2:08:57.700 --> 2:08:59.700]  will be at the Supreme Court
[2:08:59.700 --> 2:09:01.700]  here in Washington, the United States Supreme Court
[2:09:01.700 --> 2:09:03.700]  attempting to argue his case
[2:09:03.700 --> 2:09:05.700]  which has been defeated.
[2:09:05.700 --> 2:09:07.700]  Yeah, he's appealing it, right?
[2:09:07.700 --> 2:09:09.700]  Yeah, this is an appeal.
[2:09:09.700 --> 2:09:11.700]  It's a direct interlocutory appeal
[2:09:11.700 --> 2:09:13.700]  to the Supremes
[2:09:13.700 --> 2:09:15.700]  that Obama is not a natural-born citizen,
[2:09:15.700 --> 2:09:17.700]  as a citizen of Indonesia,
[2:09:17.700 --> 2:09:19.700]  making him an illegal alien.
[2:09:19.700 --> 2:09:21.700]  And people who are concerned about illegal aliens
[2:09:21.700 --> 2:09:23.700]  better start with this one,
[2:09:23.700 --> 2:09:25.700]  or it's going to be a lost cause
[2:09:25.700 --> 2:09:27.700]  any other way.
[2:09:27.700 --> 2:09:29.700]  So Berg is waging a valiant struggle
[2:09:29.700 --> 2:09:31.700]  and I urge people to support him.
[2:09:31.700 --> 2:09:33.700]  He's got a website called Obama Crimes.
[2:09:33.700 --> 2:09:35.700]  You can go there and give him a contribution.
[2:09:35.700 --> 2:09:37.700]  Encourage him.
[2:09:37.700 --> 2:09:39.700]  He's gotten tremendous media impact.
[2:09:39.700 --> 2:09:41.700]  He's got 70 to 80 million hits
[2:09:41.700 --> 2:09:43.700]  on this website in about two months.
[2:09:43.700 --> 2:09:45.700]  And this is an example of somebody
[2:09:45.700 --> 2:09:47.700]  who learned the lesson of 9-11,
[2:09:47.700 --> 2:09:49.700]  which is covert operations
[2:09:49.700 --> 2:09:51.700]  by the intelligence agencies
[2:09:51.700 --> 2:09:53.700]  designed to manipulate public
[2:09:53.700 --> 2:09:55.700]  opinion are bad,
[2:09:55.700 --> 2:09:57.700]  whether they're left cover like Obama
[2:09:57.700 --> 2:09:59.700]  or the right-wing racist
[2:09:59.700 --> 2:10:01.700]  war on terror stuff from 9-11.
[2:10:01.700 --> 2:10:03.700]  Not to get off on the tangent
[2:10:03.700 --> 2:10:05.700]  before we go into calls,
[2:10:05.700 --> 2:10:07.700]  but you just mentioned the
[2:10:07.700 --> 2:10:09.700]  Kenya citizenship thing.
[2:10:09.700 --> 2:10:11.700]  Do you think that's something that might come out after
[2:10:11.700 --> 2:10:13.700]  this man is already president
[2:10:13.700 --> 2:10:15.700]  and will automatically amend the Constitution?
[2:10:15.700 --> 2:10:17.700]  No, I think there are a lot of things
[2:10:17.700 --> 2:10:19.700]  that are held over Obama's head for control.
[2:10:19.700 --> 2:10:21.700]  In other words, the whole Resco
[2:10:21.700 --> 2:10:23.700]  complex, the whole
[2:10:23.700 --> 2:10:25.700]  sewer and cesspool
[2:10:25.700 --> 2:10:27.700]  of corruption with
[2:10:27.700 --> 2:10:29.700]  Tony Resco, not Kami Auchi,
[2:10:29.700 --> 2:10:31.700]  Al Samari, these characters
[2:10:31.700 --> 2:10:33.700]  from, well, from Chicago,
[2:10:33.700 --> 2:10:35.700]  but also from the Eastern Mediterranean.
[2:10:35.700 --> 2:10:37.700]  They're all Levantine Arabs.
[2:10:37.700 --> 2:10:39.700]  Obama's got
[2:10:39.700 --> 2:10:41.700]  these three convicted felons that are his godfathers.
[2:10:41.700 --> 2:10:43.700]  I'm sure that the feds
[2:10:43.700 --> 2:10:45.700]  could indict Obama at any time,
[2:10:45.700 --> 2:10:47.700]  but they're holding that over his head.
[2:10:47.700 --> 2:10:49.700]  If people are interested in
[2:10:49.700 --> 2:10:51.700]  Obama, the unauthorized biography,
[2:10:51.700 --> 2:10:53.700]  I do that in comparison to Harry S. Truman,
[2:10:53.700 --> 2:10:55.700]  who was controlled, among other things,
[2:10:55.700 --> 2:10:57.700]  in the same way. With Truman, it was
[2:10:57.700 --> 2:10:59.700]  the Pendergast machine
[2:10:59.700 --> 2:11:01.700]  in Missouri that he came out of.
[2:11:01.700 --> 2:11:03.700]  Truman could have been indicted at any point
[2:11:03.700 --> 2:11:05.700]  that the bankers decided that he wasn't
[2:11:05.700 --> 2:11:07.700]  obeying them.
[2:11:07.700 --> 2:11:09.700]  Obama will be the same story. I'd rather think
[2:11:09.700 --> 2:11:11.700]  that the hope of the ruling elite
[2:11:11.700 --> 2:11:13.700]  is to keep the citizenship issue
[2:11:13.700 --> 2:11:15.700]  as yet another means to beat him over the head
[2:11:15.700 --> 2:11:17.700]  if he starts getting rambunctious in office.
[2:11:17.700 --> 2:11:19.700]  All right, let's go to
[2:11:19.700 --> 2:11:21.700]  callers. Let's take Aaron in California.
[2:11:21.700 --> 2:11:23.700]  Aaron, are you with us?
[2:11:23.700 --> 2:11:25.700]  Yeah, hi, Jason and Webster.
[2:11:25.700 --> 2:11:27.700]  Just wanted to talk
[2:11:27.700 --> 2:11:29.700]  about Michelle Obama,
[2:11:29.700 --> 2:11:31.700]  when she gave that big speech where she was wearing
[2:11:31.700 --> 2:11:33.700]  that teal shirt of some type, right
[2:11:33.700 --> 2:11:35.700]  smack in the middle of her shirt was a sun symbol.
[2:11:35.700 --> 2:11:37.700]  Sure enough, today on the Drudge Report,
[2:11:37.700 --> 2:11:39.700]  there's a picture of her from yesterday
[2:11:39.700 --> 2:11:41.700]  on Jay Leno
[2:11:41.700 --> 2:11:43.700]  or maybe a few days ago
[2:11:43.700 --> 2:11:45.700]  when she's got a sun symbol right on her shirt.
[2:11:45.700 --> 2:11:47.700]  Is that a coincidence?
[2:11:47.700 --> 2:11:49.700]  I don't think so.
[2:11:49.700 --> 2:11:51.700]  I'll say this. They're CFR.
[2:11:51.700 --> 2:11:53.700]  They're obviously globalist.
[2:11:53.700 --> 2:11:55.700]  They're obviously
[2:11:55.700 --> 2:11:57.700]  social climbers as well.
[2:11:57.700 --> 2:11:59.700]  Are they into the occult? I don't know.
[2:11:59.700 --> 2:12:01.700]  I don't know if they go to Bohemian Grove.
[2:12:01.700 --> 2:12:03.700]  I don't know how seriously they would take that.
[2:12:03.700 --> 2:12:05.700]  I've seen a whole lot of evidence,
[2:12:05.700 --> 2:12:07.700]  but it does follow suit. It does seem like
[2:12:07.700 --> 2:12:09.700]  a lot of the upper echelon elites
[2:12:09.700 --> 2:12:11.700]  do get into that sort of thing.
[2:12:11.700 --> 2:12:13.700]  So is it a possibility? Yes.
[2:12:13.700 --> 2:12:15.700]  Is it a probability?
[2:12:15.700 --> 2:12:17.700]  Let me weigh in with some more evidence.
[2:12:17.700 --> 2:12:19.700]  These people, this is
[2:12:19.700 --> 2:12:21.700]  the deployment of the trilateral
[2:12:21.700 --> 2:12:23.700]  Bilderberg Rand
[2:12:23.700 --> 2:12:25.700]  Chicago School right now.
[2:12:25.700 --> 2:12:27.700]  In other words, this is what the trilaterals
[2:12:27.700 --> 2:12:29.700]  and Bilderbergers are doing right now
[2:12:29.700 --> 2:12:31.700]  in our time.
[2:12:31.700 --> 2:12:33.700]  It's not like they want McCain or Hillary Clinton
[2:12:33.700 --> 2:12:35.700]  or John Edwards.
[2:12:35.700 --> 2:12:37.700]  It's these people.
[2:12:37.700 --> 2:12:39.700]  They are the prime deployment.
[2:12:39.700 --> 2:12:41.700]  That thing, I suppose, that's the old
[2:12:41.700 --> 2:12:43.700]  stolen Victor Smithra
[2:12:43.700 --> 2:12:45.700]  from the Byzantine Empire.
[2:12:45.700 --> 2:12:47.700]  The other thing you've got to see about these people
[2:12:47.700 --> 2:12:49.700]  is the foundation.
[2:12:49.700 --> 2:12:51.700]  I haven't talked about that enough.
[2:12:51.700 --> 2:12:53.700]  The mother of Obama worked for the Ford Foundation,
[2:12:53.700 --> 2:12:55.700]  top official. Obama's whole life
[2:12:55.700 --> 2:12:57.700]  is working for foundations.
[2:12:57.700 --> 2:12:59.700]  The Joyce, the Camelio, the Woods,
[2:12:59.700 --> 2:13:01.700]  his friend, the weatherman, terrorist,
[2:13:01.700 --> 2:13:03.700]  bomber, killer, butcher,
[2:13:03.700 --> 2:13:05.700]  cop killer, Bill Ayers.
[2:13:05.700 --> 2:13:07.700]  You've got all sorts of money from
[2:13:07.700 --> 2:13:09.700]  the Annenberg Foundation.
[2:13:09.700 --> 2:13:11.700]  Tens of millions of dollars.
[2:13:11.700 --> 2:13:13.700]  Bernardine Dorn, another weatherman,
[2:13:13.700 --> 2:13:15.700]  terrorist, butcher, cop killer
[2:13:15.700 --> 2:13:17.700]  comes with money from the MacArthur Foundation.
[2:13:17.700 --> 2:13:19.700]  How does this happen?
[2:13:19.700 --> 2:13:21.700]  Well, my explanation is, having known
[2:13:21.700 --> 2:13:23.700]  these people, I knew them personally
[2:13:23.700 --> 2:13:25.700]  at least from a distance in SDS
[2:13:25.700 --> 2:13:27.700]  40 years ago,
[2:13:27.700 --> 2:13:29.700]  those were always agents.
[2:13:29.700 --> 2:13:31.700]  They were always operatives.
[2:13:31.700 --> 2:13:33.700]  They were foundation-funded terrorists
[2:13:33.700 --> 2:13:35.700]  in the middle 1960s,
[2:13:35.700 --> 2:13:37.700]  and Obama has bought into this
[2:13:37.700 --> 2:13:39.700]  mentality. In other words, with Obama,
[2:13:39.700 --> 2:13:41.700]  you are, in effect, putting a weatherman
[2:13:41.700 --> 2:13:43.700]  terrorist into the White House
[2:13:43.700 --> 2:13:45.700]  or someone who thinks like a
[2:13:45.700 --> 2:13:47.700]  weatherman terrorist, because as far as
[2:13:47.700 --> 2:13:49.700]  I can see, Bill Ayers is the guy's
[2:13:49.700 --> 2:13:51.700]  best friend, and that represents
[2:13:51.700 --> 2:13:53.700]  a very, very personal choice for him.
[2:13:53.700 --> 2:13:55.700]  All right, let's jump to
[2:13:55.700 --> 2:13:57.700]  Daniel in California.
[2:13:57.700 --> 2:13:59.700]  Daniel, what's on your mind?
[2:13:59.700 --> 2:14:01.700]  You there, Daniel?
[2:14:01.700 --> 2:14:03.700]  Yes, Jason. I'm a first-time caller,
[2:14:03.700 --> 2:14:05.700]  and I wanted to bring up
[2:14:05.700 --> 2:14:07.700]  the subject on why
[2:14:07.700 --> 2:14:09.700]  Obama supporters are so
[2:14:09.700 --> 2:14:11.700]  fervorite over Obama.
[2:14:11.700 --> 2:14:13.700]  Okay.
[2:14:13.700 --> 2:14:15.700]  Basically, I've
[2:14:15.700 --> 2:14:17.700]  found a pretty plausible
[2:14:17.700 --> 2:14:19.700]  theory as to why that's the case.
[2:14:21.700 --> 2:14:23.700]  Basically,
[2:14:23.700 --> 2:14:25.700]  he uses hidden
[2:14:25.700 --> 2:14:27.700]  or covert hypnosis techniques
[2:14:27.700 --> 2:14:29.700]  in his speeches.
[2:14:29.700 --> 2:14:31.700]  Let me say this before we get
[2:14:31.700 --> 2:14:33.700]  into hypnosis and things like that.
[2:14:33.700 --> 2:14:35.700]  People
[2:14:35.700 --> 2:14:37.700]  orate and speak a certain way. They move their hands.
[2:14:37.700 --> 2:14:39.700]  There's a guy out in the UK that does a
[2:14:39.700 --> 2:14:41.700]  show. It's not David
[2:14:41.700 --> 2:14:43.700]  Blaine's stuff. His name is Darren Brown.
[2:14:43.700 --> 2:14:45.700]  It's more how the mind works,
[2:14:45.700 --> 2:14:47.700]  how you're able to plant certain
[2:14:47.700 --> 2:14:49.700]  words, so
[2:14:49.700 --> 2:14:51.700]  certain parts of the brain activate to move
[2:14:51.700 --> 2:14:53.700]  certain manner. And these people are especially
[2:14:53.700 --> 2:14:55.700]  agents that are recruited
[2:14:55.700 --> 2:14:57.700]  by intelligence organizations like
[2:14:57.700 --> 2:14:59.700]  the CIA and the NSA when they're going
[2:14:59.700 --> 2:15:01.700]  to be speakers or taught these techniques
[2:15:01.700 --> 2:15:03.700]  that are there
[2:15:03.700 --> 2:15:05.700]  to basically corral people
[2:15:05.700 --> 2:15:07.700]  to convince them to persuade
[2:15:07.700 --> 2:15:09.700]  them to do things. Isn't that correct, Webster?
[2:15:09.700 --> 2:15:11.700]  Yes. In particular, though,
[2:15:11.700 --> 2:15:13.700]  there's also the emotional need.
[2:15:13.700 --> 2:15:15.700]  In other words, when somebody joins
[2:15:15.700 --> 2:15:17.700]  what amounts to a fascist mass
[2:15:17.700 --> 2:15:19.700]  movement or neo-fascist mass movement of the Obama
[2:15:19.700 --> 2:15:21.700]  type, they're doing this
[2:15:21.700 --> 2:15:23.700]  for the satisfaction of immediate emotional needs.
[2:15:23.700 --> 2:15:25.700]  In effect, they
[2:15:25.700 --> 2:15:27.700]  want to be duped.
[2:15:27.700 --> 2:15:29.700]  Part of it is the hatred for Bush
[2:15:29.700 --> 2:15:31.700]  Cheney and the neocons, which I can understand,
[2:15:31.700 --> 2:15:33.700]  which I, in some ways, I share,
[2:15:33.700 --> 2:15:35.700]  has blinded people, and that's where
[2:15:35.700 --> 2:15:37.700]  you have to part company. They've lost
[2:15:37.700 --> 2:15:39.700]  all criteria of judgment
[2:15:39.700 --> 2:15:41.700]  as long as you're something other than
[2:15:41.700 --> 2:15:43.700]  Bush Cheney. There's also this question
[2:15:43.700 --> 2:15:45.700]  of alienation.
[2:15:45.700 --> 2:15:47.700]  The previous caller mentioned Michelle Obama.
[2:15:47.700 --> 2:15:49.700]  The centerpiece of Michelle Obama's
[2:15:49.700 --> 2:15:51.700]  speeches during the primaries was
[2:15:51.700 --> 2:15:53.700]  this stuff about our souls are broken.
[2:15:53.700 --> 2:15:55.700]  We all have broken souls.
[2:15:55.700 --> 2:15:57.700]  We need the healing touch
[2:15:57.700 --> 2:15:59.700]  of the beatific
[2:15:59.700 --> 2:16:01.700]  personality, the one, the Messiah,
[2:16:01.700 --> 2:16:03.700]  the Mahdi, Barack Obama.
[2:16:03.700 --> 2:16:05.700]  There's a
[2:16:05.700 --> 2:16:07.700]  passage in mind comp by Hitler
[2:16:07.700 --> 2:16:09.700]  where he talks about the fact that if
[2:16:09.700 --> 2:16:11.700]  you're a worker and you're in your factory,
[2:16:11.700 --> 2:16:13.700]  you're living an alienated life
[2:16:13.700 --> 2:16:15.700]  where nothing really belongs to you
[2:16:15.700 --> 2:16:17.700]  emotionally, but if you go to
[2:16:17.700 --> 2:16:19.700]  a national socialist rally,
[2:16:19.700 --> 2:16:21.700]  then you feel fulfilled
[2:16:21.700 --> 2:16:23.700]  nationally, racially, and in all these
[2:16:23.700 --> 2:16:25.700]  other ways. And there's a very similar
[2:16:25.700 --> 2:16:27.700]  dynamic in these Obama mass
[2:16:27.700 --> 2:16:29.700]  meetings. The fact that he
[2:16:29.700 --> 2:16:31.700]  prefers stadiums,
[2:16:31.700 --> 2:16:33.700]  he prefers large crowds.
[2:16:33.700 --> 2:16:35.700]  Again, read mind comp. Hitler says
[2:16:35.700 --> 2:16:37.700]  the bigger the crowd,
[2:16:37.700 --> 2:16:39.700]  the more easy it is to control.
[2:16:39.700 --> 2:16:41.700]  The more people that are there,
[2:16:41.700 --> 2:16:43.700]  the more you can brainwash them.
[2:16:43.700 --> 2:16:45.700]  The more undifferentiated.
[2:16:45.700 --> 2:16:47.700]  In other words, what you want is the messy mass.
[2:16:47.700 --> 2:16:49.700]  Not people who are there as consumers
[2:16:49.700 --> 2:16:51.700]  or workers or housewives, but just
[2:16:51.700 --> 2:16:53.700]  the mass. And when you've got
[2:16:53.700 --> 2:16:55.700]  the mass, especially at night,
[2:16:55.700 --> 2:16:57.700]  he says, at night is better
[2:16:57.700 --> 2:16:59.700]  because people are more irrational.
[2:16:59.700 --> 2:17:01.700]  Then you can get them in the palm of your hand
[2:17:01.700 --> 2:17:03.700]  and you're not convincing them with arguments.
[2:17:03.700 --> 2:17:05.700]  You're convincing them with an emotional
[2:17:05.700 --> 2:17:07.700]  experience which is irrefutable.
[2:17:07.700 --> 2:17:09.700]  You know, like the hive-like mentality
[2:17:09.700 --> 2:17:11.700]  of being around all these things and just
[2:17:11.700 --> 2:17:13.700]  going with the flow. Yeah, but it's dangerous.
[2:17:13.700 --> 2:17:15.700]  In other words, when you get a mass movement
[2:17:15.700 --> 2:17:17.700]  of this sort under depression conditions,
[2:17:17.700 --> 2:17:19.700]  after all the tremendous damage
[2:17:19.700 --> 2:17:21.700]  done to the society by Bush and
[2:17:21.700 --> 2:17:23.700]  Cheney, this is where it gets really,
[2:17:23.700 --> 2:17:25.700]  really scary. What we need is some time
[2:17:25.700 --> 2:17:27.700]  to build an alternative. Right now,
[2:17:27.700 --> 2:17:29.700]  there's tremendous confusion.
[2:17:29.700 --> 2:17:31.700]  People say, oh, I want the Austrian
[2:17:31.700 --> 2:17:33.700]  school, I want the free market.
[2:17:33.700 --> 2:17:35.700]  This is impossible in a depression.
[2:17:35.700 --> 2:17:37.700]  I advocate return
[2:17:37.700 --> 2:17:39.700]  to New Deal methods. They work before
[2:17:39.700 --> 2:17:41.700]  they work now, but it's going to take a
[2:17:41.700 --> 2:17:43.700]  discussion process to get people to understand
[2:17:43.700 --> 2:17:45.700]  this, and they're also going to have to see
[2:17:45.700 --> 2:17:47.700]  in the course of this depression
[2:17:47.700 --> 2:17:49.700]  that a lot of that, the free market,
[2:17:49.700 --> 2:17:51.700]  Friedmanite, Von Hayek, Austrian
[2:17:51.700 --> 2:17:53.700]  school, simply doesn't work. But right now,
[2:17:53.700 --> 2:17:55.700]  the main thing is to stop Obama
[2:17:55.700 --> 2:17:57.700]  so that you have at least a breathing
[2:17:57.700 --> 2:17:59.700]  space to try to get some kind of an alternative
[2:17:59.700 --> 2:18:01.700]  together, which you don't have right now.
[2:18:01.700 --> 2:18:03.700]  Well, you were just talking about schools
[2:18:03.700 --> 2:18:05.700]  of philosophy, so I just got to ask you,
[2:18:05.700 --> 2:18:07.700]  have you seen the zeitgeist agenda yet?
[2:18:07.700 --> 2:18:09.700]  I'm not interested in this stuff because
[2:18:09.700 --> 2:18:11.700]  of this vulgar attack on religion,
[2:18:11.700 --> 2:18:13.700]  which I think is just useless
[2:18:13.700 --> 2:18:15.700]  and pointless.
[2:18:15.700 --> 2:18:17.700]  You've got to remember, the British intelligence
[2:18:17.700 --> 2:18:19.700]  is running a huge attack on Christianity
[2:18:19.700 --> 2:18:21.700]  with Christopher Hitchens
[2:18:21.700 --> 2:18:23.700]  with this awful Darwinian
[2:18:23.700 --> 2:18:25.700]  character Dawkins, an absolute
[2:18:25.700 --> 2:18:27.700]  reactionary imperialist.
[2:18:29.700 --> 2:18:31.700]  Well, there's some counter stuff out there too.
[2:18:31.700 --> 2:18:33.700]  Ben Stein just put out a movie called
[2:18:33.700 --> 2:18:35.700]  Expelled, the case for intelligent design
[2:18:35.700 --> 2:18:37.700]  where he takes Dawkins and others on pretty hard
[2:18:37.700 --> 2:18:39.700]  core. He talks about social Darwinism
[2:18:39.700 --> 2:18:41.700]  with the eugenics. Here's the problem.
[2:18:41.700 --> 2:18:43.700]  We live in a Leibnizian
[2:18:43.700 --> 2:18:45.700]  least action universe.
[2:18:45.700 --> 2:18:47.700]  The problem with Darwin
[2:18:47.700 --> 2:18:49.700]  and the problem with Malthus and anybody
[2:18:49.700 --> 2:18:51.700]  who follows them is that it assumes
