[00:00:08.490 --> 00:00:12.940]  Leading a frontal assault on the lies of the New World Order.
[01:16:00.020 --> 01:16:07.247]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[01:16:07.247 --> 01:16:16.937]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[01:16:16.937 --> 01:16:23.804]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[01:16:24.284 --> 01:16:32.086]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[01:16:32.086 --> 01:16:35.786]  We set out to bring you the very best at the lowest price.
[01:16:35.786 --> 01:16:40.747]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[01:16:40.747 --> 01:16:45.168]  In these times, it's essential to have high-quality, loyal silver on hand.
[01:16:45.168 --> 01:16:48.189]  No survival chest is complete without Silver Bullet.
[01:16:48.189 --> 01:16:51.310]  Exclusively available at Infowarslife.com.
[01:16:51.310 --> 01:16:52.810]  Secure your Silver Bullet today.
[01:16:53.070 --> 01:16:59.731]  At Infowarslife.com or by calling toll free 888-253-3139.
[01:16:59.731 --> 01:17:04.893]  Alex Jones here with an Infowarslife.com consumer alert report.
[01:17:04.893 --> 01:17:12.214]  Many of you are aware that around the world most populations are woefully deficient in clean forms of iodine.
[01:17:12.214 --> 01:17:20.296]  The good news is our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[01:17:20.296 --> 01:17:21.276]  The bad news is
[01:17:21.616 --> 01:17:29.302]  For the first time in more than a year, supplies at InfoWarsLife.com of Survival Shield X2 Nascent Iodine are running low.
[01:17:29.302 --> 01:17:34.086]  But what's even more serious is the supply of these Deep Earth Crystals.
[01:17:34.086 --> 01:17:41.472]  That exclusive 999 pure source is proprietary and only available to InfoWarsLife.com.
[01:17:41.472 --> 01:17:44.354]  And that supply is running low and is in question.
[01:17:44.574 --> 01:17:51.584]  That's why it's more important than ever to secure your current and longtime supply of Survival Shield Nascent Iodine X2 today.
[01:17:51.584 --> 01:17:55.570]  Available exclusively at InfoWarsLife.com or by calling toll-free 888-253-3139.
[01:17:59.488 --> 01:18:19.251]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused probably 30, 40 firearms manufacturers over the years.
[01:18:19.251 --> 01:18:19.672]  Well then,
[01:18:19.992 --> 01:18:24.055]  About six months ago, we get contacted by Head Down Firearms.
[01:18:24.055 --> 01:18:25.596]  Hdfirearms.com.
[01:18:25.596 --> 01:18:34.022]  Owned and run by a bunch of former Navy SEALs, Special Ops people, they're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[01:18:34.022 --> 01:18:37.964]  It's always about security, whether it's for yourself, your wife, your loved ones.
[01:18:37.964 --> 01:18:40.346]  Go to their website, hdfirearms.com.
[01:18:40.346 --> 01:18:44.769]  Buy right off their website, and they'll just send it to the FFL dealer of your choice.
[01:18:44.769 --> 01:18:48.872]  You can pick it up at the gun show, you can pick it up at a local sporting goods store, whatever you do,
[01:18:49.252 --> 01:18:52.457]  Get your Head Down firearm today.
[01:18:52.457 --> 01:18:57.184]  The spirit of 1776 lives at Head Down Firearms.
[01:18:57.184 --> 01:18:59.387]  Hdfirearms.com.
[01:18:59.387 --> 01:19:04.294]  Introducing Secret 12, the new InfoWars Life Vitamin B12 formulation.
[01:19:04.514 --> 01:19:10.637]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:19:10.637 --> 01:19:15.419]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:19:15.419 --> 01:19:19.001]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:19:19.001 --> 01:19:20.961]  No needles, no injections.
[01:19:20.961 --> 01:19:26.084]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[01:19:29.285 --> 01:19:30.306]  Alex Jones here.
[01:19:30.306 --> 01:19:39.573]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[01:19:39.573 --> 01:19:43.396]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[01:19:43.396 --> 01:19:51.723]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[01:19:51.723 --> 01:19:54.024]  Visit Infowarslife.com or call 1-888-253-3139.
[01:19:54.024 --> 01:19:55.065]  That's Infowarslife.com.
[01:20:01.900 --> 01:20:11.689]  You're listening to the Alex Jones Show.
[01:20:11.689 --> 01:20:19.436]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:20:29.096 --> 01:20:30.437]  Welcome back to the Alex Jones Show.
[01:20:30.437 --> 01:20:31.698]  I'm David Knight.
[01:20:31.698 --> 01:20:33.439]  Co-hosting with me is Alex Jones.
[01:20:33.439 --> 01:20:38.383]  He's going to be breaking down the Trans-Pacific Partnership in a later segment.
[01:20:38.383 --> 01:20:42.065]  Right now, I want to go back into the history of Bilderberg.
[01:20:42.065 --> 01:20:44.727]  And of course, we have our reporters on their way there now.
[01:20:44.727 --> 01:20:47.950]  We have Rob Dew and Josh Owens just filed a report.
[01:20:47.950 --> 01:20:49.391]  You can see that up on InfoWars.
[01:20:50.131 --> 01:21:00.437]  From the airport, talking about where they're going and engaging people there at the airport, asking them if they know anything about Bilderberg, if they know anything about PPP, if they care.
[01:21:00.437 --> 01:21:03.619]  And of course, the problem is, people don't care.
[01:21:03.619 --> 01:21:06.021]  It's the apathy that is killing us.
[01:21:06.021 --> 01:21:08.042]  That's why it's an information war.
[01:21:08.042 --> 01:21:13.746]  And of course, if you want to support us, we could certainly use your financial support, but you could also support your health
[01:21:14.446 --> 01:21:15.786]  With Survival Shield X2.
[01:21:15.786 --> 01:21:19.147]  We have a sale going on right now and it looks like it's going to sell out today.
[01:21:19.147 --> 01:21:21.908]  It's been moving very quickly.
[01:21:21.908 --> 01:21:24.108]  Likely this will be the end of it today.
[01:21:24.108 --> 01:21:25.628]  It looks like it might sell out.
[01:21:25.628 --> 01:21:27.449]  It's $10 off the usual price.
[01:21:27.449 --> 01:21:30.229]  It is now just $29.95 for a bottle.
[01:21:30.229 --> 01:21:35.451]  A few drops of this gives you a powerful dose of a key essential nutrient, iodine.
[01:21:35.451 --> 01:21:37.851]  And of course it's in a great form, nascent iodine.
[01:21:37.851 --> 01:21:41.912]  This particular nascent iodine that we have comes from thousands of feet beneath the earth.
[01:21:42.492 --> 01:21:50.393]  We run radioactive tests on it before we accept it to make sure that it is pure, raw iodine and is not contaminated with anything else.
[01:21:50.393 --> 01:21:54.954]  Again, it's time to get prepared with Survival Shield X2 from InfoWarsLife.
[01:21:54.954 --> 01:21:57.395]  You can find that at InfoWarsLife.com.
[01:21:57.395 --> 01:22:03.316]  It is $10 off per bottle and they expect that to sell out today.
[01:22:03.316 --> 01:22:10.977]  Now, as I mentioned at the top of the hour, we have an FBI official who came out this last week and said, we're going to
[01:22:12.358 --> 01:22:15.960]  Essentially, stop encryption is what they really want to do.
[01:22:15.960 --> 01:22:17.081]  Let's just be honest about it.
[01:22:17.081 --> 01:22:20.203]  They don't want anybody to have any secrets from them.
[01:22:20.203 --> 01:22:25.346]  He said privacy, if it's above all other things like safety and freedom from terrorism.
[01:22:25.346 --> 01:22:25.886]  Freedom.
[01:22:25.886 --> 01:22:27.867]  He gets the freedom in there, right?
[01:22:27.867 --> 01:22:28.788]  It's not where we want to go.
[01:22:28.788 --> 01:22:30.969]  In other words, he doesn't want to go to privacy.
[01:22:30.969 --> 01:22:34.772]  You need to understand that if they take away your freedom,
[01:22:35.703 --> 01:22:37.584]  And this trade-off they'd like to tell you.
[01:22:37.584 --> 01:22:41.467]  There's a trade-off between security and liberty.
[01:22:41.467 --> 01:22:43.549]  No, there isn't any trade-off.
[01:22:43.549 --> 01:22:47.972]  If you give up your liberty, you become a slave by degree.
[01:22:47.972 --> 01:22:50.414]  Slaves are never secure.
[01:22:50.414 --> 01:22:53.976]  And if you want to go into maximum security, you know where you get that?
[01:22:53.976 --> 01:22:54.497]  In a prison.
[01:22:55.336 --> 01:22:57.818]  But that's the deal that they're giving you right now.
[01:22:57.818 --> 01:23:01.902]  And that's what they want to sell you above all else.
[01:23:01.902 --> 01:23:02.943]  That's what he says.
[01:23:02.943 --> 01:23:04.684]  They want to prevent encryption above all else.
[01:23:04.684 --> 01:23:08.007]  They want to prevent your privacy above all else.
[01:23:08.007 --> 01:23:12.791]  They want to know everything about you while they do everything in secret.
[01:23:12.791 --> 01:23:14.392]  That's what this is all about.
[01:23:14.392 --> 01:23:20.457]  We saw this a long time ago in Zbigniew Brzezinski when he talked about, in his book, Between the Two Ages.
[01:23:21.420 --> 01:23:29.426]  He talked about a technotronic era, and he said the technotronic era is going to involve the gradual appearance of a more controlled society.
[01:23:29.426 --> 01:23:35.471]  Such a society would be dominated by an elite that is unrestrained by traditional values.
[01:23:35.471 --> 01:23:47.081]  Soon it will be possible to assert almost continuous surveillance over every citizen and maintain up-to-date, complete files containing even the most personal information about the citizen.
[01:23:47.081 --> 01:23:47.621]  This was written in 1970.
[01:23:49.315 --> 01:23:52.338]  This was 45 years ago, he said this.
[01:23:52.338 --> 01:23:54.099]  That day is now.
[01:23:54.099 --> 01:23:55.840]  It's not just, it's not coming soon.
[01:23:55.840 --> 01:24:05.488]  Now they can assert continuous surveillance over every citizen and maintain complete up-to-date files on the most personal information about the citizen.
[01:24:05.488 --> 01:24:07.930]  And they want to make sure that that stays that way.
[01:24:07.930 --> 01:24:10.853]  And then he finishes up with this from 45 years ago.
[01:24:10.853 --> 01:24:17.658]  He said, these files will be subject to instantaneous retrieval by the authorities.
[01:24:18.419 --> 01:24:21.180]  That's what the FBI is demanding.
[01:24:21.180 --> 01:24:25.702]  Now, he also said something else that was interesting 45 years ago in his book, Between the Two Ages.
[01:24:25.702 --> 01:24:30.484]  Again, Zbigniew Brzezinski, if you don't remember, he was essentially the guy that ran the Carter White House.
[01:24:30.484 --> 01:24:31.565]  Carter was his man.
[01:24:31.565 --> 01:24:32.605]  He picked Carter.
[01:24:32.605 --> 01:24:35.747]  Carter was one of the founding members of the Trilateral Commission.
[01:24:35.747 --> 01:24:38.748]  Trilateral Commission is another one of these groups, like the Bilderberg Group.
[01:24:38.748 --> 01:24:42.570]  It was created in 1973, three years after this book that he wrote.
[01:24:43.444 --> 01:24:46.885]  That brought him to the attention of David Rockefeller, who created the organization.
[01:24:46.885 --> 01:24:53.546]  And again, one of the founders of that organization, or the first founding members of that organization, was Jimmy Carter.
[01:24:53.546 --> 01:25:07.789]  He was handpicked by Zbigniew Brzezinski, and then he became the little public face of the Brzezinski administration, which is what we ought to call it, just as Nixon was the face of the Kissinger administration that followed it.
[01:25:09.246 --> 01:25:16.532]  He says, uh, today we are, now this is going back to what Brzezinski wrote, uh, 45 years ago in this book, before the Trilateral Commission.
[01:25:16.532 --> 01:25:20.835]  He said, today we are witnessing the emergence of transnational elites.
[01:25:20.835 --> 01:25:22.316]  This was 45 years ago.
[01:25:22.316 --> 01:25:25.078]  He said, whose ties cut across national boundaries.
[01:25:25.078 --> 01:25:33.245]  It is likely that before long the social elites of most of the more advanced countries will be highly internationalist or globalist in their spirit and outlook.
[01:25:34.011 --> 01:25:38.092]  The nation state is gradually yielding its sovereignty.
[01:25:38.092 --> 01:25:41.074]  Further progress will require greater American sacrifices.
[01:25:41.074 --> 01:25:43.234]  It's going to come out of America.
[01:25:43.234 --> 01:25:49.016]  We're the ones who are going to be taken down to let this global governance arise.
[01:25:49.016 --> 01:25:58.980]  He says more intensive efforts to shape a new world monetary structure will have to be undertaken, with some consequent risk to the present relatively favorable American position.
[01:25:59.500 --> 01:26:04.102]  Yeah, they come at us through economics and through currency.
[01:26:04.102 --> 01:26:11.405]  Going back to the Bilderberg Group's second meeting, 60 years ago.
[01:26:11.405 --> 01:26:14.246]  We saw these minutes released six years ago.
[01:26:14.246 --> 01:26:20.169]  And again, Paul Joseph Watson, one of our reporters who is on his way now to this year's Bilderberg in Austria.
[01:26:20.849 --> 01:26:24.571]  wrote this at the time, six years ago, when this was released by WikiLeaks.
[01:26:24.571 --> 01:26:35.375]  He said, in 2003, a BBC investigative team was allowed to access Bilderberg files, which confirmed that the EU and the Euro were the brainchild of Bilderberg.
[01:26:36.377 --> 01:26:43.859]  It's nothing new to have a secretive meeting between corporations and governments to create world governance.
[01:26:43.859 --> 01:26:47.180]  We can see that's now in the open with these trade agreements.
[01:26:47.180 --> 01:26:48.480]  The document outlines a plan.
[01:26:48.480 --> 01:26:53.522]  It says, quote, to arrive in the shortest possible time at the highest degree of integration
[01:26:54.222 --> 01:26:56.464]  Beginning with a common European market.
[01:26:56.464 --> 01:26:57.184]  That was their goal.
[01:26:57.184 --> 01:27:01.268]  That's from the minutes of the 1955 Bilderberg meeting.
[01:27:01.268 --> 01:27:09.414]  He said, just two years later, in 1955, we saw the first incarnation of the European Economic Community, the EEC.
[01:27:09.414 --> 01:27:15.519]  It was comprised of a single market between Belgium, France, Germany, Italy, Luxembourg, and the Netherlands.
[01:27:16.741 --> 01:27:22.429]  The EEC gradually enlarged over the next few decades until it became the European Community.
[01:27:22.429 --> 01:27:28.237]  Then it enlarged again to become the European Union, officially created in 1993.
[01:27:28.237 --> 01:27:32.122]  So you see the pattern of gradual consolidation.
[01:27:33.126 --> 01:27:41.132]  Now, of course, their pattern of doing this is to consolidate regionally, then to consolidate those regions into a world governance.
[01:27:41.132 --> 01:27:46.476]  That's why we saw this being done in Europe, and then simultaneously it was being done in North America.
[01:27:47.691 --> 01:27:55.076]  The Trilateral Commission was set up to work on three different areas, North America, Europe and Asia.
[01:27:55.076 --> 01:27:56.036]  What do we see now?
[01:27:56.036 --> 01:28:08.684]  We see that America, which has been the center where they put everything, the UN, all these different globalist organizations, we have a heavy presence in America and of course America is now going to unite with
[01:28:10.245 --> 01:28:14.428]  Pacific countries and with the European countries.
[01:28:14.428 --> 01:28:24.094]  But doing so in a way that is going to give the corporations, the multinational corporations that is, just a few multinational corporations, it is going to give them control over everything.
[01:28:24.887 --> 01:28:31.309]  So you can see the stepping stones of gradual consolidation going back again to the 1955 Bilderberg summary.
[01:28:31.309 --> 01:28:39.091]  They say it might be better to proceed through the development of a common market by treaty rather than by the creation of new high authorities.
[01:28:39.091 --> 01:28:49.074]  And we're going to talk when we come back about why these are treaties and why this fast-tracked authority, the TPA, that was just passed by the Senate that is coming up before the House, is
[01:28:49.755 --> 01:28:54.491]  A treacherous agreement that denies the process for approving treaties.
[01:28:54.491 --> 01:28:55.635]  Stay with us, we'll be right back.
[01:29:00.029 --> 01:29:05.214]  Alex Jones here with an Infowarslife.com consumer alert report.
[01:29:05.214 --> 01:29:12.541]  Many of you are aware that around the world most populations are woefully deficient in clean forms of iodine.
[01:29:12.541 --> 01:29:20.628]  The good news is our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[01:29:20.628 --> 01:29:21.609]  The bad news is
[01:29:21.949 --> 01:29:29.613]  For the first time in more than a year, supplies at Infowarslife.com of survival shield X2 nascent iodine are running low.
[01:29:29.613 --> 01:29:34.416]  But what's even more serious is the supply of these deep earth crystals.
[01:29:34.416 --> 01:29:41.779]  That exclusive 999 pure source is proprietary and only available to Infowarslife.com.
[01:29:41.779 --> 01:29:44.681]  And that supply is running low and is in question.
[01:29:44.901 --> 01:29:51.886]  That's why it's more important than ever to secure your current and longtime supply of Survival Shield Nascent Iodine X2 today.
[01:29:51.886 --> 01:29:55.869]  Available exclusively at InfoWarsLife.com or by calling toll-free 888-253-3139.
[01:29:59.744 --> 01:30:00.664]  Hey, how you doing, Al?
[01:30:00.664 --> 01:30:01.245]  Good, brother.
[01:30:01.245 --> 01:30:02.965]  Just recently started using your products.
[01:30:02.965 --> 01:30:04.906]  Everything you said about them is correct.
[01:30:04.906 --> 01:30:08.948]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[01:30:08.948 --> 01:30:11.549]  Well, thank you, brother, because it also funds our operation.
[01:30:11.549 --> 01:30:13.990]  But doing that, I know I've got to have the highest quality.
[01:30:13.990 --> 01:30:21.814]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:30:22.154 --> 01:30:25.398]  We do the super male and the super female vitality.
[01:30:25.398 --> 01:30:26.940]  Big changes, a lot of energy.
[01:30:26.940 --> 01:30:29.863]  We've gotten off of the cheap energy drinks, energy shots.
[01:30:29.863 --> 01:30:31.625]  Saving a ton of money there.
[01:30:31.625 --> 01:30:36.971]  Sourced from powerful organic herbs harvested around the planet and then concentrated
[01:30:36.971 --> 01:30:39.473]  Concentrated or maximum potency.
[01:30:39.473 --> 01:30:51.485]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while But then burn you out in my experience where a stuff that gets your glands naturally going goes right to the source So it's pretty exciting and I love it.
[01:30:51.485 --> 01:30:58.432]  Visit Infowarslife.com today to secure your super male vitality and other powerful products from Infowarslife.
[01:30:59.600 --> 01:31:04.745]  Introducing Secret 12, the new InfoWars Life Vitamin B12 formulation.
[01:31:04.745 --> 01:31:10.871]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:31:10.871 --> 01:31:15.656]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:31:15.656 --> 01:31:19.219]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:31:19.219 --> 01:31:20.801]  No needles, no injections.
[01:31:21.181 --> 01:31:27.409]  Secure your revolutionary secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[01:31:27.409 --> 01:31:30.393]  Alex Jones here.
[01:31:30.393 --> 01:31:39.405]  For the last two years I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[01:31:39.665 --> 01:31:43.487]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[01:31:43.487 --> 01:31:51.810]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[01:31:51.810 --> 01:31:54.271]  Visit Infowarslife.com or call 1-888-253-3139.
[01:31:54.271 --> 01:31:55.151]  That's Infowarslife.com.
[01:31:59.113 --> 01:32:15.779]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused.
[01:32:15.779 --> 01:32:19.300]  Probably 30, 40 firearms manufacturers over the years will then.
[01:32:19.640 --> 01:32:23.682]  About six months ago, we get contacted by Head Down Firearms.
[01:32:23.682 --> 01:32:25.222]  Hdfirearms.com.
[01:32:25.222 --> 01:32:33.665]  Owned and run by a bunch of former Navy SEALs, Special Ops people, they're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[01:32:33.665 --> 01:32:37.607]  It's always about security, whether it's for yourself, your wife, your loved ones.
[01:32:37.607 --> 01:32:39.968]  Go to their website, hdfirearms.com.
[01:32:39.968 --> 01:32:44.389]  Buy right off their website, and they'll just send it to the FFL dealer of your choice.
[01:32:44.389 --> 01:32:48.511]  You can pick it up at the gun show, you can pick it up at a local sporting goods store, whatever you do,
[01:32:48.931 --> 01:32:51.873]  Get your Head Down Firearm today!
[01:32:51.873 --> 01:32:56.796]  The spirit of 1776 lives at Head Down Firearms!
[01:32:56.796 --> 01:33:02.439]  HDFirearms.com!
[01:33:02.439 --> 01:33:05.101]  You're listening to the Alex Jones Show!
[01:33:15.034 --> 01:33:21.056]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:33:21.056 --> 01:33:28.999]  You're listening to the Alex Jones Show!
[01:33:28.999 --> 01:33:30.299]  Welcome back to the Alex Jones Show.
[01:33:30.299 --> 01:33:31.700]  I'm David Knight.
[01:33:31.700 --> 01:33:36.482]  Joining us in the next segment to explain the Trans-Pacific Partnership is going to be Alex Jones.
[01:33:36.482 --> 01:33:40.003]  In this segment I want to talk a little bit about what we saw in terms of
[01:33:41.297 --> 01:33:44.799]  Government officials being held captive, essentially, if you will.
[01:33:44.799 --> 01:33:47.121]  I guess we should call them, really, vassals.
[01:33:47.121 --> 01:33:49.163]  That's really kind of the appropriate analogy, I think.
[01:33:49.163 --> 01:33:54.166]  Because it really, if you go back and you think about the Magna Carta, think about Runnymede, what happened there?
[01:33:54.166 --> 01:34:02.432]  We had a situation there where the nobility came up to evil King John and said, we have this giant charter.
[01:34:02.432 --> 01:34:05.334]  That's what the Magna Carta was, a giant charter.
[01:34:05.334 --> 01:34:09.317]  They said, we are going to devolve power from the center.
[01:34:10.117 --> 01:34:16.443]  It was the beginning of the kind of democratic republics that we now have throughout the West, or that we have seen throughout the West.
[01:34:16.443 --> 01:34:22.589]  They have now essentially become vassals of these multinational corporations.
[01:34:22.589 --> 01:34:32.318]  And the reality is, is that just like the Magna Carta, power had already transferred away from King John to these few people in the nobility.
[01:34:33.378 --> 01:34:41.704]  In the same way, power has also transferred away from the governments that we have to the multinational corporations.
[01:34:41.704 --> 01:34:48.569]  They're able to write this just like you have the nobleman write the Magna Carta and present it to King John and say, sign it.
[01:34:48.569 --> 01:34:50.930]  They didn't ask if he approved of it.
[01:34:50.930 --> 01:34:52.972]  They didn't ask him to read it.
[01:34:52.972 --> 01:34:55.633]  He wasn't going to be given the ability to amend it.
[01:34:56.494 --> 01:34:57.655]  They had the power.
[01:34:57.655 --> 01:35:01.697]  What they were seeking was the formal recognition of that transfer of power.
[01:35:01.697 --> 01:35:06.681]  And if you want to think about these partnership agreements, as I call them, that's precisely what they are.
[01:35:06.681 --> 01:35:14.246]  They're formal recognition of the fact that power has already passed to these multinational corporations.
[01:35:14.246 --> 01:35:15.246]  Hasn't it passed?
[01:35:15.246 --> 01:35:24.993]  I mean, they can come to these senators, they can come to congressmen of every nation, and they can tell them, you're not going to be able to tell anybody what you see in this thing.
[01:35:25.945 --> 01:35:29.229]  Uh, you can't make any notes and take these notes with you.
[01:35:29.229 --> 01:35:33.254]  They defy them to even talk about what they have written.
[01:35:33.254 --> 01:35:37.379]  And they have with this fast track trade agreement that ran through the Senate.
[01:35:38.677 --> 01:35:46.303]  They have put in process a procedure that is not going to be able to stop these agreements.
[01:35:46.303 --> 01:36:04.236]  So when they vote for the Trade Promotion Authority, the fast-tracked authority, they are by proxy voting for these partnership agreements, the Transatlantic, the Trans-Pacific, and others that are going to come down the road, because this is going to last for six years.
[01:36:04.236 --> 01:36:07.759]  This is far broader than just the TPP and the TTIP.
[01:36:08.598 --> 01:36:14.062]  This is going to go for six years, and just this last week, we found out about yet another agreement.
[01:36:14.062 --> 01:36:16.904]  That's the TISA.
[01:36:16.904 --> 01:36:20.787]  That's the Trade and Services Agreement.
[01:36:20.787 --> 01:36:21.368]  It's a new one.
[01:36:21.368 --> 01:36:22.869]  Trade and Services Agreement.
[01:36:22.869 --> 01:36:23.949]  The TISA.
[01:36:23.949 --> 01:36:25.210]  That's one I didn't even know about.
[01:36:25.210 --> 01:36:32.496]  It's hard to keep up with these things, and they're going to be coming fast and furious, because they're going to be created by the executive branch, by Obama,
[01:36:33.271 --> 01:36:42.513]  They're going to be presented to the legislature, and here's how this process that the Senate has approved, that still has to be approved by the House, but this is what the Senate approved last week.
[01:36:42.513 --> 01:36:45.454]  Typically when a bill becomes law, it has to go through committees.
[01:36:45.454 --> 01:36:49.435]  So it can be stopped, it can be modified in committees before it goes to the floor.
[01:36:49.435 --> 01:36:52.736]  The leadership has a say as to whether or not it's going to go to the floor.
[01:36:52.736 --> 01:36:56.016]  It can be amended or stopped at any of these procedures.
[01:36:56.016 --> 01:36:57.617]  Not so with these agreements.
[01:36:58.766 --> 01:37:06.315]  Once these things are handed to the legislative bodies, they will have 45 days to send it to the floor.
[01:37:06.315 --> 01:37:10.280]  So they can make it quicker, but they can't take longer than 45 days.
[01:37:10.280 --> 01:37:15.045]  Because if they don't put it on the floor for a vote in 45 days, it will go there automatically.
[01:37:16.172 --> 01:37:17.993]  They cannot stop it in committee.
[01:37:17.993 --> 01:37:19.473]  The leadership cannot stop it.
[01:37:19.473 --> 01:37:20.694]  It will go to the House floor.
[01:37:20.694 --> 01:37:23.695]  They will have 20 hours to debate it.
[01:37:23.695 --> 01:37:26.315]  They will not be allowed to have any amendments.
[01:37:26.315 --> 01:37:28.156]  And here's the key thing.
[01:37:28.156 --> 01:37:32.277]  It will pass forward with a simple majority vote of 51.
[01:37:32.277 --> 01:37:36.019]  Not with the 67 votes that would be needed for a treaty.
[01:37:36.019 --> 01:37:39.380]  So if you want to look at it, this TPA that was just passed in the Senate,
[01:37:40.080 --> 01:37:47.744]  was an act of treason against the Constitution by the 62 Senators who voted for it.
[01:37:47.744 --> 01:38:01.132]  And let's understand who voted for it, because I've seen a lot of criticism of Senators, unjustly, people unjustly criticizing Rand Paul, even criticizing us, saying, hey, you're criticizing this trade agreement, but you love Rand Paul because he voted for it.
[01:38:01.132 --> 01:38:02.373]  He didn't vote for this.
[01:38:02.953 --> 01:38:04.794]  He voted against the TPA.
[01:38:04.794 --> 01:38:06.656]  Some people have confused the two votes.
[01:38:06.656 --> 01:38:11.819]  There was a vote to stop the filibuster and go to a vote for the TPA.
[01:38:11.819 --> 01:38:14.341]  He voted for that, as did Senator Sessions and others.
[01:38:14.341 --> 01:38:16.542]  All the Republicans who were present voted for that.
[01:38:16.542 --> 01:38:25.468]  But there were at least five Republicans and many Democrats, people like Bernie Sanders and Elizabeth Warren, who spoke up against this.
[01:38:25.468 --> 01:38:29.631]  They voted against the Trade Promotion Authority, the fast-tracked authority.
[01:38:30.612 --> 01:38:32.313]  And this is what Senator Sessions has said.
[01:38:32.313 --> 01:38:40.919]  Now, he and Rand Paul were a couple of the only senators who even bothered to go down and look at what they could see at this current point from the trade representatives.
[01:38:40.919 --> 01:38:43.241]  He wrote yet another letter to Barack Obama.
[01:38:43.241 --> 01:38:50.266]  He says, on May 6th of this year, I sent you a letter regarding your request for Congress to grant you fast-tracked executive authority.
[01:38:50.266 --> 01:38:53.067]  So he just sent him this letter at the end of this last week.
[01:38:53.067 --> 01:38:56.290]  So he said, I'm including that again, and here are my concerns.
[01:38:56.290 --> 01:38:57.811]  He says, under fast-track,
[01:38:58.351 --> 01:39:03.956]  Congress transfers its authority to the executive and agrees to give up several of its most basic powers.
[01:39:05.160 --> 01:39:05.981]  Exactly.
[01:39:05.981 --> 01:39:08.163]  They're giving up the power to write legislation.
[01:39:08.163 --> 01:39:10.746]  They're giving up the power to amend legislation.
[01:39:10.746 --> 01:39:14.249]  They're giving up the power to fully consider legislation on the floor.
[01:39:14.249 --> 01:39:19.575]  They're giving up the power to keep debate open until Senate cloture is invoked.
[01:39:19.575 --> 01:39:27.823]  And, most importantly, they are giving up the constitutional requirement that treaties receive a two-thirds vote.
[01:39:28.871 --> 01:39:30.412]  He gets to the point.
[01:39:30.412 --> 01:39:31.673]  He doesn't play around with words.
[01:39:31.673 --> 01:39:34.815]  He's one of the few people to come out and say this is a treaty.
[01:39:34.815 --> 01:39:35.696]  It is a treaty.
[01:39:35.696 --> 01:39:39.078]  It's a lie to say that it is a trade agreement or a partnership.
[01:39:39.078 --> 01:39:40.159]  It is a treaty.
[01:39:40.159 --> 01:39:44.442]  And as such, the constitutional requirement is that you get a two-thirds vote.
[01:39:44.442 --> 01:39:47.965]  Good for Senator Sessions, Jeff Sessions, to say that.
[01:39:47.965 --> 01:39:56.471]  He says that, the latter, the fact that it is a treaty that needs a two-thirds vote, 67 votes, he said that is especially important since having been closed
