[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[03:07:55.371 --> 03:07:57.952]  And remember, there's election night coverage this evening.
[03:07:57.952 --> 03:07:58.552]  It's live.
[03:07:59.593 --> 03:08:01.595]  And InfoWars is covering it.
[03:08:01.595 --> 03:08:02.416]  I know War Room.
[03:08:02.416 --> 03:08:05.240]  I know Brandon Howes is doing coverage.
[03:08:05.240 --> 03:08:06.542]  A bunch of people I know.
[03:08:06.542 --> 03:08:07.944]  We're doing coverage as well.
[03:08:07.944 --> 03:08:11.789]  So the independent media is doing massive coverage of this.
[03:08:11.789 --> 03:08:14.373]  I may even be popping in later here on InfoWars.com.
[03:08:15.450 --> 03:08:20.971]  This evening, schedule permitting, I'm going to be manning the studio all night long and providing commentary.
[03:08:20.971 --> 03:08:31.453]  Let me bring in something different that you haven't heard about these elections, probably, and there's a new factor in this that has never been present before in previous elections.
[03:08:31.453 --> 03:08:38.714]  It is the fact that the Democrat Party committed, to some degree, vaccine suicide.
[03:08:38.714 --> 03:08:44.155]  This is the first election in America that has been held following a vaccine genocide event.
[03:08:45.000 --> 03:08:56.849]  Where hundreds of millions of people were injected with a biological weapon system that was designed to cause infertility, stillbirths, spontaneous abortions, and in some cases, fatalities.
[03:08:57.876 --> 03:09:03.783]  And Democrats took this vaccine, compared to conservatives, at about a 2 to 1 ratio.
[03:09:03.783 --> 03:09:06.906]  That's a rough ratio, not exact, but it's pretty close.
[03:09:06.906 --> 03:09:18.819]  And what that means is that the Democrats have to work overtime to try to steal this election for the simple reason that many of their own people are dead because they took these injections that killed them.
[03:09:19.480 --> 03:09:21.041]  They died from the clots.
[03:09:21.041 --> 03:09:23.221]  They died from the neurological problems.
[03:09:23.221 --> 03:09:26.102]  They died from heart attacks and myocarditis.
[03:09:26.102 --> 03:09:30.064]  And so the Democrats have killed off many of their own people.
[03:09:30.064 --> 03:09:43.609]  And the actual number is difficult to ascertain, but there are rigorous estimates that say that right now in America, well over one million people have been killed by these so-called vaccine injections since they began.
[03:09:44.409 --> 03:09:53.512]  Now, I know the mainstream media is going to argue with that number, but we'll say it's 1.5 million just as a round number here to demonstrate something really important.
[03:09:53.512 --> 03:09:59.474]  Now, the actual number might be 800,000, might be 1.2 million, might be more than 1.5.
[03:09:59.474 --> 03:10:03.576]  But if it's roughly two to one Democrats versus Republicans who took the vaccine,
[03:10:04.454 --> 03:10:21.521]  Then, if there are a total of about 1.5 million people who died from this, and not considering independence just for this simple thought experiment, you could say that potentially as many as 1 million Democrats were killed by this vaccine, and about half a million Republicans were killed by this vaccine.
[03:10:21.521 --> 03:10:27.724]  Again, these are just rough numbers, this is a thought experiment, but it reaches a very important point.
[03:10:28.504 --> 03:10:34.989]  The Democrats have to then rig elections to overcome the missing people that are literally dead.
[03:10:34.989 --> 03:10:35.809]  And why?
[03:10:35.809 --> 03:10:45.015]  Because the Democrats censored those of us who were trying to save everybody's lives from these injections, including the lives of Democrats.
[03:10:45.015 --> 03:10:49.659]  So understand, folks, that Alex Jones tried to save the lives of Democrats.
[03:10:50.345 --> 03:10:54.766]  And so did I. And not just Democrats, but we tried to save the lives of everyone.
[03:10:54.766 --> 03:10:59.947]  Independents, and Libertarians, and Conservatives, Republicans, Democrats, everybody.
[03:10:59.947 --> 03:11:03.148]  Even, you know, political agnostic people who don't vote.
[03:11:03.148 --> 03:11:05.008]  We want you to live.
[03:11:05.008 --> 03:11:06.889]  And so, we were censored.
[03:11:06.889 --> 03:11:17.031]  And we found out that that censorship was carried out via collusion between the White House and Big Tech in a rampant and illegal slash unconstitutional manner.
[03:11:17.831 --> 03:11:28.599]  So, it was in fact the censorship by Big Tech, run by leftists, that caused voices that would save Democrats' lives to be suppressed.
[03:11:28.599 --> 03:11:40.988]  Which is why more Democrats are dead today and not voting, although you might argue that that never stopped Democrats from voting before, just being dead, but it's harder when there are more of them dead, but we tried to save their lives.
[03:11:40.988 --> 03:11:43.971]  Again, Alex Jones tried to save their lives, I tried to save their lives,
[03:11:44.491 --> 03:11:46.414]  Dr. Peter McCullough tried to save their lives.
[03:11:46.414 --> 03:11:54.184]  There's so many other people who have appeared on this program, such as Pete Chambers and just many other amazing people.
[03:11:54.184 --> 03:11:56.527]  Dr. Joseph McCullough and many others.
[03:11:56.527 --> 03:11:59.350]  So, if the Democrats lose this election,
[03:12:00.111 --> 03:12:03.875]  For that reason and many more, they only have themselves to blame.
[03:12:03.875 --> 03:12:17.731]  If they find themselves in a position where they can't out-cheat the number that they're missing, and also the growing backlash against the Democrat agenda that is punishing America through what we can only call acts of terrorism against the infrastructure.
[03:12:18.311 --> 03:12:20.393]  Shutting down oil and coal.
[03:12:20.393 --> 03:12:24.316]  Shutting down, effectively, transportation because of fuel scarcity.
[03:12:24.316 --> 03:12:26.098]  Shutting down the food system.
[03:12:26.098 --> 03:12:29.941]  And causing the dollar to lose value because of endless money printing.
[03:12:29.941 --> 03:12:32.963]  Causing food inflation, fuel inflation.
[03:12:32.963 --> 03:12:36.526]  And then also now, housing price collapse.
[03:12:36.526 --> 03:12:39.328]  And also land prices are collapsing in some areas.
[03:12:40.310 --> 03:12:43.913]  And the stock market is down substantially from the beginning of the year.
[03:12:43.913 --> 03:12:48.377]  So while costs are going up, prices are going up, people's assets are falling.
[03:12:48.377 --> 03:12:51.079]  And this is due to Democrat policies.
[03:12:51.079 --> 03:12:54.742]  So the backlash against the Democrats is going to be absolutely enormous.
[03:12:54.742 --> 03:12:57.644]  It may be beyond the threshold of Democrat cheating.
[03:12:58.345 --> 03:13:02.926]  That's yet to be seen, but it shows why the cheating is so desperate.
[03:13:02.926 --> 03:13:06.987]  Now, there's a possible silver lining in all of this that I want to mention.
[03:13:06.987 --> 03:13:27.631]  Because the cheating has to be so blatant and just so desperate, it's far more likely today, in 2022, that Democrats are going to get caught cheating, compared to the way they pulled it off in 2020, which was basically a surprise attack through a rapid expansion of a cheating mechanism that was not widely anticipated by conservatives.
[03:13:28.331 --> 03:13:40.837]  But since that time, if you think about it, people like Steve Bannon at the War Room, and here, Infowars.com, all the amazing hosts, Owen Schroyer and Harrison and Alex and so many others, have been able to sound the alarm.
[03:13:40.837 --> 03:13:44.759]  So the GOP is awake and aware of what might be attempted here.
[03:13:44.759 --> 03:13:51.743]  So the fact, I should say, the likelihood that Democrats are going to get caught this time is extremely high.
[03:13:52.463 --> 03:14:00.206]  In fact, if you go on to the Gateway Pundit right now, look at Jim Hoft and his coverage in real time, looking at what's happening across the country.
[03:14:00.206 --> 03:14:02.266]  He's got a tips email that's going there.
[03:14:02.266 --> 03:14:10.669]  People are reporting tips from all over America of some of the machine failures and some of what appears to be cheating taking place all across this country.
[03:14:11.269 --> 03:14:19.391]  In other words, conservatives now have an infrastructure to spot the cheating, to publicize it, to cover it, and to fight back against it.
[03:14:19.391 --> 03:14:23.313]  Now in 22, more than in any election previous to this.
[03:14:23.313 --> 03:14:32.815]  In addition, something like 24 states have passed additional election integrity laws that have been put in place, making it more difficult for Democrats to cheat.
[03:14:32.815 --> 03:14:37.557]  Of course, they can still cheat in their Dem-controlled areas, but even then, there's going to be a lot more scrutiny.
[03:14:38.197 --> 03:15:02.725]  So I would say that right now, where we stand, even with the cheating, the massive outpouring backlash against the Democrats' agenda, which includes child grooming and pedophilia and genital mutilations and food inflation, fuel inflation, scarcity of falling asset values and all of this, the backlash is so massive that we may yet pull this thing off despite the cheating.
[03:15:03.385 --> 03:15:05.306]  And that's what we are praying for.
[03:15:05.306 --> 03:15:15.352]  And by the way, we should also thank God, and thank you for all your prayers out there, that we made it to this day without a massive false flag event cancelling the election.
[03:15:15.352 --> 03:15:17.834]  Because that was always a possibility.
[03:15:17.834 --> 03:15:23.477]  And I've been told from sources that those efforts were underway and they were shut down internally.
[03:15:23.477 --> 03:15:26.499]  Because there is a kind of civil war behind the scenes.
[03:15:27.119 --> 03:15:30.541]  And there are a lot of people in the system that are fed up with the corruption.
[03:15:30.541 --> 03:15:34.604]  And they, too, want to take America back, just like you and I do.
[03:15:34.604 --> 03:15:38.487]  So this could be an amazing historic day for America.
[03:15:38.487 --> 03:15:42.090]  And we're going to cover it all right here live on InfoWars.com.
[03:15:42.090 --> 03:15:43.891]  I'll be back with more commentary.
[03:15:43.891 --> 03:15:49.635]  And remember, there's evening coverage all this evening right here on Band.Video and InfoWars.com.
[03:15:49.635 --> 03:15:50.255]  I'm Mike Adams.
[03:15:50.255 --> 03:15:52.377]  I'll be back after this short break with much more.
[03:15:56.817 --> 03:15:57.257]  Look at that.
[03:15:57.257 --> 03:16:00.000]  Everybody else is just like yellow or clear.
[03:16:00.000 --> 03:16:01.501]  That's because it's been denatured.
[03:16:01.501 --> 03:16:02.643]  It's been watered down.
[03:16:02.643 --> 03:16:03.363]  We didn't do that.
[03:16:05.027 --> 03:16:09.550]  You think I would metaphysically sell you something that is the very best I can get?
[03:16:09.550 --> 03:16:11.791]  I'd rather go to hell than do that.
[03:16:11.791 --> 03:16:20.817]  I will only give you the maximum best info, the maximum truth, the maximum product, because I want that goodwill!
[03:16:20.817 --> 03:16:22.538]  What I do to you, I do to myself.
[03:16:22.538 --> 03:16:24.319]  Don't you get the big secret?
[03:16:24.319 --> 03:16:26.901]  You ever seen fish oil look like that?
[03:16:26.901 --> 03:16:28.782]  No, you've never seen that, have you?
[03:16:28.782 --> 03:16:31.624]  And this little jewel right here is solid.
[03:16:39.255 --> 03:16:40.735]  Look it up.
[03:16:40.735 --> 03:16:46.757]  Find out how even the FDA and the government admits fish oil is incredible.
[03:16:46.757 --> 03:16:52.079]  The number one thing anybody can do for themselves is take the fish oil or krill oil.
[03:16:52.079 --> 03:16:54.820]  Just like our information is dynamite, so are our products in 4store.com.
[03:16:56.365 --> 03:17:04.931]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[03:17:04.931 --> 03:17:14.557]  And it's absolutely absurd for anyone to take our election seriously when we just, it's election month, Alex, it's not election day.
[03:17:14.557 --> 03:17:15.658]  And that's the problem.
[03:17:15.658 --> 03:17:18.980]  And everything changed after COVID-19.
[03:17:18.980 --> 03:17:21.762]  They illegally changed state elections.
[03:17:22.642 --> 03:17:28.185]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[03:17:28.185 --> 03:17:30.206]  Well, this isn't any way to run an election.
[03:17:30.206 --> 03:17:34.468]  We are in a serious country when we have elections that can be stolen like this.
[03:17:34.468 --> 03:17:49.575]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity, and question the fact that elections
[03:17:50.736 --> 03:17:52.438]  Shouldn't be run the way they are.
[03:17:52.438 --> 03:17:53.820]  We're not election deniers.
[03:17:53.820 --> 03:17:56.483]  We're election realists.
[03:17:56.483 --> 03:18:02.449]  I'm Dr. Peter McCullough and it's an absolute pleasure to introduce to you the Wellness Company.
[03:18:03.740 --> 03:18:14.123]  An alternative healthcare system for this COVID and post-COVID world where trust has been lost in doctors and healthcare systems.
[03:18:14.123 --> 03:18:26.866]  This new online virtual platform is nationwide providing uncensored content, virtual appointments, laboratory testing, diagnostics, prescriptions,
[03:18:27.546 --> 03:18:28.326]  We're good to go.
[03:18:56.554 --> 03:19:07.885]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deem fit.
[03:19:07.885 --> 03:19:09.767]  The First Amendment is unique in the world.
[03:19:09.767 --> 03:19:11.229]  That's what they want to take away.
[03:19:11.229 --> 03:19:12.750]  Your ability to speak freely.
[03:19:12.750 --> 03:19:14.452]  So they're going to go for Mike Lindell next?
[03:19:14.452 --> 03:19:15.733]  Or are they going to go for Steve Bannon?
[03:19:15.733 --> 03:19:17.135]  Or are they going to go for Tucker Carlson?
[03:19:17.555 --> 03:19:22.379]  I studied the globalists 30 years ago, but only 28 years, and I knew they were planning all of this.
[03:19:22.379 --> 03:19:24.781]  And I warned the public, as the modern Paul Revere.
[03:19:24.781 --> 03:19:26.803]  But I couldn't have done it without your support.
[03:19:26.803 --> 03:19:33.749]  And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to the globalists' agenda.
[03:19:34.369 --> 03:19:39.774]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[03:19:39.774 --> 03:19:48.723]  So I salute you and I thank you, and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsStore.com and getting amazing products that keep us on air.
[03:19:48.723 --> 03:19:54.990]  1776 is the promo code, the destination is InfoWarsStore.com, and I thank you all for your support.
[03:19:58.300 --> 03:20:02.903]  Leading a frontal assault on the lies of the New World Order.
[03:20:02.903 --> 03:20:10.727]  It's Alex Jones.
[03:20:10.727 --> 03:20:11.887]  Big Brother.
[03:20:11.887 --> 03:20:13.768]  Mainstream media.
[03:20:13.768 --> 03:20:15.429]  Government cover-ups.
[03:20:15.429 --> 03:20:16.950]  You want answers?
[03:20:16.950 --> 03:20:18.611]  Well, so does he.
[03:20:18.611 --> 03:20:20.472]  It's Mike Adams.
[03:20:24.446 --> 03:20:32.489]  So one of the strategies to out game the cheating mechanism by the Democrats is to vote on election day.
[03:20:32.489 --> 03:20:40.692]  And because of a great many people who were sharing that strategy on the War Room and even on InfoWars and other broadcasts,
[03:20:41.292 --> 03:20:43.933]  It turns out that a lot of conservatives waited.
[03:20:43.933 --> 03:20:55.958]  They did not participate in early voting or mail-in voting because they knew that that actually provides the Democrat algorithms with the data points that they need to rig the cheat in advance.
[03:20:55.958 --> 03:20:58.319]  So instead they're voting today, on election day.
[03:20:59.079 --> 03:21:00.761]  And I have yet to vote today.
[03:21:00.761 --> 03:21:02.623]  I'm going to do that.
[03:21:02.623 --> 03:21:05.607]  Nothing's going to stop me from voting, that's for sure.
[03:21:05.607 --> 03:21:08.790]  But millions of people all across the country are doing the same thing.
[03:21:08.790 --> 03:21:19.462]  As a result, the turnout that's happening today, and we're getting early numbers out of Florida and other areas, show that the Republican turnout is off the charts.
[03:21:20.163 --> 03:21:30.363]  And as an example of that, even in Miami-Dade County, which of course is a traditionally blue Democrat-leaning county in Florida, the Republican turnout
[03:21:31.483 --> 03:21:38.606]  Is more than 10,000 ahead in terms of total votes cast compared to Democrats and that's in a blue county.
[03:21:38.606 --> 03:21:46.029]  Now, on top of that, I can assure you that there are hardly any Republicans that are not voting Republican.
[03:21:46.029 --> 03:21:49.991]  I mean, almost every Republican is going to vote against the Democrats.
[03:21:49.991 --> 03:21:55.793]  And yet at the same time, there's no question there are many registered Democrats who will vote Republican.
[03:21:55.793 --> 03:21:56.554]  Why?
[03:21:56.554 --> 03:21:59.255]  Because, well, there's a kind of civil war in the Democrat Party.
[03:22:00.239 --> 03:22:14.868]  And a lot of what you might call mainstream Democrats or classical liberals are fed up with how radical the Democrat Party has become, especially with kind of the AOC camp and the push for transgenderism on children.
[03:22:14.868 --> 03:22:21.532]  Chemical castrations and genitalia mutilations and drag queen story time in schools and things like that.
[03:22:21.532 --> 03:22:22.913]  It is really offensive.
[03:22:23.493 --> 03:22:46.520]  To common sense people, whether they are Democrats or Republicans, to exploit and abuse children in that manner, and to end up having children having their reproductive organs surgically cut off, effectively maiming children for life, in order to achieve some kind of progressive, inclusive agenda that's not inclusive, it's abusive.
[03:22:47.000 --> 03:22:55.645]  So, the point is... Oh, and by the way, I should mention there are a lot of gays who are walking away from the Democrat Party as well.
[03:22:55.645 --> 03:22:57.646]  For a lot of the same reasons.
[03:22:57.646 --> 03:23:00.408]  There's a group called Gays Against Groomers, for example.
[03:23:01.331 --> 03:23:23.013]  And I think their slogan is LGB without the T. And, you know, they used to be embraced and accepted just being gay as part of the Democrat Party, but now if they're gay and white, then they can even be ostracized by the Democrats, and they're not on board with all the transgenderism and grooming and so on, and they are walking away from the Democrat Party.
[03:23:23.997 --> 03:23:32.623]  So, we're also seeing Hispanics moving strongly against the Democrats, because Hispanics, by the way, have very strong family values.
[03:23:32.623 --> 03:23:41.289]  And most of them are Catholic, in terms of their religious affiliation, and they want strong families, and they want to protect their children from predators.
[03:23:41.969 --> 03:23:47.574]  Because many of them are very much aware of how the southern border is used to traffic children.
[03:23:47.574 --> 03:23:51.158]  They don't want their children to be subjected to those kinds of risks.
[03:23:51.158 --> 03:23:56.122]  And they don't want their children to be turned into transgenders and have their genitalia mutilated.
[03:23:56.122 --> 03:23:59.365]  So Hispanics are rejecting the Democrat Party as well.
[03:23:59.365 --> 03:24:00.647]  And then there are black Americans.
[03:24:01.187 --> 03:24:06.332]  And black Americans, my sense is that many of them feel abandoned by the Democrats.
[03:24:06.332 --> 03:24:11.376]  They were promised many things, the Democrats always make promises during election season.
[03:24:11.376 --> 03:24:16.100]  Oh, we'll take care of you, we'll remember you, we'll clean up your neighborhoods.
[03:24:16.100 --> 03:24:22.646]  And then the Democrats betray black Americans by being soft on crime, defunding police.
[03:24:22.646 --> 03:24:25.249]  And by the way, most black Americans want
[03:24:25.789 --> 03:24:32.671]  A reasonable police presence in their communities to push back against the violent crime that is rising like never before.
[03:24:32.671 --> 03:24:36.692]  And then you've got the crazies like Kathy Hochul, current governor of New York.
[03:24:36.692 --> 03:24:39.713]  She may very well lose to Lee Zeldin.
[03:24:39.713 --> 03:24:46.915]  She, just the other day, called any talk of violent crime rising in New York, she said it was a conspiracy theory.
[03:24:46.915 --> 03:24:51.597]  So yeah, if you get stabbed in New York, that's a conspiracy theory now, according to Hochul.
[03:24:52.077 --> 03:24:59.604]  Or if you get shot or mugged or raped on the streets of New York City, oh, you're a conspiracy theorist, even though you were the victim of the crime!
[03:24:59.604 --> 03:25:00.985]  That's how insane it is.
[03:25:00.985 --> 03:25:05.890]  So that's why so many people are walking away, moving away, rejecting the Democrat Party.
[03:25:05.890 --> 03:25:10.754]  And this explains why there will be so many Democrats voting Republican.
[03:25:10.754 --> 03:25:11.995]  So in other words, what I'm saying...
[03:25:12.936 --> 03:25:37.755]  Is that even if you look at the aggregate number of votes cast by the two political parties in all the elections across the country, that alone, even though it's already strongly favoring Republicans compared to the turnout, you know, two years ago, that doesn't even capture the level of frustration with the Biden regime and the level of rejection of the Democrats, including by Democrats themselves.
[03:25:37.755 --> 03:25:39.156]  And when this is all said and done,
[03:25:40.367 --> 03:25:48.769]  You're going to see a kind of civil war in America, but a civil war inside the Democrat Party, as the blame game begins.
[03:25:48.769 --> 03:26:06.092]  And you have the Nancy Pelosi camp, kind of the old-school Democrats, at a kind of war, you know, behind-the-scenes political war, with the AOC camp, which is, we might call them the Green Taliban, you know, the greeny climate cultists, the radicals in the Democrat Party.
[03:26:07.012 --> 03:26:10.975]  That war is going to be a sight to behold.
[03:26:10.975 --> 03:26:21.303]  Of course, that assumes that Republicans actually sweep victories today and take both the House and the Senate, which I still think is likely, despite the cheating.
[03:26:21.303 --> 03:26:23.704]  But this civil war inside the Democrat Party
[03:26:24.767 --> 03:26:26.788]  Is going to be fireworks.
[03:26:26.788 --> 03:26:48.194]  Because you're going to see whether the Democrats will choose a future that is in line with the American people and reasonable, common-sense values, such as protecting families and children, or whether they go all full-blown Marxists and Communists and just say they want to power their way through this and demand obedience and punish anybody who disagrees.
[03:26:48.194 --> 03:26:51.835]  That has been the path of the Democrats for the last, you know, two years or so.
[03:26:51.835 --> 03:26:52.935]  Not longer.
[03:26:53.635 --> 03:26:59.424]  But they're about to get slapped hard by the American voter with a message that says, we reject this.
[03:26:59.424 --> 03:27:08.617]  We reject you, the Biden regime, the Democrats, and your insanity, your insane policies against children, and your controlled demolition of the economy.
[03:27:09.438 --> 03:27:20.191]  And where Democrats really went wrong in this, although you might say it's too early, you know, for a post-election analysis, but let me tell you where I think they went way wrong in all of this.
[03:27:20.191 --> 03:27:27.400]  They tried to take down the food system and the energy system, and they didn't realize the repercussions that it would have.
[03:27:28.021 --> 03:27:35.004]  They had no idea that the barges would get stuck in the Mississippi River because of geoengineering and weather control systems.
[03:27:35.004 --> 03:27:44.929]  They didn't think through the fact that if there's not enough diesel, then people don't get food on a timely basis, and then food prices go sky high because diesel is used in farming and agriculture.
[03:27:45.999 --> 03:27:50.042]  And it's typical of Democrats to not think about the repercussions of their actions.
[03:27:50.042 --> 03:27:59.649]  After all, they lash out emotionally and irrationally, and they lack any real understanding of economics, politics, history, or humanity as a whole.
[03:27:59.649 --> 03:28:02.432]  So, this is the way they behave, like petulant children.
[03:28:03.152 --> 03:28:07.394]  And those children are about to get slapped hard today by the American voter.
[03:28:07.394 --> 03:28:17.920]  So the number one thing that you can do today is make sure you go out and vote, and encourage everyone around you to vote, and then tune in here at InfoWars.com as we provide live coverage.
[03:28:17.920 --> 03:28:21.262]  It's going to be O. S. Schroyer, Harrison Smith, and others, and Alex throughout the evening.
[03:28:21.262 --> 03:28:22.803]  I may pop in.
[03:28:22.803 --> 03:28:23.183]  We'll see.
[03:28:23.183 --> 03:28:27.086]  We'll see what the schedule looks like and what openings are available.
[03:28:27.086 --> 03:28:29.067]  But we're going to cover this all throughout the evening.
[03:28:30.052 --> 03:28:30.412]  Stay with us.
[03:28:30.412 --> 03:28:33.314]  We're going to be joined by James White following this break.
[03:28:33.314 --> 03:28:37.096]  He's from Northwest Liberty News with more election analysis.
[03:28:37.096 --> 03:28:42.740]  But I just want to tell you, I have real hope that we can win this thing and we can overcome the cheating.
[03:28:42.740 --> 03:28:43.640]  So stay tuned.
[03:28:43.640 --> 03:28:47.823]  Much more straight ahead here on Band.Video and InfoWars.com.
[03:28:56.451 --> 03:29:08.479]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[03:29:08.479 --> 03:29:13.902]  He is consecutively the most Googled man in the world in the last two years.
[03:29:13.902 --> 03:29:18.505]  And that's because his message is about human, and specifically, male empowerment.
[03:29:18.985 --> 03:29:25.251]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[03:29:25.251 --> 03:29:28.213]  Introducing Top G Supplements.
[03:29:28.213 --> 03:29:33.478]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[03:29:33.478 --> 03:29:39.483]  Now you have the chance to benefit in body, mind and soul with the same supplements that Andrew Tate takes himself.
[03:29:39.483 --> 03:29:43.106]  Learn more about these amazing products at andrewtatepower.com.
[03:29:44.247 --> 03:29:49.030]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements.
[03:29:49.030 --> 03:29:50.831]  They're the highest quality on the market.
[03:29:50.831 --> 03:29:51.791]  Men grow up to be like me.
[03:29:51.791 --> 03:29:56.734]  You're gonna have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[03:29:58.658 --> 03:30:00.879]  It's a post-COVID world now.
[03:30:00.879 --> 03:30:04.901]  Americans have lost trust in their doctors and the health care system.
[03:30:04.901 --> 03:30:06.222]  There's a solution.
[03:30:06.222 --> 03:30:07.202]  The Wellness Company.
[03:30:07.202 --> 03:30:10.504]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[03:30:10.504 --> 03:30:17.707]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand,
[03:30:17.987 --> 03:30:44.038]  Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[03:30:45.038 --> 03:30:45.279]  Thank you.
[03:30:58.234 --> 03:31:18.878]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[03:31:19.378 --> 03:31:32.484]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[03:31:32.484 --> 03:31:41.347]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[03:31:41.347 --> 03:31:47.770]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[03:31:47.870 --> 03:31:49.292]  So continue to do it.
[03:31:49.292 --> 03:31:51.474]  Go to places like InfoWarsStore.com.
[03:31:51.474 --> 03:31:53.576]  Go to the places like Save InfoWars.
[03:31:53.576 --> 03:31:58.542]  Continue to keep InfoWars alive, because in the process, you're keeping American liberty alive.
[03:31:59.056 --> 03:32:01.297]  Thanksgiving 2022 is here.
[03:32:01.297 --> 03:32:03.979]  We've got the biggest sale of the year going right now.
[03:32:03.979 --> 03:32:09.762]  Now the good news is I'm going to extend this sale up to 60% off right through Christmas.
[03:32:09.762 --> 03:32:14.284]  The bad news is by Christmas almost every product in the store will be sold out.
[03:32:14.284 --> 03:32:16.365]  We won't get more for months and months and months.
[03:32:16.365 --> 03:32:20.828]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[03:32:20.828 --> 03:32:22.169]  We've already sold out of X2 and X3 and
[03:32:23.469 --> 03:32:23.989]  I think so.
[03:32:42.056 --> 03:32:44.659]  Again, more stuff is going to sell out today.
[03:32:44.659 --> 03:32:49.043]  So every hour you wait, more stuff will be sold out at MFORSTORE.COM.
[03:32:49.043 --> 03:32:55.750]  Promo code 1776 and you get an additional 10% off your already giant savings at MFORSTORE.COM.
[03:32:55.750 --> 03:32:57.032]  Thank you so much for your support.
[03:32:57.032 --> 03:32:58.773]  God bless.
[03:32:58.773 --> 03:33:04.660]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:14.542 --> 03:33:21.245]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[03:33:21.245 --> 03:33:23.567]  It's Mike Adams.
[03:33:23.567 --> 03:33:26.368]  You're listening to the Alex Jones Show.
[03:33:29.420 --> 03:33:30.160]  All right, welcome back.
[03:33:30.160 --> 03:33:38.862]  A couple of things real quick here and then we're going to jump in with James White from Northwest Liberty News with additional election analysis based on what's happening right now in real time.
[03:33:38.862 --> 03:33:40.222]  Two things worth mentioning.
[03:33:40.222 --> 03:33:50.965]  Number one, there is a kind of a crypto Bitcoin meltdown of sorts or mini meltdown taking place right now that is completely unrelated to the election.
[03:33:51.525 --> 03:33:52.987]  So there's nothing election-related.
[03:33:52.987 --> 03:33:56.830]  There's something happening between, I think, Binance and another coin.
[03:33:56.830 --> 03:33:59.113]  I don't know if it's FTT or who it is.
[03:33:59.113 --> 03:34:00.674]  There was a liquidity question.
[03:34:00.674 --> 03:34:02.116]  There's been a little bit of concern there.
[03:34:02.116 --> 03:34:06.920]  But Bitcoin is down to very close to $18,000 right now.
[03:34:06.920 --> 03:34:12.406]  And there's a lot of people watching, a lot of people concerned about that situation.
[03:34:12.406 --> 03:34:14.328]  I just encourage you, you know,
[03:34:16.002 --> 03:34:18.323]  Look at it closely, you know, before you make a decision.
[03:34:18.323 --> 03:34:21.784]  Obviously, I'm not advising you to do anything one way or another.
[03:34:21.784 --> 03:34:29.947]  And I do think that everybody needs a safe place to get out of the fiat currency dollars.
[03:34:29.947 --> 03:34:36.389]  Dollars, in my opinion, because of what's happening with Saudi Arabia now choosing China as its priority trading partner.
[03:34:36.969 --> 03:34:42.113]  You have the BRICS Nations, you have the Belt and Road Initiative that we've covered on other episodes.
[03:34:42.113 --> 03:34:46.697]  But the dollar, ultimately, not today, but the dollar is doomed.
[03:34:46.697 --> 03:34:48.719]  The dollar is going to vanish.
[03:34:48.719 --> 03:34:53.043]  It could be months away, it could be a couple of years away, it could be real soon.
[03:34:53.043 --> 03:34:53.903]  We don't know for sure.
