[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[3:17:37.320 --> 3:17:44.520]  Hey, a sunny bay heating pad would make a great gift, right? Yes, and they started just 1999 and free shipping is available
[3:17:44.520 --> 3:17:52.600]  So call 253 678 1361 or shop for your sunny bay heating pad at sunshine pillows dot com
[3:17:54.200 --> 3:17:57.640]  Living in volcano may sound more dramatic than it really is
[3:17:58.120 --> 3:18:01.000]  The real drama can be found here in leilani estates
[3:18:01.400 --> 3:18:07.240]  But a lot of us on the big island rely on rain water and we need to be concerned about ash and acid rain
[3:18:07.720 --> 3:18:10.600]  Volcanic ash may contain heavy metal particles
[3:18:10.600 --> 3:18:15.800]  And acid rain could lower the pH of the water to unhealthy levels to find out
[3:18:15.880 --> 3:18:18.920]  We employed a series of tests for heavy metals
[3:18:19.480 --> 3:18:26.600]  Alkalinity and pH what we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rain water
[3:18:27.240 --> 3:18:30.680]  Next we tested the water from our elixir pure gravity filter
[3:18:31.080 --> 3:18:37.800]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels
[3:18:37.800 --> 3:18:43.000]  As it turns out the filter on the elixir pure raises the pH of the water
[3:18:43.560 --> 3:18:48.680]  So what we've learned is that volcanic ash and acid rain can contaminate a rain water supply
[3:18:49.240 --> 3:18:53.320]  But more importantly a good water filtration system will purify it
[3:18:59.160 --> 3:19:04.760]  The real red pill plus ladies and gentlemen our team is constantly on the lookout for newer and better ways to improve our products
[3:19:04.760 --> 3:19:11.480]  That's why we're bringing you a brand new version of one of the newest fan favorite products the real red pill plus
[3:19:11.960 --> 3:19:16.680]  Real red pill plus is an all-new version of the powerhouse pregnant on product
[3:19:16.840 --> 3:19:19.720]  It features the same great formula that supports your heart brain
[3:19:19.880 --> 3:19:27.560]  Healthy aging process with an all-new natural caffeine boost included a powerful pregnant on base the real red pill
[3:19:27.800 --> 3:19:30.920]  It could become one of our fellow infowars favorite products
[3:19:30.920 --> 3:19:36.600]  Now with an extra proprietary energy blend inside including re-dx track and rematte leave extract
[3:19:36.840 --> 3:19:41.960]  And more you can get that extra pick me up all supporting your mind and body in a healthy way
[3:19:42.120 --> 3:19:46.280]  Got all the great stuff that real red pill has but it's also got the most in it
[3:19:46.520 --> 3:19:50.440]  Get the real red pill plus at infowarstores.com
[3:19:50.440 --> 3:19:59.800]  You're listening to the alex jones show
[3:20:08.040 --> 3:20:16.600]  From the front lines of the information war it's rogers stone. You're listening to the alex jones show
[3:20:16.600 --> 3:20:24.520]  Welcome back. I'm rogers stone sitting in for the great alex jones
[3:20:25.160 --> 3:20:33.240]  If you go to the top of the drudge report now, you can see that evidently president donald trump and yours truly rogers stone
[3:20:33.800 --> 3:20:38.920]  Are the two people who seem to be in the crosshairs of robert muller
[3:20:38.920 --> 3:20:47.000]  I myself have been subjected to a torrent of illegal leaks from the special counsel's office and a
[3:20:48.200 --> 3:20:53.480]  A tsunami of disinformation nothing has changed
[3:20:53.800 --> 3:21:00.040]  But I still have to suffer the lies the slurs the smears of the far left
[3:21:00.360 --> 3:21:03.400]  Let's take a look at msnbc for example
[3:21:03.400 --> 3:21:11.160]  Another bombshell breaking in the muller probe is yes, there are tapes and muller has them. He's listening to rogers stone's conference calls from 2016
[3:21:11.640 --> 3:21:17.800]  In the background of this entire race going forward the fact that julien assange who say anything you want to know
[3:21:17.880 --> 3:21:24.120]  He's not a fool. He's going to continue to drop information on the american voters that are going to loyal this race
[3:21:24.520 --> 3:21:30.600]  He's made that very clear that same day stone sent former trump advisor sam nunberg an email that stated
[3:21:30.600 --> 3:21:33.640]  I quote dined with my new pal julien assange last night
[3:21:34.120 --> 3:21:36.120]  Stone later said that was just a joke
[3:21:36.120 --> 3:21:40.360]  But it was 70 days after that that he tweeted to the world quote trust me
[3:21:40.600 --> 3:21:45.880]  It will soon be podesta's time and the barrel is if he was making all these claims in public and on these conference calls
[3:21:45.960 --> 3:21:50.040]  Was any of it going back to the people running the trump campaign and on them?
[3:21:50.040 --> 3:21:55.160]  He would talk about his relationship and friendship with paul manifold. He'd talk about the inner workings of the trump campaign
[3:21:55.160 --> 3:22:00.520]  He also talked a lot about wiki leeks plans to release emails and he used the quote royal this race
[3:22:01.480 --> 3:22:07.800]  And a witness in the probe jason solovan who helped him organize those conference calls said he claimed contact with julien assange
[3:22:07.800 --> 3:22:13.880]  But it could also just be muller scrutinizing the number of times rogers stone claimed contact with assange as you as you play
[3:22:14.040 --> 3:22:17.160]  Roger now says he never had contact with assange
[3:22:17.560 --> 3:22:23.720]  But beginning in early august he talked a lot about being in touch with assange having a foreshadowing of the materials assange would release
[3:22:23.720 --> 3:22:27.160]  He went on alex jones' show and said he knew what was coming
[3:22:27.160 --> 3:22:30.040]  But he couldn't say too much at david corn who's all over the story
[3:22:30.840 --> 3:22:34.760]  Well, I guess if you can get people testifying to private communications
[3:22:35.000 --> 3:22:42.360]  Particularly people in a position of trust with rogers stone then that way have more weight than him just saying what he says on alex
[3:22:42.360 --> 3:22:47.880]  Jones's show and rogers jones defense at this moment in time is that i am the world's biggest liar
[3:22:48.280 --> 3:22:52.920]  I probably said again and again and again that i was in touch with julien assange
[3:22:52.920 --> 3:22:57.560]  I knew what he was doing. Be honest david. Do you find that a potentially credible defense?
[3:22:58.040 --> 3:23:04.200]  Yes, it is yes because like he is known for lying and being a provocateur and saying whatever
[3:23:04.280 --> 3:23:06.680]  He thinks is necessary to say at that moment in time
[3:23:06.920 --> 3:23:15.080]  He was also in touch with gucifer 2.0 that russian internet frisana that we now know was a russian intelligence
[3:23:15.720 --> 3:23:19.080]  There you have it a recitation of the recycled lies
[3:23:19.080 --> 3:23:26.440]  In over a 10-day period. I said three times including on the alex jones show that I had communicated with assange
[3:23:27.000 --> 3:23:34.360]  As I clarified at that time and later under oath for the house intelligence committee that communication was through a
[3:23:34.760 --> 3:23:41.080]  Third party. I identified that third party for the for the house intelligence committee
[3:23:41.080 --> 3:23:49.400]  Uh, my communication with gucifer 2.0 is benign the 24 word exchange on twitter direct messages
[3:23:49.720 --> 3:23:55.080]  Actually takes place after wiki leaks has already published the dnc material
[3:23:55.400 --> 3:24:01.080]  Consequently based on content context and timing it is meaningless
[3:24:01.640 --> 3:24:06.280]  And most certainly not any evidence of collusion or coordination
[3:24:06.280 --> 3:24:15.960]  Uh, this is uh, uh the continued recycling of already discredited reports by my critics on the far left
[3:24:16.120 --> 3:24:21.560]  The wall street journal reporter who you saw shall be holiday is well aware of the facts
[3:24:21.640 --> 3:24:29.480]  You can actually read our entire exchange at stone cold truth dot com to see how she is engaged in fake news
[3:24:30.040 --> 3:24:32.040]  in the meantime the
[3:24:32.040 --> 3:24:41.000]  Washington Post reports that steve bannon uh went to before the grand jury and told the post that he was questioned about me
[3:24:41.640 --> 3:24:44.680]  The point of this of course is that on october 2nd
[3:24:45.240 --> 3:24:52.120]  When julia sange had a press event and did not release any material to the consternation of
[3:24:52.680 --> 3:24:55.640]  A lot of the press we're watching including alex jones
[3:24:55.640 --> 3:25:03.400]  He did say in that presser that he would specifically have a release for the next six weeks
[3:25:03.880 --> 3:25:10.760]  Every week he laid out a schedule. I imparted that information to bannon via email
[3:25:11.160 --> 3:25:16.440]  But it's not inside information. It had been published on politico hours before
[3:25:16.840 --> 3:25:22.280]  But most in the media were reporting the fact that assange had nothing and would do nothing
[3:25:22.280 --> 3:25:28.840]  That's not actually what he said in a subsequent exchange with matt boil a bright not barred news
[3:25:29.160 --> 3:25:33.080]  He asked me whether what assange had was good and I said it is
[3:25:33.640 --> 3:25:37.160]  That's based on the constant assurances of my source
[3:25:37.560 --> 3:25:45.640]  Randy credit code that the material that wiki leaks had was quote devastating a bombshell would change history
[3:25:45.640 --> 3:25:53.000]  Would destroy hillary. Those are not specifics. Those are generals. So what I did here is pretty clear
[3:25:53.480 --> 3:25:58.680]  I used public sources including the wiki leaks twitter feed and the
[3:25:59.480 --> 3:26:02.520]  Setting a google news alert for julie nassange
[3:26:03.000 --> 3:26:05.720]  Reading every interview he gave and he gave many
[3:26:06.520 --> 3:26:11.640]  And based on that solid tip from credit code. I pumped I bluffed
[3:26:11.640 --> 3:26:17.240]  I postured and I hyped the democrats over the coming release of
[3:26:18.360 --> 3:26:21.320]  The material which would indeed change the race
[3:26:21.800 --> 3:26:28.440]  But I say it again. I had no advance notice of the source or the content of that material
[3:26:28.760 --> 3:26:36.920]  I was operating on public information and that tip. This really grows tedious as these false accusations
[3:26:37.560 --> 3:26:39.560]  Come out just before the election
[3:26:39.560 --> 3:26:41.560]  One has to assume
[3:26:42.120 --> 3:26:47.080]  That the purpose is to reinflate the whole russian collusion narrative
[3:26:47.480 --> 3:26:52.120]  Since mr. Muller has produced no evidence of russian collusion
[3:26:52.600 --> 3:26:58.440]  There is to this day no evidence or no witness who can honestly testify before the grand jury
[3:26:58.840 --> 3:27:02.200]  Saying that I had advanced notice of the wiki leaks material
[3:27:02.840 --> 3:27:07.720]  Alex jones was a contemporary in this he remembers my discussing
[3:27:07.720 --> 3:27:14.280]  Uh, the fact that I was trying to learn more like every journalist or politico in america
[3:27:14.600 --> 3:27:17.080]  This is indeed a witch hunt
[3:27:17.640 --> 3:27:24.040]  Those of you who want to help me in this extraordinary battle can go to stonedefensefund.com
[3:27:25.000 --> 3:27:30.200]  My legal costs are projected to be almost two million dollars this past week
[3:27:30.280 --> 3:27:34.920]  I took a polygraph exam from two analyzed by two of the most prominent
[3:27:34.920 --> 3:27:41.400]  Lie detector experts in the country who have concluded that I told the truth on all these questions
[3:27:41.960 --> 3:27:45.240]  Regarding the disclosure of the wiki leaks material
[3:27:45.640 --> 3:27:52.120]  I've made this information available to the new york times to the washington post to the
[3:27:52.920 --> 3:27:55.560]  CBS to vice and many others
[3:27:56.200 --> 3:27:59.320]  But you'll find it buried in an abc story
[3:27:59.320 --> 3:28:07.320]  I stand by that and the fact that my testimony before the house committee was entirely truthful and accurate
[3:28:07.880 --> 3:28:11.800]  In the meantime, if you want to help, uh, the fight for freedom
[3:28:12.120 --> 3:28:16.280]  Remember the terrific specials we have going on at the info wars.com store
[3:28:16.680 --> 3:28:23.400]  It is only your loyal support that keeps us afloat and moving forward as we are under a relentless attack
[3:28:23.400 --> 3:28:31.320]  Uh, both in terms of harassment lawsuits and when it comes to censorship info wars is the tip of the spear
[3:28:31.480 --> 3:28:36.600]  We are the cutting edge. We are the revolution and we need your support
[3:28:37.000 --> 3:28:39.000]  The efforts to close down
[3:28:39.480 --> 3:28:50.360]  This very forum to shut down this platform is an effort, uh, to silence me to silence alex jones ahead of next Tuesday's crucial election
[3:28:50.360 --> 3:28:58.200]  Don't let it happen. Hi. I'm dan pilla. I started fighting the irs over 40 years ago when they tried to seize my mother's house
[3:28:58.440 --> 3:29:02.600]  I sued the irs in one. I beat the irs then and i've been beating them ever since
[3:29:02.920 --> 3:29:06.840]  I wrote the book on tax debt settlement and i've helped thousands of people deal with tax problems
[3:29:06.920 --> 3:29:12.440]  They thought might never be solved. I can help you too. If you owe taxes, you can't pay. Don't wait another day
[3:29:12.680 --> 3:29:19.080]  There's no such thing as a hopeless tax case call 800 34 no tax or go to my website danpilla.com
[3:29:19.080 --> 3:29:22.280]  That's danpilla.com danpilla.com
[3:29:23.000 --> 3:29:26.680]  Most of you know that heart disease is the number one silent killer in the u.s
[3:29:26.840 --> 3:29:33.480]  What if I told you for just 54 95 a month you could fight against heart disease naturally at heart and body extract
[3:29:33.560 --> 3:29:36.600]  We've been helping thousands of people get back to a healthier heart
[3:29:36.680 --> 3:29:44.280]  Don't just take my word for it. Check out all of the success stories at hbxtrack.com or to order call 866 295
[3:29:44.280 --> 3:29:52.440]  5305 that's 866 295 5305 hp extract.com. Don't risk it when you can take charge of it
[3:29:54.040 --> 3:30:00.760]  Do you realize that when you spread the links from info wars.com when you spread the videos you are changing the world
[3:30:01.720 --> 3:30:03.240]  it's you
[3:30:03.240 --> 3:30:09.720]  That has defeated hillary and the globlest it is you the info warriors across the planet that stood against the bullying
[3:30:09.800 --> 3:30:12.360]  That stood against the peer pressure that stood against the threats
[3:30:12.360 --> 3:30:15.800]  That have now changed the world and that's why you've been on the team
[3:30:16.360 --> 3:30:22.600]  Supporting us praying for us and spreading the word you are the info war and now because of their intensifying censorship
[3:30:22.680 --> 3:30:24.520]  It's more important than ever
[3:30:24.520 --> 3:30:29.080]  That everyone go to info wars.com forward slash newsletter and sign up via email
[3:30:29.320 --> 3:30:35.720]  So there's no way the sensors can get between us with critical videos articles breaking news intel you name it
[3:30:35.880 --> 3:30:41.080]  And so now I ask you more than ever to share the info wars.com articles to share the videos
[3:30:41.080 --> 3:30:44.600]  To tell people by the local stations you're listening to the bare minimum
[3:30:44.600 --> 3:30:50.520]  You can do is sign up for the free newsletter at info wars.com forward slash newsletter
[3:30:50.840 --> 3:30:53.720]  We are the renaissance and we are winning
[3:30:54.040 --> 3:30:56.520]  It's really hard to have the energy at the end of the day
[3:30:56.840 --> 3:31:02.280]  To still get to the gym or to go for a run or go to the park or heck even take your dog for a walk
[3:31:02.440 --> 3:31:08.200]  Believe me. I know I spend hours in front of a screen and then hours in front of bright lights every day
[3:31:08.200 --> 3:31:13.720]  But thanks to supermail vitality at infowarstore.com. I still have that energy
[3:31:13.880 --> 3:31:19.800]  There's no way I could have the energy at the end of a long day to fight back against the chemicals and the food and water
[3:31:19.960 --> 3:31:26.760]  To fight back against the modern-day lifestyle with the screen time and the extended hours to still have the stamina and endurance
[3:31:27.080 --> 3:31:34.040]  Energy and drive to get to the gym get to the park and get exercise that you need for your health
[3:31:34.040 --> 3:31:38.280]  So go to infowarstore.com and get supermail vitality before it's gone
[3:31:38.520 --> 3:31:42.040]  This is actually our last run of supermail vitality
[3:31:42.200 --> 3:31:46.680]  So I want you to experience supermail vitality before it's too late
[3:31:47.160 --> 3:31:49.160]  Unleash the supermail and you
[3:31:49.960 --> 3:31:51.960]  supermail vitality
[3:31:54.200 --> 3:31:56.200]  Fueling your body is hard work
[3:31:56.520 --> 3:32:01.720]  That's why we've introduced the info wars life daily digestive pack to help you fuel it right
[3:32:01.720 --> 3:32:09.000]  Combine flora life everyday maintenance and carnivore to help you fuel your gut and body and take advantage of the powerful
[3:32:09.320 --> 3:32:12.920]  Nutrients you receive. There's no better way to power your body
[3:32:13.480 --> 3:32:21.560]  Flora life is a powerful probiotic supplement with 20 of the most potent clinically study probiotic strains when paired with carnivore
[3:32:21.800 --> 3:32:25.160]  Our incredible enzyme formula that helps you break down nutrients
[3:32:25.480 --> 3:32:30.840]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day
[3:32:30.840 --> 3:32:38.520]  These incredible formulas can help keep your body in tip-top shape in the fight against stress age and outside toxins
[3:32:38.920 --> 3:32:44.600]  There's no better time to try flora life and carnivore to see how well they can support your body
[3:32:45.080 --> 3:32:52.200]  Don't miss out on the chance to fuel your body and support recovery try the info wars life daily digestive pack today
[3:32:52.200 --> 3:32:59.800]  You're listening to the alex jones show
[3:32:59.800 --> 3:33:27.800]  Live from the info wars dot com studios you're listening to the alex jones show and now your host roger stone
[3:33:30.680 --> 3:33:32.280]  Welcome back
[3:33:32.280 --> 3:33:35.560]  I'm roger stone and you're on the alex jones show
[3:33:36.040 --> 3:33:41.160]  Joining me shortly will be our special guest a close personal friend of the president
[3:33:41.560 --> 3:33:44.920]  tana guertz who was one of the key strategists in
[3:33:45.240 --> 3:33:53.880]  Donald trump's stunning victory in iowa and remains a senior advisor to the president's reelection campaign
[3:33:53.880 --> 3:33:59.160]  I met tana at the republican national convention. I really can't forget it
[3:33:59.480 --> 3:34:03.880]  Because it was at that exact time that alex jones and I were invited on the
[3:34:04.840 --> 3:34:09.880]  Set of the young turks only to be bushwhacked and claimed that we were somehow
[3:34:10.440 --> 3:34:16.280]  Invading their site that we were trying to break in where in fact we had been invited
[3:34:16.600 --> 3:34:20.680]  It is a classic piece of television. You can find it on youtube
[3:34:20.680 --> 3:34:28.200]  Uh, and just the other day tucker carlson sent me the youtube link and says that he looked back at it and had to laugh
[3:34:28.680 --> 3:34:30.680]  Because it was so funny
[3:34:31.640 --> 3:34:35.000]  We are in the final days before the election
[3:34:35.640 --> 3:34:43.640]  And I don't want to underestimate the role that internet censorship is playing in the democrats campaign
[3:34:43.640 --> 3:34:52.760]  What we've seen without any objection from the mainstream media is the wholesale censorship of libertarians
[3:34:53.400 --> 3:34:59.960]  Conservatives trump supporters republicans and anyone who isn't a democrat seemingly
[3:35:00.680 --> 3:35:06.120]  Yesterday the proud boys were taken off of facebook unilaterally
[3:35:06.760 --> 3:35:10.280]  As were individuals who are members of that organization
[3:35:10.280 --> 3:35:17.000]  We have seen pages with literally millions of followers on facebook
[3:35:17.400 --> 3:35:21.240]  Just overnight decapitated with an explanation that you have
[3:35:22.040 --> 3:35:28.600]  Violated our standards in some cases being accused of selling drugs over the internet or
[3:35:29.240 --> 3:35:34.040]  Depicting acts of violence or sexual acts completely phony
[3:35:34.680 --> 3:35:39.320]  This shows that they will push the envelope as far as they possibly can
[3:35:39.320 --> 3:35:43.880]  Uh, and that the war on censorship is very very real
[3:35:44.520 --> 3:35:49.000]  No one has been more in the crossfire of this than info wars
[3:35:49.240 --> 3:35:52.200]  That's why I want to remind you that on this halloween
[3:35:52.680 --> 3:35:58.760]  We need your support more than ever before if you go to the info wars dot com store right now
[3:35:58.920 --> 3:36:00.920]  You will see the extraordinary
[3:36:01.000 --> 3:36:03.000]  Specials that we have running
[3:36:03.000 --> 3:36:09.000]  Uh, and that is really what funds us here at info wars. You see we don't have any
[3:36:10.040 --> 3:36:13.560]  multinational corporate sponsors. We don't have
[3:36:14.600 --> 3:36:20.040]  Any one source of funding we depend completely and totally on you
[3:36:20.360 --> 3:36:27.000]  So let's look at some of these terrific products. My all-time favorite, of course, is brain force plus
[3:36:27.400 --> 3:36:31.720]  This is a natural product now reduced at 1998
[3:36:31.720 --> 3:36:35.960]  Uh, which gives you mental clarity and mental energy
[3:36:36.600 --> 3:36:40.600]  At that four o'clock time of the day when you begin to have a dip
[3:36:41.080 --> 3:36:43.640]  I find this to be a great product yet
[3:36:44.040 --> 3:36:51.000]  You don't get that wired feeling that you get from the energy drinks that are laced with a fedrine and
[3:36:51.640 --> 3:36:59.560]  Other uh stimulants. This is a smooth sustained mental energy and clarity that I think you will enjoy
[3:36:59.560 --> 3:37:02.760]  6,017 other
[3:37:03.560 --> 3:37:07.560]  Info warriors agree with me. This is one of the very best
[3:37:08.120 --> 3:37:13.800]  Specials you can find. I also am very fond of silver bullet. Silver bullet
[3:37:14.360 --> 3:37:16.360]  Is a colloidal
[3:37:16.520 --> 3:37:25.160]  Silver product which boosts immunity. It has for centuries been known as an antibacterial and an antiviral
[3:37:25.160 --> 3:37:31.560]  Uh, but the special electronic process used by info wars
[3:37:32.040 --> 3:37:38.760]  Makes this a far more absorbable formula than other silver components that are on the market
[3:37:39.080 --> 3:37:41.880]  This is one of the very best products
[3:37:42.200 --> 3:37:46.440]  So again, I urge you to go to the info wars dot com store
[3:37:47.160 --> 3:37:52.680]  And load up for your christmas shopping. It's the only thing that allows us to stay
[3:37:52.680 --> 3:37:57.080]  Uh afloat here and moving forward and while you're at it
[3:37:57.480 --> 3:38:04.920]  Grab a copy of my latest book stones rules. This is a manifesto for victory
[3:38:05.240 --> 3:38:12.920]  This is an indispensable track for anyone who is in politics or business or media or fashion
[3:38:13.320 --> 3:38:18.920]  Stones rules available at a terrific price at the info wars dot com store
[3:38:18.920 --> 3:38:23.800]  If you buy your copy of stones rules at the info wars store
[3:38:24.280 --> 3:38:28.680]  And mail it to me a special offer for info warriors only
[3:38:29.160 --> 3:38:35.160]  It will be my privilege to sign it and send it back to you at my own expense
[3:38:35.480 --> 3:38:39.080]  So you can go to the info wars dot com store now
[3:38:39.320 --> 3:38:42.360]  Get your copy and mail it to me at this address
[3:38:43.080 --> 3:38:44.520]  roger stone
[3:38:44.520 --> 3:38:46.040]  po box
[3:38:46.040 --> 3:38:48.040]  eight one three four five oh
[3:38:48.040 --> 3:38:50.680]  four four two nine hollywood boulevard
[3:38:51.160 --> 3:38:52.760]  hollywood florida
[3:38:52.760 --> 3:38:54.760]  three three zero eight one
[3:38:55.080 --> 3:38:58.120]  Three four five zero. We'll leave that up a second for you
[3:38:58.840 --> 3:39:04.120]  You can get your copy of stones rules include in it your receipt
[3:39:04.840 --> 3:39:08.120]  That shows that you got it on the info wars dot com store
[3:39:08.440 --> 3:39:14.200]  And I will gladly send it back to you. This is the fifth book that I have written
[3:39:14.200 --> 3:39:24.200]  Uh, my other books the clinton's war on women for example the jeb and the bush crime family also available at the info wars dot com store
[3:39:24.440 --> 3:39:29.560]  So if you buy those and you want those autographed as well, send them along again
[3:39:29.960 --> 3:39:33.400]  This is an offer for info warriors only
[3:39:34.120 --> 3:39:38.600]  Uh, i'm roger stone. You're on the alex jones show
[3:39:38.600 --> 3:39:46.200]  It seems like nancy polosi may be measuring the drapes in the white house a little too early
[3:39:46.680 --> 3:39:52.600]  She tells fox news that she is confident that the democrats will take the house
[3:39:53.160 --> 3:39:55.480]  I say it's too early to know
[3:39:55.960 --> 3:40:02.760]  This will come down to a very small number of districts and a very small number of of votes
[3:40:03.240 --> 3:40:05.880]  And that's why every single vote counts
[3:40:05.880 --> 3:40:13.880]  Those who are relying on polling should keep in mind that any poll is merely a snapshot in time
[3:40:14.280 --> 3:40:21.480]  It is only good for the episecond in which it is taken and that polls can differ in its in their results
[3:40:21.960 --> 3:40:31.560]  Based on the order of the questions the wording of the questions the size of the sample the proper drawing of the sample and so on
[3:40:31.560 --> 3:40:36.840]  One thing that all of the polls show is that this election is very close
[3:40:37.320 --> 3:40:39.960]  And that the president has re-energized
[3:40:40.520 --> 3:40:46.200]  His political base making this a far closer contest that it looked a few months ago
[3:40:46.520 --> 3:40:49.800]  When democrats were claiming there would be a blue wave
[3:40:50.280 --> 3:40:55.880]  I think I think the senate is now safely in republican hands. That would be my prediction
[3:40:55.880 --> 3:41:03.080]  But the house is up for grabs. Let's make no mistakes about the democrats plan if the democrats win the house
[3:41:03.560 --> 3:41:08.120]  They will enact articles of impeachment against our president almost immediately
[3:41:08.680 --> 3:41:13.560]  I doubt they'll be based on any evidence of russian collusion because there is none
[3:41:13.960 --> 3:41:18.520]  But we've already seen the dress rehearsal the dry run for what they have in mind
[3:41:18.520 --> 3:41:25.800]  And the 19 women who falsely accused president trump of sexual assault in the 2016 campaign will be
[3:41:26.280 --> 3:41:29.160]  Recycled in a show trial in the senate
[3:41:29.560 --> 3:41:35.240]  We'll allow the new york times will pound away on the issue of donald trump's taxes where he appears to have
[3:41:35.560 --> 3:41:40.360]  perfectly illegally avoided paying millions of dollars in taxes based on
[3:41:41.000 --> 3:41:46.120]  The current tax law that doesn't show it. He's crooked. It shows that he's smart
[3:41:46.120 --> 3:41:53.240]  But there will be yet another attempt to whip up a public hysteria about our president
[3:41:53.480 --> 3:41:57.080]  This is what happens if we lose the house a few short
[3:41:57.720 --> 3:42:01.880]  Days from now, which is why as alex jones put it a little earlier
[3:42:02.360 --> 3:42:04.920]  It's vitally important that you get every true believer
[3:42:05.080 --> 3:42:10.280]  You know out and then figure out who among your friends and associates your co-workers is
[3:42:10.280 --> 3:42:19.240]  A friendly or is a persuadable and get those every those marginal extra votes to the polls every vote will count
[3:42:19.640 --> 3:42:24.360]  I'm planning to head to austin for election night. I think it's going to be a nail biter
[3:42:24.760 --> 3:42:30.840]  Anyone who tells you that they're certain about what will happen is blowing smoke. I'm roger stone
[3:42:30.840 --> 3:42:41.560]  You're on the alex jones show. I'll be back with tana dirts on the other side. Thanks for joining us
[3:42:53.240 --> 3:42:57.560]  Whether you're looking to boost the benefits of our official oil formula or just want an alternative
[3:42:57.560 --> 3:43:04.440]  In full words life has the formula for you. Ultimate krill oil is a powerhouse formula that takes advantages of the epa
[3:43:05.000 --> 3:43:09.320]  dha and omega-3 is found in our high quality ultra pure krill oil concentrate
[3:43:09.880 --> 3:43:13.480]  containing powerful antioxidants such as athazanthin and omega-3
[3:43:13.880 --> 3:43:19.000]  Ultimate krill oil can help you experience the benefits of fish oil with less required dha and epa
[3:43:19.880 --> 3:43:25.960]  This incredible formula can help your body in many ways including supporting heart health joint health and cognitive health
[3:43:25.960 --> 3:43:30.760]  Aiding and regulating fat metabolism helping to maintain cognitive function and more
[3:43:31.320 --> 3:43:34.920]  And while other krill oil formulas may chemically modify their formulas
[3:43:35.080 --> 3:43:40.520]  We're giving you the benefits of a simple formula that contains unmodified high quality krill oil concentrate
[3:43:40.920 --> 3:43:43.320]  Paired with our ultimate fish oil or used separately
[3:43:43.640 --> 3:43:49.880]  It's time to see what krill oil can do for you with ultimate krill oil now available at info wars store.com
[3:43:49.880 --> 3:43:55.320]  Our grandparents a great grandparents knows they can't food during the fall. So you have it during the winter
[3:43:56.200 --> 3:44:03.720]  And that's what i'm talking about at info wars tour.com with info wars select. It's the full spectrum of my patriot supply on the top
[3:44:04.760 --> 3:44:08.920]  Most respected companies out there, but because I private label it. I'm able to go
[3:44:09.720 --> 3:44:15.720]  Below cost on contracts that all their other distributors aren't able to do but I want to be a market leader
[3:44:15.720 --> 3:44:18.920]  And I want you to have storeable food. So it's a total win-win
[3:44:19.240 --> 3:44:24.680]  We have those incredible sell prices back in four store.com on info or select storeable foods
[3:44:25.000 --> 3:44:30.280]  They've got special diet foods. They've got three month supplies. Your supplies week emergency supplies
[3:44:30.520 --> 3:44:35.800]  They've got so many great products there. Have you got a three year supply? If stuff happens, you can feed your whole block
[3:44:36.200 --> 3:44:38.200]  It's up to us to be self-sufficient
[3:44:38.600 --> 3:44:42.920]  You're buying war bonds bringing great products it together with God's help
[3:44:42.920 --> 3:44:49.320]  We are unstoppable info or store.com and info or select high-quality storeable foods powered by my patriot supply
[3:44:50.840 --> 3:44:54.840]  We are kept afloat only by your loyal patronage
[3:44:55.240 --> 3:45:00.360]  And that's why we need you to go to the site now if you're not in the market for one of our greatest
[3:45:00.520 --> 3:45:03.160]  Nutraceuticals, please consider a contribution
[3:45:03.720 --> 3:45:05.720]  25 50 100
[3:45:05.720 --> 3:45:07.720]  250 or even 500
[3:45:07.720 --> 3:45:08.520]  dollars
[3:45:08.520 --> 3:45:16.120]  Would be a godsend to our important work here to beat back the globalists and to destroy their campaign of censorship
[3:45:16.120 --> 3:45:41.720]  In which they want to strangle our first amendment rights. Hey, how would you like to take info wars with you wherever you go? Well now you could do just that with the new official info wars end and here's the best part
[3:45:41.720 --> 3:45:49.080]  Right now at info wars.com forward slash app app is the info wars official app taken on the globalist at point blank range
[3:45:49.240 --> 3:45:53.400]  And with your help spreading it and with your help downloading it. We are unstoppable
[3:45:54.760 --> 3:45:58.920]  You deserve a deep restful sleep with knockout by info wars life
[3:45:59.400 --> 3:46:07.080]  Our organic formula is made from high quality natural ingredients such as valerian root extract l tryptophan
[3:46:07.480 --> 3:46:09.960]  lemon balm leaf extract and melatonin
[3:46:09.960 --> 3:46:15.160]  Knockout packs a powerful punch to get you through the night and achieve proper sleep
[3:46:15.560 --> 3:46:19.400]  Millions of people around the world experience daytime drowsiness
[3:46:19.720 --> 3:46:23.560]  But with the rapid speed of life we need to be able to keep up the pace
[3:46:23.880 --> 3:46:29.640]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[3:46:30.040 --> 3:46:33.720]  And get the sleep you need wake up refreshed and take on the day
[3:46:33.720 --> 3:46:41.640]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price
[3:46:42.040 --> 3:46:49.720]  Get the sleep you deserve and experience the power of knockout head on over to info wars life dot com and say goodbye to fatigue
[3:46:50.040 --> 3:46:52.360]  That's info wars life dot com
