[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[03:01:17.126 --> 03:01:19.008]  They're overplaying their hand.
[03:01:19.008 --> 03:01:28.317]  They're in a situation where probably they could have achieved total global domination if they were patient, if they were maybe a little bit more humble, more calculating.
[03:01:29.207 --> 03:01:33.310]  Because they are children of the devil, because they follow evil, they're hubristic.
[03:01:33.310 --> 03:01:35.811]  And what they've done now is they've pushed and they've pushed.
[03:01:35.811 --> 03:01:47.779]  They've pushed the American people too far and whereas people might have been complicit or complacent and gone along with this for a long time, now they've pushed them so far that it's not going back to the way it was before.
[03:01:47.779 --> 03:01:51.662]  They've crossed the Rubicon and that has consequences for both sides.
[03:01:51.662 --> 03:01:55.024]  They're going all the way and now the American people, you see them in the streets
[03:01:55.624 --> 03:01:59.265]  That Million MAGA march is unlike anything I've ever seen in my life.
[03:01:59.265 --> 03:02:00.785]  And that was the beginning.
[03:02:00.785 --> 03:02:06.227]  Pouring into the state capitals, pouring into the streets, and things I think that we've never seen before in this country.
[03:02:06.227 --> 03:02:08.608]  It's unprecedented, the kind of pushback that they will get.
[03:02:08.608 --> 03:02:12.849]  I've only had feds at Bilderberg following in restaurants, sit down by us.
[03:02:12.849 --> 03:02:17.490]  But they had feds following us, sitting down in restaurants, letting us know they're feds, sticking stuff on our cards.
[03:02:18.027 --> 03:02:20.989]  It's like, dude, come on, you're the ones usurping the country.
[03:02:20.989 --> 03:02:24.672]  You are the ones that work for the Chi-Coms, at least you're following orders to.
[03:02:24.672 --> 03:02:26.233]  We're not planning anything bad.
[03:02:26.233 --> 03:02:27.554]  You're the bad guys.
[03:02:27.554 --> 03:02:29.916]  You don't work for America anymore.
[03:02:29.916 --> 03:02:30.156]  Right.
[03:02:30.156 --> 03:02:30.416]  Yeah.
[03:02:30.416 --> 03:02:43.306]  And while it's so funny, you know, for the past few years, all these liberals who were so anti-war in the years of the George W. Bush administration, now they're flag-waving patriots talking about the FBI and the CIA and James Comey.
[03:02:43.306 --> 03:02:44.547]  And they're going to arrest all of us.
[03:02:44.887 --> 03:02:46.668]  Yes, right, exactly, exactly.
[03:02:46.668 --> 03:02:48.128]  All these government spooks.
[03:02:48.128 --> 03:02:52.029]  Now they're all in favor of the feds and the intelligence community and all of that.
[03:02:52.029 --> 03:02:53.009]  And you're exactly right.
[03:02:53.009 --> 03:02:54.750]  They're the ones ruining America.
[03:02:54.750 --> 03:02:56.490]  The word is homogenization.
[03:02:56.490 --> 03:03:00.371]  They want the total homogenization of the world and the population.
[03:03:00.371 --> 03:03:04.592]  Not black, not white, not Jewish, not Muslim, not Christian.
[03:03:04.592 --> 03:03:05.913]  No, it's just one big corporate...
[03:03:06.933 --> 03:03:07.454]  Exactly.
[03:03:07.454 --> 03:03:08.775]  The absence of culture.
[03:03:08.775 --> 03:03:11.619]  Well, destroying all the bonds that tie us together.
[03:03:11.619 --> 03:03:12.860]  The bonds of family.
[03:03:12.860 --> 03:03:13.821]  The bonds of marriage.
[03:03:13.821 --> 03:03:14.782]  Our humanity.
[03:03:14.782 --> 03:03:16.004]  And that's the thing about leftists.
[03:03:16.004 --> 03:03:17.225]  You think you're, like, winning.
[03:03:17.225 --> 03:03:18.446]  You're the useful idiots.
[03:03:18.446 --> 03:03:20.228]  The first that fell into the meat grinder.
[03:03:20.228 --> 03:03:21.329]  I don't even hate you.
[03:03:21.329 --> 03:03:22.010]  You're idiots.
[03:03:22.010 --> 03:03:23.432]  I don't hate those feds that follow us around.
[03:03:23.692 --> 03:03:28.394]  They looked actually kind of guilty, you know, at the hotel lobby and at the restaurant.
[03:03:28.394 --> 03:03:30.415]  You know, like, it's ridiculous.
[03:03:30.415 --> 03:03:32.056]  Like, oh, we're scared now.
[03:03:32.056 --> 03:03:33.296]  I am scared for my children.
[03:03:33.296 --> 03:03:39.159]  It's why I'll do anything legal and lawful and proper in this spectrum to save things.
[03:03:39.159 --> 03:03:43.981]  And it's the globalists that are escalating when you're violent, Antifa, and the rest of it.
[03:03:43.981 --> 03:03:45.842]  The War Room's coming up in 45 minutes.
[03:03:45.842 --> 03:03:47.482]  John Rappaport's about to take over.
[03:03:47.482 --> 03:03:49.503]  Oh, and Schroyer, what else is on your plate, my friend?
[03:03:49.503 --> 03:03:50.884]  And a final statement from Nick Fuentes.
[03:03:52.978 --> 03:03:54.860]  Yeah, we're going to have some good guests on The War Room, Alex.
[03:03:54.860 --> 03:03:57.002]  I'm hoping you can join me for the first two segments.
[03:03:57.002 --> 03:04:01.326]  I know you want a break for lunch, but we'd love to have you out of the gates if possible.
[03:04:01.326 --> 03:04:06.111]  But Alex, I want to answer the question you just had Fuentes answer too.
[03:04:06.111 --> 03:04:15.560]  You know, I think it's the same thing that happened in the Revolutionary War, Alex, where you remember the Redcoats, the British, their armies, their colonels, they thought the American people were a joke.
[03:04:15.700 --> 03:04:17.121]  They thought the colonists were a joke.
[03:04:17.121 --> 03:04:19.883]  They thought they'd march in, mop us up, and it'd be game over.
[03:04:19.883 --> 03:04:21.584]  They underestimated our will.
[03:04:21.584 --> 03:04:23.405]  They underestimated our spirit.
[03:04:23.405 --> 03:04:31.309]  And the one thing they can't underestimate because they can't even comprehend or understand it, it's our connection to God and how we have that providence.
[03:04:31.309 --> 03:04:32.630]  We have God's providence.
[03:04:32.630 --> 03:04:33.791]  We fulfill that providence.
[03:04:33.791 --> 03:04:34.851]  They can't understand that.
[03:04:34.851 --> 03:04:40.215]  And I'm almost nervous to even say that on air because I don't want them to realize they're underestimating us and the American people.
[03:04:40.215 --> 03:04:43.897]  But I do think that's the case right now, Alex, just like they did during the Revolutionary War.
[03:04:44.738 --> 03:04:45.499]  It's spiritual.
[03:04:45.499 --> 03:04:46.120]  They're blind.
[03:04:46.120 --> 03:04:47.522]  They have that satanic hubris.
[03:04:47.522 --> 03:04:53.550]  And that was the thing you said when you spoke to tens of thousands, hundreds of thousands there at the Million Maga Marches.
[03:04:53.550 --> 03:04:55.814]  You said God's on our side and God is on our side.
[03:04:55.814 --> 03:04:57.917]  As George Washington said, he's the real determiner of war.
[03:04:58.641 --> 03:04:59.782]  That's exactly it.
[03:04:59.782 --> 03:05:06.807]  And just like it was in 1776, it was God putting his finger on the scales that let the patriots win the war then.
[03:05:06.807 --> 03:05:13.252]  And for all the people that are feeling desperate, for the people that are feeling miserable right now, you have to have faith.
[03:05:13.252 --> 03:05:14.212]  God is in control.
[03:05:15.333 --> 03:05:16.214]  That's right.
[03:05:16.214 --> 03:05:18.216]  Pray and ask God for help.
[03:05:18.216 --> 03:05:20.419]  And you said it earlier, and it's not said enough.
[03:05:20.419 --> 03:05:21.280]  God is real.
[03:05:21.280 --> 03:05:22.461]  God is real.
[03:05:22.461 --> 03:05:23.783]  And these people are evil.
[03:05:23.783 --> 03:05:25.344]  And they are going to lose in the end.
[03:05:25.344 --> 03:05:28.688]  God won the victory already in the grand scheme of things.
[03:05:28.688 --> 03:05:29.669]  We have to ask him for his help.
[03:05:29.669 --> 03:05:31.251]  That's why the devil just wants to hurt humanity.
[03:05:31.251 --> 03:05:31.511]  That's right.
[03:05:31.511 --> 03:05:32.472]  Why do they want to kill everybody?
[03:05:32.472 --> 03:05:33.994]  Why do they want to make us poor?
[03:05:33.994 --> 03:05:35.415]  Kill, kill and destroy, man.
[03:05:35.415 --> 03:05:36.637]  He already lost the game.
[03:05:38.092 --> 03:05:38.512]  That's right.
[03:05:38.512 --> 03:05:42.894]  He's trying to drag us all down with him into annihilation, spiritual annihilation.
[03:05:42.894 --> 03:05:45.216]  But this is a life-giving movement.
[03:05:45.216 --> 03:05:47.137]  This is a movement that celebrates life.
[03:05:47.137 --> 03:05:48.057]  It's about life.
[03:05:48.057 --> 03:05:48.877]  It's the life-giver.
[03:05:48.877 --> 03:05:49.498]  It's God.
[03:05:49.498 --> 03:05:50.578]  That's what it's all about.
[03:05:50.578 --> 03:05:52.099]  We're fighting a spiritual war.
[03:05:52.099 --> 03:05:55.661]  You know, don't forget, it's not about, on some level, even Republicans and Democrats.
[03:05:56.553 --> 03:06:03.817]  Globalists and people, although it is in some sense, it is about the rulers and the principalities of other realms.
[03:06:03.817 --> 03:06:04.978]  Evil versus good.
[03:06:04.978 --> 03:06:06.019]  That's what it's always been.
[03:06:06.019 --> 03:06:06.319]  It's timeless.
[03:06:06.319 --> 03:06:07.340]  Other realms, other dimensions.
[03:06:07.340 --> 03:06:08.200]  The Bible's right.
[03:06:08.200 --> 03:06:08.640]  Yeah.
[03:06:08.640 --> 03:06:10.441]  Dick Fuentes, how do folks find you again?
[03:06:10.441 --> 03:06:12.863]  It's dlive.tv slash Nick J. Fuentes.
[03:06:12.863 --> 03:06:13.803]  All right.
[03:06:13.803 --> 03:06:15.404]  And I think my son Rex is ready to do a show on there.
[03:06:15.404 --> 03:06:16.405]  You should have him on.
[03:06:16.405 --> 03:06:17.966]  Owen, a fabulous job, my friend.
[03:06:17.966 --> 03:06:19.547]  In 45 minutes, get some rest.
[03:06:20.546 --> 03:06:23.428]  I got to go feed this crew, so I can't come on your first two segments.
[03:06:23.428 --> 03:06:23.908]  I heard that.
[03:06:23.908 --> 03:06:25.249]  You want me on later, it's fine.
[03:06:25.249 --> 03:06:28.591]  We're taking a break on election countdown at night, because a limited crew.
[03:06:28.591 --> 03:06:30.892]  The Deanna Rain has not been gotten rid of.
[03:06:30.892 --> 03:06:34.194]  We're just taking a week off, because there's no crew, because we're all over the country right now.
[03:06:34.194 --> 03:06:35.294]  We just don't have the infrastructure.
[03:06:35.294 --> 03:06:38.216]  So that's why I buy the products in full warshore.com.
[03:06:39.113 --> 03:06:45.778]  So we can try to hire more crew to be able to be on, you know, until 9 or 10 at night and have crews to go out on the road.
[03:06:45.778 --> 03:06:47.118]  We just don't have it.
[03:06:47.118 --> 03:06:51.201]  So again, we're going to have the 79 Days of Hell election countdown emergency.
[03:06:51.201 --> 03:06:53.543]  Seven and I shall be back next week.
[03:06:53.543 --> 03:06:56.945]  It's just we don't have the forces to be able to have folks to run the shows.
[03:06:56.945 --> 03:06:57.886]  David Knight in the morning.
[03:06:58.346 --> 03:07:01.208]  InfoWars, my show during the day, The War Room.
[03:07:01.208 --> 03:07:02.669]  I mean, you know, which was it?
[03:07:02.669 --> 03:07:04.950]  Cancel the nighttime show or cancel David Knight?
[03:07:04.950 --> 03:07:05.971]  Well, we're not going to cancel David Knight.
[03:07:05.971 --> 03:07:06.791]  We love him.
[03:07:06.791 --> 03:07:11.614]  So, but if you get to a point where the funding gets cut, David Knight goes away or Oma goes away.
[03:07:11.614 --> 03:07:14.035]  Please keep buying products at InfoWarsTore.com.
[03:07:14.035 --> 03:07:16.517]  This is a real fight, 12th round.
[03:07:16.517 --> 03:07:19.538]  InfoWarsTore.com, great products, big sale about to end.
[03:07:19.538 --> 03:07:22.120]  Sean Rapoport, NoMoreFakeNews.com, taking over.
[03:07:22.120 --> 03:07:22.860]  God bless you all.
[03:07:22.860 --> 03:07:25.262]  We'll see you in Georgia at the state capitol.
[03:07:25.262 --> 03:07:25.642]  God bless.
[03:07:54.008 --> 03:07:58.311]  Now it's easier than ever to have Band.Video on your iPhone.
[03:07:58.311 --> 03:08:01.793]  Simply go to Band.Video with your Safari browser.
[03:08:01.793 --> 03:08:05.076]  Then you click the Share button at the bottom of the screen.
[03:08:05.076 --> 03:08:08.618]  When the menu comes up, you simply click Add to Home Screen.
[03:08:08.618 --> 03:08:10.860]  It will then ask you to name the app.
[03:08:10.860 --> 03:08:12.281]  I suggest Band.Video.
[03:08:12.941 --> 03:08:18.404]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[03:08:18.404 --> 03:08:26.888]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it, so they can get the app.
[03:08:26.888 --> 03:08:36.413]  So it's up to you whether you want to defy big tech, and click the share buttons below, on your email, on Facebook, on Twitter, on YouTube, however you want, be sure and share BAN.VIDEO.
[03:08:42.844 --> 03:08:49.629]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[03:08:49.629 --> 03:08:53.071]  As you age, your body can lose testosterone over time.
[03:08:53.071 --> 03:09:01.997]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[03:09:01.997 --> 03:09:10.203]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[03:09:10.723 --> 03:09:16.186]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[03:09:16.186 --> 03:09:23.411]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[03:09:23.411 --> 03:09:27.093]  Let Alpha Power help bring you to the peak of your optimal health.
[03:09:27.093 --> 03:09:30.135]  Don't fall short on energy in the fight against tyranny.
[03:09:30.135 --> 03:09:34.197]  Show the world what a True Alpha Male looks like today with Alpha Power.
[03:09:34.197 --> 03:09:36.679]  Head to InfoWarsStore.com today!
[03:09:45.535 --> 03:10:02.940]  You're listening to The Alex Jones Show.
[03:10:02.940 --> 03:10:07.441]  If you are receiving this transmission, you are the resistance.
[03:10:07.441 --> 03:10:10.842]  You're listening to The Alex Jones Show.
[03:10:10.842 --> 03:10:14.103]  And now, your host, John Rappaport.
[03:10:17.745 --> 03:10:20.468]  Okay, here we go, folks.
[03:10:20.468 --> 03:10:23.831]  A packed 45 minutes or so.
[03:10:23.831 --> 03:10:25.152]  Lots of info today.
[03:10:25.152 --> 03:10:26.914]  Good to be back on InfoWars.
[03:10:26.914 --> 03:10:30.477]  I want to start out with this.
[03:10:30.477 --> 03:10:33.240]  I got so many items here.
[03:10:33.240 --> 03:10:40.887]  Sidney Powell made quite astonishing statements, one of Trump's lawyers.
[03:10:43.186 --> 03:10:55.416]  She says she's got the exact algorithm, the Dominion software systems algorithm that was used to flip the election from Trump to Biden.
[03:10:55.416 --> 03:11:10.848]  She's got witnesses, affidavits, cases, Smartmatic, Dominion voter systems, the whole nine yards, everything.
[03:11:10.848 --> 03:11:11.348]  Okay.
[03:11:11.348 --> 03:11:12.149]  So look, Sidney.
[03:11:12.839 --> 03:11:15.220]  We want to know the details.
[03:11:15.220 --> 03:11:16.181]  What cases?
[03:11:16.181 --> 03:11:17.601]  In what states?
[03:11:17.601 --> 03:11:19.022]  Where are they at?
[03:11:19.022 --> 03:11:20.263]  What kind of cases?
[03:11:20.263 --> 03:11:21.824]  Are we talking civil suits?
[03:11:21.824 --> 03:11:28.907]  Are we talking about pleas for recounts or redos of election?
[03:11:28.907 --> 03:11:31.148]  We talking criminal actions?
[03:11:31.148 --> 03:11:35.971]  What are the specific cases and where are they in the process?
[03:11:35.971 --> 03:11:40.213]  Because time is limited.
[03:11:40.213 --> 03:11:42.514]  What is actually going on?
[03:11:43.348 --> 03:11:52.094]  Because if this is not going to make it by the deadline, then publish everything.
[03:11:52.094 --> 03:11:54.415]  Publish everything.
[03:11:54.415 --> 03:11:56.016]  Let's see the algorithm.
[03:11:56.016 --> 03:11:59.759]  Let's see all of the evidence you've got.
[03:11:59.759 --> 03:12:01.260]  Let's see the affidavits.
[03:12:01.260 --> 03:12:06.983]  Let's see the whole kit and caboodle.
[03:12:06.983 --> 03:12:11.106]  Otherwise, we want to know.
[03:12:12.290 --> 03:12:18.174]  Okay, I think I couldn't be any clearer than I've been about this factor.
[03:12:42.668 --> 03:12:48.813]  It has lots of moving parts, and they're all moving against us.
[03:12:48.813 --> 03:12:49.874]  That's the plan.
[03:12:49.874 --> 03:12:51.115]  That was the plan.
[03:12:51.115 --> 03:12:53.617]  That will be the plan.
[03:12:53.617 --> 03:13:03.986]  Don't be under the delusion that if Trump is installed as the president in January, that everybody can go home.
[03:13:03.986 --> 03:13:06.888]  That isn't it, folks.
[03:13:06.888 --> 03:13:10.732]  The 300,000 or million people who are in Washington, DC,
[03:13:12.762 --> 03:13:17.985]  These are the people, the people who want freedom.
[03:13:17.985 --> 03:13:21.826]  It's not only stop the steal.
[03:13:21.826 --> 03:13:31.751]  It's freedom from the COVID fraud, all of the scientific fraud that I and others have been documenting for months that led to the lockdowns.
[03:13:32.287 --> 03:13:43.810]  The shutdown of the economy, the destruction of the economy and countless lives and bankruptcies, closure of businesses and suicides, all part of the plan.
[03:13:43.810 --> 03:13:46.051]  It's a war against that.
[03:13:46.051 --> 03:13:49.412]  And all of the people who were in Washington, D.C.
[03:13:49.412 --> 03:13:56.514]  and more who didn't make it have to understand that and realize that this is not going to be over.
[03:13:56.514 --> 03:14:00.035]  This is the fight and the war that we are in.
[03:14:00.035 --> 03:14:00.835]  Doesn't matter.
[03:14:02.452 --> 03:14:07.997]  Which candidate do you have to have or want?
[03:14:07.997 --> 03:14:09.938]  The war goes on.
[03:14:09.938 --> 03:14:15.122]  The technocrats and the globalists are going to keep fighting the war.
[03:14:15.122 --> 03:14:20.767]  They want to diminish and destroy and then rebuild on the ashes.
[03:14:20.767 --> 03:14:26.512]  So don't, don't think this is short term.
[03:14:26.512 --> 03:14:28.073]  Understand to the depths
[03:14:29.116 --> 03:14:43.903]  Why you were there in Washington D.C., what that was all about, what it's still about, and what it's going to be about for the duration here.
[03:14:43.903 --> 03:14:46.344]  I'm 82 years old now.
[03:14:46.344 --> 03:14:51.806]  Certain things become clear, you know?
[03:14:51.806 --> 03:14:55.028]  Certain things that you never thought you would ever be talking about.
[03:14:56.528 --> 03:15:05.794]  If somebody at 20 when I was 25 said to me, you know, around 60 years or so from now, you're going to be talking about the Constitution.
[03:15:05.794 --> 03:15:17.723]  And I would have said, was that a jazz club in New York that I haven't seen yet or I didn't go to because I'm there every night paying my $1 to watch the greatest jazz musicians in the world?
[03:15:17.723 --> 03:15:17.883]  No.
[03:15:18.735 --> 03:15:21.777]  It's a document on which the country was founded.
[03:15:21.777 --> 03:15:22.738]  Ah, well, I'm free.
[03:15:22.738 --> 03:15:24.098]  I'm 25.
[03:15:24.098 --> 03:15:25.039]  I got a girlfriend.
[03:15:25.039 --> 03:15:27.040]  I got a few bucks in my pocket.
[03:15:27.040 --> 03:15:29.442]  I've got a lousy job at a lousy bookstore.
[03:15:29.442 --> 03:15:30.822]  But what do I care?
[03:15:30.822 --> 03:15:31.643]  Life is good.
[03:15:31.643 --> 03:15:37.687]  You walk outside on an autumn day in New York, and it's fantastic.
[03:15:37.687 --> 03:15:41.089]  You never know what you're going to end up doing.
[03:15:41.089 --> 03:15:46.692]  But that New York, which I knew, inside out is gone.
[03:15:47.853 --> 03:15:52.856]  It's now a desolate, boarded-up psych ward.
[03:15:52.856 --> 03:15:55.418]  That's what the governor did.
[03:15:55.418 --> 03:15:59.160]  That's what de Blasio, the mayor, did.
[03:15:59.160 --> 03:16:01.221]  Cuomo and de Blasio.
[03:16:01.221 --> 03:16:03.783]  The fascists.
[03:16:03.783 --> 03:16:15.330]  Back in the day, and I'm talking about the late 50s and early 1960s, you could have an argument with the dumbest person in the whole city of New York, and it would be a smart argument.
[03:16:17.068 --> 03:16:21.371]  It seemed like everybody in New York had a point of view.
[03:16:21.371 --> 03:16:22.571]  They were smart.
[03:16:22.571 --> 03:16:26.794]  They could argue that point of view, whatever it was.
[03:16:26.794 --> 03:16:29.335]  They were independent-minded.
[03:16:29.335 --> 03:16:32.277]  They never would have stood for this insanity.
[03:16:32.277 --> 03:16:33.177]  A lockdown?
[03:16:33.177 --> 03:16:35.059]  Are you kidding me?
[03:16:35.059 --> 03:16:35.839]  Forget about it!
[03:16:37.588 --> 03:16:41.949]  But gradually, degree by degree, the brainwashing took place.
[03:16:41.949 --> 03:16:49.452]  So to unbrainwash it is not going to be a walk in the park, folks, no matter who the next president is.
[03:16:49.452 --> 03:17:05.257]  And if you were in Washington, D.C., among the million, or if you didn't get there, but you know what the Constitution and freedom are all about, the people have to rise up.
[03:17:05.257 --> 03:17:06.958]  The people have to rise up.
[03:17:08.038 --> 03:17:21.849]  That is the story and we are the people against the entire insanity of this proposition of lockdown civilization and destruction by technocrats and globalists.
[03:17:21.849 --> 03:17:24.291]  That's the whole story.
[03:17:24.291 --> 03:17:26.392]  Scott Atlas said it.
[03:17:26.392 --> 03:17:33.518]  He's the only sane coronavirus advisor in the White House right now.
[03:17:33.518 --> 03:17:36.320]  He said, the people have to rise up.
[03:17:37.233 --> 03:17:39.775]  That's an extraordinary statement.
[03:17:39.775 --> 03:17:41.477]  He's on the inside.
[03:17:41.477 --> 03:17:44.600]  He knows all these coronavirus people.
[03:17:44.600 --> 03:17:47.002]  He knows people in the White House.
[03:17:47.002 --> 03:17:55.150]  And he understands that he cannot continue to argue the science with these people.
[03:17:55.150 --> 03:18:00.375]  The science that shows that the entire business of the pandemic is a fraud.
[03:18:00.819 --> 03:18:06.182]  And the case numbers are a fraud, and the test is a fraud, and there should never be lockdowns.
[03:18:06.182 --> 03:18:08.303]  He knows he can't argue that.
[03:18:08.303 --> 03:18:11.485]  He's appealing directly to us, to you.
[03:18:11.485 --> 03:18:15.807]  The people must rise up if you want freedom.
[03:18:15.807 --> 03:18:17.648]  That is the story.
[03:18:17.648 --> 03:18:21.310]  That's where we are.
[03:18:21.310 --> 03:18:24.951]  That is what you have to understand.
[03:18:24.951 --> 03:18:29.774]  The CDC is planning green zone concentration camps.
[03:18:30.840 --> 03:18:34.787]  Seedy hotels where people will be sent.
[03:18:34.787 --> 03:18:36.750]  We'll have more about that after the break.
[03:18:36.750 --> 03:18:37.472]  Stay with us.
[03:18:37.472 --> 03:18:38.253]  Don't go anywhere.
[03:18:41.357 --> 03:18:46.519]  I get asked all the time by listeners and by the media, what am I most proud of when it comes to the show?
[03:18:46.519 --> 03:19:04.124]  And it's the fact that InfoWars, more than 25 years ago, doing basic research with what the Club of Rome and the CFR and others were actually saying, developed the hypothesis that communist China had been set up to take our jobs and transfer them to China and then make us economically destitute and position us into debt.
[03:19:04.124 --> 03:19:05.385]  Well, now China owns the debt.
[03:19:05.385 --> 03:19:08.126]  Now China owns Hollywood, all the one-sided trading deals.
[03:19:08.866 --> 03:19:13.509]  It turns out our analysis was absolutely dead on, but again, it wasn't that hard.
[03:19:13.509 --> 03:19:19.152]  The CFR and others admitted what they were doing, but still, others didn't want to focus on that issue.
[03:19:19.152 --> 03:19:23.655]  We did, and you focused on it by supporting us and InfoWars.
[03:19:23.655 --> 03:19:34.722]  So when you go to InfoWarsStore.com and get all the great supplements, books, t-shirts, films, water filtration, air filtration, all of it, you're funding the organization that literally helped make up the world of what's really happening.
[03:19:34.722 --> 03:19:36.523]  So that's a big accomplishment for all of you.
[03:19:36.523 --> 03:19:37.544]  I want to thank you for your support.
[03:19:40.672 --> 03:19:43.133]  America is in crisis.
[03:19:43.133 --> 03:19:47.996]  Emergency Lockdown 2 is coming under Biden.
[03:19:47.996 --> 03:19:54.279]  Support InfoWars, the fight against total economic collapse, and Biden's martial law, disguised as Lockdown 2.
[03:19:54.279 --> 03:20:02.823]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWarsStore.com, DNA Force, plus Alpha Power back in stock.
[03:20:03.183 --> 03:20:12.068]  Body's Ultimate Turmeric Formula, Ultra-12, Vita-Mineral Fusion, Cava-Chill, Super-Metal Vitality, Super-Female, and so many other amazing products.
[03:20:12.068 --> 03:20:16.351]  These are game-changing things that the globalists don't need to have.
[03:20:16.351 --> 03:20:21.393]  These are things that are absolutely elemental to what you and your body have to have to live.
[03:20:21.393 --> 03:20:25.756]  But regardless, buying these products from us funds the Info Wars, which is a 360 win.
[03:20:25.956 --> 03:20:27.236]  I want to thank you all for your support.
[03:20:27.236 --> 03:20:29.137]  I want to ask you to redouble your efforts to spread the word.
[03:20:29.137 --> 03:20:30.837]  I want to ask you to buy the products.
[03:20:30.837 --> 03:20:32.098]  MidForrestShore.com today.
[03:20:32.098 --> 03:20:33.818]  Because without you, we won't be on the air.
[03:20:33.818 --> 03:20:34.498]  Again, I salute you.
[03:20:34.498 --> 03:20:35.299]  Thank you all.
[03:20:35.299 --> 03:20:38.360]  The toll-free number is 888-253-3139.
[03:20:38.360 --> 03:20:40.640]  Please take action today in our emergency zone.
[03:20:40.640 --> 03:20:47.302]  Urgent warnings are being issued right now by the United Nations, the Davos Group, Bank of America, JPMorgan Chase, Goldman Sachs.
[03:20:47.302 --> 03:20:53.284]  They're saying that the COVID virus is going to cause a global depression and hundreds of millions to starve to death.
[03:20:53.284 --> 03:20:53.964]  Incredible!
[03:20:54.504 --> 03:21:03.386]  They're the very organizations that ordered the global lockdowns that are causing the chain reaction that's causing the mass starvation, not the COVID virus.
[03:21:03.386 --> 03:21:04.566]  That is a fact.
[03:21:04.566 --> 03:21:11.687]  And all the hero sheep that wear the mask and go along with this are signing on to mass murder bigger than what Hitler did.
[03:21:11.687 --> 03:21:15.148]  That's when we got the Geneva Convention and the Nuremberg Code.
[03:21:15.148 --> 03:21:18.969]  This is a medical, world government, tyrannical takeover.
[03:21:19.269 --> 03:21:22.690]  You're listening to the Alex Jones Show!
[03:22:02.914 --> 03:22:15.699]  Okay, I want to go back.
[03:22:15.699 --> 03:22:24.122]  I want to go back to... It's up to the people to rise up.
[03:22:24.122 --> 03:22:27.123]  And I want to specify what that's all about.
[03:22:27.123 --> 03:22:31.225]  It's about opening up the economy every single which way that we can.
[03:22:32.597 --> 03:22:35.979]  Because it's not going to be done for us.
[03:22:35.979 --> 03:22:37.460]  You can see that.
[03:22:37.460 --> 03:22:44.285]  We're into the second and third wave of lockdowns, not virus lockdowns.
[03:22:44.285 --> 03:22:49.528]  They're getting more serious than ever in Europe, in the US.
[03:22:49.528 --> 03:22:55.592]  They're anticipating a globalist victory.
[03:22:55.592 --> 03:23:02.016]  Opening up the economy every which way we can and keeping it open.
[03:23:03.137 --> 03:23:05.018]  That's the deal.
[03:23:05.018 --> 03:23:09.841]  That's what is the stake in the heart to the globalists.
[03:23:09.841 --> 03:23:13.103]  That's the difference between night and day.
[03:23:13.103 --> 03:23:17.505]  That's what the million people who came to Washington D.C.
[03:23:17.505 --> 03:23:18.486]  have to remember.
[03:23:18.486 --> 03:23:23.209]  And that's what we all have to do in every way that we can possibly do it.
[03:23:23.209 --> 03:23:24.389]  Go back to work.
[03:23:24.389 --> 03:23:25.370]  Open up companies.
[03:23:25.370 --> 03:23:27.091]  Open up businesses.
[03:23:27.091 --> 03:23:29.072]  Get the economy back.
[03:23:29.565 --> 03:23:32.887]  Every which way because they want to shut it down.
[03:23:32.887 --> 03:23:38.391]  They want to destroy it and destroy us in the process.
[03:23:38.391 --> 03:23:46.197]  I don't think I need to spell out what it's like to own a business and to try to open it up two or three times only to get shut down each time.
[03:23:46.197 --> 03:23:50.420]  I mean, you just get hammered over the head.
[03:23:50.420 --> 03:23:51.701]  Hammered over the head.
[03:23:51.701 --> 03:23:52.962]  The money runs out.
[03:23:52.962 --> 03:23:54.303]  It's time for bankruptcy.
[03:23:54.303 --> 03:23:56.064]  What are you going to do?
[03:23:56.064 --> 03:23:57.485]  What are you going to do?
[03:23:58.880 --> 03:24:02.842]  You've got to think differently and plan differently.
[03:24:02.842 --> 03:24:07.524]  It isn't a cookie cutter solution for everybody.
[03:24:07.524 --> 03:24:08.985]  You've got to be smart.
[03:24:08.985 --> 03:24:10.206]  You've got to be clever.
[03:24:10.206 --> 03:24:18.210]  You've got to be iron-willed and persistent because you're in this all the way.
[03:24:18.210 --> 03:24:24.253]  That's what the people rising up means in Michigan and other places.
[03:24:24.253 --> 03:24:26.934]  The governor says, we're locking it down.
[03:24:26.934 --> 03:24:28.215]  That's it.
[03:24:28.215 --> 03:24:28.495]  You're
[03:24:29.392 --> 03:24:56.257]  Under house arrest, in case there is any doubt about this, the Constitution of the United States does not permit under any circumstances, under any emergency whatsoever that might occur, natural disaster, war, whatever, to cross that line
