[00:00.000 --> 00:15.000]  Oh oppression, you prey on us when we sleep
[01:26:07.000 --> 01:26:12.000]  My wife and family, we were flying out of a small airport in South Texas.
[01:26:12.000 --> 01:26:17.000]  I prepared my wife for what was going to happen before we went in.
[01:26:17.000 --> 01:26:19.000]  I said, we're not going through the body scan.
[01:26:19.000 --> 01:26:24.000]  Was it El Paso? Because El Paso Times reports everyone is forced to do it there.
[01:26:24.000 --> 01:26:26.000]  Corpus Christi.
[01:26:26.000 --> 01:26:28.000]  Okay, what happened, John?
[01:26:28.000 --> 01:26:32.000]  My wife is expecting a child. It'll be our third child.
[01:26:32.000 --> 01:26:34.000]  We walked up.
[01:26:34.000 --> 01:26:36.000]  I bet they thought that was a bomb.
[01:26:36.000 --> 01:26:40.000]  They're like, we can't radio you, baby. You're al-Qaeda. So what happened, John?
[01:26:40.000 --> 01:26:44.000]  We walked up and said, we're not going through there.
[01:26:44.000 --> 01:26:45.000]  They said, you have to.
[01:26:45.000 --> 01:26:48.000]  We said, well, no, I'm sorry, we're not going through there.
[01:26:48.000 --> 01:26:51.000]  My wife said, I'm expecting, she said, I'm not going through there in my condition.
[01:26:51.000 --> 01:26:55.000]  They said, oh, on that case, here you go. They allowed us through.
[01:26:55.000 --> 01:26:56.000]  Let me stop you.
[01:26:56.000 --> 01:27:02.000]  First, they tried to deny the opt-out. It's just like vaccines. There's no law you got to take them.
[01:27:02.000 --> 01:27:05.000]  But they say, sign this form that you opt-out so they put you in a database.
[01:27:05.000 --> 01:27:07.000]  There's no law. They just do it.
[01:27:07.000 --> 01:27:12.000]  Same thing here. Oh, you've got to. But when they figured out they couldn't buffalo you, okay, we'll let you through.
[01:27:12.000 --> 01:27:14.000]  Sorry, go ahead.
[01:27:14.000 --> 01:27:16.000]  Not a problem.
[01:27:16.000 --> 01:27:21.000]  We went through the metal detectors. They said, okay, wrap that down you, the kids, the wife, everybody.
[01:27:21.000 --> 01:27:28.000]  And it was anybody that doesn't believe that these so-called pat-downs aren't intrusive or they're out of their minds.
[01:27:28.000 --> 01:27:34.000]  I mean, a two-year-old son couldn't hold his hand. They said, step back, sat him right there.
[01:27:34.000 --> 01:27:37.000]  Oh, that's another thing. They love to isolate old people and small children.
[01:27:37.000 --> 01:27:43.000]  And children are crying as the big, big woman sits there.
[01:27:43.000 --> 01:27:49.000]  The man squeezes all over him. Every pedophile in America is getting a job at the TSA. Go ahead.
[01:27:49.000 --> 01:27:57.000]  Six-year-old, same thing. My wife said it was physically uncomfortable the way they grabbed her breast, between the legs and everything.
[01:27:57.000 --> 01:28:01.000]  Well, they're wearing latex gloves, I guess, plastic gloves whenever they're doing the pat-down.
[01:28:01.000 --> 01:28:03.000]  Yeah, because you're dirty.
[01:28:03.000 --> 01:28:09.000]  After they pat you down, they're supposed to scan these for some type of chemicals that you may be bringing into the airport.
[01:28:09.000 --> 01:28:18.000]  Well, the head NSA guy behind the counter noticed that they didn't have their gloves scanned after they pat him down
[01:28:18.000 --> 01:28:22.000]  and told them to go back and do it again if they're padded down a second time.
[01:28:22.000 --> 01:28:27.000]  By the way, they're saving your DNA. You know it's declassified. They take babies' blood at birth secretly.
[01:28:27.000 --> 01:28:33.000]  But it's okay to shoot up kids with syphilis. This is a loving group of eugenicists doing this for our own good.
[01:28:33.000 --> 01:28:37.000]  So the end of the story is your wife and children got groped twice?
[01:28:37.000 --> 01:28:39.000]  That's correct.
[01:28:39.000 --> 01:28:40.000]  Life.
[01:28:40.000 --> 01:28:41.000]  Anything else you want to tell us?
[01:28:41.000 --> 01:28:45.000]  I don't think we're flying. No sir, I don't think we're flying anymore.
[01:28:45.000 --> 01:28:48.000]  I'm telling all my friends and family about the experience. They feel the same way.
[01:28:48.000 --> 01:29:17.000]  Alright, good job. We'll be right back with more calls.
[01:29:18.000 --> 01:29:26.000]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[01:29:49.000 --> 01:29:55.000]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[01:29:55.000 --> 01:30:01.000]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[01:30:01.000 --> 01:30:05.000]  Go to HomeGain.com and see what I'm talking about.
[01:30:05.000 --> 01:30:12.000]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[01:30:12.000 --> 01:30:15.000]  This is a great way to be able to monitor the value of your home.
[01:30:15.000 --> 01:30:19.000]  And again, it's absolutely free. There are tons of tools to help you.
[01:30:19.000 --> 01:30:23.000]  For instance, if you want to remodel your home, go to HomeGain.com.
[01:30:23.000 --> 01:30:30.000]  Use their home sale maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[01:30:30.000 --> 01:30:33.000]  For 10 years, these folks have been helping home sellers and buyers.
[01:30:33.000 --> 01:30:36.000]  Visit their link at Infowars.com.
[01:30:36.000 --> 01:30:41.000]  Look for Max, the orange home gain gorilla, to help you with any real estate needs you might have.
[01:30:41.000 --> 01:30:48.000]  You'll love this site. It's HomeGain.com. H-O-M-E-G-A-I-N.com. Check them out today.
[01:31:11.000 --> 01:31:17.000]  In addition to converting your shrinking dollars into gold and silver, you should consider a food savings account from eFoodsDirect.
[01:31:17.000 --> 01:31:19.000]  They both make fabulous investments.
[01:31:19.000 --> 01:31:24.000]  Food is our greatest dependency and we know it will be more precious than any financial resource.
[01:31:24.000 --> 01:31:30.000]  You and your family need food to survive a crisis and you can't eat paper, stocks or metals.
[01:31:30.000 --> 01:31:35.000]  Alex has been urging you to invest in delicious, easy-fix meals to enjoy now or save for long term.
[01:31:35.000 --> 01:31:44.000]  This will freeze the cost of your food while you can still afford it. Visit eFoodsDirect.com on the internet or call 800-409-5633.
[01:31:44.000 --> 01:32:09.000]  When you're out on the road, the last place you want to be is on the road. But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:32:14.000 --> 01:32:18.000]  Guarantee you love the way they fit.
[01:32:18.000 --> 01:32:23.000]  They put a diamond gusset in the crotch where you need it most.
[01:32:23.000 --> 01:32:29.000]  Blue diamond gussets got it. Others don't.
[01:32:29.000 --> 01:32:35.000]  We turned jeans inside out. Diamond gusset jeans. Made in the USA with unparalleled quality.
[01:32:35.000 --> 01:32:42.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[01:32:42.000 --> 01:32:49.000]  Order yours at gusset.com. Diamond gusset jeans got it. Others don't.
[01:33:12.000 --> 01:33:24.000]  Ladies and gentlemen, I know it is hard for you to listen to these callers, but you are going to experience it.
[01:33:24.000 --> 01:33:32.000]  And a lot of people with charity, when they get violated, they make psychological excuses and decide to go along with it because it's too scary.
[01:33:32.000 --> 01:33:38.000]  And that's what the global psychological warfare experts are hoping for.
[01:33:38.000 --> 01:33:43.000]  None of this has to do with terror. Everything going on in the airports admittedly.
[01:33:43.000 --> 01:33:49.000]  I told you this nine years ago, now it's all over the place, is to be deployed on the streets of this country.
[01:33:49.000 --> 01:33:54.000]  Police taking blood.
[01:33:54.000 --> 01:34:03.000]  Police taking blood. Police taking blood under federal grants everywhere to stop drunk drivers.
[01:34:03.000 --> 01:34:06.000]  Nothing to do with it. They always use an excuse about it's good for you.
[01:34:06.000 --> 01:34:10.000]  And again, if you're a new listener and heard me talk about babies having their blood taken secretly,
[01:34:10.000 --> 01:34:15.000]  I was sent almost 15 years ago by a nurse in San Antonio involved with the Army.
[01:34:15.000 --> 01:34:16.000]  I'm leaving it at that.
[01:34:16.000 --> 01:34:24.000]  Secret documents about blood being secretly taken from all babies at birth since 1972.
[01:34:24.000 --> 01:34:28.000]  Years later, I had representatives from Congress on. I had members of the Australian government on.
[01:34:28.000 --> 01:34:35.000]  It's a global UN program.
[01:34:35.000 --> 01:34:40.000]  That's what's so scary is I study this all the time. I'm the leading expert on this.
[01:34:40.000 --> 01:34:45.000]  It's all I do. I'm here on Sunday night. All I do is study this.
[01:34:45.000 --> 01:34:48.000]  All I do is research it.
[01:34:48.000 --> 01:34:57.000]  And war on a locking number one in Al Qaeda is run by the CIA, Fox News.
[01:34:57.000 --> 01:35:02.000]  I hear all these people, oh, let's send money or buy phone cards for the troops.
[01:35:02.000 --> 01:35:05.000]  I think that's great. The average military man or woman is a great person.
[01:35:05.000 --> 01:35:07.000]  They join because they do care.
[01:35:07.000 --> 01:35:10.000]  But what about not doing experiments on them?
[01:35:10.000 --> 01:35:17.000]  What about not using DU on them as weapons that they use on their enemies that kills them?
[01:35:17.000 --> 01:35:21.000]  Jaren just put something on screen and it's incredible.
[01:35:21.000 --> 01:35:29.000]  The Drudge Report has taken my link that's been up for two days, two and a half days now since Friday,
[01:35:29.000 --> 01:35:33.000]  and put it back to the top. And it's so incredible, Jaren.
[01:35:33.000 --> 01:35:36.000]  This is how tuned into this I am 30 minutes ago.
[01:35:36.000 --> 01:35:39.000]  And I've got to start telling people this stuff when I know what's going on.
[01:35:39.000 --> 01:35:45.000]  Because maybe three, four times a year, coast to coast AM calls to get me on.
[01:35:45.000 --> 01:35:49.000]  My phone at home just rings off the hook and I'm in there eating dinner and the phone's ringing.
[01:35:49.000 --> 01:35:51.000]  She goes, why are you getting up? You don't usually get up.
[01:35:51.000 --> 01:35:54.000]  And I said, you know, it's coast to coast AM.
[01:35:54.000 --> 01:36:00.000]  And I went in there and it was coast to coast AM to have me on Wednesday night for two hours.
[01:36:00.000 --> 01:36:05.000]  And I almost earlier said, Matt Drudge, I know you listen to the show.
[01:36:05.000 --> 01:36:07.000]  We appreciate what you're doing.
[01:36:07.000 --> 01:36:09.000]  Why don't you put my link at the top?
[01:36:09.000 --> 01:36:12.000]  Let's beat these people, but I didn't do it.
[01:36:12.000 --> 01:36:18.000]  And then Jaren puts it up on screen and it's just gone to the top link at DrudgeReport.com.
[01:36:18.000 --> 01:36:19.000]  Put that back up.
[01:36:19.000 --> 01:36:20.000]  What's that headline?
[01:36:20.000 --> 01:36:25.000]  It says Big Sis. Yeah, just blow up the full screen.
[01:36:25.000 --> 01:36:28.000]  That TV screen's 10 feet away. I can't read that there.
[01:36:28.000 --> 01:36:30.000]  I know Prism Planet.TV viewers can.
[01:36:30.000 --> 01:36:36.000]  Big Sis backlash after T.S. Sage and I tell you, groping, opt out, embrace yourself.
[01:36:36.000 --> 01:36:38.000]  Whoa!
[01:36:38.000 --> 01:36:46.000]  Man, I tell you, I don't get into psychic stuff and all the rest of it, but holy mackerel.
[01:36:46.000 --> 01:36:53.000]  That's incredible.
[01:36:53.000 --> 01:36:55.000]  All right, that's wild.
[01:36:55.000 --> 01:37:01.000]  People are sick of this and if the globalists can be beaten here, they can be turned back on everything.
[01:37:01.000 --> 01:37:03.000]  And you bet they're going to bomb other stuff.
[01:37:03.000 --> 01:37:05.000]  You bet they're going to stage other events.
[01:37:05.000 --> 01:37:09.000]  And look, John, Sean, Victoria, Josh, Gale.
[01:37:09.000 --> 01:37:11.000]  I've never done overdrive on the Sunday show.
[01:37:11.000 --> 01:37:17.000]  Are we set up to even go into a third hour here?
[01:37:17.000 --> 01:37:18.000]  Are we even set up?
[01:37:18.000 --> 01:37:20.000]  Because I've got all this financial news.
[01:37:20.000 --> 01:37:24.000]  They've openly announced the world government.
[01:37:24.000 --> 01:37:25.000]  I mean, look at this.
[01:37:25.000 --> 01:37:32.000]  Noam Chomsky, who's attacked me and others, top liberal, had said there was no evidence that 9-11 was an inside job.
[01:37:32.000 --> 01:37:35.000]  He's now come out and said no evidence that Al-Qaeda carried out 9-11 attacks.
[01:37:35.000 --> 01:37:39.000]  He said it on TV and basically came out and said it may be staged.
[01:37:39.000 --> 01:37:41.000]  We're winning on that front.
[01:37:41.000 --> 01:37:42.000]  Look at this.
[01:37:42.000 --> 01:37:46.000]  Britain urges action over extremist U.S. website, Reuters.
[01:37:46.000 --> 01:37:49.000]  And who runs this U.S. website?
[01:37:49.000 --> 01:37:51.000]  RevolutionMuslim.com.
[01:37:51.000 --> 01:37:54.000]  Anwar Alalaki.
[01:37:54.000 --> 01:37:56.000]  The CIA lackey.
[01:37:56.000 --> 01:37:57.000]  Fox News.
[01:37:57.000 --> 01:38:01.000]  Exclusive Al-Qaeda leader dined at the Pentagon just months after 9-11.
[01:38:01.000 --> 01:38:02.000]  I just want to say this.
[01:38:02.000 --> 01:38:04.000]  Thank God for Matt Drudge.
[01:38:04.000 --> 01:38:06.000]  Long before Glenn Beck would tell the truth about world government.
[01:38:06.000 --> 01:38:14.000]  Long before Limbaugh would, about three years ago, I started seeing Matt Drudge cover world government, new world order, all these issues.
[01:38:14.000 --> 01:38:17.000]  And Matt, we appreciate you and we know you're listening.
[01:38:17.000 --> 01:38:19.000]  That's awesome.
[01:38:19.000 --> 01:38:21.000]  Wow.
[01:38:21.000 --> 01:38:22.000]  That is exciting.
[01:38:22.000 --> 01:38:23.000]  And I've got all these callers here.
[01:38:23.000 --> 01:38:27.000]  John, Sean, Victoria, Josh, Gail and others.
[01:38:27.000 --> 01:38:29.000]  We're going to beat these machines.
[01:38:29.000 --> 01:38:31.000]  We're going to beat them together.
[01:38:31.000 --> 01:38:32.000]  Oh boy.
[01:38:32.000 --> 01:38:37.000]  Haven't even gotten into the former part officer, gets two years for shooting the guy in the back cold bloodedly.
[01:38:37.000 --> 01:38:38.000]  But that's not the issue.
[01:38:38.000 --> 01:38:40.000]  They murdered that guy and that's wrong.
[01:38:40.000 --> 01:38:49.000]  But they took three cell phone cameras on the platform at the train station and then lied and said that he'd fought them.
[01:38:49.000 --> 01:38:54.000]  And then somebody on a train pulling up and stopping shot the whole deal that they didn't get that camera.
[01:38:54.000 --> 01:38:55.000]  Thank God.
[01:38:55.000 --> 01:38:59.000]  And when they shoot him in the back in handcuffs, he's done nothing.
[01:38:59.000 --> 01:39:00.000]  He's put him in handcuffs.
[01:39:00.000 --> 01:39:02.000]  Then they get him up and say, stop it.
[01:39:02.000 --> 01:39:06.000]  You know, you're bad to start roughing him up after they shot him in the back.
[01:39:06.000 --> 01:39:10.000]  The bullet went through, bounced back up and back into his heart.
[01:39:10.000 --> 01:39:19.000]  Then they took their sweet time getting into the hospital because, you know, a dead victim is better than an undead victim.
[01:39:19.000 --> 01:39:24.000]  The issue is they lied about it and said he'd attack them.
[01:39:24.000 --> 01:39:26.000]  I mean, it's the government.
[01:39:26.000 --> 01:39:27.000]  Look at history.
[01:39:27.000 --> 01:39:29.000]  Look at what governments do.
[01:39:29.000 --> 01:39:30.000]  Look at the abuse.
[01:39:30.000 --> 01:39:31.000]  Look at the corruption.
[01:39:31.000 --> 01:39:33.000]  Look at everything that goes on.
[01:39:33.000 --> 01:39:34.000]  Stop it.
[01:39:34.000 --> 01:39:35.000]  Wake up.
[01:39:35.000 --> 01:39:36.000]  Get involved.
[01:39:36.000 --> 01:39:37.000]  Say no.
[01:39:37.000 --> 01:39:42.000]  And I heard that father with his wife and his children being fondled twice because they didn't save the glove.
[01:39:42.000 --> 01:39:44.000]  You know, on your jeans is your DNA.
[01:39:44.000 --> 01:39:45.000]  I'll guarantee you.
[01:39:45.000 --> 01:39:46.000]  I have no proof of this.
[01:39:46.000 --> 01:39:51.000]  When I don't have proof, I'll tell you, but my guts always 100%.
[01:39:51.000 --> 01:39:53.000]  I had the documents on the blood taken.
[01:39:53.000 --> 01:39:54.000]  Now that's mainstream news.
[01:39:54.000 --> 01:39:56.000]  The secret blood draws on babies at birth.
[01:39:56.000 --> 01:40:02.000]  And I had the executive ordered about the police to be federalized to take blood to claim it's for DUIs, really for DNA database,
[01:40:02.000 --> 01:40:05.000]  and to train a cadre of police to take blood.
[01:40:05.000 --> 01:40:13.000]  But when my gut tells me, I'll guarantee you, because off your clothes, anything, when they're keeping those gloves and marking your name on them,
[01:40:13.000 --> 01:40:14.000]  they're saving them.
[01:40:14.000 --> 01:40:18.000]  Just like I knew a year and a half ago, the TSA was saving those images.
[01:40:18.000 --> 01:40:20.000]  My gut knew it.
[01:40:20.000 --> 01:40:26.000]  Then I searched the patents and the companies and the training manuals and guess what they were online.
[01:40:26.000 --> 01:40:33.000]  And a year ago, we wrote articles saying the manual says for the naked body scanners, I'm a photographer.
[01:40:33.000 --> 01:40:34.000]  I'm a videographer.
[01:40:34.000 --> 01:40:35.000]  Okay.
[01:40:35.000 --> 01:40:41.000]  And in college, they trained you to zoom in on the crow's feet at the corner of somebody's eyes or their retina.
[01:40:41.000 --> 01:40:49.000]  And that when you can see the clear streaks in someone's retina, that the camera is focused.
[01:40:49.000 --> 01:40:58.000]  What does the TSA tell its workers to look at in the scan to make sure that it's focused?
[01:40:58.000 --> 01:41:02.000]  They describe the female genitals and the male genitals.
[01:41:02.000 --> 01:41:06.000]  They look at the genitals to make sure it's tuned and focused.
[01:41:06.000 --> 01:41:07.000]  And let me expand on this.
[01:41:07.000 --> 01:41:08.000]  In fact, they won't believe it.
[01:41:08.000 --> 01:41:09.000]  Search the term.
[01:41:09.000 --> 01:41:10.000]  I've done it before.
[01:41:10.000 --> 01:41:23.000]  Body scans for better fit in clothing or body scans at clothears, body scans at malls.
[01:41:23.000 --> 01:41:32.000]  Nine years ago, the same globalists patented and now they're going in everywhere, body scanners, where you step in, it scans you.
[01:41:32.000 --> 01:41:40.000]  360, but the companies then sell that data to see now they've got passive MRIs on the streets.
[01:41:40.000 --> 01:41:48.000]  That's that's BBC and wire magazine that look through your clothes, through your clothes.
[01:41:48.000 --> 01:41:54.000]  And create a body scan just like they have license plate reading cameras or face scanning distance cameras.
[01:41:54.000 --> 01:42:00.000]  They even if you wear a mask, they can look through your clothes with these millimeter wave systems.
[01:42:00.000 --> 01:42:06.000]  A body scanner, but they've got to have your name attached.
[01:42:06.000 --> 01:42:12.000]  Just like going back 15 years ago, nationwide, we had a national ID still do, but they had announced it to last few years.
[01:42:12.000 --> 01:42:15.000]  Real ID, they make you thumbprint and take a digital photo.
[01:42:15.000 --> 01:42:19.000]  That's a face scan, the thumbprint attached to your name for the global database.
[01:42:19.000 --> 01:42:21.000]  That's all admitted.
[01:42:21.000 --> 01:42:24.000]  This is all admitted.
[01:42:24.000 --> 01:42:31.000]  So they body scan you at the airport to get your body 360 biometric scan.
[01:42:31.000 --> 01:42:32.000]  That's admitted.
[01:42:32.000 --> 01:42:40.000]  Now, as for the gloves, I'll guarantee you they're taking them off, marking them down with your name for DNA processing.
[01:42:40.000 --> 01:42:42.000]  This is a criminal government.
[01:42:42.000 --> 01:42:43.000]  Look into eugenics.
[01:42:43.000 --> 01:42:45.000]  Look into my film in game.
[01:42:45.000 --> 01:42:49.000]  I'm going to come back and talk to your, your calls, callers straight ahead.
[01:42:49.000 --> 01:42:51.000]  Stay with us.
[01:42:51.000 --> 01:42:55.000]  Alex Jones with five good reasons you should consider buying a solar power generator.
[01:42:55.000 --> 01:42:59.000]  Number one, new climate legislation could easily double or triple your electric bill.
[01:42:59.000 --> 01:43:05.000]  Number two, our new energies are wants to control how much power your electric company allows you to have.
[01:43:05.000 --> 01:43:06.000]  It's true.
[01:43:06.000 --> 01:43:11.000]  Total government control of electricity in the name of smart grid technology is coming.
[01:43:11.000 --> 01:43:15.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[01:43:15.000 --> 01:43:19.000]  And now new socialist legislation is only compounding the problem.
[01:43:19.000 --> 01:43:22.000]  Number four, dangerous weather is always a threat to local grids.
[01:43:22.000 --> 01:43:26.000]  Every year, thousands of families lose their power from weather related onages.
[01:43:26.000 --> 01:43:31.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[01:43:31.000 --> 01:43:36.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[01:43:36.000 --> 01:43:40.000]  You can get more information at www.mysolarbackup.com.
[01:43:40.000 --> 01:43:42.000]  That's mysolarbackup.com.
[01:43:42.000 --> 01:43:50.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:43:50.000 --> 01:43:52.000]  Hello friends, this is Alex Jones.
[01:43:52.000 --> 01:43:55.000]  You've heard me talk about Calden five-star soaps for years.
[01:43:55.000 --> 01:44:00.000]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[01:44:00.000 --> 01:44:04.000]  You can buy factory direct shipped via UPS right to your door.
[01:44:04.000 --> 01:44:10.000]  Check them out on the web at five-starsoap.com or call 800-340-7091.
[01:44:10.000 --> 01:44:14.000]  Take my word for it, once you've used pure soap, you won't buy anything else.
[01:44:14.000 --> 01:44:21.000]  Since 1947, Calden Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[01:44:21.000 --> 01:44:24.000]  Buy American and stay clean, as well as support info wars.
[01:44:24.000 --> 01:44:29.000]  Visit five-starsoap.com today or call 1-800-340-7091.
[01:44:29.000 --> 01:44:31.000]  Well Marty, what do you have to say?
[01:44:31.000 --> 01:44:38.000]  As founder and owner for over 63 years, satisfaction is guaranteed on W-Dirtback.
[01:44:38.000 --> 01:44:50.000]  Call us at 1-800-340-7091 for free catalog or visit our website five-starsoap.com. Thank you.
[01:44:50.000 --> 01:44:55.000]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:44:55.000 --> 01:44:58.000]  This is our last chance to not relive history.
[01:44:58.000 --> 01:45:03.000]  As we're finishing off this agenda, we're pulling the rug from underneath the Americans at home.
[01:45:03.000 --> 01:45:09.000]  I've turned a tremendous influence on our president in Congress, and they really are calling the shots.
[01:45:09.000 --> 01:45:15.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[01:45:15.000 --> 01:45:18.000]  Full of the Republic identifies the enemies of our nation.
[01:45:18.000 --> 01:45:25.000]  The criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[01:45:25.000 --> 01:45:29.000]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches.
[01:45:29.000 --> 01:45:31.000]  And the Congress is saying, who do we make the check out to?
[01:45:31.000 --> 01:45:33.000]  Today seems like nobody does care.
[01:45:33.000 --> 01:45:38.000]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:45:38.000 --> 01:45:43.000]  Get your copy of Full of the Republic on DVD at infowars.com.
[01:45:43.000 --> 01:46:12.000]  We're watching online right now at superhighqualityatprisonplanet.tv.
[01:46:14.000 --> 01:46:17.000]  You should consider a food savings account from eFoodsDirect.
[01:46:17.000 --> 01:46:19.000]  They both make fabulous investments.
[01:46:19.000 --> 01:46:24.000]  Food is our greatest dependency, and we know it will be more precious than any financial resource.
[01:46:24.000 --> 01:46:30.000]  You and your family need food to survive a crisis, and you can't eat paper, stocks, or metals.
[01:46:30.000 --> 01:46:35.000]  Alex has been urging you to invest in delicious, easy-fix meals to enjoy now or save for long term.
[01:46:35.000 --> 01:46:38.000]  This will freeze the cost of your food while you can still afford it.
[01:46:38.000 --> 01:46:44.000]  Visit eFoodsDirect.com on the Internet, or call 800-409-5633.
[01:46:44.000 --> 01:47:09.000]  That's eFoodsDirect.com, or 800-409-5633.
[01:47:14.000 --> 01:47:21.000]  I'm coming up this week, but you better believe I'm going to do probably a whole three, four hour show.
[01:47:21.000 --> 01:47:26.000]  Just on the naked body scanners of people that have been abused, I appreciate everybody holding.
[01:47:26.000 --> 01:47:32.000]  I didn't even get into the economic news, or the government stage terror news, ex-Clinton strategist,
[01:47:32.000 --> 01:47:39.000]  Obama needs events similar to OKC to reconstruct and reconnect with voters.
[01:47:39.000 --> 01:47:43.000]  That's a new official saying that, Democratic operative Mark Penn.
[01:47:43.000 --> 01:47:48.000]  But I'm going to jam in John, Victoria, Josh, Gale, and Pat, who have been holding the longest.
[01:47:48.000 --> 01:47:50.000]  I'll be back tomorrow at 11 a.m. Central.
[01:47:50.000 --> 01:47:52.000]  But awesome for the Drudge Report.
[01:47:52.000 --> 01:48:01.000]  Top super link, our video of my employee, Michelle, being molested with her children by the TSA.
[01:48:01.000 --> 01:48:03.000]  And that's what it is, and it's out of control.
[01:48:03.000 --> 01:48:05.000]  Police can't even do that.
[01:48:05.000 --> 01:48:07.000]  John in Los Angeles, you're on the air.
[01:48:07.000 --> 01:48:09.000]  Hi, Alex. Thanks for having me.
[01:48:09.000 --> 01:48:11.000]  Welcome, sir. What's on your mind?
[01:48:11.000 --> 01:48:16.000]  I'll make it fast. One is, a couple of years ago in California, they passed a proposition that set up.
[01:48:16.000 --> 01:48:21.000]  If your cue is a felony, they're going to create a DNA database that collects your DNA and you can't do anything.
[01:48:21.000 --> 01:48:22.000]  The voters approved it.
[01:48:22.000 --> 01:48:26.000]  Exactly. If you're not even arrested, they put you in a DNA database.
[01:48:26.000 --> 01:48:28.000]  If you're not, it'd be exactly.
[01:48:28.000 --> 01:48:33.000]  Also, Zimbabwe in Sanford, I think, had another experiment where they took the residents to the basement,
[01:48:33.000 --> 01:48:38.000]  put them up between prison guards and prisoners, and they took the both most seriously,
[01:48:38.000 --> 01:48:43.000]  which became so bad, kind of like Oz on television, that their school forced them to stop the program
[01:48:43.000 --> 01:48:45.000]  because they realized how damaging it was for their mental health.
[01:48:45.000 --> 01:48:50.000]  Now, they found over 90% of people, when ordered to murder someone by an authority figure, will do it.
[01:48:50.000 --> 01:48:54.000]  So the government is going out and finding people that will do these things
[01:48:54.000 --> 01:48:57.000]  and trying to force these absurd things on us.
[01:48:57.000 --> 01:49:00.000]  Because if we'll put up with our baby's blood being taken secretly at birth,
[01:49:00.000 --> 01:49:04.000]  or the government every week going, yeah, we're killing kids in medical experiments,
[01:49:04.000 --> 01:49:10.000]  or what were the good guys, if we'll put up with Bill Gates releasing mosquitoes with vaccines in them,
[01:49:10.000 --> 01:49:11.000]  we'll put up with anything.
[01:49:11.000 --> 01:49:14.000]  They're just trying to overwhelm us and break our will.
[01:49:14.000 --> 01:49:18.000]  Victoria in Montana, you're on the air.
[01:49:18.000 --> 01:49:22.000]  I wanted to let you know that in July in Atlanta,
[01:49:22.000 --> 01:49:30.000]  I observed the TSA workers selecting top heavy women to put through the naked body scanners ahead of me.
[01:49:30.000 --> 01:49:38.000]  They seem not to be consciously aware that people around them could see them drooling and selectively choosing people.
[01:49:38.000 --> 01:49:43.000]  Oh, yeah, there's even been Wall Street Journal articles of their reporters watching The Hotter the Woman.
[01:49:43.000 --> 01:49:47.000]  These men literally, in fact, that's come out on the news,
[01:49:47.000 --> 01:49:51.000]  that they even make good-looking women at the airports who work at the airports go through.
[01:49:51.000 --> 01:49:55.000]  There's been lawsuits and they come up and say, baby, you're good looking.
[01:49:55.000 --> 01:49:58.000]  I mean, this is not my opinion. It's a bunch of pervs.
[01:49:58.000 --> 01:50:01.000]  It's tyranny. I'm sorry, Victoria.
[01:50:01.000 --> 01:50:04.000]  So I saw this in San Jose last Tuesday.
[01:50:04.000 --> 01:50:06.000]  It was nothing, not one man.
[01:50:06.000 --> 01:50:09.000]  I sat there for 20 minutes hoping I'd see a man.
[01:50:09.000 --> 01:50:11.000]  It was little kids and women.
[01:50:11.000 --> 01:50:16.000]  I mean, why do you think they're doing that to women mainly because they submit
[01:50:16.000 --> 01:50:19.000]  or because they like to squeeze their genitals?
[01:50:19.000 --> 01:50:20.000]  What's going on?
[01:50:20.000 --> 01:50:27.000]  I just think they're doing it because they're perverts and they want the pictures and everything just looking at that behavior.
[01:50:27.000 --> 01:50:30.000]  Well, I'm tall, curvaceous, and I have, like, a triple D top.
[01:50:30.000 --> 01:50:35.000]  So I had a feeling they would try to force me in the body scanner.
[01:50:35.000 --> 01:50:37.000]  So they tried to and I said, no.
[01:50:37.000 --> 01:50:39.000]  And then the man, he got really upset.
[01:50:39.000 --> 01:50:42.000]  He tried to pick an argument to convince me and force me, but I stood firm.
[01:50:42.000 --> 01:50:44.000]  I said, no, I will not be convinced.
[01:50:44.000 --> 01:50:48.000]  Yeah, they try to pressure you and we all need to say no and no to their pat-downs.
[01:50:48.000 --> 01:50:52.000]  Their bosses staged the terror attacks, a locky CIA.
