[00:00:00.369 --> 00:00:03.510]  We've got it, brother.
[01:17:06.247 --> 01:17:15.114]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:17:15.114 --> 01:17:19.738]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:17:19.738 --> 01:17:30.567]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:17:31.187 --> 01:17:40.690]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[01:17:40.690 --> 01:17:46.132]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:17:46.132 --> 01:17:53.615]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:17:53.615 --> 01:17:56.356]  That's www.SilverLungs.com.
[01:18:00.271 --> 01:18:01.432]  A very wealthy U.S.
[01:18:01.432 --> 01:18:08.355]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[01:18:08.355 --> 01:18:10.916]  He says it will change everything about our lives.
[01:18:10.916 --> 01:18:16.299]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[01:18:16.299 --> 01:18:19.340]  Now this man has made some outrageous predictions over the years.
[01:18:19.340 --> 01:18:21.661]  The crazy part is, he's usually right.
[01:18:21.661 --> 01:18:27.584]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[01:18:27.944 --> 01:18:31.266]  In fact, Barron's called his work a dire prophecy.
[01:18:31.266 --> 01:18:37.070]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[01:18:37.070 --> 01:18:38.691]  And it's a real eye-opener.
[01:18:38.691 --> 01:18:39.992]  I can't stress this enough.
[01:18:39.992 --> 01:18:42.674]  You should at least watch this free video online today.
[01:18:42.674 --> 01:18:44.095]  He explains everything you need to know.
[01:18:44.355 --> 01:18:46.899]  Including simple steps you can take to protect yourself.
[01:18:46.899 --> 01:18:51.526]  You can find the video at www.EndOfAmerica3.com.
[01:18:51.526 --> 01:18:54.110]  That's End of America, the number 3.com.
[01:18:54.110 --> 01:18:57.114]  Watch the free video at www.EndOfAmerica3.com.
[01:18:57.114 --> 01:18:57.735]  That's EndOfAmerica3.com.
[01:19:00.339 --> 01:19:03.681]  Congratulations to our friends at eFoodsDirect.com.
[01:19:03.681 --> 01:19:08.284]  In August, they celebrate 30 years in the long-term storable food business.
[01:19:08.284 --> 01:19:16.990]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[01:19:16.990 --> 01:19:24.615]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[01:19:24.795 --> 01:19:32.178]  The Freedom Supply includes a large variety of fruits and vegetables, dairy, legumes, grains, sprouting seeds and more.
[01:19:32.178 --> 01:19:35.419]  Plus you get a generous supply of their quick fix meals.
[01:19:35.419 --> 01:19:39.980]  This is the most complete, extensive and affordable unit they have ever offered.
[01:19:39.980 --> 01:19:50.244]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get 30% off a one year food supply if you have ever considered getting a supply.
[01:19:50.464 --> 01:19:51.625]  Now is the time.
[01:19:51.625 --> 01:19:53.825]  Call 800-409-5633.
[01:19:53.825 --> 01:20:01.489]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:20:01.489 --> 01:20:03.029]  Coast to Coast.
[01:20:03.029 --> 01:20:05.070]  Direct from Austin.
[01:20:05.070 --> 01:20:08.292]  You're listening to the Alex Jones Broadcasting Network.
[01:20:19.147 --> 01:20:28.457]  It was the Founding Fathers, I know, evil conspiracy theorists, scum, according to our media today, in FEMA.
[01:20:28.457 --> 01:20:31.159]  Oh, I have FEMA on tape teaching police the Founding Fathers were bad.
[01:20:31.159 --> 01:20:34.863]  It's in my film Road to Tyranny.
[01:20:34.863 --> 01:20:41.230]  It was the Founding Fathers that said even if you try to defend liberty, even if you do everything you can, it's very hard to keep it.
[01:20:42.324 --> 01:20:50.590]  Because corrupt groups form, insiders get control, they grow the size of government to expand their power.
[01:20:50.590 --> 01:20:55.254]  That's the big threat of government, is that it empowers the megacorporations.
[01:20:55.254 --> 01:20:57.856]  And that's now happened.
[01:20:57.856 --> 01:21:07.623]  And somehow they convinced Americans to hate what made America so great, not trusting government, keeping it small, being fiercely independent.
[01:21:07.623 --> 01:21:09.164]  I saw a news report last night.
[01:21:09.164 --> 01:21:10.925]  In fact, I meant to print this.
[01:21:10.925 --> 01:21:11.546]  Will you guys print it?
[01:21:13.351 --> 01:21:19.252]  I think it was Dallas, Texas.
[01:21:19.252 --> 01:21:20.633]  And what did they say in the newscast?
[01:21:20.633 --> 01:21:24.393]  First I heard Kenny Rohmeier last time on 590, a local host, talking about it.
[01:21:24.393 --> 01:21:27.554]  And then I went home and pulled up the newscast in Dallas.
[01:21:27.554 --> 01:21:33.896]  I think it was Earn and Learn.
[01:21:33.896 --> 01:21:34.256]  That's it.
[01:21:34.256 --> 01:21:36.176]  It's called Earn and Learn.
[01:21:36.176 --> 01:21:40.317]  And you get 20 bucks or 40 bucks when you turn somebody in for skipping school.
[01:21:41.886 --> 01:21:43.026]  And people are like, oh, that's good.
[01:21:43.026 --> 01:21:43.627]  No, no, no.
[01:21:43.627 --> 01:21:45.687]  That's the new economy.
[01:21:45.687 --> 01:21:53.730]  And that's just training the kids to get used to spying on people.
[01:21:53.730 --> 01:21:55.251]  No, that's a different article.
[01:21:55.251 --> 01:21:56.351]  It doesn't matter.
[01:21:56.351 --> 01:22:00.093]  I saw the newscast.
[01:22:00.093 --> 01:22:02.554]  I want to go to your phone calls now.
[01:22:02.554 --> 01:22:08.836]  Joe, Shepard, Don, Raina, Phil, Justin, Sky, Tim, Dave, Justin, Danny, Scott.
[01:22:08.836 --> 01:22:10.917]  We'll get to at least these 12 callers.
[01:22:12.438 --> 01:22:13.740]  that are lined up.
[01:22:13.740 --> 01:22:15.262]  We could have 200 callers.
[01:22:15.262 --> 01:22:16.805]  Literally, we have a digital phone system.
[01:22:16.805 --> 01:22:19.248]  It could take thousands of calls.
[01:22:19.248 --> 01:22:24.076]  I ought to do a show sometime and just shut up where I give each caller 30 seconds and go to the next person.
[01:22:24.076 --> 01:22:24.617]  We could take like 500.
[01:22:26.513 --> 01:22:28.915]  Yeah, we can take like 500 calls.
[01:22:28.915 --> 01:22:30.176]  Or like do a marathon show.
[01:22:30.176 --> 01:22:32.098]  Just take thousands of calls.
[01:22:32.098 --> 01:22:36.081]  Just stay on the air.
[01:22:36.081 --> 01:22:39.804]  You have been warned, we're going into tyranny, we're going into depression.
[01:22:39.804 --> 01:22:43.327]  Of course there's a giant FEMA camp, civil emergency program.
[01:22:43.327 --> 01:22:46.569]  I've been to the urban warfare drills, they train to put Americans in camps.
[01:22:46.569 --> 01:22:49.432]  And then you get concerned about it and they say, shut up crazy man!
[01:22:51.107 --> 01:22:53.712]  Hey, you know, the banks are imploding our economy by design.
[01:22:53.712 --> 01:22:55.375]  They're going to set up a bank of the world.
[01:22:55.375 --> 01:22:56.517]  Shut up, crazy man.
[01:22:56.517 --> 01:22:57.499]  Now it's all been announced.
[01:23:01.089 --> 01:23:02.570]  And how did I know all this?
[01:23:02.570 --> 01:23:04.011]  Why was I so right?
[01:23:04.011 --> 01:23:06.012]  Because they all write white papers.
[01:23:06.012 --> 01:23:07.093]  I bring them here to you.
[01:23:07.093 --> 01:23:09.514]  This is not my opinion.
[01:23:09.514 --> 01:23:12.116]  I'm not predicting the future.
[01:23:12.116 --> 01:23:17.199]  I'm reporting on what they've said their program is, their plan, their rollout.
[01:23:17.199 --> 01:23:23.242]  Now, I don't know exactly when they're going to roll out certain parts of it, but they've told us their rollout plan.
[01:23:23.242 --> 01:23:25.284]  Joe in Mississippi, thanks for holding.
[01:23:25.284 --> 01:23:25.844]  You're on the air.
[01:23:25.844 --> 01:23:27.285]  Go ahead.
[01:23:27.285 --> 01:23:28.826]  Hey Alex, thanks for taking my call.
[01:23:29.531 --> 01:23:31.293]  I think if we don't elect Ron Paul, we're in deep, deep trouble.
[01:23:31.293 --> 01:23:32.874]  We're already in deep, deep trouble.
[01:23:32.874 --> 01:23:34.675]  It seems like the mass of people, pretty much everybody I know,
[01:23:56.789 --> 01:24:02.771]  What do you think of Obama legalizing all the deportees, even though it violates federal law?
[01:24:02.771 --> 01:24:05.332]  More and more he's our Supreme Ruler.
[01:24:05.332 --> 01:24:12.174]  Well, it seems like to me that we're pretty much annoying little ants to them.
[01:24:12.174 --> 01:24:13.335]  They could care less about us.
[01:24:14.767 --> 01:24:16.547]  Exactly, but here's the issue.
[01:24:16.547 --> 01:24:25.149]  As unconstitutional as Bill Clinton was, or George Bush, I mean, under Obama, it is going into warp speed.
[01:24:25.149 --> 01:24:31.110]  And notice the Republican leadership is not saying a word, because they're all bought and paid for by the same interest.
[01:24:31.110 --> 01:24:36.031]  We have a super Congress now that creates the bills.
[01:24:36.031 --> 01:24:39.672]  I mean, that's never been in our history.
[01:24:39.672 --> 01:24:41.372]  We're in the middle of a takeover.
[01:24:42.230 --> 01:24:42.990]  What's on your mind, Joe?
[01:24:42.990 --> 01:24:44.271]  I'm going to stop talking at you.
[01:24:44.271 --> 01:24:46.232]  What are you calling about?
[01:24:46.232 --> 01:24:47.092]  It's just crazy.
[01:24:47.092 --> 01:24:51.974]  There's so many things that I could go over with you, but I know our time is limited.
[01:24:51.974 --> 01:25:02.038]  I woke up probably about three years ago now, and the first time I saw your show or heard you, I was looking at an interview for Jesse Ventura.
[01:25:02.038 --> 01:25:08.641]  I was like, that's kind of crazy, but I saw how passionate you were, and I could tell that at least you believed it.
[01:25:10.912 --> 01:25:16.776]  Well, he's wasting a lot of time and energy putting all this out there, so there's got to be something to it.
[01:25:16.776 --> 01:25:22.719]  Yeah, I went to urban warfare drills and watched the military trying to break up our families and put us in camps.
[01:25:22.719 --> 01:25:27.983]  This is all 100% real, so shouldn't I get upset witnessing things like that?
[01:25:27.983 --> 01:25:32.225]  Definitely, and I think that is actually helpful.
[01:25:32.225 --> 01:25:39.690]  The thing is that I know for me and people like me that aren't awake or that aren't awake yet, this stuff is really
[01:25:40.746 --> 01:25:43.228]  Out there.
[01:25:43.228 --> 01:25:49.874]  Only because, listen, when Americans were informed about the world, everybody basically sounded like Alex Jones.
[01:25:49.874 --> 01:25:51.276]  Go study history.
[01:25:51.276 --> 01:25:54.959]  Americans bought this fake Hollywood football thing.
[01:25:54.959 --> 01:25:59.643]  They think all this new fake stuff is what America's always been.
[01:25:59.643 --> 01:26:02.526]  And so that's why now we're losing all the blessings.
[01:26:02.526 --> 01:26:06.970]  We're losing all the prosperity because the average man is not a man.
[01:26:07.330 --> 01:26:12.755]  You talk to the average man, they think it's weird if you know legislation numbers.
[01:26:12.755 --> 01:26:13.436]  I'm sorry, go ahead.
[01:26:13.436 --> 01:26:20.922]  No, because I've always been politically... I try to, you know, make myself pay attention to all these dry political things.
[01:26:20.922 --> 01:26:24.466]  And, uh, you know, once I saw what you were saying, I started connecting the dots.
[01:26:25.282 --> 01:26:32.024]  What really, I think, started waking me up was whenever the guy got tased down in Florida, you know, the don't tase me bro guy.
[01:26:32.024 --> 01:26:35.825]  Yeah, he wasn't even resisting, they tackled him.
[01:26:35.825 --> 01:26:39.065]  And Kerry said, Kerry said, don't arrest him.
[01:26:39.065 --> 01:26:40.106]  He hadn't done anything.
[01:26:40.106 --> 01:26:41.226]  The guy says, I'm leaving.
[01:26:41.226 --> 01:26:43.886]  They tackle him and tase him for the enjoyment.
[01:26:43.886 --> 01:26:45.387]  You're witnessing evil.
[01:26:45.387 --> 01:26:47.107]  I'm sorry, go ahead.
[01:26:47.107 --> 01:26:49.728]  Yeah, I mean, it just seemed crazy to me.
[01:26:49.728 --> 01:26:53.909]  And that's what really was a switch for me, I think.
[01:26:55.327 --> 01:27:06.785]  Just looking into that, what I want to know is, what would you do if you were starting at ground zero, with no gun, no gold or silver?
[01:27:10.777 --> 01:27:11.597]  Any of that?
[01:27:11.597 --> 01:27:13.738]  You know, we got a bunch of trouble coming our way.
[01:27:13.738 --> 01:27:14.438]  It's easy.
[01:27:14.438 --> 01:27:18.680]  I would just, every time you're at the grocery store, buy a little extra food you put aside in a few months.
[01:27:18.680 --> 01:27:19.440]  It'll be a hoard.
[01:27:19.440 --> 01:27:33.325]  And I would get a shotgun, you know, regular barrel length, $300 inexpensive Winchester Defender pump shotgun, and I'd have slugs and buckshot.
[01:27:34.445 --> 01:27:36.026]  Hey Alex, it's Shepard with theintelhub.com.
[01:27:36.026 --> 01:27:37.486]  You're doing a great job, as usual.
[01:27:37.486 --> 01:27:40.447]  Working hard on Sunday, I know.
[01:28:00.689 --> 01:28:01.870]  How it goes.
[01:28:01.870 --> 01:28:12.176]  I just wanted to say you're right on on them turning economy and it really looks like, you know, they've looted the nation with all the bailouts.
[01:28:12.176 --> 01:28:15.378]  It's kind of reaching its final turning point.
[01:28:15.378 --> 01:28:19.501]  It looks like and you know, you were mentioning the power bills going up.
[01:28:19.501 --> 01:28:23.984]  I mean, they've been suppressing Tesla.
[01:28:24.705 --> 01:28:29.407]  Uh, actually came out, you know, he, he, he actually knew how to produce energy for free.
[01:28:29.407 --> 01:28:31.228]  That's true.
[01:28:31.228 --> 01:28:35.489]  I've seen the patents to suck it right out of the earth, the charge in the earth.
[01:28:35.489 --> 01:28:38.851]  And, uh, you know, on top of that, uh, Shepard.
[01:28:39.731 --> 01:28:47.176]  I've seen the patents that General Motors had in the 60s for a 80 mile a gallon carburetor.
[01:28:47.176 --> 01:28:50.719]  So absolutely, it's all just a complete scam.
[01:28:50.719 --> 01:28:52.200]  Good to hear from you, Shepard.
[01:28:52.200 --> 01:28:57.303]  Alright, Don, Raina, Phil, Justin, Sky, Tim, Dave, we're getting to all of you.
[01:28:57.303 --> 01:28:57.884]  Stay with us.
[01:29:00.592 --> 01:29:05.135]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:29:05.135 --> 01:29:06.056]  Number one.
[01:29:06.056 --> 01:29:09.479]  New climate legislation could easily double or triple your electric bill.
[01:29:09.479 --> 01:29:10.319]  Number two.
[01:29:10.319 --> 01:29:15.223]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:29:15.223 --> 01:29:15.963]  It's true.
[01:29:15.963 --> 01:29:20.847]  Total government control of electricity in the name of smart grid technology is coming.
[01:29:20.847 --> 01:29:21.668]  Number three.
[01:29:21.668 --> 01:29:25.250]  In some areas of the country, the power grid is dangerously overloaded.
[01:29:25.250 --> 01:29:28.953]  And now, new socialist legislation is only compounding the problem.
[01:29:29.153 --> 01:29:29.954]  Number 4.
[01:29:29.954 --> 01:29:32.716]  Dangerous weather is always a threat to local grids.
[01:29:32.716 --> 01:29:36.399]  Every year, thousands of families lose their power from weather-related outages.
[01:29:36.399 --> 01:29:37.180]  Number 5.
[01:29:37.180 --> 01:29:41.324]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:29:41.324 --> 01:29:46.088]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:29:46.368 --> 01:29:50.551]  You can get more information at www.mysolarbackup.com.
[01:29:50.551 --> 01:29:52.333]  That's mysolarbackup.com.
[01:29:52.333 --> 01:29:54.595]  Remember, the government doesn't own the sun.
[01:29:54.595 --> 01:29:56.936]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:30:01.485 --> 01:30:03.187]  Hi folks, this is Alex Jones.
[01:30:03.187 --> 01:30:08.493]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:30:08.493 --> 01:30:10.035]  Saving means to make money.
[01:30:10.035 --> 01:30:18.825]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:30:19.546 --> 01:30:27.070]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:30:27.070 --> 01:30:35.074]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:30:35.074 --> 01:30:42.478]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[01:30:45.259 --> 01:30:48.464]  Or see Calvin on the web at FiveStarSoap.com.
[01:30:48.464 --> 01:30:50.708]  Take charge of your health now by calling 800-340-7091.
[01:30:50.708 --> 01:30:52.972]  Or see Calvin on the web at FiveStarSoap.com.
[01:31:02.049 --> 01:31:04.190]  We're subject to public police action.
[01:31:04.190 --> 01:31:05.470]  Tyranny is here.
[01:31:05.470 --> 01:31:09.232]  The grim future foretold in 1984 has become reality.
[01:31:09.232 --> 01:31:11.633]  It really says that the state is God.
[01:31:11.633 --> 01:31:17.055]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:31:17.495 --> 01:31:24.165]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:31:24.165 --> 01:31:30.173]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:31:30.173 --> 01:31:33.799]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[01:31:34.319 --> 01:31:38.601]  Prepare to enter the secretive world of emergency dictatorship.
[01:31:38.601 --> 01:31:44.545]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[01:31:44.545 --> 01:31:48.106]  It's only the beginning of the New World Order's hellish plan.
[01:31:48.106 --> 01:31:50.088]  The police state isn't coming.
[01:31:50.088 --> 01:31:51.208]  It's here.
[01:31:51.208 --> 01:31:58.012]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:32:00.188 --> 01:32:03.529]  Congratulations to our friends at eFoodsDirect.com.
[01:32:03.529 --> 01:32:08.129]  In August, they celebrate 30 years in the long-term storable food business.
[01:32:08.129 --> 01:32:16.831]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[01:32:16.831 --> 01:32:24.633]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[01:32:24.633 --> 01:32:26.993]  The Freedom Supply includes a large variety
[01:32:27.093 --> 01:32:27.273]  I'm good.
[01:32:51.019 --> 01:32:51.779]  We're good to go.
[01:33:24.235 --> 01:33:26.957]  Eject from the prison planet.
[01:33:26.957 --> 01:33:28.918]  Eject!
[01:33:28.918 --> 01:33:29.979]  Well, we can't eject.
[01:33:29.979 --> 01:33:31.200]  This is a beautiful world.
[01:33:31.200 --> 01:33:32.040]  It's our world.
[01:33:32.040 --> 01:33:36.143]  But evil can only thrive when we're ignorant.
[01:33:36.143 --> 01:33:38.365]  I've got a smattering of news on Libya.
[01:33:40.037 --> 01:33:44.200]  I've also got some news on the Air Force being part of a police raid on a gun shop.
[01:33:44.200 --> 01:33:46.502]  CBS News Las Vegas was reporting.
[01:33:46.502 --> 01:33:47.903]  See how just more and more?
[01:33:47.903 --> 01:33:51.146]  Oh, we have wars without law, without Congress.
[01:33:51.146 --> 01:33:55.509]  Oh, we have gun laws without laws that Obama's put in.
[01:33:55.509 --> 01:34:00.053]  Oh, we have carbon taxes and rules without law.
[01:34:00.053 --> 01:34:03.836]  We have waivers on health care to insider buddies.
[01:34:03.836 --> 01:34:08.379]  We have all of this unfolding.
[01:34:08.379 --> 01:34:09.060]  It's called tyranny.
[01:34:10.933 --> 01:34:13.875]  And that's the way the Fortune 100 like it.
[01:34:13.875 --> 01:34:16.498]  So that's the way they get it, because we let them.
[01:34:16.498 --> 01:34:17.619]  And they lecture us all day.
[01:34:17.619 --> 01:34:19.760]  Ooh, criticizing government.
[01:34:19.760 --> 01:34:20.821]  That's un-American.
[01:34:20.821 --> 01:34:22.803]  I thought that was American.
[01:34:22.803 --> 01:34:24.644]  Oh, getting upset, getting informed.
[01:34:24.644 --> 01:34:28.447]  Oh my gosh, you're not part of the new domestic terrorist, are you?
[01:34:28.447 --> 01:34:31.150]  As they now brand away from Al-Qaeda onto the American people.
[01:34:31.790 --> 01:34:35.172]  Oh, you don't buy the ridiculous Bin Laden killing story?
[01:34:35.172 --> 01:34:37.392]  Oh, you're a conspiracy theorist.
[01:34:37.392 --> 01:34:38.273]  We're the government.
[01:34:38.273 --> 01:34:39.333]  We're here to help you.
[01:34:39.333 --> 01:34:42.415]  We've just been caught lying to you thousands of times.
[01:34:42.415 --> 01:34:46.336]  It's bizarre to question anything we tell you.
[01:34:46.336 --> 01:34:54.440]  No, you'd be certifiably insane if you didn't question everything this pack of criminals tells you.
[01:34:54.440 --> 01:34:56.481]  Rediscover your common sense.
[01:34:56.481 --> 01:34:57.841]  It's our only hope.
[01:34:57.841 --> 01:34:59.302]  Don in Michigan, welcome.
[01:35:00.587 --> 01:35:02.550]  Thank you, Alex, and you're absolutely right.
[01:35:02.550 --> 01:35:04.473]  Requestions.
[01:35:04.473 --> 01:35:06.976]  You can't question enough, and I got a few points.
[01:35:06.976 --> 01:35:09.079]  I respect your time and a quick question.
[01:35:09.079 --> 01:35:10.962]  I called you back in May.
[01:35:10.962 --> 01:35:14.707]  I made the mistake of using a work email to send to a radio station.
[01:35:14.707 --> 01:35:16.910]  I don't know if you remember, but they played my
[01:35:18.229 --> 01:35:21.493]  They read my email over the air, and it almost got me fired.
[01:35:21.493 --> 01:35:25.178]  And I have a good job, it pays me good.
[01:35:25.178 --> 01:35:37.012]  Okay, so you got a bunch of control freaks that work around you who think people that have views that they don't like are bad, and they think they protect America by shutting down dissent, and instead they're destroying their future.
[01:35:37.731 --> 01:35:42.775]  Yeah, and I totally disrespected DJ because he's the one that read it knowing he knows our company.
[01:35:42.775 --> 01:35:43.716]  It's a well-known company.
[01:35:43.716 --> 01:35:44.897]  I'm not going to say the name.
[01:35:44.897 --> 01:35:49.481]  But the head of HR called me a conspiracy theorist, but she said it in a respectful way.
[01:35:49.481 --> 01:35:50.302]  She said, that's fine.
[01:35:50.302 --> 01:35:56.627]  Sir, now when the TSA grabs your genitals and you don't like it, they call you a conspiracy theorist.
[01:35:56.627 --> 01:35:58.669]  Oh, we're taking your farm for no reason.
[01:35:58.669 --> 01:35:59.369]  I don't like that.
[01:35:59.369 --> 01:36:00.690]  You're a conspiracy theorist.
[01:36:00.690 --> 01:36:01.571]  It's just a word.
[01:36:01.571 --> 01:36:02.712]  It doesn't work anymore.
[01:36:02.712 --> 01:36:03.853]  But Don, I'm going to jump quick.
[01:36:03.853 --> 01:36:04.714]  What's your point today?
[01:36:05.666 --> 01:36:07.969]  Uh, well, my point was Ron Paul.
[01:36:07.969 --> 01:36:12.635]  Everybody, please, if you can send five bucks, ten bucks, whatever you can send to Ron Paul, please do it.
[01:36:12.635 --> 01:36:18.022]  And my question for you was, uh, they had something about, uh, their support in Ron Paul.
[01:36:18.022 --> 01:36:19.844]  Getting a list, it said a Republican list.
[01:36:19.844 --> 01:36:22.948]  Can I actually get a list of, uh, uh,
[01:36:23.985 --> 01:36:26.266]  Dedicated Republicans to knock on their door?
[01:36:26.266 --> 01:36:27.127]  I heard that earlier.
[01:36:27.127 --> 01:36:27.867]  Yes, yes.
[01:36:27.867 --> 01:36:35.652]  No, they have lists at the county Republican Party level and it varies state to state, but you can get those, Don.
[01:36:35.652 --> 01:36:36.633]  By the way, he raised $1.65 million or $1,600,000.
[01:36:43.717 --> 01:37:00.762]  Plus, even though there was a cyber attack, confirmed cyber attack, on Ron Paul's 2012 website, even though they shut the website down for about six hours and it was a confirmed cyber attack, he did raise a lot of money, so that's very exciting.
[01:37:00.762 --> 01:37:02.302]  Thank you so much, Don.
[01:37:02.302 --> 01:37:05.143]  And again, Ron Paul isn't going to save us.
[01:37:05.143 --> 01:37:08.244]  He's just one torpedo in the war against the globalists.
[01:37:09.488 --> 01:37:11.349]  Resistance is gonna save us.
[01:37:11.349 --> 01:37:14.432]  Asking God to lead, God to direct us.
[01:37:14.432 --> 01:37:16.433]  And I'm serious, people laugh about God.
[01:37:16.433 --> 01:37:18.375]  Oh God, what a nut.
[01:37:18.375 --> 01:37:21.337]  We're living on a planet in the middle of a beautiful universe.
[01:37:21.337 --> 01:37:23.979]  Look at all the wonderment around us.
[01:37:23.979 --> 01:37:36.168]  Whether you believe it to be your inner voice or whatever the case is, sit in a room, spend a few minutes every day thinking about the state of the world, and ask God to lead, God to direct you.
[01:37:36.168 --> 01:37:38.030]  And you'll see amazing things happen in your life.
[01:37:38.558 --> 01:37:43.141]  You're not going to find God in these mainline government-paid-for churches, most of them.
[01:37:43.141 --> 01:37:47.843]  You're going to find God by seeking God in your spirit.
[01:37:47.843 --> 01:37:49.984]  And there are no atheists in foxholes.
[01:37:49.984 --> 01:37:52.166]  And we're in a foxhole right now.
[01:37:52.166 --> 01:37:55.107]  This country is under globalist attack.
[01:37:55.107 --> 01:37:57.709]  And at the end of the day, I'm going to tell you right now, it's about praying to God.
[01:37:59.246 --> 01:38:05.108]  I know that's where I get my strength, my perseverance, my lack of fear from, is directly beamed.
[01:38:05.108 --> 01:38:08.949]  I can feel the Spirit of God all around me.
[01:38:08.949 --> 01:38:13.831]  And I just feel sorry for the lost souls who can't feel it, who can't see it.
[01:38:13.831 --> 01:38:17.612]  Alright, now I'm pontificating, I apologize.
[01:38:17.612 --> 01:38:20.473]  Rayna in Maryland, you're on the air, go ahead.
[01:38:22.028 --> 01:38:24.289]  Hi Alex, I have a question.
[01:38:24.289 --> 01:38:42.814]  Well one, we supported Ron Paul last night and we gave him some good birthday presents but our question is we have a seven month old son who hasn't had any vaccination since he was two months and it may be a personal question but we're wondering what you do with your children.
[01:38:42.814 --> 01:38:44.935]  My children have never had a needle in their body.
[01:38:45.823 --> 01:38:55.388]  Absolutely zero, and all the other children I know that do get all the vaccines, quite frankly, act like they're mildly retarded and look completely unhealthy.
[01:38:55.388 --> 01:39:11.336]  My children hardly ever get sick and bounce off the walls like ping-pong balls and seethe with energy and their eyes burn with the electric light of creativity, just like old-timers' eyes do in those old black-and-white, you know, family films you see.
[01:39:12.676 --> 01:39:17.438]  So, no, my family has not been put under the globalist injector.
[01:39:17.438 --> 01:39:20.039]  And it's not that I don't believe in the science of inoculation.
[01:39:20.039 --> 01:39:22.420]  I know it's real.
[01:39:22.420 --> 01:39:31.044]  I've interviewed so many hundreds of top scientists over the years who document that the vaccines are intentionally contaminated.
[01:39:31.817 --> 01:39:44.487]  If you don't believe me, just type in polio vaccine contaminated with cancer virus, or Gardasil shot kills girls, or UN gives children live polio.
[01:39:44.487 --> 01:39:50.911]  Every year, in every major country, it's an accident they give them the live polio and kill them better than a hammer.
[01:39:50.911 --> 01:39:53.673]  It's an accident like Hitler having Jews be marched into a
[01:39:54.835 --> 01:39:59.600]  Dirt, ditch, and shot in the back of the head.
[01:39:59.600 --> 01:40:16.438]  Big Pharma, again, Bayer Pharmaceutical, found guilty in France, but it was a worldwide program for at least 10 years, knew that every ampule of factor VIII had HIV and hepatitis, and they made the conscious decision to ship it out to everybody worldwide.
[01:40:17.364 --> 01:40:21.106]  You cannot trust anything Big Pharma does.
[01:40:21.106 --> 01:40:30.370]  They knew when they got Prozac approved in 81, now the lawsuits have started, that it caused massive increases in psychotic activity and suicide.
[01:40:30.370 --> 01:40:32.131]  It's a hallucinogen.
[01:40:32.131 --> 01:40:33.151]  Get the insert.
[01:40:33.151 --> 01:40:35.752]  It's in the hallucinogen class.
[01:40:35.752 --> 01:40:39.754]  It's a fluoride chlorine molecule.
[01:40:40.936 --> 01:40:44.541]  I mean, a lot of poisons make you feel euphoric.
[01:40:44.541 --> 01:40:47.826]  But when you have a bad trip, you cut your baby's arms off.
