[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[3:17:50.800 --> 3:17:59.800]  Report them if you see them, please. It's very dangerous. Nothing's safe. And it's just hysteria made up that there are Nazis just everywhere.
[3:17:59.800 --> 3:18:01.800]  Who knew Brad Pitt was a Nazi?
[3:18:01.800 --> 3:18:08.800]  They're under every rock. And it's how you define it. You can define it any way you want and then it's self-explanatory.
[3:18:08.800 --> 3:18:15.800]  Well, I was in a hotel yesterday. I was staying at the Weston and there was like some big basketball tournament with a bunch of college and NBA guys there.
[3:18:15.800 --> 3:18:21.800]  They were all like seven feet tall and almost every black guy had that Beckham haircut because you don't want to be sweating and stuff when you're out there.
[3:18:21.800 --> 3:18:24.800]  They all had like, I didn't know they were all white supremacists, too.
[3:18:24.800 --> 3:18:30.800]  Well, the thing is, Alex, is that they don't believe that there's any such thing as objective truth.
[3:18:30.800 --> 3:18:34.800]  This is the postmodern world that we live in. And so they have a truth and I have a truth.
[3:18:34.800 --> 3:18:38.800]  My truth is different because I'm a white person than somebody else's truth.
[3:18:38.800 --> 3:18:46.800]  And so they see this as a fundamental, you know, you cannot get through these people because they will not allow you to have a real discussion.
[3:18:46.800 --> 3:18:48.800]  Well, we both kind of got to shut it down.
[3:18:48.800 --> 3:18:52.800]  We've got kind of a little bit of the halfway comeovers going on here. Does that mean we're white supremacists?
[3:18:52.800 --> 3:18:54.800]  I don't know what white group that puts me in.
[3:18:54.800 --> 3:19:00.800]  I'm growing my hair out, guys. I'm just growing my hair completely out. I got to be safe while I'm here at DC. I got to be safe.
[3:19:00.800 --> 3:19:05.800]  Well, it just shows how there's nothing real. So they pick some old statues and they pick a guy's haircut.
[3:19:05.800 --> 3:19:10.800]  And that's why I've looked at the numbers of whites being attacked 25 to 1 by blacks exploded.
[3:19:10.800 --> 3:19:18.800]  And I've just said the average black person didn't like that. There's a large minority of blacks that are so racist now that it looks worse than the Klan attacks to the south ever.
[3:19:18.800 --> 3:19:23.800]  I mean, we need to take people getting attacked and hurt and show how this is all globalist operations.
[3:19:23.800 --> 3:19:25.800]  Josh, anything else?
[3:19:25.800 --> 3:19:31.800]  Yeah, I just want to say, I mean, my life is a conundrum, essentially, to that perspective.
[3:19:31.800 --> 3:19:37.800]  You know, I support freedom. I like Martin Luther King. I am not racist. I'm married to a Filipino woman.
[3:19:37.800 --> 3:19:43.800]  That's why they hate me even more than anything because I am the exact opposite of what they're saying I'm supposed to be.
[3:19:43.800 --> 3:19:50.800]  Because, look, look, race is pushed by governments because it's works and the Democrats and the globalists are cold-blooded and they're using it.
[3:19:50.800 --> 3:19:55.800]  And we've just got to point out that's what they're doing. Thank you, Josh. But I love how folks that aren't racist keep saying, I'm not, I'm not, I'm not.
[3:19:55.800 --> 3:20:03.800]  I don't care anymore. I want free market prosperity for everybody and I'm not going to kiss folks, but I've not done anything wrong and I don't care if you're white or black.
[3:20:03.800 --> 3:20:06.800]  You try to shoot or stab me. I'm going to bust a cap in your ass.
[3:20:06.800 --> 3:20:09.800]  And let's understand why Soros and these people are focusing on race in America.
[3:20:09.800 --> 3:20:13.800]  When they had their revolutions in Europe, they did it based on economic classes.
[3:20:13.800 --> 3:20:23.800]  Here in America, yeah, we've got differences in economics, but people generally believe that in the American system, you had mobility unlike what they believed in Europe.
[3:20:23.800 --> 3:20:32.800]  So here they can focus on race and that's the way they can divide people because that's the whole purpose of this, is to just find some issue that you can irritate.
[3:20:32.800 --> 3:20:39.800]  As we're all losing our rights, we're all being surveilled. We're all being economically robbed by the globalists. They've got to create some new diversion.
[3:20:39.800 --> 3:20:51.800]  The KGB talked about this in the 1960s when they tried to infiltrate. They said America isn't about class. In America, the fracture points are on racial and cultural lines.
[3:20:51.800 --> 3:20:57.800]  That's what the KGB did when they were funding the new Black Panthers. That's what they did when they were funding a lot of these racial groups.
[3:20:57.800 --> 3:21:05.800]  And we saw in the last eight years, the Barack Obama administration did everything they could and the left did everything they could to inflame racial tensions, not unite the country.
[3:21:05.800 --> 3:21:13.800]  And don't people see that? I mean, it's the craziest thing. Dan in Indiana, you're on the air worldwide.
[3:21:13.800 --> 3:21:16.800]  Bible Dan was the Bible in his hand.
[3:21:16.800 --> 3:21:17.800]  Hey, buddy.
[3:21:17.800 --> 3:21:19.800]  That's been a long time since you heard that. How you doing, Alex?
[3:21:19.800 --> 3:21:22.800]  Good. Yeah, you've been calling for like 10 years.
[3:21:22.800 --> 3:21:36.800]  Yeah. What I want to say is Heather Hayes did not exist. She could have been one of these kid net kids from the MK Ultra, but I cannot find any evidence that she ever existed.
[3:21:36.800 --> 3:21:44.800]  A lot of folks are saying that and I'm not saying that she didn't exist. I think her mom was very real. I think people do get killed. People do get run over.
[3:21:44.800 --> 3:21:49.800]  The driver, though, it turns out was a leftist. Looks like he's on a bunch of drugs.
[3:21:49.800 --> 3:21:59.800]  All the managers of it were formerly working for Obama just a year ago and Black Lives Matter and Soros and Antifa and every other group will occupy.
[3:21:59.800 --> 3:22:06.800]  And so then magically they're leading this thing all perfectly and there's a police stand down and our reporters reported on the stand down. That's all confirmed.
[3:22:06.800 --> 3:22:14.800]  So what do you think, Pacific? I mean, what do you call it? The whole thing's not staged, but then I never even said actors. They misrepresented what I said.
[3:22:14.800 --> 3:22:21.800]  And then it turns out that they did hire some actors. Democratic Party did have some there, but I guess that was just to agitate.
[3:22:21.800 --> 3:22:22.800]  What's the best?
[3:22:22.800 --> 3:22:28.800]  You call it a set up, Alex. You set up. I mean, there are people there on both sides that actually are believing these things.
[3:22:28.800 --> 3:22:39.800]  But the problem is they're drawn in by people, these agitators that are paid at the higher levels to sort of rile everybody up to inflame the emotions to target.
[3:22:39.800 --> 3:22:42.800]  Well, that's what the ad says. The ad says to agitate.
[3:22:42.800 --> 3:22:52.800]  Yes. They want to target you right at that lizard brain, right at that deep level of your cortex. They want to go after people to fire up them so that they want violence.
[3:22:52.800 --> 3:23:00.800]  They want to commit violence and that eventually because it's the hate, they just increase the hate, they want people on both sides to hate each other.
[3:23:00.800 --> 3:23:09.800]  Alex, there are now chats that are coming out from the other side where there were people in these chat rooms of these extremist groups saying, run them over with cars.
[3:23:09.800 --> 3:23:18.800]  Run them over with cars. They were sending pictures saying, doing this, this is up on zero hedge. Anyone can see it where they were telling people to do this, putting up the images, and then eventually someone did it.
[3:23:18.800 --> 3:23:23.800]  And that's how you do. They say you manipulate people's mind by stealing them the image, generating the hate.
[3:23:23.800 --> 3:23:27.800]  Sure, just like Democrats have been saying, Republicans are going to get killed, Trump's going to get killed.
[3:23:27.800 --> 3:23:33.800]  And then finally they see Alex Jones or Jack Posoby walking down the street or David Knight and it's like, you're a Nazi. I'm going to kill you.
[3:23:33.800 --> 3:23:36.800]  I don't want to make a big deal of this because it was so crazy.
[3:23:36.800 --> 3:23:43.800]  I'm stepping and I see this car sitting there coming out of a parking garage yesterday in Seattle, right by the Weston.
[3:23:43.800 --> 3:23:50.800]  And I go, I want to stop. And then the guy doesn't go and I start stepping and he jolts it forward.
[3:23:50.800 --> 3:23:54.800]  He's going to hit me. I get back out of the way and I go, no, no, that wasn't on purpose.
[3:23:54.800 --> 3:23:59.800]  And all of a sudden the window goes down. He goes, F you Nazi. And it's like going like this.
[3:23:59.800 --> 3:24:05.800]  And I went to get out of the car, coward. And my wife's like, no, no, no, I'm like, I just can't do it. I go, get out.
[3:24:05.800 --> 3:24:11.800]  And he goes, oh, yeah, I go, just get out of the car, man. See how, you know, you're a big man. You know, you're a coward.
[3:24:11.800 --> 3:24:17.800]  And your girlfriend knows you're a coward. And then he rides along beside us for about 30 seconds going F you calling me a, you know,
[3:24:17.800 --> 3:24:20.800]  sexual names and homophobic names. You use that term. That's what I've noticed.
[3:24:20.800 --> 3:24:25.800]  So the left behind the scenes are the most racist, spewing, nastiest scum.
[3:24:25.800 --> 3:24:28.800]  But he was safe because he was in his two ton vehicle.
[3:24:28.800 --> 3:24:33.800]  He was in a, he was in a, he was in a newer model Range Rover.
[3:24:33.800 --> 3:24:35.800]  Yeah. Oh, there you go.
[3:24:35.800 --> 3:24:39.800]  But he wanted to have the semblance of a tough guy. It's like, dude, you just act like you want to run me over.
[3:24:39.800 --> 3:24:43.800]  I got enough adrenaline right now that I'm not, I'm not gonna be Mr. Tough Guy, but he's gonna have a big problem.
[3:24:43.800 --> 3:24:44.800]  Yeah.
[3:24:44.800 --> 3:24:48.800]  Anyways, what do you, but Subic, why do you think I was attacked by 97% white males?
[3:24:48.800 --> 3:24:51.800]  Are they trying to virtue signal or what's going on?
[3:24:51.800 --> 3:24:58.800]  It's partially Volch virtue signaling, but I think it's also part of this, this testosterone issue that's going on in our country,
[3:24:58.800 --> 3:25:06.800]  because men are experiencing this lower testosterone, but at the same time they have an innate desire and innate nature to be more aggressive.
[3:25:06.800 --> 3:25:08.800]  That's, that's just something it's biological.
[3:25:08.800 --> 3:25:11.800]  And the media tells him it's okay as long as it's Alex Jones.
[3:25:11.800 --> 3:25:16.800]  Right. And so you want to expound that on something. We see this in the animal world all over the place.
[3:25:16.800 --> 3:25:21.800]  So when they're told, ah, this is a target that it's okay to expend some of that testosterone.
[3:25:21.800 --> 3:25:24.800]  Because remember, these people are taught by society. They're taught by institutions.
[3:25:24.800 --> 3:25:26.800]  You have to be quiet. You have to be good. You have to be nice.
[3:25:26.800 --> 3:25:30.800]  But then they bring up Alex Jones or somebody wearing a MAGA hat and say, this is the enemy.
[3:25:30.800 --> 3:25:35.800]  Turn it all on this guy. So it's all this pent up emotion, this pent up testosterone rage.
[3:25:35.800 --> 3:25:39.800]  And then you're pointing it, directing it at one target. Unfortunately, in this case, it's you and me.
[3:25:39.800 --> 3:25:42.800]  I don't know. I looked at that guy as you're running that thing.
[3:25:42.800 --> 3:25:47.800]  I don't know if he had any testosterone coffee at you.
[3:25:47.800 --> 3:25:51.800]  But he saw me as such an enemy. He gave me an FU Nazi.
[3:25:51.800 --> 3:25:57.800]  So I said, hey, come here and tell me what you're really, why you say that runs over, starts bumping into me, throws coffee in my face.
[3:25:57.800 --> 3:26:02.800]  And it's just like, and he was getting off on walking like a goblin.
[3:26:02.800 --> 3:26:06.800]  I mean, he actually gets off on it. And it turns out he is an actor. I didn't hire him.
[3:26:06.800 --> 3:26:11.800]  But I mean, every one of these guys, you can't swing a stick in a liberal heroin den and not hit an actor.
[3:26:11.800 --> 3:26:14.800]  They're all actors or comedians.
[3:26:14.800 --> 3:26:21.800]  And we saw the same thing at the lemon statue. And I was two days before you, Alex and and these people, they had come up to you screaming,
[3:26:21.800 --> 3:26:25.800]  drive by in the cars, flipping you off, calling you a Nazi, calling you this and that.
[3:26:25.800 --> 3:26:29.800]  And I would see people on the street now and say, hi, would you like to come talk to me?
[3:26:29.800 --> 3:26:34.800]  Would you like to have a discussion about what statues we should have up or what's going on in our country, the things that are happening?
[3:26:34.800 --> 3:26:39.800]  I'm a nice guy. I'm a personable guy. I'm pretty approachable. I like to come to things with a smile on my face.
[3:26:39.800 --> 3:26:44.800]  But these people, they see it and it just triggers them. They turn on. It's like they're running in the bulls when they see the red.
[3:26:44.800 --> 3:26:47.800]  That's right. Well, they see you're successful and confident.
[3:26:47.800 --> 3:26:53.800]  And that's what scares me is they they hate success and they don't get America's where you actually have a shot at that.
[3:26:53.800 --> 3:26:59.800]  And that's this incredible videos with Owen Schreuer. We should probably plan again the next segment if you have time, David.
[3:26:59.800 --> 3:27:04.800]  They're so riveting. It took Daria like hours to bleep all these out, though, because they're cussing every three words.
[3:27:04.800 --> 3:27:09.800]  And they're saying death to America. We hate America. It's the worst country. He's like, well, why don't you leave?
[3:27:09.800 --> 3:27:17.800]  I am. I'm going to go to Switzerland. He's like, dude, you got to have $5 million in a trade they want to let you in.
[3:27:17.800 --> 3:27:25.800]  I mean, they're just so stupid. And he's like, what statue is that they're taking down? Oh, a racist? Well, who is it? We don't know.
[3:27:25.800 --> 3:27:29.800]  It's Robert E. Lee, dumbass, the former head of the Northern Army.
[3:27:29.800 --> 3:27:36.800]  I asked Owen. I said, did you ask him when the Civil War started, when it ended? Because they don't know anything about any of this.
[3:27:36.800 --> 3:27:38.800]  I mean, they're attacking statues of Lincoln.
[3:27:38.800 --> 3:27:44.800]  They don't know Robert E. Lee's father and grandfather. We're in the Revolutionary War. They don't know anything.
[3:27:44.800 --> 3:27:53.800]  No, I don't know. I know. It's crazy. But they don't think they have to know anything because they have a truth and you have a truth.
[3:27:53.800 --> 3:27:55.800]  And so it's delusion.
[3:27:55.800 --> 3:28:02.800]  They're not going to stop these statues either. They're not going to stop with these ones. They're going to turn it on and say, well, you know what?
[3:28:02.800 --> 3:28:08.800]  One day after Trump said they're going to want Jefferson, they wanted Jefferson. And it was a Hamilton actor.
[3:28:08.800 --> 3:28:15.800]  What is the works of Washington and Jefferson, the Constitution, the Declaration, the founding. You can see where this stuff is going.
[3:28:15.800 --> 3:28:17.800]  They're going to say, well, that was written by slaves.
[3:28:17.800 --> 3:28:21.800]  Oh, they admit that. They admit that. And I was talking to a guy that grew up in like Hungary under communism or was it Romanian?
[3:28:21.800 --> 3:28:26.800]  He said, first they target one little thing about the past and then they put it onto everything.
[3:28:26.800 --> 3:28:32.800]  Then they overthrow your whole system and you wake up total slaves and all they use is religion and race to control you.
[3:28:32.800 --> 3:28:35.800]  He said, I grew up there. This is it. I'm warning you.
[3:28:35.800 --> 3:28:40.800]  Yeah. Yeah. And let me tell you who started that, too. It was Nikki Haley in South Carolina.
[3:28:40.800 --> 3:28:46.800]  She found that picture, you know, the murderer, Dylan Roof, who goes in and in cold blood shoots some black people in church.
[3:28:46.800 --> 3:28:52.800]  And then they find a picture where he's got a Confederate flag and they go on a holy jihad against all symbols like that.
[3:28:52.800 --> 3:28:54.800]  And, you know, we look at the Confederate flag.
[3:28:54.800 --> 3:28:56.800]  And notice a few events. They kicked this off.
[3:28:56.800 --> 3:28:57.800]  Yeah. Sorry.
[3:28:57.800 --> 3:28:59.800]  But you look at how they co-opted that symbol.
[3:28:59.800 --> 3:29:02.800]  Well, they've also co-opted the Christian cross. The Ku Klux Klan did.
[3:29:02.800 --> 3:29:05.800]  Oh, I was about to say, that doesn't make Christian...
[3:29:05.800 --> 3:29:08.800]  The Confederate battle flag, it isn't even the flag of the South.
[3:29:08.800 --> 3:29:12.800]  But if you know what it is, it's the, what's his name? St. whatever from Scotland.
[3:29:12.800 --> 3:29:13.800]  St. Andrews.
[3:29:13.800 --> 3:29:14.800]  St. Andrews Cross.
[3:29:14.800 --> 3:29:15.800]  Yeah.
[3:29:15.800 --> 3:29:16.800]  So now Cross is...
[3:29:16.800 --> 3:29:17.800]  I mean...
[3:29:17.800 --> 3:29:22.800]  Well, they got to take it off the subway because they got a tile at a crossroads in New York City.
[3:29:22.800 --> 3:29:26.800]  So they said, that looks too much like a Confederate flag. Urge it. Take the tiles off.
[3:29:26.800 --> 3:29:30.800]  All right. Jack Masubit, great job. People should get your book and find out more.
[3:29:30.800 --> 3:29:33.800]  CitizensforTrump.com, Jack Masubit on Twitter. Amazing.
[3:29:33.800 --> 3:29:35.800]  More calls. David Knight and myself straight ahead.
[3:29:35.800 --> 3:29:37.800]  We're going right to Kevin and Jason and Barb.
[3:29:37.800 --> 3:29:39.800]  Stay with us. Infowars.com.
[3:29:39.800 --> 3:29:40.800]  They hate the website.
[3:29:40.800 --> 3:29:41.800]  NewsWars.com.
[3:29:41.800 --> 3:29:42.800]  NewsWars.com.
[3:29:42.800 --> 3:29:43.800]  NewsWars.com.
[3:29:43.800 --> 3:29:44.800]  NewsWars.com.
[3:29:44.800 --> 3:29:45.800]  And the GCN Radio Network.
[3:29:50.800 --> 3:29:52.800]  Joe Biggs here with Infowars.com.
[3:29:52.800 --> 3:29:54.800]  Today I want to talk to you about guns.
[3:29:54.800 --> 3:29:55.800]  Why we have them.
[3:29:55.800 --> 3:29:59.800]  Why the Bill of Rights guarantees that we can have them.
[3:29:59.800 --> 3:30:04.800]  And why my right to have a gun is more important than your right to rail against it in the press.
[3:30:04.800 --> 3:30:08.800]  I believe every good journalist needs to know why the Second Amendment
[3:30:08.800 --> 3:30:11.800]  must be considered more essential than the First Amendment.
[3:30:11.800 --> 3:30:14.800]  This may be a bitter pill to swallow,
[3:30:14.800 --> 3:30:18.800]  but the right to keep in bare arms is not an outdated, dusty idea
[3:30:18.800 --> 3:30:22.800]  some old dead white guys dreamed up in fear of the Redcoats.
[3:30:22.800 --> 3:30:28.800]  No, it is just as essential to liberty today as it was in 1776.
[3:30:28.800 --> 3:30:30.800]  The original amendments we refer to as the Bill of Rights
[3:30:30.800 --> 3:30:35.800]  contained ten of what the constitutional framers termed unalienable rights.
[3:30:35.800 --> 3:30:38.800]  The Bill of Rights came to us with blinders on.
[3:30:38.800 --> 3:30:41.800]  It doesn't recognize color or class or wealth.
[3:30:41.800 --> 3:30:45.800]  It protects not just the rights of actors or editors or reporters,
[3:30:45.800 --> 3:30:47.800]  but extends even to those we love to hate.
[3:30:47.800 --> 3:30:50.800]  This is a small excerpt from Tralton Heston.
[3:30:50.800 --> 3:30:55.800]  Hey, did you know that you can now preserve your own food for up to 25 years
[3:30:55.800 --> 3:30:59.800]  and still maintain its nutrition and flavor?
[3:30:59.800 --> 3:31:02.800]  That's right, now's the time to build your own food storage
[3:31:02.800 --> 3:31:05.800]  with Harvest Rights Freeze Dryers.
[3:31:05.800 --> 3:31:07.800]  Go to infowarstore.com to learn more
[3:31:07.800 --> 3:31:11.800]  and check out this innovative and smart technology that's easy to use.
[3:31:11.800 --> 3:31:12.800]  And let me tell you something.
[3:31:12.800 --> 3:31:17.800]  It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts,
[3:31:17.800 --> 3:31:19.800]  and entire meals.
[3:31:19.800 --> 3:31:20.800]  Woo, that's what I'm talking about.
[3:31:20.800 --> 3:31:23.800]  And when compared to traditional methods of preservation
[3:31:23.800 --> 3:31:27.800]  like canning or dehydrating, you know, like what you get at the grocery store,
[3:31:27.800 --> 3:31:29.800]  there is no comparison.
[3:31:29.800 --> 3:31:35.800]  Harvest Right Freeze Dryers retain 97% of the food's taste, color, and nutritional value
[3:31:35.800 --> 3:31:38.800]  and have a shelf life of up to 25 years.
[3:31:38.800 --> 3:31:42.800]  Now that's what I call the miracle of food preservation.
[3:31:42.800 --> 3:31:46.800]  Harvest Right is truly the world's best, most affordable freeze dryer.
[3:31:46.800 --> 3:31:47.800]  So what are you waiting for?
[3:31:47.800 --> 3:31:50.800]  Check it out right now at infowarstore.com.
[3:31:50.800 --> 3:31:53.800]  We've taken thousands of years of known research and put it together
[3:31:53.800 --> 3:31:58.800]  with our own four years of seeking and testing to find the very best systems
[3:31:58.800 --> 3:32:01.800]  that God gave us through Mother Nature to detoxify the body.
[3:32:01.800 --> 3:32:03.800]  That's why I'm introducing ZShield.
[3:32:03.800 --> 3:32:06.800]  Toxic metal and chemical defense support.
[3:32:06.800 --> 3:32:07.800]  It's made in the USA.
[3:32:07.800 --> 3:32:10.800]  It's filled with known compounds from nature
[3:32:10.800 --> 3:32:13.800]  that are absolutely associated with detoxifying the body
[3:32:13.800 --> 3:32:14.800]  and it supports the info war.
[3:32:14.800 --> 3:32:16.800]  It is a classical 360 win.
[3:32:16.800 --> 3:32:19.800]  This is the formula that I personally have been taking for over a year
[3:32:19.800 --> 3:32:22.800]  and now we believe we have come as close to perfection
[3:32:22.800 --> 3:32:25.800]  when it comes to a detoxifier as you can possibly get.
[3:32:25.800 --> 3:32:27.800]  You owe it to yourself, you owe it to your family,
[3:32:27.800 --> 3:32:30.800]  and you owe it to the future of this country and the world
[3:32:30.800 --> 3:32:35.800]  that patriots stay as healthy and as clean and as focused as you can be
[3:32:35.800 --> 3:32:38.800]  because we need you, the remnant of America,
[3:32:38.800 --> 3:32:40.800]  to reignite those brush fires the next level
[3:32:40.800 --> 3:32:42.800]  and to be healthy and as focused as you can be.
[3:32:42.800 --> 3:32:44.800]  Thanks to your support and your prayers together,
[3:32:44.800 --> 3:32:45.800]  we're changing the world.
[3:32:45.800 --> 3:32:48.800]  Now it's time to change our bodies with ZShield.
[3:32:48.800 --> 3:32:50.800]  www.infoarslife.com
[3:33:18.800 --> 3:33:21.800]  www.infoarslife.com
[3:33:48.800 --> 3:33:51.800]  www.infoarslife.com
[3:34:18.800 --> 3:34:21.800]  www.infoarslife.com
[3:34:48.800 --> 3:34:51.800]  www.infoarslife.com
[3:35:18.800 --> 3:35:21.800]  www.infoarslife.com
[3:35:49.800 --> 3:35:52.800]  Well, Alex, I want to talk about what happened with the USS McCain
[3:35:52.800 --> 3:35:55.800]  because this is not just the second collision in two months.
[3:35:55.800 --> 3:35:58.800]  There have been four this year in the Navy
[3:35:58.800 --> 3:36:01.800]  and we need to take a look at what's going on with this,
[3:36:01.800 --> 3:36:05.800]  especially when we have President Trump having a speech tonight
[3:36:05.800 --> 3:36:09.800]  telling us what the strategy is going to be in Afghanistan.
[3:36:09.800 --> 3:36:12.800]  I understand the difference between increasing the troops
[3:36:12.800 --> 3:36:14.800]  and having a strategy.
[3:36:14.800 --> 3:36:17.800]  Adding more troops is a tactic, but what does it mean?
[3:36:17.800 --> 3:36:20.800]  What are we going to do? What is the goal in Afghanistan?
[3:36:20.800 --> 3:36:22.800]  That's what we need to hear tonight.
[3:36:22.800 --> 3:36:24.800]  Did the generals tell them what the goal is?
[3:36:24.800 --> 3:36:27.800]  Because we have been there for 16 years.
[3:36:27.800 --> 3:36:30.800]  What is the end game here? How do we know when we have won?
[3:36:30.800 --> 3:36:32.800]  That is the strategy.
[3:36:32.800 --> 3:36:35.800]  By the way, for those that don't know of the GPS and stuff they've got now,
[3:36:35.800 --> 3:36:39.800]  for them, they're supposed to stay 50 miles generally away from any main shipping lane.
[3:36:39.800 --> 3:36:40.800]  That's just a tactic.
[3:36:40.800 --> 3:36:42.800]  I should ask Pasobik about this because he's in Naval...
[3:36:42.800 --> 3:36:44.800]  I guess he can talk about it because he's in Naval Intelligence.
[3:36:44.800 --> 3:36:49.800]  They believe the Chinese or somebody is hacking in to the GPS software.
[3:36:49.800 --> 3:36:53.800]  There's no way that two of these ships that cost almost a billion dollars a piece
[3:36:53.800 --> 3:36:55.800]  have now been rammed.
[3:36:55.800 --> 3:36:58.800]  They're being turned off.
[3:36:58.800 --> 3:37:00.800]  What do you make of this?
[3:37:00.800 --> 3:37:02.800]  Well, I don't know.
[3:37:02.800 --> 3:37:04.800]  Isn't it funny? It's John McCain?
[3:37:04.800 --> 3:37:07.800]  I know. There are some jokes that can be made there, but right now it's a tragedy.
[3:37:07.800 --> 3:37:11.800]  We have five people injured, ten people missing from that ship,
[3:37:11.800 --> 3:37:13.800]  and presumed dead because they haven't...
[3:37:13.800 --> 3:37:15.800]  Yeah, this is cyber warfare.
[3:37:15.800 --> 3:37:16.800]  And so that is the question.
[3:37:16.800 --> 3:37:17.800]  They need people...
[3:37:17.800 --> 3:37:20.800]  It shows how most pilots, they say, don't know how to land a plane anymore,
[3:37:20.800 --> 3:37:22.800]  and when there's bad weather, they don't know what to do.
[3:37:22.800 --> 3:37:25.800]  That's why these landings are so much better than I was a kid,
[3:37:25.800 --> 3:37:27.800]  because it's a damn computer doing it, excuse me.
[3:37:27.800 --> 3:37:28.800]  That's right.
[3:37:28.800 --> 3:37:31.800]  And what's happening here is, what happens when the GPS goes out?
[3:37:31.800 --> 3:37:33.800]  Or what happens...
[3:37:33.800 --> 3:37:38.800]  They need to have people with spotlights out there all night long on the ship watching.
[3:37:38.800 --> 3:37:40.800]  You don't just go off the radar or the GPS.
[3:37:40.800 --> 3:37:43.800]  But it's even more complicated than that, as this guy pointed out in USA Today,
[3:37:43.800 --> 3:37:46.800]  and he is a former naval officer.
[3:37:46.800 --> 3:37:48.800]  He says, we've had these four major incidents,
[3:37:48.800 --> 3:37:52.800]  and he said, it's not just that you've got people in the Combat Information Center
[3:37:52.800 --> 3:37:56.800]  where they have no windows and they're reliant on their machines,
[3:37:56.800 --> 3:37:59.800]  but they also do have people who are looking out.
[3:37:59.800 --> 3:38:01.800]  They have people on the bridge of the destroyer.
[3:38:01.800 --> 3:38:02.800]  There's five watchstanders.
[3:38:02.800 --> 3:38:06.800]  Then they have people who are lookouts one forward and one in the rear.
[3:38:06.800 --> 3:38:08.800]  So why are those people not seeing it?
[3:38:08.800 --> 3:38:10.800]  Perhaps it was difficult weather conditions.
[3:38:10.800 --> 3:38:15.800]  Perhaps it was at night, and maybe the visual spotters could not see it.
[3:38:15.800 --> 3:38:18.800]  And what you're talking about there in terms of the GPS being hacked,
[3:38:18.800 --> 3:38:19.800]  that's a big issue.
[3:38:19.800 --> 3:38:22.800]  But we've also had a lot of failures with military equipment.
[3:38:22.800 --> 3:38:26.800]  We've had these literal ships, which are the ships that operate in shallow waters.
[3:38:26.800 --> 3:38:32.800]  We had a $360 million ship, and after being out for 20 days,
[3:38:32.800 --> 3:38:33.800]  it had to be towed back.
[3:38:33.800 --> 3:38:35.800]  They didn't have a backup power supply.
[3:38:35.800 --> 3:38:38.800]  So when the main engines went, and that's like when Trump points out,
[3:38:38.800 --> 3:38:40.800]  we need to stop going with the easy points out.
[3:38:40.800 --> 3:38:43.800]  For 20 years, they've been trying to make these new electrical powered,
[3:38:43.800 --> 3:38:49.800]  not gas powered, air powered launch cables for the jets.
[3:38:49.800 --> 3:38:50.800]  And he says, just get rid of it.
[3:38:50.800 --> 3:38:52.800]  Because the military told him it's pure crap.
[3:38:52.800 --> 3:38:53.800]  Get rid of it.
[3:38:53.800 --> 3:38:54.800]  Go back to what works.
[3:38:54.800 --> 3:38:55.800]  Advance with what works.
[3:38:55.800 --> 3:38:57.800]  Go back with what works.
[3:38:57.800 --> 3:38:58.800]  It's just crazy.
[3:38:58.800 --> 3:39:00.800]  Kevin was doing the Air Force One, too.
[3:39:00.800 --> 3:39:01.800]  Exactly.
[3:39:01.800 --> 3:39:03.800]  Oh, and then the Russian airliner goes bankrupt.
[3:39:03.800 --> 3:39:05.800]  They never use the two jumbo jets.
[3:39:05.800 --> 3:39:08.800]  The military, the Air Force says buy them back.
[3:39:08.800 --> 3:39:09.800]  Because Trump doesn't want to spend money.
[3:39:09.800 --> 3:39:11.800]  And they spend it like, oh, see Russians.
[3:39:11.800 --> 3:39:12.800]  Russians.
[3:39:12.800 --> 3:39:13.800]  It's just crazy, folks.
[3:39:13.800 --> 3:39:15.800]  Kevin in Florida, you're on the air.
[3:39:15.800 --> 3:39:16.800]  Go ahead.
[3:39:16.800 --> 3:39:19.800]  Thank you so much, Alex.
[3:39:19.800 --> 3:39:20.800]  I'm a longtime listener.
[3:39:20.800 --> 3:39:21.800]  Thank you, sir.
[3:39:21.800 --> 3:39:26.800]  I just want to say, with our current climate, I mean, we keep on saying it,
[3:39:26.800 --> 3:39:30.800]  but I feel like we're so raised or thing close to a civil war,
[3:39:30.800 --> 3:39:35.800]  because the informed Americans aren't playing by the same set of rules
[3:39:35.800 --> 3:39:37.800]  that are allowed from the leftist scum.
[3:39:37.800 --> 3:39:41.800]  I mean, the decks are stacked against us,
[3:39:41.800 --> 3:39:43.800]  and we're fighting up a battle.
[3:39:43.800 --> 3:39:47.800]  And we're trying not to use violence, and we're trying to use information.
[3:39:47.800 --> 3:39:50.800]  But the thing that people got to understand these leftists,
[3:39:50.800 --> 3:39:51.800]  they don't want to hear that.
[3:39:51.800 --> 3:39:52.800]  They don't care.
[3:39:52.800 --> 3:39:53.800]  They're going to do what they want to do.
[3:39:53.800 --> 3:39:56.800]  They're going to push the agenda that is paying their bill.
[3:39:56.800 --> 3:40:01.800]  So I don't see any other route.
[3:40:01.800 --> 3:40:02.800]  Good point.
[3:40:02.800 --> 3:40:03.800]  Here's an example.
[3:40:03.800 --> 3:40:05.800]  And we know it was them.
