[00:00.000 --> 00:05.000]  You're listening to GCN, the world leader in independent talk radio.
[02:12:16.000 --> 02:12:26.000]  www.5starsoap.com
[02:12:27.000 --> 02:12:37.000]  www.5starsoap.com
[02:12:37.000 --> 02:12:47.000]  www.5starsoap.com
[02:12:48.000 --> 02:12:58.000]  www.5starsoap.com
[02:12:58.000 --> 02:13:08.000]  www.5starsoap.com
[02:13:09.000 --> 02:13:19.000]  www.5starsoap.com
[02:13:19.000 --> 02:13:29.000]  www.5starsoap.com
[02:13:30.000 --> 02:13:40.000]  www.5starsoap.com
[02:13:40.000 --> 02:13:50.000]  www.5starsoap.com
[02:13:51.000 --> 02:14:01.000]  www.5starsoap.com
[02:14:01.000 --> 02:14:11.000]  www.5starsoap.com
[02:14:12.000 --> 02:14:22.000]  www.5starsoap.com
[02:14:22.000 --> 02:14:32.000]  www.5starsoap.com
[02:14:33.000 --> 02:14:43.000]  www.5starsoap.com
[02:14:43.000 --> 02:14:53.000]  www.5starsoap.com
[02:14:54.000 --> 02:15:04.000]  www.5starsoap.com
[02:15:04.000 --> 02:15:14.000]  www.5starsoap.com
[02:15:15.000 --> 02:15:25.000]  www.5starsoap.com
[02:15:25.000 --> 02:15:35.000]  www.5starsoap.com
[02:15:36.000 --> 02:15:46.000]  www.5starsoap.com
[02:15:46.000 --> 02:15:56.000]  www.5starsoap.com
[02:15:57.000 --> 02:16:07.000]  www.5starsoap.com
[02:16:07.000 --> 02:16:17.000]  www.5starsoap.com
[02:16:18.000 --> 02:16:28.000]  www.5starsoap.com
[02:16:28.000 --> 02:16:38.000]  www.5starsoap.com
[02:16:39.000 --> 02:16:49.000]  www.5starsoap.com
[02:16:49.000 --> 02:16:59.000]  www.5starsoap.com
[02:17:00.000 --> 02:17:10.000]  www.5starsoap.com
[02:17:10.000 --> 02:17:20.000]  www.5starsoap.com
[02:17:21.000 --> 02:17:31.000]  www.5starsoap.com
[02:17:31.000 --> 02:17:41.000]  www.5starsoap.com
[02:17:42.000 --> 02:17:52.000]  www.5starsoap.com
[02:17:52.000 --> 02:18:02.000]  www.5starsoap.com
[02:18:03.000 --> 02:18:13.000]  www.5starsoap.com
[02:18:13.000 --> 02:18:23.000]  www.5starsoap.com
[02:18:24.000 --> 02:18:34.000]  www.5starsoap.com
[02:18:34.000 --> 02:18:44.000]  www.5starsoap.com
[02:18:45.000 --> 02:18:55.000]  www.5starsoap.com
[02:18:55.000 --> 02:19:05.000]  www.5starsoap.com
[02:19:06.000 --> 02:19:16.000]  www.5starsoap.com
[02:19:16.000 --> 02:19:26.000]  www.5starsoap.com
[02:19:27.000 --> 02:19:37.000]  www.5starsoap.com
[02:19:37.000 --> 02:19:47.000]  www.5starsoap.com
[02:19:48.000 --> 02:19:58.000]  www.5starsoap.com
[02:19:58.000 --> 02:20:08.000]  www.5starsoap.com
[02:20:09.000 --> 02:20:19.000]  www.5starsoap.com
[02:20:19.000 --> 02:20:29.000]  www.5starsoap.com
[02:20:30.000 --> 02:20:40.000]  www.5starsoap.com
[02:20:40.000 --> 02:20:50.000]  www.5starsoap.com
[02:20:51.000 --> 02:21:01.000]  www.5starsoap.com
[02:21:01.000 --> 02:21:11.000]  www.5starsoap.com
[02:21:12.000 --> 02:21:22.000]  www.5starsoap.com
[02:21:22.000 --> 02:21:32.000]  www.5starsoap.com
[02:21:33.000 --> 02:21:43.000]  www.5starsoap.com
[02:21:43.000 --> 02:21:53.000]  www.5starsoap.com
[02:21:54.000 --> 02:22:04.000]  www.5starsoap.com
[02:22:04.000 --> 02:22:14.000]  www.5starsoap.com
[02:22:15.000 --> 02:22:25.000]  www.5starsoap.com
[02:22:25.000 --> 02:22:35.000]  www.5starsoap.com
[02:22:36.000 --> 02:22:46.000]  www.5starsoap.com
[02:22:46.000 --> 02:22:56.000]  www.5starsoap.com
[02:22:57.000 --> 02:23:07.000]  www.5starsoap.com
[02:23:07.000 --> 02:23:17.000]  www.5starsoap.com
[02:23:18.000 --> 02:23:28.000]  www.5starsoap.com
[02:23:28.000 --> 02:23:38.000]  www.5starsoap.com
[02:23:39.000 --> 02:23:49.000]  www.5starsoap.com
[02:23:49.000 --> 02:23:59.000]  www.5starsoap.com
[02:24:00.000 --> 02:24:10.000]  www.5starsoap.com
[02:24:10.000 --> 02:24:20.000]  www.5starsoap.com
[02:24:21.000 --> 02:24:31.000]  www.5starsoap.com
[02:24:31.000 --> 02:24:41.000]  www.5starsoap.com
[02:24:42.000 --> 02:24:52.000]  www.5starsoap.com
[02:24:52.000 --> 02:25:02.000]  www.5starsoap.com
[02:25:03.000 --> 02:25:13.000]  www.5starsoap.com
[02:25:13.000 --> 02:25:23.000]  www.5starsoap.com
[02:25:24.000 --> 02:25:34.000]  www.5starsoap.com
[02:25:34.000 --> 02:25:44.000]  www.5starsoap.com
[02:25:45.000 --> 02:25:55.000]  www.5starsoap.com
[02:25:55.000 --> 02:26:05.000]  www.5starsoap.com
[02:26:06.000 --> 02:26:16.000]  www.5starsoap.com
[02:26:16.000 --> 02:26:26.000]  www.5starsoap.com
[02:26:27.000 --> 02:26:37.000]  www.5starsoap.com
[02:26:37.000 --> 02:26:47.000]  www.5starsoap.com
[02:26:48.000 --> 02:26:57.000]  www.5starsoap.com
[02:26:57.000 --> 02:27:07.000]  www.5starsoap.com
[02:27:08.000 --> 02:27:18.000]  www.5starsoap.com
[02:27:18.000 --> 02:27:28.000]  www.5starsoap.com
[02:27:29.000 --> 02:27:39.000]  www.5starsoap.com
[02:27:39.000 --> 02:27:49.000]  www.5starsoap.com
[02:27:50.000 --> 02:27:59.000]  www.5starsoap.com
[02:27:59.000 --> 02:28:09.000]  www.5starsoap.com
[02:28:10.000 --> 02:28:20.000]  www.5starsoap.com
[02:28:20.000 --> 02:28:30.000]  www.5starsoap.com
[02:28:31.000 --> 02:28:41.000]  www.5starsoap.com
[02:28:41.000 --> 02:28:51.000]  www.5starsoap.com
[02:28:52.000 --> 02:29:02.000]  www.5starsoap.com
[02:29:02.000 --> 02:29:12.000]  www.5starsoap.com
[02:29:13.000 --> 02:29:23.000]  www.5starsoap.com
[02:29:23.000 --> 02:29:33.000]  www.5starsoap.com
[02:29:34.000 --> 02:29:44.000]  www.5starsoap.com
[02:29:44.000 --> 02:29:54.000]  www.5starsoap.com
[02:29:55.000 --> 02:30:04.000]  www.5starsoap.com
[02:30:04.000 --> 02:30:14.000]  www.5starsoap.com
[02:30:15.000 --> 02:30:24.000]  www.5starsoap.com
[02:30:24.000 --> 02:30:34.000]  www.5starsoap.com
[02:30:35.000 --> 02:30:44.000]  www.5starsoap.com
[02:30:44.000 --> 02:30:54.000]  www.5starsoap.com
[02:30:55.000 --> 02:31:04.000]  www.5starsoap.com
[02:31:04.000 --> 02:31:14.000]  www.5starsoap.com
[02:31:15.000 --> 02:31:25.000]  www.5starsoap.com
[02:31:25.000 --> 02:31:35.000]  www.5starsoap.com
[02:31:36.000 --> 02:31:46.000]  www.5starsoap.com
[02:31:46.000 --> 02:31:56.000]  www.5starsoap.com
[02:31:57.000 --> 02:32:07.000]  www.5starsoap.com
[02:32:07.000 --> 02:32:17.000]  www.5starsoap.com
[02:32:18.000 --> 02:32:28.000]  www.5starsoap.com
[02:32:28.000 --> 02:32:38.000]  www.5starsoap.com
[02:32:39.000 --> 02:32:49.000]  www.5starsoap.com
[02:32:49.000 --> 02:32:59.000]  www.5starsoap.com
[02:33:00.000 --> 02:33:10.000]  www.5starsoap.com
[02:33:10.000 --> 02:33:20.000]  www.5starsoap.com
[02:33:21.000 --> 02:33:30.000]  www.5starsoap.com
[02:33:30.000 --> 02:33:40.000]  www.5starsoap.com
[02:33:41.000 --> 02:33:51.000]  www.5starsoap.com
[02:33:51.000 --> 02:34:01.000]  www.5starsoap.com
[02:34:02.000 --> 02:34:12.000]  www.5starsoap.com
[02:34:12.000 --> 02:34:22.000]  www.5starsoap.com
[02:34:23.000 --> 02:34:33.000]  www.5starsoap.com
[02:34:33.000 --> 02:34:43.000]  www.5starsoap.com
[02:34:44.000 --> 02:34:54.000]  www.5starsoap.com
[02:34:54.000 --> 02:35:04.000]  www.5starsoap.com
[02:35:05.000 --> 02:35:15.000]  www.5starsoap.com
[02:35:15.000 --> 02:35:25.000]  www.5starsoap.com
[02:35:26.000 --> 02:35:36.000]  www.5starsoap.com
[02:35:36.000 --> 02:35:46.000]  www.5starsoap.com
[02:35:47.000 --> 02:35:57.000]  www.5starsoap.com
[02:35:57.000 --> 02:36:07.000]  www.5starsoap.com
[02:36:08.000 --> 02:36:18.000]  www.5starsoap.com
[02:36:18.000 --> 02:36:28.000]  www.5starsoap.com
[02:36:29.000 --> 02:36:39.000]  www.5starsoap.com
[02:36:39.000 --> 02:36:49.000]  www.5starsoap.com
[02:36:50.000 --> 02:37:00.000]  www.5starsoap.com
[02:37:00.000 --> 02:37:10.000]  www.5starsoap.com
[02:37:11.000 --> 02:37:21.000]  www.5starsoap.com
[02:37:21.000 --> 02:37:31.000]  www.5starsoap.com
[02:37:32.000 --> 02:37:42.000]  www.5starsoap.com
[02:37:42.000 --> 02:37:52.000]  www.5starsoap.com
[02:37:53.000 --> 02:38:03.000]  www.5starsoap.com
[02:38:03.000 --> 02:38:13.000]  www.5starsoap.com
[02:38:14.000 --> 02:38:24.000]  www.5starsoap.com
[02:38:24.000 --> 02:38:34.000]  www.5starsoap.com
[02:38:35.000 --> 02:38:45.000]  www.5starsoap.com
[02:38:45.000 --> 02:38:55.000]  www.5starsoap.com
[02:38:56.000 --> 02:39:06.000]  www.5starsoap.com
[02:39:06.000 --> 02:39:16.000]  www.5starsoap.com
[02:39:17.000 --> 02:39:26.000]  www.5starsoap.com
[02:39:26.000 --> 02:39:36.000]  www.5starsoap.com
[02:39:37.000 --> 02:39:46.000]  www.5starsoap.com
[02:39:46.000 --> 02:39:56.000]  www.5starsoap.com
[02:39:57.000 --> 02:40:07.000]  www.5starsoap.com
[02:40:07.000 --> 02:40:17.000]  www.5starsoap.com
[02:40:18.000 --> 02:40:28.000]  www.5starsoap.com
[02:40:28.000 --> 02:40:38.000]  www.5starsoap.com
[02:40:39.000 --> 02:40:49.000]  www.5starsoap.com
[02:40:49.000 --> 02:40:59.000]  www.5starsoap.com
[02:41:00.000 --> 02:41:10.000]  www.5starsoap.com
[02:41:10.000 --> 02:41:20.000]  www.5starsoap.com
[02:41:21.000 --> 02:41:31.000]  www.5starsoap.com
[02:41:31.000 --> 02:41:41.000]  www.5starsoap.com
[02:41:42.000 --> 02:41:52.000]  www.5starsoap.com
[02:41:52.000 --> 02:42:02.000]  www.5starsoap.com
[02:42:03.000 --> 02:42:13.000]  www.5starsoap.com
[02:42:13.000 --> 02:42:23.000]  www.5starsoap.com
[02:42:24.000 --> 02:42:34.000]  www.5starsoap.com
[02:42:34.000 --> 02:42:44.000]  www.5starsoap.com
[02:42:45.000 --> 02:42:55.000]  www.5starsoap.com
[02:42:55.000 --> 02:43:05.000]  www.5starsoap.com
[02:43:06.000 --> 02:43:16.000]  www.5starsoap.com
[02:43:16.000 --> 02:43:26.000]  www.5starsoap.com
[02:43:27.000 --> 02:43:37.000]  www.5starsoap.com
[02:43:37.000 --> 02:43:47.000]  www.5starsoap.com
[02:43:48.000 --> 02:43:58.000]  www.5starsoap.com
[02:43:58.000 --> 02:44:08.000]  www.5starsoap.com
[02:44:09.000 --> 02:44:19.000]  www.5starsoap.com
[02:44:19.000 --> 02:44:29.000]  www.5starsoap.com
[02:44:30.000 --> 02:44:40.000]  www.5starsoap.com
[02:44:40.000 --> 02:44:50.000]  www.5starsoap.com
[02:44:51.000 --> 02:45:01.000]  www.5starsoap.com
[02:45:01.000 --> 02:45:11.000]  www.5starsoap.com
[02:45:12.000 --> 02:45:22.000]  www.5starsoap.com
[02:45:22.000 --> 02:45:32.000]  www.5starsoap.com
[02:45:33.000 --> 02:45:43.000]  www.5starsoap.com
[02:45:43.000 --> 02:45:53.000]  www.5starsoap.com
[02:45:54.000 --> 02:46:03.000]  www.5starsoap.com
[02:46:03.000 --> 02:46:13.000]  www.5starsoap.com
[02:46:14.000 --> 02:46:24.000]  www.5starsoap.com
[02:46:24.000 --> 02:46:34.000]  www.5starsoap.com
[02:46:35.000 --> 02:46:45.000]  www.5starsoap.com
[02:46:45.000 --> 02:46:55.000]  www.5starsoap.com
[02:46:56.000 --> 02:47:06.000]  www.5starsoap.com
[02:47:06.000 --> 02:47:16.000]  www.5starsoap.com
[02:47:17.000 --> 02:47:27.000]  www.5starsoap.com
[02:47:27.000 --> 02:47:37.000]  www.5starsoap.com
[02:47:38.000 --> 02:47:48.000]  www.5starsoap.com
[02:47:48.000 --> 02:47:58.000]  www.5starsoap.com
[02:47:59.000 --> 02:48:09.000]  www.5starsoap.com
[02:48:09.000 --> 02:48:19.000]  www.5starsoap.com
[02:48:20.000 --> 02:48:30.000]  www.5starsoap.com
[02:48:30.000 --> 02:48:40.000]  www.5starsoap.com
[02:48:41.000 --> 02:48:51.000]  www.5starsoap.com
[02:48:51.000 --> 02:49:01.000]  www.5starsoap.com
[02:49:02.000 --> 02:49:12.000]  www.5starsoap.com
[02:49:12.000 --> 02:49:22.000]  www.5starsoap.com
[02:49:23.000 --> 02:49:33.000]  www.5starsoap.com
[02:49:33.000 --> 02:49:43.000]  www.5starsoap.com
[02:49:44.000 --> 02:49:54.000]  www.5starsoap.com
[02:49:54.000 --> 02:50:04.000]  www.5starsoap.com
[02:50:05.000 --> 02:50:15.000]  www.5starsoap.com
[02:50:15.000 --> 02:50:25.000]  www.5starsoap.com
[02:50:26.000 --> 02:50:36.000]  www.5starsoap.com
[02:50:36.000 --> 02:50:46.000]  www.5starsoap.com
[02:50:47.000 --> 02:50:57.000]  www.5starsoap.com
[02:50:57.000 --> 02:51:07.000]  www.5starsoap.com
[02:51:08.000 --> 02:51:18.000]  www.5starsoap.com
[02:51:18.000 --> 02:51:28.000]  www.5starsoap.com
[02:51:29.000 --> 02:51:39.000]  www.5starsoap.com
[02:51:39.000 --> 02:51:49.000]  www.5starsoap.com
[02:51:50.000 --> 02:51:59.000]  www.5starsoap.com
[02:51:59.000 --> 02:52:09.000]  www.5starsoap.com
[02:52:10.000 --> 02:52:19.000]  www.5starsoap.com
[02:52:19.000 --> 02:52:29.000]  www.5starsoap.com
[02:52:30.000 --> 02:52:39.000]  www.5starsoap.com
[02:52:39.000 --> 02:52:49.000]  www.5starsoap.com
[02:52:50.000 --> 02:53:00.000]  www.5starsoap.com
[02:53:00.000 --> 02:53:10.000]  www.5starsoap.com
[02:53:11.000 --> 02:53:21.000]  www.5starsoap.com
[02:53:21.000 --> 02:53:31.000]  www.5starsoap.com
[02:53:32.000 --> 02:53:42.000]  www.5starsoap.com
[02:53:42.000 --> 02:53:52.000]  www.5starsoap.com
[02:53:53.000 --> 02:54:02.000]  www.5starsoap.com
[02:54:02.000 --> 02:54:12.000]  www.5starsoap.com
[02:54:13.000 --> 02:54:23.000]  www.5starsoap.com
[02:54:23.000 --> 02:54:33.000]  www.5starsoap.com
[02:54:34.000 --> 02:54:44.000]  www.5starsoap.com
[02:54:44.000 --> 02:54:54.000]  www.5starsoap.com
[02:54:55.000 --> 02:55:05.000]  www.5starsoap.com
[02:55:05.000 --> 02:55:15.000]  www.5starsoap.com
[02:55:16.000 --> 02:55:26.000]  www.5starsoap.com
[02:55:26.000 --> 02:55:36.000]  www.5starsoap.com
[02:55:37.000 --> 02:55:47.000]  www.5starsoap.com
[02:55:47.000 --> 02:55:57.000]  www.5starsoap.com
[02:55:58.000 --> 02:56:08.000]  www.5starsoap.com
[02:56:08.000 --> 02:56:18.000]  www.5starsoap.com
[02:56:19.000 --> 02:56:29.000]  www.5starsoap.com
[02:56:29.000 --> 02:56:39.000]  www.5starsoap.com
[02:56:40.000 --> 02:56:50.000]  www.5starsoap.com
[02:56:50.000 --> 02:57:00.000]  www.5starsoap.com
[02:57:01.000 --> 02:57:11.000]  www.5starsoap.com
[02:57:11.000 --> 02:57:21.000]  www.5starsoap.com
[02:57:22.000 --> 02:57:32.000]  www.5starsoap.com
[02:57:32.000 --> 02:57:42.000]  www.5starsoap.com
[02:57:43.000 --> 02:57:53.000]  www.5starsoap.com
[02:57:53.000 --> 02:58:03.000]  www.5starsoap.com
[02:58:04.000 --> 02:58:14.000]  www.5starsoap.com
[02:58:14.000 --> 02:58:24.000]  www.5starsoap.com
[02:58:25.000 --> 02:58:35.000]  www.5starsoap.com
[02:58:35.000 --> 02:58:45.000]  www.5starsoap.com
[02:58:46.000 --> 02:58:55.000]  www.5starsoap.com
[02:58:55.000 --> 02:59:05.000]  www.5starsoap.com
[02:59:06.000 --> 02:59:15.000]  www.5starsoap.com
[02:59:15.000 --> 02:59:25.000]  www.5starsoap.com
[02:59:26.000 --> 02:59:35.000]  www.5starsoap.com
[02:59:35.000 --> 02:59:45.000]  www.5starsoap.com
[02:59:46.000 --> 02:59:55.000]  www.5starsoap.com
[02:59:55.000 --> 03:00:05.000]  www.5starsoap.com
[03:00:06.000 --> 03:00:16.000]  www.5starsoap.com
[03:00:16.000 --> 03:00:26.000]  www.5starsoap.com
[03:00:27.000 --> 03:00:37.000]  www.5starsoap.com
[03:00:37.000 --> 03:00:47.000]  www.5starsoap.com
[03:00:48.000 --> 03:00:58.000]  www.5starsoap.com
[03:00:58.000 --> 03:01:08.000]  www.5starsoap.com
[03:01:09.000 --> 03:01:19.000]  www.5starsoap.com
[03:01:19.000 --> 03:01:29.000]  www.5starsoap.com
[03:01:30.000 --> 03:01:39.000]  www.5starsoap.com
[03:01:39.000 --> 03:01:49.000]  www.5starsoap.com
[03:01:50.000 --> 03:02:00.000]  www.5starsoap.com
[03:02:00.000 --> 03:02:10.000]  www.5starsoap.com
[03:02:11.000 --> 03:02:21.000]  www.5starsoap.com
[03:02:21.000 --> 03:02:31.000]  www.5starsoap.com
[03:02:32.000 --> 03:02:42.000]  www.5starsoap.com
[03:02:42.000 --> 03:02:52.000]  www.5starsoap.com
[03:02:53.000 --> 03:03:03.000]  www.5starsoap.com
[03:03:03.000 --> 03:03:13.000]  www.5starsoap.com
[03:03:14.000 --> 03:03:24.000]  www.5starsoap.com
[03:03:24.000 --> 03:03:34.000]  www.5starsoap.com
[03:03:35.000 --> 03:03:45.000]  www.5starsoap.com
[03:03:45.000 --> 03:03:55.000]  www.5starsoap.com
[03:03:56.000 --> 03:04:06.000]  www.5starsoap.com
[03:04:06.000 --> 03:04:16.000]  www.5starsoap.com
[03:04:17.000 --> 03:04:27.000]  www.5starsoap.com
[03:04:27.000 --> 03:04:37.000]  www.5starsoap.com
[03:04:38.000 --> 03:04:48.000]  www.5starsoap.com
[03:04:48.000 --> 03:04:58.000]  www.5starsoap.com
[03:04:59.000 --> 03:05:09.000]  www.5starsoap.com
[03:05:09.000 --> 03:05:19.000]  www.5starsoap.com
[03:05:20.000 --> 03:05:30.000]  www.5starsoap.com
[03:05:30.000 --> 03:05:40.000]  www.5starsoap.com
[03:05:41.000 --> 03:05:51.000]  www.5starsoap.com
[03:05:51.000 --> 03:06:01.000]  www.5starsoap.com
[03:06:02.000 --> 03:06:11.000]  www.5starsoap.com
[03:06:11.000 --> 03:06:21.000]  www.5starsoap.com
[03:06:22.000 --> 03:06:31.000]  www.5starsoap.com
[03:06:31.000 --> 03:06:41.000]  www.5starsoap.com
[03:06:42.000 --> 03:06:51.000]  www.5starsoap.com
[03:06:51.000 --> 03:07:01.000]  www.5starsoap.com
[03:07:02.000 --> 03:07:12.000]  www.5starsoap.com
[03:07:12.000 --> 03:07:22.000]  www.5starsoap.com
[03:07:23.000 --> 03:07:33.000]  www.5starsoap.com
[03:07:33.000 --> 03:07:43.000]  www.5starsoap.com
[03:07:44.000 --> 03:07:53.000]  www.5starsoap.com
[03:07:53.000 --> 03:08:03.000]  www.5starsoap.com
[03:08:04.000 --> 03:08:13.000]  www.5starsoap.com
[03:08:13.000 --> 03:08:23.000]  www.5starsoap.com
[03:08:24.000 --> 03:08:33.000]  www.5starsoap.com
[03:08:33.000 --> 03:08:43.000]  www.5starsoap.com
[03:08:44.000 --> 03:08:53.000]  www.5starsoap.com
[03:08:53.000 --> 03:09:03.000]  www.5starsoap.com
[03:09:04.000 --> 03:09:14.000]  www.5starsoap.com
[03:09:14.000 --> 03:09:24.000]  www.5starsoap.com
[03:09:25.000 --> 03:09:35.000]  www.5starsoap.com
[03:09:35.000 --> 03:09:45.000]  www.5starsoap.com
[03:09:46.000 --> 03:09:56.000]  www.5starsoap.com
[03:09:56.000 --> 03:10:06.000]  www.5starsoap.com
[03:10:07.000 --> 03:10:17.000]  www.5starsoap.com
[03:10:17.000 --> 03:10:27.000]  www.5starsoap.com
[03:10:28.000 --> 03:10:38.000]  www.5starsoap.com
[03:10:38.000 --> 03:10:48.000]  www.5starsoap.com
[03:10:49.000 --> 03:10:59.000]  www.5starsoap.com
[03:10:59.000 --> 03:11:09.000]  www.5starsoap.com
[03:11:10.000 --> 03:11:20.000]  www.5starsoap.com
[03:11:20.000 --> 03:11:30.000]  www.5starsoap.com
[03:11:31.000 --> 03:11:41.000]  www.5starsoap.com
[03:11:41.000 --> 03:11:51.000]  www.5starsoap.com
[03:11:52.000 --> 03:12:01.000]  www.5starsoap.com
[03:12:01.000 --> 03:12:11.000]  www.5starsoap.com
[03:12:12.000 --> 03:12:22.000]  www.5starsoap.com
[03:12:22.000 --> 03:12:32.000]  www.5starsoap.com
[03:12:33.000 --> 03:12:43.000]  www.5starsoap.com
[03:12:43.000 --> 03:12:53.000]  www.5starsoap.com
[03:12:54.000 --> 03:13:04.000]  www.5starsoap.com
[03:13:04.000 --> 03:13:14.000]  www.5starsoap.com
[03:13:15.000 --> 03:13:25.000]  www.5starsoap.com
[03:13:25.000 --> 03:13:35.000]  www.5starsoap.com
[03:13:36.000 --> 03:13:46.000]  www.5starsoap.com
[03:13:46.000 --> 03:13:56.000]  www.5starsoap.com
[03:13:57.000 --> 03:14:07.000]  www.5starsoap.com
[03:14:07.000 --> 03:14:17.000]  www.5starsoap.com
[03:14:18.000 --> 03:14:28.000]  www.5starsoap.com
[03:14:28.000 --> 03:14:38.000]  www.5starsoap.com
[03:14:39.000 --> 03:14:49.000]  www.5starsoap.com
[03:14:49.000 --> 03:14:59.000]  www.5starsoap.com
[03:15:00.000 --> 03:15:10.000]  www.5starsoap.com
[03:15:10.000 --> 03:15:20.000]  www.5starsoap.com
[03:15:21.000 --> 03:15:31.000]  www.5starsoap.com
[03:15:31.000 --> 03:15:41.000]  www.5starsoap.com
[03:15:42.000 --> 03:15:52.000]  www.5starsoap.com
[03:15:52.000 --> 03:16:02.000]  www.5starsoap.com
[03:16:03.000 --> 03:16:13.000]  www.5starsoap.com
[03:16:13.000 --> 03:16:23.000]  www.5starsoap.com
[03:16:24.000 --> 03:16:34.000]  www.5starsoap.com
[03:16:34.000 --> 03:16:44.000]  www.5starsoap.com
[03:16:45.000 --> 03:16:55.000]  www.5starsoap.com
[03:16:55.000 --> 03:17:05.000]  www.5starsoap.com
[03:17:06.000 --> 03:17:16.000]  www.5starsoap.com
[03:17:16.000 --> 03:17:26.000]  www.5starsoap.com
[03:17:27.000 --> 03:17:37.000]  www.5starsoap.com
[03:17:37.000 --> 03:17:47.000]  www.5starsoap.com
[03:17:48.000 --> 03:17:58.000]  www.5starsoap.com
[03:17:58.000 --> 03:18:08.000]  www.5starsoap.com
[03:18:09.000 --> 03:18:19.000]  www.5starsoap.com
[03:18:19.000 --> 03:18:29.000]  www.5starsoap.com
[03:18:30.000 --> 03:18:40.000]  www.5starsoap.com
[03:18:40.000 --> 03:18:50.000]  www.5starsoap.com
[03:18:51.000 --> 03:19:01.000]  www.5starsoap.com
[03:19:01.000 --> 03:19:11.000]  www.5starsoap.com
[03:19:12.000 --> 03:19:22.000]  www.5starsoap.com
[03:19:22.000 --> 03:19:32.000]  www.5starsoap.com
[03:19:33.000 --> 03:19:43.000]  www.5starsoap.com
[03:19:43.000 --> 03:19:53.000]  www.5starsoap.com
[03:19:54.000 --> 03:20:04.000]  www.5starsoap.com
[03:20:04.000 --> 03:20:14.000]  www.5starsoap.com
[03:20:15.000 --> 03:20:25.000]  www.5starsoap.com
[03:20:25.000 --> 03:20:35.000]  www.5starsoap.com
[03:20:36.000 --> 03:20:45.000]  www.5starsoap.com
[03:20:45.000 --> 03:20:55.000]  www.5starsoap.com
[03:20:56.000 --> 03:21:06.000]  www.5starsoap.com
[03:21:06.000 --> 03:21:16.000]  www.5starsoap.com
[03:21:17.000 --> 03:21:26.000]  www.5starsoap.com
[03:21:26.000 --> 03:21:36.000]  www.5starsoap.com
[03:21:37.000 --> 03:21:46.000]  www.5starsoap.com
[03:21:46.000 --> 03:21:56.000]  www.5starsoap.com
[03:21:57.000 --> 03:22:06.000]  www.5starsoap.com
[03:22:06.000 --> 03:22:16.000]  www.5starsoap.com
[03:22:17.000 --> 03:22:26.000]  www.5starsoap.com
[03:22:26.000 --> 03:22:36.000]  www.5starsoap.com
[03:22:37.000 --> 03:22:47.000]  www.5starsoap.com
[03:22:47.000 --> 03:22:57.000]  www.5starsoap.com
[03:22:58.000 --> 03:23:08.000]  www.5starsoap.com
[03:23:08.000 --> 03:23:18.000]  www.5starsoap.com
[03:23:19.000 --> 03:23:28.000]  www.5starsoap.com
[03:23:28.000 --> 03:23:38.000]  www.5starsoap.com
[03:23:39.000 --> 03:23:48.000]  www.5starsoap.com
[03:23:48.000 --> 03:23:58.000]  www.5starsoap.com
[03:23:59.000 --> 03:24:08.000]  www.5starsoap.com
[03:24:08.000 --> 03:24:18.000]  www.5starsoap.com
[03:24:19.000 --> 03:24:29.000]  www.5starsoap.com
[03:24:29.000 --> 03:24:39.000]  www.5starsoap.com
[03:24:40.000 --> 03:24:50.000]  www.5starsoap.com
[03:24:50.000 --> 03:25:00.000]  www.5starsoap.com
[03:25:01.000 --> 03:25:11.000]  www.5starsoap.com
[03:25:11.000 --> 03:25:21.000]  www.5starsoap.com
[03:25:22.000 --> 03:25:32.000]  www.5starsoap.com
[03:25:32.000 --> 03:25:42.000]  www.5starsoap.com
[03:25:43.000 --> 03:25:53.000]  www.5starsoap.com
[03:25:53.000 --> 03:26:03.000]  www.5starsoap.com
[03:26:04.000 --> 03:26:14.000]  www.5starsoap.com
[03:26:14.000 --> 03:26:24.000]  www.5starsoap.com
[03:26:25.000 --> 03:26:35.000]  www.5starsoap.com
[03:26:35.000 --> 03:26:45.000]  www.5starsoap.com
[03:26:46.000 --> 03:26:56.000]  www.5starsoap.com
[03:26:56.000 --> 03:27:06.000]  www.5starsoap.com
[03:27:07.000 --> 03:27:17.000]  www.5starsoap.com
[03:27:17.000 --> 03:27:27.000]  www.5starsoap.com
[03:27:28.000 --> 03:27:38.000]  www.5starsoap.com
[03:27:38.000 --> 03:27:48.000]  www.5starsoap.com
[03:27:49.000 --> 03:27:59.000]  www.5starsoap.com
[03:27:59.000 --> 03:28:09.000]  www.5starsoap.com
[03:28:10.000 --> 03:28:20.000]  www.5starsoap.com
[03:28:20.000 --> 03:28:30.000]  www.5starsoap.com
[03:28:31.000 --> 03:28:40.000]  www.5starsoap.com
[03:28:40.000 --> 03:28:50.000]  www.5starsoap.com
[03:28:51.000 --> 03:29:00.000]  www.5starsoap.com
[03:29:00.000 --> 03:29:10.000]  www.5starsoap.com
[03:29:11.000 --> 03:29:21.000]  www.5starsoap.com
[03:29:21.000 --> 03:29:31.000]  www.5starsoap.com
[03:29:32.000 --> 03:29:42.000]  www.5starsoap.com
[03:29:42.000 --> 03:29:52.000]  www.5starsoap.com
[03:29:53.000 --> 03:30:03.000]  www.5starsoap.com
[03:30:03.000 --> 03:30:13.000]  www.5starsoap.com
