[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[03:17:26.823 --> 03:17:35.908]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[03:17:37.228 --> 03:17:38.910]  I don't take the credit.
[03:17:38.910 --> 03:17:40.632]  I give you the credit.
[03:17:40.632 --> 03:17:43.255]  And now InfoWars is facing its darkest hours.
[03:17:43.255 --> 03:17:44.857]  It isn't going to give up.
[03:17:44.857 --> 03:17:46.699]  Without your support, we could be shut down.
[03:17:46.699 --> 03:17:49.983]  Please go to SaveInfoWars.com today.
[03:17:49.983 --> 03:17:53.648]  SaveInfoWars.com today and donate for our legal defense fund.
[03:17:56.246 --> 03:17:58.609]  Fluoride is the enemy.
[03:17:58.609 --> 03:18:00.210]  It's the bad halogen.
[03:18:00.210 --> 03:18:04.054]  To the same family as chlorine, bromide, you name it.
[03:18:04.054 --> 03:18:05.736]  What's the good halogen?
[03:18:05.736 --> 03:18:08.539]  Ladies and gentlemen, it is iodine.
[03:18:08.539 --> 03:18:14.625]  And we have the highest quality iodine you're going to find anywhere, exclusively at InfoWarStore.com.
[03:18:15.686 --> 03:18:27.755]  It is X3 triiodine, the deep earth crystal iodine, and two other healthy types that help absorb it better into the cells for all cellular function and for energy and so much more.
[03:18:27.755 --> 03:18:33.159]  Get your X3 exclusively today at InfoWarStore.com.
[03:18:33.159 --> 03:18:38.723]  It funds the Info War, but more importantly, it energizes your body and every cellular function.
[03:18:38.723 --> 03:18:40.625]  Takes about two weeks for it to kick in.
[03:18:40.625 --> 03:18:42.486]  A couple drops every day under the tongue.
[03:18:42.486 --> 03:18:43.167]  Experience
[03:18:43.587 --> 03:18:46.268]  X3 today, back in stock, 50% off at InfoWarStore.com.
[03:18:46.268 --> 03:18:48.269]  X3 at InfoWarStore.com.
[03:18:48.269 --> 03:18:48.289]  X3.
[03:18:58.733 --> 03:19:00.535]  X3.
[03:19:00.535 --> 03:19:09.342]  It stands for tri-iodine, or all three types of iodine that the body needs to be healthy and survive and thrive.
[03:19:09.342 --> 03:19:13.746]  It boosts your libido, your energy, your stamina, your immune system.
[03:19:13.746 --> 03:19:17.129]  X3 is the ultimate iodine product on the market.
[03:19:17.129 --> 03:19:23.014]  It's back in stock at Infowarshore.com for 50% off, and it funds the Infowar.
[03:19:23.995 --> 03:19:26.097]  So many of you are on the fence.
[03:19:26.097 --> 03:19:27.478]  You know our information is powerful.
[03:19:27.478 --> 03:19:28.779]  You know it's changed the world.
[03:19:28.779 --> 03:19:37.545]  Try the products at InfoWarsTore.com and start with X3 Tri-Iodine.
[03:19:37.545 --> 03:19:38.206]  50% off.
[03:19:38.206 --> 03:19:39.827]  InfoWarsTore.com.
[03:19:39.827 --> 03:19:41.848]  It takes about two weeks to kick in.
[03:19:41.848 --> 03:19:43.850]  An aspirin kicks in in 30 minutes.
[03:19:43.850 --> 03:19:45.431]  Tylenol kicks in in 30 minutes.
[03:19:45.431 --> 03:19:48.133]  This kicks in in about two weeks on average.
[03:19:48.133 --> 03:19:49.934]  You need to experience it.
[03:19:49.934 --> 03:19:50.414]  Don't wait.
[03:19:51.235 --> 03:19:52.376]  You'll be impressed.
[03:19:52.376 --> 03:19:53.916]  Infowarstore.com.
[03:19:53.916 --> 03:19:56.678]  X3.
[03:19:56.678 --> 03:20:07.323]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:07.323 --> 03:20:12.405]  From the front lines of the Information War, it's Alex Jones.
[03:20:14.861 --> 03:20:17.304]  They're not bothered at why, as long as we do them.
[03:20:17.304 --> 03:20:21.550]  And notice the point is made that it equalizes the forces to keep it going forever.
[03:20:21.550 --> 03:20:22.632]  It's an energy transference.
[03:20:23.371 --> 03:20:28.392]  Yeah, well, this is a point I've made in the books over the years.
[03:20:28.392 --> 03:20:31.893]  This is why I say we don't need to fight.
[03:20:31.893 --> 03:20:35.394]  The last thing we do is fight this force.
[03:20:35.394 --> 03:20:38.255]  What we do is cease to cooperate with it.
[03:20:38.255 --> 03:20:42.616]  And one way we cooperate with it is the fight.
[03:20:42.616 --> 03:20:51.618]  So if you've got an electrical circuit, you need two polarities, and the electrical charge goes between them.
[03:20:52.452 --> 03:21:10.120]  So when you refuse to take part, then that force which wants to set up an electrical interaction with you, so it vampires your energy, suddenly it's one hand clapping.
[03:21:10.120 --> 03:21:14.302]  It's got no way of setting up that connection because you're not having it.
[03:21:15.091 --> 03:21:16.952]  You don't want to fight it.
[03:21:16.952 --> 03:21:19.294]  What you want to do is cease to cooperate with it.
[03:21:19.294 --> 03:21:25.137]  And that's why the power of no is so fundamental.
[03:21:25.137 --> 03:21:28.419]  The power of no has ended every tyranny in history.
[03:21:28.419 --> 03:21:29.540]  The power of no says
[03:21:30.612 --> 03:21:33.455]  I can see what you're doing.
[03:21:33.455 --> 03:21:35.657]  I can see why you're doing it.
[03:21:35.657 --> 03:21:38.040]  And I'm not playing your game.
[03:21:38.040 --> 03:21:40.242]  I'm not being a pawn in your game.
[03:21:40.242 --> 03:21:41.483]  I'm not having it.
[03:21:41.483 --> 03:21:47.509]  So if you look at the COVID period, if people had said no,
[03:21:49.002 --> 03:21:51.124]  David, I want to go there and talk about
[03:22:02.478 --> 03:22:07.822]  The fact that people did submit in Australia and the UK and the US to some extent, but they woke up, now the pendulum's swinging back.
[03:22:07.822 --> 03:22:13.705]  1% of who was taking the Pfizer-Moderna shots, according to a study that came out last month, are taking it now.
[03:22:13.705 --> 03:22:15.767]  So people are really rejecting it en masse.
[03:22:15.767 --> 03:22:17.368]  It takes people a while.
[03:22:17.368 --> 03:22:19.689]  Yes, you're vindicated, I'm vindicated, our viewers and listeners are.
[03:22:19.689 --> 03:22:23.712]  Those rallies you have with hundreds of thousands, the rallies Robert F. Kennedy Jr.
[03:22:23.712 --> 03:22:28.515]  had with millions, I see this as an awakening, but you're right, now they're coming for the kids.
[03:22:28.515 --> 03:22:30.016]  I want to speak to that, but since you talk about
[03:22:31.027 --> 03:22:33.610]  How they're manipulating us and taking off our energy.
[03:22:33.610 --> 03:22:42.602]  Here's Julian Assange, now many years ago, before he got arrested or put on house arrest, explaining the goal of these wars, like Vietnam or Ukraine, is to be endless.
[03:22:42.602 --> 03:22:42.943]  Here it is.
[03:22:44.861 --> 03:22:49.243]  Because the goal is not to completely subjugate Afghanistan.
[03:22:49.243 --> 03:23:04.208]  The goal is to use Afghanistan to wash money out of the tax bases of the United States, out of the tax bases of European countries, through Afghanistan, and back into the hands of a transnational security alliance.
[03:23:04.208 --> 03:23:06.449]  That is the goal, i.e.
[03:23:06.449 --> 03:23:10.751]  the goal is to have an endless war, not a successful war.
[03:23:11.792 --> 03:23:13.033]  But it's bigger than that.
[03:23:13.033 --> 03:23:14.653]  It's energetic at the end of the day.
[03:23:14.653 --> 03:23:19.176]  So, David, spend a few minutes just on the temporal level of this dimension for us.
[03:23:19.176 --> 03:23:31.242]  We know you're really teaching us a lot here, but specifically the last two and a half years of hell, the euthanizing people here and in your country, the lockdowns, the police dogs, the people being put in jail, the quarantines.
[03:23:31.722 --> 03:23:34.384]  That helped build their emergency infrastructure that's still there.
[03:23:34.384 --> 03:23:36.025]  We know they're going to come back soon.
[03:23:36.025 --> 03:23:37.306]  I want your take on how that happens.
[03:23:37.306 --> 03:23:43.770]  But it does look like they wanted to keep lockdowns going longer, control longer, and that there was a massive rejection.
[03:23:43.770 --> 03:23:52.016]  So when they saw the crescendo of resistance building that would have been a chain reaction to take us over the top, they backed off at least for a little while.
[03:23:52.016 --> 03:23:53.497]  So your description of
[03:23:54.224 --> 03:23:57.485]  Well, what they're doing, Alex, is going through their agenda for the human body.
[03:23:57.485 --> 03:23:58.606]  Like I said, it's an anti-human agenda.
[03:24:24.682 --> 03:24:36.072]  And they're moving from human 1.0, the biological body as we call it, to human 2.0, which is a far more synthetic body.
[03:24:36.072 --> 03:24:39.615]  And this was described by Aldous Huxley in Brave New World.
[03:24:39.615 --> 03:24:41.296]  And this new human
[03:24:43.041 --> 03:24:44.802]  is not meant to procreate.
[03:24:44.802 --> 03:25:04.649]  It's meant to be produced technologically, which is what Huxley was talking about in World State Hatcheries, and he said that with the World State Hatcheries and the production of the human species via technology, that would be the end of parenthood.
[03:25:04.649 --> 03:25:09.271]  So from that comes an enormous number of dots to connect.
[03:25:10.106 --> 03:25:11.747]  First of all, the end of parenthood.
[03:25:11.747 --> 03:25:28.919]  That's why in Europe and America, Canada and so on, you're seeing the influence and ability to make decisions by parents about their children being completely and utterly erased.
[03:25:28.919 --> 03:25:30.440]  Why are they doing that?
[03:25:31.104 --> 03:25:37.334]  Because they're preparing for this no parent society.
[03:25:37.334 --> 03:25:43.785]  Now, if you don't need parents to procreate, you don't need men and you don't need women.
[03:25:44.554 --> 03:25:58.501]  And so we had the toxic masculinity agenda, where men started to be and continue to be abused and marginalized and attacked.
[03:25:58.501 --> 03:26:09.186]  And I said when that started, Alex, they're coming for the women next, because they don't need men and women in this brave new world of the human 2.0 to procreate.
[03:26:09.186 --> 03:26:09.986]  And so
[03:26:12.873 --> 03:26:14.814]  They're now going for the women.
[03:26:14.814 --> 03:26:25.641]  And the dominant force now in the hierarchy of political correctness is transgender.
[03:26:25.641 --> 03:26:28.283]  So where does transgender come from?
[03:26:28.283 --> 03:26:32.005]  Why did it come out of nowhere and it was suddenly everywhere?
[03:26:32.005 --> 03:26:40.631]  Why are they targeting the children in this extraordinarily extreme, blatant, in-your-face manner with the drag queens and so on?
[03:26:41.536 --> 03:26:58.046]  They're doing it because on the road to fusing gender, because this new human is meant not to be male or female, there's no need for it to be because you are not procreating anymore.
[03:26:58.046 --> 03:27:03.849]  You have to, on the way to fusing gender, you have to confuse gender.
[03:27:03.849 --> 03:27:08.292]  You have to take out the basics in the perception of the population
[03:27:09.506 --> 03:27:11.807]  of what gender is.
[03:27:11.807 --> 03:27:12.968]  Not male, female.
[03:27:12.968 --> 03:27:15.930]  You have to scramble that whole perception.
[03:27:15.930 --> 03:27:32.700]  And they are doing these horrific things to children, both perceptually and literally, with the surgery and the drugs and the castration of young kids, on the road to totally scrambling the perception of gender on the road to the no-gender human.
[03:27:32.700 --> 03:27:36.262]  And the no-gender human, as Huxley described,
[03:27:37.023 --> 03:27:52.254]  Would be produced in casts, and these casts would be genetic casts, actually synthetic genetic casts, which would have different abilities.
[03:27:52.254 --> 03:27:54.235]  We come back to what we're talking about earlier.
[03:27:54.235 --> 03:28:02.761]  They'd have different abilities to process information into a perception, into a conclusion, into a action or behavior.
[03:28:02.761 --> 03:28:04.282]  So the worker cast
[03:28:05.262 --> 03:28:17.790]  would be unable to process information, thus understand any information beyond their ability to serve as the worker caste.
[03:28:17.790 --> 03:28:19.412]  And to back you up, Huxley wrote that in 31.
[03:28:19.412 --> 03:28:23.334]  His brother was a head transhumanist, ran the UN.
[03:28:23.334 --> 03:28:28.237]  He said in a speech in 61 and his book Brave New World Revisited, that this was an actual plan of the elites.
[03:28:28.237 --> 03:28:33.321]  And as you know, he was part of that British breeding program, eugenics program himself.
[03:28:34.659 --> 03:28:55.875]  Yeah, I mean, his brother was a eugenicist, I mean, quite obviously, and of course he would be involved in the UN, which is a front for this cult to justify and to stepping stone towards total global control.
[03:28:55.875 --> 03:28:56.856]  By the will of God,
[03:28:58.089 --> 03:29:07.558]  And by God working through you and your support, InfoWars continues to persevere against attacks never before seen in the Western world against independent media.
[03:29:07.558 --> 03:29:09.179]  Thanks for keeping me in the fight.
[03:29:09.179 --> 03:29:16.406]  And over the years, you have come to the table, you have stepped on the plate so many times and kept InfoWars and free speech on the air, and I thank you.
[03:29:16.866 --> 03:29:21.290]  But now, I have my own legal bills that have reached the point that I can't pay them.
[03:29:21.290 --> 03:29:22.571]  And I need your support.
[03:29:22.571 --> 03:29:30.218]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalists, please visit SaveInfoWars.com
[03:29:32.040 --> 03:29:39.044]  And SaveInfoWars.com takes you to a URL that gives them go for direct Alex Jones Legal Defense Fund.
[03:29:39.044 --> 03:29:43.586]  This whole phase of their attacks, four years in the making, is almost over.
[03:29:43.586 --> 03:29:47.808]  And right at the end, we're not giving up, we're not giving in, but we could give out.
[03:29:47.808 --> 03:29:55.632]  So please, if you support what we're doing and want to fight for liberty and freedom and justice in the future, go to SaveInfoWars.com today.
[03:29:55.632 --> 03:29:57.133]  We've all heard of interventions.
[03:30:00.374 --> 03:30:11.577]  Well, it's the same thing for America and the rest of the world.
[03:30:11.577 --> 03:30:20.480]  When it comes to critical vitamins and minerals that your body must have to live, and people don't listen, and they don't supplement, it's literally an intervention.
[03:30:20.480 --> 03:30:21.981]  I lead an incredibly stressful life.
[03:30:22.461 --> 03:30:32.127]  I don't plan to be Mr. Health, but if I wasn't taking products like X3 from InfoWareStore.com, I could not continue to do what I'm doing today.
[03:30:32.127 --> 03:30:36.769]  The energy, the stamina, the libido, the immune system boost is incredible.
[03:30:36.769 --> 03:30:43.493]  And despite the fact that selling out X3 is 50% off right now exclusively at InfoWareStore.com.
[03:30:43.493 --> 03:30:45.735]  There's a run on iodine happening right now because of the war.
[03:30:46.155 --> 03:30:47.436]  We're not selling it for that.
[03:30:47.436 --> 03:30:50.859]  We're selling it for what it does for your immune system and your focus and clarity.
[03:30:50.859 --> 03:30:55.722]  Get X3 today, 50% off at InfoWarsTore.com while supplies last.
[03:30:55.722 --> 03:30:55.742]  X3.
[03:30:58.408 --> 03:31:09.032]  X3, it stands for triiodine, are all three types of iodine that the body needs to be healthy and survive and thrive.
[03:31:09.032 --> 03:31:13.434]  It boosts your libido, your energy, your stamina, your immune system.
[03:31:13.434 --> 03:31:16.816]  X3 is the ultimate iodine product on the market.
[03:31:16.816 --> 03:31:22.758]  It's back in stock at InfoWarshaw.com for 50% off and it funds the InfoWars.
[03:31:23.693 --> 03:31:25.774]  So many of you are on the fence.
[03:31:25.774 --> 03:31:27.195]  You know our information is powerful.
[03:31:27.195 --> 03:31:28.476]  You know it's changed the world.
[03:31:28.476 --> 03:31:37.241]  Try the products at InfoWarsTore.com and start with X3 Tri-Iodine.
[03:31:37.241 --> 03:31:37.881]  50% off.
[03:31:37.881 --> 03:31:39.522]  InfoWarsTore.com.
[03:31:39.522 --> 03:31:41.543]  It takes about two weeks to kick in.
[03:31:41.543 --> 03:31:45.125]  An aspirin kicks in in 30 minutes, Tylenol kicks in in 30 minutes.
[03:31:45.125 --> 03:31:47.826]  This kicks in in about two weeks on average.
[03:31:47.826 --> 03:31:49.607]  You need to experience it.
[03:31:49.607 --> 03:31:50.108]  Don't wait.
[03:31:50.908 --> 03:31:52.049]  You'll be impressed.
[03:31:52.049 --> 03:31:53.590]  InfoWareStore.com X3.
[03:32:09.360 --> 03:32:11.501]  We'll just take them, and we'll just try them.
[03:32:11.501 --> 03:32:13.643]  I know you'll be with me, customers.
[03:32:13.643 --> 03:32:16.885]  And finally, one of our best-selling products, sold out for months, it's back in stock.
[03:32:16.885 --> 03:32:17.866]  It's X3.
[03:32:17.866 --> 03:32:28.513]  It's all three types of the very best atomic iodine out there that supercharges your energy, your stamina, your libido, and number one, your immune system.
[03:32:28.513 --> 03:32:33.116]  So X3, despite the fact it was run on iodine, is still on sale.
[03:32:33.456 --> 03:32:40.800]  At 50% off right now at InfoWarStore.com and it funds the Info War, which is a 360 win.
[03:32:40.800 --> 03:32:48.664]  If you've not experienced the power of iodine, takes two weeks to kick out on average, you've got to go to InfoWarStore.com and get X3 50% off.
[03:32:48.664 --> 03:32:56.729]  X3 50% off, InfoWarStore.com.
[03:32:56.729 --> 03:33:02.612]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:16.059 --> 03:33:17.220]  Big Brother.
[03:33:17.220 --> 03:33:18.281]  Mainstream media.
[03:33:18.281 --> 03:33:20.743]  Government cover-ups.
[03:33:20.743 --> 03:33:22.585]  You want to stop tyranny?
[03:33:22.585 --> 03:33:24.326]  Well, so does he.
[03:33:24.326 --> 03:33:26.508]  Live from Austin, Texas.
[03:33:26.508 --> 03:33:29.090]  Broadcasting worldwide.
[03:33:29.090 --> 03:33:30.632]  It's Alex Jones.
[03:33:32.277 --> 03:33:37.001]  So these really are just human-alien collaborators with a center-dimensional force.
[03:33:37.001 --> 03:33:38.882]  I mean, the Bible tells us that everything.
[03:33:38.882 --> 03:33:39.543]  This is really it.
[03:33:39.543 --> 03:33:41.905]  They're building a post-human world, building a nightmare.
[03:33:41.905 --> 03:33:43.266]  They see us as lab rats, David.
[03:33:43.266 --> 03:33:45.027]  You've been vindicated.
[03:33:45.027 --> 03:33:58.918]  Well, again, what I find interesting, or what I found interesting over the years as I've researched this, Alex, is that, you know, we look at the different religions and so on, and what strikes me is not
[03:34:01.285 --> 03:34:07.468]  How the religions differ from each other, but actually the common themes.
[03:34:07.468 --> 03:34:11.249]  So I looked at the Christian belief in demons.
[03:34:11.249 --> 03:34:17.832]  I looked at the whole, you know, demonic realm as Christians describe it.
[03:34:17.832 --> 03:34:19.913]  I looked at Islam and the jinn.
[03:34:19.913 --> 03:34:20.893]  What are the jinn?
[03:34:20.893 --> 03:34:25.195]  They're entities that operate outside of human sight, manipulating human society.
[03:34:25.868 --> 03:34:39.560]  I looked at the Gnostics, which were kind of vaguely a form of Christianity in theme, if not detail, and they talked about archons in the writings that they left.
[03:34:39.560 --> 03:34:47.608]  There was one amazing group of writings by Gnostics that were found in an earthen jar in Egypt.
[03:34:47.608 --> 03:34:51.051]  These were mystic Christians that formed the basis of the Renaissance?
[03:34:51.770 --> 03:34:59.895]  Yeah, and they left these writings, very substantial writings, in an earthen jar.
[03:34:59.895 --> 03:35:08.721]  It's estimated that they were hidden away about 75 miles north of Luxor in Egypt, a place called Nag Hammadi, about 400 AD.
[03:35:11.074 --> 03:35:18.919]  And about a fifth of these writings, after they were found in 1945, were found to be about these Archons.
[03:35:18.919 --> 03:35:21.120]  Now, well, hold on a second.
[03:35:21.120 --> 03:35:22.501]  What do they say?
[03:35:22.501 --> 03:35:28.224]  They called them Archons because Archon is a Greek word meaning rulers.
[03:35:28.224 --> 03:35:38.850]  They said that these Archons created what we call the physical world, and that this was a bad copy of
[03:35:40.737 --> 03:35:42.961]  Prime reality.
[03:35:42.961 --> 03:35:51.157]  They also talked about the fact that the great ability of these Archons was
[03:35:53.530 --> 03:36:11.318]  Virtual reality, in the translation what we would call today virtual reality, the ability to manipulate and generate illusions that made people believe they were somewhere was not anything like where they thought they were or what they thought it was.
[03:36:11.318 --> 03:36:12.439]  And then you go to the
[03:36:13.456 --> 03:36:36.721]  The Zulus in South Africa, they have the concept of the Chittahuri, and wherever you go, I've talked to aboriginals in Australia as I've traveled around the world, and you see these common, common themes of entities operating outside of human sight, which is not saying much given how narrow human sight is.
[03:36:36.721 --> 03:36:39.382]  And they're always trying to drag us into their dimension.
[03:36:40.737 --> 03:36:51.405]  Yeah, see, if we could think of mind, say fourth dimension or astral dimension is the dimension of mind, okay?
[03:36:51.405 --> 03:37:09.297]  Now you can be at the higher levels of it and see things and understand things with your mind that people in these lower levels of the astral dimension where these entities are cannot see.
[03:37:11.473 --> 03:37:18.566]  You're much more expansive in your understanding, in your ability to see the greater picture.
[03:37:18.566 --> 03:37:23.014]  You go beyond that too, way beyond that, but you're seeing a much bigger picture.
[03:37:24.135 --> 03:37:42.340]  Whereas in the lower dimensions of this, lower levels of this astral dimension, this is where these entities are, what are called Archons and Demons and all these different names for the same entities, the gods, as the ancients would perceive them.
[03:37:43.243 --> 03:37:49.552]  And so they are dominating that area of this astral dimension.
[03:37:49.552 --> 03:37:58.184]  So they want your mind, the frequency of your mind, thoughts, perceptions to be in that level.
[03:37:58.932 --> 03:38:01.834]  Of the astral dimension where they dominate.
[03:38:01.834 --> 03:38:10.198]  That's why they're trying to pull us into these low frequency states of mind and of emotion.
[03:38:10.198 --> 03:38:13.260]  And David, I want to get your take on how people can break out of that.
[03:38:13.260 --> 03:38:14.200]  But I want to play this clip.
[03:38:14.200 --> 03:38:18.383]  You talk about Stockholm Syndrome in your previous books and how they mind control people.
[03:38:18.383 --> 03:38:24.666]  This is Jennifer Gibson, well-known actress, who took one of the poison shots and now has Bell's palsy.
[03:38:24.666 --> 03:38:26.247]  She says she'd do it again.
[03:38:26.247 --> 03:38:27.868]  And I find one of the prime
[03:38:28.608 --> 03:38:35.671]  Things that these people that are under this control Basically want to destroy themselves and and don't care that they're being hurt by the system.
[03:38:35.671 --> 03:38:37.992]  How would we break somebody?
[03:38:37.992 --> 03:38:39.893]  Or how could she break herself out?
[03:38:39.893 --> 03:38:41.894]  Jennifer Gibson out of these things grasp.
[03:38:41.894 --> 03:38:42.354]  Here's a clip.
[03:38:44.161 --> 03:39:03.451]  Well, this is not a video I want to make, and it's kind of hard to make because as I'm watching myself, I see what I'm going to say, which is I have been diagnosed with Bell's Palsy, which is paralysis on one side of the face.
[03:39:03.451 --> 03:39:06.493]  For me, it's this side here, obviously.
[03:39:09.625 --> 03:39:15.710]  So I got it about two weeks after getting my vaccine, and I had a rough go with the vaccine.
[03:39:15.710 --> 03:39:18.932]  And I guess still am.
[03:39:18.932 --> 03:39:27.819]  But I have to say that I would do it again because it's what we have to do to see people.
[03:39:27.819 --> 03:39:32.883]  So I don't know why I'm making this video, but here's my word smile.
[03:39:34.395 --> 03:39:35.895]  It's what we have to do to save people.
[03:39:35.895 --> 03:39:37.516]  She believes she's a hero.
[03:39:37.516 --> 03:39:39.796]  Can't look at the statistics, can't know the facts for herself.
[03:39:39.796 --> 03:39:42.237]  What is going on with this woman, David Icke?
[03:39:42.237 --> 03:39:50.239]  Well, you see, what you've got here, and we can talk about the fake vaccine as well, and its effect on the psyche of people.
[03:39:50.239 --> 03:39:56.920]  I mean, the number of people, I mean, we all interact with people, we both interact with people a lot, and we both read a lot.
[03:39:56.920 --> 03:40:02.462]  Almost everyone I know that's taken it has less energy, is sick now, and acts more zombie-like.
[03:40:02.462 --> 03:40:03.022]  It's very sad.
[03:40:03.757 --> 03:40:18.444]  Well, I'll tell you the word, Alex, that I've heard so many times in relation to people who've had loved ones or people who they work with who've had the fake vaccine when they haven't.
[03:40:18.444 --> 03:40:20.045]  It is vacant.
[03:40:20.045 --> 03:40:22.186]  These people are vacant.
[03:40:22.186 --> 03:40:27.809]  And it's basically, we have what people call assault.
[03:40:28.695 --> 03:40:34.159]  Which is experiencing this reality through the human body.
[03:40:34.159 --> 03:40:41.045]  And that soul is supposed to connect out into the great beyond and the great expansion of awareness, insight, knowledge, all that stuff.
[03:40:41.045 --> 03:40:48.391]  The idea of these fake vaccines, one level of them, there are many reasons for them, is to break that connection.
[03:40:48.391 --> 03:40:54.856]  So that basically, if I'm sitting here in front of a computer and I'm the soul,
[03:40:56.178 --> 03:40:58.360]  I'm interacting with the computer.
[03:40:58.360 --> 03:40:59.301]  I've got the mouse.
[03:40:59.301 --> 03:41:00.502]  I've got the keyboard.
[03:41:00.502 --> 03:41:02.884]  I'm interacting with it.
[03:41:02.884 --> 03:41:12.073]  But when you get a computer virus, which is essentially in theme is what these fake vaccines are doing.
[03:41:13.340 --> 03:41:27.609]  That computer virus takes over the operating system and it disconnects the interaction between me, symbolic of soul, and the operating system, symbolic of the body.
[03:41:27.609 --> 03:41:37.795]  So now the five sense level of the person is running the show and it's been literally possessed by
[03:41:39.221 --> 03:41:46.242]  By another force, by being disconnected from its source, what we call the soul.
[03:41:46.242 --> 03:41:51.403]  So with this lady, something has happened physically.
[03:41:51.403 --> 03:41:55.424]  It's happened in the five sense realm of her life.
[03:41:55.424 --> 03:41:59.925]  Therefore, she cannot ignore it.
[03:41:59.925 --> 03:42:01.265]  She can't ignore it.
[03:42:01.265 --> 03:42:03.685]  Her five senses are seeing it.
[03:42:03.685 --> 03:42:05.426]  They're experiencing it.
[03:42:05.426 --> 03:42:07.826]  So that level can't be hidden from her.
[03:42:08.346 --> 03:42:16.189]  But what can be manipulated is her response to it, which comes from perception.
[03:42:16.189 --> 03:42:23.451]  And her perception is that even though I can't ignore it, look at it, what this fake vaccine has done to me,
[03:42:25.154 --> 03:42:34.236]  My response is still, well, I'd have it again, which is insane, but that's the way the program works.
[03:42:34.236 --> 03:42:49.180]  Now, if you were connected to what people call soul, if your mind was more expansive, as with all the people who have not had the fake facts, they would say, bloody hell, have you seen what this thing's done to me?
[03:42:49.180 --> 03:42:51.241]  Of course I'd never have it again.
[03:42:56.485 --> 03:42:58.326]  It's our best seller.
[03:42:58.326 --> 03:43:02.087]  We first came out with it five years ago, and it was a moderate seller.
[03:43:02.087 --> 03:43:11.169]  But as folks tried Vitamin Mineral Fusion and experienced the way it made them feel and how healthy it made them, it has become our number one overall best seller.
[03:43:11.169 --> 03:43:13.210]  And it's been sold out for a while, but it's finally back in stock.
[03:43:13.750 --> 03:43:20.414]  Vitamin-mineral fusion doesn't just supercharge your immune system, but it helps every cellular function of the body.
[03:43:20.414 --> 03:43:27.539]  It has all the minerals, all the key amino acids, all of the essential vitamins that you need to live and be healthy.
[03:43:27.539 --> 03:43:30.141]  Essential means, without these things, you die.
[03:43:30.141 --> 03:43:37.986]  And so much of the food is debased, there's so many chemicals in the environment, it is critical to bolster our body's defenses with a product like this.
[03:43:38.226 --> 03:43:45.132]  Now, there are other great vitamin mineral products out there, but this is amongst the very best, and it's a low price, and it funds the InfoWars.
[03:43:45.132 --> 03:43:52.920]  So the only way you lose is not taking action today, getting Vitamin Mineral Fusion finally back in stock at InfoWarsStore.com for 50% off.
[03:43:52.920 --> 03:43:56.183]  Vitamin Mineral Fusion, back in stock, InfoWarsStore.com.
[03:43:56.183 --> 03:43:59.686]  Everybody says they want people to stand up and fight tyranny.
[03:43:59.686 --> 03:44:02.809]  But when you fight tyranny, the New World Order comes after you.
[03:44:02.809 --> 03:44:03.550]  Now, I knew that.
[03:44:04.420 --> 03:44:08.661]  And for 28 years I've been on air exposing these people, and together we've had a great effect.
[03:44:08.661 --> 03:44:15.943]  But listen, they're coming after us right now, they're trying to shut us down, but they can't beat the power of we the people, of you and I together.
[03:44:15.943 --> 03:44:22.945]  So please visit InfoWarsTore.com and get incredible, game-changing products, while at the same time keeping us on air.
[03:44:23.345 --> 03:44:23.805]  We're good to go.
[03:44:39.716 --> 03:44:42.938]  I don't promote things unless they really work.
[03:44:42.938 --> 03:44:48.522]  When it comes to politics or culture, economics, we are always the cutting edge, the tip of the spear.
[03:44:48.522 --> 03:44:53.685]  And when we talk about the products at InfoWareStore.com, they all blow you away.
[03:45:10.037 --> 03:45:11.358]  We're good to go.
[03:45:29.068 --> 03:45:38.694]  So X3, despite the fact it was run on iodine, is still on sale at 50% off right now at InfoWarStore.com.
[03:45:38.694 --> 03:45:41.356]  And it funds the Info War, which is a 360 win.
[03:45:41.356 --> 03:45:47.780]  If you've not experienced the power of iodine, takes two weeks to kick out on average, you've got to go to InfoWarStore.com and get X3 50% off.
[03:45:47.780 --> 03:45:48.580]  X3 50% off, InfoWarStore.com.
[03:45:56.360 --> 03:45:58.722]  Fluoride is the enemy.
[03:45:58.722 --> 03:46:00.303]  It's the bad halogen.
[03:46:00.303 --> 03:46:04.167]  To the same family as chlorine, bromide, you name it.
[03:46:04.167 --> 03:46:05.848]  What's the good halogen?
[03:46:05.848 --> 03:46:08.651]  Ladies and gentlemen, it is iodine.
[03:46:08.651 --> 03:46:14.716]  And we have the highest quality iodine you're going to find anywhere, exclusively at InfoWarStore.com.
[03:46:15.797 --> 03:46:27.861]  It is X3 triiodine, the deep earth crystal iodine, and two other healthy types that help absorb it better into the cells for all cellular function and for energy and so much more.
[03:46:27.861 --> 03:46:33.282]  Get your X3 exclusively today at InfoWarStore.com.
[03:46:33.282 --> 03:46:38.824]  It funds the Info War, but more importantly, it energizes your body and every cellular function.
