[00:00:00.470 --> 00:00:02.451]  We've got to stay on the street.
[01:22:12.567 --> 01:22:14.909]  Infowars has never been more vindicated than ever.
[01:22:14.909 --> 01:22:16.911]  So now's the time to support.
[01:22:16.911 --> 01:22:18.813]  Now's the time to share.
[01:22:18.813 --> 01:22:30.443]  We go back to Bob Barnes breaking down how the Biden administration is causing a collapse of the third world and soon America that could result in World War III.
[01:22:30.443 --> 01:22:31.404]  Bob Barnes, take it away.
[01:22:34.303 --> 01:22:38.105]  For folks that like it, I like to use the InfoWars Tumblr.
[01:22:38.105 --> 01:22:48.949]  The reason is because I have it on for a wide range of media interviews, because for those people who want to pay attention, they can get it, and it doesn't necessarily cause any flags amongst the censors.
[01:22:48.949 --> 01:22:52.610]  And it keeps drinks very cold and keeps them warm, so it's one of my daily things.
[01:22:54.297 --> 01:23:03.370]  Increasingly, we're going to need to be ready to survive in a world where so many people have such itchy trigger fingers around the potential to trigger World War III.
[01:23:04.241 --> 01:23:13.349]  In this context, it has been particularly problematic that nobody in the world really knows who is actually governing the United States of America right now.
[01:23:13.349 --> 01:23:19.695]  That at times 1600 Pennsylvania Avenue appears to be absent, appears to be empty.
[01:23:19.695 --> 01:23:24.159]  That it's either tea time or nap time or party time for Sleepy Joe.
[01:23:24.159 --> 01:23:28.904]  And a recent breakdown of this was done from the show The Duran.
[01:23:29.680 --> 01:23:39.449]  Which often covers international news and foreign policy, particularly from a deep state skeptical anti-war perspective.
[01:23:39.449 --> 01:23:44.814]  Let's break down the problematic aspects of the Biden Administration's foreign policy.
[01:23:49.915 --> 01:23:54.878]  Well, it looks like we're having some problems there with the connection of Bob Barnes.
[01:23:54.878 --> 01:23:58.720]  That's why I'm sitting here in studio in case we do have any of those problems.
[01:23:58.720 --> 01:24:01.541]  So we're going to get reconnected with him.
[01:24:01.541 --> 01:24:08.725]  You know, speaking of exactly that, what the Biden administration is up to right now.
[01:24:10.805 --> 01:24:22.390]  They're now having to admit, and I think this has a lot to do with our coverage, they're now having to admit that there is a crisis at the southern border because they gave no bid contracts to their friends for hundreds of millions of dollars.
[01:24:22.390 --> 01:24:25.811]  And of course, we've been down there as the media showing the crisis as it is.
[01:24:25.811 --> 01:24:34.434]  So now the Biden administration has finally had to come out and say that that's exactly what's going on.
[01:24:34.434 --> 01:24:38.696]  You also have the UN ambassador from Biden,
[01:24:39.545 --> 01:24:45.029]  Saying that the Founding Fathers are like the Chinese Communists and how they treat the Uyghurs.
[01:24:45.029 --> 01:24:50.594]  So, wow, they're admitting about the Chinese Communist treatment of the Muslims in the concentration camps.
[01:24:51.983 --> 01:25:03.633]  But comparing them to the founding fathers whose founding documents of this nation are just proving to be total works of genius at this point, total foresight with that.
[01:25:03.633 --> 01:25:07.016]  Of course, the Biden administration doesn't like the Bill of Rights.
[01:25:07.016 --> 01:25:09.498]  Joe Biden even said that the Bill of Rights
[01:25:10.322 --> 01:25:11.143]  Isn't permanent!
[01:25:11.143 --> 01:25:13.905]  There's nothing absolute about the amendments.
[01:25:13.905 --> 01:25:14.586]  Wow!
[01:25:14.586 --> 01:25:19.130]  Joe Biden, a president, saying that you don't have a Bill of Rights as an American citizen.
[01:25:19.130 --> 01:25:21.291]  That's kind of a red flag.
[01:25:21.291 --> 01:25:22.592]  That's kind of a big deal.
[01:25:22.592 --> 01:25:27.777]  That's kind of a panic time.
[01:25:27.777 --> 01:25:31.720]  And as Bob Barnes was just explaining, where is Joe?
[01:25:31.720 --> 01:25:33.181]  Seems to be AWOL.
[01:25:33.181 --> 01:25:34.783]  In fact, Devin Nunes
[01:25:35.871 --> 01:25:39.433]  He's asking that exact question in an interview on television.
[01:25:39.433 --> 01:25:41.254]  He's saying, where is the president?
[01:25:41.254 --> 01:25:42.214]  We never see him.
[01:25:42.214 --> 01:25:43.915]  We dealt with Trump every day.
[01:25:43.915 --> 01:25:46.036]  Half the time with Biden, we don't even hear anything.
[01:25:46.036 --> 01:25:46.816]  We have questions.
[01:25:46.816 --> 01:25:47.856]  Nothing gets answered.
[01:25:47.856 --> 01:25:49.217]  What is he doing?
[01:25:49.217 --> 01:25:52.959]  And then they claim, oh, Biden went and had a round of golf.
[01:25:52.959 --> 01:25:54.740]  I don't believe that for one second.
[01:25:54.740 --> 01:25:57.241]  Joe Biden couldn't complete nine holes of golf, let alone 18.
[01:25:58.451 --> 01:26:04.713]  And by the looks of the golf shoes that he was wearing, they haven't been worn in decades, okay?
[01:26:04.713 --> 01:26:11.655]  The spikes on Biden's golf shoes have not been used in decades, ladies and gentlemen, okay?
[01:26:11.655 --> 01:26:12.595]  Decades.
[01:26:12.595 --> 01:26:15.896]  He's literally using decades-old spikes.
[01:26:15.896 --> 01:26:18.577]  I don't know anybody that wears those spikes still.
[01:26:18.577 --> 01:26:22.778]  And I've never seen anybody with golf shoes so clean.
[01:26:22.778 --> 01:26:27.439]  I've never seen golf shoes so clean after a round.
[01:26:28.362 --> 01:26:33.923]  But apparently if you're Biden, maybe for Biden that golfing just means riding around in the cart.
[01:26:33.923 --> 01:26:35.184]  Maybe that's what golfing means.
[01:26:35.184 --> 01:26:38.905]  So Joe Biden isn't even the president, but he pretends to be.
[01:26:38.905 --> 01:26:40.145]  He rides along.
[01:26:40.145 --> 01:26:42.345]  He's on the course.
[01:26:42.345 --> 01:26:43.306]  He's in the White House.
[01:26:43.306 --> 01:26:46.566]  So Joe Biden probably didn't actually hit any golf balls.
[01:26:46.566 --> 01:26:48.887]  Joe Biden probably didn't actually swing a golf club.
[01:26:49.611 --> 01:26:55.552]  But he put on the golf shoes, and he put on a polo, and he rode around in the golf cart, and the media said, Look!
[01:26:55.552 --> 01:26:56.232]  Look at Joe!
[01:26:56.232 --> 01:26:57.193]  He can play golf!
[01:26:57.193 --> 01:26:58.333]  Look at him go out there!
[01:26:58.333 --> 01:26:59.913]  Way to go, Joe!
[01:26:59.913 --> 01:27:03.214]  Just like he's pretending to be the president.
[01:27:03.214 --> 01:27:05.634]  Yeah, there's the spikes.
[01:27:05.634 --> 01:27:10.295]  Um, I'm telling you right now, I don't know anybody who still wears those spikes.
[01:27:10.295 --> 01:27:12.216]  I don't see them on the professional tour.
[01:27:12.216 --> 01:27:16.496]  I don't see them on the golf courses here in Texas.
[01:27:16.496 --> 01:27:18.617]  I don't see it when I go golfing with friends.
[01:27:18.617 --> 01:27:19.237]  I just don't
[01:27:19.981 --> 01:27:20.681]  See it.
[01:27:20.681 --> 01:27:22.282]  Oh, is that a nice photo shot there?
[01:27:22.282 --> 01:27:23.522]  Nice photo op for Joe?
[01:27:23.522 --> 01:27:27.643]  I wonder how many times he had to practice that lob shot.
[01:27:27.643 --> 01:27:32.065]  There's no way that he's actually playing golf on a steep ledge that deep.
[01:27:32.065 --> 01:27:35.166]  Give me a break.
[01:27:35.166 --> 01:27:40.828]  Show me the video of Biden driving a golf ball.
[01:27:40.828 --> 01:27:48.270]  If you've ever been to, you know, like the driving range, you know, there's always the individual out there that you can tell just they're just not gonna
[01:27:49.344 --> 01:27:50.665]  Yeah, it's just not a good show.
[01:27:50.665 --> 01:27:52.147]  It's not good for them.
[01:27:52.147 --> 01:27:52.827]  Trying to play golf.
[01:27:52.827 --> 01:27:55.630]  That's probably how I imagine it would be with Biden.
[01:27:55.630 --> 01:27:57.392]  We've seen Trump strike a golf ball.
[01:27:57.392 --> 01:28:02.897]  It's an ugly, horrific swing, but he can get it up and down the course.
[01:28:02.897 --> 01:28:07.282]  So is that Joe riding along playing golf?
[01:28:07.282 --> 01:28:12.727]  As long as Biden is on the course, that counts as playing golf.
[01:28:14.352 --> 01:28:18.073]  As long as Biden is in the White House, that counts as being President.
[01:28:18.073 --> 01:28:20.454]  As long as the media says he won, he won.
[01:28:20.454 --> 01:28:31.498]  As long as the media says Joe Biden can ride a bike, and Joe Biden can run with his dogs, and Joe Biden can play a round of golf... Look at him, he can barely walk!
[01:28:31.498 --> 01:28:36.880]  He can barely... They're trying to tell you Biden played golf today!
[01:28:36.880 --> 01:28:38.841]  He can barely even walk, man!
[01:28:41.207 --> 01:28:42.428]  Now, what door do I go to?
[01:28:42.428 --> 01:28:43.508]  Oh, that's not my vehicle.
[01:28:43.508 --> 01:28:52.892]  Sorry, I don't even know what vehicle I'm in, and I'm huffing my own carbon dioxide, so I'm a little confused out here.
[01:28:52.892 --> 01:28:54.293]  Joe Biden playing golf.
[01:28:54.293 --> 01:28:58.034]  Who buys that?
[01:28:58.034 --> 01:29:06.258]  As negative as times are right now, and as depressing as things can be, you have to understand that this is all a test.
[01:29:06.258 --> 01:29:08.679]  This experience, this life on this planet,
[01:29:09.418 --> 01:29:12.280]  It is a reckoning.
[01:29:12.280 --> 01:29:21.144]  It's God giving us a chance to work things out in the third dimension so we can decide where we want to spend eternity and what level we want to go to.
[01:29:21.144 --> 01:29:22.525]  And it really does come down to that.
[01:29:22.525 --> 01:29:31.010]  So, as sad as things are and as evil as things are, look at all the good in the world as well and realize that God is the author of our consciousness.
[01:29:31.010 --> 01:29:34.632]  God is the author of us having our own will.
[01:29:34.632 --> 01:29:36.873]  God is the author of us having free will.
[01:29:37.555 --> 01:29:40.216]  And that free will is a beautiful thing.
[01:29:40.216 --> 01:29:45.139]  And when you look at mainstream media and Hollywood and this whole evil culture and Washington D.C.
[01:29:45.139 --> 01:29:50.261]  and Fauci and the mass cult, it's all about dominating your free will.
[01:29:50.261 --> 01:29:58.105]  It's all about telling you you're dirty and you're ugly and you're bad because Satan hates you because you're made in the image of God, the creator of the universe.
[01:29:58.105 --> 01:30:00.486]  It's hard to believe that we're already into the middle of April.
[01:30:01.579 --> 01:30:11.687]  And our border's collapsing and world government's being announced that Joe Biden's coming after our guns and trying to start a war with Russia, but told China they can take over Hong Kong and Taiwan.
[01:30:11.687 --> 01:30:17.411]  So China's done a blockade around Taiwan and is threatening to invade Hong Kong.
[01:30:17.411 --> 01:30:19.413]  They already sent troops into Hong Kong.
[01:30:19.413 --> 01:30:20.614]  This is madness.
[01:30:20.614 --> 01:30:24.917]  And our government's been hijacked now by these globalists and they're trying to shut us down.
[01:30:26.064 --> 01:30:28.707]  They took our sponsors away a long time ago.
[01:30:28.707 --> 01:30:31.450]  But you sponsor us by buying products direct.
[01:30:31.450 --> 01:30:33.372]  So these are already great products you need.
[01:30:33.372 --> 01:30:37.176]  Whether it's Vitamin Refusion back in stock, or whether it's Winter Sun, or whether it's Lung Cleanse.
[01:30:37.176 --> 01:30:41.421]  They're all 40% off individually, 50% off when you order them in combos or together.
[01:30:42.302 --> 01:30:44.723]  Epic is one of only a handful of domain registrars.
[01:31:02.738 --> 01:31:03.499]  That's right.
[01:31:24.921 --> 01:31:25.141]  Thank you.
[01:31:43.979 --> 01:31:50.722]  So it's a win-win as we build a true, open, free internet again, because the globalists are destroying what was open and what was free.
[01:31:50.722 --> 01:31:53.743]  So, InfoWarsDomains.com.
[01:31:53.743 --> 01:31:55.163]  The revolution starts there.
[01:31:55.163 --> 01:31:56.984]  InfoWarsDomains.com.
[01:31:56.984 --> 01:31:58.304]  Take action now!
[01:31:58.304 --> 01:32:01.666]  I'm a very humble person, but I'm also a bold person.
[01:32:01.666 --> 01:32:10.649]  And so, as bad as things are with the globalists attacking humanity, with all the terrible things that are unfolding, I want you to know that a lot of positive things are happening as well.
[01:32:11.570 --> 01:32:14.954]  I'm a public figure, so I get to see things the general public doesn't get to see.
[01:32:14.954 --> 01:32:26.529]  And let me tell you, whether it's police chiefs, or members of Congress, or even folks in Hollywood, or mainstream media, or industry, people are really, really awake in the establishment.
[01:32:27.369 --> 01:32:32.011]  They don't want to go along with the globalists, but they're scared, they're looking for leadership.
[01:32:32.011 --> 01:32:34.112]  Well, that's where M4 comes in.
[01:32:34.112 --> 01:32:48.077]  You fund us, you support M4Support.com, you get Ray Proshy at the same time, we will then go out and do what the globalists say is unpopular, what the globalists will target you for, to show people that it's safe to tell the truth and to take the heat.
[01:32:48.077 --> 01:32:49.518]  That's our job, so please,
[01:32:50.078 --> 01:32:55.967]  Keep us on air so we can hit the barbed wire, so we can be the shock proofs in the information war.
[01:32:55.967 --> 01:33:01.556]  Fund us at Infowarsstore.com.
[01:33:01.556 --> 01:33:04.180]  You're listening to the Alex Jones Show.
[01:33:19.156 --> 01:33:24.023]  Defending the Republic from enemies foreign and domestic.
[01:33:24.023 --> 01:33:28.228]  It's Alex Jones.
[01:33:28.228 --> 01:33:30.311]  Welcome to the Sunday Alex Jones Show.
[01:33:30.311 --> 01:33:31.873]  I'm your guest host Robert Barnes.
[01:33:32.552 --> 01:33:49.459]  We're discussing the issues of ranging from Mad Max and the media campaign to gaslight us about our own criminal justice process to Sleepy Joe's willingness and readiness to start a new war and maybe even trigger World War III by the chaotic carelessness of his administration.
[01:33:50.197 --> 01:34:03.408]  Let's take a look at a clip from a show called The Duran, which, like the gaggle that we referenced earlier, is often a useful and critical source for independent thinking and critical thinking about foreign policy.
[01:34:03.408 --> 01:34:05.190]  Let's take a look at video clip number two.
[01:34:06.434 --> 01:34:11.099]  There is no such thing, really, as a Biden-Harris administration.
[01:34:11.099 --> 01:34:16.785]  There are various factions fighting it out in Washington.
[01:34:16.785 --> 01:34:19.127]  There's a very powerful neocon faction.
[01:34:19.127 --> 01:34:20.389]  Who knows who they are?
[01:34:20.389 --> 01:34:24.513]  But, you know, we can guess they're probably the CIA, they're probably in the State Department.
[01:34:24.933 --> 01:34:30.116]  Possibly Secretary Blinken is one of them, certainly Victoria Nuland is.
[01:34:30.116 --> 01:34:39.241]  They want confrontation with Russia, just as they want confrontation with everyone, everywhere, to the greatest extent they possibly can.
[01:34:39.241 --> 01:34:52.109]  And then there are other people, more, shall we say, level-headed people, like perhaps the new National Security Advisor Andrew Sullivan, perhaps the new CIA Director William Burns,
[01:34:52.609 --> 01:35:01.075]  Who was previously the US ambassador to Moscow, and they're saying, well, hold on, we can't really go all the way.
[01:35:01.075 --> 01:35:07.279]  I mean, if we really get into a confrontation with the Russians, it could turn very bad indeed for us.
[01:35:07.279 --> 01:35:10.121]  Ukraine certainly would be destroyed.
[01:35:10.121 --> 01:35:12.763]  We would be utterly and completely humiliated.
[01:35:13.644 --> 01:35:21.441]  The sanctions weapon is to all effects exhausted and what we need to do is concentrate on China anyway instead.
[01:35:21.441 --> 01:35:23.285]  So you're having these two different
[01:35:24.193 --> 01:35:27.577]  forces pulling in different directions.
[01:35:27.577 --> 01:35:30.960]  Sometimes Sleepy Joe goes with one.
[01:35:30.960 --> 01:35:33.763]  Sometimes Sleepy Joe goes with the other.
[01:35:33.763 --> 01:35:36.425]  He telephones Putin and talks peace.
[01:35:36.425 --> 01:35:40.930]  He signs executive orders which talk Cold War.
[01:35:40.930 --> 01:35:43.492]  He sends the fleet to the Black Sea one day.
[01:35:43.492 --> 01:35:44.934]  He pulls it back the next.
[01:35:45.394 --> 01:35:48.877]  He tells Zelensky you have my unwavering support.
[01:35:48.877 --> 01:35:54.061]  One day he says through his Secretary of State, well actually you aren't going to get it after all.
[01:35:54.061 --> 01:35:54.942]  The next.
[01:35:54.942 --> 01:36:12.096]  So it is a complete mess and what we have is a bureaucratic war in Washington which is wrecking whatever is left of relationships and which the Russians are deciding makes the United States, as they put it, agreement incapable.
[01:36:21.081 --> 01:36:21.801]  Indeed.
[01:36:21.801 --> 01:36:29.346]  In other words, the United States is not considered reliable or even predictable in the current realm or in the current time.
[01:36:29.346 --> 01:36:31.967]  And that poses a risk to the rest of us.
[01:36:31.967 --> 01:36:44.515]  In the same context, it appears there's been another attempt at another quote-unquote color revolution, except it just failed abysmally, but that hasn't stopped the Biden administration from propagating it and trying to push it.
[01:36:45.135 --> 01:36:49.460]  As was detailed in an article in the Grayzone about Mr. Navalny.
[01:36:49.460 --> 01:36:54.885]  For those who don't know, Mr. Navalny has deep state ties that go back more than a decade.
[01:36:54.885 --> 01:37:03.654]  He's been propagated and promoted in the same way you had people held up as potential leaders of Georgia or potential leaders of Ukraine or potential leaders of
[01:37:04.274 --> 01:37:04.835]  We're good to go.
[01:37:21.227 --> 01:37:27.733]  Indeed, Navalny is about as popular in Russia as Lyndon LaRouche is in the United States.
[01:37:27.733 --> 01:37:30.215]  In fact, LaRouche is probably more popular.
[01:37:30.215 --> 01:37:37.622]  He has been repeatedly convicted of multiple fraudulent crimes, like his buddy and other political propagandist, Bill Browder.
[01:37:38.234 --> 01:37:48.517]  So the fact that you're seeing the West make a big deal about Navalny should be a red flag, because it is not a sign of a legitimate, authentic opposition within Russia.
[01:37:48.517 --> 01:37:53.279]  He's someone that is a convicted criminal for fraud, for real fraud.
[01:37:53.279 --> 01:37:59.561]  He's someone who's engaged in very dangerous and perilous political proclivities throughout his decade-plus history.
[01:37:59.561 --> 01:38:02.502]  He is not who the West has tried to make him out to be.
[01:38:03.231 --> 01:38:16.354]  In the same context, we see that the other method of foreign policy oppression taking place is through the Chinese model of lockdowns that got exported under the guise of a pandemic.
[01:38:16.354 --> 01:38:18.515]  And increasingly, it is becoming relevant.
[01:38:18.515 --> 01:38:27.377]  Increasingly, it is becoming evident that this lockdown from the COVID-19 was the product of potentially even a deliberate
[01:38:28.216 --> 01:38:36.909]  But at least an accidental leak from a Chinese bioweapons factory that was in part funded and protected by Mr. Fauci himself.
[01:38:36.909 --> 01:38:38.952]  Let's take a look at video clip number 14.
[01:38:54.936 --> 01:39:10.311]  Let me just say that there are several different kinds of evidence, all of which are, and I'm not arguing that this is conclusive, this is still a hypothesis, but I would argue that it is the preponderance of the evidence clearly now points to a lab leak.
[01:39:10.991 --> 01:39:14.893]  The evidence is of four different kinds.
[01:39:14.893 --> 01:39:27.661]  There is molecular evidence, that is to say the sequence of the genome of the virus suggests editing of a kind that we know was taking place at the Wuhan Institute of Virology.
[01:39:29.044 --> 01:39:50.073]  There is phylogenetic evidence, that is to say, the group, the Sarbeco viruses to which SARS-CoV-2 belongs are known not to have fur and cleavage sites and yet this fur and cleavage site shows up phylogenetically out of place in SARS-CoV-2.
[01:39:51.836 --> 01:39:54.679]  There is epidemiological evidence.
[01:39:54.679 --> 01:39:59.824]  We have a virus that did not show any evidence of evolution early on.
[01:39:59.824 --> 01:40:10.056]  It arrived in human beings, perfectly adapted to spread at a high rate, whereas we would have expected a period of evolutionary adaptation that we cannot find.
[01:40:10.056 --> 01:40:12.118]  And then fourth, and maybe most important,
[01:40:12.842 --> 01:40:24.492]  There's a tremendous amount of circumstantial evidence surrounding the way the Wuhan Institute of Virology has dealt with the question of a possible lab leak.
[01:40:24.492 --> 01:40:28.516]  Initially, the laboratory in question acknowledged that a lab leak was possible.
[01:40:28.516 --> 01:40:37.423]  In fact, the leader of that lab, Zhixiang Li, said she didn't sleep a wink for some time, thinking that maybe the virus had escaped from her lab.
[01:40:37.423 --> 01:40:40.266]  So we know that such a thing is plausible.
[01:40:41.587 --> 01:40:53.773]  We also have the case of them having renamed a sample in a way that contravenes scientific protocol so RATG 13 which is the closest
[01:40:55.191 --> 01:41:03.996]  relative of SARS-CoV-2 turns out to have had a prior name in that laboratory, 4991.
[01:41:03.996 --> 01:41:05.657]  There's no reason to have renamed it.
[01:41:05.657 --> 01:41:11.240]  It effectively suggests the keeping of two sets of books.
[01:41:11.240 --> 01:41:18.824]  So in any case, all four types of evidence point towards a laboratory leak that is now being obscured.
[01:41:18.824 --> 01:41:19.004]  Right.
[01:41:19.525 --> 01:41:35.857]  So I fully admit I am wildly out of my depth on this topic, but I just want to offer, so one of the pieces of evidence that has been offered against the idea of a lab leak, this is from Science News, and it's based on a report that was published in Nature Medicine.
[01:41:35.857 --> 01:41:46.324]  They say that this virus has components that differ from those of previously known viruses, so they had to come from an unknown virus or viruses in nature, and this is a quote from the study.
[01:41:46.684 --> 01:41:54.808]  Genetic data irrefutably show that SARS-CoV-2 is not derived from any previously used virus backbone.
[01:41:54.808 --> 01:42:02.091]  Meaning that, okay, if you're creating something in the lab, you're using an existing known virus and then you're modifying it.
[01:42:02.091 --> 01:42:06.933]  They're saying this is coming from nature because this isn't anything that we've ever dealt with before.
[01:42:06.933 --> 01:42:08.074]  What do you make of that piece?
[01:42:09.682 --> 01:42:18.271]  Well, you know, at some level we are now dealing with a kind of narrative theater surrounding this virus.
[01:42:18.271 --> 01:42:27.061]  That argument doesn't make any sense and nobody who is in this community could imagine that it does for the following reason.
[01:42:28.237 --> 01:42:39.662]  When we say that the virus may have been modified in the lab, we are not necessarily talking about edits where someone sits down to introduce a sequence.
[01:42:39.662 --> 01:42:40.922]  That is certainly possible.
[01:42:40.922 --> 01:42:42.783]  That is something that we do.
[01:42:42.783 --> 01:42:55.448]  But we are, in general, talking about a type of gain-of-function research that uses a process called serial passaging, in which we do things in the lab that we... We'll be right back after the break.
[01:42:57.521 --> 01:43:00.062]  The globalists are purposely collapsing our world.
[01:43:00.062 --> 01:43:03.783]  They are creating insecurity, crime, war, and famine.
[01:43:03.783 --> 01:43:10.945]  All of us should do everything we can to get prepared and get ready for ourselves and our families' sakes, but also our community.
[01:43:10.945 --> 01:43:17.866]  And citizenstronghold.com is the best place to go to get high-quality body armor at the lowest price you're going to find.
[01:43:17.866 --> 01:43:21.647]  Again, this is high-quality body armor at the lowest price you're going to find.
[01:43:21.647 --> 01:43:25.308]  We've worked with them for years, but they can never supply enough to our audience.
[01:43:25.308 --> 01:43:27.089]  They have massively expanded their factories.
[01:43:27.429 --> 01:43:31.450]  It's made right here in America, and they're ready to ship it to you right now.
[01:43:31.450 --> 01:43:33.291]  CitizenStronghold.com.
[01:43:33.291 --> 01:43:37.212]  When you go there, put in promo code ALEX and get 10% off on your purchases.
[01:43:37.212 --> 01:43:40.013]  They have it for children, they have it for women, they have it for men.
[01:43:40.013 --> 01:43:43.915]  They have backpacks that didn't unfold and are full top body armor.
[01:43:43.915 --> 01:43:47.416]  They've got it all right now ready to ship to you, 10% off.
[01:43:47.416 --> 01:43:51.297]  And the globalists are coming to try to stop the sale of it soon.
[01:43:51.297 --> 01:43:54.038]  That's why you need to get it now at CitizenStronghold.com.
[01:43:54.038 --> 01:43:55.319]  Promo code ALEX and get 10% off.
[01:43:57.745 --> 01:43:58.808]  It's very simple.
[01:43:58.808 --> 01:44:05.746]  Every household, not just in America, but worldwide, should be taking a high-quality multivitamin mineral every single day.
[01:44:06.502 --> 01:44:09.744]  But so many of the big brands are synthetics that are not even absorbed.
[01:44:09.744 --> 01:44:11.766]  In fact, in many cases are toxic.
[01:44:36.522 --> 01:44:37.502]  You know, it's crazy to get to this point.
[01:44:37.502 --> 01:44:38.483]  It's very bittersweet.
[01:44:38.483 --> 01:44:40.764]  Everything we've talked about has happened just like we said it would.
[01:45:04.770 --> 01:45:06.011]  And now we have a lot of credibility.
[01:45:06.011 --> 01:45:06.951]  But I don't care about that.
[01:45:06.951 --> 01:45:09.013]  I care about beating the New World Order.
[01:45:09.013 --> 01:45:13.696]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[01:45:13.696 --> 01:45:17.058]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[01:45:17.058 --> 01:45:18.579]  I can't tell you what's going on.
[01:45:18.579 --> 01:45:19.759]  But let's just say this.
[01:45:19.759 --> 01:45:21.080]  We're going to see this through to the end.
[01:45:21.080 --> 01:45:23.542]  We're going to stay on air as long as we can.
[01:45:24.182 --> 01:45:27.804]  So please pray for us and please buy the products at mfulworthstore.com.
[01:45:27.804 --> 01:45:30.385]  They're great products, plus they fund the operation.
[01:45:30.385 --> 01:45:33.566]  So you know, unlike other products you can buy, they're still great.
[01:45:33.566 --> 01:45:34.427]  Do they fund freedom?
[01:45:34.427 --> 01:45:35.527]  No, a lot of them don't.
[01:45:35.527 --> 01:45:41.990]  These are great products that fund freedom and fund justice when the whole world's waking up and looking for truth.
[01:45:41.990 --> 01:45:43.711]  That's why the globalists are censoring.
[01:45:43.711 --> 01:45:46.552]  They can't bring in all this tyranny and leave people like us on the air.
[01:45:47.112 --> 01:45:50.235]  So while you're at it, don't just financially support us and spread the word.
[01:45:50.235 --> 01:45:57.801]  Download everything we've done you can find and save it, because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[01:45:57.801 --> 01:46:00.563]  I'm up here working on a Thursday night in mid-April 2021.
[01:46:02.077 --> 01:46:03.198]  And I just want to say something.
[01:46:03.198 --> 01:46:09.362]  I am so blessed and honored to work with this incredible crew that has come together over the years and is truly an answer to prayer.
[01:46:09.362 --> 01:46:12.905]  And I am so blessed and thankful for all of you, the listeners of this show.
[01:46:12.905 --> 01:46:15.807]  I want you to know that I love you and I appreciate you.
[01:46:15.807 --> 01:46:19.170]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[01:46:19.170 --> 01:46:20.391]  You've got red blood.
[01:46:20.391 --> 01:46:26.535]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together.
[01:46:26.535 --> 01:46:30.158]  And it has just been an incredible experience to work with you over the years.
[01:46:30.838 --> 01:46:34.700]  And as crazy as things are, I want to keep working into the future.
[01:46:34.700 --> 01:46:37.582]  But again, that's really up to you and up to God.
[01:46:37.582 --> 01:46:42.424]  So please, I hope God works through you and puts a message in your heart to support us.
[01:46:42.424 --> 01:46:45.066]  But again, that's up to you and your relationship with God.
[01:46:45.066 --> 01:46:49.508]  I just want to thank you all for the years of support you've given us and what you've done.
[01:46:49.508 --> 01:46:53.630]  And just ask you again to pray to God and ask what God's vision is for you.
[01:46:53.630 --> 01:46:56.592]  And hopefully God will touch your heart to continue to support InfoHorse.
[01:46:56.592 --> 01:46:56.952]  God bless.
[01:47:01.065 --> 01:47:11.628]  You're listening to the Alex Jones Show.
[01:47:11.628 --> 01:47:18.409]  Welcome to the Sunday Alex Jones Show.
[01:47:18.409 --> 01:47:24.131]  I'm your guest host, Robert Barnes.
[01:47:29.984 --> 01:47:34.489]  As we discussed, we're seeing media gaslighting at an extraordinary scale.
[01:47:34.489 --> 01:47:50.346]  Just as we saw that the Derek Chauvin trial and the death of George Floyd, we are being repeatedly and routinely gaslit by the media and by politicians and prosecutors alike into believing something that's not reflective of what's happening inside that courtroom.
[01:47:50.982 --> 01:48:11.276]  We also saw how the way in which the drumbeats of war being propagated by deep state actors who are using the chaotic presidential administration and the absent AWOL president of our derelict dementia candidate Joe Biden to help potentially trigger World War III and build a fake media narrative about what is happening and why.
[01:48:11.916 --> 01:48:28.227]  We also saw how Professor Brett Weinstein, a very left-leaning professor, you can research what happened to him at Evergreen College, but one of the top medical experts in the world, detailed how we have been gaslit and lied to about the source of COVID-19.
[01:48:29.288 --> 01:48:34.069]  And the role of a bioweapons lab, that's what use of function is all about.
[01:48:34.069 --> 01:48:45.952]  If you are a InfoWars audience member for any substantial time period, then you know that it is something that Alex Jones has been talking about for more than a decade and had some of the top bioweapons experts in the world.
[01:48:45.952 --> 01:48:48.833]  The great danger these people present.
[01:48:49.373 --> 01:49:09.280]  Is that it is a invisible weapon, in the words of President Trump, that can be far more damaging and devastating, not only in the sense of what it can do to people biologically, but as we've seen, what it can do to the body republic of our constitutional liberties, which have been stripped from us in record-setting ways over the last 12 months and so.
[01:49:10.026 --> 01:49:20.201]  In the same context, we can see a simple micro example of this in the media's collusion to try to propagate and promote the story of Hunter Biden.
[01:49:20.834 --> 01:49:26.440]  Indeed, Hunter Biden recently released a book which often looks just like laundered bribes.
[01:49:26.440 --> 01:49:37.992]  You see these people getting ridiculous sums of money to write a book, and then you see the book sell nowhere near the amount that it needs to sell for in order to justify the millions of dollars that are being paid.
[01:49:37.992 --> 01:49:39.874]  They look like laundered bribes.
[01:49:41.036 --> 01:49:58.527]  In order for the media to propagate the mythology of Hunter Biden, they had to collude in propagating his new book and pitching his new book, and do so by having him interview in a controlled environment that would try to suppress his natural deceptive and dishonest manners.
