[00:00:04.929 --> 00:00:06.350]  Welcome, welcome, welcome.
[02:18:01.035 --> 02:18:05.659]  Actually, I was not supposed to know about this program at all because I told them that I was going to leave in early 2002.
[02:18:26.218 --> 02:18:29.983]  So I was not supposed to know about what they were doing.
[02:18:29.983 --> 02:18:41.359]  But the problem with that was that they had to use the programs that we had developed there under, that I had helped to form, within the SIGINT Automation Research Center, which was my laboratory at the time.
[02:18:42.412 --> 02:18:58.603]  They had to use those programs, which meant they had to use the computer programmers that developed it for me to install it in another place and get it up and running, because they were the only ones who knew how to make the code, set it up, make it running, and get data flowing in and working.
[02:18:58.603 --> 02:19:04.306]  So when they did that, they kept it all very secret, even inside NSA.
[02:19:04.306 --> 02:19:06.968]  And the reason, of course, was because it was an impeachable act.
[02:19:07.853 --> 02:19:09.814]  I mean, after all, spying on the U.S.
[02:19:09.814 --> 02:19:12.956]  citizens was a violation of the FISA laws.
[02:19:12.956 --> 02:19:14.397]  They were keeping the courts out of it.
[02:19:14.397 --> 02:19:28.506]  They only informed four people in Congress, you know, the chair and ranking members of the House and Senate Intelligence Committee, one of which was Nancy Pelosi, and that's why she later on said that they're impeaching George Bush is off the table, because she had agreed to these programs from the beginning.
[02:19:29.335 --> 02:19:32.737]  So, they were keeping it very secret, even from Congress.
[02:19:32.737 --> 02:19:40.883]  They didn't want any opposition, because when, that basically was the Total Information Awareness Program that was started in 2001.
[02:19:40.883 --> 02:19:42.024]  Admiral Poindexter.
[02:19:42.024 --> 02:19:45.446]  Yeah, and if you remember, Admiral Poindexter came out in, I think it was 2003.
[02:19:47.573 --> 02:19:50.974]  Advocating a TIA program, Total Information Awareness program.
[02:19:50.974 --> 02:19:55.956]  And that's when everybody came down on it and terminated it, and that's what Congress's reaction.
[02:19:55.956 --> 02:20:03.978]  But when they saw that reaction, they continued to see that they were, from their perspective, they were making the right decision by keeping it secret.
[02:20:03.978 --> 02:20:09.040]  It's just like their secret agreement, their secret interpretation of Section 215 of the Patriot Act.
[02:20:09.631 --> 02:20:22.022]  The fellow who wrote the Patriot Act, Representative Sensenbrenner, has already gone publicly and said that he never intended them to be able to do what they are doing, that is bulk acquisition of information by using that Patriot Act.
[02:20:22.890 --> 02:20:37.855]  Well, that's violating the intent of Congress, and yet they're still doing that, and they're afraid to spell out to the American people exactly what they're doing and what their interpretation is of these laws that allows them to do it.
[02:20:37.855 --> 02:20:47.419]  They simply are assuming that if the Congress keeps passing these laws, then that's tacit agreement with what their secret interpretation is.
[02:20:47.419 --> 02:20:51.180]  And they don't have the guts to come out and tell the American people out in the open what they're doing.
[02:20:52.535 --> 02:20:53.676]  That's the real problem.
[02:20:53.676 --> 02:20:54.256]  Well, you're right.
[02:20:54.256 --> 02:21:13.466]  That was a major, as I was on air at the time, when Poindexter wrote the op-ed for the New York Times called Total Information Awareness, he said, your credit card, what you eat, where you go, everything you do, when you go to school, everything will be tracked in live time or the terrorists will kill you.
[02:21:13.466 --> 02:21:17.848]  People went, whoa, this is 1984 and you want private companies to run this?
[02:21:17.848 --> 02:21:19.229]  No way.
[02:21:19.229 --> 02:21:20.409]  So there was a backlash.
[02:21:20.409 --> 02:21:21.210]  So they tried.
[02:21:22.230 --> 02:21:28.353]  To openly sell that when it blew up in their face, as you said, they just went forward with it.
[02:21:28.353 --> 02:21:37.898]  But the biggest thing for me here is, it's come out in England, as you know, that they've got the same system, and they use it against the Parliament.
[02:21:37.898 --> 02:21:39.098]  The bureaucracy does.
[02:21:39.098 --> 02:21:40.479]  I mean, this is being used.
[02:21:40.479 --> 02:21:43.280]  This is not to stop Al-Qaeda or ISIS.
[02:21:43.280 --> 02:21:45.962]  This is pointed directly to American people.
[02:21:45.962 --> 02:21:50.504]  And now we've gone from it being secret to it being public, and then nothing's being done.
[02:21:51.284 --> 02:21:52.684]  Where do you see this going?
[02:21:52.684 --> 02:21:56.145]  Yeah, well I see this as a very sad state of affairs.
[02:21:56.145 --> 02:21:58.986]  This is not the America I grew up in, I tell you.
[02:21:58.986 --> 02:22:02.827]  I could never understand why people would tolerate this kind of stuff.
[02:22:02.827 --> 02:22:09.849]  I've been advocating if these bozos keep reinforcing by passing the same laws over and over again, that we the people should fire them.
[02:22:09.849 --> 02:22:14.771]  Get them out of office because they're incompetent and they're not living up to their oath of office.
[02:22:14.771 --> 02:22:15.691]  We need to get rid of them.
[02:22:16.405 --> 02:22:19.971]  I mean, it doesn't matter, Democrat or Republican.
[02:22:19.971 --> 02:22:21.213]  The party has nothing to do with it.
[02:22:21.213 --> 02:22:25.059]  It has to do with whether or not you subscribe to the foundations of this country.
[02:22:26.834 --> 02:22:34.978]  Well, I remember a listener sent me the link to thomas.loc.gov in 1998 and said, look at this.
[02:22:34.978 --> 02:22:35.738]  He was an engineer.
[02:22:35.738 --> 02:22:37.519]  Engineers would feed me info.
[02:22:37.519 --> 02:22:41.801]  I mean, I had engineers that told me they had big hubs and all the telecoms listening to everything.
[02:22:41.801 --> 02:22:43.581]  They would bring me diagrams.
[02:22:43.581 --> 02:22:44.642]  I had no idea what it meant.
[02:22:44.642 --> 02:22:46.403]  Stick it in shredder machines.
[02:22:46.403 --> 02:22:51.725]  I'm no engineer, but I've been exposing this since day one, having other whistleblowers on.
[02:22:51.725 --> 02:22:53.726]  But I remember
[02:22:55.950 --> 02:23:03.733]  You know, seeing this information and finding it so hard to believe, but reporting on it, and now it's just out in the open.
[02:23:03.733 --> 02:23:14.078]  And I remember being sent documents that they had done a grant for Austin to put up a thousand plus hidden microphones to listen to people.
[02:23:14.078 --> 02:23:22.583]  And they even had an algorithm program running locally that the feds had paid for that was NSA technology that you and others developed, I'm sure, that was keyword.
[02:23:23.709 --> 02:23:32.512]  And it was all there in the federal grant, just admission of microphones, key logging or word logging, whatever you call it.
[02:23:32.512 --> 02:23:36.233]  And I went on air and covered it, and people couldn't believe it.
[02:23:36.233 --> 02:23:42.795]  Then a week later, the local paper ran a big story whitewashing it, going, no, it's gunshot detector microphones.
[02:23:42.795 --> 02:23:45.456]  But the grant said it was microphones to listen to people.
[02:23:46.129 --> 02:23:53.832]  And then now, this year, they announced nationwide, they're putting microphones in, hidden in street sculptures.
[02:23:53.832 --> 02:24:06.377]  And it's in the Chicago Tribune, but they don't call it microphones, they go, the data clusters pick up wireless, environmental hazards, and listen to audio for signs of trouble.
[02:24:06.997 --> 02:24:11.720]  So it's just this mainlining of a 1984.
[02:24:11.720 --> 02:24:16.182]  Mr. Binney is a former director of one of the major areas of the NSA.
[02:24:16.182 --> 02:24:21.165]  I mean, microphones hidden is 1984, is it not?
[02:24:21.165 --> 02:24:36.174]  Yes, I mean, and of course, it's not just the microphones with the audio and looking at the video, for example, those things, but it's also all the electronic backgrounds that goes with it.
[02:24:36.912 --> 02:24:55.305]  Anything you're carrying with you like a cell phone or any kind of transaction used with any kind of document like your your credit card transactions and all all those kinds of things are all assembled and that all becomes a Profile basically of you and by the way, they keep saying well, we don't build profiles of people.
[02:24:55.305 --> 02:24:57.547]  No, they don't the software does that?
[02:24:57.547 --> 02:24:59.528]  I mean once you put the data in the base and
[02:25:00.154 --> 02:25:03.176]  It builds relationships and that, in fact, is the profile.
[02:25:03.176 --> 02:25:07.778]  So anytime they want to look at you, all they have to do is point at you and say, give me his profile.
[02:25:07.778 --> 02:25:09.038]  And you get it.
[02:25:09.038 --> 02:25:12.140]  So it's not a matter of them not having it.
[02:25:12.140 --> 02:25:13.941]  They have the profile on everybody.
[02:25:14.750 --> 02:25:17.572]  And it's not done by people, that's another word game they play.
[02:25:17.572 --> 02:25:20.674]  They play all kinds of word games with people.
[02:25:20.674 --> 02:25:24.957]  It's like, we don't consider anything collected unless the person looks at it.
[02:25:24.957 --> 02:25:29.860]  Well, that doesn't stop them from collecting everything about everybody in the country.
[02:25:29.860 --> 02:25:31.321]  And that's what they're doing.
[02:25:31.321 --> 02:25:35.524]  And they're doing it through a program called Fairview, which is the main input program they have.
[02:25:35.524 --> 02:25:36.745]  If you go on the web and do a
[02:25:37.405 --> 02:25:54.803]  A Google one, Fairview, you know, and NSA, you'll get the slides that will show you all, there's like 80 to 100 tap points inside the continental United States, the lower 48 states, that show where they're tapping and collecting information off the fiber optic network.
[02:25:56.764 --> 02:26:11.616]  And that was being put in for when I was told and shown by engineers and later confirmed at the telecom hubs all over the country, at taxpayer expense, whole floors and whole rooms of cable companies, of AT&T, you name it.
[02:26:12.659 --> 02:26:16.605]  With all the data passing through it, just outrageous.
[02:26:16.605 --> 02:26:29.003]  And then Bush walking around on TV in 2006 saying, oh, we don't listen to anybody in America and playing the word game that the computers do when they can go open your profile up.
[02:26:29.463 --> 02:26:36.606]  And see the whole menu of everything you do laid out, what movies you see, what books you read, all your emails.
[02:26:36.606 --> 02:26:38.967]  Google admits they open your emails and read it.
[02:26:38.967 --> 02:26:50.872]  Sir, what do you make of Amazon and Google and Microsoft and Apple and all of their admissions that they are data mining and using and selling the data?
[02:26:50.872 --> 02:26:52.353]  I mean, it's not just the NSA.
[02:26:53.564 --> 02:27:01.047]  Well, I mean, I look at that also as the same as the... It's not as bad as the government because they can't come arrest you or do violent things to you.
[02:27:01.047 --> 02:27:01.728]  Sure.
[02:27:01.728 --> 02:27:07.150]  But, I mean, it's still a fundamental violation of privacy rights of individuals.
[02:27:07.150 --> 02:27:18.556]  I mean, and that's against, I believe, the Electronic Privacy Act, Electronic Security Act, and all that stuff that all were existing laws to try to give privacy to people in their electronic age.
[02:27:18.556 --> 02:27:19.116]  So, I mean...
[02:27:21.567 --> 02:27:26.150]  Fundamentally, I don't think they should be allowed or permitted to do that either.
[02:27:26.150 --> 02:27:28.111]  I totally agree with you.
[02:27:28.111 --> 02:27:41.960]  And expanding on that, what do you make of Kate Upton and all these stars with sex tapes and naked photos that they thought it was safe to send sex videos around or naked photos on an Apple cloud?
[02:27:41.960 --> 02:27:43.921]  What do you make of this whole cloud revolution?
[02:27:44.704 --> 02:27:49.947]  Well, it's just another means of accessing more data about individuals.
[02:27:49.947 --> 02:28:00.432]  I mean, anybody who puts information out there should assume it's being scarfed up by the NSA and then made available to the FBI and DEA and other government agencies.
[02:28:02.404 --> 02:28:14.694]  Are our courts fundamentally now completely bankrupt if for a decade they've been, or more, creating fake cases with data they stole and then they lie and perjure to the court?
[02:28:14.694 --> 02:28:18.296]  I mean, that sounds like most of these convictions should be overturned.
[02:28:18.296 --> 02:28:20.939]  Yeah, that's right.
[02:28:20.939 --> 02:28:30.126]  I mean, and even the Solicitor General had to lie to the Supreme Court to get the case, you know, Amnesty International v. Clapper thrown out.
[02:28:31.218 --> 02:28:37.659]  And that was, again, challenging the issue of NSA collecting all this data without a warrant.
[02:28:37.659 --> 02:28:45.081]  And the Solicitor General lied to the court saying that anybody where this data was used against them, either in a court or wherever, they would be told.
[02:28:45.081 --> 02:28:47.022]  And that was simply a lie.
[02:28:47.022 --> 02:28:52.983]  And so now they're trying to scramble to figure out what to do about that, all the past thousands of cases that they've done this way.
[02:28:54.406 --> 02:28:58.027]  I think they're going to write those off and say, well, that's just collateral damage.
[02:28:58.027 --> 02:28:59.107]  Well, that shouldn't be.
[02:28:59.107 --> 02:29:03.488]  I mean, it's a violation of the Constitution, the foundation of this country.
[02:29:03.488 --> 02:29:11.609]  If our government wants to do that, if they want to violate our Constitution or change it, there's a process to do that, and they should follow that process.
[02:29:11.609 --> 02:29:15.750]  Create an amendment, get it past Congress, send it around to the states to ratify.
[02:29:15.750 --> 02:29:18.490]  I mean, that's the procedure we're supposed to do.
[02:29:18.490 --> 02:29:22.431]  But our government is taking a totally different, very, very ugly path.
[02:29:23.462 --> 02:29:26.984]  A totalitarian revolution is really what it is.
[02:29:26.984 --> 02:29:28.525]  William Edward Benny is our guest.
[02:29:28.525 --> 02:29:36.349]  I'm going to come back and ask him about that famous statement of Clapper, the Director of Intelligence to Congress, saying, we don't spout on Americans, we don't collect any data.
[02:29:36.349 --> 02:29:37.929]  That's like saying the sun didn't come up.
[02:29:37.929 --> 02:29:40.211]  I mean, it's just, they're bad guys.
[02:29:40.211 --> 02:29:41.871]  I mean, that's what they are.
[02:29:41.871 --> 02:29:42.552]  They're villains.
[02:29:42.552 --> 02:29:44.413]  It's not being done to protect us.
[02:29:44.413 --> 02:29:49.035]  ExposedFacts.org, William Benny, straight ahead, your calls.
[02:29:49.035 --> 02:29:50.416]  We're on the march.
[02:29:50.416 --> 02:29:51.937]  The empire's on the run.
[02:29:52.937 --> 02:29:59.962]  Alex Jones and the GCN Radio Network.
[02:29:59.962 --> 02:30:09.609]  Using unparalleled research in the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here.
[02:30:09.609 --> 02:30:19.537]  With key ingredients backed by real clinical studies, the new oxy powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[02:30:19.537 --> 02:30:22.459]  Many herbal colon cleansers are harsh on the body,
[02:30:22.659 --> 02:30:29.904]  And contain cheap and potentially dangerous ingredients, oftentimes full of synthetic fillers, GMOs, additives, or worse.
[02:30:29.904 --> 02:30:34.567]  Gently start cleaning your body with easy capsules that start working while you sleep.
[02:30:34.567 --> 02:30:39.570]  Oxy powder does not require time off work, and there's no need for bad taste and concoctions.
[02:30:39.570 --> 02:30:45.234]  Instead, oxy powder slowly releases monoatomic oxygen into the intestinal tract and body.
[02:30:45.234 --> 02:30:50.578]  Experience the astonishing cleansing power of superoxide and ozonide technology.
[02:30:50.578 --> 02:30:52.499]  Go to infowarslife.com.
[02:30:52.819 --> 02:31:00.629]  Another major health threat.
[02:31:00.629 --> 02:31:06.237]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[02:31:06.237 --> 02:31:08.660]  Ohio's governor declaring a state of emergency.
[02:31:08.880 --> 02:31:15.946]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[02:31:15.946 --> 02:31:18.948]  If there's a water emergency, will you be prepared?
[02:31:18.948 --> 02:31:21.970]  Panicked residents forming long lines throughout the day.
[02:31:21.970 --> 02:31:23.912]  We're here at a supermarket in Toledo.
[02:31:23.912 --> 02:31:26.734]  You can see the shelves empty where water once was.
[02:31:26.834 --> 02:31:32.557]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[02:31:32.557 --> 02:31:36.058]  Water which will not be available at your local grocery store.
[02:31:36.058 --> 02:31:39.159]  There's a mad dash on right now to stock up on supplies.
[02:31:39.159 --> 02:31:46.463]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[02:31:46.463 --> 02:31:49.704]  Protect your family's safety during an emergency.
[02:31:49.704 --> 02:31:55.967]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[02:31:56.107 --> 02:32:00.310]  Or call 1-888-253-3139.
[02:32:00.310 --> 02:32:06.955]  When you're out on the road, the last place you want to be is on the road.
[02:32:06.955 --> 02:32:12.119]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[02:32:12.119 --> 02:32:20.845]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[02:32:20.845 --> 02:32:22.706]  They sew pride in every stitch.
[02:32:24.855 --> 02:32:27.146]  I guarantee you'll love the way they fit.
[02:32:29.195 --> 02:32:33.917]  They put a diamond gusset in the crotch, where you need it most.
[02:32:33.917 --> 02:32:38.979]  Blue diamond gussets got it, other's don't.
[02:32:38.979 --> 02:32:41.120]  We turn jeans inside out.
[02:32:41.120 --> 02:32:42.921]  Diamond gusset jeans.
[02:32:42.921 --> 02:32:45.802]  Made in the USA with unparalleled quality.
[02:32:45.802 --> 02:32:52.425]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[02:32:52.425 --> 02:32:55.126]  Order yours at gusset.com.
[02:32:55.126 --> 02:32:58.008]  Diamond gusset jeans got it, others don't.
[02:33:10.780 --> 02:33:15.682]  Defending the Republic from enemies, foreign and domestic.
[02:33:15.682 --> 02:33:17.902]  It's Alex Jones.
[02:33:17.902 --> 02:33:20.043]  I've been on air 20 years.
[02:33:20.043 --> 02:33:23.264]  It'll be 20 years in about a month.
[02:33:23.264 --> 02:33:37.669]  And by 1996, as a libertarian promoting liberty, I had police chiefs contacting me in major cities, emergency managers, engineers, who were aware of all this stuff going into place behind the scenes.
[02:33:39.321 --> 02:33:42.402]  And I would go on air and talk about it so I would get sent more data.
[02:33:42.402 --> 02:33:44.944]  Then I got syndicated.
[02:33:44.944 --> 02:34:01.651]  That's the reason I realized how much trouble we were in before a lot of other folks was because a lot of people out there in the system who knew more than I did were basically using me as a conduit to get stuff out of the public.
[02:34:01.651 --> 02:34:05.633]  So I can't take credit for being light years ahead of everybody else.
[02:34:07.352 --> 02:34:08.872]  But now we don't have an excuse.
[02:34:08.872 --> 02:34:22.077]  This stuff is out in the open thanks to heroes like William Edward Benny, who can make a lot of money working for the private contractors and the big companies that are making tens of billions of dollars a year milking this.
[02:34:22.077 --> 02:34:29.739]  800,000 people, the Washington Post reported last year, 840-something thousand, have access to all this spy data.
[02:34:29.739 --> 02:34:32.760]  And I'm no engineer, but I am a geopolitical researcher.
[02:34:33.917 --> 02:34:39.058]  It just sounds like insider trading, people harassing friends and family.
[02:34:39.058 --> 02:34:40.878]  It sounds like a way to corner markets.
[02:34:40.878 --> 02:34:46.420]  It sounds like a way for real terrorists or criminals to know if the good guys are after them.
[02:34:46.420 --> 02:34:56.482]  It just sounds like a devil's workshop on steroids with the helping of PCP to have 800,000 contractors in this.
[02:34:56.482 --> 02:34:59.922]  And now we know the NSA has used this stuff in other agencies.
[02:34:59.922 --> 02:35:02.883]  Because remember, this is given to dozens of other agencies, federal and state.
[02:35:05.069 --> 02:35:14.760]  To then just go out and harass their wives, their husbands, their neighbors, their competition to plant stuff under sneak and peek and the Patriot Act on computers.
[02:35:14.760 --> 02:35:19.465]  I mean, it's just a Pandora's box of making us insecure.
[02:35:20.146 --> 02:35:22.268]  And destroying our free market.
[02:35:22.268 --> 02:35:32.035]  Again, I'm not some 200 IQ super brain like William Binney who headed up their major technical department and director of technical intelligence.
[02:35:32.035 --> 02:35:36.758]  I mean, that's the actual, use a Starship Trooper analogy, brain bug.
[02:35:36.758 --> 02:35:44.324]  Okay, but just at my gut level gestalt, sir, did I hit on anything that is important what I just said?
[02:35:45.600 --> 02:35:46.340]  Oh, absolutely.
[02:35:46.340 --> 02:35:56.186]  I mean, that's the whole point is that this is drifting toward a government, a central government that's like J. Edgar Hoover on super steroids.
[02:35:56.186 --> 02:36:04.351]  They have the knowledge and background of virtually everybody in the country and that gives them a basis for blackmail and influence peddling.
[02:36:05.120 --> 02:36:18.126]  So that's the way they can get things done, you know, leverage against individuals to make sure that, like, for example, when Nancy Pelosi said impeaching George Bush was off the table, the leverage she had was she was a part of these programs, so she'd have to impeach herself.
[02:36:18.126 --> 02:36:23.969]  So they get everybody to be part of it, including local police, and now they're all part of the cult.
[02:36:23.969 --> 02:36:27.291]  Exactly, and now they all have to defend themselves, otherwise they all fall.
[02:36:29.741 --> 02:36:33.411]  That's how Julius Caesar took over Rome.
[02:36:33.411 --> 02:36:36.379]  Sir, is this not an orchestrated, diabolical plan then?
[02:36:37.897 --> 02:36:46.086]  It sure seems that way, at least it's being done, and the administrations as they come in keep perpetuating it.
[02:36:46.086 --> 02:36:59.579]  Well, I mean, from Russ Tice, who was a former also NSA whistleblower, he has been saying that for a long time that they've been transcribing phone calls and conversations and emails of U.S.
[02:36:59.579 --> 02:37:00.960]  Representatives and Senators.
[02:37:01.881 --> 02:37:05.144]  And judges in the federal courts as well as the Supreme Court.
[02:37:05.144 --> 02:37:06.105]  Well that's now come out.
[02:37:06.105 --> 02:37:08.106]  The CIA is spying on the Senate.
[02:37:08.106 --> 02:37:08.546]  Yep.
[02:37:08.546 --> 02:37:10.328]  And this is just, that's just CIA.
[02:37:10.328 --> 02:37:12.089]  NSA is much more powerful at that.
[02:37:12.089 --> 02:37:17.854]  So, that just means that they're assembling all that blackmail information for leverage.
[02:37:19.455 --> 02:37:27.121]  And correct me if I'm wrong, doesn't having 800,000 contractors, just contractors, hooked into this?
[02:37:27.121 --> 02:37:39.510]  I mean, if I wanted to bring down a government or a country, I would let 800,000 people have access to this panopticon type system because it would then leak everywhere and then the country would be insecure.
[02:37:39.510 --> 02:37:45.115]  I mean, this sounds like the opposite of what I would want to do if I wanted to have a secure, safe country.
[02:37:46.741 --> 02:37:48.161]  Yeah, that's exactly correct.
[02:37:48.161 --> 02:37:54.743]  I mean, I objected to this in the late 90s when they first started doing this, outsourcing to contractors.
[02:37:54.743 --> 02:38:07.187]  I was objecting to it then because I didn't think it was a smart idea to do that, just under the principle of exporting, you know, giving away your trade secrets as a business to companies.
[02:38:07.187 --> 02:38:13.128]  And that's fundamentally what it is, that you're giving away the trade secrets, how you acquire data, how you look at data, that kind of thing.
[02:38:13.128 --> 02:38:15.469]  And that's exposed to all these contractors.
[02:38:19.320 --> 02:38:26.785]  And imagine how easy it is for foreign states and foreign corporations to then penetrate and compromise the contractors.
[02:38:27.679 --> 02:38:28.199]  Yeah, that's right.
[02:38:28.199 --> 02:38:30.220]  That's happened any number of times down through history.
[02:38:30.220 --> 02:38:35.282]  I mean, that is a kind of a weakness that, I mean, they could even hire the contractors, too.
[02:38:35.282 --> 02:38:41.305]  You know, later on, after their contracts were done with NSA, they could hire them as contractors over their way, too.
[02:38:41.305 --> 02:38:47.587]  Although, you know, they do have a non-disclosure agreement that says they won't disclose anything they've discussed.
[02:38:47.587 --> 02:38:54.350]  I mean, they take with them the knowledge of what they experienced while they were there, and they can apply that knowledge and techniques to other things.
[02:38:55.151 --> 02:38:59.278]  Without actually compromising what they were doing in NSA.
[02:38:59.278 --> 02:39:00.781]  Effectively it means the same thing.
[02:39:00.781 --> 02:39:02.704]  I mean, you're still giving that expertise away.
[02:39:05.011 --> 02:39:08.154]  It's amazing to get your insight here on air.
[02:39:08.154 --> 02:39:10.296]  William Benny is our guest.
[02:39:10.296 --> 02:39:20.187]  I want to go to some phone calls, 800-259-9231, specifically questions for the highest level NSA whistleblower of all time.
[02:39:20.187 --> 02:39:25.031]  He was in the top four position there, some say even the number three position, the director
[02:39:26.053 --> 02:39:28.897]  The technical leader for intelligence with the NSA.
[02:39:28.897 --> 02:39:34.225]  I have a whole bunch of Twitter questions from real Alex Jones here for you, sir.
[02:39:34.225 --> 02:39:38.911]  But first off, anything else you'd like to add before we go to these calls?
[02:39:40.684 --> 02:39:46.793]  I just think we as a country and we as a people need to decide whether or not we're going to continue to tolerate this.
[02:39:46.793 --> 02:39:47.674]  I don't think we should.
[02:39:47.674 --> 02:39:52.541]  I mean, this is not consistent with our founding principles.
[02:39:52.541 --> 02:39:57.228]  We need to make this a major issue in the upcoming election in November.
[02:39:57.868 --> 02:40:11.838]  And when the politicians come around to solicit your votes and talk to you and all, you should raise these issues with them and say, look, if you don't start facing up and starting to live and protect and defend the Constitution, we are going to fire you.
[02:40:11.838 --> 02:40:15.061]  And we need to pass that message to them very strongly.
[02:40:15.061 --> 02:40:19.003]  Otherwise, they're going to sit there and drift along and do whatever they want to do.
[02:40:19.003 --> 02:40:20.565]  You have to threaten them with their jobs.
[02:40:20.565 --> 02:40:22.366]  That's the only thing that'll make them do anything.
[02:40:24.736 --> 02:40:26.257]  That's what I think we need to do.
[02:40:26.257 --> 02:40:28.257]  I mean, I don't see any other way out of this.
[02:40:28.257 --> 02:40:29.738]  Sure.
[02:40:29.738 --> 02:40:32.858]  I totally agree with your statement there.
[02:40:32.858 --> 02:40:33.519]  R.C.
[02:40:33.519 --> 02:40:47.002]  Patterson asked on Twitter, he says, Mr. Benny, any advice on how to mess or scramble the profile data with NSA is doing on us, i.e., web credit, purchase, etc.?
[02:40:47.002 --> 02:40:49.363]  I would just say, everyone always thinks about how to get around it.
[02:40:50.405 --> 02:41:02.411]  How about we politically change it and stop the whole thing that's wrong, but until we get there, what would you do to protect your private information?
[02:41:02.411 --> 02:41:05.012]  Actually, I do absolutely nothing.
[02:41:05.012 --> 02:41:10.275]  And the reason is because there's virtually, I'm a target, and so there's virtually nothing I could do anyway.
[02:41:10.275 --> 02:41:15.857]  So, anything they wanted to get from me, they could actively attack my computer to get it,
[02:41:17.890 --> 02:41:18.490]  I'm the same way.
[02:41:18.490 --> 02:41:19.551]  I have the exact same policy.
[02:41:48.627 --> 02:41:54.752]  As long as you don't become visible to them for some reason or other, they won't target you.
[02:41:54.752 --> 02:41:56.333]  I don't think they'll look at your profile.
[02:41:56.333 --> 02:42:05.000]  But if you do something that irritates them, they'll call up your profile and start looking at you.
[02:42:05.000 --> 02:42:07.402]  You could try to use Tor.
[02:42:07.402 --> 02:42:08.863]  Tor is an annoyance to them.
[02:42:08.863 --> 02:42:12.146]  It helps anonymize what you're doing on the web.
[02:42:13.008 --> 02:42:15.154]  That is some impediment.
[02:42:15.154 --> 02:42:17.581]  It causes them some difficulty.
[02:42:17.581 --> 02:42:20.248]  And if they target you, of course, they can go around that.
[02:42:21.161 --> 02:42:30.187]  So one way to do it is jamming it with disinformation, garbage, just creating totally random profiles, just doing weird things.
[02:42:30.187 --> 02:42:37.072]  That'll create kind of plaques of clouds that will, I think, alter the profile.
[02:42:37.072 --> 02:42:38.192]  But I'd say let it.
[02:42:38.192 --> 02:42:48.099]  It'll get criminal, it's illegal, and have the profile full of stuff exposing them so they're aware with their sample rate just how many people are awake to them.
[02:42:48.578 --> 02:42:50.700]  Yeah, that's what I try to do.
[02:42:50.700 --> 02:42:58.166]  I make sure anything I say, if I refer to them, I refer to them in a way that makes it perfectly clear what I think of them.
[02:42:58.166 --> 02:43:01.389]  Well, it's organized crime in a revolution against our civilization.
[02:43:01.389 --> 02:43:02.870]  I mean, do you agree with that statement?
[02:43:02.870 --> 02:43:10.397]  They have organized in a racketeering operation to openly violate everyone's rights en masse, lie about it, get caught, and keep lying.
[02:43:11.618 --> 02:43:15.200]  Well, it certainly is an analogy that would work.
[02:43:15.200 --> 02:43:18.903]  I mean, I don't think they've taken the final step.
[02:43:18.903 --> 02:43:27.088]  Like, they haven't done what the Stasi does, like incarcerate you, but they discredit you and kind of try to embarrass you and get you out of the way.
[02:43:27.088 --> 02:43:31.330]  They just don't put you in the gulag or something, you know?
[02:43:31.330 --> 02:43:33.311]  That step has not been taken yet.
[02:43:33.311 --> 02:43:35.913]  Well, they're starting to try.
[02:43:35.913 --> 02:43:37.374]  Yeah, that doesn't mean it can't be.
[02:43:38.695 --> 02:43:39.175]  Absolutely.
[02:43:39.175 --> 02:43:41.577]  Look at Dinesh D'Souza and his film.
[02:43:41.577 --> 02:43:42.818]  Let's go to a phone call again.
[02:43:42.818 --> 02:43:45.520]  William Benny, who is a real hero, is our guest.
[02:43:45.520 --> 02:43:46.640]  Catherine has a question.
[02:43:46.640 --> 02:43:47.001]  Go ahead.
[02:43:48.615 --> 02:43:49.516]  Yeah, actually I do.
[02:43:49.516 --> 02:43:51.317]  I have a question for Mr. Benny.
[02:43:51.317 --> 02:44:01.603]  I'm from Canada, which is not from USA, but geopolitically speaking, I'm scared that Russia's going to trench over the border.
[02:44:01.603 --> 02:44:06.666]  There's no oceans, there's no nothing to stop them.
[02:44:06.666 --> 02:44:11.049]  Should we be worried in Canada about Russia marching over the Arctic?
[02:44:11.249 --> 02:44:15.318]  Mr. Benny, you have had some things to say recently about the Russia situation.
[02:44:15.318 --> 02:44:18.625]  Russia is saying that they may take part of the Arctic that borders them.
[02:44:18.625 --> 02:44:21.973]  I don't see Russia in an offensive mode right now, but maybe you can correct me.
[02:44:23.494 --> 02:44:29.577]  No, I don't, but this is also one of my very... I'm actually an NSA advocate, okay?
[02:44:29.577 --> 02:44:33.019]  But I'm an advocate in the form of doing the right thing.
