[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[03:05:16.196 --> 03:05:28.925]  This new online virtual platform is nationwide providing uncensored content, virtual appointments, laboratory testing, diagnostics, prescriptions,
[03:05:29.605 --> 03:05:41.107]  Treatment packages specifically for COVID, post-COVID, vaccine injury syndromes, and all the usual things that are seen in primary care.
[03:05:41.107 --> 03:05:49.308]  And then we have an entire array of holistic products, an online store, media, and health advice.
[03:05:49.308 --> 03:05:57.470]  Come see The Wellness Company and go to OnlineHealthNow.com as a conduit to The Wellness Company.
[03:06:01.758 --> 03:06:06.765]  Rallying patriots worldwide in defense of human liberty.
[03:06:06.765 --> 03:06:08.268]  It's Alex Jones.
[03:06:23.334 --> 03:06:29.038]  Alex Jones here back live, final segment with our guest Sean Stone, Vivian Kubrick, and then the great Jay Dyer to run a research for the New World Order.
[03:06:29.038 --> 03:06:32.481]  He takes over in about 10 minutes, 15 minutes or so.
[03:06:32.481 --> 03:06:38.586]  But yes, the audience, the crew, our guest, this whole operation deserves the credit she was getting into that.
[03:06:39.346 --> 03:06:46.470]  Of being the very tip of the spear exposing the virus out of the lab, the lockdowns being a fraud, the poison shot, which is why it's so important we stay on air.
[03:06:46.470 --> 03:07:01.218]  This whole community, it's not about credit, it's about recognizing we've been right and that they're trying to do new lockdowns, new injections, world IDs, global passports to travel, even leave your house.
[03:07:01.218 --> 03:07:02.419]  And so Vivian, finish up your point.
[03:07:02.847 --> 03:07:10.729]  Well, I think it's incredibly important because this is what we're pushing back against are the lies about Infowars and the lies about Alex.
[03:07:10.729 --> 03:07:15.411]  Is that Alex, his guests, his crew, everyone here have a mission.
[03:07:15.411 --> 03:07:18.512]  A mission to set humanity free and to get...
[03:07:19.312 --> 03:07:26.138]  The people that are criminally crushing humanity, killing them at this point, culling them.
[03:07:26.138 --> 03:07:38.628]  You're not going to get the information that you need in order to protect yourself and to understand what's being done to you, probably from anywhere else that has such a vast audience as InfoWars.
[03:07:38.628 --> 03:07:44.933]  So I believe that I know that when COVID happened, I just moved back from Florida to Texas,
[03:07:45.493 --> 03:07:46.754]  And I was just wobbling around.
[03:07:46.754 --> 03:07:47.534]  I wasn't paying attention.
[03:07:47.534 --> 03:07:49.655]  I walked into the supermarket and everything had gone.
[03:07:49.655 --> 03:07:50.976]  And I said, what's happened?
[03:07:50.976 --> 03:07:53.217]  They said, haven't you heard about COVID?
[03:07:53.217 --> 03:07:54.577]  And I went, no.
[03:07:54.577 --> 03:07:56.418]  And I turned on Alex.
[03:07:56.418 --> 03:08:01.940]  And then immediately you were talking to Frances Boyle, Dr. Frances Boyle, Professor, Doctor, whatever, Frances Boyle.
[03:08:01.940 --> 03:08:07.363]  And from the moment that you started reporting about it and having guests, you completely educated me.
[03:08:07.363 --> 03:08:10.024]  It let me go and find the documents myself.
[03:08:10.024 --> 03:08:11.705]  It let me think about what was going on.
[03:08:12.245 --> 03:08:27.036]  And then when I went to the supermarket and people were standing obediently six feet apart and having hysterics of anyone like pulled their mask down, it gave me the freedom to observe what was happening instead of getting pulled into the hysteria.
[03:08:27.036 --> 03:08:31.739]  And the one thing they want people to be is hysterical and frightened and waiting for the next interaction.
[03:08:31.739 --> 03:08:32.119]  Well, that's right.
[03:08:32.119 --> 03:08:35.182]  Well, the enemy is, this is our real brain trust with our guests and the whole family.
[03:08:35.882 --> 03:08:43.574]  Is that we did dead on 100% nail what they were doing from previous research, which shows we can beat them again when they try it again.
[03:08:43.574 --> 03:08:44.275]  But that wasn't us.
[03:08:44.275 --> 03:08:48.100]  That was just studying the globalists who think we're so dumb they admit.
[03:08:48.100 --> 03:08:51.666]  Why do the globalists admit Sean Stone is so much we're going to do before they do it?
[03:08:52.742 --> 03:08:56.043]  Predictive programming, because I think there's two aspects.
[03:08:56.043 --> 03:08:59.704]  You touch upon this a lot, where everything has to be disclosed at some level, right?
[03:08:59.704 --> 03:09:03.865]  There has to be a certain level of transparency, even if people don't believe it, right?
[03:09:03.865 --> 03:09:08.726]  Because if sometimes you say, hey, I'm going to punch you, and then you actually do it, people still don't believe it.
[03:09:08.726 --> 03:09:11.526]  They say, oh, no, wait a minute, that must have been something else.
[03:09:11.526 --> 03:09:21.829]  But there is this sort of spiritual law around revealing things, and then there is the predictive programming, which you could say is also designed to get people to
[03:09:23.215 --> 03:09:25.317]  To respond the way you want them to respond, right?
[03:09:25.317 --> 03:09:30.182]  So you put out movies like that Soderbergh film that was ridiculously bad about the pandemic, right?
[03:09:30.182 --> 03:09:31.143]  That was done a few years ago.
[03:09:31.143 --> 03:09:31.944]  What was the name of it?
[03:09:31.944 --> 03:09:32.825]  Do you remember?
[03:09:32.825 --> 03:09:39.251]  Soderbergh made it with, uh, anyway, with Jude Law and all his people in this, and how the CDC is racing to save everyone from this deadly new virus.
[03:09:39.251 --> 03:09:41.613]  Oh yeah, they even had a movie right before it came out that showed it, yeah.
[03:09:41.653 --> 03:09:47.116]  Well, it came out a few years ago and then the point was that like when the lockdown started, all these people going, Oh, it's trending on Netflix.
[03:09:47.116 --> 03:09:55.501]  Everyone's going to watch this movie again, you know, because it's, it's this, it's basically telling you how they want you to respond, how they want you to perceive the CDC as the savior.
[03:09:55.501 --> 03:09:57.902]  They want you to perceive the government as the good guys.
[03:09:57.902 --> 03:09:58.082]  Right.
[03:09:58.082 --> 03:10:01.024]  And that's a lot of the films in general that we've seen across time.
[03:10:01.024 --> 03:10:01.224]  Right.
[03:10:01.224 --> 03:10:11.049]  So consistently this idea of, you know, the good guys and, you know, in the UN or whatever, and, you know, in the good CIA, and then like, there's a one rogue bad CIA guy, but the CIA in general is good.
[03:10:11.149 --> 03:10:25.237]  I mean, this is the same narrative that gets pushed across over and over to just get people to really be docile in a sense, to not think for themselves, to not realize that the government is not your friend and has, again, has become this behemoth.
[03:10:25.237 --> 03:10:27.679]  You know what's interesting about the federal government?
[03:10:27.679 --> 03:10:28.299]  It's about 40% of our GDP.
[03:10:30.083 --> 03:10:33.584]  Do you realize what that means to our reality?
[03:10:33.584 --> 03:10:37.505]  The federal government is 40% of our GDP as a nation.
[03:10:37.505 --> 03:10:38.945]  Think about that.
[03:10:38.945 --> 03:10:42.286]  All this spending, all the military, industrial complex, so-called, but it's everything.
[03:10:42.286 --> 03:10:43.146]  It's pharma.
[03:10:43.146 --> 03:10:45.487]  Everything is spending money from the government.
[03:10:45.487 --> 03:10:47.267]  And so in closing, let me raise that.
[03:10:47.267 --> 03:10:49.788]  The big front and center threat is Zelensky.
[03:10:49.788 --> 03:10:51.048]  I don't like the Russians invading.
[03:10:51.048 --> 03:10:52.089]  I'm not choosing a side.
[03:10:53.789 --> 03:10:54.769]  NATO started the war.
[03:10:54.769 --> 03:10:56.150]  They overthrew the government eight years ago.
[03:10:56.150 --> 03:10:56.650]  We all know that.
[03:10:56.650 --> 03:11:01.211]  Your dad made great films exposing it way before predicting it would all happen.
[03:11:01.211 --> 03:11:04.112]  But now they fire a missile 100 miles out of bounds.
[03:11:04.112 --> 03:11:06.092]  I say it's an anti-aircraft missile.
[03:11:06.092 --> 03:11:07.232]  They later confirm it.
[03:11:07.232 --> 03:11:08.373]  The Pentagon says it doesn't matter.
[03:11:08.373 --> 03:11:09.873]  It's still Russia's fault.
[03:11:09.873 --> 03:11:15.815]  And Zelensky calls for Article 5 to be invoked and NATO to attack Russia, which will lead to nuclear war.
[03:11:15.815 --> 03:11:17.015]  These people are out of their minds.
[03:11:17.315 --> 03:11:18.275]  Yeah, well, we know this.
[03:11:18.275 --> 03:11:19.436]  I mean, why haven't they gone for peace?
[03:11:19.436 --> 03:11:25.298]  I mean, the point was that we could have had a peace deal pretty quickly during, you know, right after the invasion.
[03:11:25.298 --> 03:11:28.799]  There was opportunity for peace, and Zelensky and company pulled out, right?
[03:11:28.799 --> 03:11:29.899]  And so, and the U.S.
[03:11:29.899 --> 03:11:31.800]  has not pushed for peace since that time.
[03:11:31.800 --> 03:11:39.562]  So here, you know, even Russell Brand is making fun of Biden, going, this guy is sitting there like an old man on the side of the porch going, you know, if we stay on this course, there's going to be a nuclear war.
[03:11:39.562 --> 03:11:40.983]  It's like, why don't you do something about it?
[03:11:40.983 --> 03:11:42.623]  Maybe, you know, maybe move towards peace.
[03:11:42.623 --> 03:11:43.584]  Why don't you?
[03:11:43.584 --> 03:11:44.504]  It's, they're insane.
[03:11:44.784 --> 03:11:46.304]  And people take it as a Russian loss.
[03:11:46.304 --> 03:11:48.745]  They've got 100,000 dead troops, reportedly 100,000 dead Ukrainians.
[03:11:48.745 --> 03:11:49.185]  No.
[03:11:49.185 --> 03:11:52.046]  This is a real giant war in Europe.
[03:11:52.046 --> 03:11:54.206]  This has got to stop.
[03:11:54.206 --> 03:11:57.827]  I mean, without question, war is slaughter.
[03:11:57.827 --> 03:12:08.089]  War is what they need when they want to create chaos and do more controlling, and another way to disguise the central bankers and their incredible irresponsibility.
[03:12:08.922 --> 03:12:08.962]  No.
[03:12:37.766 --> 03:12:44.151]  By the way, I just want to really say it again, or say, expand on this.
[03:12:44.151 --> 03:12:48.734]  You've got to teach yourself about the technology of psyops.
[03:12:48.734 --> 03:12:53.097]  Because unless you understand how it works, you're going to be vulnerable to it.
[03:12:53.097 --> 03:12:57.821]  And there are certainly many places that you can find information about psyops.
[03:12:57.821 --> 03:13:00.643]  But if you also look at the history of psychiatry,
[03:13:01.383 --> 03:13:09.188]  And Edward Bernays, and the ways in which spies are taught how to be spies.
[03:13:09.188 --> 03:13:15.032]  You're going to understand more about how you're being manipulated, so that you can catch it when it happens.
[03:13:15.032 --> 03:13:21.876]  I mean, most of us are kind and good-hearted people, so... That's right, if you're not aware that there's a war on for your mind, you're basically gonna lose.
[03:13:21.876 --> 03:13:23.777]  That's right, that's right.
[03:13:23.777 --> 03:13:24.278]  Exactly.
[03:13:24.278 --> 03:13:27.700]  Which is another reason why InfoWars is so incredibly important.
[03:13:28.288 --> 03:13:30.489]  Well, I appreciate you guys.
[03:13:30.489 --> 03:13:43.517]  What I'm happy about is I see so many great new talk show hosts and other talk show hosts really waking up that now, you know, because Sean's been doing this forever, so have I. You've obviously been awake a long time, Vivian, but there's so many new people popping up.
[03:13:43.517 --> 03:13:45.378]  I don't think their attempt to shut this down is going to work.
[03:13:45.638 --> 03:13:50.339]  No, it's like every time they take one out, a hundred are born and it metastasizes, right?
[03:13:50.339 --> 03:13:51.600]  And that's the beauty of this thing.
[03:13:51.600 --> 03:14:00.962]  It's like the more that, oh, we censor one, a thousand, you know, you end up with, look, Rumble and BitchTube have popped up ever since YouTube started banning, you know, conspiracy theorists, right?
[03:14:00.962 --> 03:14:11.825]  So it's just an inevitability of human consciousness that the more they try to target and censor, the more it actually leads to more people waking up and going, hey, maybe Kyrie is right, you know, maybe Kanye is right, right?
[03:14:11.825 --> 03:14:14.446]  And that's the key, is evil always loses.
[03:14:14.966 --> 03:14:22.989]  And it doesn't mean we're perfect in our resistance to it, but we're trying to be good, trying to find a real future for everybody, and we're not going to be happy until we do that.
[03:14:22.989 --> 03:14:25.930]  Sean, you've got best-selling books, you've got films, everything.
[03:14:25.930 --> 03:14:27.611]  How do people find all your great work?
[03:14:27.611 --> 03:14:27.971]  Absolutely.
[03:14:27.971 --> 03:14:30.772]  SeanStone.info, that's the best place to go.
[03:14:30.772 --> 03:14:32.953]  Best Kept Secret is a must-watch docuseries.
[03:14:32.953 --> 03:14:34.914]  If you want to talk about PsyOps, it's in there.
[03:14:34.914 --> 03:14:38.095]  And your book about the Anglo-American establishment couldn't be out at a better time?
[03:14:38.095 --> 03:14:39.495]  The New World Order is available.
[03:14:39.495 --> 03:14:43.497]  I think you guys have it too from InfoWars, and everything is available through SeanStone.info.
[03:14:44.638 --> 03:14:46.079]  And Vivian, you're quite the enigma.
[03:14:46.079 --> 03:14:48.020]  I mean, I've been a big fan of your dad.
[03:14:48.020 --> 03:14:52.183]  Before I ever met you, I knew you worked on a lot of his films and the music for Full Metal Jacket.
[03:14:52.183 --> 03:14:56.626]  Getting to know you in the last 15 years has been great, and so I'm very honored that you come on my show and Sean's show.
[03:14:56.626 --> 03:14:59.048]  Isn't that about it?
[03:14:59.048 --> 03:14:59.368]  Sorry, what?
[03:14:59.368 --> 03:15:00.289]  I mean, how many shows do you do?
[03:15:00.289 --> 03:15:01.089]  You only go on a few shows.
[03:15:01.089 --> 03:15:05.152]  No, I think I can count it on one hand, and most of it is with you.
[03:15:05.152 --> 03:15:06.753]  Well, we're very honored to have you.
[03:15:06.753 --> 03:15:09.155]  Jay Dyer is about to take over, Vivian.
[03:15:09.155 --> 03:15:10.036]  30-second closing comment.
[03:15:10.649 --> 03:15:16.655]  Uh, just that if you want to find me, I'm on Gab at V-I-K-U 1111.
[03:15:16.655 --> 03:15:18.536]  So, V-I-K-U 1111.
[03:15:18.536 --> 03:15:23.041]  And next time you're on, hopefully come on soon, we'll put the lower third up.
[03:15:23.041 --> 03:15:24.662]  Say it one more time, people are going to be calling us.
[03:15:24.662 --> 03:15:25.323]  How do they find you?
[03:15:26.003 --> 03:15:32.646]  I'm on Gab because I got chucked off Twitter for saying that COVID was 97.7% non-lethal.
[03:15:32.646 --> 03:15:37.729]  Although, I now recently got a letter saying that I'll never be allowed back on because I broke too many rules.
[03:15:37.729 --> 03:15:40.690]  And they're never going to speak to me again, and they're never going to answer my emails.
[03:15:40.690 --> 03:15:41.751]  Well, they sure taught you.
[03:15:41.751 --> 03:15:44.912]  Now you're on the air reaching probably 3 million people watching right now.
[03:15:44.912 --> 03:15:46.793]  So Vivian Kubrick, search her on Gab.
[03:15:46.793 --> 03:15:49.214]  All right, the great Jade Iron takes over straight ahead.
[03:15:49.214 --> 03:15:51.155]  John Stone, Vivian Kubrick, thank you so much.
[03:15:51.155 --> 03:15:52.036]  Bye, everyone.
[03:15:52.036 --> 03:15:53.476]  All right, everybody, have a great weekend.
[03:15:53.476 --> 03:15:54.697]  Owen Schwerer comes up in 45 minutes.
[03:15:57.196 --> 03:15:57.716]  Look at that.
[03:15:57.716 --> 03:16:02.700]  Everybody else is just like yellow or clear and that's because it's been denatured, it's been watered down.
[03:16:02.700 --> 03:16:03.800]  We didn't do that.
[03:16:05.451 --> 03:16:09.972]  You think I would metaphysically tell you something that is the very best I can get?
[03:16:09.972 --> 03:16:12.213]  I'd rather go to hell than do that.
[03:16:12.213 --> 03:16:21.236]  I will only give you the maximum best info, the maximum truth, the maximum product, because I want that goodwill!
[03:16:21.236 --> 03:16:22.976]  What I do to you, I do to myself.
[03:16:22.976 --> 03:16:24.777]  Don't you get the big secret?
[03:16:24.777 --> 03:16:27.318]  You ever seen fish oil look like that?
[03:16:27.318 --> 03:16:29.198]  No, you've never seen that, have you?
[03:16:29.198 --> 03:16:31.979]  And this little jewel right here is solid.
[03:16:39.682 --> 03:16:41.163]  Look it up.
[03:16:41.163 --> 03:16:43.705]  Find out.
[03:16:43.705 --> 03:16:47.188]  How even the FDA and the government admits fish oil is incredible.
[03:16:47.188 --> 03:16:52.512]  The number one thing anybody can do for themselves is take good fish oil or krill oil.
[03:16:52.512 --> 03:16:55.615]  Just like our information is dynamite, so are our products in forestore.com.
[03:16:56.866 --> 03:17:08.889]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[03:17:08.889 --> 03:17:14.311]  He is consecutively the most Googled man in the world in the last two years.
[03:17:14.311 --> 03:17:18.912]  And that's because his message is about human, and specifically, male empowerment.
[03:17:19.392 --> 03:17:25.656]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[03:17:25.656 --> 03:17:28.618]  Introducing Top G Supplements.
[03:17:28.618 --> 03:17:33.881]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[03:17:33.881 --> 03:17:39.885]  Now you have the chance to benefit in body, mind, and soul with the same supplements that Andrew Tate takes himself.
[03:17:39.885 --> 03:17:43.507]  Learn more about these amazing products at andrewtatepower.com.
[03:17:44.668 --> 03:17:49.457]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements.
[03:17:49.457 --> 03:17:51.261]  They're the highest quality on the market.
[03:17:51.261 --> 03:17:52.202]  Men grow up to be like me.
[03:17:52.202 --> 03:17:57.152]  You're gonna have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[03:17:58.721 --> 03:18:01.203]  Alex, why is this taking so long?
[03:18:01.203 --> 03:18:02.485]  Why is this taking so long?
[03:18:02.485 --> 03:18:05.968]  In France, they can count all the paper ballots and they're done in a day.
[03:18:05.968 --> 03:18:07.249]  Why can't we do this here?
[03:18:07.249 --> 03:18:09.792]  The answer is fraud and corruption.
[03:18:09.792 --> 03:18:15.637]  If we don't fix the system, it doesn't matter whether the Republican nominee is Donald Trump or Governor DeSanctimonious.
[03:18:15.797 --> 03:18:17.619]  They're going to deny us Michigan.
[03:18:17.619 --> 03:18:19.540]  They're going to deny us Pennsylvania.
[03:18:19.540 --> 03:18:21.462]  They're going to deny us Arizona.
[03:18:21.462 --> 03:18:32.050]  And I can't come to 270 electoral votes without any of those states where I believe there is an America First majority in every single one of them.
[03:18:32.050 --> 03:18:36.193]  So we need to keep fighting for reform of the system.
[03:18:36.193 --> 03:18:39.095]  Tucker Carlson said this better last night than anything else.
[03:18:39.095 --> 03:18:41.257]  Communications are the reason why we didn't well.
[03:18:41.497 --> 03:18:45.178]  That's why Infowars.com is so damn important.
[03:18:45.178 --> 03:18:48.519]  That's why they're so desperate to take you off the air, Alex.
[03:18:48.519 --> 03:18:50.740]  People need to get behind Infowars.
[03:18:50.740 --> 03:18:56.001]  This alternative media that we work so hard to bring you is vitally important.
[03:18:56.001 --> 03:18:58.902]  We need more of this communications, not less.
[03:18:58.902 --> 03:19:09.965]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deem fit.
[03:19:10.205 --> 03:19:12.107]  The First Amendment is unique in the world.
[03:19:12.107 --> 03:19:13.568]  That's what they want to take away.
[03:19:13.568 --> 03:19:15.089]  Your ability to speak freely.
[03:19:15.089 --> 03:19:16.811]  So they're going to go for Mike Lindell next?
[03:19:16.811 --> 03:19:18.052]  Or are they going to go for Steve Bannon?
[03:19:18.052 --> 03:19:19.893]  Or are they going to go for Tucker Carlson?
[03:19:19.893 --> 03:19:22.515]  I studied The Globalist 30 years ago, but on air 28 years.
[03:19:22.515 --> 03:19:24.737]  And I knew they were planning all of this.
[03:19:24.737 --> 03:19:27.119]  And I warned the public, as a modern Paul Revere.
[03:19:27.119 --> 03:19:29.141]  But I couldn't have done it without your support.
[03:19:29.141 --> 03:19:36.087]  And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to The Globalist agenda.
[03:19:36.727 --> 03:19:42.110]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[03:19:42.110 --> 03:19:51.056]  So I salute you and I thank you and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsTore.com and getting amazing products that keep us on air.
[03:19:51.056 --> 03:19:58.420]  1776 is the promo code, the destination is InfoWarsTore.com and I thank you all for your support.
[03:19:58.420 --> 03:20:04.324]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:14.370 --> 03:20:15.350]  Welcome back to the Alex Jones Show.
[03:20:15.350 --> 03:20:17.891]  I'm your guest, this is Jay Dyer of Jay's Analysis.
[03:20:17.891 --> 03:20:26.373]  I was listening to Vivian and Sean give their analysis of the way that we understand how the global power structure works.
[03:20:26.373 --> 03:20:30.694]  I was really happy to hear them referring to organized crime and the structure of organized crime.
[03:20:30.694 --> 03:20:36.075]  I gave an interview this week on one of the largest true crime channels on YouTube, Sean Atwood.
[03:20:36.075 --> 03:20:37.055]  Shout out to Sean Atwood.
[03:20:37.575 --> 03:20:45.001]  We had a whole 30-minute discussion of the history of organized crime, how that ties into the assassination of JFK, most likely.
[03:20:45.001 --> 03:20:48.824]  That's one of the prevalent theories that seems to have the most evidence behind it.
[03:20:48.824 --> 03:20:58.631]  Of course, I think there's other power players as well behind the assassination of JFK, including intelligence agencies, including foreign governments, as well as organized crime and the mob.
[03:20:59.532 --> 03:21:12.437]  And I wanted to review a little bit of that because that's one of the first things I discussed in the fourth hour two years ago on the Alex Jones Show, having been hosting the fourth hour now for two years, a little over two years.
[03:21:12.437 --> 03:21:15.798]  Because this week it was big, big, big news.
[03:21:15.798 --> 03:21:17.319]  This huge dynamic.
[03:21:17.858 --> 03:21:18.398]  We're good.
[03:21:33.329 --> 03:21:33.970]  We're good to go.
[03:21:49.341 --> 03:22:04.647]  And then we have this sudden emerging thing on the scene with the face of the quasi-autistic, afro-minded man-boob figure of Sam Bankman Freed, who's supposedly this genius that nobody, you know, he's way beyond everybody.
[03:22:04.647 --> 03:22:08.849]  He sleeps on a beanbag in his office and he's got floppy hair.
[03:22:10.419 --> 03:22:17.527]  He just happens to be best friends with Bill Clinton and they're so close and it's just all gonna be wonderful with all this crypto.
[03:22:17.527 --> 03:22:18.768]  And then what do we know?
[03:22:18.768 --> 03:22:19.589]  Shocker!
[03:22:19.589 --> 03:22:25.075]  It's a big, huge, bigger than Enron scam!
[03:22:25.075 --> 03:22:32.883]  And he's still tweeting, he's still trying to explain himself as this altruistic billionaire who wants to give all of his money away.
[03:22:33.752 --> 03:22:46.496]  As he lives together with a goblin-faced creature, supposedly his, quote, girlfriend, that they all sleep together in a giant orgy with ten people living in an apartment complex.
[03:22:46.496 --> 03:22:47.416]  I mean, come on.
[03:22:47.416 --> 03:22:50.137]  Does anybody really believe that this guy was running this?
[03:22:50.137 --> 03:22:55.019]  Well, it turns out, as if you listen to BitBoy's interviews, BitBoy has dug really deep into this.
[03:22:55.019 --> 03:22:59.480]  I think Owen had BitBoy on, and they talked about the background to this whole scandal.
[03:22:59.480 --> 03:23:02.101]  And over on BitBoy's channel, he's gone into depth with
[03:23:02.788 --> 03:23:11.434]  Other people who, this Friedberg character who was involved in a famous early 2000s online poker scam.
[03:23:11.434 --> 03:23:18.159]  And so it seems like they sort of recruited in these people who had a history of running high-level scams.
[03:23:18.159 --> 03:23:29.667]  And this was pumped up to the nth degree with all of these Hollywood people, all of these stars, all these famous people pointing out how amazing FTX was, the FTX token, all this stuff.
[03:23:29.667 --> 03:23:31.609]  And it was, and people are shocked
[03:23:32.370 --> 03:23:37.813]  At how fraudulent and fake all of this is turning out to be.
[03:23:37.813 --> 03:23:38.374]  Yes, there you go.
[03:23:38.374 --> 03:23:44.817]  Would you like to join these two in a round of coitus?
[03:23:44.817 --> 03:23:46.758]  I know everybody's tempted in the audience.
[03:23:46.758 --> 03:23:49.420]  Try to hold back your temptation there.
[03:23:49.420 --> 03:23:53.022]  Let's go take a cold shower real quick if you need to.
[03:23:53.022 --> 03:23:57.945]  If you're giving in to your base passions right now, but I'm just joking.
[03:23:57.945 --> 03:24:01.387]  This is no shocker because as I'm listening to everybody talking about
[03:24:02.034 --> 03:24:03.696]  It's a Ponzi scheme.
[03:24:03.696 --> 03:24:04.937]  It's a rug pull.
[03:24:04.937 --> 03:24:06.498]  There's nothing behind the tokens.
[03:24:06.498 --> 03:24:07.178]  It's fiat.
[03:24:07.178 --> 03:24:09.720]  They're taking all the money.
[03:24:09.720 --> 03:24:12.403]  That's exactly how the Federal Reserve works.
[03:24:12.403 --> 03:24:15.325]  It's like, everybody's shocked.
[03:24:15.325 --> 03:24:20.649]  We'll wait till you find out that the Federal Reserve is the same scam system.
[03:24:20.649 --> 03:24:22.391]  It's a giant rug pull Ponzi scheme.
[03:24:23.351 --> 03:24:45.950]  And if you go back, you know, the creature from Jekyll Island, if you go back to Woodrow Wilson, Colonel Edwin Mandel House, who was the UK banking elite agent who helped get all that legislation through, who helped promote Woodrow Wilson, setting up and weaponizing the Federal Reserve System, which, by the way, is part of the Communist Manifesto.
[03:24:45.950 --> 03:24:49.072]  If you didn't know, you might think that communists don't like bankers.
[03:24:49.072 --> 03:24:52.235]  But in fact, if you remember, we did a whole breakdown of this famous book.
[03:24:53.061 --> 03:24:59.585]  No, in fact, communism has always had billionaire funding, as did fascism.
[03:24:59.585 --> 03:25:05.228]  Fascism has the exact same history as Professor Anthony Sutton has shown in his books.
[03:25:05.228 --> 03:25:18.136]  So it also turns out that there seems to be connections to MIT, the background of FTX, people at MIT, people in the finance department, people connected to some of those Epstein departments, it turns out.
[03:25:18.136 --> 03:25:19.516]  And why is that?
[03:25:19.516 --> 03:25:22.038]  Well, because this is a giant Ponzi scheme.
[03:25:22.785 --> 03:25:29.670]  A giant scam intended precisely to funnel people's money offshore.
[03:25:29.670 --> 03:25:38.617]  And again, if you are shocked by this, I can't stress how shocking it is to you to understand that the dollar is the same.
[03:25:38.617 --> 03:25:45.503]  You understand that they're doing the same thing with your tax money, with the dollar, especially when it moved off of the gold standard.
[03:25:46.132 --> 03:25:50.514]  But even prior to that, Dr. Carol Quigley, everybody knows all the hold up the books, right?
[03:25:50.514 --> 03:26:00.498]  It's just basically a show and tell book program over here in the fourth hour with me, your librarian nerd who does your homework for you.
[03:26:00.498 --> 03:26:07.681]  Dr. Carol Quigley talks about how the banker notes were always a fiat scam going back hundreds of years.
[03:26:07.681 --> 03:26:12.143]  And they would print up more notes and flood the society with notes.
[03:26:14.113 --> 03:26:30.596]  Beyond the actual gold holdings that they had and that was part of this gold note scam and So the same thing is the model for the central bank that was set up throughout the the central bank So should they set up throughout the throughout Europe?
[03:26:30.596 --> 03:26:40.758]  Throughout the 1800s and the 1900s and that became the model for the Bank for International Settlements Which is the World Reserve Bank of World Reserve Banks the Federal Reserve of Federal Reserves?
[03:26:40.758 --> 03:26:43.338]  It's the central Federal Reserve Bank of the world
[03:26:44.201 --> 03:26:45.842]  Federal Reserve Banking System.
[03:26:45.842 --> 03:26:54.886]  They all are connected to that hub, and most people don't know about this by design, on purpose.
[03:26:54.886 --> 03:26:58.828]  And that's why it occupies a central section of Carol Quigley's Strategy and Hope.
[03:26:59.517 --> 03:27:02.919]  As well as a few other people who seem to have picked up on this over the years.
[03:27:02.919 --> 03:27:21.788]  A few economists and a few people who have written on this, but for the most part people just are mystified and they think it's like this big onion layered scheme scam of all of these different, you know, economics and so the GDP and the jobs report and this report and that report and it's all a bunch of mystery and smoke and mirrors.
[03:27:21.788 --> 03:27:23.329]  And guess what?
[03:27:23.329 --> 03:27:26.191]  Guess what's behind all that smoke and mirrors?
[03:27:26.191 --> 03:27:28.472]  Well, it's not stacks of gold
[03:27:29.375 --> 03:27:32.936]  At Fort Knox, right?
[03:27:32.936 --> 03:27:35.757]  It's FTT scam tokens.
[03:27:35.757 --> 03:27:37.257]  It's the exact same thing.
[03:27:37.257 --> 03:27:40.498]  So if you're mad about FTX or you think that, oh, crypto's a scam.
[03:27:40.498 --> 03:27:42.499]  It's not a scam.
[03:27:42.499 --> 03:27:44.299]  Many cryptos are scams.
[03:27:44.299 --> 03:27:46.880]  But you understand this has nothing to do, for example, with Bitcoin.
[03:27:46.880 --> 03:27:50.361]  Bitcoin is the preeminent inflationary.
[03:27:50.361 --> 03:27:51.381]  It's the hardest asset.
[03:27:51.381 --> 03:27:53.902]  It's completely inflationary resistant.
[03:27:54.904 --> 03:28:20.432]  Because it has the fixed number of coins that can never be inflated beyond the fixed number when the last Bitcoin is mined and so it's extremely rare and for that reason it is not like these kinds of Proof-of-stake coins that are all just printed out of thin air These are all again literally modeled on the Federal Reserve System on the Enron style scam system and
[03:28:21.113 --> 03:28:30.656]  On the coming carbon scam system, when they pull out, roll out the carbon credits and the carbon tokens and the carbon-based cryptos, those are already starting to roll out.
[03:28:30.656 --> 03:28:31.516]  Guess what?
[03:28:31.516 --> 03:28:37.238]  They're the exact same model as FTX and all of the other collapsed scam models.
