[00:00.000 --> 00:29.960]  Just how much of the Great Reset has already dug its blood-soaked talons into modern civilization?
[1:30:46.960 --> 1:30:49.960]  funding the tip of the spear in the fight against the globalist.
[1:30:49.960 --> 1:30:52.960]  Super Blue being sold out for more than a year and a half.
[1:30:52.960 --> 1:30:57.960]  Finally back available at InfoWarsStore.com.
[1:30:57.960 --> 1:31:01.960]  Ladies and gentlemen if millions of people get this book our funding problems will be over
[1:31:01.960 --> 1:31:02.960]  and it's starting to happen.
[1:31:02.960 --> 1:31:06.960]  That's why I said yeah go to InfoWarsStore.com get the book and start shipping in a couple
[1:31:06.960 --> 1:31:07.960]  weeks.
[1:31:07.960 --> 1:31:10.960]  The great reset in the war for the world but I said go to Amazon because it's the number
[1:31:10.960 --> 1:31:15.960]  one book chart in the world and if it goes to number one not a political not of history
[1:31:15.960 --> 1:31:20.960]  not of US history it's already number one over 40 categories like political science you name
[1:31:20.960 --> 1:31:21.960]  it.
[1:31:21.960 --> 1:31:22.960]  40 plus categories is number one.
[1:31:22.960 --> 1:31:27.960]  Ladies and gentlemen drum roll please of books in the world.
[1:31:27.960 --> 1:31:33.960]  The great reset in the war for the world is 1, 2, 3, 4, 5, 6, 7, 8, 9.
[1:31:33.960 --> 1:31:37.960]  We are now number 9 in the world.
[1:31:37.960 --> 1:31:39.960]  This is major.
[1:31:39.960 --> 1:31:40.960]  This is political.
[1:31:40.960 --> 1:31:42.960]  This could fund our war chest.
[1:31:42.960 --> 1:31:45.960]  Just go to Amazon.com everybody and buy 10 copies.
[1:31:45.960 --> 1:31:50.960]  Send this blueprint to the Death Star and the New World Order because you read this you
[1:31:50.960 --> 1:31:51.960]  know their whole plan how to stop them.
[1:31:51.960 --> 1:31:53.960]  Get the great reset in the war for the world now.
[1:31:53.960 --> 1:31:54.960]  It's going to go to number one.
[1:31:54.960 --> 1:31:57.960]  What do you make of that?
[1:31:57.960 --> 1:32:01.960]  Ladies and gentlemen if millions of people get this book our funding problems will be
[1:32:01.960 --> 1:32:03.960]  over and it's starting to happen.
[1:32:03.960 --> 1:32:06.960]  That's why I said yeah go to infoworkstore.com get the book and start shipping in a couple
[1:32:06.960 --> 1:32:07.960]  weeks.
[1:32:07.960 --> 1:32:10.960]  The great reset in the war for the world but I said go to Amazon because it's the number
[1:32:10.960 --> 1:32:15.960]  one book chart in the world and if it goes to number one not a political not of history
[1:32:15.960 --> 1:32:20.960]  not of US history it's already number one over 40 categories like political science you
[1:32:20.960 --> 1:32:21.960]  name it.
[1:32:21.960 --> 1:32:22.960]  40 plus categories is number one.
[1:32:22.960 --> 1:32:28.960]  Ladies and gentlemen drum roll please of books in the world.
[1:32:28.960 --> 1:32:33.960]  The great reset in the war for the world is one two three four five six seven eight
[1:32:33.960 --> 1:32:34.960]  nine.
[1:32:34.960 --> 1:32:38.960]  We are now number nine in the world.
[1:32:38.960 --> 1:32:40.960]  This is major.
[1:32:40.960 --> 1:32:41.960]  This is political.
[1:32:41.960 --> 1:32:42.960]  This could fund our war chest.
[1:32:42.960 --> 1:32:46.960]  Just go to Amazon.com everybody and buy 10 copies.
[1:32:46.960 --> 1:32:51.960]  Send this blueprint to the Death Star and the New World Order because you read this you
[1:32:51.960 --> 1:32:52.960]  all plan how to stop them.
[1:32:52.960 --> 1:32:54.960]  Hit the great reset in the war for the world now.
[1:32:54.960 --> 1:32:55.960]  It's going to go to number one.
[1:32:55.960 --> 1:32:59.960]  What do you make of that?
[1:32:59.960 --> 1:33:12.960]  Leading a frontal assault on the lies of the New World Order it's Alex Jones.
[1:33:12.960 --> 1:33:14.960]  Welcome back to the Alex Jones show.
[1:33:14.960 --> 1:33:16.960]  This is Robert Barnes guest hosting.
[1:33:16.960 --> 1:33:21.960]  We've been talking about the various reasons why the deep state is in a desperate state
[1:33:21.960 --> 1:33:26.960]  and in the next segment we'll break down what some of their next steps might be and what
[1:33:26.960 --> 1:33:31.960]  their script or where their script has already gone AWOL in recent past.
[1:33:31.960 --> 1:33:34.960]  But let's just look at some of the headlines around the world.
[1:33:34.960 --> 1:33:39.960]  We have a labor market that continues to be unable and incapable of giving us back the
[1:33:39.960 --> 1:33:43.960]  same jobs we had just prior to the pandemic.
[1:33:43.960 --> 1:33:47.960]  Now you might have seen various unemployment reports and job reports and payroll reports
[1:33:47.960 --> 1:33:49.960]  that suggest otherwise.
[1:33:49.960 --> 1:33:54.960]  But what they're not telling you is the reason why the payroll is up is because people are
[1:33:54.960 --> 1:33:56.960]  taking more jobs.
[1:33:56.960 --> 1:34:01.960]  The payroll of jobs that were a one earner jobs have actually gone down.
[1:34:01.960 --> 1:34:06.960]  The best place to measure this is something called the labor force participation rate.
[1:34:06.960 --> 1:34:11.960]  You can also get a lot more honest data from a site called shadow stats.
[1:34:11.960 --> 1:34:16.960]  Shadow stats tracks the data using the same methods we used to use before we started
[1:34:16.960 --> 1:34:22.960]  politically manipulating them in such great lengths in the 1990s and 2000s before they
[1:34:22.960 --> 1:34:26.960]  will show you what the unemployment rate would look like if we use the same metric that we
[1:34:26.960 --> 1:34:27.960]  previously used.
[1:34:27.960 --> 1:34:30.960]  Same with inflation, same with money supply and other aspects.
[1:34:30.960 --> 1:34:34.960]  But here the labor force participation rate gives away the story.
[1:34:34.960 --> 1:34:39.960]  The labor force participation rate looks like the Obama years where it never just could
[1:34:39.960 --> 1:34:44.960]  never recover to its pre-global financial crisis of 2008 levels.
[1:34:44.960 --> 1:34:46.960]  We're seeing the same thing now.
[1:34:46.960 --> 1:34:52.960]  And not only that, what we're also seeing is dangerous signs in consumer sentiment, dangerous
[1:34:52.960 --> 1:34:55.960]  signs in the stock market and bond market.
[1:34:55.960 --> 1:34:59.960]  Bond market one of its worst years and decades.
[1:34:59.960 --> 1:35:02.960]  We're seeing increasing problems in the housing market.
[1:35:02.960 --> 1:35:08.960]  And the housing market matters because what has happened over the years since the 1990s
[1:35:08.960 --> 1:35:14.960]  but starting heavily in 2000 was people began to use the mere perception of the increased
[1:35:14.960 --> 1:35:18.960]  value of their home to spend more, to invest more.
[1:35:18.960 --> 1:35:20.960]  That in turn boosted the economy.
[1:35:20.960 --> 1:35:24.960]  When housing falls now, it's not just housing that goes down.
[1:35:24.960 --> 1:35:27.960]  It's not just your net worth that declined.
[1:35:27.960 --> 1:35:31.960]  What happens is people's spending habits substantially decline.
[1:35:31.960 --> 1:35:34.960]  And that becomes its own problem.
[1:35:34.960 --> 1:35:39.960]  And at the same time, while you have organizations like BlackRock buying up various residential
[1:35:39.960 --> 1:35:43.960]  homes in mass, you also have the evictions coming back online.
[1:35:43.960 --> 1:35:46.960]  All those moratoriums are gone, finally fading out.
[1:35:46.960 --> 1:35:50.960]  So you're going to have in the next several months, mass evictions taking place.
[1:35:50.960 --> 1:35:53.960]  You're going to see rents continue to rise.
[1:35:53.960 --> 1:35:58.960]  You're going to see housing values as finally the housing inventory continues to increase
[1:35:58.960 --> 1:36:03.960]  and the supply problem disappears while the prices continue to collapse.
[1:36:03.960 --> 1:36:09.960]  Which will be further enhanced by the Federal Reserve increasing interest rates that force
[1:36:09.960 --> 1:36:11.960]  the mortgage rates to go up.
[1:36:11.960 --> 1:36:15.960]  Indeed, mortgage rates, and you look at the ordinary mortgage, they've more than doubled
[1:36:15.960 --> 1:36:17.960]  in about five years.
[1:36:17.960 --> 1:36:21.960]  And wages haven't, ordinary incomes haven't.
[1:36:21.960 --> 1:36:25.960]  So that's a kind of economic reality that's going to create more problems.
[1:36:25.960 --> 1:36:31.960]  Then you compound that with many companies being unhappy with remote working and now trying to demand
[1:36:31.960 --> 1:36:37.960]  that all the people who got satisfied with remote working come back and work in person.
[1:36:37.960 --> 1:36:39.960]  Which will raise its own issues.
[1:36:39.960 --> 1:36:43.960]  Now some companies are doing that to cover up for the fact that they discriminated against people
[1:36:43.960 --> 1:36:47.960]  in mandating an unnecessary and dangerous vaccine that they take.
[1:36:47.960 --> 1:36:52.960]  But some of it is also their own corporate interest in preserving corporate real estate
[1:36:52.960 --> 1:36:58.960]  that they have various investments in financial and legal and political ties to.
[1:36:58.960 --> 1:37:02.960]  But some of it may be for legitimate independent economic reasons.
[1:37:02.960 --> 1:37:05.960]  But either way, what you're going to have is mass rebellion.
[1:37:05.960 --> 1:37:10.960]  Because a lot of people, first of all, they work from home that gives them a certain tax deduction
[1:37:10.960 --> 1:37:11.960]  that's available to them.
[1:37:11.960 --> 1:37:13.960]  And that might be important.
[1:37:13.960 --> 1:37:18.960]  Let's say you're one of those people that got your student loans forgiven by old Joe Biden,
[1:37:18.960 --> 1:37:19.960]  by Uncle Joe.
[1:37:19.960 --> 1:37:24.960]  What you may not know is that that's taxed as forgiveness of income.
[1:37:24.960 --> 1:37:29.960]  Because forgiveness of debt is taxed as ordinary income under most state tax law provisions.
[1:37:29.960 --> 1:37:34.960]  Consequently, and maybe even potentially under federal law provisions, depending on the circumstances.
[1:37:34.960 --> 1:37:39.960]  So a bunch of people who thought that they, who actually probably weren't in a position to pay back their tax anyway,
[1:37:39.960 --> 1:37:46.960]  now got to turn around and write a check for the privilege, who couldn't pay back their student loan debt anyway.
[1:37:46.960 --> 1:37:49.960]  Now they're going to have to pay tax that they weren't otherwise going to have to pay.
[1:37:49.960 --> 1:37:52.960]  So all of these issues economically accumulating.
[1:37:52.960 --> 1:37:56.960]  A low labor force participation rate.
[1:37:56.960 --> 1:38:02.960]  A housing collapse of the main form of wealth and main form of spending boost in the United States.
[1:38:02.960 --> 1:38:10.960]  A stock market decline that may in turn trigger a pension decline, which is another second mechanism and method
[1:38:10.960 --> 1:38:15.960]  by which people hold up their financial contributions to the economy and consumption and investment.
[1:38:15.960 --> 1:38:22.960]  Not least of which various tax obligations may rise as the various pensions decline and state governments
[1:38:22.960 --> 1:38:28.960]  have to make up the gap in what is not being provided for in their various pension plans.
[1:38:28.960 --> 1:38:31.960]  These are all aggregating in a negative cycle.
[1:38:31.960 --> 1:38:39.960]  A dangerous precarious perilous negative cycle that when you put it up against the energy crisis about to rock Europe.
[1:38:39.960 --> 1:38:43.960]  The food crisis about to rock the entire globe.
[1:38:43.960 --> 1:38:48.960]  You can see why the deep state is gibberish and nervous at the moment.
[1:38:48.960 --> 1:38:50.960]  They are facing unprecedented failure.
[1:38:50.960 --> 1:38:56.960]  Indeed, when people tell me the deep state must have a sophisticated and smart plan for all of this.
[1:38:56.960 --> 1:39:04.960]  I remind them of history that the in the particular most analogous time in history we face is World War right up to World War One.
[1:39:04.960 --> 1:39:12.960]  In building up to World War One, a bunch of empires thought they could easily and convincingly use martial and military means
[1:39:12.960 --> 1:39:15.960]  to finish their imperial conquest of the globe.
[1:39:15.960 --> 1:39:21.960]  This included the British Empire, which famously they said an empire where the sun never set.
[1:39:21.960 --> 1:39:23.960]  What do they mean by that?
[1:39:23.960 --> 1:39:27.960]  That they were present in some part of the world where the sun was still rising and up.
[1:39:27.960 --> 1:39:33.960]  So you had the British Empire, one of the most dominant empires in world history leading into World War One.
[1:39:33.960 --> 1:39:36.960]  The dominant pound, the dominant currency in the globe.
[1:39:36.960 --> 1:39:43.960]  You had aspects of the, you had the various, the rising German would be empire.
[1:39:43.960 --> 1:39:48.960]  You had the Austro, which was about a century and a half old that had managed to take out Napoleon.
[1:39:48.960 --> 1:39:56.960]  You had the Russian Empire, which in certain respects dated back over 10 centuries, but at least in just the same family over three centuries.
[1:39:56.960 --> 1:40:02.960]  You had the Ottoman Empire, which had taken over the Middle East in parts of Europe for centuries and centuries.
[1:40:02.960 --> 1:40:12.960]  And the Austro-Hungarian Empire, which was so inbred that by that generation number 20 that their mouths could barely open because of the way their jaws formed.
[1:40:12.960 --> 1:40:21.960]  But that's how old and ancient and powerful and established and just unlimited these various regimes had been.
[1:40:21.960 --> 1:40:25.960]  The British Empire being one of the younger ones, though one of the more powerful ones.
[1:40:25.960 --> 1:40:39.960]  But the Russian Empire, the Austro-Hungarian Empire, the Turkish Empire, the German Empire and the British Empire would by the end of World War One be mostly gone off the map as empires.
[1:40:39.960 --> 1:40:40.960]  They would politically vanish.
[1:40:40.960 --> 1:40:43.960]  The Brits would take a little bit longer, but not much longer.
[1:40:43.960 --> 1:40:46.960]  Ottoman Empire gone in less than a decade.
[1:40:46.960 --> 1:40:51.960]  The Austro-Hungarian Empire built for centuries would be gone in less than 10 years.
[1:40:51.960 --> 1:41:03.960]  A Austro-Hungarian Empire, the Ottoman Empire, Russian Empire, all of these formed and created and lasted for centuries over wide-ranging disputes and conflicts.
[1:41:03.960 --> 1:41:15.960]  Within less than 10 years would be gone off the face of the planet as political entities, as existing relevant entities, as individuals, as institutions of influence.
[1:41:15.960 --> 1:41:22.960]  That is the same. So how did they get there? They got there because they were no longer just morally misdirected.
[1:41:22.960 --> 1:41:25.960]  It wasn't just their moral compass that was broken.
[1:41:25.960 --> 1:41:34.960]  It was their intellectual capacity that was equally blinded, that was equally misguided, that was equally, equally misdirected.
[1:41:34.960 --> 1:41:46.960]  This is why, in part, Vladimir Putin's speech this week laid out all the problems for the future of the deep state and the West and the globalist and how their days are numbered.
[1:41:46.960 --> 1:41:51.960]  How their ability to control the world, they thought they could control the world through finance.
[1:41:51.960 --> 1:41:55.960]  They thought they could control the world through little numbers and digits on a computer screen.
[1:41:55.960 --> 1:42:00.960]  They thought they could control the world through their manipulation of currencies and financial markets.
[1:42:00.960 --> 1:42:10.960]  And his point is that isn't what really runs the world. What runs the world is food, what runs the world is fuel, what runs the world is men with military means,
[1:42:10.960 --> 1:42:15.960]  and that's what governs and directs the world and, to some degree, the ideas that govern us.
[1:42:15.960 --> 1:42:19.960]  But what doesn't run us is little pieces of paper and little numbers on a screen.
[1:42:19.960 --> 1:42:26.960]  And that is why Putin was predicting the decline, the fall, the collapse of the Western deep state and the globalist,
[1:42:26.960 --> 1:42:31.960]  which he identified as such in these various speeches he's been giving over the last several weeks.
[1:42:31.960 --> 1:42:34.960]  Now you know why the deep state is obsessed with taking him out.
[1:42:34.960 --> 1:42:38.960]  And now you also know why the deep state is currently so desperate.
[1:42:38.960 --> 1:42:46.960]  That's why they're raiding presidents. That's why they're searching, doing an F.J. Edgar Hoover Pane raid of Melania's drawers.
[1:42:46.960 --> 1:42:49.960]  That's why they're looking at Barron Trump's personal room.
[1:42:49.960 --> 1:42:55.960]  We're going to be talking about what the deep state might be up to next and ways to resist and where the script has gone off.
[1:42:55.960 --> 1:42:57.960]  Next.
[1:43:27.960 --> 1:43:30.960]  But I want you to experience it yourself.
[1:43:30.960 --> 1:43:33.960]  We know it's good for your heart. We know it's good for your brain.
[1:43:33.960 --> 1:43:37.960]  We know it's good for your arteries and veins and your lungs and every other function of your body.
[1:43:37.960 --> 1:43:43.960]  But I want you to experience this high-grade fish oil, this ultimate fish oil at infowarstore.com
[1:43:43.960 --> 1:43:46.960]  and see what it does if you take it before bedtime.
[1:43:46.960 --> 1:43:52.960]  Ultimate fish oil, 50% off, now exclusively available at infowarstore.com.
[1:43:52.960 --> 1:43:55.960]  Thank you all for your support. You're really going to miss out if you don't get it.
[1:44:40.960 --> 1:44:50.960]  In this insane world, you are crazy if you don't protect your signature, your identity from identity theft, hackers, criminals, corporations, governments.
[1:44:50.960 --> 1:44:56.960]  This is one of the hottest items out there today that's exclusively available at infowarstore.com.
[1:44:56.960 --> 1:45:05.960]  We are now living in the void, sliding towards collapse in the strange space between what we've known and what's to come.
[1:45:05.960 --> 1:45:10.960]  And right now, the most important thing to remember is don't panic.
[1:45:10.960 --> 1:45:18.960]  Stay calm because now is the time that we must get our bearings and steer the ship onto a safe sound course.
[1:45:18.960 --> 1:45:25.960]  There is nothing stopping we the people from making our own rules and building our own society.
[1:45:25.960 --> 1:45:31.960]  All we got to do is survive the crash and right now we still have time to prepare.
[1:45:31.960 --> 1:45:35.960]  The world fiat currency system is racing towards zero.
[1:45:35.960 --> 1:45:44.960]  It's time to convert it into hard assets now, including food, water and survival gear to keep us strong and at the ready.
[1:45:44.960 --> 1:45:56.960]  Go to preparetoday.com for the essentials, storable foods, water filtration, first aid, power and more at preparetoday.com.
[1:45:56.960 --> 1:46:02.960]  So many people over the years have walked up to me randomly on the street and said,
[1:46:02.960 --> 1:46:06.960]  Super male vitality is incredible. Why does it work so well?
[1:46:06.960 --> 1:46:08.960]  And the answer is very simple.
[1:46:08.960 --> 1:46:16.960]  It takes from Chinese medicine and other ancient traditions, known herbal compounds that boosts libido, stamina and energy.
[1:46:16.960 --> 1:46:19.960]  And it comes from cold pressed herbs.
[1:46:19.960 --> 1:46:25.960]  So they're not boiling or heating up the herbs that are known to have these natural effects.
[1:46:25.960 --> 1:46:29.960]  It's cold pressed. It's been sold out for eight months or more.
[1:46:29.960 --> 1:46:36.960]  It's finally back in stock at infowarstore.com for 25% off Super male vitality.
[1:46:36.960 --> 1:46:40.960]  And it goes great with X2, which is also 25% off.
[1:46:40.960 --> 1:46:46.960]  But if you get both these products together, they're 40% off in a combo at infowarstore.com.
[1:46:46.960 --> 1:46:54.960]  So X2 and Super male vitality, 40% off together or 25% off individually at infowarstore.com.
[1:46:54.960 --> 1:47:08.960]  It's amazing try today.
[1:47:08.960 --> 1:47:16.960]  Welcome back to The Alex Jones Show. This is Robert Barnes, guest hosting.
[1:47:16.960 --> 1:47:24.960]  We live in interesting times. Just this past week, there was an attempt of an assassination on the Argentinian vice president.
[1:47:24.960 --> 1:47:26.960]  We had protests rock the globe.
[1:47:26.960 --> 1:47:43.960]  Indeed, since all of this has developed, the combination of the COVID lockdowns with the various fuel and food problems triggered by the globalist attempt to wage economic war against Russia over Russian parts of Ukraine, at least ancestrally and often demographically.
[1:47:43.960 --> 1:47:53.960]  We saw protests in Bangladesh. We've seen protests in Pakistan, where Pakistan they're trying to remove by illegal means, the elected president, they did.
[1:47:53.960 --> 1:48:00.960]  And then now they're trying to threaten to imprison him because of his speeches exposing their corruption. Sound familiar?
[1:48:00.960 --> 1:48:05.960]  We're seeing various protests from Sri Lanka and throughout Southeast Asia, throughout Europe.
[1:48:05.960 --> 1:48:23.960]  Farmer protests arise and not only rise but expand just as the trucker protest of Canada expanded. We're seeing similar reactions and responses in Germany and Italy and France to the Dutch farmer protests that may also glow global as people are tired of the globalist agenda.
[1:48:23.960 --> 1:48:38.960]  When you have people like the World Economic Forum talking about using artificial intelligence algorithms on their own website in order to shut down entire industries and how to sweet talk them into making that feel comfortable and okay, it gives you a sense of how AWOL things have gone.
[1:48:38.960 --> 1:48:47.960]  When they're doing specialized surveys and studies to figure out how they could improve the narrative, improving the narrative won't stop people from mass public protest.
[1:48:47.960 --> 1:49:04.960]  Indeed, we also had a report this week from a Human Rights Commission on human rights in for the Uighurs in China, exposing the degree of abuses that has taken place, abuses that fit within the pattern of against the people of Tibet, of the people of the Falun Gong,
[1:49:04.960 --> 1:49:13.960]  of the people in Hong Kong, of people in Taiwan, of labor protesters going back to Harry Wu, Tiananmen Square, etc.
[1:49:13.960 --> 1:49:33.960]  And so it's part of a longstanding extended Chinese tradition. While their real estate economy is collapsing, while their bank bubble is imploding, and while their zero COVID shutdown policies are permanently impairing potentially their economic activities in such a way that it is unlikely and improbable that China can continue to restore
[1:49:33.960 --> 1:49:48.960]  and keep itself on the same upward trajectory it once was. Doesn't mean it can't stay in a very competitive state, particularly for taking away American jobs, but it means that China is at a unique precarious risk while Premier Xi is up for re-election
[1:49:48.960 --> 1:49:55.960]  as party secretary this coming year, and possible conflict with Taiwan may serve as a convenient excuse to escape into it.
[1:49:55.960 --> 1:50:04.960]  That's the world that the deep state sees and witnesses and understands. It's a world which the populist resistance and rebellion is growing around the globe.
[1:50:04.960 --> 1:50:14.960]  It is a place where even China is no longer willing to be its complete subservient servant. It's a place where China and G1 assert their own interest and dominate for their own causes.
[1:50:14.960 --> 1:50:28.960]  They were happy to be the experimental place of the deep state for the purposes of pandemic policy and social credit scores and totalitarian government and cheap labor, but now that they've decided they don't want to be just the world's factory worker and want to be something else,
[1:50:28.960 --> 1:50:37.960]  that is unacceptable to the globalists, but it poses a unique and extraordinary threat to their power. They're losing in their war against Russia and Putin.
[1:50:37.960 --> 1:50:46.960]  They're losing their control over China and the global south, while at the same time seeing populist protest against their control mechanisms here in the United States.
[1:50:46.960 --> 1:51:01.960]  So what was the deep state plan? You can see aspects of the deep state plan planted into the QAnon community, maybe even Q himself, was a computer algorithm designed by deep state operators to see whether they could manipulate people
[1:51:01.960 --> 1:51:12.960]  through digital means that would be much more difficult to achieve, but that they had spent decades trying in the MKUltra space in the Informant Infiltrator FBI space.
[1:51:12.960 --> 1:51:21.960]  And for this, you could probably just go back to Pactcon. For those that don't know, Operation Pactcon was the FBI's attempts to resolve, how are we going to keep power?
[1:51:21.960 --> 1:51:31.960]  How is the deep state going to keep its fat budgets and political influence and control and surveillance now that no longer had anti-communism as its excuse?
[1:51:31.960 --> 1:51:41.960]  Indeed, anti-communism was used as the pretext for opposing every freedom movement around the globe, whether or not that freedom movement had affiliation or association with communism or not.
[1:51:41.960 --> 1:51:52.960]  Indeed, several of those movements were pushed into communism. Indeed, what you'll see is a continuous objective of deep state operatives to try to radicalize their opposition.
[1:51:52.960 --> 1:52:09.960]  They need their opposition to resort to violence. They need their opposition to resort to radical ideologies and the support of radical ideologue in order to embrace and to discredit them in the court of public opinion.
[1:52:09.960 --> 1:52:17.960]  This is what COINTELPRO was all about. Deep Throat, Mark Felt, who took out Nixon. He wasn't a grand whistleblower.
[1:52:17.960 --> 1:52:24.960]  He was part of the architect and administrator of COINTELPRO, Counterintelligence Program of the Federal Bureau of Investigation.
[1:52:24.960 --> 1:52:31.960]  It's primary obsession, the court of public opinion. Its goal, find ways to get people to self-discredit themselves.
[1:52:31.960 --> 1:52:34.960]  How do you get dissident movements to self-discredit themselves?
[1:52:34.960 --> 1:52:45.960]  You do so by getting them to align with violence. You do so by getting them to align with radical causes or individuals that will be perceived as dangerous to the ordinary person.
[1:52:45.960 --> 1:52:56.960]  This was the whole objective with going after Trump. The goal was through QAnon to build up a movement that would convince people that violence was the answer and that, in fact, the legal system wanted them to do so.
[1:52:56.960 --> 1:53:04.960]  That there were white-hacked actors within the military and the deep state that were really secretly supportive of them. That was step one.
[1:53:04.960 --> 1:53:18.960]  Step two was steal the election. Step three was discredit any challenges to the stealing of the election while inflaming opposition opinion, hoping they would do something dumb and dangerous so that they could be discredited in the court of public opinion to recreate a militia movement.
[1:53:18.960 --> 1:53:26.960]  Go back to October and study QAnon and QAnon movement was saying, you need to take oaths. You need to record yourself taking this oath.
[1:53:26.960 --> 1:53:37.960]  This oath was a trap. This was a huge red flag that QAnon was not an independent populist movement, but in fact a deep state infiltrated and driven and directed movement.
[1:53:37.960 --> 1:53:43.960]  As anyone who understood a lot of what QAnon world was saying was patently false repeatedly.
[1:53:43.960 --> 1:53:57.960]  But it took a lot of sincere, well-intended people wanting to second-guess and question the system to be skeptical of institutional narratives, to be derailed and distracted and detoured into a counterproductive, not just unproductive,
[1:53:57.960 --> 1:54:09.960]  but counterproductive set of ideas and theories that would preclude them from being effective in the court of public opinion where the deep state is often obsessed because it's the fifth pillar of power that holds up the other four pillars of power,
[1:54:09.960 --> 1:54:21.960]  the perception of power, the public belief in that power, the public confidence in that power, is that power. The moment it collapses, power sooner or later collapses with it more often than not.
[1:54:21.960 --> 1:54:29.960]  So that was part stage one. Stage two was to be able to try to encourage people to take violent action.
[1:54:29.960 --> 1:54:41.960]  The hope was that on January 6th, people would set off a bunch of bombs, conduct a bunch of kidnapping, do a bunch of violence, and they believed based on the social media language being used that they would achieve it.
[1:54:41.960 --> 1:54:54.960]  The problem is, and then step three was to get Trump during this stage to think the military was secretly aligned with him through the QAnon movement to try to do something like have the military intervene in the elections or something else.
[1:54:54.960 --> 1:55:03.960]  Remember, there were a lot of calls for that. There are calls for him to declare martial law even, etc. Of course, we now know, as I said at the time, that was a big fact track.
[1:55:03.960 --> 1:55:17.960]  General Milley and the top of the Pentagon are anti-Trump, not pro-Trump, as we now know in full robust detail in the information of treasonous and seditious activities that Milley himself was engaged in throughout 2020 and after.
[1:55:17.960 --> 1:55:27.960]  And so that was the goal. And then the thought process, well, now we have the perfect basis to impeach Trump. He invoked martial law. He tried to get the military to interfere in the election.
[1:55:27.960 --> 1:55:39.960]  Then we're going to prosecute Trump, imprison him. We're going to do mass arrest across the nation of all the key populist leaders, lock him up on the grounds they're all part of a broader, bigger, bolder conspiracy.
[1:55:39.960 --> 1:55:50.960]  And January 6 was supposed to be sort of the culmination of this. That would be the basis for all of the arrests. Problem, Trump never took the bait. He took the advice of some of us who told him not to take that bait.
[1:55:50.960 --> 1:55:58.960]  Second problem, they had to exaggerate all the January 6 charges because Pat Kahn never developed. Nobody went in there and took guns and tried to harm people.
[1:55:58.960 --> 1:56:10.960]  In fact, the limited violence that occurred was often in response to Capitol Police violence or Capitol Police eargassing or Capitol Police attack, not in fact initiated or instigated or originated by them.
[1:56:10.960 --> 1:56:23.960]  And the very few that did take place have unusual ties in many of those cases to informants, infiltrators, instigators, agitators, FBI participants that are on the payroll one way shape or form.
[1:56:23.960 --> 1:56:33.960]  So that tells us where they wanted the script to go. It hasn't worked out. They thought they could lock up Trump. They thought they could lock up Trump's key supporters. They thought they could lock up Trump's most active allies.
[1:56:33.960 --> 1:56:43.960]  They thought the QAnon election strategies would work. They didn't. Now they're stuck with backup plans. Desperation. That's why they're searching and seeking for anything.
[1:56:43.960 --> 1:56:53.960]  And even worse for them, Trump clearly took with him documents that embarrass them. Now legally as President of the United States, he is the only elected person with constitutional executive power.
[1:56:53.960 --> 1:57:00.960]  He has a complete right to declassify anything he wants anytime he wants without going through any formality or protocol period.
[1:57:00.960 --> 1:57:09.960]  He can declare anything he wants a personal record. This has been adjudicated by federal courts so that is not a presidential record, can't be considered governmental record period.
[1:57:09.960 --> 1:57:16.960]  End of story. He can do with it. What do you want? But it's clear he took documents and information that implicate the deep state.
[1:57:16.960 --> 1:57:22.960]  And the goal of the deep state was we're not going to go after Trump clearly. This was their strategic thinking until we got those documents back.
[1:57:22.960 --> 1:57:34.960]  But when they did the raid at Mar-a-Lago, the safe was empty. It turned out that wasn't all. All those folders they were showing photos of of classified information all ended up being empty as well.
[1:57:34.960 --> 1:57:41.960]  They still don't have whatever Trump had. And in the game against Trump, they got deep state, got Trump once again.
[1:57:41.960 --> 1:58:08.960]  Thanks everybody and remember infowarstore.com where you can get healthier, wealthier wiser today.
[1:58:08.960 --> 1:58:16.960]  We told you this was a designed program by the globalist two and a half years ago. We told you energy and food prices would explode and now they're up more than 40% of the U.S. alone.
[1:58:16.960 --> 1:58:26.960]  Some areas of the world are up over 100%. The only way you beat inflation and protect yourself and your family is with high quality, affordable food ready to ship right now at preparetoday.com.
[1:58:26.960 --> 1:58:45.960]  We brought the game changing product previously only available to major oil companies around the world to the civilian market two years ago, the BioProse.
[1:58:45.960 --> 1:59:04.960]  For septic tanks, for porta-potties, for RVs, for your drains, your boats, it goes on and on. It'll eat the oil off of your driveway if you just add water.
[1:59:04.960 --> 1:59:16.960]  But it's been so successful now, we're selling it to major RV parks, pig farms, you name it, because this stuff will eat anything that is organic.
[1:59:16.960 --> 1:59:22.960]  And it's exclusively available at thebioprose.com and now infowarstore.com.
[1:59:22.960 --> 1:59:37.960]  We sold out of this for almost a year, but we made a major purchase and it is now in stock for whatever your need is at infowarstore.com. You'll also find instructional videos and more information at infowarstore.com or thebioprose.com.
[1:59:37.960 --> 1:59:56.960]  Made in America, powered by God's great creation, it is amazing and it funds the infowar.
