[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[02:58:30.180 --> 02:58:32.180]  Yeah, it was a cop, but now he was a citizen.
[02:58:32.180 --> 02:58:34.180]  The point is he was an armed patriot
[02:58:34.180 --> 02:58:36.180]  and it was a retired police officer.
[02:58:36.180 --> 02:58:39.180]  Retired police chief took this guy out.
[02:58:39.180 --> 02:58:40.180]  Stay there. I'm going to come back to you, Nick.
[02:58:40.180 --> 02:58:42.180]  You're right. It's barely being reported.
[02:58:42.180 --> 02:58:46.180]  Then John and then we'll go to Terry and many others.
[02:58:46.180 --> 02:59:10.180]  Stay with us.
[02:59:16.180 --> 02:59:19.180]  The secret 12 is a binary of
[02:59:19.180 --> 02:59:21.180]  nutrimentical grade, bio available
[02:59:21.180 --> 02:59:24.180]  co enzyme forms of B 12, methylcobalamin,
[02:59:24.180 --> 02:59:26.180]  the same kind used in B 12 injections
[02:59:26.180 --> 02:59:28.180]  and adenosylcobalamin.
[02:59:28.180 --> 02:59:30.180]  Secret 12 is simply taken by mouth,
[02:59:30.180 --> 02:59:32.180]  right on the tongue and then swallowed.
[02:59:32.180 --> 02:59:33.180]  No needles, no injections.
[02:59:33.180 --> 02:59:35.180]  Don't take my word for it.
[02:59:35.180 --> 02:59:36.180]  Try it for yourself.
[02:59:36.180 --> 02:59:38.180]  Discover the secret secret 12.
[02:59:38.180 --> 02:59:41.180]  Secure your revolutionary secret 12 formula
[02:59:41.180 --> 02:59:43.180]  right now at info wars life.com
[02:59:43.180 --> 02:59:46.180]  or call 888-253-3139
[02:59:46.180 --> 02:59:49.180]  info wars life secret 12.
[02:59:52.180 --> 02:59:56.180]  You're listening to the Alex Jones show.
[02:59:56.180 --> 02:59:58.180]  You
[03:00:11.180 --> 03:00:13.180]  The threat is real.
[03:00:13.180 --> 03:00:15.180]  Radical Islam is globalist funded.
[03:00:15.180 --> 03:00:17.180]  We're here resisting it.
[03:00:17.180 --> 03:00:19.180]  It's not the main threat the globalists are
[03:00:19.180 --> 03:00:22.180]  but it is the ground force.
[03:00:22.180 --> 03:00:24.180]  Waging war on corruption.
[03:00:24.180 --> 03:00:27.180]  It's Alex Jones coming to you live
[03:00:27.180 --> 03:00:30.180]  from the front lines of the info war.
[03:00:30.180 --> 03:00:33.180]  The ground force to stage the attacks
[03:00:33.180 --> 03:00:35.180]  then the police states put in place
[03:00:35.180 --> 03:00:37.180]  that's used against us.
[03:00:37.180 --> 03:00:38.180]  That's all admitted.
[03:00:38.180 --> 03:00:40.180]  That's the plan.
[03:00:40.180 --> 03:00:42.180]  And then make us then adopt Islam
[03:00:42.180 --> 03:00:45.180]  to quote not upset the radical Islamists.
[03:00:45.180 --> 03:00:47.180]  By the way, the new app is free.
[03:00:47.180 --> 03:00:49.180]  It's about six months in the making.
[03:00:49.180 --> 03:00:51.180]  Pre-video feeds, audio feeds, special alerts.
[03:00:51.180 --> 03:00:53.180]  You name it. More features to be added.
[03:00:53.180 --> 03:00:56.180]  Infowars.com forward slash app app
[03:00:56.180 --> 03:00:59.180]  to get the free droid or iPhone version
[03:00:59.180 --> 03:01:02.180]  or if you have a mobile device that should pop up
[03:01:02.180 --> 03:01:04.180]  when you go to the site.
[03:01:04.180 --> 03:01:06.180]  It took us years to get a million people to download
[03:01:06.180 --> 03:01:09.180]  the one that has the free audio feed.
[03:01:09.180 --> 03:01:11.180]  David Knight's about to take over.
[03:01:11.180 --> 03:01:13.180]  I want to take a few more of your calls.
[03:01:13.180 --> 03:01:16.180]  But we have a lot of specials running right now
[03:01:16.180 --> 03:01:19.180]  in info wars store.com as well.
[03:01:19.180 --> 03:01:21.180]  Your funding is what makes all this possible.
[03:01:21.180 --> 03:01:23.180]  It's critical.
[03:01:23.180 --> 03:01:25.180]  Your funding is the second most important thing.
[03:01:25.180 --> 03:01:27.180]  Your prayers are number one.
[03:01:27.180 --> 03:01:29.180]  So thank you all for your support.
[03:01:29.180 --> 03:01:32.180]  Nick in Minnesota finishing up real quick.
[03:01:32.180 --> 03:01:34.180]  Yes.
[03:01:34.180 --> 03:01:36.180]  I noticed they first said somebody shot him.
[03:01:36.180 --> 03:01:38.180]  They said, oh, it was a cop, which is fine.
[03:01:38.180 --> 03:01:40.180]  Give the cops the credit that a lot of times they do it.
[03:01:40.180 --> 03:01:43.180]  Then it was, well, he was a retired police officer
[03:01:43.180 --> 03:01:45.180]  who had a concealed carry.
[03:01:45.180 --> 03:01:48.180]  So he was retired police chief from an nearby town.
[03:01:48.180 --> 03:01:50.180]  So they don't want to say it's a citizen.
[03:01:50.180 --> 03:01:51.180]  It's an armed citizen.
[03:01:51.180 --> 03:01:52.180]  That's what happened.
[03:01:52.180 --> 03:01:53.180]  Go ahead.
[03:01:53.180 --> 03:01:54.180]  Yeah.
[03:01:54.180 --> 03:01:55.180]  I mean, that's exactly it.
[03:01:55.180 --> 03:01:58.180]  And the first, you know, when I first heard about it,
[03:01:58.180 --> 03:01:59.180]  first thing went through my mind is that,
[03:01:59.180 --> 03:02:01.180]  why don't I have a gun in my apartment?
[03:02:01.180 --> 03:02:04.180]  Why don't I have a concealed carry permit to protect people alive?
[03:02:04.180 --> 03:02:07.180]  Well, I read the police report on it this now out.
[03:02:07.180 --> 03:02:09.180]  And it said that it was like a textbook.
[03:02:09.180 --> 03:02:11.180]  He found out it was happening within a minutes.
[03:02:11.180 --> 03:02:12.180]  He'd already stabbed nine people.
[03:02:12.180 --> 03:02:15.180]  He was stabbing another person and the police officer said
[03:02:15.180 --> 03:02:17.180]  from like 15 feet away, drop it right now.
[03:02:17.180 --> 03:02:18.180]  He didn't.
[03:02:18.180 --> 03:02:19.180]  So he shot him repeatedly and killed him.
[03:02:19.180 --> 03:02:21.180]  They said the video, they haven't released it yet.
[03:02:21.180 --> 03:02:23.180]  Looks like a training scenario.
[03:02:23.180 --> 03:02:24.180]  Go ahead.
[03:02:24.180 --> 03:02:25.180]  Yeah.
[03:02:25.180 --> 03:02:26.180]  Exactly.
[03:02:26.180 --> 03:02:28.180]  And I've done military training like that before.
[03:02:28.180 --> 03:02:33.180]  And I mean, the way that they described it is exactly how you should do it.
[03:02:33.180 --> 03:02:38.180]  But I personally work with Muslims and like none of them want to be here.
[03:02:38.180 --> 03:02:41.180]  They're all here because they're running from what's coming over here.
[03:02:41.180 --> 03:02:43.180]  I was about to say, I'll be honest.
[03:02:43.180 --> 03:02:44.180]  That's what I said.
[03:02:44.180 --> 03:02:48.180]  Most of the Muslims we all know and think are so cool from high school and college
[03:02:48.180 --> 03:02:49.180]  are heretics.
[03:02:49.180 --> 03:02:50.180]  They'll admit it to you.
[03:02:50.180 --> 03:02:52.180]  They don't dislike God.
[03:02:52.180 --> 03:02:54.180]  But the radical Islam has taken over.
[03:02:54.180 --> 03:02:55.180]  They're all running.
[03:02:55.180 --> 03:02:59.180]  Obama started bringing in the actual radicals.
[03:02:59.180 --> 03:03:06.180]  That 80% military age man that invaded Syria, they call them refugees.
[03:03:06.180 --> 03:03:10.180]  They are the people that the Syrians and the Russians defeated.
[03:03:10.180 --> 03:03:12.180]  They're bringing the jihadis here.
[03:03:12.180 --> 03:03:14.180]  Why do you think that?
[03:03:14.180 --> 03:03:15.180]  Exactly.
[03:03:15.180 --> 03:03:20.180]  And I mean, it's so personal to me because my girlfriend works at that mall.
[03:03:20.180 --> 03:03:21.180]  She's a manager at that mall.
[03:03:21.180 --> 03:03:24.180]  And I mean, I'm thankful she had work off that day.
[03:03:24.180 --> 03:03:30.180]  But I mean, for somebody who has the ability and lacks the consciousness to be able to
[03:03:30.180 --> 03:03:34.180]  bring in somebody that, you know, knowing we're going to kill people is just sickening.
[03:03:34.180 --> 03:03:35.180]  Well, I'll say this.
[03:03:35.180 --> 03:03:40.180]  Somalis don't deserve to be demonized as a people in total, but almost all of them are
[03:03:40.180 --> 03:03:41.180]  Muslim.
[03:03:41.180 --> 03:03:45.180]  They're all forcing them being Muslims last 100 years or so.
[03:03:45.180 --> 03:03:50.180]  And they have the highest per capita rate of committing terror attacks worldwide.
[03:03:50.180 --> 03:03:53.180]  So this is not the place we should be bringing folks in from.
[03:03:53.180 --> 03:03:54.180]  I'm sorry.
[03:03:54.180 --> 03:03:59.180]  And then they give black immigrants a really bad name because most of Africa is not Islamic
[03:03:59.180 --> 03:04:01.180]  and is being murdered by Muslims.
[03:04:01.180 --> 03:04:06.180]  I mean, Africa is facing the main brunt right now of the Islamic assault that our government's
[03:04:06.180 --> 03:04:07.180]  backing.
[03:04:07.180 --> 03:04:09.180]  So I apologize to Africa for that.
[03:04:09.180 --> 03:04:11.180]  Yeah, I do too.
[03:04:11.180 --> 03:04:15.180]  I mean, the ones I know and I work with are extremely nice people.
[03:04:15.180 --> 03:04:17.180]  But I grew up in Fargo, North Dakota.
[03:04:17.180 --> 03:04:23.180]  And I mean, we were one of the highest, highest areas for refugees in that during that time.
[03:04:23.180 --> 03:04:27.180]  And that but let me guess that was back from the Iraq war and stuff.
[03:04:27.180 --> 03:04:30.180]  Those were people that weren't radical that wanted to come to America.
[03:04:30.180 --> 03:04:37.180]  Obama is bringing a bunch of military aged men in that are Sunni jihadists totally whacked
[03:04:37.180 --> 03:04:40.180]  out of their brains, raised in radical madrasas.
[03:04:40.180 --> 03:04:43.180]  And you might as well bring, you know, space aliens here.
[03:04:43.180 --> 03:04:45.180]  I mean, it's just it's the worst thing you can do.
[03:04:45.180 --> 03:04:47.180]  I mean, look, they can't handle it.
[03:04:47.180 --> 03:04:49.180]  They see a woman in a miniskirt walking by.
[03:04:49.180 --> 03:04:50.180]  They flip out.
[03:04:50.180 --> 03:04:53.180]  They think, well, it's my right to rape her because she shouldn't be dressed like that.
[03:04:53.180 --> 03:04:56.180]  I'm going to hand the baton to David Knight straight ahead and warrior calls straight ahead.
[03:04:56.180 --> 03:04:58.180]  Our reporters are in New York.
[03:04:58.180 --> 03:05:08.180]  We'll be right back.
[03:05:29.180 --> 03:05:32.180]  This is the first release and it was completely built from the ground up.
[03:05:32.180 --> 03:05:36.180]  We've seen example after example of cable news networks attempting to deceive you.
[03:05:36.180 --> 03:05:40.180]  In short, the mainstream media is being covertly manipulated by well-financed political forces
[03:05:40.180 --> 03:05:45.180]  who are trying to sway public opinion in an unnatural direction that only serves establishment agendas.
[03:05:45.180 --> 03:05:50.180]  But info wars live is the solution to the controlled press that is rapidly losing influence.
[03:05:50.180 --> 03:05:55.180]  So download info wars live today at info wars dot com and learn what's really going on
[03:05:55.180 --> 03:05:58.180]  instead of being spoon fed lies by the mainstream media.
[03:06:25.180 --> 03:06:27.180]  I just kind of clears up.
[03:06:27.180 --> 03:06:28.180]  Got four and a half stars.
[03:06:28.180 --> 03:06:29.180]  People really love it.
[03:06:29.180 --> 03:06:30.180]  Read about it.
[03:06:30.180 --> 03:06:39.180]  Find out why third party nutraceutical sites give it such high praise because it really does have the best organic based systems that will blow your socks off.
[03:06:39.180 --> 03:06:43.180]  I haven't pulled an all nighter like that in a while, but I probably could not have done it without brain force.
[03:06:43.180 --> 03:06:49.180]  I went home about 645 this morning, took three hours of sleep, got up, took two more brain force and came in.
[03:06:49.180 --> 03:06:59.180]  You will find brain force and other game changing products at info wars life dot com or call 888-253-3139.
[03:06:59.180 --> 03:07:06.180]  More than two years ago, info wars first told you about our research into what has been called the iodine conspiracy.
[03:07:06.180 --> 03:07:11.180]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ
[03:07:11.180 --> 03:07:19.180]  and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[03:07:19.180 --> 03:07:26.180]  They took the good halogen and put the deadly halogen in and when the Fukushima crisis worsened, as it still is worsening today,
[03:07:26.180 --> 03:07:29.180]  I was there telling you how to prepare yourself and your family.
[03:07:29.180 --> 03:07:37.180]  Now in 2016, even more information has been revealed concerning the connection between iodine and the gut,
[03:07:37.180 --> 03:07:43.180]  which many experts are now saying could be the biggest revelation ever concerning iodine.
[03:07:43.180 --> 03:07:45.180]  You can pull these studies up for yourself.
[03:07:45.180 --> 03:07:51.180]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[03:07:51.180 --> 03:08:15.180]  Talk up on Survival Shield X2 Today at infowarslife.com or by calling 888-253-3139.
[03:08:15.180 --> 03:08:21.180]  All right, I've got callers going to hold them for over an hour. I want to run through a few of those quickly and then hand them a ton to David Knight,
[03:08:21.180 --> 03:08:25.180]  who's charming in the pit to cover a ton of news, but briefly going to David Knight to tell us what's coming up.
[03:08:25.180 --> 03:08:31.180]  David, wow, huge events taking place. What do you make of what you see unfolding right now?
[03:08:31.180 --> 03:08:38.180]  I mean, it's like Hillary lying saying she has no health problems, collapsing, her saying there's not a terrorist bombing,
[03:08:38.180 --> 03:08:46.180]  there's no ISIS, and then having to say, okay, Trump's behind ISIS. It seems like they're trying to discredit themselves.
[03:08:46.180 --> 03:08:50.180]  Well, you know, Alex, what we see happening right now, I think is very dangerous.
[03:08:50.180 --> 03:08:56.180]  We're seeing two different things that you've been talking about today. One of them is the outright violence and the bombing campaign.
[03:08:56.180 --> 03:09:04.180]  The other one is the education campaign, the information war that you've been showing the videos out of Sweden and other places where they're indoctrinating people.
[03:09:04.180 --> 03:09:09.180]  And I call it Sharia and sheep's clothing because that's what they're selling these people.
[03:09:09.180 --> 03:09:19.180]  And there's a story this week where a Turkish man kicked this female nurse in the head in the face because he didn't like the coolots that she was wearing.
[03:09:19.180 --> 03:09:25.180]  I mean, it wasn't anything immodest at all what she was wearing. They were very low, long by Western standards.
[03:09:25.180 --> 03:09:36.180]  And yet we've got this video at the same time in Sweden showing this woman with a ton of makeup, blonde, wearing the hijab, low cut dress, high cut on the thigh.
[03:09:36.180 --> 03:09:44.180]  I looked at that the first time I saw that I said, if she wore that in public, she would be beaten with a stick by Hillary Clinton's donors.
[03:09:44.180 --> 03:09:48.180]  So we've got these two different things that are happening, Alex. It's like what we saw with Bill Ayers.
[03:09:48.180 --> 03:09:57.180]  Remember, he was going around bombing Pentagon buildings, not doing a whole lot of damage. And then he did a lot of damage by getting involved in education.
[03:09:57.180 --> 03:10:06.180]  And that's the real danger. That's, I think, even more dangerous, far more dangerous than these bombings that are happening or the knife attacks that are happening, the physical attacks that are happening.
[03:10:06.180 --> 03:10:15.180]  And that is this deception telling people that in the name of tolerance, they need to bring in people who have never exhibited any tolerance, especially to the women.
[03:10:15.180 --> 03:10:23.180]  So we're talking to Owen Shroyer in New York and he had that woman on the street. She said, oh, I'm for Hillary Clinton because Hillary is for women's rights.
[03:10:23.180 --> 03:10:30.180]  Well, what about the right to be able to walk down the street wearing whatever you wish? What about the right to be able to walk down the street and not be blown up with an improvised explosive device?
[03:10:30.180 --> 03:10:33.180]  How about those rights? That's what they don't care for.
[03:10:33.180 --> 03:10:40.180]  These people don't have anything. They've been trained to be poor. They've been trained to have nothing. They've been trained. It's cool to be trendy and have nothing.
[03:10:40.180 --> 03:10:47.180]  And so all they care about is outlying with the political structure. That's their identity. And it doesn't matter if it's not congruent with reality.
[03:10:47.180 --> 03:10:52.180]  They've given over their consciousness. They've given over their soul and they're gone.
[03:10:52.180 --> 03:11:00.180]  And we should just worry about ourselves now. A lot of these people we can't reach. We have to triage it and we have to reach out to those that still are reachable.
[03:11:00.180 --> 03:11:02.180]  David, thank you. You're coming up here in just a moment.
[03:11:02.180 --> 03:11:07.180]  Now you have your review of the film Snowden, which I intend to do this week as well. Truly a groundbreaking film.
[03:11:07.180 --> 03:11:11.180]  Let's go to John in Wisconsin. You're on the air. Go ahead.
[03:11:11.180 --> 03:11:22.180]  Yeah, I'll tell you, I've got an uneasy feeling about this whole thing, especially the takedown of the guy that they were after.
[03:11:22.180 --> 03:11:29.180]  How many jihadists that were armed have you seen live?
[03:11:29.180 --> 03:11:36.180]  Well, it was a bombing attack. So if he's like hiding out in the doorway, I'm not sure what that means.
[03:11:36.180 --> 03:11:49.180]  Well, usually the cops will just take him out and that's it, you know, and then you're left to wait for everybody hangs down every word that the official media put.
[03:11:49.180 --> 03:12:00.180]  No, listen, I know government stages stuff, but what I keep explaining to everybody is the staging was bringing these people all in and then protecting them and then ordering the government not to go after them officially a few years ago.
[03:12:00.180 --> 03:12:09.180]  And so all of the world real jihad armies are invading and taking over. That's what this is different than what we saw during the Bush era.
[03:12:09.180 --> 03:12:18.180]  These cops kind of acted the way they should act and the way they always used to act until they were retrained by the southern poverty law center.
[03:12:18.180 --> 03:12:25.180]  Exactly. I appreciate your call, John. Let's go ahead and talk to Terry in Minnesota. You're on the air.
[03:12:25.180 --> 03:12:33.180]  Hi, how are you doing? Listen, I got a I got a student that goes to St. Claude State shops at the Crossroads Mall and works in St. Claude.
[03:12:33.180 --> 03:12:46.180]  And we were there as a graduation. He's a master of program now for graduation this June and it was like I was I was floored because I mean St. Claude State is a way up in North America or mid state, whatever it's like.
[03:12:46.180 --> 03:12:55.180]  And there was like 30% graduates were Muslims finding good. You go to the Walmart up there. It's like maybe 80% better employed by Walmart Muslims finding good.
[03:12:55.180 --> 03:13:04.180]  And it's like when you see this and you see what's happening in your own country and everything you've talked about all the knowledge that you have a mask.
[03:13:04.180 --> 03:13:20.180]  What really prodded me to call in today is after you were your release valve blue per se. I felt sorry for you. And you know, it's like, God is on the throne. God is in control.
[03:13:20.180 --> 03:13:30.180]  Everything is under control. And you know, like take Trump and Clinton, the biggest difference between Trump and Clinton is Trump has compassion for humans, this fellow man.
[03:13:30.180 --> 03:13:40.180]  That's right. He's not out to get America. He's not out to get the country. And I appreciate your call. Look, people get confused here.
[03:13:40.180 --> 03:13:53.180]  The globalist wrote a white paper called rebuilding America's defenses. And it was written in 2000. And it called to let radical Islam attack protected kill as many people were killed at Pearl Harbor, which was 3000.
[03:13:53.180 --> 03:14:02.180]  Incredible how it was actually 3000 down to 9 11 very, very spooky. And they said, we'll use that attack to go in and invade the Islamic world.
[03:14:02.180 --> 03:14:09.180]  And then out of the Islamic threat that will come out of this war, the planet will accept American domination.
[03:14:09.180 --> 03:14:17.180]  Now this is written to sell the Pentagon on doing this. So it's all about America and the rest of it. It's still very Machiavellian, very, very worldly.
[03:14:17.180 --> 03:14:26.180]  But if you understand, the globalists are saying we'll go in, stir up the Muslim start a world war, you know, a worldwide conflict, a world war.
[03:14:26.180 --> 03:14:36.180]  Then out of that crisis, we'll have attacks in the West and out of the attacks in the West, the globalist will then be able to actually take over our countries and set up a police state here.
[03:14:36.180 --> 03:14:41.180]  And so that's why they're doing it. The whole thing is a false flag, but it's real jihadis.
[03:14:41.180 --> 03:14:57.180]  It's real giant population blooms coming out of these Sunni, Wahhabist areas with Merkel and the Germans and others advertising online to bring the Muslims to Europe to quote, get women and your 40 acres of a mule.
[03:14:57.180 --> 03:15:06.180]  They're advertising in the EU of Peter Sutherland and in the UN, come here, colonize us. We want you to.
[03:15:06.180 --> 03:15:25.180]  And so when they show up and a small percentage of them commit jihad, we're told it isn't jihad because they want to get us ready for the full takeover that isn't physical bombs, but is cultural, where we've got to accept the Hajjab and our women having their genitals cut off,
[03:15:25.180 --> 03:15:39.180]  which is what they're actually pushing because of the globalist can get us in the name of hospitality to accept Islam. We'll accept socialism and globalism, the technocracy any day.
[03:15:39.180 --> 03:15:45.180]  And so that's what's happening. We got loaded phones with Steve in Canada and many others. I don't know if David's going to get your calls. I tried to get to them all.
[03:15:45.180 --> 03:15:54.180]  I appreciate your calls. I'll leave that up to David. He's got a lot to cover today, but I'm going to punch out here and take care of my other duties here around the office after three hours and 15 minutes.
[03:15:54.180 --> 03:16:07.180]  I'm going to briefly just add we have the new info wars live app that is info wars dot com forward slash app info wars dot com forward slash a P P.
[03:16:07.180 --> 03:16:14.180]  And it's got video. It's got audio. It's got text feeds. It's got alerts and a lot more is going to get added as new functions.
[03:16:14.180 --> 03:16:28.180]  You don't have to read download. It was just to be there on the app at info wars dot com forward slash app or when you go on your device. If it's a handheld device, it'll pop up already for you to download via droid or iPhone.
[03:16:28.180 --> 03:16:39.180]  It's free. So it doesn't quote support us overall. It supports the truth and gets the word out. Please send an email to your friends and family and tell them or post on Facebook or Twitter that the new free app is available.
[03:16:39.180 --> 03:16:49.180]  That's where the real power of this broadcast lies is with you. And we also have a special that's about digs. They're about to sell out 50% off made in America.
[03:16:49.180 --> 03:16:58.180]  Keep America free hats. Make America free again, not make America great again, which I agree with, but make America free again.
[03:16:58.180 --> 03:17:13.180]  These are knockoffs with the Trump hats, but there are own versions made here in America. Make America free again, make America free again in red, blue and camouflage info wars store.com or call toll free 888-253-3139.
[03:17:13.180 --> 03:17:20.180]  I'm going to hand the baton to David night. The nightly news has come up tonight, seven o'clock central standard time day to night.
[03:17:20.180 --> 03:17:29.180]  Thank you, Alex. And I'm going to take some of your phone calls here in just a moment. Before we do, I'm going to give you an idea of what we're going to talk about after the phone calls.
[03:17:29.180 --> 03:17:32.180]  One of the things I want to do is talk about the Snowden movie that I saw this weekend.
[03:17:32.180 --> 03:17:34.180]  And by the way, feel free to skip the breaks as I took some of your time.
[03:17:34.180 --> 03:17:38.180]  Oh, that's, that's fine. We'll, we'll, we'll still get a break, but I'm going to take some of these phone calls.
[03:17:38.180 --> 03:17:49.180]  But later in the show, I'm going to talk about not only the Snowden movie, but the amazing fact that the Washington Post came after him the day after the movie was released on Friday.
[03:17:49.180 --> 03:17:58.180]  Came back and said no pardon for Edward Snowden. Let me read you the headline from Glenn Greenwald at the intercept because it says it all.
[03:17:58.180 --> 03:18:08.180]  Washington Post makes history the first paper to call for prosecution of its own source after accepting a Pulitzer Prize for what he gave them.
[03:18:08.180 --> 03:18:13.180]  Isn't that amazing? That is the hypocrisy of the mainstream media.
[03:18:13.180 --> 03:18:18.180]  And I've got to say that if you're going to say there's no pardon for Snowden, I think we need to look at what Rand Paul said.
[03:18:18.180 --> 03:18:23.180]  He got it exactly right. He goes, well, fine, let's Snowden broke the law. So let's punish him.
[03:18:23.180 --> 03:18:28.180]  But let's also punish the people like Michael Hayden at the NSA who broke the law.
[03:18:28.180 --> 03:18:33.180]  So no pardon for Michael Hayden either. And no pardon for the Washington Post.
[03:18:33.180 --> 03:18:40.180]  Don't hide behind the First Amendment Washington Post. If you're going to trash the Fourth Amendment, the Fifth Amendment, the Sixth Amendment, okay?
[03:18:40.180 --> 03:18:43.180]  They all hang together or they go separately.
[03:18:43.180 --> 03:18:51.180]  We ought to do a t-shirt with that. Take the old 1776 Revolutionary War t-shirt where they showed the different colonies and said,
[03:18:51.180 --> 03:18:54.180]  we're either going to hang together or we're going to hang separately.
[03:18:54.180 --> 03:19:01.180]  Instead of that, we need to put the individual rights that we have from the Bill of Rights, not that they gave us the rights.
[03:19:01.180 --> 03:19:05.180]  I know that they didn't come from that, but they're recognized by that.
[03:19:05.180 --> 03:19:12.180]  And that's something that the Bill of Rights says to the government, these are inherent natural rights, which I know Joe Biden hates the idea of natural rights.
[03:19:12.180 --> 03:19:15.180]  He really came after Clarence Thomas in the confirmation hearings.
[03:19:15.180 --> 03:19:20.180]  Joe Biden was livid because Clarence Thomas had talked about natural rights.
[03:19:20.180 --> 03:19:24.180]  How dare him say that we have rights that don't come from government?
[03:19:24.180 --> 03:19:28.180]  But nevertheless, we do, whether he wants to admit it or not.
[03:19:28.180 --> 03:19:30.180]  That was the basis of our country being founded.
[03:19:30.180 --> 03:19:36.180]  And the Bill of Rights was there to enshrine the fact that the government couldn't take those away.
[03:19:36.180 --> 03:19:39.180]  Not that they're giving them to us, but they can't take them away.
[03:19:39.180 --> 03:19:44.180]  And if you're going to say that the Fourth Amendment doesn't matter, Washington Post, well then guess what?
[03:19:44.180 --> 03:19:47.180]  Eventually, you're not going to be able to hold on to the First Amendment either.
[03:19:47.180 --> 03:19:48.180]  Same thing with the Second Amendment.
[03:19:48.180 --> 03:19:50.180]  They're very selective, aren't they, about what they want to talk about?
[03:19:50.180 --> 03:20:13.180]  Stay with us. We'll go right back to the callers when we come back from break. We'll be right back.
[03:20:20.180 --> 03:20:27.180]  Protects and powers your critical appliances for years without burying items underground or wrapping them in aluminum foil.
[03:20:27.180 --> 03:20:32.180]  Unlike other preps, Solarc is used every day to help offset your electric bill automatically.
[03:20:32.180 --> 03:20:37.180]  Visit PortableSolarLLC.com to learn how easily expandable the system is.
[03:20:37.180 --> 03:20:41.180]  Solarc is the most affordable and powerful solution on the market.
[03:20:41.180 --> 03:20:46.180]  The whole system even fits in the back of a pickup or SUV and can install in less than an hour.
[03:20:46.180 --> 03:20:51.180]  Your self-wise Solarc beats other off-grid systems at PortablesolarLLC.com.
[03:20:51.180 --> 03:20:53.180]  Don't wait for the government.
[03:20:53.180 --> 03:20:59.180]  Go to PortablesolarLLC.com to learn why Solarc is energy insurance for your family.
[03:20:59.180 --> 03:21:01.180]  Hi, this is Ted Anderson.
[03:21:01.180 --> 03:21:06.180]  Investment Rarities, a 43-year-old company, has created the best silver offer ever.
[03:21:06.180 --> 03:21:12.180]  Get a U.S. Silver Eagle Canadian Maple Leaf, Austrian Philharmonic, OPM Pure Bar, and Silver Round.
[03:21:12.180 --> 03:21:15.180]  Have all five for $99 post-paid.
[03:21:15.180 --> 03:21:18.180]  I'd be right, five ounces of silver below cost.
[03:21:18.180 --> 03:21:20.180]  No credit card fees, free shipping.
[03:21:20.180 --> 03:21:25.180]  Just $99 and you'll have a great start on what it takes to survive even the worst economic storm.
[03:21:25.180 --> 03:21:31.180]  Act now and receive Jim Cook's exclusive paper explaining how it's possible to make a fortune in silver today.
[03:21:31.180 --> 03:21:33.180]  Don't miss this opportunity.
[03:21:33.180 --> 03:21:35.180]  Call 800-328-1860.
[03:21:35.180 --> 03:21:39.180]  Read how the above-ground supply of silver has dropped below even gold.
[03:21:39.180 --> 03:21:41.180]  The secret is being suppressed.
[03:21:41.180 --> 03:21:43.180]  The price could explode at any time.
[03:21:43.180 --> 03:21:46.180]  Call today at 800-328-1860.
[03:21:46.180 --> 03:21:49.180]  Get five ounces of silver for only $99.
[03:21:49.180 --> 03:21:55.180]  Find them on the web at InvestmentRarities.com or call 800-328-1860.
[03:21:55.180 --> 03:21:57.180]  Call now before it's too late.
[03:21:57.180 --> 03:22:13.180]  Don't miss this opportunity.
[03:22:27.180 --> 03:22:29.180]  Call now before it's too late.
[03:22:58.180 --> 03:23:01.180]  Are you happy washing your hands with harsh chemicals?
[03:23:01.180 --> 03:23:03.180]  Are you happy doing laundry with detergents?
[03:23:03.180 --> 03:23:05.180]  Are you happy paying high prices?
[03:23:05.180 --> 03:23:07.180]  Find your happiness with pure soap.
[03:23:07.180 --> 03:23:12.180]  These all-natural, earth-friendly, pure soaps are the very best you've ever used.
[03:23:12.180 --> 03:23:13.180]  Buy in bulk.
[03:23:13.180 --> 03:23:16.180]  Get a 12, 36 or 48-month supply.
[03:23:16.180 --> 03:23:19.180]  Or get items individually and still save big.
[03:23:19.180 --> 03:23:22.180]  You're getting soap products twice as good as what you're using now.
[03:23:22.180 --> 03:23:24.180]  Earth-friendly and natural soaps.
[03:23:24.180 --> 03:23:26.180]  Your family deserves the best.
[03:23:26.180 --> 03:23:28.180]  Happiness is 5starsoap.com.
[03:23:28.180 --> 03:23:31.180]  Why not put your money up the drain for a change?
[03:23:31.180 --> 03:23:38.180]  See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[03:23:38.180 --> 03:23:41.180]  Calben Soap Company can save you thousands of dollars
[03:23:41.180 --> 03:23:45.180]  and give you good old-fashioned real soaps that are triple concentrated.
[03:23:45.180 --> 03:23:47.180]  Soaps made from vegetable and coconut oils.
[03:23:47.180 --> 03:23:51.180]  See their full selection of soaps at 5starsoap.com.
[03:23:51.180 --> 03:23:59.180]  That's F-I-V-E-STARSOAP.COM or call 1-800-340-7091 for a catalog.
