[00:00.000 --> 00:01.600]  We've got it, son.
[1:17:39.240 --> 1:17:41.240]  ProPure is the best gravity-fed filter out there.
[1:17:41.240 --> 1:17:43.240]  It's what my family uses.
[1:17:43.240 --> 1:17:46.240]  Infowars.com already has the lowest price on ProPure.
[1:17:46.240 --> 1:17:49.240]  But if you add the promo code WATER at checkout,
[1:17:49.240 --> 1:17:52.240]  you get an additional 10% off and infowars.com.
[1:17:52.240 --> 1:17:57.240]  You can also call to order 888-253-3139.
[1:17:57.240 --> 1:18:00.240]  Alex Jones here with a message to fellow freedom lovers.
[1:18:00.240 --> 1:18:03.240]  The prognosis for the entire planetary economic system
[1:18:03.240 --> 1:18:05.240]  runs from bad to worse.
[1:18:05.240 --> 1:18:08.240]  The globalist model is to shut down societies
[1:18:08.240 --> 1:18:11.240]  and starve patriots out until they acquiesce
[1:18:11.240 --> 1:18:12.240]  to the global takeover.
[1:18:12.240 --> 1:18:14.240]  That's why we've assembled the most vital
[1:18:14.240 --> 1:18:18.240]  and important preparedness items at InfowarsShop.com.
[1:18:18.240 --> 1:18:20.240]  These are items that I did research on,
[1:18:20.240 --> 1:18:22.240]  that I personally use.
[1:18:22.240 --> 1:18:24.240]  You've got the LifeStraw so you can turn
[1:18:24.240 --> 1:18:27.240]  fetted water into safe water anywhere you go.
[1:18:27.240 --> 1:18:29.240]  The K-Tor Hand Crank Generator
[1:18:29.240 --> 1:18:31.240]  to charge up key equipment during power outages
[1:18:31.240 --> 1:18:32.240]  or out in the field.
[1:18:32.240 --> 1:18:35.240]  Strategic Relocation Third Edition by Joel Scousum.
[1:18:35.240 --> 1:18:38.240]  When Disaster Strikes by Matthew Stein.
[1:18:38.240 --> 1:18:40.240]  TheraSafe used by Homeland Security
[1:18:40.240 --> 1:18:43.240]  to protect yourself during any radiological event.
[1:18:43.240 --> 1:18:46.240]  Hand crank shortwave AMFM radios.
[1:18:46.240 --> 1:18:47.240]  Everything that we've researched
[1:18:47.240 --> 1:18:49.240]  and found to be the best is available
[1:18:49.240 --> 1:18:51.240]  at InfowarsShop.com and your purchase
[1:18:51.240 --> 1:18:53.240]  makes our Infowars possible.
[1:18:53.240 --> 1:18:54.240]  We're getting prepared.
[1:18:54.240 --> 1:18:57.240]  Are you InfowarsShop.com?
[1:18:59.240 --> 1:19:01.240]  If you want an American company
[1:19:01.240 --> 1:19:04.240]  with American products made by Americans,
[1:19:04.240 --> 1:19:07.240]  here is the Calben Soap Company.
[1:19:07.240 --> 1:19:09.240]  Alex and his staff have used
[1:19:09.240 --> 1:19:11.240]  these pure soap products for years.
[1:19:11.240 --> 1:19:13.240]  These all-natural soaps are made
[1:19:13.240 --> 1:19:15.240]  from the highest quality vegetable
[1:19:15.240 --> 1:19:18.240]  and coconut oils that are earth-friendly and safe.
[1:19:18.240 --> 1:19:21.240]  See them on the web at 5starsoap.com
[1:19:21.240 --> 1:19:26.240]  or call 800-340-7091 for a free catalog.
[1:19:26.240 --> 1:19:28.240]  Buy the one to two month sample package
[1:19:28.240 --> 1:19:31.240]  and enjoy soaps that are twice as good
[1:19:31.240 --> 1:19:32.240]  as what you're using now.
[1:19:32.240 --> 1:19:35.240]  Or save big with a one to two year supply
[1:19:35.240 --> 1:19:37.240]  of soaps for all your cleaning needs.
[1:19:37.240 --> 1:19:39.240]  This is an amazing deal.
[1:19:39.240 --> 1:19:41.240]  You can save thousands of dollars
[1:19:41.240 --> 1:19:44.240]  and you will love the way real soap makes you feel.
[1:19:44.240 --> 1:19:47.240]  See them on the web at 5starsoap.com
[1:19:47.240 --> 1:19:52.240]  or call 800-340-7091 for a free catalog.
[1:19:58.240 --> 1:20:01.240]  Coast to coast, direct from Austin.
[1:20:01.240 --> 1:20:09.240]  You're listening to the Alex Jones Broadcasting Network.
[1:20:31.240 --> 1:20:42.240]  You think your private lives think nothing of the kind.
[1:20:42.240 --> 1:20:45.240]  Foreign megabanks run the spy satellites.
[1:20:45.240 --> 1:20:48.240]  We're watching our slaves all the time.
[1:20:48.240 --> 1:20:50.240]  They're elemental.
[1:20:50.240 --> 1:20:52.240]  Their site is clean.
[1:20:52.240 --> 1:20:54.240]  They are perpetual.
[1:20:54.240 --> 1:21:00.240]  They keep the country enslaved.
[1:21:00.240 --> 1:21:02.240]  We are back live.
[1:21:02.240 --> 1:21:04.240]  I want freedom and more of it.
[1:21:04.240 --> 1:21:07.240]  I'm aware of the cage being built around me.
[1:21:07.240 --> 1:21:10.240]  I'm here to get people fired up
[1:21:10.240 --> 1:21:12.240]  to defeat this technocracy.
[1:21:12.240 --> 1:21:14.240]  I'm Alex Jones.
[1:21:14.240 --> 1:21:18.240]  Here Monday through Friday at 11 a.m. to 2 p.m. Central.
[1:21:18.240 --> 1:21:20.240]  That's 12 noon to 3 p.m. Eastern.
[1:21:20.240 --> 1:21:22.240]  Back Sundays, 4 to 6 central.
[1:21:22.240 --> 1:21:25.240]  It is 521 in 26 seconds
[1:21:25.240 --> 1:21:26.240]  and that's what you're listening to.
[1:21:26.240 --> 1:21:30.240]  Central time, 321 Pacific.
[1:21:30.240 --> 1:21:33.240]  421 Mountain.
[1:21:33.240 --> 1:21:35.240]  Or I should say Montana.
[1:21:35.240 --> 1:21:37.240]  Montana time.
[1:21:37.240 --> 1:21:39.240]  We are here, ladies and gentlemen.
[1:21:39.240 --> 1:21:42.240]  Joining us is Peter Glidden, B.S.N.D.,
[1:21:42.240 --> 1:21:45.240]  naturopathic doctor and host of the Fire Year M.D. now,
[1:21:45.240 --> 1:21:47.240]  right here on the GCN radio network.
[1:21:47.240 --> 1:21:50.240]  Dr. Glidden received his B.S. degree from the University
[1:21:50.240 --> 1:21:52.240]  of Massachusetts at Amherst.
[1:21:52.240 --> 1:21:55.240]  He earned an N.D. from Baster University in Seattle,
[1:21:55.240 --> 1:21:56.240]  Washington.
[1:21:56.240 --> 1:21:57.240]  He is a member of the American Association of
[1:21:57.240 --> 1:21:58.240]  naturopathic physicians
[1:21:58.240 --> 1:22:00.240]  and the Illinois Association of
[1:22:00.240 --> 1:22:01.240]  naturopathic physicians.
[1:22:01.240 --> 1:22:03.240]  And he's syndicated radio husband all over
[1:22:03.240 --> 1:22:04.240]  national TV.
[1:22:04.240 --> 1:22:05.240]  I'll leave it at that.
[1:22:05.240 --> 1:22:08.240]  He joins us here today, ladies and gentlemen,
[1:22:08.240 --> 1:22:11.240]  to get into GLAAD tidings.
[1:22:11.240 --> 1:22:13.240]  GLAAD tidings for rebel forces.
[1:22:13.240 --> 1:22:15.240]  The Death Star was destroyed.
[1:22:15.240 --> 1:22:17.240]  Unfortunately, Darth Vader escaped.
[1:22:17.240 --> 1:22:18.240]  No.
[1:22:18.240 --> 1:22:19.240]  L.A. Times says,
[1:22:19.240 --> 1:22:22.240]  Proposition 37, likely to pass.
[1:22:22.240 --> 1:22:25.240]  Polls, scientific polls and index of them are running
[1:22:25.240 --> 1:22:28.240]  two to one saying, hey, yeah, can we just know
[1:22:28.240 --> 1:22:30.240]  if something's got growth hormone in it?
[1:22:30.240 --> 1:22:32.240]  Hey, can we know it's got pesticide in it?
[1:22:32.240 --> 1:22:34.240]  That it grows its own pesticide?
[1:22:34.240 --> 1:22:37.240]  Hey, that corn that's got other insect genes in it.
[1:22:37.240 --> 1:22:38.240]  Can I know about that?
[1:22:38.240 --> 1:22:40.240]  I know it sterilizes the guinea pigs,
[1:22:40.240 --> 1:22:43.240]  and that's the whole plan, but can I please?
[1:22:43.240 --> 1:22:45.240]  No, you can't know.
[1:22:45.240 --> 1:22:46.240]  You're evil.
[1:22:46.240 --> 1:22:48.240]  The American people, folks, are the only people
[1:22:48.240 --> 1:22:50.240]  that put up with this, and that's one reason
[1:22:50.240 --> 1:22:52.240]  we've got the lowest IQs now,
[1:22:52.240 --> 1:22:54.240]  or the dumbest, highest cancer rates.
[1:22:54.240 --> 1:22:56.240]  I mean, they're killing us, coming and going,
[1:22:56.240 --> 1:22:57.240]  but this is good news.
[1:22:57.240 --> 1:22:59.240]  I want to talk to them about this, and again,
[1:22:59.240 --> 1:23:01.240]  the history of the modern medical system
[1:23:01.240 --> 1:23:03.240]  condensed that we're under,
[1:23:03.240 --> 1:23:05.240]  and then ways not only to avoid this garbage,
[1:23:05.240 --> 1:23:08.240]  but ways that the establishment knows full well.
[1:23:08.240 --> 1:23:10.240]  You know, it came out in, what, even,
[1:23:10.240 --> 1:23:13.240]  Reuters and the Daily Telegraph a decade ago,
[1:23:13.240 --> 1:23:15.240]  and since then more, that Monsanto
[1:23:15.240 --> 1:23:17.240]  and any of their laboratories,
[1:23:17.240 --> 1:23:19.240]  their scientists refuse to have GMOs.
[1:23:19.240 --> 1:23:22.240]  Type in GMO, cafeterias,
[1:23:22.240 --> 1:23:24.240]  Monsanto, cafeterias don't allow GMO.
[1:23:24.240 --> 1:23:26.240]  Just don't believe me, look at it now.
[1:23:26.240 --> 1:23:29.240]  Type it in now, check it.
[1:23:29.240 --> 1:23:31.240]  Now this is getting a lot of attention,
[1:23:31.240 --> 1:23:33.240]  so the worm is starting to turn,
[1:23:33.240 --> 1:23:35.240]  but the empire, hence the Star Wars analogies,
[1:23:35.240 --> 1:23:36.240]  are striking back.
[1:23:36.240 --> 1:23:38.240]  They don't want you to be able to know.
[1:23:38.240 --> 1:23:41.240]  They've even sued milk, natural milk dairy companies
[1:23:41.240 --> 1:23:43.240]  that label non-GMO.
[1:23:43.240 --> 1:23:45.240]  They're like, you're not allowed privately
[1:23:45.240 --> 1:23:47.240]  to say there's no GMO, you scum.
[1:23:47.240 --> 1:23:50.240]  You don't tell the scum Americans.
[1:23:50.240 --> 1:23:52.240]  It doesn't have hormones or poison in it,
[1:23:52.240 --> 1:23:53.240]  or the cows are taken care of.
[1:23:53.240 --> 1:23:54.240]  You filth?
[1:23:54.240 --> 1:23:55.240]  Who do you think you are?
[1:23:55.240 --> 1:23:56.240]  You filthy American.
[1:23:56.240 --> 1:23:58.240]  We're watching you.
[1:23:58.240 --> 1:23:59.240]  You want an Obama phone?
[1:23:59.240 --> 1:24:00.240]  How about that?
[1:24:00.240 --> 1:24:03.240]  How about I have your soul for an Obama phone?
[1:24:03.240 --> 1:24:04.240]  How about your eyes?
[1:24:04.240 --> 1:24:05.240]  How about your freedom?
[1:24:05.240 --> 1:24:06.240]  How about your future?
[1:24:06.240 --> 1:24:07.240]  Because we love you.
[1:24:07.240 --> 1:24:09.240]  Doc, I'm a little bit wound up this Sunday.
[1:24:09.240 --> 1:24:11.240]  You extremist.
[1:24:11.240 --> 1:24:13.240]  There's a lot of extremists too,
[1:24:13.240 --> 1:24:14.240]  all over the country and the world.
[1:24:14.240 --> 1:24:17.240]  People want to know if the corn they're buying
[1:24:17.240 --> 1:24:20.240]  grows its own pesticide that kills bugs.
[1:24:20.240 --> 1:24:22.240]  They think maybe that might not be good for their kids.
[1:24:22.240 --> 1:24:26.240]  Dr. Glidden, and I'm sure you agree with these extremists.
[1:24:26.240 --> 1:24:28.240]  People have a good work, brother.
[1:24:28.240 --> 1:24:30.240]  You know, we're all in the same boat here.
[1:24:30.240 --> 1:24:33.240]  All you have to do with this proposition in California
[1:24:33.240 --> 1:24:34.240]  is follow the money.
[1:24:34.240 --> 1:24:35.240]  Who's against it?
[1:24:35.240 --> 1:24:41.240]  Monsanto donated $7,100,000 at Dupont, Dow, Bayer,
[1:24:41.240 --> 1:24:45.240]  BASF, Plant Science, PepsiCo, and Nestle.
[1:24:45.240 --> 1:24:47.240]  Just follow the money.
[1:24:47.240 --> 1:24:48.240]  I mean, this is ridiculous.
[1:24:48.240 --> 1:24:54.240]  It's unbelievable the extent that corporations will go
[1:24:54.240 --> 1:24:56.240]  to pull the wool over our eyes.
[1:24:56.240 --> 1:24:58.240]  And we sit back and do nothing about it.
[1:24:58.240 --> 1:25:00.240]  Thank God for this proposition.
[1:25:00.240 --> 1:25:02.240]  Thank God for California.
[1:25:02.240 --> 1:25:07.240]  And thank God for the Alex Jones radio show.
[1:25:07.240 --> 1:25:09.240]  Thank God for someone evil like you
[1:25:09.240 --> 1:25:11.240]  that thinks we should be able to label something
[1:25:11.240 --> 1:25:12.240]  and know what's in it.
[1:25:12.240 --> 1:25:17.240]  What excuses do you have for yourself, Dr. Glidden?
[1:25:17.240 --> 1:25:19.240]  It's unbelievable, man.
[1:25:19.240 --> 1:25:21.240]  All we want to do, right?
[1:25:21.240 --> 1:25:24.240]  All we want to do is get the companies to tell us
[1:25:24.240 --> 1:25:27.240]  that they're messing with the genetic material of the plants
[1:25:27.240 --> 1:25:30.240]  and, oh, no, no, no, we can't do that.
[1:25:30.240 --> 1:25:33.240]  Oh, no, no, no, that's going to create billions of dollars
[1:25:33.240 --> 1:25:36.240]  of frivolous lawsuits, billions of dollars.
[1:25:36.240 --> 1:25:37.240]  And it's going to create choice.
[1:25:37.240 --> 1:25:39.240]  And it's going to create freedom.
[1:25:39.240 --> 1:25:40.240]  And we don't need that.
[1:25:40.240 --> 1:25:42.240]  It is unbelievable.
[1:25:42.240 --> 1:25:44.240]  You know, you couldn't make this stuff up.
[1:25:44.240 --> 1:25:46.240]  I mean, Orwell, right?
[1:25:46.240 --> 1:25:50.240]  If Orwell was alive and saw this stuff going on today,
[1:25:50.240 --> 1:25:54.240]  he'd be jumping for joy because you can't make deception
[1:25:54.240 --> 1:25:57.240]  of this amount of this degree up.
[1:25:57.240 --> 1:25:58.240]  You just can't make it up.
[1:25:58.240 --> 1:26:00.240]  It's unbelievable.
[1:26:00.240 --> 1:26:03.240]  Let's break down the fight in California right now.
[1:26:03.240 --> 1:26:06.240]  And I saw it's like $25 million now.
[1:26:06.240 --> 1:26:08.240]  By Monsanto and others, their average contribution
[1:26:08.240 --> 1:26:12.240]  by the richies is $600,000 against all the little donations,
[1:26:12.240 --> 1:26:14.240]  a few million to try to beat this.
[1:26:14.240 --> 1:26:18.240]  Yeah, the opposition against it, $32,500,000.
[1:26:18.240 --> 1:26:19.240]  Oh, now it's $32 million.
[1:26:19.240 --> 1:26:21.240]  It was 20 something a few days ago.
[1:26:21.240 --> 1:26:24.240]  The $32,500,000 and the support, $4 million.
[1:26:24.240 --> 1:26:26.240]  $4,4,325,000 against.
[1:26:26.240 --> 1:26:29.240]  And all of the against money is coming from
[1:26:29.240 --> 1:26:31.240]  Big Agra Business Corporation.
[1:26:31.240 --> 1:26:32.240]  It's unbelievable.
[1:26:32.240 --> 1:26:33.240]  Follow the money, baby.
[1:26:33.240 --> 1:26:36.240]  That's where the truth lies.
[1:26:36.240 --> 1:26:40.240]  It always lies in the bank.
[1:26:40.240 --> 1:26:42.240]  Obviously, you, like no one I know,
[1:26:42.240 --> 1:26:44.240]  is so informed on the history of medicine.
[1:26:44.240 --> 1:26:45.240]  We're going to break here in a few minutes,
[1:26:45.240 --> 1:26:47.240]  but give us a three-minute break down to the history
[1:26:47.240 --> 1:26:50.240]  of MD medicine and the big secret there.
[1:26:50.240 --> 1:26:52.240]  Well, here's the deal.
[1:26:52.240 --> 1:26:55.240]  The reason that, and this is what nobody looks at,
[1:26:55.240 --> 1:27:01.240]  the reason that these scientists play God with our plants,
[1:27:01.240 --> 1:27:04.240]  the reason that they do it is because they think
[1:27:04.240 --> 1:27:06.240]  that they're smarter than nature.
[1:27:06.240 --> 1:27:08.240]  They think that they're smarter than God.
[1:27:08.240 --> 1:27:10.240]  Quite frankly, most of them don't even believe in God,
[1:27:10.240 --> 1:27:12.240]  or if they do, they don't bring it into the workplace.
[1:27:12.240 --> 1:27:14.240]  And it's the same with MDs.
[1:27:14.240 --> 1:27:19.240]  For the last 300 years, the medical theater in this country
[1:27:19.240 --> 1:27:22.240]  has been dominated by Newtonian physics,
[1:27:22.240 --> 1:27:24.240]  reductionistic physics.
[1:27:24.240 --> 1:27:29.240]  Your MD and the people making these genetically modified foods
[1:27:29.240 --> 1:27:33.240]  actually believe that they are smarter than God.
[1:27:33.240 --> 1:27:36.240]  And the MD's view of medicine is,
[1:27:36.240 --> 1:27:38.240]  well, when you're sick, you're screwed,
[1:27:38.240 --> 1:27:40.240]  your body can't fix itself.
[1:27:40.240 --> 1:27:42.240]  Your body doesn't have the ability to fix itself.
[1:27:42.240 --> 1:27:45.240]  Your body doesn't have the necessary stuff.
[1:27:45.240 --> 1:27:47.240]  The hoodspot affects itself.
[1:27:47.240 --> 1:27:51.240]  So all that you can do is march in with man-made,
[1:27:51.240 --> 1:27:53.240]  synthetic pharmaceuticals,
[1:27:53.240 --> 1:27:57.240]  the intention of which is to override and control
[1:27:57.240 --> 1:28:00.240]  the current natural metabolism of the body.
[1:28:00.240 --> 1:28:03.240]  These people are all in the same Newtonian boat.
[1:28:03.240 --> 1:28:07.240]  It's outdated, old-fashioned, 18th-century physics,
[1:28:07.240 --> 1:28:09.240]  and it's got to go.
[1:28:09.240 --> 1:28:11.240]  But nobody calls them on this.
[1:28:11.240 --> 1:28:13.240]  Nobody calls them on it.
[1:28:13.240 --> 1:28:16.240]  And the only reason that the MDs are in the number one position
[1:28:16.240 --> 1:28:18.240]  in this country, and they are,
[1:28:18.240 --> 1:28:20.240]  the only reason that they're there
[1:28:20.240 --> 1:28:23.240]  is because they have legislated themselves there.
[1:28:23.240 --> 1:28:26.240]  Most people think that the MD is in the driver's seat
[1:28:26.240 --> 1:28:28.240]  and their therapeutics must be better.
[1:28:28.240 --> 1:28:30.240]  Their therapeutics must be safer.
[1:28:30.240 --> 1:28:32.240]  Their therapeutics must be more scientific.
[1:28:32.240 --> 1:28:34.240]  Well, they're not.
[1:28:34.240 --> 1:28:36.240]  The only reason the MDs are in the driver's seat
[1:28:36.240 --> 1:28:38.240]  is because of drug money.
[1:28:38.240 --> 1:28:40.240]  Ladies and gentlemen, fire your MD to the death.
[1:28:40.240 --> 1:28:41.240]  Stay there, stay there.
[1:28:41.240 --> 1:28:43.240]  Let's talk about the history of this.
[1:28:43.240 --> 1:28:44.240]  It's on record when we get back,
[1:28:44.240 --> 1:28:46.240]  and some of the incredible secrets they don't want you to know.
[1:28:46.240 --> 1:28:48.240]  Now, the average MDs are useful, idiot.
[1:28:48.240 --> 1:28:50.240]  You know, probably a pretty smart guy.
[1:28:50.240 --> 1:28:51.240]  Heroic medicine's fine,
[1:28:51.240 --> 1:28:53.240]  but they don't understand the bigger picture.
[1:28:53.240 --> 1:28:57.240]  They want to treat symptoms, not the cause.
[1:28:57.240 --> 1:28:59.240]  Aaron Fullen here.
[1:28:59.240 --> 1:29:01.240]  As the food police shut down food co-ops,
[1:29:01.240 --> 1:29:04.240]  the Amish and small farmers, Americans are losing access,
[1:29:04.240 --> 1:29:06.240]  not just to raw milk and homemade cheeses,
[1:29:06.240 --> 1:29:08.240]  but to healthy, home-crafted sources for fermented foods,
[1:29:08.240 --> 1:29:10.240]  like sauerkraut, yogurt, and kefir.
[1:29:10.240 --> 1:29:12.240]  It seems there's a war on life-giving foods
[1:29:12.240 --> 1:29:14.240]  with living enzymes and healthy bacteria.
[1:29:14.240 --> 1:29:17.240]  But frankly, I'm not sure what the food police are so afraid of.
[1:29:17.240 --> 1:29:20.240]  These remarkable foods have been around since the beginning of history,
[1:29:20.240 --> 1:29:23.240]  with archaeological evidence for fermented foods and beverages
[1:29:23.240 --> 1:29:25.240]  being found across the globe in almost every culture.
[1:29:25.240 --> 1:29:27.240]  Even today, Japanese eat miso,
[1:29:27.240 --> 1:29:29.240]  Africans eat fermented porges,
[1:29:29.240 --> 1:29:30.240]  Koreans eat kamichi,
[1:29:30.240 --> 1:29:33.240]  and in India, fermented milk is a staple for healthy living.
[1:29:33.240 --> 1:29:34.240]  But here's some good news.
[1:29:34.240 --> 1:29:36.240]  Self-reliant Americans can now discover the secrets
[1:29:36.240 --> 1:29:38.240]  to making these amazing fermented foods
[1:29:38.240 --> 1:29:40.240]  legally and privately in their own homes.
[1:29:40.240 --> 1:29:42.240]  Since it's still legal to make these foods
[1:29:42.240 --> 1:29:44.240]  as long as you can make them yourself.
[1:29:44.240 --> 1:29:46.240]  For more information, check out fermentationfactor.com.
[1:29:46.240 --> 1:29:48.240]  That's fermentationfactor.com.
[1:29:48.240 --> 1:29:50.240]  It's easy to create your own powerful fermented foods,
[1:29:50.240 --> 1:29:54.240]  and you can do it by going to www.fermentationfactor.com.
[1:29:54.240 --> 1:30:20.240]  That's www.fermentationfactor.com.
[1:30:20.240 --> 1:30:24.240]  You can have the peace of mind knowing that you can create endless supply
[1:30:24.240 --> 1:30:27.240]  of silver anytime, anywhere for any application.
[1:30:27.240 --> 1:30:30.240]  The Silver Lungs Generator is a one-time purchase
[1:30:30.240 --> 1:30:32.240]  that requires no maintenance,
[1:30:32.240 --> 1:30:34.240]  nor replacement parts for the life of the unit.
[1:30:34.240 --> 1:30:37.240]  This product was designed to be an invaluable part
[1:30:37.240 --> 1:30:39.240]  of your vital preparations.
[1:30:39.240 --> 1:30:41.240]  For a detailed report on the differences between
[1:30:41.240 --> 1:30:43.240]  Ionic Silver, Colloidal Silver,
[1:30:43.240 --> 1:30:46.240]  and what most silver solution manufacturers are producing,
[1:30:46.240 --> 1:30:51.240]  please visit our website at www.silverlungs.com.
[1:30:51.240 --> 1:30:53.240]  For more information on why you should be producing
[1:30:53.240 --> 1:31:16.240]  your own silver solutions right from your home forever.
[1:31:23.240 --> 1:31:25.240]  Thank you very much for watching this video.
[1:31:53.240 --> 1:31:57.240]  You can bet your life on eFoodsDirect.
[1:32:23.240 --> 1:32:25.240]  You can reduce fluoride up to 95%.
[1:32:25.240 --> 1:32:27.240]  Easy to set up and use.
[1:32:27.240 --> 1:32:29.240]  Doesn't require electricity.
[1:32:29.240 --> 1:32:31.240]  Purify water from lake streams, ponds, and wells.
[1:32:31.240 --> 1:32:35.240]  This filter system leaves in beneficial minerals, which is key.
[1:32:35.240 --> 1:32:37.240]  Save money by not buying bottled water,
[1:32:37.240 --> 1:32:39.240]  and avoid BPA that leaches from the plastic.
[1:32:39.240 --> 1:32:42.240]  Propyr is the best gravity-fed filter out there.
[1:32:42.240 --> 1:32:44.240]  It's what my family uses.
[1:32:44.240 --> 1:32:47.240]  Infowars.com already has the lowest price on Propyr,
[1:32:47.240 --> 1:32:49.240]  but if you add the promo code WATER at checkout,
[1:32:49.240 --> 1:32:52.240]  you get an additional 10% off at infowars.com.
[1:32:52.240 --> 1:32:58.240]  You can also call to order 888-253-3139.
[1:32:58.240 --> 1:33:01.240]  Coast to coast, direct from Austin.
[1:33:01.240 --> 1:33:07.240]  You're listening to the Alex Jones Broadcasting Network.
[1:33:12.240 --> 1:33:16.240]  We now take you live to the Central Texas Command Center
[1:33:16.240 --> 1:33:18.240]  in the heart of the Resistance.
[1:33:18.240 --> 1:33:22.240]  You're listening to the Alex Jones Show.
[1:33:41.240 --> 1:33:45.240]  Alright, Dr. Peter Glendon is our guest, and...
[1:33:45.240 --> 1:33:49.240]  Here's the deal. The Rockefellers funded Hitler.
[1:33:49.240 --> 1:33:52.240]  They funded the Kaiser Velhelm Institute
[1:33:52.240 --> 1:33:55.240]  when Hitler literally was a teenager,
[1:33:55.240 --> 1:33:57.240]  long before he was on the scenes.
[1:33:57.240 --> 1:33:59.240]  It's called eugenics.
[1:33:59.240 --> 1:34:02.240]  They set up in Europe, England, the U.S.
[1:34:02.240 --> 1:34:04.240]  also Mexico set these up. It was all the rage.
[1:34:04.240 --> 1:34:06.240]  They would promote it at the World's Fair.
[1:34:06.240 --> 1:34:08.240]  Eugenics.
[1:34:08.240 --> 1:34:10.240]  And they set up the health departments
[1:34:10.240 --> 1:34:13.240]  to take poor people's kids and sterilize them
[1:34:13.240 --> 1:34:15.240]  and all the rest of it.
[1:34:15.240 --> 1:34:17.240]  And when they couldn't do that, they said,
[1:34:17.240 --> 1:34:19.240]  we'll just dumb society down.
[1:34:19.240 --> 1:34:21.240]  We'll go in and get people dependent on welfare
[1:34:21.240 --> 1:34:23.240]  and then dumb them down, collapse society,
[1:34:23.240 --> 1:34:25.240]  and then we can engineer it however we want.
[1:34:25.240 --> 1:34:27.240]  So, Dr. Glendon, you've gone over the history of this.
[1:34:27.240 --> 1:34:29.240]  You're being nice to say they're following
[1:34:29.240 --> 1:34:31.240]  300-year-old ideas.
[1:34:31.240 --> 1:34:33.240]  I mean, it's far worse than that.
[1:34:33.240 --> 1:34:36.240]  I mean, you know that. Break down the sinister side of this.
[1:34:36.240 --> 1:34:39.240]  Every major GMO, whether it's wheat or BT corn,
[1:34:39.240 --> 1:34:41.240]  that they do studies on.
[1:34:41.240 --> 1:34:43.240]  There's new ones out just this week.
[1:34:43.240 --> 1:34:45.240]  Again, all the mainstream news had to report on it.
[1:34:45.240 --> 1:34:47.240]  Sterilizing the rodents, killing them.
[1:34:47.240 --> 1:34:49.240]  In these lab tests,
[1:34:49.240 --> 1:34:53.240]  this isn't by accident that every time they make GMO,
[1:34:53.240 --> 1:34:55.240]  cross species chimera,
[1:34:55.240 --> 1:34:57.240]  it sterilizes and is poisonous.
[1:34:57.240 --> 1:35:00.240]  I mean, they know that if a BT corn kills bugs that eat it,
[1:35:00.240 --> 1:35:02.240]  it isn't good for humans that eat it.
[1:35:02.240 --> 1:35:04.240]  And then these idiots email me and go,
[1:35:04.240 --> 1:35:06.240]  they don't have crops that are pharmacological
[1:35:06.240 --> 1:35:08.240]  that grow their own pesticide. There's no such thing.
[1:35:08.240 --> 1:35:11.240]  I mean, the public literally wants their Obama phone.
[1:35:11.240 --> 1:35:14.240]  Yeah, it's crazy. I mean, the amount of, you know,
[1:35:14.240 --> 1:35:17.240]  we rattle our chains to celebrate our freedom, right?
[1:35:17.240 --> 1:35:20.240]  I'll give you just a little example of this.
[1:35:20.240 --> 1:35:23.240]  In World War II, there was a coalition
[1:35:23.240 --> 1:35:25.240]  of German pharmaceutical companies,
[1:35:25.240 --> 1:35:27.240]  and they all put their money together.
[1:35:27.240 --> 1:35:29.240]  The coalition, the acronym was IGF.
[1:35:29.240 --> 1:35:32.240]  And these German pharmaceutical companies put their money together
[1:35:32.240 --> 1:35:37.240]  and they built a pharmaceutical plant right next to one of the death camps.
[1:35:37.240 --> 1:35:39.240]  I think it was Dachau.
[1:35:39.240 --> 1:35:42.240]  And they used the inmates in the death camps to work
[1:35:42.240 --> 1:35:46.240]  to make the Zyklon B gas that the Nazis used
[1:35:46.240 --> 1:35:48.240]  to kill the people in the concentration camp.
[1:35:48.240 --> 1:35:52.240]  And IBM supplied the machines, those little tattoos on people's arms.
[1:35:52.240 --> 1:35:55.240]  Thomas Watson, he supplied those.
[1:35:55.240 --> 1:35:58.240]  And they did, they used the inmates to do medical experiments on.
[1:35:58.240 --> 1:36:00.240]  And you know who one of those companies was?
[1:36:00.240 --> 1:36:02.240]  One of the companies that was in that coalition?
[1:36:02.240 --> 1:36:03.240]  Bayer.
[1:36:03.240 --> 1:36:04.240]  Bayer.
[1:36:04.240 --> 1:36:08.240]  The same company that sales tries to sell your children aspirin.
[1:36:08.240 --> 1:36:10.240]  Now you need to ask yourself a question.
[1:36:10.240 --> 1:36:14.240]  How could a company involved in war crimes in World War II
[1:36:14.240 --> 1:36:18.240]  be working at a profit now in the United States of America?
[1:36:18.240 --> 1:36:19.240]  It's worse than that.
[1:36:19.240 --> 1:36:21.240]  Five years ago, they had to admit in France,
[1:36:21.240 --> 1:36:24.240]  worldwide for 11 years, they shipped out factor 8,
[1:36:24.240 --> 1:36:27.240]  every ampule to small children,
[1:36:27.240 --> 1:36:30.240]  hemophiliacs filled with HIV and hepatitis,
[1:36:30.240 --> 1:36:32.240]  knowing it was a death sentence.
[1:36:32.240 --> 1:36:35.240]  And in the executive documents, it was funny to them.
[1:36:35.240 --> 1:36:38.240]  And nobody goes to jail and the American public,
[1:36:38.240 --> 1:36:41.240]  the world public at large, doesn't bat a freaking eyelash.
