[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[2:26:12.920 --> 2:26:14.920]  This says by 2024,
[2:26:14.920 --> 2:26:16.920]  we're going to go to 58%.
[2:26:16.920 --> 2:26:18.920]  We're going to lose another 4.5% of our workforce.
[2:26:18.920 --> 2:26:20.920]  How do you create growth
[2:26:20.920 --> 2:26:22.920]  in a shrinking workforce?
[2:26:22.920 --> 2:26:24.920]  Number two, another chart I have
[2:26:24.920 --> 2:26:26.920]  shows productivity.
[2:26:26.920 --> 2:26:28.920]  That's the only other way to grow.
[2:26:28.920 --> 2:26:30.920]  Let me stop you, Mr. Dent.
[2:26:30.920 --> 2:26:32.920]  We can find your best selling books there.
[2:26:32.920 --> 2:26:34.920]  We'll talk about those too.
[2:26:34.920 --> 2:26:36.920]  We'll come back for a break and take some calls
[2:26:36.920 --> 2:26:38.920]  that cover the waterfront.
[2:26:38.920 --> 2:26:40.920]  Look,
[2:26:40.920 --> 2:26:42.920]  you didn't believe or some people didn't believe
[2:26:42.920 --> 2:26:44.920]  Trump could win.
[2:26:44.920 --> 2:26:46.920]  He's beat a lot of odds. Innovation,
[2:26:46.920 --> 2:26:48.920]  as I said earlier, could change the paradigm.
[2:26:48.920 --> 2:26:50.920]  We're in a very advanced civilization now.
[2:26:50.920 --> 2:26:52.920]  I agree with you historically on the trends.
[2:26:52.920 --> 2:26:54.920]  You've been proven right. I hope you're wrong about this.
[2:26:54.920 --> 2:26:56.920]  All I'm saying is
[2:26:56.920 --> 2:26:58.920]  if we have super innovation,
[2:26:58.920 --> 2:27:00.920]  a lot of technology is released,
[2:27:00.920 --> 2:27:02.920]  a lot of construction is being done
[2:27:02.920 --> 2:27:04.920]  on highways and roads,
[2:27:04.920 --> 2:27:06.920]  if he can hustle a lot of factories to be built
[2:27:06.920 --> 2:27:08.920]  and jobs be created,
[2:27:08.920 --> 2:27:10.920]  there's a major hustle factor in humans.
[2:27:10.920 --> 2:27:12.920]  Even if the demographics aren't good,
[2:27:12.920 --> 2:27:14.920]  if you get those that are working,
[2:27:14.920 --> 2:27:16.920]  working even harder and producing more,
[2:27:16.920 --> 2:27:18.920]  couldn't that have an escape velocity
[2:27:18.920 --> 2:27:20.920]  out of this trend?
[2:27:20.920 --> 2:27:22.920]  We're already back at full employment,
[2:27:22.920 --> 2:27:24.920]  which means we've hired back
[2:27:24.920 --> 2:27:26.920]  all those people that wanted jobs.
[2:27:26.920 --> 2:27:28.920]  A lot of people left and won't come back.
[2:27:28.920 --> 2:27:30.920]  Why? Because a lot of two-earning couples
[2:27:30.920 --> 2:27:32.920]  when their kids get out of college,
[2:27:32.920 --> 2:27:34.920]  they say the wife stops working
[2:27:34.920 --> 2:27:36.920]  or works part-time.
[2:27:36.920 --> 2:27:38.920]  The baby boomers deserve to take it easy.
[2:27:38.920 --> 2:27:40.920]  The problem is if they do, we're going to implode.
[2:27:40.920 --> 2:27:42.920]  We're going to implode.
[2:27:42.920 --> 2:27:44.920]  So with zero productivity,
[2:27:44.920 --> 2:27:46.920]  old people don't get more productive.
[2:27:46.920 --> 2:27:48.920]  They get less productive.
[2:27:48.920 --> 2:27:50.920]  We're going to see productivity.
[2:27:50.920 --> 2:27:52.920]  It's now near zero.
[2:27:52.920 --> 2:27:54.920]  It's going to go even lower into 2024
[2:27:54.920 --> 2:27:56.920]  and so if we got workforce
[2:27:56.920 --> 2:27:58.920]  shrinking in the next several years
[2:27:58.920 --> 2:28:00.920]  and productivity going from near zero
[2:28:00.920 --> 2:28:02.920]  the lowest since the early 80s
[2:28:02.920 --> 2:28:04.920]  when the Bob Hope generation was retiring rapidly,
[2:28:04.920 --> 2:28:06.920]  how are you going to create 4% growth
[2:28:06.920 --> 2:28:08.920]  and companies aren't going to invest
[2:28:08.920 --> 2:28:10.920]  in new capacity because there is no demand?
[2:28:10.920 --> 2:28:12.920]  Sure. So the Republicans
[2:28:12.920 --> 2:28:14.920]  green-lighted bringing in immigrants who we need.
[2:28:14.920 --> 2:28:16.920]  The Democrats only want to bring people
[2:28:16.920 --> 2:28:18.920]  who want to be on welfare the worst type.
[2:28:18.920 --> 2:28:20.920]  So now we have an even bigger disaster.
[2:28:20.920 --> 2:28:22.920]  How do we get immigrants that we need?
[2:28:22.920 --> 2:28:24.920]  Well, that's what Australian Canada
[2:28:24.920 --> 2:28:26.920]  do. We should be studying them.
[2:28:26.920 --> 2:28:28.920]  They identify the skills they need.
[2:28:28.920 --> 2:28:30.920]  They make you meet requirements.
[2:28:30.920 --> 2:28:32.920]  And then we brain drain everybody.
[2:28:32.920 --> 2:28:34.920]  I don't care what color you are
[2:28:34.920 --> 2:28:36.920]  as long as you want to work hard.
[2:28:36.920 --> 2:28:38.920]  We let the lowest quality immigrants
[2:28:38.920 --> 2:28:40.920]  just come over the border.
[2:28:40.920 --> 2:28:42.920]  So we have the worst immigration policy
[2:28:42.920 --> 2:28:44.920]  even though we attract more than most countries
[2:28:44.920 --> 2:28:46.920]  and that's good for demographics
[2:28:46.920 --> 2:28:48.920]  but it's not as good as attracting
[2:28:48.920 --> 2:28:50.920]  when I speak in Australia
[2:28:50.920 --> 2:28:52.920]  where a third of the people there
[2:28:52.920 --> 2:28:54.920]  are Asian and those immigrants
[2:28:54.920 --> 2:28:56.920]  have higher than average
[2:28:56.920 --> 2:28:58.920]  educations and incomes, not lower.
[2:28:58.920 --> 2:29:00.920]  So they really
[2:29:00.920 --> 2:29:02.920]  are a plus for the country.
[2:29:02.920 --> 2:29:04.920]  They're getting the brain drain of the best.
[2:29:04.920 --> 2:29:06.920]  Yes, and again, here we attract
[2:29:06.920 --> 2:29:08.920]  people to our universities more than any country
[2:29:08.920 --> 2:29:10.920]  around the world and then we have quotas
[2:29:10.920 --> 2:29:12.920]  and push most of them back to the countries.
[2:29:12.920 --> 2:29:14.920]  I read an article where
[2:29:14.920 --> 2:29:16.920]  a guy was kicked out of Microsoft
[2:29:16.920 --> 2:29:18.920]  sent back to China and within two years
[2:29:18.920 --> 2:29:20.920]  he started a hundred million
[2:29:20.920 --> 2:29:22.920]  dollar business. No, exactly.
[2:29:22.920 --> 2:29:24.920]  Because it's an admitted globalist plan
[2:29:24.920 --> 2:29:26.920]  to not let America be dominant.
[2:29:26.920 --> 2:29:28.920]  We only take on people that basically
[2:29:28.920 --> 2:29:30.920]  are low skilled because it's all about
[2:29:30.920 --> 2:29:32.920]  a control system. It's incredible.
[2:29:32.920 --> 2:29:34.920]  Harry Dent is hard to disagree with.
[2:29:34.920 --> 2:29:36.920]  I'm going to come back and play with Ron Paul yesterday
[2:29:36.920 --> 2:29:38.920]  basically agreeing with him and see
[2:29:38.920 --> 2:29:40.920]  where he goes from there and then also take your phone calls
[2:29:40.920 --> 2:29:42.920]  from around the world. So Mike,
[2:29:42.920 --> 2:29:44.920]  Kirk, James,
[2:29:44.920 --> 2:29:46.920]  Josie and John and others
[2:29:46.920 --> 2:29:48.920]  stay with us. We'll be back.
[2:29:48.920 --> 2:29:50.920]  We're on the march.
[2:29:50.920 --> 2:29:52.920]  The Empire's on the run.
[2:29:52.920 --> 2:29:54.920]  Alex Jones and the GCN
[2:29:54.920 --> 2:29:56.920]  Radio Network.
[2:29:58.920 --> 2:30:00.920]  Well, this administration
[2:30:00.920 --> 2:30:02.920]  thinks that the American public has a right to know
[2:30:02.920 --> 2:30:04.920]  what's happening in cities across the country
[2:30:04.920 --> 2:30:06.920]  and it looks like the Trump administration
[2:30:06.920 --> 2:30:08.920]  is going to publish weekly crimes
[2:30:08.920 --> 2:30:10.920]  committed by illegal aliens,
[2:30:10.920 --> 2:30:12.920]  sidestepping the mainstream media's coverage
[2:30:12.920 --> 2:30:14.920]  of the immigration crime way. We have an article
[2:30:14.920 --> 2:30:16.920]  that's up on our website that aggregated
[2:30:16.920 --> 2:30:18.920]  from Breitbart News and it talks about how
[2:30:18.920 --> 2:30:20.920]  this administration is going to publish
[2:30:20.920 --> 2:30:22.920]  a list of crimes committed by illegals
[2:30:22.920 --> 2:30:24.920]  in sanctuary cities weekly
[2:30:24.920 --> 2:30:26.920]  according to an executive order release.
[2:30:26.920 --> 2:30:28.920]  Now, this order says, quote,
[2:30:28.920 --> 2:30:30.920]  to better inform the public regarding public
[2:30:30.920 --> 2:30:32.920]  safety threats associated with sanctuary
[2:30:32.920 --> 2:30:34.920]  jurisdictions, the secretary shall
[2:30:34.920 --> 2:30:36.920]  utilize the declined attainer
[2:30:36.920 --> 2:30:38.920]  outcome report or its equivalent
[2:30:38.920 --> 2:30:40.920]  and on a weekly basis make public a
[2:30:40.920 --> 2:30:42.920]  comprehensive list of criminal actions
[2:30:42.920 --> 2:30:44.920]  committed by aliens and any jurisdiction
[2:30:44.920 --> 2:30:46.920]  that ignores or otherwise
[2:30:46.920 --> 2:30:48.920]  fail to honor any detainers
[2:30:48.920 --> 2:30:50.920]  with respect to such aliens.
[2:30:50.920 --> 2:30:52.920]  It looks like this administration is saying
[2:30:52.920 --> 2:30:54.920]  to these sanctuary cities, you deport
[2:30:54.920 --> 2:30:56.920]  or we're going to publish what's actually going on.
[2:30:56.920 --> 2:31:24.920]  For more information on Breitbart News,
[2:31:24.920 --> 2:31:26.920]  be sure to check out Breitbart News.
[2:31:54.920 --> 2:31:58.920]  This is Alex Jones.
[2:31:58.920 --> 2:32:00.920]  I want to tell you about a way to save a lot of money
[2:32:00.920 --> 2:32:02.920]  on one of the best new off the grid products
[2:32:02.920 --> 2:32:04.920]  of 2017 and seriously,
[2:32:04.920 --> 2:32:06.920]  I really think everyone should have one of these.
[2:32:06.920 --> 2:32:08.920]  I'm talking about the PPX solar generator system
[2:32:08.920 --> 2:32:10.920]  from our friends at Solutions from Science,
[2:32:10.920 --> 2:32:12.920]  one of our oldest sponsors.
[2:32:12.920 --> 2:32:14.920]  The PPX is so small you can put it in your pocket
[2:32:14.920 --> 2:32:16.920]  but so powerful you can run some
[2:32:16.920 --> 2:32:18.920]  110 appliances at your house
[2:32:18.920 --> 2:32:20.920]  like a small refrigerator so you can
[2:32:20.920 --> 2:32:22.920]  keep food from spoiling.
[2:32:22.920 --> 2:32:24.920]  Plus, you can take it with you to jumpstart cars,
[2:32:24.920 --> 2:32:26.920]  trucks, buses, 18-wheelers, heavy equipment,
[2:32:26.920 --> 2:32:28.920]  even airplanes.
[2:32:28.920 --> 2:32:30.920]  The system provides an endless supply
[2:32:30.920 --> 2:32:32.920]  of off the grid electricity,
[2:32:32.920 --> 2:32:34.920]  allowing you to create your own private power grid
[2:32:34.920 --> 2:32:36.920]  literally anywhere in the world.
[2:32:36.920 --> 2:32:38.920]  Perfect for cabins, remote locations,
[2:32:38.920 --> 2:32:40.920]  any time you need to get off the grid for a while.
[2:32:40.920 --> 2:32:42.920]  Go to privatepowergrid.com
[2:32:42.920 --> 2:32:44.920]  to watch this thing in action.
[2:32:44.920 --> 2:32:46.920]  That's privatepowergrid.com.
[2:32:46.920 --> 2:32:48.920]  Even better, use coupon code
[2:32:48.920 --> 2:32:50.920]  private at checkout and get a second
[2:32:50.920 --> 2:32:52.920]  PPX energy unit for free.
[2:32:52.920 --> 2:32:54.920]  Check it out at privatepowergrid.com.
[2:32:54.920 --> 2:33:20.920]  That's privatepowergrid.com.
[2:33:24.920 --> 2:33:52.920]  That's privatepowergrid.com.
[2:33:52.920 --> 2:34:20.920]  That's privatepowergrid.com.
[2:34:20.920 --> 2:34:48.920]  That's privatepowergrid.com.
[2:34:48.920 --> 2:35:16.920]  That's privatepowergrid.com.
[2:35:16.920 --> 2:35:44.920]  That's privatepowergrid.com.
[2:35:44.920 --> 2:36:12.920]  That's privatepowergrid.com.
[2:36:12.920 --> 2:36:40.920]  That's privatepowergrid.com.
[2:36:40.920 --> 2:37:08.920]  That's privatepowergrid.com.
[2:37:08.920 --> 2:37:36.920]  That's privatepowergrid.com.
[2:37:36.920 --> 2:38:04.920]  That's privatepowergrid.com.
[2:38:04.920 --> 2:38:32.920]  That's privatepowergrid.com.
[2:38:32.920 --> 2:39:00.920]  That's privatepowergrid.com.
[2:39:00.920 --> 2:39:28.920]  That's privatepowergrid.com.
[2:39:28.920 --> 2:39:56.920]  That's privatepowergrid.com.
[2:39:56.920 --> 2:40:24.920]  That's privatepowergrid.com.
[2:40:24.920 --> 2:40:52.920]  That's privatepowergrid.com.
[2:40:52.920 --> 2:41:20.920]  That's privatepowergrid.com.
[2:41:20.920 --> 2:41:48.920]  That's privatepowergrid.com.
[2:41:48.920 --> 2:42:16.920]  That's privatepowergrid.com.
[2:42:16.920 --> 2:42:44.920]  That's privatepowergrid.com.
[2:42:44.920 --> 2:43:12.920]  That's privatepowergrid.com.
[2:43:12.920 --> 2:43:40.920]  That's privatepowergrid.com.
[2:43:40.920 --> 2:44:08.920]  That's privatepowergrid.com.
[2:44:08.920 --> 2:44:36.920]  That's privatepowergrid.com.
[2:44:36.920 --> 2:45:04.920]  That's privatepowergrid.com.
[2:45:04.920 --> 2:45:32.920]  That's privatepowergrid.com.
[2:45:32.920 --> 2:46:00.920]  That's privatepowergrid.com.
[2:46:00.920 --> 2:46:28.920]  That's privatepowergrid.com.
[2:46:28.920 --> 2:46:56.920]  That's privatepowergrid.com.
[2:46:56.920 --> 2:47:24.920]  That's privatepowergrid.com.
[2:47:24.920 --> 2:47:52.920]  That's privatepowergrid.com.
[2:47:52.920 --> 2:48:20.920]  That's privatepowergrid.com.
[2:48:20.920 --> 2:48:48.920]  That's privatepowergrid.com.
[2:48:48.920 --> 2:49:16.920]  That's privatepowergrid.com.
[2:49:16.920 --> 2:49:44.920]  That's privatepowergrid.com.
[2:49:44.920 --> 2:50:12.920]  That's privatepowergrid.com.
[2:50:12.920 --> 2:50:40.920]  That's privatepowergrid.com.
[2:50:40.920 --> 2:51:08.920]  That's privatepowergrid.com.
[2:51:08.920 --> 2:51:36.920]  That's privatepowergrid.com.
[2:51:36.920 --> 2:52:04.920]  That's privatepowergrid.com.
[2:52:04.920 --> 2:52:32.920]  That's privatepowergrid.com.
[2:52:32.920 --> 2:53:00.920]  That's privatepowergrid.com.
[2:53:00.920 --> 2:53:28.920]  That's privatepowergrid.com.
[2:53:28.920 --> 2:53:56.920]  That's privatepowergrid.com.
[2:53:56.920 --> 2:54:24.920]  That's privatepowergrid.com.
[2:54:24.920 --> 2:54:52.920]  That's privatepowergrid.com.
[2:54:52.920 --> 2:55:20.920]  That's privatepowergrid.com.
[2:55:20.920 --> 2:55:48.920]  That's privatepowergrid.com.
[2:55:48.920 --> 2:56:16.920]  That's privatepowergrid.com.
[2:56:16.920 --> 2:56:44.920]  That's privatepowergrid.com.
[2:56:44.920 --> 2:57:12.920]  That's privatepowergrid.com.
[2:57:12.920 --> 2:57:40.920]  That's privatepowergrid.com.
[2:57:40.920 --> 2:58:08.920]  That's privatepowergrid.com.
[2:58:08.920 --> 2:58:36.920]  That's privatepowergrid.com.
[2:58:36.920 --> 2:59:04.920]  That's privatepowergrid.com.
[2:59:04.920 --> 2:59:32.920]  That's privatepowergrid.com.
[2:59:32.920 --> 3:00:00.920]  That's privatepowergrid.com.
[3:00:00.920 --> 3:00:28.920]  That's privatepowergrid.com.
[3:00:28.920 --> 3:00:56.920]  That's privatepowergrid.com.
[3:00:56.920 --> 3:01:24.920]  That's privatepowergrid.com.
[3:01:24.920 --> 3:01:52.920]  That's privatepowergrid.com.
[3:01:52.920 --> 3:02:20.920]  That's privatepowergrid.com.
[3:02:20.920 --> 3:02:48.920]  That's privatepowergrid.com.
[3:02:48.920 --> 3:03:16.920]  That's privatepowergrid.com.
[3:03:16.920 --> 3:03:44.920]  That's privatepowergrid.com.
[3:03:44.920 --> 3:04:12.920]  That's privatepowergrid.com.
[3:04:12.920 --> 3:04:40.920]  That's privatepowergrid.com.
[3:04:40.920 --> 3:05:08.920]  That's privatepowergrid.com.
[3:05:08.920 --> 3:05:36.920]  That's privatepowergrid.com.
[3:05:36.920 --> 3:05:58.920]  That's privatepowergrid.com.
[3:05:58.920 --> 3:06:26.920]  That's privatepowergrid.com.
[3:06:26.920 --> 3:06:54.920]  That's privatepowergrid.com.
[3:06:54.920 --> 3:07:22.920]  That's privatepowergrid.com.
[3:07:22.920 --> 3:07:50.920]  That's privatepowergrid.com.
[3:07:50.920 --> 3:08:18.920]  That's privatepowergrid.com.
[3:08:18.920 --> 3:08:46.920]  That's privatepowergrid.com.
[3:08:46.920 --> 3:09:14.920]  That's privatepowergrid.com.
[3:09:14.920 --> 3:09:42.920]  That's privatepowergrid.com.
[3:09:42.920 --> 3:10:10.920]  That's privatepowergrid.com.
[3:10:10.920 --> 3:10:38.920]  That's privatepowergrid.com.
[3:10:38.920 --> 3:11:06.920]  That's privatepowergrid.com.
[3:11:06.920 --> 3:11:34.920]  That's privatepowergrid.com.
[3:11:34.920 --> 3:12:02.920]  That's privatepowergrid.com.
[3:12:02.920 --> 3:12:30.920]  That's privatepowergrid.com.
[3:12:30.920 --> 3:12:58.920]  That's privatepowergrid.com.
[3:12:58.920 --> 3:13:26.920]  That's privatepowergrid.com.
[3:13:26.920 --> 3:13:54.920]  That's privatepowergrid.com.
[3:13:54.920 --> 3:14:22.920]  That's privatepowergrid.com.
[3:14:22.920 --> 3:14:50.920]  That's privatepowergrid.com.
[3:14:50.920 --> 3:15:18.920]  That's privatepowergrid.com.
[3:15:18.920 --> 3:15:46.920]  That's privatepowergrid.com.
[3:15:46.920 --> 3:16:14.920]  That's privatepowergrid.com.
[3:16:14.920 --> 3:16:42.920]  That's privatepowergrid.com.
[3:16:42.920 --> 3:17:10.920]  That's privatepowergrid.com.
[3:17:10.920 --> 3:17:38.920]  That's privatepowergrid.com.
[3:17:38.920 --> 3:18:06.920]  That's privatepowergrid.com.
[3:18:06.920 --> 3:18:34.920]  That's privatepowergrid.com.
[3:18:34.920 --> 3:19:02.920]  That's privatepowergrid.com.
[3:19:02.920 --> 3:19:30.920]  That's privatepowergrid.com.
[3:19:30.920 --> 3:19:58.920]  That's privatepowergrid.com.
[3:19:58.920 --> 3:20:26.920]  That's privatepowergrid.com.
[3:20:26.920 --> 3:20:54.920]  That's privatepowergrid.com.
[3:20:54.920 --> 3:21:22.920]  That's privatepowergrid.com.
[3:21:22.920 --> 3:21:50.920]  That's privatepowergrid.com.
[3:21:50.920 --> 3:22:18.920]  That's privatepowergrid.com.
[3:22:18.920 --> 3:22:46.920]  That's privatepowergrid.com.
[3:22:46.920 --> 3:23:14.920]  That's privatepowergrid.com.
[3:23:14.920 --> 3:23:42.920]  That's privatepowergrid.com.
[3:23:42.920 --> 3:24:08.920]  That's privatepowergrid.com.
[3:24:08.920 --> 3:24:12.920]  John Rappaport back here in the fourth hour, Infowars.
[3:24:12.920 --> 3:24:26.920]  Before I get into RFK Junior here, I just want to let all of you know an emergency shipment of DNA force is back at InfowarsLife.com.
[3:24:26.920 --> 3:24:42.920]  It is now back, but limited quantities, so get over there to InfowarsLife.com because it could be months before a larger shipment of DNA force arrives.
[3:24:42.920 --> 3:24:56.920]  Patented ingredients, BiOPQQ, systemic enzymes, 175 clinical studies on BiOPQQ. That's what's backing this up.
[3:24:56.920 --> 3:25:12.920]  It's very expensive to produce. An emergency shipment has arrived of DNA force at InfowarsLife.com. Go there, make your body great again, and support Infowars.
[3:25:12.920 --> 3:25:36.920]  OK, RFK Junior, Robert F. Kennedy Junior, he is purported, let's see the green light here from President Trump, to be the guy who is going to investigate on behalf of the federal government executive branch vaccine safety.
[3:25:36.920 --> 3:25:51.920]  Now, I never thought in my lifetime that I would ever say those words, and if you've been paying attention, neither should you, because this is unprecedented.
[3:25:51.920 --> 3:26:07.920]  The president of the United States meets with Robert F. Kennedy Junior at Trump Tower. Kennedy comes out and says, OK, I'm going to do an investigation on behalf of the administration into vaccine safety.
[3:26:07.920 --> 3:26:26.920]  I'm going to take on the CDC because I know all about the CDC, and RFK does know, Junior, does know everything he needs to know right now, right now.
[3:26:26.920 --> 3:26:45.920]  You can imagine what he might uncover with subpoena power, perhaps. He knows right now that there is an incredible conflict of interest at the CDC that is structural, that has existed forever, and it boils down to this.
[3:26:45.920 --> 3:27:10.920]  The CDC is a profit-making company. They buy and sell gigantic amounts of vaccines. 50% of the vaccines in America for children come from the CDC, but at the same time, they are the agency required to do so-called scientific studies assessing the safety and efficacy of vaccines.
[3:27:10.920 --> 3:27:32.920]  That's called a conflict of interest, my friends, and RFK Junior can document the men and women who sit on those committees, sit on those committees at the CDC, and make assessments about what vaccines your children must have, what new vaccines are coming on to the market.
[3:27:32.920 --> 3:27:44.920]  The safety of these vaccines, while they take money, significant money from pharmaceutical companies, and this has never been challenged at the CDC.
[3:27:44.920 --> 3:28:01.920]  The CDC is a rogue federal agency and a profit-making company at the same time, and they deserve to be completely plowed under legally after an investigation and completely reformulated from the ground up.
[3:28:01.920 --> 3:28:25.920]  RFK Junior can do that if he is given the leeway. He knows enough right now. He knows enough right now. This would be staggering, and I speak to somebody that's been working as a reporter for 34 years now and has been investigating vaccines for the last 28, 30 years.
[3:28:25.920 --> 3:28:49.920]  To have this happen would be staggering on many fronts, not only medical. It would alert the public yet again on a higher level that they have been bamboozled and committed crimes against them by institutions of government for a long, long, long time.
[3:28:49.920 --> 3:29:07.920]  And that major media science is fake science right down to the ground. That's what this investigation would do. So in any way that we can support this happening under the executive branch and Trump's guidance with RFK Junior in the lead,
[3:29:07.920 --> 3:29:25.920]  it's absolutely necessary that we strike back with the truth at major media who are already gathering their forces to declaim this as some horrible thing that's going to kill all of our children and all of the fake news and horrific lies they tell.
[3:29:25.920 --> 3:29:48.920]  We'll be back after the break here on Infowars.
[3:29:56.920 --> 3:30:09.920]  Well, this administration thinks that the American public has a right to know what's happening in cities across the country, and it looks like the Trump administration is going to publish weekly crimes committed by illegal aliens,
[3:30:09.920 --> 3:30:26.920]  sidestepping the mainstream media's coverage of the immigration crime wave. We have an article that's up on our website that aggregated from Breitbart News, and it talks about how this administration is going to publish a list of crimes committed by illegals in sanctuary cities weekly according to an executive order release.
[3:30:26.920 --> 3:30:42.920]  Now, this order says, quote, to better inform the public regarding public safety threats associated with sanctuary jurisdictions. The secretary shall utilize the declined detainer outcome report or its equivalent and on a weekly basis make public a comprehensive list of criminal actions
[3:30:42.920 --> 3:30:56.920]  committed by aliens and any jurisdiction that ignores or otherwise fail to honor any detainers with respect to such aliens. It looks like this administration is saying to these sanctuary cities, you deport or we're going to publish what's actually going on.
[3:30:56.920 --> 3:31:20.920]  I'm Howard Hall reporting for Infowars.com.
[3:31:26.920 --> 3:31:49.920]  I'm Howard Hall reporting for Infowars.com.
[3:31:49.920 --> 3:31:58.920]  So many people calling to my radio show and tell me how young Jebedee and the products at InfowarsTeam.com have changed their lives. Check it out for yourself today.
[3:32:20.920 --> 3:32:31.920]  This is the book that got Roger Stone poisoned with polonium. It breaks down what really happened with the Russians and so much more and it supports him and it supports Infowars our whole operation.
[3:32:31.920 --> 3:32:49.920]  So it's essential that this book go to the top of the charts in the political area if not to the very top of the charts. Joe Biden has come out and said world government is collapsing. They're in full crisis mode. National movements are exploding. Everybody needs to go pre-order so you get it first.
[3:32:49.920 --> 3:33:13.920]  Alex Jones have gone on their plane to go to the inaugural event with Trump. Pray for us and please continue to support the operation and get his bookmaster the first to have it shipped to you.
[3:33:13.920 --> 3:33:24.920]  From the front lines of the information war, it's Alex Jones.
[3:33:24.920 --> 3:33:40.920]  John Rappaport here in the fourth hour sitting in for Alex at Infowars. We're talking about developments, developments. I was talking about Robert F. Kennedy Jr. and an investigation of vaccines.
[3:33:40.920 --> 3:33:55.920]  If this moves forward, this will revolutionize the country. I guarantee it. If it moves forward without hindrance, vaccine safety as a myth will be exposed completely.
[3:33:55.920 --> 3:34:13.920]  Guarantee it. This will happen. People will understand how they have been lied to, criminally lied to by the CDC and other public health agencies, how these vaccines get onto the market, the toxic ingredients that they contain.
[3:34:13.920 --> 3:34:28.920]  Talking about not just mercury either. The profit making venture at the CDC that operates both as a corporation and as a public health agency in the executive branch of the federal government.
[3:34:28.920 --> 3:34:50.920]  All of this will come out and the major media will go completely insane. Completely insane. Guaranteed. So we hope that this is in the cards and that it's going to happen.
[3:34:50.920 --> 3:35:16.920]  Now, why are the major media going so crazy right now? I mean, we had the business of ABC airing a promo about a fiction series, a show where a president was shot during a break in the Trump interview.
[3:35:16.920 --> 3:35:30.920]  Wow. We've had reporters sitting around, major reporters sitting around joking about assassinating Trump, shooting Trump, murdering Trump.
[3:35:30.920 --> 3:35:46.920]  Just imagine. Well, can you even imagine if Hillary Clinton had won and the shoe was on the other foot? Reporters on television, mainstream reporters sitting around joking about killing Hillary.
[3:35:46.920 --> 3:36:02.920]  How do you think this would have flown? But not a problem here. Do you see the New York Times, the Washington Post, any of the major networks anywhere in the world taking these stories?
[3:36:02.920 --> 3:36:20.920]  And there are several, handful at least, where you've got mainstream reporters joking about murdering Trump and making that into a page one story and pounding on it day after day.
[3:36:20.920 --> 3:36:34.920]  As an example of how far the left has gone and is willing to go in their efforts to, you can't even call it delegitimized because they're talking about assassination.
[3:36:34.920 --> 3:36:48.920]  That's what they are talking about in, you know, frivolous terms. And, you know, just, and by frivolous, I mean casual, like, yeah, what would happen if, you know, somebody just shot the president?
[3:36:48.920 --> 3:37:11.920]  There is. This is how far major media are going. Because not only is their own survival at stake and they know they're losing to independent media, losing by miles now to independent media, but the entire globalist agenda is cracking and falling apart.
[3:37:11.920 --> 3:37:27.920]  And what is that agenda? What are we talking about? We are talking about the replacement of sovereign nations with a new economic and political order that is international, a global management system for the entire planet.
[3:37:27.920 --> 3:37:44.920]  That agenda is being exposed over and over again, as it has been for some time, tremendously accelerated by Trump. And here it is. This must not happen, but it is happening.
[3:37:44.920 --> 3:38:02.920]  The entire mandate of major media was to keep this under wraps and never expose it, never let it see the light of day that this takeover, in this case of America and other countries, has been proceeding apace for a very long time.
[3:38:02.920 --> 3:38:16.920]  You can go back as far as you want to go in our history, you can go back to 1913, you can go back to 1945, these are key years, but it's been kept a secret and now the secret is blown completely.
[3:38:16.920 --> 3:38:29.920]  The covert op is blown, and major media are going insane because it's their mandate to cover this up. That's what's happening.
[3:38:29.920 --> 3:38:46.920]  And when people go insane, there is no predicting what they will do or say, they will say anything to try to escape from what they consider to be living death for themselves, for themselves. That's what will happen.
[3:38:46.920 --> 3:39:05.920]  Let me just remind you about the 2017 Make Our Bodies Great Again initiative. It isn't only making America great again, it's the people, the individuals, the health. This is what's happening at Infowars.
[3:39:05.920 --> 3:39:13.920]  And it all goes along with what I've been talking about, about the takedown of globalism and the reassertion of the individual again.
[3:39:13.920 --> 3:39:22.920]  So there are many products that are involved here in this initiative at InfowarsLife.com.
[3:39:22.920 --> 3:39:45.920]  Brain force, 30% off, super male vitality, 30 off, secret 12, 20% off, liver shield, 20% off, survival shield X2, 30% off, knockout, 20% off, prostagard, 20% off. All of these products and many others at InfowarsLife.com.
[3:39:45.920 --> 3:40:10.920]  Taking back your health, making your body great, again the 2017 Infowars initiative and helping Infowars to continue its work in this winning a battle that we are in against globalism and for freedom.
[3:40:10.920 --> 3:40:21.920]  Another reason that the major media have gone so crazy is because they cannot permit a discussion of what it means to be talking about America.
[3:40:21.920 --> 3:40:42.920]  America as a nation, not as an independent to take so village cheese glob collectivist world, which has been the incessant rattle of the media in one way or another in politicians for as long back as we can remember.
[3:40:42.920 --> 3:41:00.920]  No, not that. Just talking about America as a distinct independent existing nation with a history with a tradition that goes back to the formation of a republic, what that means, what the documents mean and so forth.
[3:41:00.920 --> 3:41:14.920]  That discussion must never take place as far as major media are concerned and people must never again become aware that America is its own nation.
[3:41:14.920 --> 3:41:33.920]  They hoped that day was long past. It would never return. But guess what? It's back. It's back again. It's happening. It's coming to the fore. This is a shock to the system. I mean an incredible shock to the system.
