[00:00:02.867 --> 00:00:03.467]  I'm David Knight.
[01:09:15.287 --> 01:09:21.010]  It wasn't a tax return that involved multiple huge businesses like Donald Trump has.
[01:09:21.010 --> 01:09:22.010]  Every year they would do that.
[01:09:22.010 --> 01:09:25.472]  Every year they would get 30 different answers, or 50 different answers.
[01:09:25.752 --> 01:09:28.595]  All the tax accountants would give them a different answer.
[01:09:28.595 --> 01:09:35.020]  In this particular case, they were asked to look at a family that was making $130,000 a year.
[01:09:35.020 --> 01:09:41.685]  And they came up with figures that said they owed between $9,800 and $21,000 in taxes.
[01:09:41.685 --> 01:09:42.446]  All over the place.
[01:09:42.446 --> 01:09:44.107]  Now money said they thought the correct answer was $12,000.
[01:09:46.129 --> 01:09:51.535]  I remember years we'd look at it, and they would have situations where the 30 tax accountants would look at it, 30 different answers.
[01:09:51.535 --> 01:09:54.458]  Some of them would say, hey, you're getting back $20,000.
[01:09:54.458 --> 01:09:57.221]  Others would say, you got to pay $20,000, all right?
[01:09:57.221 --> 01:10:01.225]  They say, although the family had some tax problems most Americans will never face.
[01:10:02.166 --> 01:10:04.928]  Some of the experts badly fumbled basic items.
[01:10:04.928 --> 01:10:18.777]  They say the 35 CPAs and 8 independent enrolled agents and 2 non-CPAs and 5 preparers from chains like H&R Block charged fees that ranged from $271 to $4,000.
[01:10:18.777 --> 01:10:21.839]  And there was no logical connection between the fees charged and their performance.
[01:10:21.839 --> 01:10:23.381]  In other words, here's the bottom line, folks.
[01:10:24.261 --> 01:10:33.378]  If you want to paraphrase Joseph Stalin who said, bring me the man and I'll find the crime, today what Hillary would say is bring me the tax returns and I'll find the crime.
[01:10:34.264 --> 01:10:40.345]  See, a law that is sufficiently complex is the same as having no law at all.
[01:10:40.345 --> 01:10:44.166]  And that's the way our tax system works.
[01:10:44.166 --> 01:10:46.247]  This is something that has gone on for a very long time.
[01:10:46.247 --> 01:10:54.749]  If you've got that complicated a tax return, yeah, this is something that is simply going to be a fishing expedition to take attention away from the Clintons.
[01:10:54.749 --> 01:10:55.649]  But look at this article.
[01:10:55.649 --> 01:11:03.431]  Going back to May this year, we had the Washington Post say Donald Trump did once reveal his income tax returns, and they showed that he didn't pay a cent.
[01:11:05.103 --> 01:11:05.985]  Is that a problem?
[01:11:05.985 --> 01:11:06.686]  You have a problem with that?
[01:11:06.686 --> 01:11:08.791]  I don't have a problem with that.
[01:11:08.791 --> 01:11:16.046]  See, there's a difference you have to understand between tax avoidance, which is legal, and tax evasion, which is illegal.
[01:11:16.820 --> 01:11:21.982]  But see, you can't even get the vast majority of the American public to understand that.
[01:11:21.982 --> 01:11:34.207]  Because as we've seen with that viral video between the young black man and the older black man, the older guy could not even understand the difference between legal and illegal immigrants.
[01:11:34.207 --> 01:11:34.867]  Couldn't understand it.
[01:11:36.291 --> 01:11:37.472]  He couldn't make that distinction.
[01:11:37.472 --> 01:11:43.276]  So how are people going to understand the difference between taking legal tax deductions?
[01:11:43.276 --> 01:11:46.698]  Why would you want to pay the government one cent more?
[01:11:46.698 --> 01:11:47.939]  Why would you want to pay?
[01:11:47.939 --> 01:11:48.720]  I say, good for him.
[01:11:48.720 --> 01:11:50.861]  You know, I remember talking about Money Magazine.
[01:11:50.861 --> 01:11:52.462]  I remember Business Week.
[01:11:52.462 --> 01:11:56.865]  My dad used to get Business Week and I would read it when I was in college and high school.
[01:11:56.865 --> 01:11:59.427]  I remember a story that was in Business Week.
[01:11:59.427 --> 01:12:01.869]  They were talking about what was wrong with Europe.
[01:12:02.529 --> 01:12:05.149]  Well, they called Euro-sclerosis.
[01:12:05.149 --> 01:12:07.350]  We call it socialism.
[01:12:07.350 --> 01:12:14.471]  It means that the economy is calcified and paralyzed by over-regulation, which we now have in America as well.
[01:12:14.471 --> 01:12:22.513]  But there was something else that was in Europe, and one of the European people they were talking to said, you know, America has a different attitude.
[01:12:22.513 --> 01:12:30.174]  He said, if you see, if people in Europe see a really nice car parked along the side of the road, they resent it.
[01:12:31.169 --> 01:12:33.032]  There's an envy there.
[01:12:33.032 --> 01:12:34.153]  They want to key it.
[01:12:34.153 --> 01:12:36.036]  They want to scratch it with their key.
[01:12:36.036 --> 01:12:37.518]  Okay?
[01:12:37.518 --> 01:12:39.320]  They really hate the person who has that.
[01:12:39.320 --> 01:12:45.648]  In America, he said, the difference is people look at a car like that and say, someday I'm going to have one.
[01:12:46.792 --> 01:12:48.253]  See, that's the difference.
[01:12:48.253 --> 01:12:52.175]  And when you've got the Washington Post out there saying, ah, he didn't pay any taxes.
[01:12:52.175 --> 01:12:57.539]  It's like, I aspire to the day that I don't pay one cent in taxes, okay?
[01:12:57.539 --> 01:12:59.180]  And that they don't send me to jail.
[01:12:59.180 --> 01:13:01.842]  I do it in a way that I don't go to jail, alright?
[01:13:01.842 --> 01:13:04.343]  And I understand all of you who are going to write us about this.
[01:13:04.343 --> 01:13:12.428]  I understand that there are people who are out there trying to make the case about the tax system, the corruption that's involved there that want to op out.
[01:13:12.428 --> 01:13:13.149]  I understand that.
[01:13:13.849 --> 01:13:15.291]  I'm not going to fight that battle.
[01:13:15.291 --> 01:13:16.914]  I've got other battles that I'm fighting.
[01:13:16.914 --> 01:13:18.075]  So yeah, I understand that.
[01:13:18.075 --> 01:13:20.419]  I've read that and other people can look at that.
[01:13:20.419 --> 01:13:25.266]  You understand that we operate in a system where the government doesn't really care what the law is.
[01:13:25.266 --> 01:13:29.632]  You can debate with them what the law is, but right now you're looking down the barrel of a gun with the IRS.
[01:13:30.293 --> 01:13:45.389]  They point out a disclosure, this is back in 1981, by New Jersey gambling regulators, revealed that Donald Trump had for at least two years in the late 1970s taken advantage of a tax code provision that was popular with developers that allowed him to report negative income.
[01:13:45.389 --> 01:13:46.230]  See?
[01:13:46.230 --> 01:13:47.010]  It's not illegal.
[01:13:47.651 --> 01:13:49.611]  It was something that was in the tax code.
[01:13:49.611 --> 01:13:51.172]  And he took advantage of it.
[01:13:51.172 --> 01:13:52.392]  And good for him.
[01:13:52.392 --> 01:13:57.633]  But see, that's a good example of how they would use this to attack him.
[01:13:57.633 --> 01:14:04.575]  People who don't understand it, people who envy what he does, his success, and just the complexity of the whole system.
[01:14:04.575 --> 01:14:09.596]  They could spend from here to run out the clock, as Hillary Clinton wants to do,
[01:14:10.456 --> 01:14:15.039]  Going over a fine-tooth comb and pulling things out of context out of his tax return.
[01:14:15.039 --> 01:14:16.560]  I think it would be a huge mistake to do that.
[01:14:16.560 --> 01:14:18.601]  But let's take a look at the Clintons, okay?
[01:14:18.601 --> 01:14:22.604]  Here's an article from 1994, March 30th, 1994, from the Baltimore Sun.
[01:14:22.604 --> 01:14:23.624]  Cheer up!
[01:14:23.624 --> 01:14:26.226]  Taxes boggle the Clintons too.
[01:14:26.226 --> 01:14:27.867]  They confuse the Clintons as well.
[01:14:27.867 --> 01:14:31.809]  Again, Money Magazine looked at the Clintons' federal income tax returns from 1980 to 1992.
[01:14:34.471 --> 01:14:39.375]  They estimated that for those years, they believed they underpaid the IRS by $16,000.
[01:14:39.375 --> 01:14:41.296]  But don't worry, Clintons.
[01:14:41.296 --> 01:14:45.860]  Today that would be worth, they said in 1994, that would be worth $45,000.
[01:14:45.860 --> 01:14:50.323]  But don't worry, the Clintons would get away with it because of statute of limitations.
[01:14:50.323 --> 01:14:52.185]  They run out, they said, at that time in three years.
[01:14:52.185 --> 01:14:57.309]  They said, though both the Clintons are sophisticated lawyers, boy are they sophisticated.
[01:14:57.309 --> 01:14:58.910]  Yeah, they're sophisticated.
[01:14:58.910 --> 01:15:01.592]  Sophisticated liars, I think is what they meant to say.
[01:15:01.592 --> 01:15:03.533]  They didn't keep adequate records.
[01:15:03.533 --> 01:15:04.174]  No, really?
[01:15:06.360 --> 01:15:10.404]  This is even before they had Bleach Bet to get rid of all their stuff.
[01:15:10.404 --> 01:15:15.069]  They didn't keep adequate records, the Clintons didn't, and they tended to overestimate certain deductions.
[01:15:15.069 --> 01:15:16.030]  Like what?
[01:15:16.030 --> 01:15:18.372]  Like their charitable deductions, okay?
[01:15:18.372 --> 01:15:24.358]  They go on to say that the Clintons had a $30 value for a pair of brown shoes that the couples had written off as $80.
[01:15:25.799 --> 01:15:32.341]  They also knocked down long underwear from $15 to $2 when they were looking at some of their deductibles.
[01:15:32.341 --> 01:15:36.482]  You know, that was back when the Clintons were just petty criminals.
[01:15:36.482 --> 01:15:41.744]  You know, taking a deduction of $80 for their shoes when they only paid $30 for them.
[01:15:41.744 --> 01:15:44.825]  Now they're very sophisticated criminals, okay?
[01:15:44.825 --> 01:15:47.646]  And they said part of the confusion was because of Whitewater.
[01:15:48.396 --> 01:15:53.901]  If you don't know what whitewater is, tonight your homework assignment is to go look that up.
[01:15:53.901 --> 01:15:54.982]  Google whitewater.
[01:15:54.982 --> 01:15:56.304]  Find out what was going on with that.
[01:15:56.304 --> 01:15:57.565]  Stay with us, we'll be right back.
[01:15:57.565 --> 01:15:59.527]  Alex Jones is going to be joining us with a special report.
[01:16:01.212 --> 01:16:05.174]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[01:16:05.174 --> 01:16:11.476]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[01:16:11.476 --> 01:16:18.779]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[01:16:18.779 --> 01:16:27.562]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[01:16:27.882 --> 01:16:34.045]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:16:34.045 --> 01:16:38.887]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:16:38.887 --> 01:16:42.469]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:16:42.469 --> 01:16:44.370]  No needles, no injections.
[01:16:44.370 --> 01:16:46.010]  Don't take my word for it.
[01:16:46.010 --> 01:16:47.211]  Try it for yourself.
[01:16:47.211 --> 01:16:48.792]  Discover the secret, Secret 12.
[01:16:49.512 --> 01:16:54.163]  Secure your Revolutionary Secret 12 Formula right now at Infowarslife.com or call 888-253-3139.
[01:16:54.163 --> 01:16:55.085]  Infowarslife Secret 12.
[01:17:00.865 --> 01:17:01.706]  Hey, everyone!
[01:17:01.706 --> 01:17:03.987]  Pharmacist Ben Fuchs here, host of The Bright Side.
[01:17:03.987 --> 01:17:07.829]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:17:07.829 --> 01:17:09.911]  You've all heard the shocking statistics.
[01:17:09.911 --> 01:17:20.177]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[01:17:20.177 --> 01:17:26.161]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[01:17:26.641 --> 01:17:47.400]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work, you need to check out InfoWarsTeam.com.
[01:17:47.400 --> 01:17:49.382]  Give your body the gift of good nutrition.
[01:17:49.382 --> 01:17:50.503]  Head over to InfoWarsTeam.com.
[01:17:50.503 --> 01:17:50.904]  We're good.
[01:18:01.855 --> 01:18:05.058]  A clean, toxic-free body is the foundation of true health.
[01:18:05.058 --> 01:18:07.400]  Deep Cleanze by Infowarslife.com.
[01:18:07.400 --> 01:18:14.426]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:18:14.426 --> 01:18:19.731]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:18:19.731 --> 01:18:28.719]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[01:18:29.159 --> 01:18:38.026]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:18:38.026 --> 01:18:45.131]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpiteGerex herbal processing technique.
[01:18:45.131 --> 01:18:50.495]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best.
[01:18:50.775 --> 01:18:56.405]  If you wish to find deep cleanse and experience the all-in-one cleansing visit InfoWarsLife.com.
[01:18:56.405 --> 01:18:58.349]  That's InfoWarsLife.com or call 888-253-3139.
[01:19:01.644 --> 01:19:03.725]  Brain Force, it's completely different.
[01:19:03.725 --> 01:19:04.945]  Try a bottle of it.
[01:19:04.945 --> 01:19:06.545]  Rob Dew joins us.
[01:19:06.545 --> 01:19:09.646]  You worked, I guess, like 20 plus hours.
[01:19:09.646 --> 01:19:10.706]  Tell us what Brain Force did.
[01:19:10.706 --> 01:19:11.687]  I've been working all day.
[01:19:11.687 --> 01:19:14.187]  I took a couple hours off coaching basketball.
[01:19:14.187 --> 01:19:15.588]  I get in here at 830.
[01:19:15.588 --> 01:19:17.508]  I was kind of run down.
[01:19:17.508 --> 01:19:19.449]  You know, I just didn't feel like I was going to make it.
[01:19:19.449 --> 01:19:21.309]  And I really wanted to do a good job on the interview.
[01:19:21.309 --> 01:19:23.150]  I got my bottle of Brain Force right there.
[01:19:23.150 --> 01:19:24.210]  I popped two of them.
[01:19:24.210 --> 01:19:28.391]  And about 20 minutes later, it's like everything just kind of clears up.
[01:19:28.391 --> 01:19:29.952]  It's got four and a half stars.
[01:19:29.952 --> 01:19:30.932]  People really love it.
[01:19:31.252 --> 01:19:41.038]  Read about it, find out why third-party nutraceutical sites give it such high praise, because it really does have the best organic-based systems that will blow your socks off.
[01:19:41.038 --> 01:19:45.220]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without BrainForce.
[01:19:45.220 --> 01:19:51.364]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more BrainForce and came in.
[01:19:51.364 --> 01:19:57.267]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:20:05.690 --> 01:20:08.329]  You're listening to The Alex Jones Show.
[01:20:39.713 --> 01:20:41.014]  Welcome back to the Alex Jones Show.
[01:20:41.014 --> 01:20:42.976]  I'm David Knight, your host today.
[01:20:42.976 --> 01:20:48.740]  This is the 268th day since Hillary Clinton has openly taken questions from the press.
[01:20:48.740 --> 01:20:52.343]  Looks like she's going to go through the entire campaign without doing it.
[01:20:52.343 --> 01:20:58.007]  When she did that, they hadn't even had the first primary, and we've gone about 80% through the campaign schedule.
[01:20:58.007 --> 01:21:02.751]  Looks like she's going to run the clock out on this thing without taking any live questions from the press.
[01:21:02.751 --> 01:21:03.772]  Don't let her get away with it.
[01:21:04.750 --> 01:21:06.852]  Vote her out of public office.
[01:21:06.852 --> 01:21:07.573]  That's what we need to do.
[01:21:07.573 --> 01:21:13.678]  Look, we're going to have a special report from Alex Jones about Hillary Clinton and her long background.
[01:21:13.678 --> 01:21:20.104]  And we're going to play a part of the speech that Nigel Farage gave at the Trump rally.
[01:21:20.104 --> 01:21:31.274]  Interesting speech, too, because as he talked about the experience and the aftermath of that in the Daily Mail, he said, a very rattled and anxious-looking Hillary Clinton responded to what he said.
[01:21:32.074 --> 01:21:35.076]  And attacked my presence on the stage with Trump.
[01:21:35.076 --> 01:21:39.699]  She trotted out a series of willful misrepresentations of things that I had said.
[01:21:39.699 --> 01:21:40.199]  No, really?
[01:21:40.199 --> 01:21:45.622]  Hillary Clinton trotted out a willful misrepresentation of what he had said.
[01:21:45.622 --> 01:21:47.143]  That is her M.O.
[01:21:47.143 --> 01:21:49.564]  That's what she did with Alex Jones as well.
[01:21:49.564 --> 01:21:51.846]  And you know what?
[01:21:51.846 --> 01:21:52.666]  Draw attention.
[01:21:52.666 --> 01:21:53.506]  That's good, Hillary.
[01:21:53.506 --> 01:21:54.927]  Draw attention to Nigel Farage.
[01:21:54.927 --> 01:21:57.949]  Draw attention to Alex Jones.
[01:21:57.949 --> 01:22:01.111]  If we were Brow Rabbit, we'd say, don't throw us in that brow patch.
[01:22:02.481 --> 01:22:03.781]  That's going to work out really good.
[01:22:03.781 --> 01:22:14.245]  She has just pointed out, in the last couple of days, two of the most powerful speakers who will directly attack Hillary Clinton and tell you exactly what this woman is about.
[01:22:14.245 --> 01:22:16.266]  So we're going to play that for you in just a moment.
[01:22:16.266 --> 01:22:20.447]  Before we do, real quickly, I want to let you know about our new product, BioTruth Selenium.
[01:22:20.447 --> 01:22:25.229]  And of course, this is the essential trace mineral that we all need, but in a very
[01:22:27.049 --> 01:22:28.570]  A very clean form.
[01:22:28.570 --> 01:22:31.432]  It's 100% organic mustard seeds that they press this out of.
[01:22:31.432 --> 01:22:35.274]  So you don't have to worry about any residuals of heavy metals or anything like that.
[01:22:35.274 --> 01:22:41.798]  And as a matter of fact, you get some good cofactors out of that organic mustard seed that they press this out of.
[01:22:41.798 --> 01:22:50.723]  It's a high quality source that plays a role in the natural function of your reproduction, reproductive health, your DNA production, and even your eyesight.
[01:22:50.723 --> 01:22:55.886]  Selenium is an essential trace mineral that you need to make sure that you have in your
[01:22:56.746 --> 01:23:00.350]  Particular supplementation as well as your family's supplementation.
[01:23:00.350 --> 01:23:07.175]  Again, that's the new form BioTrue Selenium that we're now offering at Infowarslife.com.
[01:23:07.175 --> 01:23:09.317]  Let's go to this speech from Nigel Farage.
[01:23:09.317 --> 01:23:16.303]  Nobody, I think, contemporary speaks like Nigel Farage as well as debates like Nigel.
[01:23:16.303 --> 01:23:19.786]  Let's play the speech they gave at a Trump rally in Mississippi.
[01:23:19.786 --> 01:23:22.568]  Thank you very much.
[01:23:22.568 --> 01:23:24.430]  Well, thank you and good evening Mississippi!
[01:23:30.379 --> 01:23:35.746]  I come to you from the United Kingdom with a message of hope and a message of optimism.
[01:23:35.746 --> 01:23:48.101]  It's a message that says if the little people, if the real people, if the ordinary decent people are prepared to stand up and fight for what they believe in, we can overcome the big banks.
[01:23:48.101 --> 01:23:49.362]  We can overcome the multinationals.
[01:23:55.378 --> 01:23:56.579]  And we did it!
[01:23:56.579 --> 01:24:02.704]  We made June the 23rd our Independence Day when we smashed the establishment.
[01:24:07.350 --> 01:24:09.251]  And we did it!
[01:24:09.251 --> 01:24:11.531]  Everybody said we'd lose.
[01:24:11.531 --> 01:24:12.312]  And what did we see?
[01:24:12.312 --> 01:24:15.113]  We saw experts from all over the world.
[01:24:15.113 --> 01:24:17.434]  We saw the International Monetary Fund.
[01:24:17.434 --> 01:24:18.894]  We saw Moody's.
[01:24:18.894 --> 01:24:20.975]  We saw Standard & Poor's.
[01:24:20.975 --> 01:24:25.696]  We saw global leaders giving us project fear.
[01:24:25.696 --> 01:24:33.039]  Telling us that if we voted not to be run by a bunch of unelected old men in Brussels,
[01:24:36.337 --> 01:24:37.897]  Yeah, well, it's OK.
[01:24:37.897 --> 01:24:46.920]  They don't like me either, so it doesn't really matter, does it?
[01:24:46.920 --> 01:24:50.301]  But they told us our economy would fall off a cliff.
[01:24:50.301 --> 01:24:52.281]  They told us there'd be mass unemployment.
[01:24:52.281 --> 01:24:55.362]  They told us investment would leave our country.
[01:24:55.362 --> 01:25:04.625]  And David Cameron, then our Prime Minister, but no longer, told us we might even get World War III.
[01:25:06.047 --> 01:25:14.251]  And we saw the commentariat and we saw the polling industry doing everything they could to demoralise our campaign.
[01:25:14.251 --> 01:25:20.834]  On the day of the vote itself, that morning, they put us 10 points behind.
[01:25:20.834 --> 01:25:23.136]  And actually, they were all wrong.
[01:25:23.136 --> 01:25:32.620]  And they were wrong because what the Brexit campaign did is we reached those people who've been let down by modern global corporatism.
[01:25:32.620 --> 01:25:33.741]  We reached those people.
[01:25:40.979 --> 01:25:55.943]  We reach those people who have never voted in their lives but believe by going out and voting for Brexit they could take back control of their country, take back control of their borders and get back their pride and self-respect.
[01:26:03.533 --> 01:26:13.684]  Now the big card, the big card the Prime Minister decided to play in the referendum is he got a foreign visitor to come to London to talk to us.
[01:26:13.684 --> 01:26:17.328]  Yes, we were visited by one Barack Obama.
[01:26:27.168 --> 01:26:29.129]  And he talked down to us.
[01:26:29.129 --> 01:26:31.570]  He treated us as if we were nothing.
[01:26:31.570 --> 01:26:35.131]  One of the oldest functioning democracies in the world.
[01:26:35.131 --> 01:26:39.113]  And here he was telling us to vote Remain.
[01:26:39.113 --> 01:26:51.398]  So I, having criticised and condemned his behaviour, I could not possibly tell you how you should vote in this election.
[01:26:51.398 --> 01:26:51.658]  But,
[01:27:00.342 --> 01:27:01.363]  Yeah, no, I get it.
[01:27:01.363 --> 01:27:02.584]  I get it.
[01:27:02.584 --> 01:27:02.984]  I get it.
[01:27:02.984 --> 01:27:05.847]  I get it, I'm hearing you.
[01:27:05.847 --> 01:27:07.508]  But I will say this.
[01:27:07.508 --> 01:27:18.878]  If I was an American citizen, I wouldn't vote for Hillary Clinton if you paid me!
[01:27:18.878 --> 01:27:20.879]  Her eyes are such a great speaker.
[01:27:20.879 --> 01:27:25.403]  In fact, I wouldn't vote for Hillary Clinton if she paid me!
[01:27:31.388 --> 01:27:33.209]  Folks, the message is clear.
[01:27:33.209 --> 01:27:34.709]  The parallels are there.
[01:27:34.709 --> 01:27:50.616]  There are millions of ordinary Americans who've been let down, who've had a bad time, who feel the political class in Washington are detached from them, who feel so many of their representatives are politically correct parts of that liberal media elite.
[01:27:50.616 --> 01:27:58.260]  They feel people aren't standing up for them and they've actually in many cases given up on the whole electoral process and I think
[01:27:58.920 --> 01:28:04.107]  I think that you have a fantastic opportunity here with this campaign.
[01:28:04.107 --> 01:28:05.388]  You can go out.
[01:28:05.388 --> 01:28:07.411]  You can beat the pollsters.
[01:28:07.411 --> 01:28:09.593]  You can beat the commentators.
[01:28:09.593 --> 01:28:17.142]  You can beat Washington.
[01:28:17.142 --> 01:28:17.983]  And you'll do it
[01:28:19.048 --> 01:28:39.481]  By doing what we did for Brexit in Britain, we had our own people's army of ordinary citizens who went out and delivered leaflets, who went to meet people where they worked and where they socialised, who convinced and inspired people to go out, if this was the one and only time in their life, and to vote for change.
[01:28:39.481 --> 01:28:45.225]  So my advice to you, if you want change in this country, you better get your walk
[01:28:45.325 --> 01:28:52.189]  And again, that's Nigel Farage's amazing speech, and what he said was the atmosphere was more like a rock concert.
[01:28:52.189 --> 01:28:54.411]  He said he's used to going to talk to about 50 people.
[01:28:54.411 --> 01:28:55.792]  You know, so is Hillary Clinton.
[01:28:55.792 --> 01:28:57.813]  Except those 50 people give her $100,000 checks.
[01:28:57.813 --> 01:28:58.513]  Stay with us.
[01:28:58.513 --> 01:29:00.775]  We're going to be right back with Alex Jones.
[01:29:01.175 --> 01:29:06.239]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[01:29:06.239 --> 01:29:14.905]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[01:29:14.905 --> 01:29:19.048]  Longevity also offers you an ingenious way to augment your income.
[01:29:19.048 --> 01:29:19.828]  And the best part?
[01:29:19.828 --> 01:29:22.711]  You'll be helping your friends and family along the way.
[01:29:22.711 --> 01:29:25.312]  Visit InfoWarsTeam.com today.
[01:29:25.312 --> 01:29:26.013]  Become a member.
[01:29:26.013 --> 01:29:30.156]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[01:29:30.376 --> 01:29:37.099]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[01:29:37.099 --> 01:29:38.060]  Another win-win.
[01:29:38.060 --> 01:29:41.801]  That's why I'm a member of the Longevity Team at InfoWarsTeam.com.
[01:29:41.801 --> 01:29:43.042]  And you can be too.
[01:29:43.042 --> 01:29:43.582]  It's simple.
[01:29:43.582 --> 01:29:46.524]  Just go to InfoWarsTeam.com today.
[01:29:46.524 --> 01:29:48.625]  Complete a short sign-up and you're part of the team.
[01:29:48.625 --> 01:29:51.866]  That's InfoWarsTeam.com or InfoWarsHealth.com.
[01:29:51.866 --> 01:29:58.189]  So many people call into my radio show and tell me how Longevity and the products at InfoWarsTeam.com have changed their lives.
[01:29:58.189 --> 01:29:59.490]  Check it out for yourself today.
[01:30:02.125 --> 01:30:03.767]  Clean, pure drinking water.
[01:30:03.767 --> 01:30:05.250]  You can't survive without it.
[01:30:05.250 --> 01:30:06.451]  But where do you get it?
[01:30:06.451 --> 01:30:12.460]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[01:30:12.460 --> 01:30:18.168]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[01:30:18.348 --> 01:30:35.232]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:30:35.612 --> 01:30:38.093]  Filter capacity up to 5,000 gallons.
[01:30:38.093 --> 01:30:39.574]  Stainless steel construction.
[01:30:39.574 --> 01:30:40.594]  Easy assembly.
[01:30:40.594 --> 01:30:41.515]  Low maintenance.
[01:30:41.515 --> 01:30:43.615]  Replacement filters are simple to install.
[01:30:43.615 --> 01:30:50.898]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[01:30:50.898 --> 01:30:56.081]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[01:30:56.081 --> 01:30:58.662]  Go to InfowarsStore.com or call 888-253-3139.
[01:31:01.883 --> 01:31:03.845]  Dr. Grip, you developed Living Defense for us.
[01:31:03.845 --> 01:31:05.146]  It took you over a year to do it.
[01:31:05.146 --> 01:31:06.366]  Why is this so good?
[01:31:06.366 --> 01:31:11.650]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:31:11.650 --> 01:31:25.201]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[01:31:25.201 --> 01:31:26.562]  Right now with all the refugees,
[01:31:27.342 --> 01:31:28.983]  Uh, spreading disease around.
[01:31:28.983 --> 01:31:31.485]  We have biological warfare going on everywhere.
[01:31:31.485 --> 01:31:32.846]  These are all parasites.
[01:31:32.846 --> 01:31:33.946]  Tell us about all the stuff it says.
[01:31:33.946 --> 01:31:35.307]  There's so many things that are in it.
[01:31:35.307 --> 01:31:39.810]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[01:31:39.810 --> 01:31:42.972]  I recommend doing a parasite cleanse at least twice a year.
[01:31:43.072 --> 01:31:46.133]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[01:31:46.133 --> 01:31:47.193]  It just came back in yesterday.
[01:31:47.193 --> 01:31:49.114]  Living Defense, Infowarslife.com.
[01:31:49.114 --> 01:31:50.134]  And folks, you can't lose.
[01:31:50.134 --> 01:31:52.835]  It's full of stuff that's great for your body, period.
[01:31:52.835 --> 01:31:56.116]  And you support the broadcast, Infowarslife.com.
[01:31:56.116 --> 01:31:58.357]  Thank you, Dr. Group from the Global Healing Center.
[01:31:58.357 --> 01:32:00.318]  Thank you so much for all your work, sir, on this great product.
[01:32:01.732 --> 01:32:08.217]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[01:32:08.217 --> 01:32:21.027]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[01:32:21.207 --> 01:32:24.870]  They took the good halogen out and put the deadly halogen in.
[01:32:24.870 --> 01:32:31.857]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
