[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[02:58:14.655 --> 02:58:16.256]  It is back in stock.
[02:58:16.256 --> 02:58:22.999]  X2 is 50% off at m4warrestore.com and right in time for the deepest part of winter.
[02:58:24.124 --> 02:58:29.506]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[02:58:29.506 --> 02:58:34.529]  And again, your whole body is back in stock, ready to ship to you right now at InfoWarsTore.com.
[02:58:34.529 --> 02:58:35.609]  So it's a 360 win.
[02:58:35.609 --> 02:58:40.892]  It keeps us on air, and it also makes your life so much healthier and better.
[02:58:40.892 --> 02:58:45.334]  So get your supply up to date at InfoWarsTore.com right now.
[02:58:48.030 --> 02:59:02.858]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[02:59:02.858 --> 02:59:06.680]  It has all the vitamins, all the minerals, incredible amino acids.
[02:59:06.680 --> 02:59:12.483]  It is a game changer for your immune system and every other function in your body, and it's a must-have.
[02:59:12.483 --> 02:59:13.704]  That's why, despite the facts,
[02:59:14.344 --> 02:59:16.825]  It's selling out at current sales rates.
[02:59:16.825 --> 02:59:21.446]  We're going to keep it on sale for another seven days.
[02:59:21.446 --> 02:59:24.667]  So we're running this until next Thursday.
[02:59:24.667 --> 02:59:26.708]  And your purchase supports the broadcast.
[02:59:26.708 --> 02:59:29.628]  I want to thank you all for shopping with InfoWars.
[02:59:29.628 --> 02:59:35.170]  Without you, we would not have been on air and the world would be in a much worse position right now that it's in.
[02:59:35.170 --> 02:59:42.172]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth, exposing the Great Reset and the New World Order.
[02:59:42.572 --> 02:59:49.144]  So support your immune system and support free speech and the fight for liberty at the same time at InfoWarsTour.com.
[02:59:49.144 --> 02:59:55.054]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[03:00:03.456 --> 03:00:25.505]  When you have a society that has become decoupled from each other and has free-floating anxiety in a sense that things don't make sense, we can't understand it, and then their attention gets focused by a leader or series of events on one small point, just like hypnosis, they literally become hypnotized and can be led anywhere.
[03:00:26.590 --> 03:00:34.817]  Mass psychosis, also known as group mind, motality, or herd mentality.
[03:00:34.817 --> 03:00:42.363]  Before modern civilization, we lived in herds, and in order to survive in the herd, we conformed to the herd.
[03:00:42.363 --> 03:00:44.665]  This is where mass psychosis all stems from.
[03:00:45.856 --> 03:00:52.900]  The most popular examples of explaining mass psychosis are typically angry mobs and violent riots.
[03:00:52.900 --> 03:00:55.521]  But these are merely the end results.
[03:00:55.521 --> 03:01:03.145]  Mass psychosis begins when the individual mind starts to identify as a member of a group based on any unifying factor.
[03:01:04.045 --> 03:01:07.148]  The unifying factor doesn't even need to make sense.
[03:01:07.148 --> 03:01:10.911]  For many people, the feeling of unity is enough.
[03:01:10.911 --> 03:01:20.020]  Our ego mind innately craves acceptance and by default will instinctively conform to whatever group it perceives to be the majority.
[03:01:20.020 --> 03:01:27.407]  In order to success conform to the group, the individual must put aside personal intuition and follow the guidance of the group.
[03:01:28.820 --> 03:01:36.875]  This makes a person highly controllable, and spiritually stifles the individual, which causes them to crave group acceptance even more.
[03:01:38.274 --> 03:01:46.758]  Man's disposition for mass psychosis has been written about for millennia, most notably in ancient scripture and philosophy.
[03:01:46.758 --> 03:01:51.800]  And we all experience this as human beings, whether we reflect upon it or not.
[03:01:51.800 --> 03:01:58.482]  Plato argued that due to the nature of group mind, democracy always leads to tyranny and subjugation.
[03:01:58.482 --> 03:02:03.645]  His concern was the lack of good leadership, and philosophized on ways of solving this.
[03:02:04.705 --> 03:02:16.938]  In 1895, Gustav Le Bon published The Crowd, wherein he explains the key processes for cultivating mass psychosis, anonymity, contagion, and suggestibility.
[03:02:16.938 --> 03:02:25.507]  This work is known to have influenced world leaders, businesses, and tyrants, of which the ethics has been written about for decades.
[03:02:26.747 --> 03:02:46.160]  And yet, AP and Reuters outrageously claim that mass psychosis does not exist, when it is in fact the corporate media apparatus to which they belong that makes this all possible, waging psychological warfare against a group of the population who believes the media would never lie to them.
[03:02:47.122 --> 03:02:55.226]  This is why the term mass psychosis is arguably a better term than group mind or mob mentality.
[03:02:55.226 --> 03:02:58.328]  A change in the field of consciousness occurs.
[03:02:58.328 --> 03:03:06.812]  A devolution from divine inspiration into primitive hierarchy, which has no place in a civilized society.
[03:03:06.812 --> 03:03:08.273]  And yet, here we are.
[03:03:09.394 --> 03:03:14.083]  Without mass psychosis, today's leaders would have no power.
[03:03:14.083 --> 03:03:19.914]  Just like advertising, everything about politics is about cultivating mass psychosis.
[03:03:21.334 --> 03:03:37.742]  Whereas the individual pursuit of happiness has inevitably led to beauty and innovation, creating and controlling groups of people, which has been the biggest power play on earth for all of recorded history, almost always leads to death and destruction.
[03:03:37.742 --> 03:03:46.646]  The science and study of mass psychosis could be used to enlighten humanity by educating the individual about the power and potential of the human mind.
[03:03:47.702 --> 03:03:56.944]  But today, the very same corrupt media being used by wealthy elites to divide and enslave us, says there is no such thing as mass psychosis.
[03:03:58.246 --> 03:04:02.228]  Mass psychosis is humanity's burden to outgrow.
[03:04:02.228 --> 03:04:05.389]  It is why we accept the lesser of two evils.
[03:04:05.389 --> 03:04:10.091]  Many of us are well aware of the frailty of man and the civilized world.
[03:04:10.091 --> 03:04:18.395]  The great psychologist Carl Jung's warning to the world was that the individual must come face to face with their own shadow.
[03:04:18.395 --> 03:04:23.497]  In order to accomplish this, one must liberate themselves from the collective.
[03:04:23.497 --> 03:04:24.738]  And until enough of us do,
[03:04:25.798 --> 03:04:31.279]  Society will continue to be led by tyrants and ignorant mobs.
[03:04:31.279 --> 03:04:38.021]  Reporting for InfoWars, this is Greg Reese.
[03:04:38.021 --> 03:04:45.302]  Ladies and gentlemen, the Republican Party is waking up to the fact they're being set up for staged terror attacks and martial law.
[03:04:45.302 --> 03:04:51.404]  Coming up, we have a special report and then we have the Republican leader of the Senate waking up to this.
[03:04:51.404 --> 03:04:52.684]  This is big victory.
[03:04:52.684 --> 03:04:53.164]  Stay with us.
[03:04:57.777 --> 03:05:05.183]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[03:05:05.183 --> 03:05:12.329]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[03:05:12.329 --> 03:05:14.191]  It's Ultimate Bone Broth Plus.
[03:05:14.851 --> 03:05:24.097]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[03:05:24.097 --> 03:05:27.519]  Then it's got added magnesium and potassium for electrolytes.
[03:05:27.519 --> 03:05:34.044]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[03:05:34.044 --> 03:05:35.985]  It even tastes better than the last formula.
[03:05:35.985 --> 03:05:38.466]  And what it does for your body is simply amazing.
[03:05:38.466 --> 03:05:42.049]  Again, it has that cutting-edge chicken broth protein.
[03:05:42.529 --> 03:05:43.990]  Waging war on corruption.
[03:05:43.990 --> 03:05:48.092]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[03:06:12.242 --> 03:06:19.044]  It has been known since the dawn of civilization that a tyrant will always find a pretext for their tyranny.
[03:06:19.044 --> 03:06:21.044]  January 6th insurrection.
[03:06:21.044 --> 03:06:22.485]  I know where I stand.
[03:06:22.485 --> 03:06:23.405]  I will not yield.
[03:06:23.405 --> 03:06:24.705]  I will not flinch.
[03:06:24.705 --> 03:06:26.566]  I will defend the right to vote.
[03:06:26.566 --> 03:06:31.247]  Our democracy against all enemies, foreign and, yes, domestic.
[03:06:31.707 --> 03:06:58.037]  And so it goes in 2022 as an unyielding portion of the bureaucracy of the federal government of the United States, poisoned by visions of globalist totalitarian grandeur, fueled by the 109-year inhabitants of a foreign central banking cartel, will utilize their one-sided characterization of the staged events of January 6th to propel their quest for unlimited power.
[03:06:58.297 --> 03:07:03.041]  During 2020, Black Lives Matter and Antifa riots all across the country.
[03:07:03.041 --> 03:07:08.807]  There were over 700 police officers injured by Black Lives Matter and Antifa riots.
[03:07:08.807 --> 03:07:13.051]  How many people have been charged with crimes of violence concerning those riots all across the country?
[03:07:13.331 --> 03:07:18.773]  I don't have information on how many, I would say, you know, hundreds of people have been charged.
[03:07:18.773 --> 03:07:20.774]  You would say, but you don't know.
[03:07:20.774 --> 03:07:35.340]  You know, when we asked you why the Biden Department of Justice has such wildly disparate standards, we asked you, why is it that you won't target the rioters and terrorists who firebomb cities across this country?
[03:07:35.340 --> 03:07:39.002]  The answer we got from the Department of Justice was shameful.
[03:07:39.002 --> 03:07:41.723]  On October 22nd, you came back and said, quote,
[03:07:42.483 --> 03:07:50.057]  The department is dedicated investigative and prosecutorial resources commensurate with the significance of these events.
[03:07:50.057 --> 03:07:54.264]  By significance, I guess it means the political benefit to the Biden White House.
[03:07:54.690 --> 03:08:06.879]  Whether it's unconstitutional vaccine mandates and lockdowns resulting from gain-of-function research engineered by the seemingly untouchable Nuremberg Code violations of Dr. Fauci.
[03:08:06.879 --> 03:08:15.926]  Dr. Fauci, you previously told this committee under oath that NIH and NAIAD have never funded gain-of-function research with the HecoHealth Alliance.
[03:08:16.767 --> 03:08:31.854]  However, a report from the Department of Defense, Inspector General, released yesterday states that EcoHealth Alliance proposed DARPA in 2018, seeking funding to conduct gain-of-function research on bat-borne coronaviruses.
[03:08:31.854 --> 03:08:43.719]  This proposal, named Project DEFUSE, D-E-F-U-S-E, was rejected by DARPA because the project didn't address the current research's potential to violate the gain-of-function moratorium.
[03:08:44.579 --> 03:08:48.800]  Why did you tell the committee that your agency has never funded gain-of-function research?
[03:08:48.800 --> 03:08:57.122]  Why did your agency award this grant despite it being rejected by DARPA due to its concerns about violating the moratorium that was in place?
[03:08:57.122 --> 03:09:09.805]  And finally, will you commit today to release all records fully unredacted by the end of this week so Congress and the American people can know the truth about NIH's role and the origins of COVID-19?
[03:09:10.765 --> 03:09:13.407]  You are totally incorrect!
[03:09:13.407 --> 03:09:15.027]  Well, we look forward to reviewing it.
[03:09:15.027 --> 03:09:15.388]  What a moron.
[03:09:15.388 --> 03:09:18.369]  Jesus Christ.
[03:09:18.369 --> 03:09:34.438]  Or the current war games being played out in rural North Carolina, where a realistic guerrilla war will be fought across two dozen North Carolina counties in the coming weeks, with young soldiers battling seasoned freedom fighters, according to the U.S.
[03:09:34.438 --> 03:09:38.721]  Army, as the Charlotte Observer reported, known as Robin Sage.
[03:09:39.281 --> 03:09:45.804]  The exercises serve as a final test for special forces qualification course training.
[03:09:45.804 --> 03:09:53.068]  The setting is characterized by armed conflict, forcing the students to solve problems in a real-world setting.
[03:09:53.068 --> 03:10:02.232]  These military members act as realistic opposing forces and guerrilla freedom fighters, also known as the Pineland Resistance Movement.
[03:10:02.232 --> 03:10:04.533]  To add realism to the exercise,
[03:10:04.893 --> 03:10:09.155]  Civilian volunteers throughout the state act as role players.
[03:10:09.155 --> 03:10:18.659]  Participation by these volunteers is crucial to the success of this training and past trainees attest to the realism they add to the exercise.
[03:10:23.981 --> 03:10:32.227]  We now have a federal government deeming Americans demanding a redress of their grievances as domestic terrorists.
[03:10:32.227 --> 03:10:41.134]  Meanwhile, haphazardly attempting to pose as the saviors to protect the American people and its country club of career politicians,
[03:10:41.534 --> 03:11:04.040]  gaming the system from an informed patriotic majority when everyone knows deep down in their gut that we must inevitably save ourselves from the unrelenting tyranny of a republic hijacked by a power craze sociopathic elitist establishment drugged by institutionalized Marxism and dominated by foreign control.
[03:11:04.040 --> 03:11:05.220]  John Bowne reporting.
[03:11:08.933 --> 03:11:12.456]  That's a very important report that just went live on Infowars.com.
[03:11:12.456 --> 03:11:16.900]  The only way it gets legs and warns the American people, people of the world, is if you get it and share it.
[03:11:16.900 --> 03:11:17.921]  It's up to you now.
[03:11:17.921 --> 03:11:22.506]  The Biden regime prepares for war against Americans, and that's the exact topic this morning.
[03:11:22.506 --> 03:11:27.510]  I wanted to get famous criminal and First Amendment lawyer, Norm Pattis, in studio with us.
[03:11:27.510 --> 03:11:29.532]  And I've got a ton of news on that front.
[03:11:29.532 --> 03:11:34.217]  In the next segment, I've got the Republican leader of the Senate.
[03:11:35.370 --> 03:11:38.372]  Profoundly, profoundly unpresidential.
[03:11:38.372 --> 03:11:42.515]  Senator McConnell slams Biden for calling GOP domestic enemies.
[03:11:42.515 --> 03:11:47.879]  The former FBI director came out yesterday and said, all Republicans are basically terrorists.
[03:11:47.879 --> 03:11:55.045]  When you've got your government, I know the listeners know this, but for the general public that might be tuning in, because we live in a free country so long, people are kind of like dodo birds.
[03:11:55.045 --> 03:11:56.306]  They're not used to a natural predator.
[03:11:57.099 --> 03:12:05.841]  When you've got government saying the main enemy isn't the Chinese, or radical Islam, or the Russians, and that could be abuse too, and tanker liberties.
[03:12:05.841 --> 03:12:14.483]  When the government says the people are our enemy, and white people are bad, I mean, you are in a very authoritarian system.
[03:12:14.483 --> 03:12:15.883]  This has never happened in U.S.
[03:12:15.883 --> 03:12:16.704]  history before.
[03:12:16.704 --> 03:12:18.224]  Warren Pattis, what do you make of this historic moment?
[03:12:18.544 --> 03:12:19.445]  Scary times.
[03:12:19.445 --> 03:12:21.947]  I mean, I think there's an excellent book everybody should read.
[03:12:21.947 --> 03:12:22.807]  It's by Stephen Marsh.
[03:12:22.807 --> 03:12:24.188]  It's called The Next Civil War.
[03:12:24.188 --> 03:12:26.130]  I read it on the trip down here.
[03:12:26.130 --> 03:12:31.574]  He's talked to generals who are wargaming, as you saw in the segment before, for potential civil dissolution.
[03:12:31.574 --> 03:12:34.556]  He's talked to political science economists, sociologists.
[03:12:34.556 --> 03:12:41.761]  His view is that we've reached a point of no return in this country, that there will be either a civil war or active secession movements.
[03:12:41.761 --> 03:12:42.982]  Texas may succeed.
[03:12:42.982 --> 03:12:44.843]  It would be the 13th largest economy in the world.
[03:12:46.124 --> 03:12:48.305]  By the way, you're not a right-winger, you're a classical liberal.
[03:13:16.236 --> 03:13:22.780]  So I'm told, I guess I'm verging to the right because I'm being forced out of my party.
[03:13:22.780 --> 03:13:25.881]  So people have said to me in Connecticut, what happened to you?
[03:13:25.881 --> 03:13:30.324]  You used to represent righteous causes, now you represent people on the wrong side of the aisle.
[03:13:30.324 --> 03:13:31.925]  I tell them nothing happened to me.
[03:13:31.925 --> 03:13:32.905]  The country changed.
[03:13:32.905 --> 03:13:35.066]  There is no bully.
[03:13:35.066 --> 03:13:35.807]  There is no force.
[03:13:36.787 --> 03:13:40.049]  As powerful and as frightening as a self-righteous bully.
[03:13:40.049 --> 03:13:44.931]  And we're becoming governed by self-righteous bullies who decide they know what's good for us.
[03:13:44.931 --> 03:13:50.834]  Both with respect to what we wear, how we interact, where our children can be treated for cancer.
[03:13:50.834 --> 03:13:54.496]  I saw your piece on the kid being evicted from the Ronald McDonald house.
[03:13:54.496 --> 03:13:58.338]  On how we respond to systemic racism and what we owe to people we've never met.
[03:13:58.778 --> 03:14:00.419]  On climate change, you name it.
[03:14:00.419 --> 03:14:04.000]  There appears to be a group of people who think they know best.
[03:14:04.000 --> 03:14:08.801]  You refer to them as globalists trying to seize power and cram their vision of the good down their throat.
[03:14:08.801 --> 03:14:09.381]  Our throat?
[03:14:09.381 --> 03:14:10.721]  I say not so fast.
[03:14:10.721 --> 03:14:15.303]  So for me, my commitment to ordinary people remains the same.
[03:14:15.303 --> 03:14:16.583]  It's the enemy who's changed.
[03:14:16.583 --> 03:14:18.183]  And the enemy has become our government.
[03:14:18.183 --> 03:14:23.645]  The enemy has become the public health state that's decided that in the name of virtue they will tell me not to live.
[03:14:24.005 --> 03:14:30.691]  That is not now, nor has it ever been the American way, and I shudder to think what will happen if it becomes so.
[03:14:30.691 --> 03:14:32.973]  Beautifully said, and very sadly said, this is true.
[03:14:32.973 --> 03:14:36.076]  And that's the thing, this is not our government.
[03:14:36.076 --> 03:14:40.300]  It is criminals that have hijacked it, who are now waging war against us.
[03:14:40.300 --> 03:14:47.126]  But you're right, technically it's the government, but it's criminals in the positions of government who want to use the civil war they're triggering.
[03:14:47.126 --> 03:14:49.028]  They now admit that's their new plan.
[03:14:49.028 --> 03:14:50.008]  It's been their plan all along.
[03:14:51.311 --> 03:14:59.778]  To bypass our peaceful political realignment and our new populism, the new Americanism, it's really the old Americanism bringing us back together.
[03:14:59.778 --> 03:15:04.583]  This is the globalists trying to short-circuit that with a violent revolution and we must stop it.
[03:15:04.583 --> 03:15:12.269]  Well, I was on the phone just moments before I got on the air here with you with the lead counsel for the committee, the January 6th committee.
[03:15:12.269 --> 03:15:14.011]  There are more people that... Oh, I didn't know that.
[03:15:14.531 --> 03:15:17.912]  Well, it's unrelated to you, but we'll talk about it later.
[03:15:17.912 --> 03:15:21.093]  And, you know, that committee is missing the point.
[03:15:21.093 --> 03:15:24.615]  This is not about domestic terrorism or extremism.
[03:15:24.615 --> 03:15:30.417]  This is about frustrated people going to the Capitol because, whether rightly or wrongly, they believe the election was stolen.
[03:15:30.857 --> 03:15:33.639]  Some of them got out of hand, and some of them did break the law.
[03:15:33.639 --> 03:15:39.143]  But the overwhelming majority of people wanted and craved what the American people always have.
[03:15:39.143 --> 03:15:41.245]  A sense of personal significance.
[03:15:41.245 --> 03:15:46.548]  They protested, they gathered, and now in increasing waves, they're being arrested.
[03:15:46.548 --> 03:15:48.870]  And held in solitary confinement?
[03:15:48.870 --> 03:15:52.172]  Let's talk about the January 6th Committee, because that ties into all of this.
[03:15:52.172 --> 03:15:56.055]  And Mitch McConnell's statement, stay with us.
[03:15:56.055 --> 03:15:56.896]  All right, ladies and gentlemen.
[03:15:58.339 --> 03:15:59.759]  Keep us on air.
[03:15:59.759 --> 03:16:02.300]  We'll continue to bring you the band guests.
[03:16:02.300 --> 03:16:06.161]  We'll continue to bring the information that no one else will touch.
[03:16:06.161 --> 03:16:06.922]  Keep us on air.
[03:16:06.922 --> 03:16:08.202]  Go to InfoWarsStore.com.
[03:16:08.202 --> 03:16:21.766]  The new supplements that we have, the latest in the InfoWars Life Supplement line, the Vitamin D3 with Calcium Gummies, the Vitamin C with Zinc, and the Whole Food Multivitamins, or if you buy the combo pack with all three at InfoWarsStore.com.
[03:16:21.766 --> 03:16:24.227]  And you know, I'm telling you, the Vitamin D Gummies,
[03:16:25.267 --> 03:16:27.029]  This is a great thing for your kids.
[03:16:27.029 --> 03:16:27.710]  They're going to love it.
[03:16:27.710 --> 03:16:29.432]  They're going to love the taste of the gummies.
[03:16:29.432 --> 03:16:30.833]  It's healthy.
[03:16:30.833 --> 03:16:32.335]  So that's just a great thing for kids.
[03:16:32.335 --> 03:16:33.917]  I mean, we could just do marketing campaigns.
[03:16:33.917 --> 03:16:35.979]  I think for kids, that'd be great.
[03:16:35.979 --> 03:16:37.001]  The calcium, good for them.
[03:16:37.001 --> 03:16:37.481]  The vitamin D.
[03:16:38.775 --> 03:16:41.797]  So that's at InfoWarsStore.com.
[03:16:41.797 --> 03:16:44.438]  And again, it's your support there that keeps us on the air.
[03:16:44.438 --> 03:16:52.642]  So the supplements, the shirts, the air filters, the water filters, the emergency food supplies, the emergency supplies at InfoWarsStore.com.
[03:16:52.642 --> 03:16:54.283]  Your support there keeps us on the air.
[03:16:54.283 --> 03:16:56.004]  We cannot thank you enough.
[03:16:56.004 --> 03:16:59.106]  Three very important life-saving words.
[03:17:00.306 --> 03:17:00.486]  I think?
[03:17:15.291 --> 03:17:23.815]  And a bunch of key compounds, amino acids, known to help get the nutrients into your tissues, into your cells.
[03:17:23.815 --> 03:17:32.819]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[03:17:32.819 --> 03:17:36.581]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[03:17:36.581 --> 03:17:39.943]  We're going to run this for a week and then
[03:17:40.723 --> 03:17:42.404]  We are going to be selling out of this product.
[03:17:42.404 --> 03:17:48.868]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[03:17:48.868 --> 03:17:52.750]  Get your Vitamin Mineral Fusion now and support the InfoWar 360 win at InfoWarStore.com
[03:17:56.391 --> 03:18:03.819]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patreon points for our new sale.
[03:18:03.819 --> 03:18:10.966]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[03:18:10.966 --> 03:18:12.808]  It's Ultimate Bone Broth Plus.
[03:18:13.468 --> 03:18:22.497]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[03:18:22.497 --> 03:18:26.140]  Then it's got added magnesium and potassium for electrolytes.
[03:18:26.140 --> 03:18:32.666]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[03:18:32.666 --> 03:18:34.608]  It even tastes better than the last formula.
[03:18:34.608 --> 03:18:37.151]  And what it does for your body is simply amazing.
[03:18:37.151 --> 03:18:38.492]  Again, it has that cutting edge.
[03:18:38.952 --> 03:18:44.519]  Chicken broth, protein, isolate powder for better flavor and dissolvability.
[03:18:44.519 --> 03:18:48.664]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones.
[03:18:48.664 --> 03:18:51.448]  It's simply amazing and it helps fight the InfoWar.
[03:18:51.448 --> 03:18:55.593]  This is really the best bone broth out there, so get yours at InfoWarStore.com today!
[03:18:56.013 --> 03:19:12.262]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[03:19:12.262 --> 03:19:15.924]  Now, ladies and gentlemen, storable food has always been something that's important to have.
[03:19:15.924 --> 03:19:22.608]  It's a check box that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[03:19:23.228 --> 03:19:27.310]  But now more than ever, you need to get your storable food orders in now.
[03:19:27.310 --> 03:19:30.052]  We're ready to ship to you within 24 hours of your order.
[03:19:30.052 --> 03:19:30.872]  It's high quality.
[03:19:30.872 --> 03:19:34.074]  It's very, very low cost at infowarestore.com.
[03:19:34.074 --> 03:19:41.458]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[03:19:41.458 --> 03:19:45.380]  So lock in your storable food now at a lower price and fund the info war.
[03:19:45.840 --> 03:19:46.880]  We're good to go.
[03:20:11.835 --> 03:20:24.194]  So, we have a multinational corporate consortium that created quadrillions of fake currency taking over the world and they need to distract us while they do that and inflate our currency to impoverish us and control us.
[03:20:25.447 --> 03:20:31.769]  And so, they've been hyping up racial division, sexual division, regional division, to implode the nation.
[03:20:31.769 --> 03:20:34.010]  It's the same program they've used all over the world.
[03:20:34.010 --> 03:20:36.051]  This is modern warfare taking place.
[03:20:36.051 --> 03:20:37.091]  Here's some of the headlines.
[03:20:37.091 --> 03:20:39.232]  Imagine another American Civil War.
[03:20:39.232 --> 03:20:45.614]  But this time, in every state, says NPR.
[03:20:45.614 --> 03:20:49.395]  Unconventional warfare exercise being staged by the Army in North Carolina.
[03:20:49.395 --> 03:20:50.636]  Yeah, they always do it.
[03:20:50.636 --> 03:20:54.177]  But this time, they're fighting the American resistance in the drill.
[03:20:56.378 --> 03:21:01.161]  77% of Americans say our society and culture is in a state of decay.
[03:21:01.161 --> 03:21:02.181]  Yeah.
[03:21:02.181 --> 03:21:05.423]  I guess 23% are idiots.
[03:21:05.423 --> 03:21:07.263]  We are in a new civil war.
[03:21:07.263 --> 03:21:10.645]  About what exactly, says Politico.
[03:21:10.645 --> 03:21:11.185]  Is the U.S.
[03:21:11.185 --> 03:21:12.666]  really heading for a second civil war?
[03:21:12.666 --> 03:21:13.627]  The Guardian.
[03:21:13.627 --> 03:21:21.650]  And then articles from years ago, those are new articles this week, a short history of Alex Jones claiming the left is about to start another civil war.
[03:21:21.650 --> 03:21:24.452]  Civil war post by right-wing radio host roundly mocked by Twitter.
[03:21:25.629 --> 03:21:31.251]  Because, see, their own leftist ground-level stuff was all Civil War, war, kill the white people, all this crap.
[03:21:31.251 --> 03:21:32.451]  And I'm like, hey, they're doing this.
[03:21:32.451 --> 03:21:34.372]  I give examples, but they never quote those.
[03:21:34.372 --> 03:21:36.172]  They just say, I made it up.
[03:21:36.172 --> 03:21:38.713]  But now, all those attacks didn't age too well.
[03:21:38.713 --> 03:21:43.195]  Norm Pattis, constitutional lawyer, riding shotgun with a cease and warning of this for years.
[03:21:43.195 --> 03:21:51.677]  But right now, let's go to Mitch McConnell, the Republican leader in the Senate talking about this battle line that's being drawn.
[03:21:55.327 --> 03:22:07.411]  That very same man delivered a deliberately divisive speech that was designed to pull our country further apart.
[03:22:07.411 --> 03:22:13.733]  Twelve months ago, this president said we should see each other not as adversaries, but as neighbors.
[03:22:13.733 --> 03:22:21.616]  Yesterday, he called millions of Americans his domestic enemies.
[03:22:23.123 --> 03:22:26.225]  Twelve months ago, the President called on Americans to join forces.
[03:22:26.225 --> 03:22:28.967]  Stop the shouting.
[03:22:28.967 --> 03:22:32.349]  Lower the temperature.
[03:22:32.349 --> 03:22:39.414]  But yesterday, he shouted that if you disagree with him, you're George Wallace.
[03:22:39.414 --> 03:22:42.396]  George Wallace.
[03:22:42.396 --> 03:22:45.218]  If you don't pass the laws he wants, you're Bull Connor.
[03:22:48.317 --> 03:22:57.880]  And if you oppose giving Democrats untrammeled one-party control of the country, well, you're Jefferson Davis.
[03:22:57.880 --> 03:23:05.802]  Twelve months ago, this President said disagreement must not lead to disunion.
[03:23:05.802 --> 03:23:14.725]  Ah, but yesterday, he invoked the bloody disunion of the Civil War, the Civil War, to demonize Americans who disagree with him.
[03:23:16.431 --> 03:23:26.695]  He compared, listen to this, a bipartisan majority of senators to literal traitors.
[03:23:26.695 --> 03:23:34.338]  How profoundly, profoundly unprecedented.
[03:23:34.338 --> 03:23:43.281]  Look, I've known, liked, and personally respected Joe Biden for many years.
[03:23:43.281 --> 03:23:44.662]  I did not recognize
[03:23:45.575 --> 03:23:51.056]  The man at the podium yesterday.
[03:23:51.056 --> 03:23:57.858]  And that's because he is in dementia and being controlled by a very sick evil group that wants the U.S.
[03:23:57.858 --> 03:23:58.758]  to go down.
[03:23:58.758 --> 03:24:00.858]  We don't want a civil war.
[03:24:00.858 --> 03:24:02.819]  The Democrats start a war, they don't win.
[03:24:02.819 --> 03:24:05.019]  Republicans start a war, they don't win.
[03:24:05.019 --> 03:24:07.240]  Not fighting it is the winning move.
[03:24:07.240 --> 03:24:11.121]  Remember the movie in 1983, great movie, War Gangs.
[03:24:11.121 --> 03:24:11.781]  The only
[03:24:12.952 --> 03:24:15.235]  Winning move is not to play.
[03:24:15.235 --> 03:24:16.796]  A strange game.
[03:24:16.796 --> 03:24:18.979]  The only way to win is not to play.
[03:24:18.979 --> 03:24:20.560]  This is how they take down the U.S.
[03:24:20.560 --> 03:24:22.082]  This is their preparation.
[03:24:22.082 --> 03:24:23.764]  George Soros, the globalist.
[03:24:23.764 --> 03:24:26.547]  And on the ashes of it, they take full control of America.
[03:24:26.547 --> 03:24:28.369]  And now America's an authoritarian state.
[03:24:28.869 --> 03:24:30.070]  And my God, what a nightmare.
[03:24:30.070 --> 03:24:43.159]  I mean, we're living in history right now with Joe Biden invoking the Civil War and saying, if you don't promote open borders and forced inoculations and $5 trillion spending bills, you are the leader of the Confederacy?
[03:24:43.159 --> 03:24:47.242]  95% of people don't even know who Jefferson Davis is.
[03:24:47.242 --> 03:24:52.746]  He might as well be talking about Plato or Aristotle or the Easter Bunny.
[03:24:52.746 --> 03:24:53.807]  I mean, this is crazy.
[03:24:54.535 --> 03:24:57.136]  It is crazy.
[03:24:57.136 --> 03:24:57.876]  It's beyond that.
[03:24:57.876 --> 03:24:59.296]  It's terrifying.
