[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[01:26:59.000 --> 01:27:02.000]  We said, oh, you're conspiracy theorist. And now they admit they are.
[01:27:02.000 --> 01:27:08.000]  And George Soros is in Reuters at the article right here saying, yeah, we're funding it all.
[01:27:08.000 --> 01:27:11.000]  So they deny it and say you're anti-Semitic.
[01:27:11.000 --> 01:27:15.000]  Document camp shot place for TV viewers.
[01:27:15.000 --> 01:27:22.000]  And then they admit in another article, here's Reuters, George Soros, mastercard to partner to aid migrants and refugees, Reuters.
[01:27:22.000 --> 01:27:27.000]  That's two years ago or 22 months ago.
[01:27:27.000 --> 01:27:31.000]  And I got a stack of it now where they're bragging that they are funding it.
[01:27:31.000 --> 01:27:33.000]  Half of Beto's campaign is funded by Soros.
[01:27:33.000 --> 01:27:41.000]  And I've got Mastercard.com saying that they give $1,000 per leg from Venezuela through each country is $1,000.
[01:27:41.000 --> 01:27:47.000]  You can take luxury bus trips on that and stay in hotels and have all your meals.
[01:27:47.000 --> 01:27:56.000]  It's paid for by USAID, given to the State Department, given to the UN.
[01:27:56.000 --> 01:28:01.000]  You had UN mastercards applying migrants with prepaid bank cards.
[01:28:01.000 --> 01:28:04.000]  Sorry, the mastercard.com one here.
[01:28:04.000 --> 01:28:08.000]  So it's all there.
[01:28:08.000 --> 01:28:17.000]  And aren't you insulted when you see the New York Times going anti-Semites or saying George Soros is funding migrant caravans?
[01:28:17.000 --> 01:28:18.000]  It's not true.
[01:28:18.000 --> 01:28:20.000]  He's a philanthropist banker.
[01:28:20.000 --> 01:28:22.000]  George Soros renounced Judaism.
[01:28:22.000 --> 01:28:24.000]  George Soros helped round Jews up.
[01:28:24.000 --> 01:28:26.000]  George Soros said I am not a Jew on 60 Minutes.
[01:28:26.000 --> 01:28:28.000]  He doesn't believe Israel should exist.
[01:28:28.000 --> 01:28:31.000]  Benjamin Yahu says he's an enemy of Israel.
[01:28:31.000 --> 01:28:38.000]  But then if I play a clip of him saying he helped round up Jews, I'm a bad person.
[01:28:38.000 --> 01:28:40.000]  Yeah, there's the Mastercard article.
[01:28:40.000 --> 01:28:42.000]  Mastercard in George Soros.
[01:28:42.000 --> 01:28:44.000]  That's again two years ago.
[01:28:44.000 --> 01:28:46.000]  I mean, you know, it's ridiculous.
[01:28:46.000 --> 01:28:47.000]  What did I tell you?
[01:28:47.000 --> 01:28:49.000]  I said they give him $1,000 per card.
[01:28:49.000 --> 01:28:53.000]  I said that last week is from memory because I remembered seeing that and there it is.
[01:28:53.000 --> 01:28:56.000]  Tomorrow's news today. Your call is straight ahead.
[01:29:24.000 --> 01:29:27.000]  We have seen what they want to do.
[01:29:27.000 --> 01:29:29.000]  They called it UN Agenda 21.
[01:29:29.000 --> 01:29:31.000]  Now they call it the UN 2030 Agenda.
[01:29:31.000 --> 01:29:34.000]  They want everybody off of the rural lands.
[01:29:34.000 --> 01:29:36.000]  They want people out of the suburbs.
[01:29:36.000 --> 01:29:38.000]  They want to pack everybody into the cities.
[01:29:38.000 --> 01:29:42.000]  Because that's where it is easiest for them to control everyone.
[01:29:42.000 --> 01:29:44.000]  It's The David Knight Show.
[01:29:44.000 --> 01:29:46.000]  I never missed your show.
[01:29:46.000 --> 01:29:47.000]  Any day.
[01:29:47.000 --> 01:29:49.000]  Every month.
[01:29:49.000 --> 01:29:51.000]  I mean, never.
[01:29:51.000 --> 01:29:55.000]  At InfoWars.com forward slash show.
[01:30:21.000 --> 01:30:24.000]  That will provide water filtration for your entire home,
[01:30:24.000 --> 01:30:27.000]  removing 220 plus contaminants from your water.
[01:30:27.000 --> 01:30:30.000]  It's compact in size, easy to install and maintain,
[01:30:30.000 --> 01:30:34.000]  and keeps fluoride and other dangerous toxins out of your water supply
[01:30:34.000 --> 01:30:36.000]  and away from you and your family.
[01:30:36.000 --> 01:30:39.000]  With its broad spectrum contaminant reduction,
[01:30:39.000 --> 01:30:44.000]  you'll only need this one filter for clean and refreshing water all over your home.
[01:30:44.000 --> 01:30:49.000]  Head to infowarstore.com and whether it's your first water filtration purchase
[01:30:49.000 --> 01:30:52.000]  or you're looking to replace your current rundown systems,
[01:30:52.000 --> 01:30:58.000]  it's time to go big and go home with the pro-pure whole house filtration system today.
[01:30:58.000 --> 01:31:02.000]  We are kept afloat only by your loyal patronage,
[01:31:02.000 --> 01:31:04.000]  and that's why we need you to go to the site now.
[01:31:04.000 --> 01:31:08.000]  If you're not in the market for one of our greatest nutraceuticals,
[01:31:08.000 --> 01:31:10.000]  please consider a contribution.
[01:31:10.000 --> 01:31:18.000]  $25, $50, $250, even $500 would be a godsend to our important work here
[01:31:18.000 --> 01:31:23.000]  to beat back the globalists and to destroy their campaign of censorship
[01:31:23.000 --> 01:31:49.000]  in which they want to strangle our first amendment rights.
[01:31:54.000 --> 01:31:58.000]  With your help spreading it and with your help downloading it, we are unstoppable.
[01:31:58.000 --> 01:32:02.000]  Infowars life is bringing you a breakthrough in modern medicine.
[01:32:02.000 --> 01:32:04.000]  Introducing pollen block.
[01:32:04.000 --> 01:32:09.000]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms,
[01:32:09.000 --> 01:32:13.000]  including promoting clear nasal and sinus passageways,
[01:32:13.000 --> 01:32:16.000]  eye comfort and respiratory functions.
[01:32:16.000 --> 01:32:21.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs
[01:32:21.000 --> 01:32:25.000]  experienced less seasonal immune and inflammatory responses.
[01:32:25.000 --> 01:32:28.000]  They began studying this effect in published trials,
[01:32:28.000 --> 01:32:31.000]  and decades later, we now have the fruit of this research,
[01:32:31.000 --> 01:32:36.000]  a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[01:32:36.000 --> 01:32:39.000]  Pollen block is natural and effective.
[01:32:39.000 --> 01:32:41.000]  It is not an antihistamine.
[01:32:41.000 --> 01:32:45.000]  In fact, current research has found that it actually acts by blocking the activity of triptase,
[01:32:45.000 --> 01:32:50.000]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[01:32:50.000 --> 01:32:53.000]  Go outside and enjoy the air you breathe.
[01:32:53.000 --> 01:32:58.000]  Head to InfowarsLife.com and grab a pack of our pollen block chewable tablets.
[01:33:01.000 --> 01:33:05.000]  You're listening to the Alex Jones Show.
[01:33:05.000 --> 01:33:10.000]  Live, Raw and Unfiltered, it's the Alex Jones Show.
[01:33:35.000 --> 01:33:39.000]  Live, Raw and Unfiltered, it's the Alex Jones Show.
[01:33:39.000 --> 01:33:43.000]  Live, Raw and Unfiltered, it's the Alex Jones Show.
[01:33:43.000 --> 01:33:47.000]  Live, Raw and Unfiltered, it's the Alex Jones Show.
[01:33:47.000 --> 01:33:50.000]  I'm watching the midterms.
[01:33:50.000 --> 01:33:54.000]  Man, you would think our country is Mad Max Thunderdome.
[01:33:54.000 --> 01:33:59.000]  This guy is like, they're coming from Guatemala. They're coming from Mexico.
[01:33:59.000 --> 01:34:04.000]  There's a liberal mob that's coming.
[01:34:04.000 --> 01:34:06.000]  You want a trap? You want a trap?
[01:34:06.000 --> 01:34:08.000]  I'll win this fight.
[01:34:16.000 --> 01:34:18.000]  You're in the president.
[01:34:18.000 --> 01:34:20.000]  You're in support of...
[01:34:20.000 --> 01:34:39.000] ...Muslims.
[01:34:39.000 --> 01:34:43.000]  And you would think everybody in the country is like to the bunker.
[01:34:45.000 --> 01:34:49.000]  You're already a listener. We show footage of gates being smashed down, police being attacked,
[01:34:49.000 --> 01:34:54.000]  helicopters being attacked, burning buildings, burning cars, borders collapsing,
[01:34:54.000 --> 01:34:56.000]  and then John Stewart making a big joke out of it.
[01:34:56.000 --> 01:34:59.000]  All right, we're going right to your phone calls now.
[01:34:59.000 --> 01:35:03.000]  We've got Lee and Travis and Jefferson and Joe and Johnny and Kevin and Bruce and Joe
[01:35:03.000 --> 01:35:07.000]  and Pastor Sam and Nathan and everybody else. Forget everybody.
[01:35:07.000 --> 01:35:14.000]  Let's go ahead and take a call here from Kevin in West Virginia.
[01:35:14.000 --> 01:35:16.000]  You're on the air. Go ahead.
[01:35:16.000 --> 01:35:20.000]  Hey, Alex. I hope you're having a great and wonderful day.
[01:35:20.000 --> 01:35:26.000]  I actually moved to Maryland and I had to vote in Maryland for the early election or for early voting.
[01:35:26.000 --> 01:35:32.000]  And one thing that I witnessed, people had already voted and they're letting them vote again.
[01:35:32.000 --> 01:35:34.000]  And this was in Hagerstown, Maryland.
[01:35:34.000 --> 01:35:38.000]  And I don't quite understand how they can do that.
[01:35:38.000 --> 01:35:40.000]  What were you saying?
[01:35:40.000 --> 01:35:42.000]  Well, I'm blind, so I didn't see it.
[01:35:42.000 --> 01:35:46.000]  I could hear them saying, you know, oh, you voted yesterday,
[01:35:46.000 --> 01:35:49.000]  but you can go ahead and recast your vote again today.
[01:35:49.000 --> 01:35:53.000]  I mean, it's insane and I wish I could have pulled my phone out or recorder at the time
[01:35:53.000 --> 01:35:58.000]  and got this on audio or something because I usually carry a recorder.
[01:35:58.000 --> 01:36:00.000]  Well, sir, I believe you because they busted Democrats.
[01:36:00.000 --> 01:36:05.000]  It's funny this year in Maryland and in Texas and all over doing the exact same type of crap.
[01:36:05.000 --> 01:36:08.000]  And it's always Democrats because they have no morals.
[01:36:08.000 --> 01:36:12.000]  And what do you do when you're dealing with a group of criminals like this show?
[01:36:12.000 --> 01:36:20.000]  So you're sitting there listening and I love it how the most confident folks you run into when it comes to listening are blind.
[01:36:20.000 --> 01:36:25.000]  And so I guess they think you've got your white cane or whatever and you're not to be paid attention to.
[01:36:25.000 --> 01:36:27.000]  But meanwhile, you heard them.
[01:36:27.000 --> 01:36:30.000]  Well, Obama said, vote early, vote often.
[01:36:30.000 --> 01:36:31.000]  Hillary said that.
[01:36:31.000 --> 01:36:37.000]  Remember Obama two and a half years ago told illegal aliens if you are in the U.S., you're a citizen.
[01:36:37.000 --> 01:36:39.000]  Yeah, absolutely.
[01:36:39.000 --> 01:36:47.000]  One of the one thing that I had on my mind and, you know, somebody in prominent position like you would be one to ask,
[01:36:47.000 --> 01:36:55.000]  how can I use, you know, my blindness to infiltrate and get in them to get close to them and run ops like Veritas does?
[01:36:55.000 --> 01:36:57.000]  Oh, they'll they'll never think of somebody.
[01:36:57.000 --> 01:37:00.000]  You're the perfect spy for America.
[01:37:00.000 --> 01:37:06.000]  I would talk to Veritas and I would talk to others or these are a lot of these people run mafia operations.
[01:37:06.000 --> 01:37:08.000]  Democrats are a criminal group.
[01:37:08.000 --> 01:37:13.000]  You have to be very, very careful because they're running child trafficking, female trafficking, drugs.
[01:37:13.000 --> 01:37:15.000]  I mean, they're usually running multiple rackets.
[01:37:15.000 --> 01:37:25.000]  But I mean, if you just try to volunteer for one of their get out the vote organizations and then you have, say, a 24 hour little recorder on you that can record for long periods of time,
[01:37:25.000 --> 01:37:32.000]  you just get in there and you and just guarantee like it's like Project Veritas head is said many times here.
[01:37:32.000 --> 01:37:34.000]  You go to any Democrat meeting.
[01:37:34.000 --> 01:37:36.000]  They're talking about running whores.
[01:37:36.000 --> 01:37:38.000]  They're talking about tax evasion.
[01:37:38.000 --> 01:37:39.000]  They're talking about stealing money.
[01:37:39.000 --> 01:37:41.000]  They're talking about welfare fraud.
[01:37:41.000 --> 01:37:48.000]  I mean, everywhere Veritas goes every time it's criminal because the Democrats are a wall of criminal scum.
[01:37:48.000 --> 01:37:59.000]  And when you finally realize that, I've been on there 23 years and it took me at least 15 to realize, man, there are so bad that it just makes your hair stand up on him.
[01:37:59.000 --> 01:38:00.000]  It's crazy.
[01:38:00.000 --> 01:38:02.000]  And yeah, I want to do this.
[01:38:02.000 --> 01:38:08.000]  I have nothing to lose and I'm definitely willing to put my life down on the line for my country, no matter what.
[01:38:08.000 --> 01:38:11.000]  Well, the big thing is having a platform so they don't know it's you.
[01:38:11.000 --> 01:38:15.000]  You go to the operation, you do it for a while, you disappear for a while.
[01:38:15.000 --> 01:38:23.000]  And then, you know, if somebody works with you who's visually, you know, able to do it, helps put it up on YouTube, helps put it out as a story.
[01:38:23.000 --> 01:38:27.000]  And then they're willing to, you know, take the heat as the reporter that did it.
[01:38:27.000 --> 01:38:30.000]  You need a teammate or somebody to work with you and Kevin.
[01:38:30.000 --> 01:38:32.000]  So God bless you.
[01:38:32.000 --> 01:38:33.000]  I appreciate your call.
[01:38:33.000 --> 01:38:34.000]  But be safe.
[01:38:34.000 --> 01:38:35.000]  But I agree.
[01:38:35.000 --> 01:38:36.000]  It's time to take action.
[01:38:36.000 --> 01:38:47.000]  Let me tell you, I've sent Democrats to prison in Austin, did one sting, went into the meeting, knew the telecommunications commission was selling out people, running a scam.
[01:38:47.000 --> 01:38:48.000]  I confirmed it myself.
[01:38:48.000 --> 01:38:50.000]  This is like 12 years ago.
[01:38:50.000 --> 01:38:51.000]  Busted the guy.
[01:38:51.000 --> 01:38:53.000]  He spent seven years in Huntsville.
[01:38:53.000 --> 01:38:57.000]  One operation, two hours work, sent his ass to Huntsville.
[01:38:57.000 --> 01:39:00.000]  You go to a Democrat meeting, they're engaging in criminal activity.
[01:39:00.000 --> 01:39:01.000]  Period.
[01:39:01.000 --> 01:39:03.000]  I've never not seen it.
[01:39:03.000 --> 01:39:06.000]  So that's part of the wake up calls.
[01:39:06.000 --> 01:39:09.000]  You're like, you see movies where criminals are like, yeah, I'll rip this off.
[01:39:09.000 --> 01:39:10.000]  I'll screw them.
[01:39:10.000 --> 01:39:11.000]  I'll take it all.
[01:39:11.000 --> 01:39:13.000]  You're like, people aren't like that.
[01:39:13.000 --> 01:39:15.000]  Yeah, they are.
[01:39:15.000 --> 01:39:16.000]  Yeah, they are.
[01:39:16.000 --> 01:39:19.000]  They are just evil.
[01:39:19.000 --> 01:39:22.000]  So it's like fishing and the best fishing you ever fished in.
[01:39:22.000 --> 01:39:27.000]  You drop your line in a Democrat cesspool, just look out what you might pull out though.
[01:39:27.000 --> 01:39:29.000]  Because let me tell you, they're crooks.
[01:39:29.000 --> 01:39:33.000]  Okay, let's take another call here.
[01:39:33.000 --> 01:39:35.000]  Let's talk to Jefferson in Virginia.
[01:39:35.000 --> 01:39:36.000]  Jefferson, thanks for calling.
[01:39:36.000 --> 01:39:38.000]  Go ahead.
[01:39:38.000 --> 01:39:41.000]  Alex, it's a real pleasure to speak with you, a true American patriot.
[01:39:41.000 --> 01:39:42.000]  You are.
[01:39:42.000 --> 01:39:43.000]  Thank you, brother.
[01:39:43.000 --> 01:39:45.000]  What's on your mind?
[01:39:45.000 --> 01:39:48.000]  First off, George Soros admitted to being an atheist.
[01:39:48.000 --> 01:39:50.000]  He can't be a Jew and not believe in Yahweh.
[01:39:50.000 --> 01:39:51.000]  That's right.
[01:39:51.000 --> 01:39:54.000]  So let's use that on him every time we can.
[01:39:54.000 --> 01:39:55.000]  Speak about anti-Semitism.
[01:39:55.000 --> 01:39:57.000]  He's not a, he's not a Semite.
[01:39:57.000 --> 01:39:58.000]  He's not a Jew.
[01:39:58.000 --> 01:39:59.000]  He gave it up.
[01:39:59.000 --> 01:40:03.000]  But as far as the election goes, I believe five to seven of the house races are going
[01:40:03.000 --> 01:40:07.000]  to be so close that they're going to go into automatic recount mode.
[01:40:07.000 --> 01:40:12.000]  And then whoever at the losing end of the stick there will file suit in state court and
[01:40:12.000 --> 01:40:14.000]  they'll go to the Supreme Court of each state.
[01:40:14.000 --> 01:40:16.000]  So this will be like Bush versus Gore all over again.
[01:40:16.000 --> 01:40:20.000]  That's what I was saying is we have to contest every race because we know there's fraud.
[01:40:20.000 --> 01:40:25.000]  Even if we win, we have to contest all the stuff we lose because we have to fight them.
[01:40:25.000 --> 01:40:27.000]  We can't just keep letting them do this.
[01:40:27.000 --> 01:40:28.000]  Right.
[01:40:28.000 --> 01:40:32.000]  It's an enormous opportunity to expose an awful lot of fraud and corruption going on
[01:40:32.000 --> 01:40:37.000]  in the election process and put it to bed finally using the legal system.
[01:40:37.000 --> 01:40:42.000]  I don't know if it's going to get to the Supreme Court before, you know, February of next year.
[01:40:42.000 --> 01:40:44.000]  I don't know how quickly they can get to it.
[01:40:44.000 --> 01:40:47.000]  But at least we have that in our favor in the end.
[01:40:47.000 --> 01:40:53.000]  But it's going to be a weird lame duck session in Congress here when the investigating committees
[01:40:53.000 --> 01:40:57.000]  are run by Republicans and they're investigating voter fraud by Democrats.
[01:40:57.000 --> 01:40:58.000]  So that could be weird.
[01:40:58.000 --> 01:41:05.000]  Well, if the Republicans had waivers and we win, we could have already the last two years destroyed them
[01:41:05.000 --> 01:41:06.000]  with all the stuff they did.
[01:41:06.000 --> 01:41:08.000]  Instead, the Republicans play nice.
[01:41:08.000 --> 01:41:10.000]  And so if the Democrats get in, they're going to go on a jihad.
[01:41:10.000 --> 01:41:14.000]  That's what we've got to get on the immediate offense as the public.
[01:41:14.000 --> 01:41:17.000]  No, contesting like Democrats did the election.
[01:41:17.000 --> 01:41:21.000]  But instead of there being no beef, no proof, we've got total proof.
[01:41:21.000 --> 01:41:27.000]  The Chinese government bought full page ads and four page spreads and hundreds of newspapers
[01:41:27.000 --> 01:41:32.000]  and put their name on it.
[01:41:32.000 --> 01:41:33.000]  I agree with you.
[01:41:33.000 --> 01:41:39.000]  It's time for us to take off the gloves and finish this thing off using the legal system at the very least.
[01:41:39.000 --> 01:41:40.000]  Oh, absolutely.
[01:41:40.000 --> 01:41:42.000]  Listen, I wish the Democrats were normal.
[01:41:42.000 --> 01:41:45.000]  I wish they weren't so evil and it wasn't such a death battle.
[01:41:45.000 --> 01:41:48.000]  I'm not happy about that, having to say all this on air.
[01:41:48.000 --> 01:41:53.000]  But it only steals my resolve because these people are unspeakably bad.
[01:41:53.000 --> 01:41:55.000]  Do you think we're going to win on Tuesday?
[01:41:55.000 --> 01:41:57.000]  I think it's neck and neck.
[01:41:57.000 --> 01:41:59.000]  It's going to be so close.
[01:41:59.000 --> 01:42:03.000]  It's just going to be a mess for a long time to straighten this out.
[01:42:03.000 --> 01:42:06.000]  And if there wasn't total fraud, I think the Republicans would gain what?
[01:42:06.000 --> 01:42:10.000]  25 houses in this house, 25 seats, and what?
[01:42:10.000 --> 01:42:12.000]  Six, seven seats in the Senate.
[01:42:12.000 --> 01:42:13.000]  What do you think?
[01:42:13.000 --> 01:42:16.000]  I think it'll be a narrow win at the house if we can manage that.
[01:42:16.000 --> 01:42:18.000]  But the Senate is not going to be a problem.
[01:42:18.000 --> 01:42:19.000]  I think we'll...
[01:42:19.000 --> 01:42:25.000]  No, no, I'm saying if there wasn't all this fraud, I think there'd be a Republican landslide.
[01:42:25.000 --> 01:42:26.000]  Agreed.
[01:42:26.000 --> 01:42:30.000]  But, you know, the fraud has been going on for a long, long time.
[01:42:30.000 --> 01:42:32.000]  Somebody's just got to prove it.
[01:42:32.000 --> 01:42:33.000]  They prove it all the time.
[01:42:33.000 --> 01:42:34.000]  That's what's crazy.
[01:42:34.000 --> 01:42:36.000]  Thank you for the call.
[01:42:36.000 --> 01:42:38.000]  But we got to prove who it's coming from.
[01:42:38.000 --> 01:42:42.000]  We got the head Democrats in New York admitting, yeah, we have people vote ten times a piece.
[01:42:42.000 --> 01:42:43.000]  We bust them around.
[01:42:43.000 --> 01:42:45.000]  That's what they do.
[01:42:45.000 --> 01:42:49.000]  Illegal aliens, homeless people themselves.
[01:42:49.000 --> 01:42:52.000]  They walk them in there and they vote over and over and over again.
[01:42:52.000 --> 01:42:54.000]  I just can't bring myself to cheat.
[01:42:54.000 --> 01:42:56.000]  Man, I've almost thought about it.
[01:42:56.000 --> 01:42:57.000]  I'll tell you.
[01:42:57.000 --> 01:43:00.000]  Whether you're looking to boost the benefits of our official oil formula,
[01:43:00.000 --> 01:43:02.000]  or just want an alternative,
[01:43:02.000 --> 01:43:04.000]  In Full Wars Life has the formula for you.
[01:43:04.000 --> 01:43:10.000]  Ultimate Crill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3.
[01:43:10.000 --> 01:43:13.000]  It's found in our high-quality, ultra-pure Crill Oil concentrate.
[01:43:13.000 --> 01:43:17.000]  Containing powerful antioxidants, such as athazanthin and Omega-3.
[01:43:17.000 --> 01:43:23.000]  Ultimate Crill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[01:43:23.000 --> 01:43:28.000]  This incredible formula can help your body in many ways, including supporting heart health,
[01:43:28.000 --> 01:43:30.000]  joint health and cognitive health,
[01:43:30.000 --> 01:43:35.000]  aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[01:43:35.000 --> 01:43:39.000]  And while other Crill Oil formulas may chemically modify their formulas,
[01:43:39.000 --> 01:43:45.000]  we're giving you the benefits of a simple formula that contains unmodified, high-quality Crill Oil concentrate.
[01:43:45.000 --> 01:43:47.000]  Paired with our Ultimate Fish Oil, or used separately,
[01:43:47.000 --> 01:43:51.000]  it's time to see what Crill Oil can do for you with Ultimate Crill Oil.
[01:43:51.000 --> 01:43:54.000]  Now available at InfowarsStore.com.
[01:43:54.000 --> 01:44:02.000]  Our grandparents, the great-grandparents, know that they can food during the fall, so they'd have it during the winter.
[01:44:02.000 --> 01:44:06.000]  And that's what I'm talking about at InfowarsStore.com.
[01:44:06.000 --> 01:44:13.000]  But Infowars Select, it's the full spectrum of my Patriot supply, one of the top most respected companies out there.
[01:44:13.000 --> 01:44:21.000]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[01:44:21.000 --> 01:44:26.000]  But I want to be a market leader, and I want you to have storeable food, so it's a total win-win.
[01:44:26.000 --> 01:44:32.000]  We have those incredible self-prices back at InfowarsStore.com on Infowars Select storeable foods.
[01:44:32.000 --> 01:44:37.000]  They've got special diet foods, they've got three-month supplies, your supplies, weak emergency supplies.
[01:44:37.000 --> 01:44:39.000]  They've got so many great products there.
[01:44:39.000 --> 01:44:41.000]  Maybe you got a three-year supply.
[01:44:41.000 --> 01:44:43.000]  If stuff happens, you can feed your whole block.
[01:44:43.000 --> 01:44:45.000]  It's up to us to be self-sufficient.
[01:44:45.000 --> 01:44:48.000]  If you're buying war bonds, bring you great products,
[01:44:48.000 --> 01:44:50.000]  and together with God's help, we are unstoppable.
[01:44:50.000 --> 01:44:56.000]  InfowarsStore.com and Infowars Select, high-quality storeable foods powered by my Patriot supply.
[01:45:00.000 --> 01:45:05.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[01:45:05.000 --> 01:45:09.000]  where the Chiapas farmers have spent years perfecting their techniques.
[01:45:09.000 --> 01:45:14.000]  Based on hundreds of years of traditional techniques and perfect conditions,
[01:45:14.000 --> 01:45:21.000]  we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[01:45:21.000 --> 01:45:27.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[01:45:27.000 --> 01:45:32.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[01:45:32.000 --> 01:45:38.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[01:45:38.000 --> 01:45:46.000]  You can even choose to start your morning healthier with the immune support blend, infused with a powerful blend to support your immune response and stamina.
[01:45:46.000 --> 01:45:49.000]  It's time to take care of your morning routine.
[01:45:49.000 --> 01:46:09.000]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfowarsStore.com.
[01:46:20.000 --> 01:46:23.000]  One of the most popular health trends on the planet.
[01:46:23.000 --> 01:46:26.000]  Built with more than seven different superfoods and crucial compounds,
[01:46:26.000 --> 01:46:31.000]  Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments,
[01:46:31.000 --> 01:46:35.000]  while also supporting your body's fight against free radicals.
[01:46:35.000 --> 01:46:41.000]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root,
[01:46:41.000 --> 01:46:47.000]  chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[01:46:47.000 --> 01:46:51.000]  It's time to experience what Ultimate Bone Broth can do for you.
[01:46:51.000 --> 01:46:57.000]  Get a bottle of the all-new version of a fan-favorite product today at InfowarsStore.com.
[01:47:01.000 --> 01:47:04.000]  You're listening to the Alex Jones Show.
[01:47:04.000 --> 01:47:11.000]  Let's get started.
[01:47:11.000 --> 01:47:14.000]  Just a heads up here, Alex Jones Back Live.
[01:47:14.000 --> 01:47:17.000]  We're going to be live at 8 a.m. tomorrow until midnight.
[01:47:17.000 --> 01:47:21.000]  David Knight, my show, Owen Schroyer, Rodgers don't fly in any lands in about an hour.
[01:47:21.000 --> 01:47:24.000]  We may do a special live broadcast tonight.
[01:47:24.000 --> 01:47:30.000]  And then on election day, we're going to go throughout the entire night.
[01:47:30.000 --> 01:47:35.000]  A little 36 hours, we'll kick off at 8 a.m. and then just go right through the next day
[01:47:35.000 --> 01:47:38.000]  and whatever fireworks there are, we'll cover it.
[01:47:38.000 --> 01:47:43.000]  One day, 17 hours, 12 minutes, 28 seconds.
[01:47:43.000 --> 01:47:46.000]  The most money's been spent on this election ever.
[01:47:46.000 --> 01:47:48.000]  All the foreign money's flowing in.
[01:47:48.000 --> 01:47:51.000]  And the Republican establishment just sits there, never breaks the rules, always.
[01:47:51.000 --> 01:47:53.000]  Believe me, I study it all.
[01:47:53.000 --> 01:47:55.000]  They just follow the law exactly.
[01:47:55.000 --> 01:48:00.000]  And then Democrats just run around like the demonic leftists they are doing whenever they want
[01:48:00.000 --> 01:48:01.000]  and never get in trouble.
[01:48:01.000 --> 01:48:03.000]  Well, that falls on the Republicans now.
[01:48:03.000 --> 01:48:07.000]  Trump's been trying to do something, but I'm telling you,
[01:48:07.000 --> 01:48:12.000]  it's time for citizens to go to D.C. and start lobbying that they get these censors off our backs
[01:48:12.000 --> 01:48:16.000]  and that Washington stopped being scared of the Democrats in the mainstream media.
[01:48:16.000 --> 01:48:21.000]  All right, Bruce in Illinois, you're on the air, and then Travis, welcome.
[01:48:21.000 --> 01:48:22.000]  Yes, thank you, Alex.
[01:48:22.000 --> 01:48:28.000]  Alex, I'm very concerned about the election, not only at the federal level, but at the state level.
[01:48:28.000 --> 01:48:34.000]  Here in Illinois, we have a billionaire running for governor by the name of J.B. Pritzker on the Democrat ticket.
[01:48:34.000 --> 01:48:42.000]  He has already spent more money of his own personal wealth to become the governor of the failed state of Illinois
[01:48:42.000 --> 01:48:47.000]  than Donald Trump has spent of his own personal wealth to become president of the United States.
[01:48:47.000 --> 01:48:48.000]  I saw that.
[01:48:48.000 --> 01:48:55.000]  J.B. Pritzker is actually running for the express purpose of literally trying to take all the,
[01:48:55.000 --> 01:48:59.000]  as many guns and as many magazines as he can possibly take.
[01:48:59.000 --> 01:49:03.000]  And he said that publicly in Chicago, Tribunez, our stories.
[01:49:03.000 --> 01:49:07.000]  He's also wanting to raise our income tax, our property tax.
[01:49:07.000 --> 01:49:12.000]  The Democrats as a whole at the state level are looking for a statewide rent control.
[01:49:12.000 --> 01:49:13.000]  Oh, I know this.
[01:49:13.000 --> 01:49:15.000]  So they're bringing in Venezuela level control.
[01:49:15.000 --> 01:49:17.000]  He's spent 80 million so far, right?
[01:49:17.000 --> 01:49:18.000]  Yes.
[01:49:18.000 --> 01:49:19.000]  Actually, I think it's more than that.
[01:49:19.000 --> 01:49:21.000]  I think it's 140 million.
[01:49:21.000 --> 01:49:22.000]  Well, that's an old article I had.
[01:49:22.000 --> 01:49:27.000]  Well, you know, Beto's got a billion dollar wife, Eris.
[01:49:27.000 --> 01:49:29.000]  He is a complete fraud.
[01:49:29.000 --> 01:49:34.000]  It is over 100 million that he's laundering to bring in illegal aliens and the caravan.
[01:49:34.000 --> 01:49:37.000]  Well, see, Alex, they're doing this at the local and state level.
[01:49:37.000 --> 01:49:39.000]  And that's the reason why I'm calling.
