[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[1:24:23.440 --> 1:24:31.920]  called MVM. Now MVM is a military contractor. If you look, the Wall Street Journal wrote about MVM.
[1:24:32.800 --> 1:24:36.960]  Okay. Now again, this is the guy that, that Brendan Gilmour is in business with here.
[1:24:36.960 --> 1:24:43.120]  He had a company MVM. MVM was a military contractor like Blackwater. That's the way the Wall Street
[1:24:43.120 --> 1:24:52.880]  Journal described them. So I just, I mean, Blackwater is the clandestine CIA. Well, and in this Wall
[1:24:52.880 --> 1:25:02.160]  Street Journal article, you can find where Marquez admits freely that the, they worked for the NSA
[1:25:02.160 --> 1:25:09.120]  and the CIA. Okay. So boom. Our boy is one of the top three executives of the company that's in the
[1:25:09.120 --> 1:25:13.840]  Wall Street Journal saying they carry out CIA contracts and we're not mean pencil pushing here.
[1:25:13.840 --> 1:25:19.600]  We mean military contractor. Military contractor like Blackwater. That's the way they're defined.
[1:25:19.600 --> 1:25:25.280]  So let, let's just stop for a second and talk about. We're being sued saying the guy's CIA
[1:25:25.280 --> 1:25:29.760]  connected. We didn't even say that. And now he's an executive of the company that brags the Wall
[1:25:29.760 --> 1:25:36.400]  Street Journal. They don't, they're not just CIA. They're running muscle operations and for the NSA
[1:25:36.400 --> 1:25:43.120]  in Iraq. Yep. That's what that's, it's right there. Now let's talk about Tom Purello for a
[1:25:43.120 --> 1:25:50.800]  second. Tom Purello is known as a sort of liberals liberal on the left. Okay. The reason Soros funded
[1:25:50.800 --> 1:25:57.920]  him is he's a guy who got the endorsement of Bernie Sanders and Elizabeth Warren. Right. Now,
[1:25:57.920 --> 1:26:04.160]  traditionally, when you think about people like Bernie Sanders, they're anti-war. Right. That's,
[1:26:04.160 --> 1:26:11.040]  that's the way we think of the left. I want to point out what's happened here. There's a reason
[1:26:11.040 --> 1:26:16.560]  Soros is funding a guy like Purello. There's a reason for it. You're taking over. So I shut up.
[1:26:16.560 --> 1:26:20.720]  You're going to get the next two segments straight ahead on the other side. Lee Lee's on target. We
[1:26:20.720 --> 1:26:25.760]  got all the articles right here. I mean, wow, these, these guys, the arrogance, the, the, the
[1:26:25.760 --> 1:26:31.760]  insolence, uh, here, here's the McCabe, all the globalist, all these parasites that have hijacked
[1:26:31.760 --> 1:26:35.760]  the country. Your time is coming. And no matter what happens, no, there's scumbags. We're coming
[1:26:35.760 --> 1:26:42.160]  for you in full wars.com news wars.com. The second American revolution is now spread those links
[1:26:42.160 --> 1:26:49.680]  and defeat the globalist. They use their media to assassinate real news. They use their schools
[1:26:49.680 --> 1:26:55.040]  to teach children that their president is another Hitler. They use their movie stars and singers
[1:26:55.040 --> 1:27:00.960]  and comedy shows and award shows to repeat their narrative over and over again. And then they use
[1:27:00.960 --> 1:27:07.360]  their ex president to endorse the resistance all to make them march, make them protest, make them
[1:27:07.360 --> 1:27:14.240]  scream racism and sexism and xenophobia and homophobia to smash windows, burn cars, shut down
[1:27:14.240 --> 1:27:20.480]  interstates and airports, bully and terrorize the law abiding until the only option left is for the
[1:27:20.480 --> 1:27:26.720]  police to do their jobs and stop the madness. And when that happens, they'll use it as an excuse
[1:27:26.720 --> 1:27:34.000]  for their outrage. The only way we stop this, the only way we save our country and our freedom
[1:27:34.000 --> 1:27:41.440]  is to fight this violence of lies with a clenched fist of truth. I'm the national rifle association
[1:27:41.440 --> 1:27:48.240]  of America and I'm freedom's safest place. Hey, how you doing? Good brother. Just recently
[1:27:48.240 --> 1:27:52.960]  started using your products. Everything you said about them is correct. Me and my wife both use a
[1:27:52.960 --> 1:27:57.040]  lot of them and it's made a lot of changes in our lives here. Well thank you brother because it also
[1:27:57.040 --> 1:28:01.120]  funds our operation but doing that I know I'm going to have the highest quality. Super male
[1:28:01.120 --> 1:28:08.000]  vitality was developed to activate your body's own natural processes instead of using synthetic
[1:28:08.000 --> 1:28:13.680]  chemicals. We do the super male and the super female vitality. Big changes, a lot of energy. We've
[1:28:13.680 --> 1:28:18.960]  gotten off of the cheap energy drinks, energy shots, they've been a ton of money there. Sourced from
[1:28:18.960 --> 1:28:26.320]  powerful organic herbs harvested around the planet and then concentrated or maximum potency. They want
[1:28:26.320 --> 1:28:31.200]  to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you
[1:28:31.200 --> 1:28:36.640]  out in my experience whereas stuff that gets your glands naturally going goes right to the source so
[1:28:36.640 --> 1:28:42.480]  it's pretty exciting and I love it. Visit infowarslife.com today to secure your super male vitality
[1:28:42.480 --> 1:28:48.400]  and other powerful products from infowarslife. We've taken thousands of years of known research
[1:28:48.400 --> 1:28:53.840]  and put it together with our own four years of seeking and testing to find the very best systems
[1:28:53.840 --> 1:28:58.720]  that God gave us through Mother Nature to detoxify the body. That's why I'm introducing Z-Shield.
[1:28:58.720 --> 1:29:05.120]  Toxic metal and chemical defense support. It's made in the USA. It's filled with known compounds
[1:29:05.120 --> 1:29:09.840]  from nature that are absolutely associated with detoxifying the body and it supports the info war.
[1:29:09.840 --> 1:29:15.600]  It is a classical 360 win. This is the formula that I personally have been taking for over a year
[1:29:15.600 --> 1:29:20.720]  and now we believe we have come as close to perfection when it comes to a detoxifier as you
[1:29:20.720 --> 1:29:25.360]  can possibly get. You owe it to yourself, you owe it to your family and you owe it to the future of
[1:29:25.360 --> 1:29:31.200]  this country in the world that patriots stay as healthy and as clean and as focused as you can be
[1:29:31.200 --> 1:29:36.640]  because we need you the remnant of America to reignite those brush fires the next level and to
[1:29:36.640 --> 1:29:40.880]  be healthy and as focused as you can be. Thanks to your support and your prayers together we're
[1:29:40.880 --> 1:29:45.760]  changing the world now it's time to change our bodies with Z-Shield infowarslife.com.
[1:29:45.760 --> 1:29:51.840]  Hey did you know that you can now preserve your own food for up to 25 years and still
[1:29:51.840 --> 1:29:58.000]  maintain its nutrition and flavor. That's right now's the time to build your own food storage
[1:29:58.000 --> 1:30:03.520]  with Harvest Rights Freeze Dryers. Go to infowarsstore.com to learn more and check out this
[1:30:03.520 --> 1:30:08.640]  innovative and smart technology that's easy to use and let me tell you something it is perfect
[1:30:08.640 --> 1:30:14.400]  for freeze-drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[1:30:14.400 --> 1:30:18.960]  Woo that's what I'm talking about and when compared to traditional methods of preservation
[1:30:18.960 --> 1:30:24.480]  like canning or dehydrating you know like what you get at the grocery store there is no comparison.
[1:30:24.480 --> 1:30:30.720]  Harvest Right Freeze Dryers retain 97% of the food's taste, color and nutritional value
[1:30:30.720 --> 1:30:37.600]  and have a shelf life of up to 25 years. Now that's what I call the miracle of food preservation.
[1:30:37.600 --> 1:30:42.400]  Harvest Right is truly the world's best, most affordable freeze dryer. So what are you waiting
[1:30:42.400 --> 1:30:45.440]  for? Check it out right now at infowarsstore.com.
[1:30:45.440 --> 1:30:57.280]  You're listening to the Alex Jones show.
[1:30:57.280 --> 1:31:11.280]  Waging War on Corruption. Alex Jones.
[1:31:11.280 --> 1:31:16.320]  I want to lead to be able to roll this out in this segment and the next so I'm going to just
[1:31:16.320 --> 1:31:18.880]  sit back and listen to what he has to say here and I'm going to punch you out in a minute and
[1:31:18.880 --> 1:31:26.640]  just sit back here but let me just say it from the heart. I fight the globalist so hard because
[1:31:26.640 --> 1:31:32.320]  they're so anti-human, they're so evil, they're such liars, they're such scumbags, there's such
[1:31:32.320 --> 1:31:39.440]  pieces of crap from the chicken you know what dimension you know the chicken SH what T dimension.
[1:31:39.440 --> 1:31:44.320]  That's how I describe it they're just these jerks they don't play by the rules they don't care about
[1:31:44.320 --> 1:31:53.360]  basic humanity. An example is my daughters were their mom the last week up in Connecticut skiing
[1:31:53.360 --> 1:31:59.440]  which is great and when they called me this morning they said yeah my middle daughter was talking to
[1:31:59.440 --> 1:32:06.400]  some kids they were with at ski camp and who their dad was and then the dad walked over and
[1:32:06.400 --> 1:32:12.080]  yelled and screamed at my daughter I mean the left involves children and things they they
[1:32:12.080 --> 1:32:17.280]  anti for beats of women they just they have no rules they're they're scum and they're all about
[1:32:17.280 --> 1:32:27.040]  guilt though and how they're good so I look at all this and I pull back from it and I want to
[1:32:27.040 --> 1:32:32.640]  ask Lee Stranahan this I'm going to punch out with him take over why would you have a guy's
[1:32:32.640 --> 1:32:38.800]  state department who videotapes this woman getting run over come out and follow lawsuits saying we
[1:32:38.800 --> 1:32:44.800]  said he killed the woman when there's no video that we never said that there's no audio and then
[1:32:46.000 --> 1:32:50.560]  he heads up a company that brags in the Wall Street Journal they've got CIA contracts we just
[1:32:50.560 --> 1:32:55.520]  showed that to TV viewers I can I can go over the headlines that folks want it all right case
[1:32:55.520 --> 1:33:02.000]  sheds light on secret contractors I mean this guy's company's in secret contractor articles
[1:33:02.000 --> 1:33:07.200]  we're not just talking about CIA analytics you know analytics or you know some little
[1:33:07.200 --> 1:33:13.280]  supplement this is like the teeth of the CIA and all the articles Airbnb house white nationalist and
[1:33:13.280 --> 1:33:19.360]  all of it my lawyers look at this and they go this is desperate temper tantruming
[1:33:19.920 --> 1:33:23.200]  that doesn't mean we don't have to fund the lawsuits and deal with it it just means like
[1:33:25.040 --> 1:33:30.640]  what is what's the motive of these guys what's their problem Lee what are you well you're a smart
[1:33:30.640 --> 1:33:36.480]  guy you don't speculate as a journalist but as a personal guy being sued they they know they've
[1:33:36.480 --> 1:33:42.560]  got these contracts they know that we're talking about Soros and the CIA they didn't I think they're
[1:33:42.560 --> 1:33:47.520]  saying well there's events like this and we put a narrative out we're not seeing their stage in the
[1:33:47.520 --> 1:33:51.920]  event they put their narrative out stay out of our narrative that's what they're pissed about is
[1:33:51.920 --> 1:33:56.080]  that we're there talking about the narrative saying hey let's ask questions whether it's
[1:33:56.080 --> 1:34:02.080]  Charlottesville or whether it's Lakewood or Parkview or whatever the hell it is they just
[1:34:02.080 --> 1:34:07.680]  don't like us questioning the narrative I think that's it that they're mad that we're just
[1:34:07.680 --> 1:34:13.040]  questioning things not even saying what we know what's got them so mad go ahead and take over
[1:34:14.240 --> 1:34:21.840]  well I think what got them so mad is that Charlottesville in some ways was the culmination
[1:34:21.840 --> 1:34:29.040]  of the Black Lives Matter movement that they had put a lot of money and exactly their piss that
[1:34:29.040 --> 1:34:33.440]  it blew up in their face and then a month later Pelosi saying Black Lives Matter and Antifa's
[1:34:33.440 --> 1:34:42.240]  terrorist yes and so it's a failed project it's a failed project well in in in some ways and Trump's
[1:34:42.240 --> 1:34:49.280]  election proved a failure in other words the way it really failed was it failed to stop all everything
[1:34:49.280 --> 1:34:55.680]  they threw at them the people still were like you know what I trust Trump over Hillary Clinton
[1:34:55.680 --> 1:35:01.120]  that's it and they were very upset and is he not fulfilled that trust what are they gonna do now
[1:35:02.240 --> 1:35:07.760]  well yeah that that's right well here's what's very interesting and I know it's it's weird to
[1:35:07.760 --> 1:35:15.920]  think about this but I I think the left is being victimized by George Soros there Soros has figured
[1:35:15.920 --> 1:35:23.680]  out how to use the left to promote an agenda that is really the antithesis so is George Soros
[1:35:23.680 --> 1:35:31.680]  a leftist yes or no clearly he's a leftist is he a greedy capitalist clearly yes right and that's
[1:35:31.680 --> 1:35:38.320]  kind of a weird contradiction but let's talk about I want to correct one thing uh the the guy who's
[1:35:38.320 --> 1:35:44.560]  suing us Brennan Gilmore he's an executive in a company where the founder of the company's
[1:35:44.560 --> 1:35:50.880]  other company is the one who is connected to the CIA sure sure exactly he he works with a guy that
[1:35:50.880 --> 1:35:55.920]  created the clandestine operation group we're not even saying he's CIA we're just saying CIA all
[1:35:56.960 --> 1:36:04.720]  but this company itself may or may not be connected because it's the same guy who who owns both of
[1:36:04.720 --> 1:36:10.960]  them and Gilmore's with one of those companies but I just want to clarify that there are two
[1:36:10.960 --> 1:36:18.240]  different companies here that being said does this mean that there's a CIA involvement that
[1:36:18.240 --> 1:36:22.320]  Brennan Gilmore has I'm not saying that and if I thought that I would tell you let me give you
[1:36:22.320 --> 1:36:27.360]  another scenario let me give you another possibility maybe it's just a political connection why do I
[1:36:27.360 --> 1:36:32.080]  say that well that's all we said was you keep getting politicos at these events like the you
[1:36:32.080 --> 1:36:37.440]  know the kids that are anti-gun on a 3000 they get all the coverage that's what we said and well
[1:36:37.440 --> 1:36:42.720]  what I said no right and what I said also was I don't know what's going on I'm just trying to
[1:36:42.720 --> 1:36:47.520]  piece it out here's what we know let's talk about this guy Dario Marquez now again he's the guy whose
[1:36:47.520 --> 1:36:56.080]  company was a blackwater style military contractor Dario Marquez also happened to be a top donor to
[1:36:56.080 --> 1:37:03.520]  a pack that was headed up by drumroll please Tom Perriello Brennan Brennan Gilmore's close
[1:37:03.520 --> 1:37:10.720]  work associate yeah she was there for that exactly right so Perriello had a a pack called
[1:37:10.720 --> 1:37:18.960]  win Virginia now it's supposed to be a progressive pack okay and if you look at the fundraising for
[1:37:18.960 --> 1:37:28.000]  that pack you will see that Dario Marquez who's the same guy who's partnered with Brennan Gilmore
[1:37:28.000 --> 1:37:35.920]  in this other company Dario Marquez was also a major donor to this Tom Perriello headed pack
[1:37:36.640 --> 1:37:42.800]  you're with me there so this is important because it just shows that there's another connection here
[1:37:43.360 --> 1:37:49.360]  not military not deep state but political and that's very well could be what was going on
[1:37:49.360 --> 1:37:55.520]  it could also be a personal connection but let's be clear not a correction a clarification
[1:37:55.520 --> 1:38:01.360]  we're not saying a woman wasn't run over we're not saying this Brandon guy you know did this
[1:38:02.240 --> 1:38:06.320]  what we're saying is is that you've got politicos at these events obviously in an
[1:38:06.320 --> 1:38:11.440]  anti-fascist rally that are the spokesperson's exacerbating it saying Trump's Hitler
[1:38:13.120 --> 1:38:19.440]  exactly right and I keep seeing Soros connections everywhere here no I know he finds the whole
[1:38:19.440 --> 1:38:22.960]  thing but that's what I'm asking you is then and I hear take over the next segment
[1:38:22.960 --> 1:38:28.720]  what do they think they're getting out of it my lawyers just think it's the PR stunt of the lawsuit
[1:38:29.280 --> 1:38:32.720]  and then they don't care if it gets defeat because they say there's no way this goes forward this is
[1:38:32.720 --> 1:38:38.480]  like crap well this is one of the points I've been making Alex if you want to really get to the
[1:38:38.480 --> 1:38:43.920]  to the motivation here I think there's something very sneaky going on here's what it is traditionally
[1:38:43.920 --> 1:38:49.600]  in this country when we think of people fighting for free speech we think of the left right if
[1:38:49.600 --> 1:38:54.000]  you think about the 50s and 60s and sure so it's the left trying to have this right free speech
[1:38:54.560 --> 1:38:59.360]  that's that's right now if you think about who's the anti-war movement in this country traditionally
[1:39:00.000 --> 1:39:06.640]  it's the left what they're doing here what Soros is buying for his money no like you said he's
[1:39:06.640 --> 1:39:13.840]  getting the left to be pro-war pro censorship they're killing the left that's that's exactly right
[1:39:13.840 --> 1:39:20.720]  and if you look around usually the ACLU would be taking the side look we don't I remember the
[1:39:20.720 --> 1:39:28.160]  Illinois Nazis back in the 80s when I was growing up 80s 90s and ACLU came out to defend them here
[1:39:28.160 --> 1:39:33.680]  the ACLU's had a cut tail and run and the reason why is Soros spreads his checks over that's not
[1:39:33.680 --> 1:39:41.280]  conspiracy theory he he finds every damn word you can imagine that's that's right and that's
[1:39:41.280 --> 1:39:47.840]  what I think is going on here every when I looked into the groups the civil rights unit who's suing
[1:39:47.840 --> 1:39:54.640]  us and the voting rights institute at Georgetown every member of their advisory board for voting
[1:39:54.640 --> 1:40:00.320]  rights institute all 12 people I were directly working with organizations that are directly
[1:40:00.320 --> 1:40:06.720]  funded by George Soros's own society every single one it's incredible this guy thought he was the
[1:40:06.720 --> 1:40:12.480]  messiah 30 years ago when he wrote a book but in a way he kind of is the messiah of evil I mean he
[1:40:12.480 --> 1:40:17.600]  he's like the devil's messiah it's just like how could one guy be involved in so much evil well
[1:40:17.600 --> 1:40:21.680]  he's almost run a bunch of countries he's swendled so much money I mean it's incredible all right
[1:40:21.680 --> 1:40:25.440]  at least right and you're doing the final segment and I'm leaving so you intro it you out throw it
[1:40:25.440 --> 1:40:32.000]  great points wow ladies and gentlemen this is incredible I mean this is the battle for the
[1:40:32.000 --> 1:40:36.640]  republic front row seats info or store.com please think about all those great products that we found
[1:40:36.640 --> 1:40:42.000]  our operation I hardly plug but there's great products you need we've got the new super silver
[1:40:42.000 --> 1:40:48.080]  product up there be sure and check that out info wars life is launching its newest product we're
[1:40:48.080 --> 1:40:56.320]  really really proud of it it's a best source prebiotic fiber and it's got the very best concentrated
[1:40:56.320 --> 1:41:03.120]  fibers from berries and fruits and other compounds that have been known to be the very best for your
[1:41:03.120 --> 1:41:08.720]  body and for regularity and so much more and it synergistically works with our 50 billion live
[1:41:08.720 --> 1:41:14.240]  active culture floral life as well as myco zx that targets the yeast the mold and the funguses
[1:41:14.240 --> 1:41:19.600]  in the gut so this is the time to take advantage of getting this new incredible fiber product
[1:41:19.600 --> 1:41:24.160]  and these other products you get them separately or together and make really really big savings and
[1:41:24.160 --> 1:41:28.640]  get high quality products at the same time and I'm doing this to introduce these products to you
[1:41:28.640 --> 1:41:35.280]  bodies sold out in a month strongest concentrated turmeric formula we can come up with it's sold
[1:41:35.280 --> 1:41:41.040]  out for another month and a half we sold it at 50 off till it's sold out and I think it's gonna be
[1:41:41.040 --> 1:41:46.640]  the same way with this fiber get yours today info wars life.com after being sold out for months our
[1:41:46.640 --> 1:41:51.360]  best selling super blue fluoride toothpaste is now back in stock at info wars store.com the first
[1:41:51.360 --> 1:41:55.520]  shipment of super blue sold out in one week I thought it would be a six month supply for listeners
[1:41:55.520 --> 1:42:00.560]  and since then people are beating down our doors wanting to be able to resupply their super blue
[1:42:00.560 --> 1:42:06.000]  research across the board is clear in fact it's certified when bacteria infect your gums it can
[1:42:06.000 --> 1:42:10.000]  enter your bloodstream and even contribute to blood clots and heart attacks that's why the last
[1:42:10.000 --> 1:42:15.040]  surgeon generals report on oral health warrants that your oral health can have a serious impact on
[1:42:15.040 --> 1:42:19.600]  your entire body super blue fluoride free toothpaste is a groundbreaking new formula it's loaded with
[1:42:19.600 --> 1:42:24.720]  good halogen iodide some of the bad halogen fluoride super blue contains natural oils and
[1:42:24.720 --> 1:42:30.000]  ingredients use its biblical times to help wipe out bad bacteria and eliminate bad breath just some
[1:42:30.000 --> 1:42:35.600]  of the ingredients in super blue chosen by our dental experts include xylitol peppermint oil iodide
[1:42:35.600 --> 1:42:41.840]  nano silver and more learn more about info wars life super blue toothpaste and info wars life.com
[1:42:41.840 --> 1:42:47.760]  and support the info war while you support healthy gums and teeth alexa gones here to tell you about
[1:42:47.760 --> 1:42:52.640]  how you can help spread liberty worldwide also enjoying what i have found to be the best tasting
[1:42:52.640 --> 1:42:58.320]  100 organic coffee on the planet for more than a decade my favorite coffee has come from the
[1:42:58.320 --> 1:43:02.720]  high mountains of southern mexico where the chiapas farmers grow their unique shade grown
[1:43:02.720 --> 1:43:08.640]  arabica beans we have now managed to secure the sought after beans in a highly customized blend
[1:43:08.640 --> 1:43:16.080]  discover and try a bag of the patriot blend 100 organic coffee at info wars life.com this coffee
[1:43:16.080 --> 1:43:21.200]  gives you a long smooth pick me up for hours without the headaches and heartburn that so many
[1:43:21.200 --> 1:43:26.000]  other coffees give me personally hands down this is my favorite coffee and it's taken us years to
[1:43:26.000 --> 1:43:31.840]  secure connections directly to the chiapas mexican farmers dropped by the site today order a bag or
[1:43:31.840 --> 1:43:36.560]  two and i don't think you're going to be disappointed available in original or with our immune support
[1:43:36.560 --> 1:43:41.600]  infusion blend you will be supporting a free press all the while enjoying a truly great
[1:43:41.600 --> 1:43:47.920]  tasting cup of my favorite coffee available at info wars life.com choose to take control of your
[1:43:47.920 --> 1:43:55.280]  chemistry with survival shield x2 and bio true selenium this powerful combo is perfect for supporting
[1:43:55.280 --> 1:44:01.760]  your thyroid and health bio true selenium formula is far from synthetic and is made from a source of
[1:44:01.760 --> 1:44:08.320]  100 organic mustard seed our super high quality nascent iodine is an essential mineral sourced
[1:44:08.320 --> 1:44:15.520]  of 99.99% ultra pure deep earth iodine crystals this essential mineral is necessary in order to
[1:44:15.520 --> 1:44:21.520]  produce thyroid hormones which influence every cell tissue and organ in the body with inadequate
[1:44:21.520 --> 1:44:28.000]  thyroid hormones you may experience slow metabolism lethargy weight gain and overall brain fog
[1:44:28.000 --> 1:44:34.240]  survival shield x2 and bio true selenium work together to support the systems in your body
[1:44:34.240 --> 1:44:40.080]  take control of your chemistry today with this super combo discover the power of survival
[1:44:40.080 --> 1:44:45.120]  shield x2 and bio true selenium at info wars life.com
[1:44:45.120 --> 1:45:01.040]  you're listening to the alex jones show
[1:45:01.040 --> 1:45:03.040]  you
[1:45:14.160 --> 1:45:22.160]  you are either with the republic or against it from the front lines of the information war
[1:45:22.720 --> 1:45:24.320]  it's alex jones
[1:45:24.320 --> 1:45:34.720]  hey there everybody welcome back to the alex jones show here at info wars.com
[1:45:34.720 --> 1:45:40.400]  my name is lee stranahan i'm an investigative reporter and i want to thank alex for trusting
[1:45:40.400 --> 1:45:45.600]  me to do this last segment we're talking about the lawsuit that was filed this past tuesday
[1:45:45.600 --> 1:45:51.920]  against alex jones and info wars against me against jim hoff my friend over at the gateway pundit
[1:45:51.920 --> 1:45:58.080]  alan west and other people and this lawsuit was filed by a man named brennan gilmore
[1:45:58.880 --> 1:46:05.200]  and brennan is a state department employee he's a political democratic chief of staff
[1:46:05.200 --> 1:46:12.480]  person for uh tom perriello who's a congressman in virginia and mr gilmore is also the person
[1:46:12.480 --> 1:46:20.480]  who happened to videotape the best shot of the car crashing in to the crowd of people back in
[1:46:20.480 --> 1:46:26.560]  august back on august 12th of last year in charlottesville killing heather hyer murdering her
[1:46:27.120 --> 1:46:35.040]  and i did a segment last year uh on august 15th a few days after this where i was interviewed
[1:46:35.040 --> 1:46:39.840]  and i talked about some things that i mentioned the fact that brennan gilmore who shot that video
[1:46:39.840 --> 1:46:47.040]  works for the see uh works for the state department forgive me and uh i mentioned that he worked for
[1:46:47.040 --> 1:46:53.680]  uh tom perriello i did not say he worked for the cia i don't believe he works for the cia
[1:46:53.680 --> 1:46:59.840]  because i have no proof that he works for the cia i don't believe he was responsible for
[1:46:59.840 --> 1:47:04.960]  engineering heather hyer's death that would be a horrible accusation to make i didn't say it because
[1:47:04.960 --> 1:47:09.840]  i don't believe it what i did say was that he worked for the state department he worked for
[1:47:09.840 --> 1:47:15.280]  tom perriello and that's why i'm being sued and literally if you read the lawsuit itself
[1:47:15.280 --> 1:47:23.120]  that's why i'm being sued so one of the reasons i'm actually happy that alex jones is my co-defendant
[1:47:24.080 --> 1:47:30.080]  and alex may not want to hear this but i'm happy to have alex as a co-defendant because alex is
[1:47:30.080 --> 1:47:36.000]  one of the few people out there in the media who when he gets hit with a lawsuit like this
[1:47:36.560 --> 1:47:43.760]  he doesn't cower he doesn't hide under the bed and my mentor andre bryepard was a little bit
[1:47:43.760 --> 1:47:49.520]  like that as well and that's why you know i i like someone with some fight in them and i got the same
[1:47:49.520 --> 1:47:55.840]  fight myself and jim hoffed over a gateway pundit the same way so i've said this before
[1:47:55.840 --> 1:48:01.280]  but brennan gilmore you picked the wrong wrong people to sue sorry brennan you picked the wrong
[1:48:01.280 --> 1:48:08.240]  people to sue if you were counting on us shutting up and between with the audience that jim has and
[1:48:08.240 --> 1:48:13.600]  that alex has this is a lot of people you're trying to shut up i know you're a musician i
[1:48:13.600 --> 1:48:19.600]  know you play bluegrass i suggest you look into the stricand effect anyone can look that up and
[1:48:19.600 --> 1:48:24.720]  you'll see that's the effect where barbra stricand sued some people who took a helicopter picture
[1:48:24.720 --> 1:48:29.760]  of her estate and so what happened was everybody published the picture that's called the stricand
[1:48:29.760 --> 1:48:37.200]  effect and mr gilmore you're going to get it because your suit is an affront to anyone who
[1:48:37.200 --> 1:48:43.600]  believes in the first amendment you can't sue somebody for telling the truth just because you
[1:48:43.600 --> 1:48:50.720]  think one possible interpretation is that you work for the cia let's talk about some other
[1:48:50.720 --> 1:48:56.400]  political connections and by the way i challenge anybody just follow along with the facts look
[1:48:56.400 --> 1:49:00.960]  up what i'm about to show you and you'll find another interesting connection to charlotte's
[1:49:00.960 --> 1:49:07.280]  bill what does this mean i don't know but let's go ahead and take a look so i mentioned in the last
[1:49:07.280 --> 1:49:14.640]  segment that uh tom perriello has a pack called win virginia now remember brennan gilmore's worked
[1:49:14.640 --> 1:49:21.280]  closely with tom perriello as the chief of staff this win virginia pack if you look at the fundraising
[1:49:21.280 --> 1:49:29.360]  numbers uh the donors you'll see the one big donor there is dario marquez who i mentioned earlier
[1:49:29.360 --> 1:49:36.720]  but if you look at the top donor i believe you'll see the very two top donors are reid hoffman
[1:49:36.720 --> 1:49:46.400]  and technology for democracy llc now technology for democracy llc is effectively reid hoffman
[1:49:46.400 --> 1:49:52.800]  so who's reid hoffman this big donor of the pack here that perriello is ahead of reid hoffman is a
[1:49:52.800 --> 1:50:00.800]  big angel investor in silicon valley perhaps you've heard of one of his things which is linked in the
[1:50:00.800 --> 1:50:06.720]  big social media site for business people he's the guy behind that he's also one of the first
[1:50:06.720 --> 1:50:13.520]  investors and is still on the board of air b and b you're with me air b and b that's who reid hoffman
[1:50:13.520 --> 1:50:21.280]  is now why do i mention air b and b if you look back to the charlotte's bill unite the right
[1:50:21.280 --> 1:50:28.640]  rally that was the center of all this remember that happened on august 12th it began on august 11th
[1:50:28.640 --> 1:50:36.160]  but if you go back to about august 8th three days before the rally there was already a story
[1:50:36.160 --> 1:50:43.360]  that air b and b the same company that reid hoffman tom perriello's big donor at his win
[1:50:43.360 --> 1:50:50.400]  virginia pack right you'll see that air b and b that company made headlines across the country
[1:50:50.400 --> 1:50:57.040]  by saying that they had cancelled the memberships of people at the unite the right rally now i don't
[1:50:57.040 --> 1:51:03.440]  know if you're like me my friends on the right didn't know anything about the unite right the
[1:51:03.440 --> 1:51:09.760]  right rally in other words the people i know who read info wars bright bart daily caller and so on
[1:51:09.760 --> 1:51:16.080]  the people on the right we're not thinking about this remember this was like 200 largely white
[1:51:16.080 --> 1:51:22.080]  nationalists that's who's there about two 300 people not a big well attended event this was not
[1:51:22.080 --> 1:51:30.560]  like a tea party rally so what happened stories like this set a media narrative oh air b and b
[1:51:32.560 --> 1:51:37.360]  pulled out they don't want to they went it was making things more difficult for the people
[1:51:37.360 --> 1:51:46.320]  showing up to the rally so here's a question i have was there did reid hoffman at air b and b
[1:51:46.320 --> 1:51:53.680]  get the heads up from tom perriello does he know brendan gilmore a brendan gilmore
[1:51:53.680 --> 1:51:59.760]  reid hoffman i assume he does maybe i'm wrong but here's the beautiful thing about it right now
[1:51:59.760 --> 1:52:05.600]  they picked the wrong people to sue because now what i get to do since they sued me is i get to
[1:52:05.600 --> 1:52:11.920]  get brendan gilmore in a deposition and while i'm at it i think i probably need to depose his
[1:52:11.920 --> 1:52:18.160]  business partner david marquez i should probably also depose reid hoffman because he has a clear
[1:52:18.160 --> 1:52:24.560]  connection to the charlottesville thing i don't know what it means but now they can't duck my phone
[1:52:24.560 --> 1:52:31.440]  calls they can't avoid my emails as a reporter i'm used to that now they have to sit in a chair
[1:52:31.440 --> 1:52:38.400]  while i or someone representing me or better yet alex jones just picture that picture them
[1:52:38.400 --> 1:52:43.600]  under the bright deposition lights getting a few questions from alex about what their role is and
[1:52:43.600 --> 1:52:50.640]  about what they were doing that is an episode you're not going to want to miss now again i don't
[1:52:50.640 --> 1:52:55.920]  think they realize what they were doing i'm not saying i know what was going on the thing that
[1:52:55.920 --> 1:53:01.920]  drives me as a reporter is curiosity but i'm saying you can look it up yourself win virginia
[1:53:02.800 --> 1:53:10.240]  biggest donor reid hoffman oh and one other thing while you're looking that up look into a cia
[1:53:11.440 --> 1:53:20.400]  tech company an incubator if you will called intel what it's intel acue and if you look it up you'll
[1:53:20.400 --> 1:53:26.640]  see that another investment company that reid hoffman has something to do with called gray hawk
