[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[03:03:44.120 --> 03:04:00.120]  I, you know, I would hope so, but they think of themselves as kind of like the Star Wars, you know, rebels, the resistance, you know, they're justified, even if they lose, it's just to prepare for the next battle.
[03:04:00.120 --> 03:04:11.120]  So they can punch a baby in the face and like spray some capitalist, they have no rules, they're just, they realize they're total cowards.
[03:04:11.120 --> 03:04:24.120]  Right. Well, they're the real, I mean, they call us Nazis, but they're the real Nazis, like the, you know, the brown shirts they, so when they're hitting people, babies and stuff, it's, it's all justified because, you know, all we represent is evil to them.
[03:04:24.120 --> 03:04:33.120]  Well, to be honest, I'm not the toughest guy around. But if I see somebody punch a baby, I'm going to, I'm going to, I can't help it. It's not going to go well.
[03:04:33.120 --> 03:04:46.120]  So, yeah. But like you said, it happened before. That's what they do. We'll be back. The final set with our guests. Take a few more calls on the other side of this quick break news wars.com info wars.com with Dr. Nick baggage is taking over.
[03:04:46.120 --> 03:04:53.120]  If you imagine being a grown man who would attack a woman, I mean, that's a liberal though.
[03:04:53.120 --> 03:05:14.120]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by info wars life. Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber, a mixture of clinically studied and organic acacia fruit and flax fiber.
[03:05:14.120 --> 03:05:25.120]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients and even support your immune system.
[03:05:25.120 --> 03:05:32.120]  Info wars life's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[03:05:32.120 --> 03:05:47.120]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[03:05:47.120 --> 03:06:13.120]  Head to info wars life.com or call 1-888-253-3139.
[03:06:13.120 --> 03:06:18.120]  So, the foretold battle is now here.
[03:06:18.120 --> 03:06:22.120]  We're taking your phone calls for one more segment Dr. Nick baggage is taking over.
[03:06:22.120 --> 03:06:32.120]  We have joining us Rufio Padman at Rufio Padman PB on Facebook, Instagram Rufio underscore Padman.
[03:06:32.120 --> 03:06:46.120]  The point is the antifascist layer. There's I've seen a lot of boxing footage this this is right up there right up there with mom and I'll leave it's just great stuff like the wind up and then shoving him to his head slams on the ground.
[03:06:46.120 --> 03:06:52.120]  He's trying to kill you with a baton like I don't celebrate violence till you attack me then I'm all because I'm not I'm not offensive.
[03:06:52.120 --> 03:06:53.120]  I'm defensive.
[03:06:53.120 --> 03:06:55.120]  So do you want to beat somebody up for no reason?
[03:06:55.120 --> 03:06:59.120]  No, but you try to kill me then I'll really want to hurt you.
[03:06:59.120 --> 03:07:07.120]  And there's a lot of other footage as they run down the street I want to take some few phone calls but Rufio describe the atmosphere where the police just happened earlier.
[03:07:07.120 --> 03:07:14.120]  Heard everyone in to rather to have a big fight and then what Antifa did because we can't play all the footage or hours of it.
[03:07:14.120 --> 03:07:18.120]  Once you'd like broke that guy's job.
[03:07:18.120 --> 03:07:30.120]  Well, right when they're Antifa start throwing explosives. It seemed like that was when the cops kind of dispersed. They just kind of sit on the sidelines you can't even really see them in most of the videos.
[03:07:30.120 --> 03:07:43.120]  They're kind of off on the side but so that just left us to go and fight him as they charged us and we charged back after I knocked out that guy which I didn't even really fully realize until later when I saw the video.
[03:07:43.120 --> 03:07:49.120]  You can see that they start to disperse and run back to their side.
[03:07:49.120 --> 03:08:00.120]  As we started to, you know, take out one by one because you can't really see to the other side of the video that my guys are going to town on some of the other people that were attacking us.
[03:08:00.120 --> 03:08:08.120]  I've seen the videos it's amazing and there's the melee of them was this before after they like we're marching them down the street and led you guys together.
[03:08:08.120 --> 03:08:17.120]  This this that clip was at the tail end of the March. This was like right after they revoked our permit, which they should not have done.
[03:08:17.120 --> 03:08:24.120]  And we're really upset about that and and told us to get on the sidewalk and they weren't going to protect us basically.
[03:08:24.120 --> 03:08:38.120]  So that after that punch about five minutes later we with me marched back to the rally point at the park where DHS was the poem department of Homeland Security, which they did actually a pretty good job.
[03:08:38.120 --> 03:08:46.120]  Sure. So but imagine the cowardice that you knock out one of their people then they all run like in a real fight like you knock our lead guy we attack you.
[03:08:46.120 --> 03:08:50.120]  What is the psychology of you knock one out they all run.
[03:08:50.120 --> 03:08:54.120]  I mean, this is like the one guy willing to fight.
[03:08:54.120 --> 03:08:59.120]  Well, yeah, I mean, this is cops mentality of us, you know, if they took out one of our guys, we don't charge in.
[03:08:59.120 --> 03:09:03.120]  So that's what we it's kind of funny to watch.
[03:09:03.120 --> 03:09:09.120]  But exactly they're interesting for the opposite of ours. What is what is that?
[03:09:09.120 --> 03:09:13.120]  Well, it's just, you know, they're they don't know what they're not.
[03:09:13.120 --> 03:09:16.120]  They're not fighting for something they love.
[03:09:16.120 --> 03:09:22.120]  They're they're angry. They're they're fighting with anger and that can quickly turn to fear.
[03:09:22.120 --> 03:09:28.120]  And so that's when you're fighting somebody who loves their country and is fighting for their country and their people.
[03:09:28.120 --> 03:09:32.120]  You're going to that anger is going to quickly turn to fear.
[03:09:32.120 --> 03:09:35.120]  Exactly. But if you're fighting for love, you can't be beaten.
[03:09:35.120 --> 03:09:36.120]  Right. Exactly.
[03:09:36.120 --> 03:09:37.120]  Long term.
[03:09:37.120 --> 03:09:41.120]  I will take a few phone calls there, but that's really deep what you said.
[03:09:41.120 --> 03:09:44.120]  Who's up next year.
[03:09:44.120 --> 03:09:48.120]  Aaron and Michigan, Aaron, you're on the air. Go ahead.
[03:09:48.120 --> 03:09:49.120]  Hello.
[03:09:49.120 --> 03:09:51.120]  Yes, sir. Go ahead.
[03:09:51.120 --> 03:09:52.120]  How are you doing today?
[03:09:52.120 --> 03:09:56.120]  I'm good, man. We're starting to turn the tide here. I'm doing really good.
[03:09:56.120 --> 03:09:59.120]  I support you financially as much as I can.
[03:09:59.120 --> 03:10:00.120]  Thank you, brother.
[03:10:00.120 --> 03:10:08.120]  But I feel I feel like you were talking to me earlier when you said that we need to get off the wall and start to do more.
[03:10:08.120 --> 03:10:13.120]  Because I stay trained for when that moment comes.
[03:10:13.120 --> 03:10:19.120]  But what else more could we do as a patriot of this great country?
[03:10:19.120 --> 03:10:22.120]  I asked that question because I need to be innovative. I don't know.
[03:10:22.120 --> 03:10:28.120]  Rufio Panman, you're on the front lines. You're taking action. What should we do?
[03:10:28.120 --> 03:10:33.120]  Well, at the very least, you know, get involved with other like-minded men.
[03:10:33.120 --> 03:10:38.120]  It's, you know, we were all individuals at some point, but the strength comes when we can get together.
[03:10:38.120 --> 03:10:45.120]  And it's really easy these days that we let the, you know, the technology that we have to be able to network with each other.
[03:10:45.120 --> 03:10:46.120]  I mean, Proud Boys is-
[03:10:46.120 --> 03:10:49.120]  Exactly. The globalist fear men.
[03:10:49.120 --> 03:10:52.120]  Why? Because men are ready to fight.
[03:10:52.120 --> 03:11:01.120]  Yeah. And, you know, just even if you come out to, I just, you know, I encourage anybody to come out to rally,
[03:11:01.120 --> 03:11:06.120]  even if you can't come on a regular basis, just to see firsthand, you know, what it is that we're facing.
[03:11:06.120 --> 03:11:08.120]  Because that you should-
[03:11:08.120 --> 03:11:14.120]  You know, when you see that, you're going to envision what your children are going to be seeing if you don't do anything.
[03:11:14.120 --> 03:11:17.120]  You know, I see this God always gives us a reprieve.
[03:11:17.120 --> 03:11:23.120]  And if we don't beat this now, can you imagine in 20 years what's going to be like?
[03:11:23.120 --> 03:11:25.120]  Yeah, exactly.
[03:11:25.120 --> 03:11:29.120]  God Almighty. I mean, men that will beat up women and children.
[03:11:29.120 --> 03:11:31.120]  I mean, these aren't men. These are.
[03:11:31.120 --> 03:11:35.120]  God, you look at these Antifa people. They're just-
[03:11:35.120 --> 03:11:39.120]  The crazy thing is, none of them would fight you over a thousand Antifa.
[03:11:39.120 --> 03:11:43.120]  They sent the- in the old days, like Elle Sins, a movie with a speciality story,
[03:11:43.120 --> 03:11:47.120]  they sent- they would send their champion to fight your champion instead of having a whole war.
[03:11:47.120 --> 03:11:50.120]  That makes sense. They send their champion out. He's a big guy.
[03:11:50.120 --> 03:11:54.120]  You break his jaw in the first deal, then they all cave in.
[03:11:54.120 --> 03:12:00.120]  That- shouldn't they get like, wow, we're really wimps. Everywhere we go, we get destroyed.
[03:12:00.120 --> 03:12:04.120]  Can't they just realize that they're in a cult of weakness?
[03:12:04.120 --> 03:12:09.120]  I wish that they would. I think they find strength in numbers,
[03:12:09.120 --> 03:12:14.120]  and they try to intimidate people in numbers that, you know, they'll take over a city.
[03:12:14.120 --> 03:12:17.120]  And with the cops standing down, you know, in a lot of- in a lot of cases, they'll-
[03:12:17.120 --> 03:12:20.120]  they'll win when it's a situation where people are outnumbered.
[03:12:20.120 --> 03:12:24.120]  They, you know, just your average citizen isn't going to want to stand up against, you know,
[03:12:24.120 --> 03:12:28.120]  a hundred plus Antifa dressed in all black with masks and weapons.
[03:12:28.120 --> 03:12:32.120]  It's just- and that's- it's being encouraged in a lot of these cities.
[03:12:32.120 --> 03:12:35.120]  So there's not really much, you know, the average person can do.
[03:12:35.120 --> 03:12:38.120]  So it takes, you know, men standing up and showing up to these things
[03:12:38.120 --> 03:12:40.120]  and standing against these people.
[03:12:40.120 --> 03:12:44.120]  It takes men. Andrew in Washington.
[03:12:44.120 --> 03:12:47.120]  Andrew, thanks for holding her on the air.
[03:12:47.120 --> 03:12:51.120]  Hey, thanks, Alex. I just want to say it does take great courage, man.
[03:12:51.120 --> 03:12:58.120]  I went to the Mariners game on the fourth, and I was wearing my Donald Trump 2020
[03:12:58.120 --> 03:13:02.120]  Infant Wars t-shirt. But I want to say I think the tide is turning
[03:13:02.120 --> 03:13:06.120]  because I went there fully expecting a fight at my youngest son there with me
[03:13:06.120 --> 03:13:09.120]  and he was legitimately scared.
[03:13:09.120 --> 03:13:13.120]  But I got nothing but high fives and hugs,
[03:13:13.120 --> 03:13:18.120]  and everybody just wanted to take pictures, and it was crazy.
[03:13:18.120 --> 03:13:21.120]  Well, that's a paradox. I know I agree.
[03:13:21.120 --> 03:13:24.120]  I'll walk down the street in a Trump shirt, or just who I am,
[03:13:24.120 --> 03:13:27.120]  and 30, 40 people, black, white, Hispanic, love me.
[03:13:27.120 --> 03:13:30.120]  And then, like, when you least expect it, somebody, like, comes over and attacks you.
[03:13:30.120 --> 03:13:32.120]  And then that's the great thing, though.
[03:13:32.120 --> 03:13:35.120]  They think the bullying is dominating us.
[03:13:35.120 --> 03:13:37.120]  Like, we're them because they would be per pressure.
[03:13:37.120 --> 03:13:40.120]  So that's a great point. Let me ask our guest here,
[03:13:40.120 --> 03:13:43.120]  Rufio Panman, who knocked out the main commie leader at the Antifa.
[03:13:43.120 --> 03:13:45.120]  Where do they not get that paradox?
[03:13:45.120 --> 03:13:50.120]  If they think we're like them caring about what people say,
[03:13:50.120 --> 03:13:53.120]  they have no inner compass.
[03:13:53.120 --> 03:13:58.120]  Um, I don't know. It's really hard to understand my thinking.
[03:13:58.120 --> 03:14:01.120]  I would...
[03:14:01.120 --> 03:14:06.120]  It's really hard to explain to people, you know, their mentality and their hope,
[03:14:06.120 --> 03:14:08.120]  and so I'm still trying to figure it out, but...
[03:14:08.120 --> 03:14:12.120]  No, it's hard to describe the cowardice of that level.
[03:14:12.120 --> 03:14:14.120]  Yeah, right.
[03:14:14.120 --> 03:14:15.120]  Yeah, and I mean...
[03:14:15.120 --> 03:14:17.120]  Like attacking women and children.
[03:14:17.120 --> 03:14:20.120]  It's really hard to get to that level.
[03:14:20.120 --> 03:14:23.120]  Yeah, the mainstream media is portraying that, you know,
[03:14:23.120 --> 03:14:28.120]  if you're Trump supporter, that you're few and far between.
[03:14:28.120 --> 03:14:32.120]  And so, like that guy was saying, you're going out in the public expecting people to hate you
[03:14:32.120 --> 03:14:38.120]  when really a lot of people, you know, are in favor of what's going on being patriotism
[03:14:38.120 --> 03:14:41.120]  or being patriot and, you know, standing up for what's right.
[03:14:41.120 --> 03:14:46.120]  But they're just afraid because the mainstream media is always pushing this narrative that, you know, we're evil.
[03:14:46.120 --> 03:14:48.120]  I agree. So, Andrew, what was it like?
[03:14:48.120 --> 03:14:52.120]  I mean, how many positive contacts versus negative?
[03:14:52.120 --> 03:14:54.120]  Honestly, I would say, I got...
[03:14:54.120 --> 03:14:56.120]  I didn't even see any dirty look.
[03:14:56.120 --> 03:14:57.120]  I was getting high fives.
[03:14:57.120 --> 03:14:58.120]  My son was...
[03:14:58.120 --> 03:14:59.120]  He was amazed.
[03:14:59.120 --> 03:15:01.120]  He was like, wow, dad, you're right.
[03:15:01.120 --> 03:15:02.120]  You're right. Everybody does love Trump.
[03:15:02.120 --> 03:15:04.120]  And I was like, this is downtown Seattle.
[03:15:04.120 --> 03:15:05.120]  And I was...
[03:15:05.120 --> 03:15:09.120]  So you passed through the mental intimidation.
[03:15:09.120 --> 03:15:13.120]  You went into a public venue with your son, taking your guts with you.
[03:15:13.120 --> 03:15:18.120]  Everything exact, your children to battle and you won, which shows the example.
[03:15:18.120 --> 03:15:20.120]  I want to salute you, Andrew.
[03:15:20.120 --> 03:15:24.120]  I want to salute Raphael, Rufio, Panman, all he's doing.
[03:15:24.120 --> 03:15:25.120]  I want to thank you all.
[03:15:25.120 --> 03:15:27.120]  Dr. Nick Beggars has taken over.
[03:15:27.120 --> 03:15:29.120]  But hey, come to Austin next few weeks, my friend.
[03:15:29.120 --> 03:15:31.120]  We really appreciate you.
[03:15:31.120 --> 03:15:34.120]  Thank you.
[03:15:34.120 --> 03:15:37.120]  Well, red blood is still red, ladies and gentlemen.
[03:15:37.120 --> 03:15:40.120]  And we are winning and human destiny is there.
[03:15:40.120 --> 03:15:44.120]  So I want to salute our guests, our producers, our crew, everybody.
[03:15:44.120 --> 03:16:10.120]  Taken over is Dr. Nick Beggars in four minutes, infowars.com.
[03:16:44.120 --> 03:16:51.120]  This is Dr. Nick Beggars.
[03:17:14.120 --> 03:17:26.120]  Tired of being censored by Facebook, YouTube, Twitter and Patreon?
[03:17:26.120 --> 03:17:28.120]  Well, now you don't have to be.
[03:17:28.120 --> 03:17:33.120]  Oneway.com is the free speech and human friendly social network built just for you.
[03:17:33.120 --> 03:17:35.120]  Stop feeding the beast.
[03:17:35.120 --> 03:17:43.120]  Every post you make on those evil, anti-human, anti-American perverted sites helps them destroy our families, our country and our souls.
[03:17:43.120 --> 03:17:46.120]  Join Oneway today and take back your liberty.
[03:17:46.120 --> 03:17:50.120]  Your free speech alternative is waiting for you at Oneway.com.
[03:17:50.120 --> 03:17:54.120]  Oneway.com.
[03:17:54.120 --> 03:17:58.120]  Living in volcano may sound more dramatic than it really is.
[03:17:58.120 --> 03:18:01.120]  The real drama can be found here in Leilani Estates.
[03:18:01.120 --> 03:18:04.120]  But a lot of us on the Big Island rely on rainwater.
[03:18:04.120 --> 03:18:07.120]  And we need to be concerned about ash and acid rain.
[03:18:07.120 --> 03:18:11.120]  Volcanic ash may contain heavy metal particles.
[03:18:11.120 --> 03:18:15.120]  And acid rain could lower the pH of the water to unhealthy levels.
[03:18:15.120 --> 03:18:21.120]  To find out, we employed a series of tests for heavy metals, alkalinity and pH.
[03:18:21.120 --> 03:18:27.120]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[03:18:27.120 --> 03:18:31.120]  Next, we tested the water from our Alexa pure gravity filter.
[03:18:31.120 --> 03:18:38.120]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[03:18:38.120 --> 03:18:43.120]  As it turns out, the filter on the Alexa pure raises the pH of the water.
[03:18:43.120 --> 03:18:49.120]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[03:18:49.120 --> 03:18:54.120]  But more importantly, a good water filtration system will purify it.
[03:18:54.120 --> 03:19:00.120]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing
[03:19:00.120 --> 03:19:04.120]  to find the very best systems that God gave us through Mother Nature to detoxify the body.
[03:19:04.120 --> 03:19:09.120]  That's why I'm introducing Z Shield, Toxic Metal and Chemical Defense Support.
[03:19:09.120 --> 03:19:16.120]  It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body
[03:19:16.120 --> 03:19:19.120]  and it supports the M4. It is a classical 360 win.
[03:19:19.120 --> 03:19:23.120]  This is the formula that I personally have been taking for over a year.
[03:19:23.120 --> 03:19:29.120]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[03:19:29.120 --> 03:19:34.120]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world
[03:19:34.120 --> 03:19:39.120]  that patriots stay as healthy and as clean and as focused as you can be
[03:19:39.120 --> 03:19:44.120]  because we need you, the remnant of America, to reignite those brush fires the next level
[03:19:44.120 --> 03:19:46.120]  and to be healthy and as focused as you can be.
[03:19:46.120 --> 03:19:49.120]  Thanks to your support and your prayers together, we're changing the world.
[03:19:49.120 --> 03:20:00.120]  Now it's time to change our bodies with Z Shield and M4sLive.com.
[03:20:19.120 --> 03:20:35.120]  Crashing through the lies and disinformation, it's Alex Jones.
[03:20:35.120 --> 03:20:41.120]  And welcome back to M4s.com and I'm Dr. Nick Beggis standing in today for this last hour.
[03:20:41.120 --> 03:20:49.120]  And I want to talk about another contrarian view of the world. I really appreciate the last segment.
[03:20:49.120 --> 03:20:54.120]  I'm probably going to violate all of the political correctness issues today
[03:20:54.120 --> 03:21:00.120]  because I want to talk about climate change from a very different perspective
[03:21:00.120 --> 03:21:03.120]  than what we're all hearing in the mass media.
[03:21:03.120 --> 03:21:12.120]  And in fact, I went back and I reviewed a video I produced now 14 years ago before the second today
[03:21:12.120 --> 03:21:15.120]  and actually I wouldn't change a thing.
[03:21:15.120 --> 03:21:21.120]  What I said then, I'm going to repeat again a little bit today with some of the newer overlays
[03:21:21.120 --> 03:21:26.120]  in terms of what is happening, but I'm not holding man responsible.
[03:21:26.120 --> 03:21:35.120]  In fact, the biggest influence on climate change today, and I want to say this really loudly, is mother nature.
[03:21:35.120 --> 03:21:42.120]  It's not us. In fact, greenhouse gases, when you look at greenhouse gases in the environment,
[03:21:42.120 --> 03:21:47.120]  97% of these are created naturally by natural processes.
[03:21:47.120 --> 03:21:54.120]  According to BBC, 3% or less, some estimates as low as 1% are created by man.
[03:21:54.120 --> 03:22:05.120]  If we wiped out every single source of pollutants being blamed for ozone depletion as an example,
[03:22:05.120 --> 03:22:10.120]  it would make 1% difference. You wouldn't even notice the difference
[03:22:10.120 --> 03:22:17.120]  because the natural cycle is moving faster than man could ever hope to keep up.
[03:22:17.120 --> 03:22:19.120]  So I want to talk a little bit about that.
[03:22:19.120 --> 03:22:25.120]  I want to talk about integrating some of the thoughts on this over this remaining segment today
[03:22:25.120 --> 03:22:33.120]  because I really believe that the political correctness approach in science fundamentally is wrong.
[03:22:33.120 --> 03:22:37.120]  It goes back even to the age of enlightenment over 500 years ago
[03:22:37.120 --> 03:22:42.120]  where if you weren't politically correct in those days, they burned you at this date.
[03:22:42.120 --> 03:22:46.120]  I can tell you, it really hasn't changed much at all.
[03:22:46.120 --> 03:22:52.120]  In fact, up on the screen now we're talking about Arctic sea loss, ice loss in the north.
[03:22:52.120 --> 03:22:59.120]  This is 40% of the glaciers in my lifetime have disappeared from Alaska.
[03:22:59.120 --> 03:23:04.120]  40% of the Arctic has disappeared in 40 years.
[03:23:04.120 --> 03:23:15.120]  Now, one of the often cited statistics about global warming is the oceans are going to rise 3 feet in 100 years.
[03:23:15.120 --> 03:23:18.120]  Now, that's a lot of distance, right? 3 feet.
[03:23:18.120 --> 03:23:22.120]  I mean, that's a pretty good amount of ocean people on the coast.
[03:23:22.120 --> 03:23:24.120]  That would make a huge difference.
[03:23:24.120 --> 03:23:31.120]  But historically, I want to go back in time, 12,000 years back to the last icy
[03:23:31.120 --> 03:23:38.120]  where I'm sitting right now in Anchorage Alaska, there was 4,000 feet of ice on top of me
[03:23:38.120 --> 03:23:43.120]  right here in this very spot, 12,000 years ago, a flash.
[03:23:43.120 --> 03:23:49.120]  In fact, if you look up ice age and ocean depths by the leading scientists in the world,
[03:23:49.120 --> 03:24:00.120]  they're going to say that the oceans, because all that ice was taken up, were 350 feet lower.
[03:24:00.120 --> 03:24:06.120]  You know what that figures out to? 2.91 feet per 100 years.
[03:24:06.120 --> 03:24:08.120]  Just about 3 feet.
[03:24:08.120 --> 03:24:11.120]  Just kind of what they're predicting for the next 100 years.
[03:24:11.120 --> 03:24:17.120]  But I guarantee you there weren't any automobiles driving around 12,000 years ago when all this started.
[03:24:17.120 --> 03:24:19.120]  This is, in fact, the natural cycle.
[03:24:19.120 --> 03:24:27.120]  Here in Alaska, going back, not very far back historically, go back only 4,000 years.
[03:24:27.120 --> 03:24:34.120]  About the time the Egyptians were doing things in Egypt that we all read about today.
[03:24:34.120 --> 03:24:42.120]  That's kind of the dotting of modern culture 4,000 years ago, and you know the last mastodons
[03:24:42.120 --> 03:24:48.120]  were disappearing from an island off the coast of Alaska only 4,000 years ago.
[03:24:48.120 --> 03:24:53.120]  12,000 years ago, we had saber tooth tigers, we had horses, we had mastodons.
[03:24:53.120 --> 03:25:00.120]  We had a lot of animals that are extinct now, and we didn't do it.
[03:25:00.120 --> 03:25:04.120]  It was nature. Nature, just 12,000 years ago, everything changed.
[03:25:04.120 --> 03:25:12.120]  Now there are those that are saying that man overhunted mastodon, you know, took our spears and we just wiped them right out.
[03:25:12.120 --> 03:25:16.120]  I'm sorry. I kind of don't buy that.
[03:25:16.120 --> 03:25:20.120]  If you look, again, the big changes that happened.
[03:25:20.120 --> 03:25:24.120]  It almost like there was this quick freeze that happened.
[03:25:24.120 --> 03:25:32.120]  Because in the Soviet Arctic, the old Russian Arctic today, they dug up frozen mastodon.
[03:25:32.120 --> 03:25:36.120]  They were like flash frozen with food in their mouth, this kind of thing.
[03:25:36.120 --> 03:25:43.120]  Where we were able to look at those creatures and go, what happened so rapidly 12,000 years ago?
[03:25:43.120 --> 03:25:47.120]  Well, there's a number of things that were going on.
[03:25:47.120 --> 03:25:55.120]  If you go back 12,000 years ago, the pole was just shifted to its present location, the magnetic pole.
[03:25:55.120 --> 03:26:00.120]  In fact, the pole was centered at the bottom of Hudson Bay in Canada.
[03:26:00.120 --> 03:26:12.120]  Now if you were to look at a map of Hudson Bay and think about the pole being there and the Arctic ice kind of moving out from that area and covering the planet,
[03:26:12.120 --> 03:26:17.120]  you would have glaciers ending somewhere in Iowa, even as far south as Missouri.
[03:26:17.120 --> 03:26:22.120]  And guess what? 12,000 years ago, that's exactly what we had.
[03:26:22.120 --> 03:26:30.120]  If you go back 50,000 years ago, the pole was off the coast of Norway in terms of magnetic pole.
[03:26:30.120 --> 03:26:40.120]  And if you think about the ice mass there 50,000 years ago, wow, that would make Alaska a lot warmer than it is today, at least in certain portions.
[03:26:40.120 --> 03:26:45.120]  You know, 50,000 years ago, we had lions in Alaska.
[03:26:45.120 --> 03:26:46.120]  Can you believe it?
[03:26:46.120 --> 03:26:47.120]  Lions.
[03:26:47.120 --> 03:26:53.120]  Now up on the screen, for those that are able to see the visual, you've got Hudson Bay in Canada.
[03:26:53.120 --> 03:26:58.120]  If you were to stretch out from there, you get a perspective on the country.
[03:26:58.120 --> 03:27:05.120]  But again, when you look at the ice footprint, so to speak, and what else could be accelerating its melting?
[03:27:05.120 --> 03:27:14.120]  You know, back in 2004, they discovered venting, volcanic venting in the Arctic.
[03:27:14.120 --> 03:27:16.120]  And they attribute this now.
[03:27:16.120 --> 03:27:19.120]  Oh, well, this is melting the ice from underneath.
[03:27:19.120 --> 03:27:20.120]  Of course it is.
[03:27:20.120 --> 03:27:22.120]  Pretty rapid rate.
[03:27:22.120 --> 03:27:31.120]  In fact, if you look at the rate of melt, this really begins to appeal for a great deal of the thinning of the ice sheet.
[03:27:31.120 --> 03:27:39.120]  More recently, we've heard the most recent reports coming out of the Antarctic going far to the south, the southern pole.
[03:27:39.120 --> 03:27:49.120]  They discovered and have charted 121 new volcanoes under the western side of the Arctic, where the ice sheet is melting the most rapidly.
[03:27:49.120 --> 03:27:54.120]  Some of these are actually discharging heat under that ice.
[03:27:54.120 --> 03:28:02.120]  And let me tell you, that heat has nowhere to go until it's neutralized, which means it is eliminating ice at an incredible rate.
[03:28:02.120 --> 03:28:10.120]  One serious volcanic eruption of any consequence in the Antarctic would accelerate that melt dramatically.
[03:28:10.120 --> 03:28:20.120]  You know, when you think about these other factors contributing to global warming and the changes that we're witnessing and what those changes then breed,
[03:28:20.120 --> 03:28:24.120]  we're going to get more into as the program continues.
[03:28:24.120 --> 03:28:26.120]  You're listening to Imple Wars.
[03:28:26.120 --> 03:28:33.120]  This is Dr. Mick Beggage standing in this last hour, where our heat is sounding the alarm.
[03:28:33.120 --> 03:28:53.120]  We'll be back shortly after this.
[03:28:53.120 --> 03:29:03.120]  Healthcare reform is confusing, but whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the health care system has become a challenge.
[03:29:03.120 --> 03:29:07.120]  Control your own health care costs and choices with Liberty Health Share.
[03:29:07.120 --> 03:29:09.120]  Liberty Health Share is not insurance.
[03:29:09.120 --> 03:29:16.120]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs, neighbor helping neighbor.
[03:29:16.120 --> 03:29:19.120]  Learn more now by going to libertyoncall.org.
[03:29:19.120 --> 03:29:22.120]  That's libertyoncall.org.
[03:29:22.120 --> 03:29:23.120]  It's a no-brainer.
[03:29:23.120 --> 03:29:26.120]  A Big Berkey water filter is the one you need, period.
[03:29:26.120 --> 03:29:34.120]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA, and other endocrine disruptors, pesticides, bacteria, viruses, and much more, right?
[03:29:34.120 --> 03:29:36.120]  And does it all at only 2 cents per gallon.
[03:29:36.120 --> 03:29:39.120]  Get the original, most trusted name in gravity water filtration, Big Berkey.
[03:29:39.120 --> 03:29:44.120]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[03:29:44.120 --> 03:29:49.120]  Call or click 1-877-99 Berkey, or bigberkeywaterfilters.com.
[03:29:49.120 --> 03:29:52.120]  Call or click 1-877-99 Berkey.
[03:30:20.120 --> 03:30:29.120]  And now because of their intensifying censorship, it's more important than ever that everyone go to infowars.com forward slash newsletter and sign up via email.
[03:30:29.120 --> 03:30:35.120]  So there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[03:30:35.120 --> 03:30:43.120]  And so now I ask you more than ever to share the infowars.com articles, to share the videos, to tell people about the local stations you're listening to.
[03:30:43.120 --> 03:30:50.120]  The bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[03:30:50.120 --> 03:31:16.120]  We are the Renaissance, and we are winning.
[03:31:16.120 --> 03:31:24.120]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[03:31:24.120 --> 03:31:30.120]  A powerful, pregnant-owned base, the real red pill, has quickly become one of our fellow infowars' favorite products.
[03:31:30.120 --> 03:31:41.120]  Now, with an extra proprietary energy blend inside, including green tea extract, your Ramate leaf extract, and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[03:31:41.120 --> 03:31:50.120]  It's got all the great stuff that real red pill has, but it's also got the boost added. Get the real red pill plus at infowarsstore.com.
[03:32:12.120 --> 03:32:20.120]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically-studied probiotic strains.
[03:32:20.120 --> 03:32:31.120]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:32:31.120 --> 03:32:44.120]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins. There's no better time to try Fluorolife and carnivore to see how well they can support your body.
