[00:00.000 --> 00:22.000]  Another world, another time, In the age of wonder, another world, another time,
[1:25:13.000 --> 1:25:16.000]  I talked about we have to have a strong military.
[1:25:16.000 --> 1:25:18.000]  We have to have strong law enforcement also.
[1:25:18.000 --> 1:25:19.000]  All right.
[1:25:19.000 --> 1:25:20.000]  Let's stop right there.
[1:25:20.000 --> 1:25:21.000]  So we do not go –
[1:25:21.000 --> 1:25:23.000]  There's more of the press conference coming up.
[1:25:23.000 --> 1:25:26.000]  That's from about 10 minutes ago because we can obviously go back to the beginning.
[1:25:26.000 --> 1:25:29.000]  And we'll have some of the excerpts for you of some of the press conference.
[1:25:29.000 --> 1:25:33.000]  We have a live feed of it at infowars.com if you want to look at it.
[1:25:33.000 --> 1:25:38.000]  The reason I've got so upset is things couldn't be more historical.
[1:25:38.000 --> 1:25:40.000]  Never in the history of the world has something gone on like this.
[1:25:40.000 --> 1:25:42.000]  I mean, this is unbelievable.
[1:25:42.000 --> 1:25:51.000]  And never before have we had such crazed, crazy, evil, corrupt people in charge who were so arrogant
[1:25:51.000 --> 1:25:54.000]  that the outgoing CIA director told the president, watch his mouth.
[1:25:54.000 --> 1:25:58.000]  I mean, this is just total belligerence by the hijackers of this country.
[1:25:58.000 --> 1:26:05.000]  I want to be clear whether it's the NSA or the CIA or Defense Intelligence or on and on and on.
[1:26:05.000 --> 1:26:08.000]  It's just people like you and I.
[1:26:08.000 --> 1:26:13.000]  But when you get into these globalists and these neocons and these leftists,
[1:26:13.000 --> 1:26:15.000]  they all support world government.
[1:26:15.000 --> 1:26:21.000]  And they all want to be the technocrat class that serves the big mega banks, serves the big Googles.
[1:26:21.000 --> 1:26:24.000]  And the rest of us just don't exist.
[1:26:24.000 --> 1:26:27.000]  They're a bunch of very, very selfish, very, very evil people.
[1:26:27.000 --> 1:26:34.000]  And it'd be one thing if they were like super strong and doing some great things and venting all this stuff.
[1:26:34.000 --> 1:26:36.000]  And then they said, oh, you're all ugly. You're going to kill you.
[1:26:36.000 --> 1:26:38.000]  I'd still fight back because I want to survive.
[1:26:38.000 --> 1:26:45.000]  It's like they're the worst scum that snuck in and used our goodwill and our blind spot to hijack civilization.
[1:26:45.000 --> 1:26:47.000]  And now we're telling us we don't have a place in the future.
[1:26:47.000 --> 1:26:49.000]  Hey, I got a little newsflash for you.
[1:26:49.000 --> 1:26:53.000]  If you want me to die.
[1:26:53.000 --> 1:26:57.000]  No, no, no, you will die.
[1:26:57.000 --> 1:26:59.000]  I don't mean that as some physical threat.
[1:26:59.000 --> 1:27:02.000]  I don't say things I don't then carry out or attempt to carry out.
[1:27:02.000 --> 1:27:08.000]  I'm saying metaphysically, historically, those that live by the sword, die by the sword.
[1:27:08.000 --> 1:27:11.000]  And that doesn't just mean if you are in the military to die by the sword.
[1:27:11.000 --> 1:27:14.000]  It means if you live by it, you're out taking with it.
[1:27:14.000 --> 1:27:19.000]  So I'm putting the word out and then God's going to take care of everything.
[1:27:19.000 --> 1:27:22.000]  But that means working through men and women.
[1:27:22.000 --> 1:27:28.000]  Then said Jesus unto them, put up again, thy sword into his place.
[1:27:28.000 --> 1:27:32.000]  For all they that take the sword shall perish with the sword.
[1:27:32.000 --> 1:27:35.000]  They also said go forth and buy a sword.
[1:27:35.000 --> 1:27:37.000]  So it's all very sophisticated.
[1:27:37.000 --> 1:27:39.000]  You have to have discernment to understand it.
[1:27:39.000 --> 1:27:43.000]  It's written so that the profane or the wicked ones don't understand it.
[1:27:43.000 --> 1:27:45.000]  And to them it's all a big joke.
[1:27:45.000 --> 1:27:48.000]  You can pull up those Bible verses as well.
[1:27:48.000 --> 1:27:52.000]  He that leadeth unto captivity shall go into captivity.
[1:27:52.000 --> 1:27:54.000]  He that killeth with the sword must be killed with the sword.
[1:27:54.000 --> 1:27:57.000]  Here is the patience and the faith of the saints.
[1:27:57.000 --> 1:28:01.000]  That's King James, Revelation 1310.
[1:28:01.000 --> 1:28:10.000]  That's speaking about specifically bondage and enslavement by the Antichrist forces against Christians.
[1:28:10.000 --> 1:28:12.000]  It made no mistake.
[1:28:12.000 --> 1:28:16.000]  All of this is preparation for humanity to face much bigger threats.
[1:28:16.000 --> 1:28:22.000]  If we have victory over this at this point, still, there are much greater threats coming on the road.
[1:28:22.000 --> 1:28:30.000]  But this is an example of the ebb and flow and history of good and evil.
[1:28:30.000 --> 1:28:34.000]  It says, is Twitter censoring positive replies to Donald Trump's tweets?
[1:28:34.000 --> 1:28:36.000]  Paul Watson has done his article.
[1:28:36.000 --> 1:28:38.000]  I've talked to people who know about Twitter and how it works.
[1:28:38.000 --> 1:28:39.000]  I just want to use it.
[1:28:39.000 --> 1:28:42.000]  I call myself on a scale of 1 to 10 knowing how Twitter works, maybe a 2.
[1:28:42.000 --> 1:28:43.000]  But I've talked to Twitter experts.
[1:28:43.000 --> 1:28:45.000]  They say it's definitely going on.
[1:28:45.000 --> 1:28:50.000]  They just put the negative ones at the top and then, you know, so that way he doesn't respond to people.
[1:28:50.000 --> 1:28:55.000]  Twitter appears to be censoring positive replies to President Donald Trump's tweets and only showing negative responses.
[1:28:55.000 --> 1:28:57.000]  Yeah, this has been going on for weeks.
[1:28:57.000 --> 1:28:59.000]  I've gone back and looked.
[1:28:59.000 --> 1:29:02.000]  So Paul documents all that.
[1:29:02.000 --> 1:29:14.000]  I'm going to take liberty and just point out that we should probably change the headline and say clear evidence shows they're censoring the responses to his tweets and manipulating his Twitter account.
[1:29:14.000 --> 1:29:18.000]  I mean, that's really the big issue is they're manipulating the Twitter account.
[1:29:18.000 --> 1:29:20.000]  You've got screenshots of all this.
[1:29:20.000 --> 1:29:24.000]  And they admit they're starting to gauge everything and govern it and manipulate it.
[1:29:24.000 --> 1:29:25.000]  I mean, it's been going on a while now.
[1:29:25.000 --> 1:29:29.000]  They're just rolling it out, which means even more war stuff is about to happen.
[1:29:29.000 --> 1:29:36.000]  We're going to come back with our special guest getting into General Flynn and how it was tied into a piece of gate straight ahead.
[1:29:36.000 --> 1:29:39.000]  And please support us and spread the links in the articles.
[1:29:39.000 --> 1:29:42.000]  They may try to censor us on big platforms, but we're huge as well.
[1:29:42.000 --> 1:29:50.000]  So spread those links from M4Wars.com and PrisonPlanet.com and spread the link to M4Wars.com for its last show so folks can find the broadcast.
[1:29:50.000 --> 1:29:53.000]  We're on the march. The Empire's on the run.
[1:29:53.000 --> 1:30:21.000]  Alex Jones and the GCN Radio Network.
[1:30:21.000 --> 1:30:36.000]  We're on the run.
[1:30:36.000 --> 1:31:01.000]  We're on the run.
[1:31:01.000 --> 1:31:30.000]  We're on the run.
[1:31:30.000 --> 1:31:33.000]  We use cell phones against our heads every day.
[1:31:33.000 --> 1:31:40.000]  But now a landmark US government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[1:31:40.000 --> 1:31:42.000]  The time to protect yourself is now.
[1:31:42.000 --> 1:31:44.000]  The solution is Defender Shield.
[1:31:44.000 --> 1:31:51.000]  Proudly made in the USA, Defender Shield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[1:31:51.000 --> 1:31:53.000]  Buy now at DefenderShield.com.
[1:31:53.000 --> 1:31:55.000]  Use discount code Defender for 10% off.
[1:31:55.000 --> 1:32:00.000]  DefenderShield.com, the worldwide leader in EMF radiation protection.
[1:32:25.000 --> 1:32:28.000]  The body is saying that it is time to take Extendivite.
[1:32:28.000 --> 1:32:30.000]  These are not the normal signs of aging.
[1:32:30.000 --> 1:32:33.000]  They are the warning signs that accompany blocked arteries.
[1:32:33.000 --> 1:32:35.000]  Get your Extendivite today.
[1:32:35.000 --> 1:32:41.000]  Extendivite is available in capsule or liquid form for just $69.95 for a two-month supply.
[1:32:41.000 --> 1:32:46.000]  To get started, call 1-877-928-8822.
[1:32:46.000 --> 1:32:54.000]  That's 1-877-928-8822 or visit heartdrop.com.
[1:32:54.000 --> 1:32:59.000]  Extend your life with Extendivite.
[1:33:24.000 --> 1:33:38.000]  We're going to talk to former CIA field operative.
[1:33:38.000 --> 1:33:41.000]  That means he wasn't just one of the little analysts up there calling for Trump's overthrow.
[1:33:41.000 --> 1:33:42.000]  He's a tough guy.
[1:33:42.000 --> 1:33:46.000]  He's going to be breaking down just the whole waterfront.
[1:33:46.000 --> 1:33:48.000]  I don't know all of his views on this.
[1:33:48.000 --> 1:33:49.000]  I've read some of it.
[1:33:49.000 --> 1:33:50.000]  It's pretty controversial.
[1:33:50.000 --> 1:33:51.000]  A lot of it ties in information.
[1:33:51.000 --> 1:33:52.000]  I know it's true.
[1:33:52.000 --> 1:33:53.000]  I respect the guy.
[1:33:53.000 --> 1:34:00.000]  We're going to get his take on this and how Flynn's resignation ties into the whole battle to take out the pedophiles.
[1:34:00.000 --> 1:34:02.000]  I know Flynn was pushing for that.
[1:34:02.000 --> 1:34:03.000]  So is Sessions and others.
[1:34:03.000 --> 1:34:07.000]  You see the pedophiles getting rolled up around the country and around the world.
[1:34:07.000 --> 1:34:08.000]  We told you that was coming.
[1:34:08.000 --> 1:34:11.000]  So there is a huge civil war inside the government going on right now.
[1:34:11.000 --> 1:34:13.000]  It's very sophisticated.
[1:34:13.000 --> 1:34:16.000]  And Trump is playing basically four or five D chess.
[1:34:16.000 --> 1:34:17.000]  We'll see where all this goes.
[1:34:17.000 --> 1:34:19.000]  We're going to be talking to our guest here in just a moment.
[1:34:19.000 --> 1:34:27.000]  First off, I was researching the very best stuff for joints and muscles as I get older and I work out.
[1:34:27.000 --> 1:34:28.000]  Sometimes my joints hurt.
[1:34:28.000 --> 1:34:33.000]  And the biggest hottest thing obviously is bone broth and collagen.
[1:34:33.000 --> 1:34:35.000]  And I said, well, let's go out and produce that.
[1:34:35.000 --> 1:34:40.000]  And we found out the other leading competitors might put, you know, $3 of stuff in their can and sell it for 50.
[1:34:40.000 --> 1:34:41.000]  Well, that's not what we do.
[1:34:41.000 --> 1:34:45.000]  We load it with the very best cleanest collagens out there.
[1:34:45.000 --> 1:34:46.000]  That comes from chickens, folks.
[1:34:46.000 --> 1:34:48.000]  Beef could have some issues.
[1:34:48.000 --> 1:34:51.000]  Bone broth, paleo ingredients, you name it.
[1:34:51.000 --> 1:34:53.000]  It is all in there.
[1:34:53.000 --> 1:34:55.000]  Alfalfa herb powder.
[1:34:55.000 --> 1:34:58.000]  We've got the multi-collagen complex.
[1:34:58.000 --> 1:35:02.000]  We've got the changa mushroom.
[1:35:02.000 --> 1:35:03.000]  We've got the bee pollen.
[1:35:03.000 --> 1:35:05.000]  The turmeric root is the big one.
[1:35:05.000 --> 1:35:11.000]  That helps accelerate all of the different ingredients obviously into the body, into the bloodstream and clean out the cells.
[1:35:11.000 --> 1:35:14.000]  Turmeric is well known for all the amazing things it does.
[1:35:14.000 --> 1:35:16.000]  This is a big dose of it.
[1:35:16.000 --> 1:35:19.000]  Now, this is a little bit of cocoa and a little bit of stevia and tastes great.
[1:35:19.000 --> 1:35:22.000]  If you mix it with milk, it's even better, but a lot of folks want to be skinny.
[1:35:22.000 --> 1:35:25.000]  But I've been taking it with milk and my joints and everything.
[1:35:25.000 --> 1:35:29.000]  I mean, it's been miraculous, the few areas that we're hurting, what it's done.
[1:35:29.000 --> 1:35:34.000]  It's the best out there and it's less priced than many of the competitors as well.
[1:35:34.000 --> 1:35:38.000]  And if you go back to what humans were doing 10,000 years ago, here's a Daily Mail article,
[1:35:38.000 --> 1:35:41.000]  how modern humans have become weaklings compared to our ancient ancestors
[1:35:41.000 --> 1:35:44.000]  who could outrun and outlive today's top athletes, just the average person could.
[1:35:44.000 --> 1:35:48.000]  They dig up bodies in what's England today or what's, you know, what's Nigeria today
[1:35:48.000 --> 1:35:53.000]  and the anthropologists and archaeologists find the same deal.
[1:35:53.000 --> 1:35:54.000]  This is well known.
[1:35:54.000 --> 1:35:57.000]  Man's intelligence, humans intelligence peaked thousands of years ago
[1:35:57.000 --> 1:36:02.000]  and we've been on an intellectual and emotional and physical decline ever since then.
[1:36:02.000 --> 1:36:05.000]  And one of the big things they believe is people aren't grinding up bones.
[1:36:05.000 --> 1:36:06.000]  Used to grind it up, put it in the bread.
[1:36:06.000 --> 1:36:10.000]  It's called the minerals, trace elements, the bone marrow is full of stem cells.
[1:36:10.000 --> 1:36:12.000]  Even if it's desiccated, it gets into your body.
[1:36:12.000 --> 1:36:14.000]  It does amazing, amazing things.
[1:36:14.000 --> 1:36:15.000]  It's like chicken broth.
[1:36:15.000 --> 1:36:18.000]  He's had the chicken bones in it, you know, when you have the flu or whatever.
[1:36:18.000 --> 1:36:20.000]  Well, this is like a mega dose of that.
[1:36:20.000 --> 1:36:23.000]  A little scoop in there with your water or whatever at lunch.
[1:36:23.000 --> 1:36:27.000]  Well, in fact, I'm going to take some of this next hour for my lunch.
[1:36:27.000 --> 1:36:32.000]  So again, caveman true paleo formula available at infowarstore.com
[1:36:32.000 --> 1:36:34.000]  or infowarslife.com.
[1:36:34.000 --> 1:36:36.000]  And I want to thank you all for your support.
[1:36:36.000 --> 1:36:39.000]  We have the new fluoride free iodine and colloidal silver,
[1:36:39.000 --> 1:36:43.000]  as well as peppermint and tea tree toothpaste made by the biggest manufacturer
[1:36:43.000 --> 1:36:45.000]  of organic toothpaste in the country.
[1:36:45.000 --> 1:36:49.000]  And we just private label and have our own proprietary blend made with those added.
[1:36:49.000 --> 1:36:52.000]  It's available super blue at infowarstore.com
[1:36:52.000 --> 1:36:56.000]  or go right to the supplement nutraceutical section at infowarslife.com
[1:36:56.000 --> 1:37:00.000]  or call toll free triple eight two five three three one three nine.
[1:37:00.000 --> 1:37:03.000]  And these aren't just great products with five star reviews.
[1:37:03.000 --> 1:37:07.000]  This is how we break the back of the big corporations that want to control us
[1:37:07.000 --> 1:37:09.000]  by their corporate sponsorships.
[1:37:09.000 --> 1:37:12.000]  We have the model that's dominating the media and no one else.
[1:37:12.000 --> 1:37:13.000]  I guess those have to figure out how to do it.
[1:37:13.000 --> 1:37:15.000]  I'm not bragging. It's actually crazy.
[1:37:15.000 --> 1:37:18.000]  Almost the other people picked us up direct sales to your audience.
[1:37:18.000 --> 1:37:20.000]  So it's a movement voting with your dollars.
[1:37:20.000 --> 1:37:24.000]  So whether it's brain force or X2 or supermell vitality or methylcobalamin,
[1:37:24.000 --> 1:37:27.000]  vitamin B12 under the tongue, secret 12 or a biome defense,
[1:37:27.000 --> 1:37:28.000]  very best probiotic.
[1:37:28.000 --> 1:37:30.000]  We could took us four years to come out with us.
[1:37:30.000 --> 1:37:31.000]  It's amazing.
[1:37:31.000 --> 1:37:35.000]  These strains, vitamin, mineral, fusion, amino acid, fruit punch string,
[1:37:35.000 --> 1:37:37.000]  knock out sleep aid.
[1:37:37.000 --> 1:37:40.000]  We just take the 10 best known healthy sleep aids like valerian root,
[1:37:40.000 --> 1:37:43.000]  melatonin, you name it, put it in one powerful pill.
[1:37:43.000 --> 1:37:45.000]  Watch out if you take two of them though.
[1:37:45.000 --> 1:37:50.000]  It's all over the counter infowarslife.com or triple eight two five three three
[1:37:50.000 --> 1:37:51.000]  one three nine.
[1:37:51.000 --> 1:37:54.000]  Okay, breaking.
[1:37:54.000 --> 1:37:56.000]  We have reporters in DC.
[1:37:56.000 --> 1:37:58.000]  I'm tempted to try to get them on next hour.
[1:37:58.000 --> 1:38:01.000]  We have a Washington Post reporter coming on tomorrow.
[1:38:01.000 --> 1:38:09.000]  We've got a Washington, a reporter, a Jerome Corsi with Muslim sympathizers
[1:38:09.000 --> 1:38:11.000]  CIA behind Trump leaks.
[1:38:11.000 --> 1:38:14.000]  And then we've also got a New York Post reporter coming on next hour.
[1:38:14.000 --> 1:38:19.000]  How Obama is scheming to sabotage Trump presidency with a bunker and 30,000
[1:38:19.000 --> 1:38:23.000]  activists and we now have CIA operatives that have been involved in covert actions
[1:38:23.000 --> 1:38:27.000]  the type to overthrow countries coming out saying that Trump is called a
[1:38:27.000 --> 1:38:29.000]  domestic enemy Evan McMullen.
[1:38:29.000 --> 1:38:32.000]  He fits the cast of these guys who never actually, he's commanded people but
[1:38:32.000 --> 1:38:34.000]  never been out in the field like steel.
[1:38:34.000 --> 1:38:36.000]  And I'm not knocking guys that have been out in combat.
[1:38:36.000 --> 1:38:40.000]  I haven't been, you know, just as a citizen, but I'm so sick of them always
[1:38:40.000 --> 1:38:44.000]  running around calling for overthrows, murder, death, you know, corruption.
[1:38:44.000 --> 1:38:48.000]  Watch your mouth like, like, like Brennan said.
[1:38:48.000 --> 1:38:50.000]  Now, I don't know everything steel is going to get into.
[1:38:50.000 --> 1:38:54.000]  He, I got some articles of his and I read him yesterday and it's pretty
[1:38:54.000 --> 1:38:55.000]  shocking stuff.
[1:38:55.000 --> 1:39:00.000]  I just had him here in my stack and we'll put some of those up on screen for folks.
[1:39:00.000 --> 1:39:04.000]  But he's saying it all ties in to the pedophiles and more.
[1:39:04.000 --> 1:39:08.000]  So we'll get his breakdown on that right now.
[1:39:08.000 --> 1:39:09.000]  Robert David steel.
[1:39:09.000 --> 1:39:11.000]  Thank you so much for coming on with us.
[1:39:11.000 --> 1:39:13.000]  You've got a bunch of websites.
[1:39:13.000 --> 1:39:15.000]  Which one's best for folks to visit?
[1:39:15.000 --> 1:39:18.000]  Robert David steel.com is the easiest to remember.
[1:39:18.000 --> 1:39:23.000]  Phi Beta Iota.net is the one with all the good stuff.
[1:39:23.000 --> 1:39:29.000]  It's the one with all the posts from 80 people that I curate.
[1:39:29.000 --> 1:39:33.000]  Well, again, I read like three of your articles this morning and I don't know
[1:39:33.000 --> 1:39:34.000]  where to start.
[1:39:34.000 --> 1:39:35.000]  It makes my head spin.
[1:39:35.000 --> 1:39:37.000]  Let's just lay it out.
[1:39:37.000 --> 1:39:39.000]  Lay out the information.
[1:39:39.000 --> 1:39:42.000]  Let's start with McMullen's the lightweight.
[1:39:42.000 --> 1:39:46.000]  This is a little man who's got no serious credibility in either the
[1:39:46.000 --> 1:39:48.000]  intelligence community or the real world.
[1:39:48.000 --> 1:39:52.000]  He's just running his mouth.
[1:39:52.000 --> 1:39:56.000]  I happen to be a complete independent.
[1:39:56.000 --> 1:40:01.000]  And I believe that the enemy of my enemy is my friend.
[1:40:01.000 --> 1:40:05.000]  And you and Gary Null and a whole bunch of important people are starting to
[1:40:05.000 --> 1:40:11.000]  talk about how Donald Trump might be our one chance to take down the deep state.
[1:40:11.000 --> 1:40:13.000]  I absolutely believe that.
[1:40:13.000 --> 1:40:15.000]  Now I've published some posts.
[1:40:15.000 --> 1:40:18.000]  Part of Trump's problem is that he wasn't expecting to win.
[1:40:18.000 --> 1:40:21.000]  And when he won by accident, I've written it's both free online and it's
[1:40:21.000 --> 1:40:23.000]  also a bestseller at Kindle.
[1:40:23.000 --> 1:40:28.000]  Donald Trump, the accidental president, analyzes how he won at the very end
[1:40:28.000 --> 1:40:31.000]  because Clinton collapsed in multiple ways.
[1:40:31.000 --> 1:40:34.000]  Well, and because the intelligence agencies wanted him to win.
[1:40:34.000 --> 1:40:37.000]  Well, no, actually some of us within the...
[1:40:37.000 --> 1:40:38.000]  Well, no, exactly.
[1:40:38.000 --> 1:40:41.000]  I'm not saying everybody, but the people that weren't at the top.
[1:40:41.000 --> 1:40:42.000]  Yeah.
[1:40:42.000 --> 1:40:46.000]  Well, there was a huge fight between John Brennan, who was representing Hillary
[1:40:46.000 --> 1:40:50.000]  Clinton, Wall Street, the deep state and the Saudis.
[1:40:50.000 --> 1:40:51.000]  And the rest of us.
[1:40:51.000 --> 1:40:54.000]  And Steve Piaznack is one of my favorite people.
[1:40:54.000 --> 1:40:56.000]  He announced that there were white hats.
[1:40:56.000 --> 1:41:00.000]  The white hats were able to stop Hillary Clinton from using the same
[1:41:00.000 --> 1:41:03.000]  electronic fraud that she used against Bernie Sanders.
[1:41:03.000 --> 1:41:06.000]  She stole 13 primaries from Bernie Sanders.
[1:41:06.000 --> 1:41:08.000]  That was confirmed by Stanford University.
[1:41:08.000 --> 1:41:10.000]  They were able to stop that.
[1:41:10.000 --> 1:41:16.000]  And she wasn't able to steal 13 general elections from Donald Trump.
[1:41:16.000 --> 1:41:18.000]  But coming back to Donald Trump.
[1:41:18.000 --> 1:41:24.000]  His problem was that he had to get from election day to inauguration day.
[1:41:24.000 --> 1:41:28.000]  And he had to get through the electoral college, the congressional
[1:41:28.000 --> 1:41:30.000]  validation and inauguration day.
[1:41:30.000 --> 1:41:36.000]  And as you all saw, John Brennan committed treason by telling lies
[1:41:36.000 --> 1:41:38.000]  intended to overturn the electoral college.
[1:41:38.000 --> 1:41:40.000]  And we've never seen a CIA...
[1:41:40.000 --> 1:41:42.000]  I mean, in the past, if a CIA director said to the president,
[1:41:42.000 --> 1:41:45.000]  keep your mouth shut, they would die in a canoeing accident within hours.
[1:41:45.000 --> 1:41:48.000]  And I'm not even saying do that. This is unprecedented.
[1:41:48.000 --> 1:41:49.000]  It is unprecedented.
[1:41:49.000 --> 1:41:54.000]  John Brennan is, in my view, until he resigned and may be still today,
[1:41:54.000 --> 1:41:57.000]  the highest paid agent of Saudi Arabia.
[1:41:57.000 --> 1:42:03.000]  John Brennan is corrupt to the bone and he should be under deep FBI investigation.
[1:42:03.000 --> 1:42:05.000]  But set him aside.
[1:42:05.000 --> 1:42:07.000]  Donald Trump is there now.
[1:42:07.000 --> 1:42:10.000]  The point I'm trying to make is that to get from election day to
[1:42:10.000 --> 1:42:15.000]  inauguration day, Trump had to make some deals and rents Priebus, the Judas
[1:42:15.000 --> 1:42:17.000]  in the White House, was part of that.
[1:42:17.000 --> 1:42:21.000]  I agree. In fact, a lot of really smart top people say that's Trump's big mistake.
[1:42:21.000 --> 1:42:24.000]  He thought he could co-opt them because they just wanted power.
[1:42:24.000 --> 1:42:26.000]  And instead, no, they've got, there's dirt on them.
[1:42:26.000 --> 1:42:28.000]  They're part of something bigger.
[1:42:28.000 --> 1:42:30.000]  And that's why Trump's got to get rid of them.
[1:42:30.000 --> 1:42:35.000]  Priebus is, among other things, an enabler and cover-upper of pedophilia.
[1:42:35.000 --> 1:42:37.000]  Dennis Hassard is the tip of the iceberg.
[1:42:37.000 --> 1:42:41.000]  I absolutely guarantee you that Julian Assange is going to take down
[1:42:41.000 --> 1:42:44.000]  the Republican Party and rents Priebus specifically.
[1:42:44.000 --> 1:42:45.000]  Well, let me just stop you.
[1:42:45.000 --> 1:42:47.000]  I know you've got a lot of high-level sources.
[1:42:47.000 --> 1:42:49.000]  This is shocking right now because I've had you on for a decade.
[1:42:49.000 --> 1:42:51.000]  You're very respected.
[1:42:51.000 --> 1:42:54.000]  And while the clandestine operations, all the Middle East, all the world,
[1:42:54.000 --> 1:42:57.000]  and I know you wouldn't just say this because this opens you up to a lot.
[1:42:57.000 --> 1:42:58.000]  Now, I'm not saying this is your opinion.
[1:42:58.000 --> 1:43:01.000]  I'm saying you're a guest on my show saying this right now because the media...
[1:43:01.000 --> 1:43:03.000]  Oh, Alex, don't be chicken.
[1:43:03.000 --> 1:43:04.000]  Well, no, no, listen, I'm not chicken.
[1:43:04.000 --> 1:43:05.000]  I know about Hassard.
[1:43:05.000 --> 1:43:07.000]  I know about his connections to the Clintons.
[1:43:07.000 --> 1:43:08.000]  I know about the whole network.
[1:43:08.000 --> 1:43:09.000]  I know it's true.
[1:43:09.000 --> 1:43:10.000]  This is on me.
[1:43:10.000 --> 1:43:11.000]  This is on me.
[1:43:11.000 --> 1:43:12.000]  This is not on you.
[1:43:12.000 --> 1:43:13.000]  This is on me.
[1:43:13.000 --> 1:43:14.000]  Okay?
[1:43:14.000 --> 1:43:15.000]  This is...
[1:43:15.000 --> 1:43:17.000]  Here's my Marine Corps serial rent.
[1:43:17.000 --> 1:43:20.000]  This is on me.
[1:43:20.000 --> 1:43:26.000]  I have for over a decade been working with a number of people on pedophilia
[1:43:26.000 --> 1:43:28.000]  as an elite privilege.
[1:43:28.000 --> 1:43:32.000]  For the Democrats, it's actually an acquired taste.
[1:43:32.000 --> 1:43:37.000]  John Podesta is a pedophile light.
[1:43:37.000 --> 1:43:45.000]  The Republicans and the elite in banking are the ones who have really made this a big league thing.
[1:43:45.000 --> 1:43:49.000]  There are Saudi Arabian restaurants with basements in Washington, D.C.,
[1:43:49.000 --> 1:43:52.000]  where you can order children on the menu.
[1:43:52.000 --> 1:43:53.000]  Okay?
[1:43:53.000 --> 1:43:54.000]  This is what I have been told.
[1:43:54.000 --> 1:43:55.000]  I have not been to one of those restaurants.
[1:43:55.000 --> 1:43:59.000]  I've never ordered a child on the menu.
[1:43:59.000 --> 1:44:04.000]  Pedophilia is the Achilles heel, and Donald Trump has figured that out.
[1:44:04.000 --> 1:44:07.000]  Now, Flynn did not get fired because he called the Russians.
[1:44:07.000 --> 1:44:13.000]  I would remind your viewers that Henry Kissinger sabotaged the Paris Beast walks
[1:44:13.000 --> 1:44:18.000]  and killed another 20,000 U.S. troops and hundreds of thousands of others
[1:44:18.000 --> 1:44:21.000]  just to help Richard Nixon get elected.
[1:44:21.000 --> 1:44:27.000]  Hillary Clinton sold Syria and Yemen to Saudi Arabia for tens of millions of dollars.
[1:44:27.000 --> 1:44:28.000]  Okay?
[1:44:28.000 --> 1:44:33.000]  Flynn got fired because he had the arrogance to think that he could tell Mattis
[1:44:33.000 --> 1:44:35.000]  and tell us in what to do.
[1:44:35.000 --> 1:44:39.000]  He also managed to piss off the vice president.
[1:44:39.000 --> 1:44:44.000]  Flynn's call included, and this is insider information.
[1:44:44.000 --> 1:44:50.000]  Flynn's call included a conversation about a list of high-level pedophiles in the United States,
[1:44:50.000 --> 1:44:54.000]  one of whom is Mike Pence's best friend.
[1:44:54.000 --> 1:44:57.000]  And Flynn did not tell Pence.
[1:44:57.000 --> 1:44:59.000]  That eventually came out.
[1:44:59.000 --> 1:45:04.000]  Now, the real issue, as Dennis Kasinich has very carefully pointed out on Fox,
[1:45:04.000 --> 1:45:10.000]  the real issue is that NSA has been spying on all of our politicians with impunity,
[1:45:10.000 --> 1:45:18.000]  and the CIA is leaking highly classified information as part of a political coup d'etat.
[1:45:18.000 --> 1:45:24.000]  If I were in Donald Trump's shoes, I would be shutting NSA down.
[1:45:24.000 --> 1:45:28.000]  NSA has no legislative charter.
[1:45:28.000 --> 1:45:31.000]  Donald Trump has the power to shut NSA down tomorrow.
[1:45:31.000 --> 1:45:32.000]  Let's be clear.
[1:45:32.000 --> 1:45:35.000]  It's clearly illegal what's going on, and then the leaks are illegal.
[1:45:35.000 --> 1:45:36.000]  Let me ask you this then.
[1:45:36.000 --> 1:45:38.000]  I know you've done your 10 years or 12 years.
[1:45:38.000 --> 1:45:39.000]  You wouldn't be saying this.
[1:45:39.000 --> 1:45:41.000]  You didn't at least have the sources.
[1:45:41.000 --> 1:45:46.000]  Clearly they're trying to overthrow Trump right now.
[1:45:46.000 --> 1:45:48.000]  All this crazy stuff's going on.
[1:45:48.000 --> 1:45:50.000]  Who are the main power blocks in your view?
[1:45:50.000 --> 1:45:53.000]  And how is it going in the war against Trump?
[1:45:53.000 --> 1:45:58.000]  All of your smart viewers know what a tiny URL is.
[1:45:58.000 --> 1:46:04.000]  So at tinyurl.com forward slash memo number four, Trump.
[1:46:04.000 --> 1:46:10.000]  Memo for Trump is my memorandum to Donald Trump, which is I am told now in Trump's hands,
[1:46:10.000 --> 1:46:15.000]  in Steve Bannon's hands, and possibly in Kellyanne Conway's hands.
[1:46:15.000 --> 1:46:19.000]  Trump has three major enemy groups.
[1:46:19.000 --> 1:46:26.000]  Enemy group number one is George Soros, Tom Steyer, and other billionaires who are behind
[1:46:26.000 --> 1:46:30.000]  what is going to be a violent American spring.
[1:46:30.000 --> 1:46:36.000]  The American spring is going to begin as soon as the weather gets nice with tens of thousands
[1:46:36.000 --> 1:46:43.000]  of paid agitators across the country, and it is going to end with three million people
