[00:00:23.526 --> 00:00:25.907]  It's Friday, November 19th.
[03:19:45.762 --> 03:19:48.784]  They gave the exact reasons why and now it happened.
[03:19:48.784 --> 03:19:50.165]  That's why Infowars is on air.
[03:19:50.706 --> 03:19:53.770]  Because if we weren't on air, they'd get away with even more of this crap.
[03:19:53.770 --> 03:19:54.771]  This is just insane.
[03:19:54.771 --> 03:19:59.517]  These people are killers.
[03:19:59.517 --> 03:20:02.141]  You're listening to the Alex Jones Show.
[03:20:12.570 --> 03:20:30.517]  Well, you didn't ask Alex Jones, I gave you the answer.
[03:20:30.517 --> 03:20:34.518]  I got what I was after, long before I died.
[03:20:34.518 --> 03:20:40.961]  By the way, I forgot I got Carl Rittenhouse's cell phone number.
[03:20:42.193 --> 03:20:43.614]  I was like, hey, we have his contact, right?
[03:20:43.614 --> 03:20:45.696]  His mom's been on the show.
[03:20:45.696 --> 03:20:47.778]  And so we'll try to get him on as soon as we can.
[03:20:47.778 --> 03:20:50.361]  And we're also trying to get his lawyers on the show.
[03:20:50.361 --> 03:20:52.162]  We got a lawyer right here with us, Mike Cernovich.
[03:20:52.162 --> 03:20:53.283]  I promised to go to phone calls.
[03:20:53.283 --> 03:20:54.725]  We're doing it right now.
[03:20:54.725 --> 03:20:58.808]  I got to tell you, Cernovich, this is one hell of a time to be alive, isn't it?
[03:20:58.808 --> 03:21:06.596]  You know, we pray for interesting times and we get the interesting times and then we get mad at God that our prayers were answered.
[03:21:06.596 --> 03:21:07.977]  The paradox of humanity.
[03:21:09.289 --> 03:21:10.089]  I'm not mad, though.
[03:21:10.089 --> 03:21:10.710]  I appreciate it.
[03:21:10.710 --> 03:21:11.910]  I like it all, actually.
[03:21:11.910 --> 03:21:15.332]  I don't like the evil, but this is one hell of an adventure, man.
[03:21:15.332 --> 03:21:16.553]  Wow, this is quite a timeline.
[03:21:16.553 --> 03:21:18.554]  All right, Jacob, finish up your point.
[03:21:18.554 --> 03:21:19.314]  Sorry to make you hold.
[03:21:19.314 --> 03:21:19.695]  Go ahead.
[03:21:19.695 --> 03:21:21.375]  We love you.
[03:21:21.375 --> 03:21:22.116]  Yeah, we love you.
[03:21:22.116 --> 03:21:24.017]  I love you, too, Alex.
[03:21:24.017 --> 03:21:25.498]  Yeah, so I'm Armenian.
[03:21:26.391 --> 03:21:34.494]  And you know, we've been through the genocide, so before I even found you, I already knew about tyranny and authoritarianism.
[03:21:34.494 --> 03:21:36.274]  Say that again, where were you from?
[03:21:36.274 --> 03:21:37.615]  Armenia.
[03:21:37.615 --> 03:21:39.315]  Oh my God, it's the Armenian Genocide.
[03:21:39.315 --> 03:21:41.716]  A million and a half people killed by the Young Turks.
[03:21:42.489 --> 03:21:45.330]  Which the ADL, by the way, denied the Armenian Genocide until 2016.
[03:21:45.330 --> 03:21:47.631]  Because that's Christians getting killed.
[03:21:47.631 --> 03:21:48.291]  They denied it.
[03:21:48.291 --> 03:21:50.771]  So people have called me a liar for that.
[03:21:50.771 --> 03:21:52.612]  Your people could find that in a second.
[03:21:52.612 --> 03:21:54.072]  No, I remember they called you a liar.
[03:21:54.072 --> 03:21:56.393]  Yeah, they said, oh, that's a conspiracy theory.
[03:21:56.393 --> 03:21:58.014]  I said, no, here's the article.
[03:21:58.014 --> 03:21:58.594]  AP.
[03:21:58.594 --> 03:21:59.414]  Yeah, here's the article.
[03:21:59.414 --> 03:22:00.954]  They denied it until 2016.
[03:22:00.954 --> 03:22:03.175]  Until they couldn't deny it anymore.
[03:22:03.175 --> 03:22:05.956]  So that goes to show that when Christians are genocided,
[03:22:06.954 --> 03:22:08.395]  Who cares, right?
[03:22:08.395 --> 03:22:10.356]  That's the answer from the left.
[03:22:10.356 --> 03:22:14.459]  Exactly, so you're saying you're Armenian, you understand, but please continue.
[03:22:14.459 --> 03:22:20.964]  Yeah, so I see the authoritarianism and I feel like it's like a 21st century technocratic version of that.
[03:22:20.964 --> 03:22:27.448]  And I tell my Armenian friends and they think all this is far-fetched information.
[03:22:28.098 --> 03:22:29.258]  And I try to wake them up.
[03:22:29.258 --> 03:22:34.139]  You know, a lot of them, I woke up a lot of people, but there's just some people I just can't get.
[03:22:34.139 --> 03:22:40.440]  Wow, so even though they're great-grandparents, it happened to them, and they're grandparents, they won't believe it.
[03:22:40.440 --> 03:22:41.260]  Exactly.
[03:22:41.260 --> 03:22:43.681]  And that's what shocks me about it.
[03:22:43.681 --> 03:22:45.101]  Jacob, we love you and appreciate the call.
[03:22:45.101 --> 03:22:47.701]  God bless you.
[03:22:47.701 --> 03:22:48.642]  Cernovich, you want to comment on that?
[03:22:48.642 --> 03:22:49.322]  We'll take more calls.
[03:22:49.322 --> 03:22:52.242]  Well, that goes to, again, the negativity, because Arminian's a very Christian.
[03:22:52.242 --> 03:22:54.883]  That goes to the negativity of the Christian.
[03:22:54.883 --> 03:22:56.103]  That's why it's our role
[03:22:57.028 --> 03:23:00.650]  To tell Christians flipping naive, right?
[03:23:00.650 --> 03:23:01.730]  Well, why can't it happen here?
[03:23:01.730 --> 03:23:02.811]  Why can't it happen again?
[03:23:02.811 --> 03:23:07.854]  When left-wing organizations, including Barack Obama, denied the Armenian Genocide too, right?
[03:23:07.854 --> 03:23:08.894]  This is objectively true.
[03:23:08.894 --> 03:23:12.276]  And by the way, the Turks bragged in the news they were doing it at the time.
[03:23:12.276 --> 03:23:14.117]  It's not a debatable deal.
[03:23:14.117 --> 03:23:17.558]  It's not debatable whether it happened, but it was denied by left-wing groups.
[03:23:17.558 --> 03:23:19.039]  Well, exactly!
[03:23:19.039 --> 03:23:20.800]  But they deny everything.
[03:23:20.800 --> 03:23:23.061]  Let's go ahead and talk to Alex in Florida.
[03:23:23.061 --> 03:23:23.822]  Alex, thanks for holding.
[03:23:23.822 --> 03:23:24.122]  Go ahead.
[03:23:25.566 --> 03:23:28.167]  Hey, thank you for having me on the show, guys.
[03:23:28.167 --> 03:23:30.449]  I want to first start by saying I agree with both of you.
[03:23:30.449 --> 03:23:34.011]  We should have never got to here, but thank goodness that he was found not guilty.
[03:23:34.011 --> 03:23:37.032]  I definitely consider that a victory.
[03:23:37.032 --> 03:23:38.493]  And I know it's kind of old news.
[03:23:38.493 --> 03:23:41.475]  I kind of wanted to bring it back to the Travis Scott concert.
[03:23:41.475 --> 03:23:55.002]  My girlfriend and I, we were talking about it and we've done research, and we think that somehow, some way, a frequency was sent out or the music may have triggered adverse reactions in all of those hundreds of people if they were vaccinated.
[03:23:55.720 --> 03:23:59.985]  I don't know if the artists were conscious, but the forces behind it absolutely did a mass ritual in my view, Mike.
[03:24:18.628 --> 03:24:20.952]  Yeah, I don't think it was a vaccine at all.
[03:24:20.952 --> 03:24:26.599]  What the issue that people have to worry about is music does create certain vibrations.
[03:24:26.599 --> 03:24:27.340]  There are binaural beats.
[03:24:27.340 --> 03:24:29.423]  This has all been studied scientifically.
[03:24:29.423 --> 03:24:35.330]  People have to be careful when you get in with a group of people who become collectively under hypnosis.
[03:24:35.931 --> 03:24:36.131]  Right?
[03:24:36.131 --> 03:24:36.851]  That's what music does.
[03:24:36.851 --> 03:24:37.571]  Because there's a sixth sense.
[03:24:37.571 --> 03:24:38.451]  There's a broadcast.
[03:24:38.451 --> 03:24:41.592]  That's why people can sync up in a war or in a church.
[03:24:41.592 --> 03:24:42.752]  We sync up.
[03:24:42.752 --> 03:24:44.292]  You sync up.
[03:24:44.292 --> 03:24:44.873]  You sync up.
[03:24:44.873 --> 03:24:45.113]  Yeah.
[03:24:45.113 --> 03:24:47.313]  They would play drums in the Revolutionary War.
[03:24:47.313 --> 03:24:49.073]  People are not mindful of that.
[03:24:49.073 --> 03:24:51.034]  When you're listening to music, you're in a hypnotic state.
[03:24:51.034 --> 03:24:58.295]  So for me, I don't listen to... I used to listen to a certain kind of death metal, a certain kind of rap.
[03:24:58.295 --> 03:24:58.675]  Me too.
[03:24:58.675 --> 03:25:02.936]  I can't listen to any of it now because even though it puts you in that state.
[03:25:02.936 --> 03:25:03.816]  And exactly, a drum...
[03:25:05.736 --> 03:25:06.837]  It's you ready for death.
[03:25:06.837 --> 03:25:14.463]  Right, so you're hypnotizing yourself, and now you're in a group of people who have collectively hypnotized themselves, and then they can be led astray.
[03:25:14.463 --> 03:25:19.006]  Let's be clear, it's part of what we did to win wars, but that's how old mind control is.
[03:25:19.006 --> 03:25:26.331]  Marching armies with a drum, all as one, and people are being killed right next to you, but you don't care because of that simple mind control.
[03:25:26.331 --> 03:25:28.192]  Imagine what they can do at a concert with all that.
[03:25:28.192 --> 03:25:28.933]  Mike, that's a great point.
[03:25:29.093 --> 03:25:30.073]  Yeah, music is hypnotic.
[03:25:30.073 --> 03:25:32.914]  That's why I tell people, you have to be mindful of what you listen to.
[03:25:32.914 --> 03:25:38.717]  And I used to listen to all that stuff, but I only want to listen to music now about love, opening up my soul.
[03:25:38.717 --> 03:25:46.879]  And then when I do listen to music that has a chant element to it, like Sansatia or something, I know what it's doing though.
[03:25:46.879 --> 03:25:49.380]  I know that, okay, this music is hypnotic in a way.
[03:25:49.380 --> 03:25:50.801]  But then you can direct it where you want.
[03:25:51.361 --> 03:25:52.461]  You use the controller.
[03:25:52.461 --> 03:25:58.323]  So I listen to a lot of really deep spiritual music with drums, but is that where I'm passively receiving it?
[03:25:58.323 --> 03:25:59.084]  Let me ask you a question.
[03:25:59.084 --> 03:25:59.804]  Yeah.
[03:25:59.804 --> 03:26:01.624]  And Alex, finish your point.
[03:26:01.624 --> 03:26:02.164]  I got a question.
[03:26:02.164 --> 03:26:03.805]  Go ahead.
[03:26:03.805 --> 03:26:10.727]  Well, yeah, I just brought it up because, you know, all the heart attacks and with everything we know about the vaccine, I thought maybe the music may trigger something with the graphene.
[03:26:10.727 --> 03:26:12.968]  But the last thing... No, no, I think it might have, but go ahead.
[03:26:14.057 --> 03:26:17.921]  Last thing I wanted to say is definitely wanted to plug the storable food.
[03:26:17.921 --> 03:26:18.762]  I love it.
[03:26:18.762 --> 03:26:19.342]  I eat it.
[03:26:19.342 --> 03:26:20.824]  I have a year's supply of it.
[03:26:20.824 --> 03:26:28.291]  And to quote the Bible, you know, Proverbs, in the house of the wise, there are stores of choice oils and foods, but the fool devours all that he has.
[03:26:28.291 --> 03:26:32.595]  And with these uncertain times, support the InfoWare broadcast and buy some food.
[03:26:33.097 --> 03:26:33.377]  That's right.
[03:26:33.377 --> 03:26:35.100]  We've got really good food at a low price.
[03:26:35.100 --> 03:26:36.462]  You can pay a lot more and get something better.
[03:26:36.462 --> 03:26:38.405]  But for the price you pay, it's good quality food.
[03:26:38.405 --> 03:26:40.187]  It's what I use for my family.
[03:26:40.187 --> 03:26:42.090]  And they definitely want us to pin it on the system.
[03:26:42.090 --> 03:26:43.913]  So yeah, Infowarrestore.com.
[03:26:43.913 --> 03:26:44.854]  And thanks for the plug.
[03:26:44.854 --> 03:26:47.218]  But we're going to go to break in a few minutes and then come back to calls.
[03:26:47.218 --> 03:26:48.019]  But I want to ask this question.
[03:26:49.019 --> 03:26:49.279]  I don't
[03:27:08.596 --> 03:27:10.798]  I don't want to be like a sorcerer that says, well, I can control this.
[03:27:10.798 --> 03:27:17.162]  I don't even listen to a lot of that stuff, because even though I can use that and undoubtedly suck energy right out of the planet.
[03:27:17.162 --> 03:27:19.224]  I mean, I can like, if I need to, just get power.
[03:27:19.224 --> 03:27:21.225]  But I don't even do that.
[03:27:21.225 --> 03:27:23.026]  Something about it, I was like, I don't do that.
[03:27:23.026 --> 03:27:24.467]  When I was younger and stuff, I would do it.
[03:27:24.467 --> 03:27:31.893]  But what is that energy, do you think, where our will could actually energize ourselves out of the, like literally sucking it out of another dimension?
[03:27:32.386 --> 03:27:38.127]  We're all connected energetically to each other in a collective consciousness and we're all connected to the land and the soil.
[03:27:38.127 --> 03:27:44.149]  So what you're doing is working on different vibrational frequencies and feeling and intuiting.
[03:27:44.149 --> 03:27:45.649]  You're a very intuitive person.
[03:27:45.649 --> 03:27:47.690]  You're intuiting the energetic frequency.
[03:27:47.690 --> 03:27:49.690]  So you might not be able to intellectualize it.
[03:27:49.690 --> 03:27:52.491]  You might not be able to... No, I agree, but I don't want to take power from somebody.
[03:27:52.491 --> 03:27:54.171]  Where's that power coming from?
[03:27:54.171 --> 03:27:56.812]  No, the power comes from you when you connect to the divine.
[03:27:56.812 --> 03:27:58.072]  No, I know I'm making connection.
[03:27:58.072 --> 03:27:59.073]  That's what I'm saying.
[03:27:59.073 --> 03:28:00.513]  Where's the power coming from on the other side?
[03:28:01.391 --> 03:28:03.332]  Oh, that's the riddle of existence.
[03:28:03.332 --> 03:28:03.592]  Yeah.
[03:28:03.592 --> 03:28:06.093]  Right?
[03:28:06.093 --> 03:28:11.254]  But then I think, depending on the type of music you're listening to, that's what controls the tuning of it.
[03:28:11.254 --> 03:28:12.675]  Yeah, it's all vibrational.
[03:28:12.675 --> 03:28:18.137]  The source, I mean, the riddle of existence, the source is, how did we get here?
[03:28:18.137 --> 03:28:18.657]  Right?
[03:28:18.657 --> 03:28:19.957]  Who is God?
[03:28:19.957 --> 03:28:20.717]  Where did God come from?
[03:28:20.717 --> 03:28:23.478]  But there's almost, when you do that, you're like, whoa, this is super powerful.
[03:28:23.478 --> 03:28:24.879]  Like, is it even good to dial into that?
[03:28:25.583 --> 03:28:28.625]  Oh, again, that's why it isn't for newbies.
[03:28:28.625 --> 03:28:32.108]  That's why I wouldn't tell a 13-year-old that you should chant.
[03:28:32.108 --> 03:28:34.830]  You shouldn't do a lot of this Kundalini magic.
[03:28:34.830 --> 03:28:37.172]  Maybe you never should.
[03:28:37.172 --> 03:28:49.400]  Some Christians would say you should never do Kundalini, and I respect their point of view, but I know that there are ways to tap into your own guided experiences with a lot of these, I call them technologies more than magic.
[03:28:49.400 --> 03:28:51.662]  Hold on, magic's the old term for technology.
[03:28:51.662 --> 03:28:53.063]  Yeah, technology's magic.
[03:28:53.063 --> 03:28:53.884]  Balls are straight ahead.
[03:28:55.267 --> 03:28:57.469]  You know, listen, I know you're humble.
[03:28:57.469 --> 03:29:12.019]  I know you're like me, but I really want you to sit back and cogitate or meditate on the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[03:29:12.019 --> 03:29:14.341]  And now, as 2021 prepares to end and 2022
[03:29:18.049 --> 03:29:25.416]  When it begins to dawn, it is more important than ever that you realize how important you are, that you be more active than you've ever been.
[03:29:25.416 --> 03:29:27.638]  The tip of the spear is Van Dot Millionaire.
[03:29:27.638 --> 03:29:30.940]  The very front lines of the fight for human liberty is M4Wars.com.
[03:29:31.801 --> 03:29:36.444]  And we can't stay on air without your support, so thank you all for your support.
[03:29:36.444 --> 03:29:41.287]  Donate to our legal defense fund to stay on the air at SaveM4Wars.com.
[03:29:41.287 --> 03:29:42.807]  That's SaveM4Wars.com.
[03:29:42.807 --> 03:29:57.596]  And continue to go to M4WarsStore.com, where right now, we've got Turbo Force, sold out for months, 10 hours of energy, back and stock with free shipping, 40% off, and so many other great products.
[03:29:57.596 --> 03:29:59.157]  What are champions made of?
[03:30:01.014 --> 03:30:02.141]  Here's a man who can show you.
[03:30:08.709 --> 03:30:10.250]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[03:30:10.250 --> 03:30:11.790]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[03:30:11.790 --> 03:30:13.151]  AAA-253-3139 is the InfoWars store hotline.
[03:30:13.151 --> 03:30:14.652]  AAA-253-3139 is the InfoWars store... Wait!
[03:30:14.652 --> 03:30:15.912]  AAA-253-3139 is the InfoWars store hotline.
[03:30:15.912 --> 03:30:17.233]  AAA-253-3139 is the InfoWars store...
[03:30:34.921 --> 03:30:38.362]  InfoWarsStore.com is simply the best.
[03:30:38.362 --> 03:30:41.702]  InfoWarsStore.com beats out all the rest.
[03:30:41.702 --> 03:30:43.643]  888-253-3139, 888-253-3139, 888-253-3139 is the InfoWarsStore outline.
[03:30:43.643 --> 03:30:45.463]  888-253-3139, 888-253-3139, 888-253-3139, that's InfoWarsStore.com.
[03:30:45.463 --> 03:30:49.864]  I'm sitting here, it's in the early morning hours, and I'm looking at mainstream news.
[03:31:03.786 --> 03:31:18.532]  Reporting on the fact that even the controlled revolving door FDA has come out and said that the Moderna and Pfizer shots need to be held up and not authorized for children because in studies they did on children it caused myocarditis, that's heart swelling and heart attacks.
[03:31:19.787 --> 03:31:24.730]  And then I noticed that even though this is even in the Associated Press, it's not getting any circulation.
[03:31:24.730 --> 03:31:26.492]  It's not on the national news.
[03:31:26.492 --> 03:31:28.893]  And it's very hard to even find on places like Instagram or Twitter.
[03:31:28.893 --> 03:31:29.874]  It's just crazy.
[03:31:29.874 --> 03:31:35.277]  And then Fauci was on TV just yesterday saying there's no damage from the vaccines.
[03:31:35.277 --> 03:31:36.678]  It doesn't hurt anybody.
[03:31:36.678 --> 03:31:38.960]  You're a conspiracy theorist if you say it.
[03:31:38.960 --> 03:31:40.341]  It's just crazy.
[03:31:40.341 --> 03:31:45.244]  And then we have all the scientists who over a year ago came out and said these vaccines are going to cause heart problems.
[03:31:45.244 --> 03:31:48.246]  They gave the exact reasons why and now it happened.
[03:31:48.246 --> 03:31:49.647]  That's why Infowars is on air.
[03:31:49.907 --> 03:31:53.250]  Because if we weren't on air, they'd get away with even more of this crap.
[03:31:53.250 --> 03:31:54.251]  This is just insane.
[03:31:54.251 --> 03:31:55.632]  These people are killers.
[03:31:55.632 --> 03:32:02.879]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[03:32:02.879 --> 03:32:08.824]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[03:32:08.824 --> 03:32:10.226]  Horrible crashes and
[03:32:11.761 --> 03:32:14.044]  Again, so many toxins in them.
[03:32:14.044 --> 03:32:26.140]  All of the nootropic products that we sell at mfoilworkstore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[03:32:26.140 --> 03:32:29.144]  And right now, our strongest product, the three nootropics we have,
[03:32:30.137 --> 03:32:38.805]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at InfoWareStore.com.
[03:32:38.805 --> 03:32:42.248]  TurboForce has been sold out for more than six months.
[03:32:42.248 --> 03:32:45.131]  It's back in stock with free shipping, 40% off.
[03:32:45.131 --> 03:32:50.115]  It is 10 hours of clean energy.
[03:32:50.115 --> 03:32:52.437]  Clean energy without the big crash.
[03:32:52.437 --> 03:32:54.679]  It's available right now and it funds the InfoWare 360 win.
[03:32:58.815 --> 03:33:18.708]  You're listening to the Alex Jones Show.
[03:33:18.708 --> 03:33:23.712]  From the front lines of the information war, it's Alex Jones.
[03:33:27.602 --> 03:33:32.665]  All right, let's get to these callers that have been holding it really, really patiently and bringing up amazing points.
[03:33:32.665 --> 03:33:36.027]  Let's talk to Steve in Utah, then Steve in Nevada.
[03:33:36.027 --> 03:33:37.107]  Steve, thank you so much.
[03:33:37.107 --> 03:33:40.929]  You're on the air with Mike Cernovich on a very historic day.
[03:33:40.929 --> 03:33:44.031]  And we might be getting call written house on today, Saturday, or Sunday.
[03:33:44.031 --> 03:33:45.452]  Just leave it at that.
[03:33:45.452 --> 03:33:46.312]  His mom's been on.
[03:33:46.312 --> 03:33:47.293]  We've talked to Kyle before.
[03:33:47.293 --> 03:33:49.694]  They promised they'd come on if he was found not guilty.
[03:33:49.694 --> 03:33:52.776]  So we think they're the type of folks who will keep their promise, so look for that.
[03:33:52.776 --> 03:33:54.417]  But let's go back to the phone call.
[03:33:54.417 --> 03:33:55.718]  Steve in Utah, go ahead.
[03:33:56.889 --> 03:33:58.170]  Hey, how you doing?
[03:33:58.170 --> 03:34:04.133]  Man, I'm glad that he was found not guilty, but like Mike Cernovich said, this should never have happened.
[03:34:04.133 --> 03:34:05.013]  Yeah, of course.
[03:34:05.013 --> 03:34:15.599]  I just want to speak on the fact that we in life, as we, you know, go up throughout the day, we interact with demonic people and we just don't even know it.
[03:34:15.599 --> 03:34:16.699]  We don't even realize it.
[03:34:16.699 --> 03:34:25.984]  You can't see it until, you know, there's some kind of catalyst or activation of the demonicness of, you know, whether it's violence
[03:34:26.853 --> 03:34:27.493]  I don't know.
[03:34:56.438 --> 03:35:12.810]  What's going to happen is, you know, we don't understand, we don't have a grasp of what's really going on, but one day something's going to happen, and on the other hand, we are all going to activate, we are all going to, you know, as in concert, everyone
[03:35:15.313 --> 03:35:15.533]  Yes.
[03:35:30.806 --> 03:35:32.687]  An awakening, I would, you know...
[03:35:47.366 --> 03:35:48.187]  What would I call it?
[03:35:48.187 --> 03:35:52.869]  The zeitgeist of the moment would be the final... We're entering the final stand.
[03:35:52.869 --> 03:35:56.192]  The Rittenhouse barely... That's what you have to look at.
[03:35:56.192 --> 03:35:58.713]  Not just that he won, but he barely won.
[03:35:58.713 --> 03:36:02.896]  He only won because a few brave live streamers were there and they got that footage.
[03:36:02.896 --> 03:36:04.357]  Otherwise, it would have been Dr. Abbas.
[03:36:05.117 --> 03:36:06.178]  Yeah, Drew Hernandez.
[03:36:06.178 --> 03:36:08.579]  The FBI, they covered up the video.
[03:36:08.579 --> 03:36:11.641]  They had video clearing Kyle Rittenhouse of all crimes.
[03:36:11.641 --> 03:36:19.165]  So we now know the FBI is spying on everybody, but they're only going to use it to frame people and try to get innocent people convicted.
[03:36:19.165 --> 03:36:22.626]  Think about how you're an agency and a group of people together.
[03:36:22.626 --> 03:36:23.927]  Like, my crew's great people.
[03:36:23.927 --> 03:36:25.968]  If I tried to frame somebody, they'd all turn against me.
[03:36:25.968 --> 03:36:27.069]  I wouldn't do it anyways.
[03:36:27.069 --> 03:36:29.310]  Imagine a group where you just do this all day long.
[03:36:29.310 --> 03:36:30.691]  Yeah, where are the FBI whistleblowers?
[03:36:31.753 --> 03:36:37.194]  Kyle Rittenhouse's persecution was the Alamo, except they didn't kill him.
[03:36:37.554 --> 03:36:38.715]  But that's what they wanted.
[03:36:38.715 --> 03:36:39.835]  They were trying to kill him.
[03:36:39.835 --> 03:36:43.277]  So in a way, it was almost like the last day of the Alamo.
[03:36:43.277 --> 03:36:53.381]  So people have to, who are patriotic, have to feel, it gets energized, also recognizing that what they really tried to do to this kid, they tried to break his immortal soul.
[03:36:53.381 --> 03:36:56.223]  And by the way, they're already on Twitter making fun of him collapsing.
[03:36:56.223 --> 03:36:57.383]  Imagine life in prison.
[03:36:57.383 --> 03:37:00.305]  You've already been in jail for six months in the first year.
[03:37:00.305 --> 03:37:03.546]  And then now you're not going to be in prison for life when you're getting death threats all day.
[03:37:03.546 --> 03:37:05.247]  Yeah, I think anybody might collapse.
[03:37:05.407 --> 03:37:06.588]  It's good that they're doing that though.
[03:37:06.588 --> 03:37:17.080]  That's what we've been talking about is evil doesn't know when to stop and it's good that they're siding with a convicted serial child rapist.
[03:37:17.080 --> 03:37:21.545]  It's good that they're mocking Kyle Rittenhouse for showing humanity.
[03:37:21.545 --> 03:37:22.526]  We want them to do that.
[03:37:22.526 --> 03:37:25.008]  As Napoleon said, never interrupt your enemy when they're making a mistake.
[03:37:25.749 --> 03:37:30.876]  What I'm looking at online and what I'm seeing from the left is beautiful.
[03:37:30.876 --> 03:37:31.556]  Give me more.
[03:37:31.556 --> 03:37:31.997]  Give me more.
[03:37:31.997 --> 03:37:32.658]  Do more.
[03:37:32.658 --> 03:37:34.300]  Defend more of the indefensible.
[03:37:34.300 --> 03:37:35.722]  It's hard to believe.
[03:37:35.722 --> 03:37:37.264]  They're such villains.
[03:37:37.264 --> 03:37:38.926]  Maybe this is a simulation.
[03:37:38.926 --> 03:37:40.948]  These people are ridiculously bad.
[03:37:40.948 --> 03:37:42.831]  But they don't have plausible deniability anymore.
[03:37:43.251 --> 03:37:44.372]  We want them to come out.
[03:37:44.372 --> 03:37:45.753]  We want moral clarity.
[03:37:45.753 --> 03:37:51.517]  My mantra, the way I define our age, is we live in the age of moral clarity.
[03:37:51.517 --> 03:37:54.340]  You can no longer say, well, there's some good apples.
[03:37:54.340 --> 03:37:57.182]  The FBI, there's just a few bad apples, but the line agents are good guys.
[03:37:57.182 --> 03:38:03.226]  Oh, they're like, oh, this vaccine erases your immune system, makes you get sicker, but you're going to take more.
[03:38:03.226 --> 03:38:05.588]  They admit it and then try to make you do it.
[03:38:05.588 --> 03:38:06.289]  It's total clarity.
[03:38:06.289 --> 03:38:07.770]  You're right.
[03:38:07.770 --> 03:38:08.851]  Steve, finish your point.
[03:38:08.851 --> 03:38:09.111]  Go ahead.
[03:38:10.800 --> 03:38:22.345]  Um, I just think they're, they're just oblivious to, they just don't have the, how do I explain it, they don't have the subtleties of just, they don't get it, you know what I mean?
[03:38:22.345 --> 03:38:23.665]  They're in their own world.
[03:38:23.665 --> 03:38:36.210]  They just act on it and, and it doesn't, oh, I don't, I don't know if there's no consequence or what, it's just, it's just they, they don't, they're oblivious to just how wicked
[03:38:36.914 --> 03:38:38.036]  Their actions are in it.
[03:38:38.036 --> 03:38:38.817]  They're not oblivious.
[03:38:38.817 --> 03:38:39.678]  No, they know.
[03:38:39.678 --> 03:38:40.639]  Thanks for the call, Steve.
[03:38:40.639 --> 03:38:43.843]  Yeah, the call is great and you brought up some good conversational points.
[03:38:43.843 --> 03:38:46.186]  We live in the age of moral clarity.
[03:38:47.442 --> 03:38:48.583]  They know what they do.
[03:38:48.583 --> 03:38:53.507]  It isn't like when Christ has been crucified and he said, forgive them, Father, for they know not what they do.
[03:38:53.507 --> 03:38:54.087]  They know!
[03:38:54.087 --> 03:38:55.708]  The end is about it all being clear.
[03:38:55.708 --> 03:38:56.809]  They know what they did.
[03:38:56.809 --> 03:39:01.793]  I told you, the end is about everything becoming clear, so you make the right decision or make the wrong decision.
[03:39:01.793 --> 03:39:05.896]  And General Flynn, last Saturday, did a big powerful interview with him that just went live a few days ago.
[03:39:05.896 --> 03:39:09.698]  And he said, listen, courage is a decision, but also serving evil is a decision.
[03:39:09.698 --> 03:39:10.279]  It's a decision.
[03:39:10.919 --> 03:39:14.503]  Right, so we live in a beautiful time because you are choosing.
[03:39:14.503 --> 03:39:15.544]  You can't claim you didn't know.
[03:39:15.544 --> 03:39:18.987]  Why would you make a decision to be for raping children?
[03:39:18.987 --> 03:39:22.271]  I mean, I have no desire to do it anyways, but like, why would you do that?
[03:39:22.271 --> 03:39:24.893]  That's the problem with moral people, is moral people try to...
[03:39:27.310 --> 03:39:38.154]  Use their own morality to filter through the decision-making process of the people, whereas when you take the real enlightened pill and the higher consciousness, you realize they do it because they serve evil.
[03:39:38.154 --> 03:39:42.216]  So we can't project our morality onto them, or we'll never understand them.
[03:39:42.216 --> 03:39:53.120]  The only way to understand them is to say that they live in a different morality, they don't have morality, this is how they think, they're evil, the end.
[03:39:53.120 --> 03:39:54.520]  Take out the trash, absolutely.
[03:39:54.520 --> 03:39:56.341]  Steven D'Amato, thanks for holding her on the air, go ahead.
[03:39:57.725 --> 03:39:58.666]  How's it going, guys?
[03:39:58.666 --> 03:39:59.106]  Good, brother.
[03:39:59.106 --> 03:40:00.407]  Thanks for holding.
[03:40:00.407 --> 03:40:03.650]  Yeah, Mike Cernovich and Alex Jones on the line at the same time.
[03:40:03.650 --> 03:40:05.011]  It's unbelievable.
[03:40:05.011 --> 03:40:09.214]  Anyway, I'm a longtime listener of both of you guys.
[03:40:09.214 --> 03:40:14.678]  And, you know, I live out here in Nevada, Southern Nevada, right outside of Las Vegas.
[03:40:14.678 --> 03:40:17.400]  I'm a small business owner and a musician.
[03:40:17.400 --> 03:40:23.945]  And I'm really disgusted to see how the country has responded to this pandemic.
[03:40:23.945 --> 03:40:25.727]  I'm glad to see that Kyle Rittenhouse,
[03:40:26.792 --> 03:40:28.894]  Was found not guilty.
[03:40:28.894 --> 03:40:34.240]  But that's just the start of what's coming with this takedown.
