[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[03:07:04.920 --> 03:07:10.720]  evil, and if your great grandfather robbed a bank, you're guilty. That is such a trademark
[03:07:10.720 --> 03:07:17.320]  of authoritarianism to say that the Nazis did this, the Soviets did this. If somebody
[03:07:17.320 --> 03:07:23.560]  on your street shoots at an SS officer, we're going to kill your whole street. It's the
[03:07:23.560 --> 03:07:27.120]  same thing. Well, you should have known somebody was planning to do that. So now that white
[03:07:27.120 --> 03:07:33.600]  people less than 2% of them had slaves, most white immigrants since then were greater numbers
[03:07:33.600 --> 03:07:37.440]  than the total number of people that had already been here from previous immigration. So there's
[03:07:37.440 --> 03:07:43.160]  more people that came here after slavery than came here before slavery. That was back under
[03:07:43.160 --> 03:07:50.240]  slavery 2%, after zero. And it's like this thing where, well, you're white, you're inherently
[03:07:50.240 --> 03:07:53.880]  bad. I mean, all the Muslims are running slave trafficking all over the Middle East and all
[03:07:53.880 --> 03:07:57.960]  over Africa. And it's like, it's okay though. We won't say it's Muslims. We'll just have
[03:07:57.960 --> 03:08:03.640]  specials about why they're selling poor black people. And they go, oh, they're migrants.
[03:08:03.640 --> 03:08:09.400]  No, it's the migrants selling them. It's the Islamists selling. So that's all coming up.
[03:08:09.400 --> 03:08:13.240]  I wanted to finish up with Matt and then go to John Rappaport. He's taken over. No more
[03:08:13.240 --> 03:08:16.160]  fake news.com. Matt in Ohio. Go ahead and make your point, my friend.
[03:08:16.160 --> 03:08:21.080]  It's real quick too, man. I love what you do. And I love all the interviews that you've
[03:08:21.080 --> 03:08:26.040]  done. And I think that, you know, I'm getting sick and tired of you being attacked. Oh,
[03:08:26.040 --> 03:08:31.280]  Alex Jones is racist. Alex Jones is sexist. I think one thing, one strategy to consider,
[03:08:31.280 --> 03:08:36.520]  and I know you guys work on a lot of stuff, is to do compilation videos of like all the
[03:08:36.520 --> 03:08:42.320]  amazing interviews that you've done with African Americans, like Professor Griff or KRS-1
[03:08:42.320 --> 03:08:48.640]  or Louis Farrakhan, do a compilation of all these, or Pastor Manning, do a compilation
[03:08:48.640 --> 03:08:53.040]  video of your interaction with these folks. Because if they're going to throw out, oh,
[03:08:53.040 --> 03:08:58.680]  Alex Jones is a racist, someone who might type in on YouTube, Alex Jones is a racist.
[03:08:58.680 --> 03:09:03.160]  And then they might come across a video of these compilation videos. I think, I think
[03:09:03.160 --> 03:09:07.840]  the compilation videos that you and your crew have been doing have been super effective.
[03:09:07.840 --> 03:09:12.400]  No, no, I agree. And we should do, we should do compilations with real liberals that are
[03:09:12.400 --> 03:09:17.120]  real liberals that have come on. But, but, but let me expand on that. Paul Watson came
[03:09:17.120 --> 03:09:21.320]  out yesterday and he said, well, the president might have looked at who he tweeted with these
[03:09:21.320 --> 03:09:26.120]  Islamist murders, because that group has done a little stuff on the edge. We don't want
[03:09:26.120 --> 03:09:30.280]  to be alt right. We're, we're, you know, we're just patriots, libertarians, new right, whatever.
[03:09:30.280 --> 03:09:35.440]  I'm just a libertarian. Thomas Jefferson is a liberal. And so I see why Paul, he tweets
[03:09:35.440 --> 03:09:39.400]  about everything. He didn't mean that as throwing Trump under the bus. The media jumped on it
[03:09:39.400 --> 03:09:45.480]  and said, even white supremacists, Paul Watson, who talks about the West, because doing that's
[03:09:45.480 --> 03:09:51.560]  white supremacist now. If you don't hate the West, even he did this show. Paul wasn't trying
[03:09:51.560 --> 03:09:57.040]  to curry favor with mainstream media. He was being honest about groups that he thinks goes
[03:09:57.040 --> 03:10:01.680]  too far. And then they, they would, oh, really, you're a white supremacist. I thought, oh,
[03:10:01.680 --> 03:10:06.400]  we got you now. Hell, they may claim you as a child molester tomorrow. That's what I've
[03:10:06.400 --> 03:10:12.320]  noticed is it's like pizza gay. We're covering the WikiLeaks. We're covering the spirit cooking.
[03:10:12.320 --> 03:10:15.240]  We're covering the Alistair Crowley stuff. We're covering the emails that they don't
[03:10:15.240 --> 03:10:19.320]  want to talk about the media. We'll have the kids for entertainment in that hot tub and
[03:10:19.320 --> 03:10:23.160]  Podesta. We're going to have blood and semen serve for you tonight. I mean, you can't make
[03:10:23.160 --> 03:10:27.880]  this stuff up. This is real. So the media focused on a pizza place, diverted everybody
[03:10:27.880 --> 03:10:33.080]  on to that in another city. We kind of covered it and looked at it and said, no, we think
[03:10:33.080 --> 03:10:38.960]  that's a diversion from this. They used us retracting the coverage we've made saying now
[03:10:38.960 --> 03:10:44.720]  we're sure this is a honeypotted diversion to then go like we're weak and then say all
[03:10:44.720 --> 03:10:49.000]  of that was us and there's no pedophilia anywhere in the world and none of it's happening and
[03:10:49.000 --> 03:10:53.640]  then use us as an apologist to claim that, you know, the Vatican's not involved and Hollywood's
[03:10:53.640 --> 03:10:58.120]  not involved and they use me to say, Jones says there's no pedophilia in the world. Never
[03:10:58.120 --> 03:11:03.680]  said it. So then I'm like, oh, I get how they do that. That's how they project it. But God
[03:11:03.680 --> 03:11:07.560]  bless you. I appreciate you pointing that out. So I'm not up here on a high horse with Paul.
[03:11:07.560 --> 03:11:10.280]  I just said, Hey, you notice, I called him last night and I said, you notice you're getting
[03:11:10.280 --> 03:11:13.920]  torn up. He goes, Yeah, all I did was say, you know, gosh, they could have tweeted this
[03:11:13.920 --> 03:11:17.720]  from other sites so he wouldn't get attacked for this group. And I said, Yeah, but whatever,
[03:11:17.720 --> 03:11:19.720]  Paul said, don't we say you're getting torn up and he goes, Yeah, I didn't even know
[03:11:19.720 --> 03:11:22.760]  they would do this. They're just so desperate. And I said, notice how they act like you're
[03:11:22.760 --> 03:11:26.920]  a white supremacist now. See, because they go, Oh, you're scared of being called a racist.
[03:11:26.920 --> 03:11:32.160]  You're a Nazi. You know, you like halfway criticized a group that might go a little
[03:11:32.160 --> 03:11:36.560]  too far and act too much like the other racist side. Oh, you must be weak. We're going to
[03:11:36.560 --> 03:11:42.600]  attack you for that. Now, we found how to get Paul with our race bullying. See, that's
[03:11:42.600 --> 03:11:47.480]  why you never give into any of it because it's all pure crud by globalist social engineers
[03:11:47.480 --> 03:11:50.720]  pushing a total race based narrative. Now, by the way, I'm going to announce this on
[03:11:50.720 --> 03:11:54.040]  there. So I get it going. John Rappaport is going to be a reporter for us on the ground
[03:11:54.040 --> 03:11:57.680]  on the East Coast, and he's going to send us perspectives and ideas and he's getting
[03:11:57.680 --> 03:12:02.480]  the crew together. He's going to start doing live feeds, start doing tape, special reports.
[03:12:02.480 --> 03:12:06.440]  He's really worked as an amazing producer and researcher and investigative journalist.
[03:12:06.440 --> 03:12:10.840]  No more fake news.com. He's had that for 15 years and find his art, his, his, his articles,
[03:12:10.840 --> 03:12:14.480]  his reports there on the site. He's a great guy. So you're taking over my friend, but
[03:12:14.480 --> 03:12:21.760]  just briefly, what do you make of just the current state of total hysteria and all these
[03:12:21.760 --> 03:12:26.560]  people getting burned with their own sexual harassment brush? I see it as the globalist
[03:12:26.560 --> 03:12:30.520]  getting rid of a bunch of leftists that failed to deliver the new world order. They already
[03:12:30.520 --> 03:12:34.720]  knew about all this stuff. They admit they're now just using it to get rid of the low hanging
[03:12:34.720 --> 03:12:41.680]  fruit and cut costs because this signifies the final death spiral of mainstream media.
[03:12:41.680 --> 03:12:48.840]  Yeah. And one of the biggest Alex, and maybe my favorite is Charlie Rose, because this
[03:12:48.840 --> 03:12:55.920]  guy has been putting out more globalist gibberish for decades on PBS and then CBS and almost
[03:12:55.920 --> 03:13:01.920]  anybody else. And I went back and I looked into the record. This is on Charlie Rose's
[03:13:01.920 --> 03:13:11.600]  own site. Listen to this. He interviewed George Soros 10 times, his big new Brzezinski 13
[03:13:11.600 --> 03:13:16.520]  times, and Henry Kissinger 11. That's just to pick out three of the biggest globalists
[03:13:16.520 --> 03:13:20.560]  on the planet. And they burned him in one second flat when they were done with him like
[03:13:20.560 --> 03:13:28.720]  toilet paper. Bang. Exactly. So he's been sort of the bon vivant man about town catching
[03:13:28.720 --> 03:13:33.520]  all these great interviews with people. They get on a show and they talk about one world
[03:13:33.520 --> 03:13:39.600]  and the interdependence of everything and the money changing into something else. And
[03:13:39.600 --> 03:13:45.480]  it's just basically incredible gibberish. I mean, you can barely understand it, but
[03:13:45.480 --> 03:13:49.880]  you get the picture that he's been promoting globalism for all these years. The globalist
[03:13:49.880 --> 03:13:55.200]  darling instantly flushed for a decade. They knew what does that signify? They realized
[03:13:55.200 --> 03:14:00.800]  all their investment in the mainstream media is now dead on arrival. Exactly. They don't
[03:14:00.800 --> 03:14:07.320]  know what to do. And they're also going to build this and infor was as far as I know
[03:14:07.320 --> 03:14:12.480]  the first to point this out quite some time ago. They're going to build this step by step
[03:14:12.480 --> 03:14:18.080]  making a higher and higher wave of we the media will even expose our own. Look what
[03:14:18.080 --> 03:14:23.400]  we did to Matt Lauer. Look at this. Look at that. We're so sincere and honest and accurate.
[03:14:23.400 --> 03:14:31.120]  So now when we finally say at the top of the wave, the biggest sex abuser is Donald Trump.
[03:14:31.120 --> 03:14:34.720]  Yes. Everybody's going to believe us. They want to get rid of all their dead weight,
[03:14:34.720 --> 03:14:38.600]  all their failures they've been covering up for. They can try to sell us on being legitimate
[03:14:38.600 --> 03:14:43.120]  and then create a wave of hysteria where if someone says you shook a woman's hand, it's
[03:14:43.120 --> 03:14:49.200]  the death penalty. Yeah, that's the other thing. Anything at that point will be considered
[03:14:49.200 --> 03:14:55.040]  an attack, an incredible attack. And of course, this goes along completely with the whole
[03:14:55.040 --> 03:15:01.280]  university insanity about being triggered at anything anybody does or anything anybody
[03:15:01.280 --> 03:15:08.400]  says or if somebody happens to show up in a group and has, I don't know, pinkish, whiteish
[03:15:08.400 --> 03:15:15.720]  skin, whatever. That's another trigger. You know, this is all just a gigantic Psyop that
[03:15:15.720 --> 03:15:22.800]  is sucking in millions of young kids all over the world. This is a total racism reboot.
[03:15:22.800 --> 03:15:30.200]  Exactly. Exactly. Backwards eugenicism. It's total race reboot. They're trying to get us
[03:15:30.200 --> 03:15:33.920]  all fighting with each other instead of coming together against the globalist and incredible.
[03:15:33.920 --> 03:15:40.320]  One of the smartest guys I know, Mr. Rapaport, no more fake news dot com takes over in T minus
[03:15:40.320 --> 03:15:44.840]  four minutes. Please, whether you're watching on local TV stations, listening on radio
[03:15:44.840 --> 03:15:53.080]  or on different video feeds, spread those links. You are the power. You are the resistance.
[03:15:53.080 --> 03:15:58.080]  Heart disease is on the rise. Clogged arteries, high blood pressure and high cholesterol levels
[03:15:58.080 --> 03:16:02.880]  may not be fully detected by you, but the symptoms are there. Loss of energy, blood
[03:16:02.880 --> 03:16:07.760]  sugar spikes and drops, poor circulation and irregular heartbeat are just a few of these
[03:16:07.760 --> 03:16:12.520]  that can alert you that something is wrong. Hear how heart and body extract is making
[03:16:12.520 --> 03:16:17.880]  a difference in thousands of people's lives across America. My blood pressure has normalized.
[03:16:17.880 --> 03:16:22.400]  My diabetes has totally improved. Everyone is telling me now how much healthier I look
[03:16:22.400 --> 03:16:27.040]  and I'm feeling how much healthier I feel. I recommend heart and body extract to everyone.
[03:16:27.040 --> 03:16:32.240]  Maybe over 40 in the North American continent should be using this product as a preventative
[03:16:32.240 --> 03:16:36.840]  to keep their cardiovascular system healthy. Order your two months supply today by calling
[03:16:36.840 --> 03:16:46.880]  866-295-5305. That's 866-295-5305 or order online hbextract.com. Heart and body extract
[03:16:46.880 --> 03:16:55.840]  866-295-5305 or hbextract.com. ID stronghold wallets are different. They
[03:16:55.840 --> 03:17:00.120]  may look the same on the outside. They're stylish. They'll hold your cards in cash,
[03:17:00.120 --> 03:17:05.520]  but they're hiding something great on the inside. No, there are no pyrotechnics and
[03:17:05.520 --> 03:17:11.480]  it doesn't sing when you open it, but it does have magical powers. ID stronghold wallets
[03:17:11.480 --> 03:17:16.120]  protect your critical information and identity from thieves standing right next to you. Protect
[03:17:16.120 --> 03:17:21.320]  your family this holiday season with affordable leather ID stronghold wallets and purses.
[03:17:21.320 --> 03:17:25.880]  Everyone can buy a cheap RFID scanner online and snag your information just by walking
[03:17:25.880 --> 03:17:31.360]  past you. Contactless credit cards, debit cards, even your work ID bag. ID stronghold
[03:17:31.360 --> 03:17:37.240]  was the first to pioneer RFID blocking technology over 12 years ago. Secure your identity and
[03:17:37.240 --> 03:17:42.440]  save 10% by using coupon code present for a limited time at idstronghold.com. That's
[03:17:42.440 --> 03:17:54.240]  coupon code present also available at wallmark.com, eBay, Amazon or QVC. ID stronghold.com.
[03:17:54.240 --> 03:18:00.520]  I'm so excited. The new product at m4warslife.com. In a glass bottle, two month servings filled
[03:18:00.520 --> 03:18:07.000]  to the brim, filled to the absolute top, the real red pill. This is a heart and brain
[03:18:07.000 --> 03:18:12.680]  pill, a new tropic that doesn't have any stimulants in it. But boy, does it stimulate because
[03:18:12.680 --> 03:18:19.040]  it's beyond that. Quite frankly, I just went off what I saw medical doctors prescribing
[03:18:19.040 --> 03:18:24.720]  to their patients, but it wasn't prescription, but they were charging people $100, $200 for
[03:18:24.720 --> 03:18:31.280]  the formulae. And I came up with our own formula working with scientists and developers. Non-GMO
[03:18:31.280 --> 03:18:37.080]  made right here in America, 120 capsules. And ladies and gentlemen, you add the preglonone
[03:18:37.080 --> 03:18:42.560]  to it, which is the precursor to all the hormones that your body has to have to even make the
[03:18:42.560 --> 03:18:50.440]  hormones in your glands. It is amazing. Red pill now available at m4warsstore.com and your
[03:18:50.440 --> 03:18:57.240]  purchase fuzz the operation. I want to plow into all of this. I'm going to spend a few
[03:18:57.240 --> 03:19:04.120]  minutes here first, just encouraging listeners to understand that when you buy t-shirts or
[03:19:04.120 --> 03:19:11.720]  water filtration systems or books or videos or other material from m4warsstore.com, you
[03:19:11.720 --> 03:19:17.200]  are funding the revolution. I mean, I cannot say it any clear. And so it is essential that
[03:19:17.200 --> 03:19:20.920]  you purchase the products at m4warsstore.com. I don't want to thank everybody that has,
[03:19:20.920 --> 03:19:25.840]  but we've got the best fluoride free toothpaste with colloidal silver and with high quality
[03:19:25.840 --> 03:19:30.140]  atomic iodine in it. You cannot beat that for children and adults. We've got the best
[03:19:30.140 --> 03:19:34.960]  mouthwash designed by Dr. Jones. That's my dad, the colloidal silver and iodine as well.
[03:19:34.960 --> 03:19:42.000]  m4warslife.com or triple A 253 3139. And your purchase of the products stands with us, stands
[03:19:42.000 --> 03:19:45.800]  with America, stands with Trump, stands against the globalists and their satanic pedophile
[03:19:45.800 --> 03:19:49.520]  armies. And that's who they are. And they know we know who they are. And they're coming
[03:19:49.520 --> 03:19:55.760]  back against us. So we need your support.
[03:19:55.760 --> 03:20:02.760]  We're listening to the Alex Jones show.
[03:20:25.760 --> 03:20:38.960]  I've got a few stories to cover here. This is under the heading of the globalist medical
[03:20:38.960 --> 03:20:49.120]  cartel and what they are doing to destroy brains, destroy IQ, destroy intelligence,
[03:20:49.120 --> 03:20:55.320]  and so forth, which explains a great deal about why you see so many people around these
[03:20:55.320 --> 03:21:02.400]  days who are acting completely, completely unhinged, irrational and crazy. For example,
[03:21:02.400 --> 03:21:08.960]  we have a recent study out of Mexico on fluorides. And I've interviewed Dr. Paul Connit about
[03:21:08.960 --> 03:21:16.240]  this particular study. And he confirms that it was a well done study. And it shows that
[03:21:16.240 --> 03:21:25.240]  pregnant women who are ingesting the sort of standard normal amount of fluorides that
[03:21:25.240 --> 03:21:31.880]  are present in water and communities that fluoridate, that they are giving birth to
[03:21:31.880 --> 03:21:40.600]  children whose IQ is showing up lower and lower as they get older age 4, age 8, 12,
[03:21:40.600 --> 03:21:49.160]  so on and so forth. That is a mind boggler, a mind boggler because fluorides are being
[03:21:49.160 --> 03:21:58.240]  used so widely around the planet. And local communities are, yes, they're opting out.
[03:21:58.240 --> 03:22:04.760]  But for example, in New Zealand, there is a giant fight on right now in that whole country
[03:22:04.760 --> 03:22:09.080]  to prevent local communities from being able to say, hey, we don't want any fluoride.
[03:22:09.080 --> 03:22:12.760]  And by the way, the more higher educated in the area, the less vaccines and less fluoridation.
[03:22:12.760 --> 03:22:17.200]  And as you know, they're trying to use it more and more as a pesticide. And then it
[03:22:17.200 --> 03:22:21.400]  bio accumulates into the food we're eating. So we're being bombarded by this halogen.
[03:22:21.400 --> 03:22:23.800]  Sorry, I was just sitting there having my lunch listening to you. Go ahead.
[03:22:23.800 --> 03:22:29.800]  Yeah, absolutely. In New Zealand, what's happening is that the federal government wants to turn
[03:22:29.800 --> 03:22:37.060]  over all fluoridation decisions to what they call district councils. These are big groups
[03:22:37.060 --> 03:22:42.920]  under the federal government. So the communities will no longer have a say in whether they
[03:22:42.920 --> 03:22:46.600]  want to be fluoridated or not. That's the battle that's happening in New Zealand right
[03:22:46.600 --> 03:22:47.600]  now.
[03:22:47.600 --> 03:22:51.000]  So translate that the government's federally going to come in. It won't give you any federal
[03:22:51.000 --> 03:22:54.520]  money to update your water systems is how they work. If they raise regulations where
[03:22:54.520 --> 03:22:57.440]  you've got to do this, then they say, oh, we have groups are willing to come in and
[03:22:57.440 --> 03:23:01.000]  do this. If you have this bond proposal, but we're going to fluoridate that lowers your
[03:23:01.000 --> 03:23:05.040]  IQ and gives you cancer, but we love you. It's liberal. Go ahead and do it.
[03:23:05.040 --> 03:23:11.200]  Sure, exactly. And you don't know what's good for you. We do. And so we're going to impose
[03:23:11.200 --> 03:23:17.880]  it on you because you're stupid to understand what's best for you, which is that you become
[03:23:17.880 --> 03:23:22.200]  pawns in the globalist game of controlling society.
[03:23:22.200 --> 03:23:29.520]  Okay, so that's one example of what I'm talking about. Now in Australia, which is like a testing
[03:23:29.520 --> 03:23:35.040]  ground for the rest of the world in many respects, and I have by now lots of friends
[03:23:35.040 --> 03:23:42.240]  down there, here's what's happening in the province or territory or state of Victoria.
[03:23:42.240 --> 03:23:47.200]  They've got a health minister down there who is completely uneducated and ignorant and
[03:23:47.200 --> 03:23:53.680]  lunatic on the subject of all children have to be vaccinated, all children, no exemptions
[03:23:53.680 --> 03:24:01.000]  and whatever. And so her latest ploy is to say, we don't even care what doctors say,
[03:24:01.000 --> 03:24:07.120]  medical doctors. If medical doctors start writing exemptions for children so they don't
[03:24:07.120 --> 03:24:13.720]  have to get vaccinated, A, we're going to ignore that and B, we're going to go after
[03:24:13.720 --> 03:24:21.280]  the doctors and label them as rogue doctors and we can strip their license, prevent them
[03:24:21.280 --> 03:24:27.200]  from earning a living, make them an outlier and an exile. And we knew that's the next
[03:24:27.200 --> 03:24:31.920]  phase, making doctors and nurses take the deadly vaccines is about running the ones
[03:24:31.920 --> 03:24:35.420]  out that are actually awake. This is real terrorism.
[03:24:35.420 --> 03:24:40.240]  Terrorism completely. And then here's the kicker in Australia and look for this to be
[03:24:40.240 --> 03:24:47.120]  coming wherever you live. In order for somebody to say, a parent, listen, I don't want my
[03:24:47.120 --> 03:24:52.680]  child to get vaccinated, the step will be, okay, now we're going to open up all your
[03:24:52.680 --> 03:24:57.880]  child's medical records. Here they are. And we're going to pass them around within the
[03:24:57.880 --> 03:25:03.680]  government to special people who make this decision. And they'll look at all this information
[03:25:03.680 --> 03:25:08.240]  which is supposed to be strictly private, but of course, it's not anymore. And then
[03:25:08.240 --> 03:25:14.040]  the government will decide whether or not to grant an exemption. Of course they won't.
[03:25:14.040 --> 03:25:19.320]  But what they'll usher in is even more exposure of everything that's ever happened to you
[03:25:19.320 --> 03:25:26.040]  medically in your life. It's a criminal investigation without due process by a medical tyranny.
[03:25:26.040 --> 03:25:30.440]  And now they have hundreds of vaccines. They want to make mandatory like Gardasil and others.
[03:25:30.440 --> 03:25:35.320]  This is literally a biological chemical warfare firing squad.
[03:25:35.320 --> 03:25:43.720]  That's right. They have 217 at last count of vaccines in the pipeline that are being
[03:25:43.720 --> 03:25:49.800]  tried out and tested and so forth. So basically what they're going to do is they're going
[03:25:49.800 --> 03:25:55.920]  to make bigger and bigger combination vaccines. In other words, oh, you're getting the vaccine
[03:25:55.920 --> 03:26:02.840]  for disease A, B, C, D, E, F, G, H, all in one bang shot. The baby is six months old.
[03:26:02.840 --> 03:26:07.880]  The baby never recovers. The baby is autistic has brain damage. And the doctor says, not
[03:26:07.880 --> 03:26:12.360]  my fault has nothing to do with the vaccine. The only way they're going to be able to
[03:26:12.360 --> 03:26:19.000]  deliver that many vaccines is to group them all together and collect them into super poisonous,
[03:26:19.000 --> 03:26:26.200]  toxic, gigantic bombshells of chemical warfare. That's what they're after. And to mandate it
[03:26:26.200 --> 03:26:30.360]  for everybody. Sure. Well, the 223 round was meant to get around hollow points not being used
[03:26:30.360 --> 03:26:34.920]  in a Geneva convention. It's so high velocity it bounce around and cause people to be wounded,
[03:26:34.920 --> 03:26:41.400]  not killed, putting pressure on the economy of the enemy army. They admit this, all these soft
[03:26:41.400 --> 03:26:46.520]  kill weapons, bio weapons, the GMO, the vaccines are meant to weigh down and break down society.
[03:26:46.520 --> 03:26:51.080]  This is the weapon system against the family. Then all the gender, garbage and all that is
[03:26:51.080 --> 03:26:58.680]  also meant to confuse it. Yeah, of course, by the use of multiple pesticides that change endocrine
[03:26:58.680 --> 03:27:03.400]  levels and estrogen levels and so forth and so on, which they, you know, the experts just
[03:27:03.400 --> 03:27:09.000]  continue denying it. Oh, it has no effect on hormone levels. So it has nothing to do with
[03:27:09.000 --> 03:27:15.480]  producing men who aren't men anymore and women who aren't exactly women anymore. This whole
[03:27:15.480 --> 03:27:24.360]  campaign to scramble all the genders and now say to little kids in school, you know, age four or
[03:27:24.360 --> 03:27:30.840]  five, oh, you can choose what you want to be. You want to be this or a man. This is a strategic
[03:27:30.840 --> 03:27:37.320]  plan. Boom, boom. Even admitted in the White House science are a book. I mean, this is an admitted
[03:27:37.320 --> 03:27:43.320]  plan that this is an industrial level beyond the Manhattan Project Exterminus program. What do we
[03:27:43.320 --> 03:27:50.920]  do? That's right. This is the attack, the chemical warfare attack. And it's all being engineered
[03:27:50.920 --> 03:27:57.400]  through the medical cartel. That's why for the last 15 years longer, actually, I've been writing so
[03:27:57.400 --> 03:28:05.240]  much about the medical cartel because it's really the chemical. It is the eugenics arm. It is there.
[03:28:05.240 --> 03:28:09.720]  It is the tip of their spear. It is how they're carrying out their secret testing program in the
[03:28:09.720 --> 03:28:16.840]  public. That's right. And now several other studies have come along, including a new study
[03:28:16.840 --> 03:28:25.320]  that talks about incredibly high levels of aluminum found in the brain tissue of children,
[03:28:25.320 --> 03:28:32.600]  autistic children who have died, autistic children who have died. And we know that aluminum is in
[03:28:32.600 --> 03:28:38.840]  all, almost all vaccines. We'll be back. That's right. John Robbaport, NoMoreFakeNews.com is
[03:28:38.840 --> 03:28:44.200]  hosting so good, though, like a little bird sitting on his shoulder. I keep popping in. You may know
[03:28:44.200 --> 03:28:49.720]  my name. I'm Alex Jones. Overcovering is horrible, but the truth will set us free. Stay with us.
[03:28:52.440 --> 03:28:57.320]  Most people think life insurance pays after you're dead. That's true. But did you know you can have
[03:28:57.320 --> 03:29:02.760]  tax-free access to your life insurance while you're still alive? You can use the life benefits of
[03:29:02.760 --> 03:29:07.800]  your life insurance to grow your money with certainty and guarantees. No stock market risk,
[03:29:07.800 --> 03:29:13.640]  no tax risk, and no penalties. Call Life Benefits if you'd like a free book about how this can be
[03:29:13.640 --> 03:29:25.720]  done. Call 702-660-7000. That's 702-660-7000. Want revenge on the common housefly? Well,
[03:29:25.720 --> 03:29:31.480]  after 10,000 years, someone has finally come up with a better way. The Bug Assault, a miniaturized
[03:29:31.480 --> 03:29:37.480]  shotgun, which utilizes ordinary table salt as ammunition. Non-toxic and no batteries required.
[03:29:37.480 --> 03:29:43.000]  So much fun. You'll forget you have a wife and kids. $39.95 and free economy shipping.
[03:29:43.000 --> 03:29:48.200]  Use discount code GCN and get an extra 10% off your purchase at bugassault.com.
[03:29:48.200 --> 03:29:51.480]  Makes the perfect stocking stuffer. Get your Bug Assault today.
[03:29:51.480 --> 03:29:57.880]  Refresh your breath with Imrex Essentials Organic Mouthwash.
[03:29:58.440 --> 03:30:03.000]  Honor Formula is made from organic herbal ingredients to help stimulate the gums and
[03:30:03.000 --> 03:30:08.120]  provide a cleansing effect while adding a pleasant, refreshing taste. Imrex Essentials
[03:30:08.120 --> 03:30:15.160]  Mouthwash is non-GMO, certified organic made without alcohol, chemicals, or other artificial
[03:30:15.160 --> 03:30:21.720]  ingredients such as flavors, fragrances, or dyes. The pure organic plant extracts are concentrated
[03:30:21.720 --> 03:30:27.000]  containing antibacterial properties that work well to help tone gums and freshen your breath.
[03:30:27.000 --> 03:30:31.960]  This antiseptic mouthwash is a concentrated formula. You will need to dilute one part
[03:30:31.960 --> 03:30:37.400]  mouthwash with a 10-barts water. Imrex Essentials Mouthwash is a great addition to your daily
[03:30:37.400 --> 03:30:43.080]  brushing routine. It is effective, yet gentle enough for the most sensitive gums and canker
[03:30:43.080 --> 03:30:49.800]  sores. Go organic today with Imrex Essentials. Visit infowarstore.com to learn more. That's
[03:30:49.800 --> 03:30:58.600]  infowarstore.com. You deserve a deep rest whole sleep with Knockout by Infowars Life.
[03:30:58.600 --> 03:31:05.400]  Our organic formula is made from high quality natural ingredients such as valerian root extract,
[03:31:05.400 --> 03:31:12.120]  L-tryptophan, lemon balm leaf extract, and melatonin. Knockout packs a powerful punch to get
[03:31:12.120 --> 03:31:17.400]  you through the night and achieve proper sleep. Millions of people around the world experience
[03:31:17.400 --> 03:31:23.160]  daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[03:31:23.160 --> 03:31:29.240]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[03:31:29.240 --> 03:31:35.160]  and get the sleep you need. Wake up refreshed and take on the day. Infowars Life wants to bring
[03:31:35.160 --> 03:31:41.320]  you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[03:31:41.320 --> 03:31:47.640]  Get the sleep you deserve and experience the power of Knockout. Head on over to infowarstore.com
[03:31:47.640 --> 03:31:55.080]  and say goodbye to fatigue. That's infowarstore.com. After years of research working with top
[03:31:55.080 --> 03:32:00.600]  developers here in the United States with the latest cutting-edge science, we are rolling out
[03:32:00.600 --> 03:32:08.840]  three new digestive gut aids. One of them is a powerful pro digestive enzyme carnivore for
[03:32:08.840 --> 03:32:14.600]  being able to break down meat and other proteins better. And then the other two is a powerful
[03:32:14.600 --> 03:32:22.200]  50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
[03:32:22.200 --> 03:32:28.360]  And we also have an everyday extremely affordable fluorolive everyday maintenance. But all of these
[03:32:28.920 --> 03:32:36.360]  are the very cutting-edge top-of-the-line probiotics and digestive enzymes at an extremely
[03:32:36.360 --> 03:32:43.400]  affordable price. That is my goal here is to bring you the very best at the lowest price.
[03:32:43.400 --> 03:32:48.920]  When you purchase it at infowarstore.com you know you are also financing the attack on the
[03:32:48.920 --> 03:33:13.480]  globalist and the defense of our republic and freedom worldwide.
[03:33:19.000 --> 03:33:24.440]  The Alex Jones Show and now your host John Rappaport.
[03:33:27.240 --> 03:33:30.440]  Back in the fourth hour here sitting in for Alex John Rappaport,
[03:33:30.440 --> 03:33:36.040]  Merry Christmas and early Merry Christmas to everybody. I guess that's now supposed to be
[03:33:36.040 --> 03:33:43.720]  a crime right? Oh he said Merry Christmas and he meant it. So let me segue right into this
[03:33:43.720 --> 03:33:55.880]  10% off. Offer on infowarstore digital gift cards are now on sale for 10% off with the coupon code
[03:33:55.880 --> 03:34:04.200]  bonus at the infowarstore.com. So that means you can give your friends these cards for Christmas.
[03:34:04.840 --> 03:34:10.600]  You don't have to be crushed into oblivion at the malls and department stores and so forth.
[03:34:10.600 --> 03:34:18.840]  You just give them these gift cards, info wars gift cards and now get 10% off with the coupon
[03:34:18.840 --> 03:34:27.560]  code bonus and they can select from any of the massive number of products at info wars
[03:34:28.440 --> 03:34:35.640]  to buy for themselves. They support the info war, they get great products, the info war expands
