[00:00:30.179 --> 00:00:30.566]  I'll play.
[03:05:24.389 --> 03:05:27.150]  And I fundamentally, at a cellular level, understand it.
[03:05:27.150 --> 03:05:28.051]  Now, if I would've...
[03:05:31.701 --> 03:05:33.001]  We're good to go.
[03:05:55.009 --> 03:06:02.292]  Because I knew it was the right thing to do during a crisis to make sure people were incentivized to up their body's defenses.
[03:06:02.292 --> 03:06:05.994]  But now I'm telling you, with the economic crisis going on, get your storable food now.
[03:06:08.686 --> 03:06:18.596]  What InfoWars has been able to do, thanks to your support and your prayers and your word of mouth, has been nothing short of historic and truly epic.
[03:06:18.596 --> 03:06:22.461]  This is the battle for the future of humanity.
[03:06:22.461 --> 03:06:29.088]  And now, open world government is being established with an endgame to depopulate the planet.
[03:06:29.788 --> 03:06:35.192]  Now, the internal operations of the globalists are being externalized.
[03:06:35.192 --> 03:06:37.773]  You must decide which side you're on.
[03:06:37.773 --> 03:06:46.039]  Living in denial, having mass Stockholm Syndrome, learned helplessness will only deliver you into misery, destruction, and finally, death.
[03:06:46.039 --> 03:06:51.262]  And this is a spiritual death we're talking about, not just a physical death.
[03:06:51.262 --> 03:06:52.844]  The delusions must end now.
[03:06:53.800 --> 03:06:59.184]  Infowars was correct about it all, and we have come so far by exposing the enemy.
[03:06:59.184 --> 03:07:03.127]  Most people that are aware of the New World Order decide to join it out of fear.
[03:07:03.127 --> 03:07:04.448]  They are truly fools.
[03:07:04.448 --> 03:07:11.113]  We must fight this, or lose our souls.
[03:07:11.113 --> 03:07:13.795]  You're listening to the Alex Jones Show.
[03:07:28.212 --> 03:07:43.255]  This is not satire.
[03:07:43.255 --> 03:07:44.016]  Would you do this?
[03:07:44.016 --> 03:07:46.236]  Would you get in one of those little tables and bump around?
[03:07:47.819 --> 03:07:49.582]  Absolutely!
[03:07:49.582 --> 03:07:54.089]  When I first saw this, I'm like, we've needed these for years!
[03:07:54.089 --> 03:07:54.770]  Come on!
[03:07:54.770 --> 03:08:01.300]  You're at a bar, you've had a few too many, you're a little wobbly, these drinking tubes are gonna save lives!
[03:08:02.182 --> 03:08:02.943]  It's perfect!
[03:08:02.943 --> 03:08:04.645]  You just bounce off your friend!
[03:08:04.645 --> 03:08:08.390]  And then, then I started thinking, where have I seen these before?
[03:08:08.390 --> 03:08:09.611]  These look familiar.
[03:08:09.611 --> 03:08:12.214]  And they look like those little toddler walkers.
[03:08:12.214 --> 03:08:14.737]  You know when you have an infant that doesn't know how to walk yet?
[03:08:14.737 --> 03:08:17.921]  You just, you just flop them in one of those things.
[03:08:17.921 --> 03:08:19.723]  That's when I'm out.
[03:08:19.723 --> 03:08:21.105]  I haven't thought of it this way.
[03:08:22.498 --> 03:08:23.619]  Oh absolutely!
[03:08:23.619 --> 03:08:25.500]  I haven't thought of it that way.
[03:08:25.500 --> 03:08:27.741]  I just don't know how do you get out from under it.
[03:08:27.741 --> 03:08:31.464]  Okay folks, this is not satire, this is not a joke.
[03:08:31.464 --> 03:08:42.911]  On Fox News, they're promoting a bar called Fishtails in Maryland, where you wear a giant size inner tube around you.
[03:08:44.997 --> 03:08:48.399]  So that you don't bump into other people as part of the social distancing.
[03:08:48.399 --> 03:08:53.001]  This is a giant Stockholm Syndrome Milgram experiment.
[03:08:53.001 --> 03:08:55.782]  Stanford Prison experiment.
[03:08:55.782 --> 03:08:57.683]  This is pure evil.
[03:08:57.683 --> 03:09:05.147]  So Communist China a month ago had kids wearing Styrofoam noodles on their heads.
[03:09:06.124 --> 03:09:07.805]  We're like, oh, look at the Chinese Communists!
[03:09:07.805 --> 03:09:10.967]  And now, this is what goes on in America.
[03:09:10.967 --> 03:09:17.410]  And now, in Europe, Public Humiliation Cafe makes customers wear stupid hats to enforce social distancing.
[03:09:17.410 --> 03:09:20.111]  Well, they're not calling it fishtails anymore.
[03:09:20.111 --> 03:09:22.953]  They're calling it dumbfucks.
[03:09:22.953 --> 03:09:28.896]  For the dumbest fucking people on Earth.
[03:09:28.896 --> 03:09:32.018]  You know, I don't normally use non-King's English here, but
[03:09:33.362 --> 03:09:38.807]  You got Alan Dershowitz saying, if you don't take this forced inoculation and leave America, we're going to take you to a prison facility.
[03:09:38.807 --> 03:09:43.230]  We're going to forcibly inoculate you and jam a needle in your arm or rape you.
[03:09:43.230 --> 03:09:45.012]  I use a little profanity for that.
[03:09:45.012 --> 03:09:46.433]  You got to denote it by that.
[03:09:46.433 --> 03:09:47.554]  And now this.
[03:09:47.554 --> 03:09:49.756]  This is dumb, dumb, dumbs.
[03:09:49.756 --> 03:09:53.199]  Dumb Dumbs is the name of the new bar that everyone should go to.
[03:09:53.199 --> 03:09:56.582]  All right, we're going to take calls here a few segments.
[03:09:57.619 --> 03:10:00.540]  And then there's a banned video that's going up at Banned.Video.
[03:10:00.540 --> 03:10:04.261]  Wow, I knew Banned.Video would be big, but it's getting really big.
[03:10:04.261 --> 03:10:07.141]  We got lots of videos like every day with a million views or more.
[03:10:07.141 --> 03:10:22.105]  And it's all these banned medical doctors, heads of virology at Rockefeller Hospital, and heads of virology in Australia, and heads of... Nobel Prize winners for virology coming out and saying COVID-19's a hoax.
[03:10:22.105 --> 03:10:25.226]  They'll have a million, ten million, fifteen million views, they get banned.
[03:10:27.492 --> 03:10:31.595]  I just have the crew, I go, hey, any medical doctor you see with a half million views, they'll be banned.
[03:10:31.595 --> 03:10:32.515]  Go ahead and grab it.
[03:10:32.515 --> 03:10:36.158]  And we have it, and we post it.
[03:10:36.158 --> 03:10:41.922]  And the globalists are so pissed because we weren't supposed to be here, and it's only been the fire hoses of money.
[03:10:44.557 --> 03:10:52.201]  That you've given us to fight the leftist Clinton-funded Soros lawsuits and their operations with intelligence and our counterintelligence.
[03:10:52.201 --> 03:10:57.024]  I mean, it's been a war here, and it's been beautiful, and you've kept us in the fight.
[03:10:57.024 --> 03:11:02.626]  And they are so pissed!
[03:11:02.626 --> 03:11:07.549]  Alright, let me go to your calls, but these aren't just names I'm throwing out to sound smart.
[03:11:07.549 --> 03:11:10.150]  Look into Stockholm Syndrome.
[03:11:10.150 --> 03:11:10.851]  That's what this is.
[03:11:12.182 --> 03:11:16.444]  And they've got a certain number of followers that will follow any order they're given.
[03:11:16.444 --> 03:11:19.286]  They're called idiots.
[03:11:19.286 --> 03:11:20.726]  Oh, we're open, but it's okay.
[03:11:20.726 --> 03:11:26.790]  You're wearing these inner tubes around you.
[03:11:26.790 --> 03:11:27.610]  Learned helplessness.
[03:11:27.610 --> 03:11:28.370]  Oh, that's really important.
[03:11:28.370 --> 03:11:29.191]  You want to look into that.
[03:11:30.356 --> 03:11:32.297]  That's what leftism and being a victim is all about.
[03:11:32.297 --> 03:11:33.778]  That's the most important thing.
[03:11:33.778 --> 03:11:35.059]  Milgram experiment.
[03:11:35.059 --> 03:11:37.641]  They got the average college student over 90%.
[03:11:37.641 --> 03:11:39.382]  I think they killed other people under orders.
[03:11:39.382 --> 03:11:40.603]  That's what you're seeing right now.
[03:11:40.603 --> 03:11:42.504]  The authority figures give orders.
[03:11:42.504 --> 03:11:44.966]  Stanford prison experiment.
[03:11:44.966 --> 03:11:49.429]  The prisoners acted just like guards within a day of training.
[03:11:49.429 --> 03:11:50.389]  Well, the training's important.
[03:11:50.389 --> 03:11:54.412]  They get into their role.
[03:11:54.412 --> 03:11:58.595]  Right now, let's go to your phone calls on this Live Monday.
[03:12:00.256 --> 03:12:03.098]  May 18th Transmission.
[03:12:03.098 --> 03:12:16.870]  That hundreds and hundreds and hundreds and hundreds of millions of dollars of your money has gone into to keep on air.
[03:12:16.870 --> 03:12:20.233]  Hundreds of millions.
[03:12:20.233 --> 03:12:21.795]  You know, most talk show hosts that have a show
[03:12:23.208 --> 03:12:29.673]  A third my size had private $50 million, $25 million jets and 20 room mansions in there.
[03:12:29.673 --> 03:12:32.575]  Just a big plastic wife and all this other crap.
[03:12:32.575 --> 03:12:34.476]  I took all that money and put it right back in there.
[03:12:34.476 --> 03:12:49.126]  You know what satellite uplinks and bandwidth and a hundred crew members for all the systems and all the legal and all the rights you got to pay for and all the streaming and all the stuff and all the, all the.
[03:12:49.126 --> 03:12:49.907]  In 26 years on air,
[03:12:51.493 --> 03:12:54.854]  I did the math about a year ago, it was a staggering amount of money.
[03:12:54.854 --> 03:13:01.916]  It was something like $400 million.
[03:13:01.916 --> 03:13:10.058]  But you know the New York Times and CNN and all them, they cost something like $800 million a year to run a piece.
[03:13:10.058 --> 03:13:14.219]  But think about what we've done together.
[03:13:14.219 --> 03:13:15.720]  Oh, by the way, that's a gross number.
[03:13:15.720 --> 03:13:18.381]  I did that with sponsors and selling products, so we only get part of that number.
[03:13:21.652 --> 03:13:27.555]  $25 million a year of actual funding, we've done what would take them $100-$200 million to do.
[03:13:27.555 --> 03:13:34.318]  And that's why they hate us too, because of the fact that we're fast, and we're light, and we're real, and it just totally pisses them off.
[03:13:34.318 --> 03:13:36.619]  So I'm gonna go to break, and I promise I'll go to your calls in the last two segments.
[03:13:36.619 --> 03:13:43.402]  I'm gonna get to Caleb, and Meredith, and Gian, and Carlos, and Gabriel, and Jefferson, and Jason, and Noel.
[03:13:43.402 --> 03:13:44.482]  But I'll throw out those numbers.
[03:13:44.482 --> 03:13:48.124]  It's not like, oh, hundreds of millions of dollars, I'm big and powerful.
[03:13:48.124 --> 03:13:48.884]  No, it's not that.
[03:13:48.884 --> 03:13:50.445]  It's that the people built something,
[03:13:52.799 --> 03:13:54.260]  And thank God I didn't buy that private jet.
[03:13:54.260 --> 03:13:56.921]  They tried to sell me a couple of them.
[03:13:56.921 --> 03:14:02.064]  We did all this and it's so valuable how we've changed the course of the world.
[03:14:02.064 --> 03:14:09.567]  Just a few good men and women supporting the truth and spreading the word and standing with what they knew was true, even though you were attacked and demonized for it.
[03:14:09.567 --> 03:14:18.412]  And now we've changed the world together.
[03:14:18.412 --> 03:14:18.932]  It's incredible.
[03:14:20.269 --> 03:14:22.519]  And we've paid the crew members well as well.
[03:14:23.993 --> 03:14:26.055]  Something all Hollywood and all the scum don't do.
[03:14:26.055 --> 03:14:32.779]  I mean, we've done it right and proven against all odds that people want freedom, and that's why they're so angry.
[03:14:32.779 --> 03:14:37.863]  All this evil's taking over, and all these horrible things are happening.
[03:14:37.863 --> 03:14:47.530]  They just think it would be Bill Gates on every channel, smiling down in his pink sweater with his wife with an upside-down cross, just telling you we're coming, there's no hope, there's no choice.
[03:14:47.530 --> 03:14:52.194]  You're getting a shot, and I've got liability protection, so say bye to your testicles.
[03:14:54.318 --> 03:14:58.021]  But because of all of you, it didn't happen that way, so I'm going to plug for 30 seconds.
[03:14:58.021 --> 03:14:59.062]  We're going to go to break, and that's it.
[03:14:59.062 --> 03:15:00.844]  I'm not going to plug the next two segments.
[03:15:00.844 --> 03:15:02.565]  We're running the biggest special of the year.
[03:15:02.565 --> 03:15:06.008]  I've extended it three, four days because I've been too busy coming up with a new special.
[03:15:06.008 --> 03:15:10.652]  Plus, everybody's loving the special, but a bunch of stuff's already sold out or it's selling out.
[03:15:10.652 --> 03:15:14.235]  So all of our best-selling supplements and products are on massive sale.
[03:15:14.235 --> 03:15:15.416]  Infowarrestore.com.
[03:15:16.522 --> 03:15:17.923]  Ultimate Krill, all 50% off.
[03:15:17.923 --> 03:15:19.343]  Survival Shield, actually 50% off.
[03:15:19.343 --> 03:15:20.824]  Luxe Pure Breeze, $100 off retail.
[03:15:20.824 --> 03:15:21.945]  That's the best deal ever.
[03:15:21.945 --> 03:15:23.405]  Thermal Vitality, 35% off.
[03:15:23.405 --> 03:15:24.626]  That stuff's expensive.
[03:15:24.626 --> 03:15:27.687]  Emrix Essentials Hand Sanitizer, 50% off.
[03:15:27.687 --> 03:15:28.588]  With Essential Oils.
[03:15:28.588 --> 03:15:32.490]  8-Pack Power Stack, that's at cost, 70% off.
[03:15:32.490 --> 03:15:34.271]  DNA Force Plus is one thing.
[03:15:34.271 --> 03:15:35.911]  If you have one product, it's that.
[03:15:35.911 --> 03:15:37.892]  DNA Force Plus, 50% off.
[03:15:37.892 --> 03:15:40.594]  Real Red Pill, Red Pill Plus, very close to selling off, 50% off.
[03:15:40.594 --> 03:15:42.414]  Ultra 12, high-quality B12, out of the tongue.
[03:15:44.459 --> 03:15:50.322]  40% off Vitamineral Fusion, 50% off Bodies, 40% off Turbo Force, 40% off Terrible Food available yet again.
[03:15:50.322 --> 03:15:54.484]  And you're just amazing keeping us in the fight, so I'm just very blessed and thankful.
[03:15:54.484 --> 03:16:00.307]  Alright, enough of me!
[03:16:00.307 --> 03:16:03.529]  When we come back, we'll see where these guys are going.
[03:16:06.124 --> 03:16:09.266]  The lockdown is permanent dictatorship.
[03:16:09.266 --> 03:16:23.993]  The lockdown is designed to have the public accept their basic rights being suspended and a global medical tyranny led by the WHO and the Bill and Melinda Gates Foundation in full control.
[03:16:23.993 --> 03:16:26.114]  Many will submit through fear.
[03:16:26.114 --> 03:16:27.815]  Others will be bought off.
[03:16:27.815 --> 03:16:30.296]  But in the end, the globalists admit their
[03:16:31.749 --> 03:16:32.509]  We're good.
[03:16:53.429 --> 03:17:01.397]  I don't like coming to you every day on the radio and TV stations that you watch and listen to us on and telling you all these horrible things.
[03:17:12.088 --> 03:17:16.213]  But you notice, almost everything we've talked about, horrible, has come true.
[03:17:16.213 --> 03:17:20.018]  We were warning everybody to try to stop it.
[03:17:20.018 --> 03:17:24.643]  It's like telling somebody, if you got a pool, put a fence around it if you have little kids.
[03:17:24.643 --> 03:17:27.447]  Because even if they're good swimmers, they can hit their head and drown.
[03:17:27.447 --> 03:17:29.749]  People don't listen, they go out and their kid's dead in the pool.
[03:17:30.430 --> 03:17:34.712]  Well, ladies and gentlemen, this is the death of the third world and the collapse of the first world.
[03:17:34.712 --> 03:17:38.553]  And this is 21st century warfare carried out by the globalists.
[03:17:38.553 --> 03:17:41.174]  And they admit they've orchestrated it.
[03:17:41.174 --> 03:17:43.635]  They admit it's, quote, good to save the Earth.
[03:17:43.635 --> 03:17:45.576]  And they're teaching us to be more frugal.
[03:17:45.576 --> 03:17:50.538]  And they want to make us poor so they can dictate our surrender to this post-human technocracy.
[03:17:51.198 --> 03:17:58.665]  I know all this sounds insane when I was talking about it 25 years ago, but now it's public because it's their operations manual.
[03:17:58.665 --> 03:18:05.831]  I wish this wasn't the case, but there really are evil psychopaths in control of most major institutions and we've got to stop them.
[03:18:05.831 --> 03:18:08.193]  I'm always excited about InfoWars Life products.
[03:18:08.193 --> 03:18:14.178]  They're amazing, they're cutting edge, you love them, I love them, and they fund the InfoWar in the face of the globalist onslaught.
[03:18:14.178 --> 03:18:18.102]  But we have come up with a new product over a year in development
[03:18:19.252 --> 03:18:20.913]  That is amazing.
[03:18:20.913 --> 03:18:28.575]  The only organic hand sanitizer on the market with organic essential oils on top of it.
[03:18:28.575 --> 03:18:30.896]  And there's another innovation.
[03:18:30.896 --> 03:18:32.976]  It's the spray cap.
[03:18:32.976 --> 03:18:38.398]  It doesn't just pour out a bunch of thick, gross goo, but it's high quality.
[03:18:38.398 --> 03:18:40.559]  It aerosolizes it in a really great way.
[03:18:40.559 --> 03:18:41.479]  I like to put it on my hands.
[03:18:42.239 --> 03:18:43.740]  Rub a little bit on my face.
[03:18:43.740 --> 03:18:46.542]  It's got organic alcohol in it, so spray it right in your eyes.
[03:18:46.542 --> 03:18:50.946]  But I just love it, personally, as something that's a moisturizer as well.
[03:18:50.946 --> 03:18:52.747]  So, this is a real innovation.
[03:18:52.747 --> 03:18:59.092]  I don't know why others didn't think of coming out with a hand sanitizer that actually has essential oil in it, so it doesn't dry you out.
[03:18:59.092 --> 03:19:00.633]  It smells great.
[03:19:00.633 --> 03:19:02.435]  It's so refreshing.
[03:19:02.435 --> 03:19:09.100]  This is a big winner.
[03:19:09.100 --> 03:19:11.702]  You're listening to the Alex Jones Show.
[03:19:21.365 --> 03:19:30.068]  I've seen news articles about Native Americans being particularly locked down by their own tribes and local state governments.
[03:19:30.068 --> 03:19:31.508]  Well yeah, they never left martial law.
[03:19:31.508 --> 03:19:38.230]  So let's see what Hoke Sheila, who's a South Dakota Native American, on what's going on with the COVID-19 lockdowns.
[03:19:38.230 --> 03:19:38.850]  Thanks for holding.
[03:19:38.850 --> 03:19:42.591]  Hoke, you're on the air.
[03:19:42.591 --> 03:19:44.012]  Thank you, Alex.
[03:19:44.012 --> 03:19:44.812]  Thanks for holding, sir.
[03:19:44.812 --> 03:19:45.132]  Go ahead.
[03:19:46.748 --> 03:19:52.512]  I wanted to share with the people a message that was given to us in Lakota Sweat Lodge ceremony.
[03:19:52.512 --> 03:20:14.610]  What the spirits told us is that if people up in the northeast of the United States and in Chicago, if they don't get out on the streets soon and start marching on city halls to demand that this lockdown stop, they're not going to be able to do it in the future because they're going to try to keep them in their homes, particularly once the military are on the streets.
[03:20:15.171 --> 03:20:19.118]  People will not be able to organize to resist.
[03:20:19.118 --> 03:20:25.349]  And they said all it takes is just one person or a group of people to just start walking on the streets and calling out people to go.
[03:20:26.912 --> 03:20:28.592]  So I just wanted to get that information.
[03:20:28.592 --> 03:20:29.492]  Well, that's profound.
[03:20:29.492 --> 03:20:31.493]  I've had dreams about that.
[03:20:31.493 --> 03:20:38.254]  Literally just people when we have small demonstrations, government back down because they realize the government doesn't want to do it on average.
[03:20:38.254 --> 03:20:39.614]  It's the evil on top.
[03:20:39.614 --> 03:20:41.394]  We have to make the example for others.
[03:20:41.394 --> 03:20:42.615]  We have to be leaders.
[03:20:42.615 --> 03:20:46.655]  So a lot of us that are leaders don't want to be arrogant, like, oh, I don't want to go out there and lead something.
[03:20:46.655 --> 03:20:47.836]  Someone might get hurt.
[03:20:47.836 --> 03:20:49.996]  Everybody's going to get hurt unless we have to do this.
[03:20:49.996 --> 03:20:51.796]  We have to be leaders.
[03:20:51.796 --> 03:20:54.017]  Oh, oh, it's very true.
[03:20:54.017 --> 03:20:56.097]  And they were what the spirit said.
[03:20:56.573 --> 03:21:03.758]  Is that if people in those areas don't act soon, they're going to get into the situation where they're not going to be able to free themselves.
[03:21:03.758 --> 03:21:05.319]  It's going to be difficult.
[03:21:05.319 --> 03:21:08.641]  Well, there's no doubt because they're going to make you stay in your house to get food.
[03:21:08.641 --> 03:21:12.544]  What else are you guys seeing on the imprint of the universe?
[03:21:12.544 --> 03:21:19.248]  Well, what we were told years ago as well in ceremony, we were told that this would be one of the first incidents.
[03:21:19.248 --> 03:21:20.929]  It would be a pandemic.
[03:21:20.929 --> 03:21:25.272]  And what they said is that the big one that you're talking about, that Bill Gates was referring to,
[03:21:25.788 --> 03:21:29.889]  Which would be the big terror attack, the biological weapon attack.
[03:21:29.889 --> 03:21:38.413]  They told us that when this hits, you're only going to have about 30 to 45 minutes to get out of the big city centers before they quarantine them.
[03:21:38.413 --> 03:21:39.493]  So they said make sure.
[03:21:40.120 --> 03:21:42.081]  Yes, and that's what they told us.
[03:21:42.081 --> 03:21:42.741]  The spirits.
[03:21:42.741 --> 03:21:44.342]  They said.
[03:22:04.082 --> 03:22:10.864]  That people will only have 30 to 45 minutes to get out of the city centers, and after that they won't be able to escape.
[03:22:10.864 --> 03:22:13.745]  It'll be complete quarantine on the big cities.
[03:22:13.745 --> 03:22:19.247]  So your particular, is your ancestors spirits, or is it the great spirit through your ancestors?
[03:22:19.247 --> 03:22:21.067]  You said the spirits, what are the spirits?
[03:22:21.067 --> 03:22:23.528]  What we believe in the one God, we're monotheists.
[03:22:23.528 --> 03:22:25.329]  We call him Huan Kuntunka.
[03:22:25.329 --> 03:22:30.410]  And the spirits over our tribe are basically in the Christian religion, the equivalent of angels.
[03:22:30.410 --> 03:22:31.511]  We call them the Tukasha.
[03:22:32.481 --> 03:22:35.470]  And so they're communicators and messengers between the Creator.
[03:22:35.470 --> 03:22:36.412]  We don't worship them.
[03:22:36.412 --> 03:22:37.796]  We worship only the One God.
[03:22:38.900 --> 03:22:39.780]  Uh-huh.
[03:22:39.780 --> 03:22:46.302]  I wanted you to tell people that, Doug, because you're right about the Native American teachings are very similar to Christianity, the Great Spirit.
[03:22:46.302 --> 03:22:48.322]  And this is the big one, though.
[03:22:48.322 --> 03:22:51.663]  I mean, everybody, I call it the imprint, the psychic imprint.
[03:22:51.663 --> 03:22:57.945]  Whether you're in a sweat lodge or you're praying, I mean, it's so intense that this is evil, this is coming to kill us.
[03:22:57.945 --> 03:23:02.006]  And even people that aren't spiritual, are you noticing, understanding, and are really waking up?
[03:23:02.006 --> 03:23:03.586]  It's actually very positive.
[03:23:03.586 --> 03:23:05.667]  I'm seeing a major awakening right now.
[03:23:06.618 --> 03:23:15.204]  Yeah, and I want to thank you for what you're doing, because I want you to know that our traditional spirits and our culture, they have confirmed what you're saying is true.
[03:23:15.204 --> 03:23:17.866]  And this is the big move that they're making now.
[03:23:17.866 --> 03:23:20.607]  We have to act soon, or we're not going to be able to stop it.
[03:23:20.607 --> 03:23:21.408]  Pure death, brother.
[03:23:21.408 --> 03:23:22.789]  God bless you.
[03:23:22.789 --> 03:23:24.150]  This is the big one, folks.
[03:23:24.150 --> 03:23:27.872]  This is training us to be locked down when they really hit us all.
[03:23:27.872 --> 03:23:29.914]  And not to use the Native American riff, but it's true.
[03:23:29.914 --> 03:23:31.094]  It's the concentration camp.
[03:23:31.094 --> 03:23:34.337]  It's the reservation.
[03:23:34.337 --> 03:23:36.298]  But this time, the city's the concentration camp.
[03:23:37.392 --> 03:23:39.713]  So, the meek will inherit the earth.
[03:23:39.713 --> 03:23:42.914]  All those that want to be in the cities and act cool, they're done.
[03:23:42.914 --> 03:23:47.476]  And it's a very frightening time, folks, but we're scared to take action.
[03:23:47.476 --> 03:23:49.776]  We should be scared and take action.
[03:23:49.776 --> 03:23:54.358]  Let's go ahead and talk to Carlos in Canada, then we'll go to Gabriel and others.
[03:23:54.358 --> 03:23:55.118]  Carlos, thanks for holding.
[03:23:55.118 --> 03:23:56.459]  Go ahead.
[03:23:56.459 --> 03:23:57.639]  Thank you, Alex.
[03:23:57.639 --> 03:24:05.122]  I just wanted to mention to you that in the context of the art of war, you must know your enemy.
[03:24:05.697 --> 03:24:09.698]  But you must also know why you're fighting your enemy.
[03:24:09.698 --> 03:24:15.319]  And it seems that the Antichrist is really the enemy.
[03:24:15.319 --> 03:24:16.899]  It has been for some time.
[03:24:16.899 --> 03:24:19.860]  It's been something that happened many, many years ago.
[03:24:19.860 --> 03:24:23.621]  Yeah, why would Melinda Gates wear an upside-down cross?
[03:24:23.621 --> 03:24:25.761]  I mean, these people are sick.
[03:24:25.761 --> 03:24:29.382]  Well, that's because she is a member of the Antichrist.
[03:24:29.382 --> 03:24:34.223]  And if you know why these individuals are the way they are, it's straightforward.
[03:24:34.659 --> 03:24:37.721]  There was a period of time which most people don't understand.
[03:24:37.721 --> 03:24:38.782]  It's rooted.
[03:24:38.782 --> 03:24:39.563]  It's not simple.
[03:24:39.563 --> 03:24:44.346]  It's not coming from Mars or from Plato's, you know, arguments.
[03:24:44.346 --> 03:24:54.474]  It's coming from the fact that a number of international financiers in the year, three years before 1776, in 1773, they got together.
[03:24:54.474 --> 03:24:56.015]  These people were atheists.
[03:24:56.015 --> 03:24:58.237]  They weren't of any particular religion.
[03:24:58.237 --> 03:25:00.759]  They were acting against the principle of their own religion.
[03:25:01.252 --> 03:25:01.452]  I think?
[03:25:16.472 --> 03:25:23.575]  At that time, after the peace of Westphalia, all the governments of Europe basically had agreed.
[03:25:23.575 --> 03:25:24.155]  Exactly.
[03:25:24.155 --> 03:25:33.559]  The governments of Europe had capitulated to Christianity in the Renaissance, and so the evil needed to absolutely destroy those governments now, which they're now doing again.
[03:25:33.559 --> 03:25:35.480]  That's right.
[03:25:35.480 --> 03:25:42.903]  And what they decided was, and you see it all the way to, if you want to call it all the way to the present, all the way to Libya.
[03:25:43.416 --> 03:25:44.978]  They destroy countries.
[03:25:44.978 --> 03:25:46.599]  They don't care who rebuilds them.
[03:25:46.599 --> 03:25:47.620]  The last thing they want... Exactly.
[03:25:47.620 --> 03:25:49.502]  They want to destroy civilization.
[03:25:49.502 --> 03:25:50.443]  And that's the thing.
[03:25:50.443 --> 03:25:52.825]  The left claims, oh, we're going to take over and build something.
[03:25:52.825 --> 03:25:54.807]  No, you idiots.
[03:25:54.807 --> 03:25:59.672]  It's a literal weapon to destroy humanity.
[03:25:59.672 --> 03:26:02.855]  But it's essentially to keep in mind that this is strictly
[03:26:04.589 --> 03:26:12.534]  No, Carlos, you're really smart.
[03:26:12.534 --> 03:26:13.195]  Let me ask you this.
[03:26:13.195 --> 03:26:17.378]  I don't want to be over positive, but I don't want to be over negative.
[03:26:17.378 --> 03:26:20.279]  I've been really depressed the last month, but now I'm really feeling good.
[03:26:20.279 --> 03:26:21.420]  I'm seeing a huge awakening.
[03:26:21.420 --> 03:26:22.801]  I walk in stores now.
[03:26:22.801 --> 03:26:24.222]  People are high.
[03:26:24.222 --> 03:26:25.423]  I'm not bragging.
[03:26:25.423 --> 03:26:26.644]  It's a bellwether.
[03:26:26.644 --> 03:26:28.965]  I walked in a grocery store this week.
[03:26:28.965 --> 03:26:29.726]  I was mobbed.
[03:26:30.658 --> 03:26:33.219]  People say screw Bill Gates, we all know it's BS.
[03:26:33.219 --> 03:26:35.861]  I was mobbed, people grabbing on me.
[03:26:35.861 --> 03:26:38.202]  So I mean, and I'm just a bellwether.
[03:26:38.202 --> 03:26:41.484]  The average person doesn't know other people, so they don't know how pissed folks are.
[03:26:41.484 --> 03:26:45.205]  I don't think this is going like the devil wanted it to.
[03:26:45.205 --> 03:26:49.488]  Well, it's not necessarily the devil, it's the Antichrist, you see.
[03:26:49.488 --> 03:26:54.070]  The Antichrist is against the value systems that Christ imposed.
[03:26:54.070 --> 03:26:56.151]  Nagar, but isn't the Antichrist the son of the devil?
[03:26:57.329 --> 03:27:05.133]  Well, to a very large extent, it is a 666 individual that was mentioned and exists in the scripture.
[03:27:05.133 --> 03:27:07.934]  But, you must understand... You're a smart guy, Carlos.
[03:27:07.934 --> 03:27:09.094]  You've been calling for 15 years.
[03:27:09.094 --> 03:27:09.735]  Explain to me.
[03:27:09.735 --> 03:27:10.655]  I respect you.
[03:27:10.655 --> 03:27:14.697]  What's the difference in your eschatology from the devil and the antichrist?
[03:27:14.697 --> 03:27:15.938]  Very straightforward.
[03:27:15.938 --> 03:27:18.019]  The devil is a fallen spirit.
[03:27:18.019 --> 03:27:20.039]  It is a spirit based on material world.
[03:27:21.605 --> 03:27:29.533]  And the devil sends the beast with wrath, so the creation of humans with evil, our congress with Satan creates the beast, is what you're saying?
[03:27:29.533 --> 03:27:32.917]  What I'm saying to you is that the devil always tells you
[03:27:33.396 --> 03:27:33.977]  Get behind me!
[03:28:02.938 --> 03:28:06.601]  They've gotten trillions of dollars on which people will have to pay.
[03:28:06.601 --> 03:28:10.163]  So the devil's one entity, but the Antichrist is a system?
[03:28:10.163 --> 03:28:11.044]  Exactly.
[03:28:11.044 --> 03:28:17.588]  The Antichrist is the material expression of that which Jesus Christ tried to tell everybody.
[03:28:17.588 --> 03:28:23.693]  If you have spiritual life, you must help each other to find eternal freedom, eternal life.
[03:28:23.693 --> 03:28:27.275]  And the material world says, you don't need Christ.
[03:28:27.275 --> 03:28:28.556]  You see, these individuals in 1773,
[03:28:30.399 --> 03:28:30.539]  Yes.
[03:28:43.232 --> 03:28:45.354]  And they even had Jefferson on their side for a while.
[03:28:45.354 --> 03:28:46.314]  Alright, you're a smart guy.
[03:28:46.314 --> 03:28:47.755]  Always impressed, Carlos.
[03:28:47.755 --> 03:28:50.117]  I'm rampaging through your calls on the other side.
[03:28:50.117 --> 03:28:51.458]  We're going to go bam, bam, bam.
[03:28:51.458 --> 03:28:58.143]  I'm getting to Noel and Jason and Jefferson and Gabriel and Ken and Jimmy and Jim and Meredith and Caleb.
