[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[3:13:43.000 --> 3:13:45.000]  Because it's going to affect the world.
[3:13:45.000 --> 3:13:47.000]  You know, people didn't want to touch DVDs six, seven years ago.
[3:13:47.000 --> 3:13:49.000]  The newest thing was Netflix and all the computers.
[3:13:49.000 --> 3:13:51.000]  Now everybody has a nostalgia. DVDs are coming back.
[3:13:51.000 --> 3:13:54.000]  The stuff disappears, stuff gets re-edited, stuff gets destroyed.
[3:13:54.000 --> 3:13:58.000]  So get the film, burn copies, put it on your hard drive,
[3:13:58.000 --> 3:14:02.000]  share it everywhere, take clips out of it, re-edit it, do whatever you want.
[3:14:02.000 --> 3:14:04.000]  I'll stand on my head and light my hair on fire
[3:14:04.000 --> 3:14:06.000]  if you'll just fight the globalist.
[3:14:06.000 --> 3:14:08.000]  It's only going to get worse.
[3:14:08.000 --> 3:14:10.000]  This is life and death.
[3:14:10.000 --> 3:14:12.000]  Now people get why I'm so upset.
[3:14:12.000 --> 3:14:14.000]  You know how many people I know in Austin
[3:14:14.000 --> 3:14:16.000]  whose children, girls and boys have died
[3:14:16.000 --> 3:14:18.000]  after taking these damn shots?
[3:14:18.000 --> 3:14:20.000]  I know five people whose children have died of heart attacks.
[3:14:20.000 --> 3:14:22.000]  Healthy children.
[3:14:22.000 --> 3:14:24.000]  Now they're coming for the under-12s.
[3:14:24.000 --> 3:14:26.000]  Are we going to just roll over to this?
[3:14:26.000 --> 3:14:28.000]  Or are we going to fight back?
[3:14:28.000 --> 3:14:30.000]  Get COVID Land Part 1, The Lockdown for $19.95
[3:14:30.000 --> 3:14:32.000]  with a free copy of in-game now.
[3:14:32.000 --> 3:14:34.000]  Get it.
[3:14:34.000 --> 3:14:36.000]  And down the road, hopefully they'll do some deals
[3:14:36.000 --> 3:14:38.000]  where you get like 10 copies for $20 or something.
[3:14:38.000 --> 3:14:40.000]  But right now, they will need to make their money back
[3:14:40.000 --> 3:14:42.000]  because he needs to pay for all the flights
[3:14:42.000 --> 3:14:44.000]  and all the hotels and all the people
[3:14:44.000 --> 3:14:46.000]  for the filmmaker
[3:14:46.000 --> 3:14:48.000]  and the crew.
[3:14:48.000 --> 3:14:50.000]  So infowarstore.com or triple-825-33139.
[3:14:50.000 --> 3:14:52.000]  Do not wait, take action.
[3:14:52.000 --> 3:14:54.000]  God bless you all.
[3:14:54.000 --> 3:14:56.000]  Alright, J. Dyer is amazing.
[3:14:56.000 --> 3:14:58.000]  He knows even more than I do about the latest globalist reset in their books.
[3:14:58.000 --> 3:15:00.000]  He's read hundreds of them.
[3:15:00.000 --> 3:15:02.000]  Even though I learn stuff when I do,
[3:15:02.000 --> 3:15:04.000]  because it just pisses me off so bad.
[3:15:04.000 --> 3:15:06.000]  But actually, I do read constantly.
[3:15:06.000 --> 3:15:08.000]  But he reads even more than I do.
[3:15:08.000 --> 3:15:10.000]  And he'll tell you how their point blank coming for you and your family
[3:15:10.000 --> 3:15:12.000]  and the attack is now.
[3:15:12.000 --> 3:15:14.000]  And then coming up in 45 minutes,
[3:15:14.000 --> 3:15:16.000]  Owen Shroyer and The War Room
[3:15:16.000 --> 3:15:18.000]  kicking butt, great guests, great calls.
[3:15:18.000 --> 3:15:20.000]  Owen is just doing a great job.
[3:15:20.000 --> 3:15:22.000]  Infowars.com
[3:15:22.000 --> 3:15:24.000]  forward slash show, Band-Aught Video.
[3:15:24.000 --> 3:15:26.000]  I don't keep coming to you and saying we got to fight.
[3:15:26.000 --> 3:15:28.000]  We got to fight because it's a war.
[3:15:28.000 --> 3:15:30.000]  Not like on a football game where you cheer your team
[3:15:30.000 --> 3:15:32.000]  and maybe it helps them.
[3:15:32.000 --> 3:15:34.000]  You are under attack. You are on the field.
[3:15:34.000 --> 3:15:36.000]  You are in a death battle against
[3:15:36.000 --> 3:15:38.000]  the New World Order.
[3:15:38.000 --> 3:15:40.000]  Even those of you that pose like you're part of the system
[3:15:40.000 --> 3:15:42.000]  and laugh this off because you're delusional,
[3:15:42.000 --> 3:15:44.000]  you're being targeted as well. You will pay.
[3:15:44.000 --> 3:15:46.000]  You will be killed.
[3:15:46.000 --> 3:15:48.000]  The globalists will implant you with cancer
[3:15:48.000 --> 3:15:50.000]  and you will die just like your father.
[3:15:50.000 --> 3:16:00.000]  We'll be right back. Stay with us.
[3:16:20.000 --> 3:16:22.000]  Hey everybody, confused about staying healthy
[3:16:22.000 --> 3:16:24.000]  in a crazy COVID culture?
[3:16:24.000 --> 3:16:26.000]  Me too.
[3:16:26.000 --> 3:16:28.000]  But listen, after all the research,
[3:16:28.000 --> 3:16:30.000]  all the conflicting studies,
[3:16:30.000 --> 3:16:32.000]  after all the squabbling,
[3:16:32.000 --> 3:16:34.000]  there's one thing almost everyone agrees on.
[3:16:34.000 --> 3:16:36.000]  It's that immune system health
[3:16:36.000 --> 3:16:38.000]  can literally be the difference between life and death.
[3:16:38.000 --> 3:16:40.000]  You probably already believe that.
[3:16:40.000 --> 3:16:42.000]  I certainly do.
[3:16:42.000 --> 3:16:44.000]  So here's the thing.
[3:16:44.000 --> 3:16:46.000]  I wanted to get past the craziness
[3:16:46.000 --> 3:16:48.000]  and find out one thing
[3:16:48.000 --> 3:16:50.000]  to get past the craziness
[3:16:50.000 --> 3:16:52.000]  and find out which plant-based substances
[3:16:52.000 --> 3:16:54.000]  actually have studies that demonstrate
[3:16:54.000 --> 3:16:56.000]  some efficacy in immune support.
[3:16:56.000 --> 3:16:58.000]  Now, you'll have to sign a waiver
[3:16:58.000 --> 3:17:00.000]  but you can check out what I've discovered
[3:17:00.000 --> 3:17:02.000]  at StrongerDefense.com.
[3:17:02.000 --> 3:17:04.000]  No cures or treatments there.
[3:17:04.000 --> 3:17:06.000]  Instead, little known but shocking
[3:17:06.000 --> 3:17:08.000]  immune system research
[3:17:08.000 --> 3:17:10.000]  and a breakthrough immune support product
[3:17:10.000 --> 3:17:12.000]  based on that research called
[3:17:12.000 --> 3:17:14.000]  Immune10x.
[3:17:14.000 --> 3:17:16.000]  In the best part, you can go to the StrongerDefense website
[3:17:16.000 --> 3:17:18.000]  and name your own supply of Immune10x
[3:17:18.000 --> 3:17:20.000]  without paying anything today.
[3:17:20.000 --> 3:17:22.000]  Crazy, right?
[3:17:22.000 --> 3:17:24.000]  Learn more about this unusual, limited-time offer
[3:17:24.000 --> 3:17:26.000]  at StrongerDefense.com
[3:17:26.000 --> 3:17:47.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house. I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[3:17:47.000 --> 3:17:57.000]  All such thing is a hopeless tax case. Call 834-NO-TAX
[3:17:59.000 --> 3:18:01.000]  It's only been in the last 60 years
[3:18:01.000 --> 3:18:03.000]  that we've had satellites that can decently
[3:18:03.000 --> 3:18:06.000]  measure what's happening in the atmosphere.
[3:18:06.000 --> 3:18:08.000]  But if you look at all the different studies
[3:18:08.000 --> 3:18:11.000]  about my NASA and other governments and other agencies,
[3:18:11.000 --> 3:18:14.000]  they all disagree on what's really happening with the climate.
[3:18:14.000 --> 3:18:17.000]  The only constant, the only great truth is
[3:18:17.000 --> 3:18:20.000]  change is the only constant.
[3:18:20.000 --> 3:18:23.000]  So yes, climate change is totally real.
[3:18:23.000 --> 3:18:26.000]  But notice, first they called it global freezing back in the 70s and 80s
[3:18:26.000 --> 3:18:28.000]  and then it's going to be global warming
[3:18:28.000 --> 3:18:30.000]  and that didn't really happen the way they wanted it to.
[3:18:30.000 --> 3:18:32.000]  Okay, now it's just climate change.
[3:18:32.000 --> 3:18:34.000]  But did you know that man-made climate change
[3:18:34.000 --> 3:18:36.000]  is a real thing
[3:18:36.000 --> 3:18:38.000]  when it comes to the United Nations
[3:18:38.000 --> 3:18:40.000]  and the Department of Energy
[3:18:40.000 --> 3:18:42.000]  and Bill Gates and the UN?
[3:18:42.000 --> 3:18:44.000]  They control trees for 1979
[3:18:44.000 --> 3:18:46.000]  and Bill Gates has been manipulating the weather
[3:18:46.000 --> 3:18:48.000]  for a very long time.
[3:18:48.000 --> 3:18:50.000]  In fact, back in 1994, two scientists won a Nobel Prize
[3:18:50.000 --> 3:18:52.000]  for an idea of spraying different particles
[3:18:52.000 --> 3:18:54.000]  out of jet engines to control the weather.
[3:18:54.000 --> 3:18:57.000]  So yes, man-made climate change is real.
[3:18:59.000 --> 3:19:02.000]  If you think the puppet president, Joe Biden,
[3:19:02.000 --> 3:19:05.000]  coming out and announcing that 100 million Americans
[3:19:05.000 --> 3:19:08.000]  are going to be forced to take experimental shots
[3:19:08.000 --> 3:19:10.000]  or lose their jobs,
[3:19:10.000 --> 3:19:12.000]  we understand we know the blueprint of the UN.
[3:19:12.000 --> 3:19:14.000]  They've stated their plan.
[3:19:14.000 --> 3:19:16.000]  Contact tracers coming to your house,
[3:19:16.000 --> 3:19:18.000]  10 forced injections a year,
[3:19:18.000 --> 3:19:20.000]  the destruction of your immune system,
[3:19:20.000 --> 3:19:22.000]  the depopulation of the planet
[3:19:22.000 --> 3:19:24.000]  and the vaccine passport
[3:19:24.000 --> 3:19:26.000]  on your, quote, iPhone or droid,
[3:19:26.000 --> 3:19:28.000]  tracking and tracing everything you do
[3:19:28.000 --> 3:19:30.000]  and telling you when you can go outside of your house
[3:19:30.000 --> 3:19:32.000]  or where you can go, not just for COVID-19,
[3:19:32.000 --> 3:19:34.000]  but for carbon taxes.
[3:19:34.000 --> 3:19:36.000]  So as I've said a thousand times,
[3:19:36.000 --> 3:19:38.000]  submission is death.
[3:19:38.000 --> 3:19:40.000]  You give in to this just for your job
[3:19:40.000 --> 3:19:42.000]  or to be able to go to the bar
[3:19:42.000 --> 3:19:44.000]  or to be able to, quote, flaunt an airplane.
[3:19:44.000 --> 3:19:46.000]  Then they're going to slowly put the screws in
[3:19:46.000 --> 3:19:48.000]  with these apps on your phone
[3:19:48.000 --> 3:19:50.000]  to control where you go and what you do
[3:19:50.000 --> 3:19:52.000]  and dog train you right into total slavery.
[3:19:52.000 --> 3:19:54.000]  This is criminal, it's illegal,
[3:19:54.000 --> 3:19:56.000]  it's tyranny and we must resist
[3:19:56.000 --> 3:20:08.000]  and not comply.
[3:20:26.000 --> 3:20:28.000]  You know, it's a really lame thing
[3:20:28.000 --> 3:20:30.000]  to spend years building
[3:20:30.000 --> 3:20:32.000]  your own alternative media platform,
[3:20:32.000 --> 3:20:34.000]  profile, work, content,
[3:20:34.000 --> 3:20:36.000]  how did it happen to me
[3:20:36.000 --> 3:20:38.000]  and you get the platform, right?
[3:20:38.000 --> 3:20:40.000]  You build an audience
[3:20:40.000 --> 3:20:42.000]  and really a lot of these tech companies,
[3:20:42.000 --> 3:20:44.000]  they relied on the creativity
[3:20:44.000 --> 3:20:46.000]  and the power of the people,
[3:20:46.000 --> 3:20:48.000]  their audience, they bring everybody on
[3:20:48.000 --> 3:20:50.000]  as a bridge and then once
[3:20:50.000 --> 3:20:52.000]  they've built the platform, everybody's there,
[3:20:52.000 --> 3:20:54.000]  then they screw over the people
[3:20:54.000 --> 3:20:56.000]  and demonetize them, deplatform them
[3:20:56.000 --> 3:20:58.000]  and so forth, it's happened to me,
[3:20:58.000 --> 3:21:00.000]  I've lost my website in the past,
[3:21:00.000 --> 3:21:02.000]  I've lost monetization on YouTube
[3:21:02.000 --> 3:21:04.000]  and we've also had people on as guests
[3:21:04.000 --> 3:21:06.000]  who are in the sphere
[3:21:06.000 --> 3:21:08.000]  of entertainment, comedy, we've had
[3:21:08.000 --> 3:21:10.000]  Sam Tripoli, we've had Sam Hyde
[3:21:10.000 --> 3:21:12.000]  and now we've got one of the
[3:21:12.000 --> 3:21:14.000]  guys from the skating world,
[3:21:14.000 --> 3:21:16.000]  if you don't know, the skateboarding world has
[3:21:16.000 --> 3:21:18.000]  blowed up, it's gotten crazy, right?
[3:21:18.000 --> 3:21:20.000]  It's now, it's a popular thing,
[3:21:20.000 --> 3:21:22.000]  used to be a nerdy thing
[3:21:22.000 --> 3:21:24.000]  to talk to, a black listed
[3:21:24.000 --> 3:21:26.000]  and censored skater,
[3:21:26.000 --> 3:21:28.000]  his name is Wecking Ball
[3:21:28.000 --> 3:21:30.000]  and he's also a funny guy, he's not just
[3:21:30.000 --> 3:21:32.000]  a skater, he has many talents, he's a renaissance
[3:21:32.000 --> 3:21:34.000]  man
[3:21:34.000 --> 3:21:36.000]  and he is a content
[3:21:38.000 --> 3:21:40.000]  a content creator on Patreon
[3:21:40.000 --> 3:21:42.000]  and I want to talk to him
[3:21:42.000 --> 3:21:44.000]  if he's there, are you there Weck?
[3:21:44.000 --> 3:21:46.000]  Yes sir, I'm here Mr. Jay Dyer.
[3:21:48.000 --> 3:21:50.000]  What's up man, hey
[3:21:50.000 --> 3:21:52.000]  tell us a little bit about yourself
[3:21:52.000 --> 3:21:54.000]  first before we get into what happened
[3:21:54.000 --> 3:21:56.000]  to you and the bad experiences that you've had
[3:21:56.000 --> 3:21:58.000]  how did you get into the world
[3:21:58.000 --> 3:22:00.000]  of skating and then what did you do
[3:22:00.000 --> 3:22:02.000]  to build your own audience and your own
[3:22:02.000 --> 3:22:04.000]  kind of career and then tell us more
[3:22:04.000 --> 3:22:06.000]  about what a pro skater is
[3:22:06.000 --> 3:22:08.000]  versus somebody who's not, how that ties
[3:22:08.000 --> 3:22:10.000]  into the corporate scam of the skateboarding
[3:22:10.000 --> 3:22:12.000]  world and where all that's going?
[3:22:14.000 --> 3:22:16.000]  Surely, first
[3:22:16.000 --> 3:22:18.000]  Jay, I just want to thank you for having me
[3:22:18.000 --> 3:22:20.000]  on the American Far Right
[3:22:20.000 --> 3:22:22.000]  conspiracy theory and fake
[3:22:22.000 --> 3:22:24.000]  news website owned by Alex Jones
[3:22:24.000 --> 3:22:26.000]  it's a pleasure
[3:22:26.000 --> 3:22:28.000]  to be here
[3:22:30.000 --> 3:22:32.000]  Yes, so how I got into skateboarding
[3:22:32.000 --> 3:22:34.000]  is that what you were firstly asking sir?
[3:22:36.000 --> 3:22:38.000]  Yes, a little bit about you
[3:22:38.000 --> 3:22:40.000]  Okay, so
[3:22:40.000 --> 3:22:42.000]  yes, so I got into skateboarding
[3:22:42.000 --> 3:22:44.000]  at a very young age
[3:22:44.000 --> 3:22:46.000]  I like doing athletic things
[3:22:46.000 --> 3:22:48.000]  and I did a lot of team sports
[3:22:48.000 --> 3:22:50.000]  growing up but
[3:22:50.000 --> 3:22:52.000]  they just weren't for me, I didn't really like
[3:22:52.000 --> 3:22:54.000]  the idea of possibly losing
[3:22:54.000 --> 3:22:56.000]  because
[3:22:56.000 --> 3:22:58.000]  somebody else on the team did not perform well
[3:22:58.000 --> 3:23:00.000]  I liked skateboarding because it was
[3:23:00.000 --> 3:23:02.000]  something that I could do
[3:23:02.000 --> 3:23:04.000]  just by myself with very little
[3:23:04.000 --> 3:23:06.000]  equipment
[3:23:06.000 --> 3:23:08.000]  and it was also
[3:23:08.000 --> 3:23:10.000]  something that
[3:23:10.000 --> 3:23:12.000]  it was a very creative way
[3:23:12.000 --> 3:23:14.000]  to be athletic, you
[3:23:14.000 --> 3:23:16.000]  learn and you can even create your own tricks
[3:23:16.000 --> 3:23:18.000]  so
[3:23:18.000 --> 3:23:20.000]  for me
[3:23:20.000 --> 3:23:22.000]  growing up as a young kid
[3:23:22.000 --> 3:23:24.000]  that was how I got into it
[3:23:24.000 --> 3:23:26.000]  and I also liked the aspect of it
[3:23:26.000 --> 3:23:28.000]  that it was kind of
[3:23:28.000 --> 3:23:30.000]  like
[3:23:30.000 --> 3:23:32.000]  an underground kind of
[3:23:32.000 --> 3:23:34.000]  status back then
[3:23:34.000 --> 3:23:36.000]  It was a subculture, right?
[3:23:36.000 --> 3:23:38.000]  It was a counterculture subculture
[3:23:38.000 --> 3:23:40.000]  This is in
[3:23:40.000 --> 3:23:42.000]  the late 90s
[3:23:42.000 --> 3:23:44.000]  back then
[3:23:44.000 --> 3:23:46.000]  if you told somebody you skateboard
[3:23:46.000 --> 3:23:48.000]  they probably would just think
[3:23:48.000 --> 3:23:50.000]  you rode the skateboard down the street
[3:23:50.000 --> 3:23:52.000]  to the store or something like that
[3:23:52.000 --> 3:23:54.000]  but
[3:23:54.000 --> 3:23:56.000]  they didn't really understand it
[3:23:56.000 --> 3:23:58.000]  Right, that's what I do now
[3:23:58.000 --> 3:24:00.000]  I used to skate to the street now
[3:24:00.000 --> 3:24:02.000]  Now you're a big segue
[3:24:02.000 --> 3:24:04.000]  Exactly, because I'm just trying to fight
[3:24:04.000 --> 3:24:06.000]  like
[3:24:06.000 --> 3:24:08.000]  carbon and everything so
[3:24:08.000 --> 3:24:10.000]  I put my
[3:24:10.000 --> 3:24:12.000]  heavy truck on pause for now
[3:24:12.000 --> 3:24:14.000]  and I ride my electric segue to the store
[3:24:14.000 --> 3:24:16.000]  so I can get my soy milk
[3:24:16.000 --> 3:24:18.000]  You're a good global citizen, right?
[3:24:18.000 --> 3:24:20.000]  Yes, sir
[3:24:20.000 --> 3:24:22.000]  Alright, so tell us about this
[3:24:22.000 --> 3:24:24.000]  and then you're into skating
[3:24:24.000 --> 3:24:26.000]  you start to build an audience
[3:24:26.000 --> 3:24:28.000]  and you kind of got to where
[3:24:28.000 --> 3:24:30.000]  you're basically at the skill level
[3:24:30.000 --> 3:24:32.000]  of pro but
[3:24:32.000 --> 3:24:34.000]  as you explained to me pro skateboarding
[3:24:34.000 --> 3:24:36.000]  now is kind of like tied into
[3:24:36.000 --> 3:24:38.000]  corporate deals, right?
[3:24:38.000 --> 3:24:40.000]  This is where we get into the bad news
[3:24:40.000 --> 3:24:42.000]  because now they're socially
[3:24:42.000 --> 3:24:44.000]  engineering every niche, every
[3:24:44.000 --> 3:24:46.000]  subculture
[3:24:46.000 --> 3:24:48.000]  That's right, so
[3:24:48.000 --> 3:24:50.000]  I actually built my fan base
[3:24:50.000 --> 3:24:52.000]  around my comedy
[3:24:52.000 --> 3:24:54.000]  and
[3:24:54.000 --> 3:24:56.000]  for lack of better words
[3:24:56.000 --> 3:24:58.000]  maybe trolling on social media
[3:24:58.000 --> 3:25:00.000]  but
[3:25:00.000 --> 3:25:02.000]  the phrase pro skater
[3:25:02.000 --> 3:25:04.000]  to everybody
[3:25:04.000 --> 3:25:06.000]  that is a pro skater
[3:25:06.000 --> 3:25:08.000]  definition or the industry
[3:25:08.000 --> 3:25:10.000]  would be that you are
[3:25:10.000 --> 3:25:12.000]  recognized
[3:25:12.000 --> 3:25:14.000]  by a corporate brand
[3:25:14.000 --> 3:25:16.000]  and they are acknowledging that you're worthy
[3:25:16.000 --> 3:25:18.000]  to be paid and be on their team
[3:25:18.000 --> 3:25:20.000]  but
[3:25:20.000 --> 3:25:22.000]  so that kind of
[3:25:22.000 --> 3:25:24.000]  eliminates any room for
[3:25:24.000 --> 3:25:26.000]  someone doing professional skating
[3:25:26.000 --> 3:25:28.000]  independently
[3:25:28.000 --> 3:25:30.000]  which is what I do
[3:25:30.000 --> 3:25:32.000]  and
[3:25:32.000 --> 3:25:34.000]  it's very tough, a lot of people don't
[3:25:34.000 --> 3:25:36.000]  really agree that I'm
[3:25:36.000 --> 3:25:38.000]  quote unquote a professional skateboarder
[3:25:38.000 --> 3:25:40.000]  but I do sell skateboards
[3:25:40.000 --> 3:25:42.000]  so I'm getting paid to skateboard
[3:25:42.000 --> 3:25:44.000]  which is the definition of being a professional
[3:25:44.000 --> 3:25:46.000]  Well, does that
[3:25:46.000 --> 3:25:48.000]  play more into maybe
[3:25:48.000 --> 3:25:50.000]  the fact that you've trolled a lot of people
[3:25:50.000 --> 3:25:52.000]  that you've done a lot of
[3:25:52.000 --> 3:25:54.000]  I guess you could say
[3:25:54.000 --> 3:25:56.000]  counterculture type of content
[3:25:56.000 --> 3:25:58.000]  you've had some problems with
[3:25:58.000 --> 3:26:00.000]  censorship, right?
[3:26:00.000 --> 3:26:02.000]  Absolutely, and I think
[3:26:02.000 --> 3:26:04.000]  that maybe part of the reason that
[3:26:04.000 --> 3:26:06.000]  these guys don't really
[3:26:06.000 --> 3:26:08.000]  want me to be acknowledged
[3:26:08.000 --> 3:26:10.000]  as being someone that can have an audience
[3:26:10.000 --> 3:26:12.000]  in skateboarding is because I didn't take
[3:26:12.000 --> 3:26:14.000]  the path that they did
[3:26:14.000 --> 3:26:16.000]  and climb up the
[3:26:16.000 --> 3:26:18.000]  ladder of these corporate brands
[3:26:18.000 --> 3:26:20.000]  and pay their dues
[3:26:20.000 --> 3:26:22.000]  I just did it on my own
[3:26:22.000 --> 3:26:24.000]  so they really don't want to acknowledge
[3:26:24.000 --> 3:26:26.000]  what I have
[3:26:26.000 --> 3:26:28.000]  that I deserve it
[3:26:28.000 --> 3:26:30.000]  But Jim, you aren't like
[3:26:30.000 --> 3:26:32.000]  supremely political, right?
[3:26:32.000 --> 3:26:34.000]  You weren't doing a lot of political
[3:26:34.000 --> 3:26:36.000]  skateboarding content
[3:26:36.000 --> 3:26:38.000]  It was just the humor, right?
[3:26:38.000 --> 3:26:40.000]  They went after the Sathur and the comedy, right?
[3:26:40.000 --> 3:26:42.000]  Right, yeah, I still
[3:26:42.000 --> 3:26:44.000]  am not political
[3:26:44.000 --> 3:26:46.000]  Sometimes I'll take stabs
[3:26:46.000 --> 3:26:48.000]  at the NSA
[3:26:48.000 --> 3:26:50.000]  or something like that
[3:26:50.000 --> 3:26:52.000]  but nobody really knows what
[3:26:52.000 --> 3:26:54.000]  my political thoughts are
[3:26:54.000 --> 3:26:56.000]  I don't really get into that
[3:26:56.000 --> 3:26:58.000]  My comedy
[3:26:58.000 --> 3:27:00.000]  as far as the skateboarding
[3:27:00.000 --> 3:27:02.000]  related things go
[3:27:02.000 --> 3:27:04.000]  I just
[3:27:04.000 --> 3:27:06.000]  poke fun at things that are just
[3:27:06.000 --> 3:27:08.000]  goofy and they're like forced
[3:27:08.000 --> 3:27:10.000]  cringe, you know, I'm sure you know about that
[3:27:10.000 --> 3:27:12.000]  I'm an expert at cringe
[3:27:12.000 --> 3:27:14.000]  I'm really skilled with cringe
[3:27:14.000 --> 3:27:16.000]  so yes
[3:27:16.000 --> 3:27:18.000]  Me too, I embrace the cringe
[3:27:18.000 --> 3:27:20.000]  Sometimes I make fun of myself
[3:27:20.000 --> 3:27:22.000]  which is
[3:27:22.000 --> 3:27:24.000]  I don't see how they could get mad
[3:27:24.000 --> 3:27:26.000]  when I'm the butt of the joke sometimes
[3:27:26.000 --> 3:27:28.000]  Right
[3:27:28.000 --> 3:27:30.000]  What happened in terms of the censorship
[3:27:30.000 --> 3:27:32.000]  can you give some examples
[3:27:32.000 --> 3:27:34.000]  you collab with Sam Hyde
[3:27:34.000 --> 3:27:36.000]  was it as a result of that
[3:27:36.000 --> 3:27:38.000]  or were you starting to get heat
[3:27:38.000 --> 3:27:40.000]  prior to that?
[3:27:40.000 --> 3:27:42.000]  No, I can't
[3:27:42.000 --> 3:27:44.000]  I always
[3:27:44.000 --> 3:27:46.000]  As soon as my fan base was being built
[3:27:46.000 --> 3:27:48.000]  I already was done with
[3:27:48.000 --> 3:27:50.000]  because what happened was there was guys
[3:27:50.000 --> 3:27:52.000]  that are in the skateboarding industry
[3:27:52.000 --> 3:27:54.000]  that just know everyone
[3:27:54.000 --> 3:27:56.000]  don't put this guy on your team
[3:27:56.000 --> 3:27:58.000]  Oh wow
[3:27:58.000 --> 3:28:00.000]  Yeah, so
[3:28:00.000 --> 3:28:02.000]  that kind of forced me into doing it myself
[3:28:02.000 --> 3:28:04.000]  anyway, you know and
[3:28:04.000 --> 3:28:06.000]  looking back at that now I'm glad it went that way
[3:28:06.000 --> 3:28:08.000]  because the way that things have spawned now
[3:28:08.000 --> 3:28:10.000]  in the skateboarding industry
[3:28:10.000 --> 3:28:12.000]  like you said it was a counterculture
[3:28:12.000 --> 3:28:14.000]  now that's been replaced with cancel culture
[3:28:14.000 --> 3:28:16.000]  and the entire
[3:28:16.000 --> 3:28:18.000]  skateboarding industry now
[3:28:18.000 --> 3:28:20.000]  and the community is
[3:28:20.000 --> 3:28:22.000]  they're just repeating lib turds stuff
[3:28:22.000 --> 3:28:24.000]  and it's just totally
[3:28:24.000 --> 3:28:26.000]  just some SJW
[3:28:26.000 --> 3:28:28.000]  thing now that they're their own with
[3:28:28.000 --> 3:28:30.000]  so I'm glad that I'm not
[3:28:30.000 --> 3:28:32.000]  affiliated with any of those corporate brands
[3:28:32.000 --> 3:28:34.000]  like Nike or Supreme or anything
[3:28:34.000 --> 3:28:36.000]  and they're not paying me because when
[3:28:36.000 --> 3:28:38.000]  they're giving you a check they have
[3:28:38.000 --> 3:28:40.000]  they can tell you what to do and they can
[3:28:40.000 --> 3:28:42.000]  you know pretty much make your
[3:28:42.000 --> 3:28:44.000]  own ideas for you you've got to agree with them
[3:28:44.000 --> 3:28:46.000]  or they'll just cut you
[3:28:46.000 --> 3:28:48.000]  Right, exactly. Alright, you're listening
[3:28:48.000 --> 3:28:50.000]  to the Alex Jones show on your guest host
[3:28:50.000 --> 3:28:52.000]  Jay Dyer of Jay's Analysis and we're talking to
[3:28:54.000 --> 3:28:56.000]  skateboarder Wacking Ball so stay right
[3:28:56.000 --> 3:29:22.000]  there we'll be right back in just a second.
[3:29:26.000 --> 3:29:28.000]  We're still here and as this whole new
[3:29:28.000 --> 3:29:30.000]  world order comes out and we open
[3:29:30.000 --> 3:29:32.000]  our credibility is going up that's
[3:29:32.000 --> 3:29:34.000]  why we've got to be taking off air that's
[3:29:34.000 --> 3:29:36.000]  why America has got to be taking down
[3:29:36.000 --> 3:29:38.000]  you can't have all these other nations
[3:29:38.000 --> 3:29:40.000]  enslaved and America still quasi free
[3:29:40.000 --> 3:29:42.000]  you can't have info wars has been proven
[3:29:42.000 --> 3:29:44.000]  right be on air with all the craziness
[3:29:44.000 --> 3:29:46.000]  that's about to unfold because if you
[3:29:46.000 --> 3:29:48.000]  think stuff's bad now just get ready
[3:29:48.000 --> 3:29:50.000]  so thank you all and get an info
[3:29:50.000 --> 3:29:52.000]  store.com get some great 2020 election
[3:29:52.000 --> 3:29:54.000]  shirts supplements and so much more
[3:29:54.000 --> 3:29:56.000]  they're wonderful products and they support
[3:29:56.000 --> 3:29:58.000]  the info we're thanking.
[3:29:58.000 --> 3:30:00.000]  In late August info war saw an
[3:30:00.000 --> 3:30:02.000]  explosion of orders
[3:30:02.000 --> 3:30:04.000]  because our audience understands
[3:30:04.000 --> 3:30:06.000]  that the globalist are
[3:30:06.000 --> 3:30:08.000]  destabilizing the planet by design
[3:30:08.000 --> 3:30:10.000]  and are attempting to cause an
[3:30:10.000 --> 3:30:12.000]  economic and financial
[3:30:12.000 --> 3:30:14.000]  collapse worldwide.
[3:30:14.000 --> 3:30:16.000]  Now ladies and gentlemen, storeable food has always
[3:30:16.000 --> 3:30:18.000]  been something that's important to have it's
[3:30:18.000 --> 3:30:20.000]  a check box that everybody needs to have
[3:30:20.000 --> 3:30:22.000]  taking care of right along with water filtration
[3:30:22.000 --> 3:30:24.000]  self-defense and a relationship with God
[3:30:24.000 --> 3:30:26.000]  but now more than ever
[3:30:26.000 --> 3:30:28.000]  you need to get your storeable food orders
[3:30:28.000 --> 3:30:30.000]  in now we're ready to ship to you
[3:30:30.000 --> 3:30:32.000]  within 24 hours of your order it's high
[3:30:32.000 --> 3:30:34.000]  quality it's very very low cost
[3:30:34.000 --> 3:30:36.000]  at infowarstore.com because
[3:30:36.000 --> 3:30:38.000]  in the future you're going to see more food
[3:30:38.000 --> 3:30:40.000]  supply shortages and you're going to see
[3:30:40.000 --> 3:30:42.000]  food supply price increases that are
[3:30:42.000 --> 3:30:44.000]  already taking place so lock in your storeable
[3:30:44.000 --> 3:30:46.000]  food now at a lower price
