[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[03:01:25.591 --> 03:01:30.114]  The Drudge Report abandoned Trump and became indistinguishable from CNN.
[03:01:30.114 --> 03:01:38.079]  Fox News was so eager to call states early for Biden, they were like a giddy child waiting to open his gifts at 6am on Christmas Day.
[03:01:38.079 --> 03:01:40.320]  Only Ben Shapiro threw in the towel quicker.
[03:01:40.320 --> 03:01:42.602]  Articles like this one in The Spectator
[03:01:42.642 --> 03:01:44.684]  I'm voting to make America boring again!
[03:01:44.684 --> 03:01:47.366]  You think they're just gonna let you get on with your lives?
[03:01:47.366 --> 03:01:49.428]  You think everything's gonna return to normal?
[03:02:06.104 --> 03:02:07.224]  Is that normal?
[03:02:07.224 --> 03:02:13.605]  Returning to the fantastic policy of carpet bombing the Middle East to install Islamist dictators.
[03:02:13.605 --> 03:02:14.465]  Is that normal?
[03:02:14.465 --> 03:02:16.626]  Critical race theory brainwashing.
[03:02:16.626 --> 03:02:21.567]  Marxist re-education and social engineering of a generation.
[03:02:21.567 --> 03:02:22.507]  Is that normal?
[03:02:22.507 --> 03:02:29.888]  Handing political capital and influence to the same thugs who've been burning down American cities for the past six months.
[03:02:29.888 --> 03:02:30.628]  Is that normal?
[03:02:30.628 --> 03:02:34.689]  Just because you've cooked for Biden, you don't think they're going to demand more?
[03:02:41.326 --> 03:02:44.987]  Oh, but at least we won't have to defend Trump's impulsive tweets.
[03:02:44.987 --> 03:02:48.468]  What kind of putridly pathetic cowardice is that?
[03:02:48.468 --> 03:02:51.409]  Oh, but under Biden, the country will be brought back together.
[03:02:51.409 --> 03:02:54.090]  He's going to heal and unify the nation.
[03:02:54.090 --> 03:02:57.111]  A nation united, a nation strengthened, a nation healed.
[03:02:57.111 --> 03:02:59.291]  Putting Republicans on lists.
[03:02:59.291 --> 03:03:01.772]  Demanding, quote, pain for Trump supporters.
[03:03:01.912 --> 03:03:07.253]  Saying Trump supporters who want a fair vote count should be barred from future employment.
[03:03:07.253 --> 03:03:12.194]  Threatening to burn down and level the opposition, leaving no survivors.
[03:03:12.194 --> 03:03:17.215]  It's not only that Trump has to lose, but that all his enablers have to lose.
[03:03:17.215 --> 03:03:21.295]  We have to collectively, in essence, burn down the Republican Party.
[03:03:21.295 --> 03:03:22.636]  We have to level them.
[03:03:22.636 --> 03:03:28.296]  Because if there are survivors, if there are people who weather this storm, they will do it again.
[03:03:28.296 --> 03:03:31.057]  Yeah, that doesn't sound like healing rhetoric to me.
[03:03:31.277 --> 03:03:35.479]  We get enough power in the media, and I'm gonna steamroll these sons of b****es.
[03:03:35.479 --> 03:03:36.780]  I'm gonna steamroll them.
[03:03:36.780 --> 03:03:39.021]  We're gonna slaughter the Republicans politically.
[03:03:39.021 --> 03:03:42.542]  Let us hit the Republicans in the face!
[03:03:42.542 --> 03:03:43.623]  2016, Trump won.
[03:03:43.623 --> 03:03:47.645]  He's going to execute all gay and trans people and become a fascist!
[03:03:47.645 --> 03:03:50.726]  2020, punish those who disagree with me and participate in democracy.
[03:03:50.726 --> 03:03:51.567]  Yay, healing!
[03:03:58.704 --> 03:03:59.305]  Unity?
[03:03:59.305 --> 03:04:02.309]  You really think these kind of people are just gonna let you be?
[03:04:02.309 --> 03:04:05.913]  They're already back out on the streets harassing diners.
[03:04:05.913 --> 03:04:09.758]  This isn't just about seizing power, it's about demoralizing a nation.
[03:04:09.758 --> 03:04:14.003]  Many conservatives are now saying they'll never bother voting again after what happened.
[03:04:14.003 --> 03:04:17.508]  It's about making you feel powerless, disenfranchised.
[03:04:17.828 --> 03:04:18.528]  Hopeless.
[03:04:18.528 --> 03:04:22.849]  And suddenly Covid's taken a few days off so they can all have street parties.
[03:04:22.849 --> 03:04:26.530]  You don't get to attend your grandma's funeral because it's too dangerous.
[03:04:26.530 --> 03:04:29.551]  You get screeched at if you get within six feet of them.
[03:04:29.551 --> 03:04:36.533]  But they can all gather in close proximity for a super spreader event and the media affords it endless adulation.
[03:04:36.533 --> 03:04:38.173]  And what are they celebrating?
[03:04:38.173 --> 03:04:39.754]  The end of Trumpism?
[03:04:39.754 --> 03:04:41.334]  The end of populism?
[03:04:41.334 --> 03:04:43.875]  The end of America first nationalism?
[03:04:43.875 --> 03:04:44.575]  Newsflash!
[03:04:44.995 --> 03:04:49.058]  None of that's going anywhere, whether Trump's in the White House or not.
[03:04:49.058 --> 03:04:53.462]  3 million more Americans legitimately voted for it than in 2016.
[03:04:53.462 --> 03:04:55.123]  Hardly a blue wave, is it?
[03:04:55.123 --> 03:04:56.745]  Hardly a repudiation.
[03:04:56.745 --> 03:05:07.934]  Also, speaking of celebrations, the same media that we're supposed to trust with the power to anoint a president, claimed that 5th of November fireworks in the UK, an annual celebration,
[03:05:08.314 --> 03:05:11.296]  Was actually people celebrating Biden winning.
[03:05:11.296 --> 03:05:12.957]  Hey Siri, what's bonfire night?
[03:05:12.957 --> 03:05:17.380]  CNN also lied in claiming church bells rang out in Paris in praise of Biden.
[03:05:17.380 --> 03:05:20.122]  The church released a statement saying otherwise.
[03:05:20.122 --> 03:05:24.464]  Deliberately fake news designed to bolster Biden's legitimacy.
[03:05:24.464 --> 03:05:29.307]  Now suddenly, less than a week after the election, we have a COVID vaccine!
[03:05:29.307 --> 03:05:32.029]  Another stunningly timed coincidence.
[03:05:32.029 --> 03:05:34.711]  Now Biden has his coronavirus task force.
[03:05:35.171 --> 03:05:39.173]  Now he can take credit for saving the world from the pandemic.
[03:05:39.173 --> 03:05:40.974]  Such perfect timing!
[03:05:40.974 --> 03:05:43.756]  Did the Trump campaign make mistakes?
[03:05:43.756 --> 03:05:44.676]  Without a doubt.
[03:05:44.676 --> 03:05:46.177]  Pandering to Israel.
[03:05:46.177 --> 03:05:50.359]  For all his pro-Israel stuff, more Muslims than Jews voted for Trump.
[03:05:50.359 --> 03:05:51.920]  Pandering to minorities.
[03:05:51.920 --> 03:05:55.582]  So Trump got an extra 2% of the black vote compared to 2016.
[03:05:55.582 --> 03:06:02.286]  This is continually lauded by MAGA types who are still obsessed with not having the media call them racist.
[03:06:02.486 --> 03:06:03.407]  And at what cost?
[03:06:03.407 --> 03:06:06.728]  Democrats still got 90% of the black vote.
[03:06:06.728 --> 03:06:10.791]  Trump the racist won more minority votes than any GOP candidate since 1960.
[03:06:10.791 --> 03:06:14.593]  Yeah, but if it turns out he's still lost, so what?
[03:06:14.593 --> 03:06:18.555]  We may have lost the White House, but at least the media can't call us racists.
[03:06:18.555 --> 03:06:19.516]  Who cares?
[03:06:19.516 --> 03:06:28.601]  How much energy did pro-Trump organisations waste in desperately trying to prove they weren't racist instead of using that energy to enlist actual voters?
[03:06:28.601 --> 03:06:29.482]  They hate you.
[03:06:29.482 --> 03:06:31.203]  They're going to call you racist anyway.
[03:06:32.023 --> 03:06:32.744]  Who cares?
[03:06:32.744 --> 03:06:36.347]  Whatever happens in the next few weeks, I think one thing's for certain.
[03:06:36.347 --> 03:06:40.851]  There are going to be quite a few more plot twists before this thing is said and done.
[03:06:40.851 --> 03:06:55.244]  Election 2020 is here, and whether Trump wins or loses, we have all won by exposing the communist Chinese, by exposing the globalists, by exposing the pedophile rings, by exposing the fact this is really a fight between good versus evil.
[03:06:56.125 --> 03:07:00.569]  I'm personally a Christian and I believe in God and I know God's real and I've experienced it in my life.
[03:07:00.569 --> 03:07:05.854]  But even if you don't believe in God, it's important to recognize that there is good in this world, there is evil.
[03:07:05.854 --> 03:07:10.058]  And there are people out there that want to do you harm because they enjoy doing bad.
[03:07:10.058 --> 03:07:19.307]  And what I see happening across the spectrum of different political views is people finally get that, they finally understand that they're not being naive anymore.
[03:07:19.927 --> 03:07:29.173]  Don't ever project your decency and your goodness onto other people until they've proven what they stand for and who they are, or you're going to get hurt.
[03:07:29.173 --> 03:07:37.679]  But those of you out there that have done your own research and discovered who's good and who is faithful, well then come together with those organizations and support them like InfoWars.
[03:07:37.679 --> 03:07:43.864]  Without your support, InfoWars would not exist.
[03:07:43.864 --> 03:07:46.485]  You're listening to the Alex Jones Show.
[03:08:07.060 --> 03:08:12.046]  If you are receiving this transmission, you are the resistance.
[03:08:12.046 --> 03:08:16.731]  Live from the InfoWars.com studios, it's Alex Jones.
[03:08:32.822 --> 03:08:33.242]  Hello, hello!
[03:08:33.242 --> 03:08:37.586]  Yeah, this is an Alex Jones Show.
[03:08:37.586 --> 03:08:39.367]  You look a lot alike.
[03:08:39.367 --> 03:08:44.070]  About the same age, same size, so we got a little confused.
[03:08:44.070 --> 03:08:45.992]  But here we are!
[03:08:45.992 --> 03:08:47.753]  Wow.
[03:08:47.753 --> 03:08:52.456]  Again, we had called it for a Trump victory, and too close to call.
[03:08:52.456 --> 03:08:53.697]  That was in our Trends Journal.
[03:08:53.697 --> 03:08:57.740]  It went out last Tuesday before the polls closed.
[03:08:57.740 --> 03:08:58.761]  And we were right.
[03:08:58.761 --> 03:09:01.663]  It was too close to call, and it looks like a Trump victory.
[03:09:02.640 --> 03:09:05.621]  We went against all the odds.
[03:09:05.621 --> 03:09:22.683]  And as Trump and others have pointed out, the odds are that by them saying that Trump was going to lose by 10 points, most of the polls between 8 and 10 points, that's suppression.
[03:09:22.683 --> 03:09:26.644]  Just like Mr. Watson was saying, a lot of people won't go out and vote now.
[03:09:26.644 --> 03:09:27.464]  And that's what they did.
[03:09:27.464 --> 03:09:29.005]  People said, what am I going to go out to vote for?
[03:09:29.005 --> 03:09:31.325]  This guy doesn't have a shot, even though I'm for him.
[03:09:31.971 --> 03:09:33.132]  He's not going anywhere.
[03:09:33.132 --> 03:09:36.235]  I'm not going to, I'm not going to, I'm not going to go out and vote.
[03:09:36.235 --> 03:09:41.739]  So it was overt, overt suppression right in front of our eyes.
[03:09:41.739 --> 03:09:45.842]  So let's get this straight, everybody.
[03:09:45.842 --> 03:09:54.329]  You pick up the Trends Journal, go back to last May and August of 2016.
[03:09:54.329 --> 03:10:00.955]  Right there in black and white, we said, despite the polls, Donald Trump was going to win the election.
[03:10:01.943 --> 03:10:09.607]  And everybody that listens to me on InfoWars or anywhere else knows I'm a political atheist.
[03:10:09.607 --> 03:10:15.230]  I look at things for the way they are, not the way I want them to be.
[03:10:15.230 --> 03:10:19.372]  So we called it back then when the polls were wrong.
[03:10:19.372 --> 03:10:22.954]  The polls were grossly wrong again this time.
[03:10:22.954 --> 03:10:27.677]  But yet, day after day, for some 3, 4, 5, 6, 7 months,
[03:10:31.604 --> 03:10:32.504]  Trump down by 10%.
[03:10:32.504 --> 03:10:34.545]  Trump down by 10%.
[03:10:34.545 --> 03:10:40.946]  And that other one, that phony name one, they got 25-6-3, whatever it is.
[03:10:40.946 --> 03:10:46.788]  You know, they got a 1% chance of winning.
[03:10:46.788 --> 03:10:51.629]  The polls are an antiquated system.
[03:10:51.629 --> 03:10:54.369]  Back in the 1990s, late 1990s, some 36% of the people would respond to a pollster's call.
[03:11:02.173 --> 03:11:08.577]  In the new digital age, when you see who's calling and you don't want to look at it, you're looking at 6%.
[03:11:08.577 --> 03:11:13.820]  So they're getting a very skewed market.
[03:11:13.820 --> 03:11:17.963]  It's an antiquated system.
[03:11:17.963 --> 03:11:23.566]  But yet that's being shoved down our throats.
[03:11:23.566 --> 03:11:29.170]  And then the other reality to all of this is that
[03:11:32.523 --> 03:11:59.027]  If Trump won the election and Biden lost in the swing states as Trump did, all the demo craps would be screaming for a recount, a new election, fraud.
[03:12:00.319 --> 03:12:02.561]  And again, I don't have to go into the details.
[03:12:02.561 --> 03:12:10.306]  I mean, on InfoWars, you've been getting the details left and right, inside out, upside down, backwards and sideways.
[03:12:10.306 --> 03:12:26.597]  So you know whether it comes from Ken Starr, Pennsylvania ballot extension, the constitutional travesty and going on and on about what a fraud this whole thing is.
[03:12:26.597 --> 03:12:30.059]  And then you look at it and this is
[03:12:30.988 --> 03:12:34.249]  Biden's home state.
[03:12:34.249 --> 03:12:42.690]  And as everybody knows, on election day and election eve, he was losing big time.
[03:12:42.690 --> 03:12:44.911]  And all of a sudden, all these ballots came in.
[03:12:44.911 --> 03:12:52.692]  And as Mr. Watson showed, oh, yeah, you can view them and they close it up so you can't see anything.
[03:12:52.692 --> 03:12:58.053]  They put all that paper over everything.
[03:12:58.053 --> 03:12:58.153]  And
[03:13:00.151 --> 03:13:02.653]  The fraud is right in front of our face.
[03:13:02.653 --> 03:13:05.595]  So here's the deal.
[03:13:05.595 --> 03:13:14.882]  If this happened in another country, under the Obama administration, which is now back in power.
[03:13:14.882 --> 03:13:17.725]  So let's get this straight, everybody.
[03:13:17.725 --> 03:13:22.128]  It ain't out of his mind Biden.
[03:13:22.128 --> 03:13:28.233]  He's bringing back the entire, a lot of the Obama murderous team from that guy, Blinken.
[03:13:29.253 --> 03:13:50.587]  Who went to Saudi Arabia when they started the Yemen War, which was launched from the White House, excuse me, Washington DC, when the Saudis launched it, to Samantha Power, to Susan Rice.
[03:13:50.587 --> 03:13:55.190]  One after another, they're bringing them all back.
[03:13:58.621 --> 03:14:03.224]  So now what we have is the murderous Obama team.
[03:14:03.224 --> 03:14:26.219]  So if this election happened in Libya, and it was up for count, and Qaddafi was losing, the Nobel piece of crap prize winner you just saw there, the murderous Obama should be brought up on war crime tribunal along with murderous George W. Bush and the rest of the gangs that support it with lies.
[03:14:27.346 --> 03:14:30.029]  You know, we've got to invade this country.
[03:14:30.029 --> 03:14:32.671]  They just had an election over there.
[03:14:32.671 --> 03:14:40.078]  You see how, you see the joke about the ballots and how they were counted in all these different states?
[03:14:40.078 --> 03:14:43.021]  We've got to go invade that country.
[03:14:43.021 --> 03:14:50.428]  That's what they'd be screaming over here, over there, to come invade over here.
[03:14:50.428 --> 03:14:52.690]  That's what America does to all these other countries.
[03:14:54.037 --> 03:14:57.019]  Oh, I don't like that Venezuelan election.
[03:14:57.019 --> 03:14:59.361]  Let's go after them.
[03:14:59.361 --> 03:15:03.483]  I don't like what they did in Sudan.
[03:15:03.483 --> 03:15:05.224]  One country after another.
[03:15:05.224 --> 03:15:07.145]  Iraq.
[03:15:07.145 --> 03:15:08.987]  Iran.
[03:15:08.987 --> 03:15:11.488]  You name the country.
[03:15:11.488 --> 03:15:13.149]  America.
[03:15:13.149 --> 03:15:22.095]  When they don't like the joint, it's an excuse to invade because of their corrupt political elections.
[03:15:22.995 --> 03:15:30.541]  Welcome to the U.S.S.A., the United Soviet States of America.
[03:15:30.541 --> 03:15:32.822]  Here we are.
[03:15:32.822 --> 03:15:37.786]  This is a disgrace in front of everybody's eyes.
[03:15:37.786 --> 03:15:42.210]  And I'm up here in liberal land.
[03:15:42.210 --> 03:15:44.892]  They won't admit to the lies.
[03:15:44.892 --> 03:15:47.994]  All they're happy about is that Biden won.
[03:15:51.035 --> 03:15:52.236]  Forget the fraud.
[03:15:52.236 --> 03:15:53.637]  There you go.
[03:15:53.637 --> 03:15:55.798]  United Soviet States of America.
[03:15:55.798 --> 03:16:00.141]  That's from your Trends Journal going back a couple of months ago.
[03:16:00.141 --> 03:16:04.383]  Now we're all going to be masked up.
[03:16:04.383 --> 03:16:07.405]  Vaccinated, masked.
[03:16:07.405 --> 03:16:08.446]  Biden control.
[03:16:08.446 --> 03:16:14.389]  And a good 50 percent of the people are supporting it.
[03:16:14.389 --> 03:16:18.572]  And as Alex Jones said, you better stand up and fight and do what you can.
[03:16:19.517 --> 03:16:22.638]  Unless you want to live the Soviet way.
[03:16:22.638 --> 03:16:24.439]  Because now it's guaranteed.
[03:16:24.439 --> 03:16:26.539]  They're in power.
[03:16:26.539 --> 03:16:28.120]  They're in office.
[03:16:28.120 --> 03:16:31.001]  The murderous Obama team is back.
[03:16:31.001 --> 03:16:32.881]  We're going to be back in a little bit.
[03:16:32.881 --> 03:16:35.162]  And remember, do what you can to support it.
[03:16:39.013 --> 03:16:39.793]  Warning!
[03:16:39.793 --> 03:16:40.534]  Warning!
[03:16:40.534 --> 03:16:41.374]  Warning!
[03:16:41.374 --> 03:16:56.962]  There is not long to stop the complete martial law takeover, the giant third world collapse, and a new world war that is going to be triggered by the new COVID lockdown announced by globalist systems in Europe, in Asia, and now in the United States.
[03:16:57.942 --> 03:17:13.490]  Joe Biden is set to announce today that he has a new COVID task force that is calling for a national mask mandate to prove your servitude, contact tracing, forced inoculations coming, but most importantly, a new lockdown.
[03:17:13.490 --> 03:17:19.994]  That way he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID.
[03:17:20.754 --> 03:17:26.756]  Then, of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it.
[03:17:26.756 --> 03:17:30.317]  And that's when all the mass arrests start, sometime towards the end of next year.
[03:17:30.317 --> 03:17:33.498]  This is a permanent martial law plan.
[03:17:33.498 --> 03:17:38.360]  Trump must repudiate it, expose Fauci and Gates, and the UN takeover, not play games with it.
[03:17:39.008 --> 03:17:44.315]  DNA Force Plus, if you did one thing for your immune system, it would be get all the essential things.
[03:17:44.315 --> 03:17:46.658]  And that's the clean iodine, X2 or X3.
[03:17:46.658 --> 03:17:48.280]  That's the biotrichoselenium.
[03:17:48.280 --> 03:17:49.802]  That is the vitamin D3.
[03:17:49.802 --> 03:17:51.664]  That is the C. That is the zinc.
[03:17:51.664 --> 03:17:53.907]  There's 13 vitamins and minerals that are essential without them you die.
[03:17:53.907 --> 03:17:55.369]  And studies show you really need the other ones too.
[03:17:55.469 --> 03:17:56.950]  But DNA Force goes beyond that.
[03:17:56.950 --> 03:18:08.518]  It helps get all that in the cells and out the cells with PQQ and CoQ10, the highest quality sources, with other ingredients that clean out the cells, that unclog them so all that stuff can get in.
[03:18:08.518 --> 03:18:09.558]  Viruses don't get in.
[03:18:09.558 --> 03:18:10.599]  The good stuff gets in.
[03:18:10.599 --> 03:18:14.702]  As the NIH website says, if you have all the proper things, they can't replicate like they could.
[03:18:14.702 --> 03:18:17.304]  But I do this because it's essential, like oxygen, like water.
[03:18:25.469 --> 03:18:29.251]  That's going to have to end in a week because we had a limited supply and it was very hard to get the PQQ this time.
[03:18:29.251 --> 03:18:30.751]  A lot of our stuff can't get anymore.
[03:18:30.751 --> 03:18:32.812]  A lot of our products because the supply chain is broken down.
[03:18:32.812 --> 03:18:33.872]  That's part of the Globalist plan.
[03:18:33.872 --> 03:18:35.693]  Infowarsstore.com or 888-253-3139.
[03:18:35.693 --> 03:18:39.255]  I want to thank you all for tuning in.
[03:18:39.255 --> 03:18:44.677]  For those drinking the Globalist Kool-Aid, what I call the Invincibly Ignorant, there is no hope.
[03:18:44.677 --> 03:18:48.899]  But for those of you that care and are informed, we have more than hope.
[03:18:48.899 --> 03:18:53.240]  We have history on our side if we take action and if we spread the truth.
[03:18:53.240 --> 03:18:54.541]  I have been warning everyone.
[03:18:55.141 --> 03:18:58.245]  Of exactly what was going to come in the exact order.
[03:18:58.245 --> 03:18:59.206]  How did I do that?
[03:18:59.206 --> 03:19:04.751]  Because the globalists war game it all in public and prepare the public with brainwashing on MSM.
[03:19:04.751 --> 03:19:10.157]  When they put out the 80 million ballots, we knew it was so they could stuff it after the polls closed.
[03:19:10.157 --> 03:19:15.002]  That's why they got federal courts to rule to keep it open for weeks if need be.
[03:19:15.002 --> 03:19:16.103]  Again, it was so simple.
[03:19:16.764 --> 03:19:20.725]  And of course, you see the media heat up saying Trump did a bad job on COVID.
[03:19:20.725 --> 03:19:28.967]  And that once Biden was, quote, President-elect, he would order Trump to admit that he did a bad job and admit that he needs a second lockdown.
[03:19:28.967 --> 03:19:35.209]  And if he doesn't go under Biden's immediate control and put that lockdown in place, he'll try to remove the President with the 25th Amendment.
[03:19:35.209 --> 03:19:41.890]  And all of that is to trick Trump to take the blame for COVID that's Chinese.
[03:19:41.890 --> 03:19:44.511]  You're listening to The Alex Jones Show.
[03:20:01.624 --> 03:20:03.545]  The answer to 1984 is 1776.
[03:20:03.545 --> 03:20:15.673]  You're listening to the Alex Jones Show with Gerald Celente.
[03:20:15.673 --> 03:20:20.096]  Hey, great being on the Alex Jones Show.
[03:20:20.096 --> 03:20:29.883]  Remember, particularly in these times, dreadful times, of the robbery of liberty, love, joy and beauty,
[03:20:30.776 --> 03:20:35.937]  Put your money where your heart and mind are and support InfoWars.
[03:20:35.937 --> 03:20:37.177]  I do.
[03:20:37.177 --> 03:20:39.578]  And here's one of my favorites.
[03:20:39.578 --> 03:20:45.979]  Supermail Vitality gives me that extra chip just when you need it.
[03:20:45.979 --> 03:20:49.440]  No, it's great stuff, especially for an old cat.
[03:20:49.440 --> 03:20:53.181]  So remember, do what you can to support InfoWars.
[03:20:53.181 --> 03:20:59.002]  They have their American Crisis Emergency Lockdown 2 is coming and
[03:21:00.407 --> 03:21:12.556]  The economic collapse in Biden's martial law disguises lockdown too, so up to 60% off, plus free shipping and triple Patriot Points storewide.
[03:21:12.556 --> 03:21:25.325]  And they have decided to launch these emergency sales on InfoWarsStores.com as the Republic's is on death's doorstep as she's fighting for her life.
[03:21:25.325 --> 03:21:28.267]  So they're hoping and praying, we all are, for the best.
[03:21:28.951 --> 03:21:30.152]  But prepare for the worst.
[03:21:30.152 --> 03:21:30.933]  I always say that.
[03:21:30.933 --> 03:21:31.874]  Prepare for the worst.
[03:21:31.874 --> 03:21:34.336]  If the worst doesn't happen, you don't lose anything.
[03:21:34.336 --> 03:21:38.200]  If the worst doesn't happen and you're not prepared for it, you lose everything.
[03:21:38.200 --> 03:21:47.308]  So you have DNA Force Plus, Alpha Plus, Alpha Power, Bodies, BioTruth, Selenium, Ultra 12, 50%.
[03:21:47.308 --> 03:21:50.652]  All these are 50% off and free shipping.
[03:21:50.652 --> 03:21:52.253]  And you have Vitamin Mineral Fusion.
[03:21:52.253 --> 03:21:52.914]  That's 25% off free shipping.
[03:21:54.841 --> 03:21:57.603]  Covent Chill, 50% off.
[03:21:57.603 --> 03:22:01.685]  Ah, Super Mill Vitality, 50% off.
[03:22:01.685 --> 03:22:03.146]  Free shipping.
[03:22:03.146 --> 03:22:04.027]  One after another.
[03:22:04.027 --> 03:22:07.869]  There's shirts, all SRL products.
[03:22:07.869 --> 03:22:10.771]  They're 60% off plus free shipping.
[03:22:10.771 --> 03:22:12.793]  Ultimate Krill Oil, 30% off.
[03:22:12.793 --> 03:22:15.234]  And that's selling out fast.
[03:22:15.234 --> 03:22:16.215]  That's free shipping.
[03:22:16.215 --> 03:22:18.576]  All this is free shipping.
[03:22:18.576 --> 03:22:21.078]  Brain Force Plus, 25% off.
[03:22:21.078 --> 03:22:24.360]  So revamp your daily routine and make sure you save big.
[03:22:25.154 --> 03:22:28.915]  On these everyday essentials today at InfoWars store.
[03:22:28.915 --> 03:22:31.315]  It's very important.
[03:22:31.315 --> 03:22:34.396]  Now, now, now, now, more than ever.
[03:22:34.396 --> 03:22:36.896]  You can see where this is going.
[03:22:36.896 --> 03:22:42.598]  All we are going to become plantation workers on the global plantation of Slavelandia.
[03:22:42.598 --> 03:22:46.919]  You see how happy that big tech is that Biden won.
[03:22:46.919 --> 03:22:48.939]  Well, did he win?
[03:22:48.939 --> 03:22:53.560]  That election was rigged to make it look like Biden won.
[03:22:54.790 --> 03:22:57.171]  And they're in control.
[03:22:57.171 --> 03:22:59.072]  Them and big media.
[03:22:59.072 --> 03:22:59.912]  This is terrible.
[03:22:59.912 --> 03:23:02.593]  This isn't my America.
[03:23:02.593 --> 03:23:05.354]  This isn't the America I was born into.
[03:23:05.354 --> 03:23:08.436]  This is disgraceful.
[03:23:08.436 --> 03:23:12.457]  And it's only going to get worse if we don't fight back.
[03:23:12.457 --> 03:23:16.919]  And you can't fight back without money.
[03:23:16.919 --> 03:23:20.301]  You know, look at Biden over there.
[03:23:20.301 --> 03:23:22.422]  Look at this guy.
[03:23:22.422 --> 03:23:23.342]  This is my president.
[03:23:24.292 --> 03:23:29.815]  This guy's been sucking off the public tit for almost 50 years, and all he's brought us is war.
[03:23:29.815 --> 03:23:34.797]  Oh, you like all those products that get made in China?
[03:23:34.797 --> 03:23:40.259]  Yeah, thank them, him, and the demo craps under Clinton.
[03:23:40.259 --> 03:23:43.521]  Yeah, NAFTA, the World Trade Organization, bringing China into that.
[03:23:43.521 --> 03:23:47.763]  NAFTA, shipping our jobs off to Mexico for slave labor.
[03:23:47.763 --> 03:23:50.204]  And people voted for this guy?
[03:23:50.204 --> 03:23:52.525]  It wasn't a war that he didn't love?
[03:23:54.701 --> 03:23:56.602]  That's a freak show.
[03:23:56.602 --> 03:23:59.483]  And we got a freak right in front of us.
[03:23:59.483 --> 03:24:01.664]  A lying freak.
[03:24:01.664 --> 03:24:09.448]  And again, you know the deal, how the hunted Biden info was banned by big media.
[03:24:09.448 --> 03:24:10.408]  And look at all these people.
[03:24:10.408 --> 03:24:14.650]  Look at them all waving and holding masks, with their masks on.
[03:24:14.650 --> 03:24:16.551]  Look at this freak show.
[03:24:16.551 --> 03:24:19.152]  Look at this freak show.
[03:24:19.152 --> 03:24:22.514]  They're going to look back at America, you know,
[03:24:23.685 --> 03:24:32.567]  50, 60 years from now and say, look at that Kamala Harris with her, she's all dressed up in that white with that black mask on.
[03:24:32.567 --> 03:24:34.287]  Why is she going black and white?
[03:24:34.287 --> 03:24:36.627]  Yeah.
[03:24:36.627 --> 03:24:38.408]  Look at this.
[03:24:38.408 --> 03:24:40.248]  Hey, how come you don't have your mask on, Biden?
[03:24:40.248 --> 03:24:41.208]  Everybody else does.
[03:24:41.208 --> 03:24:43.389]  You're going to get them all sick or you're going to get sick.
[03:24:43.389 --> 03:24:44.269]  How come he's not?
[03:24:44.269 --> 03:24:48.670]  If that was me out there, they'd get me off the stage.
[03:24:48.670 --> 03:24:49.930]  Look at these freaks.
[03:24:51.141 --> 03:24:55.043]  And you know when they're all together, they won't be wearing them.
[03:24:55.043 --> 03:24:57.305]  This is for show.
[03:24:57.305 --> 03:25:00.687]  And what a freak show it is.
[03:25:00.687 --> 03:25:04.529]  Now, look at this picture in today's Wall Street Journal.
[03:25:04.529 --> 03:25:05.309]  Look at this.
[03:25:05.309 --> 03:25:08.731]  Look at Harris up here with the mask on.
[03:25:08.731 --> 03:25:10.492]  That's what they're doing.
[03:25:10.492 --> 03:25:12.974]  They're getting us ready to be masked.
[03:25:12.974 --> 03:25:14.555]  You got it?
[03:25:14.555 --> 03:25:18.617]  It's right in front of your eyes.
[03:25:18.617 --> 03:25:19.818]  What state today?
[03:25:19.818 --> 03:25:20.358]  One of them just
[03:25:20.862 --> 03:25:24.705]  Put a mandatory mask wearing on.
[03:25:24.705 --> 03:25:30.130]  One after another.
[03:25:30.130 --> 03:25:30.590]  And again.
[03:25:30.590 --> 03:25:38.437]  Here's the mask that most people wear.
[03:25:38.437 --> 03:25:41.580]  And you read the box.
[03:25:41.580 --> 03:25:44.803]  These masks help protect against certain particular contaminants.
[03:25:45.720 --> 03:25:51.904]  But do not eliminate exposure to the risk of any disease or infection.
[03:25:51.904 --> 03:25:54.985]  Got it?
[03:25:54.985 --> 03:25:57.267]  It's control.
[03:25:57.267 --> 03:26:00.469]  It's for you to lose your identity.
[03:26:00.469 --> 03:26:05.251]  Mask mandates for all.
[03:26:05.251 --> 03:26:08.833]  And now the vaccination's coming.
[03:26:08.833 --> 03:26:14.877]  I saw it on InfoWars before I went on the air, but I had gotten it on Saturday.
[03:26:16.903 --> 03:26:31.310]  New York lawyers, New York Bar Association rejects religious, philosophical, or personal reason COVID-19 vaccination exemptions.
[03:26:31.310 --> 03:26:40.975]  The New York Bar Association, some slimy little arrogant boys and girls, shove your bar up your New York what?
[03:26:41.593 --> 03:26:43.694]  Your Bar Association.
[03:26:43.694 --> 03:26:46.795]  Who the hell do you think you're talking to?
[03:26:46.795 --> 03:26:50.557]  You can play arrogant with all the other little boys and girls.
[03:26:50.557 --> 03:26:53.138]  You're not gonna play it arrogant with me.
