[00:00.000 --> 00:01.000]  Come on, man.
[2:50:54.280 --> 2:50:59.440]  time in prison are we are we gonna see Epstein McCabe we're gonna see him have a canoeing
[2:50:59.440 --> 2:51:04.080]  accident well the well he will not be jailed so the assuming he's indicted so here's the
[2:51:04.080 --> 2:51:07.960]  back story Jesse Lew was the Trump appointed United States Attorney for the District of
[2:51:07.960 --> 2:51:13.440]  Columbia when the the it was the Inspector General Horowitz who was actually an appointee
[2:51:13.440 --> 2:51:19.000]  of Obama but was so independent and so ethical that the Obama administration under Sally Yates
[2:51:19.000 --> 2:51:23.240]  stripped him of his ability to even investigate a wide range of matters even though that was
[2:51:23.240 --> 2:51:29.560]  his duty under the law so once Obama was out Trump gave him restored that power and authority
[2:51:29.560 --> 2:51:35.320]  to him and it was Horowitz's report that said McCabe had committed multiple felonies while
[2:51:35.320 --> 2:51:39.720]  either being the deputy director or the actual director of the FBI let's talk about some
[2:51:39.720 --> 2:51:43.520]  of those things they did exactly I mean it's he was basically committed he lied to them
[2:51:43.520 --> 2:51:48.880]  so he obstructed justice he misled them he was leaking information illicitly in violation
[2:51:48.880 --> 2:51:54.080]  not only of internal FBI rules but in violation specific law line to Congress and misleading
[2:51:54.080 --> 2:51:58.960]  Congress repeatedly of misleading the president United States repeatedly purportedly involved
[2:51:58.960 --> 2:52:03.160]  in a plan to illicitly wiretap the president he told the president no one's ever spied
[2:52:03.160 --> 2:52:07.920]  on you when he was directing it exactly orchestrating it organizing it running it this was the guy
[2:52:07.920 --> 2:52:11.440]  that was ahead of Peter Strozik this was the guy that was ahead of all the key people doing
[2:52:11.440 --> 2:52:16.480]  all the illicit activity Comey was the guy who was sort of the rubber stamp McCabe was
[2:52:16.480 --> 2:52:21.080]  the actual orchestrator and organizer of all of it so he also knows where all the bodies
[2:52:21.080 --> 2:52:25.000]  are buried because remember it was his wife who was running for office in Virginia they
[2:52:25.000 --> 2:52:29.760]  gave a half million to exactly and who was it that helped orchestrate Hillary the exactly
[2:52:29.760 --> 2:52:33.000]  because it was the governor of Virginia that helped orchestrate that who has been the long
[2:52:33.000 --> 2:52:37.720]  time I got a story about him the long time money man for the for the for the Clintons
[2:52:37.720 --> 2:52:42.800]  going way way back there are deals involving him in high powerful democratic media supporters
[2:52:42.800 --> 2:52:47.520]  how Clinton used him as a money man that's why I said I mean this is a Clinton operative
[2:52:47.520 --> 2:52:53.120]  and who ran all the illegal espionage I mean wow there it was McCabe who shut down the
[2:52:53.120 --> 2:52:57.040]  email investigation in certain aspects of it not Comey it was McCabe who was directing
[2:52:57.040 --> 2:53:00.800]  key so this is a Clinton creature there's a guy who helped direct who helped cancel
[2:53:00.800 --> 2:53:05.720]  the Clinton Foundation investigation so I mean this guy is at the center of the cover up
[2:53:05.720 --> 2:53:10.400]  of the Clinton corruption and they attempted to the president United States and here's
[2:53:10.400 --> 2:53:15.440]  the backstory on this Jesse Lou originally was slow playing this so there was a lot of
[2:53:15.440 --> 2:53:18.520]  people that were upset that thought McCabe should have been indicted over a year ago
[2:53:18.520 --> 2:53:22.520]  should have been indicted before the 2018 elections which could have helped Trump what
[2:53:22.520 --> 2:53:26.960]  is this I was told by about grand juries open on it so the there are potential grand juries
[2:53:26.960 --> 2:53:30.440]  but the way the grand juries operate is they simply gather information so there's but what
[2:53:30.440 --> 2:53:36.040]  we call an invest in inside the business we call a investigative grand jury and an indictment
[2:53:36.040 --> 2:53:40.840]  grand jury and invest theoretically constitutionally every grand jury should just be an investigative
[2:53:40.840 --> 2:53:44.520]  grand jury but it's not practically how it works because prosecutors have carte blanche
[2:53:44.520 --> 2:53:48.920]  power in there but what happens is investigative grand jury just gets information they're not
[2:53:48.920 --> 2:53:53.280]  looking to indict anyone they're just looking the it's the tool by which the US attorney
[2:53:53.280 --> 2:54:00.440]  can secretly get evidence about someone secretly gets a penis and secretly have testimony etc.
[2:54:00.440 --> 2:54:04.080]  and they usually scare witnesses into thinking that witnesses can't talk about what happened
[2:54:04.080 --> 2:54:07.400]  before the grand jury when it's actually only the government the grand jurors who can't
[2:54:07.400 --> 2:54:10.680]  talk about it but that's why they like it that's why they use it as a tool but what
[2:54:10.680 --> 2:54:15.280]  happened here is a lot of people believe that Jesse Lou was slow playing it and because
[2:54:15.280 --> 2:54:18.240]  he was slow playing it they started getting increasingly agitated over the last several
[2:54:18.240 --> 2:54:22.840]  months also somebody close to Trump leaked that he was originally considering giving
[2:54:22.840 --> 2:54:26.240]  a big promotion to Lou and I talked about this a year and a half ago there's if she
[2:54:26.240 --> 2:54:29.680]  would indict McCabe the president would probably put her number two or number three in the
[2:54:29.680 --> 2:54:33.680]  Department of Justice she didn't and so he let leak that he had originally planned on
[2:54:33.680 --> 2:54:37.120]  doing that but given how she was slow playing these corruption investigations he was having
[2:54:37.120 --> 2:54:42.040]  second thoughts so it's not a surprise that suddenly she decided to accelerate the prosecution
[2:54:42.040 --> 2:54:46.480]  and the language they use here isn't quite correct what happens is certain kinds of cases
[2:54:46.480 --> 2:54:50.840]  like tax cases I do a lot of criminal tax cases they have to be approved by the US attorney
[2:54:50.840 --> 2:54:55.640]  for the tax division the local US attorney can't run those cases almost all cases the
[2:54:55.640 --> 2:55:00.000]  local US attorney in this case Jesse Lou could make her own determination the other area
[2:55:00.000 --> 2:55:06.120]  where that's not true is high profile political cases those have to be approved and authorized
[2:55:06.120 --> 2:55:10.760]  by the number two at the Department of Justice the deputy attorney general that's why Rosenstein
[2:55:10.760 --> 2:55:16.440]  was such a key person to control all this so when Rosenstein was finally out then that
[2:55:16.440 --> 2:55:22.040]  allowed it looks like the number two currently they have his name here yeah because actually
[2:55:22.040 --> 2:55:26.960]  he talks about is Jeffrey Rosen not Rosenstein and so now all that happens is what happens
[2:55:26.960 --> 2:55:31.440]  is Lou decided she was going to recommend prosecution that's the only reason why Rosen
[2:55:31.440 --> 2:55:35.040]  would be involved that means Lou has already decided to prosecute him but because you're
[2:55:35.040 --> 2:55:39.800]  confirming from the way this is laid out that the decision to prosecute McCabe is here exactly
[2:55:39.800 --> 2:55:44.280]  the Justice Department is going to prosecute the former acting head of the FBI a first
[2:55:44.280 --> 2:55:49.360]  this is a big deal it's unprecedented and I'm not having a victory lap but my endorphins
[2:55:49.360 --> 2:55:53.960]  are coming out I'm having some pleasure right now because it feels like I'm getting these
[2:55:53.960 --> 2:56:03.560]  demons more off my back and all this hard work starting to pay off oh oh this oh oh oh should
[2:56:03.560 --> 2:56:08.360]  I be feeling this good run absolutely everyone should feel good because this is the first
[2:56:08.360 --> 2:56:13.960]  time the sort of deep state is faced a threat since Mark felt former deep throat was indicted
[2:56:13.960 --> 2:56:18.760]  for his co-intel pro activities in the late 1970s and then he got he got off the hook
[2:56:18.760 --> 2:56:24.920]  entire so here you have while Trump is president the leading orchestrator of deep state activities
[2:56:24.920 --> 2:56:29.440]  who has more intel and information about what was happening with spy gate what was happening
[2:56:29.440 --> 2:56:34.320]  with Comey what was happening with Brennan what was happening with clapper what was happening
[2:56:34.320 --> 2:56:38.240]  with the Clinton Foundation what was happening with a Clinton email investigation than anyone
[2:56:38.240 --> 2:56:43.200]  in the entire government is now going to be indicted in the District of Columbia he's
[2:56:43.200 --> 2:56:49.000]  going to face meaningful prosecution please stay there we got a break the endorphin okay
[2:56:49.000 --> 2:56:53.480]  I don't have a lot of these because we were always fighting the enemy but I'm having some
[2:56:53.480 --> 2:56:57.160]  I'm getting high as a kite here I hope you are we're going to be right back our number
[2:56:57.160 --> 2:57:01.520]  four few more segments we'll get Matt brackets take on this as well but hallelujah thank
[2:57:01.520 --> 2:57:06.160]  you Jesus this is great praise God and pass the information warfare ammunition it's going
[2:57:06.160 --> 2:57:09.360]  to be rough now they're going to go really crazy now let's talk about what you expect
[2:57:09.360 --> 2:57:15.400]  how this will unfold in the next year's drop please have your watching you have the power
[2:57:15.400 --> 2:57:19.840]  to resist the globalist and defeat them and you simply take action you have the will and
[2:57:19.840 --> 2:57:24.600]  the spirit and I'm asking you tell everyone you know tonight to tune in to our live coverage
[2:57:24.600 --> 2:57:29.080]  at band.video right up there is this live feed and the debate so we're going to be talking
[2:57:29.080 --> 2:57:35.160]  about this this is exciting this is how globalists are taken down this you can smell oh the
[2:57:35.160 --> 2:57:40.640]  way all the things are happening it's an incredible time our number four straight ahead infowars.com
[2:57:40.640 --> 2:57:47.440]  for a class show we sold secret 12 for four years and it was our number third best seller
[2:57:47.440 --> 2:57:52.400]  we had to discontinue it because when you upgrade a formula you are supposed to rename it that
[2:57:52.400 --> 2:57:58.240]  new formula is ultra 12 it's twice as strong as secret 12 the very best vitamin b12 out
[2:57:58.240 --> 2:58:03.880]  there it's got the complex system that lets your body absorb it and it does amazing things
[2:58:03.880 --> 2:58:08.560]  supports healthy nerve and brain cells helps make DNA helps the body produce energy helps
[2:58:08.560 --> 2:58:12.320]  produce healthy blood cells essential for proper nervous system function it goes on
[2:58:12.320 --> 2:58:17.240]  and on b12 deficiency is a serious problem that could cause anemia fatigue weakness constipation
[2:58:17.240 --> 2:58:21.160]  weight loss depression or memory loss asthma vision problems and low sperm count bottom
[2:58:21.160 --> 2:58:27.400]  line folks you need ultra 12 it helps something in full war so it's a 361 and it's 50% off
[2:58:27.400 --> 2:58:33.240]  for a limited time at infowarstore.com again we can only run the special for the next two
[2:58:33.240 --> 2:58:39.920]  weeks or so while supplies last ultra 12 twice as powerful half the price 50% off right now
[2:58:39.920 --> 2:58:50.080]  at infowarslive.com super silver wound gel is a private label from the top company in
[2:58:50.080 --> 2:58:54.040]  the u.s. that has their products and hospitals and is sold over the counter and approved
[2:58:54.040 --> 2:58:58.120]  for that by the FDA we have been blessed with their listeners and let us private label it
[2:58:58.120 --> 2:59:03.160]  the last two years it's been a bestseller we convinced them to let us come out with a skin
[2:59:03.160 --> 2:59:08.920]  cream that basically mimics the top skin creams that are already out there at a lower price
[2:59:08.920 --> 2:59:14.560]  with their patented silver salt technology in it it's got the hyaluronic acid it's got
[2:59:14.560 --> 2:59:21.120]  the steric acid it's got the grapefruit essential oil it's got the nano silver coconut oil
[2:59:21.120 --> 2:59:26.960]  and so much more it's in two sizes super silver skin cream in 3.4 ounce and in the smaller
[2:59:26.960 --> 2:59:30.340]  one you're not going to find a product that's good anywhere you're certainly not going to
[2:59:30.340 --> 2:59:37.040]  find it at this price and it funds the info war at infowarslive.com get your super silver
[2:59:37.040 --> 2:59:42.120]  skin cream today we can only run this special for another week or so as I'm taping this
[2:59:42.120 --> 3:00:00.920]  September 10th you're listening to the alex jones show count down ladies and gentlemen
[3:00:00.920 --> 3:00:08.000]  and room K decision has been made to indict him exactly the breaking news today is that
[3:00:08.000 --> 3:00:13.520]  attorney u.s. attorney jesse luke has chosen and decided already has made the referral
[3:00:13.520 --> 3:00:18.960]  and the referral has been approved and authorized to indict andrew mccabe the former director
[3:00:18.960 --> 3:00:24.040]  of the fbi the former deputy director of the fbi the key decision maker in the clinton
[3:00:24.040 --> 3:00:29.320]  email case the clinton foundation case the orchestrator of the spy gate and coup attempts
[3:00:29.320 --> 3:00:33.460]  against the president of the united states for his false statements to the fbi for his
[3:00:33.460 --> 3:00:38.120]  false statements to the office of inspector general for his illicit leaks to the media
[3:00:38.120 --> 3:00:41.960]  for his attempts to illicitly spy on the president of the united states all of that
[3:00:41.960 --> 3:00:45.920]  is going to be the basis and the reason and the predicate for an indictment the first
[3:00:45.920 --> 3:00:50.760]  ever indictment against an acting director of the fbi who had ever been in any high ranking
[3:00:50.760 --> 3:00:55.600]  position in the fbi it's an extraordinary case where the first deep state indictment
[3:00:55.600 --> 3:01:01.200]  really since mark felt in the late 1970s who ran co-intel pro and was known as deep throat
[3:01:01.200 --> 3:01:06.040]  who secretly took out the nixon administration this is that's how significant and consequential
[3:01:06.040 --> 3:01:10.640]  this indictment is because the way the process works is there's a doctrine called the delegation
[3:01:10.640 --> 3:01:15.640]  doctrine it's a constitutional process about who has the approval and who has the authority
[3:01:15.640 --> 3:01:20.400]  to indict while a grand jury has an indict only a u.s. attorney can bring that case to
[3:01:20.400 --> 3:01:25.360]  the grand jury for the purposes of an indictment and the way that works is the u.s. if if it's
[3:01:25.360 --> 3:01:30.000]  a particular kind of case tax case has to go to a particular u.s. attorney in charge of
[3:01:30.000 --> 3:01:34.720]  the tax division if it's a certain kind of political case involving a high ranking government
[3:01:34.720 --> 3:01:39.720]  official then it has to be approved of by the deputy director the deputy u.s. attorney
[3:01:39.720 --> 3:01:44.240]  the number two in the united states department of justice which is jeffrey rosen today it's
[3:01:44.240 --> 3:01:48.360]  reported that he has approved it that means the indictment is coming within days within
[3:01:48.360 --> 3:01:53.400]  weeks andrew mccabe will be indicted by the department of justice for his crimes against
[3:01:53.400 --> 3:01:56.960]  the president united states and on behalf of the clinton family and against the voters
[3:01:56.960 --> 3:02:03.360]  of this country in our electoral system in our republic and this aura of invincibility
[3:02:03.360 --> 3:02:09.560]  of infallibility of the clinton crime machine and the obama crime machine will then evaporate
[3:02:09.560 --> 3:02:15.840]  and you'll start seeing many others turn state evidence very very quickly this is a giant
[3:02:15.840 --> 3:02:20.880]  moment for the republic this is approaching the level of when the british sued for peace
[3:02:20.880 --> 3:02:28.960]  uh 240 years ago this is so massive ladies and gentlemen and you're gonna see major
[3:02:28.960 --> 3:02:33.280]  counter strikes though i suspect if they ever gonna try to kill trump or ever try to stage
[3:02:33.280 --> 3:02:37.920]  a big terror attack or something this is when the deep state is about to fire all barrels
[3:02:37.920 --> 3:02:42.640]  well in fact i would say that this message is partially that because apparently the source
[3:02:42.640 --> 3:02:48.040]  for this story coming out is mccabe himself it's mccabe's legal team sending the message
[3:02:48.040 --> 3:02:53.440]  by the way i'm about to get targeted i'm about to get hit so it's a peculiar kind of timing
[3:02:53.440 --> 3:02:57.800]  if i was mccabe's people i wouldn't necessarily put this out to the public now he did raise
[3:02:57.800 --> 3:03:04.200]  almost seven hundred thousand dollars for a legal defense fund uh and earlier so maybe
[3:03:04.200 --> 3:03:08.640]  he's planning on doing a fundraiser what about arkansas what about his family getting live
[3:03:08.640 --> 3:03:14.000]  insurance on him and i think this guy has his much uh longevity and a shelf life of
[3:03:14.000 --> 3:03:17.960]  a jeffrey epstein well there's two things about mccabe he has made clear to everybody
[3:03:17.960 --> 3:03:23.000]  for a long time that he'll rat out anybody and everybody to save his own eye that's
[3:03:23.000 --> 3:03:27.400]  number one number two he's the source of letting everybody know hey by the way he's about to
[3:03:27.400 --> 3:03:32.440]  get indicted uh so that's a very sort of peculiar thing to do if you want to protect yourself
[3:03:32.440 --> 3:03:36.720]  the third aspect with him is that if you're an insurance company would you sign would
[3:03:36.720 --> 3:03:40.000]  you give life insurance right now to andrew mccabe without some special exceptions for
[3:03:40.000 --> 3:03:44.280]  unusual and unexplained deaths kayak accidents yeah i'd say look you know we will ensure
[3:03:44.280 --> 3:03:48.400]  you heart attacks slipping and it will ensure you as long as your death can be fully and
[3:03:48.400 --> 3:03:53.840]  completely explained but any unexplained deaths sorry no insurance for that no sudden uh you
[3:03:53.840 --> 3:03:58.800]  know weird ways of car wrecks yeah no car wrecks no weird way no sudden heart unexplained
[3:03:58.800 --> 3:04:04.360]  heart no falling downstairs yeah exactly none of that the no committing suicide while you're
[3:04:04.360 --> 3:04:09.760]  temporarily in federal custody under a video camera nothing like that so the uh the it
[3:04:09.760 --> 3:04:14.080]  will be interesting to see now that he does have intel and information literally on everybody
[3:04:14.080 --> 3:04:17.200]  i mean if you wanted to talk about a deep state hatchet man with all the information
[3:04:17.200 --> 3:04:22.280]  and intel it is andrew mccabe covered up with the clinton's the foundation he ran the emails
[3:04:22.280 --> 3:04:25.800]  ran the counter espionage unit so i mean you're talking to a guy who knows everything about
[3:04:25.800 --> 3:04:31.080]  peter strozik knows everything about everybody and had access to all the panopticonic big
[3:04:31.080 --> 3:04:36.720]  tech surveillance grids and everything else and other stuff soup other white chubu about
[3:04:36.720 --> 3:04:40.360]  to burn because he thought it could take down an elected president he thought it could be
[3:04:40.360 --> 3:04:47.600]  a chai com errand boy you and the chai cops are going to pay america is rising stay with
[3:04:47.600 --> 3:04:57.320]  us happies is a tincture that you take under the tongue if it's selling it for over a year
[3:04:57.320 --> 3:05:03.160]  it's a private label of one of the top national sellers of herbs that's known to calm the body
[3:05:03.160 --> 3:05:06.920]  but not be a depressant now despite the fact that i've never really promoted or cut an
[3:05:06.920 --> 3:05:11.920]  ad for it it's in our top 10 bestsellers and right now for those of you that haven't tried
[3:05:11.920 --> 3:05:17.720]  it you can get it for 50% off life is stressful almost everything in our lives can put stress
[3:05:17.720 --> 3:05:23.760]  and pressure on us but ashwagandha root rhodiola root passionflower herb green tea leaf and
[3:05:23.760 --> 3:05:29.560]  licorice root is known to be so good for us and to smooth us out in a calm good way and
[3:05:29.560 --> 3:05:34.960]  happies is available right now at info store dot com 50% off your purchase supports the
[3:05:34.960 --> 3:05:39.400]  broadcast it is so vital and i recommend you order another bottle to give friends and family
[3:05:39.400 --> 3:05:44.200]  because this stuff has really worked for myself and so many others it's happies exclusively
[3:05:44.200 --> 3:05:49.840]  available at info wars life dot com again secure your happies today at info wars life
[3:05:49.840 --> 3:06:07.960]  dot com from the front lines of the information war it's alex jones must be some kind of way
[3:06:07.960 --> 3:06:13.560]  out of here must be some way out of here to the joker to the thief to the joker to the
[3:06:13.560 --> 3:06:20.160]  thief to much confusion there's too much confusion oh you're about to get the release i can't
[3:06:20.160 --> 3:06:28.400]  get no relief we're back live ladies and gentlemen business manly drink my wine clowman dig we
[3:06:28.400 --> 3:06:33.600]  have matt bracken bestselling author from our navy steel smart patriot taking over in
[3:06:33.600 --> 3:06:38.400]  the next segment and then we're going to be back throughout the day owen shroyer the war
[3:06:38.400 --> 3:06:44.600]  room it's all part of the live coverage of clown world three houston we have a problem
[3:06:44.600 --> 3:06:49.240]  we've got reporters on the ground there you can feel the energy in the air the whole show
[3:06:49.240 --> 3:06:52.160]  has been amazing today and then it popped up on the left hand side of drudge report dot
[3:06:52.160 --> 3:06:55.480]  com from fox news and i'm not telling drudge what to do because it is the big showdown
[3:06:55.480 --> 3:07:02.080]  of elizabeth warren and biden that's a big top story but not compared to that fox news
[3:07:02.080 --> 3:07:07.080]  one right there below it because the way fox writes it you're not sure what's really being
[3:07:07.080 --> 3:07:12.960]  said there u.s attorney recommends proceeding with charges against mccabe as doj rejects
[3:07:12.960 --> 3:07:18.120]  last ditch appeal that following how the process works i knew what it meant and then i asked
[3:07:18.120 --> 3:07:24.240]  robert barnes a famous criminal lawyer and he laid out exactly what it meant if you just
[3:07:24.240 --> 3:07:28.960]  joined us so let's play the fox news piece that doesn't quite get it right and then we'll
[3:07:28.960 --> 3:07:36.800]  lay out why this is so big the decision has been made to prosecute him it's on this isn't
[3:07:36.800 --> 3:07:40.880]  a court appeal this is an appeal to the deputy attorney general this is the first time an
[3:07:40.880 --> 3:07:45.320]  fbi director because he was acting at the director has been indicted this means no more
[3:07:45.320 --> 3:07:50.120]  mr. nice guy in the deep state no more political parties playing games and patty keg trumps
[3:07:50.120 --> 3:07:56.200]  going to war big tech better get ready everybody better get ready because they tried to overthrow
[3:07:56.200 --> 3:07:59.880]  an elected president they're trying to overthrow the borders they're on the wall way chit com
[3:07:59.880 --> 3:08:05.240]  payroll and america has finally decided to fight for its life we may still lose but at
[3:08:05.240 --> 3:08:08.600]  least we're going to go down fighting and i say we have the initiative and history on
[3:08:08.600 --> 3:08:13.640]  our side and all these slack jaws that bought the propaganda and signed on to the anti-american
[3:08:13.640 --> 3:08:19.560]  crap they're going to feel like fools when they lose this is a very serious time for
[3:08:19.560 --> 3:08:24.080]  our country and the poison injected into us by the globalists of hollywood it's a pyrrhic
[3:08:24.080 --> 3:08:27.920]  victory unless we get god again and reverse what's happening because we may beat the try
[3:08:27.920 --> 3:08:33.080]  coms we probably will but can we then not crawl off from the poison already injected
[3:08:33.080 --> 3:08:37.520]  in us and die as a society from corruption later here's the fox news report then we'll
[3:08:37.520 --> 3:08:42.880]  have constitutional criminal lawyer robert barnes decide for it here it is my business
[3:08:42.880 --> 3:08:49.560]  is investigations evidence finding information and exposing that information when when the
[3:08:49.560 --> 3:08:54.160]  american public has a right to know it i'm not a political person i'm not a political
[3:08:54.160 --> 3:09:00.000]  operative right well that was former acting fbi director andrew mccabe claiming he isn't
[3:09:00.000 --> 3:09:04.840]  political but now the philadelphia inquire is reporting that the disgrace former fbi
[3:09:04.840 --> 3:09:10.520]  official will headline a democrat fundraiser in pennsylvania later this month no not political
[3:09:10.520 --> 3:09:14.840]  at all just raising money for the democrats now remember president trump fired him in
[3:09:14.840 --> 3:09:20.240]  march of twenty eighteen after this i g report came down saying he leaked information to
[3:09:20.240 --> 3:09:25.600]  the media wasn't forthcoming about it and the inspector general is still investigating
[3:09:25.600 --> 3:09:30.040]  joining me now joe jennifer former u.s. attorney and jason chaffetz former chair of the house
[3:09:30.040 --> 3:09:36.000]  oversight committee fox news contributor author of the brand new book power grab go grab it
[3:09:36.000 --> 3:09:43.360]  all right joe the mask is really off on mccabe is it not now oh absolutely he and comey have
[3:09:43.360 --> 3:09:48.400]  done irreversible damage to the fbi as an institution but this is not surprising this
[3:09:48.400 --> 3:09:53.880]  is a seamless transition from the private partisan political activities he conducted
[3:09:53.880 --> 3:09:58.480]  with comey and others especially on behalf of his wife who was running for a virginia
[3:09:58.480 --> 3:10:03.760]  senate seat while he was getting hundreds of thousands of dollars for her from a clinton
[3:10:03.760 --> 3:10:09.360]  operative now he's just public with his democratic partisan politics he's a disgrace to the
[3:10:09.360 --> 3:10:15.280]  fbi and he's kind of a pajama boy as you watch him there's something about kind of weekly
[3:10:15.280 --> 3:10:21.000]  masculine about him he's a little strange he doesn't scream mom no but that's the kind
[3:10:21.000 --> 3:10:24.440]  of people by the way comey surrounded himself would you look at it they're all diminutive
[3:10:24.440 --> 3:10:29.600]  they're weird there's a hundred they're strange they're all strange very very strange those
[3:10:29.600 --> 3:10:36.280]  are odd jason the fundraiser just in case you want to get your ticket a congressman
[3:10:36.280 --> 3:10:43.400]  is a it's purchased through act blue okay they range from 80 to 160 bucks the more expensive
[3:10:43.400 --> 3:10:48.880]  speaker circles tickets jason come with access to a private reception so if you want to be
[3:10:48.880 --> 3:10:54.520]  lied to to your face you can go to the president's circle of that okay looks like there's still
[3:10:54.520 --> 3:10:59.400]  quite a few tickets left but there's also ones down at 3250 I guess sign get a signed
[3:10:59.400 --> 3:11:05.120]  copy of his book for 3250 this is what of this this is so terribly tone deaf he's on
[3:11:05.120 --> 3:11:10.080]  the receiving end of one of the most scathing IG reports there's ever been there's a at
[3:11:10.080 --> 3:11:17.520]  least two more IG reports that are coming out this is the report of the US Attorney
[3:11:17.520 --> 3:11:22.520]  recommends proceeding with charges against McCabe as DOJ rejects last-ditch appeal we
[3:11:22.520 --> 3:11:26.360]  went and checked Barnes is a criminal lawyer he's been following very closely most time
[3:11:26.360 --> 3:11:32.960]  from DC and this this means that they are indeed going forward with a criminal prosecution
[3:11:32.960 --> 3:11:37.520]  indictment you name it and this is going to send shockwaves through we told you this
[3:11:37.520 --> 3:11:42.880]  was going on last year we told you this year and he's the back man he arrogantly committed
[3:11:42.880 --> 3:11:48.520]  all these crimes he ran this for the Clintons they're letting at least for now comey go
[3:11:48.520 --> 3:11:53.160]  but by getting McCabe comey has been told by Congress you're still on the crosshairs
[3:11:53.160 --> 3:11:57.640]  how do you expect this to unfold there's a lot of ways it could but this is a big deal
[3:11:57.640 --> 3:12:01.720]  oh yeah I mean first of all this means that he is going to be indicted that's what this
[3:12:01.720 --> 3:12:08.040]  is the way the process works is the the delegation power to choose who gets indicted or who to
[3:12:08.040 --> 3:12:12.080]  the recommendation is the recommendation to the grand jury that's what takes place so
[3:12:12.080 --> 3:12:16.200]  the U.S. attorney says I'm going to recommend the grand jury indict you if you're a if you're
[3:12:16.200 --> 3:12:20.640]  a particular if it's a tax case or you're a high-profile political person it has to
[3:12:20.640 --> 3:12:25.400]  get approved by someone higher up in the Justice Department and tax goes to the tax division
[3:12:25.400 --> 3:12:29.160]  in this case it goes to the deputy the number two under the Department of Justice right
[3:12:29.160 --> 3:12:33.360]  under bar the number two is Jeffrey Rosen and he makes that replace Rosenstein he was
[3:12:33.360 --> 3:12:37.840]  all giving him carte blanche to commit crimes lying to Trump and saying you're not an investigation
[3:12:37.840 --> 3:12:42.120]  when he and McCabe were running it exactly so that's why it was that little weasel needs
[3:12:42.120 --> 3:12:48.080]  to be indicted or the long issues with Rosenstein the though I many of my highest profiles wins
[3:12:48.080 --> 3:12:52.000]  were against cases he made the mistake of recommending but the but the fact that Rosen
[3:12:52.000 --> 3:12:57.320]  came in and said yes and this is referred and notice he's refers to so the email says
[3:12:57.320 --> 3:13:01.440]  the U.S. attorney's decision in the matter what that means is they've already decided
[3:13:01.440 --> 3:13:05.320]  to indict Andrew McCabe will be now will now be indicted the only person who could have
[3:13:05.320 --> 3:13:11.120]  stopped it is is the deputy director he has said no I'm not going to stop it it is full
[3:13:11.120 --> 3:13:14.920]  throttle with the U.S. attorney's office and so quote that administrative appeal failed
[3:13:14.920 --> 3:13:20.160]  exactly and in fact in really what it is is it's not even I wouldn't call it an appeal
[3:13:20.160 --> 3:13:23.880]  or an administrative what it really is is it's who has the final authority so they the
[3:13:23.880 --> 3:13:27.720]  U.S. attorney said said hey I'm going to go to the grand jury and indict you but under
[3:13:27.720 --> 3:13:31.400]  the law I don't have that final authority the number two of the Department of Justice
[3:13:31.400 --> 3:13:34.880]  does so you can go to him and so they how long until I mean he he's the one putting
[3:13:34.880 --> 3:13:38.320]  out that he's about to be in doubt how long a week two weeks it could be tomorrow so it
[3:13:38.320 --> 3:13:41.920]  could be tomorrow it could be a several weeks it could be a few months so what will happen
[3:13:41.920 --> 3:13:46.200]  is it'll depend on when the grand jury meets so they'll walk down to the grand jury and
[3:13:46.200 --> 3:13:50.720]  when the U.S. attorney's office request the grand jury to indict the grand jury indicts
[3:13:50.720 --> 3:13:57.320]  99.7% of the time so the he is and the feds convict what on this type of deal most of
[3:13:57.320 --> 3:14:01.680]  time so I would look for him to be Arkansas the well be interesting he is in DC so that's
[3:14:01.680 --> 3:14:05.520]  favorable to McCabe oh yeah they even let off the senator with little girls there so
[3:14:05.520 --> 3:14:09.640]  the you never know if the very democratic bias they've been doing jury nullification
[3:14:09.640 --> 3:14:14.800]  in the case so everybody's gonna be watching this so the the now Lou knows that she's under
[3:14:14.800 --> 3:14:19.520]  massive pressure to secure a conviction that the credibility of the U.S. Department of
[3:14:19.520 --> 3:14:25.320]  Justice depends on a successful prosecution of Andrew McCabe but what it also means is
[3:14:25.320 --> 3:14:29.080]  he has all the intel and all the information he is literally we're gonna come back with
[3:14:29.080 --> 3:14:31.800]  Matt breakfast I want him to take over but I want you to finish with this and we'll get
[3:14:31.800 --> 3:14:34.960]  some lunch we need a breakfast we've been working so much not complaining but we gotta
[3:14:34.960 --> 3:14:40.120]  eat and over here in the middle of our live coverage of Houston we have a problem the democrat
[3:14:40.120 --> 3:14:44.000]  debates in Houston we got two different crews down there I'm gonna be here live we're live
[3:14:44.000 --> 3:14:49.320]  right through you know 11 o'clock tonight central so tell everybody about banned dot
[3:14:49.320 --> 3:14:53.800]  video that's where all the live feeds are it's where all the post are works really great
[3:14:53.800 --> 3:14:58.040]  works all your devices really good banned dot video is the next level of info wars dot
[3:14:58.040 --> 3:15:03.680]  com forward slash show please tell your email tell your facebook tell your twitter tell your
[3:15:03.680 --> 3:15:08.680]  instant message people tell people by word of mouth hey you want to see independent banned
[3:15:08.680 --> 3:15:12.520]  coverage of the criminal democratic party on the chai com globalist payroll you want
[3:15:12.520 --> 3:15:16.880]  to hear americans fighting back learn about the cave about to be indicted info wars dot
