[00:00.000 --> 00:07.000]  There is a war. It's happening now. It will decide the fate of humanity.
[2:26:18.000 --> 2:26:45.000]  NewEngland.
[2:26:45.000 --> 2:27:12.000]  NewEngland.
[2:27:12.000 --> 2:27:39.000]  NewEngland.
[2:27:39.000 --> 2:28:06.000]  NewEngland.
[2:28:06.000 --> 2:28:33.000]  NewEngland.
[2:28:33.000 --> 2:28:59.000]  NewEngland.
[2:28:59.000 --> 2:29:25.000]  NewEngland.
[2:29:25.000 --> 2:29:52.000]  NewEngland.
[2:29:52.000 --> 2:30:19.000]  NewEngland.
[2:30:19.000 --> 2:30:46.000]  NewEngland.
[2:30:46.000 --> 2:31:13.000]  NewEngland.
[2:31:13.000 --> 2:31:40.000]  NewEngland.
[2:31:40.000 --> 2:32:07.000]  NewEngland.
[2:32:07.000 --> 2:32:34.000]  NewEngland.
[2:32:34.000 --> 2:33:01.000]  NewEngland.
[2:33:01.000 --> 2:33:30.000]  NewEngland.
[2:33:30.000 --> 2:33:57.000]  NewEngland.
[2:33:57.000 --> 2:34:24.000]  NewEngland.
[2:34:24.000 --> 2:34:53.000]  NewEngland.
[2:34:53.000 --> 2:35:20.000]  NewEngland.
[2:35:20.000 --> 2:35:47.000]  NewEngland.
[2:35:47.000 --> 2:36:14.000]  NewEngland.
[2:36:14.000 --> 2:36:42.000]  NewEngland.
[2:36:42.000 --> 2:37:11.000]  NewEngland.
[2:37:12.000 --> 2:37:39.000]  NewEngland.
[2:37:39.000 --> 2:38:06.000]  NewEngland.
[2:38:06.000 --> 2:38:33.000]  NewEngland.
[2:38:33.000 --> 2:39:01.000]  NewEngland.
[2:39:01.000 --> 2:39:28.000]  NewEngland.
[2:39:28.000 --> 2:39:57.000]  NewEngland.
[2:39:58.000 --> 2:40:25.000]  NewEngland.
[2:40:25.000 --> 2:40:52.000]  NewEngland.
[2:40:52.000 --> 2:41:19.000]  NewEngland.
[2:41:19.000 --> 2:41:46.000]  NewEngland.
[2:41:46.000 --> 2:42:14.000]  NewEngland.
[2:42:14.000 --> 2:42:40.000]  NewEngland.
[2:42:40.000 --> 2:43:07.000]  NewEngland.
[2:43:07.000 --> 2:43:34.000]  NewEngland.
[2:43:34.000 --> 2:44:00.000]  NewEngland.
[2:44:00.000 --> 2:44:26.000]  NewEngland.
[2:44:26.000 --> 2:44:55.000]  NewEngland.
[2:44:56.000 --> 2:45:23.000]  NewEngland.
[2:45:23.000 --> 2:45:50.000]  NewEngland.
[2:45:50.000 --> 2:46:19.000]  NewEngland.
[2:46:20.000 --> 2:46:47.000]  NewEngland.
[2:46:47.000 --> 2:47:14.000]  NewEngland.
[2:47:14.000 --> 2:47:43.000]  NewEngland.
[2:47:43.000 --> 2:48:12.000]  NewEngland.
[2:48:13.000 --> 2:48:40.000]  NewEngland.
[2:48:40.000 --> 2:49:07.000]  NewEngland.
[2:49:07.000 --> 2:49:34.000]  NewEngland.
[2:49:34.000 --> 2:50:03.000]  NewEngland.
[2:50:04.000 --> 2:50:31.000]  NewEngland.
[2:50:31.000 --> 2:51:00.000]  NewEngland.
[2:51:00.000 --> 2:51:29.000]  NewEngland.
[2:51:30.000 --> 2:51:59.000]  NewEngland.
[2:51:59.000 --> 2:52:28.000]  NewEngland.
[2:52:29.000 --> 2:52:58.000]  NewEngland.
[2:52:59.000 --> 2:53:22.000]  NewEngland.
[2:53:22.000 --> 2:53:47.000]  NewEngland.
[2:53:47.000 --> 2:54:12.000]  NewEngland.
[2:54:12.000 --> 2:54:38.000]  NewEngland.
[2:54:38.000 --> 2:55:04.000]  NewEngland.
[2:55:04.000 --> 2:55:31.000]  NewEngland.
[2:55:31.000 --> 2:55:58.000]  NewEngland.
[2:55:58.000 --> 2:56:25.000]  NewEngland.
[2:56:25.000 --> 2:56:52.000]  NewEngland.
[2:56:52.000 --> 2:57:20.000]  NewEngland.
[2:57:20.000 --> 2:57:49.000]  NewEngland.
[2:57:50.000 --> 2:58:17.000]  NewEngland.
[2:58:17.000 --> 2:58:44.000]  NewEngland.
[2:58:44.000 --> 2:59:11.000]  NewEngland.
[2:59:11.000 --> 2:59:39.000]  NewEngland.
[2:59:39.000 --> 3:00:08.000]  NewEngland.
[3:00:08.000 --> 3:00:37.000]  NewEngland.
[3:00:37.000 --> 3:01:02.000]  NewEngland.
[3:01:02.000 --> 3:01:31.000]  NewEngland.
[3:01:32.000 --> 3:02:01.000]  NewEngland.
[3:02:02.000 --> 3:02:29.000]  NewEngland.
[3:02:29.000 --> 3:02:56.000]  NewEngland.
[3:02:56.000 --> 3:03:23.000]  NewEngland.
[3:03:23.000 --> 3:03:50.000]  NewEngland.
[3:03:50.000 --> 3:04:18.000]  NewEngland.
[3:04:18.000 --> 3:04:41.000]  NewEngland.
[3:04:41.000 --> 3:05:10.000]  NewEngland.
[3:05:11.000 --> 3:05:40.000]  NewEngland.
[3:05:40.000 --> 3:06:00.000]  NewEngland.
[3:06:00.000 --> 3:06:27.000]  NewEngland.
[3:06:27.000 --> 3:06:54.000]  NewEngland.
[3:06:54.000 --> 3:07:21.000]  NewEngland.
[3:07:21.000 --> 3:07:48.000]  NewEngland.
[3:07:48.000 --> 3:08:08.000]  NewEngland.
[3:08:08.000 --> 3:08:17.000]  NewEngland.
[3:08:17.000 --> 3:08:22.000]  NewEngland.
[3:08:47.000 --> 3:09:13.000]  NewEngland.
[3:09:13.000 --> 3:09:39.000]  NewEngland.
[3:09:39.000 --> 3:10:05.000]  NewEngland.
[3:10:05.000 --> 3:10:34.000]  NewEngland.
[3:10:35.000 --> 3:10:54.000]  NewEngland.
[3:10:54.000 --> 3:11:22.000]  NewEngland.
[3:11:22.000 --> 3:11:48.000]  NewEngland.
[3:11:48.000 --> 3:12:15.000]  NewEngland.
[3:12:15.000 --> 3:12:42.000]  NewEngland.
[3:12:42.000 --> 3:13:04.000]  NewEngland.
[3:13:04.000 --> 3:13:31.000]  NewEngland.
[3:13:31.000 --> 3:14:00.000]  NewEngland.
[3:14:01.000 --> 3:14:28.000]  NewEngland.
[3:14:28.000 --> 3:14:50.000]  NewEngland.
[3:14:50.000 --> 3:15:16.000]  NewEngland.
[3:15:16.000 --> 3:15:39.000]  NewEngland.
[3:15:39.000 --> 3:16:06.000]  NewEngland.
[3:16:06.000 --> 3:16:33.000]  NewEngland.
[3:16:33.000 --> 3:17:02.000]  NewEngland.
[3:17:02.000 --> 3:17:24.000]  NewEngland.
[3:17:24.000 --> 3:17:51.000]  NewEngland.
[3:17:51.000 --> 3:18:17.000]  NewEngland.
[3:18:17.000 --> 3:18:43.000]  NewEngland.
[3:18:43.000 --> 3:19:09.000]  NewEngland.
[3:19:09.000 --> 3:19:35.000]  NewEngland.
[3:19:35.000 --> 3:20:00.000]  NewEngland.
[3:20:00.000 --> 3:20:26.000]  NewEngland.
[3:20:26.000 --> 3:20:52.000]  NewEngland.
[3:20:52.000 --> 3:21:18.000]  NewEngland.
[3:21:18.000 --> 3:21:44.000]  NewEngland.
[3:21:44.000 --> 3:22:10.000]  NewEngland.
[3:22:10.000 --> 3:22:36.000]  NewEngland.
[3:22:36.000 --> 3:22:58.000]  NewEngland.
[3:22:58.000 --> 3:23:24.000]  NewEngland.
[3:23:24.000 --> 3:23:50.000]  NewEngland.
[3:23:50.000 --> 3:24:17.000]  NewEngland.
[3:24:17.000 --> 3:24:43.000]  NewEngland.
[3:24:43.000 --> 3:25:09.000]  NewEngland.
[3:25:09.000 --> 3:25:35.000]  NewEngland.
[3:25:35.000 --> 3:26:01.000]  NewEngland.
[3:26:01.000 --> 3:26:27.000]  NewEngland.
[3:26:27.000 --> 3:26:53.000]  NewEngland.
[3:26:53.000 --> 3:27:19.000]  NewEngland.
[3:27:19.000 --> 3:27:45.000]  NewEngland.
[3:27:45.000 --> 3:28:11.000]  NewEngland.
[3:28:11.000 --> 3:28:37.000]  NewEngland.
[3:28:37.000 --> 3:29:03.000]  NewEngland.
[3:29:03.000 --> 3:29:29.000]  NewEngland.
[3:29:29.000 --> 3:29:58.000]  NewEngland.
[3:29:58.000 --> 3:30:00.000]  NewEngland.
[3:30:28.000 --> 3:30:54.000]  NewEngland.
[3:30:54.000 --> 3:31:20.000]  NewEngland.
[3:31:20.000 --> 3:31:46.000]  NewEngland.
[3:31:46.000 --> 3:32:12.000]  NewEngland.
[3:32:12.000 --> 3:32:38.000]  NewEngland.
[3:32:38.000 --> 3:33:04.000]  NewEngland.
[3:33:04.000 --> 3:33:30.000]  NewEngland.
[3:33:30.000 --> 3:33:56.000]  NewEngland.
[3:33:56.000 --> 3:34:22.000]  NewEngland.
[3:34:22.000 --> 3:34:50.000]  NewEngland.
[3:34:50.000 --> 3:35:16.000]  NewEngland.
[3:35:16.000 --> 3:35:42.000]  NewEngland.
[3:35:42.000 --> 3:36:08.000]  NewEngland.
[3:36:08.000 --> 3:36:36.000]  NewEngland.
[3:36:36.000 --> 3:37:02.000]  NewEngland.
[3:37:02.000 --> 3:37:28.000]  NewEngland.
[3:37:28.000 --> 3:37:54.000]  NewEngland.
[3:37:54.000 --> 3:38:20.000]  NewEngland.
[3:38:20.000 --> 3:38:46.000]  NewEngland.
[3:38:46.000 --> 3:39:14.000]  NewEngland.
[3:39:14.000 --> 3:39:42.000]  NewEngland.
[3:39:42.000 --> 3:40:08.000]  NewEngland.
[3:40:08.000 --> 3:40:34.000]  NewEngland.
[3:40:34.000 --> 3:41:00.000]  NewEngland.
[3:41:00.000 --> 3:41:26.000]  NewEngland.
[3:41:26.000 --> 3:41:52.000]  NewEngland.
[3:41:52.000 --> 3:42:18.000]  NewEngland.
[3:42:18.000 --> 3:42:46.000]  NewEngland.
[3:42:46.000 --> 3:43:14.000]  NewEngland.
[3:43:14.000 --> 3:43:40.000]  NewEngland.
[3:43:40.000 --> 3:44:06.000]  NewEngland.
[3:44:06.000 --> 3:44:34.000]  NewEngland.
[3:44:34.000 --> 3:45:02.000]  NewEngland.
[3:45:02.000 --> 3:45:30.000]  NewEngland.
[3:45:30.000 --> 3:45:56.000]  NewEngland.
[3:45:56.000 --> 3:46:24.000]  NewEngland.
[3:46:24.000 --> 3:46:46.000]  NewEngland.
[3:46:46.000 --> 3:47:14.000]  NewEngland.
[3:47:14.000 --> 3:47:40.000]  NewEngland.
[3:47:40.000 --> 3:48:08.000]  NewEngland.
[3:48:08.000 --> 3:48:36.000]  NewEngland.
[3:48:36.000 --> 3:49:04.000]  NewEngland.
[3:49:04.000 --> 3:49:26.000]  NewEngland.
[3:49:26.000 --> 3:49:54.000]  NewEngland.
[3:49:54.000 --> 3:50:22.000]  NewEngland.
[3:50:22.000 --> 3:50:50.000]  NewEngland.
[3:50:50.000 --> 3:51:12.000]  NewEngland.
[3:51:12.000 --> 3:51:40.000]  NewEngland.
[3:51:40.000 --> 3:52:08.000]  NewEngland.
[3:52:08.000 --> 3:52:30.000]  NewEngland.
[3:52:30.000 --> 3:52:58.000]  NewEngland.
[3:52:58.000 --> 3:53:26.000]  NewEngland.
[3:53:26.000 --> 3:53:54.000]  NewEngland.
[3:53:54.000 --> 3:54:22.000]  NewEngland.
[3:54:22.000 --> 3:54:50.000]  NewEngland.
[3:54:50.000 --> 3:55:18.000]  NewEngland.
[3:55:18.000 --> 3:55:46.000]  NewEngland.
[3:55:46.000 --> 3:56:14.000]  NewEngland.
[3:56:14.000 --> 3:56:42.000]  NewEngland.
[3:56:42.000 --> 3:57:10.000]  NewEngland.
[3:57:10.000 --> 3:57:38.000]  NewEngland.
[3:57:38.000 --> 3:58:06.000]  NewEngland.
[3:58:06.000 --> 3:58:34.000]  NewEngland.
[3:58:34.000 --> 3:58:50.000]  NewEngland.
[3:58:50.000 --> 3:59:18.000]  NewEngland.
[3:59:18.000 --> 3:59:46.000]  NewEngland.
[3:59:46.000 --> 3:59:50.000]  NewEngland.
