[00:00:01.002 --> 00:00:06.786]  And ladies and gentlemen, thank you for joining us on this February 11, 2018 Global Transmission.
[01:12:18.429 --> 01:12:24.833]  And I'm honestly reaching a point where it's like, what are people doing with the streets?
[01:12:24.833 --> 01:12:28.095]  Who is running the roads programs in these states?
[01:12:28.095 --> 01:12:30.056]  It was just as bad when I lived in Missouri.
[01:12:30.056 --> 01:12:38.881]  How is it that I'm driving down Austin, Texas, half of Highway 35 is shut down for construction that's not even going on?
[01:12:40.080 --> 01:12:41.801]  That has never been going on!
[01:12:41.801 --> 01:12:42.781]  Bridges shut down!
[01:12:42.781 --> 01:12:45.463]  I mean, what is going on?
[01:12:45.463 --> 01:12:50.465]  If we're increasing the debt by a trillion dollars, can I get a pothole fix, please?
[01:12:50.465 --> 01:12:54.788]  Can I have the biggest highway in a major city open?
[01:12:54.788 --> 01:12:56.669]  Can we use it?
[01:12:56.669 --> 01:12:57.369]  No, no, no, no.
[01:12:57.369 --> 01:12:58.590]  They gotta have a little construction.
[01:12:58.590 --> 01:13:03.732]  And then they have construction, and this is where you wonder about the mental capacity of the people running things.
[01:13:03.732 --> 01:13:08.875]  Then they have the construction, they finish the construction, and the traffic is worse.
[01:13:10.649 --> 01:13:12.050]  Who is running these plans?
[01:13:12.050 --> 01:13:14.091]  Who is running these programs?
[01:13:14.091 --> 01:13:17.694]  Why are they all unfit for that job?
[01:13:17.694 --> 01:13:19.935]  And how do they get it?
[01:13:19.935 --> 01:13:25.859]  So that's what irks me when I see that the debt is going up and that I can't get a pothole fixed.
[01:13:25.859 --> 01:13:33.144]  I can't seem to get anyone with half a brain running the highway systems and the road systems.
[01:13:33.144 --> 01:13:40.309]  And we're spending trillions and trillions and trillions of dollars repairing quote-unquote other countries.
[01:13:44.434 --> 01:13:47.276]  That's where I start to get a little angry.
[01:13:47.276 --> 01:13:49.537]  That's where I start to get a little ticked off.
[01:13:49.537 --> 01:13:57.261]  Why we're spending all this money on all these foreign countries, and I can't even get a road fixed.
[01:13:57.261 --> 01:14:00.523]  I can't even get a highway open.
[01:14:00.523 --> 01:14:08.927]  Apparently, we can't even afford here, in the city of Austin, Texas, to fund a road crew to go do construction.
[01:14:08.927 --> 01:14:09.888]  What the hell is that?
[01:14:11.860 --> 01:14:17.544]  If you can't afford the crew to do it, why'd you shut down the highway?
[01:14:17.544 --> 01:14:22.688]  So, that's where my mind goes when I see all these spending stories.
[01:14:22.688 --> 01:14:26.151]  I mean, it's just ridiculous.
[01:14:26.151 --> 01:14:28.232]  You know what needs to be shut down?
[01:14:28.232 --> 01:14:29.033]  NPR.
[01:14:29.033 --> 01:14:30.334]  Immediately.
[01:14:30.334 --> 01:14:34.577]  Shut it down now!
[01:14:34.577 --> 01:14:36.519]  How does NPR even exist?
[01:14:36.519 --> 01:14:37.800]  Do you realize that NPR
[01:14:39.707 --> 01:14:42.488]  Consider NPR to be a competitor.
[01:14:42.488 --> 01:14:45.249]  Let's say InfoWars is competing with NPR.
[01:14:45.249 --> 01:14:48.330]  Do you realize how unfair an advantage NPR has?
[01:14:48.330 --> 01:14:50.730]  They don't have to foot the bill!
[01:14:50.730 --> 01:14:53.351]  No, we have to pay our bills here!
[01:14:53.351 --> 01:14:58.833]  We have to find ways to accrue more funds to expand what we do here.
[01:14:58.833 --> 01:14:59.633]  Not at NPR!
[01:14:59.633 --> 01:15:02.754]  No, no, no, they just put their hands out for the government!
[01:15:02.754 --> 01:15:03.434]  Shut it down!
[01:15:06.271 --> 01:15:20.841]  And then, I don't know, maybe with all the money we save at NPR, and any other, look, any government paid-for media needs to be shut down immediately, and all of the funding needs to be brought in domestically to fix our roads!
[01:15:20.841 --> 01:15:25.624]  Fix our infrastructure, fix our streets!
[01:15:25.624 --> 01:15:28.707]  And then I see this story.
[01:15:28.707 --> 01:15:31.849]  Self-driving delivery robots could soon be hitting the streets of Phoenix.
[01:15:31.849 --> 01:15:33.590]  Great.
[01:15:33.590 --> 01:15:34.691]  Great, so even more traffic.
[01:15:35.814 --> 01:15:37.015]  Great, even more traffic.
[01:15:37.015 --> 01:15:45.440]  I hope that those self, those personal drones that they're trying to get in China right now, those can't come here soon enough.
[01:15:45.440 --> 01:15:51.503]  Because if they can't fix the roads, at least let me fly so that I don't have to deal with the government destroying our roads.
[01:15:51.503 --> 01:15:54.885]  I'm going to try to hit some more of the domestic news before Dr. Jerry Corsi joins us.
[01:15:54.885 --> 01:15:55.826]  This is the Alex Jones Show.
[01:15:57.386 --> 01:16:09.495]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[01:16:09.495 --> 01:16:10.876]  So what do we do about it?
[01:16:10.876 --> 01:16:14.218]  Well, for starters, don't just sit there and take it.
[01:16:14.218 --> 01:16:20.283]  Fight back with the all-new supercharged Brain Force Plus and feel the rush
[01:16:20.683 --> 01:16:21.964]  Without the crash.
[01:16:21.964 --> 01:16:28.190]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[01:16:28.190 --> 01:16:36.957]  And now we've added a brand new ingredient called Black Pepper Fruit Extract that gives you an added kick.
[01:16:36.957 --> 01:16:47.947]  Other ingredients include Vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state
[01:16:58.073 --> 01:17:03.537]  Maximize your potential and take your body back with Super Male Vitality.
[01:17:03.537 --> 01:17:08.860]  We're breaking the conditioning and fighting back against the globalist war on male vitality.
[01:17:08.860 --> 01:17:17.266]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[01:17:18.428 --> 01:17:25.331]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:17:25.331 --> 01:17:29.753]  Info Wars Life wants to bring you the highest quality products.
[01:17:29.753 --> 01:17:37.517]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:17:39.045 --> 01:17:42.727]  Support your body and mind and take yourself to the next level.
[01:17:42.727 --> 01:17:46.610]  Boost your vitality and energize your life.
[01:17:46.610 --> 01:17:48.091]  Take control of your body.
[01:17:48.091 --> 01:17:53.294]  Grab a bottle of Super Male Vitality today at infowarslife.com.
[01:17:53.294 --> 01:17:55.276]  That's infowarslife.com.
[01:17:58.217 --> 01:18:07.282]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[01:18:07.282 --> 01:18:15.706]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:18:15.706 --> 01:18:20.589]  We have now managed to secure these sought-after beans in a highly customized blend.
[01:18:20.589 --> 01:18:26.952]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:18:27.352 --> 01:18:34.560]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:18:34.560 --> 01:18:36.442]  Hands down, this is my favorite coffee.
[01:18:36.442 --> 01:18:41.568]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:18:41.568 --> 01:18:45.913]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:18:46.033 --> 01:18:49.416]  Available in original or with our immune support infusion blend.
[01:18:49.416 --> 01:18:55.720]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[01:18:55.720 --> 01:18:58.963]  Available at Infowarslife.com.
[01:18:58.963 --> 01:19:03.667]  You deserve a deep restful sleep with Knockout by Infowarslife.
[01:19:03.667 --> 01:19:14.115]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:19:14.975 --> 01:19:19.798]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:19:19.798 --> 01:19:28.182]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:19:28.182 --> 01:19:35.907]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:19:35.907 --> 01:19:37.868]  Wake up refreshed and take on the day.
[01:19:38.348 --> 01:19:46.271]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:19:46.271 --> 01:19:49.952]  Get the sleep you deserve and experience the power of knockout.
[01:19:49.952 --> 01:19:54.334]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:19:54.334 --> 01:20:01.476]  That's InfoWarsLife.com.
[01:20:01.476 --> 01:20:04.117]  You're listening to the Alex Jones Show.
[01:20:09.578 --> 01:20:15.659]  I'm really not sure how to explain this.
[01:20:15.659 --> 01:20:18.240]  New York Times headline,
[01:20:40.031 --> 01:20:44.992]  This is from today, isn't it?
[01:20:44.992 --> 01:20:53.934]  So... So CNN runs with the story Friday.
[01:20:53.934 --> 01:20:57.915]  Look at Kim Jong-un's sister stealing the show at the Olympics.
[01:20:57.915 --> 01:20:59.276]  Oh, she's glorious!
[01:20:59.276 --> 01:21:00.756]  She's majestic!
[01:21:00.756 --> 01:21:02.116]  It's Kim Jong-un's sister!
[01:21:02.116 --> 01:21:02.796]  Look at her!
[01:21:02.796 --> 01:21:03.397]  Love her!
[01:21:03.397 --> 01:21:03.957]  Praise her!
[01:21:03.957 --> 01:21:04.197]  Ooh!
[01:21:06.112 --> 01:21:08.193]  And it kind of, you know, churned over the weekend.
[01:21:08.193 --> 01:21:09.493]  I've got a stack of news here.
[01:21:09.493 --> 01:21:10.774]  Everyone called him out on it.
[01:21:10.774 --> 01:21:14.915]  I mean, CNN, it's like, whoa, okay, you're full-on communist news network now.
[01:21:14.915 --> 01:21:19.017]  And you figured the liberal media learned its lesson.
[01:21:19.017 --> 01:21:27.260]  You figured the liberal media, they stuck their toe in the water of supporting the Kim Jong-un regime, the communist North Korean regime.
[01:21:27.260 --> 01:21:28.180]  I can't believe I'm saying this.
[01:21:28.180 --> 01:21:29.921]  This is actually happening.
[01:21:29.921 --> 01:21:32.942]  CNN dipped their toe in the water supporting
[01:21:34.994 --> 01:21:36.055]  The communist North Korean regime.
[01:21:36.055 --> 01:21:38.399]  Is it worse than Lester Dolt?
[01:21:38.399 --> 01:21:39.180]  Lester Holt?
[01:21:39.180 --> 01:21:39.961]  Lester Holt the Dolt?
[01:21:45.905 --> 01:21:50.689]  Going to North Korea and falling for the propaganda and then reporting on it?
[01:21:50.689 --> 01:21:59.957]  Or is CNN consciously dipping their toe in the water of the North Korean regime, supporting it to see how, to check the temperature.
[01:21:59.957 --> 01:22:03.099]  So CNN does it, they get totally blown up over it.
[01:22:03.099 --> 01:22:08.464]  Apparently the New York Times though, the New York Times is just jumping right in!
[01:22:08.464 --> 01:22:09.925]  They just published this!
[01:22:09.925 --> 01:22:10.966]  This is from today!
[01:22:10.966 --> 01:22:13.087]  This is from today!
[01:22:14.099 --> 01:22:23.065]  If you're an internet watcher here, you can see we're running the North Korean support from the Communist News Network here.
[01:22:23.065 --> 01:22:26.387]  They're loving the North Korean Communist regime over there at CNN.
[01:22:26.387 --> 01:22:28.088]  But the New York Times!
[01:22:28.088 --> 01:22:29.129]  See, I was going to talk about this.
[01:22:29.129 --> 01:22:30.349]  I assumed it was over.
[01:22:30.349 --> 01:22:33.531]  And then the New York Times just won up CNN!
[01:22:33.531 --> 01:22:38.815]  Kim Jong-un's sister turns on the charm, taking Pence's spotlight!
[01:22:40.799 --> 01:22:49.287]  And then the whole story is about how she outflanked, that's a quote from New York Times, she outflanked Pence politically.
[01:22:49.287 --> 01:22:55.613]  The Communist!
[01:22:55.613 --> 01:23:03.941]  The New York Times and CNN now support the North Korean Communist regime more than they do America.
[01:23:08.749 --> 01:23:09.970]  Who do you want to fund, folks?
[01:23:09.970 --> 01:23:12.171]  Who do you want to see be the cutting edge in news?
[01:23:12.171 --> 01:23:14.593]  Who do you want to see rise to the top of news?
[01:23:14.593 --> 01:23:32.523]  It's InfoWars.com and as you heard in the last segment, unlike other certain sources out there, we don't get government funds, we don't get funded by big banks, we don't get funded by big pharma, we get funded by you buying our products at InfoWarsStore.com.
[01:23:32.523 --> 01:23:34.565]  You make it all possible and I promise you
[01:23:35.629 --> 01:23:36.630]  You have my word.
[01:23:36.630 --> 01:23:40.732]  I think I will confidently speak for Alex Jones.
[01:23:40.732 --> 01:23:44.914]  I'm taking a big leap here, but I think I can speak in confidence for Alex Jones.
[01:23:44.914 --> 01:23:47.695]  We will never support communism.
[01:23:47.695 --> 01:23:51.177]  We will never support communism.
[01:23:51.177 --> 01:23:51.958]  Not in this country.
[01:23:53.271 --> 01:23:54.352]  We're capitalists.
[01:23:54.352 --> 01:23:55.933]  We're free market capitalists.
[01:23:55.933 --> 01:24:00.977]  So what we do is we find the best product and we give it to you at the best price.
[01:24:00.977 --> 01:24:02.118]  That's what we do.
[01:24:02.118 --> 01:24:09.563]  And then we take your funds and we build the best media news network in the world.
[01:24:09.563 --> 01:24:12.806]  That's just what we do here at InfoWars.com.
[01:24:12.806 --> 01:24:19.171]  Some of the specials include Cell Force, which is still available at 53% off.
[01:24:19.171 --> 01:24:21.833]  This product is such a ridiculous deal we're undercutting ourselves.
[01:24:22.967 --> 01:24:29.912]  So take advantage of Salesforce, 53% off right now at InfoWarsStore.com.
[01:24:29.912 --> 01:24:35.016]  That is limited time, so make sure you take advantage of that while it lasts.
[01:24:35.016 --> 01:24:38.279]  You've got the InfoWars Life Daily Digestive Pack.
[01:24:41.124 --> 01:24:44.747]  Which includes carnivore and flora life.
[01:24:44.747 --> 01:24:51.992]  So that is to help you digest meats and other things that you may be eating that can lead to an upset stomach etc.
[01:24:51.992 --> 01:24:52.872]  That is 50% off right now.
[01:24:57.022 --> 01:24:59.163]  I mean, just all kinds of stuff.
[01:24:59.163 --> 01:25:01.064]  You've got the t-shirt of the month club.
[01:25:01.064 --> 01:25:02.384]  How about the t-shirt of the month club?
[01:25:02.384 --> 01:25:04.425]  20 bucks gets you the t-shirt.
[01:25:04.425 --> 01:25:07.726]  You've got the Valentine's Day special, the his and hers pack.
[01:25:07.726 --> 01:25:10.807]  That's super male and super female vitality.
[01:25:10.807 --> 01:25:11.287]  50% off.
[01:25:13.208 --> 01:25:15.950]  That is the His and Hers Valentine's Day special.
[01:25:15.950 --> 01:25:19.992]  50% off super male vitality and super female vitality.
[01:25:19.992 --> 01:25:21.874]  Get to Infowarsstore.com.
[01:25:21.874 --> 01:25:22.934]  We need your support, folks.
[01:25:22.934 --> 01:25:23.815]  They're coming after us.
[01:25:23.815 --> 01:25:25.396]  They're censoring us.
[01:25:25.396 --> 01:25:29.318]  It's really unheard of, the amount of censorship we get.
[01:25:29.318 --> 01:25:36.223]  But we just continue to plow forward with God's grace and with your support at Infowarsstore.com.
[01:25:36.223 --> 01:25:40.165]  So let me just plow through some of this news.
[01:25:40.165 --> 01:25:41.986]  New York Times supports
[01:25:42.895 --> 01:25:46.897]  The North Korean communist regime.
[01:25:46.897 --> 01:25:47.977]  Pathetic.
[01:25:47.977 --> 01:25:49.178]  Just pathetic.
[01:25:49.178 --> 01:25:58.582]  You know, there was a time in this country where if you would openly support a communist regime in your publication, you'd probably get raided by the FBI.
[01:25:58.582 --> 01:26:03.544]  You'd probably get raided.
[01:26:03.544 --> 01:26:06.425]  What a strange time it is to live in, indeed.
[01:26:06.425 --> 01:26:07.026]  You know what, actually?
[01:26:07.026 --> 01:26:07.786]  I need to go to this clip.
[01:26:08.865 --> 01:26:12.187]  Because I'm sure we're going to get into this more with Dr. Corsi.
[01:26:12.187 --> 01:26:15.448]  I'll just get this out there real quick.
[01:26:15.448 --> 01:26:18.750]  Experimental drug promises to kill the flu virus in a day.
[01:26:18.750 --> 01:26:23.933]  And of course, this is in response to all of the flus that are going on.
[01:26:23.933 --> 01:26:26.734]  Why are people outside high-risk groups dying from the flu?
[01:26:26.734 --> 01:26:28.355]  Well, because it's not the flu.
[01:26:28.355 --> 01:26:29.356]  It's a superbug.
[01:26:29.356 --> 01:26:33.138]  They're just saying it's the flu.
[01:26:33.138 --> 01:26:35.439]  Yeah, I realize I don't have time for that clip, guys, so that's okay.
[01:26:37.495 --> 01:26:47.978]  And John Rappaport at nomorefakenews.com, writer for Infowars.com, had the story a month ago, I think it was now, talking about how it's not the flu, it's a superbug.
[01:26:47.978 --> 01:26:49.159]  That's why people are dying.
[01:26:49.159 --> 01:26:51.759]  That's why people are having amputations.
[01:26:51.759 --> 01:26:56.481]  That's why people from outside the quote-unquote high-risk group are dying from the flu.
[01:26:56.481 --> 01:26:59.222]  It's not the flu!
[01:26:59.222 --> 01:27:06.304]  But they tell you it's the flu, and then they tell you to buy the vaccine, which they also tell you doesn't work.
[01:27:07.671 --> 01:27:10.833]  But buy it anyway.
[01:27:10.833 --> 01:27:11.193]  Right.
[01:27:11.193 --> 01:27:17.016]  And then we get called conspiracy theorists if we read the insert that talks about the flu.
[01:27:17.016 --> 01:27:18.537]  Because, you know, that's just crazy.
[01:27:18.537 --> 01:27:24.140]  Do you want to be informed on what you're going to inject into your body?
[01:27:24.140 --> 01:27:28.002]  So I saw this story and that actually just made me think about communism.
[01:27:28.002 --> 01:27:29.863]  And that's why I brought it up.
[01:27:29.863 --> 01:27:32.524]  I don't know if there's any real relevance to the story.
[01:27:32.524 --> 01:27:33.585]  It's a sad story.
[01:27:33.585 --> 01:27:36.707]  Other than, to me, this is just a representation of communism.
[01:27:37.622 --> 01:27:38.783]  Here's the headline.
[01:27:38.783 --> 01:27:41.144]  Couple sells everything for sailboat.
[01:27:41.144 --> 01:27:44.066]  It sinks on day two.
[01:27:44.066 --> 01:27:48.689]  If that isn't the story of communism, I don't know what is.
[01:27:48.689 --> 01:27:49.329]  Yes!
[01:27:49.329 --> 01:27:50.570]  Take all of my money.
[01:27:50.570 --> 01:27:51.831]  Take all of my property.
[01:27:51.831 --> 01:27:52.571]  Take everything.
[01:27:52.571 --> 01:27:53.892]  It's yours now.
[01:27:53.892 --> 01:27:54.152]  Good.
[01:27:54.152 --> 01:27:54.833]  It'll be for the better.
[01:27:54.833 --> 01:27:54.993]  Good.
[01:27:54.993 --> 01:27:55.733]  This is what you wanted.
[01:27:55.733 --> 01:27:56.914]  You wanted that sailboat.
[01:27:56.914 --> 01:27:58.335]  It'll be worth it.
[01:27:58.335 --> 01:28:00.196]  And then it sinks two days later.
[01:28:00.196 --> 01:28:01.797]  And you don't have a sailboat.
[01:28:01.797 --> 01:28:04.119]  And communism oppresses you.
[01:28:04.119 --> 01:28:05.419]  And you lose all your property.
[01:28:05.419 --> 01:28:06.100]  You lose everything.
[01:28:07.571 --> 01:28:08.832]  That's what Communists does.
[01:28:08.832 --> 01:28:10.734]  That's what Communism does.
[01:28:10.734 --> 01:28:12.615]  That's what the New York Times supports.
[01:28:12.615 --> 01:28:15.037]  That's what CNN supports.
[01:28:15.037 --> 01:28:20.942]  Invasive 20-pound rodents increasingly burrowing into California.
[01:28:20.942 --> 01:28:25.886]  I mean, I assumed Adam Schiff weighed at least 150 pounds.
[01:28:25.886 --> 01:28:32.872]  I mean, how Eric Swalwell and Adam Schiff are at a lean 20 pounds, that's amazing.
[01:28:32.872 --> 01:28:35.535]  They must be on super male vitality.
[01:28:37.518 --> 01:28:46.522]  How do Adam Schiff and Eric Swalwell weigh 20 pounds?
[01:28:46.522 --> 01:28:48.463]  Is that a combined weight?
[01:28:48.463 --> 01:28:49.584]  There's Adam Schiff right there.
[01:28:49.584 --> 01:28:52.745]  He's been burrowing into California's government for way too long now.
[01:28:52.745 --> 01:28:53.926]  Time to drain the swamp.
[01:28:53.926 --> 01:28:55.266]  Dr. Corsi joins me on the other side.
[01:28:55.266 --> 01:28:56.187]  This is the Alex Jones Show.
[01:28:57.597 --> 01:29:05.062]  I'm very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[01:29:05.062 --> 01:29:18.291]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:29:19.231 --> 01:29:31.116]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:29:31.116 --> 01:29:37.079]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:29:37.819 --> 01:29:46.849]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[01:29:46.849 --> 01:29:55.059]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[01:30:01.297 --> 01:30:08.544]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[01:30:08.544 --> 01:30:17.293]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[01:30:17.293 --> 01:30:22.339]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[01:30:24.921 --> 01:30:30.544]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[01:30:30.544 --> 01:30:32.384]  Secret 12.
[01:30:32.384 --> 01:30:33.545]  Optimal absorption.
[01:30:33.545 --> 01:30:38.667]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[01:30:38.667 --> 01:30:43.789]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[01:30:43.789 --> 01:30:44.590]  Optimum levels.
[01:30:46.030 --> 01:30:50.192]  Secret 12 is an easy way to increase your vitamin B12 intake.
[01:30:50.192 --> 01:30:55.353]  Head to InfoWarsLife.com and support optimal brain and body function with Secret 12.
[01:30:55.353 --> 01:30:57.574]  That's InfoWarsLife.com.
[01:30:57.574 --> 01:31:02.215]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[01:31:02.215 --> 01:31:09.858]  InfoWarsLife brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[01:31:09.858 --> 01:31:13.819]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[01:31:14.079 --> 01:31:20.222]  Pair this groundbreaking toothpaste with the Super Blue Fluoride-Free Mouthwash and supercharge your oral health.
[01:31:20.222 --> 01:31:26.825]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[01:31:26.825 --> 01:31:36.950]  Instead of containing fluoride, our Super Blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[01:31:37.090 --> 01:31:43.998]  The Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[01:31:43.998 --> 01:31:46.881]  Xylitol, Nano Silver, and Iodine.
[01:31:46.881 --> 01:31:50.486]  Notice the difference with our Super Blue Fluoride-Free products.
[01:31:50.486 --> 01:31:55.491]  Refresh your breath and invigorate your oral health routine at InfoWarsStore.com.
[01:31:55.491 --> 01:31:57.394]  That's InfoWarsStore.com.
[01:31:57.714 --> 01:32:06.438]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[01:32:06.438 --> 01:32:06.958]  That's right.
[01:32:06.958 --> 01:32:12.221]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[01:32:12.221 --> 01:32:18.904]  Go to Infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[01:32:18.904 --> 01:32:26.167]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[01:32:26.527 --> 01:32:26.727]  Woo!
[01:32:26.727 --> 01:32:27.768]  That's what I'm talking about.
[01:32:27.768 --> 01:32:36.513]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[01:32:36.513 --> 01:32:44.557]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[01:32:46.098 --> 01:32:49.519]  Now that's what I call the miracle of food preservation.
[01:32:49.519 --> 01:32:53.640]  Harvest Right is truly the world's best, most affordable freeze dryer.
[01:32:53.640 --> 01:32:54.721]  So what are you waiting for?
[01:32:54.721 --> 01:33:01.463]  Check it out right now at InfoWarsStore.com.
[01:33:01.463 --> 01:33:04.144]  You're listening to the Alex Jones Show.
[01:33:14.798 --> 01:33:16.699]  The answer to 1984 is 1776.
[01:33:16.699 --> 01:33:30.403]  You're listening to The Alex Jones Show.
[01:33:30.403 --> 01:33:33.564]  Owen Schroer filling host duties for Alex here for the final two segments.
[01:33:34.454 --> 01:33:45.379]  I'm joined by Dr. Jerry Corsi of Infowars.com, and we are going to get into the Russian plane crash that killed all 71 passengers on board.
[01:33:45.379 --> 01:33:52.002]  Of course, there's a lot of geopolitical shakeups in the aftermath of this, but I bring in Dr. Corsi now.
[01:33:52.002 --> 01:33:54.563]  What are your reports, Dr. Corsi?
[01:33:54.563 --> 01:33:55.864]  What do you think went on here?
[01:33:55.864 --> 01:33:57.004]  What's the story?
[01:33:57.004 --> 01:33:58.545]  What are they not telling us?
[01:33:58.545 --> 01:33:59.405]  What are they telling us?
[01:33:59.405 --> 01:34:01.546]  What are they telling us that's not true?
[01:34:01.546 --> 01:34:03.107]  Dr. Corsi, what's on your radar?
[01:34:04.341 --> 01:34:06.942]  Well, we've been following this, tracking it almost all day.
[01:34:06.942 --> 01:34:13.324]  It broke earlier this morning, and QAnon picked up on it very quickly.
[01:34:13.324 --> 01:34:26.409]  It turns out, on the plane crash, there were several executives of Rosatom, which is the Russian energy agency that is involved in the Uranium One deal.
[01:34:26.409 --> 01:34:32.171]  And the plane took off from Moscow, it's a regional plane, it was headed back towards
[01:34:33.146 --> 01:34:33.626]  We're good to go.
[01:34:56.508 --> 01:35:18.173]  Bought Uranium One, has been accused of bribery in the United States, information that Robert Mueller, Special Counselor, when he was head of the FBI, did not share with the Civius Committee, the Treasury Committee that allowed twice, including most recently in 2010, Rose Adam to acquire Uranium One.
[01:35:18.173 --> 01:35:22.514]  It was the Hillary Clinton big deal, because the Clinton Foundation was paid $147 million.
[01:35:25.146 --> 01:35:25.506]  I think?
[01:35:42.199 --> 01:35:42.900]  It's good to go.
[01:35:58.393 --> 01:36:15.604]  So it sounds to me wargaming this out, and I mean this is crazy, but you've got now people in Congress pushing for a new investigation, a new special counsel, in fact it's actually ongoing right now, into Hillary Clinton and the Uranium One deal, that scandal.
[01:36:15.604 --> 01:36:17.625]  There actually is an investigation ongoing there.
[01:36:17.625 --> 01:36:19.046]  They're now looking for a special counsel.
[01:36:19.426 --> 01:36:31.376]  So it looks like maybe now that that has legs, and that there's not a corrupt FBI and DOJ that are colluding with the President to let Hillary Clinton off, maybe all of a sudden there's teeth to this investigation.
[01:36:31.376 --> 01:36:43.226]  So, you're thinking that the same members of the Deep State that were behind Hillary Clinton to win this election may have been behind this plane going down?
[01:36:43.226 --> 01:36:45.147]  That's my first suspicion.
[01:36:45.147 --> 01:36:47.029]  And I don't expect the Deep State
[01:36:47.691 --> 01:37:01.901]  Which I take to be the CIA, in combination with the FBI, the Department of Justice, State Department, all of which have been heavily penetrated by the CIA and under the Obama presidency.
[01:37:01.901 --> 01:37:04.063]  It's not going to go down easily.
[01:37:04.063 --> 01:37:05.944]  It's going to fight.
[01:37:05.944 --> 01:37:14.711]  And what's developing, I think especially since the Nunes memo, the House Intelligence Committee, was released a week ago Friday,
[01:37:15.527 --> 01:37:17.688]  The narrative has changed in Washington.
[01:37:17.688 --> 01:37:30.191]  Now it's very clear that we have a corrupt Department of Justice and FBI that was out to deny Donald Trump the election.
[01:37:30.191 --> 01:37:44.194]  And with this Fusion GPS dossier being exposed, both by the Nunes memo and by Senator Grassley and Graham, we are finding that the FBI DOJ under Obama
[01:37:44.975 --> 01:37:58.420]  Had permission to do electronic surveillance from this FISA court based on false premises that the FISA court was never told this was opposition research, that it had never been validated by the FBI.
[01:37:58.420 --> 01:38:10.264]  And it may turn out, as I suspect, the large number of the Trump campaign, including President, now President Trump himself, may have been put under electronic surveillance.
