[00:00.000 --> 00:06.400]  been so affordable at mainmilitary.com one of the last surviving true surplus stores in the country
[1:18:48.080 --> 1:18:52.080]  Beef, chicken, turkey, bacon, butter, cheese, eggs, freeze dried fruits and vegetables,
[1:18:52.080 --> 1:18:56.560]  mountain house freeze dried meals, MREs, a full nutritional line, the British Birkfeld
[1:18:56.560 --> 1:18:57.960]  water filter and more.
[1:18:57.960 --> 1:19:01.040]  If you want to prepare now, go to beforeitstoolate.us.
[1:19:01.040 --> 1:19:10.400]  Or call 1-800-753-1981, that's 1-800-753-1981 or you can put your head in the sand and
[1:19:10.400 --> 1:19:13.000]  be just another sheeple in the corporate controlled flock.
[1:19:13.000 --> 1:19:29.480]  But remember, those who don't learn from history are bound to repeat it.
[1:19:29.480 --> 1:19:33.640]  You don't have to be in the military to enjoy military surplus savings.
[1:19:33.640 --> 1:19:39.640]  Right now at mainmilitary.com, you'll find savings on the top must have military supplies.
[1:19:39.640 --> 1:19:47.000]  M10 gas masks for $12 or $3 for 30, gas mask hoods $4 or $3 for 10, mask filters $6 or
[1:19:47.000 --> 1:19:53.920]  $3 for 15, save big on British chemical suits only $12, Israeli gas masks $20, trigger finger
[1:19:53.920 --> 1:20:01.000]  gloves $5 a pair or $36 a dozen, snowshoe binding for $8 or $48 a dozen and so much
[1:20:01.000 --> 1:20:02.000]  more.
[1:20:02.000 --> 1:20:05.800]  Even hard to find surplus items all at surplus prices.
[1:20:05.800 --> 1:20:12.160]  Preparing the whole family has never been so affordable at mainmilitary.com, mainmilitary.com,
[1:20:12.160 --> 1:20:15.480]  one of the last surviving true surplus stores in the country.
[1:20:15.480 --> 1:20:28.800]  Right now at mainmilitary.com or call 877-608-0179, that's 877-608-0179 today.
[1:20:28.800 --> 1:20:47.960]  Thank you for listening to GCN, visit GCNLive.com today.
[1:20:47.960 --> 1:20:51.600]  Before the show ends, I'm going to get into Barack Obama's quote policy when he's playing
[1:20:51.600 --> 1:20:52.600]  due to the country.
[1:20:52.600 --> 1:20:54.120]  You're a little bit of a listener.
[1:20:54.120 --> 1:20:59.000]  No, I'm not saying I was for John McCain, you see, there's more candidates than just
[1:20:59.000 --> 1:21:00.000]  the two.
[1:21:00.000 --> 1:21:05.240]  We've gotten this problem because the establishment can give you both the choices and control both
[1:21:05.240 --> 1:21:10.840]  the choices who are both New World Order, and I know I keep repeating that, it's just
[1:21:10.840 --> 1:21:11.840]  so mindless.
[1:21:11.840 --> 1:21:15.560]  I'm not even against Barack Obama, the guy is a puppet, he will run nothing, it's the
[1:21:15.560 --> 1:21:23.400]  institutions behind him, it's the policies, get ready, he's going to bring you a depression
[1:21:23.400 --> 1:21:25.440]  because that's what the New World Order is bringing you.
[1:21:25.440 --> 1:21:29.160]  Jack in Las Vegas, you're on the air, Jack, welcome.
[1:21:29.160 --> 1:21:35.040]  It was good, it made my day on Friday when you went, Obama, I was pretty depressed in
[1:21:35.040 --> 1:21:36.040]  that.
[1:21:36.040 --> 1:21:50.960]  Obama, Obama will save me, hold on a second, I've got a group of Obama callers, they're
[1:21:50.960 --> 1:22:00.720]  having an Obama appreciation meeting, an Obama appreciation, a political meeting, just called
[1:22:00.720 --> 1:22:08.560]  in from Albuquerque, hold on, put them back on the line again, hold on, I've got a bunch
[1:22:08.560 --> 1:22:15.920]  of neocon followers, a mainline, right wing talk radio calling in, oh wait a minute, say
[1:22:15.920 --> 1:22:20.800]  you like Sean Hannity, you like people to take Oxy Cotton, the other talk show host?
[1:22:20.800 --> 1:22:22.800]  Wait, who is that there?
[1:22:22.800 --> 1:22:25.800]  I'm sorry, go ahead and make a point, Jack.
[1:22:25.800 --> 1:22:29.600]  My name's Jack, by the way, but it's all good.
[1:22:29.600 --> 1:22:34.200]  It says Jake on here, Jack, but we'll call you Billy Bob, go ahead.
[1:22:34.200 --> 1:22:38.200]  I had a couple questions, I know it might take a minute or two, but I appreciate you
[1:22:38.200 --> 1:22:39.200]  keeping on the line.
[1:22:39.200 --> 1:22:44.280]  First of all, I just want to say, the first thing that got me awake was the entertainment
[1:22:44.280 --> 1:22:48.560]  business, people like Paris they had on on Friday and Immortal Technique and people like
[1:22:48.560 --> 1:22:53.320]  Bill Hicks, that got me sort of involved and then I got more and more into it and I found
[1:22:53.320 --> 1:23:00.480]  out about your scanner darkling and like a walking life and got me into it, but my question
[1:23:00.480 --> 1:23:05.120]  that I had for you is, I had a couple of, I had two questions, my first question is,
[1:23:05.120 --> 1:23:10.200]  I was wondering if, like, I've been hearing a lot of stuff about Hitler, how he might
[1:23:10.200 --> 1:23:17.320]  be like a Rob Child, or he possibly a Freemason, was he like, I mean, there was no doubt that
[1:23:17.320 --> 1:23:24.640]  Hitler was into the occult and there was no doubt that his father was born illegitimately
[1:23:24.640 --> 1:23:29.800]  out of the Rothschild house, his grandmother was a servant girl in one of the Rothschild's
[1:23:29.800 --> 1:23:35.840]  houses, but that's not, now the Nazis then tried to cover up his father's birth certificate,
[1:23:35.840 --> 1:23:39.560]  they tried to cover up his whole family tree and so that's where all of that discussion
[1:23:39.560 --> 1:23:40.560]  comes from.
[1:23:40.560 --> 1:23:41.560]  Good to hear from you, my friend.
[1:23:41.560 --> 1:23:44.840]  Okay, let's go ahead and talk to David in California.
[1:23:44.840 --> 1:23:47.840]  David, welcome to the airwaves.
[1:23:47.840 --> 1:23:48.840]  Hello, yes.
[1:23:48.840 --> 1:23:49.840]  Thanks for holding.
[1:23:49.840 --> 1:23:50.840]  Go ahead.
[1:23:50.840 --> 1:23:51.840]  Yeah, I was wondering.
[1:23:51.840 --> 1:23:55.840]  I've got a couple of questions to take off speakerphone for a second.
[1:23:55.840 --> 1:23:56.840]  Obama!
[1:23:56.840 --> 1:23:57.840]  Obama!
[1:23:57.840 --> 1:24:08.440]  So, I was watching, watching for Reid Zechariah today on the CIA and the news network and
[1:24:08.440 --> 1:24:17.320]  he had a general and a former ISI officer on an interview with a guy and the guy says,
[1:24:17.320 --> 1:24:21.800]  he mentions, they're talking about, of course, the Indian attack and he says that it appears
[1:24:21.800 --> 1:24:27.960]  to be, and obviously, an intelligence operation and then I just wanted to, I was wondering
[1:24:27.960 --> 1:24:29.640]  how far would they go with this?
[1:24:29.640 --> 1:24:34.040]  Well, I know the former head of the Pakistani ISI has already come out saying the West stage
[1:24:34.040 --> 1:24:36.520]  this attack to blame it on Pakistan, but go ahead.
[1:24:36.520 --> 1:24:37.520]  Right, exactly.
[1:24:37.520 --> 1:24:38.520]  So, he said that on CNN.
[1:24:38.520 --> 1:24:42.800]  He said that on CNN, I couldn't believe it, on Reid Zechariah and they didn't edit it.
[1:24:42.800 --> 1:24:44.240]  I'm like everything else they edit.
[1:24:44.240 --> 1:24:47.960]  Well, you know that Sarkaria guy is actually a Bilderberg group member, one of the few journalists
[1:24:47.960 --> 1:24:50.400]  that is a Bilderberg group member of the 125 members.
[1:24:50.400 --> 1:24:56.440]  Wait a minute, excuse me, on CNN today, they had the former head of ISI, it's the same
[1:24:56.440 --> 1:24:57.440]  guy.
[1:24:57.440 --> 1:24:58.440]  Actually, I don't know if it's a head.
[1:24:58.440 --> 1:25:01.440]  He was a former ISI officer and a general in the Pakistani army.
[1:25:01.440 --> 1:25:02.640]  I didn't get the guy's name.
[1:25:02.640 --> 1:25:07.440]  Well, there's a former head, I've got to pull it up, who said last week that the West stage,
[1:25:07.440 --> 1:25:09.200]  these attacks then gave evidence.
[1:25:09.200 --> 1:25:11.440]  And now even the Indian media is saying that.
[1:25:11.440 --> 1:25:12.440]  That was on CNN.
[1:25:12.440 --> 1:25:13.440]  What did the host say?
[1:25:13.440 --> 1:25:18.080]  Okay, well the host says, basically, you know, please expand on what you're saying.
[1:25:18.080 --> 1:25:21.040]  He goes, well, it appears to be an intelligence operation.
[1:25:21.040 --> 1:25:27.640]  Nobody knows really who perpetrated this or organized it, but then he gets into 9-11 and
[1:25:27.640 --> 1:25:29.520]  this blew my mind.
[1:25:29.520 --> 1:25:34.680]  He actually made the point for 9-11 truth and they left it in the show.
[1:25:34.680 --> 1:25:43.320]  But, however, what he says, I'm paraphrasing in my memory, he says that it was that 9-11,
[1:25:43.320 --> 1:25:47.120]  in his opinion, Frida Caria asks him, well, who in your opinion committed 9-11?
[1:25:47.120 --> 1:25:54.000]  He said, well, it apparently appears to be a, quote, neocon Zionist operation planned
[1:25:54.000 --> 1:26:00.640]  and operated, planned in America and carried out in America by the same people.
[1:26:00.640 --> 1:26:06.720]  And then Frida Caria goes to commercial break, but they have a little piece they insert in
[1:26:06.720 --> 1:26:11.720]  and Frida says, you know, just so that you guys know, much of what he's saying is false.
[1:26:11.720 --> 1:26:12.720]  And he goes to commercial.
[1:26:12.720 --> 1:26:15.720]  I was like, well, you had to add that little footnote.
[1:26:15.720 --> 1:26:16.720]  With no evidence.
[1:26:16.720 --> 1:26:17.720]  Yeah, exactly.
[1:26:17.720 --> 1:26:20.720]  And it's unbelievable that they left that in.
[1:26:20.720 --> 1:26:26.800]  I only say that because I post, I have posted twice on the Jack Capri file.
[1:26:26.800 --> 1:26:30.880]  Back in July, I think I sent you guys my, my, uh, letter.
[1:26:30.880 --> 1:26:33.240]  Jack Capri does the piece with Blitzer every day.
[1:26:33.240 --> 1:26:34.240]  Exactly.
[1:26:34.240 --> 1:26:35.240]  Right.
[1:26:35.240 --> 1:26:37.600]  And Jack Capri asked, back in July, who do you think would be better at catching up
[1:26:37.600 --> 1:26:38.600]  on them a lot?
[1:26:38.600 --> 1:26:42.040]  And McCain or Obama, please post them, blah, blah, blah.
[1:26:42.040 --> 1:26:47.080]  So I post in, and a simple, simple little note, and I know I forwarded this to Aaron
[1:26:47.080 --> 1:26:48.480]  at an award.
[1:26:48.480 --> 1:26:53.240]  I post, uh, well, according to Venizer Bouto and on her David Frost interview on November
[1:26:53.240 --> 1:26:56.920]  2nd, and you can, anyone listening can do this search, November 2nd, Frost.
[1:26:56.920 --> 1:26:58.960]  Yes, he says, Ben Lawton died, yeah.
[1:26:58.960 --> 1:27:02.920]  And he says that he was murdered and we have the man in prison who murdered Ben Lawton.
[1:27:02.920 --> 1:27:07.720]  And so I, in my post, I said, according to Bouto, he was killed recently in Pakistan.
[1:27:07.720 --> 1:27:12.400]  So, uh, don't think anyone's going to catch the guy ever because of the faith that he
[1:27:12.400 --> 1:27:13.400]  fixed it.
[1:27:13.400 --> 1:27:17.320]  I said, but just keep on pretending and the, and our idiocracy will never know the difference.
[1:27:17.320 --> 1:27:22.000]  Well, my posting appeared on their, on their blogs for about a half an hour that they deleted
[1:27:22.000 --> 1:27:23.000]  me.
[1:27:23.000 --> 1:27:24.920]  And I was saying that that broke their rules.
[1:27:24.920 --> 1:27:27.520]  I didn't, you know, promote violence toward anyone.
[1:27:27.520 --> 1:27:32.760]  Well, YouTube, Google, censoring my videos, everybody else's because they're desperate.
[1:27:32.760 --> 1:27:34.160]  They're losing all credibility.
[1:27:34.160 --> 1:27:35.160]  Right.
[1:27:35.160 --> 1:27:40.200]  And as, as William Colby said, former director of CIA, the CIA owns any one of any significance
[1:27:40.200 --> 1:27:41.200]  in the major media.
[1:27:41.200 --> 1:27:42.360]  And this is 100% true.
[1:27:42.360 --> 1:27:47.160]  Uh, I mean, you do not have to break their rules in order to get deleted.
[1:27:47.160 --> 1:27:48.160]  And that's a fact.
[1:27:48.160 --> 1:27:49.160]  I've been deleted.
[1:27:49.160 --> 1:27:50.160]  Listen, do me a favor.
[1:27:50.160 --> 1:27:55.280]  Uh, put that together with the Fareed Sakaria program, uh, write up a blurb and send that
[1:27:55.280 --> 1:27:58.160]  to Aaron and info wars.com or send it to Mike and info wars.com.
[1:27:58.160 --> 1:27:59.160]  They'll get it to me.
[1:27:59.160 --> 1:28:00.760]  Uh, but I just can't keep track of all this.
[1:28:00.760 --> 1:28:03.000]  No, I mean, it's in the Pakistani news.
[1:28:03.000 --> 1:28:04.640]  It's in the Indian news.
[1:28:04.640 --> 1:28:08.960]  It's in the British news that this, uh, looks like it could be a Western operation.
[1:28:08.960 --> 1:28:10.760]  So it's not just Alex Jones saying this.
[1:28:10.760 --> 1:28:15.240]  And for anybody that turns their nose up at Israel being involved in terror, you've got
[1:28:15.240 --> 1:28:20.320]  to have a problem with Ross and Jerusalem posts and a few other of the big Israeli daily
[1:28:20.320 --> 1:28:28.160]  papers because, uh, if you Google, uh, Israeli fake al Qaeda groups, uh, you will be on Israeli
[1:28:28.160 --> 1:28:29.160]  newspapers.
[1:28:29.160 --> 1:28:33.800]  And so if you got a problem with somebody saying that about Israel, have the problem
[1:28:33.800 --> 1:28:40.000]  with Israel's own newspapers because Israel admittedly has been caught staging hundreds
[1:28:40.000 --> 1:28:42.680]  of terror attacks against themselves.
[1:28:42.680 --> 1:28:46.400]  Now, uh, are there real terrorist attacks?
[1:28:46.400 --> 1:28:47.400]  Absolutely.
[1:28:47.400 --> 1:28:50.480]  But, but every time Israel doesn't want a peace deal, every time they want to try to
[1:28:50.480 --> 1:28:51.480]  go after a grip.
[1:28:51.480 --> 1:28:52.480]  Well, I mean, here's the point.
[1:28:52.480 --> 1:28:53.480]  UPI reported.
[1:28:53.480 --> 1:29:07.800]  Oh, what in, uh, when was it in 2003 that Israel founded Hamas to be a counter to Hezbollah?
[1:29:07.800 --> 1:29:14.240]  Hezbollah Shiite Hamas is Sunni.
[1:29:14.240 --> 1:29:18.160]  It's very sophisticated folks and you need to get informed on this like you are on football.
[1:29:18.160 --> 1:29:29.320]  We'll be right back.
[1:29:29.320 --> 1:29:34.480]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generator starting
[1:29:34.480 --> 1:29:36.360]  at $299.
[1:29:36.360 --> 1:29:41.280]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners
[1:29:41.280 --> 1:29:46.120]  alike to sterilize homes and cars, making them free from bacteria, molds, viruses and
[1:29:46.120 --> 1:29:48.920]  complete removal of secondhand smoke, padoters.
[1:29:48.920 --> 1:29:49.920]  You name it.
[1:29:49.920 --> 1:29:53.240]  What else can three oxygen atoms, in other words, ozone do?
[1:29:53.240 --> 1:29:57.960]  Many hospitals sterilize their operating rooms with ozone before and after operations.
[1:29:57.960 --> 1:29:59.960]  And have you ever heard of ozone therapy?
[1:29:59.960 --> 1:30:03.800]  Ionic Zone has a wealth of information on ozone therapy.
[1:30:03.800 --> 1:30:08.200]  Ozone therapy is used, among other things, to raise the body's oxygen level, which studies
[1:30:08.200 --> 1:30:10.400]  suggest boosts the immune system.
[1:30:10.400 --> 1:30:16.600]  You can learn more about ozone therapy or Ionic Zone ozone generators by going to IonicZone.com
[1:30:16.600 --> 1:30:20.320]  or calling 800-549-9535.
[1:30:20.320 --> 1:30:29.800]  That's I-O-N-I-C zone.com or toll free 800-549-9535 Ionic Zone.
[1:30:29.800 --> 1:30:33.360]  The United States is bankrupt and the bankers want you bankrupt also.
[1:30:33.360 --> 1:30:36.960]  How would you like to be debt-free in 90 days, guaranteed?
[1:30:36.960 --> 1:30:42.040]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will
[1:30:42.040 --> 1:30:43.920]  free you from the debt trap.
[1:30:43.920 --> 1:30:48.560]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies
[1:30:48.560 --> 1:30:51.840]  and liens, and you won't pay one dime to creditors.
[1:30:51.840 --> 1:30:56.360]  With Debt Crisis Solutions program, you'll also restore your credit history and be protected
[1:30:56.360 --> 1:30:59.800]  from legal action without making one more payment to creditors.
[1:30:59.800 --> 1:31:04.920]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment
[1:31:04.920 --> 1:31:07.640]  and bank levies, liens, and judgments.
[1:31:07.640 --> 1:31:09.960]  Doing nothing doesn't make the debt go away.
[1:31:09.960 --> 1:31:12.640]  Become debt-free in 90 days, guaranteed.
[1:31:12.640 --> 1:31:22.840]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123 or visit them
[1:31:22.840 --> 1:31:26.120]  online at DebtCrisisSolutions.com.
[1:31:26.120 --> 1:31:36.240]  For the past several months, folks have constantly asked me to give them the date as to when
[1:31:36.240 --> 1:31:38.960]  they should be finished stocking up on food.
[1:31:38.960 --> 1:31:43.160]  We've been so beaten up by stock market banking, housing, and unemployment crashes that we're
[1:31:43.160 --> 1:31:47.720]  desensitized and frozen and active like the frog being unknowingly cooked in gradually
[1:31:47.720 --> 1:31:49.120]  increasingly hot water.
[1:31:49.120 --> 1:31:51.880]  We'll snap out of it, we now have a deadline.
[1:31:51.880 --> 1:31:54.200]  Joe Biden said it's going to happen.
[1:31:54.200 --> 1:31:58.800]  Former Secretary of State Colin Powell went on CBS Meet the Press and pointed to about
[1:31:58.800 --> 1:32:03.600]  January 22 as the time a major international incident would force the new president to
[1:32:03.600 --> 1:32:05.960]  make unpopular decisions.
[1:32:05.960 --> 1:32:10.200]  While I take the general at his word, my best advice is to have your food in your possession
[1:32:10.200 --> 1:32:12.440]  prior to the inauguration.
[1:32:12.440 --> 1:32:17.600]  Contact eFoodsDirect.com for your supplies prior to this deadline for disaster.
[1:32:17.600 --> 1:32:21.920]  Ask yourself, is it better to have too much too soon or too little too late?
[1:32:21.920 --> 1:32:26.680]  Call 800-409-5633 or on the web eFoodsDirect.com.
[1:32:26.680 --> 1:32:30.760]  Hi, this is Steve Shank.
[1:32:30.760 --> 1:32:33.360]  The spirit of America is independence.
[1:32:33.360 --> 1:32:36.080]  The greatest gift of independence is food.
[1:32:36.080 --> 1:32:41.120]  Over one-third of Americans can't afford to buy food and pay their other expenses.
[1:32:41.120 --> 1:32:44.520]  Lines of credit and cards are often cut back or canceled.
[1:32:44.520 --> 1:32:49.520]  Last year, the eFoodsDirect Holiday Food Unit was a fun and exciting one-year supply with
[1:32:49.520 --> 1:32:50.880]  a great price.
[1:32:50.880 --> 1:32:56.000]  This year, to quickly complete our food supply preparations, eFoodsDirect has created a very
[1:32:56.000 --> 1:32:58.280]  serious holiday unit.
[1:32:58.280 --> 1:33:03.600]  This super food supply costs $300 less than the basic Liberty one-year supply and has
[1:33:03.600 --> 1:33:04.720]  more food.
[1:33:04.720 --> 1:33:08.600]  That's safe food for less than half the cost of last year's groceries.
[1:33:08.600 --> 1:33:13.120]  Gift certificates are available for shipments that will not arrive by Christmas.
[1:33:13.120 --> 1:33:16.120]  Food is the gift of life and love this holiday season.
[1:33:16.120 --> 1:33:21.960]  Call 800-409-5633 on the web eFoodsDirect.com.
[1:33:21.960 --> 1:33:24.960]  That's 800-409-5633.
[1:33:24.960 --> 1:33:27.960]  That's 800-409-5633.
[1:33:27.960 --> 1:33:53.960]  You're listening to GCN, the Genesis Communications Radio Network.
[1:33:53.960 --> 1:34:19.960]  But we are back live.
[1:34:19.960 --> 1:34:26.960]  It's what it all comes down to, ladies and gentlemen.
[1:34:26.960 --> 1:34:29.520]  Here at the promo earlier, we're evil.
[1:34:29.520 --> 1:34:33.520]  We are bad men if we want to own guns and pass on liberty to our children.
[1:34:33.520 --> 1:34:35.520]  We're cowardly.
[1:34:35.520 --> 1:34:37.520]  We're shriveled.
[1:34:37.520 --> 1:34:39.800]  We don't have any male appendages.
[1:34:39.800 --> 1:34:43.720]  That's the attitude of people that want to be slaves, and I'm sorry for them.
[1:34:43.720 --> 1:34:45.520]  I think it's trendy and cool.
[1:34:45.520 --> 1:34:50.280]  Oh, I'm for turning my guns in, but I love it when we have troops on the streets.
[1:34:50.280 --> 1:34:54.800]  You see, the government being oppressive and illegitimate, using troops on the American
[1:34:54.800 --> 1:34:57.640]  people, but let's take the American people's guns.
[1:34:57.640 --> 1:34:58.640]  That will be much safer.
[1:34:58.640 --> 1:35:04.200]  You know, a lot of folks think that, oh, so what about tyranny or police brutality or
[1:35:04.200 --> 1:35:08.320]  violating the Fourth Amendment or warrantless spying?
[1:35:08.320 --> 1:35:11.760]  People think that tyranny is some quaint thing that can't happen here or that tyranny happens
[1:35:11.760 --> 1:35:12.760]  to somebody else.
[1:35:12.760 --> 1:35:19.120]  Tyranny is done so that the corrupt elite can rob and tax and over-regulate the people.
[1:35:19.120 --> 1:35:21.640]  Tyranny is a horrible thing.
[1:35:21.640 --> 1:35:23.480]  That's why tyranny is a bad thing.
[1:35:23.480 --> 1:35:26.640]  So a lot of you that don't care about tyranny or don't think it won't affect you because,
[1:35:26.640 --> 1:35:29.520]  oh, I don't care about freedom, I'm not going to speak out against the government.
[1:35:29.520 --> 1:35:32.800]  Well, don't worry, you're going to get hurt just as bad by tyranny.
[1:35:32.800 --> 1:35:34.560]  See, you can't get out of this.
[1:35:34.560 --> 1:35:38.480]  You can only fight back against it or get down and lick boots.
[1:35:38.480 --> 1:35:42.040]  The phones are always loaded on this show, but they've been loaded since the very, before
[1:35:42.040 --> 1:35:43.040]  the show started.
[1:35:43.040 --> 1:35:46.360]  I'm going to do phone blitzing now because I want to get to everybody and I want more
[1:35:46.360 --> 1:35:47.560]  people to be able to call in.
[1:35:47.560 --> 1:35:52.280]  At the very end, I'll cover some of Obama's new policies and a few of the little giblets
[1:35:52.280 --> 1:35:53.280]  of news.
[1:35:53.280 --> 1:35:57.800]  Here I have 877-590-5525.
[1:35:57.800 --> 1:36:00.960]  Let's go ahead and talk to Chad in Texas.
[1:36:00.960 --> 1:36:01.960]  Chad, go ahead.
[1:36:01.960 --> 1:36:02.960]  Chad, welcome.
[1:36:02.960 --> 1:36:03.960]  Chad, in Colorado.
[1:36:03.960 --> 1:36:04.960]  Yes, sir.
[1:36:04.960 --> 1:36:05.960]  Could you call me?
[1:36:05.960 --> 1:36:10.460]  I lost that caller.
[1:36:10.460 --> 1:36:14.080]  Let's go ahead and talk to George in Texas.
[1:36:14.080 --> 1:36:16.160]  George, you're on the air.
[1:36:16.160 --> 1:36:17.160]  How are you doing, Alex?
[1:36:17.160 --> 1:36:18.160]  Good.
[1:36:18.160 --> 1:36:20.080]  You know, I just fell out of my chair this morning.
[1:36:20.080 --> 1:36:25.040]  I was just, I don't, I watched Fox NFL Sunday and they were talking about all the football
[1:36:25.040 --> 1:36:30.720]  players, New York Giants players, arrested for carrying a gun and they were telling
[1:36:30.720 --> 1:36:32.120]  old how bad it was.
[1:36:32.120 --> 1:36:33.560]  Yeah, well, that's the message.
[1:36:33.560 --> 1:36:39.920]  See, just like I said last or earlier this hour, that's what's done over and over again
[1:36:39.920 --> 1:36:44.680]  is that they take media stories out of Chicago and out of New York where there's total gun
[1:36:44.680 --> 1:36:49.560]  bans against the slave citizens and then they advertise that guns are illegal and so when
[1:36:49.560 --> 1:36:53.840]  you've got a carpet cleaner or a plumber in your house in 98% of the country where it's
[1:36:53.840 --> 1:36:57.720]  not illegal, where you still have a somewhat of a second amendment, they call the cops
[1:36:57.720 --> 1:36:58.720]  on you.
[1:36:58.720 --> 1:36:59.880]  I mean, it happens all the time.
[1:36:59.880 --> 1:37:00.880]  They're in your house.
[1:37:00.880 --> 1:37:01.880]  They see a gun case.
[1:37:01.880 --> 1:37:04.240]  They see a, you know, a gun frame on the wall.
[1:37:04.240 --> 1:37:05.600]  They start freaking out.
[1:37:05.600 --> 1:37:09.920]  They have been trained to be scared of guns and that's just disgusting.
[1:37:09.920 --> 1:37:10.920]  Go ahead.
[1:37:10.920 --> 1:37:14.560]  So they were, they were on there talking about how horrible it is that, that these NFL guys
[1:37:14.560 --> 1:37:18.280]  want to protect themselves while the economy implodes and crime explodes.
[1:37:18.280 --> 1:37:19.960]  How dare them want to protect their families?
[1:37:19.960 --> 1:37:20.960]  How dare them?
[1:37:20.960 --> 1:37:27.480]  Well, you know, the thing is, before I left Florida, a woman called the police and this
[1:37:27.480 --> 1:37:31.800]  guy's house got swat teamed and all his guns taken away because she was looking through
[1:37:31.800 --> 1:37:36.440]  his front window and he was just cleaning his guns.
[1:37:36.440 --> 1:37:37.440]  She felt threatened.
[1:37:37.440 --> 1:37:42.080]  I know, sir, sir, sir, I read hundreds of news articles a day for listeners that don't
[1:37:42.080 --> 1:37:47.640]  and I see articles every couple of days where a, where a mainline guy who's a plumber or
[1:37:47.640 --> 1:37:51.480]  a works at an auto plant, there's been a lot of cases, we've interviewed some of them.
[1:37:51.480 --> 1:37:53.720]  He'll tell his neighbors, Hey, you better get some horrible food.
[1:37:53.720 --> 1:37:58.320]  Things are falling apart or they'll be carrying their guns out of their car to go to the shooting
[1:37:58.320 --> 1:38:02.760]  range or they'll be cleaning their guns on the back porch and they get swat team and
[1:38:02.760 --> 1:38:06.280]  the cops say, well, there's no law, but we're going to go ahead and take your guns because
[1:38:06.280 --> 1:38:07.280]  it's an arsenal.
[1:38:07.280 --> 1:38:11.840]  So, so, I mean, tell me, so they swat team this guy for cleaning guns with this good
[1:38:11.840 --> 1:38:13.240]  little spy watching him.
[1:38:13.240 --> 1:38:14.240]  And then what happened?
[1:38:14.240 --> 1:38:17.800]  Well, I mean, he didn't get arrested, but he lost his guns.
[1:38:17.800 --> 1:38:18.800]  It's like New Orleans.
[1:38:18.800 --> 1:38:20.480]  They took hundreds of thousands of guns.
[1:38:20.480 --> 1:38:22.840]  They busted into houses, took them high and dry.
[1:38:22.840 --> 1:38:25.840]  People trying to get out of the city and their RVs and trucks, they'd stop them, search
[1:38:25.840 --> 1:38:29.240]  them, take their guns and they never got them back.
[1:38:29.240 --> 1:38:32.240]  And it's the same thing with just all of this.
[1:38:32.240 --> 1:38:36.040]  And now in Illinois, the governor announced three months ago, they have the National Guard
[1:38:36.040 --> 1:38:37.920]  confiscating guns door to door.
[1:38:37.920 --> 1:38:42.920]  Well, the thing is, I'm good part part where I live, it's a sin if you don't own a gun.
[1:38:42.920 --> 1:38:46.280]  Well, that's the kind of places we need everywhere because again, slaves are disarmed.
[1:38:46.280 --> 1:38:48.160]  Now, let me explain how this works in Illinois.
[1:38:48.160 --> 1:38:52.000]  They're totally banned in Chicago and several other cities, a bunch of towns.
[1:38:52.000 --> 1:38:54.120]  I mean, it's so enslaved in some areas of Illinois.
[1:38:54.120 --> 1:38:55.120]  Great people, by the way.
[1:38:55.120 --> 1:38:58.560]  There's like four affiliates up there, two of them going to Chicago.
[1:38:58.560 --> 1:38:59.560]  Great people.
[1:38:59.560 --> 1:39:04.800]  I got, my cousin lives up in Chicago, wonderful, you know, nice city, but the evil of the
[1:39:04.800 --> 1:39:10.240]  government, you know, with the son of the mob boss, you know, being the mayor for life.
[1:39:10.240 --> 1:39:12.740]  They have, you have to have a card to own a gun.
[1:39:12.740 --> 1:39:16.440]  And so they love SWAT teaming old people because they'll get old and won't renew their card
[1:39:16.440 --> 1:39:17.760]  and that's in a database.
[1:39:17.760 --> 1:39:25.820]  And the day your card is, is, is expired to own a gun, you get SWAT teamed.
[1:39:25.820 --> 1:39:30.080]  And so, and routinely when I see the articles, it's called cage units up there, the state
[1:39:30.080 --> 1:39:33.560]  police anti-gun units, and now they use the National Guard and they just go door to door
[1:39:33.560 --> 1:39:37.840]  every day to the houses, okay, here's a list on the computer of those that didn't renew
[1:39:37.840 --> 1:39:38.840]  their card.
[1:39:38.840 --> 1:39:42.960]  They're still going to have guns and they SWAT team you again, ladies and gentlemen,
[1:39:42.960 --> 1:39:44.960]  enslaving the people.
[1:39:44.960 --> 1:39:48.160]  Let's go ahead and talk to Chris in Illinois, speaking of folks in Illinois.
[1:39:48.160 --> 1:39:49.160]  Go ahead, Chris.
[1:39:49.160 --> 1:39:55.360]  Hey, please ask these seven and seven, chilly oppression, make it the wise man mad.
[1:39:55.360 --> 1:39:56.360]  Absolutely.
[1:39:56.360 --> 1:40:04.120]  Alex, the GMO food situation, I feed the animals in my backyard because like you, I love nature.
[1:40:04.120 --> 1:40:11.760]  You're all kind of funny thing in the middle of the winter, squirrels will not eat GMO
[1:40:11.760 --> 1:40:12.760]  foods.
