[00:00.000 --> 00:29.000]  When I grow up, I want to be around you guys!
[01:24:54.520 --> 01:24:58.000]  And again, less than a week after he says, we're going to pull out this happens.
[01:24:58.000 --> 01:25:03.960]  Like you said, everybody says it's so obvious except the Democrats are howling for war, but
[01:25:03.960 --> 01:25:08.560]  then schizophrenically going, oh, look, you're a war monger, Alex, your guy's a war monger,
[01:25:08.560 --> 01:25:09.560]  but we want war.
[01:25:09.560 --> 01:25:13.840]  And I'm like, you're holding both thoughts in your head at the same time, all on 1984.
[01:25:13.840 --> 01:25:15.240]  And they just laugh at me.
[01:25:15.240 --> 01:25:17.040]  It's like their brains are scrambled.
[01:25:17.040 --> 01:25:22.680]  Yeah, and before I go, Alex, I just want to say I just bought some of your products again.
[01:25:22.680 --> 01:25:25.280]  I got the real red pill.
[01:25:25.280 --> 01:25:31.160]  First time I took it out to the first couple of days, I had some really deep drowsiness
[01:25:31.160 --> 01:25:32.160]  kick in.
[01:25:32.160 --> 01:25:34.840]  And I had some incredible sleep for a couple of nights in a row.
[01:25:34.840 --> 01:25:40.040]  And after about six days, the leg pain I had when I woke up, I could wake up with really
[01:25:40.040 --> 01:25:44.960]  stiff legs, which is pretty much 85% gone.
[01:25:44.960 --> 01:25:49.880]  And I could work myself pretty hard, so it's come back, I bought some more.
[01:25:49.880 --> 01:25:58.040]  And just throw your listeners out there, you invest in the products, and I'm able to earn
[01:25:58.040 --> 01:25:59.040]  more money.
[01:25:59.040 --> 01:26:00.040]  I can work harder.
[01:26:00.040 --> 01:26:04.080]  Well, what happens is when your body releases a ton of natural hormones, you get tired when
[01:26:04.080 --> 01:26:06.240]  you're growing and fixing healing things.
[01:26:06.240 --> 01:26:08.600]  And preglonone is the precursor of all hormones.
[01:26:08.600 --> 01:26:14.120]  It's legal, lawful, and ours is very concentrated, very organic, with a bunch of amino acids
[01:26:14.120 --> 01:26:17.640]  and vitamins and minerals that help you upload it, metabolize it.
[01:26:17.640 --> 01:26:20.640]  The real red pill on average takes about seven days to kick in, and you're right.
[01:26:20.640 --> 01:26:24.400]  On the stomach, you give you a little bit of stomach ache and make you tired when you
[01:26:24.400 --> 01:26:26.320]  first take it.
[01:26:26.320 --> 01:26:30.160]  But it absolutely, with me, boosted my libido, energy, everything.
[01:26:30.160 --> 01:26:35.640]  So the real red pill is an incredible product, and it's got very concentrated preglonone
[01:26:35.640 --> 01:26:41.040]  in it, and then all the other key things that go with it, and it will knock your socks off.
[01:26:41.040 --> 01:26:43.120]  But like you said, it's not a joke, it's not a game.
[01:26:43.120 --> 01:26:47.720]  And after about 25, most people stop producing as much preglonone, it just goes down, so
[01:26:47.720 --> 01:26:51.120]  your body can't produce hormones even if you have the glands.
[01:26:51.120 --> 01:26:56.120]  And so preglonone is a real missing link in all this, and so, but if people have other
[01:26:56.120 --> 01:26:59.520]  issues and stuff, it might, you know, people should consult a physician before they use
[01:26:59.520 --> 01:27:00.520]  it.
[01:27:00.520 --> 01:27:01.520]  Thank you, Jason.
[01:27:01.520 --> 01:27:06.400]  Now coming up, the guys want to air this, the crew wants to air this, and I think it's
[01:27:06.400 --> 01:27:07.400]  important.
[01:27:07.400 --> 01:27:13.960]  It's going on Tuesday, no, Wednesday morning, before I left DC, in front of the White House,
[01:27:13.960 --> 01:27:17.480]  and I talked about how this could trigger World War III.
[01:27:17.480 --> 01:27:22.160]  Now it ended up happening, but the Russians didn't fight back, the Syrians didn't fight
[01:27:22.160 --> 01:27:24.760]  back, they didn't shoot down some of the missiles.
[01:27:24.760 --> 01:27:28.520]  But all of the information that goes into it ties into what we're facing, and then
[01:27:28.520 --> 01:27:33.040]  we've got Nigel Farage, an amazing breakdown coming up, and I'll be back live tomorrow
[01:27:33.040 --> 01:27:34.040]  at 11 a.m.
[01:27:34.040 --> 01:27:37.720]  That's central, David, nice to be with me three hours before MFullWars.com for this
[01:27:37.720 --> 01:27:38.720]  last show.
[01:27:38.720 --> 01:27:42.320]  But they're gearing up for more attacks, folks, it's here, it's crazy.
[01:27:42.320 --> 01:27:46.720]  Cameron in Pennsylvania, Cameron, you're on the air, go ahead, thanks for holding.
[01:27:46.720 --> 01:27:49.400]  Can you hear me?
[01:27:49.400 --> 01:27:52.560]  I absolutely can, welcome to the airwaves, thank you for joining us.
[01:27:52.560 --> 01:27:58.720]  Long time, listener, I just wanted to briefly address the Syrian attack, I know it's been
[01:27:58.720 --> 01:28:06.880]  covered, but I think it's important to note that probably about 40% of the main Trump
[01:28:06.880 --> 01:28:15.720]  base is still backing him, like a lot of the polls I've seen are basically backing with
[01:28:15.720 --> 01:28:21.840]  his decision to the attacks.
[01:28:21.840 --> 01:28:28.480]  And I think that it's important to note that they don't really know what to do, and they
[01:28:28.480 --> 01:28:30.480]  don't understand how Obama-
[01:28:30.480 --> 01:28:31.480]  No, I get it.
[01:28:31.480 --> 01:28:34.720]  They know the Democrats are bad, they know Trump's, and so they think, let's just support
[01:28:34.720 --> 01:28:35.720]  Trump, they don't understand.
[01:28:35.720 --> 01:28:40.840]  Trump's supporting Obama and Hillary's program, amount of time, sorry, coming up, key intel.
[01:28:40.840 --> 01:28:44.360]  By the way, Art Bell died, God bless him, incredible radio talent, I was never on this
[01:28:44.360 --> 01:28:47.880]  show, but I was blessed to be on, obviously, with George Norrie, who took over for him,
[01:28:47.880 --> 01:28:52.160]  but Godspeed, Art Bell, never on your broadcast, that's one of my bucket lists I never got,
[01:28:52.160 --> 01:28:57.160]  but Godspeed, Art Bell, see you on the other side.
[01:28:57.160 --> 01:29:03.800]  It's been sold out for months, and now it's back, it's mycozx plus lower price, more ingredients
[01:29:03.800 --> 01:29:09.400]  because we scaled up, signed a year contract with even bigger organic manufacturer and
[01:29:09.400 --> 01:29:16.440]  producer, scalability, but now we're able to go at 50% off to $27 instead of $39, 50%
[01:29:16.440 --> 01:29:20.680]  off, because there's a lot of product and a lot of ingredient, mycozx, now it's the
[01:29:20.680 --> 01:29:24.360]  other side of the equation, everybody thinks about probiotics, and how great they are for
[01:29:24.360 --> 01:29:28.320]  your gut because of toxins in the environment, pesticides, herbicides, but more importantly
[01:29:28.320 --> 01:29:34.920]  than bad bacteria, the probiotics help this place, yeast mold creates slime walls, and
[01:29:34.920 --> 01:29:39.840]  once the candida and the yeast and the mold and all that get in there, it causes all sorts
[01:29:39.840 --> 01:29:44.280]  of serious issues, well this has got a bunch of concentrated herbs in it, and compounds
[01:29:44.280 --> 01:29:48.880]  known to destroy that slime wall, don't wait to start detoxifying your body until it's
[01:29:48.880 --> 01:29:54.760]  too late, pick up a bottle of the new and improved mycozx plus, now from the infowars
[01:29:54.760 --> 01:29:58.280]  store.
[01:29:58.280 --> 01:30:02.600]  You know if I tried to sit here and tell you about the 60 plus products, we have an infowars
[01:30:02.600 --> 01:30:08.640]  life, it'd take hours, mycozx plus now is a lower price, it's stronger, it's the other
[01:30:08.640 --> 01:30:13.920]  equation in probiotics, it knocks out the yeast, the mold, the candida, it's back in
[01:30:13.920 --> 01:30:18.680]  stock, the real red pill, it's been sold out for months, it's got the preglinone, that's
[01:30:18.680 --> 01:30:22.280]  the precursor to all the natural hormones in your body, that it's got all the minerals
[01:30:22.280 --> 01:30:26.320]  and the vitamins and amino acids, so you can upload it, and our latest product that goes
[01:30:26.320 --> 01:30:32.400]  great with the super blue colloidal silver and iodine fortified toothpaste, is super
[01:30:32.400 --> 01:30:37.240]  blue silver immune gargle, that's a spray you do, you can also swallow it, it's a supplement
[01:30:37.240 --> 01:30:43.360]  with iodine, super high quality silver, and a lot more, without you we couldn't do it,
[01:30:43.360 --> 01:30:49.080]  so thank you all for remembering infowarsstore.com, and remembering that it's not just you that's
[01:30:49.080 --> 01:30:52.520]  already awake, but it's other people that aren't awake, and it's so essential to spread
[01:30:52.520 --> 01:30:56.240]  the word, and again thank you so much for being part of the Second American Revolution.
[01:30:56.240 --> 01:31:03.800]  Let's go to Devin and Florida, Devin and Florida you're on the air.
[01:31:03.800 --> 01:31:09.640]  Great, hey thank you so much, listen, I have bought your product and I gotta say they're
[01:31:09.640 --> 01:31:15.680]  amazing, anyone who's on the fence, buy it, because I've got caveman, superman vitality,
[01:31:15.680 --> 01:31:21.080]  secret swell, vitamin mineral fusion, I've got the body armor, wow thank you, you're
[01:31:21.080 --> 01:31:24.640]  the type of listener that makes it all possible, which pharmaceutical does you like best?
[01:31:24.640 --> 01:31:29.760]  I really like the vitamin mineral fusion to be honest, that's really incredible, I drank
[01:31:29.760 --> 01:31:34.320]  it in the morning and I swear to you, I felt incredible, like I haven't felt sweet, my morning
[01:31:34.320 --> 01:31:40.280]  was fantastic, and I love you guys, I love the info wars through, and I just want to,
[01:31:40.280 --> 01:31:45.160]  yeah I want to take this opportunity to tell anybody out there who's on the fence, just
[01:31:45.160 --> 01:31:49.080]  buy it, we'll love it, I'm telling you, I've never bought a bad product.
[01:31:49.080 --> 01:31:53.480]  What you find in our news is the same thing you find in our products at infowarslife.com,
[01:31:53.480 --> 01:31:55.360]  it's a win win infowarslife.com.
[01:31:55.360 --> 01:32:03.680]  Hey did you know that you can now preserve your own food for up to 25 years, and still
[01:32:03.680 --> 01:32:09.240]  maintain its nutrition and flavor, that's right, now's the time to build your own food
[01:32:09.240 --> 01:32:14.920]  storage with Harvest Rights Freeze Dryers, go to infowarsstore.com to learn more and check
[01:32:14.920 --> 01:32:19.880]  out this innovative and smart technology that's easy to use, and let me tell you something,
[01:32:19.880 --> 01:32:25.440]  it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire
[01:32:25.440 --> 01:32:30.040]  meals, whoo that's what I'm talking about, and when compared to traditional methods of
[01:32:30.040 --> 01:32:34.160]  preservation, like canning or dehydrating, you know like what you get at the grocery
[01:32:34.160 --> 01:32:40.840]  store, there is no comparison, Harvest Rights Freeze Dryers retain 97% of the food's taste,
[01:32:40.840 --> 01:32:46.640]  color, and nutritional value, and have a shelf life of up to 25 years, now that's what I
[01:32:46.640 --> 01:32:52.760]  call the miracle of food preservation, Harvest Rights is truly the world's best, most affordable
[01:32:52.760 --> 01:33:00.880]  freeze dryer, so what are you waiting for, check it out right now at infowarsstore.com
[01:33:00.880 --> 01:33:16.400]  You're listening to the Alex Jones show, we're here outside the White House, and the President
[01:33:16.400 --> 01:33:21.080]  has canceled his South American trip, and they're saying they have military options
[01:33:21.080 --> 01:33:27.360]  on the table to strike 24 targets inside Syria, including some targets where the Russian
[01:33:27.360 --> 01:33:32.280]  military is based, the Russians announced three weeks ago they're going to pull out,
[01:33:32.280 --> 01:33:36.040]  Trump announced two weeks ago that we were going to pull out, and it was a successful
[01:33:36.040 --> 01:33:40.440]  defeat of ISIS and Al Qaeda, but a lot of different parties, especially the EU and the
[01:33:40.440 --> 01:33:45.920]  globalist, and the former Obama era people in the White House, and some of the neocons,
[01:33:45.920 --> 01:33:50.840]  they want to keep the US there, they want a wider war, McMaster wanted that as well.
[01:33:50.840 --> 01:33:55.000]  The Russians have warned this could trigger, in fact may trigger, will trigger, a huge
[01:33:55.000 --> 01:33:59.880]  new world war, because if the US bombs Russian forces for the second time, we've already
[01:33:59.880 --> 01:34:04.080]  had Russian forces killed last year, they're saying they're going to respond militarily
[01:34:04.080 --> 01:34:09.280]  to the ships and the aircraft that fire the cruise missiles and drop the bombs, so you've
[01:34:09.280 --> 01:34:16.880]  got British attack ships, missile cruisers, destroyers, and US destroyers in the area
[01:34:16.880 --> 01:34:22.560]  with cruise missiles and aircraft saying that they're going to strike for the next 48 hours,
[01:34:22.560 --> 01:34:27.640]  that was 24 hours ago, they said they're looking at striking the next 48 hours, Trump says
[01:34:27.640 --> 01:34:32.560]  all options are on the table, from a chemical attack, there's no evidence that the Russians
[01:34:32.560 --> 01:34:36.480]  or Assad launched, we've caught the rebels three times doing it, that's come out, even
[01:34:36.480 --> 01:34:41.320]  the UN has admitted that, so it's incredible that the US and Russia are pulling out, it's
[01:34:41.320 --> 01:34:47.720]  a big victory against al-Qaeda, and that doesn't seem to matter, because right on time, this
[01:34:47.720 --> 01:34:54.480]  new attack takes place, so this is very, very critical time to be alive, very, very dangerous
[01:34:54.480 --> 01:34:58.360]  time to be alive obviously, for all these nice folks here, they're visiting the White
[01:34:58.360 --> 01:35:03.640]  House today and seeing the cherry blossoms that are coming into bloom, as the father
[01:35:03.640 --> 01:35:07.400]  of four children, it really upsets me, because I've really been happy with what Trump's
[01:35:07.400 --> 01:35:12.120]  done with the economy, with the border, with national security, with standing up political
[01:35:12.120 --> 01:35:17.120]  correctness, standing up to Hollywood, getting us out of the TPP, returning sovereignty back
[01:35:17.120 --> 01:35:24.200]  to our own country, but to now have Trump basically manipulated by Mueller and the whole
[01:35:24.200 --> 01:35:27.760]  fake Russia investigation to all these new sanctions and moving troops up to the Russian
[01:35:27.760 --> 01:35:33.760]  border in Eastern Europe, and all this talk of war, and all these sanctions, and when
[01:35:33.760 --> 01:35:37.280]  Russia has not done anything to us, it's Hillary in bed with the Russians and the Communist
[01:35:37.280 --> 01:35:41.680]  Chinese, it's Mueller that's on the Russian boards and delivered the uranium on the tarmac
[01:35:41.680 --> 01:35:46.400]  to Russia a decade ago, it's incredible now that they're on the stormy Daniels, that's
[01:35:46.400 --> 01:35:50.400]  nothing to do with Russia, because that's all they've got trying to push Trump into
[01:35:50.400 --> 01:35:56.000]  firing Mueller, because he has nothing, so they want to make it look like Trump is scared
[01:35:56.000 --> 01:36:01.800]  of him and hiding something, because Mueller came up empty and has now moved on to a, basically
[01:36:01.800 --> 01:36:06.400]  a high-priced hooker 11 years ago, and we didn't elect Trump to be a saint, we elected
[01:36:06.400 --> 01:36:10.160]  him to get the job done as a CEO and turn the country around and make America great
[01:36:10.160 --> 01:36:14.720]  again, so let me be clear, our military is on maximum alert right now, they're moving
[01:36:14.720 --> 01:36:19.000]  forces into the area, Trump said we're pulling out, saying no to the deep state, and then
[01:36:19.000 --> 01:36:22.560]  there's a chemical attack in a rebel-held area, when the rebels repeat have been caught
[01:36:22.560 --> 01:36:26.280]  not once, not twice, but three times staging these, everybody can put two or two together,
[01:36:26.280 --> 01:36:31.000]  so everybody needs to call Congress and the neo-cons, call the left, call them all that
[01:36:31.000 --> 01:36:35.000]  have been calling for war, and say are you people insane, this is not Iraq, this is not
[01:36:35.000 --> 01:36:39.800]  Libya, this is not some 10-horn dictator, this is Russia who's got a bunch of nuclear
[01:36:39.800 --> 01:36:44.520]  weapons and who's not done anything to us and who's helped us take on radical Islam,
[01:36:44.520 --> 01:36:50.040]  so that's the reality of what's going on here, ladies and gentlemen, and I'm here letting
[01:36:50.040 --> 01:36:55.520]  the president know that we stand with him and are against a strike, he's already bombed
[01:36:55.520 --> 01:37:00.360]  that Russian base with no evidence of the chemical weapons attack coming from there,
[01:37:00.360 --> 01:37:03.320]  and the Russians stood down that time, they stood down again when a bunch of Russian contractors
[01:37:03.320 --> 01:37:07.000]  got blown up a few months ago, and so this tension is very, very high, and the rhetoric
[01:37:07.000 --> 01:37:11.600]  out of Russia is we're prepared to counter-strike, if you strike us, we're going to strike you
[01:37:11.600 --> 01:37:16.080]  back, the Kremlin has said that, Putin has said that, if you strike our forces that are
[01:37:16.080 --> 01:37:22.840]  trying to pull out, why in the hell would you not want the Russians to pull out of Syria?
[01:37:22.840 --> 01:37:25.680]  That's everything the media claims they want is to get out of Syria, so the Russians are
[01:37:25.680 --> 01:37:29.520]  trying to pull out, and the leftist and the neo-cons and the globalists don't want that
[01:37:29.520 --> 01:37:35.120]  to happen, the EU also funded the collapse of the Middle East and the Arab Spring to
[01:37:35.120 --> 01:37:41.400]  destabilize the border regions of Syria, Turkey, so that 10 million, quote, refugees, most
[01:37:41.400 --> 01:37:47.400]  of military-age men could come in to the country, into Europe, into the EU, and so this is all
[01:37:47.400 --> 01:37:50.760]  part of a larger global destabilization program, and I assure you, if you see all these young
[01:37:50.760 --> 01:37:55.360]  people here, they're not being told about this in school, they don't even probably know
[01:37:55.360 --> 01:38:01.560]  how close we are right now, how's it going guys, they don't know how close we are to
[01:38:01.560 --> 01:38:07.360]  war, they don't understand how much danger we're all in and the things that are going
[01:38:07.360 --> 01:38:12.640]  on, but the president does, so the president has canceled his trips, he's in there right
[01:38:12.640 --> 01:38:16.400]  now with his advisors, and they're telling him, you gotta look strong, you gotta strike
[01:38:16.400 --> 01:38:20.280]  these 24 targets, you gotta kill these Russians, because we can't let them get out of the country
[01:38:20.280 --> 01:38:24.440]  sir, we gotta expand this war and endanger the whole planet, because after all Obama
[01:38:24.440 --> 01:38:29.120]  and Hillary founded the Arab Spring in ISIS and sent al-Qaeda in with the Benghazi weapons
[01:38:29.120 --> 01:38:32.440]  and our whole global strategy is failing and America is coming back, so we've got to trick
[01:38:32.440 --> 01:38:37.480]  you as fast as possible into a new giant war, and after all sir, Mueller is on your heels,
[01:38:37.480 --> 01:38:40.480]  all this made up stuff, if you look tough and bomb the Russians, well that will really
[01:38:40.480 --> 01:38:44.040]  show them, there's no amount of sanctions, no amount of troops on the Russian border,
[01:38:44.040 --> 01:38:47.240]  no amount of that will ever prove anything to Mueller unless you have a nuclear war,
[01:38:47.240 --> 01:38:50.640]  if you have a big nuclear war then Mueller, the real president of America, even though
[01:38:50.640 --> 01:38:54.600]  he's not elected, he will then be your buddy and love you, and he can go back to meeting
[01:38:54.600 --> 01:38:59.520]  the Russians on tarmacs and giving them uranium, so that's the insanity of going on, and it's
[01:38:59.520 --> 01:39:03.320]  the deep state, it's the swamp, it's the bureaucracy, manipulating the president, it's like they
[01:39:03.320 --> 01:39:07.040]  did John F. Kennedy into the Bay of Pigs, the Cuban Missile Crisis, you name it, this
[01:39:07.040 --> 01:39:10.480]  is as bad as the Cuban Missile Crisis, but the Russians aren't in our hemisphere, they're
[01:39:10.480 --> 01:39:16.280]  not in Cuba, that had to be done, they are here on our doorstep, that is the globalist,
[01:39:16.280 --> 01:39:21.000]  leading our president against Russia, and we are on their doorstep, we are on the Russian
[01:39:21.000 --> 01:39:24.800]  doorstep being manipulated by the globalist, so I've come to the president, and I'm asking
[01:39:24.800 --> 01:39:27.160]  all our viewers and all our listeners, everybody that's going to be watching and listening on
[01:39:27.160 --> 01:39:31.560]  the radio today, to call Congress, to call Talk Radio, to call C-SPAN, to get a big buzz
[01:39:31.560 --> 01:39:36.000]  going and to call the White House, which board, and to call Trump Towers around the country,
[01:39:36.000 --> 01:39:40.760]  because those messages get to the president as well, and say, listen, we don't want nuclear
[01:39:40.760 --> 01:39:44.600]  war with Russia, we want peace with Russia, Russia's Christian now, they're being free
[01:39:44.600 --> 01:39:47.720]  market, compared to the communist Chinese, they're not involved in our business, it's
[01:39:47.720 --> 01:39:50.880]  the communist Chinese that have a whole task force threatening us, in the South China Sea
[01:39:50.880 --> 01:39:54.960]  right now, and we're taking over islands, and just engaging in very belligerent, blockade
[01:39:54.960 --> 01:39:58.400]  behavior, the Russians aren't doing any of that, and they worked with our military last
[01:39:58.400 --> 01:40:02.120]  five years to try to take out ISIS, and now when they're trying to pull out, the globalists
[01:40:02.120 --> 01:40:05.520]  don't want that vacuum there, where there's a sovereign country, so they want to destabilize
[01:40:05.520 --> 01:40:10.080]  it, it's very, very dangerous, we've got to stop a potential nuclear war, we've got to
[01:40:10.080 --> 01:40:13.600]  stop a potential larger regional war, because if you strike the Russian forces, they're
[01:40:13.600 --> 01:40:16.960]  going to counter strike, then there'll be counter strikes on those forces, and those
[01:40:16.960 --> 01:40:22.040]  forces start losing, then it goes to larger weapons, and we're off the races, the Russians
[01:40:22.040 --> 01:40:27.840]  do have those high powered, you know, Mach 5, Mach 6 missiles, the anti ship missiles,
[01:40:27.840 --> 01:40:32.040]  and submarines of the Mediterranean, that will end up sinking our ships, and you end
[01:40:32.040 --> 01:40:37.280]  up getting sinking ships, boom, it's World War 4, World War 3 was the Cold War, this
[01:40:37.280 --> 01:40:41.800]  is World War 4, information warfare, the globalist versus nation states, it's the
[01:40:41.800 --> 01:40:46.320]  EU allied with radical Islam, with communist China, and Hollywood, and the globalists in
[01:40:46.320 --> 01:40:51.520]  the Vatican, against America, against any sovereign nation, against Christians, against
[01:40:51.520 --> 01:40:55.960]  the Russians, against the Japanese and the South Koreans, that's the real alliance against
[01:40:55.960 --> 01:40:59.240]  the globalists that's dug into our government, so here they are in the White House, right
[01:40:59.240 --> 01:41:03.560]  now, counting down to potential World War 4, a new World War, and these people out here,
[01:41:03.560 --> 01:41:07.760]  I guarantee you, just watch Comedy Central, and you know, think this is all a big joke,
[01:41:07.760 --> 01:41:12.040]  this is all extremely serious, ladies and gentlemen, so now inside, let's zoom in on
[01:41:12.040 --> 01:41:17.040]  one of those windows, now inside there right now, the President is sitting around his
[01:41:17.040 --> 01:41:21.320]  council table with the generals and others, and he's been bucking, expanding the war,
[01:41:21.320 --> 01:41:24.240]  he's been pushing to get us out of there the whole time, something our Pentagon recommended
[01:41:24.240 --> 01:41:28.360]  years ago, but Obama wanted to keep going on, and so now, they're trying to use this
[01:41:28.360 --> 01:41:32.320]  crisis to push him in, right as peace was breaking out, and right as the economy was
[01:41:32.320 --> 01:41:36.360]  coming back, and right as all this was happening, this is now unfolding, so we also should be
[01:41:36.360 --> 01:41:41.840]  praying to God for peace, and for clear-headed thinking, and for support for the President,
[01:41:41.840 --> 01:41:45.520]  because this is a globalist attack on him, and even if he ends up attacking Russia, they're
[01:41:45.520 --> 01:41:49.200]  still going to say he's a Russian agent, he could nuke Russia and kill every person in
[01:41:49.200 --> 01:41:53.080]  the country with a thousand hydrogen bombs, and I swear to God, they'll still say he's
[01:41:53.080 --> 01:41:56.200]  a Russian agent, because they're the outsiders, they're the globalists that have hijacked
[01:41:56.200 --> 01:41:59.760]  the country, they're the ones that have surrounded us, they're the ones that have the swamp, and
[01:41:59.760 --> 01:42:03.200]  so they're the outside enemy, they've got to continue to say that we're the enemy, the
[01:42:03.200 --> 01:42:07.760]  patriots, restoring the country, restoring the military, restoring our energy systems,
[01:42:07.760 --> 01:42:08.760]  restoring it all.
[01:42:08.760 --> 01:42:13.880]  Alright folks, that's my last live transmission from DC, more coming today, Owen Shroyer and
[01:42:13.880 --> 01:42:18.840]  others will be hosting in studio, but there'll be more reports as this unfolds, can't let
[01:42:18.840 --> 01:42:23.520]  peace break out, the swamp is striking back, but the people are striking back, so folks,
[01:42:23.520 --> 01:42:27.480]  spread the word now, get this video out to everyone you know, we need a chain reaction
[01:42:27.480 --> 01:42:32.360]  to try to counter the globalists and this clear, false flag, chemical attack, the last
[01:42:32.360 --> 01:42:36.560]  three were confirmed false flags, this fourth one has the MO, the history, everything, so
[01:42:36.560 --> 01:42:41.080]  it's critical to get this false flag exposed and to stop the globalists from trying to
[01:42:41.080 --> 01:42:44.000]  trigger a larger war that could lead to World War 4.
[01:42:44.000 --> 01:42:49.320]  I'm Alex Jones, reporting from in front of the White House, here in Washington DC, for
[01:42:49.320 --> 01:42:52.800]  infowars.com and newswars.com.
[01:42:52.800 --> 01:42:58.840]  Now the rest is up to you, freedom and survival on this planet is not a spectator's sport.
[01:42:58.840 --> 01:43:03.320]  Senator Rand Paul is warning that the Trump haters at the FBI still have their top secret
[01:43:03.320 --> 01:43:07.960]  security clearance, the senator is demanding that exposed enemies of President Trump should
[01:43:07.960 --> 01:43:13.080]  be fired, Paul tweeted out a copy of a response he was sent in March to an earlier letter
[01:43:13.080 --> 01:43:19.080]  where he asked whether FBI agent Peter Struck and FBI lawyer Lisa Page still had security
[01:43:19.080 --> 01:43:25.760]  clearances and the response from FBI assistant director Gregory Brower reads, all FBI employees
[01:43:25.760 --> 01:43:29.000]  must maintain a top secret security clearance.
[01:43:29.000 --> 01:43:33.280]  On a Fox News appearance, Senator Paul warned that this potentially means that the exposed
[01:43:33.280 --> 01:43:38.800]  officials who called Trump an idiot and a lonesome human and talked about an FBI secret
[01:43:38.800 --> 01:43:44.840]  society and an insurance policy for if Trump was elected can still access information regarding
[01:43:44.840 --> 01:43:48.640]  the investigation posing a potential threat to national security.
[01:43:48.640 --> 01:43:52.960]  Paul said Peter Struck and Lisa Page were exposed as enemies of President Trump and
[01:43:52.960 --> 01:43:54.400]  they need to be fired.
[01:43:54.400 --> 01:43:57.320]  Amy and MakaduInfoWars.com.
[01:43:57.320 --> 01:44:01.240]  You know if I tried to sit here and tell you about the 60 plus products, we have it in
[01:44:01.240 --> 01:44:02.840]  Full Wars life.
[01:44:02.840 --> 01:44:03.840]  It take hours.
[01:44:03.840 --> 01:44:08.920]  Michael ZX Plus now has a lower price, it's stronger, it's the other equation in probiotics,
[01:44:08.920 --> 01:44:13.280]  it knocks out the yeast, the mold, the candida, it's back in stock.
[01:44:13.280 --> 01:44:17.760]  The real red pill, it's been sold out for months, it's got the preglonone that's the
[01:44:17.760 --> 01:44:21.680]  precursor to all the natural hormones in your body, then it's got all the minerals and the
[01:44:21.680 --> 01:44:24.320]  vitamins and amino acids so you can upload it.
[01:44:24.320 --> 01:44:29.320]  Our latest product that goes great with the super blue colloidal silver and iodine fortified
[01:44:29.320 --> 01:44:35.160]  toothpaste is super blue silver immune gargle that's a spray you do, you can also swallow
[01:44:35.160 --> 01:44:36.160]  it.
[01:44:36.160 --> 01:44:41.160]  It's a supplement with iodine, super high quality silver and a lot more and without
[01:44:41.160 --> 01:44:42.360]  you we couldn't do it.
[01:44:42.360 --> 01:44:48.120]  So thank you all for remembering InfowarsStore.com and remembering that it's not just you that's
[01:44:48.120 --> 01:44:51.840]  already awake but it's other people that aren't awake and it's so essential to spread the
[01:44:51.840 --> 01:44:52.840]  word.
[01:44:52.840 --> 01:44:57.800]  Again, thank you so much for being part of the Second American Revolution.
[01:44:57.800 --> 01:45:01.840]  Alex Jones here to tell you about how you can help spread liberty worldwide while also
[01:45:01.840 --> 01:45:06.960]  enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[01:45:06.960 --> 01:45:11.000]  For more than a decade, my favorite coffee has come from the high mountains of southern
[01:45:11.000 --> 01:45:15.360]  Mexico where the Chiapas farmers grow their unique shade grown Arabica beans.
[01:45:15.360 --> 01:45:20.680]  We have now managed to secure the sought after beans in a highly customized blend.
[01:45:20.680 --> 01:45:27.080]  Discover and try a bag of the Patriot blend 100% organic coffee at InfowarsLife.com.
[01:45:27.080 --> 01:45:32.200]  This coffee gives you a long smooth pick me up for hours without the headaches and heartburn
[01:45:32.200 --> 01:45:34.320]  that so many other coffees give me personally.
[01:45:34.320 --> 01:45:38.560]  Hands down, this is my favorite coffee and it's taken us years to secure connections
[01:45:38.560 --> 01:45:43.800]  directly to the Chiapas Mexican farmers dropped by the site today, order a bag or two and
[01:45:43.800 --> 01:45:48.000]  I don't think you're going to be disappointed available in original or with our immune support
[01:45:48.000 --> 01:45:49.000]  infusion blend.
[01:45:49.000 --> 01:45:54.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of
[01:45:54.000 --> 01:45:58.160]  my favorite coffee available at InfowarsLife.com.
[01:45:58.160 --> 01:46:03.600]  InfowarsLife Brain Force Plus is our number one selling product by leaps and bounds and
[01:46:03.600 --> 01:46:04.600]  for a good reason.
[01:46:04.600 --> 01:46:08.360]  Going back about five years ago, we did research on what top selling new tropics were, what
[01:46:08.360 --> 01:46:12.920]  were most popular, what were best, what people liked and we made it even stronger.
[01:46:12.920 --> 01:46:17.960]  Then we cut the price because leading competitors have five to seven times markup.
[01:46:17.960 --> 01:46:21.720]  We only have 150% and then it helps funder operation.
[01:46:21.720 --> 01:46:24.560]  Well now it's 50% off.
[01:46:24.560 --> 01:46:31.280]  That means we've got a 25% markup and we've got it paired with the real red pill that
[01:46:31.280 --> 01:46:32.920]  takes about seven days to kick in.
[01:46:32.920 --> 01:46:38.320]  Brain Force takes about 30 minutes but the two go together, it's the mind and body challenge.
