[00:00.000 --> 00:20.000]  You can run on for a long time, run on for a long time, run on for a long time.
[01:30:36.760 --> 01:30:39.560]  And of course, getting the bone broth isn't just great for you and your family
[01:30:39.560 --> 01:30:43.160]  It's also amazing when it comes to funding our operation
[01:30:43.160 --> 01:31:05.160]  That's taken on the globalists and fighting for all of our freedoms
[01:31:13.960 --> 01:31:15.160]  And that's it for today
[01:31:15.160 --> 01:31:17.160]  Thank you so much for watching
[01:31:17.160 --> 01:31:19.160]  And I'll see you in the next one
[01:31:19.160 --> 01:31:48.920]  You deserve a deep restful sleep
[01:31:48.920 --> 01:31:51.640]  With knockout by InfoWarsLife
[01:31:51.640 --> 01:31:56.280]  Our organic formula is made from high quality natural ingredients
[01:31:56.280 --> 01:32:02.280]  Such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin
[01:32:03.080 --> 01:32:07.880]  Knockout packs a powerful punch to get you through the night and achieve proper sleep
[01:32:07.880 --> 01:32:12.040]  Millions of people around the world experience daytime drowsiness
[01:32:12.040 --> 01:32:16.200]  But with the rapid speed of life, we need to be able to keep up the pace
[01:32:16.200 --> 01:32:20.280]  Our natural mixture harnesses the power of 10 known ingredients
[01:32:20.280 --> 01:32:23.960]  To let your body relax and get the sleep you need
[01:32:23.960 --> 01:32:26.360]  Wake up refreshed and take on the day
[01:32:26.360 --> 01:32:29.880]  InfoWarsLife wants to bring you a sleep support formula
[01:32:29.880 --> 01:32:34.360]  That goes above and beyond other leading brands at an affordable price
[01:32:34.360 --> 01:32:37.960]  Get the sleep you deserve and experience the power of knockout
[01:32:37.960 --> 01:32:42.360]  Head on over to InfoWarsLife.com and say goodbye to fatigue
[01:32:42.360 --> 01:32:47.160]  That's InfoWarsLife.com
[01:33:12.600 --> 01:33:21.720]  Now listen folks, I'm going to do a deep tease of this video
[01:33:24.360 --> 01:33:25.160]  that we're going to air
[01:33:27.400 --> 01:33:29.400]  in 20 minutes from now
[01:33:31.880 --> 01:33:32.760]  by Greg Reese
[01:33:32.760 --> 01:33:40.200]  But basically the stars have aligned for Donald Trump
[01:33:43.240 --> 01:33:47.800]  in one presidential administration to do more positive things
[01:33:47.800 --> 01:33:49.480]  not just for the United States of America
[01:33:49.480 --> 01:33:53.000]  but if you could clear out the rotgut in the United States America
[01:33:53.000 --> 01:33:54.440]  or drain the swamp as he says
[01:33:55.480 --> 01:33:57.480]  you can change the world for good
[01:33:57.480 --> 01:34:00.760]  and you can finally start to see I think real progress even around the world
[01:34:00.760 --> 01:34:08.760]  as America's leadership takes a drastically needed change
[01:34:10.280 --> 01:34:12.120]  but there's something the president has to do
[01:34:13.240 --> 01:34:16.440]  and we're going to air that report coming up here in 20 minutes
[01:34:16.440 --> 01:34:17.720]  in the final segment
[01:34:19.960 --> 01:34:20.920]  What else do I have here?
[01:34:20.920 --> 01:34:24.440]  I got some other videos that I do also have to get to
[01:34:24.440 --> 01:34:30.360]  and Democrats are really a joke right now
[01:34:30.360 --> 01:34:31.480]  I've got some breaking news
[01:34:31.480 --> 01:34:35.240]  but you know I was talking with Soph a little bit about this
[01:34:36.920 --> 01:34:41.720]  and you know this is something there's stuff to talk about because
[01:34:43.240 --> 01:34:47.480]  I don't want to you don't want to be sound like negative Nancy
[01:34:47.480 --> 01:34:51.160]  or give our enemies any win to victory
[01:34:51.880 --> 01:34:53.240]  because that's not the case
[01:34:53.240 --> 01:34:57.400]  but I mean I'd be crazy if I didn't think about these stuff
[01:34:57.400 --> 01:35:00.520]  these things where you know we're getting totally banned
[01:35:01.960 --> 01:35:06.600]  and who knows what the enemy might do to try to shut us down here
[01:35:07.640 --> 01:35:12.040]  and let's just say that people like Brian Stelter
[01:35:12.040 --> 01:35:15.080]  and Oliver Darcy and other losers like that
[01:35:15.080 --> 01:35:16.600]  who've never built anything on their own
[01:35:17.720 --> 01:35:19.160]  would love to see us shut down
[01:35:19.160 --> 01:35:25.320]  the Krasnstein's go on social media and brag about how we're broke
[01:35:25.320 --> 01:35:27.960]  it's like dude I don't do this for money man
[01:35:30.760 --> 01:35:32.120]  so it's not about that
[01:35:33.000 --> 01:35:36.120]  and the funny thing is again because you think about these things
[01:35:36.120 --> 01:35:40.600]  and I think about it too like if I was to because all I have left is twitter and info wars.com
[01:35:40.600 --> 01:35:42.760]  if they banned me from everything honestly like
[01:35:42.760 --> 01:35:48.680]  I wouldn't take let's say the Laura Loomer approach
[01:35:50.040 --> 01:35:53.960]  I'd probably just I'd just float off into the sunset and I'd just say fine
[01:35:53.960 --> 01:35:56.200]  just because I don't you don't need this crap
[01:35:56.200 --> 01:35:58.200]  I don't know how Alex has been doing it for 20 plus years
[01:35:58.760 --> 01:36:03.640]  but I know why he does it because he realizes that he's running the mother ship here
[01:36:03.640 --> 01:36:08.920]  I mean this is the only battle station that can actually compete with the mainstream news
[01:36:08.920 --> 01:36:14.120]  and that beat the mainstream news in 2016 that was the threshold
[01:36:17.080 --> 01:36:25.240]  it was like this and then info wars went up or their mainstream news is going down
[01:36:25.800 --> 01:36:32.280]  I got a bar graph and info wars is going up 2016 was the threshold info wars up mainstream media
[01:36:32.280 --> 01:36:37.960]  down so they had to go on to social media and erase all of our people erase all of our stuff
[01:36:37.960 --> 01:36:42.840]  erase our channels and erase alex jones deplatform alex jones dehuman alex jones
[01:36:42.840 --> 01:36:47.080]  unperson alex jones and everyone else associated with alex jones
[01:36:48.920 --> 01:36:53.720]  banned myself off these social media platforms and all the videos that I do for info wars
[01:36:57.000 --> 01:37:00.200]  but this is where the rubber meets the road
[01:37:02.120 --> 01:37:06.600]  and it's because of your support at info wars store.com that we remain steadfast
[01:37:06.600 --> 01:37:13.960]  and that alex is so committed to victory that he's trying to expand what we do here at info wars
[01:37:16.760 --> 01:37:20.440]  just as a just to wave the flag of victory
[01:37:22.680 --> 01:37:29.640]  I mean if we were in this to get rich if we were in this as business-minded people
[01:37:30.360 --> 01:37:35.480]  we wouldn't be trying to expand and hire more people right now in fact we'd be trying to make
[01:37:35.480 --> 01:37:41.240]  as many changes as to keep what we're doing afloat instead we're just like rapid expansion
[01:37:41.240 --> 01:37:46.040]  don't look back don't look at the charts don't look at what the textbook says
[01:37:47.720 --> 01:37:51.640]  but I guess that's kind of how info wars has always done it isn't it and that's what's
[01:37:51.640 --> 01:37:57.800]  given us victory but again it's your support that fuels the whole thing and makes it all possible
[01:37:59.480 --> 01:38:01.800]  and of course your street activism is always key
[01:38:01.800 --> 01:38:06.280]  be telling your friends and family about info wars is always key
[01:38:07.480 --> 01:38:12.520]  and then your support at info wars store.com literally fuels everything that we do
[01:38:13.320 --> 01:38:18.120]  so that when you tune in and you tell your friends and family they're not looking at someone
[01:38:18.760 --> 01:38:27.720]  in their basement or in their kitchen they're looking at people in a massive state of the art studio
[01:38:27.720 --> 01:38:37.000]  and when you send them to infowarstore.com they're not getting bad cheap products
[01:38:37.000 --> 01:38:43.720]  they're literally getting the best products I mean you recommend the water filter from
[01:38:43.720 --> 01:38:49.880]  infowarstore.com you will be a hero to whoever you recommend that to your neighbors your family
[01:38:51.800 --> 01:38:56.600]  you will be a hero you've got that neighbor down the street that has like three dogs right
[01:38:56.600 --> 01:39:02.600]  they're always smelly shedding everywhere tell them about the info the infowarstore.com
[01:39:02.600 --> 01:39:09.880]  alexa pure breeze $50 off say hey I noticed you know your dogs kind of have a little odor and
[01:39:09.880 --> 01:39:14.840]  they shed a lot around here you know I got this air filter really does well at my house for that
[01:39:14.840 --> 01:39:19.000]  you should try it out say whoa what is that what's the alexa pure breeze groundbreaking
[01:39:19.000 --> 01:39:25.160]  ion cluster technology for a better air filter oh I'll go check out all the five star reviews
[01:39:25.160 --> 01:39:32.040]  and then all of a sudden you come home and you start to notice huh my house doesn't smell like
[01:39:32.040 --> 01:39:39.960]  my dog goes all the time anymore huh you go and you clean out you look at the filter and you see
[01:39:39.960 --> 01:39:47.160]  just layers of of hair and dust and and everything you're just like wow that was floating around my
[01:39:47.160 --> 01:40:00.040]  home that was in my air so that's what we do here the best total efficiency playing it close to the
[01:40:00.040 --> 01:40:07.560]  chest never looking back and we appreciate your support at infowarstore.com so take advantage
[01:40:07.560 --> 01:40:11.480]  of all the great specials we have going on there all right before I go to this break
[01:40:11.480 --> 01:40:21.320]  let's do this let's do well there's so many things you could do but let's do let's do clip 12 we've
[01:40:21.320 --> 01:40:31.080]  got the time obama's top fbi lord distances himself from steel nausea why did you how did you then
[01:40:31.080 --> 01:40:39.240]  view the material and was it used as sort of uh first round of evidence or sort of confirmation
[01:40:39.240 --> 01:40:46.440]  if you will uh it was more information that had that we viewed that i viewed skeptically from the
[01:40:46.440 --> 01:40:50.360]  outset and i was concerned about it and had a jaundiced eye or looked at it with a jaundiced
[01:40:50.360 --> 01:40:57.400]  eye right from the outset he came in steel was and had been a a source that we thought was reliable
[01:40:57.400 --> 01:41:02.680]  he's reporting all this information it looks alarming we took it seriously but we tried to vet it
[01:41:02.680 --> 01:41:10.120]  was the steel would you have still approved the carter page fisa warrant without the steel dossier
[01:41:11.240 --> 01:41:17.880]  so based on my recollection of the facts at the time that are mostly redacted now in the in the
[01:41:17.880 --> 01:41:22.680]  fisa application my answer to that question is i think the answer is yes that i think that was
[01:41:23.320 --> 01:41:29.320]  sufficient probable cause in the application even without that information but that information was
[01:41:29.320 --> 01:41:33.640]  part of the application yes is carter page the only place that the steel dossier was used for a
[01:41:33.640 --> 01:41:39.320]  fisa application uh i don't uh i don't think i should comment on that i'm not sure what else
[01:41:39.320 --> 01:41:43.720]  the government has confirmed but uh yeah i just shouldn't comment on what i don't want to confirm
[01:41:43.720 --> 01:41:52.920]  or deny anything about other potential fisa applications oh wow that's more revealing than
[01:41:52.920 --> 01:42:00.920]  you even know see this isn't even me bragging it's just something you pick up on when you've
[01:42:00.920 --> 01:42:07.960]  been following it enough you start to realize who these people are talking to when they're on air
[01:42:07.960 --> 01:42:13.640]  like earlier when we played the brennan clip he's not actually talking to the public when he's
[01:42:13.640 --> 01:42:19.160]  speaking he's actually talking to the intel communities and and their agents in the media
[01:42:19.160 --> 01:42:27.000]  and so what baker is admitting to obama's former lawyer is he's basically saying
[01:42:28.200 --> 01:42:33.880]  no no no no what we did to spy on trump was even worse than you know
[01:42:35.240 --> 01:42:40.680]  that's really what he's saying he's saying yeah there's actually there's more fake
[01:42:40.680 --> 01:42:52.440]  intelligence that we use to spy illegally please don't forget we have a lot of amazing deals
[01:42:52.440 --> 01:42:56.600]  on the site we still have store-wide free shipping we had to end all those big discounts on the
[01:42:56.600 --> 01:42:59.320]  supplements we're about to sell out of all of them but we still have a big discount going
[01:42:59.320 --> 01:43:03.880]  even though it's about to sell out on dna force our flagship amazing product check out dna force
[01:43:03.880 --> 01:43:09.560]  learn why it's so amazing here's hope of favor dna force plus now even stronger even better for
[01:43:09.560 --> 01:43:14.600]  your telemeters for your cells for your mitochondrial dna for your nerves for your brain there's one
[01:43:14.600 --> 01:43:21.160]  thing you take it should be dna force plus with pqq coq 10 and so much more and all apparel you only
[01:43:21.160 --> 01:43:28.680]  do this once a year annual super sale all apparel ball caps a t-shirts sweatshirts hoodies 50% off
[01:43:28.680 --> 01:43:33.160]  50% off store-wide and you help fund the info war and you spread the word and you stand up to the
[01:43:33.160 --> 01:43:38.440]  bullies store-wide apparel sell 50% off and so much more and your funding makes it all possible
[01:43:38.440 --> 01:43:43.560]  whatever you do get dna force today it's discounted but it's about to sell out we'll be right back
[01:43:45.960 --> 01:43:52.600]  stress is a natural part of life work family friends and everyday accidents can put a lot of
[01:43:52.600 --> 01:43:58.920]  strain on the body and your mood don't let life weigh you down happy's is a powerful mood and
[01:43:58.920 --> 01:44:04.520]  stress support formula that has your back against life's daily inconveniences made with ancient
[01:44:04.520 --> 01:44:11.160]  ingredients used for thousands of years happy's can help you take back the day with our powerhouse
[01:44:11.160 --> 01:44:17.160]  formula happy's can be an important part of your daily supplement routine with poor diet and the
[01:44:17.160 --> 01:44:22.680]  constant on and off of your work life it's more important than ever to support your body in the
[01:44:22.680 --> 01:44:29.400]  fight against stress with powerful ingredients combined to help support the mind and body happy's
[01:44:29.400 --> 01:44:35.240]  helps support during stress promotes overall well-being and helps support your mood don't
[01:44:35.240 --> 01:44:41.160]  live your life bogged down help your body overcome the effects of daily stress and pressure today
[01:44:41.160 --> 01:44:52.200]  with happy's from info wars store dot com one of the most incredible cups of coffee can be found
[01:44:52.200 --> 01:44:57.000]  in the high mountains of southern mexico where the Chiapas farmers have spent years perfecting
[01:44:57.000 --> 01:45:03.320]  their techniques faced off hundreds of years of traditional techniques and perfect conditions
[01:45:03.320 --> 01:45:08.200]  we've sourced only the best to provide you with our immune support and wake up america
[01:45:08.200 --> 01:45:13.240]  patriot blend coffee ancient mine knowledge is paired with the natural fertility of the land
[01:45:13.240 --> 01:45:18.520]  to generate the world's finest coffee bean carefully harvested and free of toxic chemicals
[01:45:18.520 --> 01:45:24.600]  used in big agricultural productions patriot blend coffees have a smooth bold flavor of the great
[01:45:24.600 --> 01:45:29.240]  depth to give you just what you need in the morning you can even choose to start your morning
[01:45:29.240 --> 01:45:34.040]  healthier with the immune support blend infused with a powerful blend to support your immune
[01:45:34.040 --> 01:45:39.160]  response and stamina it's time to take care of your morning routine get a bag of patriot blend
[01:45:39.160 --> 01:45:55.800]  coffee to support the show while enhancing your morning routine at info wars store dot com
[01:45:55.800 --> 01:46:03.320]  by leaps and by bounds the number one best-selling supplement family in the world is energy drinks
[01:46:03.320 --> 01:46:09.400]  and energy supplements but they are riddled with dyes and toxins and synthetic caffeine and other
[01:46:09.400 --> 01:46:14.200]  chemicals that sure get you a quick boost but burn out in just a few hours and have terrible
[01:46:14.200 --> 01:46:20.760]  side effects we have developed hands down from our research the most powerful healthy energy drink
[01:46:20.760 --> 01:46:27.000]  pre-workout and beyond system in the world there's nothing else like it you must experience it it is
[01:46:27.000 --> 01:46:32.440]  a total game changer and it comes in easy to use packets to mix in the fruit juice or water
[01:46:32.440 --> 01:46:37.640]  whatever you'd like warning though it's very very strong it lasts 10 hours so take a half pack at
[01:46:37.640 --> 01:46:42.360]  the first time you take it because turbo force is named turbo force because it will take you into
[01:46:42.360 --> 01:46:45.240]  overdrive turbo force and enforce live com
[01:46:45.240 --> 01:47:01.160]  you're listening to the alex jones show
[01:47:05.160 --> 01:47:14.760]  you found it the tip of the spear it is the alex jones show with owin treuer all right let's do a
[01:47:14.760 --> 01:47:23.960]  news blitz here before i've played this imperative report again folks they are just testing this
[01:47:23.960 --> 01:47:34.920]  program in texas so this isn't even in california this is just at a few checkpoints in texas where
[01:47:34.920 --> 01:47:40.200]  they're doing the dna tests of the people coming in seeking asylum claiming to be family members
[01:47:40.200 --> 01:47:47.640]  dna tests reveal 30 of suspected fraudulent migrant families were unrelated dna testing
[01:47:47.640 --> 01:47:57.960]  reveals a third about 30 of migrants tested with rapid dna we're lying about family relations
[01:47:59.000 --> 01:48:05.880]  now this is causing massive illegal immigration this is causing massive human trafficking
[01:48:05.880 --> 01:48:15.640]  massive drug running all of it all of it folks unbelievable meanwhile the border patrol is
[01:48:15.640 --> 01:48:20.840]  flying migrants to california turns out they're not going to bust all those of florida uh the
[01:48:20.840 --> 01:48:26.920]  republicans in florida said no um joe biden this is hilarious cbs news tweets out joe biden this
[01:48:26.920 --> 01:48:33.960]  was yesterday uh formally launches 2020 campaign at rally in philadelphia wait what formally launches
[01:48:33.960 --> 01:48:39.560]  for the fifth time and uh a very weak crowd very low energy crowd i can't believe they're claiming
[01:48:39.560 --> 01:48:45.240]  he's beating trump of the polls he gets about uh uh what one hunt one hundredth of a trump crowd
[01:48:45.960 --> 01:48:52.120]  and then the lady who gave him the introduction he gropes her her side and butt before she walks
[01:48:52.120 --> 01:49:00.600]  off the stage you can't make this stuff up oh and then his son zero hedge crack pipe ids and uh badge
[01:49:00.600 --> 01:49:05.480]  found in hunter biden rental car so the guy it's like a classic criminal pulling over joe biden's
[01:49:05.480 --> 01:49:13.640]  son is like pulling over like a mobster thug drug dealer msnbc host says william bar is the most
[01:49:13.640 --> 01:49:19.960]  dangerous person that works for trump yeah they are really scared of bar several protesters
[01:49:19.960 --> 01:49:24.040]  arrested outside conference at middle tennessee park so uh they're finally starting to arrest
[01:49:24.040 --> 01:49:29.880]  these antifa people folks uh it took the police a while to realize that that's the only answer
[01:49:29.880 --> 01:49:36.280]  california school district says parents can't pull kids from new lgbt sex ed you know
[01:49:38.760 --> 01:49:41.720]  the gravity of that did not really hit me until i read it
[01:49:44.520 --> 01:49:51.560]  wow california school district says parents can't pull kids from new lgbt sex ed okay well i got
[01:49:51.560 --> 01:49:58.440]  news for the california school district uh wrong how is tarik nashid still on twitter
[01:49:58.440 --> 01:50:02.920]  twitter everybody's seen the video of that guy that came up and uh kicked arnold schwarzenegger
[01:50:02.920 --> 01:50:07.400]  tarik nashid is on twitter celebrating it this is the time this is the guy the black guy that
[01:50:08.440 --> 01:50:14.040]  promotes white uh people getting beaten up by black people he promotes that kind of act
[01:50:14.040 --> 01:50:20.840]  ed he's still allowed on twitter uh butt judge pete butt judge says that anything named after
[01:50:20.840 --> 01:50:26.600]  thomas jefferson should be renamed okay and then Reese weatherspoon apparently is having
[01:50:26.600 --> 01:50:32.280]  trouble getting acting gigs these days and um she's donating a bunch of money to plan parenthood
[01:50:32.280 --> 01:50:38.840]  and aclu um because uh she wants you to be able to abort your baby so that's nice maybe she can
[01:50:38.840 --> 01:50:43.880]  get a role uh an acting gig out of that deal all right folks you know what let's do this quickly
[01:50:43.880 --> 01:50:52.520]  guys play oh what did i do i lost my video page no i wanted to play the o biden obama
[01:50:52.520 --> 01:50:59.480]  play it we got time no i don't have time the imports to report you've got biden coming out
[01:50:59.480 --> 01:51:04.440]  saying that trump inherited obama's booming economy of course i wanted to play that with the
[01:51:04.440 --> 01:51:09.320]  obama clip of him saying what does he have a magic wand uh janine piero says deep state about
[01:51:09.320 --> 01:51:12.760]  to be exposed this will be better than reality tv yeah as soon as you realize the real world
[01:51:12.760 --> 01:51:19.320]  is better than reality tv uh you know reality tv and that kind of garbage uh it really just
[01:51:19.320 --> 01:51:26.040]  doesn't do it for you anymore at all okay but here is the big report put together put together by
[01:51:26.040 --> 01:51:30.920]  greg reese folks please tell your friends and family about info wars uh it's reports like this
[01:51:30.920 --> 01:51:35.880]  why they want to censored and banned off social media so here is the latest report
[01:51:35.880 --> 01:51:42.840]  from greg reese at news wars dot com insurrection in america why the president needs to invoke
[01:51:42.840 --> 01:51:51.720]  the insurrection act what is insurrection a rebellion or rising of citizens or subjects
[01:51:51.720 --> 01:51:58.040]  in resistance to their government in 2017 the justice democrats and brand new congress
[01:51:58.600 --> 01:52:05.000]  seek to undermine the democratic system by electing fake politicians antifa is conspiring
[01:52:05.000 --> 01:52:10.600]  with the mexican cartel to stage an armed rebellion at the border and democrats continue
[01:52:10.600 --> 01:52:16.840]  pushing for open borders while patriots are silenced on the internet this all qualifies
[01:52:16.840 --> 01:52:22.280]  as insurrection but there is something far more deadly that has been taking root within america
[01:52:22.280 --> 01:52:29.000]  for decades islamist terrorist compounds have been found all over the country training for
[01:52:29.000 --> 01:52:33.640]  islamic jihad with the election of donald trump they believe that their end times prophecies that
[01:52:33.640 --> 01:52:39.160]  they believe in are now being fulfilled donald trump is part of a satanic jewish conspiracy
[01:52:39.160 --> 01:52:44.760]  and they are preparing for the camps to be raided and to fight back brooklyn imam and cnn
[01:52:44.760 --> 01:52:51.640]  contributor saraj wahaj was involved in the first world trade center bombing and has clearly stated
[01:52:51.640 --> 01:52:57.960]  his support for islamic jihad islam is better than a democracy in time the so-called democracy
[01:52:57.960 --> 01:53:03.960]  will crumble and there will be nothing and the only thing that will remain will be islam his son
[01:53:03.960 --> 01:53:10.360]  was found training children to be terrorists in new mexico and alabama young children in a
[01:53:10.360 --> 01:53:19.880]  philadelphia mosque were found singing songs about killing and torturing non-muslims
[01:53:19.880 --> 01:53:33.800]  muslim clerics are openly calling for jihad
[01:53:49.880 --> 01:54:00.600]  experts on islamic jihad have warned us there is no place in the world where muslims have come
[01:54:00.600 --> 01:54:05.000]  that they haven't started wars against the non-muslims why do we think we're going to be different
[01:54:05.000 --> 01:54:32.200]  the leader of the iranian nationalist movement has warned us the islamist movement has been very
[01:54:32.200 --> 01:54:37.960]  clear in their goal and that is to establish their own caliphate on the other side the left
[01:54:38.520 --> 01:54:44.840]  not only simplifies with them they're applying democratic values onto an extremist group that
[01:54:44.840 --> 01:54:50.120]  doesn't believe in democracy they want sharia law despite these dire warnings our elected
[01:54:50.120 --> 01:54:57.160]  officials have continued to support islam we have a congresswoman who openly supports islamic jihad
[01:54:57.160 --> 01:55:03.560]  should be reassess the way that we are dealing with alshabab her constituents in minneapolis
[01:55:03.560 --> 01:55:08.760]  want sharia law in america do you feel more comfortable living under american law or do you
[01:55:08.760 --> 01:55:17.880]  feel more comfortable living under sharia law i'm a muslim i prefer sharia law
[01:55:17.880 --> 01:55:25.320]  sharia law yes you prefer sharia law over american law of course yeah of course that
[01:55:26.680 --> 01:55:29.880]  and do you find most of your friends uh say how do you feel the same way
[01:55:30.520 --> 01:55:35.000]  yeah of course if you're muslim and he can make his daughter marry somebody yeah he isn't right
[01:55:35.000 --> 01:55:40.920]  to kill somebody who sold muhammad yeah because she is just uh she had the religion i understand
[01:55:40.920 --> 01:55:44.600]  but she shouldn't beat up the prophet you know and they don't even want to live here
[01:55:44.600 --> 01:55:48.680]  do you have a choice would you rather live here is live a little bit more i'd rather live in a
[01:55:48.680 --> 01:55:53.000]  muslim country with my people would you prefer to live in america or prefer to live in somalia for
[01:55:53.000 --> 01:55:58.920]  me i think it's somalia would you rather live in america or live in somalia i'd rather live in
[01:55:58.920 --> 01:56:05.240]  somalia for those who are not brainwashed by the mainstream media insurrection is clearly happening
[01:56:05.240 --> 01:56:11.640]  in america and president trump invoking the insurrection act is clearly within america's
[01:56:11.640 --> 01:56:16.680]  best interests i believe that president trump is is one of the best things that have ever happened
[01:56:16.680 --> 01:56:22.040]  to the white house this is very very serious you have a president that will really go after
[01:56:22.040 --> 01:56:29.720]  the extremists and not care what anybody else thinks islamic jihad will never end unless we
[01:56:29.720 --> 01:56:36.440]  start fighting back but the point i'm getting across is that we are trying to treat a person
[01:56:36.440 --> 01:56:42.760]  humanly when they're not human they're not human we come to america warning the christians the
[01:56:42.760 --> 01:56:49.800]  christians don't want to listen what they want us to do if i'm telling you i fled from this guy
[01:56:49.800 --> 01:56:56.120]  and this guy is now moving next door and you're telling me i'm islamic how can i help you if
[01:56:56.120 --> 01:57:01.880]  you want to be realistic the only medicine for isis and their likes is when the christians
[01:57:01.880 --> 01:57:08.120]  arise to defend europe and defend their sacred sites and their churches that's the only way
[01:57:09.000 --> 01:57:13.400]  that these people will wake up for news wars dot com this is greg reese
[01:57:13.400 --> 01:57:21.400]  this
[01:57:25.800 --> 01:57:33.400]  info wars tomorrow's news today
[01:57:36.760 --> 01:57:41.000]  since the beginning secret 12 has been one of our most popular formulas now we're bringing you an
[01:57:41.000 --> 01:57:45.320]  all-new version to help you reach your energy peak ultra 12 from info wars life takes advantage
[01:57:45.320 --> 01:57:49.640]  of the most effective and expensive form of b12 available methyl cobalamin to provide you with
[01:57:49.640 --> 01:57:54.440]  twice the b12 ultra 12 can help make dna support the body's energy production and help produce
[01:57:54.440 --> 01:57:58.440]  healthy blood cells while assisting proper nervous system function take advantage of the superior
[01:57:58.440 --> 01:58:04.600]  form of b12 and head to info wars store dot com today get ultra 12 now at 50 off you like secret
[01:58:04.600 --> 01:58:11.320]  12 this is secret 12 but twice as strong so i called it ultra 12 and we decided i liked secret
[01:58:11.320 --> 01:58:15.160]  12 plus but they said look when you do plus people don't give that it means better and more
[01:58:15.160 --> 01:58:18.840]  just call it ultra 12 well you know what i don't like how the label's printed and it just so happens
[01:58:18.840 --> 01:58:22.280]  it already been labeled with the other we decided to change the name so when you peel off the label
[01:58:23.320 --> 01:58:31.720]  underneath it it's secret 12 plus twice as strong 50 off right now better than secret 12 ever was
[01:58:31.720 --> 01:58:34.760]  info wars store dot com now back in stock it for four months sold out
[01:58:38.280 --> 01:58:43.000]  mike in new jersey you're on the air thanks for calling mike you are the man alex i'm so glad
[01:58:43.000 --> 01:58:47.080]  to be talking to you i'm so excited i'm such a big fan ever since i've been listening i've been
[01:58:47.080 --> 01:58:53.960]  buying your products i gotta do a shout out for the bone broth the bone broth the bone broth the
[01:58:53.960 --> 01:59:00.360]  bone broth the bone tastes like tastes like um great milkshake you know if you just add it to
[01:59:00.360 --> 01:59:05.960]  milk it tastes like oval theme it tastes like oval theme it tastes like oval theme like good
[01:59:06.920 --> 01:59:13.080]  i feel great since i've been taking it my daughter uses the bubblegum fluoride three toothpaste um
[01:59:13.080 --> 01:59:18.600]  i'd use the uh supermail vitality a host of other products so thank you so much for that as well
[01:59:18.600 --> 01:59:22.600]  brother you're thanking me for buying the products to keep me from there i'm thanking you but yes
[01:59:22.600 --> 01:59:28.440]  this is the ultimate bone broth formula with the turmeric the chaga mushroom the true bone broth it
[01:59:28.440 --> 01:59:32.680]  in his next level it really is good so thank you i feel great since i've been taking it thank you
[01:59:32.680 --> 01:59:54.440]  you're listening to the alex jones show
