[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[03:22:27.843 --> 03:22:34.168]  There's actually an ability to push data down to the, from the county, to the precinct, to the municipality.
[03:22:35.189 --> 03:22:45.995]  Since we can't get into those Ethernet cables and actually look at that data transfer as a poll challenger, and I can't monitor it, there's a big security risk associated with it.
[03:22:45.995 --> 03:22:58.341]  And when you tie in the fact that you got an organization like the Center for Internet Security able to go off and manage these connections and this data flow and these data transfers nationwide, that's a point of concern.
[03:22:59.733 --> 03:23:03.895]  And this is why they did the move of critical infrastructure.
[03:23:03.895 --> 03:23:06.296]  They knew that they could protect the lies.
[03:23:06.296 --> 03:23:09.037]  They knew they could protect the facade, right?
[03:23:09.037 --> 03:23:15.239]  Because then you can't even hardly do a file request to get any information from it because it's critical now, right?
[03:23:15.239 --> 03:23:16.180]  Critical infrastructure.
[03:23:16.180 --> 03:23:18.961]  No, the critical infrastructure part doesn't hide it.
[03:23:18.961 --> 03:23:22.683]  What hides it is the fact that CIS is a non-government organization.
[03:23:22.683 --> 03:23:23.403]  They're not public.
[03:23:23.823 --> 03:23:33.970]  So all I can do is nibble around the interface with government entities and ask for their contracts and actually monitor the activities that I can monitor.
[03:23:33.970 --> 03:23:42.015]  If you go out to my website at letsfixstuff.org, you'll see that there's a lot of information on this very topic.
[03:23:42.015 --> 03:23:44.617]  I was actually, in addition to being a poll challenger on it,
[03:23:45.137 --> 03:23:52.670]  TCS Center in 2020, I was actually a poll challenger that decided I wanted to witness how the county actually tallies the vote back in 2022.
[03:23:54.310 --> 03:24:10.154]  And the common narrative is that this is all handled via sneaker net and sealed envelopes with flash drives and they're transferred via couriers and then uploaded to the internet via once you take the flash drive out of the sealed envelope at the county level.
[03:24:10.154 --> 03:24:11.455]  That's not what happened.
[03:24:11.455 --> 03:24:16.776]  I was seeing updates of the county election results on their website for communities that hadn't brought in any flash drives.
[03:24:17.376 --> 03:24:25.325]  So either they had carrier pigeons going off and transferring it through an open window that I couldn't see, or they were using the internet.
[03:24:25.325 --> 03:24:32.534]  And I've got surveillance video now that took about a year and a lawsuit in order to obtain it, and that validates all my findings.
[03:24:32.534 --> 03:24:37.139]  You can see that up on my Rumble channel, Election Integrity.
[03:24:37.139 --> 03:24:37.920]  So this is
[03:24:40.535 --> 03:24:56.704]  The common denominator in all this is that they're just lying about it and they're getting away with it because the media is providing cover for them and folks like myself and yourself and our fellow meddling kids as I call them all across the country are not giving up on this.
[03:24:56.704 --> 03:24:59.385]  There's nothing else more important than election integrity.
[03:24:59.385 --> 03:25:06.569]  I don't care what your policy issue is, you cannot affect change on that policy issue unless your voice is heard at the polls.
[03:25:07.921 --> 03:25:13.086]  Yes, and unless we know what we're fighting against, because a lot of people just think ballot stuffing.
[03:25:13.086 --> 03:25:13.487]  They do.
[03:25:13.487 --> 03:25:16.650]  They think that's the problem, and that's not the only problem.
[03:25:16.650 --> 03:25:19.813]  That's the smaller problem, I think, amidst this.
[03:25:19.813 --> 03:25:24.218]  Make it the bigger problem.
[03:25:24.218 --> 03:25:25.259]  But it is critical.
[03:25:25.259 --> 03:25:27.081]  That's not the one that tips the scales.
[03:25:28.240 --> 03:25:46.710]  Right, so when King Dingling did not go out and even hardly do a press conference as he was running for president, and everyone wondered why that was, and he was claiming COVID but never ever came out of the coffin they keep him in at the White House, that should have been our first clue.
[03:25:46.710 --> 03:25:52.753]  They knew they could do it this way, they knew they could do the steal, and really this should be called the steal because it is
[03:25:54.330 --> 03:26:01.055]  Absolutely stolen from the American people and that has nothing to do with NPR painting it as Republicans are concerned.
[03:26:01.055 --> 03:26:02.716]  Republicans have mistrust.
[03:26:02.716 --> 03:26:09.601]  This should be all people concerned about the election process with these tools that the government's developed.
[03:26:09.601 --> 03:26:18.747]  Yeah, our first clue should be when he announced while he was campaigning that he'd assembled the most comprehensive election fraud organization in American history.
[03:26:18.747 --> 03:26:22.450]  So from my perspective, that was kind of like a little bit of a red alert.
[03:26:24.886 --> 03:26:27.108]  Yes, just a little bit of a slip, right?
[03:26:27.108 --> 03:26:32.891]  Oh my gosh, that was just, it was just funny to watch him say that actually.
[03:26:32.891 --> 03:26:40.156]  FirstNet was, and when I say go back 20 years, FirstNet was hatched in the wake of 9-11 when all the congested cell networks
[03:26:41.213 --> 03:26:43.935]  They thought they were a bottleneck for first responders.
[03:26:43.935 --> 03:26:52.419]  So in 2012, Congress created the First Responder Network Authority under the Department of Commerce to oversee the build-out of FirstNet.
[03:26:52.419 --> 03:26:53.620]  This comes from David Clements.
[03:26:53.620 --> 03:26:59.023]  And the original intent provided its sponsors that FirstNet would serve police fire at EMT.
[03:26:59.980 --> 03:27:09.325]  But oh no, that was expanded into and include water, energy, transportation infrastructure, and voting, right?
[03:27:09.325 --> 03:27:10.365]  And elections.
[03:27:10.365 --> 03:27:14.228]  So it was that expansion that just hurt this so bad.
[03:27:16.741 --> 03:27:19.983]  Yeah, I've got a unique perspective on these emergency communication networks.
[03:27:19.983 --> 03:27:23.226]  I think it's their insurance run, if you will.
[03:27:23.226 --> 03:27:28.029]  That makes sure that we have a highly reliable network able to share that data.
[03:27:28.029 --> 03:27:31.732]  It may not be the primary network in some cases that's actually used to convey it.
[03:27:31.732 --> 03:27:37.576]  I know this is just a hardwired Ethernet connection connected to an Internet gateway out at the TCF Center.
[03:27:37.576 --> 03:27:40.178]  It didn't even have to be wireless there.
[03:27:40.178 --> 03:27:42.960]  But when you get out into rural communities,
[03:27:43.709 --> 03:27:48.973]  You know, they need something that's reliable, that police officers, law enforcement agencies can go off and use.
[03:27:48.973 --> 03:27:50.273]  That's why they use FirstNet.
[03:27:50.273 --> 03:27:57.859]  That's why it's so critical, because they need to be able to plug into any of these organizations that they'd like to plug into or jurisdictions.
[03:27:57.859 --> 03:28:11.848]  And, you know, we've got some strange, you know, stories that have been shared with me from clerks on the ground regarding these little antenna trucks coming around their facility that validates FirstNet.
[03:28:13.408 --> 03:28:33.640]  When we come back I want to hear about those and this is why, because we're going to go to break, but this is why King Dingling was all about making sure, remember when he said how stupid rural people are and how they needed internet and how they had to have cellular and he was going to go around and make that happen because he thought we were too dense to find places to vote and so forth.
[03:28:33.640 --> 03:28:38.463]  It was really a big tell in structuring the rural areas like you said.
[03:28:38.463 --> 03:28:41.765]  That's a great point of interest right there because I don't think people realize
[03:28:42.125 --> 03:28:48.828]  When they're doing all of these things, there's pieces to the puzzle that they're putting in and showcasing and showing us, but we just don't believe them.
[03:28:48.828 --> 03:28:50.990]  We need to start believing when they do these things.
[03:28:50.990 --> 03:28:55.132]  We'll be right back more with Patrick Holbeck when we come back.
[03:28:55.132 --> 03:28:55.872]  Let'sfixstuff.org.
[03:28:57.873 --> 03:29:05.278]  The ultimate tumeric product on the market has returned to Infowarsstore.com and is now 25% off for a limited time.
[03:29:05.278 --> 03:29:10.662]  Utilized for thousands of years, tumeric is one of the most studied medicinal herbs today.
[03:29:10.662 --> 03:29:18.327]  Hundreds of peer-reviewed scientific articles are published every year on the chemistry and therapeutic potential of tumeric and its active components.
[03:29:18.507 --> 03:29:29.514]  Tumeric bodies will reduce inflammation throughout the body, help boost and support flexibility, increase mobility, assist in joint function, bolster your immune system, and so much more.
[03:29:29.514 --> 03:29:41.282]  Regular tumeric from the store contains about 1-5% of the active ingredient curcuminoids, but our super powerful extract using bodies contains over 95% of the active ingredients in tumeric.
[03:29:41.522 --> 03:29:45.003]  No other product can compare with this curcuminoid delivery system.
[03:29:45.003 --> 03:29:48.824]  So if you want to put the true power of turmeric to the test, then look no further.
[03:29:48.824 --> 03:29:56.085]  Grab yourself a bottle today for 25% off at InfoWareStore.com and put your body at ease.
[03:29:56.085 --> 03:30:01.826]  A lot of listeners have complained in the last two years that our amazing high quality coffee has not been available.
[03:30:01.826 --> 03:30:06.647]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[03:30:06.647 --> 03:30:09.088]  I turned down so many companies that wanted to work with us.
[03:30:09.688 --> 03:30:19.272]  But now we have brought back the coffee and it's even better from a national supplier that's veteran owned and veteran operated.
[03:30:19.272 --> 03:30:22.513]  It's powered by the company Minuteman Coffee.
[03:30:22.513 --> 03:30:26.575]  Ladies and gentlemen, this is the best tasting, best smelling,
[03:30:27.555 --> 03:30:31.017]  Strongest coffee that I have ever drank.
[03:30:31.017 --> 03:30:32.878]  It is game-changing.
[03:30:32.878 --> 03:30:35.120]  All you gotta do is buy a bag of it and try it.
[03:30:35.120 --> 03:30:38.481]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[03:30:38.481 --> 03:30:42.504]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[03:30:42.504 --> 03:30:43.564]  That's the strongest.
[03:30:43.564 --> 03:30:46.406]  The amazing Medium Roast Wig of America.
[03:30:46.406 --> 03:30:53.910]  And finally, the best-tasting Dark Roast Tip of the Spear, now exclusively available at InfoWarsTore.com.
[03:30:53.910 --> 03:30:54.691]  Get your coffee now.
[03:30:56.305 --> 03:31:03.067]  When I tell you we have the ultimate bone broth, hands down, this is the most concentrated, high quality bone broth there is.
[03:31:03.067 --> 03:31:06.709]  Concentrated chicken broth, patented amazing.
[03:31:06.709 --> 03:31:16.232]  Then a huge dose of chaga mushroom, a massive dose of beet pollen, a gigantic dose of highest quality turmeric, and then it just gets crazier from there.
[03:31:16.232 --> 03:31:17.392]  It's about to sell out.
[03:31:17.392 --> 03:31:18.893]  We haven't had it in stock for years.
[03:31:18.893 --> 03:31:20.833]  This first new run is about to sell out.
[03:31:20.833 --> 03:31:21.854]  Get it discounted right now.
[03:31:22.830 --> 03:31:26.213]  40% off at InfoWarsTore.com, and it funds our operation.
[03:31:26.213 --> 03:31:36.722]  And once you get addicted to it, once you get blown away by it, once you feel your joints and your energy and your stamina accelerate, then become a regular customer for Bone Broth, InfoWarsTore.com.
[03:31:36.722 --> 03:31:42.587]  Whatever you do, spread the word about InfoWars, about the live show, and about all the other great products, because these are great products.
[03:31:42.587 --> 03:31:45.169]  They empower your life, plus they fund our operation.
[03:31:45.169 --> 03:31:47.491]  Go to InfoWarsTore.com right now.
[03:31:47.491 --> 03:31:49.853]  We're selling out ultimate bone broth.
[03:31:52.134 --> 03:31:56.497]  Don't lie down and take it.
[03:31:56.497 --> 03:31:58.358]  Spread the word about this broadcast.
[03:31:58.358 --> 03:31:59.319]  Pray for this broadcast.
[03:31:59.319 --> 03:32:00.960]  Support other broadcasts, please.
[03:32:00.960 --> 03:32:04.722]  And please, financially support us at InfoWarsTore.com.
[03:32:04.722 --> 03:32:06.603]  Only way we operate is your funding.
[03:32:06.603 --> 03:32:07.684]  You are the InfoWarrior.
[03:32:07.684 --> 03:32:08.745]  The reason we're here.
[03:32:08.745 --> 03:32:15.609]  Please go to InfoWarsTore.com right now and empower yourself and your immune system and your body and your health and your vitality with a trifecta sale 40% off.
[03:32:17.370 --> 03:32:19.892]  The DNA Force Plus, finally back in stock.
[03:32:19.892 --> 03:32:22.394]  Body's Ultimate Tumor Formula, finally back in stock.
[03:32:22.394 --> 03:32:24.496]  And Real Red Pill, finally back in stock.
[03:32:24.496 --> 03:32:27.638]  It's been a year since all three have been back in stock together.
[03:32:27.638 --> 03:32:29.240]  There's no excuse not to get them.
[03:32:29.240 --> 03:32:30.361]  They're so amazing together.
[03:32:30.361 --> 03:32:35.145]  40% off right now when you get all three together, or 25% off individually.
[03:32:35.145 --> 03:32:36.286]  The Trifecta Sale.
[03:32:37.006 --> 03:32:40.487]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:15.453 --> 03:33:16.834]  Welcome back to the Alex Jones Show.
[03:33:16.834 --> 03:33:19.716]  I'm Kate Dally, your guest host from katedallyradio.com.
[03:33:19.716 --> 03:33:21.397]  So good to be with you.
[03:33:21.397 --> 03:33:35.366]  Not only do cell phones provide tracking and the ability for the NSA to spy on us 24-7, like they describe in LifeLog, just go to LifeLog from 20 years ago and they spell out exactly what pieces of information they want from you.
[03:33:35.366 --> 03:33:42.892]  The original plan to build FirstNet was to build a separate network with nationwide coverage that used a dedicated cellular band portion known as Band 14.
[03:33:44.073 --> 03:33:46.994]  This comes from David Clements and Sophie Anderson.
[03:33:46.994 --> 03:33:56.777]  Years and billions of dollars later, AT&T had built out the FirstNet Band 14 network with all kinds of coverage across the United States.
[03:33:56.777 --> 03:34:03.739]  So Barack Obama's vision of using FirstNet to connect all election equipment was going to be realized by the 2020 election.
[03:34:03.739 --> 03:34:04.939]  What are your thoughts on that?
[03:34:04.939 --> 03:34:11.721]  With AT&T also offered to the first responder network authority preemption services on its entire network in 2017.
[03:34:11.721 --> 03:34:13.582]  What are your thoughts, Patrick?
[03:34:14.542 --> 03:34:20.467]  First of all, Dave Aaron and Sophie and Dr. Bernardin, who's actually a network specialist.
[03:34:20.467 --> 03:34:24.531]  I mean, that's what he used to do professionally.
[03:34:24.531 --> 03:34:26.573]  They did some great work on covering this.
[03:34:26.573 --> 03:34:33.219]  But I think the crux on all this for the FirstNet and frankly, WistNet and some other areas, when you get into the emergency 911 services,
[03:34:34.760 --> 03:34:41.386]  They are looking for something that is reliable and it's a backup for when they can't go off and access it any other way.
[03:34:41.386 --> 03:34:48.213]  So for them, this is a big insurance run and the fact that we've gotten to this stage where they're just trying to kind of
[03:34:48.931 --> 03:35:00.698]  Clean up the fringes of the election security, if you will, or their ability to manipulate elections tells me that they've got one heck of an infrastructure in place if they're just working around the edges.
[03:35:00.698 --> 03:35:03.179]  And so, yeah, this is a concern.
[03:35:03.179 --> 03:35:04.520]  The whole thing's a concern.
[03:35:04.520 --> 03:35:09.543]  And I wrote about how they stole the election in 2020 in a book.
[03:35:09.543 --> 03:35:14.346]  If you don't mind, I mean, I just want to highlight this because it's a primer on exactly what was happening.
[03:35:14.346 --> 03:35:15.046]  It's called The 2020 Coup.
[03:35:16.600 --> 03:35:21.766]  And if you go to mystore.com and use the promo code Meddling Kid, you can get a discount.
[03:35:21.766 --> 03:35:28.194]  But I say that not to push the book, although that would be nice because I still have to keep the lights on here while I'm investigating this stuff.
[03:35:28.194 --> 03:35:32.519]  But the key thing is people need a primer on what happened in the 2020 election.
[03:35:32.519 --> 03:35:33.000]  Now that
[03:35:33.740 --> 03:35:40.383]  We've got information pathways that are opening up that are allowing us to talk about this before the 2024 election.
[03:35:40.383 --> 03:35:41.683]  We need to take advantage of it.
[03:35:41.683 --> 03:35:51.827]  We need to take advantage of the fact that Twitter at least has the appearance of being much more, you know, into free speech than they had been in the past.
[03:35:51.827 --> 03:35:55.988]  And let's take advantage of this and get the information out.
[03:35:55.988 --> 03:36:02.351]  Well, we have over 3,000 counties in America, and those counties could put a stop to a lot of this nonsense.
[03:36:02.351 --> 03:36:03.011]  How could they do it?
[03:36:04.358 --> 03:36:12.287]  Well, first of all, find out if you're a member of the EI Isaac Center.
[03:36:12.287 --> 03:36:15.491]  If you've got a membership agreement with the Center for Internet Security,
[03:36:16.181 --> 03:36:23.184]  Get rid of it, and don't give these guys an opportunity to peek under the hood of your election system, because that's all they're doing.
[03:36:23.184 --> 03:36:23.924]  It's amazing.
[03:36:23.924 --> 03:36:40.010]  They say that they're there just to protect the security of your system, but we've got, and I think it was Dave Clements that discovered this out in New Mexico, they found one of the service agreements actually was asking them questions about specifically what election systems do you have connected?
[03:36:40.010 --> 03:36:41.611]  If they're just worried about malware,
[03:36:42.171 --> 03:36:44.354]  They're not asking that kind of level, that information.
[03:36:44.354 --> 03:36:48.239]  What they're doing is a profile on them for, for manipulating the election.
[03:36:48.239 --> 03:36:54.106]  So, and by the way, even if CIS isn't directly involved in the manipulation of elections,
[03:36:54.830 --> 03:36:56.311]  They're definitely enabling it.
[03:36:56.311 --> 03:37:10.839]  And if I were a third party actor, say from China or something like that, I would just have a single point of failure that I would have to compromise in order to get access to the whole kit and caboodle of our election data for our whole country.
[03:37:10.839 --> 03:37:13.280]  So that is a point of concern.
[03:37:13.280 --> 03:37:17.262]  And, you know, there's some other things that have happened even outside of the electronic realm.
[03:37:17.262 --> 03:37:20.804]  I don't know if you have time to go into it, but it deals with Wayne County, Michigan.
[03:37:21.511 --> 03:37:33.717]  Um, we, uh, you know, we have these 16 electors that have been charged by our Michigan Attorney General Dana Nessel with forgery and conspiracy charges for offering an alternate slate of electors.
[03:37:33.717 --> 03:37:36.058]  Same thing going on in Georgia as well.
[03:37:36.058 --> 03:37:46.663]  Well, I figured this would be a good time to go off and, you know, dot the i's and cross the t's on whether or not the election in Michigan in 2020 was actually lawfully certified because
[03:37:47.824 --> 03:37:53.169]  All these charges hinge upon the assertion that the 2020 election was lawfully certified.
[03:37:53.169 --> 03:38:07.821]  As it turns out, in Wayne County, which is where I live, it's the home of Detroit, the certification paperwork that was submitted and signed by Wayne County was missing one of the required signatures in order to certify the election.
[03:38:08.619 --> 03:38:09.920]  And there's a good reason for this.
[03:38:09.920 --> 03:38:11.161]  It wasn't a clerical error.
[03:38:11.161 --> 03:38:18.346]  It was because both Republican canvassers in Wayne County refused to vote yes on the election.
[03:38:18.346 --> 03:38:21.148]  Now, there's a whole rigmarole and timeline.
[03:38:21.148 --> 03:38:26.272]  If you want to find out the details on that, go to letsfixstuff.org and you'll see all the details.
[03:38:26.272 --> 03:38:27.333]  But the bottom line is,
[03:38:27.953 --> 03:38:32.794]  The official certification document from Wayne County shows that it was not certified.
[03:38:32.794 --> 03:38:48.737]  And if you take out the votes from Wayne County in the state vote tally, remember this is the home of Detroit, all of a sudden the rightful winner of the election in Michigan in 2020 for president is Donald Trump, not Joe Biden.
[03:38:48.737 --> 03:38:50.177]  That's kind of a big deal.
[03:38:50.177 --> 03:38:54.458]  And it frankly, from the perspective of these electors,
[03:38:55.517 --> 03:39:01.279]  Now they have a trial by jury, and the bar for that is beyond a reasonable doubt.
[03:39:01.279 --> 03:39:06.682]  I'm telling you, there's at least reasonable doubt that these elections were ever lawfully certified.
[03:39:06.682 --> 03:39:11.684]  The purpose of these alternate electors was to have that debate out in Washington D.C.
[03:39:11.684 --> 03:39:12.324]  on January 6th.
[03:39:13.260 --> 03:39:17.842]  And coincidentally, somebody didn't want that debate to actually happen.
[03:39:17.842 --> 03:39:20.283]  And that was not Donald Trump, by the way.
[03:39:20.283 --> 03:39:32.768]  So somebody who didn't want that to happen is making a big deal out of making sure that these alternate slate electors are held, are put in, are being charged and threatened with incarceration.
[03:39:32.768 --> 03:39:34.269]  And it's just not right.
[03:39:34.269 --> 03:39:36.770]  And this is just the tip of the iceberg around
[03:39:37.310 --> 03:39:49.520]  The defense for these 16 electors and I'm hoping that this information can be useful in Georgia and with some of these sanction trials that are going on with the intrepid lawyers like John Eastman and Sidney Powell.
[03:39:49.520 --> 03:39:50.741]  Oh yes, for sure.
[03:39:50.741 --> 03:39:56.986]  And why have signatures and why have to sign off and certify if they're going to push through and do it without the certification?
[03:39:56.986 --> 03:40:00.349]  And then what's the point of certifying in the first place?
[03:40:00.349 --> 03:40:01.910]  Right, I mean that's really the forgery.
[03:40:02.831 --> 03:40:10.235]  The real forgery was when they forged these certificates without the requisite signatures for Michigan state law.
[03:40:10.235 --> 03:40:13.958]  And how many states did this happen in, right?
[03:40:13.958 --> 03:40:20.381]  How many people knew and started seeing these anomalies and would not sign off?
[03:40:20.381 --> 03:40:21.382]  Pretty amazing.
[03:40:21.382 --> 03:40:26.085]  And so when people say, you know, don't talk about election fraud, that was in 2020, move on.
[03:40:26.085 --> 03:40:29.366]  Well, we're coming up on the 2024.
[03:40:29.366 --> 03:40:31.007]  Has anything changed, Patrick?
[03:40:31.007 --> 03:40:31.968]  Not at all, right?
[03:40:32.751 --> 03:40:33.652]  Nothing.
[03:40:33.652 --> 03:40:37.014]  Well, we're on to how they stole the election now.
[03:40:37.014 --> 03:40:43.098]  We were kind of bright-eyed and bushy-tailed going into 2020, and we were just saying, hey, I mean, I know me.
[03:40:43.098 --> 03:40:45.740]  I wasn't expecting the drama that we've had coming out of 2020.
[03:40:45.740 --> 03:40:51.504]  I was just doing my civic duty, overseeing the execution of the elections and trying to understand what's going on.
[03:40:51.504 --> 03:40:58.009]  Instead, I'm sitting there at 3 30 in the morning, seeing a bunch of ballots dropped off at the back door of the TCF Center without any chain of custody.
[03:40:58.009 --> 03:40:58.329]  I'm going,
[03:40:58.789 --> 03:41:01.051]  But this isn't the way it's supposed to be working.
[03:41:01.051 --> 03:41:05.935]  And so, yeah, it should be pretty boring, but it's not.
[03:41:05.935 --> 03:41:10.238]  And I'll tell you, if everybody says that this is three years ago, why are you bringing this up?
[03:41:10.238 --> 03:41:17.804]  Well, our Attorney General just brought up these charges, what, about a month ago or two months ago for these folks, three years after the election.
[03:41:17.804 --> 03:41:22.448]  So, heck yeah, we're going to go off and do the research necessary to get them exonerated.
[03:41:23.815 --> 03:41:25.056]  Right.
[03:41:25.056 --> 03:41:33.500]  In 2022, I think everyone went to the polls and just crossed their fingers and hoped that things would be different and that the outcome they were going to get was a true outcome.
[03:41:33.500 --> 03:41:35.241]  But we hadn't changed anything.
[03:41:35.241 --> 03:41:36.962]  We hadn't exposed everything.
[03:41:36.962 --> 03:41:39.564]  We didn't even know what game we were playing up against.
[03:41:39.564 --> 03:41:46.928]  And so we can't just cross our fingers and hope to die and go, oh, I just hope, I just hope that everything's going to be different magically.
[03:41:46.928 --> 03:41:48.168]  No, we just can't do that.
[03:41:48.168 --> 03:41:51.250]  We've got to make strides and changes and people can do that in their own counties.
[03:41:52.563 --> 03:41:58.833]  Yeah, you brought up the key point, which is getting rid of these Albert sensors and bringing that to their attention.
[03:41:59.691 --> 03:42:04.514]  Ultimately, the whole idea that these non-government organizations are running our elections is a core issue.
[03:42:04.514 --> 03:42:14.401]  And so if you're looking for a kind of a magic button, like that one button, you push this in a case of emergency and restore elections, it's transparency in a word.
[03:42:14.401 --> 03:42:25.208]  If we had access to the same data that these non-government organizations have, and it was made public, like our voter rolls, when somebody changed it, like rock the vote behind the scenes, instead of just rock the vote, understanding
[03:42:26.075 --> 03:42:29.982]  Uh, what those vote voter registration database changes were.
[03:42:29.982 --> 03:42:31.364]  Everybody gets to go off and see it.
[03:42:31.364 --> 03:42:34.790]  So we can sit there and go, wait a minute, that doesn't make any sense.
[03:42:34.790 --> 03:42:37.115]  And you can call it out right as it happens instead.
[03:42:37.941 --> 03:42:46.166]  We have to wait sometimes a year after the actual event to actually get that data and file lawsuits to get access to it, all that kind of stuff.
[03:42:46.166 --> 03:42:55.252]  If we had real-time access to the same data that the bad guys have access to, they'd be forced to play in the elections with all their cards raised up.
[03:42:55.252 --> 03:42:56.173]  It's un-American not to...
[03:42:56.493 --> 03:42:57.493]  Don't lie down and take it.
[03:42:57.493 --> 03:42:59.354]  Spread the word about this broadcast.
[03:42:59.354 --> 03:43:00.314]  Pray for this broadcast.
[03:43:00.314 --> 03:43:01.955]  Support other broadcasts, please.
[03:43:01.955 --> 03:43:05.716]  And please, financially support us at InfoWarsTore.com.
[03:43:05.716 --> 03:43:07.617]  Only way we operate is your funding.
[03:43:07.617 --> 03:43:08.697]  You are the InfoWarrior.
[03:43:08.697 --> 03:43:09.757]  The reason we're here.
[03:43:09.757 --> 03:43:17.460]  Please go to InfoWarsTore.com right now and empower yourself and your immune system and your body and your health and your vitality with a Trifecta Sale 40% off.
[03:43:18.360 --> 03:43:20.882]  The DNA Force Plus, finally back in stock.
[03:43:20.882 --> 03:43:23.383]  Body's Ultimate Tumor Formula, finally back in stock.
[03:43:23.383 --> 03:43:25.484]  And Real Red Pill, finally back in stock.
[03:43:25.484 --> 03:43:28.626]  It's been a year since all three have been back in stock together.
[03:43:28.626 --> 03:43:30.247]  There's no excuse not to get them.
[03:43:30.247 --> 03:43:31.368]  They're so amazing together.
[03:43:31.368 --> 03:43:36.151]  40% off right now when you get all three together, or 25% off individually.
[03:43:36.151 --> 03:43:37.272]  The Trifecta Sale.
[03:43:38.132 --> 03:43:40.693]  Right now at InfoWarsTore.com.
[03:43:40.693 --> 03:43:42.273]  The only way we fail is you don't take action.
[03:43:42.273 --> 03:43:45.234]  This will enrich and empower your life, and it keeps us on the air.
[03:43:45.234 --> 03:43:47.594]  So you want us to keep fighting in the face of these attacks?
[03:43:47.594 --> 03:43:48.575]  We can't do it without you.
[03:43:48.575 --> 03:43:50.195]  Plus, these are great products you need.
[03:43:50.195 --> 03:43:54.476]  That is a total win, a 360 win, the Trifecta Sale.
[03:43:54.476 --> 03:43:55.196]  Go now.
[03:43:55.196 --> 03:43:56.737]  InfoWarsTore.com.
[03:43:56.737 --> 03:44:02.618]  The globalists aren't just targeting us through the poison shots or the electromagnetic 5G or the GMO crops.
[03:44:03.098 --> 03:44:09.520]  They're hitting us with hundreds of chemicals that the EPA has authorized companies and industry to use.
[03:44:09.520 --> 03:44:12.880]  One of the top pesticides used is Atrazine.
[03:44:12.880 --> 03:44:22.023]  The allowable level the government admits that they allow to be in your water supply is enough to sterilize you and basically turn your son into a feminized mutant.
[03:44:22.023 --> 03:44:22.503]  Look it up.
[03:44:23.123 --> 03:44:24.484]  Don't let them do this to your family.
[03:44:24.484 --> 03:44:27.706]  We have the very best gravity-fed filter system out there.
[03:44:27.706 --> 03:44:30.849]  Highest rated at half the price of leading competitors.
[03:44:30.849 --> 03:44:33.170]  The Alexa Pure, ready to ship to you right now.
[03:44:33.170 --> 03:44:35.792]  We have replacement filters for folks who have already gotten it.
[03:44:35.792 --> 03:44:37.393]  It does 10,000 gallons before you replace them.
[03:44:37.393 --> 03:44:38.394]  It is amazing.
[03:44:38.394 --> 03:44:40.015]  It's great for your home, your business.
[03:44:40.015 --> 03:44:43.237]  You can put swamp water in it, tap water, well water.
[03:44:43.237 --> 03:44:44.658]  Almost everything is contaminated.
[03:44:44.658 --> 03:44:48.421]  This is how you take control of the fluids in your body and counter the globalist onslaught.
[03:44:48.661 --> 03:44:50.444]  Get yours today at InfoWareStore.com.
[03:44:50.444 --> 03:44:52.707]  For a limited time, we're running a 10% discount.
[03:44:52.707 --> 03:44:55.091]  That is a huge discount to start at the lowest price out there.
[03:44:55.091 --> 03:44:56.593]  You need this filter.
[03:44:56.593 --> 03:45:02.642]  My fellow Patriots, the Trafecta has not been in stock for years.
[03:45:02.642 --> 03:45:03.824]  Many of these products have been sold out.
[03:45:04.619 --> 03:45:04.919]  I'm good.
[03:45:22.469 --> 03:45:27.591]  All three of these products are back in stock right now for a limited time at 40% off.
[03:45:27.591 --> 03:45:34.293]  It would take me an hour to tell you about what's in DNA Force Plus, or Real Red Pill Plus, or Body's Ultimate Turmeric Formula.
[03:45:34.293 --> 03:45:42.016]  Go to Infowarsstore.com, read about these products, find out why they're so game-changing, and get yours today.
[03:45:42.016 --> 03:45:48.439]  DNA Force Plus, Real Red Pill Plus, Body's Ultimate Turmeric Formula, all three back in stock
[03:45:49.119 --> 03:45:56.723]  It's the Trifecta Sale, 40% off for a limited time at InfoWarsTore.com, and it keeps us on air.
[03:45:56.723 --> 03:46:01.246]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned.
[03:46:01.246 --> 03:46:09.630]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you.
[03:46:09.630 --> 03:46:16.174]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes
[03:46:16.334 --> 03:46:16.954]  We're good to go!
[03:46:38.922 --> 03:46:47.144]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited-time offer of $10 off.
[03:46:47.144 --> 03:46:58.727]  Try InfoWars Life Silver Bullet Colloidal Silver today, available right now at InfoWarsStore.com.
[03:46:58.727 --> 03:47:04.629]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:47:15.708 --> 03:47:17.369]  I'm back here with you on the Alex Jones Show.
[03:47:17.369 --> 03:47:19.589]  I'm Kay Dally, your guest host.
