[00:00.000 --> 00:30.000]  That's the law required.
[02:20:58.300 --> 02:21:04.860]  powerful in removing chemical agents again we listened introducing the perky light the gravity
[02:21:04.860 --> 02:21:11.500]  filter requested by america designed by americans and made in america get the perky light the
[02:21:11.500 --> 02:21:21.340]  american water purifier only 279 dollars call new millennium 888-803-4438 that's 888-803-4438
[02:21:21.340 --> 02:21:29.180]  or order on the web at perkywater.com not yet available in iowa hi john humer from mitis resources
[02:21:29.180 --> 02:21:33.820]  are you tired of watching your hard-earned assets dwindle away as government spending is out of hand
[02:21:33.820 --> 02:21:39.020]  and the federal reserve is creating in excess of 20 billion a week are you tired of stockbrokers
[02:21:39.020 --> 02:21:44.460]  gambling away your hard-earned money is this market a setup for a crash greater than 1987
[02:21:44.460 --> 02:21:48.940]  too many of today's policies resemble those that led to the collapse of 1929
[02:21:48.940 --> 02:21:56.700]  how much are you willing to lose take action now call me at 1-800-686-2237 extension 129
[02:21:56.700 --> 02:22:01.420]  i believe that we are facing a financial catastrophe of biblical proportion over recent
[02:22:01.420 --> 02:22:06.620]  decades numerous economic systems have failed current federal reserve policy and uncontrolled
[02:22:06.620 --> 02:22:11.420]  government spending have set the stage for the united states to be the next target secure your
[02:22:11.420 --> 02:22:19.420]  assets today by calling 1-800-686-2237 extension 129 do this while paper can still buy gold call
[02:22:19.420 --> 02:22:29.740]  me john humer at 1-800-686-2237 extension 129 automakers in the oil industry are in a fuel fight
[02:22:29.740 --> 02:22:35.820]  automakers claim gasoline quality doesn't measure up is your vehicle performing like it should now
[02:22:35.900 --> 02:22:42.140]  there's sfr green performance technologies for a clean planet sfr green's protector reduces
[02:22:42.140 --> 02:22:47.740]  emissions and improves fuel economy meeting automakers new standards so do something green
[02:22:47.740 --> 02:22:53.580]  for a special offer with free shipping go to greengasadditive.com or to locate a retailer
[02:22:53.580 --> 02:23:00.540]  go to greengasadditive.com are your federal reserve notes looking for a safe haven mine
[02:23:00.540 --> 02:23:07.580]  found it in precious metals not paper promises but actual gold in my possession it is liquid
[02:23:07.580 --> 02:23:14.460]  it is private it owes no one it cannot go bankrupt and it maintains its purchasing power find your
[02:23:14.460 --> 02:23:24.140]  answer at mitis resources that's 1-800-686-2237 the answer is at 1-800-686-2237
[02:23:24.140 --> 02:23:31.100]  how are you feeling today why ask because if you have health challenges then reading our free
[02:23:31.100 --> 02:23:36.620]  ebooklet about the most amazing discovery of our time is crucial the booklet is about an amazing
[02:23:36.620 --> 02:23:41.900]  fruit from southeast asia they call mangosteen it's a centuries-old medicinal fruit whose time
[02:23:41.900 --> 02:23:47.820]  has come and it has amassed 40 years of published research we have information and testimonials from
[02:23:47.820 --> 02:23:52.140]  all over the world about the health potential of this amazing fruit the powerful botanical
[02:23:52.140 --> 02:23:56.860]  has contributed to the well-being of millions of people the world over with health concerns just
[02:23:56.860 --> 02:24:02.460]  like yours you can have this 22-page ebooklet absolutely free we'll also offer you a website
[02:24:02.460 --> 02:24:06.860]  with links to actual testimonials and product information could this fruit help you in your
[02:24:06.860 --> 02:24:12.540]  quest for total health find out why mangosteen is known as the queen of all fruits and why it's fast
[02:24:12.540 --> 02:24:17.900]  becoming the best-selling wellness product ever brought to the market your health is in your hands
[02:24:17.900 --> 02:24:25.980]  do something about it today call 800-658-0597 again that's 800-658-0597
[02:24:28.300 --> 02:24:35.020]  crashing through the lies and disinformation it's alex jones only on the gcn radio network
[02:24:40.060 --> 02:24:45.020]  all right i just spent like 15 minutes with that caller and commenting on what he said
[02:24:45.020 --> 02:24:51.500]  let's try to hurry through more calls here let's go ahead and talk to richard in texas
[02:24:51.500 --> 02:24:59.740]  then ken lori many others uh go ahead you're on the air hey alex um just uh wanted to comment
[02:24:59.740 --> 02:25:04.460]  on some things you know down here in wimberley it seems we've got no honeybees that i've seen
[02:25:04.460 --> 02:25:09.260]  it all yet this year i've not even seen any lost or hornets i don't know if there's a tie-in with
[02:25:09.260 --> 02:25:17.500]  that but uh none of those around i read today on the uh rent site about a permit for livermore
[02:25:17.500 --> 02:25:24.940]  labs to blow up 450 pounds of depleted uranium in the san joaquin valley and my point is i guess
[02:25:24.940 --> 02:25:29.740]  with all this genetic stuff going on and the radiation poisoning and all the other poisonings
[02:25:29.740 --> 02:25:36.540]  that we've got uh in our uh you know world out there now even if we're successful on 9 11 here
[02:25:36.540 --> 02:25:42.540]  before too long it sure is going to take a lot of additional education and additional undoing
[02:25:42.540 --> 02:25:48.940]  if even it can be undone to try to correct what's been done already well humans in life have lived
[02:25:48.940 --> 02:25:54.540]  in a in a vat of radiation forever and the radiation is a problem is poisonous and toxic
[02:25:54.540 --> 02:26:01.900]  and radioactive but frankly from the studies i've seen and what i've looked at here genetically
[02:26:01.900 --> 02:26:08.060]  modifying major food crops that then infest all the other similar strains like basically all
[02:26:08.060 --> 02:26:12.940]  corn's now been infected every major strain on earth is found to have this in it and you know
[02:26:12.940 --> 02:26:18.700]  different strains have higher levels of it with live pesticide we have an elite that that grows
[02:26:18.700 --> 02:26:22.540]  corn that kills bugs and then we just eat it we want to roll the honeybees are dying because
[02:26:22.540 --> 02:26:26.220]  they're eating the pollen and that's just one of these they're they're putting pesticides in most
[02:26:26.220 --> 02:26:31.100]  of the food crops now because even you don't have to spray with pesticides this is all these
[02:26:31.100 --> 02:26:36.700]  bastards avoid it you know avoid ingesting this stuff themselves literally uh literally senator
[02:26:36.700 --> 02:26:43.740]  rockefeller admittedly has his own farms and has a whole chain uh to bring him and his family
[02:26:43.740 --> 02:26:49.500]  nothing but fresh food he cooked himself and they bring containers of of food and a chef everywhere
[02:26:49.500 --> 02:26:55.020]  he goes david rockefeller is the same uh the queen of the netherlands the queen of england i just
[02:26:55.020 --> 02:27:00.220]  watched like a two-hour documentary for research on uh the house of winsor and on uh on prince
[02:27:00.220 --> 02:27:05.500]  philip was just on one particular palace i was actually bucking him a couple others i forget the
[02:27:05.500 --> 02:27:11.180]  point is is it was all about prince philip and that's all he has his own farms on his own palace
[02:27:11.180 --> 02:27:17.420]  that's all he eats uh his own meat everything it's all specially certified now they they love
[02:27:18.700 --> 02:27:24.060]  multiple times filter all their water they haul it with them everywhere they go this is their sick
[02:27:24.060 --> 02:27:29.100]  eugenics operation against us they've done all this by design these people are the scum of the
[02:27:29.100 --> 02:27:35.180]  earth well i'm sure he wants to avoid that virus he dreams he could be well that's the thing uh
[02:27:35.180 --> 02:27:39.820]  listen here's an example prince burnhard had an operation in south africa supposedly and then in
[02:27:39.820 --> 02:27:44.940]  zimbabwe to kill all the elephant poachers but it turned out he his people were actually running the
[02:27:44.940 --> 02:27:51.420]  elephant poaching op and uh and involved in trying to support you know different programs down there
[02:27:51.420 --> 02:27:56.860]  it's always the opposite of what they say these people are i mean i just keep saying they're just
[02:27:57.020 --> 02:28:02.780]  they're psychopaths their religion though is being control freaks and not letting us have good lives
[02:28:02.780 --> 02:28:08.620]  and killing us and devil worship and uh pedophile and all the rest of that sinister just unbelievable
[02:28:08.620 --> 02:28:13.580]  stuff these people are literally hellions they are right out of the gates of hell thank you
[02:28:14.140 --> 02:28:18.540]  bye uh let's talk to rory in michigan rory thanks for holding her on the air
[02:28:20.140 --> 02:28:25.580]  hello alex yes thanks for taking my call appreciate it i live in grabbert michigan
[02:28:25.580 --> 02:28:31.660]  and there was an article in the ground was trust um william s cohen former u.s secretary of defense
[02:28:31.660 --> 02:28:37.900]  under clinton i made some comments at a 58th anniversary dinner of the world affairs council
[02:28:37.900 --> 02:28:43.820]  western michigan and he made some comments on 9 11 hurricane katrina response on the page triad act
[02:28:43.820 --> 02:28:51.900]  and on nuclear proliferation on 9 11 his comments were we got hit because we got lazy and we dropped
[02:28:52.220 --> 02:28:59.100]  guard that is crap the next thing on hurricane katrina response the chain of command was broken
[02:28:59.100 --> 02:29:03.660]  we didn't know who was in charge or wouldn't that be the president of the united states
[02:29:04.380 --> 02:29:10.220]  on the patriarch technology is racing way ahead of us we haven't thought about what it's going
[02:29:10.220 --> 02:29:15.820]  to do to our liberties we are going with terrifying velocity into this new world order
[02:29:16.460 --> 02:29:23.420]  a nuclear proliferation he states there will be some nuclear explosion that takes place
[02:29:23.420 --> 02:29:30.300]  in some country and there will be no fingerprints and the world has become much
[02:29:30.300 --> 02:29:39.820]  unsafe place to be isn't that awful and they carry out attacks to create fear to stampede
[02:29:39.820 --> 02:29:45.900]  populations we must terminate the fear people should be afraid of being afraid people
[02:29:47.100 --> 02:29:50.940]  who are really concerned and really want to survive they want to defend liberty
[02:29:51.580 --> 02:29:55.260]  but it's about survival now must get control of themselves
[02:29:56.940 --> 02:30:02.380]  must take action and realize that the only course is fighting these people
[02:30:02.380 --> 02:30:06.380]  thank you for the call you're a great caller i'm sorry we're low on time we got the p-neck
[02:30:06.380 --> 02:30:10.940]  men popping in tell us about an event this weekend and more your calls and more news stay with me
[02:30:17.660 --> 02:30:24.380]  we're on the march the empire's on the run alex jones and the gcn radio network
[02:30:29.180 --> 02:30:33.020]  hi i'm george riley and many of you know that for years i was a cardiovascular heart transplant
[02:30:33.020 --> 02:30:36.860]  nurse since that time i've educated myself on the importance of preventative care
[02:30:36.860 --> 02:30:40.620]  it all begins with providing your heart and vascular system with building blocks for good
[02:30:40.620 --> 02:30:45.820]  health straus heart drops is the original formula that was copied by others but never duplicated
[02:30:45.820 --> 02:30:49.660]  straus heart drops were developed by a master herbalist jim straus after he suffered a heart
[02:30:49.660 --> 02:30:55.020]  attack in 1979 his doctor said he would only survive if he had heart bypass surgery and jim
[02:30:55.020 --> 02:30:59.020]  said no he developed straus heart drops the formula that has been copied by others but
[02:30:59.020 --> 02:31:04.700]  never been surpassed get the original straus heart drops four ounce bottle for only 79.99
[02:31:04.700 --> 02:31:13.020]  call the power hour at 877-817-9829 877-817-9829 you've probably heard about the other products
[02:31:13.020 --> 02:31:17.100]  that have tried to copy the straus formula well get the original straus heart drops by calling
[02:31:17.100 --> 02:31:26.620]  877-817-9829 that's 877-817-9829 now you can really do your heart right with straus heart drops
[02:31:27.420 --> 02:31:32.940]  the disciples asked jesus in matthew 24 what shall be the signs of thy coming and the end of the
[02:31:32.940 --> 02:31:37.980]  world you shall hear of wars and rumors of wars for nation shall rise against nation and kingdom
[02:31:37.980 --> 02:31:43.020]  against kingdom and there shall be famines disease and earthquakes in many places we are living in
[02:31:43.020 --> 02:31:47.100]  this time of earth's history many people are trying to understand the climactic world events
[02:31:47.100 --> 02:31:52.860]  in light of human wisdom but without the wisdom of god this is impossible second peter says we have
[02:31:52.860 --> 02:31:58.220]  a more sure word of prophecy and you do well if you take heed but first know this that no prophecy
[02:31:58.220 --> 02:32:02.940]  of the scripture is of any private interpretation the bible says would like you to receive this new
[02:32:02.940 --> 02:32:08.300]  offer packet b the unholy alliance these materials document the global leaders political and
[02:32:08.300 --> 02:32:12.940]  religious behind the scenes you will receive information regarding america and prophecy
[02:32:12.940 --> 02:32:17.820]  tyrants and wars the new world order and much more as always these materials are shipped to
[02:32:17.820 --> 02:32:27.100]  you with no charge please call 1-888-211-1715 that's 1-888-211-1715 and ask for packet b
[02:32:28.380 --> 02:32:33.740]  people who use cardivite know about the pollutants in our body and want them out for over five years
[02:32:33.740 --> 02:32:39.260]  cardivite has proven itself time tested here's dr mattson a naturopathic doctor's thoughts on
[02:32:39.260 --> 02:32:44.300]  cardivite in our mind there isn't such a great big mystery to disease anymore this basic tenet
[02:32:44.300 --> 02:32:47.740]  of yeast in the gut and metals and the liver covers at least seven eighty percent of the
[02:32:47.740 --> 02:32:51.900]  diseases that we see when we do our program you know in herbal formulas like cardivite and you
[02:32:51.900 --> 02:32:57.340]  see someone who could barely walk up a hill now going for regular jobs a few months later we know
[02:32:57.340 --> 02:33:01.820]  we're doing something right it's a well thought out formula i mean the idea of it working on
[02:33:01.820 --> 02:33:07.020]  yeast and metals both at the same time and liver function is dead on you'll find i think that it'll
[02:33:07.020 --> 02:33:11.340]  work more than just on on heart problems and circulation problems it'll work on other problems
[02:33:11.820 --> 02:33:22.140]  for more information call 1-877-928-8822 or visit our website at www.heartdrop.com
[02:33:22.140 --> 02:33:37.180]  that toll-free number again 1-877-928-88
[02:33:41.340 --> 02:33:44.380]  senior like to catch bandage
[02:34:00.940 --> 02:34:02.300]  you know we come as a man
[02:34:11.420 --> 02:34:24.380]  is
[02:34:36.540 --> 02:34:38.380]  well first he's in the background
[02:34:42.140 --> 02:34:45.660]  both eyes are looking like they're on a rabbit hunt
[02:35:08.700 --> 02:35:10.380]  welcome back ladies and gentlemen
[02:35:11.980 --> 02:35:17.580]  well a known criminal has called for rosie to be fired after imus we told you that was coming
[02:35:17.580 --> 02:35:22.780]  that they would nexus those in this imus thing well i'm going to comment on imus and rosie
[02:35:22.780 --> 02:35:26.460]  here i got a bunch of other really in serious news but i got loaded phone lines i want to get
[02:35:26.460 --> 02:35:33.420]  everybody but there is a big 9-11 event coming up this weekend it'll uh take about 550 people
[02:35:33.420 --> 02:35:37.740]  in the audience at ut they have another room they'll have other presentations going on that
[02:35:37.740 --> 02:35:43.180]  holds about 250 and uh so come on down i think you're going to get a chance to get in
[02:35:44.780 --> 02:35:49.500]  uh and it starts what tomorrow at 11 and then it's also on sunday professor stephen
[02:35:49.500 --> 02:35:55.100]  jones will be speaking tomorrow i'll be speaking tomorrow evening as well uh we've got daniel
[02:35:55.100 --> 02:36:00.780]  abramson the genesis host is going to be there uh we've got uh just a bunch of other great people
[02:36:00.780 --> 02:36:05.180]  they're going to be in attendance and i'm also going to be part of a roundtable discussion
[02:36:05.180 --> 02:36:13.020]  the next day the following day um there uh on a sunday but i've got a scary away at like three
[02:36:13.020 --> 02:36:17.740]  o'clock it goes from one to five around table i've got a scary off to oh bob bowell is going to be
[02:36:17.740 --> 02:36:23.500]  there i've got a scary off to do my radio show from four to six p.m and then they're going to
[02:36:23.500 --> 02:36:27.740]  have a march and i plan to have a matt dayton is on the line with us now the march starts at
[02:36:27.740 --> 02:36:31.180]  5 30 but as they're marching to where they're going i want to have them on the cell phone to
[02:36:31.180 --> 02:36:36.780]  give the radio show uh but uh folks now they put it out at first just to fly the people here and
[02:36:36.780 --> 02:36:41.020]  stuff that you could uh you know reserve with a donation you can just donate there if you want
[02:36:41.020 --> 02:36:45.740]  to reserve it it doesn't matter there's only reserved about 100 seats uh but when you watch
[02:36:45.740 --> 02:36:50.700]  it's going to be packed it might be smart to reserve uh but regardless it is a free event
[02:36:50.700 --> 02:36:55.820]  that's the biggest room they could get uh matt dayton uh from the uh project for new american
[02:36:55.820 --> 02:37:01.020]  citizens uh they're at ut that's done so much good work uh tell folks a little bit more about
[02:37:01.020 --> 02:37:04.620]  the event the websites and where it's going to be held and how people can come to it
[02:37:05.660 --> 02:37:12.940]  well uh thanks for having me on alex and um yeah the event is called uh rebuilding america census
[02:37:12.940 --> 02:37:20.380]  exposing false flag terrorism to prevent a new 9 11 so basically the conference is um on the
[02:37:20.380 --> 02:37:25.500]  historical present and future uses of um state-sponsored and false flag terrorism
[02:37:26.460 --> 02:37:33.260]  so we'll be having you webster tarpley um stephen jones bob bowman and uh chris emory and
[02:37:33.260 --> 02:37:40.300]  um dan abramson and maybe maybe a few others but um you know just trying to expose this idea so if
[02:37:40.300 --> 02:37:46.220]  there is another attack that you know we will have been trying to expose it so when when it does
[02:37:46.220 --> 02:37:50.940]  happen if if something does happen another pretext then um you know people won't people
[02:37:50.940 --> 02:37:57.900]  won't react the same way they did with 9 11. um so the event you know the event starts tomorrow at 11
[02:37:57.900 --> 02:38:05.740]  a.m um at the university of texas um in room burdine 106 and all the details are on our website
[02:38:05.740 --> 02:38:16.060]  at pnaccitizen.org um that's pnaccitizen.org and we're reserving rooms online online you just email
[02:38:16.060 --> 02:38:23.500]  us with a reservation in the um and the subject line um we also have we have parking information
[02:38:23.500 --> 02:38:33.740]  and everything you need to know on there um what else um it's it's it's going to be hopefully
[02:38:34.140 --> 02:38:40.220]  pretty awesome um you know we're we're expecting we're expecting a good crowd um
[02:38:40.860 --> 02:38:48.060]  you know then we got the protest coming up uh at five on sunday so and tell folks where that's
[02:38:48.060 --> 02:38:51.660]  gonna i mean even people can't get in the meeting the next two days but i'm sure most will be able
[02:38:51.660 --> 02:38:55.980]  to uh but even if you can't we're also going to videotape the conference and put it up on
[02:38:55.980 --> 02:39:02.540]  prison planet tv for the uh folks there but uh matt uh breaking this down for people where if
[02:39:02.540 --> 02:39:06.620]  they just want to go to the protest would they meet up for that where's that going okay yeah
[02:39:06.620 --> 02:39:11.740]  just to go it's basically at the ut tower so if you know where the main ut tower is that's where
[02:39:11.740 --> 02:39:17.260]  it'll be so if that's it's called the main mall which is yeah the tower of mordor the tower of
[02:39:17.260 --> 02:39:22.620]  death there right exactly so that's that's where it'll be it will be right in front of it um you
[02:39:22.620 --> 02:39:31.740]  know we're going to be having uh george humphrey's uh jack blood and webster tarpy speaking so that
[02:39:31.740 --> 02:39:37.020]  should be pretty awesome i mean it's called it's called protest the empire so we're we're
[02:39:37.020 --> 02:39:43.100]  basically just protesting um you know everything it's all encompassing as far as the attacks of
[02:39:43.100 --> 02:39:47.420]  9 11 uh the devastation of our constitution the wars in the middle east the use of torture
[02:39:47.980 --> 02:39:55.580]  the coming war with iran um everything so you know if you i think most of your listeners understand
[02:39:55.580 --> 02:40:00.220]  understand the severity of uh certain times we live in so if you can make it out that would be
[02:40:00.220 --> 02:40:06.620]  great absolutely and again so it starts at five then i definitely at least for several check-ins
[02:40:06.620 --> 02:40:11.340]  during that demonstration want to be able to tune in and hear a little bit of the speeches and then
[02:40:11.340 --> 02:40:16.540]  get a report from you uh there while we're uh live with the new sunday syndicated show that we're
[02:40:16.540 --> 02:40:21.660]  doing all right matt well thank you so much for coming on with us and i'll see you uh there
[02:40:21.660 --> 02:40:27.260]  tomorrow at the event and uh thanks a lot for doing this oh also i i wanted i wanted to mention
[02:40:27.260 --> 02:40:32.380]  that we the press we're having a press conference tonight at seven so um i don't know if you were
[02:40:32.380 --> 02:40:37.580]  going to be able to make that but that that will be here at uh brave new books that's 1904 guadalupe
[02:40:37.580 --> 02:40:43.260]  so i am going to pop in i'm going to pop in from i've got to come back and video edit all night and
[02:40:43.260 --> 02:40:49.260]  before that i've got to see my family uh but uh i'm going to race over there and uh i will uh
[02:40:49.820 --> 02:40:55.020]  i'll i'll be there for that press conference and i folks call it austin media and tell them they
[02:40:55.020 --> 02:40:59.420]  need to be there news eight needs to be there and uh you know call the statesmen and call everybody
[02:40:59.420 --> 02:41:04.860]  and say this is real news we've got all these real experts the physicist and and uh bob bowman
[02:41:04.860 --> 02:41:10.540]  and former head of star wars and so many people there exposing us as an inside job you need to
[02:41:10.540 --> 02:41:16.860]  show up yes please please all your uh listen it up there try and get the media here because
[02:41:16.860 --> 02:41:21.980]  that's ultimately you know what we need so uh we would really appreciate it and just try and put
[02:41:21.980 --> 02:41:26.860]  pressure on on these local uh news outlets fantastic my friend good to hear from you
[02:41:26.860 --> 02:41:30.140]  all right thank you so much alex you bet all right i'm gonna do this i'm gonna take your
[02:41:30.140 --> 02:41:35.660]  calls i'm gonna get everybody uh the six people can hold on the system and i'm just gonna blast
[02:41:35.660 --> 02:41:39.740]  three but i gotta give each person a minute because i gotta spend the last 10 minutes or so
[02:41:39.740 --> 02:41:47.180]  or more covering news um i'll get this phone list confused here who would be up first ken in new york
[02:41:47.180 --> 02:41:54.140]  ken you're on the air go ahead good afternoon alex hi ken uh not this sunday but the sunday after
[02:41:54.700 --> 02:42:00.060]  april 22nd there's going to be the big anti-anxiety rally in front of the white house
[02:42:00.780 --> 02:42:04.460]  followed up by the hold their feet to the fire talk radio rally
[02:42:05.020 --> 02:42:10.700]  are you going to participate in that in any capacity well i can't participate in everything
[02:42:10.700 --> 02:42:17.660]  uh you know um but uh i mean i'll try i mean i'm participating right now i'm on the radio
[02:42:17.660 --> 02:42:23.820]  you're on the air plugging it all right uh the new york daily news reported the news by the way
[02:42:23.820 --> 02:42:29.820]  is another neo-con warmonger newspaper owned by mortimer zuckerman who also owns u.s news
[02:42:29.820 --> 02:42:35.740]  and world report and they reported that the washington post reported recently that rupert
[02:42:35.820 --> 02:42:44.700]  murdoch claims that michael bloomberg is his man for president and i really find that kind of
[02:42:44.700 --> 02:42:49.740]  interesting and not it doesn't matter whether it's that mobster his father was an admitted mob boss
[02:42:49.740 --> 02:42:55.900]  juliani and people from new york email mingle so what you know so you get things done and oh yeah
[02:42:55.900 --> 02:42:59.500]  i can't bribe him can't control it that's really a great idea to have a mobster because they're all
[02:42:59.500 --> 02:43:05.580]  mob the bushes the clintons uh it doesn't nip romney uh just all new world order trash barack
[02:43:05.580 --> 02:43:10.140]  obama i mean people are asking what i think of these people they're all new world order period
[02:43:10.140 --> 02:43:13.500]  that's why they're being promoted you notice the media really tries to black out ron paul
[02:43:14.220 --> 02:43:20.220]  right bailey tancredo too like they don't even exist but what's interesting most well let's be
[02:43:20.220 --> 02:43:24.300]  clear tom tancredo doesn't hold a candle he hadn't been in the same league as ron paul
[02:43:24.940 --> 02:43:29.100]  okay let's be clear about that and i know tom he's been on a few times
[02:43:29.100 --> 02:43:32.460]  and i mean he's better than most of them and i don't think he's an evil new world order
[02:43:32.460 --> 02:43:36.140]  but he has bombed the snot out of the arabs you know he is wrong on that
[02:43:36.140 --> 02:43:40.860]  that's why i probably um won't support him for president and i will why i would support paul
[02:43:41.500 --> 02:43:47.500]  but bloomberg is thinking about an independent run and he is denied it up until this time and
[02:43:47.500 --> 02:43:52.940]  then when i read that in the daily news about murdoch saying that this is his man as an
[02:43:52.940 --> 02:43:59.020]  independent well we know murdoch's man isn't a man murdoch's man is a woman it's hillary clinton
[02:43:59.500 --> 02:44:05.580]  fundraisers for and roger ailes is advising her campaign fun russell embossed papa i appreciate
[02:44:05.580 --> 02:44:10.940]  your call my friend okay so yeah they do have bloomberg run it'll be a shock republican votes
[02:44:10.940 --> 02:44:16.780]  to ensure the princess wins and that that whore and that's what she is she's a new world war
[02:44:16.780 --> 02:44:22.620]  who sold out this country she'll end up being your president and god help us the reign of
[02:44:22.620 --> 02:44:27.740]  terror you think it's been bad so far and i will not vote for a republican against her i say bring
[02:44:27.740 --> 02:44:32.060]  the judgment on america i will not vote for some lesser of two evils because there is no such thing
[02:44:32.060 --> 02:44:38.620]  as lesser okay and believe me when she's president you'll try to tell republicans that she's
[02:44:38.620 --> 02:44:44.780]  republican control and they'll just laugh at you they're such scum yeah your whore limbaugh is
[02:44:44.780 --> 02:44:49.660]  behind her they're all in bed together uh the clinton's vacation with the bushes it's staged
[02:44:49.660 --> 02:44:55.580]  you fools i'm sorry to talk like that but man you're just idiots i'm talking about neo-con
[02:44:55.580 --> 02:45:00.060]  followers you don't know what you're doing you're stupid it's time for you to grow up and look into
[02:45:00.060 --> 02:45:06.780]  what we're saying don't you giggle you slack-jawed punks you go check into what i just said
[02:45:08.780 --> 02:45:13.580]  you know why do i talk as the country is gone already basically we've got a last ditch effort
[02:45:13.580 --> 02:45:18.220]  to try to salvage something and you're still running around getting conned and you too you
[02:45:18.220 --> 02:45:24.140]  dirt bag mainline liberals i don't you just i might slap somebody in the face so they come up
[02:45:24.140 --> 02:45:28.700]  to me on the street when hillary's running and go well she's better than you did not run me
[02:45:28.700 --> 02:45:32.140]  she's better than jeb she's better than gingrich they're all the same
[02:45:33.900 --> 02:45:37.340]  i mean i hate to be gross but it's like literally i'm not gonna say it
[02:45:38.540 --> 02:45:46.140]  i said it's like in latrine saying you know there's no difference it's the same latrine okay
[02:45:46.700 --> 02:45:49.500]  you're pointing at a latrine and going that one looks better than that one
[02:45:50.140 --> 02:45:54.620]  i'm not going to take part in any of it okay period do you understand me
[02:45:56.300 --> 02:45:58.300]  i'm freaked out folks stuff is not in good
[02:46:02.060 --> 02:46:08.540]  oh man what have i got myself into uh what are we all in i mean it's just it's just it's just
[02:46:08.540 --> 02:46:12.300]  hell on earth i see i said i'd hurry but that was one caller and five minutes is going by
[02:46:12.860 --> 02:46:16.220]  uh let's uh who's up next in order here i want to go these in order
[02:46:16.220 --> 02:46:21.740]  sebastian in new york go ahead quickly yeah alex i want to say you know thank you for everything
[02:46:21.740 --> 02:46:27.020]  you do uh heaven danielson john on today was a great great work i first heard him on lonelantern
[02:46:27.020 --> 02:46:32.860]  org uh when gary broke that story with him now you know something that you mentioned last week
[02:46:32.860 --> 02:46:38.380]  was that there was going to be a flood of of new people coming out this week yet we have yet to see
[02:46:38.380 --> 02:46:43.100]  that and i think that you know and tell me if i'm wrong that is not that is not what i said
[02:46:43.100 --> 02:46:49.020]  that is not what i said that is not shed you're probably going to see some people this week
[02:46:49.020 --> 02:46:56.780]  or next week what are they waiting for well uh let me see here they're now shifting all
[02:46:56.780 --> 02:47:00.460]  this i'm a stuff which i'm starting to think might have been a part of something large not
[02:47:00.460 --> 02:47:04.460]  that he was not that i was was part of it may have been probably not but that but that i i
[02:47:04.460 --> 02:47:10.220]  said two days ago i said you watch they're gonna go shift all this now onto rosie uh they've all
[02:47:10.220 --> 02:47:14.220]  been saying on the media that we need to start firing everybody now and now they're calling for
[02:47:14.220 --> 02:47:23.420]  rosie to be fired this is aol news after imus delay calls for rosie to be fired and this is
[02:47:23.420 --> 02:47:28.300]  fanning the flames of discontent sparked by imus controversy former congressman tom delay is making
[02:47:28.300 --> 02:47:33.500]  a plea to his fellow conservatives to get rosie o'donald fired for recent remarks she made you
[02:47:33.500 --> 02:47:37.980]  don't know what's going on behind the scenes with rosie do you i know a little bit okay and it isn't
[02:47:37.980 --> 02:47:43.660]  good okay do you think people maybe get threats do you think maybe their children get threatened
[02:47:43.660 --> 02:47:48.060]  do you think maybe their job gets threatened she's already had courage do you know what charlie sheen
[02:47:48.060 --> 02:47:53.660]  went through being called every dirty name in the book on tv and that was an rnc dirty trick by the
[02:47:53.660 --> 02:47:57.900]  way i happen to know the details but he didn't want he doesn't want himself to be defended
[02:47:57.900 --> 02:48:01.660]  okay so i appreciate your call and i understand you're saying what are they waiting for
[02:48:02.220 --> 02:48:07.900]  okay what are the people that haven't gone public waiting for you know this is scary stuff
[02:48:08.620 --> 02:48:11.660]  and they do need to come public uh but um
[02:48:15.340 --> 02:48:23.020]  oh it's just you know oh man and i kind of gave the whole thing away there because i wasn't
[02:48:23.020 --> 02:48:28.540]  thinking you know because i start talking about why isn't rosie done more uh and some other people
[02:48:28.540 --> 02:48:33.980]  which well just you know what why didn't kurt ronig go public about knowing 9 11's an inside job
[02:48:34.940 --> 02:48:40.460]  you know why was and then if somebody didn't want people to know his full opinion about it
[02:48:40.460 --> 02:48:45.900]  should i go on air and tell you or maybe that wasn't his opinion you know i i just don't want
[02:48:45.900 --> 02:48:49.820]  to betray people and i don't want to sit here i could sit here and list some really big names to
[02:48:49.820 --> 02:48:55.500]  you right now okay but the media will call them up and they'll probably deny it and they'll make
[02:48:55.500 --> 02:49:01.180]  even remember going public you know i can't sit here and burn people and i'm not going to do it
[02:49:01.180 --> 02:49:04.300]  and hey look in the mirror it's up to us to go public and get the word out
[02:49:05.340 --> 02:49:09.740]  okay let's go ahead and take another one here let's talk to trent in new york you're on the
[02:49:09.740 --> 02:49:15.500]  air go ahead hi alex uh i'm actually calling from houston um okay whatever i was told new
[02:49:15.500 --> 02:49:18.540]  york you're calling from the united states go ahead sir okay yeah i just want to bring up two
[02:49:18.540 --> 02:49:23.660]  quick points um the first one is something that i recently read about tommy franks discussing uh
[02:49:23.660 --> 02:49:28.140]  what he thinks is the worst thing that can happen to our country and what it is but let me see you
[02:49:28.140 --> 02:49:32.380]  don't expect him to come out and say martial law is great g we won he says oh it's so terrible
[02:49:32.380 --> 02:49:36.140]  the terrorists are probably going to attack and then the people are going to want a new form of
[02:49:36.140 --> 02:49:42.220]  government a military government oh it's too bad and that's exactly what he knows is is up you know
