[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[3:08:23.280 --> 3:08:26.280]  Yeah. It's part of Flat Ernie.
[3:08:26.280 --> 3:08:33.280]  And, yeah, we're all kind of coalescing there.
[3:08:33.280 --> 3:08:38.280]  We're all kind of, like, being together there.
[3:08:38.280 --> 3:08:41.280]  I'll check it out, brother. I'm going to jump the next caller. Thank you so much.
[3:08:41.280 --> 3:08:45.280]  All right. Let's go to another caller here. Let's talk to Joey in Alabama.
[3:08:45.280 --> 3:08:47.280]  Thanks for holding. Go ahead.
[3:08:47.280 --> 3:08:51.280]  Hey, Alex. I wanted to tell you really quick, I love your fish oil.
[3:08:51.280 --> 3:08:53.280]  I love your fish oil.
[3:08:53.280 --> 3:08:54.280]  Thank you.
[3:08:54.280 --> 3:08:58.280]  I love vitamins, all that. And your water filter. Really good.
[3:08:58.280 --> 3:09:06.280]  A lot of people are, like, I can understand why people are feeling really the despair in everything right now,
[3:09:06.280 --> 3:09:09.280]  because I mean, like, you know, they're killing us.
[3:09:09.280 --> 3:09:14.280]  Like you said, everybody's out for our throats, and I hate it.
[3:09:14.280 --> 3:09:18.280]  Well, that's it. I mean, we're all going through an incredibly traumatic thing.
[3:09:18.280 --> 3:09:21.280]  Half the people are like, nothing's happened, and we're watching it happen.
[3:09:21.280 --> 3:09:25.280]  And this is very traumatic. So I'm not up here all peaches and creaming either of you,
[3:09:25.280 --> 3:09:30.280]  but we got God at least. But yeah, can you believe that we're in the New World Order depopulation?
[3:09:30.280 --> 3:09:32.280]  I mean, we're in it, brother.
[3:09:32.280 --> 3:09:36.280]  That's exactly right. Christ is risen. He's risen from the dead.
[3:09:36.280 --> 3:09:40.280]  He will bestow life on all of us whenever judgment comes.
[3:09:40.280 --> 3:09:45.280]  Exactly. Don't fear. Here you can kill your body. Feel here you can kill the soul. Just be with Jesus.
[3:09:45.280 --> 3:09:50.280]  Do not despair. By all means, do not despair. There will be a victory in the end.
[3:09:50.280 --> 3:09:55.280]  But I just, man, I wanted to say more, but like...
[3:09:55.280 --> 3:09:57.280]  I'm going to hold you as long as you need to, brother. Listen to this.
[3:09:57.280 --> 3:10:00.280]  I've gone to some big churches lately that are reopened. They're not talking about this.
[3:10:00.280 --> 3:10:03.280]  The Bible's being fulfilled. World government's here.
[3:10:03.280 --> 3:10:06.280]  They're not saying a damn word because they're scared.
[3:10:06.280 --> 3:10:11.280]  I mean, this should be the biggest revival ever should be happening right now.
[3:10:11.280 --> 3:10:17.280]  World government, Mark of the Beast, casual society, forced injections, attack on the family.
[3:10:17.280 --> 3:10:20.280]  It's all happening now. It's all fulfilled.
[3:10:20.280 --> 3:10:25.280]  I wouldn't disagree with you there, but like, I don't want to say one church.
[3:10:25.280 --> 3:10:32.280]  Well, I mean, the Orthodox church, you know, that's the church that I've come to a lot.
[3:10:32.280 --> 3:10:37.280]  I have seen Orthodox pastors or priests out of Europe really saying,
[3:10:37.280 --> 3:10:42.280]  World government, Mark of the Beast, Satan, I have seen some of the biggest truth out of the Orthodox church.
[3:10:42.280 --> 3:10:45.280]  And I'm not, I don't even try to look for it. I just see it all over.
[3:10:45.280 --> 3:10:47.280]  The leaders of the Orthodox church are pretty hardcore.
[3:10:47.280 --> 3:10:53.280]  For sure. And I love Jay Dyer, too, who you've had as a guest on to your show before.
[3:10:53.280 --> 3:10:57.280]  And I love, I love, I love him. He's an Orthodox Christian.
[3:10:57.280 --> 3:11:01.280]  So tell me what's, what's going on with the Orthodox priests because they seem to know what's going on.
[3:11:01.280 --> 3:11:05.280]  Well, it's the church that Jesus Christ started.
[3:11:05.280 --> 3:11:14.280]  It's not like some church where Father Bruce would have started inside of like a pedal Roman Catholic.
[3:11:14.280 --> 3:11:25.280]  Branch or where some delusional guy who thinks he knows everything started his own cult inside of a swamp somewhere.
[3:11:25.280 --> 3:11:36.280]  We have the traditions, we have the oral teachings, we worship everything.
[3:11:36.280 --> 3:11:40.280]  Like everything is centered around us, especially as well.
[3:11:40.280 --> 3:11:45.280]  Like it's not like we even have to prove anything.
[3:11:45.280 --> 3:11:47.280]  I feel like it's...
[3:11:47.280 --> 3:11:50.280]  Well, listen, I believe in Jesus. And Jesus says he judges everybody's friends.
[3:11:50.280 --> 3:11:55.280]  All I know is I see the Orthodox church all over saying the Mark of the Beast is here.
[3:11:55.280 --> 3:11:58.280]  Say no to the microchip. Say no to the vaccine.
[3:11:58.280 --> 3:12:04.280]  And that's a, and then I see the other religions Christian faiths saying take, take, take the injection.
[3:12:04.280 --> 3:12:09.280]  So are there any Orthodox leaders though saying take the, take the vaccine?
[3:12:09.280 --> 3:12:14.280]  My priest said like take it. This is like really back early.
[3:12:14.280 --> 3:12:18.280]  He said to like take it if you wanted to.
[3:12:18.280 --> 3:12:22.280]  But he did say that like, you know, like, okay, the virus exists.
[3:12:22.280 --> 3:12:26.280]  And, you know, like, you know, this vaccine is here, vaccines work.
[3:12:26.280 --> 3:12:34.280]  But I'm not, he didn't, I'm sure he didn't know that this was like an mRNA vaccine that's designed to kill you and everything like that.
[3:12:34.280 --> 3:12:38.280]  I'm sure he didn't know. If he would have known, he probably wouldn't have told anybody.
[3:12:38.280 --> 3:12:41.280]  The other churches are preaching it as God's healing power.
[3:12:41.280 --> 3:12:46.280]  And the new communion is taking the Chai Kham Gates devil injection.
[3:12:46.280 --> 3:12:51.280]  So it's just crazy. Joey, thank you so much. More calls right ahead.
[3:12:51.280 --> 3:12:57.280]  When I get up here and tell you that most of our best selling products have been sold out for three months, four months, six months, seven months.
[3:12:57.280 --> 3:12:59.280]  It's not a gimmick to make you buy the products.
[3:12:59.280 --> 3:13:07.280]  I'm really genuinely freaked out because listeners were buying enough of our great supplements and books and films and t-shirts to fund the operation
[3:13:07.280 --> 3:13:10.280]  because they're great products that we're coming back and getting more and thank you for the support.
[3:13:10.280 --> 3:13:17.280]  But whether it's DNA Force Plus or whether it's pollen block or whether it's supermobiality or vasobites,
[3:13:17.280 --> 3:13:24.280]  because of the ongoing lockdowns around the world, we're not going to lower the quality of our products and so we just can't offer them.
[3:13:24.280 --> 3:13:32.280]  But thank God it looks like some good things are starting to happen right now because suddenly a lot of products have been sold out for a long time are back in stock.
[3:13:32.280 --> 3:13:35.280]  And one of them is pollen block.
[3:13:35.280 --> 3:13:40.280]  It takes a long time to get into pollen block, but it's for seasonal discomfort, stuff like allergies.
[3:13:40.280 --> 3:13:43.280]  It's from France. It's a special proprietary system.
[3:13:43.280 --> 3:13:51.280]  This is the highest quality back in stock, infowarstore.com, store-wide free shipping, and double-patriot points. Check it out.
[3:13:51.280 --> 3:13:58.280]  I've been on there 27 years and we've gone through a lot of criticism, a lot of attacks, but also a lot of amazing support.
[3:13:58.280 --> 3:14:07.280]  And so that's why I always take time out to thank you for keeping us on there because without you, without the crew, without our sponsors, without our affiliates, without everybody,
[3:14:07.280 --> 3:14:10.280]  we would not be on here and the world would be a different place.
[3:14:10.280 --> 3:14:13.280]  So it's not a power trip when I realized the great effect we've had.
[3:14:13.280 --> 3:14:24.280]  It's really counting the cost and realizing that if we weren't here, if you hadn't supported us, the whole planet would be in a much worse position with the globalist.
[3:14:24.280 --> 3:14:31.280]  Instead, a lot of really, really positive things are happening and so many of the corrupt things the globalists have been involved in are now coming out in the open.
[3:14:31.280 --> 3:14:38.280]  And so infowar's credibility is higher than it's ever been, but the enemy is trying to shut us down with so many different attacks.
[3:14:38.280 --> 3:14:41.280]  We've had to build our own infrastructure to stay on air. It's so expensive.
[3:14:41.280 --> 3:14:46.280]  So please get great products and keep infowar on the air at the same time at infowarstore.com.
[3:14:46.280 --> 3:14:54.280]  In fact, for the week of Memorial Day, we have Freight Free Shipping and Double Patriot Points.
[3:14:54.280 --> 3:15:02.280]  You're listening to the Alex Jones Show.
[3:15:02.280 --> 3:15:18.280]  Constitutional lawyer, big criminal lawyer, big First Amendment lawyer.
[3:15:18.280 --> 3:15:22.280]  Arm Paterson scheduled to come in the next two segments of the years.
[3:15:22.280 --> 3:15:29.280]  He's got some big breaking news that will break here in just a moment because he knows these guys and gets that stuff first.
[3:15:29.280 --> 3:15:32.280]  So look for that here in just a moment.
[3:15:32.280 --> 3:15:37.280]  And like I said, I'll be back tomorrow with my regular show and then I'm going to do a Saturday show that's three hours long.
[3:15:37.280 --> 3:15:42.280]  There's a 6pm. It'll be taped to air. This is live. It'll be taped to air.
[3:15:42.280 --> 3:15:45.280]  I don't know why that matters. I'm just telling you, it's like it's bad if it's not live.
[3:15:45.280 --> 3:15:49.280]  So I tell you, it's even better if it's not live because I can add more stuff to it.
[3:15:49.280 --> 3:15:57.280]  And then Sunday, 4 to 6pm, I'll be live and I'm going to hit the plan to not just put implantable microchips in the vaccines,
[3:15:57.280 --> 3:16:06.280]  but I'm going to put it in a nanotech that grows that they can then mind control you with in their own admissions and patents and the one in Guardian.
[3:16:06.280 --> 3:16:12.280]  There's like hundreds of articles we've already found on this and patents and admissions and gates is involved.
[3:16:12.280 --> 3:16:15.280]  It's just they're assaulting us with it and thinking it'll be such a crime.
[3:16:15.280 --> 3:16:19.280]  They'll never go. They'll never get in trouble because, you know, who's going to prosecute him.
[3:16:19.280 --> 3:16:24.280]  It's just it's such a huge crime. How do judges even understand this? How's the FBI even understand this?
[3:16:24.280 --> 3:16:29.280]  How do I understand this? I mean, I study this all the time and I'm just blown away by how fast they're moving.
[3:16:29.280 --> 3:16:33.280]  The Blitzkrieg attack, how insane it is.
[3:16:33.280 --> 3:16:43.280]  It's like in the body snatchers, the 1950s one, where the doctor finds out they're putting the pods next and absorbing the other person and killing them.
[3:16:43.280 --> 3:16:50.280]  And then it's these mimics and he finally gets to the highway and there's a military truck and he jumps up and says, we're in danger.
[3:16:50.280 --> 3:16:55.280]  They're in danger and he sees the military truck has a bunch of pods in the back and they've been taken over.
[3:16:55.280 --> 3:17:01.280]  Then he runs the next town and talks to the police chief and folks and they believe him and then they fight back, but you don't know how it ended.
[3:17:01.280 --> 3:17:05.280]  I mean, this isn't aliens, but the globalists might as well be aliens.
[3:17:05.280 --> 3:17:14.280]  I'm going to explain this again. When the iron horse came out west and they tried to build on the big railroads out of Omaha, Nebraska,
[3:17:14.280 --> 3:17:19.280]  a lot of those Native Americans had never seen white men before.
[3:17:19.280 --> 3:17:30.280]  And by the time they were seeing them, they were in giant iron horses that were as alien as a flying saucer from Mars landing.
[3:17:30.280 --> 3:17:32.280]  Okay.
[3:17:32.280 --> 3:17:35.280]  And so that's how this operates.
[3:17:35.280 --> 3:17:46.280]  And so the globalists are hitting us with a societal, cultural, technological takeover that's so advanced that they just believe we'll be stunned by it and then it'll be over and they're going to win and take over.
[3:17:46.280 --> 3:17:51.280]  And then the world they're building that advanced is a post human world where we merge with machines.
[3:17:51.280 --> 3:17:55.280]  And Paul Schwab says, we will change your very DNA.
[3:17:55.280 --> 3:17:58.280]  We will overwrite your body and make you merge with machines.
[3:17:58.280 --> 3:18:08.280]  Well, that's an injection that grows electromagnetic cones in your body and telling boys, early girls and GMO and all of this.
[3:18:08.280 --> 3:18:13.280]  And you realize this is their assault.
[3:18:13.280 --> 3:18:17.280]  I mean, when Hitler started invading Europe, it took them like a month to figure out what's happening.
[3:18:17.280 --> 3:18:19.280]  Like, why is he invading?
[3:18:19.280 --> 3:18:21.280]  He just attacked Czechoslovakia.
[3:18:21.280 --> 3:18:22.280]  He just attacked France.
[3:18:22.280 --> 3:18:30.280]  He just went into, it's like, you got to finally figure out you got hit.
[3:18:30.280 --> 3:18:35.280]  And we're being hit.
[3:18:35.280 --> 3:18:42.280]  And they even admit they're hitting us.
[3:18:42.280 --> 3:18:46.280]  And now Italian scientists have confirmed the injection sites are magnetic.
[3:18:46.280 --> 3:18:51.280]  And then, oh my God, people type in vaccines magnetic and it's everything they're obsessed with.
[3:18:51.280 --> 3:19:01.280]  It's the attack.
[3:19:01.280 --> 3:19:02.280]  This is the main assault, folks.
[3:19:02.280 --> 3:19:03.280]  It's begun.
[3:19:03.280 --> 3:19:08.280]  And so the good news is, yeah, at least people are circling Fauci and Gates.
[3:19:08.280 --> 3:19:17.280]  At least people are figuring out that they released the trigger to then what comes as the real attack, the injection.
[3:19:17.280 --> 3:19:20.280]  Now you see how stupid a race war is when we're all under attack.
[3:19:20.280 --> 3:19:22.280]  How dumb it is.
[3:19:22.280 --> 3:19:23.280]  Let's go to the next caller.
[3:19:23.280 --> 3:19:24.280]  Andy in Washington.
[3:19:24.280 --> 3:19:25.280]  Thanks for holding her on the ear.
[3:19:25.280 --> 3:19:27.280]  Go ahead.
[3:19:27.280 --> 3:19:30.280]  Alex, thank you for letting me on your show.
[3:19:30.280 --> 3:19:31.280]  Yes, sir.
[3:19:31.280 --> 3:19:37.280]  I just want to tell you, man, look into the camera because from me to you, never give up.
[3:19:37.280 --> 3:19:38.280]  Because I'm not giving up.
[3:19:38.280 --> 3:19:40.280]  I have been called.
[3:19:40.280 --> 3:19:43.280]  And I can't explain to you what has happened.
[3:19:43.280 --> 3:19:45.280]  But I'll just, to me, but I'll give you this information.
[3:19:45.280 --> 3:19:52.280]  There's a giant of life getting when a humanities under this level attack, a six sense transmission goes out through all of us to do something in an activation.
[3:19:52.280 --> 3:19:53.280]  The sleeper is walking.
[3:19:53.280 --> 3:19:55.280]  Listen, I'm the opposite of giving up.
[3:19:55.280 --> 3:19:58.280]  It's not that I physically want to go do stuff.
[3:19:58.280 --> 3:19:59.280]  You understand?
[3:19:59.280 --> 3:20:00.280]  With me, it's the opposite of giving up.
[3:20:00.280 --> 3:20:01.280]  I'm so pissed.
[3:20:01.280 --> 3:20:02.280]  I can barely do a show.
[3:20:02.280 --> 3:20:09.280]  I'm so pissed at all the white people and black people and everybody else fighting with each other over what color we are.
[3:20:09.280 --> 3:20:13.280]  Well, the new rule orders taken over and killing us.
[3:20:13.280 --> 3:20:14.280]  Absolutely.
[3:20:14.280 --> 3:20:16.280]  And we can never back down.
[3:20:16.280 --> 3:20:17.280]  We are tired.
[3:20:17.280 --> 3:20:23.280]  We need to band together and here I will give you my information so we can, we can get it out there.
[3:20:23.280 --> 3:20:27.280]  So I found a humanity 2.0.
[3:20:27.280 --> 3:20:30.280]  It's all over YouTube, all over rumble.
[3:20:30.280 --> 3:20:44.280]  And what it is, it's a broad spectrum gathering of luminaries and stakeholders at the Vatican to explore specific implements into the human flourishing and to discuss courses of action aimed at overcoming them.
[3:20:44.280 --> 3:20:48.280]  The Vatican, I will say it onto the show.
[3:20:48.280 --> 3:20:51.280]  I grew up with the Catholic.
[3:20:51.280 --> 3:20:54.280]  My son goes to a private Catholic school.
[3:20:54.280 --> 3:21:00.280]  I've never, I've always had a confliction with religion all my life.
[3:21:00.280 --> 3:21:05.280]  I will take on the Vatican church because this is pure evil.
[3:21:05.280 --> 3:21:09.280]  These people are, they're all combined together with gates.
[3:21:09.280 --> 3:21:14.280]  We don't blame Catholics, we don't blame Muslims, any of this.
[3:21:14.280 --> 3:21:18.280]  It's evil taking over all these major power organizations.
[3:21:18.280 --> 3:21:21.280]  And it's making us move right now.
[3:21:21.280 --> 3:21:22.280]  Right.
[3:21:22.280 --> 3:21:25.280]  And it's just upsetting to find out what's going on.
[3:21:25.280 --> 3:21:30.280]  But so, you know, we all need to choose some bubblegum and kick some ass.
[3:21:30.280 --> 3:21:31.280]  No, I agree.
[3:21:31.280 --> 3:21:36.280]  The Bible tells us they made a deal with a fallen creature, none of this world to enslave us.
[3:21:36.280 --> 3:21:40.280]  And God's going to come in if we do the right thing and then stay faithful and kick their ass in the end.
[3:21:40.280 --> 3:21:42.280]  But we've got to be faithful to the end.
[3:21:42.280 --> 3:21:43.280]  God bless you.
[3:21:43.280 --> 3:21:44.280]  Andy, I love you.
[3:21:44.280 --> 3:21:45.280]  Call me back.
[3:21:45.280 --> 3:21:46.280]  I'm going to take even more calls tomorrow.
[3:21:46.280 --> 3:21:47.280]  Probably the whole show.
[3:21:47.280 --> 3:21:50.280]  And then, like I said, I'm going to be broadcasting Saturday and Sunday.
[3:21:50.280 --> 3:21:51.280]  It's all coming up.
[3:21:51.280 --> 3:21:53.280]  I'm going to get to as many people as possible here.
[3:21:53.280 --> 3:21:56.280]  Kate in New Jersey.
[3:21:56.280 --> 3:21:59.280]  Go ahead.
[3:21:59.280 --> 3:22:08.280]  You mentioned the cloning of meat and I have seen that there are celebrities that clone themselves and sells meat.
[3:22:08.280 --> 3:22:10.280]  So there is a company that does that.
[3:22:10.280 --> 3:22:11.280]  Yes.
[3:22:11.280 --> 3:22:12.280]  It's a form of cannibalism.
[3:22:12.280 --> 3:22:13.280]  It's all satanic rituals.
[3:22:13.280 --> 3:22:14.280]  Yes.
[3:22:14.280 --> 3:22:15.280]  Yeah.
[3:22:15.280 --> 3:22:18.280]  So I called about this documentary that's on Amazon Prime.
[3:22:18.280 --> 3:22:22.280]  So it's called Confessions of a Man from 3036.
[3:22:22.280 --> 3:22:27.280]  He's a time traveler, apparently, but so he was actually found murdered.
[3:22:27.280 --> 3:22:33.280]  They couldn't ID him because his DNA didn't resonate with anything across the whole world.
[3:22:33.280 --> 3:22:36.280]  Like it was like not DNA that like from time basically.
[3:22:36.280 --> 3:22:42.280]  So anyway, when when they found the body, his left hand was missing because he actually had a chip in his hand.
[3:22:42.280 --> 3:22:46.280]  So I don't know if it's, you know, that time traveler like out of way and the government's trying to cover it up.
[3:22:46.280 --> 3:22:50.280]  But the news did run stories on it and then they buried it really quick.
[3:22:50.280 --> 3:22:57.280]  So just a quick overview of what the documentary is about.
[3:22:57.280 --> 3:22:59.280]  We he said that we are free.
[3:22:59.280 --> 3:23:03.280]  We are as free as you ever will be right now in history.
[3:23:03.280 --> 3:23:08.280]  He learned obviously this is the year 3036 that this is called the idiot era.
[3:23:08.280 --> 3:23:12.280]  So in the future, they refer to us as the idiot air.
[3:23:12.280 --> 3:23:18.280]  There's no more parents. So that's actually, you know, what's going on with them trying to get mother, father away from those terms.
[3:23:18.280 --> 3:23:22.280]  Actually, I see robot raise the baby, raise kids.
[3:23:22.280 --> 3:23:25.280]  So there's no such thing as with the parental relationship.
[3:23:25.280 --> 3:23:28.280]  They live in pods and they can't breathe air.
[3:23:28.280 --> 3:23:29.280]  So he had a mask on.
[3:23:29.280 --> 3:23:32.280]  I don't remember if it was a time of COVID or if it was prior COVID.
[3:23:32.280 --> 3:23:35.280]  That's the pros that we had a mockumentary deal.
[3:23:35.280 --> 3:23:36.280]  I get it.
[3:23:36.280 --> 3:23:37.280]  That's the projection.
[3:23:37.280 --> 3:23:38.280]  It's brave new worlds.
[3:23:38.280 --> 3:23:39.280]  They're real plan.
[3:23:39.280 --> 3:23:40.280]  Thank you for the call.
[3:23:40.280 --> 3:23:45.280]  Okay, I want to get to all these other callers, get their name and number and it's up to you, John.
[3:23:45.280 --> 3:23:46.280]  Don't me forget.
[3:23:46.280 --> 3:23:47.280]  I will call them first.
[3:23:47.280 --> 3:23:49.280]  We'll take calls the first hour tomorrow.
[3:23:49.280 --> 3:23:51.280]  I'm going directly to all these callers.
[3:23:51.280 --> 3:24:03.280]  You know, listeners call into the show and they thank me and it makes me feel pathetic because I sit there and I beg you for support constantly for prayer, for financial support and for word of mouth.
[3:24:03.280 --> 3:24:04.280]  And then we're all in together.
[3:24:04.280 --> 3:24:10.280]  And you know, it gets old having to come to you and say, hey, I got great products, please bomb or we won't be here on air.
[3:24:10.280 --> 3:24:11.280]  But it's true.
[3:24:11.280 --> 3:24:17.280]  We're the only media organization in the United States that promotes liberty at this level that is not beholden to big corporate sponsors.
[3:24:17.280 --> 3:24:19.280]  And they've harassed and almost shut down everybody else.
[3:24:19.280 --> 3:24:22.280]  They crippled all the other groups and we're still here.
[3:24:22.280 --> 3:24:26.280]  And as this whole new world order comes out in the open, our credibility is going up.
[3:24:26.280 --> 3:24:28.280]  That's why we've got to be taken off air.
[3:24:28.280 --> 3:24:30.280]  That's why America has got to be taken down.
[3:24:30.280 --> 3:24:34.280]  You can't have all these other nations enslaved and America is still quasi free.
[3:24:34.280 --> 3:24:39.280]  You can't have info wars has been proven right and be on air with all the craziness that's about to unfold.
[3:24:39.280 --> 3:24:41.280]  Because if you think stuff's bad now, just get ready.
[3:24:41.280 --> 3:24:44.280]  So thank you all and get an infowarstore.com.
[3:24:44.280 --> 3:24:47.280]  Get some great 2020 election shirts, supplements and so much more.
[3:24:47.280 --> 3:24:49.280]  They're wonderful products and they support the info.
[3:24:49.280 --> 3:24:50.280]  Thank you.
[3:24:53.280 --> 3:24:55.280]  What are champions made of?
[3:24:55.280 --> 3:24:59.280]  Here's a man who can show you.
[3:25:25.280 --> 3:25:51.280]  That's infowarstore.com.
[3:25:51.280 --> 3:26:00.280]  You've got until June 6th to get free shipping, double Patriot points and up to 50% off on our best selling products.
[3:26:00.280 --> 3:26:10.280]  DNA Force Plus, that is the highest quality ultimate product you can get for your telomeres, your cells, the mitochondria, the engines of your cells.
[3:26:10.280 --> 3:26:12.280]  PQQ, CoQ10, so much more.
[3:26:12.280 --> 3:26:14.280]  It's the flagship product. It is.
[3:26:14.280 --> 3:26:19.280]  40% off with free shipping, double Patriot points, pollen block, reseasal, discomfort, allergies.
[3:26:19.280 --> 3:26:21.280]  It's a national system. People love it.
[3:26:21.280 --> 3:26:23.280]  Five star reviews.
[3:26:23.280 --> 3:26:25.280]  Back in stock, 40% off again with free shipping.
[3:26:25.280 --> 3:26:27.280]  All these products worldwide.
[3:26:27.280 --> 3:26:32.280]  Free shipping, double Patriot points, vaso beats for your heart, your liver, your cardiovascular.
[3:26:32.280 --> 3:26:39.280]  It creates a key compound in your blood that is known as a detoxifying system.
[3:26:39.280 --> 3:26:40.280]  It's all there.
[3:26:40.280 --> 3:26:43.280]  But again, look into vaso beats with nitrous oxide.
[3:26:43.280 --> 3:26:44.280]  That's 50% off.
[3:26:44.280 --> 3:26:46.280]  All for 12 back in stock, 50% off.
[3:26:46.280 --> 3:26:51.280]  This is running until Sunday and the deal's over, infowarstore.com.
[3:26:51.280 --> 3:27:02.280]  In 60 seconds, I don't have time to tell you how amazing pollen block is, but you should go to infowarstore.com and read the third party review sites that we have links to where it's got five stars and people love it.
[3:27:02.280 --> 3:27:20.280]  Pollen block is a proprietary formula from France where they just learned by happenstance that quail that eat a certain diet produced eggs and eggshells that are amazing when people eat them for knocking out seasonal discomfort or what folks call allergies.
[3:27:20.280 --> 3:27:21.280]  It's back in stock.
[3:27:21.280 --> 3:27:22.280]  It's been sold out for a long time.
[3:27:22.280 --> 3:27:23.280]  It's very hard to get.
[3:27:23.280 --> 3:27:25.280]  Despite that, it's 40% off.
[3:27:25.280 --> 3:27:30.280]  It's worldwide free shipping right now for Memorial Day and double Patriot points.
[3:27:30.280 --> 3:27:32.280]  So pollen block is back in stock.
[3:27:32.280 --> 3:27:33.280]  So is DNA force.
[3:27:33.280 --> 3:27:37.280]  So are some of the great products store-wide free shipping and your purchase funds the infowar.
[3:27:37.280 --> 3:27:40.280]  So that is a true 360 win.
[3:27:40.280 --> 3:27:42.280]  Get your pollen block today.
[3:27:42.280 --> 3:27:46.280]  40% off free shipping, double Patriot points, infowarstore.com.
[3:27:46.280 --> 3:27:50.280]  And I know you're going to become a regular customer because everybody else has gotten it basically has.
[3:27:50.280 --> 3:27:51.280]  This stuff really, really works.
[3:27:51.280 --> 3:27:57.280]  You're listening to the Alex Jones show.
[3:28:21.280 --> 3:28:30.280]  You say that you want to go to a land that's far away.
[3:28:30.280 --> 3:28:38.280]  How are we supposed to get there with the way that we're living today?
[3:28:38.280 --> 3:28:43.280]  You talk lots about God.
[3:28:43.280 --> 3:28:46.280]  Freedom comes from the call.
[3:28:46.280 --> 3:28:51.280]  But that's not what this bitch wants.
[3:28:51.280 --> 3:28:55.280]  Not what I want at all.
[3:28:55.280 --> 3:29:03.280]  I want money, power, and glory.
[3:29:03.280 --> 3:29:11.280]  I want money and all your power, all your glory.
[3:29:11.280 --> 3:29:21.280]  I want money, power, and glory.
[3:29:21.280 --> 3:29:38.280]  I want money and all your power, all your glory.
[3:29:38.280 --> 3:29:46.280]  I want money and all your power, all your glory.
[3:29:46.280 --> 3:30:15.280]  I want money and all your power, all your glory.
[3:30:15.280 --> 3:30:30.280]  All right, we have so much breaking news, a confluence of it, an alignment of it right now.
[3:30:30.280 --> 3:30:35.280]  And I am going to be hosting part of the war room today with Dr. Ruby, who's amazing.
[3:30:35.280 --> 3:30:39.280]  She's got a bunch of medical doctors coming on to expose what's happening.
[3:30:39.280 --> 3:30:41.280]  You do not want to miss that information.
[3:30:41.280 --> 3:30:46.280]  There's a huge news that just broke minutes ago at infowars.com.
[3:30:46.280 --> 3:31:00.280]  President Trump has come out and attacked Fauci and the Wuhan lab and the gain of function is finally separating himself from them when they misled him and controlled him the entire time.
[3:31:00.280 --> 3:31:07.280]  And I know Trump means well, but him signing on to the vaccine, him signing on to all of it has been his biggest defeat.
[3:31:07.280 --> 3:31:11.280]  But now he gets that Fauci is a CHICOM Globalist agent.
[3:31:11.280 --> 3:31:15.280]  Trump blasts Fauci and Wuhan gain of function, research, devastating emails, and new statement.
[3:31:15.280 --> 3:31:20.280]  I will host the first few segments of the war room today, 3 p.m. Central.
[3:31:20.280 --> 3:31:23.280]  That's in about 24 minutes from now.
[3:31:23.280 --> 3:31:28.280]  And Dr. Ruby will take over, but I'll read his full statement and more on there if you might analysis.
[3:31:28.280 --> 3:31:33.280]  Now, we had Norm Pattis, one of the top criminal lawyers in the country, definitely the top three.
[3:31:33.280 --> 3:31:41.280]  And of course, good friends with F. Lee Bailey and Mr. Spence, who represents right now in a big trial and so much more.
[3:31:41.280 --> 3:31:45.280]  And he's got some big breaking news on that front of F. Lee Bailey.
[3:31:45.280 --> 3:31:50.280]  So, Norm, you were going to hit other issues like the debate over repeal of section 230.
[3:31:50.280 --> 3:31:57.280]  George Arwell was he too optimistic, declining world and the threat of globalism Israel.
[3:31:57.280 --> 3:32:00.280]  There were two states in 48 Palestinians through their way.
[3:32:00.280 --> 3:32:03.280]  The pandemic is over. Why do we keep talking about it?
[3:32:03.280 --> 3:32:06.280]  We're on whiteness, the sticking rhetoric of white supremacy.
[3:32:06.280 --> 3:32:11.280]  I wanted to hit that with you, but you're going to also be on Dr. Ruby coming up later.
[3:32:11.280 --> 3:32:14.280]  But wow, F. Lee Bailey tells what happened there.
[3:32:14.280 --> 3:32:18.280]  Yeah, I was waiting in the room to come in here and I just got a call.
[3:32:18.280 --> 3:32:20.280]  He died within the last half an hour or so.
[3:32:20.280 --> 3:32:21.280]  That's breaking here.
[3:32:21.280 --> 3:32:22.280]  That's breaking here.
[3:32:22.280 --> 3:32:24.280]  Yeah, Norm F. Lee Bailey was 88.
[3:32:24.280 --> 3:32:25.280]  And, you know, he's 88.
[3:32:25.280 --> 3:32:26.280]  Nobody gets out of here alive.
[3:32:26.280 --> 3:32:29.280]  He was struggling, but he died in the hospital.
[3:32:29.280 --> 3:32:32.280]  He'd been recovering from a broken limb and never got better.
[3:32:32.280 --> 3:32:35.280]  But, you know, it's a devastating loss to American law.
[3:32:35.280 --> 3:32:39.280]  I've known him for 20 years and been involved in many cases with him.
[3:32:39.280 --> 3:32:44.280]  He had, in my view, the sharpest legal mind I've ever seen.
[3:32:44.280 --> 3:32:50.280]  His ability to see patterns in facts that you otherwise missed was overwhelming.
[3:32:50.280 --> 3:32:51.280]  It was an amazing.
[3:32:51.280 --> 3:32:57.280]  I would bring client stand when he was living up in Maine to talk about complex issues and cases.
[3:32:57.280 --> 3:33:00.280]  He had a way of turning to me and he'd say, you know, have you thought about X?
[3:33:00.280 --> 3:33:01.280]  Have you thought about Y?
[3:33:01.280 --> 3:33:05.280]  As though it were an obvious conclusion and I'd missed it.
