[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[02:47:20.283 --> 02:47:21.904]  Um, I think it's nationwide.
[02:47:21.904 --> 02:47:22.964]  Okay.
[02:47:22.964 --> 02:47:23.444]  I'm not sure.
[02:47:23.444 --> 02:47:24.505]  I listen to you guys.
[02:47:24.505 --> 02:47:26.726]  I've been putting her on y'all, and, uh, but anyway.
[02:47:27.406 --> 02:47:35.053]  He was, you know, giving her a bunch of pushback and kind of trashing OAN and Newsmax and saying that they're perfectly non-credible.
[02:47:35.053 --> 02:47:40.178]  So I just want to get your thoughts on that claim.
[02:47:40.178 --> 02:47:52.069]  Well, I'm just unfamiliar with the show or the claim, but I would just say, you know, most people that have made it and are successful in this medium of media,
[02:47:53.612 --> 02:47:58.518]  Have been bought and paid for in some way, shape, or form, and have sold out in some way, shape, or form.
[02:47:58.518 --> 02:48:08.209]  So yes, and I've been saying this at all the rallies and speeches I've been doing, in this level of this battle for the Republic, expect to be abandoned, expect to be stabbed in the back.
[02:48:09.255 --> 02:48:24.222]  And so, yeah, you're going to have weak-kneed, cowardly people on the radio and on TV who do not understand the magnitude of this and the real consequences, who are just going along to get along, hoping not to ruffle any feathers so that they can survive on air another four years or what have you.
[02:48:24.222 --> 02:48:25.563]  So that's how I'd measure that, Jed.
[02:48:25.563 --> 02:48:28.785]  Is there any avenue here?
[02:48:28.785 --> 02:48:37.149]  Because I heard you earlier saying Sidney Powell's only case really is with these affidavits, but are they not able to prove that there was an algorithm that these
[02:48:37.697 --> 02:48:40.578]  These softwares are, you know... Maybe they can, maybe they can't.
[02:48:40.578 --> 02:48:43.320]  But, see, we have to deal with reality.
[02:48:43.320 --> 02:48:50.723]  And we have to deal with the likely odds of what's going to, you know, be the winning strategy here.
[02:48:50.723 --> 02:48:56.486]  Yeah, that guy looks like a total sellout.
[02:48:56.486 --> 02:49:03.529]  But, they just found that show you were talking about.
[02:49:03.529 --> 02:49:05.650]  You just look at all the crimes they've gotten away with.
[02:49:07.216 --> 02:49:10.557]  And so... It's just so hard.
[02:49:10.557 --> 02:49:11.858]  I mean, look at all... I mean, look at this.
[02:49:11.858 --> 02:49:19.741]  Spygate, fake Russian collusion, the fake PP dossier, this... I mean... They've gotten away with so much.
[02:49:19.741 --> 02:49:22.242]  I mean, they've been caught red-handed doing so much.
[02:49:22.242 --> 02:49:29.245]  It's just like... I mean, so how do you defeat this system that is so big, so corrupt, so widespread, owns everything?
[02:49:29.245 --> 02:49:30.026]  How do you beat it?
[02:49:30.026 --> 02:49:31.206]  What is the skeleton key?
[02:49:31.206 --> 02:49:32.127]  What is... you know...
[02:49:34.455 --> 02:49:42.059]  Most of the world submitted to the unconstitutional criminal lockdowns directed by the Communist Chinese and the United Nations.
[02:49:42.059 --> 02:49:52.603]  And now because the slaves have proven themselves to be subservient, the worst Australian models of complete lockdowns where you can't even leave your house for months and months are being announced.
[02:49:52.603 --> 02:50:02.368]  And in Germany, the police are using giant armored tanks with water cannons to blast men, women, and children that protest the fact that Merkel, the dictator, has put them under her control.
[02:50:02.928 --> 02:50:06.189]  That's right, she's been rigging elections for years and years.
[02:50:06.189 --> 02:50:09.110]  And the same thing is coming here to the United States.
[02:50:09.110 --> 02:50:10.650]  This is world government.
[02:50:10.650 --> 02:50:15.331]  In Philadelphia, they've announced four people or more seen together will be arrested.
[02:50:15.331 --> 02:50:17.371]  They're announcing that Christmas is canceled.
[02:50:17.371 --> 02:50:19.792]  This is what the communist takeover looks like.
[02:50:19.792 --> 02:50:23.693]  To bankrupt you, to take rid of all your due process, and absolutely
[02:50:24.073 --> 02:50:27.395]  Transform the world into a prison planet.
[02:50:27.395 --> 02:50:29.477]  How long have we warned you about this?
[02:50:29.477 --> 02:50:32.639]  If you can fight back, America is the last bastion.
[02:50:32.639 --> 02:50:33.460]  Stop submitting!
[02:50:36.178 --> 02:50:46.986]  The problem with social Darwinism is the so-called elites, the most cunning, smart, inventive people, believe that chivalry doesn't exist anymore.
[02:50:46.986 --> 02:50:51.869]  They don't believe in being aristocrats, trying to hold up civilization and empower the people.
[02:50:51.869 --> 02:50:56.472]  And once the establishment has that predatory idea, civilization collapses very, very quickly.
[02:50:56.472 --> 02:51:01.716]  You can't treat the least of us like garbage and not treat your own family like that.
[02:51:01.716 --> 02:51:04.158]  And so it is this lack of empathy that's going to destroy us.
[02:51:05.505 --> 02:51:15.130]  The globalists can try to be heartless devil worshippers that commit rituals of all sorts of horrible crimes, try to get away from the humanity, but really, they can't escape the laws of the universe.
[02:51:15.130 --> 02:51:19.912]  They may train themselves to commit heinous crimes and not feel it themselves, but...
[02:51:20.732 --> 02:51:26.255]  The repercussions of what they commit always comes back on them and their families and the very structure itself.
[02:51:26.255 --> 02:51:28.396]  Wealth is created by loving God.
[02:51:28.396 --> 02:51:30.597]  Wealth is created by having a connection to God.
[02:51:30.597 --> 02:51:33.879]  God is the source of all creation, all success, all power.
[02:51:33.879 --> 02:51:38.281]  If you deny that, you'll be destroyed.
[02:51:38.281 --> 02:51:40.883]  You're listening to the Alex Jones Show!
[02:51:49.428 --> 02:51:54.573]  I want to hear a real mind twister cesspool of media corruption.
[02:51:54.573 --> 02:52:00.698]  Headline, LA Times, BuzzFeed to buy HuffPost from Verizon.
[02:52:00.698 --> 02:52:02.040]  Okay.
[02:52:02.040 --> 02:52:04.081]  Let's go to the phone calls here.
[02:52:04.081 --> 02:52:07.064]  I'm going to try to squeeze in as many as I can in this short four and a half minutes.
[02:52:07.064 --> 02:52:08.525]  David in Oklahoma.
[02:52:08.525 --> 02:52:09.947]  David, you're on the Alex Jones Show.
[02:52:09.947 --> 02:52:11.828]  Go ahead.
[02:52:11.828 --> 02:52:12.809]  Oh, man.
[02:52:12.809 --> 02:52:13.350]  Praise God.
[02:52:14.653 --> 02:52:17.094]  Let me say I just missed you in Tulsa.
[02:52:17.094 --> 02:52:20.935]  My plug is going to be Vazzo X2 and Ultra 12.
[02:52:20.935 --> 02:52:23.716]  That's that intestinal fortitude.
[02:52:23.716 --> 02:52:25.436]  That's good stuff.
[02:52:25.436 --> 02:52:26.777]  Really taking care of me on that.
[02:52:26.777 --> 02:52:30.238]  And the reason I called was this East and West Coast agenda.
[02:52:30.834 --> 02:52:34.015]  You know, that's a facet of the NWO.
[02:52:34.015 --> 02:52:39.817]  And, you know, the disparity that's being caused politically is going to end up in this material loss.
[02:52:39.817 --> 02:52:48.300]  And I don't think it's a good idea to even entertain conversation about seceding infrastructure and lands, especially on our coasts.
[02:52:48.300 --> 02:52:52.462]  It's just another weakening aspect of this war.
[02:52:52.462 --> 02:52:53.022]  No, I agree.
[02:52:53.022 --> 02:52:57.364]  That's why when the caller brought it up earlier, I said it's kind of pipe dreamish and unrealistic.
[02:52:58.080 --> 02:53:02.666]  I mean, you could fathom it, you could talk about it, you could propose it, but is it really legitimate?
[02:53:02.666 --> 02:53:03.927]  Is it really something that could ever happen?
[02:53:03.927 --> 02:53:06.390]  Probably not.
[02:53:06.390 --> 02:53:07.111]  We've got to stand.
[02:53:07.111 --> 02:53:08.433]  We've got to enforce our laws.
[02:53:08.433 --> 02:53:11.657]  We've got to enforce our principled laws.
[02:53:11.657 --> 02:53:13.199]  We've got to go after the people that don't.
[02:53:13.199 --> 02:53:16.683]  I forgot about that.
[02:53:19.688 --> 02:53:27.112]  Man, I'd just like to say, you know, we need to further consider, you know, the long term here.
[02:53:27.112 --> 02:53:30.294]  There's pretty much the social contract's broken.
[02:53:30.294 --> 02:53:32.935]  The civil contract's broken.
[02:53:32.935 --> 02:53:37.178]  The zero, you know, the violations in our elections have already occurred.
[02:53:38.627 --> 02:53:42.648]  There's basically zero confidence in government at this point.
[02:53:42.648 --> 02:53:43.028]  What's up everyone?
[02:54:07.045 --> 02:54:08.526]  What's up, John?
[02:54:08.526 --> 02:54:10.788]  What's up, man?
[02:54:10.788 --> 02:54:12.930]  Hey, look.
[02:54:12.930 --> 02:54:17.954]  What we got to do is go straight to the media outlet.
[02:54:17.954 --> 02:54:18.534]  Millions.
[02:54:18.534 --> 02:54:19.695]  Thousands.
[02:54:19.695 --> 02:54:20.956]  Every one of them.
[02:54:20.956 --> 02:54:21.677]  CNN.
[02:54:21.677 --> 02:54:22.898]  CBS.
[02:54:22.898 --> 02:54:23.979]  NBC.
[02:54:23.979 --> 02:54:25.920]  Whoever.
[02:54:25.920 --> 02:54:30.084]  Until we can get our information out.
[02:54:30.084 --> 02:54:31.024]  We got to do that.
[02:54:31.024 --> 02:54:32.405]  We got to go door to door.
[02:54:32.405 --> 02:54:32.906]  Houses.
[02:54:34.102 --> 02:54:35.864]  And wake everybody up.
[02:54:35.864 --> 02:54:39.007]  Yeah, everybody must be the Paul Revere.
[02:54:39.007 --> 02:54:40.909]  Hey, listen.
[02:54:40.909 --> 02:54:44.813]  By any means necessary.
[02:54:44.813 --> 02:54:45.553]  You hear me?
[02:54:45.553 --> 02:54:49.077]  They have tried this two or three times, right?
[02:54:49.077 --> 02:54:50.158]  In history.
[02:54:50.158 --> 02:54:51.439]  Correct?
[02:54:51.439 --> 02:54:52.640]  Something.
[02:54:52.640 --> 02:54:54.382]  Communist, socialist, something, right?
[02:54:56.271 --> 02:54:57.812]  Well, here's what they try to do, though, John.
[02:54:57.812 --> 02:55:11.961]  They try to say, and this is, again, just more of the mind games of the lying, deceptive, liberal left, you know, they come after your children, they come after your money, they come after your property, they come after everything, and then if you try to rise up, they say, how dare you?
[02:55:11.961 --> 02:55:12.762]  That's hate speech!
[02:55:12.762 --> 02:55:13.582]  That's intolerant!
[02:55:13.582 --> 02:55:14.683]  You're violent!
[02:55:14.683 --> 02:55:16.504]  No, you're the slave drivers!
[02:55:16.504 --> 02:55:18.425]  You broke the non-aggression principle!
[02:55:18.425 --> 02:55:20.106]  You broke the social contract!
[02:55:20.106 --> 02:55:21.027]  That was you!
[02:55:21.027 --> 02:55:22.208]  You will reap what you sow!
[02:55:23.380 --> 02:55:27.821]  The only thing I got to say is, I'm a true American patriot.
[02:55:27.821 --> 02:55:34.662]  And if they come to my house, the Second Amendment will be used.
[02:55:34.662 --> 02:55:35.703]  And I ain't thinking about it.
[02:55:35.703 --> 02:55:37.923]  I'm not threatening nobody.
[02:55:37.923 --> 02:55:39.283]  I'm not threatening nobody.
[02:55:39.283 --> 02:55:40.443]  That's the promise.
[02:55:40.443 --> 02:55:42.804]  I'm not threatening nobody, though.
[02:55:42.804 --> 02:55:43.324]  I hear you.
[02:55:43.324 --> 02:55:45.564]  John, what part of New York are you from?
[02:55:45.564 --> 02:55:46.805]  Buffalo.
[02:55:46.805 --> 02:55:47.685]  Yeah.
[02:55:47.685 --> 02:55:52.946]  The western New Yorkers are pretty fed up right now with Cuomo and the like.
[02:55:54.304 --> 02:55:56.185]  Hey, you ain't listening.
[02:55:56.185 --> 02:56:03.411]  By any means necessary, it's time to take back America.
[02:56:03.411 --> 02:56:05.493]  It's time.
[02:56:05.493 --> 02:56:06.974]  It's time.
[02:56:06.974 --> 02:56:07.734]  No, it is.
[02:56:07.734 --> 02:56:09.275]  We got like three months, man.
[02:56:09.275 --> 02:56:10.116]  I'm tired.
[02:56:10.116 --> 02:56:12.078]  I'm not scared, man.
[02:56:12.078 --> 02:56:12.798]  You hear me?
[02:56:12.798 --> 02:56:13.839]  That's one thing about me.
[02:56:13.839 --> 02:56:14.519]  I'm not scared.
[02:56:14.519 --> 02:56:16.601]  I'm a true soldier.
[02:56:16.601 --> 02:56:19.443]  Never was in the military, but I'm a soldier.
[02:56:19.443 --> 02:56:22.806]  Because I've been training for stuff like this since I was a kid.
[02:56:23.376 --> 02:56:28.640]  And ladies and gentlemen, there are 10 million, 20 million, 30 million Johns out there.
[02:56:28.640 --> 02:56:31.122]  Oh, you think you can conquer John?
[02:56:31.122 --> 02:56:32.283]  Ha!
[02:56:32.283 --> 02:56:34.904]  You think the New World Order's gonna conquer John?
[02:56:34.904 --> 02:56:36.025]  No.
[02:56:36.025 --> 02:56:37.666]  Liberty or death?
[02:56:37.666 --> 02:56:38.607]  Thank you, John.
[02:56:38.607 --> 02:56:39.608]  Death to tyrants!
[02:56:39.608 --> 02:56:40.889]  Nick Begich takes over.
[02:56:43.843 --> 02:56:46.185]  The great moment of truth is here.
[02:56:46.185 --> 02:56:58.273]  America discovered in the last five, six years that we were under globalist control, and the traitors of both parties have sold us out to communist China and multinational corporations, and we're establishing an authoritarian, anti-American system.
[02:56:59.093 --> 02:57:13.350]  Well now they've launched their counter-assault and through fraud are trying to steal the election right now and complete the police state takeover by bankrupting the people of the United States but also the entire world to bring us to our knees under the Great Reset.
[02:57:14.071 --> 02:57:20.294]  InfoWars has never been more valuable or more important, and I'm honored for the position that you've put me in, and for God's blessing.
[02:57:20.294 --> 02:57:32.040]  But I'm asking all listeners to understand that InfoWars is spending more money than we've ever spent in the fight to expose the stolen election, Agenda 21, the Great Reset, and the globalist takeover.
[02:57:32.040 --> 02:57:34.442]  So please visit InfoWarsStore.com today.
[02:57:34.442 --> 02:57:39.744]  We have the big stop-the-steal sale that I've extended through the weekend, but then it will end because so many products are about to sell out.
[02:57:39.744 --> 02:57:41.925]  Free shipping, triple pay, three at points, up to 60% off.
[02:57:41.925 --> 02:57:42.826]  InfoWarsStore.com.
[02:57:54.227 --> 02:58:04.215]  You're listening to the Alex Jones Show with Nick Begich.
[02:58:04.215 --> 02:58:05.396]  And welcome back.
[02:58:05.396 --> 02:58:11.661]  You know, I'm here in Anchorage, Alaska again this morning, my morning still and afternoon in most parts of the country.
[02:58:11.661 --> 02:58:15.064]  And John is working with me in the control room.
[02:58:15.064 --> 02:58:17.706]  And I appreciate the whole team down there in Austin.
[02:58:18.860 --> 02:58:23.544]  Oh, and filling in for Alex today and me catching the last hour on Friday.
[02:58:23.544 --> 02:58:35.734]  And I was thinking as I was listening to some of the callers and thinking about what was being said, and I had gotten some attention on some email traffic this week.
[02:58:35.734 --> 02:58:39.757]  And just so listeners know, I just can't respond to everything.
[02:58:39.757 --> 02:58:40.758]  It's just impossible.
[02:58:42.679 --> 02:58:50.882]  I volunteer time and do the best I can, but small team here in Alaska, you're looking at the Alaska branch of the Info Wars.
[02:58:50.882 --> 02:59:01.365]  But I want to say this about that, is I listen, I try to integrate then what I learn from people who do correspond and call into the other shows, so that we cover these points.
[02:59:01.365 --> 02:59:06.727]  And one of them I heard was the sonic weapon announced in the press.
[02:59:06.727 --> 02:59:10.388]  I saw that clip and it was Chinese utilizing a
[02:59:11.688 --> 02:59:28.084]  Microwave based weapon on the Indian border in a conflict with India, and I did look into that a while ago And this is what I know about that first of all millimeter waves microwave technology used for this purpose No question about it, but how do they use it?
[02:59:28.084 --> 02:59:34.731]  What does it do it'll create for instance a heating sensation on the skin you can create this so it feels like about a
[02:59:35.672 --> 02:59:59.874]  135 140 degrees I mean where it's really really painful and it's again for pushing you back or driving people away and because the border agreement dealt with just one aspect it dealt with the aspect of not shooting normal conventional weapons you know bullets and bombs that's why EM electromagnetic weapons were developed
[03:00:00.667 --> 03:00:07.373]  Uh, over 25, 30 years ago and have been continued, uh, in terms of the development and strategy over the years.
[03:00:07.373 --> 03:00:11.396]  And there's a photo up for those that have the video feed, and you also see the U.S.
[03:00:11.396 --> 03:00:13.278]  version of the same device.
[03:00:13.278 --> 03:00:16.300]  Now, these devices were well spoken about.
[03:00:16.300 --> 03:00:19.123]  The Secretary of Defense came out, spoke about them.
[03:00:19.563 --> 03:00:22.886]  Mainly for crowd control, riot control purposes, and dual use.
[03:00:22.886 --> 03:00:35.358]  You'll see these on our streets of America because they're a good way to control crowds without killing anyone, without the same visual images that you get when smoke, tear gas, and clubs, and all that come out.
[03:00:35.778 --> 03:00:42.419]  So they'll use what are called non-lethal technologies, technologies that don't necessarily kill you.
[03:00:42.419 --> 03:00:52.441]  The problem is with these microwave weapons, they can interfere with certain electronic devices, you know, like hard pacemakers, other appliances you might have in your body that keep everything rolling.
[03:00:52.441 --> 03:01:02.322]  So you might want to think about this as they're deployed around the world and around the country, because I reported on this in the 1980s, was when the first conversations were coming.
[03:01:02.322 --> 03:01:05.123]  And in the early 90s, we began to break the story because
[03:01:05.843 --> 03:01:11.407]  What the Department of Defense and Department of Justice were talking about is priority funding for dual use.
[03:01:11.407 --> 03:01:14.709]  This is how far back all of this goes.
[03:01:14.709 --> 03:01:31.661]  The dual use theory was that we could take these types of weapons, and I testified in the European Parliament, I testified in major international groups about slowing this down because of the invasiveness of the technologies coupled with the invasiveness of the surveillance technology.
[03:01:32.179 --> 03:01:36.242]  So these things are real, they're just being talked about more in the mainstream now.
[03:01:36.242 --> 03:01:50.133]  Now what happened as a result of that testimony that I gave is the most important security and disarmament recommendations coming out of the European Parliament by consensus, by the biggest consensus, were our sections.
[03:01:50.783 --> 03:02:05.843]  In that which dealt with part which I'm not talking about today non-lethal weapons which were right on point here okay so when they pass that this section on non-lethal weapons things that would kill you without making holes in you in the same conventional way
[03:02:06.443 --> 03:02:14.891]  This, this was so, we presented so much evidence, three feet of unclassified documents to prove our point.
[03:02:14.891 --> 03:02:17.573]  Scientific literature, the studies, everything.
[03:02:17.573 --> 03:02:21.677]  This is going back two decades, more than two decades, okay?
[03:02:21.677 --> 03:02:27.663]  This is how old all this news is, that the mainstream's finally figuring out and leaking in.
[03:02:28.976 --> 03:02:30.576]  Give me a break.
[03:02:30.576 --> 03:02:34.758]  The point of InfoWars has always been we're the tip of the spear.
[03:02:34.758 --> 03:02:36.218]  We've been in this longest.
[03:02:36.218 --> 03:02:46.061]  I've been volunteering time as a voice on InfoWars since Alex started because he started just about a year, year and a half after I did in this work.
[03:02:46.061 --> 03:02:47.801]  And he built this network.
[03:02:47.801 --> 03:02:55.343]  And a couple of years ago, three years ago, when things were really horrible, you know, for Alex going on a lot of stuff and he needed help.
[03:02:55.948 --> 03:03:07.213]  And I flew down to Austin and actually spent a week there and met Alex face to face for the first time after all those years of working together, just the nature of our lives.
[03:03:07.213 --> 03:03:12.935]  But this was time for an intermission and and lift up my brother down there in Austin.
[03:03:13.795 --> 03:03:18.580]  And I'm asking every one of you listening right now to do this in lots of different ways that you can.
[03:03:18.580 --> 03:03:21.382]  I know a lot of people economically can't help in that way.
[03:03:21.382 --> 03:03:22.183]  So don't.
[03:03:22.183 --> 03:03:22.804]  Pray.
[03:03:22.804 --> 03:03:23.485]  You can do that.
[03:03:23.485 --> 03:03:24.025]  It's free.
[03:03:24.025 --> 03:03:25.106]  It doesn't cost you anything.
[03:03:25.106 --> 03:03:27.548]  And everybody here, I know.
[03:03:27.548 --> 03:03:28.569]  I know.
[03:03:28.569 --> 03:03:29.390]  And I've been there.
[03:03:29.390 --> 03:03:30.271]  I've seen it.
[03:03:30.271 --> 03:03:33.154]  I've been a couple of different times for a week each time.
[03:03:33.154 --> 03:03:36.237]  And you are supporting an incredible team.
[03:03:36.983 --> 03:03:41.066]  And those guys need a payroll to keep going.
[03:03:41.066 --> 03:03:45.028]  I'm blessed so I can volunteer my time here and that's what I do.
[03:03:45.028 --> 03:03:47.430]  When you hear me on radio around the world, that's what I'm doing.
[03:03:47.430 --> 03:03:57.736]  I'm volunteering my time because this is my info war and I get to work with up to 200 producers worldwide in television and radio and have been for 25 years.
[03:03:57.736 --> 03:04:03.600]  Because this message, the message that we're all talking about today, needs to be everywhere.
[03:04:04.554 --> 03:04:18.919]  It needs to be through every venue, reaching every constituency, from the far left to the far right and everybody in between, because we have a message, a message of liberty, of sovereignty, of freedom.
[03:04:18.919 --> 03:04:32.604]  And what free speech gives us in the opportunity to engage one another, because the fundamental aspect of every issue that we talk about boils down to one thing, being able to be the voice.
[03:04:33.914 --> 03:04:36.255]  To be able to speak freely.
[03:04:36.255 --> 03:04:44.458]  To be able to take what we are as created human beings in the image and likeness of God and press it through our voices and be heard.
[03:04:44.458 --> 03:04:51.481]  And people can discern what we say and separate what we say and choose on their own because that's their right.
[03:04:51.481 --> 03:04:53.682]  That is their birthright too.
[03:04:53.682 --> 03:04:58.444]  But the Infowar is not about shutting the opposition down.
[03:04:58.444 --> 03:04:59.844]  It's about a better idea.
[03:04:59.844 --> 03:05:02.005]  A better set of values.
[03:05:02.589 --> 03:05:15.478]  A better base set of concepts that people can believe in because here's what every human being does unless they've so shut it all down they no longer have what we call consciousness connected to them in the same way.
[03:05:15.478 --> 03:05:25.084]  They've closed the voice down that's heard all the time as we direct our traffic through the brain and they don't listen.
[03:05:25.084 --> 03:05:27.406]  There's not very many of them.
[03:05:27.406 --> 03:05:31.549]  The rest, truth rings in the soul of every living soul.
[03:05:32.751 --> 03:05:40.595]  Every soul seeking to awaken to who they are, what they are, and what we are, and what we can do, and how we can do it.
[03:05:40.595 --> 03:05:49.599]  And all these threats against us generate fear, anxiety, and the very things that shut down the power that we are.
[03:05:49.599 --> 03:05:51.660]  The love that flows through us.
[03:05:51.660 --> 03:05:55.002]  Now I want to jump into another issue that got touched on, the Chinese.
[03:05:55.757 --> 03:06:00.344]  You know, concepts of what's going on and how does this roll out and what does this really mean?
[03:06:00.344 --> 03:06:04.069]  Because now they're introducing these non-lethal weapons to the battlefield.
[03:06:04.637 --> 03:06:09.258]  In a way that circumvents current treaties and laws and regulations.
[03:06:09.258 --> 03:06:13.319]  This is the point I've been making for 25 years.
[03:06:13.319 --> 03:06:16.819]  It's not just the Chinese to ChaiKoms.
[03:06:16.819 --> 03:06:30.101]  It's all of their collaborators in the West, for a little bit of money, has traded off technology to the point where we don't have the control and command that we used to have.
[03:06:30.101 --> 03:06:31.722]  They do too.
[03:06:31.722 --> 03:06:33.142]  And they have a lot more people.
[03:06:33.809 --> 03:06:39.032]  And they produce their technology for a fraction of the money that we do historically.
[03:06:39.032 --> 03:06:44.736]  Of course, AI is going to change that and flatten that playing field out because labor won't be the big factor.
[03:06:44.736 --> 03:06:50.700]  And we should be concerned about that because that is the direction of the 21st century and how we shape that.
[03:06:50.700 --> 03:06:52.661]  How do we do that?
[03:06:52.661 --> 03:06:59.205]  How do we transfer all the things that you and I do from flipping burgers to driving trucks?
[03:06:59.205 --> 03:06:59.445]  Right.
[03:07:00.504 --> 03:07:02.586]  Underground miners, all of it.
[03:07:02.586 --> 03:07:11.272]  It's all going AI, robotics, because it's cheaper, they don't file workers comp claims, and they don't have 401ks.
[03:07:11.272 --> 03:07:19.458]  We are all expendable in the 21st century if we allow a globalist takeover of everything.
[03:07:19.458 --> 03:07:21.319]  It's not just our flesh estate,
[03:07:21.954 --> 03:07:26.063]  It's our living souls and how we are playing it out in the planet today.
[03:07:26.063 --> 03:07:30.352]  This is Dr. Nick Begich, you're listening to The Info Wars, and we'll be right back after these messages.
[03:07:42.423 --> 03:07:48.786]  What if you could cut your heating bills this winter with your existing wood-burning fireplace and not spend thousands doing it?
[03:07:48.786 --> 03:07:51.748]  You can with Great Wall of Fire Fireplace Grates.
[03:07:51.748 --> 03:07:52.188]  Our U.S.
[03:07:52.188 --> 03:08:00.332]  patented, made in America, Wall of Fire Grates increase fireplace efficiency, eliminate fireplace smoke problems, and come with a 30-day money-back guarantee.
[03:08:00.332 --> 03:08:03.954]  See our grates in action and get free shipping from walloffire.com or call 800-274-7364.
[03:08:03.954 --> 03:08:05.695]  Fireplace heat without fireplace smoke.
[03:08:05.695 --> 03:08:05.995]  walloffire.com.
[03:08:12.759 --> 03:08:16.821]  Hey everybody, confused about staying healthy in a crazy COVID culture?
[03:08:16.821 --> 03:08:17.581]  Me too.
[03:08:17.581 --> 03:08:24.683]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[03:08:24.683 --> 03:08:28.665]  It's that immune system health can literally be the difference between life and death.
[03:08:29.065 --> 03:08:30.966]  You probably already believe that.
[03:08:30.966 --> 03:08:31.986]  I certainly do.
[03:08:31.986 --> 03:08:32.926]  So here's the thing.
[03:08:32.926 --> 03:08:41.828]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[03:08:41.828 --> 03:08:47.250]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[03:08:47.250 --> 03:08:48.310]  No cures or treatments there.
[03:08:48.590 --> 03:08:57.813]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[03:08:57.813 --> 03:08:58.733]  And the best part?
[03:08:58.733 --> 03:09:05.435]  You can go to the StrongerDefense website right now and claim your own supply of Immune 10X without paying anything today.
[03:09:05.435 --> 03:09:06.275]  Crazy, right?
[03:09:06.275 --> 03:09:10.276]  Learn more about this unusual limited time offer at StrongerDefense.com.
[03:09:10.276 --> 03:09:11.737]  That's StrongerDefense.com.
[03:09:12.637 --> 03:09:13.858]  Hi, I'm Dan Pilla.
[03:09:13.858 --> 03:09:17.781]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:09:17.781 --> 03:09:19.322]  I sued the IRS and won.
[03:09:19.322 --> 03:09:22.285]  I beat the IRS then, and I've been beating them ever since.
[03:09:22.285 --> 03:09:27.829]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:09:27.829 --> 03:09:29.050]  I can help you, too.
[03:09:29.050 --> 03:09:31.972]  If you owe taxes you can't pay, don't wait another day.
[03:09:31.972 --> 03:09:34.194]  There's no such thing as a hopeless tax case.
[03:09:34.194 --> 03:09:38.637]  Call 800-34-NO-TAX, or go to my website, danpilla.com.
[03:09:38.637 --> 03:09:40.939]  That's danpilla.com, danpilla.com.
[03:09:43.126 --> 03:09:49.807]  Urgent warnings are being issued right now by the United Nations, the Davos Group, Bank of America, JPMorgan Chase, Goldman Sachs.
[03:09:49.807 --> 03:09:55.768]  They're saying that the COVID virus is going to cause a global depression and hundreds of millions to starve to death.
[03:09:55.768 --> 03:09:56.988]  Incredible!
[03:09:56.988 --> 03:10:05.870]  They're the very organizations that ordered the global lockdowns that are causing the chain reaction that's causing the mass starvation, not the COVID virus.
[03:10:05.870 --> 03:10:07.050]  That is a fact.
[03:10:07.050 --> 03:10:12.271]  And all the hero sheep that wear the mask and go along with this are signing on to mass murder
[03:10:12.631 --> 03:10:14.172]  Bigger than what Hitler did.
[03:10:14.172 --> 03:10:17.634]  That's when we got the Geneva Convention and the Nuremberg Code.
[03:10:17.634 --> 03:10:26.600]  This is a medical, world government, tyrannical takeover, causing starvation, setting up world IDs, and coming with forced inoculations.
[03:10:26.600 --> 03:10:31.663]  And now Bank of America says global unrest is sure to trigger an even bigger depression.
[03:10:31.663 --> 03:10:33.464]  That story's on Infowars.com.
[03:10:33.464 --> 03:10:41.730]  That's why it's vital for all of you to be public and to say you do not stand for this or the mass global genocide being caused by the planetary Great Reset.
[03:10:43.271 --> 03:10:49.873]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[03:10:49.873 --> 03:10:53.314]  As you age, your body can lose testosterone over time.
[03:10:53.314 --> 03:11:02.237]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[03:11:02.237 --> 03:11:10.379]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[03:11:10.999 --> 03:11:16.422]  Perfect by itself or with super male vitality in the true alpha male path.
[03:11:16.422 --> 03:11:23.645]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[03:11:23.645 --> 03:11:27.347]  Let Alpha Power help bring you to the peak of your optimal health.
[03:11:27.347 --> 03:11:30.369]  Don't fall short on energy in the fight against tyranny.
[03:11:30.369 --> 03:11:34.431]  Show the world what a true alpha male looks like today with Alpha Power.
[03:11:34.431 --> 03:11:36.932]  Head to InfoWarsStore.com today.
[03:11:46.158 --> 03:11:59.071]  You're listening to the Alex Jones Show.
