[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[3:01:44.160 --> 3:01:47.680]  week a caller that called in about how they're trying to confuse people and
[3:01:47.680 --> 3:01:53.280]  and and use you as a as a as a litmus test to get get everybody you know if
[3:01:53.280 --> 3:01:56.720]  this is said and then Alex Jones is associated with it then that topic gets
[3:01:56.720 --> 3:02:01.200]  immediately killed and made stupid but that's it's not gonna work but as a
[3:02:01.200 --> 3:02:06.840]  young as a young black American who's just loves liberty and and is in field
[3:02:06.840 --> 3:02:09.920]  the resurgence of liberty I can I can only say that we need to be more like
[3:02:09.920 --> 3:02:13.320]  Candace Owen's black people and stand up because that's what's gonna smash the
[3:02:13.320 --> 3:02:16.640]  paradigm as well as white people standing up because they can say oh yeah
[3:02:16.640 --> 3:02:19.600]  you're racist if you if you cheer on something that's being said in your
[3:02:19.600 --> 3:02:24.200]  white but if you're black like Kanye in your black like Candace Owen's in your
[3:02:24.200 --> 3:02:27.480]  black like Tim black or whatever you there's just there's no way they can
[3:02:27.480 --> 3:02:30.920]  I was about to say I don't like racist white people a lot racist black people
[3:02:30.920 --> 3:02:35.200]  it's just stupid like Kanye West said he's had a lot of courage that yeah it
[3:02:35.200 --> 3:02:39.040]  goes on but it's a system of mental illness that anybody can be part of
[3:02:39.040 --> 3:02:42.640]  it's just dumb like you eat who has good food don't care what color they are
[3:02:42.640 --> 3:02:46.960]  you listen to music don't care what color they are you date people it matters
[3:02:46.960 --> 3:02:50.400]  how you how they are and how they look now what color they are and it's just
[3:02:50.400 --> 3:02:55.280]  this whole thing is just stupid and it's used to control us and now the way
[3:02:55.280 --> 3:02:58.320]  they threw Kanye West in a mental institution last year for support and
[3:02:58.320 --> 3:03:03.400]  Trump for almost two weeks it just shows well that's like Russia used to be 60
[3:03:03.400 --> 3:03:07.880]  years ago that's not how we're supposed to be so I admire Kanye West I'll be
[3:03:07.880 --> 3:03:10.840]  honest I don't cover pop stuff so I didn't like Kanye because all the
[3:03:10.840 --> 3:03:14.040]  Kardashians and all that but now that I've actually looked into him the last
[3:03:14.040 --> 3:03:19.000]  two years he's got a lot of courage and so I mean I'm glad he's out there right
[3:03:19.000 --> 3:03:24.320]  I didn't realize I didn't realize until they started to persecute him how he was
[3:03:24.320 --> 3:03:28.640]  important and why the Trump knew the movement was for me like I was I was
[3:03:28.640 --> 3:03:34.920]  already on the Trump train but it only didn't hang up sorry Marcus your phone
[3:03:34.920 --> 3:03:38.840]  cut out say that again I said everything that they've done with Kanye if
[3:03:38.840 --> 3:03:43.120]  anything woke me up more and it made me sit there and say well yeah I kind of
[3:03:43.120 --> 3:03:46.120]  thought Kanye was stupid running on stage and you know getting in front of
[3:03:46.120 --> 3:03:49.240]  Taylor Swift and you know why is he married to the Kardashians but then I
[3:03:49.240 --> 3:03:54.920]  see him I see him later I learned no cuz the MTV fakes the awards it isn't real
[3:03:54.920 --> 3:03:58.680]  and they just give it whoever they want like I talked to I can't talk about it
[3:03:58.680 --> 3:04:03.480]  but a lot of these reality TV shows and exercise shows and things where they're
[3:04:03.480 --> 3:04:07.120]  in the wilderness somebody else wins but politically they'll choose who they
[3:04:07.120 --> 3:04:10.520]  want to win so Kanye West said the thought police wants to press freedom of
[3:04:10.520 --> 3:04:15.080]  thought and so absolutely it's very exciting and I mean I don't know what
[3:04:15.080 --> 3:04:17.120]  they're gonna do to I guess they're gonna call him a white supremacist what
[3:04:17.120 --> 3:04:21.480]  do you think of Tom Arnold telling Candice Owen to suck cock delight that
[3:04:21.480 --> 3:04:26.880]  to suck you know what yeah I mean I've been to Hollywood I'm a musician I went
[3:04:26.880 --> 3:04:31.120]  to Hollywood and I was I was in the top you know I mean music music label that
[3:04:31.120 --> 3:04:34.540]  was there was gonna do things and they sat me down in a room and they said look
[3:04:34.540 --> 3:04:39.040]  man you need to act more black and I'm like whoa whoa whoa whoa I've been
[3:04:39.040 --> 3:04:44.720]  woken up to Hollywood Tom Arnold we need I mean he he somebody needs to smack
[3:04:44.720 --> 3:04:48.040]  him in the back of the head Marcos stay there back in 60 seconds I want to
[3:04:48.040 --> 3:04:50.720]  finish up with you in the hand of the time the Lionel I want to hear about
[3:04:50.720 --> 3:04:56.160]  what they sat you down in a room and told you introducing cell force by info
[3:04:56.160 --> 3:05:01.120]  war's life cell force focuses on mitochondria efficiency and protection
[3:05:01.120 --> 3:05:06.280]  mitochondria produce over 95% of your energy they are your body's cellular
[3:05:06.280 --> 3:05:11.000]  engines cell force helps promote your cellular energy production by supporting
[3:05:11.000 --> 3:05:15.040]  mitochondria much like a cellular engine overhaul because when your
[3:05:15.040 --> 3:05:19.240]  mitochondria don't run at 100% efficiency then they start producing
[3:05:19.240 --> 3:05:24.520]  reactive oxygen species top scientists agree that aging is most likely caused
[3:05:24.520 --> 3:05:29.760]  by cellular damage resulting from these reactive oxygen species the
[3:05:29.760 --> 3:05:33.800]  antioxidants found in cell force are some of the most powerful available on
[3:05:33.800 --> 3:05:38.360]  the market the stronger the antioxidant the better its ability to scavenge for
[3:05:38.360 --> 3:05:44.160]  these reactive oxygen species and other free radicals boost protect and adapt
[3:05:44.160 --> 3:05:50.000]  with cell force from info wars life head to info wars life dot com or call
[3:05:50.000 --> 3:06:02.840]  1-888-253-3139
[3:06:20.000 --> 3:06:28.640]  pointing what appears to be a water gun the image of President Donald Trump
[3:06:28.640 --> 3:06:32.720]  projected on a white board our teacher pale moody has not been seen by countless
[3:06:32.720 --> 3:06:39.320]  viewers across the internet yes I have thought an awful lot about blowing up the
[3:06:39.320 --> 3:06:46.160]  White House it's an actor dressed to look just like President Donald Trump as
[3:06:46.160 --> 3:06:51.600]  he's assassinated on stage pictures and video depicting comedian Kathy Griffin
[3:06:51.600 --> 3:06:56.680]  holding the bloody decapitated head of President Trump are no joking matter for
[3:06:56.680 --> 3:07:01.760]  the Secret Service a rhetoric that has inspired the violence has come from the
[3:07:01.760 --> 3:07:06.200]  mainstream of the Democratic Party they're involved in the coup an active
[3:07:06.200 --> 3:07:28.840]  attempt to start a bloody civil war
[3:07:28.840 --> 3:07:32.960]  all right Lionel former prosecutor syndicate a TV radio host has taken
[3:07:32.960 --> 3:07:36.520]  over always love having him host the show we're taking some amazing calls
[3:07:36.520 --> 3:07:42.320]  to continue with calls on the grab bag of issues that are all over the map I'm
[3:07:42.320 --> 3:07:44.640]  gonna finish with this caller right now but I wanted to bring this up to him
[3:07:44.640 --> 3:07:48.960]  because he's a lawyer we couldn't believe I want to ask you what you think is
[3:07:48.960 --> 3:07:52.200]  going on because I've got a lot of law firms involved in this some of the top
[3:07:52.200 --> 3:07:57.120]  ones in the country and they've never seen lawsuits this fake filed to
[3:07:57.120 --> 3:08:00.680]  obviously get the PR and just say horrible things in the suit that you
[3:08:00.680 --> 3:08:06.920]  can't get away with in public and so Georgetown contacted the court and my
[3:08:06.920 --> 3:08:11.640]  law firm in DC and Mark Balin today and so we were drawing our lawsuit tomorrow
[3:08:11.640 --> 3:08:17.120]  but we were not stupid we know they're gonna probably refile one because we
[3:08:17.120 --> 3:08:21.360]  had that press conference we get we can have to go in DC and pointed out just all
[3:08:21.360 --> 3:08:28.440]  the insanity I mean not just typos but they just say for 70 pages things we
[3:08:28.440 --> 3:08:34.600]  never said which I'm automatically you get a slapback now the Virginia passed
[3:08:34.600 --> 3:08:39.120]  last year so we're predicting there were there withdrawing it there'll be no
[3:08:39.120 --> 3:08:43.000]  media coverage and they'll pull out all the defamation and refile it but now the
[3:08:43.000 --> 3:08:46.560]  media outlets that ran with that unless they run retractions we've got to reach
[3:08:46.560 --> 3:08:50.640]  out to them we've got to notify all this media and they have 30 days depending on
[3:08:50.640 --> 3:08:54.400]  the state they have to retract but that's an army of our folks at the contact
[3:08:54.400 --> 3:09:00.360]  you know hundreds of publications and CNN you name it and say hey this has been
[3:09:00.360 --> 3:09:04.200]  retracted this isn't true and then they just expect we won't I think they're
[3:09:04.200 --> 3:09:07.720]  going to refile but you're you know you were a successful prosecutor down in
[3:09:07.720 --> 3:09:11.240]  Miami and you've done your own deal and you know National Talk Show host your
[3:09:11.240 --> 3:09:15.080]  smart guy let me ask you before we finish with some calls you take over why
[3:09:15.080 --> 3:09:18.640]  do you think they didn't report on us filing countersuit against them a week
[3:09:18.640 --> 3:09:22.240]  and a half ago and now they're withdrawing the Georgetown Charlottesville fake
[3:09:22.240 --> 3:09:25.760]  lawsuit where they claim I said some camera man killed a woman never said
[3:09:25.760 --> 3:09:29.280]  that I mean it's that's what I mean my lawyers go this is like what you'd file
[3:09:29.280 --> 3:09:33.120]  to lose a slapback suit it's like textbook what do you think's happening
[3:09:33.120 --> 3:09:36.600]  just arrogance or they think I'm riding around on horses are down here and I'm
[3:09:36.600 --> 3:09:41.560]  like what's that I never heard of electricity I mean all these lawsuits
[3:09:41.560 --> 3:09:44.880]  are incredibly fake we've got to fight them we've got a countersuit but this
[3:09:44.880 --> 3:09:48.400]  thing if you put a quarter in the machine you sue us you get this big
[3:09:48.400 --> 3:09:51.840]  Mario go around in the media of lies they got to pay the piper I think you're
[3:09:51.840 --> 3:09:55.440]  starting to figure that out what do you think well I couldn't tell you I mean I
[3:09:55.440 --> 3:09:59.160]  I'm not trying to be coy I couldn't tell you I'm not even sure about this but I
[3:09:59.160 --> 3:10:04.840]  gotta tell you one thing Alex it's never it's it's never ceased to amaze me how
[3:10:04.840 --> 3:10:09.200]  these lawsuits don't even look like lawsuits take the one last last week
[3:10:09.200 --> 3:10:14.640]  there was that the that the DNC filed against Russia I love this one Russia
[3:10:14.640 --> 3:10:19.880]  where do you serve Russia anyway but but the the lawsuits the the actual cause of
[3:10:19.880 --> 3:10:26.040]  action the complaint is a narrative of a almost like a novel and then that's what
[3:10:26.040 --> 3:10:31.320]  I said it's like a screenplay or what's now you publish your screenplays in
[3:10:31.320 --> 3:10:36.440]  court that's how you publish now well normally the you know these complaint
[3:10:36.440 --> 3:10:40.480]  are very very sterile and they're very precise they're very surgical you can
[3:10:40.480 --> 3:10:44.280]  say well and admitted and I admitted and I deny you know and they're very very
[3:10:44.280 --> 3:10:48.520]  good with citation the best one if you can get a hold of this one remember
[3:10:48.520 --> 3:10:54.280]  remember Alex it was up a Friday afternoon and the and the government
[3:10:54.280 --> 3:10:59.680]  filed against 13 imaginary mysterious I think actual Russian bots it was a
[3:10:59.680 --> 3:11:04.680]  Friday right at the time at the FBI was coming under tremendous attack for why
[3:11:04.680 --> 3:11:08.880]  they didn't follow up sure we know it's all PR that's what I'm saying so if they
[3:11:08.880 --> 3:11:13.400]  were why do they so it is filed is like a publishing a novel this is how you
[3:11:13.400 --> 3:11:17.440]  publish digital novels now you sue someone you defame them you call it a
[3:11:17.440 --> 3:11:23.360]  defamation suit so how do we respond to this well but I don't know and also the
[3:11:23.360 --> 3:11:27.480]  idea of complaints are there to a prize you you know notice pleading to put you
[3:11:27.480 --> 3:11:31.840]  on notice this is what was said this is why it violates this is this is how you
[3:11:31.840 --> 3:11:37.360]  frame your response this is whatever and we're getting more and more of these and
[3:11:37.360 --> 3:11:42.040]  and I'm sorry I've not read a particular specifics of your case but in the in the
[3:11:42.040 --> 3:11:46.360]  two that I've mentioned I read this and I and I've asked colleagues of mine I'm
[3:11:46.360 --> 3:11:50.280]  saying have you see anything like this you know what's interesting I'm saying
[3:11:50.280 --> 3:11:53.800]  so I'm asking you what is this is a lawyer for a prosecutor that's my lawyer
[3:11:53.800 --> 3:11:58.600]  tell me they go this is new this is like a novel a screenplay of made-up crap they
[3:11:58.600 --> 3:12:02.040]  publish it because it's protected from defamation as its court the media is not
[3:12:02.040 --> 3:12:06.560]  protected I think they know regurgitating it's not and then embellishing it
[3:12:06.560 --> 3:12:11.680]  so it's a new level of like leftist insanity or you're trying to create an
[3:12:11.680 --> 3:12:17.440]  alternate dimension I mean what is it I again I'm trying that I don't know what
[3:12:17.440 --> 3:12:20.720]  motivates these people but I do know this there are strict rules of
[3:12:20.720 --> 3:12:24.760]  professional consideration and professional responsibility and rules of
[3:12:24.760 --> 3:12:28.560]  ethics that are actionable anytime a lawyer signs off with something you're
[3:12:28.560 --> 3:12:31.880]  saying you have good faith in this and this is this is actionable this is based
[3:12:31.880 --> 3:12:36.800]  on law this is based on your good faith their officers of the court standing up
[3:12:36.800 --> 3:12:41.960]  saying this is bonafide absolutely and it's also we have really seen now new
[3:12:41.960 --> 3:12:48.480]  ways of using the notion of libel from what it used to be you know one of the
[3:12:48.480 --> 3:12:52.640]  things that's the most that that is completely missed is simply this you
[3:12:52.640 --> 3:12:55.920]  know Alice in the old days somebody would say for example here's the
[3:12:55.920 --> 3:13:01.960]  prototypical case you said something that was a lie I'm a business owner you
[3:13:01.960 --> 3:13:06.360]  made a statement of fact not an opinion nothing that was protected and based
[3:13:06.360 --> 3:13:10.920]  upon this erroneous statement of fact I lost my business I lost my customers
[3:13:10.920 --> 3:13:16.240]  nobody gave I suffered economic damages I can show you I suffered from what you
[3:13:16.240 --> 3:13:22.200]  said you said this and it's not true that's the prototypical classic
[3:13:22.200 --> 3:13:26.880]  quintessential libel you've made a statement of fact that turned out not to
[3:13:26.880 --> 3:13:33.760]  be true today it's kind of morphed into hurt my feelings or said something which
[3:13:33.760 --> 3:13:38.160]  in the court of public opinion may be shocking but not is necessarily actionable
[3:13:38.160 --> 3:13:44.760]  the best one I think is how sometimes people claim they were even damaged you
[3:13:44.760 --> 3:13:49.640]  know you can't rob somebody when they're asleep you have to be awake to be to
[3:13:49.640 --> 3:13:54.280]  show fear there's certain things you have to know about so somebody says hey by
[3:13:54.280 --> 3:13:59.640]  the way did you hear what this guy said about you in Wyoming no how do you prove
[3:13:59.640 --> 3:14:03.560]  damages I was about to say they bring up these made-up cases that no one ever
[3:14:03.560 --> 3:14:07.280]  heard of to say I'm doing bad things to people and they're the ones publishing
[3:14:07.280 --> 3:14:12.280]  the BS that I didn't say they say you defame somebody they put out the lie I
[3:14:12.280 --> 3:14:16.440]  didn't say and then say I'm liable because the mainstream media just put the
[3:14:16.440 --> 3:14:21.400]  lie out this is like next level insanity you know you know what I'm saying is
[3:14:21.400 --> 3:14:25.160]  those that God would destroy they first make man I think this is the beginning
[3:14:25.160 --> 3:14:28.280]  of the end of the legal profession as we've known I mean I believe they're
[3:14:28.280 --> 3:14:33.280]  committing political suicide and even though aside from the fact that this is
[3:14:33.280 --> 3:14:40.480]  and I think people sometimes mistake the anger the frustration the money I'm sure
[3:14:40.480 --> 3:14:45.080]  you could be using a lot of your resources and far smarter ways and
[3:14:45.080 --> 3:14:51.560]  hiring lawyers whatever the arrangement is but here's the irony though I don't
[3:14:51.560 --> 3:14:55.120]  want to bring up Nietzsche but what what they what does that destroy you makes
[3:14:55.120 --> 3:15:00.120]  you stronger you are basically providing a platform and in a strange almost a
[3:15:00.120 --> 3:15:04.760]  backwards way validating the veracity of what you're saying by giving you the
[3:15:04.760 --> 3:15:08.560]  platform because if you said something which was totally insane assuming you
[3:15:08.560 --> 3:15:12.760]  said it but that was absolutely baseless who would bother it's like you only take
[3:15:12.760 --> 3:15:16.160]  flak when you're over the target in a strange way in a reverse way of
[3:15:16.160 --> 3:15:20.360]  psychologizing if you will if that's a word you're actually valid they're not
[3:15:20.360 --> 3:15:24.680]  thinking past one step they don't get there to fight these cases why are they
[3:15:24.680 --> 3:15:28.160]  elevating us what all this exactly you're gonna take over a great caller
[3:15:28.160 --> 3:15:30.840]  Marcos that's more to save you go to him I'm gonna let you take over all these
[3:15:30.840 --> 3:15:35.560]  great callers Daryl John Carlos Pastor Sam Austin Gathering it's the great
[3:15:35.560 --> 3:15:40.240]  Lionel of Lionel media with you right now I'm Alex shows with news wars.com
[3:15:40.240 --> 3:15:44.240]  and info wars.com follow Lionel at Twitter at Lionel media and Lionel
[3:15:44.240 --> 3:15:47.880]  media.com we'll be right back on the other side in the war room with Owen
[3:15:47.880 --> 3:15:51.080]  Shroyer stay with us
[3:15:52.600 --> 3:15:56.680]  healthcare reform is confusing but whether it's finding an affordable
[3:15:56.680 --> 3:16:00.520]  insurance plan keeping your doctor or being able to afford needed prescriptions
[3:16:00.520 --> 3:16:04.680]  navigating the healthcare system has become a challenge control your own
[3:16:04.680 --> 3:16:08.360]  healthcare costs and choices with Liberty Health Share Liberty Health Share is
[3:16:08.360 --> 3:16:12.800]  not insurance it is an association of self-pay patients who unite with like-minded
[3:16:12.800 --> 3:16:16.640]  people to share the cost of each other's medical needs neighbor helping neighbor
[3:16:16.640 --> 3:16:22.160]  learn more now by going to libertyoncall.org that's libertyoncall.org
[3:16:22.160 --> 3:16:29.000]  bacon lovers we ship free try our amazing bacon no refrigeration required
[3:16:29.000 --> 3:16:34.160]  proprietary value added packaging provides 10-year shelf life and protects
[3:16:34.160 --> 3:16:39.480]  the leanest thickest center cut fully cooked bacon in America today ready to
[3:16:39.480 --> 3:16:44.880]  eat right from the pouch or warm and serve savory and delicious wholesale
[3:16:44.880 --> 3:16:50.880]  price for your everyday use order today at ready to eat bacon.com ready to eat
[3:16:50.880 --> 3:16:56.480]  bacon.com water is the single most important thing your body needs so you
[3:16:56.480 --> 3:17:01.640]  want to be sure it's the best for you and your family since 2005 thousands have
[3:17:01.640 --> 3:17:05.960]  depended on Berkey purified water the Berkey guy provides the lowest price
[3:17:05.960 --> 3:17:11.120]  filtration systems in every size for incredibly delicious water now and in
[3:17:11.120 --> 3:17:17.560]  an emergency get to goberkey.com we're call 877-886-3653
[3:17:17.560 --> 3:17:26.760]  877-886-3653 goberkey.com you have been lied to my name is Kevin ship I'm a
[3:17:26.760 --> 3:17:31.360]  former decorated CIA officer finally someone has come out and written what I
[3:17:31.360 --> 3:17:35.000]  think is the best ex Mose on the shadow government ever we're in a
[3:17:35.000 --> 3:17:39.760]  constitutional crisis and our government is now being run to ruled by a shadow
[3:17:39.760 --> 3:17:42.480]  government we got to get this out because just because you're awake folks
[3:17:42.480 --> 3:17:46.000]  doesn't mean other people are this is critical to get to read a good library
[3:17:46.000 --> 3:17:53.040]  to the church get it right now at killingunclesambook.com killingunclesambook.com
[3:17:53.760 --> 3:17:59.600]  I'm so excited the new product at m4warslife.com in a glass bottle two
[3:17:59.600 --> 3:18:04.800]  months servings filled to the brim filled to the absolute top the real Red
[3:18:04.800 --> 3:18:10.120]  Bill this is a heart and brain pill a new tropic but doesn't have any
[3:18:10.120 --> 3:18:13.960]  stimulants in it but boy does it stimulate because it's beyond that
[3:18:13.960 --> 3:18:19.800]  quite frankly I just went off what I saw medical doctors prescribing to their
[3:18:19.800 --> 3:18:23.360]  patients but it wasn't prescription but they were charging people a hundred
[3:18:23.360 --> 3:18:28.480]  two hundred dollars for the formulae and I came up with our own formulae working
[3:18:28.480 --> 3:18:33.480]  with some scientists and developers non-gmo made right here in America 120
[3:18:33.480 --> 3:18:38.880]  capsules and ladies and gentlemen you add the preglonone to it which is the
[3:18:38.880 --> 3:18:43.080]  precursor to all the hormones that your body has to have to even make the
[3:18:43.080 --> 3:18:50.360]  hormones in your glands it is amazing red pill now available at m4warsstore.com
[3:18:50.360 --> 3:18:56.120]  and your purchase fugs the operation we've taken thousands of years of known
[3:18:56.120 --> 3:19:00.720]  research and put it together with our own four years of seeking and testing to
[3:19:00.720 --> 3:19:04.480]  find the very best systems that God gave us to mother nature to detoxify the
[3:19:04.480 --> 3:19:09.120]  body that's why I'm introducing Z shield toxic metal and chemical defense
[3:19:09.120 --> 3:19:13.800]  support it's made in the USA it's filled with known compounds from nature
[3:19:13.800 --> 3:19:17.400]  that are absolutely associated with detoxifying the body and it supports the
[3:19:17.400 --> 3:19:22.440]  info or it is a classical 360 when this is the formula that I personally have
[3:19:22.440 --> 3:19:26.160]  been taking for over a year and now we believe we have come as close to
[3:19:26.160 --> 3:19:30.160]  perfection when it comes to a detoxifier as you can possibly get you want to
[3:19:30.160 --> 3:19:34.160]  yourself you want to your family and you owe it to the future of this country in
[3:19:34.160 --> 3:19:39.080]  the world that patriots stay as healthy and as clean and as focused as you can
[3:19:39.080 --> 3:19:43.800]  be because we need you the remnant of America to reignite those brush fires
[3:19:43.800 --> 3:19:47.080]  the next level and to be healthy and as focused as you can be thanks to your
[3:19:47.080 --> 3:19:50.480]  support and your prayers together we're changing the world now it's time to
[3:19:50.480 --> 3:19:55.480]  change our bodies with z-field and m4warslife.com
[3:19:55.480 --> 3:20:22.920]  you're listening to the alex jones show
[3:20:22.920 --> 3:20:30.360]  to tyrants is obedience to god it's alex jones
[3:20:30.680 --> 3:20:34.520]  I'm not in line with you sitting in for alex jones so glad to be here when I
[3:20:34.520 --> 3:20:38.960]  get down to business I got so much to talk about I I've been thinking which is
[3:20:38.960 --> 3:20:41.680]  a dangerous thing and one of the worst parts about this is what I want to talk
[3:20:41.680 --> 3:20:47.240]  about there's 25 million things so no particular order and no particular sense
[3:20:47.240 --> 3:20:52.040]  of what's important what's not let me tell you what's really getting me charged
[3:20:52.040 --> 3:20:56.240]  up do you know what last night opened let me try this in English you know what
[3:20:56.240 --> 3:21:00.200]  opened last night there we go on Broadway do you know what it was that
[3:21:00.200 --> 3:21:07.960]  absolutely has taken Broadway by storm do you have any idea Harry Potter Harry
[3:21:07.960 --> 3:21:15.080]  Potter now I will tell you this much I'm not familiar a lot of Harry Potter I
[3:21:15.080 --> 3:21:21.000]  know who he is I know what it is the story that is but what is it about and I
[3:21:21.000 --> 3:21:24.480]  got you got to give you a lot of provisos here I don't believe in black
[3:21:24.480 --> 3:21:28.840]  magic I don't believe in any of this stuff I don't I am I'm sorry this point
[3:21:28.840 --> 3:21:33.880]  of complete disclosure I'm irreligious I don't speak God and I don't speak
[3:21:33.880 --> 3:21:37.080]  French I'm not saying that French people don't exist just because I don't
[3:21:37.080 --> 3:21:40.320]  understand what they're saying and I'm not saying there's no religion because I
[3:21:40.320 --> 3:21:44.600]  don't understand it but I'm not into any of that stuff no matter what so I don't
[3:21:44.600 --> 3:21:50.960]  react in horror from that point of view but isn't it funny that right now as
[3:21:50.960 --> 3:21:59.160]  this world this society of ours is being so contaminated by the rank the fetid
[3:21:59.160 --> 3:22:07.280]  the feculate the the the rancid world of sex trafficking sex abuse human
[3:22:07.280 --> 3:22:13.400]  trafficking cults and the like by virtue of people who believe in
[3:22:13.400 --> 3:22:18.640]  symbology and letting you know everything that they do with hand signals
[3:22:18.640 --> 3:22:26.280]  and Instagrams what is going on here do you think that's interesting I think it
[3:22:26.280 --> 3:22:31.480]  is I just want to give you that park it over there just make you say hmm for no
[3:22:31.480 --> 3:22:36.320]  particular reason to say that's odd now I think it's horrific people could see
[3:22:36.320 --> 3:22:43.000]  whatever they want I don't care about it but just think wizards warlocks magic
[3:22:43.000 --> 3:22:48.480]  spells the occult whatever does that scare you does that frighten you maybe
[3:22:48.480 --> 3:22:55.200]  maybe not but isn't that interesting because you know the more that I think
[3:22:55.200 --> 3:23:02.080]  we as humans elevate beyond that the more I say I see that we've never really
[3:23:02.080 --> 3:23:08.920]  evolved that we've been like this since we first crawled out of the ooze and we
[3:23:08.920 --> 3:23:13.920]  have looked at symbology and we have looked at ways to change our environment
[3:23:13.920 --> 3:23:18.960]  locus of control we've tried potions and talismans and we've tried everything
[3:23:18.960 --> 3:23:23.960]  from rain dancing to and we do it right now with weather manipulation we're
[3:23:23.960 --> 3:23:27.880]  trying through either extracurricular through religion through what have you
[3:23:27.880 --> 3:23:33.280]  but isn't that funny that people are going to be applauding and lauding and
[3:23:33.280 --> 3:23:40.480]  heralding what is basically the occult one could say think about that one let
[3:23:40.480 --> 3:23:45.280]  that sink in next I've got to tell you this much this amazes me because you
[3:23:45.280 --> 3:23:48.320]  gotta look at things the way I do I look at I'm thinking okay this is
[3:23:48.320 --> 3:23:52.360]  interesting California is most probably gonna pass a bill Governor Moon beam is
[3:23:52.360 --> 3:23:57.800]  gonna pass a bill against conversion therapy because they believe that
[3:23:57.800 --> 3:24:03.120]  conversion therapy is a fraud they believe that the idea of taking somebody
[3:24:03.120 --> 3:24:11.720]  who is gay and changing them or converting them is a fraud that it's
[3:24:11.720 --> 3:24:16.640]  wrong and it harms people and you know what I would probably say you're
[3:24:16.640 --> 3:24:22.640]  absolutely right I think that is species being able to convert somebody right
[3:24:22.640 --> 3:24:27.040]  we're in a heck with somebody get that crazy idea that you could what just
[3:24:27.040 --> 3:24:33.280]  decide one day yeah I'll go to the doctor and he'll convert me as though sexual
[3:24:33.280 --> 3:24:40.560]  behavior is malleable and prudian that you can decide that it's fluid that one
[3:24:40.560 --> 3:24:46.760]  can have gender us wait a minute isn't that what we're told hold it wait a bit
[3:24:46.760 --> 3:24:55.080]  if we are born I guess or if we could select are we born by sexual are we
[3:24:55.080 --> 3:25:02.880]  born gender nebulous it's sexual orientation lists what does this mean
[3:25:02.880 --> 3:25:09.880]  how can someone say this conversion therapy does wrong and I probably agree
[3:25:09.880 --> 3:25:15.920]  with you it could just ruin somebody by making them be straight when they're gay
[3:25:15.920 --> 3:25:21.920]  or I guess somebody could go in and have the opposite I wonder I wonder if
[3:25:21.920 --> 3:25:26.960]  California would mind if somebody said no I want to be gay they might say no
[3:25:26.960 --> 3:25:36.040]  that's not the same whatever but do you see the following problems with us
[3:25:36.040 --> 3:25:41.240]  number one we're told that there is no such thing as gender we're told that
[3:25:41.240 --> 3:25:44.920]  there's no such thing as sexual orientation and also what do you mean
[3:25:44.920 --> 3:25:52.520]  that a type of psychological treatment is a fraud what do you mean there's no
[3:25:52.520 --> 3:25:57.320]  basis for it you've been telling kids they have ADD and ADHD which they may or
[3:25:57.320 --> 3:26:01.000]  may not have and other people have said I don't think so you have absolutely
[3:26:01.000 --> 3:26:06.520]  narcotized generations based upon things in the DSM and DSM five that you've
[3:26:06.520 --> 3:26:13.640]  made up on the spot now why can't I call that a fraud and furthermore if there is
[3:26:13.640 --> 3:26:20.640]  somebody whose faith is such that they believe that you can through prayer or
[3:26:20.640 --> 3:26:26.600]  divination or whatever the heck you want that you can change sexual orientation
[3:26:26.600 --> 3:26:32.440]  through prayer and the like which might fall under the rubric of this conversion
[3:26:32.440 --> 3:26:38.760]  therapy then why pray tell why is that wrong isn't that their first amendment
[3:26:38.760 --> 3:26:44.360]  right to believe in this this is one of the danger but the most dangerous laws
[3:26:44.360 --> 3:26:48.720]  that people are applauding but they haven't thought about it they can give
[3:26:48.720 --> 3:26:54.320]  your kids vaccines they can give your kids psychotropic medication to change
[3:26:54.320 --> 3:27:00.200]  their ability to think and process through ADD HD they can do so be because
[3:27:00.200 --> 3:27:05.400]  somebody has said this is a fraud are they gonna do astrology next no wait a
[3:27:05.400 --> 3:27:11.640]  minute here in New York on every corner there's either a bank on nail salon or
[3:27:11.640 --> 3:27:16.440]  an astrologer there's astrology all over the place get your palm red and tarot
[3:27:16.440 --> 3:27:22.880]  cards are we gonna pass a law that says that's a fraudulent course not I'm not
[3:27:22.880 --> 3:27:26.880]  saying it is I don't particularly believe in it I'm not much of a believer
[3:27:26.880 --> 3:27:32.600]  despite what the monkeys may have intoned but is that not for me to decide
[3:27:32.600 --> 3:27:37.480]  how is it that in this particular case the government of California decides
[3:27:37.480 --> 3:27:42.800]  we are going to impart our wisdom on a particular modality on a particular
[3:27:42.800 --> 3:27:46.520]  type of therapy on a particular way of thinking regarding a particular situation
[3:27:46.520 --> 3:27:53.160]  that they believe these conversion folks that they can change behavior when by
[3:27:53.160 --> 3:27:58.600]  the same token every other story tells you not only can you change on your own
[3:27:58.600 --> 3:28:03.480]  that gender and sexual orientation is fluid but that you were born with the
[3:28:03.480 --> 3:28:10.240]  blank slate the tabula rasa look at laws carefully look at the news carefully
[3:28:10.240 --> 3:28:14.000]  and peel back the layers of the onion and look and see for yourself does this
[3:28:14.000 --> 3:28:19.160]  make any sense to you you can't have it both ways now I want to talk about some
