[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[02:55:45.732 --> 02:55:54.098]  From this three and a quarter page memo, they know, meaning the Deep State, they know they've got a lot more, the foundational documentation for this memo.
[02:55:54.098 --> 02:56:02.263]  And you went over that, which was a brilliant, that 99 page FISA audit that you went over with Mr. Binney last week.
[02:56:03.339 --> 02:56:04.800]  Just take a look at that.
[02:56:04.800 --> 02:56:10.521]  And that's got the three cases that were masked, that's blacked out, that when they said this is illegal.
[02:56:10.521 --> 02:56:20.244]  FISA was telling the President, sir, in April, this is illegal, and gave him the report, and I know the White House wanted that on the air, and the media just covered it up.
[02:56:20.244 --> 02:56:21.625]  Of course.
[02:56:21.625 --> 02:56:32.088]  The media is complicit in this, and when you look at the level of complicity by the media, and by the way, the Fusion GPS documents, and I know that this is kind of being shotgun
[02:56:35.247 --> 02:56:35.507]  We're good.
[02:56:59.428 --> 02:57:00.308]  Well, that's the word.
[02:57:00.308 --> 02:57:07.312]  Congress has leaked that reportedly 2 million through the FBI and Justice Department went to family members that were at GPS or his wife.
[02:57:07.312 --> 02:57:11.134]  They tried to deny it, but the word is they've committed perjury.
[02:57:11.134 --> 02:57:12.735]  The word is that they have the documents.
[02:57:12.735 --> 02:57:13.435]  Is that what you've been told?
[02:57:14.481 --> 02:57:17.623]  Absolutely they've got the documents.
[02:57:17.623 --> 02:57:22.947]  In fact, the Office of the Inspector General Michael Horowitz has additional documents.
[02:57:22.947 --> 02:57:24.368]  You go back to the texts that were lost.
[02:57:24.368 --> 02:57:25.068]  Never lost.
[02:57:25.068 --> 02:57:25.849]  They've had them.
[02:57:25.849 --> 02:57:27.450]  That was something totally different.
[02:57:27.450 --> 02:57:28.871]  Oh, let me ask you about that when we come back.
[02:57:28.871 --> 02:57:30.952]  I'll host a little bit with you in the next hour and let you take over.
[02:57:30.952 --> 02:57:31.873]  Man, you're on fire.
[02:57:31.873 --> 02:57:33.294]  I mean, Doug Hagman.
[02:57:33.294 --> 02:57:35.155]  That microphone sounds even better than mine.
[02:57:35.155 --> 02:57:35.975]  I'm a little bit jealous.
[02:57:35.975 --> 02:57:36.896]  That studio is.
[02:57:36.896 --> 02:57:38.057]  Doug Hagman.
[02:57:38.057 --> 02:57:41.419]  It's good to see competent badasses, isn't it?
[02:57:41.419 --> 02:57:43.541]  Makes you feel like you're not alone.
[02:57:43.541 --> 02:57:44.001]  Stay with us.
[02:57:45.722 --> 02:57:49.204]  InfoWars Live is bringing you a breakthrough in modern medicine.
[02:57:49.204 --> 02:58:00.711]  We have found extraordinary new natural way to help alleviate seasonal distress symptoms including promoting clear nasal and sinus passageways, eye comfort and respiratory health and normal breathing.
[02:58:00.711 --> 02:58:01.592]  This is pollen blood.
[02:58:02.612 --> 02:58:15.280]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy, watery eyes, and excessive mucus production.
[02:58:15.280 --> 02:58:19.602]  They began studying the effects in published trials.
[02:58:19.602 --> 02:58:23.605]  Now we are introducing the fruit of the research, a fast-acting, chewable tablet.
[02:58:24.065 --> 02:58:34.172]  Just chew two tablets at the first sign of seasonal distress and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[02:58:34.172 --> 02:58:37.294]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[02:58:37.294 --> 02:58:41.517]  Available now at Infowarslife.com or by calling toll free.
[02:58:41.517 --> 02:58:41.557]  888-253-3139
[02:58:46.638 --> 02:58:49.601]  Top scientists and researchers agree.
[02:58:49.601 --> 02:58:58.750]  We are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[02:58:58.750 --> 02:59:00.131]  So what do we do about it?
[02:59:00.131 --> 02:59:03.455]  Well, for starters, don't just sit there and take it.
[02:59:03.455 --> 02:59:09.541]  Fight back with the all-new Supercharged Brain Force Plus and feel the rush
[02:59:09.941 --> 02:59:11.202]  Without the crash!
[02:59:11.202 --> 02:59:17.445]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[02:59:17.445 --> 02:59:23.368]  And now we've added a brand new ingredient called Black Pepper Fruit Extract.
[02:59:23.368 --> 02:59:25.349]  It gives you an added kick!
[02:59:26.189 --> 02:59:38.914]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[02:59:38.914 --> 02:59:40.235]  It's the real deal.
[02:59:40.235 --> 02:59:41.976]  Brain Force Plus.
[02:59:41.976 --> 02:59:49.679]  Secure your bottle right now at Infowarsstore.com.
[02:59:49.679 --> 02:59:52.320]  You're listening to the Alex Jones Show.
[03:00:08.479 --> 03:00:15.082]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[03:00:15.082 --> 03:00:21.546]  You know, you watch the Democrats and the Globalists on TV, and the Blue Blood Republican scumbags, and it's just total bitch.
[03:00:22.824 --> 03:00:28.929]  Because I know, I research what's going on, and then I look at my guests like Hagman, or what I'm doing, or our sources.
[03:00:28.929 --> 03:00:33.613]  I mean, I think about the sources I've got sometimes, and I don't even deserve this.
[03:00:33.613 --> 03:00:38.076]  It's kind of like William Benny said, he goes, it's a shame Alex, you're one of the only shows that will put this out.
[03:00:38.076 --> 03:00:41.219]  This should be on Bigger, and it's like, I don't think that's an insult.
[03:00:41.219 --> 03:00:44.802]  It's true, that guy should be on Nightline, you know, that guy should be on Meet the Press.
[03:00:44.802 --> 03:00:47.504]  But you know, it's incredible.
[03:00:49.127 --> 03:00:59.561]  The fact that we're in the middle of a second American Revolution, the economy's coming back, we were artificially suppressed, you've got a crazy deep state on the Chinese Communist payroll, man, they're like puppets.
[03:01:01.443 --> 03:01:11.607]  And we are just in the middle of this, and then I see a third of the population smoking the New World Order dope that literally think we're Nazis.
[03:01:11.607 --> 03:01:18.649]  And when Soros is a Nazi and running almost all of this, he's like the evil engine behind it, the will.
[03:01:18.649 --> 03:01:23.111]  It just, it makes my mind boggle.
[03:01:23.111 --> 03:01:29.393]  Doug Hagman, it's just, I don't know how to quantify historically where we are right now.
[03:01:31.261 --> 03:01:36.903]  You know, I was thinking about that this morning as the memo actually came out.
[03:01:36.903 --> 03:01:46.586]  Look, I believe right now, today, we sit in the most perilous time in American history, one of the most significant times in American history.
[03:01:46.586 --> 03:01:59.671]  And I don't say that lightly, because I know all of the, how this could be blown out of proportion, but when you see the fact that during the revolution, we did, the reasons for the first American revolution,
[03:02:00.371 --> 03:02:01.811]  And we see what's happening today.
[03:02:01.811 --> 03:02:06.452]  Look, we don't have an MI5, as Sebastian Gorka had said.
[03:02:06.452 --> 03:02:10.033]  We don't have this secret police internal within our government.
[03:02:10.033 --> 03:02:14.434]  Yet, this is exactly what we're seeing, having been formed.
[03:02:14.434 --> 03:02:15.314]  You just quantified!
[03:02:15.314 --> 03:02:16.114]  That's it.
[03:02:16.114 --> 03:02:26.997]  The Clintons had set up a secret police, Praetorian Guard, within key federal agencies, openly involved in espionage, not against Trump, but against the will of the voters and our republic itself.
[03:02:26.997 --> 03:02:27.977]  This is treason!
[03:02:29.162 --> 03:02:30.423]  Absolutely.
[03:02:30.423 --> 03:02:32.064]  Treason, sedition.
[03:02:32.064 --> 03:02:39.588]  And look, you know, I was joking earlier today, maybe I should buy some stock in rope companies.
[03:02:39.588 --> 03:02:44.070]  And I don't say that lightly, nor do I want to sound glib about it,
[03:02:44.310 --> 03:02:51.935]  But I've got to tell you, when you look at all of these scandals, all of these crimes combined... When the shoe fits, where is it?
[03:02:51.935 --> 03:03:01.722]  I mean, look, exactly, if Trump doesn't go after them aggressively, I don't want vengeance, I don't want to corner people, but we're already, they're already cornered, they won't give up, we have to dash them out now!
[03:03:04.183 --> 03:03:05.263]  If not now, when?
[03:03:05.263 --> 03:03:08.065]  We're not going to have another opportunity.
[03:03:08.065 --> 03:03:09.686]  God is giving us our one shot.
[03:03:09.686 --> 03:03:10.446]  I'm sorry I'm interrupting you.
[03:03:10.446 --> 03:03:12.727]  What you're saying is total meritos.
[03:03:12.727 --> 03:03:16.930]  And look, when I say stuff that makes me public enemy number one, I say we gotta get them.
[03:03:16.930 --> 03:03:18.110]  But I just can't lie.
[03:03:18.110 --> 03:03:19.211]  We have to crush them, right?
[03:03:20.912 --> 03:03:25.054]  There's no other alternative except crush them or be crushed.
[03:03:25.054 --> 03:03:31.458]  Expose them or forever lose that opportunity at this point and this is what I believe.
[03:03:31.458 --> 03:03:33.359]  These overlapping crimes.
[03:03:33.359 --> 03:03:36.781]  Look, the crimes of Hillary Clinton will come out.
[03:03:36.781 --> 03:03:41.464]  The crimes of Lois Lerner under the, well, I could select any number of
[03:03:41.544 --> 03:03:45.828]  I was about to say, if it wasn't for these men and women's courage, we finally had real people in Congress.
[03:03:45.828 --> 03:03:48.810]  So it wasn't just Trump or the media or the people.
[03:03:48.810 --> 03:03:50.271]  The planets aligned, didn't they?
[03:04:07.403 --> 03:04:07.863]  Exactly.
[03:04:07.863 --> 03:04:21.509]  The confluence of events, and the fact is, and everyone listening to this, we are being presented, all of us, individually and collectively, with an opportunity to take our country back, and we need to do that right now, because if we don't do it now, we're not going to be able to do it.
[03:04:21.509 --> 03:04:25.571]  Let's come back and talk about that, then I'm going to get out of here because I want you to host the show, but you're just on fire, because we're all on fire.
[03:04:25.991 --> 03:04:27.312]  This is a spiritual choice, isn't it?
[03:04:27.312 --> 03:04:29.153]  God knows about our covenant.
[03:04:29.153 --> 03:04:31.614]  America was based in Christianity.
[03:04:31.614 --> 03:04:32.675]  And this is our last chance.
[03:04:32.675 --> 03:04:34.135]  We're all thinking, oh, this is great.
[03:04:34.135 --> 03:04:40.499]  If we make the wrong decision on this dub, do you agree that we're going to be totally turned over to evil?
[03:04:40.499 --> 03:04:42.220]  Exactly.
[03:04:42.220 --> 03:04:43.681]  God, I've never had chills this strong.
[03:04:43.681 --> 03:04:44.421]  I'm not kidding.
[03:04:44.421 --> 03:04:46.002]  I'm on fire right now.
[03:04:46.002 --> 03:04:47.803]  I feel like I'm burning right now.
[03:04:47.803 --> 03:04:49.624]  Because the energy is so strong right now.
[03:04:49.624 --> 03:04:52.125]  Because as goes America, so goes the world.
[03:04:52.125 --> 03:04:53.466]  This is the future destiny.
[03:04:55.543 --> 03:05:00.227]  President Trump is expected to swiftly declassify the controversial FISA memo.
[03:05:00.227 --> 03:05:09.035]  The news comes after the FBI issued a rare public statement saying it had grave concerns about its release, which could be detrimental to national security.
[03:05:09.035 --> 03:05:16.882]  FBI Director Christopher Wray is reportedly pressuring the White House to redact all names in the memo prior to its release, so much for transparency.
[03:05:17.202 --> 03:05:22.423]  Congressman Jeff Duncan says the release of the FISA memo will shake the FBI to its core.
[03:05:22.423 --> 03:05:30.665]  He revealed that the document exposes how the agency was weaponized by Hillary Clinton and the Obama administration to spy on the Trump campaign.
[03:05:30.665 --> 03:05:36.827]  Representative Adam Schiff has tried to block the release of the damning FISA memo, saying he discovered material changes to it.
[03:05:37.287 --> 03:05:45.095]  Chairman Nunez's office said the changes were minor and blasted the complaint as a bizarre distraction from the abuses detailed in the memo.
[03:05:45.095 --> 03:05:51.802]  And the soon-to-be-released FISA memo has been a trending topic for days because the deep state tried so hard to suppress it.
[03:05:51.802 --> 03:05:53.704]  Leanne McAdoo, InfoWars.com
[03:06:06.633 --> 03:06:14.531]  Coming to you from the former United States of America, from deep in the heart of Texas, it's Alex Jones!
[03:06:24.898 --> 03:06:26.718]  Doug Hagman is on fire.
[03:06:26.718 --> 03:06:27.499]  I'm on fire.
[03:06:27.499 --> 03:06:35.161]  We're all on fire because this signifies elements of Congress, the presidency, the courts.
[03:06:35.161 --> 03:06:39.702]  FISA came to the president in April and said, sir, they brought us three illegal warrants on you.
[03:06:39.702 --> 03:06:46.383]  And we said no, but they brought them back and it was ordered by the president.
[03:06:46.383 --> 03:06:48.664]  And now you have the FISA court.
[03:06:49.946 --> 03:06:50.866]  You have Congress.
[03:06:50.866 --> 03:06:52.087]  You have the President.
[03:06:52.087 --> 03:06:53.608]  That's all three branches.
[03:06:53.608 --> 03:06:55.769]  Trump is doing everything by the book.
[03:06:55.769 --> 03:06:56.629]  That's what's amazing.
[03:06:56.629 --> 03:06:58.250]  You know, Ron Paul said, I could never be a dictator.
[03:06:58.250 --> 03:06:59.451]  It'll be hard to fix things.
[03:06:59.451 --> 03:07:01.071]  Trump isn't doing it as a dictator.
[03:07:01.071 --> 03:07:08.255]  He's doing it the way you're supposed to, by sheer force of will, making hundreds of phone calls a day, going and meeting with people.
[03:07:09.153 --> 03:07:10.053]  That's why they hate him.
[03:07:10.053 --> 03:07:17.615]  I mean, it's messianic, the energy, the way Trump hid all this, except his dad was giving the John Birch Society money.
[03:07:17.615 --> 03:07:19.635]  He was writing op-eds against napkin dad.
[03:07:19.635 --> 03:07:22.096]  I talked to folks that were hanging out with Trump 20, 30, 40 years ago.
[03:07:22.096 --> 03:07:25.937]  He'd bitch and complain about, can't somebody really run and turn this around?
[03:07:25.937 --> 03:07:27.357]  Make America even more wealthier.
[03:07:27.357 --> 03:07:28.737]  More wealth makes more wealth.
[03:07:28.737 --> 03:07:30.457]  Plunging us down doesn't raise the world up.
[03:07:30.457 --> 03:07:32.258]  I mean, Trump just gets fundamental economics.
[03:07:33.098 --> 03:07:34.099]  And he likes prosperity.
[03:07:34.099 --> 03:07:36.862]  He's a service-oriented billionaire.
[03:07:36.862 --> 03:07:38.323]  The blue-collar service billionaire.
[03:07:38.323 --> 03:07:44.789]  And so, I mean, he'll break your neck if you take a swing at him, but he's not out to just... Oh, look at that family!
[03:07:44.789 --> 03:07:47.412]  They're good-looking, they got a nice family, and they got a nice house.
[03:07:47.412 --> 03:07:49.634]  I want to make them poor, so I run them.
[03:07:49.634 --> 03:07:51.756]  Trump's like the ghost of Christmas present.
[03:07:52.841 --> 03:07:59.886]  Ladies and gentlemen, he wants prosperity and that doesn't fit into the austerity, world government view of the globalists that want to make you poor.
[03:07:59.886 --> 03:08:04.789]  So Doug, just recapping the epic moment we've reached.
[03:08:04.789 --> 03:08:10.954]  The train derailment, the attacks, the Trump and the Republicans meeting in that bunker yesterday before all of it.
[03:08:10.954 --> 03:08:13.175]  They know this is all coming to a head.
[03:08:13.175 --> 03:08:15.717]  They know the globalists are getting ready to make their move.
[03:08:15.717 --> 03:08:18.359]  Mueller is so narcissistic and insane.
[03:08:19.790 --> 03:08:23.213]  The word is he's going to go ahead and get that swamp jury in D.C.
[03:08:23.213 --> 03:08:23.813]  to indict.
[03:08:23.813 --> 03:08:25.955]  I mean, out of the swamp.
[03:08:25.955 --> 03:08:27.376]  I mean, I've talked to people that have been there.
[03:08:27.376 --> 03:08:27.977]  It's been in the news.
[03:08:27.977 --> 03:08:33.961]  They say it's like an Antifa, Black Lives Matter, Gloria Steinem event.
[03:08:33.961 --> 03:08:37.945]  And so what happens there, the attempt to impeach, I guess 2018 is everything.
[03:08:37.945 --> 03:08:45.191]  While Trump tries to right the ship, get the deep state out of total control, turn the economy back on, we've got to watch his six
[03:08:46.573 --> 03:08:52.989]  In these upcoming elections, where we saw with Roy Moore, whether you love him or hate him, 15 points behind in polls, loses by half a point.
[03:08:54.534 --> 03:08:59.078]  Democrats showing up in airplanes and buses saying, we got names of dead people, we're going to go vote.
[03:08:59.078 --> 03:09:00.639]  I mean, they stole that election.
[03:09:00.639 --> 03:09:05.623]  We now know, Katie, bar the door, they are total blue wave attack.
[03:09:05.623 --> 03:09:16.432]  And if we go to sleep and are self-confident, even though we're having initial victories because of Trump's gravity well, we are going to, I think, lose the big one if we let him get surrounded.
[03:09:16.432 --> 03:09:16.873]  What do you think?
[03:09:18.321 --> 03:09:19.942]  Yes, exactly.
[03:09:19.942 --> 03:09:31.325]  I think we need to, well, make sure we are buckled in and our seat backs and tray tables are in their full upright and locked position because there will be blowback.
[03:09:31.325 --> 03:09:34.786]  You can expect blowback from the deep state, from the shadow government.
[03:09:34.786 --> 03:09:38.127]  This will not go without response.
[03:09:38.127 --> 03:09:39.027]  We've seen it.
[03:09:39.027 --> 03:09:45.229]  We've seen the pathetic attempts by Adam Schiff and others about this in response to this memo.
[03:09:45.809 --> 03:09:48.771]  But see, again, this is just the first shot across the bow.
[03:09:48.771 --> 03:09:51.412]  What comes next is the foundational documents for this.
[03:09:51.412 --> 03:10:05.920]  What comes next is the implications or the groundwork to not just dismantle the legacy of Barack Hussein Obama, as Donald Trump is doing, which just infuriates the deep state, but
[03:10:07.628 --> 03:10:18.513]  It holds to account those individuals who have really attempted to subjugate all of America and overturn an election and overturn the will of the people.
[03:10:18.513 --> 03:10:20.633]  Look, these people are out for blood.
[03:10:20.633 --> 03:10:24.495]  They're death grip on their attempts to maintain power.
[03:10:24.495 --> 03:10:25.736]  It's just absolutely incredible.
[03:10:25.736 --> 03:10:29.518]  This is a no-quarter given, none received, none given back.
[03:10:29.518 --> 03:10:30.278]  This is a death battle.
[03:10:31.147 --> 03:10:37.974]  Yes, and I think people need to realize the serious nature of what we're seeing here.
[03:10:37.974 --> 03:10:48.724]  The people within the deep state, just as we saw Hillary Clinton not going away quietly, Barack Obama not going away quietly, establishing a beachhead on Embassy Road there, complete with a skiff.
[03:10:48.724 --> 03:10:50.746]  Look, there's a reason for that.
[03:10:50.746 --> 03:10:51.647]  There's a reason why these people
[03:10:51.647 --> 03:10:53.628]  People aren't going away quietly.
[03:10:53.628 --> 03:11:00.332]  And that also goes back to the December 21st... Because they've committed such massive crimes, their own underlings are having to pay off.
[03:11:00.332 --> 03:11:02.353]  They know we'll come after them.
[03:11:02.353 --> 03:11:04.635]  They've got a lot of guaranteed payments made.
[03:11:04.635 --> 03:11:15.842]  And as their Saudi money gets cut off, as their Chinese money gets cut off, as their Vatican money gets cut off, as their EU money gets cut off, as their Hollywood money gets cut off, all the people they were paying off are going to come out against them.
[03:11:15.842 --> 03:11:20.745]  So that's why we can't just... They're not going to give us quarter, even though we're kicking their butt.
[03:11:22.026 --> 03:11:22.766]  Here's the deal, folks.
[03:11:22.766 --> 03:11:24.067]  I get it, battle.
[03:11:24.067 --> 03:11:27.410]  They've already come in, and I'm not going to complain about the stuff they've done.
[03:11:27.410 --> 03:11:29.051]  A lot of it's public.
[03:11:29.051 --> 03:11:34.676]  Some of it's not, but I mean, up to a hundred journalists, so-called journalists, in the room trying to make me lose my kids.
[03:11:35.700 --> 03:11:39.802]  You know, the message comes down from on high, roll over, this will all stop.
[03:11:39.802 --> 03:11:41.563]  I mean, you know, I'm kind of proud of myself.
[03:11:41.563 --> 03:11:46.425]  Most men say, yeah, you know, I'll roll over if you, you know, leave me alone.
[03:11:46.425 --> 03:11:47.506]  Hell no!
[03:11:47.506 --> 03:11:50.307]  But the point is, people need to know how serious this is.
[03:11:50.307 --> 03:11:53.668]  A lot of us have made big sacrifices to bring us to this point.
[03:11:53.668 --> 03:11:54.689]  Me, one of the least.
[03:11:54.689 --> 03:12:00.011]  But I'll tell you, the hell the Trumps have gone through, just the experience I've had has been unbelievable.
[03:12:00.011 --> 03:12:02.833]  It's made me much stronger and have a much bigger soul
[03:12:03.753 --> 03:12:05.515]  So I'm actually very pleased.
[03:12:05.515 --> 03:12:06.176]  I'm very honored.
[03:12:06.176 --> 03:12:07.898]  I appreciate the persecution.
[03:12:07.898 --> 03:12:09.980]  I don't say that to mess with my enemies.
[03:12:09.980 --> 03:12:13.404]  These trials have really helped me blossom.
[03:12:13.404 --> 03:12:15.266]  But people need to understand, this is a real war.
[03:12:17.291 --> 03:12:23.615]  And you know, people need to understand that this is far beyond the political candidates.
[03:12:23.615 --> 03:12:26.497]  This goes into the journalistic venue.
[03:12:26.497 --> 03:12:28.718]  People are under surveillance.
[03:12:28.718 --> 03:12:30.679]  You're under surveillance.
[03:12:30.679 --> 03:12:31.599]  We're under surveillance.
[03:12:34.441 --> 03:12:43.287]  Look, this whole thing, what's taking place right now, is to attempt to shut us up, to shut us down, to shut you up and shut you down.
[03:12:43.287 --> 03:12:44.908]  Same with us.
[03:12:44.908 --> 03:12:47.510]  People like Sean Hannity and Sarah Carter.
[03:12:47.510 --> 03:12:49.811]  Isn't Sean Hannity a champion?
[03:12:49.811 --> 03:12:50.752]  Fantastic.
[03:12:50.752 --> 03:12:50.932]  Yeah.
[03:12:51.272 --> 03:12:52.434]  Yeah.
[03:12:52.434 --> 03:12:59.122]  And look, for whatever people want to say about Sean Hannity, at least he's the one that's out front covering this.
[03:12:59.122 --> 03:13:02.226]  Well, he used to toady around with Bush back when things weren't totally clear.
[03:13:02.226 --> 03:13:05.491]  But now that it's clear, there's no going back for Hannity and it's a big victory.
[03:13:06.574 --> 03:13:11.457]  Absolutely, and he knows that, and I know people in direct contact with Sean Hannity on a daily basis.
[03:13:11.457 --> 03:13:12.057]  Same thing.
[03:13:12.057 --> 03:13:12.437]  Yeah, tell folks.
[03:13:12.437 --> 03:13:15.319]  The media makes a big deal about it, but he, I mean, you know, it's true.
[03:13:15.319 --> 03:13:17.060]  I mean, and then they spun it and said he thanked me.
[03:13:17.060 --> 03:13:22.363]  No, he thanked us through David Knight and others and through some other people, and it doesn't matter.
[03:13:22.363 --> 03:13:24.484]  The point is, is that he understands it now.
[03:13:24.484 --> 03:13:30.587]  He understands he was, he was a kind of a good old boy who believed the system wasn't as dirty as we said because he wasn't a bad guy.
[03:13:30.587 --> 03:13:32.368]  He is kind of a, you know, Boy Scout.
[03:13:33.168 --> 03:13:36.749]  Absolutely.
[03:13:36.749 --> 03:13:43.830]  And there are so many people who want to take him down, take us down, take all of us down.
[03:13:43.830 --> 03:13:45.511]  This is a street fight right now.
[03:13:45.511 --> 03:13:50.472]  Now it's turning from the ethereal, if you will, now it's real.
[03:13:50.472 --> 03:13:53.972]  It's in the streets.
[03:13:53.972 --> 03:14:00.414]  I don't mean that to say the Antifa stuff, but I'm talking about this is a street battle, bare-knuckle battle, and we are in the thick of it.
[03:14:02.594 --> 03:14:05.577]  The average FBI person is hard working and decent and good.
[03:14:05.577 --> 03:14:07.499]  We have corrupt politicos at the top.
[03:14:07.499 --> 03:14:12.624]  What percentage would you say of the FBI right now from all your contacts are supporting Trump?
[03:14:12.624 --> 03:14:14.025]  Supportive of Donald Trump?
[03:14:14.025 --> 03:14:14.906]  The vast majority.
[03:14:14.906 --> 03:14:23.514]  I would say well over 75-80% in support of Donald Trump in terms of the ideology.
[03:14:23.514 --> 03:14:26.938]  How many reality winners though have penetrated the FBI?
[03:14:28.579 --> 03:14:31.800]  Too many, especially at the mid to top level management.
[03:14:31.800 --> 03:14:35.802]  When I say top level, I'm talking about the top ten percent.
[03:14:35.802 --> 03:14:38.443]  When you get above a certain, obviously a certain pay grade and position.
[03:14:38.443 --> 03:14:42.825]  Remember the word about the former head?
[03:14:42.825 --> 03:14:44.886]  I just read what these people do.
[03:14:44.886 --> 03:14:46.027]  They're in a power cult.
[03:14:46.027 --> 03:14:48.488]  They're the most chicken, you know what people.
[03:14:48.488 --> 03:14:50.689]  I just can't believe it.
[03:14:53.213 --> 03:15:04.937]  Yeah, look, the way I see it too here is the people who fought against the release of what we just saw today, they're obvious.
[03:15:04.937 --> 03:15:11.259]  They're the obvious perpetrators of the sting operation against Donald Trump, and it goes far worse than that.
[03:15:11.259 --> 03:15:21.563]  The other people, the rank-and-file, obviously, the people that I deal with, that like us, that want to see America survive, hard workers, they're pushing back.
[03:15:22.223 --> 03:15:31.705]  Now, I've got to tell you, what I was on your show earlier, the Secret Society remark, Deep State meeting, I'm telling you, they're still going on.
[03:15:31.705 --> 03:15:32.866]  These meetings are still going on.
[03:15:32.866 --> 03:15:35.046]  When you come back, you take over.
[03:15:35.046 --> 03:15:39.147]  Doug Hagman talks about the secret globalist society inside U.S.
[03:15:39.147 --> 03:15:40.088]  agencies.
[03:15:40.088 --> 03:15:43.248]  Straight ahead, I'm going to turn this over, even though I want to keep talking.
[03:15:43.248 --> 03:15:44.409]  This is amazing.
[03:15:44.409 --> 03:15:48.210]  Infowars.com, Newswars.com, HagmanReport.com.
[03:15:48.210 --> 03:15:48.970]  We'll be right back.
[03:15:48.970 --> 03:15:49.350]  Stay with us.
[03:15:54.329 --> 03:15:55.130]  This is Dan Pilla.
[03:15:55.130 --> 03:15:56.931]  Do you have the IRS money you can't pay?
[03:15:56.931 --> 03:15:58.592]  Are tax debts crippling you?
[03:15:58.592 --> 03:16:01.413]  I've defended people from the IRS for over 30 years.
[03:16:01.413 --> 03:16:03.715]  I've helped thousands and I can help you too.
[03:16:03.715 --> 03:16:08.218]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[03:16:08.218 --> 03:16:12.160]  Call 800-34-NO-TAX to finally get free of IRS debt.
[03:16:12.160 --> 03:16:15.943]  With the IRS's new programs, there's never been a better time to solve your problem.
[03:16:15.943 --> 03:16:16.363]  Call 800-34-NO-TAX.
[03:16:16.363 --> 03:16:17.684]  That's 800-34-NO-TAX or my website, danpilla.com.
[03:16:23.399 --> 03:16:25.300]  Fully cooked, ready-to-eat bacon.
[03:16:25.300 --> 03:16:28.522]  I'm talking thick, meaty, center-cut, presidential bacon.
[03:16:28.522 --> 03:16:30.122]  Savory and delicious.
[03:16:30.122 --> 03:16:32.964]  I buy some, I use some, I store some.
[03:16:32.964 --> 03:16:33.624]  Awesome!
[03:16:33.624 --> 03:16:36.706]  No refrigeration needed with a 10-year shelf life.
[03:16:36.706 --> 03:16:38.267]  NASA PAC Technology.
[03:16:38.267 --> 03:16:38.887]  Bacon.
[03:16:38.887 --> 03:16:43.049]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[03:16:43.049 --> 03:16:44.490]  Or warm and served.
[03:16:44.490 --> 03:16:46.531]  Life-saving, ready-to-eat bacon.
[03:16:46.531 --> 03:16:48.472]  10-year shelf life bacon.
[03:16:48.472 --> 03:16:51.273]  Ships free at FullyCookedBacon.com.
[03:16:51.273 --> 03:16:52.494]  FullyCookedBacon.com.
[03:16:53.274 --> 03:17:00.059]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[03:17:00.059 --> 03:17:04.322]  Since 2005, thousands have depended on Berkey Purified Water.
[03:17:04.322 --> 03:17:08.945]  The Berkey guy provides the lowest price filtration systems in every size.
[03:17:08.945 --> 03:17:14.489]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[03:17:14.489 --> 03:17:14.649]  877-886-3653.
[03:17:14.649 --> 03:17:14.989]  GoBerkey.com.
[03:17:23.573 --> 03:17:24.794]  Hear that?
[03:17:24.794 --> 03:17:30.177]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[03:17:30.177 --> 03:17:33.079]  And what they don't steal will be destroyed.
[03:17:33.079 --> 03:17:36.641]  This year, resolve not to be the next victim of a break-in.
[03:17:36.641 --> 03:17:44.226]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[03:17:44.226 --> 03:17:48.829]  Security is a mindset, and Faketv should be part of your security solution.
[03:17:48.829 --> 03:17:51.250]  Be vigilant, but not fearful.
[03:17:51.250 --> 03:17:52.411]  Faketv.com
[03:17:54.844 --> 03:17:56.825]  Frank in North Carolina, thanks for holding so long.
[03:17:56.825 --> 03:17:57.525]  Go ahead.
[03:17:57.525 --> 03:17:59.745]  Yeah, Alec, I just have to say something, man.
[03:17:59.745 --> 03:18:03.606]  It seems like every time I turn on your broadcast, you're bragging.
[03:18:03.606 --> 03:18:05.047]  It just gets old, man.
[03:18:05.047 --> 03:18:07.468]  I'm gonna shut you down right now, okay?
[03:18:07.468 --> 03:18:09.788]  We're taking calls about your nomination.
[03:18:09.788 --> 03:18:13.789]  Do you understand they're having congressional hearings trying to shut us down?
[03:18:13.789 --> 03:18:17.090]  Do you understand I'm ringing the alarm?
