[00:00.000 --> 00:05.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[01:21:46.640 --> 01:21:50.080]  Conspirator Terry Nichols now claims a former top official, the FBI was behind the bombing
[01:21:50.080 --> 01:21:51.320]  plot.
[01:21:51.320 --> 01:21:54.320]  Nichols says in a statement from a federal lawsuit that Bomber Timothy McVeigh identified
[01:21:54.320 --> 01:21:58.080]  deputy FBI director, Larry Potts is the man directing the scheme.
[01:21:58.080 --> 01:22:02.360]  And it says Potts says the claim is nonsense and ridiculous and the FBI calls Nichols
[01:22:02.360 --> 01:22:06.760]  allegations completely without any factual basis, but then the story continues.
[01:22:06.760 --> 01:22:11.120]  And Nichols' statement gives no explanation why an FBI official would want a federal building
[01:22:11.120 --> 01:22:12.120]  bomb.
[01:22:12.120 --> 01:22:17.120]  Why would Hitler, when he was German Chancellor, want to bomb his own capital building to have
[01:22:17.120 --> 01:22:21.360]  total control and scare the people into submission and get more funding and set up the Third
[01:22:21.360 --> 01:22:22.520]  Reich?
[01:22:22.520 --> 01:22:27.560]  That's why two months after being elected on February 27, 1933, you did that.
[01:22:27.560 --> 01:22:31.520]  That's why it's now declassified our government, staged the Gulf of Tonkin attack to kick off
[01:22:31.520 --> 01:22:33.640]  Vietnam in 64.
[01:22:33.640 --> 01:22:36.680]  That's why our governments declassified hundreds of other examples of where they've staged
[01:22:36.680 --> 01:22:39.120]  terror attacks overseas to blame it on foreign enemies.
[01:22:39.120 --> 01:22:43.160]  In fact, I have the Times of London today and one other mainstream news article.
[01:22:43.160 --> 01:22:44.320]  In fact, where is that?
[01:22:44.320 --> 01:22:46.200]  It's in my big stack here.
[01:22:46.200 --> 01:22:47.200]  I had that.
[01:22:47.200 --> 01:22:49.200]  Oh, here's a London telegraph on it.
[01:22:49.200 --> 01:22:54.440]  U.S. funds terror groups to sow chaos in Iran and they've got terror groups running around
[01:22:54.440 --> 01:22:55.440]  blowing stuff up.
[01:22:55.440 --> 01:22:57.560]  Oh, here, right here, here today.
[01:22:57.560 --> 01:22:58.560]  This is today.
[01:22:58.560 --> 01:22:59.560]  How many more articles?
[01:22:59.560 --> 01:23:01.560]  It's just constant.
[01:23:01.560 --> 01:23:03.880]  Not being so naive out there.
[01:23:03.880 --> 01:23:05.840]  The cameras in the bathroom are for safety.
[01:23:05.840 --> 01:23:07.720]  I think the Houston police chief's right.
[01:23:07.720 --> 01:23:11.560]  We need cameras in our houses, but the border needs to be wide open.
[01:23:11.560 --> 01:23:14.640]  I said I'd go to your calls.
[01:23:14.640 --> 01:23:17.160]  The callers are pretty much asking the same question.
[01:23:17.160 --> 01:23:19.160]  Will the big national media cover this?
[01:23:19.160 --> 01:23:20.880]  Will more documents ever come out?
[01:23:20.880 --> 01:23:24.760]  It doesn't even matter if they do at a certain level because most people won't even go read
[01:23:24.760 --> 01:23:26.880]  it and the media will ignore it.
[01:23:26.880 --> 01:23:28.480]  But over time, people are waking up.
[01:23:28.480 --> 01:23:31.640]  They can't wait 40 years or something like Gulf of Tonkin, though.
[01:23:31.640 --> 01:23:34.480]  This needs to come out now and it is.
[01:23:34.480 --> 01:23:39.880]  And I swore a long time ago to fight the globalist and find out the truth and I found out OKC
[01:23:39.880 --> 01:23:42.360]  was an inside job months after it happened.
[01:23:42.360 --> 01:23:48.280]  I was watching local access TV and somebody here locally had gone and gotten the newscast
[01:23:48.280 --> 01:23:49.280]  and put them all together.
[01:23:49.280 --> 01:23:51.360]  I was watching like two hours of newscasts put back to back.
[01:23:51.360 --> 01:23:52.720]  There they are taking the bombs out.
[01:23:52.720 --> 01:23:53.720]  The bombs.
[01:23:53.720 --> 01:23:54.720]  Look at the pillar shutter.
[01:23:54.720 --> 01:23:55.720]  The bombs inside.
[01:23:55.720 --> 01:23:58.720]  The BATF was here seconds after it happened.
[01:23:58.720 --> 01:24:02.560]  BATF is on video going, we were told not to come in our pagers.
[01:24:02.560 --> 01:24:04.280]  You see, they weren't involved.
[01:24:04.280 --> 01:24:06.920]  Those people, they were warned not to come in their pagers.
[01:24:06.920 --> 01:24:08.640]  This is real stuff.
[01:24:08.640 --> 01:24:10.720]  We're not saying they're all terrorists.
[01:24:10.720 --> 01:24:12.800]  I don't even know if Larry Potts really did this.
[01:24:12.800 --> 01:24:15.280]  This could be some elaborate disinfo.
[01:24:15.280 --> 01:24:20.560]  We're just here reporting this and covering this.
[01:24:20.560 --> 01:24:22.760]  And listen, it's admitted there's a cover up.
[01:24:22.760 --> 01:24:27.520]  It's admitted he went directly to Ashcroft in 2004, Larry Nichols did with all these
[01:24:27.520 --> 01:24:34.280]  documents and it turns out it was in the trial in the late 90s there in Denver and it turns
[01:24:34.280 --> 01:24:37.480]  out all this got covered under national security.
[01:24:37.480 --> 01:24:40.800]  And now the media tried to get into interview Nichols for years and they wouldn't let the
[01:24:40.800 --> 01:24:45.560]  media but a lawyer was able to get in because you can't block lawyers.
[01:24:45.560 --> 01:24:47.800]  This is the bottom line.
[01:24:47.800 --> 01:24:50.920]  Let's go ahead and talk to Lewis in New Jersey.
[01:24:50.920 --> 01:24:54.280]  Lewis, you're on the air, then we'll go to Kevin and others.
[01:24:54.280 --> 01:24:58.560]  Lewis, thank you for holding you're on the air worldwide.
[01:24:58.560 --> 01:25:00.600]  Thanks for having me, Alex.
[01:25:00.600 --> 01:25:06.480]  I just wanted to let you know that, like you said, there are mountains of evidence proving
[01:25:06.480 --> 01:25:14.000]  our situation concerning Oklahoma City and the New World Order overall, their crimes.
[01:25:14.000 --> 01:25:20.160]  And I wanted to just encourage you that we need to focus on the solutions that we have
[01:25:20.160 --> 01:25:21.760]  at our disposal.
[01:25:21.760 --> 01:25:26.440]  Well, the biggest solution right now is waking up the generally dumb public that can't find
[01:25:26.440 --> 01:25:30.400]  Iraq on a map but will form some policy in their head.
[01:25:30.400 --> 01:25:34.800]  The answer is exposing the New World Order's gun control, their open borders, their North
[01:25:34.800 --> 01:25:39.760]  American Union, how they stage terror, how the environmental groups predominantly are
[01:25:39.760 --> 01:25:43.040]  nothing but a bunch of land grabbers for global corporations.
[01:25:43.040 --> 01:25:47.440]  I'm here hitting the key and I believe the solution is going to every hill and mountain
[01:25:47.440 --> 01:25:52.840]  and in crying from the rooftops that this stuff's going on, and it is working.
[01:25:52.840 --> 01:25:53.960]  We are waking people up.
[01:25:53.960 --> 01:26:01.280]  Definitely, and I just want to comment on my delight at seeing the effect of stories
[01:26:01.280 --> 01:26:05.200]  like this on the alternative media and its position.
[01:26:05.200 --> 01:26:09.960]  And I just wanted to ask your opinion in connection with all of this.
[01:26:09.960 --> 01:26:15.240]  We know that they carry out these crimes, and I recently learned that as far as I could
[01:26:15.240 --> 01:26:18.880]  tell, the U.S. is actually a private corporation at this point.
[01:26:18.880 --> 01:26:24.840]  A private corporation, this is officially registered in 1913, the Federal Reserve registered
[01:26:24.840 --> 01:26:31.640]  the District of Columbia, and the district was then expanded to be the corporate rulers
[01:26:31.640 --> 01:26:32.640]  of this country.
[01:26:32.640 --> 01:26:37.240]  They then began abolishing all the original constitutional powers to the legitimate federal
[01:26:37.240 --> 01:26:40.120]  government and the states.
[01:26:40.120 --> 01:26:44.640]  And then from that point, they began giving new powers into the new corporate system and
[01:26:44.640 --> 01:26:46.800]  administrative law judges.
[01:26:46.800 --> 01:26:51.760]  So they created a parallel shadow government, then started erasing the real government and
[01:26:51.760 --> 01:26:55.640]  then now are announcing the shadow government as the legitimate government and claiming
[01:26:55.640 --> 01:26:58.280]  the constitutional government as illegitimate.
[01:26:58.280 --> 01:27:00.000]  Does that make sense?
[01:27:00.000 --> 01:27:02.040]  Let's go ahead, and I appreciate your great questions, sir.
[01:27:02.040 --> 01:27:03.040]  They're excellent.
[01:27:03.040 --> 01:27:07.760]  Yes, the District of Criminals, the District of Columbia is a private corporation, and
[01:27:07.760 --> 01:27:11.320]  it is registered in Puerto Rico, and it's basically owned by the Bank of England.
[01:27:11.320 --> 01:27:15.200]  Go research it, private shareholders, it's come out mainstream news now.
[01:27:15.200 --> 01:27:17.640]  It's just part of the insane asylum we live in.
[01:27:17.640 --> 01:27:22.080]  It's part of just the total fakeness, the stageness of almost everything we see.
[01:27:22.080 --> 01:27:23.080]  But it's there.
[01:27:23.080 --> 01:27:24.880]  The truth is there if you want to find out about it.
[01:27:24.880 --> 01:27:27.200]  Let's go ahead and talk to Kevin in Kansas.
[01:27:27.200 --> 01:27:28.200]  Welcome, you're on the air worldwide.
[01:27:28.200 --> 01:27:29.200]  Hey, how's it going?
[01:27:29.200 --> 01:27:33.720]  I'm out here in Manhattan, Kansas, and I just wanted to let you know the good old Bill
[01:27:33.720 --> 01:27:37.320]  Clinton's going to be out here to give one of his speeches.
[01:27:37.320 --> 01:27:41.440]  Bill Barack Obama came to town Friday, and I took the day off to be with family, but
[01:27:41.440 --> 01:27:45.000]  my crew and other great folks went out there and confronted him in the local 9-11 truthers.
[01:27:45.000 --> 01:27:47.200]  He's got signs up saying, investigate 9-11.
[01:27:47.200 --> 01:27:48.680]  9-11's an inside job.
[01:27:48.680 --> 01:27:50.160]  You can look at those photos.
[01:27:50.160 --> 01:27:51.160]  Huge signs.
[01:27:51.160 --> 01:27:52.160]  Took over the whole event.
[01:27:52.160 --> 01:27:54.040]  You can go look at those at jonesreport.com.
[01:27:54.040 --> 01:27:55.040]  Go ahead.
[01:27:55.040 --> 01:27:59.000]  Yeah, it would just be great if there would be some like-minded people out here to want
[01:27:59.000 --> 01:28:00.920]  to fight the New World Order, but it's kind of hard.
[01:28:00.920 --> 01:28:05.840]  I'm going to come in the rut of the neocons out here in Manhattan, Kansas, so it's kind
[01:28:05.840 --> 01:28:07.640]  of hard to break through to people.
[01:28:07.640 --> 01:28:12.360]  I hand out your films to some of my college professors and come out to the students, but
[01:28:12.360 --> 01:28:14.840]  people out here, I mean, it is just totally 1984.
[01:28:14.840 --> 01:28:18.160]  Yeah, but five years ago, it was like that everywhere I went.
[01:28:18.160 --> 01:28:21.400]  Now everywhere I go, the majority are awake, so just keep working.
[01:28:21.400 --> 01:28:22.400]  Keep planting your seeds.
[01:28:22.400 --> 01:28:23.400]  Anything else?
[01:28:23.400 --> 01:28:28.400]  No, I just want to say if there's anybody that's in Manhattan and they want to go protest
[01:28:28.400 --> 01:28:33.400]  when Bill Clinton comes down and end it down, maybe we can shine light to some of these
[01:28:33.400 --> 01:28:34.400]  new Oklahoma City.
[01:28:34.400 --> 01:28:37.600]  Yeah, because you told the folks that answered the phone, it says Oklahoma City and Bill
[01:28:37.600 --> 01:28:38.600]  Clinton.
[01:28:38.600 --> 01:28:40.360]  I mean, maybe go confront Clinton about that.
[01:28:40.360 --> 01:28:42.160]  Yeah, that'd be great.
[01:28:42.160 --> 01:28:43.160]  That'd be nice.
[01:28:43.160 --> 01:28:47.720]  I just was calling to see if there's any like-minded people that are out here in Manhattan that
[01:28:47.720 --> 01:28:49.800]  would like to go do that with me.
[01:28:49.800 --> 01:28:51.720]  Well, do you have an email or something?
[01:28:51.720 --> 01:28:52.720]  Yeah, kdb.ksu.edu.
[01:28:52.720 --> 01:28:57.040]  All right, bro, I appreciate it.
[01:28:57.040 --> 01:28:58.880]  Let's go ahead and talk to James in Indiana.
[01:28:58.880 --> 01:28:59.880]  You're on the air.
[01:28:59.880 --> 01:29:00.880]  Go ahead, James.
[01:29:00.880 --> 01:29:04.680]  Okay, so I want to talk about the motive for the Oklahoma City bombing, which is very important.
[01:29:04.680 --> 01:29:07.960]  I've heard you say a couple of times about funding and-
[01:29:07.960 --> 01:29:14.080]  The Obvious Crime Bill had failed six months before, and they got it to sail through right
[01:29:14.080 --> 01:29:15.080]  after the bombing.
[01:29:15.080 --> 01:29:18.080]  Okay, I kind of agree with you, but I disagree with you more because I think the motive is
[01:29:18.080 --> 01:29:19.080]  bigger than that.
[01:29:19.080 --> 01:29:20.080]  I think the motive was-
[01:29:20.080 --> 01:29:21.520]  That was only one part of it.
[01:29:21.520 --> 01:29:22.520]  Yeah.
[01:29:22.520 --> 01:29:26.480]  Demonize the constitutional patriot militia movement that was exploding at the time.
[01:29:26.480 --> 01:29:27.480]  Yeah.
[01:29:27.480 --> 01:29:30.240]  There was a pageant movement, a strong pageant movement, because it had to remember the times,
[01:29:30.240 --> 01:29:34.000]  the biggest image of the government at the time, was the patriot movement, and it was
[01:29:34.000 --> 01:29:36.840]  gaining momentum with Ruby Ridge, the disaster there, and Waco was-
[01:29:36.840 --> 01:29:37.840]  Oh, listen, there were-
[01:29:37.840 --> 01:29:38.840]  You needed this-
[01:29:38.840 --> 01:29:39.840]  Listen, the Oklahoma State House, stay there.
[01:29:39.840 --> 01:29:40.840]  I'm going to put you on hold, okay?
[01:29:40.840 --> 01:29:43.840]  I want you to be able to finish up.
[01:29:43.840 --> 01:29:48.760]  The Oklahoma State House was about to pass an amendment against the UN at the state level
[01:29:48.760 --> 01:29:51.880]  to start the UN pullout with a UN-free zone.
[01:29:51.880 --> 01:29:54.040]  You're absolutely on target with that.
[01:29:54.040 --> 01:29:56.720]  Prisonplanet.com and infowars.com are the websites.
[01:29:56.720 --> 01:30:00.040]  More calls and North American Union news on the other side as well.
[01:30:00.040 --> 01:30:03.320]  Stay with us.
[01:30:03.320 --> 01:30:10.120]  Attention, this is an urgent GCN news bulletin.
[01:30:10.120 --> 01:30:12.480]  Do you desperately need to get out of debt fast?
[01:30:12.480 --> 01:30:15.360]  Would you like to make some of your debts disappear completely?
[01:30:15.360 --> 01:30:19.240]  If so, when you're a GCN listener, there's a very real chance that you'll now be able
[01:30:19.240 --> 01:30:20.240]  to do it.
[01:30:20.240 --> 01:30:21.240]  Here's why.
[01:30:21.240 --> 01:30:24.760]  A new manual has just been published that reveals how you can get out of debt in 90 minutes
[01:30:24.760 --> 01:30:27.360]  without any loans or bankruptcy whatsoever.
[01:30:27.360 --> 01:30:31.440]  The insider secrets revealed allow you to get out of debt so fast and so completely that
[01:30:31.440 --> 01:30:34.000]  it makes some people feel like they're cheating, but they're not.
[01:30:34.000 --> 01:30:38.000]  The secrets taught in the manual are 100% legal and 100% ethical.
[01:30:38.000 --> 01:30:41.120]  It's just that bankers, debt collectors and credit card companies don't want you to know
[01:30:41.120 --> 01:30:42.760]  about these loopholes.
[01:30:42.760 --> 01:30:46.000]  Learn how to finally teach those financial vultures some humility by beating them at
[01:30:46.000 --> 01:30:50.360]  their own game and above all, learn how to bail out for a soft landing.
[01:30:50.360 --> 01:30:51.360]  Get control.
[01:30:51.360 --> 01:30:52.360]  Get relief.
[01:30:52.360 --> 01:30:53.360]  Get some sleep.
[01:30:53.360 --> 01:31:00.360]  Get some sleep.
[01:31:00.360 --> 01:31:08.360]  Get some sleep.
[01:31:08.360 --> 01:31:10.040]  Hello?
[01:31:10.040 --> 01:31:11.440]  Hey, it's me.
[01:31:11.440 --> 01:31:12.440]  I got something, man.
[01:31:12.440 --> 01:31:13.920]  I want you to look at.
[01:31:13.920 --> 01:31:14.920]  What?
[01:31:14.920 --> 01:31:15.920]  What is it now?
[01:31:15.920 --> 01:31:18.880]  It's called OneYearToRetire.net.
[01:31:18.880 --> 01:31:21.280]  When you get home, I want you to go to OneYearToRetire.net.
[01:31:21.280 --> 01:31:23.280]  Come on, you gotta be kidding.
[01:31:23.280 --> 01:31:24.280]  OneYearToRetire.
[01:31:24.280 --> 01:31:28.960]  When are you going to get it through your head that there is no quick fix, no free lunch?
[01:31:28.960 --> 01:31:29.960]  I know.
[01:31:29.960 --> 01:31:30.960]  I agree with you.
[01:31:30.960 --> 01:31:32.200]  This isn't like that.
[01:31:32.200 --> 01:31:36.280]  It's an ingenious system that's designed to help you retire in one year.
[01:31:36.280 --> 01:31:40.920]  I was skeptical too, but the system is free and when I looked at it, I was sure it would
[01:31:40.920 --> 01:31:41.920]  work.
[01:31:41.920 --> 01:31:42.920]  What have you got to lose?
[01:31:42.920 --> 01:31:43.920]  It's free.
[01:31:43.920 --> 01:31:49.280]  Well, all you have to do is go to OneYearToRetire.net and get a free system.
[01:31:49.280 --> 01:31:50.560]  It only takes a minute.
[01:31:50.560 --> 01:31:53.320]  You've got nothing to lose and everything to gain.
[01:31:53.320 --> 01:31:55.840]  Go to OneYearToRetire.net.
[01:31:55.840 --> 01:32:02.840]  That's OneYearToRetire.net or call 888-2000-0265.
[01:32:02.840 --> 01:32:06.920]  That's 888-2000-0265.
[01:32:06.920 --> 01:32:13.880]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[01:32:13.880 --> 01:32:17.400]  Globalists are concerned with what's good for big business and the American Empire instead
[01:32:17.400 --> 01:32:19.720]  of what's fair for the American people.
[01:32:19.720 --> 01:32:23.560]  The only antidote to the poison of globalism is nationalism.
[01:32:23.560 --> 01:32:25.640]  Start reading The Nationalist Times each month.
[01:32:25.640 --> 01:32:29.920]  The Nationalist Times promotes a common-sense, intelligent and passionate alternative to
[01:32:29.920 --> 01:32:31.560]  the reigning party line.
[01:32:31.560 --> 01:32:36.480]  Published monthly since 1985, The Nationalist Times has a 20-page newspaper featuring outstanding
[01:32:36.480 --> 01:32:40.320]  writers and columnists who don't believe in taboos or sacred cows.
[01:32:40.320 --> 01:32:44.080]  Be one of the many thousands of loyal readers of The Nationalist Times.
[01:32:44.080 --> 01:32:48.600]  Subscribe now to The Nationalist Times, just $19 for one year, that's 50% off the regular
[01:32:48.600 --> 01:32:49.600]  price.
[01:32:49.600 --> 01:32:56.160]  Center $19 subscription to The Nationalist Times, P.O. Box 426, Allison Park, PA 15101.
[01:32:56.160 --> 01:33:01.280]  That's The Nationalist Times, P.O. Box 426, Allison Park, PA 15101.
[01:33:01.280 --> 01:33:07.880]  Or subscribe online at our website, www.anu.org.
[01:33:07.880 --> 01:33:10.240]  Hey folks, Alex Jones here with an important question.
[01:33:10.240 --> 01:33:12.800]  When was the last time you used pure soap?
[01:33:12.800 --> 01:33:18.600]  I mean the hard-to-find kind that's all natural and not full of corrosive toxins and chemicals
[01:33:18.600 --> 01:33:22.480]  and detergents that just dry out your skin and have been connected to very serious health
[01:33:22.480 --> 01:33:23.480]  problems?
[01:33:23.480 --> 01:33:25.960]  Let me tell you something about the cow-bin pure soap company.
[01:33:25.960 --> 01:33:30.240]  There's 100% unconditional guarantee on all their wonderful products.
[01:33:30.240 --> 01:33:34.880]  They're all natural, they're triple concentrated, they're factory-direct, factory-owned and
[01:33:34.880 --> 01:33:37.200]  operated since 1947.
[01:33:37.200 --> 01:33:41.120]  Earth-friendly pure soaps for bathing, laundry and kitchen.
[01:33:41.120 --> 01:33:44.640]  That pure soap once and I'll guarantee you'll never use anything else.
[01:33:44.640 --> 01:33:49.000]  Now for the first time cow-bin pure soap is available, factory-direct to you and your
[01:33:49.000 --> 01:33:50.000]  family.
[01:33:50.000 --> 01:33:53.760]  Save up to 85% off supermarket and retail store prices.
[01:33:53.760 --> 01:33:59.560]  Call today for a cow-bin soap catalog at 1-800-340-7091.
[01:33:59.560 --> 01:34:04.560]  That's 1-800-340-7091 or on the web at cow-binpuresoap.com.
[01:34:04.560 --> 01:34:12.840]  Are you tired of searching for Craigsaw radio?
[01:34:12.840 --> 01:34:14.080]  We'll search no more.
[01:34:14.080 --> 01:34:18.840]  We are the GCN Radio Network.
[01:34:18.840 --> 01:34:22.640]  Corruption never had a worse enemy.
[01:34:22.640 --> 01:34:29.160]  You're locked into the Alex Jones show.
[01:34:29.160 --> 01:34:38.440]  Welcome back, my friends, continuing with your phone calls at 877-590-5525-877-590KLBJ
[01:34:38.440 --> 01:34:44.320]  or locally 8360-590, we're listening in Central Texas, continuing with your calls.
[01:34:44.320 --> 01:34:51.760]  Going back to James in Indiana, James thinks they had a different motive.
[01:34:51.760 --> 01:34:56.400]  Now I hadn't elaborated, sir, obviously the militia movement was exploding but the main
[01:34:56.400 --> 01:35:01.760]  line patriot movement was exploding, Bill Clinton, the news, FBI agents had quit, who worked
[01:35:01.760 --> 01:35:05.200]  at the White House and got public about their first day at work, everybody was wearing red
[01:35:05.200 --> 01:35:12.000]  linen pins and there were crack pipes on the Christmas tree and communists to Soviet slash
[01:35:12.000 --> 01:35:17.360]  Chinese generals in the White House and all the rest of it and so there was a huge rebellion
[01:35:17.360 --> 01:35:21.640]  in government itself taking place that was mainly to make the government circle the wagons
[01:35:21.640 --> 01:35:26.320]  against the American people and they blew up our federal bill and let's get them.
[01:35:26.320 --> 01:35:29.920]  And that's what it was really all about so I agree with you, go ahead.
[01:35:29.920 --> 01:35:36.240]  Yes, that's exactly right and McVay wanted to get caught and it was what McVay represented
[01:35:36.240 --> 01:35:40.480]  with the motive for the bombing, the main one in my opinion because if you're going
[01:35:40.480 --> 01:35:45.520]  to, oh look, you're not going to take off the license plate of your car right before
[01:35:45.520 --> 01:35:51.880]  you commit a horrible, you know, giant terrorist act and that's in Nicholl's recent file that
[01:35:51.880 --> 01:35:52.880]  you have on your website.
[01:35:52.880 --> 01:35:57.720]  Yeah, that he didn't know why at the rental space that McVay had when he went there later
[01:35:57.720 --> 01:36:01.560]  to try to get rid of evidence when he learned what had happened that the license plate and
[01:36:01.560 --> 01:36:02.560]  a hand grenade was there.
[01:36:02.560 --> 01:36:05.400]  Right, he took off the license plate of his car, that's why he got pulled over because
[01:36:05.400 --> 01:36:08.760]  he was speeding away from the bombing and a car with no license plate on it while he
[01:36:08.760 --> 01:36:13.760]  was fully armed and wearing a t-shirt saying basically I'm a patriot militia guy and he
[01:36:13.760 --> 01:36:16.360]  had, for some reason, I don't know why you would do this.
[01:36:16.360 --> 01:36:17.600]  A gun on the dashboard.
[01:36:17.600 --> 01:36:24.840]  Yeah, and he had two pages of the Turner Diaries photocopied that was talking about a bombing
[01:36:24.840 --> 01:36:25.840]  against the government.
[01:36:25.840 --> 01:36:29.280]  The Turner Diaries was, you know, they could throw that on the bad militia.
[01:36:29.280 --> 01:36:35.200]  Written by Dr. William Pierce, absolutely, very educated caller on all that and this
[01:36:35.200 --> 01:36:38.400]  is all the little pieces of the puzzle.
[01:36:38.400 --> 01:36:40.120]  You've got Iraqis mixed into it.
[01:36:40.120 --> 01:36:44.520]  I mean, this is just classic black-up with all this confusion, all these different fallback
[01:36:44.520 --> 01:36:49.360]  plans, all these different fallback patsies, amazing stuff.
[01:36:49.360 --> 01:36:55.960]  And that's why folks have got to go to prisonplanet.com and check out for yourselves the research,
[01:36:55.960 --> 01:36:56.960]  the information.
[01:36:56.960 --> 01:36:59.960]  Go read the affidavit for yourself.
[01:36:59.960 --> 01:37:03.040]  In fact, before I go back to more of your calls and shift gears into North American
[01:37:03.040 --> 01:37:09.160]  Union summit news that just happened Friday and Saturday, let me just go through some
[01:37:09.160 --> 01:37:10.960]  notes I've written concerning this.
[01:37:10.960 --> 01:37:12.320]  Where is the media?
[01:37:12.320 --> 01:37:16.240]  It should be a national story regardless of whether people think it's credible or not.
[01:37:16.240 --> 01:37:22.560]  I believe it is that you've got the guy who would never, you know, basically confess to
[01:37:22.560 --> 01:37:26.640]  all this, not going, yes, I was set up, I was a patsy, here are the documents, here are
[01:37:26.640 --> 01:37:27.640]  the names.
[01:37:27.640 --> 01:37:29.240]  We tried to put this on during the trial.
[01:37:29.240 --> 01:37:30.240]  We weren't allowed to.
[01:37:30.240 --> 01:37:36.240]  Here it all is and it's in a couple of newspapers in one or two TV stations locally in Oklahoma
[01:37:36.240 --> 01:37:39.880]  have picked it up.
[01:37:39.880 --> 01:37:42.920]  But the good news is in the past, the mainline media could bury things.
[01:37:42.920 --> 01:37:44.720]  You cannot bury this stuff now.
[01:37:44.720 --> 01:37:49.400]  So go to prisonplanet.com, get the affidavit, get the documents, get the news articles and
[01:37:49.400 --> 01:37:50.960]  email it to the forewinds.
[01:37:50.960 --> 01:37:57.760]  And again, my film, 9-11, the road to tyranny is three hours long and the first 20, 30 minutes
[01:37:57.760 --> 01:38:01.400]  is admitted examples of our government staging terror, not our government, but the criminals
[01:38:01.400 --> 01:38:02.400]  that run it.
[01:38:02.400 --> 01:38:03.400]  They say they're our government.
[01:38:03.400 --> 01:38:06.880]  Then we spend 45 minutes on Oklahoma City.
[01:38:06.880 --> 01:38:11.240]  We spend like five on the first World Trade Center attack, which are the New York Times
[01:38:11.240 --> 01:38:15.560]  where the FBI cooked the bomb, trained the driver, let it go forward.
[01:38:15.560 --> 01:38:21.800]  It's just, it's so important that you find out why they do this, problem reaction solution.
[01:38:21.800 --> 01:38:27.600]  They create the problem, they create the crisis and then they offer the solution when you're
[01:38:27.600 --> 01:38:28.600]  scared.
[01:38:28.600 --> 01:38:30.240]  It's that simple.
[01:38:30.240 --> 01:38:35.400]  But here are some of the other notes that I have and there's just so many.
[01:38:35.400 --> 01:38:40.240]  The FBI and Congresswoman Dana Rohrbacher earlier this year went and interviewed Nichols.
[01:38:40.240 --> 01:38:43.440]  Nichols wanted to talk to the congressman alone, the FBI, and said that they'd be there.
[01:38:43.440 --> 01:38:47.160]  Rohrbacher said, listen, I'm only here to talk about when you travel to the Philippines
[01:38:47.160 --> 01:38:48.760]  and the Arab connection.
[01:38:48.760 --> 01:38:53.320]  For those that don't know, that's Project Bojenka to blow up airplanes or trying to connect
[01:38:53.320 --> 01:38:59.520]  them to, which is tied to Ramsey Yuzuf, another clear operative, and wouldn't discuss the
[01:38:59.520 --> 01:39:01.360]  other evidence with him.
[01:39:01.360 --> 01:39:05.120]  He's been blocked from talking to the media since 2004 when he first tried to contact
[01:39:05.120 --> 01:39:10.400]  Attorney General, then Attorney General John Ashcroft, and there was a prison order put
[01:39:10.400 --> 01:39:12.440]  in that he couldn't talk to the media after that.
[01:39:12.440 --> 01:39:18.800]  A lawyer was able to get in there and get this deposition, that's what we put out, though
[01:39:18.800 --> 01:39:25.400]  the exhibits A through G have been sealed and I have the federal order here in front
[01:39:25.400 --> 01:39:27.920]  of me on that.
[01:39:27.920 --> 01:39:31.480]  And we have the attempted set up in the document where they were trying to connect it to gun
[01:39:31.480 --> 01:39:35.880]  shows in the Second Amendment, McVay was going around in their FBI direction, this reports
[01:39:35.880 --> 01:39:37.040]  to do that.
[01:39:37.040 --> 01:39:41.000]  We know that informants who were outside of the conspiracy kept saying they're planning
[01:39:41.000 --> 01:39:45.360]  to bomb the Alfa Pumora building and they kept being told, shut up, you're off the case,
[01:39:45.360 --> 01:39:48.680]  you'll be indicted if you tell anybody what you know, they go public, people were going
[01:39:48.680 --> 01:39:53.760]  public before the bombing, and then they would be indicted and beat the case.
[01:39:53.760 --> 01:39:55.480]  There's just so many points here.
[01:39:55.480 --> 01:39:57.880]  We're writing a big article about this right now.
[01:39:57.880 --> 01:40:06.200]  Another really important area that's in the Alfa David, and that is in paragraph 35, let
[01:40:06.200 --> 01:40:12.040]  me go to paragraph 35 here, I try to take a little vacation down at Porter Ranges with
[01:40:12.040 --> 01:40:16.600]  my wife and children for two days and I just sat there in front of the computer researching
[01:40:16.600 --> 01:40:24.360]  and reading lawsuits the entire time, but it goes into how McVay built a bomb a lot smaller
[01:40:24.360 --> 01:40:29.440]  than what they claimed at least half the size that it wouldn't work, that the ammonium nitrate
[01:40:29.440 --> 01:40:33.920]  had been stolen more than a year before and had gotten wet, and that McVay tried to do
[01:40:33.920 --> 01:40:39.840]  a test bomb in a jar and that it didn't explode, only the primer, only the detonator exploded
[01:40:39.840 --> 01:40:41.800]  and he was real mad.
[01:40:41.800 --> 01:40:48.400]  It goes into how Attorney Stephen Jones in the case entered the documents with the real
[01:40:48.400 --> 01:40:49.400]  drawings of this.
[01:40:49.400 --> 01:40:54.760]  Now, it doesn't fit in with the book written with some clear establishment types claiming
[01:40:54.760 --> 01:40:57.320]  that he did build this incredibly powerful bomb.
[01:40:57.320 --> 01:40:58.400]  Why was that important?
[01:40:58.400 --> 01:41:03.480]  Because even if the truck was solid plastic explosives, military grade of the highest power,
