[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[2:57:28.000 --> 2:57:30.000]  it's very important for Trump
[2:57:30.000 --> 2:57:32.000]  to repeal Obamacare
[2:57:32.000 --> 2:57:34.000]  and to replace it with a marketplace
[2:57:34.000 --> 2:57:36.000]  as he has talked about through the entire
[2:57:36.000 --> 2:57:38.000]  campaign is what the second thing I think he put
[2:57:38.000 --> 2:57:40.000]  on his site was getting rid
[2:57:40.000 --> 2:57:42.000]  of Obamacare and what he would replace it with
[2:57:42.000 --> 2:57:44.000]  he would replace it with a competitive
[2:57:44.000 --> 2:57:46.000]  marketplace where insurance companies
[2:57:46.000 --> 2:57:48.000]  could compete across state lines
[2:57:48.000 --> 2:57:50.000]  so you're not allowed to have any competition
[2:57:50.000 --> 2:57:52.000]  in America on
[2:57:52.000 --> 2:57:54.000]  health insurance and this is put in
[2:57:54.000 --> 2:57:56.000]  by the same people who say we have to have
[2:57:56.000 --> 2:57:58.000]  open borders for trade
[2:57:58.000 --> 2:58:00.000]  they stop the trade
[2:58:00.000 --> 2:58:02.000]  within our borders that's the kind of protectionism
[2:58:02.000 --> 2:58:04.000]  that Obamacare truly represents
[2:58:04.000 --> 2:58:06.000]  that's why you're seeing the skyrocketing
[2:58:06.000 --> 2:58:08.000]  insurance so we can do that
[2:58:08.000 --> 2:58:10.000]  and you know the reason you can do it is because
[2:58:10.000 --> 2:58:12.000]  Harry Reid changed the rules
[2:58:12.000 --> 2:58:14.000]  to where they only need
[2:58:14.000 --> 2:58:16.000]  51 votes to get in Trump's
[2:58:16.000 --> 2:58:18.000]  cabinet picks that was Harry Reid
[2:58:18.000 --> 2:58:20.000]  so he's blocking Chuck E. Schumer just like he
[2:58:20.000 --> 2:58:22.000]  physically blocked him at that press conference
[2:58:22.000 --> 2:58:24.000]  we'll be right back John Rappapour
[2:58:24.000 --> 2:58:26.000]  in the next hour
[2:58:26.000 --> 2:58:54.000]  we'll be right back
[2:58:54.000 --> 2:58:56.000]  you can see anywhere else
[2:58:56.000 --> 2:58:58.000]  that means live coverage
[2:58:58.000 --> 2:59:00.000]  of events and breaking news
[2:59:00.000 --> 2:59:02.000]  on location as it happens
[2:59:02.000 --> 2:59:04.000]  you can also take advantage of amazing deals
[2:59:04.000 --> 2:59:06.000]  from the info wars store
[2:59:06.000 --> 2:59:08.000]  that are only available for info wars prime subscribers
[2:59:08.000 --> 2:59:10.000]  that's info wars prime
[2:59:10.000 --> 2:59:12.000]  that's info wars prime
[2:59:12.000 --> 2:59:14.000]  that's info wars prime
[2:59:14.000 --> 2:59:16.000]  that's info wars prime
[2:59:16.000 --> 2:59:18.000]  that's info wars prime
[2:59:18.000 --> 2:59:20.000]  that's info wars prime
[2:59:20.000 --> 2:59:22.000]  info wars prime
[2:59:22.000 --> 2:59:24.000]  that's info wars prime
[2:59:24.000 --> 2:59:26.000]  at info wars dot com
[2:59:26.000 --> 2:59:28.000]  forward slash app
[2:59:28.000 --> 2:59:38.000]  voice you are the resistance you're listening to the alex jones show
[2:59:38.000 --> 3:00:02.000]  the answer to 1984 is 1776 you're listening to the alex jones show
[3:00:02.000 --> 3:00:04.760]  welcome back to the alex jones show i'm david night in the next segment we're
[3:00:04.760 --> 3:00:09.680]  going to be joined by john rapper for no more fake news dot com i have a couple
[3:00:09.680 --> 3:00:14.960]  of articles that have been wanting to get to this entire show that i think are
[3:00:14.960 --> 3:00:18.600]  very important to see that this one is from the free thought project and we
[3:00:18.600 --> 3:00:22.720]  just got a press release from julian assange and course wiki leaks had a very
[3:00:22.720 --> 3:00:27.080]  important role to play in terms of educating the public in terms of putting
[3:00:27.080 --> 3:00:34.000]  information out there so we could see the what the the the criminal actions of
[3:00:34.000 --> 3:00:37.320]  hillary clinton and the clinton foundation in the background so we can
[3:00:37.320 --> 3:00:42.000]  see what they were doing conspiring together with the media to lie to the
[3:00:42.000 --> 3:00:45.400]  american public to tell us that they're having debates when they're feeding
[3:00:45.400 --> 3:00:49.640]  questions for town halls to hillary clinton that sort of thing so they played
[3:00:49.640 --> 3:00:54.120]  a very important role we've been very concerned because his internet was cut
[3:00:54.120 --> 3:00:59.280]  off we haven't seen much in terms of interviews for him there's been one
[3:00:59.280 --> 3:01:02.960]  interview some people have been concerned about the quality of that so the
[3:01:02.960 --> 3:01:08.360]  questions for julian assange's safety that people have had there's now been a
[3:01:08.360 --> 3:01:13.520]  press release from wiki leaks and what they're saying is that there's been
[3:01:13.520 --> 3:01:19.120]  another appeal to set him free to the united nations and this is the press
[3:01:19.120 --> 3:01:23.040]  release they said earlier this year the united nations concluded the 16 month
[3:01:23.040 --> 3:01:28.400]  long case into which the united kingdom was a party the uk lost appealed and
[3:01:28.400 --> 3:01:33.680]  today lost again the u.n. instructed the uk and sweden to take immediate steps to
[3:01:33.680 --> 3:01:37.880]  ensure mr. assange's liberty protection and enjoyment of fundamental human
[3:01:37.880 --> 3:01:42.680]  rights no steps have been taken jeopardizing mr. assange's life health
[3:01:42.680 --> 3:01:46.440]  and physical integrity and undermining the u.n. system of human rights
[3:01:46.440 --> 3:01:50.480]  protection so this is interesting because they say now all these appeals have
[3:01:50.480 --> 3:01:54.960]  been exhaust exhausted to the u.n. and they're trying to put pressure on the
[3:01:54.960 --> 3:01:59.400]  uk to release him this is going back to february they said the u.n. is working
[3:01:59.400 --> 3:02:04.200]  group on arbitrary detention is the one that is driving this and so hopefully
[3:02:04.200 --> 3:02:08.000]  there's going to be some developments there and that is kind of a good sign
[3:02:08.000 --> 3:02:11.640]  because if they're pushing on that and saying they expect him to be released
[3:02:11.640 --> 3:02:16.960]  that is a good sign that he is still there even though the terms of his
[3:02:16.960 --> 3:02:23.200]  imprisonment there his imprisonment without being found guilty is have
[3:02:23.200 --> 3:02:27.720]  worsened since he released this information educating the public on
[3:02:27.720 --> 3:02:33.160]  hillary clinton and the political process here another report that has come
[3:02:33.160 --> 3:02:38.000]  out another example of how important it is for people to get it get educated
[3:02:38.000 --> 3:02:42.840]  this is a former nist employee speaking out about building seven now this is a
[3:02:42.840 --> 3:02:48.320]  guy that worked as a scientist for nist for 15 years and he said he never read
[3:02:48.320 --> 3:02:52.200]  the world trade center building seven that's the third building that fell
[3:02:52.200 --> 3:02:57.440]  down that wasn't hit by any planes he said he read that report for the first
[3:02:57.440 --> 3:03:02.800]  time in august of 2016 august of this year 15 years after the fact he had not
[3:03:02.800 --> 3:03:07.800]  read it see that's why it's important to have media that is not part of the
[3:03:07.800 --> 3:03:10.920]  mainstream media you just saw earlier in the program
[3:03:10.920 --> 3:03:16.720]  Anderson Cooper mocking info wars mocking Alex Jones saying these are people
[3:03:16.720 --> 3:03:20.560]  who don't believe the government's official story it's like that's right
[3:03:20.560 --> 3:03:24.240]  didn't believe it day one Donald Trump didn't believe it day one still don't
[3:03:24.240 --> 3:03:27.520]  believe it and there's a lot of people out here even people like this
[3:03:27.520 --> 3:03:32.440]  educated scientist who worked for 15 years for nist the National Institute of
[3:03:32.440 --> 3:03:36.040]  Standards and Technology they're the ones that most these people who say ah
[3:03:36.040 --> 3:03:39.000]  you guys are just a bunch of crazy conspiracy theorists they go back to
[3:03:39.000 --> 3:03:43.120]  this and say see nist said there's nothing to see it's just natural that a
[3:03:43.120 --> 3:03:46.240]  steel building would fall down when it catches on fire even though that has
[3:03:46.240 --> 3:03:51.760]  never happened before or since and this building was not hit by a plane that's
[3:03:51.760 --> 3:03:56.800]  why I've talked to the United Kingdom documentarian Tony Rook he has
[3:03:56.800 --> 3:04:02.080]  interviewed people there there's one UK fireman who went to bat for this in the
[3:04:02.080 --> 3:04:06.840]  UK they're not trying to repeal the Patriot Act there but he knows that
[3:04:06.840 --> 3:04:12.080]  this matters he's a fireman and he says wait if this story is true if a steel
[3:04:12.080 --> 3:04:16.840]  building like this can just fall down you need to change the standards for
[3:04:16.840 --> 3:04:21.560]  construction you need to give different rules and regulations to the fireman
[3:04:21.560 --> 3:04:24.800]  we're still doing it the same way we always did assuming that this wouldn't
[3:04:24.800 --> 3:04:28.520]  happen so why haven't you changed the rules for architectural standards why
[3:04:28.520 --> 3:04:31.960]  haven't you changed the rules for firemen and that's what this nist
[3:04:31.960 --> 3:04:35.400]  scientist is pointing out as well see the truth is going to eventually come out
[3:04:35.400 --> 3:04:42.840]  stay with us we'll be right back with John Rappaport breaking news California
[3:04:42.840 --> 3:04:47.240]  wants to succeed after a Donald Trump victory article up by the Sacramento B
[3:04:47.240 --> 3:04:53.000]  want to get away Cal exit succession plan possible but faces huge hurdles well
[3:04:53.000 --> 3:04:57.280]  guess what California the rest of America's not your hurdle because we're
[3:04:57.280 --> 3:05:01.720]  all for it please leave now let's take all the good people out of there because
[3:05:01.720 --> 3:05:04.880]  there's some good ones down there and then we'll just dump the rest of Portland
[3:05:04.880 --> 3:05:11.120]  and New York and Miami and Austin and all the liberal hellhole and we'll just
[3:05:11.120 --> 3:05:15.440]  dump them all in California and we'll even help break away the land and push
[3:05:15.440 --> 3:05:19.040]  you guys out in the ocean that'd be even better you don't even have to have
[3:05:19.040 --> 3:05:23.280]  borders because guess what nobody's gonna want to go there because that sounds
[3:05:23.280 --> 3:05:27.440]  like hell on earth now facing Donald Trump's imminent entrance to the Oval
[3:05:27.440 --> 3:05:31.520]  Office the ones outlandish idea succession doesn't seem so crazy anymore
[3:05:31.520 --> 3:05:35.760]  to some Californians doesn't sound crazy to me either see you later this has
[3:05:35.760 --> 3:05:42.040]  been Joe Biggs with info wars.com I want to tell you about a brand new
[3:05:42.040 --> 3:05:46.080]  off-the-rib product it's a pocket-sized solar generator even though it's so
[3:05:46.080 --> 3:05:50.360]  small you can put it in your pocket it can actually run some 110 appliances at
[3:05:50.360 --> 3:05:54.640]  your house like small refrigerators to keep your food from spoiling the best
[3:05:54.640 --> 3:05:58.960]  part though you can take it with you it's mobile to jumpstart cars trucks
[3:05:58.960 --> 3:06:04.360]  buses 18-wheelers huge tractors even airplanes the new PPX system provides an
[3:06:04.360 --> 3:06:07.600]  endless supply of off-the-grid electricity basically creating your own
[3:06:07.600 --> 3:06:11.720]  private power grid anywhere in the world a true innovation I have never seen
[3:06:11.720 --> 3:06:15.320]  anything like this you're going to want to load up on these one for your truck
[3:06:15.320 --> 3:06:19.360]  your wife's car your house cabin it's even a great Christmas idea if you've
[3:06:19.360 --> 3:06:23.240]  got a friend who wants to get off the grid go to privatepowergrid.com
[3:06:23.240 --> 3:06:28.000]  that's privatepowergrid.com and check this out buy one right now use coupon
[3:06:28.000 --> 3:06:33.400]  code private at checkout and get a second one free on with $300 in free off
[3:06:33.400 --> 3:06:37.560]  the grid bonuses check it out privatepowergrid.com limited one
[3:06:37.560 --> 3:06:42.960]  household privatepowergrid.com a clean toxic free body is the foundation of
[3:06:42.960 --> 3:06:47.360]  true health deep cleanse by infowarslife.com a scientifically formulated
[3:06:47.360 --> 3:06:50.720]  blend of nano colloidal zeolites and organic ingredients that aid the body
[3:06:50.720 --> 3:06:54.680]  in cleansing chemicals and toxic metals using our proprietary multi-step
[3:06:54.680 --> 3:06:58.480]  extraction technology deep cleanse are most affordable all-in-one cleanser with
[3:06:58.480 --> 3:07:03.440]  concentrated organic compounds like cilantro milk thistle fulvic acid
[3:07:03.440 --> 3:07:08.200]  orange peel zeolites and others deep cleanse doesn't hold back instead of
[3:07:08.200 --> 3:07:12.280]  buying five six or even seven different cleansing products we use decades old
[3:07:12.280 --> 3:07:16.840]  scientific research to put together the Rolls Royce of all-in-one cleansing look
[3:07:16.840 --> 3:07:20.680]  there's a reason deep cleanse is the only product on the market that uses our
[3:07:20.680 --> 3:07:24.720]  proprietary spike g-rex herbal processing technique we use only the highest
[3:07:24.720 --> 3:07:28.520]  quality organic herbs backed by serious research and we still bring it to you
[3:07:28.520 --> 3:07:32.200]  at the best price out there if you wish to find deep cleanse and experience the
[3:07:32.200 --> 3:07:36.600]  all-in-one cleansing visit infowarslife.com that's infowarslife.com or
[3:07:36.600 --> 3:07:41.120]  call 888-253-3139
[3:07:41.120 --> 3:07:55.480]  if you are receiving this transmission you are the resistance from the front
[3:07:55.480 --> 3:08:01.680]  lines of the information war it's Alex Jones
[3:08:03.880 --> 3:08:07.840]  welcome back to the Alex Jones show I'm David Knight and our fourth hour is
[3:08:07.840 --> 3:08:12.200]  going to be hosted by John Rappaport of course John Rappaport is no stranger to
[3:08:12.200 --> 3:08:16.520]  the info wars audience he writes frequent articles for info wars.com
[3:08:16.520 --> 3:08:20.640]  he's worked as a freelance investigative reporter for over 30 years he
[3:08:20.640 --> 3:08:24.640]  points out in his bio here since 2000 he's operated largely away from the
[3:08:24.640 --> 3:08:28.200]  mainstream because as he puts it my research is not friendly to conventional
[3:08:28.200 --> 3:08:32.040]  media you know conventional media has not been friendly to him either or to us
[3:08:32.040 --> 3:08:36.720]  but the truth will come out just as I said in the last segment as I was
[3:08:36.720 --> 3:08:41.160]  talking about Julian Assange and WikiLeaks their contribution to this
[3:08:41.160 --> 3:08:46.200]  last election and now even a former NIST employee is speaking out against the
[3:08:46.200 --> 3:08:51.120]  baloney science that has been pushed by that organization for the last 15 years
[3:08:51.120 --> 3:08:55.320]  he said hey I just looked at this stuff in August and this is nonsense this isn't
[3:08:55.320 --> 3:08:59.560]  up to our scientific standards so John Rappaport is joining us now and I'm
[3:08:59.560 --> 3:09:02.560]  going to get out of the way and let him host his website is no more fake news
[3:09:02.560 --> 3:09:07.120]  boy John that was really prophetic you thought this long before they started
[3:09:07.120 --> 3:09:14.320]  this fake meme of fake news didn't you that's a gold website I was thinking of
[3:09:14.320 --> 3:09:18.400]  suing them that's right you could you could probably take this and sell it to
[3:09:18.400 --> 3:09:21.680]  the Pentagon now for millions of dollars you know they could they could
[3:09:21.680 --> 3:09:27.680]  make it their their central site to push their fake news memes I'm sure I'm
[3:09:27.680 --> 3:09:31.240]  sure we could yeah we'll have to see about that alright I'm gonna get out of
[3:09:31.240 --> 3:09:34.800]  the way and let you host thank you so much John okay thank you thank you good
[3:09:34.800 --> 3:09:43.600]  to be here everybody Anderson Cooper my hero Mr. Fake News personified isn't he
[3:09:43.600 --> 3:09:50.680]  a great guy incredible interned for two summers with the CIA before he ever got
[3:09:50.680 --> 3:09:57.120]  started in the news business two summers not one went through one said I like it
[3:09:57.120 --> 3:10:06.120]  went back I like it again but I guess I won't go in for a career with the CIA but
[3:10:06.120 --> 3:10:13.480]  the news mainstream news last I heard that was a kind of a CIA operation isn't
[3:10:13.480 --> 3:10:19.360]  it mockingbird project mockingbird and so on and so forth so an answer and
[3:10:19.360 --> 3:10:25.920]  Cooper stands up and says to a Trump team member you mean it's possible that
[3:10:25.920 --> 3:10:33.360]  Donald Trump goes to info wars info wars info wars for his news this is a
[3:10:33.360 --> 3:10:38.240]  terrible thing this is a terrible thing what is Mr. Fake News Anderson Cooper
[3:10:38.240 --> 3:10:45.120]  actually doing well what he's actually doing is he's trying to defend big news
[3:10:45.120 --> 3:10:52.720]  he's just saying don't go there stay here with us we own the news don't go
[3:10:52.720 --> 3:10:58.920]  anywhere else we have the news you might recall who is that idiot on CNN not
[3:10:58.920 --> 3:11:06.320]  long ago who was saying you the public do not have a right to read the wiki
[3:11:06.320 --> 3:11:12.200]  leaks emails about Hillary Clinton because that would be illegal no instead
[3:11:12.200 --> 3:11:19.320]  you've got to let us read them and then we will tell you what they say and then
[3:11:19.320 --> 3:11:26.800]  you will know what we know as we want to give it to you remember that remember
[3:11:26.800 --> 3:11:32.880]  that incredible statement that should have turned off I don't know whatever
[3:11:32.880 --> 3:11:38.640]  audience CNN has left an incredible statement so this is the kind of news
[3:11:38.640 --> 3:11:46.560]  outlet that Mr. Fake News Anderson Cooper is defending this is CNN this is
[3:11:46.560 --> 3:11:58.720]  CNN don't go to info wars don't go to anywhere else just stay with CNN you know
[3:11:58.720 --> 3:12:02.640]  he's doing advertising for CNN basically it has nothing to do with
[3:12:02.640 --> 3:12:09.440]  anything else except of course when he refers to Trump and he says you mean
[3:12:09.440 --> 3:12:13.000]  there's a possibility that the next president of the United States does not
[3:12:13.000 --> 3:12:19.840]  accept the conventional official scenario about the 9-11 attacks my god
[3:12:19.840 --> 3:12:25.480]  what a horror show that would be and why would Mr. Fake News Anderson Cooper say
[3:12:25.480 --> 3:12:29.440]  that because he doesn't know the first thing about anything all he knows is
[3:12:29.440 --> 3:12:33.960]  the official scenario that's all he's supposed to know that's all he's supposed
[3:12:33.960 --> 3:12:41.760]  to talk about so that is what he talks about and defends that against any
[3:12:41.760 --> 3:12:47.960]  incursion from the outside what about building seven is David just talking
[3:12:47.960 --> 3:12:53.760]  about what about bombs inside the buildings exploding simultaneously with
[3:12:53.760 --> 3:13:00.320]  the impact what about a dozen other scenarios that have been researched by
[3:13:00.320 --> 3:13:06.720]  people who are not only of goodwill but are hell bent on discovering the truth
[3:13:06.720 --> 3:13:13.560]  what about them oh that's all fake news and why is that Anderson well because
[3:13:13.560 --> 3:13:18.840]  it's not CNN that's why and then of course we have the case of Newsweek
[3:13:18.840 --> 3:13:23.960]  sending out what was it a hundred a hundred and twenty four thousand issues
[3:13:23.960 --> 3:13:30.480]  of maddam president the so-called commemorative issue on election night
[3:13:30.480 --> 3:13:37.200]  and now revealing and confessing that they didn't even write it they didn't
[3:13:37.200 --> 3:13:43.440]  read it they didn't edit it they didn't look at it Matt Cooper the editor was
[3:13:43.440 --> 3:13:48.760]  talking with Tucker Carlson about this oh yeah well you know we subcontract that
[3:13:48.760 --> 3:13:52.840]  kind of thing out to a private company and usually they do a very good job but
[3:13:52.840 --> 3:13:57.680]  I have to admit in this case the writing was really subpar yes because the
[3:13:57.680 --> 3:14:03.280]  writing basically glorified Hillary Clinton and roundly denounced Donald
[3:14:03.280 --> 3:14:08.920]  Trump as the dark prince that was the commemorative issue that went out we
[3:14:08.920 --> 3:14:13.520]  made a mistake it went out before the election was called yes so that was
[3:14:13.520 --> 3:14:18.760]  another mistake we sent it out that was one we didn't read it number two we
[3:14:18.760 --> 3:14:23.800]  didn't edit number three and we didn't write it number four we actually had a
[3:14:23.800 --> 3:14:31.880]  private company do it for us and they sent it out that's a pretty good deal
[3:14:31.880 --> 3:14:39.400]  you run a news outlet that isn't a news outlet you pay somebody else to write
[3:14:39.400 --> 3:14:43.760]  the news you don't read it or you edit or edit it you just send it out that's
[3:14:43.760 --> 3:14:50.920]  kind of a nice job if you can get it so with that let me suddenly segue over and
[3:14:50.920 --> 3:14:57.960]  let you know that vitamin mineral fusion an infowarslife.com product is back
[3:14:57.960 --> 3:15:05.520]  it's affordable it's there in the stores at infowarslife.com full month
[3:15:05.520 --> 3:15:11.200]  supply of essential vitamins minerals amino acids that your body does need
[3:15:11.200 --> 3:15:18.520]  unique delivery system proprietary manufacturing process platinum standard
[3:15:18.520 --> 3:15:25.760]  of multi vitamin products so go to infowarslife.com for vitamin mineral
[3:15:25.760 --> 3:15:34.160]  fusion this product either plant derived or the highest lab standard just some of
[3:15:34.160 --> 3:15:40.840]  the ingredients ingredients vitamin C E zinc magnesium selenium elgutamine
[3:15:40.840 --> 3:15:50.160]  alphalopaic acid folic acid vitamin mineral fusion infowarslife.com and as
[3:15:50.160 --> 3:15:56.920]  David mentioned in the last hour infowars does not accept government
[3:15:56.920 --> 3:16:05.760]  funding it is not PBS it is not running Kellogg's ads all over the place it is
[3:16:05.760 --> 3:16:13.680]  not doing any of that it's offering you pure products for your health and that
[3:16:13.680 --> 3:16:21.600]  way you get a double you get health better health and you support infowars so
[3:16:21.600 --> 3:16:31.320]  do it go to infowarslife.com now as I was saying Anderson Cooper Mr. Fake News
[3:16:31.320 --> 3:16:39.400]  two summers with the CIA as an intern but this isn't all that's happening at
[3:16:39.400 --> 3:16:45.680]  CNN and here's something that I think it's quite possible that you haven't
[3:16:45.680 --> 3:16:51.500]  heard of just looking through my notes here and that is the case of David
[3:16:51.500 --> 3:16:57.440]  Gergen you know David Gergen I call him David Gargle because he always sounds
[3:16:57.440 --> 3:17:05.160]  like he's gargling when he's talking David Gergen David Gergen is an insider
[3:17:05.160 --> 3:17:11.420]  a real political insider who's worked on the inside with four presidents Ford
[3:17:11.420 --> 3:17:20.120]  Nixon Reagan Clinton both sides of the aisle he is now an elite the CNN
[3:17:20.120 --> 3:17:26.840]  commentator there he is hi David don't gurgle while I'm talking please but
[3:17:26.840 --> 3:17:34.880]  David is also an executive committee member of the Trilateral Commission okay
[3:17:34.880 --> 3:17:41.800]  he hammered Trump during the campaign what are those two things have to do
[3:17:41.800 --> 3:17:45.800]  with each other well the Trilateral Commission is David Rockefeller is big
[3:17:45.800 --> 3:17:53.480]  new Brzezinski is globalism personified there are 87 members of the
[3:17:53.480 --> 3:17:57.520]  Trilateral Commission who live in America as author Patrick Wood has pointed
[3:17:57.520 --> 3:18:04.040]  out Obama appointed 11 of the 87 to key posts in his administration David
[3:18:04.040 --> 3:18:10.520]  Gergen is supposedly an objective commentator for CNN Fake News Central and
[3:18:10.520 --> 3:18:16.560]  he has been a longtime member of the executive committee of the Trilateral
[3:18:16.560 --> 3:18:22.000]  Commission which stands for all the trade treaties indeed that are sending
[3:18:22.000 --> 3:18:27.100]  jobs like crazy out of the country and throwing people out of work he stands
[3:18:27.100 --> 3:18:32.840]  for a new economic order of the planet which is the stated aim of the
[3:18:32.840 --> 3:18:37.920]  Trilateral Commission they want to eradicate all borders and national
[3:18:37.920 --> 3:18:44.400]  sovereignty as evidenced by David Rockefeller's own statements in his 2003
[3:18:44.400 --> 3:18:52.680]  memoir that's who David Gergen is so why doesn't he file and announce a
[3:18:52.680 --> 3:18:57.680]  conflict of interest statement every time he opens his yapp and gargles on
[3:18:57.680 --> 3:19:04.640]  CNN especially when he's talking about globalism or trade treaties or Donald
[3:19:04.640 --> 3:19:12.440]  Trump or immigration or open borders why doesn't he do that why doesn't CNN do
[3:19:12.440 --> 3:19:17.680]  that why don't they say here's David Gergen you didn't know this but he's an
[3:19:17.680 --> 3:19:22.360]  executive committee member of the Trilateral Commission and so he has
[3:19:22.360 --> 3:19:27.680]  certain views which we will now announce to you before he opens his yapp
[3:19:27.680 --> 3:19:33.040]  we'll be back think about it
[3:19:33.040 --> 3:19:44.680]  are you happy washing your hands with harsh chemicals are you happy doing
[3:19:44.680 --> 3:19:48.520]  laundry with detergents are you happy paying high prices find your
[3:19:48.520 --> 3:19:52.920]  happiness with pure soap these all-natural earth-friendly pure soaps are the
[3:19:52.920 --> 3:19:59.080]  very best you've ever used buy in bulk get a 12 36 or 48 months to plot or get
[3:19:59.080 --> 3:20:03.200]  items individually and still save big you're getting soap products twice as
[3:20:03.200 --> 3:20:07.200]  good as what you're using now earth-friendly and natural soaps your
[3:20:07.200 --> 3:20:12.240]  family deserves the best happiness is five-star soap.com why not put your
[3:20:12.240 --> 3:20:16.760]  money up the drain for a change see them at five-star soap.com or call
[3:20:16.760 --> 3:20:23.000]  1-800-340-7091 for a catalog Calben soap company can save you thousands of
[3:20:23.000 --> 3:20:27.600]  dollars and give you good old-fashioned real soaps that are triple concentrated
[3:20:27.600 --> 3:20:31.880]  soaps made from vegetable and coconut oils see their full selection of soaps
[3:20:31.880 --> 3:20:39.880]  at five-star soap.com that's F-I-V-E star soap.com or call 1-800-340-7091 for a
[3:20:39.880 --> 3:20:44.040]  catalog what would your life be like if you woke up each morning with new
[3:20:44.040 --> 3:20:47.720]  vitality feeling better than you have in years and you noticed a difference in
[3:20:47.720 --> 3:20:50.880]  your sleeping patterns blood sugar levels and had a sense of well-being
[3:20:50.880 --> 3:20:54.760]  overall there's something that is changing thousands of people's lives and
[3:20:54.760 --> 3:20:58.880]  you could be one of them it's called heart and body extract Sharon Harris
[3:20:58.880 --> 3:21:02.640]  co-creator of heart and body extract talks about the positive effects of
[3:21:02.640 --> 3:21:06.680]  heart and body extract what happens with the formula heart and body extract is
[3:21:06.680 --> 3:21:10.880]  it's giving the body the necessary vitamins minerals amino acids enzymes
[3:21:10.880 --> 3:21:15.160]  and phytonutrients so the body will heal itself and yes the body does have
[3:21:15.160 --> 3:21:19.440]  the ability to balance blood pressure balance cholesterol clean and unclog the
[3:21:19.440 --> 3:21:24.000]  arteries it can also work on balancing the circulation for diabetics so the
[3:21:24.000 --> 3:21:28.480]  body is an amazing thing it simply needs some help so it has the tools to heal
[3:21:28.480 --> 3:21:32.640]  itself heart and body extract gets results to order your two-month supply
[3:21:32.640 --> 3:21:41.040]  call now toll free at 866-295-5305 order online at HB extract comm winter has
[3:21:41.040 --> 3:21:45.200]  just begun and are you already tired of being cold how would you like to never
[3:21:45.200 --> 3:21:50.280]  be cold again this is Dale with fortress clothing and I'm here to tell you you
[3:21:50.280 --> 3:21:54.800]  will never be cold again with fortress if you're tired of freezing your butt
[3:21:54.800 --> 3:21:59.960]  off elk hunting sitting in a tree stand deer hunting winter camping fishing
[3:21:59.960 --> 3:22:06.120]  ice fishing no longer fear the cold if you snowmobile ski snowboard get
[3:22:06.120 --> 3:22:10.800]  fortress sledding with the kids shoveling the walks shopping or if you or your
[3:22:10.800 --> 3:22:15.240]  spouse get cold feet at home get fortress if you're stuck outside working
[3:22:15.240 --> 3:22:19.720]  in the cold or find yourself in an emergency situation get our winter bug
[3:22:19.720 --> 3:22:24.160]  out bag and you will never be cold again fortress is the answer so quick
[3:22:24.160 --> 3:22:28.280]  complaining and go to fortress clothing calm it's a mid-layer garment that goes
[3:22:28.280 --> 3:22:33.280]  with anything you want to wear enter coupon code radio and get 20% off any
[3:22:33.280 --> 3:22:40.160]  item go now while we still have inventory fortress clothing calm will the
[3:22:40.160 --> 3:22:44.800]  government protect your family from Iran and North Korea's newest weapon EMP we
[3:22:44.800 --> 3:22:48.600]  buy guns to protect ourselves home health and car insurance for accidents
[3:22:48.600 --> 3:22:52.440]  maybe you also have food storage but how would you keep your refrigerator running
[3:22:52.440 --> 3:22:58.040]  in a long-term EMP blackout using tested military designs the Solark EMP
[3:22:58.040 --> 3:23:02.440]  hardened solar generator protects and powers your critical appliances for
[3:23:02.440 --> 3:23:06.240]  years without burying items underground or wrapping them in aluminum foil
[3:23:06.240 --> 3:23:11.120]  unlike other preps Solark is used every day to help offset your electric bill
[3:23:11.120 --> 3:23:16.000]  automatically visit portable solar LLC.com to learn how easily expandable
[3:23:16.000 --> 3:23:19.800]  the system is Solark is the most affordable and powerful solution on the
[3:23:19.800 --> 3:23:24.080]  market the whole system even fits in the back of a pickup or SUV and can install
[3:23:24.080 --> 3:23:28.280]  in less than an hour see for yourself why Solark beats other off-grid systems
[3:23:28.280 --> 3:23:33.080]  at portable solar LLC.com don't wait for the government go to portable
[3:23:33.080 --> 3:23:40.240]  solar LLC.com to learn why Solark is energy insurance for your family
[3:23:40.240 --> 3:23:46.920]  the Genesis Communications radio network proudly presents the Alex Jones show
[3:23:46.920 --> 3:23:51.760]  because there's a war on for your mind
[3:23:58.680 --> 3:24:04.320]  John Rappaport sitting in for Alex Jones in the fourth hour here and we're
[3:24:04.320 --> 3:24:11.640]  talking about fake news and the fake news people of CNN but I want to shift
[3:24:11.640 --> 3:24:19.920]  gears into some solutions here I've been writing open letters to see ban
[3:24:19.920 --> 3:24:26.240]  suggesting some solutions remember the idea of solutions actual things that
[3:24:26.240 --> 3:24:31.440]  actually work as opposed to what government bureaucrats do because let's
[3:24:31.440 --> 3:24:37.600]  face it what they do is they they take a problem and they grab it like it's
[3:24:37.600 --> 3:24:42.480]  their soulmate we got to have we can't let go of it we can't solve it we can't
[3:24:42.480 --> 3:24:48.120]  really do anything about it we can mush it around we can love it and we can keep
[3:24:48.120 --> 3:24:53.800]  it we can fund it unworkably so that everything gets screwed up but we never
[3:24:53.800 --> 3:25:01.400]  ever solve it that's the bureaucratic look here so if Trump is going to change
[3:25:01.400 --> 3:25:07.240]  that if that's really going to happen and I have some serious questions about
