[00:00.000 --> 00:10.000]  Live from Austin, Texas. Broadcasting Worldwide. It's Alex Jones.
[01:24:35.000 --> 01:24:42.000]  I mean, I know cattle die from fungus infected wheat, so they've learned to not give it to cows, but they give it to us.
[01:24:42.000 --> 01:24:45.000]  And that's privately, it's incredible, you call it.
[01:24:45.000 --> 01:24:51.000]  Privately, the intel is probably fungus in wheat, and that's actually the mystery illness.
[01:24:51.000 --> 01:24:55.000]  But they'll never say that in the hospitals, because they don't want to go after Big Agra.
[01:24:55.000 --> 01:24:57.000]  They don't want to clean up the problem.
[01:24:57.000 --> 01:25:01.000]  And so, what do we do in this madhouse?
[01:25:01.000 --> 01:25:03.000]  Well, this is the whole thing, Alex.
[01:25:03.000 --> 01:25:05.000]  And I'm going to be totally honest with you.
[01:25:05.000 --> 01:25:10.000]  And see me, the scientist, see, honestly, I'm the type of scientist, the scientist of the 50s,
[01:25:10.000 --> 01:25:16.000]  that my job is to look, go out and find a cure for people, not just a treatment, but a cure disease.
[01:25:16.000 --> 01:25:19.000]  Well, let me ask you, what knocks out this fungus is growing on the wheat then?
[01:25:19.000 --> 01:25:21.000]  I mean, my uncle's there, they don't think he's going to make it.
[01:25:21.000 --> 01:25:24.000]  I mean, I don't want to freak out family listening, but that's the word.
[01:25:24.000 --> 01:25:26.000]  It's like 90%, he's in deep trouble.
[01:25:26.000 --> 01:25:30.000]  The point is, what would you do then to knock out imidus fungus?
[01:25:30.000 --> 01:25:32.000]  Why not try stuff?
[01:25:32.000 --> 01:25:39.000]  Well, if it is a fungal infection going on, one of the best things that knocks out Candida applicants,
[01:25:39.000 --> 01:25:42.000]  it's called Clotrimazole.
[01:25:42.000 --> 01:25:48.000]  It's any fungal agent, and it's very, very effective against Candida applicants.
[01:25:48.000 --> 01:25:54.000]  But the thing is, that's why it's important to get the fungal culture to find out if that's what the fungus is.
[01:25:54.000 --> 01:25:59.000]  Well, you know, the only thing that, I'm the only person in my family that hasn't gotten sick from this,
[01:25:59.000 --> 01:26:02.000]  and you know what I take, I take olive leaf extract.
[01:26:02.000 --> 01:26:05.000]  And actually, that's a good thing to take.
[01:26:05.000 --> 01:26:10.000]  And something else, there is another natural, and I see a lot of people don't notice,
[01:26:10.000 --> 01:26:15.000]  but I've done a lot of research on my own, something else that's a very good fungal agent,
[01:26:15.000 --> 01:26:18.000]  believe it or not, is horseradish.
[01:26:18.000 --> 01:26:24.000]  But once you get this in your system, once it starts prolificating this fungus,
[01:26:24.000 --> 01:26:28.000]  Clotrimazole is very good at combating it and killing it.
[01:26:28.000 --> 01:26:32.000]  But the main thing is, is to find out if that's what's going on.
[01:26:32.000 --> 01:26:34.000]  See, and this is what makes me sick.
[01:26:34.000 --> 01:26:40.000]  It's like, too many doctors are taking educated gasses as to what's going on, instead of doing...
[01:26:40.000 --> 01:26:44.000]  Oh no, with my kids, they wanted to put them on antibiotics without a swab,
[01:26:44.000 --> 01:26:46.000]  and I made them do the swab two weeks ago, and they said,
[01:26:46.000 --> 01:26:47.000]  well, we didn't find anything.
[01:26:47.000 --> 01:26:49.000]  And I said, well, then why put them on it, and they got better.
[01:26:49.000 --> 01:26:50.000]  I'm not going to just...
[01:26:50.000 --> 01:26:53.000]  That's what's causing the superbugs is the overprescription.
[01:26:53.000 --> 01:26:54.000]  People go, what are you against antibiotics?
[01:26:54.000 --> 01:26:56.000]  No, I'm against their overuse.
[01:26:56.000 --> 01:26:58.000]  What's the name of the drug?
[01:26:58.000 --> 01:27:01.000]  I'm going to call my dad, because he's almost there with my uncle again right now.
[01:27:01.000 --> 01:27:02.000]  He's been back and forth.
[01:27:02.000 --> 01:27:04.000]  Tell me the name of the drug.
[01:27:04.000 --> 01:27:07.000]  Okay, it's called Clotrimazole.
[01:27:07.000 --> 01:27:12.000]  I believe the trade name is Mycelax, M-Y-C-E-L-E-X.
[01:27:12.000 --> 01:27:14.000]  Say that again?
[01:27:14.000 --> 01:27:16.000]  And the chemical is Clotrimazole.
[01:27:16.000 --> 01:27:18.000]  The M-I-C-L?
[01:27:18.000 --> 01:27:22.000]  I think it's M-Y-C-E-L-E-X, Mycelax.
[01:27:22.000 --> 01:27:24.000]  Got it, got it.
[01:27:24.000 --> 01:27:29.000]  And I think that the chemical name is Clotrimazole.
[01:27:29.000 --> 01:27:32.000]  But like I said, the main thing is to have...
[01:27:32.000 --> 01:27:36.000]  No, it's funny you say that, because in England and here,
[01:27:36.000 --> 01:27:40.000]  we were talking about this like last week, that the fungus is killing people.
[01:27:40.000 --> 01:27:44.000]  And so they can't find if it's bacteria or viral,
[01:27:44.000 --> 01:27:48.000]  and they've got all these microblasm bacteria are too small to find.
[01:27:48.000 --> 01:27:51.000]  But you're right, I bet it's fungus, because all this rain,
[01:27:51.000 --> 01:27:54.000]  Texas was in a drought, got diluged.
[01:27:54.000 --> 01:27:56.000]  Oh my gosh, that is incredible.
[01:27:56.000 --> 01:27:59.000]  Exactly, and see, this is the thing, Alex.
[01:27:59.000 --> 01:28:03.000]  It's like I said, too many doctors are taking educated guesses.
[01:28:03.000 --> 01:28:05.000]  And for them to find out truly what's going on,
[01:28:05.000 --> 01:28:09.000]  they just can't do a blood-sust bacterial culture with stain.
[01:28:09.000 --> 01:28:12.000]  They also have to do fungal culture with stain,
[01:28:12.000 --> 01:28:14.000]  and they have to do a complete blood...
[01:28:14.000 --> 01:28:17.000]  Exactly, why does medical science, even though in the mainline science,
[01:28:17.000 --> 01:28:20.000]  they admit funguses are killing almost as much as bacteria?
[01:28:20.000 --> 01:28:23.000]  Why do they only look at viruses and bacteria?
[01:28:23.000 --> 01:28:26.000]  Is it because Big Pharma hasn't developed drugs yet for fungus?
[01:28:26.000 --> 01:28:29.000]  I mean, why don't we talk about fungus?
[01:28:29.000 --> 01:28:32.000]  Actually, they do have medications for fungus,
[01:28:32.000 --> 01:28:37.000]  but unfortunately, they're not...
[01:28:37.000 --> 01:28:41.000]  It just turns like that, because they're not concentrating
[01:28:41.000 --> 01:28:43.000]  on yet another problem that's out there,
[01:28:43.000 --> 01:28:46.000]  and fungus could be just as deadly as bacteria.
[01:28:46.000 --> 01:28:48.000]  Absolutely, bacteria, viruses, and fungus.
[01:28:48.000 --> 01:28:50.000]  Great point, God bless you, sir.
[01:28:50.000 --> 01:28:52.000]  God, thank you so much for that, Nick.
[01:28:52.000 --> 01:28:56.000]  We're coming back with Jeff, Daniel, Ironhead, and many others.
[01:28:56.000 --> 01:29:08.000]  Straight ahead, stay with us.
[01:29:27.000 --> 01:29:30.000]  The exclusive InfoWarsLive fluoride shield formulation,
[01:29:30.000 --> 01:29:33.000]  fusing six of the best documented ingredients
[01:29:33.000 --> 01:29:36.000]  from around the world to help the body remove
[01:29:36.000 --> 01:29:38.000]  not just toxic fluoride residues from the body,
[01:29:38.000 --> 01:29:41.000]  but a whole host of toxic substances.
[01:29:41.000 --> 01:29:43.000]  Let's take a stand against the globalist
[01:29:43.000 --> 01:29:45.000]  by blocking their poisons with fluoride shield.
[01:29:45.000 --> 01:29:47.000]  I use fluoride shield every day.
[01:29:47.000 --> 01:29:51.000]  Secure your fluoride shield and other pioneering formulations
[01:29:51.000 --> 01:29:53.000]  at InfoWarsLive.com today.
[01:29:53.000 --> 01:29:55.000]  Let's start cleansing our bodies now
[01:29:55.000 --> 01:29:58.000]  and support the InfoWars at the same time.
[01:29:58.000 --> 01:30:00.000]  That's InfoWarsLive.com.
[01:30:00.000 --> 01:30:03.000]  Why does the United States spend the largest percentage
[01:30:03.000 --> 01:30:05.000]  of GDP in the world on healthcare?
[01:30:05.000 --> 01:30:08.000]  Why do we have the highest cancer rates on the planet,
[01:30:08.000 --> 01:30:11.000]  the highest rates of diabetes, autism,
[01:30:11.000 --> 01:30:13.000]  and every other major disease?
[01:30:13.000 --> 01:30:15.000]  It all comes down to one thing.
[01:30:15.000 --> 01:30:17.000]  We are what we eat.
[01:30:17.000 --> 01:30:19.000]  Our food is devoid of nutrition
[01:30:19.000 --> 01:30:21.000]  and processed with poisons and additives.
[01:30:21.000 --> 01:30:24.000]  Our water is filled with toxic poisons
[01:30:24.000 --> 01:30:26.000]  and big pharma runoff.
[01:30:26.000 --> 01:30:28.000]  All of this has been engineered by design.
[01:30:28.000 --> 01:30:31.000]  We can turn the tide against the eugenicist.
[01:30:31.000 --> 01:30:34.000]  By giving ourselves the nutrients our body desperately needs.
[01:30:34.000 --> 01:30:37.000]  To learn more, visit InfoWarsLive.com.
[01:30:37.000 --> 01:30:40.000]  The site is literally packed with audio and video
[01:30:40.000 --> 01:30:42.000]  featuring top health professionals
[01:30:42.000 --> 01:30:44.000]  who don't bow down to big pharma.
[01:30:44.000 --> 01:30:47.000]  The fight against the new world order starts with you
[01:30:47.000 --> 01:30:49.000]  and you can't stand against the machine
[01:30:49.000 --> 01:30:51.000]  of your sick, tired, and obese.
[01:30:51.000 --> 01:30:53.000]  When you visit InfoWarsLive.com,
[01:30:53.000 --> 01:30:56.000]  check out the catalog with nearly 400 life-changing products.
[01:30:56.000 --> 01:30:59.000]  And get free shipping when you sign up for auto-ship.
[01:30:59.000 --> 01:31:01.000]  Introducing Pro 1.
[01:31:01.000 --> 01:31:05.000]  All of your filtration in one system, portable on the go.
[01:31:05.000 --> 01:31:07.000]  No more do you have two or three filters
[01:31:07.000 --> 01:31:09.000]  to just reduce sodium fluoride.
[01:31:09.000 --> 01:31:12.000]  You have a system that cuts out the sodium fluoride
[01:31:12.000 --> 01:31:15.000]  and up to 95% of hydrofluorosalic acid.
[01:31:15.000 --> 01:31:18.000]  Advanced manufacturing technology combines
[01:31:18.000 --> 01:31:20.000]  silver impregnated white ceramic
[01:31:20.000 --> 01:31:23.000]  with new aqua medics advanced media
[01:31:23.000 --> 01:31:25.000]  for removal of fluoride and other heavy metals
[01:31:25.000 --> 01:31:27.000]  all in one filter element.
[01:31:27.000 --> 01:31:30.000]  It is the only one that does it and out of the gates.
[01:31:30.000 --> 01:31:33.000]  We have it discounted at 10% off with promo code water.
[01:31:33.000 --> 01:31:36.000]  This is the only system that in one unit
[01:31:36.000 --> 01:31:40.000]  helps reduce or remove pesticides, herbicides,
[01:31:40.000 --> 01:31:44.000]  chloramines, ammonia and chlorine, hydrofluorosalic acid.
[01:31:44.000 --> 01:31:46.000]  The most common form of fluoride
[01:31:46.000 --> 01:31:48.000]  not covered by other fluoride filter brands
[01:31:48.000 --> 01:31:50.000]  and sodium hexafluorosilicate.
[01:31:50.000 --> 01:31:53.000]  Get your Pro Pure with the new Pro 1 filters today
[01:31:53.000 --> 01:31:55.000]  at mfolwarstore.com
[01:31:55.000 --> 01:31:59.000]  or by calling 888-253-3139.
[01:31:59.000 --> 01:32:02.000]  Alex Jones here with a message to fellow freedom lovers.
[01:32:02.000 --> 01:32:05.000]  The prognosis for the entire planetary economic system
[01:32:05.000 --> 01:32:07.000]  runs from bad to worse.
[01:32:07.000 --> 01:32:10.000]  The globalist model is to shut down societies
[01:32:10.000 --> 01:32:12.000]  and starve patriots out
[01:32:12.000 --> 01:32:14.000]  until they acquiesce to the global takeover.
[01:32:14.000 --> 01:32:16.000]  That's why we've assembled the most vital
[01:32:16.000 --> 01:32:18.000]  and important preparedness items
[01:32:18.000 --> 01:32:20.000]  at infowarshop.com.
[01:32:20.000 --> 01:32:22.000]  These are items that I did research on
[01:32:22.000 --> 01:32:24.000]  that I personally use.
[01:32:24.000 --> 01:32:26.000]  You've got the life straw so you can turn
[01:32:26.000 --> 01:32:29.000]  fetid water into safe water anywhere you go.
[01:32:29.000 --> 01:32:31.000]  The K-Tor hand crank generator
[01:32:31.000 --> 01:32:33.000]  to charge up key equipment during power outages
[01:32:33.000 --> 01:32:35.000]  or out in the field.
[01:32:35.000 --> 01:32:38.000]  Strategic relocation third edition by Joel Scowsen.
[01:32:38.000 --> 01:32:40.000]  When disaster strikes by Matthew Stein
[01:32:40.000 --> 01:32:42.000]  they're a safe used by Homeland Security
[01:32:42.000 --> 01:32:45.000]  to protect yourself during any radiological event.
[01:32:45.000 --> 01:32:47.000]  Hand crank shortwave AMFM radios.
[01:32:47.000 --> 01:32:49.000]  Everything that we've researched
[01:32:49.000 --> 01:32:51.000]  and found to be the best is available
[01:32:51.000 --> 01:32:53.000]  at infowarshop.com
[01:32:53.000 --> 01:32:55.000]  and your purchase makes our info war possible.
[01:32:55.000 --> 01:32:57.000]  We're getting prepared.
[01:32:57.000 --> 01:33:22.000]  Let's get started.
[01:33:22.000 --> 01:33:25.000]  Crashing through the lies and disinformation
[01:33:25.000 --> 01:33:27.000]  it's Alex Jones
[01:33:27.000 --> 01:33:31.000]  on the GCN radio network.
[01:33:31.000 --> 01:33:35.000]  First of all, give an honor to God
[01:33:35.000 --> 01:33:43.000]  and our Lord, Savior, Barack Obama.
[01:33:43.000 --> 01:33:45.000]  Barack Obama.
[01:33:45.000 --> 01:33:49.000]  Y'all stand up.
[01:33:49.000 --> 01:33:52.000]  He's elemental.
[01:33:52.000 --> 01:33:54.000]  His size is clean.
[01:33:54.000 --> 01:33:56.000]  He is perpetual.
[01:33:56.000 --> 01:34:03.000]  He keeps the country free.
[01:34:03.000 --> 01:34:10.000]  Electric Eye, our Lord and Savior, Barack Obama.
[01:34:10.000 --> 01:34:12.000]  Always in focus.
[01:34:12.000 --> 01:34:17.000]  Don't feel his stare.
[01:34:17.000 --> 01:34:21.000]  But you don't know I'm there.
[01:34:21.000 --> 01:34:23.000]  Remember I told you the NSA was spying on you
[01:34:23.000 --> 01:34:25.000]  and how they were doing it?
[01:34:25.000 --> 01:34:28.000]  And exactly what I told you later was admitted.
[01:34:28.000 --> 01:34:31.000]  It's because this stuff was not even secret.
[01:34:31.000 --> 01:34:33.000]  Most of it wasn't secret.
[01:34:33.000 --> 01:34:35.000]  We got a lot of the secret info
[01:34:35.000 --> 01:34:37.000]  because I'm one of the few people crazy enough
[01:34:37.000 --> 01:34:39.000]  to actually put this information out.
[01:34:39.000 --> 01:34:41.000]  I know the secret of life
[01:34:41.000 --> 01:34:43.000]  where none of us are getting out of this alive.
[01:34:43.000 --> 01:34:45.000]  None of us.
[01:34:45.000 --> 01:34:47.000]  So why not stand up for human dignity and freedom?
[01:34:47.000 --> 01:34:49.000]  That's where I stand.
[01:34:49.000 --> 01:34:51.000]  Does it mean I have all the answers?
[01:34:51.000 --> 01:34:55.000]  No, but I make the choice in my heart right here
[01:34:55.000 --> 01:34:59.000]  to stand for good, stand for justice.
[01:34:59.000 --> 01:35:01.000]  That's where I stand.
[01:35:01.000 --> 01:35:03.000]  And God is my North Star.
[01:35:03.000 --> 01:35:05.000]  Look at this article.
[01:35:05.000 --> 01:35:08.000]  NSA panel member recommends increased data collection.
[01:35:08.000 --> 01:35:12.000]  Former CIA chief controversial bulk collection of data
[01:35:12.000 --> 01:35:14.000]  should be expanded to include email
[01:35:14.000 --> 01:35:16.000]  and should prevent the next 9-11.
[01:35:16.000 --> 01:35:19.000]  They had total spying on 9-11.
[01:35:19.000 --> 01:35:21.000]  That even came out in court.
[01:35:21.000 --> 01:35:24.000]  And they ordered stand-downs of the FBI, the CIA,
[01:35:24.000 --> 01:35:28.000]  the Navy SEALs, Delta Force, Stratus IV,
[01:35:28.000 --> 01:35:30.000]  SolarWinds.
[01:35:30.000 --> 01:35:32.000]  I'm saying all the names right now.
[01:35:32.000 --> 01:35:34.000]  If you're a listener, just search that and you'll find out.
[01:35:34.000 --> 01:35:40.000]  They ordered stand-downs on 9-11 and before it.
[01:35:40.000 --> 01:35:44.000]  We've interviewed Sabelle Edmonds, the NSA whistleblower.
[01:35:44.000 --> 01:35:47.000]  And then they use their stand-down, their program,
[01:35:47.000 --> 01:35:50.000]  their operation, which they now admits focused on us politically
[01:35:50.000 --> 01:35:54.000]  and the Associated Press and the media to create a chilling effect.
[01:35:54.000 --> 01:35:58.000]  They focus on us and say, oh, we want more illegal spying
[01:35:58.000 --> 01:36:01.000]  or the terrorists are going to get you.
[01:36:01.000 --> 01:36:06.000]  The very same terrorists they've put in Libya, Syria, Egypt,
[01:36:06.000 --> 01:36:09.000]  everywhere else.
[01:36:09.000 --> 01:36:12.000]  Al-Qaeda's taken over Iraq, armed by our government.
[01:36:12.000 --> 01:36:15.000]  You want to know why the military has record suicides?
[01:36:15.000 --> 01:36:19.000]  Part of it is they kill themselves when they're told to train Al-Qaeda.
[01:36:19.000 --> 01:36:22.000]  And the Al-Qaeda even makes jokes to them about you, American pigs.
[01:36:22.000 --> 01:36:25.000]  This has come out in the news after I reported it.
[01:36:25.000 --> 01:36:28.000]  We killed you years ago in Iraq and Afghanistan.
[01:36:28.000 --> 01:36:30.000]  We'll kill you soon after Assad.
[01:36:30.000 --> 01:36:34.000]  And the troops go home and kill themselves rather than train Al-Qaeda.
[01:36:34.000 --> 01:36:37.000]  Why don't you go public? Why don't you speak out as some have done?
[01:36:37.000 --> 01:36:39.000]  Why don't you say no like the Navy SEAL families
[01:36:39.000 --> 01:36:42.000]  instead of killing yourself for the New World Order?
[01:36:42.000 --> 01:36:46.000]  Because you can't not follow an order. You can't train Al-Qaeda.
[01:36:46.000 --> 01:36:49.000]  Why don't you just go public instead of killing yourselves?
[01:36:49.000 --> 01:36:52.000]  Why don't you kill yourself in the fight against the globalist
[01:36:52.000 --> 01:36:56.000]  with your energy and your voice?
[01:36:56.000 --> 01:37:00.000]  Because you only feel secure in the system following their orders.
[01:37:00.000 --> 01:37:03.000]  You don't know what to do when you learn it's all a betrayal.
[01:37:03.000 --> 01:37:06.000]  Well, do what I and others have done who've learned the betrayal.
[01:37:06.000 --> 01:37:09.000]  Decide to betray evil.
[01:37:09.000 --> 01:37:13.000]  Decide to give in to goodness.
[01:37:13.000 --> 01:37:17.000]  Decide to fully commit to bringing these people down.
[01:37:17.000 --> 01:37:20.000]  Decide to just put it on God's altar and say,
[01:37:20.000 --> 01:37:22.000]  I'm not perfect. I don't have the answers.
[01:37:22.000 --> 01:37:25.000]  I want to fight evil. I am a vessel.
[01:37:25.000 --> 01:37:27.000]  Pour your spirit into me.
[01:37:27.000 --> 01:37:31.000]  And the minute you do that, it will begin.
[01:37:31.000 --> 01:37:33.000]  And that's what I say to all the other talk show hosts,
[01:37:33.000 --> 01:37:35.000]  everyone else that serves this system,
[01:37:35.000 --> 01:37:38.000]  you can't make a deal with this evil and you know that in your gut.
[01:37:38.000 --> 01:37:41.000]  That's why the hair on the back of your neck standing up right now.
[01:37:41.000 --> 01:37:44.000]  You need to join the defense of liberty.
[01:37:44.000 --> 01:37:48.000]  You need to join the defense of the innocence now.
[01:37:48.000 --> 01:37:50.000]  Look at the fruits of the new world order.
[01:37:50.000 --> 01:37:53.000]  Look at the fruits of the establishment and this plastic culture.
[01:37:53.000 --> 01:37:56.000]  Who wants any part of that?
[01:37:56.000 --> 01:38:00.000]  That's the question I ask you tonight.
[01:38:00.000 --> 01:38:04.000]  Our species is under attack by a kleptocratic group of scientists
[01:38:04.000 --> 01:38:08.000]  who are playing God and who learn the secret rules of programming humans
[01:38:08.000 --> 01:38:11.000]  who've attacked their own species.
[01:38:11.000 --> 01:38:13.000]  These people are an aberration.
[01:38:13.000 --> 01:38:16.000]  They are a disease running through the body politic
[01:38:16.000 --> 01:38:19.000]  and they must be removed.
[01:38:19.000 --> 01:38:22.000]  And they have committed legions of crimes
[01:38:22.000 --> 01:38:25.000]  that in a court of law will allow their removal.
[01:38:25.000 --> 01:38:28.000]  You don't join us in this epic quest for liberty.
[01:38:28.000 --> 01:38:32.000]  You are signing on to madness.
[01:38:32.000 --> 01:38:34.000]  They tell you, oh, it's a new age.
[01:38:34.000 --> 01:38:35.000]  It's a new system.
[01:38:35.000 --> 01:38:37.000]  We've got to join with the dark side.
[01:38:37.000 --> 01:38:42.000]  That is a fraud.
[01:38:42.000 --> 01:38:47.000]  This great move of evil is to suppress the human enlightenment
[01:38:47.000 --> 01:38:49.000]  that is already beginning.
[01:38:49.000 --> 01:38:52.000]  Everything the globalists do is a counterfeit.
[01:38:52.000 --> 01:38:54.000]  Christ has his new age.
[01:38:54.000 --> 01:38:56.000]  They create their new age.
[01:38:56.000 --> 01:38:57.000]  We have our Renaissance.
[01:38:57.000 --> 01:38:58.000]  They create their Renaissance.
[01:38:58.000 --> 01:39:00.000]  We have our illumination of awakening.
[01:39:00.000 --> 01:39:03.000]  They create their Illuminati as the counterfeit.
[01:39:03.000 --> 01:39:09.000]  Learn to recognize the real from the counterfeit.
[01:39:09.000 --> 01:39:10.000]  Let's go to your phone calls.
[01:39:10.000 --> 01:39:12.000]  Jeff in New Mexico.
[01:39:12.000 --> 01:39:13.000]  Then we'll go to everybody else.
[01:39:13.000 --> 01:39:14.000]  Jeff, thanks for calling tonight.
[01:39:14.000 --> 01:39:17.000]  Welcome to Airwaves Worldwide.
[01:39:17.000 --> 01:39:18.000]  How you doing, Alex?
[01:39:18.000 --> 01:39:19.000]  I'm doing all right, brother.
[01:39:19.000 --> 01:39:20.000]  Good.
[01:39:20.000 --> 01:39:22.000]  I got a couple of real important questions.
[01:39:22.000 --> 01:39:24.000]  A quick comment, if you don't mind me saying,
[01:39:24.000 --> 01:39:26.000]  Striper, you know, metal band Striper,
[01:39:26.000 --> 01:39:28.000]  it comes with a new album called No More Hell with Pain.
[01:39:28.000 --> 01:39:30.000]  I tell you what, you should listen to that.
[01:39:30.000 --> 01:39:31.000]  It's good stuff.
[01:39:31.000 --> 01:39:32.000]  Maybe get them on the show.
[01:39:32.000 --> 01:39:33.000]  I've heard some good Striper songs.
[01:39:33.000 --> 01:39:35.000]  In fact, I heard one just the other week on the radio.
[01:39:35.000 --> 01:39:37.000]  I thought I ought to play that.
[01:39:37.000 --> 01:39:39.000]  In fact, send the recommendation.
[01:39:39.000 --> 01:39:42.000]  I actually talked to his mom today, their drummer,
[01:39:42.000 --> 01:39:45.000]  the lead singer, Michael and Robert's mom today,
[01:39:45.000 --> 01:39:46.000]  trying to get him on your show.
[01:39:46.000 --> 01:39:48.000]  A friend of Dana Sting from Megadeth.
[01:39:48.000 --> 01:39:49.000]  He's done your show.
[01:39:49.000 --> 01:39:52.000]  And maybe I'll call back and talk to you about that later.
[01:39:52.000 --> 01:39:54.000]  But I have a couple of questions about Obamacare
[01:39:54.000 --> 01:39:55.000]  and another question.
[01:39:55.000 --> 01:39:58.000]  My daughter is almost 17.
[01:39:58.000 --> 01:40:00.000]  She suffered from asthma for a couple of years
[01:40:00.000 --> 01:40:03.000]  after several vaccinations were given to her.
[01:40:03.000 --> 01:40:04.000]  All of a sudden, it's asthma.
[01:40:04.000 --> 01:40:07.000]  And she's, we've almost lost her three times.
[01:40:07.000 --> 01:40:10.000]  You know, a close call, I should say, the last month or so.
[01:40:10.000 --> 01:40:13.000]  And the epinephrine shots and maybe the laser machines,
[01:40:13.000 --> 01:40:14.000]  and everything else.
[01:40:14.000 --> 01:40:16.000]  They just can't seem to get a hold of that.
[01:40:16.000 --> 01:40:19.000]  Is it, I don't know if they have to do with the vaccinations
[01:40:19.000 --> 01:40:20.000]  or the chem trials.
[01:40:20.000 --> 01:40:21.000]  Do you have any ideas about that?
[01:40:21.000 --> 01:40:23.000]  Well, I don't want to medically sit here
[01:40:23.000 --> 01:40:25.000]  and say what's happening to your daughter.
[01:40:25.000 --> 01:40:26.000]  I'm not a physician, but I researched
[01:40:26.000 --> 01:40:28.000]  and talked to all the top physicians.
[01:40:28.000 --> 01:40:30.000]  Since vaccines came in, that's what they do.
[01:40:30.000 --> 01:40:32.000]  They create an autoimmune response in the brain
[01:40:32.000 --> 01:40:34.000]  and the lungs and the stomach.
[01:40:34.000 --> 01:40:35.000]  That's in the inserts.
[01:40:35.000 --> 01:40:37.000]  They don't deny that.
[01:40:37.000 --> 01:40:39.000]  You can get instant asthmatic response,
[01:40:39.000 --> 01:40:41.000]  10 minutes that we're taking it and literally die.
[01:40:41.000 --> 01:40:43.000]  And so it's a link to that.
[01:40:43.000 --> 01:40:44.000]  The GMO is linked to it.
[01:40:44.000 --> 01:40:49.000]  Our bodies are hammered with outside GMO,
[01:40:49.000 --> 01:40:52.000]  chemicals, biologicals, drug-resistant bugs,
[01:40:52.000 --> 01:40:53.000]  viruses.
[01:40:53.000 --> 01:40:55.000]  That's why you finally get cancer,
[01:40:55.000 --> 01:40:58.000]  is because your body just fights and fights and fights
[01:40:58.000 --> 01:41:00.000]  and finally just gives up.
[01:41:00.000 --> 01:41:02.000]  And so I don't know what particularly
[01:41:02.000 --> 01:41:03.000]  has happened to your daughter,
[01:41:03.000 --> 01:41:05.000]  but mentally the brain is so powerful.
[01:41:05.000 --> 01:41:09.000]  All the studies show if she just has spiritual experiences,
[01:41:09.000 --> 01:41:12.000]  gets close to God, gets her soul purified,
[01:41:12.000 --> 01:41:14.000]  even if she ends up dying,
[01:41:14.000 --> 01:41:15.000]  we're all going to die.
[01:41:15.000 --> 01:41:18.000]  She'll be with the good side.
[01:41:18.000 --> 01:41:20.000]  She'll not be sucked into the evil.
[01:41:20.000 --> 01:41:23.000]  But separate, it will help boost her immune system.
[01:41:23.000 --> 01:41:26.000]  And I would just say non-GMO, purified water,
[01:41:26.000 --> 01:41:28.000]  ketracellaments, minerals.
[01:41:28.000 --> 01:41:32.000]  And, you know, my family, we don't take vaccines.
[01:41:32.000 --> 01:41:34.000]  And again, if it was some deadly pathogen,
[01:41:34.000 --> 01:41:36.000]  killing people 100% of the time or something,
[01:41:36.000 --> 01:41:38.000]  I'd take a vaccine if it was proven to be effective.
[01:41:38.000 --> 01:41:42.000]  These vaccines are made by evil, globalist companies
[01:41:42.000 --> 01:41:45.000]  in human testing and secret operations.
[01:41:45.000 --> 01:41:47.000]  They're behind the sickness is the issue.
[01:41:47.000 --> 01:41:49.000]  So that's why they can't be trusted.
[01:41:49.000 --> 01:41:52.000]  And just so you know, I actually called before.
[01:41:52.000 --> 01:41:54.000]  I forgot to mention the first time Carl last time.
[01:41:54.000 --> 01:41:55.000]  It's my second time.
[01:41:55.000 --> 01:41:56.000]  But I'm a preacher.
[01:41:56.000 --> 01:41:58.000]  I was a preacher full-time.
[01:41:58.000 --> 01:42:00.000]  So my daughter was born again Christians.
[01:42:00.000 --> 01:42:05.000]  And I wanted to mention the fact that a lot of care,
[01:42:05.000 --> 01:42:08.000]  I actually called because I'm so confused.
[01:42:08.000 --> 01:42:11.000]  And I called our local DHS office.
[01:42:11.000 --> 01:42:13.000]  They said we had to March 31st.
[01:42:13.000 --> 01:42:16.000]  So I was, because I was told so many people's banks
[01:42:16.000 --> 01:42:17.000]  had been wiped out.
[01:42:17.000 --> 01:42:19.000]  No, they have. They're grabbing bank accounts,
[01:42:19.000 --> 01:42:20.000]  as we told you.
[01:42:20.000 --> 01:42:23.000]  They're grabbing tax returns, tax refunds.
[01:42:23.000 --> 01:42:25.000]  They want to find out who doesn't have it
[01:42:25.000 --> 01:42:27.000]  to target you in a contract.
[01:42:27.000 --> 01:42:29.000]  Because the contract says you waive your rights
[01:42:29.000 --> 01:42:31.000]  when you sign up your medical records.
[01:42:31.000 --> 01:42:33.000]  It's a total criminal takeover to test
[01:42:33.000 --> 01:42:35.000]  to see what they can get away with.
[01:42:35.000 --> 01:42:37.000]  And the good news is they're not getting away with it.
[01:42:37.000 --> 01:42:39.000]  But we have to realize it's not a screw up.
[01:42:39.000 --> 01:42:41.000]  They found out they say something's a screw up.
[01:42:41.000 --> 01:42:44.000]  No, they say you got to be signed up in the next 24 hours
[01:42:44.000 --> 01:42:46.000]  or they're going to start finding you.
[01:42:46.000 --> 01:42:48.000]  Then Obama will claim he's removing that,
[01:42:48.000 --> 01:42:50.000]  but they're going to go ahead with a mandate
[01:42:50.000 --> 01:42:52.000]  and you'll still be hit with a fine.
[01:42:52.000 --> 01:42:54.000]  Again, that's how they operate.
