[00:00:00.489 --> 00:00:05.791]  This will free up the relief organs due to those unable or not smart enough to prepare.
[01:26:40.476 --> 01:26:41.196]  Read my lips.
[01:26:41.196 --> 01:26:42.577]  No new taxes.
[01:26:42.577 --> 01:26:44.838]  I didn't have sex with that woman Monica Lewinsky.
[01:26:44.838 --> 01:26:46.698]  I smoked, but I didn't inhale.
[01:26:46.698 --> 01:26:48.339]  I'm no crook.
[01:26:48.339 --> 01:26:52.501]  You know, Saddam Hussein has weapons of mass destruction and ties to Al-Qaeda.
[01:26:52.501 --> 01:26:53.181]  What am I, a kid?
[01:26:53.181 --> 01:26:54.222]  I'm going to believe these people?
[01:26:54.222 --> 01:27:01.384]  Well, it just came out again that every TV station that Congress looked at is broadcasting fake news.
[01:27:01.384 --> 01:27:02.485]  They were paid to lie.
[01:27:03.607 --> 01:27:12.955]  And you know, one example is, every year before school, you see the same newscast on every channel, same words, and I knew it was paid for then, but now they admit it, and they say it's the law to take vaccines.
[01:27:12.955 --> 01:27:14.016]  There is no law!
[01:27:14.016 --> 01:27:18.961]  I mean, that's how bankrupt and evil and corrupt, and they aren't going to stop.
[01:27:18.961 --> 01:27:21.263]  Now, what about pension funds?
[01:27:21.263 --> 01:27:27.548]  You talk about Argentina, you talk about other countries, they are now saying, hey, we want to take over the pension funds, the 401Ks, to
[01:27:31.816 --> 01:27:40.248]  Again, you know, as I said, you could call it communist, fascist, or socialist, but you can't call it democracy or free market.
[01:27:40.248 --> 01:27:42.512]  They will do anything.
[01:27:42.512 --> 01:27:44.595]  And so, yeah, I don't put that past them.
[01:27:47.682 --> 01:27:52.424]  Well, Congress just had hearings last week saying they're looking at it, taxing them, taking part of them.
[01:27:52.424 --> 01:27:58.006]  They're going to take your private 401k and then the Social Security Administration is going to send you a check.
[01:27:58.006 --> 01:28:04.509]  I mean, what are the... So you're saying you really think they're delusional in government and they just think we're going to go along with this?
[01:28:04.509 --> 01:28:05.189]  Well, yeah.
[01:28:05.189 --> 01:28:07.430]  I mean, again, you know, look at who these people are.
[01:28:07.430 --> 01:28:13.752]  I love it that he's saying, you know, now that, you know, the Democrats are in power over here, you know, now that we'll be able to get something done.
[01:28:13.752 --> 01:28:14.853]  I mean, who's going to get what done?
[01:28:14.853 --> 01:28:15.553]  Pelosi?
[01:28:15.553 --> 01:28:16.434]  Reid?
[01:28:16.434 --> 01:28:16.834]  Dodd?
[01:28:17.934 --> 01:28:20.396]  How about Laurel and Hardy and Abbott and Costello?
[01:28:20.396 --> 01:28:21.897]  What have these people ever done?
[01:28:21.897 --> 01:28:24.159]  Who could get away with this stuff?
[01:28:24.159 --> 01:28:25.600]  Except Steele.
[01:28:25.600 --> 01:28:27.321]  Except Steele.
[01:28:27.321 --> 01:28:28.382]  Why do you think?
[01:28:28.382 --> 01:28:30.083]  And make bad decisions.
[01:28:30.083 --> 01:28:31.724]  I mean, who could?
[01:28:31.724 --> 01:28:36.507]  None of us would be employed if we screwed up as much as they did.
[01:28:36.507 --> 01:28:41.331]  So, I mean, you know, there's the yesterday Obama, you know, they broadcast that thing on 60 Minutes.
[01:28:41.331 --> 01:28:43.272]  And you know, about the economy.
[01:28:43.272 --> 01:28:46.214]  And he said, he'll do whatever it takes.
[01:28:46.214 --> 01:28:47.155]  Well, what's whatever?
[01:28:48.780 --> 01:28:54.403]  Well, that means nationalizing industries, stealing everything the middle class has got.
[01:28:54.403 --> 01:28:57.885]  Folks are going to point the poor, uneducated people at the middle class.
[01:28:57.885 --> 01:29:00.366]  They're going to rob the middle class.
[01:29:00.366 --> 01:29:02.988]  And they're planning on all of this.
[01:29:02.988 --> 01:29:07.550]  We'll talk more about it on the other side and take your phone calls with our amazing guest, Gerald Salenti.
[01:29:07.550 --> 01:29:09.771]  His website is friendsresearch.com.
[01:29:09.771 --> 01:29:10.752]  Ours is infowars.com.
[01:29:11.052 --> 01:29:21.186]  You're listening to Alex Jones with Congressman Ron Paul and Trend Forecaster Gerald Cilente in this encore presentation of the Alex Jones Radio Show.
[01:29:31.192 --> 01:29:37.476]  If a low credit score is keeping you from getting the car, home, business loan, or credit cards you deserve, this message is for you.
[01:29:37.476 --> 01:29:44.579]  RadioCreditSecrets.com can show you how to raise your credit score up to 249 points in the next 90 days or less.
[01:29:44.579 --> 01:29:51.223]  RadioCreditSecrets.com has successfully shown others how to pay off their overdue bills for as little as 30 cents on the dollar.
[01:29:51.223 --> 01:29:56.206]  Also included are three credit strategies attorneys and credit repair companies don't want you to know about.
[01:29:56.206 --> 01:29:57.506]  This alone could save you up to $1,000.
[01:29:58.627 --> 01:29:58.947]  We're good.
[01:30:17.575 --> 01:30:21.418]  Or call 801-325-5152.
[01:30:21.418 --> 01:30:23.459]  That's 801-325-5152.
[01:30:23.459 --> 01:30:31.385]  This message has been brought to you by RadioCreditSecrets.com.
[01:30:31.385 --> 01:30:46.256]  Now that the election is over and the shock is beginning to wear off, Ready Reserve Foods, in an effort to get as many Americans prepared for the promised changes of the new administration, and to help you and your family survive the global economic crash, Ready Reserve is offering the pre-inauguration special.
[01:30:46.856 --> 01:30:47.557]  We're good to go.
[01:31:08.353 --> 01:31:08.613]  I think so.
[01:31:33.775 --> 01:31:37.977]  From Get The Tea to you, thank you America!
[01:31:37.977 --> 01:31:43.659]  Thank you Canada, Spain, France, UK, Australia, Germany, and Finland!
[01:31:43.659 --> 01:31:44.979]  Thank you!
[01:31:44.979 --> 01:31:49.941]  You are making us the number one chemical detox product worldwide!
[01:31:49.941 --> 01:31:53.262]  Family and friends are sharing GetTheTea.com!
[01:31:53.262 --> 01:31:54.762]  People are feeling better!
[01:31:54.762 --> 01:31:55.943]  People are losing weight!
[01:31:56.323 --> 01:31:56.803]  I think so.
[01:32:11.778 --> 01:32:15.440]  And if you are uncomfortable with credit cards or PayPal, that's okay.
[01:32:15.440 --> 01:32:18.201]  Call us for our address and send a check or money order.
[01:32:18.201 --> 01:32:18.922]  The phone number is 928-308-0408.
[01:32:18.922 --> 01:32:19.342]  Again, 928-308-0408.
[01:32:19.342 --> 01:32:21.403]  Once again, thank you from GetTheTea.com.
[01:32:29.907 --> 01:32:37.011]  GCN listeners, now you can transform your living room's HDTV into a virtual war room command center with ZV.
[01:32:37.011 --> 01:32:43.615]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all your HDTVs.
[01:32:43.615 --> 01:32:45.977]  Enjoy any internet audio feed, podcast,
[01:32:46.437 --> 01:32:46.758]  I think so.
[01:33:07.319 --> 01:33:07.940]  We're good to go.
[01:33:32.495 --> 01:33:35.116]  Thank you for listening to GCN.
[01:33:35.116 --> 01:33:46.242]  Be sure to visit GCNlive.com today.
[01:33:46.242 --> 01:33:51.965]  Okay, we're going to go to Steve, Tyler, Mike, Casey, Aaron, and others.
[01:33:51.965 --> 01:34:00.849]  Please have your question ready for myself or the guest, Gerald Cilente, one of the top trim forecasters in the world.
[01:34:02.432 --> 01:34:06.294]  I mean, that last question, we're here marveling at this.
[01:34:06.294 --> 01:34:12.477]  They have increased the police force six, seven-fold the last 15 years.
[01:34:12.477 --> 01:34:17.779]  They have prepared this MIT surveillance grid, the cameras, the license plate reading systems.
[01:34:17.779 --> 01:34:19.740]  They say they're getting ready for revolts.
[01:34:19.740 --> 01:34:20.861]  They're moving NORTHCOM.
[01:34:22.046 --> 01:34:22.507]  We're good.
[01:34:34.506 --> 01:34:40.529]  They're going to try that, but it's not going to work, because they're going to be very angry at all levels of society, because there's not going to be any money out there.
[01:34:40.529 --> 01:34:42.791]  The government's going to become the common enemy.
[01:35:02.022 --> 01:35:10.898]  And as a matter of fact, we see the Republicans and the Democrats working together very closely to defeat the common enemy, which is going to be the common man.
[01:35:10.898 --> 01:35:13.943]  And that's what we see the battle shaping up in the coming years.
[01:35:15.203 --> 01:35:15.563]  That's right.
[01:35:15.563 --> 01:35:21.125]  That's why we see such incredible integration of both parties, because they work for the very same interest.
[01:35:21.125 --> 01:35:21.725]  Exactly.
[01:35:21.725 --> 01:35:23.646]  They both work for the Wall Street mob.
[01:35:23.646 --> 01:35:25.526]  You just have different divisions.
[01:35:25.526 --> 01:35:29.828]  You have the, uh, you know, the, uh, Goldman Sachs group over in D.C.
[01:35:29.828 --> 01:35:31.028]  You have the J.P.
[01:35:31.028 --> 01:35:35.410]  Morgan mob over in, um, in, uh, New York.
[01:35:35.410 --> 01:35:38.150]  You know, it's just different, you know, members of the crime family.
[01:35:38.150 --> 01:35:40.271]  You've got Gambino and the Genovese.
[01:35:40.271 --> 01:35:42.492]  So, so, in closing, before we go to call, sir,
[01:35:43.272 --> 01:35:45.473]  Crime is going to be rampant, and it's going to be
[01:36:04.036 --> 01:36:14.027]  It's going to be also a time, and I really want to make this, because there's a positive end of this, because something old and ugly is dying and something new could be born.
[01:36:14.027 --> 01:36:18.132]  This is going to be, this could be the time for a renaissance.
[01:36:18.132 --> 01:36:19.353]  It doesn't have to end ugly.
[01:36:20.555 --> 01:36:26.764]  Because one thing America has, and I travel the world, I mean, you know, people still look to America for the place of innovation.
[01:36:26.764 --> 01:36:28.866]  They don't know how bad it is over here.
[01:36:28.866 --> 01:36:32.011]  They don't know how everybody's become so corporatized.
[01:36:32.011 --> 01:36:33.252]  But the thing is that
[01:36:35.273 --> 01:36:42.720]  We have, more than any other nation, the ability to turn this around and turn it into a positive.
[01:36:42.720 --> 01:36:50.627]  And the way it becomes a positive is if we break away from one-size-rules-all.
[01:36:50.627 --> 01:37:00.316]  So if we start going back to states' rights, to local rights, and then also, Alex, necessity is the mother of invention.
[01:37:02.948 --> 01:37:03.449]  No, I agree.
[01:37:03.449 --> 01:37:05.951]  We're stagnant, we're decadent, we're dying.
[01:37:05.951 --> 01:37:09.835]  This is like getting a fever that burns out the infection.
[01:37:09.835 --> 01:37:11.617]  But, so that's the big challenge.
[01:37:11.617 --> 01:37:23.408]  Do we let the globalists, the New World Order, use the crisis to sell total control, or do we do a judo move and use this attack against them to fully discredit them and have a true renaissance?
[01:37:24.189 --> 01:37:24.729]  Precisely.
[01:37:24.729 --> 01:37:29.292]  And that's, by the way, the foundation of the work at the Trends Research Institute.
[01:37:29.292 --> 01:37:30.793]  We provide the trends.
[01:37:30.793 --> 01:37:34.555]  We provide the lifeboats.
[01:37:34.555 --> 01:37:42.520]  But once you get into it, then you have to use your own skills, imagination, and ingenuity to navigate the open sea.
[01:37:42.520 --> 01:37:46.103]  Yeah, this isn't some master control thing.
[01:37:46.103 --> 01:37:46.823]  Exactly.
[01:37:46.823 --> 01:37:52.467]  So, we believe that every human is endowed with a unique
[01:37:53.268 --> 01:37:54.793]  Individual gift.
[01:38:00.311 --> 01:38:03.393]  And that has not happened.
[01:38:03.393 --> 01:38:09.876]  We've become all corporatized, homogenized, and, and, and, and, I mean, what is this?
[01:38:09.876 --> 01:38:11.898]  This is a McDonald's and a Burger King.
[01:38:11.898 --> 01:38:13.118]  Yeah, they're like androids.
[01:38:13.118 --> 01:38:16.360]  The public has literally taken on a false reality.
[01:38:16.360 --> 01:38:18.761]  Now that nightmare hopefully is about to end.
[01:38:18.761 --> 01:38:20.122]  Go to TrendsResearch.com.
[01:38:20.122 --> 01:38:22.043]  You can subscribe to his
[01:38:25.287 --> 01:38:25.987]  We're good to go.
[01:38:42.706 --> 01:38:43.547]  Yes, sir.
[01:38:43.547 --> 01:38:45.188]  Go ahead.
[01:38:45.188 --> 01:39:00.098]  With the trend of big government that we've had in the last eight years, and which will probably continue under the reign of Obama, do you see Obama, or somebody like him, being in office for more than eight years, repeal the constitutional amendment that prevents a president being in there for
[01:39:00.678 --> 01:39:04.262]  Absolutely, and hype dissipates a lot faster now.
[01:39:04.262 --> 01:39:04.582]  The people
[01:39:21.258 --> 01:39:30.826]  The people aren't very sophisticated in knowing they're being lied to, but more than ever they know they're being lied to, and so they want instant gratification.
[01:39:30.826 --> 01:39:35.790]  If Obama doesn't deliver them to Valhalla instantly, they're going to turn against him.
[01:39:35.790 --> 01:39:36.550]  Gerald?
[01:39:36.550 --> 01:39:37.371]  Yes, I agree with you.
[01:39:38.851 --> 01:39:40.372]  Not instantly.
[01:39:40.372 --> 01:39:42.453]  We give him at least six months.
[01:39:42.453 --> 01:39:44.093]  I mean, we could be wrong on this.
[01:39:44.093 --> 01:39:52.816]  You know, but again, the people are so desperate, they're so desperate that they buy lines from a presidential reality show.
[01:39:52.816 --> 01:39:55.317]  Oh, by the way, I have to make this point.
[01:39:55.317 --> 01:39:57.158]  You know, Obama, this
[01:39:57.898 --> 01:39:58.558]  I don't know.
[01:40:13.624 --> 01:40:18.286]  The whole stage, the whole scenery, the whole performance changed.
[01:40:18.286 --> 01:40:19.667]  Yeah, she took over.
[01:40:19.667 --> 01:40:20.667]  She took over.
[01:40:20.667 --> 01:40:22.588]  This was an Oprah production.
[01:40:22.588 --> 01:40:33.373]  You saw it in his nomination speech, if you missed it before, and then you saw it in his acceptance speech, rather, and then you saw it after Election Day, Election Eve.
[01:40:33.373 --> 01:40:34.934]  You know, this great staging.
[01:40:35.334 --> 01:40:36.755]  Yeah, she wants global power.
[01:40:36.755 --> 01:40:47.258]  She's got a church now so she can put her money through that and I don't want to use the term launder but you know clean it up and she's got a two million person church.
[01:40:47.258 --> 01:40:48.959]  She wants a global religion.
[01:40:48.959 --> 01:40:50.039]  I mean this girl is
[01:40:51.094 --> 01:40:52.415]  We ain't seen nothing yet, huh?
[01:40:52.415 --> 01:40:55.196]  That's why I'm saying not to sell it so short.
[01:40:55.196 --> 01:41:00.878]  Because this is a country that loves the reality show, and they certainly love the presidential reality show.
[01:41:00.878 --> 01:41:03.739]  Well, by instantly, I meant like six months to a year in the scheme.
[01:41:03.739 --> 01:41:06.800]  Yeah, we're probably talking around the same period.
[01:41:06.800 --> 01:41:09.801]  Alright, anything else there, Steven?
[01:41:09.801 --> 01:41:10.321]  Oh, no, thanks.
[01:41:10.321 --> 01:41:11.501]  You all have a wonderful day.
[01:41:11.501 --> 01:41:11.861]  Thank you.
[01:41:11.861 --> 01:41:14.562]  Let's cram Tyler in California in.
[01:41:14.562 --> 01:41:15.943]  You're on the air, go ahead.
[01:41:15.943 --> 01:41:16.843]  Hey, what's going on, Mr. Jones?
[01:41:16.843 --> 01:41:18.484]  I just wanted to say, how are you guys doing?
[01:41:18.484 --> 01:41:18.964]  Fine, go ahead.
[01:41:19.505 --> 01:41:19.945]  Good.
[01:41:19.945 --> 01:41:23.907]  Hey, my question is, I am a reservist.
[01:41:23.907 --> 01:41:25.387]  I am an active reservist.
[01:41:25.387 --> 01:41:41.453]  I'm using my GI Bill to get my degree in history, and my family is small business owners, and is a rental construction equipment business owner, and according to my dad and some other guys in that business field, that things have
[01:41:42.071 --> 01:41:43.392]  The economy started to slow down.
[01:41:43.392 --> 01:41:45.394]  Nobody's building anything anymore.
[01:41:45.394 --> 01:41:48.396]  People aren't doing like lawn and garden type things.
[01:41:48.396 --> 01:41:50.618]  They're not taking care of the yard because they don't have money to.
[01:41:50.618 --> 01:41:51.218]  Yeah, it's dead.
[01:41:51.218 --> 01:41:55.742]  They better sell all that equipment now, even though it's already been depreciated because of the recession.
[01:41:55.742 --> 01:41:56.763]  We're going into depression.
[01:41:56.763 --> 01:41:59.065]  They need to get rid of everything now, Gerald.
[01:41:59.885 --> 01:42:01.186]  Absolutely.
[01:42:01.186 --> 01:42:05.890]  We're not telling him what to do, but it's not going to get better.
[01:42:05.890 --> 01:42:07.471]  It's only going to get a lot worse.
[01:42:07.471 --> 01:42:12.095]  When you talk about gardens, during World War II they had victory gardens.
[01:42:12.095 --> 01:42:14.237]  We should start thinking in those terms again.
[01:42:14.237 --> 01:42:18.961]  Stop ripping up these stupid lawns with grass that you can't eat or smoke.
[01:42:19.561 --> 01:42:20.062]  I don't know.
[01:42:36.878 --> 01:42:39.020]  The winter's coming, prepare for it.
[01:42:39.020 --> 01:42:44.744]  Again, you know, about going to, getting a degree in history.
[01:42:44.744 --> 01:42:54.051]  You know, we're recommending to people that, you know, if you have a kid going to school and they're not getting a degree in like, let's say, medical field... Hold on, give us that advice after the break.
[01:42:54.051 --> 01:42:55.232]  Final segment with our guest.
[01:42:56.525 --> 01:43:06.608]  You're listening to Alex Jones with Congressman Ron Paul and Trend Forecaster Gerald Cilenti in this encore presentation of the Alex Jones Radio Show.
[01:43:26.547 --> 01:43:29.028]  I've come with a message of information.
[01:43:29.028 --> 01:43:30.890]  9-11 was an inside joke.
[01:43:30.890 --> 01:43:32.871]  Heart disease is on the rise.
[01:43:32.871 --> 01:43:39.836]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:43:39.836 --> 01:43:48.222]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:43:48.222 --> 01:43:53.946]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:43:54.246 --> 01:43:54.646]  I don't know.
[01:44:12.822 --> 01:44:15.283]  Order your two-month supply today by calling 866-295-5305.
[01:44:15.283 --> 01:44:15.643]  That's 866-295-5305.
[01:44:15.643 --> 01:44:17.564]  Or order online at HBextract.com.
[01:44:17.564 --> 01:44:19.444]  Heart and Body Extract, 866-295-5305.
[01:44:19.444 --> 01:44:20.345]  Or HBextract.com.
[01:44:30.848 --> 01:44:34.252]  Fuel prices are up and down, biting into everyone's budget.
[01:44:34.252 --> 01:44:38.036]  If you're ready to start saving at the pump, Fuel Saver technologies can help.
[01:44:38.036 --> 01:44:46.126]  With a small squeeze of our fuel conditioner in your gas tank, more of each gallon of fuel will combust, improving your fuel economy 10 to 20% or more.
[01:44:46.126 --> 01:44:51.572]  Completely safe for all engines, gas or diesel, we guarantee that your savings will exceed the cost of our product.
[01:44:52.032 --> 01:44:58.376]  Our fuel additive reduces the emissions and maintenance costs and reduces the friction of engine moving parts.
[01:44:58.376 --> 01:45:04.859]  Our 2 ounce consumer squeeze bottle costs only $8 and treats 100 gallons of gasoline or 50 gallons of diesel.
[01:45:04.859 --> 01:45:11.022]  If you buy a case of 16 or 32 bottles, the price drops to $6 a bottle and we'll ship it to you for free!
[01:45:11.022 --> 01:45:11.803]  Call us!
[01:45:11.803 --> 01:45:12.323]  Toll free!
[01:45:12.583 --> 01:45:15.146]  At 866-768-7811 or look online at fuelsaberinc.com.
[01:45:15.146 --> 01:45:16.327]  Start saving on fuel today!
[01:45:16.327 --> 01:45:16.528]  866-768-7811.
[01:45:16.528 --> 01:45:18.450]  Online fuelsaberinc.com.
[01:45:18.450 --> 01:45:20.232]  Spend a little and save a lot!
[01:45:30.507 --> 01:45:31.087]  Did you?
[01:46:00.427 --> 01:46:01.048]  I think so.
[01:46:19.122 --> 01:46:22.363]  Why does our government not allow this crop to grow in the U.S.?
[01:46:22.363 --> 01:46:24.864]  This product is also great for pets and animals.
[01:46:24.864 --> 01:46:30.146]  Call 908-691-2608 or go to hempusa.org today.
[01:46:30.146 --> 01:46:32.927]  Is your child disrespectful, defiant, or obnoxious?
[01:46:32.927 --> 01:46:35.108]  Does everything turn into an argument with your kid?
[01:46:35.108 --> 01:46:37.248]  I'm behavioral therapist James Lehman.
[01:46:37.248 --> 01:46:41.430]  I'll help you turn your child's behavior around right now with the Total Transformation.
[01:46:41.850 --> 01:46:47.113]  After the Total Transformation, there's no more arguing, no more lecturing, no more backtalking.
[01:46:47.113 --> 01:46:49.414]  Now when I ask him to do something, he does it.
[01:46:49.414 --> 01:46:54.877]  We've learned verbiage from the Total Transformation program, and it's almost like magic.
[01:46:54.877 --> 01:46:57.278]  If you say those words, they stop arguing.
[01:46:57.398 --> 01:47:02.880]  Defiance, back-talking, lying, acting out in school, even problems with ADD and ADHD.
[01:47:02.880 --> 01:47:06.662]  The Total Transformation will help you solve even the worst behavior problems.
[01:47:06.662 --> 01:47:11.404]  I guarantee your child will listen to you again and you get peace and sanity back in your home.
[01:47:11.404 --> 01:47:16.066]  Call now and get how to turn your child's attitude around in one minute or less free with your order.
[01:47:16.066 --> 01:47:16.126]  1-800-330-8405.
[01:47:18.547 --> 01:47:20.108]  Thank you for listening to GCN.
[01:47:20.108 --> 01:47:21.309]  Be sure to visit GCNlive.com today.
[01:47:40.487 --> 01:47:46.754]  Or a chemist, because those jobs you need a college degree, you're really taught something.
[01:47:46.754 --> 01:47:50.858]  But, you know, fine arts or history, folks, you can forget it.
[01:47:50.858 --> 01:47:53.901]  You're not going to have a job in the foreseeable future with that.
[01:47:53.901 --> 01:47:59.467]  And you do a lot better going out and learning how to be an exterminator or learning how to mow lawns.
[01:47:59.467 --> 01:48:01.729]  I mean, explain this to people.
[01:48:02.416 --> 01:48:03.977]  Well, you hit it right on the head.
[01:48:03.977 --> 01:48:11.322]  I mean, people spending this kind of money for art history, psychology, business administration, you know, economics.
[01:48:11.322 --> 01:48:15.545]  I mean, my God, you know, get into the workforce and do like they did in the old days.
[01:48:15.545 --> 01:48:20.769]  Find yourself a master and become an apprentice, not the Donald Trump junk.
[01:48:21.269 --> 01:48:21.489]  I think?
[01:48:51.049 --> 01:48:52.230]  We're seeing a giant paradigm shift.
[01:48:52.230 --> 01:48:52.751]  Take Joe the Plumber.
[01:49:05.903 --> 01:49:08.045]  That guy's making a couple hundred grand a year.
[01:49:08.045 --> 01:49:09.086]  He's a plumber.
[01:49:09.086 --> 01:49:14.951]  I know people that own lawn companies, plumber companies, that are small, and they're living better than I am.
[01:49:14.951 --> 01:49:20.276]  And then I see these yuppies with two, three, four degrees, and they're working at the local grocery store.
[01:49:20.276 --> 01:49:21.076]  Absolutely.
[01:49:21.076 --> 01:49:22.037]  Where are they going to get a job?
[01:49:22.037 --> 01:49:25.080]  You get out of college, you're going to go to work for the sports authority?
[01:49:26.120 --> 01:49:36.148]  And the thing about working the lawns, again, now you go into business and you say, listen, we're going to turn your lawn into a productive piece of real estate.
[01:49:36.148 --> 01:49:38.330]  And I'm Italian descent.
[01:49:38.330 --> 01:49:47.718]  I mean, we spent our times in the backyards, my grandfather, with grape arbors and rabbits and the whole thing.
[01:49:47.718 --> 01:49:49.299]  I mean, it's a beautiful setting.
[01:49:54.710 --> 01:49:55.350]  Nothing.
[01:49:55.350 --> 01:49:57.051]  So that's the kind of innovation.
[01:49:57.051 --> 01:50:01.093]  Again, Alex, I can't express it or stress it enough.
[01:50:01.093 --> 01:50:03.334]  This is the time for innovation.
[01:50:03.334 --> 01:50:09.676]  And the people that think for themselves, and by the way, that's the motto of the Trends Research Institute, think for yourselves.
[01:50:09.676 --> 01:50:19.841]  You're going to be ahead because once everybody rushes in, then you're just going to be able to survive instead of capitalizing on the future and getting out ahead, ladies and gentlemen.
[01:50:19.841 --> 01:50:22.502]  I mean, this is all about survival, about telling the truth.
[01:50:22.842 --> 01:50:29.544]  But studying the globalists, studying trends, studying the real world, it's a way to make a lot of money, isn't it, Gerald?
[01:50:29.544 --> 01:50:36.507]  You're going to make more money now than you will before, because every schmo is in the game before, because of all the cheap money.
[01:50:37.847 --> 01:50:40.908]  Let's jam in a few final calls and let our amazing guests go, who you will hear from again.
[01:50:40.908 --> 01:50:41.808]  Let's go ahead and talk to Casey.
[01:50:41.808 --> 01:50:42.608]  Oh, Casey just hung up.
[01:50:42.608 --> 01:50:43.428]  Let's talk to Aaron in Hawaii.
[01:50:43.428 --> 01:50:44.049]  You're on the air.
[01:50:44.049 --> 01:50:45.729]  Then we'll talk to Sheila, and that's it.
[01:51:05.808 --> 01:51:07.609]  Go ahead, Erin.
[01:51:07.609 --> 01:51:08.549]  Aloha.
[01:51:08.549 --> 01:51:33.817]  I just wanted to ask about, they want to take over our 401Ks, and about a month ago my husband and I said we want out of the stock market, we want to sell all our stocks, and that was about six weeks ago, and they're not giving, I mean they lost 60% of the value by that time, but they're not paying, they're just keep giving us excuses on why we haven't gotten the money for that yet.
[01:51:36.098 --> 01:51:38.619]  Listen, I'll tell you why they give you excuses.
[01:51:38.619 --> 01:51:40.760]  Because a lot of them don't have the money.
[01:51:40.760 --> 01:51:42.581]  And I can tell you a problem that I had.
[01:51:42.581 --> 01:51:45.423]  I took all my money out of the banks.
[01:51:45.423 --> 01:51:47.363]  You should see the song and dance I got.
[01:51:47.363 --> 01:51:48.244]  Okay.
[01:51:49.150 --> 01:51:50.351]  I mean, I had to go through.
[01:51:50.351 --> 01:51:51.772]  I mean, I had witnesses.
[01:51:51.772 --> 01:51:57.177]  I had to take a witness with me to get my money out of the bank because I was having such a tough time.
[01:51:57.177 --> 01:51:58.398]  I didn't want to get arrested.
[01:51:58.398 --> 01:52:00.019]  And that's how bad it is now.
[01:52:00.019 --> 01:52:06.565]  I don't even have that much money and I try to take some out to pay payrolls in emergency and the bastards wouldn't even give me like 10 grand.
[01:52:08.226 --> 01:52:13.590]  I mean, it was a real song and dance.
[01:52:13.590 --> 01:52:15.371]  So that's why they're not giving you your money.
[01:52:15.371 --> 01:52:21.635]  They're trying to stall you, and they're going to tell you, they're going to give you all the reasons why you shouldn't take it out.
[01:52:21.635 --> 01:52:23.917]  Well, the big money guys pull all their money out.
[01:52:23.917 --> 01:52:26.839]  See, they're only waiting while they get all their assets out.
[01:52:26.839 --> 01:52:29.281]  You got it.
[01:52:29.281 --> 01:52:32.003]  He's talking about bank runs by, what, next February?
[01:52:32.003 --> 01:52:33.884]  Yes, we see them happening by February.
[01:52:34.545 --> 01:52:35.486]  All right.
[01:52:35.486 --> 01:52:38.069]  Okay, anything else, Erin?
[01:52:38.069 --> 01:52:40.212]  Should we keep our money in the bank?
[01:52:40.212 --> 01:52:41.233]  Absolutely not.
[01:52:41.233 --> 01:52:45.438]  Well, you know, I can't tell you what you to do, but I'll tell you what I do.
[01:52:45.438 --> 01:52:50.444]  We only keep enough money in the banks for our operating expenses.
[01:52:50.444 --> 01:52:50.905]  That's what I do.
[01:52:50.905 --> 01:52:53.428]  As soon as it hits a certain level, it's out.
[01:52:54.188 --> 01:52:54.969]  Yeah, that's what we do.
[01:52:54.969 --> 01:52:57.751]  And of course, I'm not really in the job to even capitalize.
[01:52:57.751 --> 01:52:59.292]  Our job is getting the word out.
[01:52:59.292 --> 01:53:01.553]  So we don't have that big of a problem with a bunch of surplus.
[01:53:01.553 --> 01:53:03.855]  But we keep in there what we need to operate.
[01:53:03.855 --> 01:53:08.017]  But if they have a bank holiday, my office may even shut down, folks.
[01:53:08.017 --> 01:53:11.019]  You may hear us on air saying, send us money, send us money.
[01:53:11.019 --> 01:53:12.681]  Because that's the type of situation.
[01:53:12.681 --> 01:53:15.102]  I mean, talk about confidence being lost, Gerald.
[01:53:15.102 --> 01:53:16.743]  What's going to happen if they do do that?
[01:53:24.068 --> 01:53:25.549]  Yeah, one more call.
[01:53:25.549 --> 01:53:26.990]  Appreciate the call, Aaron.
[01:53:26.990 --> 01:53:29.651]  Sheila in California, you're on the air with Gerald Salente.
[01:53:29.651 --> 01:53:32.413]  You can go to his website at trendsresearch.com.
[01:53:42.970 --> 01:53:44.151]  Excellent, thank you.
[01:53:44.151 --> 01:53:50.536]  I'm kind of new to your show, so you may have addressed this before, but it's a two-part question.
[01:53:50.536 --> 01:53:51.196]  Excuse me.
[01:53:51.196 --> 01:54:05.847]  And what it has to deal with is, with the bankers getting their bailouts and there's pretty much no accountability, there's talk of many, I know, that say, well, I'm in debt at this point in time, and I'm a renter, and why should I pay my credit card debt, my student loans, etc.
[01:54:05.847 --> 01:54:09.210]  Why shouldn't I just take my credit cards, put it into a debt settlement,
[01:54:09.870 --> 01:54:11.471]  Unless in my load.
[01:54:11.471 --> 01:54:21.793]  And I'm asking this question because what I want to know is, is there any laws that you all are aware of that say, you know, those who do this have to pay it off in civil service or whatever?
[01:54:21.793 --> 01:54:27.635]  Yes, they're trying to strengthen it where the little guy has to pay back, but the big bankers and others don't have to.
