[00:00:04.924 --> 00:00:08.126]  It's Wednesday, July 21st.
[02:49:00.405 --> 02:49:01.805]  and moral rules.
[02:49:01.805 --> 02:49:09.168]  So, like Dr. Anthony Fauci with his gain-of-function research, everything is moved to China.
[02:49:09.168 --> 02:49:15.790]  And China, of course, is the dragon of the apocalypse, which was, of course, discussed in this text.
[02:49:15.790 --> 02:49:24.012]  So, the figure of the dragon is really representative, and together with the beast, they constitute really the last phase.
[02:49:24.312 --> 02:49:34.563]  But the last phase, of course, is also the return to the picture of this messianic figure that is supposedly going to oppose all this.
[02:49:34.563 --> 02:49:44.974]  And with a minority of people who have resisted and who, of course, we can say are true Christians, they will be able to generate the society of the future.
[02:49:45.394 --> 02:49:54.639]  The other people, unfortunately, will be in one way or another doomed and their lives will end in a very sad way, unfortunately.
[02:49:54.639 --> 02:49:56.961]  Well, Leo, it's not my job to cause a lack of faith.
[02:49:56.961 --> 02:49:59.742]  We see the big churches getting in line with Satan.
[02:49:59.742 --> 02:50:06.806]  But why do the Satanists, why do the Luciferians follow God's system and actually fulfill it while they think they're still going to win?
[02:50:06.806 --> 02:50:07.667]  Is that a great delusion?
[02:50:08.857 --> 02:50:17.223]  Well, for example, we discussed the fact that the Catholic Church is taking away the Latin mass, but the Satanists are bringing it back.
[02:50:17.223 --> 02:50:21.487]  They actually have brought back Latin in their rituals.
[02:50:21.487 --> 02:50:25.610]  They are here to create the society of tomorrow.
[02:50:25.610 --> 02:50:34.417]  We see it in the billboards that the Satanic Temple is placing all over the United States, promoting abortion as a ritual.
[02:50:34.417 --> 02:50:38.780]  They are selling us basically the birth of a baby, like making a
[02:50:38.840 --> 02:50:39.340]  Thank you.
[02:50:56.525 --> 02:50:56.665]  Yes.
[02:51:15.602 --> 02:51:17.484]  And you said, I remember you on my show
[02:51:37.859 --> 02:51:46.148]  Ten years ago, you said, soon they'll be lobbying, they'll be in your government, and now they're openly saying, it is our religious sacrament to kill babies, which it's always been.
[02:51:46.148 --> 02:51:48.330]  Absolutely.
[02:51:48.330 --> 02:51:52.174]  Unfortunately, that is... And they turn the leftist side on, thinking that's a joke.
[02:51:52.174 --> 02:51:56.819]  When you get into the killing of babies, you wave your connection to the Holy Spirit, the devil gets you.
[02:51:56.819 --> 02:51:57.960]  Can you explain that to people briefly?
[02:51:57.960 --> 02:52:00.283]  Like, when you do that, you cut God off.
[02:52:01.556 --> 02:52:03.156]  You cut God off.
[02:52:03.156 --> 02:52:15.679]  And this whole ritual, which is also the pandemic, is now symbolized in this designer who has made a bride wedding dress made out of damp face mask.
[02:52:15.679 --> 02:52:17.120]  That is also satanic.
[02:52:17.120 --> 02:52:24.461]  This is a satanic ritual that we are living, unfortunately, every day around us.
[02:52:24.461 --> 02:52:26.342]  Oppression is part of it.
[02:52:26.342 --> 02:52:28.302]  And we simply have to obey.
[02:52:28.302 --> 02:52:29.863]  All right, Leo Zagami, you have 15 more minutes.
[02:52:31.443 --> 02:52:33.185]  What you see coming next, amazing.
[02:52:33.185 --> 02:52:35.067]  Leo Zegami is always informative.
[02:52:35.067 --> 02:52:36.789]  But boy, is he on target.
[02:52:36.789 --> 02:52:39.672]  Hour number four, then a bunch of news and your phone calls.
[02:52:39.672 --> 02:52:40.793]  Coming up, I'm Alex Jones.
[02:52:43.012 --> 02:52:46.713]  As we predicted, the globalists are now launching a new lockdown.
[02:52:46.713 --> 02:52:56.195]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death, and it's caused massive supply chain problems across the Western world.
[02:52:56.195 --> 02:53:02.937]  Ladies and gentlemen, now is the time for you to get high-quality, storable food that's ready to ship, while you still can, at 2020 prices.
[02:53:02.937 --> 02:53:06.418]  We have the biggest, best company in the United States as our supplier.
[02:53:06.418 --> 02:53:08.838]  Their entire catalog is at InfoWareStore.com.
[02:53:08.838 --> 02:53:11.739]  You get an additional 10% off at InfoWareStore.com.
[02:53:12.059 --> 02:53:14.119]  But only for one more week.
[02:53:14.119 --> 02:53:16.600]  They've told us you can extend it one more week, Alex.
[02:53:16.600 --> 02:53:17.620]  But that's it.
[02:53:17.620 --> 02:53:20.021]  They won't do this sale again until November.
[02:53:20.021 --> 02:53:22.241]  And then the food prices go up in 2022.
[02:53:22.241 --> 02:53:24.222]  This is insurance you can eat.
[02:53:24.222 --> 02:53:25.502]  It's the highest quality.
[02:53:25.502 --> 02:53:26.682]  Hundreds of high-quality foods.
[02:53:26.682 --> 02:53:27.422]  Three-month, six-month.
[02:53:27.422 --> 02:53:28.363]  Your supplies.
[02:53:28.363 --> 02:53:31.883]  All ready for you at InfoWareStore.com or call toll-free, 888-253-3139.
[02:53:34.804 --> 02:53:45.107]  Again, InfoWarsTore.com, 10% off on high-quality, storable food, ready to ship, but it ends in just one week, so take action now while you still can.
[02:53:45.107 --> 02:53:55.449]  There's one central fact of criminal psychology that criminologists all agree on, and that is criminals are extremely pathological.
[02:53:55.449 --> 02:54:03.411]  Even more the general public, they do the same things over and over again, and criminals like to commit the same types of crimes over and over again.
[02:54:04.568 --> 02:54:05.408]  Well guess what?
[02:54:05.408 --> 02:54:19.395]  It was Anthony Fauci and eugenicists globalists that ran the rollout of HIV and the mistreatment of it with AZT and other chemicals that actually killed more people than HIV and they were the ones involved in viral research.
[02:54:20.815 --> 02:54:22.756]  You're listening to the Alex Jones Show!
[02:55:08.274 --> 02:55:14.356]  Well, make no mistake, everybody trying to sit on the fence, you're not going to be able to do that much longer.
[02:55:14.356 --> 02:55:15.816]  We're in a major time of change.
[02:55:15.816 --> 02:55:18.497]  The globalists say they're about to destroy civilization.
[02:55:18.497 --> 02:55:20.478]  Plowswap says it all.
[02:55:20.478 --> 02:55:26.000]  Why do they metaphysically, Leo Sagami, we've got a short segment, one more segment with you, and then I want you to cover your own points.
[02:55:26.000 --> 02:55:32.762]  My question to you, last question I have right now is, why do they metaphysically need to tell us what they're going to do to us?
[02:55:32.762 --> 02:55:33.522]  Why do they do that?
[02:55:35.359 --> 02:55:41.340]  Well, it's a sort of pre-programming, you know, of what we are about to be subject to.
[02:55:41.340 --> 02:55:47.902]  They are not really shy of saying what is coming up, because they have been programming us all along.
[02:55:47.902 --> 02:56:02.766]  And the masses are already ready to receive whatever is their next message, because they have, of course, they have been in control of Hollywood, they have been in control of the newspapers, of the various media.
[02:56:03.866 --> 02:56:13.453]  And now we have, of course, the incentive, which is a government like, for example, the Joe Biden government, which is open to censorship.
[02:56:13.453 --> 02:56:19.417]  And for them, this is very important because that means no voices of dissent will be allowed.
[02:56:19.417 --> 02:56:23.500]  And now they want to rediscuss Section 230.
[02:56:23.500 --> 02:56:33.347]  It's all about basically silencing the opposition and going forward with their own version of reality.
[02:56:33.987 --> 02:56:37.590]  But also there is the satanic possession.
[02:56:37.590 --> 02:56:43.774]  The satanic possession, they are literally possessing more and more people.
[02:56:43.774 --> 02:56:51.779]  During the pandemic, we had an increase in the demands for exorcism in the Catholic Church.
[02:56:52.239 --> 02:56:59.722]  People locked up in their houses are facing not only their own demons, but they're facing demons.
[02:56:59.722 --> 02:57:03.744]  Demons that are grabbing them through modern technology.
[02:57:03.744 --> 02:57:20.491]  That is something that I've been discussing in this book, Volume 6.66, is the fact that the demonic uses these days your computer, uses basically the Internet to
[02:57:21.031 --> 02:57:26.413]  Get into your house and then, of course, possess those people who are weak.
[02:57:26.413 --> 02:57:29.974]  And unfortunately, the pandemic has made a lot of people weak.
[02:57:29.974 --> 02:57:32.534]  So that is what is happening here.
[02:57:32.534 --> 02:57:35.375]  We have an increase in demonic
[02:57:37.776 --> 02:57:37.836]  Yes.
[02:58:00.109 --> 02:58:06.996]  So they have not really been supporting Jesus or God in the fight against the devil.
[02:58:06.996 --> 02:58:17.007]  They've been supporting, instead, this guy, Klaus Schwab, and the whole Davos posse, together with Prince Charles and the elite.
[02:58:17.407 --> 02:58:31.242]  That wants us exterminated because, as you remember, the father of Prince Charles once said that he wanted to come back as a virus to destroy part of the world.
[02:58:31.242 --> 02:58:33.825]  He said a particularly deadly virus that could kill any person in the world.
[02:58:34.673 --> 02:58:37.435]  Yes, so he died.
[02:58:37.435 --> 02:58:39.496]  But he died, of course, after this pandemic starts.
[02:58:39.496 --> 02:58:49.921]  But we know already there is new pandemic, new viruses that are monkeypox and many other things that are being prepared for us in the future.
[02:58:49.921 --> 02:58:53.363]  So the bacteriological warfare is ongoing.
[02:58:53.363 --> 02:59:01.728]  And unfortunately, the normality we used to have will only be possible in our own communities where we will say,
[02:59:02.657 --> 02:59:04.458]  Screw off this mask.
[02:59:04.458 --> 02:59:14.022]  We are free of living our life, but in mainstream society, they will be masked for the next thousand years.
[02:59:14.022 --> 02:59:15.343]  That's their intention.
[02:59:15.343 --> 02:59:18.124]  It's not the mask for the next two or three years.
[02:59:18.124 --> 02:59:19.665]  They will be masked forever.
[02:59:19.665 --> 02:59:26.829]  And you said that on the show a year ago, and now they've announced it is forever covering up the human face made in the image of God.
[02:59:26.829 --> 02:59:29.610]  I want to ask you to close in the next 10 minutes, when we come back in one minute.
[02:59:29.890 --> 02:59:31.991]  It makes the Muslims very happy, yeah?
[02:59:31.991 --> 02:59:34.933]  It makes them happy, the fact that the woman covers herself now.
[02:59:34.933 --> 02:59:35.933]  And the man, too!
[02:59:35.933 --> 02:59:36.674]  Now, exactly.
[02:59:36.674 --> 02:59:40.135]  It's all... It's all... It doesn't look bad to have all the burgers running around.
[02:59:40.135 --> 02:59:41.376]  So we'll come back in 60 seconds.
[02:59:41.376 --> 02:59:44.578]  If Satan had his way, what would the world look like?
[02:59:44.578 --> 02:59:48.080]  We know he comes to kill, steal, and destroy, but we'll talk about that in 60 seconds.
[02:59:48.080 --> 02:59:48.460]  Stay with us.
[02:59:52.759 --> 03:00:01.262]  Ladies and gentlemen, Owen Schroeder here, the host of the InfoWars War Room, and I am very excited about our latest supplement addition to InfoWarsStore.com.
[03:00:01.262 --> 03:00:11.846]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[03:00:11.846 --> 03:00:14.788]  But then I read the ingredients, and I was blown away.
[03:00:14.788 --> 03:00:15.348]  Listen to this.
[03:00:15.928 --> 03:00:17.189]  Organic pea fiber.
[03:00:17.189 --> 03:00:18.649]  Organic alfalfa leaf.
[03:00:18.649 --> 03:00:20.090]  Organic wheatgrass leaf.
[03:00:20.090 --> 03:00:21.551]  Organic cilantro leaf.
[03:00:21.551 --> 03:00:22.951]  Organic kale leaf.
[03:00:22.951 --> 03:00:24.512]  Organic flax sprout.
[03:00:24.512 --> 03:00:26.113]  Organic quinoa sprout.
[03:00:26.113 --> 03:00:29.554]  Ladies and gentlemen, all of these things are so incredible for your health.
[03:00:29.554 --> 03:00:30.815]  Just one of these ingredients
[03:00:31.015 --> 03:00:33.397]  It can be a life-changing supplement for your health.
[03:00:33.397 --> 03:00:38.142]  And we've packed it all in to fiber green caps at Infowarsstore.com.
[03:00:38.142 --> 03:00:42.046]  So I'm excited to add this to my supplement routine every day.
[03:00:42.046 --> 03:00:44.249]  I suggest that you do the same thing.
[03:00:44.249 --> 03:00:47.071]  And right now, it's at an introductory price of $19.95.
[03:00:47.071 --> 03:00:48.613]  That's 33% off at Infowarsstore.com.
[03:01:02.851 --> 03:01:16.016]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[03:01:16.016 --> 03:01:20.458]  Well, Leo Sagami is a best-selling author and a friend of mine.
[03:01:20.458 --> 03:01:26.280]  In 2006, he decided to walk out of what he perceived as the criminal side of the New World Order.
[03:01:26.280 --> 03:01:29.782]  Sagami is still, at present, a Grand Master of the Ordo.
[03:01:31.297 --> 03:01:37.459]  He goes through the whole Masonic lodge he was in, who are considered to be the good side of the Vatican Illuminati.
[03:01:37.459 --> 03:01:45.102]  In 2006, he started a small blog concentrating his direct involvement in the New World Order and the Secret Societies, commonly known as the Illuminati.
[03:01:45.102 --> 03:01:54.106]  Zagami is the author of 12 published books based on a variety of subjects from a variety of the Secret Societies and the Vatican to geopolitical matters concerning the New World Order.
[03:01:54.106 --> 03:01:59.327]  Zagami now appears regularly on popular Italian TV shows and others around the world, leozagami.com.
[03:01:59.327 --> 03:01:59.868]  I've known about him.
[03:02:00.948 --> 03:02:01.668]  At least since then.
[03:02:01.668 --> 03:02:07.792]  But tell us about your new book and just other key points you want to finish up in the next nine minutes.
[03:02:07.792 --> 03:02:13.595]  Well, first of all, I want to just correct the fact that I'm no longer the Grandmaster since I had to leave Italy.
[03:02:13.595 --> 03:02:26.563]  I had to also leave my position because it was sincerely impossible to find a good side to Freemasonry and a good side within the Illuminati that will really fight... Sir, that's an old bio I read.
[03:02:26.563 --> 03:02:27.203]  I apologize.
[03:02:27.583 --> 03:02:33.147]  Well, I would say, yes, it should be updated to what has happened since 2019.
[03:02:33.147 --> 03:02:37.650]  As you know, I had to leave Italy because I was persecuted.
[03:02:37.650 --> 03:02:39.491]  They want to arrest me.
[03:02:39.491 --> 03:02:55.482]  And now I'm, of course, I've relocated here in the United States of America, where I'm trying to survive, still warning people, even if the censorship is increasing, about what has been happening, because people like me, you have been doing this for a long time.
[03:02:57.383 --> 03:02:59.504]  It's a very robotic world.
[03:02:59.504 --> 03:03:09.811]  Satan and Cyber-Satan, like I call him in my book, is basically going to manifest ultimately for the artificial intelligence.
[03:03:09.811 --> 03:03:22.960]  But people are fighting with each other when the real enemy here is what is going to happen next, when robots and artificial intelligence will take over.
[03:03:23.440 --> 03:03:40.926]  There is not going to be any longer a human enemy to face, but it's going to be something truly evil that is also impossible even to imagine nowadays because we don't have the capabilities of even imagine.
[03:03:40.926 --> 03:03:45.267]  Of course, science fiction has done many movies about it.
[03:03:45.267 --> 03:03:47.288]  Terminator and all that.
[03:03:47.288 --> 03:03:51.749]  But I think that the future is going to be even worse than any science fiction.
[03:03:51.829 --> 03:03:57.464]  Sure, they're gonna fall over and spray dust on us that goes into our cerebral cortex and our brainstem and just takes us over.
[03:03:58.567 --> 03:04:07.274]  Yes, and they want to take us over, but first of all, they want to weaken us also in our human relations.
[03:04:07.274 --> 03:04:14.280]  Because, for example, they have been discussing over and over again what is dividing us.
[03:04:14.280 --> 03:04:17.222]  This critical race theory is all about dividing us.
[03:04:17.222 --> 03:04:24.208]  That's why the race relations between black and white are hitting an all-time low at the moment.
[03:04:24.668 --> 03:04:32.855]  When in reality, we are all part of the same human race, and we all face the same enemy in the years to come.
[03:04:32.855 --> 03:04:35.317]  Well, let's expand on that.
[03:04:35.317 --> 03:04:38.160]  If we weren't made in the image of God, what would Satan try to do with us?
[03:04:38.160 --> 03:04:47.788]  Why does Satan want to make us ugly, dumb us down, poison us, and kill us, but first make us turn from God, so I guess Satan gets the soul, gets the free will that angers God.
[03:04:47.788 --> 03:04:48.309]  Is that what it is?
[03:04:49.403 --> 03:04:58.631]  Yes, but Satan also knows that this is his last possibility and is unfortunately manifesting in front of our eyes.
[03:04:58.631 --> 03:05:07.478]  So for us, living in the year 2021 now, it seems almost impossible that we will be winning this war.
[03:05:07.878 --> 03:05:12.482]  That's why I ask all our viewers to have more faith in God.
[03:05:12.482 --> 03:05:20.409]  To have more faith and to find again the Holy Spirit that can guide them through these difficult times.
[03:05:20.409 --> 03:05:29.137]  And try also to help those people who, of course, have to have a lot of psychological problems with what is going on.
[03:05:29.137 --> 03:05:29.357]  Sure.
[03:05:29.357 --> 03:05:32.780]  So what would God's endgame be versus the devil's endgame?
[03:05:32.780 --> 03:05:34.161]  The devil had complete free reign.
[03:05:34.161 --> 03:05:35.062]  What would that look like?
[03:05:36.314 --> 03:05:44.216]  Well, of course, we know that the end game for God is to reflect upon this earth the kingdom of God.
[03:05:44.216 --> 03:05:49.198]  So already the phrase itself gives us an annunciation of things to come.
[03:05:49.198 --> 03:05:51.919]  It's not going to be a democracy, it's going to be a kingdom.
[03:05:51.919 --> 03:06:01.642]  This is going to be a little bit difficult to digest, but I will say that aside from this great republic in which we stand, created in 1776,
[03:06:03.886 --> 03:06:08.133]  Most of the other forms of democracy have failed.
[03:06:08.133 --> 03:06:11.518]  The kingdom... But the French Revolution was a devilish creation.
[03:06:12.563 --> 03:06:12.963]  Definitely.
[03:06:12.963 --> 03:06:13.483]  Definitely.
[03:06:13.483 --> 03:06:14.324]  Definitely.
[03:06:14.324 --> 03:06:22.726]  The body creation also because it was in France that Satanism evolved before any other country in the world.
[03:06:22.726 --> 03:06:32.490]  Approximately five centuries ago with Katarina, the Medici, she celebrated and she was the ruler of France, the first black mass.
[03:06:32.490 --> 03:06:37.571]  And this is something else that they also talk in my books about extensively.
[03:06:41.533 --> 03:06:52.660]  People now see Macron giving very strict and stringent laws, but Macron is coming from this tradition.
[03:06:52.660 --> 03:06:56.803]  Macron is itself a member of the Grand Orient de France.
[03:06:56.803 --> 03:07:04.128]  Grand Orient de France is a schismatic body of Freemasonry that from 1877 abandoned the belief in God
[03:07:04.788 --> 03:07:10.151]  And opened up to basically to all the atheist.
[03:07:10.151 --> 03:07:15.613]  You are showing Caterina de Medici that, by the way, was also connected with Nostradamus.
[03:07:15.613 --> 03:07:21.236]  She was the one who wanted to save her kingdom by using black magic.
[03:07:21.236 --> 03:07:24.758]  And she wanted to also save her child that had some sickness.
[03:07:24.758 --> 03:07:29.360]  So what she did, she celebrated on black mass that sacrificed a baby.
[03:07:29.700 --> 03:07:36.190]  So, basically, she wanted to use this great evil in order to save her kingdom.
[03:07:36.190 --> 03:07:42.760]  So that already shows... And that's why everything's based on pedophilia or hurting children, because that's the energy that Satan demands.
[03:07:44.353 --> 03:07:45.294]  Absolutely.
[03:07:45.294 --> 03:07:55.879]  And then this satanism that grew and grew in France then manifested ultimately in this revolution.
[03:07:55.879 --> 03:08:02.662]  This revolution that, of course, people would say there was a king that was not in touch with the people and all that.
[03:08:02.662 --> 03:08:04.363]  Sure, but even Lenin and all them admitted it.
[03:08:04.363 --> 03:08:06.964]  The French Revolution is where they got communism.
[03:08:07.899 --> 03:08:16.341]  Absolutely, because the Illuminati, there was a guy from Italy, Filippo Boarotti, he came from Italy.
[03:08:16.341 --> 03:08:22.302]  He left Tuscany to participate to the French Revolution, was made a French citizen.
[03:08:22.302 --> 03:08:33.185]  And if you go in his Wikipedia, you can find that Filippo Boarotti, he was basically inspirational for Karl Marx.
[03:08:33.185 --> 03:08:34.205]  So Karl Marx...
[03:08:35.565 --> 03:08:38.287]  You can do more time doing it, because I'm going to give you the floor, like I've been doing.
[03:08:38.287 --> 03:08:41.489]  I want you to come back the next time and give us a brief 10-minute history of the Illuminati.
[03:08:41.489 --> 03:08:42.289]  But stop there.
[03:08:42.289 --> 03:08:47.572]  Tell folks, because I've read a bunch of your books, I've not read your new book, I want to get a copy, and we should carry it to InfoWarsware.com.
[03:08:47.572 --> 03:08:48.873]  But where do we get your new book?
[03:08:48.873 --> 03:08:50.374]  Spend a few minutes on what your new book covers.
[03:08:51.536 --> 03:08:56.239]  Well, my new books, I have volume 6.66, which we discussed.
[03:08:56.239 --> 03:09:02.583]  I have also volume 4, which is a very important book because here I talk about... Yeah, I read that one.
[03:09:02.583 --> 03:09:03.043]  That's good.
[03:09:03.043 --> 03:09:04.384]  Yeah.
[03:09:04.384 --> 03:09:08.867]  And then, of course, I have a new edition of volume 5, which I have basically
[03:09:09.247 --> 03:09:09.507]  Yeah.
[03:09:39.087 --> 03:09:46.090]  George Washington wrote letters against the Illuminati and the French Revolution, even though some would say he was the head of the Illuminati.
[03:10:04.198 --> 03:10:08.782]  So you can see there's an illuminated group, then there's the false Illuminati, and that gets people confused.
[03:10:08.782 --> 03:10:11.424]  Let's come back from break and explain all that to people.
[03:10:11.424 --> 03:10:12.625]  Leo Zagami.
[03:10:12.625 --> 03:10:13.105]  Amazing.
[03:10:13.105 --> 03:10:14.346]  How do people find the books again?
[03:10:14.346 --> 03:10:15.307]  LeoZagami.com.
[03:10:15.307 --> 03:10:15.888]  Is that the best place?
[03:10:16.730 --> 03:10:17.510]  Absolutely.
[03:10:17.510 --> 03:10:23.012]  Just go there or Google it and you will find a way to find my books.
[03:10:23.012 --> 03:10:24.753]  I want to read the new one because I read the other books.
[03:10:24.753 --> 03:10:28.314]  All right, we're going to come back and we're going to hit on the Illuminati.
[03:10:28.314 --> 03:10:28.854]  What is it?
[03:10:28.854 --> 03:10:29.574]  What's its goal?
[03:10:29.574 --> 03:10:30.715]  How do we stop it?
[03:10:30.715 --> 03:10:32.355]  We know with Christ, that's how we do it.
[03:10:32.355 --> 03:10:36.257]  He's going to leave us in 10 minutes and I'm going to hit... I haven't hit this...
[03:10:37.901 --> 03:10:44.208]  This is real.
[03:10:44.208 --> 03:10:45.670]  Cells that never die.
[03:10:45.670 --> 03:10:48.914]  It's one dead black lady and one dead white kid that have this.
[03:10:55.094 --> 03:10:56.334]  Jacob in Ohio.
[03:10:56.334 --> 03:10:56.715]  Welcome.
[03:10:56.715 --> 03:10:57.175]  Go ahead.
[03:10:57.175 --> 03:10:59.035]  Hey, how's it going, Alex?
[03:10:59.035 --> 03:11:00.116]  Great last caller.
[03:11:00.116 --> 03:11:03.197]  I just wanted to start with plugging your sleep supplement.
[03:11:03.197 --> 03:11:08.898]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[03:11:08.898 --> 03:11:10.679]  It's like we're living in a twilight zone, man.
[03:11:11.039 --> 03:11:12.680]  All right, Eric in New Hampshire.
[03:11:12.680 --> 03:11:13.640]  Eric, thanks for calling.
[03:11:13.640 --> 03:11:13.981]  Go ahead.
[03:11:13.981 --> 03:11:14.401]  Hey, Alex.
[03:11:14.401 --> 03:11:15.521]  Thanks for taking my call.
[03:11:15.521 --> 03:11:18.563]  If I could, I just want to throw a quick plug out for the point of the product.
[03:11:18.563 --> 03:11:20.224]  The X Team does wonders.
[03:11:20.224 --> 03:11:21.484]  I recommend it to everybody.
[03:11:21.484 --> 03:11:22.545]  You're on the fence about it.
[03:11:22.545 --> 03:11:23.345]  Get off the fence.
[03:11:23.345 --> 03:11:24.126]  Get the product.
[03:11:24.126 --> 03:11:25.427]  Support the info war.
[03:11:25.427 --> 03:11:26.727]  Tyler in Maine.
[03:11:26.727 --> 03:11:27.368]  You're on the air.
[03:11:27.368 --> 03:11:27.928]  Thanks for calling.
[03:11:27.928 --> 03:11:28.168]  Go ahead.
[03:11:28.328 --> 03:11:28.929]  Hey, Alex.
[03:11:28.929 --> 03:11:30.009]  It's great to be on with you.
[03:11:30.009 --> 03:11:30.750]  It's an honor.
[03:11:30.750 --> 03:11:31.030]  Honor.
[03:11:31.030 --> 03:11:31.611]  Talk to you.
[03:11:31.611 --> 03:11:32.712]  Awesome.
[03:11:32.712 --> 03:11:36.335]  So, first thing I wanted to do is to say I love the products.
[03:11:36.335 --> 03:11:38.416]  Alpha Power, even at $29.
[03:11:38.416 --> 03:11:40.898]  If you ask my better half, she loves it.
[03:11:40.898 --> 03:11:42.259]  And it helps in the bedroom.
[03:11:42.259 --> 03:11:44.121]  So, just number one for a few reasons.
[03:11:44.121 --> 03:11:44.902]  It definitely works.
[03:11:44.902 --> 03:11:46.543]  It's not a joke.
[03:11:46.543 --> 03:11:47.264]  Absolutely.
[03:11:52.429 --> 03:11:55.111]  Mike Lindell is a man in the arena.
[03:11:55.111 --> 03:11:57.152]  A man after Teddy Roosevelt's own heart.
[03:11:57.152 --> 03:12:01.095]  People demonize him, they laugh at him, they attack him, but he's been proven right.
[03:12:01.095 --> 03:12:07.259]  The audits are coming out and there was total, absolute election fraud against President Trump and against the American people.
[03:12:07.259 --> 03:12:09.661]  That is the bottom line.
[03:12:09.661 --> 03:12:15.625]  And Mike Lindell is getting sued by all these big, powerful, globalist institutions trying to shut him down.
[03:12:15.625 --> 03:12:16.706]  That's why it's so important
[03:12:16.906 --> 03:12:17.426]  We're good to go.
[03:12:41.119 --> 03:12:46.026]  Up to 60% off with promo code Alex at checkout at MyPillow.com.
[03:12:46.026 --> 03:12:49.490]  You'll find his great work and our great work at InfoWards, a 360 win.
[03:12:49.490 --> 03:12:54.817]  MyPillow.com, promo code Alex.
[03:12:54.817 --> 03:12:57.461]  You're listening to the Alex Jones Show.
[03:13:10.086 --> 03:13:12.430]  I think we're good.
[03:13:26.213 --> 03:13:31.780]  So, Leo Zegami, our guest here on the Alex Jones Show in the fourth hour, is explaining the Illuminati is a real historic thing.
[03:13:31.780 --> 03:13:34.324]  It's not a thing that's on movies or in cartoons.
[03:13:34.324 --> 03:13:35.606]  It's a real thing.
[03:13:35.606 --> 03:13:36.387]  What is the Illuminati?
[03:13:36.387 --> 03:13:38.029]  Well, everything with Satan is an inversion.
[03:13:38.029 --> 03:13:41.854]  They claim they're illuminated, but Christ illuminates, truth illuminates, God illuminates.
[03:13:42.515 --> 03:13:42.775]  I don't
[03:14:01.317 --> 03:14:03.819]  We had the thief and the murderer on the cross with Christ.
[03:14:03.819 --> 03:14:05.881]  One of them believed in God and the other didn't.
[03:14:05.881 --> 03:14:08.022]  I mean, so you've worked through your works.
[03:14:08.022 --> 03:14:09.203]  You've done a good job.
[03:14:09.203 --> 03:14:15.828]  Anybody that looks at you and says, well, he was part of this and came out of it, well, they're obviously not really a real Christian because we need whistleblowers.
[03:14:15.828 --> 03:14:18.090]  We need people that have joined evil to come out of it.
[03:14:18.090 --> 03:14:20.412]  You didn't do it consciously, but you realized it was bad later.
[03:14:20.412 --> 03:14:24.034]  Like Saul on the road to Damascus becoming Paul.
[03:14:24.034 --> 03:14:24.595]  Please continue.
[03:14:25.606 --> 03:14:26.788]  Anybody can be saved.
[03:14:26.788 --> 03:14:29.812]  We see it with that great guy.
[03:14:29.812 --> 03:14:31.875]  I like very much Michael in there.
[03:14:31.875 --> 03:14:33.798]  So anybody really can be saved.
[03:14:33.798 --> 03:14:37.944]  Believe me, they got the Illuminati, the order of the Illuminati.
[03:14:37.944 --> 03:14:39.306]  As we know, it was born in 1776.
[03:14:41.469 --> 03:14:50.173]  And this guy, Filippo Buonarroti, joined it and he wrote a book that became the quintessential text for all the revolutionaries.
[03:14:50.173 --> 03:14:56.236]  This book came out in 1828, is known as The History of Babu, Conspiracy of Equals.
[03:14:56.796 --> 03:15:08.802]  It basically proposes a strategy that will revolutionize society by stages, starting from monarchy to liberalism, then to radicalism, and finally to communism.
[03:15:08.802 --> 03:15:25.571]  So that's why I want to introduce to our viewers this figure, Filippo Buonarroti, because he is deemed as very important by the Illuminati up to this day, and he's part of the problem that we are living, unfortunately.
[03:15:26.411 --> 03:15:41.022]  And so, this French Revolution with Bonaparte that joined the Jacobin Club and was a friend of Napoleon Bonaparte that, by the way, then nominated himself emperor.
[03:15:41.022 --> 03:15:45.846]  So, I mean, the French have a lot of... Out of their false revolutions always becomes an emperor.
[03:15:45.846 --> 03:15:53.992]  That was the Illuminati's plan under Adam Weisshaupt, as you know, was to get rid of all the other orders and bring in an absolute tyranny.
[03:15:55.253 --> 03:16:02.260]  Yes, and of course, then we have this scenery going one step further.
[03:16:02.260 --> 03:16:12.210]  When in 1877, the Grand Orient of France abandoned completely God, people like Lenin and Trotsky became involved.
[03:16:12.210 --> 03:16:12.710]  I think?
[03:16:28.155 --> 03:16:35.039]  To achieve then in 1949 power and create, of course, what we have nowadays.
[03:16:35.039 --> 03:16:54.711]  So this is all part of a history that is to be studied in detail because in Russia, for example, there was an infernal club that was a little bit like the Hellfire Clubs that we had here in this part, well, in Europe.
[03:16:55.151 --> 03:17:13.022]  So, Lenin himself was an Illuminati, was the creator of something called the Grand Orient of the Russian people, and the Grand Orient of the Russian people substituted the Christian form of Freemasonry which was present in Russia until then.
[03:17:13.542 --> 03:17:22.931]  Because in Russia they used to practice basically what is known as the Swedish Rite, which derives from a Christian form of Freemasonry.
[03:17:22.931 --> 03:17:25.974]  That Christian form of Freemasonry had to be abolished.
