[00:00.000 --> 00:14.000]  Waging War on Corruption, it's Alex Jones
[1:26:21.380 --> 1:26:24.380]  We get the guys that want to support financing
[1:26:24.380 --> 1:26:25.380]  Well, I'll say this
[1:26:25.380 --> 1:26:26.380]  I was there while they were beating up women
[1:26:26.380 --> 1:26:29.380]  And I got involved obviously at the inauguration of Trump
[1:26:29.380 --> 1:26:31.380]  Because I couldn't stand anymore fighting back against it
[1:26:31.380 --> 1:26:33.380]  Finally, the bikers did show up and did kick the ass
[1:26:33.380 --> 1:26:35.380]  Of a bunch of communists who ran off
[1:26:35.380 --> 1:26:38.380]  So people could even get in to the inauguration
[1:26:38.380 --> 1:26:40.380]  That the media lied about and said nobody was there
[1:26:40.380 --> 1:26:42.380]  But good points, I appreciate your call
[1:26:42.380 --> 1:26:44.380]  You know, I see somebody disagree and they go to the head of the line
[1:26:44.380 --> 1:26:46.380]  But let's not really cheat to get to the head of the line
[1:26:46.380 --> 1:26:49.380]  I really want to hear from folks that actually disagree with me
[1:26:49.380 --> 1:26:52.380]  So we can actually hear what they're saying
[1:26:52.380 --> 1:26:53.380]  Let's go ahead now
[1:26:53.380 --> 1:26:55.380]  Who should I go to next?
[1:26:55.380 --> 1:26:58.380]  Hmm, there's so many calls here
[1:26:58.380 --> 1:27:02.380]  Let's go ahead and talk to Jeanine in West Palm Beach, Florida
[1:27:02.380 --> 1:27:04.380]  She says Trump is siding with the Sunnis
[1:27:04.380 --> 1:27:05.380]  Jeanine, go ahead
[1:27:05.380 --> 1:27:06.380]  Hi, Alex
[1:27:06.380 --> 1:27:08.380]  Thank you for taking my call
[1:27:08.380 --> 1:27:09.380]  Thank you, go ahead
[1:27:09.380 --> 1:27:11.380]  You know, I'm not sure if it's a good thing or not
[1:27:11.380 --> 1:27:13.380]  I think you had to choose a strategy
[1:27:13.380 --> 1:27:16.380]  And I think choosing the Sunnis is not a bad idea
[1:27:16.380 --> 1:27:18.380]  But it remains to be seen
[1:27:18.380 --> 1:27:20.380]  I don't know, the Saudi Arabians are no angels
[1:27:20.380 --> 1:27:22.380]  They're the dominant Islamic group worldwide
[1:27:22.380 --> 1:27:24.380]  They're the ones partially behind ISIS
[1:27:24.380 --> 1:27:26.380]  But he's already destroyed their force
[1:27:26.380 --> 1:27:28.380]  Kicked them out pretty much as serious
[1:27:28.380 --> 1:27:30.380]  So it's almost like I just kicked your ass
[1:27:30.380 --> 1:27:32.380]  In 120 days, are you ready to capitulate?
[1:27:32.380 --> 1:27:36.380]  Right, but you also have Erdogan, Putin, and Iran
[1:27:36.380 --> 1:27:38.380]  Forming a nice little triangle
[1:27:38.380 --> 1:27:40.380]  So when you look at that triangle
[1:27:40.380 --> 1:27:43.380]  But by comparison to using Saudi Arabia
[1:27:43.380 --> 1:27:45.380]  Strategically, we're giving them a lot of weapons
[1:27:45.380 --> 1:27:47.380]  That can be turned on ISIS that they invade
[1:27:47.380 --> 1:27:50.380]  Saudi Arabians don't want ISIS getting a hold in their country
[1:27:50.380 --> 1:27:52.380]  Because it's just, it's dry timberwood
[1:27:52.380 --> 1:27:54.380]  It wouldn't take much
[1:27:54.380 --> 1:27:55.380]  So they're afraid
[1:27:55.380 --> 1:27:59.380]  And then Saudi Arabia can pull in all the minor countries
[1:27:59.380 --> 1:28:02.380]  Maybe like Egypt, give them a set of balls
[1:28:02.380 --> 1:28:04.380]  And maybe we can get something accomplished there
[1:28:04.380 --> 1:28:09.380]  But I really like that he evoked the images of their past renaissance
[1:28:09.380 --> 1:28:13.380]  Because the Arabs weren't always the way that they are
[1:28:13.380 --> 1:28:15.380]  They weren't always disorganized and chaotic
[1:28:15.380 --> 1:28:17.380]  They were periods of time in history
[1:28:17.380 --> 1:28:19.380]  Where they were leaders
[1:28:19.380 --> 1:28:21.380]  Sure, that's absolutely true
[1:28:21.380 --> 1:28:22.380]  And that's what he's saying
[1:28:22.380 --> 1:28:25.380]  A better world, I've just defeated your ISIS al-Qaeda forces
[1:28:25.380 --> 1:28:28.380]  You better actually clamp down on this or you have no future
[1:28:28.380 --> 1:28:33.380]  And if Trump hadn't already shut down our borders
[1:28:33.380 --> 1:28:35.380]  Kicked these people out, moved against it
[1:28:35.380 --> 1:28:37.380]  Spoken out against it, it would be fake
[1:28:37.380 --> 1:28:40.380]  It's real because he's actually now shown them the teeth
[1:28:40.380 --> 1:28:42.380]  Alright, more great calls straight ahead
[1:28:42.380 --> 1:28:43.380]  Thank you so much, Janine
[1:28:43.380 --> 1:28:48.380]  We're going to talk to Michael and Michelle and Chris and Mark and
[1:28:48.380 --> 1:28:52.380]  Daria and Mark and Alyssa and Lee and others
[1:28:52.380 --> 1:29:18.380]  Straight ahead, I'm Alex Jones, stay with us
[1:29:22.380 --> 1:29:24.380]  Hello workers, your family, your children
[1:29:24.380 --> 1:29:27.380]  Through the best job you can to purify your air
[1:29:27.380 --> 1:29:30.380]  The elite are masters at poisoning our environment
[1:29:30.380 --> 1:29:32.380]  While themselves doing things that mitigate
[1:29:32.380 --> 1:29:35.380]  Or avoid most of the toxic effects for themselves
[1:29:35.380 --> 1:29:37.380]  The general public doesn't
[1:29:37.380 --> 1:29:41.380]  The Alexa Pure Breeze would be a steal at $300, $400, $500
[1:29:41.380 --> 1:29:45.380]  One of these systems can keep 800 square feet incredibly clean
[1:29:45.380 --> 1:29:47.380]  This is a system I'm personally putting in throughout my house
[1:29:47.380 --> 1:29:51.380]  Replacing older, more expensive filters that didn't do as good a job
[1:29:51.380 --> 1:29:54.380]  Find out why this system is so revolutionary today
[1:29:54.380 --> 1:30:23.380]  www.infowarstore.com
[1:30:24.380 --> 1:30:52.380]  www.infowarstore.com
[1:30:52.380 --> 1:30:57.380]  www.infowarstore.com
[1:31:22.380 --> 1:31:46.380]  www.infowarstore.com
[1:31:46.380 --> 1:31:56.380]  www.infowarstore.com
[1:31:56.380 --> 1:31:57.380]  www.infowarstore.com
[1:31:57.380 --> 1:32:01.380]  Not a group you develop living defense for us. It took you over a year to do it.
[1:32:01.380 --> 1:32:02.380]  Why is this so good?
[1:32:02.380 --> 1:32:07.380]  Because people are actually waking up to the problem that pretty much scares me the most.
[1:32:07.380 --> 1:32:13.380]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system,
[1:32:13.380 --> 1:32:19.380]  but right now we're dealing with massive parasites, which is anything that's harmful to your body
[1:32:19.380 --> 1:32:25.380]  that lives off a host mechanism. Right now with all the refugees spreading disease around,
[1:32:25.380 --> 1:32:29.380]  we have biological warfare going on everywhere. These are all parasites.
[1:32:29.380 --> 1:32:31.380]  Tell us about all the stuff we said. There's so many things that are in it.
[1:32:31.380 --> 1:32:36.380]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[1:32:36.380 --> 1:32:39.380]  I recommend doing a parasite cleanse at least twice a year.
[1:32:39.380 --> 1:32:42.380]  All right. Well, I'm glad we've got some back in because I'm going back on it today.
[1:32:42.380 --> 1:32:45.380]  It just came back in yesterday. Living defense, infowarslife.com.
[1:32:45.380 --> 1:32:49.380]  And folks, you can't lose full of stuff that's great for your body, period.
[1:32:49.380 --> 1:32:52.380]  And you support the broadcast, infowarslife.com.
[1:32:52.380 --> 1:32:57.380]  Thank you, Dr. Group, from the Global Healing Center. Thank you so much for all your work, sir, on this great product.
[1:33:01.380 --> 1:33:05.380]  You're listening to the Alex Jones Show.
[1:33:05.380 --> 1:33:26.380]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[1:33:26.380 --> 1:33:36.380]  All right. Your phone calls are coming up pretty much instantaneously. Thank you for joining us.
[1:33:36.380 --> 1:33:42.380]  Trump has gone into the belly of the beast, Saudi Arabia, where Mecca and the founding
[1:33:42.380 --> 1:33:47.380]  by the Prophet Muhammad started it all. They're the folks that took over.
[1:33:47.380 --> 1:33:56.380]  What's Turkey today and turned Constantinople into Istanbul. And they want to take over the rest of the world.
[1:33:56.380 --> 1:34:01.380]  They've made alliances with the West to sell us all their oil.
[1:34:01.380 --> 1:34:07.380]  And they've made double-sided deals with their own radicals to go out and colonize third-world countries
[1:34:07.380 --> 1:34:12.380]  where there's no Western culture to defend or they can then put her by the sword, who's male,
[1:34:12.380 --> 1:34:15.380]  and then basically take the women back as sex slaves.
[1:34:15.380 --> 1:34:19.380]  That's mainstream news. Our country liberated Libya a few years ago.
[1:34:19.380 --> 1:34:23.380]  And now they're selling women on the slave blocks, loading them on the ships.
[1:34:23.380 --> 1:34:28.380]  Saudi Arabia taught the world, that is, the Muslims that were there, the House of Saud.
[1:34:28.380 --> 1:34:32.380]  They're the famous slavers on the caravans that would rob people and were ruthless
[1:34:32.380 --> 1:34:37.380]  and sold women to slavery. Sex slavery. And so they're the great experts of this.
[1:34:37.380 --> 1:34:43.380]  And so there you see our president there bringing in his wife, a lot of courage, into that nest.
[1:34:43.380 --> 1:34:49.380]  And you can argue, well, it's a genius move. Yeah, but you can get peace out of it and get them to stop funding terrorism.
[1:34:49.380 --> 1:34:55.380]  I guess it is. He's there in their own nest, criticizing their barbarism, criticizing what many of them are funding.
[1:34:55.380 --> 1:35:01.380]  So hopefully they will back off. Hopefully they will stop. We'll see. We'll see.
[1:35:01.380 --> 1:35:11.380]  But right now let's go to... Who's calling from Alberta, Canada?
[1:35:11.380 --> 1:35:16.380]  Okay, yeah, because my screen's a little bit. Then I've got Chris, and I got Mark, and I got Daria,
[1:35:16.380 --> 1:35:23.380]  and I got another Mark, and I got Alyssa, and I've got Lee, and I've got William, and I've got Donnie.
[1:35:23.380 --> 1:35:29.380]  My eyes are as good as they used to be. They're still almost 2020, but it's hard to read over here.
[1:35:29.380 --> 1:35:32.380]  Especially when you're looking at bright lights, and then you try to look at a screen with numbers.
[1:35:32.380 --> 1:35:37.380]  That's my main goals. My eyes are getting where, when I look at bright lights, it's then hard to then read
[1:35:37.380 --> 1:35:43.380]  computer screens that are six, seven feet away, or five feet away. I guess let's go to Daria.
[1:35:43.380 --> 1:35:49.380]  Let's go to Daria in Richmond, Virginia. Thanks for calling. Daria here on the air.
[1:35:49.380 --> 1:35:51.380]  Hi, how are you, Alex? Thanks for calling.
[1:35:51.380 --> 1:35:53.380]  I'm great. Thanks for calling.
[1:35:53.380 --> 1:35:58.380]  Okay, so here's why I think it is. A couple of things I'd say, and one of them is from something that I heard you say yesterday
[1:35:58.380 --> 1:36:03.380]  about how our biggest issue right now is that the socialists are trying to destroy our country,
[1:36:03.380 --> 1:36:10.380]  and the antidote to that is economy and jobs. So Trump being the dealmaker and the businessman
[1:36:10.380 --> 1:36:14.380]  goes to Saudi Arabia to make money and jobs for our country.
[1:36:14.380 --> 1:36:17.380]  You can't really fight Islam, but we don't have a country.
[1:36:17.380 --> 1:36:23.380]  That's right. They're totally full of trillions of dollars of U.S. money from oil,
[1:36:23.380 --> 1:36:26.380]  because they've got the sweet crude, and we've made one side a deal.
[1:36:26.380 --> 1:36:34.380]  They're bringing back hundreds and hundreds and hundreds and hundreds of billions of dollars in new infrastructure and jobs.
[1:36:34.380 --> 1:36:37.380]  Yeah, so he makes money off of Islam so he can fight Islam.
[1:36:37.380 --> 1:36:41.380]  And then we also have the R of the deal, where he's just a dealmaker and a marketer.
[1:36:41.380 --> 1:36:44.380]  So he kind of frames this better life to them.
[1:36:44.380 --> 1:36:48.380]  He's marketing and selling an anti-Islamic life in the heart of Islam.
[1:36:48.380 --> 1:36:52.380]  I just, I mean, you don't get bigger, you know what, than that. That's pretty amazing.
[1:36:52.380 --> 1:36:56.380]  I'm still your term. I'm still your term. I try to hire you smarter than I am, much smarter.
[1:36:56.380 --> 1:36:59.380]  I'm trying to name this segment when we put it on YouTube and Facebook,
[1:36:59.380 --> 1:37:02.380]  and I was like, Trump challenges Islam from the heart of Islam,
[1:37:02.380 --> 1:37:06.380]  or Trump tries to reform Islam from the heart of Islam,
[1:37:06.380 --> 1:37:09.380]  but give me a headline. Your sound's smarter.
[1:37:09.380 --> 1:37:13.380]  Trump is, what did you just say?
[1:37:13.380 --> 1:37:21.380]  I forgot what I just said. Well, I mean, he's selling an anti-Islamic life in the heart of Islam.
[1:37:21.380 --> 1:37:23.380]  You just don't get any more money than that.
[1:37:23.380 --> 1:37:26.380]  That's right. Trump goes to the heart of Islam to free the slaves.
[1:37:26.380 --> 1:37:30.380]  Yeah, you bring the most beautiful, classy, elegant women.
[1:37:30.380 --> 1:37:33.380]  You show the best life, what life can be if you don't have Islam.
[1:37:33.380 --> 1:37:35.380]  I mean, I think it's a great, it's awesome.
[1:37:35.380 --> 1:37:39.380]  By the way, they admit the women are, like, reportedly on fire,
[1:37:39.380 --> 1:37:42.380]  wanting to know about Melania and wanting to know about all the rest of them.
[1:37:42.380 --> 1:37:47.380]  They are freaking out right now about seeing these empowered, beautiful women.
[1:37:47.380 --> 1:37:51.380]  Yeah, and then the last thing I would say is, short of giving an altar call,
[1:37:51.380 --> 1:37:57.380]  he pretty much, he basically said, touch the hem of our, you know, God-fearing garment,
[1:37:57.380 --> 1:38:00.380]  and turn from your wickedness, oh, we're going to beat your ass.
[1:38:00.380 --> 1:38:03.380]  So, I mean, he's an altar call, really. I mean, he couldn't do much more than that,
[1:38:03.380 --> 1:38:05.380]  and he did it in a way where he left him with a dignity.
[1:38:05.380 --> 1:38:09.380]  You know, he didn't say your God calls for the terror and all this,
[1:38:09.380 --> 1:38:11.380]  but he said, if you do that, you're condemned.
[1:38:11.380 --> 1:38:13.380]  So, I mean, you can't do much more than that.
[1:38:13.380 --> 1:38:15.380]  I think mostly because he's a salesman.
[1:38:15.380 --> 1:38:17.380]  If he's going to, is there a deal he can make?
[1:38:17.380 --> 1:38:19.380]  He's going to do it, and first off, make money.
[1:38:19.380 --> 1:38:20.380]  He's going to find a way to make money.
[1:38:20.380 --> 1:38:22.380]  Well, we have a Daria that works here that's super smart,
[1:38:22.380 --> 1:38:24.380]  and we have another Daria calling in who's smarter than I am.
[1:38:24.380 --> 1:38:28.380]  So, I guess Daria, if you have the first name Daria, these are super smart.
[1:38:28.380 --> 1:38:31.380]  Thank you. But, you know, we listen to you almost every day,
[1:38:31.380 --> 1:38:35.380]  and I have loved following you with this whole Trump journey and seeing you change your mind.
[1:38:35.380 --> 1:38:37.380]  I was like, come on out. You're going to like Trump.
[1:38:37.380 --> 1:38:39.380]  I know you are, and then when you did it, it was awesome.
[1:38:39.380 --> 1:38:40.380]  So, we listen to you almost every day.
[1:38:40.380 --> 1:38:42.380]  Well, thank you, and thanks for the support.
[1:38:42.380 --> 1:38:45.380]  Yeah, no, look, I mean, when I'm wrong about something, I'll change my mind.
[1:38:45.380 --> 1:38:47.380]  But you know Trump by his enemies.
[1:38:47.380 --> 1:38:53.380]  He's so attacked by the globalists who are the most scientifically anti-human, evil people there are.
[1:38:53.380 --> 1:38:55.380]  You know he's good because he's challenging that.
[1:38:55.380 --> 1:38:58.380]  Will he make mistakes? Absolutely.
[1:38:58.380 --> 1:39:02.380]  But if he's going to use them to help us, he doesn't have a problem with who he uses.
[1:39:02.380 --> 1:39:03.380]  Absolutely.
[1:39:03.380 --> 1:39:04.380]  Sure, sure.
[1:39:04.380 --> 1:39:07.380]  Well, that's one reason the elite hate him so much is he can change his mind.
[1:39:07.380 --> 1:39:09.380]  Thanks for the call. Great points, Daria.
[1:39:09.380 --> 1:39:13.380]  Okay, who's up next here? We've got Alyssa and Lee and William and Donnie.
[1:39:13.380 --> 1:39:17.380]  And we've got Michael's been holding a while and Chris and Mark.
[1:39:17.380 --> 1:39:21.380]  Let's start here with the callers, Mark, Chris and Mark and others.
[1:39:21.380 --> 1:39:25.380]  Let's go ahead and talk to Michael. You're on the year. Go ahead.
[1:39:25.380 --> 1:39:27.380]  Hey, Alex. Good day to you, sir.
[1:39:27.380 --> 1:39:28.380]  Thank you.
[1:39:28.380 --> 1:39:32.380]  I've been an infall lawyer listening to your show now four and a half years.
[1:39:32.380 --> 1:39:35.380]  Using your products now for about the same time. They're all great.
[1:39:35.380 --> 1:39:37.380]  Thank you. We couldn't do it without you.
[1:39:37.380 --> 1:39:39.380]  I'll be here if it wasn't for you supporting us. Thank you.
[1:39:39.380 --> 1:39:41.380]  I'll try to support you as much as I can.
[1:39:41.380 --> 1:39:42.380]  Thank you.
[1:39:42.380 --> 1:39:47.380]  As far as the Saudi Arabia situation goes, I agree with the fact that he had to get out
[1:39:47.380 --> 1:39:53.380]  of the United States and look presidential overseas to the leaders of Saudi Arabia.
[1:39:53.380 --> 1:39:57.380]  And I think he's done that. The fact that there's no headscarves on a bank.
[1:39:57.380 --> 1:39:59.380]  I mean, that's pretty.
[1:39:59.380 --> 1:40:02.380]  Oh, yeah, that's another thing. I didn't even think of the big one.
[1:40:02.380 --> 1:40:09.380]  Don't the Democrats, didn't they have their women wear like little headscarves when they went?
[1:40:09.380 --> 1:40:14.380]  Yes, they did. Hillary Clinton did as well. And so did Michelle.
[1:40:14.380 --> 1:40:16.380]  So no headscarves.
[1:40:16.380 --> 1:40:18.380]  Melania or Ivanka, which is pretty telling.
[1:40:18.380 --> 1:40:23.380]  And the fact that he mentioned terror 31 times when Obama said nothing,
[1:40:23.380 --> 1:40:26.380]  I think shows cahony.
[1:40:26.380 --> 1:40:28.380]  You know, I hadn't even clicked to that.
[1:40:28.380 --> 1:40:32.380]  I was just reading a Trump tweet during the break where he was pointing that out,
[1:40:32.380 --> 1:40:33.380]  but it didn't have an image.
[1:40:33.380 --> 1:40:40.380]  And I just remembered every time I saw Hillary or Samantha Powers or any other woman in the Middle East
[1:40:40.380 --> 1:40:44.380]  going to one of these Orthodox countries like Saudi Arabia,
[1:40:44.380 --> 1:40:49.380]  they were wearing a hijab, basically a scarf covering the sides of their faces.
[1:40:49.380 --> 1:40:52.380]  And they're not doing it here.
[1:40:52.380 --> 1:40:55.380]  That is a revolutionary act that no one's even pointed out.
[1:40:55.380 --> 1:41:00.380]  That's amazing. No wonder she's all the rage there right now. Ivanka Trump.
[1:41:00.380 --> 1:41:04.380]  Wow. And of course, Melania Trump. I'm going to look that up.
[1:41:04.380 --> 1:41:09.380]  I agree that he had to get out because of the optics right now in the United States.
[1:41:09.380 --> 1:41:14.380]  And even here in Canada, make no mistake about it. This is a civil war.
[1:41:14.380 --> 1:41:19.380]  I was at Berkeley April 15th of this year for the Berkeley 2.0 riots.
[1:41:19.380 --> 1:41:23.380]  And I have never seen such division in a population in my life.
[1:41:23.380 --> 1:41:28.380]  I've also not met so many great people, so many great patriots in my life.
[1:41:28.380 --> 1:41:34.380]  And all it's going to take is one of the, basically, riots.
[1:41:34.380 --> 1:41:40.380]  And someone gets bad or shot, and that's going to be the shot heard around the world 2.0.
[1:41:40.380 --> 1:41:43.380]  So he had to leave.
[1:41:43.380 --> 1:41:49.380]  Well, look, all I want is for the government not to be anti-Christian, anti-second of an anti-free market,
[1:41:49.380 --> 1:41:52.380]  try to brainwash our kids and turn them against their parents.
[1:41:52.380 --> 1:41:55.380]  I mean, that's what's going on here. That's why I'm fundamentally against the Democrats
[1:41:55.380 --> 1:41:58.380]  and the Republican establishment because they're carrying out the social engineering.
[1:41:58.380 --> 1:42:03.380]  And to be clear, I saw Melania and Ivanka Trump getting off the airplanes,
[1:42:03.380 --> 1:42:07.380]  walking around not wearing scarves or hijabs or burkas.
[1:42:07.380 --> 1:42:11.380]  And then I'm being told that Trump actually criticized, I think, as a joke, maybe,
[1:42:11.380 --> 1:42:17.380]  because I've seen Obama's wife and I've seen Hillary wear hijabs there.
[1:42:17.380 --> 1:42:23.380]  But Trump tweeted, oh, I can't believe he didn't wear hijabs to Michelle Obama.
[1:42:23.380 --> 1:42:26.380]  So maybe it's sarcasm because I'm looking at his tweet.
[1:42:26.380 --> 1:42:29.380]  We'll try to find out during the break. Thank you so much, Michael.
[1:42:29.380 --> 1:42:32.380]  Now, when I come back, I'm going boom, boom, boom to your great calls.
[1:42:32.380 --> 1:42:37.380]  Chris in Cincinnati, Mark in Texas, Mark in Rhode Island, Alyssa in Oregon,
[1:42:37.380 --> 1:42:40.380]  Lee in Washington, William in Minnesota, and Donnie in Oregon.
[1:42:40.380 --> 1:42:44.380]  We're going to all those callers, at least those, straight ahead.
[1:42:44.380 --> 1:42:49.380]  We're willing. I'll be back tomorrow live with David Knight and others hosting with me.
[1:42:49.380 --> 1:42:52.380]  11 a.m. Central for the weekday transmission of InfoWars,
[1:42:52.380 --> 1:42:57.380]  that for whatever reason has the entire MSM having convulsions over us.
[1:42:57.380 --> 1:43:00.380]  After being sold out for months, our best-selling super blue fluoride toothpaste
[1:43:00.380 --> 1:43:05.380]  is now back in stock at infowarstore.com. Research across the board is clear.
[1:43:05.380 --> 1:43:08.380]  When bacteria infect your gums, it can enter your bloodstream,
[1:43:08.380 --> 1:43:10.380]  and even contribute to blood clots and heart attacks.
[1:43:10.380 --> 1:43:14.380]  That's why the Last Surgeon General's report on oral health warns
[1:43:14.380 --> 1:43:17.380]  that your oral health can have a serious impact on your entire body.
[1:43:17.380 --> 1:43:20.380]  Super blue fluoride-free toothpaste is a groundbreaking new formula.
[1:43:20.380 --> 1:43:24.380]  It's loaded with good halogen iodine, some of the bad halogen fluoride.
[1:43:24.380 --> 1:43:28.380]  Super blue contains natural oils and ingredients used since biblical times
[1:43:28.380 --> 1:43:31.380]  to help wipe out bad bacteria and eliminate bad breath.
[1:43:31.380 --> 1:43:35.380]  Just some of the ingredients in super blue, chosen by our dental experts include
[1:43:35.380 --> 1:43:39.380]  xylitol, peppermint oil, iodine, nano silver, and more.
[1:43:39.380 --> 1:43:43.380]  Due to requests from listeners who found that spearmint was a little bit too strong
[1:43:43.380 --> 1:43:46.380]  for some of their children, we have created the new bubblegum flavored super blue
[1:43:46.380 --> 1:43:49.380]  that is spearmint-free. Learn more about the new bubblegum flavored
[1:43:49.380 --> 1:43:52.380]  super blue toothpaste and more at infowarslife.com
[1:43:52.380 --> 1:43:56.380]  and support the info war while you support healthy gums and teeth.
[1:44:00.380 --> 1:44:03.380]  Let's go to David in Florida. David in Florida, you're on the air.
[1:44:03.380 --> 1:44:08.380]  Great. Hey, thank you so much. Listen, I have bought your product
[1:44:08.380 --> 1:44:11.380]  and I got to say they're amazing. Anyone who's on the fence, buy it
[1:44:11.380 --> 1:44:16.380]  because I've got caveman, superman of vitality, secret swell, vitamin
[1:44:16.380 --> 1:44:20.380]  and infusion, I've got the body armor. Wow, thank you.
[1:44:20.380 --> 1:44:23.380]  You're the type of listener that makes it all possible. Which dude for surgical
[1:44:23.380 --> 1:44:27.380]  does you like best? I really like the vitamin mineral fusion to be honest.
[1:44:27.380 --> 1:44:31.380]  That's amazing. That's really incredible. I drank it in the morning and I swear to you,
[1:44:31.380 --> 1:44:35.380]  I felt incredible. I haven't felt sweet. My morning was fantastic
[1:44:35.380 --> 1:44:40.380]  and I love you guys. I love the info wars crew and I just want to, yeah,
[1:44:40.380 --> 1:44:44.380]  I want to take this opportunity to tell anybody out there who's on the fence,
[1:44:44.380 --> 1:44:48.380]  just buy it. We'll love it. I'm telling you, I've never bought a bad product.
[1:44:48.380 --> 1:44:53.380]  What you find in our news is the same thing you find in our products at infowarslife.com.
[1:44:53.380 --> 1:45:06.380]  Then win infowarslife.com.
[1:45:23.380 --> 1:45:27.380]  This is the first time I've ever seen a product that's made of plastic material
[1:45:27.380 --> 1:45:31.380]  ever created called ultra high molecular weight polyethylene.
[1:45:31.380 --> 1:45:35.380]  Defender armor is also super compact and lightweight. There's a reason the
[1:45:35.380 --> 1:45:39.380]  department of defense chose Defender to manufacture their new line of advanced
[1:45:39.380 --> 1:45:43.380]  lightweight armor. It works. Defender body armor is made right here in America
[1:45:43.380 --> 1:45:47.380]  and has received the highest level ballistic resistance certification from an authorized
[1:45:47.380 --> 1:45:51.380]  NIJ ballistic laboratory. Defender body armor is now available through
[1:45:51.380 --> 1:45:55.380]  your family and finance the info war against the globalist. All at the same time.
[1:45:55.380 --> 1:46:01.380]  A total 360 win. Please listen carefully because I'm about to point out
[1:46:01.380 --> 1:46:05.380]  three things that will save you a lot of money while you get high quality products
[1:46:05.380 --> 1:46:09.380]  and fund the info war. A 360 win. Number one, when you choose
[1:46:09.380 --> 1:46:13.380]  auto ship before checkout, we give you 10% off on your order
[1:46:13.380 --> 1:46:17.380]  at infowarsore.com. Number two, you're also able to get items that are out of stock
[1:46:17.380 --> 1:46:21.380]  when you sign up for auto ship because we hold back a surplus for auto ship customers.
[1:46:21.380 --> 1:46:25.380]  Number three, we're giving you free shipping on all orders
[1:46:25.380 --> 1:46:29.380]  above $50. Listeners have been requesting this for years
[1:46:29.380 --> 1:46:33.380]  because it's so easy to forget to reorder the products that you need each month.
[1:46:33.380 --> 1:46:37.380]  Just go to infowarsore.com, select your favorite product or products, click
[1:46:37.380 --> 1:46:41.380]  on auto ship and choose how often you want us to send you another order.
[1:46:41.380 --> 1:46:45.380]  As you know, I coined the term 360 win and with the new auto ship feature
[1:46:45.380 --> 1:46:49.380]  at infowarsore.com, this is a sure win. 10% off on auto ship.
[1:46:49.380 --> 1:46:53.380]  Win, win, win at infowarsore.com. Free shipping on orders above $50.
[1:46:53.380 --> 1:46:57.380]  And all out of stock items are never out of stock when you sign up for auto ship.
[1:47:01.380 --> 1:47:05.380]  You're listening to the Alex Jones show.
[1:47:05.380 --> 1:47:09.380]  The globalist's great error is to believe that as they collapse
[1:47:09.380 --> 1:47:13.380]  humanity, they end up on top. The truth is
[1:47:13.380 --> 1:47:17.380]  humanity is coming down fast but we're miles above them
[1:47:17.380 --> 1:47:21.380]  on our journey to hell.
[1:47:21.380 --> 1:47:25.380]  You're listening to the Alex Jones show.
[1:47:25.380 --> 1:47:29.380]  You're listening to the Alex Jones show.
[1:47:29.380 --> 1:47:33.380]  You're listening to the Alex Jones show.
[1:47:33.380 --> 1:47:37.380]  I do your stuff to warm and love you.
[1:47:37.380 --> 1:47:41.380]  You know, there's so much news I want to
[1:47:41.380 --> 1:47:45.380]  get to that isn't just Trump related. But Trump is like a
[1:47:45.380 --> 1:47:49.380]  case point example of nationalism and an attempt to have a president actually
[1:47:49.380 --> 1:47:53.380]  be the president and have your own country run your own country.
[1:47:53.380 --> 1:47:57.380]  So I don't give Trump any leeway, quite frankly, in fact I hold him to a higher standard.
[1:47:57.380 --> 1:48:01.380]  He's just done so many good things that I
[1:48:01.380 --> 1:48:05.380]  am still having an open mind despite the fact
[1:48:05.380 --> 1:48:09.380]  that he's done some things that I see as bad as well.
[1:48:09.380 --> 1:48:13.380]  But really isn't it about what we do politically, what we do culturally,
[1:48:13.380 --> 1:48:17.380]  what we support, what we promote? That's really where all this
[1:48:17.380 --> 1:48:21.380]  stands right now. And you look at the hysterical globalist elite
[1:48:21.380 --> 1:48:25.380]  that we know are the worst people on earth with the worst track records
[1:48:25.380 --> 1:48:29.380]  and the worst admissions of their plan, their anti-human plan, their greedy
[1:48:29.380 --> 1:48:33.380]  evil plan there against Trump. So what does that tell you?
[1:48:37.380 --> 1:48:41.380]  It tells you we're living in very, very interesting times.
[1:48:41.380 --> 1:48:45.380]  Briefly, we're listeners supported. Please spread the articles, the videos, the news.
[1:48:45.380 --> 1:48:49.380]  We're in information war. They believe they're computers and censorship systems can block
[1:48:49.380 --> 1:48:53.380]  us. They thought they could block the Trump election. They failed. They're panicking now.
[1:48:53.380 --> 1:48:57.380]  They're doubling down. It's an act of total resistance against tyranny
[1:48:57.380 --> 1:49:01.380]  and an act of victory to spread info wars.com stories and videos.
[1:49:01.380 --> 1:49:05.380]  And also check out infowarstore.com where we have the highest quality organic
[1:49:05.380 --> 1:49:09.380]  non-gmo heirloom seeds to plant this summer.
[1:49:09.380 --> 1:49:13.380]  We have the very best non-gmo
[1:49:13.380 --> 1:49:17.380]  organic fluoride free iodine and of course
[1:49:17.380 --> 1:49:21.380]  loyal silver toothpaste, super blue and
