[00:00.000 --> 00:15.600]  It's Mother's Day, and here comes the Valkyries.
[01:15:04.000 --> 01:15:06.000]  the racial discord in this country
[01:15:06.000 --> 01:15:08.000]  that's what's taking place
[01:15:08.000 --> 01:15:10.000]  but they know they can't stop the collapse of the dollar
[01:15:10.000 --> 01:15:12.000]  Obama, Bernanke working together
[01:15:12.000 --> 01:15:14.000]  to tank the US dollar on purpose
[01:15:14.000 --> 01:15:16.000]  they're destroying this country
[01:15:16.000 --> 01:15:18.000]  and they're not going to leave until they're done
[01:15:18.000 --> 01:15:20.000]  well, when I say destroying the country
[01:15:20.000 --> 01:15:22.000]  they're fundamentally changing the country
[01:15:22.000 --> 01:15:24.000]  of course, in the words of Obama
[01:15:24.000 --> 01:15:26.000]  changing it to a Marxist society
[01:15:26.000 --> 01:15:28.000]  which is destroying the country
[01:15:28.000 --> 01:15:30.000]  exactly
[01:15:40.000 --> 01:15:42.000]  I just want to say I appreciate all the info warriors
[01:15:42.000 --> 01:15:44.000]  out there spending part of their mother's day
[01:15:44.000 --> 01:15:46.000]  with us today and a big shout out to
[01:15:46.000 --> 01:15:48.000]  all the great moms in motherhood
[01:15:48.000 --> 01:15:50.000]  that the globalist are basically attacking
[01:15:50.000 --> 01:15:52.000]  the family, religion
[01:15:52.000 --> 01:15:54.000]  everything is under assault by the scum
[01:15:54.000 --> 01:15:56.000]  we'll be back with more
[01:15:56.000 --> 01:15:58.000]  inside information with
[01:15:58.000 --> 01:16:18.000]  Doug Hagman, stay with us
[01:16:28.000 --> 01:16:30.000]  we turn jeans inside out
[01:16:30.000 --> 01:16:32.000]  diamond gusset jeans
[01:16:32.000 --> 01:16:34.000]  made in the USA with
[01:16:34.000 --> 01:16:36.000]  unparalleled quality
[01:16:36.000 --> 01:16:38.000]  our Defender motorcycle jeans combine
[01:16:38.000 --> 01:16:40.000]  gusset comfort with Kevlar protection
[01:16:40.000 --> 01:16:42.000]  so you can ride all day with confidence
[01:16:42.000 --> 01:16:44.000]  order yours at gusset.com
[01:16:44.000 --> 01:16:46.000]  diamond gusset jeans
[01:16:46.000 --> 01:16:48.000]  got it
[01:16:48.000 --> 01:16:50.000]  we turn jeans inside out
[01:16:50.000 --> 01:16:52.000]  diamond gusset jeans
[01:16:52.000 --> 01:16:54.000]  made in the USA with unparallel quality
[01:16:54.000 --> 01:16:56.000]  our Defender motorcycle jeans combine
[01:16:56.000 --> 01:16:58.000]  diamond gusset jeans
[01:16:58.000 --> 01:17:00.000]  got it
[01:17:00.000 --> 01:17:28.000]  we turn jeans inside out
[01:17:28.000 --> 01:17:36.000]  diamond gusset jeans
[01:17:36.000 --> 01:17:46.000]  made in the USA with unparallel quality
[01:17:46.000 --> 01:18:14.000]  we turn jeans inside out
[01:18:14.000 --> 01:18:16.000]  diamond gusset jeans combine
[01:18:16.000 --> 01:18:18.000]  gusset comfort with Kevlar protection
[01:18:18.000 --> 01:18:30.000]  we turn jeans inside out
[01:18:30.000 --> 01:18:32.000]  diamond gusset jeans combine
[01:18:32.000 --> 01:18:36.000]  gusset comfort with Kevlar protection
[01:18:36.000 --> 01:18:42.000]  we turn jeans inside out
[01:18:42.000 --> 01:18:44.000]  you just can't afford to ignore this.
[01:18:44.000 --> 01:18:48.000]  Call 800-409-5633 or go to eFoodsDirect.com
[01:18:48.000 --> 01:18:50.000]  or slash Alex for specials.
[01:18:50.000 --> 01:18:51.000]  Don't let this offer pass you by.
[01:18:51.000 --> 01:18:55.000]  Call 800-409-5633 or eFoodsDirect.com
[01:18:55.000 --> 01:18:56.000]  or slash Alex.
[01:18:56.000 --> 01:19:14.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:19:14.000 --> 01:19:24.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:19:24.000 --> 01:19:28.000]  And now, new socialist legislation is only compounding the problem.
[01:19:28.000 --> 01:19:31.000]  Number four, dangerous weather is always a threat to local grids.
[01:19:31.000 --> 01:19:35.000]  Every year, thousands of families lose their power from weather related onages.
[01:19:35.000 --> 01:19:40.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[01:19:40.000 --> 01:19:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:19:45.000 --> 01:19:49.000]  You can get more information at www.mysolarbackup.com.
[01:19:49.000 --> 01:19:51.000]  That's mysolarbackup.com.
[01:19:51.000 --> 01:19:55.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com
[01:19:55.000 --> 01:19:59.000]  or call 1-877-327-0365.
[01:20:01.000 --> 01:20:04.000]  Coast to coast, direct from Austin.
[01:20:04.000 --> 01:20:08.000]  You're listening to the Alex Jones Broadcasting Network.
[01:20:08.000 --> 01:20:10.000]  Network.
[01:20:38.000 --> 01:20:42.000]  All right, now this is a short segment, long segment coming up, but get into the preparations,
[01:20:42.000 --> 01:20:44.000]  what your sources are telling you.
[01:20:44.000 --> 01:20:49.000]  You were getting into the FEMA camps, which they admit in the Emergency Centers Establishment Act,
[01:20:49.000 --> 01:20:51.000]  will be the new community.
[01:20:51.000 --> 01:20:55.000]  They implode things, pay to ship the jobs over cities, people flood in.
[01:20:55.000 --> 01:21:01.000]  Then there's got to be a prison area for troublemakers in the community, protesters and people,
[01:21:01.000 --> 01:21:03.000]  and that's the sub-camp areas.
[01:21:03.000 --> 01:21:05.000]  So that's how they're going to roll these out.
[01:21:05.000 --> 01:21:09.000]  We already see it in California, and other areas where they lock the homeless up at night.
[01:21:09.000 --> 01:21:13.000]  But let's continue breaking down what your source told you.
[01:21:13.000 --> 01:21:19.000]  Well, according to my source, and he said, look, the DHS brass, they know this is coming,
[01:21:19.000 --> 01:21:24.000]  there's no stopping it, and it's going to be a lot easier, if possible, to have these people,
[01:21:24.000 --> 01:21:30.000]  to have people in general masses willingly go to these disaster relief centers for their food,
[01:21:30.000 --> 01:21:34.000]  because you're not going to be able to buy food, you're not going to be able to do any banking,
[01:21:34.000 --> 01:21:35.000]  you're not going to be able to...
[01:21:35.000 --> 01:21:36.000]  I mean, we're going to be...
[01:21:36.000 --> 01:21:38.000]  Things are going to be in gridlock.
[01:21:38.000 --> 01:21:41.000]  And when people get hungry, they get desperate.
[01:21:41.000 --> 01:21:44.000]  So they're going to go do what the government tells them to do.
[01:21:44.000 --> 01:21:47.000]  If there's food at these disaster relief centers, great.
[01:21:47.000 --> 01:21:54.000]  So they're counting on a lot of people to respond appropriately to go to these centers for the food.
[01:21:54.000 --> 01:21:59.000]  And then in phase one, the camps will be our savior's phase two, take the politicals.
[01:21:59.000 --> 01:22:01.000]  But I'm sorry, please continue.
[01:22:01.000 --> 01:22:03.000]  No, I mean, you're exactly right.
[01:22:03.000 --> 01:22:09.000]  And then now you've been running during your program, the 1982 documentary with Larry Gretzwell,
[01:22:09.000 --> 01:22:12.000]  saying, well, there's going to be this mass extermination of people.
[01:22:12.000 --> 01:22:14.000]  Ultimately, that's their plan.
[01:22:14.000 --> 01:22:18.000]  And people are like, you know, there's normalcy biases taking them over.
[01:22:18.000 --> 01:22:22.000]  And again, 27 years as an investigator, I'm a hard sell on this kind of stuff.
[01:22:22.000 --> 01:22:24.000]  I'm thinking, wait a minute, this can't be happening.
[01:22:24.000 --> 01:22:25.000]  But it is happening.
[01:22:25.000 --> 01:22:27.000]  Everything you've said is true.
[01:22:27.000 --> 01:22:29.000]  What they're saying is, okay, once these people...
[01:22:29.000 --> 01:22:35.000]  You know, once we have them separated, and those who don't go, there will be mass arrests.
[01:22:35.000 --> 01:22:41.000]  They'll be treated differently if they're taken anywhere at all, if they're not dropped at the end of the driveway.
[01:22:41.000 --> 01:22:46.000]  And the bottom line is then they're going to have control of everything.
[01:22:46.000 --> 01:22:48.000]  But here's the key real quickly.
[01:22:48.000 --> 01:22:49.000]  Here's the key.
[01:22:49.000 --> 01:22:51.000]  Obama does not want to relinquish power.
[01:22:51.000 --> 01:22:54.000]  Valerie Jarrett does not want to relinquish power.
[01:22:54.000 --> 01:23:01.000]  Kassanstein, all these people, all these unappointed czars don't want to relinquish power at all and don't plan on it.
[01:23:01.000 --> 01:23:15.000]  So they're planning on this economic collapse, this racial divide, this economic chaos, panic, riots, and so on and so forth as a pretext to potentially suspend the elections.
[01:23:15.000 --> 01:23:23.000]  We've already seen the trial balloon with Governor Susan Perdue, I believe her name is out of one of the Carolinas, talking about suspending congressional elections.
[01:23:23.000 --> 01:23:25.000]  They've had their eye on that.
[01:23:25.000 --> 01:23:28.000]  They're looking at that according to my source saying, well, what was the reaction?
[01:23:28.000 --> 01:23:30.000]  Could this possibly be?
[01:23:30.000 --> 01:23:31.000]  Indeed.
[01:23:31.000 --> 01:23:32.000]  But this is what they want to do.
[01:23:32.000 --> 01:23:35.000]  They want to stay in power one way or another.
[01:23:35.000 --> 01:23:37.000]  And Obama knows that his numbers aren't good.
[01:23:37.000 --> 01:23:40.000]  Obama knows that satisfaction is bad.
[01:23:40.000 --> 01:23:51.000]  But again, one of the things that my source did say, and he's experienced in profiling, by the way, the forensic profiling, he says,
[01:23:51.000 --> 01:23:57.000]  does this look like a man who expects to be going anywhere after this election?
[01:23:57.000 --> 01:23:58.000]  Of course not.
[01:23:58.000 --> 01:24:01.000]  I mean, look at the lavage vacations they're taking.
[01:24:01.000 --> 01:24:03.000]  Look at the way he's spending money.
[01:24:03.000 --> 01:24:06.000]  I mean, $5 trillion, he's added to the debt.
[01:24:06.000 --> 01:24:08.000]  It's just incredible.
[01:24:08.000 --> 01:24:09.000]  So we can see this coming.
[01:24:09.000 --> 01:24:18.000]  According to my source, DHS is aware of this and not stopping it instead of not stopping it, they're facilitating it.
[01:24:18.000 --> 01:24:32.000]  And by the way, I was told this a year ago by sources and then now it's been in the news that they gave them what $3 billion additional funding to set up TSA all over the country from the beta test they had going in 10 states at the time.
[01:24:32.000 --> 01:24:41.000]  And now we've confirmed through other sources that these big armored lockers with the riot gear of the weapons are being delivered and they're being cashed.
[01:24:41.000 --> 01:24:56.000]  The military, these giant processions of Bradley fighting vehicles, freshly painted and ready for the U.S., are being cashed at secondary armories because the system's afraid the public may take the regular armories.
[01:24:56.000 --> 01:25:05.000]  I've talked to military that whenever Texas was about to throw the TSA out, which the feds know is their vanguard takeover arm that will expand out onto the streets.
[01:25:05.000 --> 01:25:15.000]  Their little administrative tattletail squad that on top of that, that the military was standing by to invade Texas and then it came out.
[01:25:15.000 --> 01:25:17.000]  They were going to have a blockade of the airways.
[01:25:17.000 --> 01:25:19.000]  I mean, this is already happening.
[01:25:19.000 --> 01:25:21.000]  They're already geared up.
[01:25:21.000 --> 01:25:28.000]  And in terms of other information about from my source, of course, you know, he's hoping that none of this stuff happens.
[01:25:28.000 --> 01:25:36.000]  Flat out saying, look, I got a family and I got, you know, I hope none of this happens. I hope I'm wrong.
[01:25:36.000 --> 01:25:44.000]  But I want to tell you that it just, it looks like everything that right now is pointing toward this taking place this summer leading up to the elections.
[01:25:44.000 --> 01:25:50.000]  And he said, if for some reason we're able to get through this summer without any trouble whatsoever, and if we have elections.
[01:25:50.000 --> 01:25:55.000]  And this is not a guy subject to hyperbole, you know, by using that kind of language.
[01:25:55.000 --> 01:26:01.000]  But if we have elections, he said, watch very carefully between the time of election day and inauguration day.
[01:26:01.000 --> 01:26:04.000]  Watch that time period. Watch for false flag operations.
[01:26:04.000 --> 01:26:08.000]  The White House being shot at that was a false flag operation.
[01:26:08.000 --> 01:26:10.000]  That was a trial balloon.
[01:26:10.000 --> 01:26:15.000]  He said, in this source, again, this is amazing to me.
[01:26:15.000 --> 01:26:19.000]  I had to double check this and he confirmed it again.
[01:26:19.000 --> 01:26:22.000]  He says, look, there's something in the works.
[01:26:22.000 --> 01:26:23.000]  I'm not sure what it is.
[01:26:23.000 --> 01:26:25.000]  This is him talking, not me.
[01:26:25.000 --> 01:26:26.000]  I'm not sure what it is.
[01:26:26.000 --> 01:26:35.000]  There's something in the works that there is going to be a false flag against either the first family, the first lady or the president himself.
[01:26:35.000 --> 01:26:45.000]  And this is going to, you know, facilitate that, implement that racial divide and also garner sympathy for the president.
[01:26:45.000 --> 01:26:48.000]  And I just, I mean, I find that very hard to believe.
[01:26:48.000 --> 01:26:54.000]  Of course, he said this, he said, obviously, there are no plans for anyone to be hurt.
[01:26:54.000 --> 01:26:58.000]  But it's, you know, it's going to, it's certainly going to appear to be a false flag.
[01:26:58.000 --> 01:27:04.000]  Remember a decade ago, whenever the Taiwanese president was about to be thrown out, so he staged a shooting of himself.
[01:27:04.000 --> 01:27:05.000]  And then it came out.
[01:27:05.000 --> 01:27:09.000]  I mean, it's so obvious they want to make themselves heroes.
[01:27:09.000 --> 01:27:10.000]  It's crazy.
[01:27:10.000 --> 01:27:17.000]  And, you know, look, Alex, I got a book and I got to tell you this, I'm into old books.
[01:27:17.000 --> 01:27:19.000]  This book is a 1970 edition.
[01:27:19.000 --> 01:27:21.000]  Communism in the New Left.
[01:27:21.000 --> 01:27:24.000]  I picked this up on the end of Ron X and then the old bookstore.
[01:27:24.000 --> 01:27:25.000]  This is their playbook.
[01:27:25.000 --> 01:27:26.000]  This is their playbook.
[01:27:26.000 --> 01:27:28.000]  This is what they're attempting to do.
[01:27:28.000 --> 01:27:32.000]  Everything that we're seeing happen today was done in the 60s.
[01:27:32.000 --> 01:27:38.000]  And it's the same people, except now they're in leadership positions as opposed to being in the protesting positions.
[01:27:38.000 --> 01:27:39.000]  It's incredible.
[01:27:39.000 --> 01:27:45.000]  Well, that's why we play that, you know, those clips talking about the weathermen wanting to kill 25 million Americans in the camps.
[01:27:45.000 --> 01:27:48.000]  So I guess they want to put, like, 50 million in there.
[01:27:48.000 --> 01:27:51.000]  And these people are running our government now and they want to kill people.
[01:27:51.000 --> 01:27:54.000]  These are dirty, murdering scum.
[01:27:54.000 --> 01:27:56.000]  I mean, they're just filth.
[01:27:56.000 --> 01:28:02.000]  And if they don't kill you, then they're going to have you building the bridges, filling in the bottles in the roads and working for them.
[01:28:02.000 --> 01:28:03.000]  I mean, it's...
[01:28:03.000 --> 01:28:05.000]  Look at the mayor of Chicago.
[01:28:05.000 --> 01:28:10.000]  He sat on C-SPAM when he was White House Chief of Staff.
[01:28:10.000 --> 01:28:16.000]  He said we're going to make everybody serve people in high school in this new FEMA course thing.
[01:28:16.000 --> 01:28:17.000]  Oh, yeah, yeah, indeed.
[01:28:17.000 --> 01:28:18.000]  I'm sorry, go ahead.
[01:28:18.000 --> 01:28:21.000]  No, and just a couple more things here.
[01:28:21.000 --> 01:28:24.000]  He said whether or not the Supreme...
[01:28:24.000 --> 01:28:33.000]  Regardless of how the Supreme Court rules, expect that Obamacare is going to be...
[01:28:33.000 --> 01:28:35.000]  Well, I'm not sure if it's exact wording here.
[01:28:35.000 --> 01:28:37.000]  It's going to go through.
[01:28:37.000 --> 01:28:40.000]  I mean, they're going to do Obamacare in one way, shape, or form.
[01:28:40.000 --> 01:28:43.000]  But he's already started saying he doesn't care what the Supreme Court says.
[01:28:43.000 --> 01:29:07.000]  Hi, folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:29:07.000 --> 01:29:12.000]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream.
[01:29:12.000 --> 01:29:15.000]  By breathing the solution through the lungs.
[01:29:15.000 --> 01:29:19.000]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:29:19.000 --> 01:29:26.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions
[01:29:26.000 --> 01:29:31.000]  and also delivers the silver nanoparticles instantly into the bloodstream.
[01:29:31.000 --> 01:29:35.000]  With continued legislation threatening the sale of nano-silver products,
[01:29:35.000 --> 01:29:40.000]  you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[01:29:40.000 --> 01:29:46.000]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:29:46.000 --> 01:29:53.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:29:53.000 --> 01:30:11.000]  That's www.silverlungs.com.
[01:30:23.000 --> 01:30:45.000]  This is the Silver Lungs Generator.
[01:30:45.000 --> 01:31:01.000]  Hi, this is Alex Jones.
[01:31:01.000 --> 01:31:07.000]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:31:07.000 --> 01:31:12.000]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:31:12.000 --> 01:31:15.000]  It's true, seeds have outperformed even gold and silver before in this country,
[01:31:15.000 --> 01:31:18.000]  and it's possible that could even happen again.
[01:31:18.000 --> 01:31:23.000]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:31:23.000 --> 01:31:30.000]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:31:30.000 --> 01:31:34.000]  And here's the best part, these seeds have not been genetically modified in any way,
[01:31:34.000 --> 01:31:38.000]  and you actually get enough seeds to plant a full-acre crisis garden.
[01:31:38.000 --> 01:31:42.000]  You'll visit them today at survivalseedbank.com.
[01:31:42.000 --> 01:31:48.000]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[01:31:48.000 --> 01:31:52.000]  That's 877-327-0365.
[01:31:52.000 --> 01:31:57.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:31:57.000 --> 01:32:09.000]  This is Alex Jones for survivalseedbank.com.
[01:32:27.000 --> 01:32:31.000]  It's simple to make, portable, and has a shelf life of up to 25 years.
[01:32:31.000 --> 01:32:35.000]  Now with eFoodsDirect, you'll get the most affordable, best-tasting food you can buy,
[01:32:35.000 --> 01:32:37.000]  and the new products and pricing will blow you away.
[01:32:37.000 --> 01:32:42.000]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[01:32:42.000 --> 01:32:44.000]  You just can't afford to ignore this.
[01:32:44.000 --> 01:32:50.000]  Call 800-409-5633 or go to eFoodsDirect.com for specials.
[01:32:50.000 --> 01:32:52.000]  Don't let this offer pass you by.
[01:32:52.000 --> 01:32:56.000]  Call 800-409-5633 or eFoodsDirect.com for specials.
[01:32:56.000 --> 01:33:01.000]  Alex, more the best, or less guaranteed.
[01:33:01.000 --> 01:33:05.000]  Coast to coast, direct from Austin.
[01:33:05.000 --> 01:33:30.000]  You're listening to the Alex Jones Broadcasting Network.
[01:33:30.000 --> 01:33:43.000]  A little piece of me, we die for the system.
[01:33:43.000 --> 01:33:50.000]  We're going to be taking your phone calls for Doug Hagman, director of the Northeast Intelligence Network.
[01:33:50.000 --> 01:33:55.000]  And look, all I know is, I've studied history, and this is repeating itself,
[01:33:55.000 --> 01:33:58.000]  and government doesn't care anymore.
[01:33:58.000 --> 01:34:04.000]  Government doesn't care if Corzine steals billions before anybody would have gotten in trouble.
[01:34:04.000 --> 01:34:07.000]  They don't care if hand grenades get shipped to Mexico when they get caught.
[01:34:07.000 --> 01:34:09.000]  Nobody gets in trouble.
[01:34:09.000 --> 01:34:13.000]  They don't care on any fronts anymore.
[01:34:13.000 --> 01:34:15.000]  And they come on and go, yeah, we're torturing people.
[01:34:15.000 --> 01:34:17.000]  Yeah, we'll secretly arrest you.
[01:34:17.000 --> 01:34:22.000]  The CIA director comes out and says, yeah, we're listening to everybody without warrants.
[01:34:22.000 --> 01:34:25.000]  Folks, it's illegal for the CIA to even operate domestically.
[01:34:25.000 --> 01:34:31.000]  Much less be saying, yeah, we spy on you at a public tech conference and laughing about it and saying all your appliances.
[01:34:31.000 --> 01:34:34.000]  You're paying for new tech in them to track you in the smart meters.
[01:34:34.000 --> 01:34:35.000]  Ha-ha.
[01:34:35.000 --> 01:34:37.000]  Five years ago, the smart meters won't control your house.
[01:34:37.000 --> 01:34:41.000]  Oh, yeah, we're going to control your temperature and it spies on you.
[01:34:41.000 --> 01:34:43.000]  Now, shut up.
[01:34:43.000 --> 01:34:49.000]  This is an attempt like a pimp breaks a young prostitute to literally break our will.
[01:34:49.000 --> 01:34:50.000]  I don't think it's working.
[01:34:50.000 --> 01:34:51.000]  In fact, I know it's not.
[01:34:51.000 --> 01:34:55.000]  I mean, the previous record was like 2 million guns sold in one month.
[01:34:55.000 --> 01:34:58.000]  What was that, three and a half years ago?
[01:34:58.000 --> 01:35:02.000]  When Obama was first getting in, now I've saw a number of 5 million in one month.
[01:35:02.000 --> 01:35:07.000]  Three of the major manufacturers have said we can't sell guns, one for six months, one for a year.
[01:35:07.000 --> 01:35:10.000]  They're that back-ordered.
[01:35:10.000 --> 01:35:12.000]  I mean, all of this is going on.
[01:35:12.000 --> 01:35:14.000]  Most of the military I talked to were awake.
[01:35:14.000 --> 01:35:16.000]  A lot of the police, and that's what's happening.
[01:35:16.000 --> 01:35:21.000]  Because people, before me, I don't need any thanks as Doug's thanking me,
[01:35:21.000 --> 01:35:24.000]  others saw this from the inside and talked about it.
[01:35:24.000 --> 01:35:28.000]  I mean, I heard people 20 years ago when I was first waking up saying there's plans to bring in foreign troops.
[01:35:28.000 --> 01:35:34.000]  I'm like, Admiral Yamamoto said that there'd be somebody with a rifle behind every blade of grass.
[01:35:34.000 --> 01:35:35.000]  The Japanese do that.
[01:35:35.000 --> 01:35:43.000]  But not if it's posing as our own government and responding to a stage crisis like economic or nuclear or biological.
[01:35:43.000 --> 01:35:47.000]  And then there's all these White House memos by Shapiro and others saying,
[01:35:47.000 --> 01:35:51.000]  Mr. President, a new Oklahoma City in 9-11 will help us take over.
[01:35:51.000 --> 01:35:55.000]  And then other memos that even Glenn Beck covered, and by the way, that's what got him fired,
[01:35:55.000 --> 01:35:59.000]  was when he said they're planning and pointed at Obama, a new Oklahoma City.
[01:35:59.000 --> 01:36:01.000]  Fox is like, Beck, you're off the air.
[01:36:01.000 --> 01:36:03.000]  That's it. Get out of here.
[01:36:03.000 --> 01:36:04.000]  And I had that from Fox Sources.
[01:36:04.000 --> 01:36:07.000]  Boy, that caused a big furor when I had those sources.
[01:36:07.000 --> 01:36:09.000]  And now I don't have one of those sources.
[01:36:09.000 --> 01:36:11.000]  I have some other sources, though.
[01:36:11.000 --> 01:36:14.000]  The point is that there is an attempt.
[01:36:14.000 --> 01:36:16.000]  They're thinking about doing this.
[01:36:16.000 --> 01:36:18.000]  But it's a catch-22.
[01:36:18.000 --> 01:36:23.000]  If we expose them, they get scared because they're criminals and want to carry it out.
[01:36:23.000 --> 01:36:26.000]  But if we don't expose them, they go ahead and do it.
[01:36:26.000 --> 01:36:27.000]  So then why don't we expose it?
[01:36:27.000 --> 01:36:29.000]  Because at least people are awake.
[01:36:29.000 --> 01:36:31.000]  At least we know they're coming to our house.
[01:36:31.000 --> 01:36:34.000]  And I mean that literally and figuratively.
[01:36:34.000 --> 01:36:36.000]  They would like to have this implosion.
[01:36:36.000 --> 01:36:38.000]  They would like to have this race war.
[01:36:38.000 --> 01:36:40.000]  But the Trayvon Martin thing didn't go the way they wanted.
[01:36:40.000 --> 01:36:45.000]  I think they're going with a model they use in the Soviet Union and other areas.
[01:36:45.000 --> 01:36:47.000]  I don't think it's going to work.
[01:36:47.000 --> 01:36:49.000]  I don't think it's going to work.
[01:36:49.000 --> 01:36:52.000]  Now, if they launch a war, people tend to get patriotic.
[01:36:52.000 --> 01:36:53.000]  And think that a war's patriotic.
[01:36:53.000 --> 01:36:55.000]  Get behind that and kind of shut up and go along with it.
[01:36:55.000 --> 01:37:01.000]  But the plans to go around and arrest political dissidents and people that they think are leaders
[01:37:01.000 --> 01:37:06.000]  across the political spectrum, that is going to result in massive resistance.
[01:37:06.000 --> 01:37:11.000]  And again, I'm not some macho guy that's like, let's just have a war with the military and police.
[01:37:11.000 --> 01:37:13.000]  I know, by the way, they're going to lose that war.
[01:37:13.000 --> 01:37:15.000]  But they're meant to, you see.
[01:37:15.000 --> 01:37:19.000]  And then I see NLE09 and all these Washington Post admitting,
[01:37:19.000 --> 01:37:23.000]  oh, foreign troops are going to help fight American terrorists and uprisings.
[01:37:23.000 --> 01:37:25.000]  That's now in hundreds of publications.
[01:37:25.000 --> 01:37:31.000]  So it's gone from being a secret program and training videos we got from Cooperative Nugget 93, 95, 96,
[01:37:31.000 --> 01:37:34.000]  and Urban Warfare drills I went to after that.
[01:37:34.000 --> 01:37:38.000]  And generals announcing you're the forces of the New World Order and training in mock US towns.
[01:37:38.000 --> 01:37:43.000]  I had to go see this myself and went and in some cases had to infiltrate.
[01:37:43.000 --> 01:37:47.000]  I'm not going to get it all of it, but you've seen the footage.
[01:37:47.000 --> 01:37:49.000]  The point is to show you this information.
[01:37:49.000 --> 01:37:52.000]  So I knew there was a program under Clinton to do this.
[01:37:52.000 --> 01:37:56.000]  But now it is going into an operational phase is my point.
[01:37:56.000 --> 01:37:57.000]  And I know I'm ranting, Doug.
[01:37:57.000 --> 01:37:58.000]  You've got time.
[01:37:58.000 --> 01:38:00.000]  I'll keep a little bit of the next hour because I'm taking away from in here.
[01:38:00.000 --> 01:38:02.000]  But please don't thank me anymore.
[01:38:02.000 --> 01:38:06.000]  Just break down what your intel is, how all these dots connect.
[01:38:06.000 --> 01:38:13.000]  And then I'm going to give the number out 800-259-9231-800-2599-231.
[01:38:13.000 --> 01:38:15.000]  Give us more of what your sources.
[01:38:15.000 --> 01:38:16.000]  I know you have a lot of them.
[01:38:16.000 --> 01:38:21.000]  What else they're telling you on multi fronts, but you were getting into how they plan to roll this out.
[01:38:21.000 --> 01:38:23.000]  What about that question?
[01:38:23.000 --> 01:38:30.000]  Will we be able, if we expose this enough to cause them to not be able to implement this?
[01:38:30.000 --> 01:38:35.000]  Great question. That's the only reason my source came to me with this information and said,
[01:38:35.000 --> 01:38:41.000]  look, get the word out there because if we don't do anything, then it's almost a done deal.
[01:38:41.000 --> 01:38:47.000]  But if we can start talking about it, start exposing it, perhaps they will take a step backward.
[01:38:47.000 --> 01:38:52.000]  And what we talked about, and this is extremely important in my source,
[01:38:52.000 --> 01:38:56.000]  made sure that you wanted me to mention this.
[01:38:56.000 --> 01:39:11.000]  I'll actually recall Thanksgiving 2010, 2009, when the TSA stood down with the body scanners
[01:39:11.000 --> 01:39:13.000]  because of the opt out protest.
[01:39:13.000 --> 01:39:15.000]  November 2010, yes, sir.
[01:39:15.000 --> 01:39:20.000]  Okay, now, they look at that and that bothered them tremendously.
[01:39:20.000 --> 01:39:23.000]  There were multiple meetings about this.
[01:39:23.000 --> 01:39:29.000]  And I'm telling you, your program and your exposure caused them to step back and do this.
[01:39:29.000 --> 01:39:31.000]  And dodge too.
[01:39:31.000 --> 01:39:33.000]  Exactly. Well, here's the thing.
[01:39:33.000 --> 01:39:39.000]  The whole TSA security theater, and this is what people need to understand.
[01:39:39.000 --> 01:39:45.000]  If the average American will put up with being sexually groped and nuked at an airport or just to travel
[01:39:45.000 --> 01:39:51.000]  or get going to a mall or a stadium or just to fly, they'll accept almost anything.
[01:39:51.000 --> 01:39:53.000]  And that is their mindset.
[01:39:53.000 --> 01:40:00.000]  And that's why they had such an adverse effect on them and sort of sent them back in time.
[01:40:00.000 --> 01:40:03.000]  They didn't expect a reaction.
[01:40:03.000 --> 01:40:07.000]  They expected everyone to be groped-oaps to this point now.
[01:40:07.000 --> 01:40:12.000]  Now that, again, the conditioning has made everyone groped-oaps.
[01:40:12.000 --> 01:40:16.000]  And according to my source, they're saying, okay, now that we've got people back in line
[01:40:16.000 --> 01:40:20.000]  and people back accepting the fact that they've got to be sexually molested,
[01:40:20.000 --> 01:40:22.000]  now we can go forward.
[01:40:22.000 --> 01:40:27.000]  Okay, so again, if everyone stood up and said, no, we're not going to submit, we're not going to comply,
[01:40:27.000 --> 01:40:30.000]  that would certainly set their timetable back.
[01:40:30.000 --> 01:40:35.000]  But that was one particular point in time when the DHS brass,
